   akartā nityayajñānāṃ YSS_2.9a	akartA nitya-yajQAnAm YSH-_2.9a
   japtvāghamarṣaṇaṃ pakṣaṃ YSS_1.28c	japtvA-aGamarzaNam pakzam YSH-_1.28c
   japtvāghamarṣaṇaṃ sūktaṃ YSS_1.26c	japtvA-aGamarzaNam sUktam YSH-_1.26c
   jambūkena vṛkeṇa vā YS182v_1.2b	jambUkena vRkeNa vA YS182u-_1.2b
   jalamadhye jalaṃ kṣipet YS99v_93d	jala-maDye jalam kzipet YS99u-_93d
   jalāgnibandhanabhraṣṭāḥ YS182v_1.3a	jala-agni-banDana-BrazwAH YS182u-_1.3a
   jalāgnyudbandhanabhraṣṭāḥ YSS_1.7a	jala-agni-udbanDana-BrazwAH YSH-_1.7a
   jalāgnyudvandhanabhraṣṭāḥ YS78v_2a	jala-agni-udvanDana-BrazwAH YS78u-_2a
   jalādyudbandhanabhraṣṭāḥ YS99v_22a	jala-Adi-udbanDana-BrazwAH YS99u-_22a
   jale dadyāj jalāñjalīn YS99v_98b	jale dadyAt jala-aQjalIn YS99u-_98b
   jātakarmādibhiḥ proktaiḥ YS78v_49c	jAtakarma-AdiBiH proktEH YS78u-_49c
   jātake naiva mṛtakaṃ YS182v_4.20a	jAtake na-eva mRtakam YS182u-_4.20a
   jātake vartamāne 'pi YS182v_4.18c	jAtake vartamAne api YS182u-_4.18c
   jātake sū([mṛ])take vā 'pi YS182v_5.12c	jAtake sU([mR])take vA api YS182u-_5.12c
   jātam antyajasaṃjñakam YS182v_5.2b	jAtam antyaja-saMjQakam YS182u-_5.2b
   jātarūpaṃ suvarṇañ ca YS78v_19a	jAtarUpam suvarNan ca YS78u-_19a
   jātarūpyaṃ suvarṇaṃ tu YS182v_3.9a	jAtarUpyam suvarNam tu YS182u-_3.9a
   jātihīnau tathāiva tau YSS_1.37d	jAti-hInO taTA-iva tO YSH-_1.37d
   jātena śudhyate jātaṃ YS99v_76a	jAtena SuDyate jAtam YS99u-_76a
   jāyate viphalaṃ sarvaṃ YSS_2.28c	jAyate viPalam sarvam YSH-_2.28c
   jārajātaḥ savarṇāyāṃ YSS_1.37a	jAra-jAtaH savarNAyAm YSH-_1.37a
   jīvato dviśataṃ damaḥ YS99v_20d	jIvataH dvi-Satam damaH YS99u-_20d
   jīvamāno 'pi vā śastraiḥ YSS_2.9c	jIvamAnaH api vA SastrEH YSH-_2.9c
   juhuyāt sarpiṣāhutīḥ YS99v_6d	juhuyAt sarpizA-AhutIH YS99u-_6d
   jñātvā caiva vratadvayam YS182v_2.2d	jQAtvA ca-eva vrata-dvayam YS182u-_2.2d
   jñātvā dharmaṃ samācaret YS78v_51d	jQAtvA Darmam samAcaret YS78u-_51d
   jñātvā bhuṅkte viśeṣeṇa YS78v_8c	jQAtvA BuFkte viSezeNa YS78u-_8c
   jñātvā liṅgaiḥ pravāsayet YSS_2.31d	jQAtvA liFgEH pravAsayet YSH-_2.31d
   jñātvā viśeṣeṇa tataś YS182v_2.4c	jQAtvA viSezeNa tatas YS182u-_2.4c
   jñānapradīpena tamo 'ndhakāre YSS_1.57d	jQAna-pradIpena tamaH anDakAre YSH-_1.57d
   jñānāt kṛcchrābdam uddiṣṭam YSS_1.14c	jQAnAt kRcCra-abdam uddizwam YSH-_1.14c
   jñānāt kṛcchrābdam uddiṣṭam YSS_1.33c	jQAnAt kRcCra-abdam uddizwam YSH-_1.33c
   jñā[snā]nena lepopahatasya śuddhiḥ YS182v_3.61d	jQA[snA]nena lepa-upahatasya SudDiH YS182u-_3.61d
   jñeyas sahāyas tu sukhāsukheṣu YSS_1.49d	jQeyaH sahAyaH tu suKa-asuKezu YSH-_1.49d
   jyeṣṭhabhrātā tathaiva ca YS182v_3.22b	jyezWa-BrAtA taTA-eva ca YS182u-_3.22b
   jyeṣṭhena vā kaniṣṭhena YS182v_5.21a	jyezWena vA kanizWena YS182u-_5.21a
   jyeṣṭhena hi kṛtaṃ sarvaṃ YS182v_5.14c	jyezWena hi kRtam sarvam YS182u-_5.14c
   jyeṣṭho bhrātā tathaiva ca YS78v_23b	jyezWaH BrAtA taTA-eva ca YS78u-_23b
   takṣacarmopajīvinaḥ YS182v_3.52d	takza-carma-upajIvinaH YS182u-_3.52d
   taḍāgaṃ pūrtam ucyate YS99v_69b	taxAgam pUrtam ucyate YS99u-_69b
   tataḥ karma samācaret YS182v_3.59b	tatas karma samAcaret YS182u-_3.59b
   tataḥ śuddhir vidhīyate YS99v_63d	tatas SudDiH viDIyate YS99u-_63d
   tataḥ śuddhyeta āturaḥ YS78v_53d	tatas SudDyete AturaH YS78u-_53d
   tato devalakaś caiva YS78v_33a	tatas devalakaH ca-eva YS78u-_33a
   tat kāpālikam asyāgraṃ YSS_1.13c	tat kApAlikam asya-agram YSH-_1.13c
   tat kṣaṇe 'sau vidhīyate YS182v_3.25d	tat kzaNe asO viDIyate YS182u-_3.25d
   tatkṣanāt kṣipate yas tu YS182v_1.9c	tad-kzanAt kzipate yaH tu YS182u-_1.9c
   tat pāpas tu praṇaśyati YS78v_11d	tat pApaH tu praNaSyati YS78u-_11d
   tat pāpaṃ na praṇaśyati YS182v_3.60b	tat pApam na praNaSyati YS182u-_3.60b
   tat pāpaṃ na praṇaśyati YS78v_43d	tat pApam na praNaSyati YS78u-_43d
   tat pāpaṃ parṣadaṃ vrajet YS182v_4.29d	tat pApam parzadam vrajet YS182u-_4.29d
   tat pāpaṃ śatadhā bhūtvā YS99v_60c	tat pApam SataDA BUtvA YS99u-_60c
   tatra vratam akurvāṇaṃ YSS_2.3c	tatra vratam akurvANam YSH-_2.3c
   tatrāpi doṣañ ca paśupramāṇaṃ YSS_1.53c	tatra-api dozan ca paSu-pramANam YSH-_1.53c
   tatrāpi doṣaṃ na vadanti tajjñāḥ YSS_1.47c	tatra-api dozam na vadanti tad-jQAH YSH-_1.47c
   tatraiva śuddhaś ca tathaiva daṇḍyaḥ YSS_1.47d	tatra-eva SudDaH ca taTA-eva daNxyaH YSH-_1.47d
   tat samaṃ sūtakaṃ yāti YS99v_85c	tat samam sUtakam yAti YS99u-_85c
   tatsamo nātra saṃśayaḥ YS182v_4.23b	tad-samaH na-atra saMSayaH YS182u-_4.23b
   tat sarvaṃ saphalaṃ bhavet YS182v_5.12d	tat sarvam saPalam Bavet YS182u-_5.12d
   tatsvāminaḥ prāṇidhanair vimucyaḥ YSS_1.52b	tad-svAminaH prANi-DanEH vimucyaH YSH-_1.52b
   tathā kṣattriyavaiśyau vā YS182v_4.42c	taTA kzattriya-vESyO vA YS182u-_4.42c
   tathā carmopajīvinīm YS182v_2.1d	taTA carma-upajIvinIm YS182u-_2.1d
   tathā ca vṛṣalīpatiḥ YS182v_3.26b	taTA ca vRzalI-patiH YS182u-_3.26b
   tathā caiva tu mohitaḥ YS182v_3.53b	taTA ca-eva tu mohitaH YS182u-_3.53b
   tathā dāpyaś caturguṇaṃ YSS_2.38d	taTA dApyaH caturguNam YSH-_2.38d
   tathā dāpyo bhavec chataṃ YSS_2.58d	taTA dApyaH Bavet Satam YSH-_2.58d
   tathā devalakaś caiva YS182v_3.37c	taTA devalakaH ca-eva YS182u-_3.37c
   tathā pātakināṃ caiva YS182v_4.24a	taTA pAtakinAm ca-eva YS182u-_4.24a
   tathā piṇḍodake 'pi ca YS99v_85d	taTA piNxa-udake api ca YS99u-_85d
   tathā purīṣam uddiṣṭaṃ YSS_2.16a	taTA purIzam uddizwam YSH-_2.16a
   tathā bhoktā ca māsikaṃ YSS_2.50d	taTA BoktA ca mAsikam YSH-_2.50d
   tathā bhojayitā svaṃ vā YSS_2.56c	taTA BojayitA svam vA YSH-_2.56c
   tathā varṇottamām api YS99v_36b	taTA varNa-uttamAm api YS99u-_36b
   tathā vai śūnyavaktāraṃ YSS_2.31c	taTA vE SUnya-vaktAram YSH-_2.31c
   tathā śyenaṃś ca kukkuṭaṃ YSS_2.6b	taTA Syenan ca kukkuwam YSH-_2.6b
   tathā saṃkīrṇayonijāḥ YSS_1.32 Bb	taTA saMkIrNa-yoni-jAH YSH-_1.32 Bb
   tathā strīṇāṃ ca dāpayet YS182v_4.32b	taTA strINAm ca dApayet YS182u-_4.32b
   tathā strīṇāṃ vigarhitam YS182v_4.35b	taTA strINAm vigarhitam YS182u-_4.35b
   tathaiva pratigṛhya ca YSS_1.23Ab	taTA-eva pratigRhya ca YSH-_1.23a-ab
   tathaiva pratigṛhya ca YSS_1.33b	taTA-eva pratigRhya ca YSH-_1.33b
   tathaiva mantravidyuktaḥ YS182v_3.41a	taTA-eva mantra-vidyuktaH YS182u-_3.41a
   tathaiva vanabarhiṇaṃ YSS_2.6d	taTA-eva vana-barhiNam YSH-_2.6d
   tathaivaṃ vaiśyayoṣitā YSS_2.71b	taTA-evam vESya-yozitA YSH-_2.71b
   tadarddhan tu tathottarā YS78v_60d	tat-ardDan tu taTA-uttarAH YS78u-_60d
   tadardhaṃ tu cared vaiśyaḥ YS182v_1.11c	tad-arDam tu caret vESyaH YS182u-_1.11c
   tad arpite bhoktari nānuśeyaṃ YSS_1.43c	tat arpite Boktari na-anuSeyam YSH-_1.43c
   tadā tasya tu tat pāpaṃ YS99v_65c	tadA tasya tu tat pApam YS99u-_65c
   tadbhakṣaṇe japen nityaṃ YS182v_3.12c	tad-BakzaNe japet nityam YS182u-_3.12c
   tad bhaikṣabhug japen nityaṃ YS78v_26c	tat BEkza-Buj japet nityam YS78u-_26c
   tadvat salilam eva ca YS182v_1.12b	tadvat salilam eva ca YS182u-_1.12b
   tanayāgāmināṃ tathā YS182v_2.2b	tanaya-AgAminAm taTA YS182u-_2.2b
   tannārīgāmināṃ tathā YSS_1.14b	tad-nArI-gAminAm taTA YSH-_1.14b
   tannārīgāmināṃ tathā YS99v_29b	tad-nArI-gAminAm taTA YS99u-_29b
   tan no brūhi mahāmune YSS_1.2d	tat naH brUhi mahA-mune YSH-_1.2d
   tan mātreṇaiva śuddhyati YS78v_45d	tat mAtreNa-eva SudDi-ati YS78u-_45d
   tanmālābaddhaśekharaṃ YSS_2.25b	tad-mAlA-badDa-SeKaram YSH-_2.25b
   taptakṛcchrañ cared vipras YS78v_11c	taptakRcCran caret vipraH YS78u-_11c
   taptakṛcchradvayaṃ caret YS182v_1.6d	taptakRcCra-dvayam caret YS182u-_1.6d
   taptakṛcchradvayena ca YS182v_1.4d	taptakRcCra-dvayena ca YS182u-_1.4d
   taptakṛcchradvayena vā YSS_1.8d	taptakRcCra-dvayena vA YSH-_1.8d
   taptakṛcchradvayena vā YS78v_3d	taptakRcCra-dvayena vA YS78u-_3d
   taptakṛcchradvayena vā YS99v_23d	taptakRcCra-dvayena vA YS99u-_23d
   taptakṛcchraparikliṣṭo YSS_1.15c	taptakRcCra-pariklizwaH YSH-_1.15c
   taptakṛcchraparikṣipto YS99v_30c	taptakRcCra-parikziptaH YS99u-_30c
   taptakṛcchraṃ cared vipro YS182v_2.3c	taptakRcCram caret vipraH YS182u-_2.3c
   taptakṛcchraṃ tu pāṣāṇe YS99v_49c	taptakRcCram tu pAzANe YS99u-_49c
   taptakṛcchraṃ samācaret YSS_1.32Ad	taptakRcCram samAcaret YSH-_1.32Ad
   taptakṛcchraṃ samācaret YS182v_1.14d	taptakRcCram samAcaret YS182u-_1.14d
   taptakṛcchraṃ samācaret YS182v_3.4d	taptakRcCram samAcaret YS182u-_3.4d
   taptakṛcchraṃ samācaret YS78v_5d	taptakRcCram samAcaret YS78u-_5d
   taptakṛcchraṃ samācaret YS78v_55b	taptakRcCram samAcaret YS78u-_55b
   tam eva parisarpati YS99v_60d	tam eva parisarpati YS99u-_60d
   tarkapramāṇaiḥ pratitarkayitvā YSS_1.56a	tarka-pramANEH pratitarkayitvA YSH-_1.56a
   tasmāc ca pāpinā grāhyaṃ YS182v_4.7a	tasmAt ca pApinA grAhyam YS182u-_4.7a
   tasmāc chāstrānusāreṇa YS182v_4.30a	tasmAt SAstra-anusAreNa YS182u-_4.30a
   tasmāc chūdras tu yajñārthaṃ YSS_2.64a	tasmAt SUdraH tu yajQa-arTam YSH-_2.64a
   tasmāt pāpād viśuddhyarthaṃ YS182v_4.49c	tasmAt pApAt viSudDi-arTam YS182u-_4.49c
   tasmāt sarvaprayatnena YS182v_3.40a	tasmAt sarva-prayatnena YS182u-_3.40a
   tasmāt sāhasino rājā YSS_2.73c	tasmAt sAhasinaH rAjA YSH-_2.73c
   tasmād apsu jalaṃ deyaṃ YS99v_95c	tasmAt apsu jalam deyam YS99u-_95c
   tasmād avaśyaṃ śrāddheṣu YSS_2.67a	tasmAt avaSyam SrAdDezu YSH-_2.67a
   tasmād brāhmaṇa([ṇya])m uttamam YS182v_5.3d	tasmAt brAhmaNa-([Nya])m uttamam YS182u-_5.3d
   tasmin damo na prayojyo YSS_2.2c	tasmin damaH na prayojyaH YSH-_2.2c
   tasya kālasya kā kriyā YS182v_3.57b	tasya kAlasya kA kriyA YS182u-_3.57b
   tasya vakṣyāmi niṣkṛtim YS99v_2d	tasya vakzyAmi nizkRtim YS99u-_2d
   tasya śaucaṃ vinirdiśet YS99v_4d	tasya SOcam vinirdiSet YS99u-_4d
   tasya hṛtvā tu sarvasvaṃ YSS_2.30c	tasya hRtvA tu sarva-svam YSH-_2.30c
   tasyāñ caiva prasūtasya YS78v_28c	tasyAn ca-eva prasUtasya YS78u-_28c
   tasyās tu yo bhaved bhartā YS182v_3.24c	tasyAH tu yaH Bavet BartA YS182u-_3.24c
   tasyāṃ caiva prasūtasya YS182v_3.15c	tasyAm ca-eva prasUtasya YS182u-_3.15c
   tasyāṃ tu śuklasektāraṃ YSS_2.27a	tasyAm tu Sukla-sektAram YSH-_2.27a
   tasyāḥ piṇḍodakaṃ kriyāḥ YS99v_78d	tasyAH piNxa-udakam kriyAH YS99u-_78d
   taṃ ghātayet mudgarapātaghātaiḥ YSS_1.41d	tam GAtayet mudgara-pAta-GAtEH YSH-_1.41d
   taṃ tu vidyād ajāvikam YS182v_3.24d	tam tu vidyAt ajAvikam YS182u-_3.24d
   taṃ dāpayitvā dhanine nṛpeṇa YSS_1.52a	tam dApayitvA Danine nRpeNa YSH-_1.52a
   tān doṣān kṣamate yas tu YS182v_3.17c	tAn dozAn kzamate yaH tu YS182u-_3.17c
   tān doṣān kṣamate yas tu YS78v_36c	tAn dozAn kzamate yaH tu YS78u-_36c
   tān dharmavighnakartṝṃś ca YS99v_59c	tAn Darma-viGna-kartLn ca YS99u-_59c
   tāmrāyāś ca payo grāhyaṃ YS99v_71c	tAmrAyAH ca payaH grAhyam YS99u-_71c
   tāmre vā mṛnmaye śubhe YS99v_74d	tAmre vA mRd-maye SuBe YS99u-_74d
   tāratam yena dātavyam YS182v_4.34c	tAratam yena dAtavyam YS182u-_4.34c
   tāratam yena dātavyaṃ YS182v_4.41a	tAratam yena dAtavyam YS182u-_4.41a
   tāratam yena vā dvijaiḥ YS182v_5.6d	tAratam yena vA dvijEH YS182u-_5.6d
   tāvaccīrṇavratasyāpi YS182v_3.60a	tAvat-cIrNa-vratasya-api YS182u-_3.60a
   tāvac cīrṇavratasyāpi YS78v_43c	tAvat cIrNa-vratasya-api YS78u-_43c
   tāvato grasate piṇḍān YS78v_40c	tAvataH grasate piNxAn YS78u-_40c
   tāvato grasate pretya YS182v_3.29c	tAvataH grasate pretya YS182u-_3.29c
   tāvat tiṣṭhet nirāhārā YS78v_61c	tAvat tizWet nirAhArAH YS78u-_61c
   tāvadvarṣasahasrāṇi YS99v_91c	tAvat-varza-sahasrANi YS99u-_91c
   tulyadoṣe vidaṇḍanam YSS_2.3b	tulya-doze vidaNxanam YSH-_2.3b
   tulyair atulyair vā dravyaiḥ YSS_2.40a	tulyEH atulyEH vA dravyEH YSH-_2.40a
   tūlikā upadhānāni YS78v_50a	tUlikAH upaDAnAni YS78u-_50a
   tṛṇāgreṇāpi saṃspṛṣṭvā YS182v_3.26c	tRNa-agreNa-api saMspRzwvA YS182u-_3.26c
   tṛtīye tu śikhā dhāryā YS78v_72c	tRtIye tu SiKA DAryA YS78u-_72c
   tṛtīye vā caturthake YS99v_87b	tRtIye vA caturTake YS99u-_87b
   te 'kulācārikāḥ smṛtāḥ YSS_1.34d	te akula-AcArikAH smRtAH YSH-_1.34d
   tena nityaṃ samācaret YSS_2.40d	tena nityam samAcaret YSH-_2.40d
   tena snātvā ca pītvā ca YS182v_3.9c	tena snAtvA ca pItvA ca YS182u-_3.9c
   tena snātvā ca pītvā ca YS78v_19c	tena snAtvA ca pItvA ca YS78u-_19c
   tenaivocchiṣṭasaṃspṛṣṭaḥ YS78v_42c	tena-eva-ucCizwa-saMspRzwaH YS78u-_42c
   tenaivocchiṣṭasaṃspṛṣṭaḥ YS99v_15c	tena-eva-ucCizwa-saMspRzwaH YS99u-_15c
   te 'pi sarve vigarhitāḥ YS78v_13d	te api sarve vigarhitAH YS78u-_13d
   tebhyo dattam anantaṃ hi YS182v_4.55a	teByaH dattam anantam hi YS182u-_4.55a
   tebhyo dattaṃ niṣphalaṃ syān YS182v_4.56c	teByaH dattam nizPalam syAn YS182u-_4.56c
   te śastravaddhyā na vihīnadaṇḍyāḥ YSS_1.40d	te Sastra-vat-DyAH na vihIna-daNxyAH YSH-_1.40d
   teṣāṃ caiva viśeṣataḥ YS182v_4.35d	tezAm ca-eva viSezataH YS182u-_4.35d
   teṣāṃ daṇḍaṃ vratañ cāpi YSS_2.1c	tezAm daNxam vratan ca-api YSH-_2.1c
   teṣāṃ dattvā ca bhuktvā ca YS182v_1.14c	tezAm dattvA ca BuktvA ca YS182u-_1.14c
   teṣāṃ śuddhyartham evātra YS182v_4.33c	tezAm SudDi-arTam eva-atra YS182u-_4.33c
   te sarve 'pi vigarhitāḥ YS182v_2.8d	te sarve api vigarhitAH YS182u-_2.8d
   tair apy anuṣṭhito dharma YS182v_5.4c	tEH api anuzWitaH DarmaH YS182u-_5.4c
   tailabhaiṣajyapāne ca YS99v_51a	tEla-BEzajya-pAne ca YS99u-_51a
   tailaṃ vā miśritaṃ ghṛtaiḥ YSS_2.37d	tElam vA miSritam GRtEH YSH-_2.37d
   toyaṃ vāpi pibed yadi YS99v_47b	toyam vA-api pibet yadi YS99u-_47b
   tyaktāgniṃ sarvam ādāya YSS_2.24c	tyakta-agnim sarvam AdAya YSH-_2.24c
   tyaktāvāritā vijñeyāḥ YSS_2.18c	tyakta-avAritAH vijQeyAH YSH-_2.18c
   tyajanto 'patitān bandhūn YS99v_19a	tyajantaH apatitAn banDUn YS99u-_19a
   tyājyā sā bandhubhiś caiva YS182v_4.39c	tyAjyA sA banDuBiH ca-eva YS182u-_4.39c
   tyājyaiti parikīrtitā YS182v_3.24b	tyAjya-eti parikIrtitA YS182u-_3.24b
   trayas te narakaṃ yānti YS182v_3.22c	trayaH te narakam yAnti YS182u-_3.22c
   trayas te narakaṃ yānti YS78v_23c	trayaH te narakam yAnti YS78u-_23c
   triguṇaṃ kṣattriyasyaiva YS182v_4.14a	triguNam kzattriyasya-eva YS182u-_4.14a
   tripañcābdaṃ vidhīyate YS182v_4.24d	tri-paQca-abdam viDIyate YS182u-_4.24d
   tripaṇaṃ brāhmaṇo bhavet YSS_2.43b	tri-paNam brAhmaNaH Bavet YSH-_2.43b
   tripādakṛcchro vijñeyaḥ YS182v_4.26c	tri-pAda-kRcCraH vijQeyaH YS182u-_4.26c
   tripāde tu śikhāvarjaṃ YS99v_53c	tri-pAde tu SiKA-varjam YS99u-_53c
   tribhir varnair atandritaḥ YS182v_5.5b	triBiH varnEH atandritaH YS182u-_5.5b
   tribhir varṣair vyapohati YS182v_3.12d	triBiH varzEH vyapohati YS182u-_3.12d
   tribhir varṣair vyapohati YS78v_26d	triBiH varzEH vyapohati YS78u-_26d
   trirātraṃ tatra kārayet YS182v_3.50b	tri-rAtram tatra kArayet YS182u-_3.50b
   trirātraṃ tu prakurvīta YS99v_10c	tri-rAtram tu prakurvIta YS99u-_10c
   trirātrāc cuddhir iṣyate YS182v_3.65d	tri-rAtrAt cudDiH izyate YS182u-_3.65d
   trirātreṇa viśuddhiḥ syād YS99v_11c	tri-rAtreNa viSudDiH syAt YS99u-_11c
   trirātreṇaiva śudhyati YS99v_8d	tri-rAtreNa-eva SuDyati YS99u-_8d
   trividhaṃ pāpaśuddhyarthaṃ YS182v_4.51a	triviDam pApa-SudDi-arTam YS182u-_4.51a
   triṃśat paṇam avāpnoti YSS_2.6c	triMSat paNam avApnoti YSH-_2.6c
   trīṇy ahāni vinirdiśet YS99v_76d	trINi ahAni vinirdiSet YS99u-_76d
   trīn paṇān dāpyate damaṃ YSS_2.34d	trIn paNAn dApyate damam YSH-_2.34d
   tvacañ ca vikrayaṃ kurvan YSS_2.45c	tvacan ca vikrayam kurvan YSH-_2.45c
   tv anṛtaṃ kurvate tamaḥ YSS_2.19d	tu anRtam kurvate tamaH YSH-_2.19d
   tv asnāto 'mantrato 'pi vā YSS_2.8b	tu asnAtaH amantrataH api vA YSH-_2.8b
   dakyayā patitena vā YS182v_3.69b	dakyayA patitena vA YS182u-_3.69b
   dakṣiṇā dik tathaiva ca YS99v_94d	dakziNA diS taTA-eva ca YS99u-_94d
   daṇḍaṃ dviguṇam āvahet YSS_2.17d	daNxam dviguNam Avahet YSH-_2.17d
   daṇḍād ūrdhvaprahāreṇa YS99v_40a	daNxAt UrDva-prahAreNa YS99u-_40a
   daṇḍitvā sākṣiṇaṃ nṛpaḥ YSS_2.32b	daNxitvA sAkziNam nRpaH YSH-_2.32b
   daṇḍenābhihatas tathā YS99v_46b	daNxena-aBihataH taTA YS99u-_46b
   daṇḍyā uttamasāhasam YS99v_19b	daNxyAH uttamasAhasam YS99u-_19b
   daṇḍyā dvādaśakaṃ nārī YS99v_18c	daNxyA dvAdaSakam nArI YS99u-_18c
   daṇḍyās tat putramitrāṇi YS99v_21a	daNxyAH tat putra-mitrANi YS99u-_21a
   dattvā dhenuṃ tathā vṛṣam YS182v_1.5d	dattvA Denum taTA vRzam YS182u-_1.5d
   dattvā dhenuṃ tathā vṛṣam YS182v_4.5d	dattvA Denum taTA vRzam YS182u-_4.5d
   dattvā dhenuṃ tathā vṛṣam YS78v_4d	dattvA Denum taTA vRzam YS78u-_4d
   dattvā dhenuṃ tathā vṛṣam YS99v_24d	dattvA Denum taTA vRzam YS99u-_24d
   dattvā dhenuṃ tathā vṛṣaṃ YSS_1.9d	dattvA Denum taTA vRzam YSH-_1.9d
   dadad gobrāhmaṇeṣu tu YS99v_50b	dadat go-brAhmaNezu tu YS99u-_50b
   dadyāc chaktyā ca dakṣiṇām YSS_1.24b	dadyAt SaktyA ca dakziNAm YSH-_1.24b
   dadyāt tasyāpi miśritaṃ YSS_2.39d	dadyAt tasya-api miSritam YSH-_2.39d
   dadyāt teṣāṃ ca dakṣiṇām YS99v_61d	dadyAt tezAm ca dakziNAm YS99u-_61d
   dadyād ekena pāṇinā YS99v_99b	dadyAt ekena pANinA YS99u-_99b
   dadhi sarpiḥ kuśodakam YS182v_1.13b	daDi sarpiH kuSa-udakam YS182u-_1.13b
   damaś caturguṇaḥ proktas YSS_2.40c	damaH caturguNaH proktaH YSH-_2.40c
   damaṃ paṇam avāpnoti YSS_2.46c	damam paNam avApnoti YSH-_2.46c
   daśakṛtvo hy anāturaḥ YS78v_53b	daSa-kRtvas hi anAturaH YS78u-_53b
   daśarātreṇa śudhyati YSS_1.6d	daSa-rAtreNa SuDyati YSH-_1.6d
   daśarudrīṃ japet paścād YS182v_3.46c	daSarudrIm japet paScAt YS182u-_3.46c
   daśavarṣā bhavet kanyā YS182v_3.21c	daSa-varzAH Bavet kanyAH YS182u-_3.21c
   daṣṭaḥ snātvā śuciḥ sadyo YSS_1.5c	dazwaH snAtvA SuciH sadyas YSH-_1.5c
   daṣṭaḥ snātvā śuciḥ sadyo YS99v_25c	dazwaH snAtvA SuciH sadyas YS99u-_25c
   daṃpatī śayanaṃ gatau YS99v_17b	daMpatI Sayanam gatO YS99u-_17b
   dātavyaṃ pāpamuktyarthaṃ YS182v_4.27c	dAtavyam pApa-mukti-arTam YS182u-_4.27c
   dātā ca narakaṃ vrajet YS99v_58d	dAtA ca narakam vrajet YS99u-_58d
   dāpyaḥ ..... paṇaṃ YSS_2.41d	dApyaH ..... paNam YSH-_2.41d
   dāpyaḥ syāt pūrvasāhasaṃ YSS_2.56d	dApyaH syAt pUrvasAhasam YSH-_2.56d
   dāpyaḥ syāt prathamaṃ damaṃ YSS_2.55d	dApyaH syAt praTamam damam YSH-_2.55d
   dāyādā nātra saṃśayaḥ YS182v_5.19b	dAyAdAH na-atra saMSayaH YS182u-_5.19b
   dāyādebhyo yathā kramāt YS182v_5.22d	dAyAdeByaH yaTA kramAt YS182u-_5.22d
   dāruṇā ghātane kṛcchraṃ YS78v_69a	dAruNAH GAtane kRcCram YS78u-_69a
   dārvasthiśṛṅgapāṣāṇair YSS_2.54a	dAru-asTi-SRFga-pAzANEH YSH-_2.54a
   dāsanāpitagopāla- YS182v_3.10a	dAsa-nApita-gopAla YS182u-_3.10a
   dāsanāpitagopāla- YS78v_20a	dAsa-nApita-gopAla YS78u-_20a
   dāsavargasya kā kriyā YS182v_3.55b	dAsa-vargasya kA kriyA YS182u-_3.55b
   digvāsaṃ gamayed rājā YSS_2.25c	digvAsam gamayet rAjA YSH-_2.25c
   divā gā vai(?) hy anuvrajet YS182v_4.15d	divA gAH vE(?) hi anuvrajet YS182u-_4.15d
   divā caivārkasaṃspṛṣṭaṃ YS182v_3.70a	divA ca-eva-arka-saMspRzwam YS182u-_3.70a
   divānītaṃ ca yaj jalam YS78v_19b	divAnItam ca yat jalam YS78u-_19b
   divā ''nītena toyena YS182v_3.69c	divA aanItena toyena YS182u-_3.69c
   divānītena toyena YS78v_63c	divAnItena toyena YS78u-_63c
   divārka raśmisaṃspṛṣṭaṃ YS78v_64a	divArka raSmi-saMspRzwam YS78u-_64a
   divā vātārkasaṃspṛṣṭaṃ YSS_1.3a	divA vAta-arka-saMspRzwam YSH-_1.3a
   divā saṃdhyāsu rātriṣu YS99v_25d	divA saMDyAsu rAtrizu YS99u-_25d
   divā sūryāṃśubhis taptaṃ YS99v_96a	divA sUrya-aMSuBiH taptam YS99u-_96a
   divā ''hṛtaṃ ca yaj jalaṃ YS182v_3.9b	divA aahRtam ca yat jalam YS182u-_3.9b
   divyaṃ deyaṃ yathā vidhi YS182v_5.26d	divyam deyam yaTA viDi YS182u-_5.26d
   divyena teṣām upalabhya hantā YSS_1.55c	divyena tezAm upalaBya hantA YSH-_1.55c
   diśaṃ vīkṣya tu mūtrayan YSS_2.17b	diSam vIkzya tu mUtrayan YSH-_2.17b
   dīptān grāsān ayomayān YS182v_3.29d	dIptAn grAsAn ayaH-mayAn YS182u-_3.29d
   dīyamāne vipattiḥ syāt YS99v_50c	dIyamAne vipattiH syAt YS99u-_50c
   durbhago hi tathā ṣaṇḍaḥ YS78v_30a	durBagaH hi taTA zaNxaH YS78u-_30a
   durbhago hi tathā ṣaṇḍhaḥ YS182v_3.35a	durBagaH hi taTA zaNXaH YS182u-_3.35a
   durmṛtyumaraṇaṃ prāptā YS182v_4.33a	durmRtyu-maraNam prAptAH YS182u-_4.33a
   duṣṭastrīdarśanenaiva YS182v_4.37a	duzwa-strI-darSanena-eva YS182u-_4.37a
   dūrāc chrāntaṃ bhayagrastaṃ YS182v_3.25a	dUrAt SrAntam Baya-grastam YS182u-_3.25a
   dṛṣṭvā kanyāṃ rajasvalām YS182v_3.22d	dRzwvA kanyAm rajasvalAm YS182u-_3.22d
   dṛṣṭvā kanyāṃ rajasvalām YS78v_23d	dRzwvA kanyAm rajasvalAm YS78u-_23d
