   BhP_06.01.001/0 śrīparīkṣiduvāca	Bhu-_06.01.001/0 SrIparIkzit-uvAca
   rūkṣavācaḥ	rUkza-vAcaH
   BhP_06.10.029/1 te svaprayāsaṃ vitathaṃ nirīkṣya harāvabhaktā	Bhu-_06.10.029/1 te sva-prayAsam vitaTam nirIkzya hara-avaBaktA
   hatayuddhadarpāḥ	hata-yudDa-darpAH
   BhP_06.10.029/2 palāyanāyājimukhe visṛjya patiṃ manaste dadhurāttasārāḥ	Bhu-_06.10.029/2 palAyanAya-aji-muKe visRjya patim manaH-te daDurAtta-sArAH
   BhP_06.10.030/1 vṛtro 'surāṃstān anugān manasvī pradhāvataḥ prekṣya	Bhu-_06.10.030/1 vRtraH asurAn=-tAn anugAt manasvI praDAvataH prekzya
   babhāṣa etat	baBAza etat-
   BhP_06.10.030/2 palāyitaṃ prekṣya balaṃ ca bhagnaṃ bhayena tīvreṇa vihasya	Bhu-_06.10.030/2 palAyitam prekzya balam ca Bagnam Bayena tIvreNa vihasya
   vīraḥ	vIraH
   BhP_06.10.031/1 kālopapannāṃ rucirāṃ manasvināṃ jagāda vācaṃ	Bhu-_06.10.031/1 kAla-upapannAm rucirAm manasvinAm jagAda vAcam
   puruṣapravīraḥ	puruza-pravIraH
   BhP_06.10.031/2 he vipracitte namuce puloman mayānarvan chambara me	Bhu-_06.10.031/2 he vipracitte namuce pulomat mayA-anarvan Cambara me
   śṛṇudhvam	SRNuDvam
   BhP_06.10.032/1 jātasya mṛtyurdhruva eva sarvataḥ pratikriyā yasya na ceha	Bhu-_06.10.032/1 jAtasya mRtyuH-DruvaH eva sarvatas pratikriyA yasya na ca-iha
   kḷptā	k?ptA
   BhP_06.10.032/2 loko yaśaścātha tato yadi hy amuṃ ko nāma mṛtyuṃ na vṛṇīta	Bhu-_06.10.032/2 lokaH yaSaH-ca-aTa tatas yadi hi amum kaH nAma mRtyum na vRNIta
   yuktam	yuktam
   BhP_06.10.033/1 dvau sammatāviha mṛtyū durāpau yadbrahmasandhāraṇayā	Bhu-_06.10.033/1 dvO sammatO=-iha mRtyU durApO yat-brahma-sanDAraNayA
   jitāsuḥ	jitAsuH
   BhP_06.10.033/2 kalevaraṃ yogarato vijahyād yadagraṇīrvīraśaye 'nivṛttaḥ	Bhu-_06.10.033/2 kalevaram yoga-rataH vijahyAt yat-agraNIH-vIra-Saye anivRttaH
   BhP_06.11.001/0 śrīśuka uvāca	BhP_06.11.001/0 SrI-SukaH uvAca
   BhP_06.11.001/1 ta evaṃ śaṃsato dharmaṃ vacaḥ patyuracetasaḥ	Bhu-_06.11.001/1 te evam SaMsataH Darmam vacaH patyuH-acetasaH
   BhP_06.11.001/2 naivāgṛhṇanta sambhrāntāḥ palāyanaparā nṛpa	Bhu-_06.11.001/2 na-eva-agRhNanta samBrAntAH palAyana-parA nRpa
   BhP_06.11.002/1 viśīryamāṇāṃ pṛtanāmāsurīmasurarṣabhaḥ	Bhu-_06.11.002/1 viSIryamANAm pRtanAm-AsurIm-asura-RzaBaH
   BhP_06.11.002/2 kālānukūlaistridaśaiḥ kālyamānāmanāthavat	BhP_06.11.002/2 kAla-anukUlEH-tridaSEH kAlyamAnAm-anATa-vat-
   BhP_06.11.003/1 dṛṣṭvātapyata saṅkruddha indraśatruramarṣitaḥ	Bhu-_06.11.003/1 dRzwvA-atapyata saFkrudDaH indra-SatruH-amarzitaH
   BhP_06.11.003/2 tān nivāryaujasā rājan nirbhartsyedamuvāca ha	Bhu-_06.11.003/2 tAn nivArya-ojasA rAjan nirBartsya-idam-uvAca ha
   BhP_06.11.004/1 kiṃ va uccaritairmāturdhāvadbhiḥ pṛṣṭhato hataiḥ	Bhu-_06.11.004/1 kim vaH uccaritEH-mAtuH-DAvadBiH pRzWatas hatEH
   BhP_06.11.004/2 na hi bhītavadhaḥ ślāghyo na svargyaḥ śūramāninām	Bhu-_06.11.004/2 na hi BIta-vaDaH SlAGyaH na svargyaH SUra-mAninAm
   BhP_06.11.005/1 yadi vaḥ pradhane śraddhā sāraṃ vā kṣullakā hṛdi	Bhu-_06.11.005/1 yadi vaH praDane SradDA sAram vA kzullakAH hRdi
   BhP_06.11.005/2 agre tiṣṭhata mātraṃ me na cedgrāmyasukhe spṛhā	Bhu-_06.11.005/2 agre tizWata mAtram me na ced-grAmya-suKe spRhA
   BhP_06.11.006/1 evaṃ suragaṇān kruddho bhīṣayan vapuṣā ripūn	Bhu-_06.11.006/1 evam sura-gaNAn krudDaH BIzayan vapuzA ripUn
   BhP_06.11.006/2 vyanadat sumahāprāṇo yena lokā vicetasaḥ	Bhu-_06.11.006/2 vyanadat su-mahA-prANaH yena lokAH vicetasaH
   BhP_06.11.007/1 tena devagaṇāḥ sarve vṛtravisphoṭanena vai	Bhu-_06.11.007/1 tena deva-gaNAH sarve vRtra-visPowanena vE
   BhP_06.11.007/2 nipeturmūrcchitā bhūmau yathaivāśaninā hatāḥ	Bhu-_06.11.007/2 nipetuH-mUrcCitAH BUmO yaTA-eva-aSaninA hatAH
   BhP_06.11.008/1 mamarda padbhyāṃ surasainyamāturaṃ nimīlitākṣaṃ	Bhu-_06.11.008/1 mamarda padByAm sura-sEnyam-Aturam nimIlita-akzam
   raṇaraṅgadurmadaḥ	raNa-raFga-durmadaH
   BhP_06.11.008/2 gāṃ kampayannudyataśūla ojasā nālaṃ vanaṃ	Bhu-_06.11.008/2 gAm kampayan=-udyata-SUlaH ojasA nAlam vanam
   yūthapatiryathonmadaḥ	yUTa-patiH-yaTA-unmadaH
   BhP_06.11.009/1 vilokya taṃ vajradharo 'tyamarṣitaḥ svaśatrave 'bhidravate	Bhu-_06.11.009/1 vilokya tam vajraDaraH ati-amarzitaH sva-Satrave aBidravate
   mahāgadām	mahA-gadAm
   BhP_06.11.009/2 cikṣepa tāmāpatatīṃ suduḥsahāṃ jagrāha vāmena kareṇa	Bhu-_06.11.009/2 cikzepa tAm-ApatatIm su-duHsahAm jagrAha vAmena kareNa
   līlayā	lIlayA
   BhP_06.11.010/1 sa indraśatruḥ kupito bhṛśaṃ tayā mahendravāhaṃ	BhP_06.11.010/1 saH indra-SatruH kupitaH BRSam tayA mahA-indra-vAham
   gadayoruvikramaḥ	gadayA-uru-vikramaH
   BhP_06.11.010/2 jaghāna kumbhasthala unnadan mṛdhe tat karma sarve	Bhu-_06.11.010/2 jaGAna kumBasTalaH unnadan mRDe tat karma sarve
   samapūjayan nṛpa	samapUjayan nRpa
   BhP_06.11.011/1 airāvato vṛtragadābhimṛṣṭo vighūrṇito 'driḥ kuliśāhato	Bhu-_06.11.011/1 ErAvataH vRtra-gada-aBimRzwaH viGUrNitaH adriH kuliSa-AhataH-
   yathā	yaTA
   BhP_06.11.011/2 apāsaradbhinnamukhaḥ sahendro muñcannasṛk	Bhu-_06.11.011/2 apAsarat-Binna-muKaH saha-indraH muQcan=-asRk-
   saptadhanurbhṛśārtaḥ	sapta-DanuH-BRSa-ArtaH
   BhP_06.11.012/1 na sannavāhāya viṣaṇṇacetase prāyuṅkta bhūyaḥ sa gadāṃ	Bhu-_06.11.012/1 na sannavAhAya vizaNNa-cetase prAyuFkta BUyas sa gadAm
   mahātmā	mahAtmA
   BhP_06.11.012/2 indro 'mṛtasyandikarābhimarśa vītavyathakṣatavāho	Bhu-_06.11.012/2 indraH amRta-syandi-kara-aBimarSa vIta-vyaTa-kzata-vAhaH-
   'vatasthe	avatasTe
   BhP_06.11.013/1 sa taṃ nṛpendrāhavakāmyayā ripuṃ vajrāyudhaṃ bhrātṛhaṇaṃ	Bhu-_06.11.013/1 sa tam nRpa-indra-Ahava-kAmyayA ripum vajrAyuDam BrAtR-haNam
   vilokya	vilokya
   BhP_06.11.013/2 smaraṃśca tatkarma nṛśaṃsamaṃhaḥ śokena mohena hasan	Bhu-_06.11.013/2 smaran=-ca tat-karma nRSaMsam-aMhaH Sokena mohena hasan
   jagāda	jagAda
   BhP_06.11.014/0 śrīvṛtra uvāca	BhP_06.11.014/0 SrIvRtraH uvAca
   BhP_06.11.014/1 diṣṭyā bhavān me samavasthito ripur yo brahmahā guruhā	Bhu-_06.11.014/1 dizwyA BavAn me samavasTitaH ripuH yaH brahma-hA guruhA
   bhrātṛhā ca	BrAtR-hA ca
   BhP_06.11.014/2 diṣṭyānṛṇo 'dyāhamasattama tvayā	Bhu-_06.11.014/2 dizwyA-anRNaH adya-aham-asattama tvayA
   macchūlanirbhinnadṛṣaddhṛdācirāt	mad-SUla-nirBinna-dRzat-hRdA-acirAt-
   BhP_06.11.015/1 yo no 'grajasyātmavido dvijāter gurorapāpasya ca	Bhu-_06.11.015/1 yaH naH agrajasi-Atma-vidaH dvijAteH guroH-apApasya ca
   dīkṣitasya	dIkzitasya
   BhP_06.11.015/2 viśrabhya khaḍgena śirāṃsy avṛścat paśorivākaruṇaḥ	Bhu-_06.11.015/2 viSraBya Kaxgena SirAMsi avRScat paSoH-ivAkaruNaH
   svargakāmaḥ	svarga-kAmaH
   BhP_06.11.016/1 śrīhrīdayākīrtibhirujjhitaṃ tvāṃ svakarmaṇā puruṣādaiśca	BhP_06.11.016/1 SrI-hrIdayA-kIrtiBiH-ujJitam tvAm sva-karmaNA puruzAdEH-ca
   garhyam	garhyam
   BhP_06.11.016/2 kṛcchreṇa macchūlavibhinnadeham aspṛṣṭavahniṃ samadanti	Bhu-_06.11.016/2 kRcCreNa mad-SUla-viBinna-deham aspRzwa-vahnim samadanti
   gṛdhrāḥ	gRDrAH
   BhP_06.11.017/1 anye 'nu ye tveha nṛśaṃsamajñā yadudyatāstrāḥ praharanti	Bhu-_06.11.017/1 anye anu ye tvA-iha nRSaMsam-ajQAH yat-udyata-astrAH praharanti
   mahyam	mahyam
   BhP_06.11.017/2 tairbhūtanāthān sagaṇān niśāta	Bhu-_06.11.017/2 tEH-BUta-nATAn sa-gaNAn niSAta
   triśūlanirbhinnagalairyajāmi	triSUla-nirBinna-galEH-yajAmi
   BhP_06.11.018/1 atho hare me kuliśena vīra hartā pramathyaiva śiro yadīha	Bhu-_06.11.018/1 aTo hare me kuliSena vIra hartA pramaTya-eva SiraH yadi-iha
   BhP_06.11.018/2 tatrānṛṇo bhūtabaliṃ vidhāya manasvināṃ pādarajaḥ	Bhu-_06.11.018/2 tatra-anRNaH BUta-balim viDAya manasvinAm pAda-rajaH
   prapatsye	prapatsye
   BhP_06.11.019/1 sureśa kasmān na hinoṣi vajraṃ puraḥ sthite vairiṇi mayy	Bhu-_06.11.019/1 sura-ISa kasmAt na hinozi vajram puras sTite vEriNi mayi-
   amogham	amoGam
   BhP_06.11.019/2 mā saṃśayiṣṭhā na gadeva vajraḥ syān niṣphalaḥ	Bhu-_06.11.019/2 mA saMSayizWA na gadA-iva vajraH syAt nizPalaH
   kṛpaṇārtheva yācñā	kRpaNa-arTA-iva yAcQA
   BhP_06.11.020/1 nanveṣa vajrastava śakra tejasā harerdadhīcestapasā ca	Bhu-_06.11.020/1 nanu-eza vajraH-tava Sakra tejasA hareH-daDIceH-tapasA ca
   tejitaḥ	tejitaH
   BhP_06.11.020/2 tenaiva śatruṃ jahi viṣṇuyantrito yato harirvijayaḥ	Bhu-_06.11.020/2 tena-eva Satrum jahi vizNu-yantritaH yatas hariH-vijayaH
   śrīrguṇāstataḥ	SrIH-guNAH-tatas-
   BhP_06.11.021/1 ahaṃ samādhāya mano yathāha naḥ	Bhu-_06.11.021/1 aham samADAya manaH yaTA-Aha naH
   saṅkarṣaṇastaccaraṇāravinde	saFkarzaNaH-tad-caraNa-aravinde
   BhP_06.11.021/2 tvadvajraraṃholulitagrāmyapāśo gatiṃ muneryāmy	Bhu-_06.11.021/2 tvad-vajra-raMha-ululita-grAmya-pASaH gatim muneH-yAmy
   apaviddhalokaḥ	apavidDa-lokaH
   BhP_06.11.022/1 puṃsāṃ kilaikāntadhiyāṃ svakānāṃ yāḥ sampado divi bhūmau	Bhu-_06.11.022/1 puMsAm kila-ekAnta-DiyAm svakAnAm yAH sampadaH divi BUmO
   rasāyām	rasAyAm
   BhP_06.11.022/2 na rāti yaddveṣa udvega ādhir madaḥ kalirvyasanaṃ	Bhu-_06.11.022/2 na rAti yat-dvezaH udvegaH ADiH madaH kaliH-vyasanam
   samprayāsaḥ	samprayAsaH
   BhP_06.11.023/1 traivargikāyāsavighātamasmat patirvidhatte puruṣasya śakra	Bhu-_06.11.023/1 trEvargika-AyAsa-viGAtam-asmat patiH-viDatte puruzasya Sakra
   BhP_06.11.023/2 tato 'numeyo bhagavatprasādo yo durlabho 'kiñcanagocaro	Bhu-_06.11.023/2 tatas anumeyaH Bagavat-prasAdaH yaH durlaBaH akiQcana-gocaraH-
   'nyaiḥ	anyEH
   BhP_06.11.024/1 ahaṃ hare tava pādaikamūla dāsānudāso bhavitāsmi bhūyaḥ	Bhu-_06.11.024/1 aham hare tava pAda-eka-mUla dAsAn-udAsaH BavitAsmi BUyas-
   BhP_06.11.024/2 manaḥ smaretāsupaterguṇāṃste gṛṇīta vāk karma karotu kāyaḥ	Bhu-_06.11.024/2 manaH smareta-asupateH-guNAn=-te gRNIta vAc karma karotu kAyaH
   BhP_06.11.025/1 na nākapṛṣṭhaṃ na ca pārameṣṭhyaṃ na sārvabhaumaṃ na	Bhu-_06.11.025/1 na nAka-pRzWam na ca pAramezWyam na sArvaBOmam na
   rasādhipatyam	rasa-ADipatyam
   BhP_06.11.025/2 na yogasiddhīrapunarbhavaṃ vā samañjasa tvā virahayya	Bhu-_06.11.025/2 na yoga-sidDIra-punarBavam vA samaQjasa tvA virahayya
   kāṅkṣe	kAFkze
   BhP_06.11.026/1 ajātapakṣā iva mātaraṃ khagāḥ stanyaṃ yathā vatsatarāḥ	Bhu-_06.11.026/1 ajAta-pakzAH iva mAtaram KagAH stanyam yaTA vatsatarAH
   kṣudhārtāḥ	kzuDA-ArtAH
   BhP_06.11.026/2 priyaṃ priyeva vyuṣitaṃ viṣaṇṇā mano 'ravindākṣa didṛkṣate	Bhu-_06.11.026/2 priyam priyA-iva vyuzitam vizaNNA manaH aravinda-akza didRkzate
   tvām	tvAm
   BhP_06.11.027/1 mamottamaślokajaneṣu sakhyaṃ saṃsāracakre bhramataḥ	Bhu-_06.11.027/1 mama-uttamaSloka-janezu saKyam saMsAra-cakre BramataH
   svakarmabhiḥ	sva-karmaBiH
   BhP_06.11.027/2 tvanmāyayātmātmajadārageheṣv āsaktacittasya na nātha	Bhu-_06.11.027/2 tvad-mAyayA-Atma-Atmaja-dAra-gehezu Asakta-cittasya na nATa
   bhūyāt	BUyAt-
   BhP_06.12.001/0 śrīṛṣiruvāca	BhP_06.12.001/0 SrIRziH-uvAca
   BhP_06.12.001/1 evaṃ jihāsurnṛpa dehamājau mṛtyuṃ varaṃ vijayān manyamānaḥ	Bhu-_06.12.001/1 evam jihAsuH-nRpa deham-AjO mRtyum varam vijayAt manyamAnaH
   BhP_06.12.001/2 śūlaṃ pragṛhyābhyapatat surendraṃ yathā mahāpuruṣaṃ	Bhu-_06.12.001/2 SUlam pragRhya-aByapatat sura-indram yaTA mahApuruzam
   kaiṭabho 'psu	kEwaBaH apsu
   BhP_06.12.002/1 tato yugāntāgnikaṭhorajihvam āvidhya śūlaṃ tarasāsurendraḥ	Bhu-_06.12.002/1 tatas yugAnta-agni-kaWoH-a-jihvam AviDya SUlam tarasA-asura-indraH
   BhP_06.12.002/2 kṣiptvā mahendrāya vinadya vīro hato 'si pāpeti ruṣā	Bhu-_06.12.002/2 kziptvA mahA-indrAya vinadya vIraH hataH asi pApa-iti ruzA
   jagāda	jagAda
   BhP_06.12.003/1 kha āpatat tadvicaladgraholkavan nirīkṣya	Bhu-_06.12.003/1 Ke Apatat tad-vicalat-graha-ulka-vat nirIkzya
   duṣprekṣyamajātaviklavaḥ	duzprekzyam-ajAta-viklavaH
   BhP_06.12.003/2 vajreṇa vajrī śataparvaṇācchinad bhujaṃ ca	Bhu-_06.12.003/2 vajreNa vajrI SataparvaNa-AcCinat Bujam ca
   tasyoragarājabhogam	tasya-uraga-rAja-Bogam
   BhP_06.12.004/1 chinnaikabāhuḥ parigheṇa vṛtraḥ saṃrabdha āsādya	Bhu-_06.12.004/1 Cinna-ekabAhuH pariGeNa vRtraH saMrabDaH AsAdya
   gṛhītavajram	gRhIta-vajram
   BhP_06.12.004/2 hanau tatāḍendramathāmarebhaṃ vajraṃ ca hastān nyapatan	Bhu-_06.12.004/2 hanO tatAxa-indram-aTa-amareBam vajram ca hastAt nyapatan
   maghonaḥ	maGonaH
   BhP_06.12.005/1 vṛtrasya karmātimahādbhutaṃ tat	Bhu-_06.12.005/1 vRtrasya karma-ati-mahA-adButam tat-
   surāsurāścāraṇasiddhasaṅghāḥ	sura-asurAH-cAraNa-sidDa-saFGAH
   BhP_06.12.005/2 apūjayaṃstat puruhūtasaṅkaṭaṃ nirīkṣya hā heti	Bhu-_06.12.005/2 apUjayan=-tat puruhUta-saFkawam nirIkzya hA hA-iti
   vicukruśurbhṛśam	vicukruSuH-BRSam
   BhP_06.12.006/1 indro na vajraṃ jagṛhe vilajjitaś cyutaṃ	Bhu-_06.12.006/1 indraH na vajram jagRhe vilajjitaH cyutam
   svahastādarisannidhau punaḥ	sva-hastAt-ari-sanniDO punar-
   BhP_06.12.006/2 tamāha vṛtro hara āttavajro jahi svaśatruṃ na viṣādakālaḥ	Bhu-_06.12.006/2 tam-Aha vRtraH hare Atta-vajraH jahi sva-Satrum na vizAda-kAlaH
   BhP_06.12.007/1 yuyutsatāṃ kutracidātatāyināṃ jayaḥ sadaikatra na vai	Bhu-_06.12.007/1 yuyutsatAm kutracid-AtatAyinAm jayaH sadA-ekatra na vE
   parātmanām	para-AtmanAm
   BhP_06.12.007/2 vinaikamutpattilayasthitīśvaraṃ sarvajñamādyaṃ puruṣaṃ	Bhu-_06.12.007/2 vinA-ekam-utpatti-laya-sTiti-ISvaram sarvajQam-Adyam puruzam
   sanātanam	sanAtanam
   BhP_06.12.008/1 lokāḥ sapālā yasyeme śvasanti vivaśā vaśe	Bhu-_06.12.008/1 lokAH sa-pAlAH yasya-ime Svasanti vivaSAH vaSe
   BhP_06.12.008/2 dvijā iva śicā baddhāḥ sa kāla iha kāraṇam	Bhu-_06.12.008/2 dvijAH iva SicAH badDAH sa kAlaH iha kAraNam
   BhP_06.12.009/1 ojaḥ saho balaṃ prāṇamamṛtaṃ mṛtyumeva ca	BhP_06.12.009/1 ojaH sahaH balam prANam-amRtam mRtyum-eva ca
   BhP_06.12.009/2 tamajñāya jano hetumātmānaṃ manyate jaḍam	Bhu-_06.12.009/2 tam-ajQAya janaH hetum-AtmAnam manyate jaxam
   BhP_06.12.010/1 yathā dārumayī nārī yathā patramayo mṛgaḥ	Bhu-_06.12.010/1 yaTA dAru-mayI nArI yaTA patra-mayaH mRgaH
   BhP_06.12.010/2 evaṃ bhūtāni maghavannīśatantrāṇi viddhi bhoḥ	Bhu-_06.12.010/2 evam BUtAni maGa-van=-ISa-tantrANi vidDi BoH
   BhP_06.12.011/1 puruṣaḥ prakṛtirvyaktamātmā bhūtendriyāśayāḥ	Bhu-_06.12.011/1 puruzaH prakRtiH-vyaktam-AtmA BUta-indriya-ASayAH
   BhP_06.12.011/2 śaknuvanty asya sargādau na vinā yadanugrahāt	Bhu-_06.12.011/2 Saknuvanti asya sarga-AdO na vinA yad-anugrahAt
   BhP_06.12.012/1 avidvān evamātmānaṃ manyate 'nīśamīśvaram	Bhu-_06.12.012/1 avidvAn evam-AtmAnam manyate anISam-ISvaram
   BhP_06.12.012/2 bhūtaiḥ sṛjati bhūtāni grasate tāni taiḥ svayam	Bhu-_06.12.012/2 BUtEH sRjati BUtAni grasate tAni tEH svayam
   BhP_06.12.013/1 āyuḥ śrīḥ kīrtiraiśvaryamāśiṣaḥ puruṣasya yāḥ	BhP_06.12.013/1 AyuH SrIH kIrtiH-ESvaryam-ASizaH puruzasya yAH
   BhP_06.12.013/2 bhavanty eva hi tatkāle yathānicchorviparyayāḥ	Bhu-_06.12.013/2 Bavanti eva hi tad-kAle yaTA-anicCoH-viparyayAH
   BhP_06.12.014/1 tasmādakīrtiyaśasorjayāpajayayorapi	Bhu-_06.12.014/1 tasmAt-akIrti-yaSasa-Urjaya-apajayayoH-api
   BhP_06.12.014/2 samaḥ syāt sukhaduḥkhābhyāṃ mṛtyujīvitayostathā	BhP_06.12.014/2 samaH syAt suKa-duHKAByAm mRtyu-jIvitayoH-taTA
   BhP_06.12.015/1 sattvaṃ rajastama iti prakṛternātmano guṇāḥ	Bhu-_06.12.015/1 sattvam rajaH-tamaH iti prakRteH-na-AtmanaH guNAH
   BhP_06.12.015/2 tatra sākṣiṇamātmānaṃ yo veda sa na badhyate	Bhu-_06.12.015/2 tatra sAkziNam-AtmAnam yaH veda sa na baDyate
   BhP_06.12.016/1 paśya māṃ nirjitaṃ śatru vṛkṇāyudhabhujaṃ mṛdhe	Bhu-_06.12.016/1 paSya mAm nirjitam Satru vRkNa-AyuDa-Bujam mRDe
   BhP_06.12.016/2 ghaṭamānaṃ yathāśakti tava prāṇajihīrṣayā	Bhu-_06.12.016/2 GawamAnam yaTASakti tava prANa-jihIrzayA
   BhP_06.12.017/1 prāṇaglaho 'yaṃ samara iṣvakṣo vāhanāsanaḥ	BhP_06.12.017/1 prANa-glahaH ayam samaraH izu-akzaH vAhana-AsanaH
   BhP_06.12.017/2 atra na jñāyate 'muṣya jayo 'muṣya parājayaḥ	Bhu-_06.12.017/2 atra na jQAyate amuzya jayaH amuzya parAjayaH
   BhP_06.12.018/0 śrīśuka uvāca	BhP_06.12.018/0 SrI-SukaH uvAca
   BhP_06.12.018/1 indro vṛtravacaḥ śrutvā gatālīkamapūjayat	Bhu-_06.12.018/1 indraH vRtra-vacaH SrutvA gata-alIkam-apUjayat
   BhP_06.12.018/2 gṛhītavajraḥ prahasaṃstamāha gatavismayaḥ	Bhu-_06.12.018/2 gRhIta-vajraH prahasan=-tam-Aha gata-vismayaH
   BhP_06.12.019/0 indra uvāca	Bhu-_06.12.019/0 indraH uvAca
   BhP_06.12.019/1 aho dānava siddho 'si yasya te matirīdṛśī	Bhu-_06.12.019/1 aho dAnava sidDaH asi yasya te matiH-IdRSI
   BhP_06.12.019/2 bhaktaḥ sarvātmanātmānaṃ suhṛdaṃ jagadīśvaram	Bhu-_06.12.019/2 BaktaH sarva-AtmanA-AtmAnam suhRdam jagat-ISvaram
   BhP_06.12.020/1 bhavān atārṣīn māyāṃ vai vaiṣṇavīṃ janamohinīm	Bhu-_06.12.020/1 BavAn atArzIn mAyAm vE vEzNavIm jana-mohinIm
   BhP_06.12.020/2 yadvihāyāsuraṃ bhāvaṃ mahāpuruṣatāṃ gataḥ	Bhu-_06.12.020/2 yat-vihAya-asuram BAvam mahApuruza-tAm gataH
   BhP_06.12.021/1 khalvidaṃ mahadāścaryaṃ yadrajaḥprakṛtestava	Bhu-_06.12.021/1 Kalu-idam mahat-AScaryam yat-rajaH-prakRteH-tava
   BhP_06.12.021/2 vāsudeve bhagavati sattvātmani dṛḍhā matiḥ	Bhu-_06.12.021/2 vAsudeve Bagavati sattva-Atmani dRXA matiH
   BhP_06.12.022/1 yasya bhaktirbhagavati harau niḥśreyaseśvare	Bhu-_06.12.022/1 yasya BaktiH-Bagavati harO niHSreyaseSvare
   BhP_06.12.022/2 vikrīḍato 'mṛtāmbhodhau kiṃ kṣudraiḥ khātakodakaiḥ	Bhu-_06.12.022/2 vikrIxataH amRta-amBoDO kim kzudrEH KAtaka-udakEH
   BhP_06.12.023/0 śrīśuka uvāca	BhP_06.12.023/0 SrI-SukaH uvAca
   BhP_06.12.023/1 iti bruvāṇāvanyonyaṃ dharmajijñāsayā nṛpa	Bhu-_06.12.023/1 iti bruvANO=-anyonyam Darma-jijQAsayA nRpa
   BhP_06.12.023/2 yuyudhāte mahāvīryāvindravṛtrau yudhāmpatī	Bhu-_06.12.023/2 yuyuDAte mahA-vIryO=-indra-vRtrO yuDAmpatI
   BhP_06.12.024/1 āvidhya parighaṃ vṛtraḥ kārṣṇāyasamarindamaḥ	Bhu-_06.12.024/1 AviDya pariGam vRtraH kArzNAyasam-arindamaH
   BhP_06.12.024/2 indrāya prāhiṇodghoraṃ vāmahastena māriṣa	Bhu-_06.12.024/2 indrAya prAhiNot-Goram vAma-hastena mAriza
   BhP_06.12.025/1 sa tu vṛtrasya parighaṃ karaṃ ca karabhopamam	BhP_06.12.025/1 sa tu vRtrasya pariGam karam ca karaBa-upamam
   BhP_06.12.025/2 ciccheda yugapaddevo vajreṇa śataparvaṇā	Bhu-_06.12.025/2 cicCeda yugapad-devaH vajreNa SataparvaNA
   BhP_06.12.026/1 dorbhyāmutkṛttamūlābhyāṃ babhau raktasravo 'suraḥ	Bhu-_06.12.026/1 dorByAm-utkRtta-mUlAByAm baBO rakta-sravaH asuraH
   BhP_06.12.026/2 chinnapakṣo yathā gotraḥ khādbhraṣṭo vajriṇā hataḥ	Bhu-_06.12.026/2 Cinna-pakzaH yaTA gotraH KAt-BrazwaH vajriNA hataH
   BhP_06.12.027/1 mahāprāṇo mahāvīryo mahāsarpa iva dvipam	Bhu-_06.12.027/1 mahA-prANaH mahA-vIryaH mahA-sarpaH iva dvipam
   BhP_06.12.027/2 kṛtvādharāṃ hanuṃ bhūmau daityo divy uttarāṃ hanum	Bhu-_06.12.027/2 kRtvA-aDarAm hanum BUmO dEtyaH divi uttarAm hanum
   BhP_06.12.028/1 nabhogambhīravaktreṇa leliholbaṇajihvayā	Bhu-_06.12.028/1 naBaH-gamBIra-vaktreNa lelihA-ulbaNa-jihvayA
   BhP_06.12.028/2 daṃṣṭrābhiḥ kālakalpābhirgrasanniva jagattrayam	Bhu-_06.12.028/2 daMzwrABiH kAla-kalpABiH-grasan=-iva jagattrayam
   BhP_06.12.029/1 atimātramahākāya ākṣipaṃstarasā girīn	Bhu-_06.12.029/1 atimAtra-mahA-kAyaH Akzipan=-tarasA girIn
   BhP_06.12.029/2 girirāṭ pādacārīva padbhyāṃ nirjarayan mahīm	Bhu-_06.12.029/2 giri-rAj pAda-cArI-iva padByAm nirjarayan mahIm
   BhP_06.12.030/1 jagrāsa sa samāsādya vajriṇaṃ sahavāhanam	Bhu-_06.12.030/1 jagrAsa sa samAsAdya vajriNam saha-vAhanam
   BhP_06.12.030/2 vṛtragrastaṃ tamālokya saprajāpatayaḥ surāḥ	Bhu-_06.12.030/2 vRtra-grastam tam-Alokya sa-prajApatayaH surAH
   BhP_06.12.030/3 hā kaṣṭamiti nirviṇṇāścukruśuḥ samaharṣayaḥ	Bhu-_06.12.030/3 hA kazwam-iti nirviNNAH-cukruSuH sa-mahA-RzayaH
   BhP_06.12.031/1 nigīrṇo 'py asurendreṇa na mamārodaraṃ gataḥ	Bhu-_06.12.031/1 nigIrNaH api asura-indreNa na mamArodaram gataH
   BhP_06.12.031/2 mahāpuruṣasannaddho yogamāyābalena ca	Bhu-_06.12.031/2 mahApuruza-sannadDaH yoga-mAyA-balena ca
   BhP_06.12.032/1 bhittvā vajreṇa tatkukṣiṃ niṣkramya balabhidvibhuḥ	Bhu-_06.12.032/1 BittvA vajreNa tad-kukzim nizkramya balaBid-viBuH
   BhP_06.12.032/2 uccakarta śiraḥ śatrorgiriśṛṅgamivaujasā	Bhu-_06.12.032/2 uccakarta SiraH SatroH-giri-SRFgam-iva-ojasA
   BhP_06.12.033/1 vajrastu tatkandharamāśuvegaḥ kṛntan samantāt	BhP_06.12.033/1 vajraH-tu tad-kanDaram-ASu-vegaH kRntan samantAt-
   parivartamānaḥ	parivartamAnaH
