   kṛtirmaitreyanāthasya //	kRtiH-mEtreya-nATasya //
   bhāvanākhyena kiṃ hinaṃ vartmanā kimudāgatam // Abhs_4.56 //	BAvanA-AKyena kim hinam vartmanA kim-udAgatam // ABH-_4.56 //
   yathā bodhistathaivāsāviṣṭasyārthasya sādhakaḥ /	yaTA boDiH-taTA-eva-AsO=-izwasya-arTasya sADakaH /
   tathatālakṣaṇā bodhiḥ so 'pi tallakṣaṇo mataḥ // Abhs_4.57 //	taTatA-lakzaNAH boDiH saH api tad-lakzaNaH mataH // ABH-_4.57 //
   pūrveṇa bodhirno yuktā manasā paścimena vā /	pUrveNa boDiH-naH yuktAH manasA paScimena vA /
   dīpadṛṣṭāntayogenagambhīrā dharmatāṣṭadhā // Abhs_4.58 //	dIpa-dRzwAnta-yogena-gamBIrAH DarmatA-azwaDA // ABH-_4.58 //
   utpāde ca nirodhe ca tathatāyāṃ gabhīratā /	utpAde ca niroDe ca taTatAyAm gaBIra-tA /
   jñeye dāne ca caryāyāmadvayopāyakauśale ca // Abhs_4.59 //	jQeye dAne ca caryA-AyAma-dvaya-upAya-kOSale ca // ABH-_4.59 //
   svapnopamatvāddharmāṇāṃ bhavaśāntyorakalpanā /	svapna-upama-tvAt-DarmANAm Bava-SAntyoH-akalpanA /
   karmābhāvādicodyānāṃ parihārā yathoditāḥ // Abhs_4.60 //	karma-aBAva-Adi-codyAnAm parihArAH yaTA-uditAH // ABH-_4.60 //
   sattvalokasya yā śuddhistasyāḥ suddhyupahārataḥ /	sattva-lokasya yA SudDiH-tasyAH sudDi-upahArataH /
   tathā bhājanalokasya buddhakṣetrasya śuddhatā // Abhs_4.61 //	taTA BAjana-lokasya budDa-kzetrasya SudDa-tA // ABH-_4.61 //
   viṣayo 'sya prayogaśca śātravāṇāmatikramaḥ /	vizayaH asya prayogaH-ca SAtravANAm-atikramaH /
   apratiṣṭho yathāvedhamasādhāraṇalakṣaṇaḥ // Abhs_4.62 //	apratizWaH yaTA-veDam-asADAraNa-lakzaNaH // ABH-_4.62 //
   asakto 'nupalambhaśca nimittapraṇidhikṣataḥ /	asaktaH anupalamBaH-ca nimitta-praNiDi-kzataH /
   lalliṅgaścāpramāṇaśca daśadhopāyakauśalam // Abhs_4.63 //	lalliFgaH-ca-apramANaH-ca daSaDA-upAya-kOSalam // ABH-_4.63 //
   // abhisamayālaṅkāre prajñāpāramitopadeśaśāstre	// aBisamaya-alaFkAre prajQApAramitA-upadeSa-SAstre
   sarvākārābhisaṃbodhādhikāraś caturthaḥ //	sarva-AkAra-aBisaMboDa-aDikAraH caturTaH //
   svapnāntare 'pi svapnābhasarvadharmekṣaṇādikam /	svapna-antare api svapna-ABa-sarva-Darma-IkzaNa-Adikam /
   murdhaprāptasya yogasya liṅgaṃ dvādaśadhā matam // Abhs_5.1 //	murDa-prAptasya yogasya liFgam dvAdaSaDA matam // ABH-_5.1 //
   jambudvipajaneyattābuddhapūjāśubhādikām /	jambu-dvipa-janeyatta-abudDa-pUjA-SuBa-AdikAm /
   upamāṃ bahudhā kṛtvā vivṛddhiḥ ṣoḍaśātmikā // Abhs_5.2 //	upamAm bahuDA kRtvA vivRdDiH zoxaSa-AtmikA // ABH-_5.2 //
   trisarvajñatvadharmāṇāṃ paripuriranuttarā /	tri-sarvajQa-tva-DarmANAm paripuriH-anuttarA /
   aparityaktasattvārthā nirūḍhirabhidhīyate // Abhs_5.3 //	aparityakta-sattva-arTAH nirUXiH-aBiDIyate // ABH-_5.3 //
   caturdvipakasāhasradvitrisāhasrakopamaḥ /	catur-dvipaka-sAhasra-dvi-tri-sAhasraka-upamaH /
   kṛtvā puṇyabahutvena samādhiḥ parikīrtitaḥ // Abhs_5.4 //	kRtvA puNya-bahu-tvena samADiH parikIrtitaH // ABH-_5.4 //
   pravṛttau ca nivṛttau ca pratyekaṃ tau navātmakau /	pravRttO ca nivRttO ca pratyekam tO nava-AtmakO /
   grāhyau vikalpau vijñeyāvayāthāviṣayātmakau // Abhs_5.5 //	grAhyO vikalpO vijQeya-avayATA-vizaya-AtmakO // ABH-_5.5 //
   dravyaprajñaptisatsattvavikalpau grāhakau matau /	dravya-prajQapti-sat-sattva-vikalpO grAhakO matO /
   pṛthagjanāryabhedena pratyekaṃ tau navātmakau // Abhs_5.6 //	pRTagjana-Arya-Bedena pratyekam tO nava-AtmakO // ABH-_5.6 //
   grāhyau cenna tathā sto 'rthau kasya tau grāhakau matau /	grAhyO ced-na taTA staH arTO kasya tO grAhakO matO /
   iti grāhakabhāvena śunyatālakṣaṇaṃ tayoḥ // Abhs_5.7 //	iti grAhaka-BAvena SunyatA-lakzaNam tayoH // ABH-_5.7 //
   eṣa svabhāve gotre ca pratipatsamudāgame /	eza svaBAve gotre ca pratipad-samudAgame /
   jñānasyālambanābhrāntau pratipakṣavipakṣayoḥ // Abhs_5.8 //	jQAnasya-Alambana-aBra-antO pratipakza-vipakzayoH // ABH-_5.8 //
   svasminnadhigame kartṛtatkāritrakriyāphale /	svasmin=-aDigame kartR-tad-kAritra-kriyA-Pale /
   pravṛttipakṣādhiṣṭhāno vikalpo navadhā mataḥ // Abhs_5.9 //	pravRtti-pakza-aDizWAnaH vikalpaH navaDA mataH // ABH-_5.9 //
   bhavaśāntiprapātitvānnyūnatve 'dhigamasya ca /	Bava-SAnti-prapAti-tvAt-nyUna-tve aDigamasya ca /
   parigrahasyābhāve ca vaikalye pratipadgate // Abhs_5.10 //	parigrahasya-aBAve ca vEkalye pratipad-gate // ABH-_5.10 //
   parapratyayagāmitve samuddeśanivartane /	para-pratyaya-gAmi-tve samuddeSa-nivartane /
   prādeśikatve nānātve sthānaprasthānamohayoḥ // Abhs_5.11 //	prAdeSika-tve nAnAtve sTAna-prasTAna-mohayoH // ABH-_5.11 //
   pṛṣṭhato gamane ceti vikalpo 'yaṃ navātmakaḥ /	pRzWatas gamane ca-iti vikalpaH ayam nava-AtmakaH /
   nivṛttipakṣādhiṣṭhānaḥ śrāvakādimanobhavaḥ // Abhs_5.12 //	nivRtti-pakza-aDizWAnaH SrAvaka-Adi-manoBavaH // ABH-_5.12 //
   grāhakaḥ prathamo jñeyo gragaṇapratimokṣaṇe /	grAhakaH praTamaH jQeyaH gragaNa-pratimokzaNe /
   manaskriyāyāṃ dhātūnāmupaśleṣe trayasya ca // Abhs_5.13 //	manaskriyAyAm DAtUnAm-upaSleze trayasya ca // ABH-_5.13 //
   sthāne cābhiniveśe ca prajñaptau dharmavastunaḥ /	sTAne ca-aBiniveSe ca prajQaptO Darma-vastunaH /
   saktau ca pratipakṣe ca yathecChaṃ ca gatikṣatau // Abhs_5.14 //	saktO ca pratipakze ca yaTecCham ca gati-kzatO // ABH-_5.14 //
   yathoddeśamaniryāṇe mārgāmārgāvadhāraṇe /	yaTA-uddeSam-aniryANe mArga-amArga-avaDAraNe /
   sanirodhe samutpāde vastuyogaviyogayoḥ // Abhs_5.15 //	sa-niroDe samutpAde vastu-yoga-viyogayoH // ABH-_5.15 //
   sthāne gotrasya nāśe ca prārthanāhetvabhāvayoḥ /	sTAne gotrasya nASe ca prArTanA-hetu-aBAvayoH /
   pratyarthikopalambhe ca vikalpo grāhako 'paraḥ // Abhs_5.16 //	pratyarTika-upalamBe ca vikalpaH grAhakaH aparaH // ABH-_5.16 //
   bodhau sandarśanānyeṣāṃ taddhetośca parindanā /	boDO san-darSanAni-ezAm tad-hetoH-ca parindanAH /
   tatprāptyanantaro hetuḥ puṇyabāhulyalakṣaṇaḥ // Abhs_5.17 //	tad-prApti-anantaraH hetuH puNya-bAhulya-lakzaNaH // ABH-_5.17 //
   kṣayānutpādayorjñāne malānāṃ bodhirūcyate /	kzaya-anutpAdayoH-jQAne malAnAm boDiH-Ucyate /
   kṣayābhāvādanutpādātte hi jñeye yathākramam // Abhs_5.18 //	kzaya-aBAvAt-anutpAdAt-te hi jQeye yaTAkramam // ABH-_5.18 //
   prakṛtāvaniruddhāyāṃ darśanākhyena vartmanā /	prakRtO=-anirudDAyAm darSana-AKyena vartmanA /
   vikalpajātaṃ kiṃ kṣīṇaṃ vānutpattimāgatam // Abhs_5.19 //	vikalpa-jAtam kim kzINam vA-anutpattim-Agatam // ABH-_5.19 //
   sattā ca nāma dharmāṇāṃ jñeye cāvaraṇakṣayaḥ /	sattA ca nAma DarmANAm jQeye ca-AvaraNa-kzayaH /
   kathyate yatparaiḥ śāsturatra vismīyate mayā // Abhs_5.20 //	kaTyate yat-parEH SAstuH-atra vismIyate mayA // ABH-_5.20 //
   nāpaneyamataḥ kiṃcitprakṣeptavyaṃ na kiṃcana /	na-apaneyam-atas kiMcid-prakzeptavyam na kiMcana /
   draṣṭavyaṃ bhūtato bhūtaṃ bhūtadarśī vimucyate // Abhs_5.21 //	drazwavyam BUtataH BUtam BUta-darSI vimucyate // ABH-_5.21 //
   ekaikasyaiva dānādau teṣāṃ yaḥ saṃgraho mithaḥ /	ekEkasya-eva dAna-AdO tezAm yaH saMgrahaH miTas /
   sa ekakṣaṇikaḥ kṣāntisaṃgṛhīto 'tra dṛkpathe // Abhs_5.22 //	saH ekakzaNikaH kzAnti-saMgRhItaH atra dRkpaTe // ABH-_5.22 //
   sa samādhiṃ samāpadya tataḥ siṃhavijṛmbhitam /	sa samADim samApadya tatas siMha-vijRmBitam /
   anulomaṃ vilomaṃ pratītyotpādamīkṣate // Abhs_5.23 //	anulomam vilomam pratItya-utpAdam-Ikzate // ABH-_5.23 //
   kāmāptamavadhīkṛtya vijñānamasamāhitam /	kAma-Aptam-avaDIkRtya vijQAnam-asamAhitam /
   sanirodhāḥ samāpattīrgatvāgamya nava dvidhā // Abhs_5.24 //	sa-niroDAH samApattIH-gatvA-Agamya nava dviDA // ABH-_5.24 //
   ekadvitricatuḥpañcaṣaṭsaptāṣṭavyatikramāt /	eka-dvi-tri-catur-paQca-zaz-sapta-azwa-vyatikramAt /
   avaskandasamāpattirāniroodhamatulyatā // Abhs_5.25 //	avaskanda-samApattiH-AnirooDam-atulya-tA // ABH-_5.25 //
   saṃkṣepe vistare buddhaiḥ sanāthyenāparigrahe /	saMkzepe vistare budDEH sa-nATyena-aparigrahe /
   traikālike guṇābhāve śreyasastrividhe pathi // Abhs_5.26 //	trEkAlike guNa-aBAve SreyasaH-triviDe paTi // ABH-_5.26 //
   eko grāhyavikalpo 'yaṃ prayogākāragocaraḥ /	ekaH grAhya-vikalpaH ayam prayoga-AkAra-gocaraH /
   dvitīyaścittacaittānāṃ pravṛttiviṣayo mataḥ // Abhs_5.27 //	dvitIyaH-citta-cEttAnAm pravRtti-vizayaH mataH // ABH-_5.27 //
   anutpādastu cittasya bodhimaṇḍāmanaskriyā /	anutpAdaH-tu cittasya boDimaNxAmanaskriyA /
   hīnayānamanaskārau saṃbodheramanaskṛtiḥ // Abhs_5.28 //	hIna-yAna-manaskArO saMboDeramanaskRtiH // ABH-_5.28 //
   bhāvane 'bhāvane caiva tadviparyaya eva ca /	BAvane aBAvane ca-eva tad-viparyayaH eva ca /
   ayathārthaśca vijñeyo vikalpo bhāvanāpathe // Abhs_5.29 //	ayaTArTaH-ca vijQeyaH vikalpaH BAvanA-paTe // ABH-_5.29 //
   grāhakaḥ prathamo jñeyaḥ sattvaprajñaptigocaraḥ /	grAhakaH praTamaH jQeyaH sattva-prajQapti-gocaraH /
   dharmaprajñaptyaśūnyatve saktipravicayātmakaḥ // Abhs_5.30 //	Darma-prajQapti-aSUnya-tve sakti-pravicaya-AtmakaH // ABH-_5.30 //
   kṛtena vastuno yānatritaye ca sa kīrtitaḥ /	kRtena vastunaH yAna-tritaye ca sa kIrtitaH /
   dakṣiṇāyā aśuddhau ca caryāyāśca vikopane // Abhs_5.31 //	dakziNAyAH aSudDO ca caryAyAH-ca vikopane // ABH-_5.31 //
   sattvaprajñaptitaddhetuviṣayo navadhāparaḥ /	sattva-prajQapti-tad-hetu-vizayaH navaDA-paraH /
   bhāvanāmārgasaṃbuddho vipakṣastadvighātataḥ // Abhs_5.32 //	BAvanA-mArga-saMbudDaH vipakzaH-tad-viGAtataH // ABH-_5.32 //
   sarvajñatānāṃ tisR^īṇāṃ yathāsvaṃ trividhāvṛtau /	sarvajQa-tAnAm tisR^INAm yaTAsvam triviDO=-RtO /
   śāntimārge tathatādisaṃprayogaviyogayoḥ // Abhs_5.33 //	SAnti-mArge taTatA-Adi-saMprayoga-viyogayoH // ABH-_5.33 //
   asamatve ca duḥkhādau kleśānāṃ prakṛtāvapi /	asamatve ca duHKa-AdO kleSAnAm prakRtO=-api /
   dvayābhāve ca saṃmohe vikalpaḥ paścimo mataḥ // Abhs_5.34 //	dvaya-aBAve ca saMmohe vikalpaH paScimaH mataH // ABH-_5.34 //
   āsāṃ kṣaye satītīnāṃ cirāyocChvasitā iva /	AsAm kzaye satItInAm cirAya-ucShvasitAH iva /
   sarvākārajagatsaukhyasādhanā guṇasaṃpadaḥ // Abhs_5.35 //	sarva-AkAra-jagat-sOKya-sADanAH guNa-saMpadaH // ABH-_5.35 //
   sarvāḥ sarvābhisāreṇa nikāmaphalaśālinam /	sarvAH sarva-aBisAreNa nikAma-Pala-SAlinam /
   bhajante taṃ mahāsattvaṃ mahodadhimivāpagāḥ // Abhs_5.36 //	Bajante tam mahAsattvam mahA-udaDim-iva-ApagAH // ABH-_5.36 //
   trisāhasrajanaṃ śiṣyakhaḍgādhigamasaṃpadi /	tri-sAhasra-janam Sizya-Kaxga-aDigama-saMpadi /
   bodhisattvasya ca nyāmo pratiṣṭāpya śubhopamāḥ // Abhs_5.37 //	boDisattvasya ca nyAmaH pratizwApya SuBa-upamAH // ABH-_5.37 //
   kṛtvā puṇyabahutvena buddhatvapteranantaraḥ /	kRtvA puNya-bahu-tvena budDatvapteH-anantaraH /
   ānantaryasamādhiḥ sa sarvākārajñatā ca tat // Abhs_5.38 //	Anantarya-samADiH sa sarva-AkAra-jQa-tA ca tat // ABH-_5.38 //
   ālambanamabhāvo 'sya smṛtiścādhipatirmataḥ /	Alambanam-aBAvaH asya smRtiH-ca-aDipatiH-mataH /
   ākāraḥ śāntatā cātra jalpājalpipravādinām // Abhs_5.39 //	AkAraH SAnta-tA ca-atra jalpA-jalpi-pravAdinAm // ABH-_5.39 //
   ālambanopapattau ca tatsvabhāvāvadhārraṇe /	Alambana-upapattO ca tad-svaBAva-avaDArraNe /
   sarvākārajñatājñāne paramārthe sasaṃvṛtau // Abhs_5.40 //	sarva-AkAra-jQa-tA-jQAne parama-arTe sa-saMvRtO // ABH-_5.40 //
   prayoge triṣu ratneṣu sopāye samaye muneḥ /	prayoge trizu ratnezu sa-upAye samaye muneH /
   viparyāse samārge ca pratipakṣavipakṣayoḥ // Abhs_5.41 //	viparyAse sa-mArge ca pratipakza-vipakzayoH // ABH-_5.41 //
   lakṣaṇe bhāvanāyāṃ ca matā vipratipattayaḥ /	lakzaNe BAvanAyAm ca matAH vipratipattayaH /
   sarvākārajñatādhārā ṣoḍhā daśa ca cādinām // Abhs_5.42 //	sarva-AkAra-jQa-tA-DArA zoXA daSa ca ca-AdinAm // ABH-_5.42 //
   // abhisamayālaṅkāre prajñāpāramitopadeśaśāstre	// aBisamaya-alaFkAre prajQApAramitA-upadeSa-SAstre
   mūrdhābhisamayādhikāraḥ pañcamaḥ //	mUrDABisamaya-aDikAraH paQcamaH //
   dānena prajñayā yāvadbuddhādau smṛtibhiśca sā /	dAnena prajQayA yAvat-budDa-AdO smRtiBiH-ca sA /
   dharmābhāvasvabhāvenetyanupūrvakriyā matā // Abhs_6.1 //	Darma-aBAva-svaBAvena-iti-anupUrva-kriyA matA // ABH-_6.1 //
   // abhisamayālaṅkāre prajñāpāramitopadeśaśāstre	// aBisamaya-alaFkAre prajQApAramitA-upadeSa-SAstre
   anupurvābhisamayādhikāraḥ ṣaṣṭhaḥ //	anupurvA-aBisamaya-aDikAraH zazWaH //
   anūsravāṇāṃ sarveṣāmekaikenāpi saṃgrahāt /	anUsravANAm sarvezAm-ekEkena-api saMgrahAt /
   ekakṣaṇāvabodho 'yaṃ jñeyo dānādinā muneḥ // Abhs_7.1 //	eka-kzaNa-avaboDaH ayam jQeyaH dAna-AdinA muneH // ABH-_7.1 //
   aradhaṭṭaṃ yathaikāpi padikā purūṣeritā /	araDawwam yaTA-ekA-api padikA purUza-IritA /
   sakṛtsarvaṃ calayati jñānamekakṣaṇe tathā // Abhs_7.2 //	sakRt-sarvam calayati jQAnam-eka-kzaNe taTA // ABH-_7.2 //
   vipākadharmatāvasthā sarvaśuklamayī yadā /	vipAka-DarmatA-avasTA sarva-Sukla-mayI yadA /
   prajñāpāramitā jātā jñānamekakṣaṇe tadā // Abhs_7.3 //	prajQApAramitA jAtAH jQAnam-eka-kzaNe tadA // ABH-_7.3 //
   svapnopameṣu dharmeṣu sthitvā dānādicaryā /	svapna-upamezu Darmezu sTitvA dAna-Adi-caryA /
   alakṣatvaṃ dharmāṇāṃ kṣaṇenaikena vindati // Abhs_7.4 //	alakza-tvam DarmANAm kzaNena-ekena vindati // ABH-_7.4 //
   svapnaṃ taddarśinaṃ caiva dvayayogena nekṣate /	svapnam tad-darSinam ca-eva dvaya-yogena na-Ikzate /
   dharmāṇāmadvayaṃ tattvaṃ kṣaṇenaikenapaṣyati // Abhs_7.5 //	DarmANAm-advayam tattvam kzaNena-ekenapazyati // ABH-_7.5 //
   // abhisamayālaṅkāre prajñāpāramitopadeśaśāstre	// aBisamaya-alaFkAre prajQApAramitA-upadeSa-SAstre
   ekakṣaṇābhisamayādhikāraḥ saptamaḥ //	eka-kzaNa-aBisamaya-aDikAraH saptamaH //
   sarvākārāṃ viśuddhiṃ ye dharmāḥ prāptā nirāsravāḥ /	sarva-AkArAm viSudDim ye DarmAH prAptAH nirAsravAH /
   svābhāvikomuneḥ kāyasteśāṃ prakṛtilakṣaṇaḥ // Abhs_8.1 //	svABAvi-komuneH kAyaH-teSAm prakRti-lakzaNaH // ABH-_8.1 //
   bodhipakṣāpramāṇāni vimokṣā anūpurvaśaḥ /	boDi-pakza-apramANAni vimokzAH anUpuH-vaSaH /
   navātmikā samāpattiḥ kṛtsnaṃ daśavidhātmikam // Abhs_8.2 //	nava-AtmikA samApattiH kRtsnam daSaviDa-Atmikam // ABH-_8.2 //
   abhibhvāyatanānyaṣṭaprakārāṇi prabhedataḥ /	aBiBva-AyatanAni-azwa-prakArANi praBedataH /
   araṇā praṇidhijñānamabhijñāḥ pratisaṃvidaḥ // Abhs_8.3 //	araNA praNiDi-jQAnam-aBijQAH pratisaMvidaH // ABH-_8.3 //
   sarvākārāścatasno 'thaśuddhayo vaśitā daśa //	sarva-AkArAH-catasnaH aTa-SudDayaH vaSitAH daSa //
   balāni daśa catvāri vaiśāradyānyārakṣaṇam // Abhs_8.4 //	balAni daSa catvAri vESAradya-anyA-rakzaNam // ABH-_8.4 //
   trividhaṃ smṛtyupasthānaṃ tridhāsaṃmoṣadharmatā /	triviDam smRti-upasTAnam triDA-saMmoza-DarmatA /
   vāsanāyāḥ samuddhāto mahati karūṇā jane // Abhs_8.5 //	vAsanAyAH samudDAtaH mahati karUNAH jane // ABH-_8.5 //
   āveṇikā munereva dharmā ye 'ṣṭādaśeritāḥ /	AveNikAH muneH-eva DarmAH ye azwAdaSa-IritAH /
   sarvākārajñatā ceti dharmakāyo 'bhidhīyate // Abhs_8.6 //	sarva-AkAra-jQa-tA ca-iti Darma-kAyaH aBiDIyate // ABH-_8.6 //
   śravakasyāraṇādṛṣṭernṛkleśaparihāritā /	Sravakasya-AraNa-adRzweH-nR-kleSa-parihAritA /
   tatkleśasrotaucChittyai grāmādiṣu jināraṇā // Abhs_8.7 //	tad-kleSa-srota-OcChittyE grAma-Adizu jinAraNAH // ABH-_8.7 //
   anābhogamanāsaṅmavyāghātaṃ sadā sthitam /	anABoga-manA-saj-mavyAGAtam sadA sTitam /
   sarvapraśnāpanudvauddhaṃ praṇidhijñānamiṣyate // Abhs_8.8 //	sarva-praSna-apanudvOdDam praNiDi-jQAnam-izyate // ABH-_8.8 //
   paripākaṃ gate hetau yasya yasya yadā yadā /	paripAkam gate hetO yasya yasya yadA yadA /
   hitaṃ bhavati kartavyaṃ prathate tasya tasya saḥ // Abhs_8.9 //	hitam Bavati kartavyam praTate tasya tasya saH // ABH-_8.9 //
   varṣatyapi hi parjanye naiva bījaṃ prarohati /	varzati-api hi parjanye na-eva bIjam prarohati /
   samutpāde 'pi buddhānāṃ nābhavyo bhadramaśrute // Abhs_8.10 //	samutpAde api budDAnAm na-aBavyaH Badram-aSrute // ABH-_8.10 //
   iti kāritravaipulyāt buddho vyāpī nirūcyate /	iti kAritra-vEpulyAt budDaH vyApI nirUcyate /
   akṣayatvācca tasyaiva nitya ityapi kathyate // Abhs_8.11 //	akzaya-tvAt-ca tasya-eva nityaH iti-api kaTyate // ABH-_8.11 //
   dvātriṃśallakṣaṇāśītivyañjanātmā munerayam /	dvAtriMSat-lakzaNa-aSIti-vyaQjana-AtmA muneH-ayam /
   sāṃbhogiko mataḥ kāyo mahāyānopabhogataḥ // Abhs_8.12 //	sAMBogikaH mataH kAyaH mahAyAna-upaBogataH // ABH-_8.12 //
   cakrāṅkahastaḥ krākurmapādo jālāvāddhāṅgulipāṇipādaḥ /	cakra-aFka-hastaH krAkurmapAdaH jAlAvAdDa-aFguli-pANi-pAdaH /
   karau sapādau tarūṇau mṛdū ca mamutsadaiḥ saptabhirāśrayo 'sya //	karO sa-pAdO tarUNO mRdU ca mamutsadEH saptaBiH-ASrayaH asya //
   Abhs_8.13 //	ABH-_8.13 //
   dīrghāṅgulirvyāyatapārṣṇigātraṃ prājyaṃ tvṛjucChaṅkhapadordhvaromā /	dIrGa-aFguliH-vyAyata-pArzNi-gAtram prAjyam tvRjucShaFKa-pada-UrDva-romA /
   eṇeyajaṅghaśca paṭūrūbāhuḥ kośāvanaddhottamabastiguhyaḥ // Abhs_8.14 //	eNeyajaFGaH-ca pawu-UrU-bAhuH koSa-avanadDa-uttama-basti-guhyaH // ABH-_8.14 //
   suvarṇavarṇḥ pratanucChaviśca pradakṣiṇaikaikasujātromā /	suvarNa-varNH pratanucChaviH-ca pradakziNa-ekEka-sujAtra-umA /
   ūūrṇāṅkitāsyo haripūrvakāyaḥ skandhau vṛtāvasya citāntarāṃsaḥ // Abhs_8.15	UUrNa-aFkita-AsyaH hari-pUrva-kAyaH skanDO vRtO=-asya citA-antara-aMsaH // ABH-_8.15
   hīno rasaḥ khyāti rasottamo 'sya nyagrodhavanmāṇḍalatulyamūrtiḥ /	hInaH rasaH KyAti rasa-uttamaH asya nyagroDa-vat-mANxala-tulya-mUrtiH /
   uṣīṣamūrdhā pṛthucārūjihvo brahmasvaraḥ siṃhahanuḥ suśuklāḥ // Abhs_8.16	uzIza-mUrDA pRTu-cArU-jihvaH brahma-svaraH siMhahanuH su-SuklAH // ABH-_8.16
   tulyāḥ pramāṇe 'viralāsca dantā anyūnasaṃkhyā daśikāścatasraḥ /	tulyAH pramANe aviralAH-ca dantAH anyUna-saMKyAH daSikAH-catasraH /
   nīlekśaṇe govṛṣapakṣmanetro dvātriṃśadetāni hi lakṣaṇāni // Abhs_8.17 //	nIlekSaNe go-vRza-pakzma-netraH dvAtriMSat-etAni hi lakzaNAni // ABH-_8.17 //
   yasya yasyātra yo heturlakṣaṇasya prasādhakaḥ /	yasya yasya-atra yaH hetuH-lakzaNasya prasADakaH /
   tasya tasya prapūryāyaṃ samudāgamalakṣaṇaḥ // Abhs_8.18 //	tasya tasya prapUrya-ayam samudAgama-lakzaNaH // ABH-_8.18 //
   gurūṇāmanuyānādirdṛḍhatā saṃvaraṃ prati /	gurUNAm-anuyAna-AdiH-dRXa-tA saMvaram prati /
   saṃgrahāsevanaṃ dānaṃ praṇitasya ca vastunaḥ // Abhs_8.19 //	saMgraha-Asevanam dAnam praNitasya ca vastunaH // ABH-_8.19 //
   vadhyamokṣasamādānāṃ vivR6iddhiḥ kuśalasya ca /	vaDya-mokza-samAdAnAm vivR6idDiH kuSalasya ca /
   ityādiko yathāsutraṃ heturlakṣaṇasādhakaḥ // Abhs_8.20 //	iti-AdikaH yaTA-sutram hetuH-lakzaNa-sADakaH // ABH-_8.20 //
   tāmrāḥ snigdhāśca tuṅgāśca nakhā aṅgulayo muneḥ /	tAmrAH snigDAH-ca tuFgAH-ca naKAH aFgulayaH muneH /
   vṛttāścitānupūrvāśca guḍhā nirgranthyaḥ śirāḥ // Abhs_8.21 //	vRttAH-cita-anupUrvAH-ca guXAH nirgranTyaH SirAH // ABH-_8.21 //
   guḍhau gulphau samau pādau siṃhebhadvijagopateḥ /	guXO gulPO samO pAdO siMha-iBa-dvijagopateH /
   vikrāntaṃ dakṣiṇaṃ cārūgamanamṛjuvṛttatā // Abhs_8.22 //	vikrAntam dakziNam cArUgamanam-Rju-vRtta-tA // ABH-_8.22 //
   mṛṣṭānupūrte medhyamṛdutve śuddhagātratā /	mRzwa-anupUrte meDya-mRdu-tve SudDa-gAtra-tA /
   pūrṇavyañjanatā cārupṛthumaṇḍalagāratā // Abhs_8.23 //	pUrNa-vyaQjana-tA cAru-pRTu-maNxala-gAratA // ABH-_8.23 //
   samakramatvaṃ śuddhatvaṃ netrayoḥ sukumāratā /	sama-krama-tvam SudDa-tvam netrayoH sukumAra-tA /
   adīnossadagātratve susaṃhatanagātratā // Abhs_8.24 //	adIna-ussat-agAtra-tve su-saMhatana-gAtra-tA // ABH-_8.24 //
   suvibhaktāṅgatā dhvāntapradhvastālokaśuddhatā /	suviBakta-aFgatA DvAnta-praDvasta-Aloka-SudDa-tA /
   vṛttamṛṣṭākṣāmakukṣitāśca gabhiratā // Abhs_8.25 //	vRtta-mRzwA-kzAma-kukzitAH-ca gaBi-ratA // ABH-_8.25 //
   dakṣiṇāvartatā nābheḥ samantaddarśanīyatā /	dakziNa-AvartatA nABeH samantat-darSanIya-tA /
   samācāraḥ śuciḥ kālatilakāpagatā tanuḥ // Abhs_8.26 //	samAcAraH SuciH kAla-tilaka-apagatA tanuH // ABH-_8.26 //
   karau tulamṛdūsnigdhagambhīrāyatalekhatā /	karO tula-mRdU-snigDa-gamBIra-Ayata-leKatA /
   nātyāyataṃ vaco bimbapratibimbopamauṣṭhatā // Abhs_8.27 //	na-atyAyatam vacaH bimba-pratibimba-upama-ozWa-tA // ABH-_8.27 //
   mṛdvī tanvī ca raktā ca jihvā jimūtaghoṣatā /	mRdvI tanvI ca raktA ca jihvA jimUta-Goza-tA /
   cārūmañjasvaro daṃṣṭrā vṛttāstīkṣṇāḥ sitāḥ samāḥ // Abhs_8.28 //	cArUmaQjasvaraH daMzwrAH vRttAH-tIkzNAH sitAH samAH // ABH-_8.28 //
   anupurvī gatāstuṅgā nāsikā paraṃ śuciḥ /	anupurvI gatAH-tuFgA nAsikA param SuciH /
   viśale nayane pakṣmacitaṃ padmadalākṣitā // Abhs_8.29 //	viSale nayane pakzma-citam padma-dala-akzitAH // ABH-_8.29 //
   āyataślakṣṇasusnigdhasamaromnau bhruvau bhujau /	Ayata-SlakzNa-su-snigDa-sama-romnO BruvO BujO /
   pīnāyatau samau karṇāvupaghātavivarjitau // Abhs_8.30 //	pIna-AyatO samO karNO=-upaGAta-vivarjitO // ABH-_8.30 //
   lalāṭamaparimlānaṃ prṛthupūrṇottamāṅgatā /	lalAwam-aparimlAnam prRTu-pUrNa-uttamA-aFga-tA /
   bhramarābhāścitāḥ ślakṣṇā asaṃlulitamūrtayaḥ // Abhs_8.31 //	Bramara-ABAH-citAH SlakzNAH asaMlulita-mUrtayaH // ABH-_8.31 //
   keśā aparuṣāḥ puṃsāṃ saurabhyānyapahāriṇaḥ /	keSAH aparuzAH puMsAm sOraByAni-apahAriNaH /
