   śrīpāda dhyāna-candra gosvāmī	SrIpAda DyAna-candra gosvAmI
   vayo nānā-vidhaṃ tatra yat tu tridaśa-vatsaram /	vayaH nAnA-viDam tatra yat tu tridaSa--vatsaram /
   mādhuryādbhuta-kaiśoraṃ vikhyātaṃ vraja-subhruvām // GGS_96 //	mADurya-adButa--kESoram viKyAtam vraja--suBruvAm // GGS_96 //
   veśo nīla-paṭādyaiś ca vicitrālaṅkṛtais tathā /	veSaH nIla--pawa-AdyEH ca vicitra-alaFkRtEH taTA /
   svasya dehānurūpeṇa svabhāva-rasa-sundaraḥ // GGS_97 //	svasya deha-anurUpeNa svaBAva--rasa-sundaraH // GGS_97 //
   sevya-sevaka-sambandhaḥ svamanovṛtti-bhedataḥ /	sevya--sevaka--sambanDaH sva-manaH-vRtti--BedataH /
   prāṇātyaye 'pi sambandhaṃ na kadā parivartayet // GGS_98 //	prANa-atyaye api sambanDam na kadA parivartayet // GGS_98 //
   yathā yūtheśvarī-yūthaḥ sadā tiṣṭhati tad-vaśe /	yaTA yUTeSvarI--yUTaH sadA tizWati tat--vaSe /
   tathaiva sarvathā tiṣṭhe-dbhūtvā tad-vaśa-vartinī // GGS_99 //	taTA-eva sarvaTA tizWe-t-BUtvA tad--vaSa-vartinI // GGS_99 //
   yūtheśvaryāḥ śirasy ājñā-mādāya hari-rādhayoḥ /	yUTeSvaryAH Sirasi AjQA-m-AdAya hari-rADayoH /
   yathocitāṃ ca śuśrūṣāṃ kuryād ānanda-saṃyutā // GGS_100 //	yaTocitAm ca SuSrUzAm kuryAt Ananda--saMyutAH // GGS_100 //
   cāmara-vyajanādīnāṃ sarvājñā-pratipālanam /	cAmara--vyajana-AdInAm sarva-AjQA--pratipAlanam /
   iti sevā parijñeyā yathā-mati vibhāgaśaḥ // GGS_101 //	iti sevA parijQeyAH yaTA-mati viBAgaSaH // GGS_101 //
   śrī-rādhā-kṛṣṇayor yadvad rūpa-mañjarikādayaḥ /	SrI--rADA--kRzNayoH yadvat rUpa--maQjarikA-AdayaH /
   prāpta nitya-sakhītvaṃ ca tathā syām iti bhāvayet // GGS_102 //	prApta nitya--saKI-tvam ca taTA syAm iti BAvayet // GGS_102 //
   pālya-dāsī ca sā proktā paripālyā priyaṃvadā /	pAlya-dAsI ca sA proktA paripAlyA priyaMvadA /
   sva-mano-vṛtti-rūpeṇa yā nitya-paricārikā // GGS_103 //	sva--mano-vRtti--rUpeNa yA nitya--paricArikA // GGS_103 //
   nivāso vraja-madhye tu rādhā-kṛṣṇa-sthalī matā /	nivAsaH vraja--maDye tu rADA--kRzNa--sTalI matA /
   vaṃśī-vaṭaś ca śrī-nandī-śvaraś cāpy atikautukaḥ // GGS_104 //	vaMSI-vawaH ca SrI-nandI-SvaraH ca-api ati-kOtukaH // GGS_104 //
   anaṅga-mañjarī proktā vilāsa-mañjarī tathā /	anaFga-maQjarI proktA vilAsa--maQjarI taTA /
   aśoka-mañjarī ceti rasa-mañjarikā tathā // GGS_105 //	aSoka-maQjarI ca-iti rasa-maQjarikA taTA // GGS_105 //
   rasāla-mañjarī nāmnā tathā kamala-mañjarī /	rasAla-maQjarI nAmnA taTA kamala--maQjarI /
   karuṇā-mañjarī khyātā vikhyātā guṇa-mañjarī // GGS_106 //	karuNA-maQjarI KyAtA viKyAtA guNa--maQjarI // GGS_106 //
   evaṃ sarvāś ca vikhyātāḥ sva-sva-nāmākṣaraiḥ parāḥ /	evam sarvAH ca viKyAtAH sva--sva--nAma-akzarEH parAH /
   mañjaryo bahuśaḥ rūpa-guṇa-śīla-vayo 'nvitāḥ // GGS_107 //	maQjaryaH bahuSas rUpa-guNa--SIla--vayaH anvitAH // GGS_107 //
   nāma-rūpādi tat sarvaṃ guru-dattaṃ ca bhāvayet /	nAma--rUpa-Adi tat sarvam guru-dattam ca BAvayet /
   tatra tatra sthitā nityaṃ bhajet śrī-rādhikā-harī // GGS_108 //	tatra tatra sTitA nityam Bajet SrI-rADikA--harI // GGS_108 //
   bhāvayan sādhako nityaṃ sthitvā kṛṣṇa-priyā-gṛhe /	BAvayan sADakaH nityam sTitvA kRzNa--priyA-gRhe /
   tad ājñā-pālako bhūtvā kāleṣv aṣṭasu sevate // GGS_109 //	tat AjQA--pAlakaH BUtvA kAlezu azwasu sevate // GGS_109 //
   sakhīnāṃ saṅginī-rūpām ātmānaṃ bhāvanā-mayīm /	saKInAm saFginI--rUpAm AtmAnam BAvanA--mayIm /
   ājñā-sevā-parākāṣṭhā-kṛpālaṅkāra-bhūṣitām /	AjQA--sevA--parAkAzWA--kRpa-alaFkAra--BUzitAm /
   tataś ca mañjarī-rūpān gurvādīn api saṃsmaret // GGS_110 //	tatas ca maQjarI--rUpAn guru-AdIn api saMsmaret // GGS_110 //
   atha prātaḥ-pūrvāhna-līlāṃ smṛtvā madhyāhne saṅga-mitau rādhā-kṛṣṇau	aTa prAtar--pUrva-ahna--lIlAm smRtvA maDyAhne saFga--mitO rADA--kRzNO
   paraspara-saṅga-janita-nānā-sāttvika-vikāra-bhūṣitau	paraspara--saFga-ja-nita-nAnA--sAttvika-vikAra-BUzitO
   lalitādi-priya-sakhī-vṛnda-sanarma-vāg-vilāsena janita-paramānandau	lalita-Adi-priya--saKI--vRnda--sanarma-vAc---vilAsena janita-parama-AnandO
   nānā-rasa-vilāsa-cihnau sammagna-mānasau vihitāraṇya-līlau vṛndāraṇye	nAnA--rasa--vilAsa--cihnO sammagna--mAnasO vihita-araNya--lIlO vRndAraNye
   sumahīruha-mūle yoga-pīṭhopari upaviṣṭau evambhūtau rādhā-kṛṣṇau saṃsmaret	su-mahIruha--mUle yoga--pIWa-upari upavizwO evamBUtO rADA--kRzNO saMsmaret-
   prathamaṃ ṣaḍ-dalaṃ padmaṃ tad-bahir vasu-patrakam /	praTamam zaz--dalam padmam tad--bahis vasu-patrakam /
   tad-bahir daśa-patraṃ ca daśopadala-saṃyutam // GGS_111 //	tad--bahis daSa--patram ca daSa-upadala--saMyutam // GGS_111 //
   śrīmad-rādhā-kṛṣṇa-līlā-rasa-pūrita-vigraham /	SrImat--rADA--kRzNa--lIlA-rasa---pUrita-vigraham /
   tat-tad-icchā-vaśenaivon-mīlitaṃ bhāti mudritam // GGS_112 //	tat--tad--icCA--vaSena-eva-un-mIlitam BAti mudritam // GGS_112 //
   prākārās tad-bahis tatra dikṣu dvāra-catuṣṭayam /	prAkArAH tad-bahis tatra dikzu dvAra--catuzwayam /
   catuṣ-koṇāś ca ṣaḍ-dalyāṃ ṣaṭ-pady-aṣṭādaśākṣarī // GGS_113 //	catuz--koNAH ca zaz--dalyAm zaw-pady-azwAdaSa-akzarI // GGS_113 //
   yathā brahma-saṃhitāyām (2-4)	yaTA brahma-saMhitAyAm (2-4)
   sahasra-patraṃ kamalaṃ gokulākhyaṃ mahat padam /	sahasra-patram kamalam gokula-AKyam mahat padam /
   tat-karṇikāraṃ tad-dhāma tad-anantāṃśa-sambhavam // GGS_114 //	tat-karNikAram tat--DAma tad--ananta-aMSa-samBavam // GGS_114 //
   karṇikāraṃ mahad yantraṃ ṣaṭ-kośaṃ vajra-kīlakam /	karNikAram mahat yantram zaw-koSam vajra-kIlakam /
   ṣaḍ-aṅgaṃ ṣaṭ-padī-sthānaṃ prakṛtyā puruṣeṇa ca // GGS_115 //	zaz--aFgam zaw-padI--sTAnam prakRtyA puruzeNa ca // GGS_115 //
   premānanda-mahānanda-rasenāvasthitaṃ hi yat /	prema-Ananda--mahA-Ananda--rasena-avasTitam hi yat /
   jyotī-rūpeṇa manunā kāma-bījena saṅgatam // GGS_116 //	jyotI--rUpeNa manunA kAma-bIjena saFgatam // GGS_116 //
   tat-kiñjalkaṃ tad-aṃśānām tat-patrāṇi śriyām api // GGS_117 //	tat--kiQjalkam tad--aMSAnAm tat-patrANi SriyAm api // GGS_117 //
   evambhūta yoga-pīṭhe śrī-śrī-rādhā-kṛṣṇau smaret /	evam-BUta yoga--pIWe SrI--SrI-rADA--kRzNO smaret /
   atha śrī-kṛṣṇa-candrasya vayo-veśādayo 'khilāḥ /	aTa SrI--kRzNa-candrasya vayo-veSa-AdayaH aKilAH /
   rasa-śāstrānusāreṇa nirūpyante yathāmati // GGS_118 //	rasa--SAstra-anusAreNa nirUpyante yaTAmati // GGS_118 //
   (bhakti-rasāmṛta-sindhu 2.1.308, 9)--	(Bakti--rasa-amRta--sinDu 2.1.308, 9)--
   vayaḥ kaumāra-paugaṇḍa-kaiśoram iti tat tridhā // GGS_119 //	vayaH kOmAra--pOgaNxa-kESoram iti tat triDA // GGS_119 //
   kaumāraṃ pañcamābdāntaṃ paugaṇḍaṃ daśamāvadhi /	kOmAram paQcama-abda-antam pOgaNxam daSama-avaDi /
   āṣoḍaśāc ca kaiśoraṃ yauvanaṃ syāt tataḥ param // GGS_120 //	AzoxaSAt ca kESoram yOvanam syAt tatas param // GGS_120 //
   ādya-madhyānta-bhedena kaumārādīni ca tridhā /	Adya--maDya-anta--Bedena kOmAra-AdIni ca triDA /
   aṣṭa-māsādhikaṃ varṣaṃ bhāgatvena ca kīrtitam // GGS_121 //	azwa---mAsa-aDikam varzam BAga-tvena ca kIrtitam // GGS_121 //
   tad yathā--ādya-kaumāram aṣṭa-māsādhikam eka-varṣam evaṃ madhya-kaumāram,	tat yaTA--Adi-a-kOmAram azwa---mAsa-aDikam eka-varzam evam maDya--kOmAram,
   evaṃ ca śeṣa-kaumāram; evaṃ pañcama-varṣa-paryantaṃ kaumāraṃ jñeyam /	evam ca Seza-kOmAram; evam paQcama--varza--paryantam kOmAram jQeyam /
   ādya-paugaṇḍam aṣṭa-māsādhikam eka-varṣam; evaṃ madhya-paugaṇḍam; evaṃ ca	Adya-pOgaNxam azwa---mAsa-aDikam eka-varzam; evam maDya-pOgaNxam; evam ca
   śeṣa-paugaṇḍam; evaṃ ca krameṇa ṣaṣṭha-varṣam ārabhya daśa-varṣa-paryantaṃ	Seza--pOgaNxam; evam ca krameNa zazWa--varzam AraBya daSa--varza--paryantam
   paugaṇḍaṃ jñeyam /	pOgaNxam jQeyam /
   ādya-kaiśoraṃ sārdha-dina-dvayottaraikādaśa-māsādhikam eka-varṣam; evaṃ	Adya-ka-ESoram sArDa-dina--dvaya-uttara-ekAdaSa-mAsa-aDikam eka--varzam; evam
   madhya-kaiśoram; evaṃ śeṣa-kaiśoram; krameṇaikādaśa-varṣam ārabhya	maDya-ka-ESoram; evam Seza--kESoram; krameNa-ekAdaSa-varzam AraBya
   pañca-daśa-varṣa-nava-māsa-sārdha-sapta-dina-paryantaṃ kaiśoraṃ jñeyam /	paQca-daSa--varza-nava--mAsa--sArDa--sapta-dina--paryantam kESoram jQeyam /
   atha śrī-kṛṣṇasya vraja-līlā--tatra śrī-kṛṣṇasya vraja-līlā	aTa SrI--kRzNasya vraja--lIlA--tatra SrI--kRzNasya vraja--lIlA
   pañca-dinottara-ṣaḍ-māsādhika-daśa-varṣīyā jñeyā (10-6-5) atha ca (BhP	paQca-dina-uttara--zaz--mAsa-aDika-daSa-varzIyAH jQeyAH (10-6-5) aTa ca (BhP
   ekādaśa-samās tatra gūḍhārciḥ sabalo 'vasat // GGS_122 //	ekAdaSa--samAH tatra gUXa-arciH sa-balaH avasat // GGS_122 //
   mahārāja-kumāratayā bhogātiśayena samṛddhyā varṣa-māsa-dinānāṃ sārdhatayā	mahA-rAja-kumAra-tayA Boga-atiSayena samRdDyA varza--mAsa-dinAnAm sArDa-tayA
   sārdha-sapta-dinottara-nava-māsādhika-pañca-daśa-varṣa-parimitaṃ	sArDa--sapta-dina-uttara--nava--mAsa-aDika--paQca-daSa--varza--parimitam
   śrī-kṛṣṇasya vayo jñeyam (15-9-7 1/2) /	SrI--kRzNasya vayaH jQeyam (15-9-7 1/2) /
   atraiva śeṣa-kaiśore ṣoḍaśa-hāyane sadā /	atra-eva Seza--ka-ESore zoxaSa--hAyane sadA /
   vraje vihāraṃ kurute śrīman nandasya nandanaḥ // GGS_123 //	vraje vihAram kurute SrImat nandasya nandanaH // GGS_123 //
   vaṃśī-pāṇiḥ pīta-vāsā indranīla-maṇi-dyutiḥ /	vaMSI-pANiH pIta-vAsAH indranIla-maNi--dyutiH /
   kaṇṭhe kaustubha-śobhāḍhyo mayūra-dala-bhūṣaṇaḥ // GGS_124 //	kaNWe kOstuBa--SoBA-AXyaH mayUra-dala--BUzaNaH // GGS_124 //
   guñjā-hāra-lasad-vakṣā ratna-hāra-virājitaḥ /	guQjA-a-hAra--lasat--vakzAH ratna-hAra--virAjitaH /
   vana-mālā-dharo niṣka śobhollasita-kaṇṭhakaḥ // GGS_125 //	vana--mAlA-DaraH nizka SoBA-ullasita-kaNWakaH // GGS_125 //
   vāma-bhāga-sthita-svarṇa-rekhā-rājad-uraḥ-sthalaḥ /	vAma--BAga--sTita-svarNa-reKA--rAjat--uraH-sTalaH /
   vaijayantī-lasad-vakṣā gaja-mauktika-nāsikaḥ // GGS_126 //	vEjayantI--lasat--vakzA gaja-mOktika-nAsikaH // GGS_126 //
   karṇayor makarākāra-kuṇḍalābhyāṃ virājitaḥ /	karNayoH makara-AkAra--kuNxalAByAm virAjitaH /
   ratna-kaṅkana-yug ghastaḥ kauṅkumaṃ tilakaṃ dadhat // GGS_127 //	ratna--kaFkana--yuj GastaH kOFkumam tilakam daDat // GGS_127 //
   kiṅkiṇī-yukta-kaṭiko ratna-nūpura-yuk-padaḥ /	kiFkiNI-yukta-kawikaH ratna-nUpura-yuk--padaH /
   mālatī-mallike jāti-yūthī ketakī-campake // GGS_128 //	mAlatI--mallike jAti--yUTI ketakI--campake // GGS_128 //
   nāgakeśara ityādi puṣpa-mālā-svalaṅkṛtaḥ /	nAgakeSaraH ityAdi puzpa-mAlA-su-alaFkRtaH /
   iti veśa-dharaḥ śrīmān dhyeyaḥ śrī-nandanandanaḥ // GGS_129 //	iti veSa--DaraH SrImAn DyeyaH SrI-nanda-nandanaH // GGS_129 //
   śṛṅgaṃ vāmodara-parisare tunda-bandhāntara-sthaṃ	SRFgam vAmodara--parisare tunda-banDa-antara--sTam
   dakṣe tadvan nihita-muralīṃ ratna-citrāṃ dadhānaḥ /	dakze tadvat nihita--muralIm ratna-citrAm daDAnaH /
   vāmenāsau sarala-laguṇaṃ pāṇinā pīta-varṇaṃ	vAmena-asO sarala-laguNam pANinA pIta-varNam
   līlāmbhojaṃ kamala-nayanaḥ kampayan dakṣiṇena // GGS_130 //	lIlA-amBojam kamala-nayanaH kampayan dakziNena // GGS_130 //
   asyaiva kṛṣṇa-candrasya mantrāḥ santi trayo 'malāḥ /	asya-eva kRzNa-candrasya mantrAH santi trayaH amalAH /
   siddhāḥ kṛṣṇasya sat-prema-bhakti-siddhi-karā matāḥ // GGS_131 //	sidDAH kRzNasya sat--prema--Bakti--sidDi--karAH matAH // GGS_131 //
   tatrādau mantroddhāro yathā sanat-kumāra-saṃhitāyām--	tatra-AdO mantra-udDAraH yaTA sanat-kumAra--saMhitAyAm--
   hare-kṛṣṇau dvir āvṛttau	hare--kRzNO dvis AvRttO
   kṛṣṇa tādṛk tathā hare /	kRzNa tAdRS taTA hare /
   hare rāma tathā rāma	hare rAma taTA rAma
   tathā tādṛg ghare manuḥ // GGS_132 //	taTA tAdRS Gare manuH // GGS_132 //
   hare kṛṣṇa hare kṛṣṇa kṛṣṇa kṛṣṇa hare hare /	hare kRzNa hare kRzNa kRzNa kRzNa hare hare /
   hare rāma hare rāma rāma rāma hare hare // GGS_133 //	hare rAma hare rAma rAma rAma hare hare // GGS_133 //
   asya dhyānaṃ yathā tatraiva--	asya DyAnam yaTA tatra-eva--
   dhyāyed vṛndāvane ramye	DyAyet vRndAvane ramye
   gopa-gobhir alaṅkṛte /	gopa-goBiH alaFkRte /
   kadamba-pādapa-cchāye	kadamba-pAdapa--=-CAye
   yamunā-jala-śītale // GGS_134 //	yamunA--jala-SItale // GGS_134 //
   rādhayā sahitaṃ kṛṣṇaṃ	rADayA sahitam kRzNam
   vaṃśī-vādana-tat-param /	vaMSI-vAdana-tat--param /
   tribhaṅga-lalitaṃ devaṃ	tri-BaFga-lalitam devam
   bhaktānugraha-kārakam // GGS_135 //	Bakta-anugraha-kArakam // GGS_135 //
   viśeṣato daśārṇo 'yaṃ	viSezataH daSArNaH ayam
   japa-mātreṇa siddhi-daḥ /	japa--mAtreNa sidDi-daH /
   pañcāṅgāny asya mantrasya	paQcAFgAni asya mantrasya
   vijñeyāni manīṣibhiḥ // GGS_136 //	vijQeyAni manIziBiH // GGS_136 //
   iti gautamīya-tantra-vākyāt rāga-mārge daśākṣara-gopāla-mantrasya	iti gOtamIya-tantra--vAkyAt rAga--mArge daSa-akza-ra--gopAla-mantrasya
   prasiddhiḥ; tad-uddhāro likhyate, sa yathā gautamīya-tantre--	prasidDiH; tad--udDAraH liKyate, sa yaTA gOtamIya-tantre--
   khāntākṣaraṃ samuddhṛtya	KAnta-akzaram samudDRtya
   trayodaśa-svarānvitam /	trayodaSa--svara-anvitam /
   pārṇaṃ turya-svara-yutaṃ	pArNam turya-svara--yutam
   chāntaṃ dhāntaṃ tathā dvayam // GGS_137 //	CAntam DAntam taTA dvayam // GGS_137 //
   amṛtārṇaṃ māṃsa-yugmaṃ	amRta-arNam mAMsa--yugmam
   mukha-vṛttena saṃyutam /	muKa--vRttena saMyutam /
   bhārśaṃ tu mukha-vṛttāḍhyaṃ	BArSam tu muKa--vRtta-AXyam
   pavanārṇaṃ tathaiva ca // GGS_138 //	pavana-arNam taTA-eva ca // GGS_138 //
   bīja-śakti-samāyukto	bIja--Sakti--samAyuktaH-
   mantro 'yaṃ samudāhṛtaḥ /	mantraH ayam samudAhRtaH /
   gupta-bīja-svabhāvatvād	gupta-bIja--svaBAva-tvAt-
   daśārṇaḥ khalu kathyate // GGS_139 //	daSArNaH Kalu kaTyate // GGS_139 //
   brahmārṇaṃ turya-saṃyuktaṃ	brahmArNam turya--saMyuktam
   māṃsa-dvaya-samanvitam /	mAMsa--dvaya--samanvitam /
   nāda-bindu-samāyuktaṃ	nAda--bindu--samAyuktam
   jagad-bījam udāhṛtam // GGS_140 //	jagad-bIjam udAhRtam // GGS_140 //
   śukrārṇam amṛtārṇena	Sukra-arNam amRta-arNena
   mukha-vṛttena saṃyutam /	muKa--vRttena saMyutam /
   gaganaṃ mukha-vṛttena	gaganam muKa--vRttena
   proktā śaktiḥ parātparā // GGS_141 //	proktA SaktiH parAtparA // GGS_141 //
   daśākṣaro mantro, yathā --klīṃ gopījana-vallabhāya svāhā /	daSa-akzaraH mantro, yaTA --klIm gopI-jana--vallaBAya svAhA /
   aṣṭādaśākṣaro mantro, yathā --klīṃ kṛṣṇāya govindāya gopījana-vallabhāya	azwAdaSa-akzaraH mantro, yaTA --klIm kRzNAya govindAya gopI-jana--vallaBAya
   svāhā /	svAhA /
   phullendīvara-kāntim indu-vadanaṃ barhāvataṃsa-priyaṃ	Pulla-indIvara--kAntim indu-vadanam barha-avataMsa--priyam
   śrīvatsāṅkam udāra-kaustubha-dharaṃ pītāmbaraṃ sundaram /	SrIvatsa-aFkam udAra--kOstuBa--Daram pIta-ambaram sundaram /
   gopīnāṃ nayanotpalārcita-tanuṃ go-gopa-saṅghāvṛtaṃ	gopInAm nayana-utpala-arcita--tanum go-gopa--saFGa-AvRtam
   govindaṃ kala-veṇu-vādana-paraṃ divyāṅga-bhūṣaṃ bhaje // GGS_142 //	govindam kala-veNu-vAdana--param divya-aFga-BUzam Baje // GGS_142 //
   atha kāma-gāyatrī-mantroddhāro yathā svāyambhuvāgame--	aTa kAma--gAyatrI--mantra-udDAraH yaTA svAyamBuva-Agame--
   klīṃ tataḥ kāma-devāya vidmahe ca padaṃ tataḥ /	klIm tatas kAma-devAya vidmahe ca padam tatas /
   tataś ca puṣpa-bāṇāya dhīmahīti padaṃ tataḥ // GGS_143 //	tatas ca puzpa-bANAya DImahi-iti padam tatas // GGS_143 //
   tatas tan no 'naṅga iti tataś caiva pracodayāt /	tatas tat naH anaFgaH iti tatas ca-eva pracodayAt /
   eṣā vai kāma-gāyatrī caturviṃśākṣarī mātā // GGS_144 //	ezA vE kAma-gAyatrI caturviMSa-akzarI mAtA // GGS_144 //
   kāma-gāyatrī, yathā -klīṃ kāmadevāya vidmahe puṣpa-bāṇāya dhīmahi tan no	kAma--gAyatrI, yaTA -klIm kAmadevAya vidmahe puzpa-bANAya DImahi tat no
   'naṅgaḥ pracodayāt /	anaFgaH pracodayAt /
   krīḍāsakto madana-vaśa-go rādhayāliṅgitāṅgaḥ	krIxA-AsaktaH madana-vaSa--gaH rADaya-AliFgita-aFgaH
   sa-bhrū-bhaṅgaḥ smita-suvadano mugdha-nepathya-śobhaḥ /	sa-BrU-BaFgaH smita-su-vadanaH mugDa-nepaTya--SoBaH /
   vṛndāraṇye prati-nava-latā-sadmasu prema-pūrṇaḥ	vRnda-araNye prati-nava---latA--sadmasu prema--pUrNaH
   pūrṇānando jayati muralīṃ vādayāno mukundaḥ // GGS_145 //	pUrNAnandaH jayati muralIm vAdayAnaH mukundaH // GGS_145 //
   yathā bṛhad-gautamīya-tantre--	yaTA bRhat--gOtamIya-tantre--
   devī kṛṣṇa-mayi proktā rādhikā para-devatā /	devI kRzNa--mayi proktA rADikA para-devatA /
   sarva-lakṣmī-mayī sarva-kāntiḥ sammohinī parā // GGS_146 //	sarva-lakzmI--mayI sarva-kAntiH sammohinI parA // GGS_146 //
   ṛk-pariśiṣṭe ca--	Rk--pariSizwe ca--
   rādhayā mādhavo devo	rADayA mADavaH devaH-
   mādhavenaiva rādhikā	mADavena-eva rADikA
   vibhrājante janeṣv ā // GGS_147 //	viBrAjante janezu A // GGS_147 //
   mātsye ca--	mAtsye ca--
   vārāṇasyāṃ viśālākṣī vimalā puruṣottame /	vArANasyAm viSAla-akzI vimalA puruzottame /
   rukmiṇī dvāravatyāṃ tu rādhā vṛndāvane vane // GGS_148 //	rukmiNI dvAravatyAm tu rADA vRndAvane vane // GGS_148 //
   pādme ca (UN 4.5)--	pAdme ca (Uj 4.5)--
   yathā rādhā priyā viṣṇos tasyāḥ kuṇḍaṃ priyaṃ tathā /	yaTA rADA priyA vizNoH tasyAH kuNxam priyam taTA /
   sarva-gopīṣu saivaikā viṣṇor atyanta-vallabhā // GGS_149 //	sarva-gopIzu sA-eva-ekA vizNoH atyanta-vallaBAH // GGS_149 //
   (UN 4.3-4, 6-7)--	(Uj 4.3-4, 6-7)--
   mahā-bhāva-svarūpeyaṃ guṇair ativarīyasī /	mahA-BAva--svarUpA-iyam guNEH ati-varIyasI /
   gopālottara-tāpanyāṃ yad gāndharveti viśrutā // GGS_150 //	gopAla-uttara-tApanyAm yat gAnDarva-iti viSrutAH // GGS_150 //
   hlādinī yā mahā-śaktiḥ sarva-śakti-varīyasī /	hlAdinI yA mahA--SaktiH sarva--Sakti--varIyasI /
   tat-sāra-bhāva-rūpeyam iti tantre pratiṣṭhitā // GGS_151 //	tat-sAra-BAva--rUpeyam iti tantre pratizWitAH // GGS_151 //
   suṣṭhu-kānta-svarūpeyaṃ sarvadā vārṣabhānavī /	suzWu-kAnta--svarUpA-iyam sarvadA vArzaBAnavI /
   dhṛta-ṣoḍaśa-śṛṅgārā dvādaśābharaṇānvitā // GGS_152 //	DRta--zoxaSa--SRFgArAH dvAdaSa-ABaraNa-anvitA // GGS_152 //
   tatra suṣṭhu-kānta-svarūpā, yathā śrī-kṛṣṇa-vākyam (UN 4.8)--	tatra suzWu-kAnta--svarUpA, yaTA SrI--kRzNa--vAkyam (Uj 4.8)--
   kacās tava sukuñcitā mukham adhīra-dīrghekṣaṇaṃ	kacAH tava su-kuQcitA muKam aDIra--dIrGa-IkzaNam
   kaṭhora-kuca-bhāg-uraḥ kraśima-śāli madhya-sthalam /	kaWora--kuca-BAj--uraH kraSima--SAli maDya-sTalam /
   nate śirasi dorlate karaja-ratna-ramyau karau	nate Sirasi dos-late karaja--ratna--ramyO karO
   vidhūnayati rādhike tri-jagad eṣa rupotsavaḥ // GGS_153 //	viDUnayati rADike tri-jagat eza rupa-utsavaH // GGS_153 //
   dhṛta-ṣoḍaśa-śṛṅgārā yathā (UN 4.9)--	DRta--zoxaSa--SRFgArAH yaTA (Uj 4.9)--
   snātā nāsāgra-jāgran-maṇi-rasita-paṭā sūtriṇī baddha-veṇī	snAtA nAsA-agra-jAgra-n-maNi--rasita-pawA sUtriNI badDa-veNI
   sottaṃsā carcitāṅgī kusumita-cikura sragviṇī padma-hastā /	sa-uttaMsA carcita-aFgI kusumita-cikura sragviNI padma--hastAH /
   tāmbūlāsyoru-bindu-stavakita-cibukā kajjalākṣī sucitrā	tAmbUla-asya-Uru-bindu--stava-kita-cibukA kajjala-akzI su-citrA
   rādhālaktojjvalāṅghriḥ sphuriti tilakinī ṣoḍaśā-kalpinīyam // GGS_154 //	rADA-lakta-ujjvalAFGriH sPuriti tilakinI zoxaSA--kalpinI-iyam // GGS_154 //
   dvādaśābharaṇāśritā yathā (UN 4.10)--	dvAdaSa-ABaraNa-ASritAH yaTA (Uj 4.10)--
   divyaś cūḍāmaṇīndraḥ puraṭa-viracitāḥ kuṇḍala-dvandva-kāñci*	divyaH cUxAmaNi-indraH purawa--viracitAH kuNxala-dvandva--kAQci*
   niṣkāś cakrī-śalākā-yuga-valaya-ghaṭāḥ kaṇṭha-bhūṣormikāś ca /	nizkAH cakrI--SalAkA--yuga-valaya--GawAH kaNWa-BUzA-UrmikAH ca /
   hārās tārānukāra bhuja-kaṭaka-tulākoṭayo ratna-k ptā*	hArAH tAra-anukAra Buja--kawaka-tulA-kowayaH ratna-c ptA*
   stuṅgā pādāṅgurīya-cchavir iti ravibhir bhūṣaṇair bhāti rādhā // GGS_155	stuFgA pAdAFgurIya-=-CaviH iti raviBiH BUzaNEH BAti rADA // GGS_155
   madhye vayasi kaiśora eva tasyāḥ sthitiḥ /	maDye vayasi kESoraH eva tasyAH sTitiH /
   pūrvavad divasa-gaṇanayā	pUrvavat divasa--gaNanayA
   viṃśati-dinottara-pañca-māsādhika-nava-varṣa-parimitaṃ madhya-kaiśoraṃ	viMSati-dina-uttara--paQca--mAsa-aDika-nava--varza--parimitam maDya-ka-ESoram
   vayaḥ (9-5-20); rāja-kumārītvād bhogātiśayena samṛddhyā varṣa-māsa-dinānāṃ	vayaH (9-5-20); rAja-kumArI-tvAt Boga-atiSayena samRdDyA varza--mAsa-dinAnAm
   sārdhatayā pañca-daśa-dinottara-māsa-dvayādhika-caturdaśa-varṣa parimitaṃ	sArDa-tayA paQca-daSa-dina-uttara--mAsa--dvaya-aDika-caturdaSa-varza parimitam
   vayo 'syāḥ jñeyam (14-2-15) /	vayaH asyAH jQeyam (14-2-15) /
   asyā madīyatā-bhāvo madhu-snehas tathaiva ca /	asyAH madIyatA-BAvaH maDu-snehaH taTA-eva ca /
   mañjiṣṭhākhyo bhaved rāgaḥ samarthā kevalā ratiḥ // GGS_156 //	maQjizWA-AKyaH Bavet rAgaH samarTA kevalA ratiH // GGS_156 //
   kandarpa-kautukaṃ kuñjaṃ gṛham asyās tu yāvaṭe /	kandarpa--kOtukam kuQjam gRham asyAH tu yAvawe /
   mātāsyāḥ kīrtidā proktā vṛṣabhānuḥ pitā smṛtaḥ // GGS_157 //	mAtA-asyAH kIrti-dA proktA vRzaBAnuH pitA smRtaH // GGS_157 //
   abhimanyuḥ patis tasyā durmukho devaraḥ smṛtaḥ /	aBimanyuH patiH tasyAH durmuKaH devaraH smRtaH /
   jaṭilākhyā smṛtā śvaśrūr nanandā kuṭilā matā // GGS_158 //	jawilA-AKyA smRtA SvaSrUH nanandA kuwilA matAH // GGS_158 //
   yathā syur nāyakāvasthā nikhilā eva mādhave /	yaTA syuH nAyaka-avasTA niKilAH eva mADave /
