   Daśasāhasrikā Prajñāpāramitā	DaSa-sA-ahasrikA PrajQApAramitA
   sarvaṃ bhavati, tasmād ucyante kṛtsnāyatanānīti.	sarvam Bavati, tasmAt ucyante kRtsnA-AyatanAni-iti.
   [DsP_43] tatra katamā aṣṭādaśa śūnyatāḥ? yadutādhyātmaśūnyatā,	[DsP_43] tatra katamAH azwAdaSa SUnyatAH? yat-uta-aDyAtma-SUnyatA,
   bahirdhāśūnyatā, adhyātmabahirdhāśūnyatā, śūnyatāśūnyatā, mahāśūnyatā,	bahirDA-SUnyatA, aDyAtma-bahirDA-SUnyatA, SUnyatA-SUnyatA, mahA-SUnyatA,
   paramārthaśūnyatā, saṃskṛtaśūnyatā, asaṃskṛtaśūnyatā, atyantaśūnyatā,	parama-arTa-SUnyatA, saMskRta-SUnyatA, asaMskRta-SUnyatA, atyanta-SUnyatA,
   anavarāgraśūnyatā, anavakāraśūnyatā, prakṛtiśūnyatā, sarvadharmaśūnyatā,	anavara-agra-SUnyatA, anavakAra-SUnyatA, prakRti-SUnyatA, sarva-Darma-SUnyatA,
   svalakṣaṇaśūnyatā, anupalambhaśūnyatā, abhāvaśūnyatā, svabhāvaśūnyatā,	sva-lakzaNa-SUnyatA, anupalamBa-SUnyatA, aBAva-SUnyatA, svaBAva-SUnyatA,
   abhāvasvabhāvaśūnyatā.	aBAva-svaBAva-SUnyatA.
   tatra katamādhyātmaśūnyatā? ādhyātmikā dharmā ucyante, yaduta cakṣuḥ,	tatra katama-aDyAtma-SUnyatA? ADyAtmikAH DarmAH ucyante, yat-uta cakzuH,
   śrotraṃ, ghrāṇaṃ, jihvā, kāyo, manaḥ. tatra cakṣuś cakṣuṣā śūnyam	SrotraM, GrANaM, jihvA, kAyo, manaH. tatra cakzuH cakzuzA SUnyam
   akūṭasthāvināśitām upādāya; tat kasmād dhetoḥ? prakṛtir asyaiṣā. evam eva	akUwa-sTA-vinASitAm upAdAya; tat kasmAt DetoH? prakRtiH asya-ezA. evam eva
   śrotraṃ, ghrāṇaṃ, jihvā, kāyo, mano manasā śūnyam akūṭasthāvināśitām	SrotraM, GrANaM, jihvA, kAyo, manaH manasA SUnyam akUwa-sTA-vinASitAm
   upādāya; tat kasmād dhetoḥ? prakṛtir asyaiṣā. iyam ucyate 'dhyātmaśūnyatā.	upAdAya; tat kasmAt DetoH? prakRtiH asya-ezA. iyam ucyate aDyAtma-SUnyatA.
   tatra katamā bahirdhāśūnyatā? bāhyā dharmā ucyante yaduta rūpaṃ, śabdo,	tatra katamAH bahirDA-SUnyatA? bAhyAH DarmAH ucyante yat-uta rUpaM, SabdaH-,
   gandho, rasaḥ, spraṣṭavyaṃ, dharmāḥ. tatra rūpāṇi rūpaiḥ śūnyāny	ganDo, rasaH, sprazwavyaM, DarmAH. tatra rUpANi rUpEH SUnyAni-
   akūṭasthāvināśitām upādāya; tat kasmād dhetoḥ? prakṛtir asyaiṣā. evam eva	akUwa-sTA-vinASitAm upAdAya; tat kasmAt DetoH? prakRtiH asya-ezA. evam eva
   śabdo, gandho, rasaḥ, spraṣṭavyaṃ, dharmā dharmaiḥ śūnyā	Sabdo, ganDo, rasaH, sprazwavyan, DarmAH DarmEH SUnyA
   akūṭasthāvināśitām upādāya; tat kasmād dhetoḥ? prakṛtir asyaiṣā. iyam	akUwa-sTA-vinASitAm upAdAya; tat kasmAt DetoH? prakRtiH asya-ezA. iyam
   ucyate bahirdhāśūnyatā.	ucyate bahirDA-SUnyatA.
   tatra katamādhyātmabahirdhāśūnyatā? adhyātmabāhyā dharmā ucyante ṣaḍ	tatra katama-aDyAtma-bahirDA-SUnyatA? aDyAtma-bAhyAH DarmAH ucyante zaz-
   ādhyātmikāny āyatanāni, ṣaḍ bāhyāny āyatanāni. tatrādhyātmikā dharmā	ADyAtmikAni AyatanAni, zaw bAhyAni AyatanAni. tatra-ADyAtmikA DarmA
   ādhyātmikair dharmaiḥ śūnyā akūṭasthāvināśitām upādāya; tat kasmād dhetoḥ?	ADyAtmikEH DarmEH SUnyAH akUwa-sTA-vinASitAm upAdAya; tat kasmAt DetoH?
   prakṛtir asyaiṣā. bāhyā dharmā bāhyair dharmaiḥ śūnyā akūṭasthāvināśitām	prakRtiH asya-ezA. bAhyAH DarmAH bAhyEH DarmEH SUnyAH akUwa-sTA-vinASitAm
   upādāya; tat kasmād dhetoḥ? prakṛtir asyaiṣā. iyam ucyate	upAdAya; tat kasmAt DetoH? prakRtiH asya-ezA. iyam ucyate
   'dhyātmabahirdhāśūnyatā.	aDyAtma-bahirDA-SUnyatA.
   tatra katamā śūnyatāśūnyatā? yā sarvadharmaśūnyatā tayā	tatra katamA SUnyatA-SUnyatA? yA sarva-Darma-SUnyatA tayA
   sarvadharmaśūnyatayā sarvadharmaśūnyatā śūnyākūṭasthāvināśitām upādāya;	sarva-Darma-SUnya-tayA sarva-Darma-SUnyatA SUnya-akUwa-sTA-vinASi-tAm upAdAya;
   tat kasmād dhetoḥ? prakṛtir asyaiṣā.	tat kasmAt DetoH? prakRtiH asya-ezA.
   tatra katamā mahāśūnyatā? pūrvā dik pūrvayā diśā śūnyākūṭasthāvināśitām	tatra katamA mahA-SUnyatA? pUrvA diS pUrvayA diSA SUnya-akUwa-sTA-vinASitAm
   upādāya; tat kasmād dhetoḥ? prakṛtir asyaiṣā. evam eva dakṣiṇā, paścimā,	upAdAya; tat kasmAt DetoH? prakRtiH asya-ezA. evam eva dakziNA, paScimA,
   uttarā dik, catasro vidiśas, tā aṣṭau diśa, uparisṭāddig upariṣṭāddiśā	uttarA dik, catasraH vidiSas, tAH azwO diSa, upari-swAt-diS uparizwAt-diSA
   śūnyā, adhastāddig adhastāddiśā śūnyākūṭasthāvināśitām upādāya; tat kasmād	SUnyA, aDastAt-diS aDastAt-diSA SUnya-AkUwa-sTA-vinASi-tAm upAdAya; tat kasmAt-
   dhetoḥ? prakṛtir asyaiṣā. iyam ucyate mahāśūnyatā.	DetoH? prakRtiH asya-ezA. iyam ucyate mahA-SUnyatA.
   tatra katamā paramārthaśūnyatā? paramārtha ucyate nirvāṇam. tatra nirvāṇaṃ	tatra katamA parama-arTa-SUnyatA? parama-arTaH ucyate nirvANam. tatra nirvANam
   nirvāṇena śūnyam akūṭasthāvināśitām upādāya; tat kasmād dhetoḥ? prakṛtir	nirvANena SUnyam akUwa-sTA-vinASitAm upAdAya; tat kasmAt DetoH? prakRtiH-
   asyaiṣā. iyam ucyate paramārthaśūnyatā.	asya-ezA. iyam ucyate parama-arTa-SUnyatA.
   tatra katamā saṃskṛtaśūnyatā? saṃskṛtam ucyate kāmadhātū, rūpadhātur,	tatra katamA saMskRta-SUnyatA? saMskRtam ucyate kAmaDAtU, rUpa-DAtuH-,
   arūpadhātuḥ. tatra kāmadhātuḥ kāmadhātunā śūnyo 'kūṭasthāvināśitām	arUpa-DAtuH. tatra kAmaDAtuH kAmaDAtunA SUnyaH akUwa-sTA-vinASitAm
   upādāya. evam eva rūpadhātū rūpadhātunā śūnyo, 'rūpadhātur arūpadhātunā	upAdAya. evam eva rUpa-DAtuH rUpa-DAtunA SUnyo, arUpaDAtuH arUpa-DAtunA
   śūnyaḥ; tat kasmād dhetoḥ? prakṛtir asyaiṣā. iyam ucyate saṃskṛtaśūnyatā.	SUnyaH; tat kasmAt DetoH? prakRtiH asya-ezA. iyam ucyate saMskRta-SUnyatA.
   tatra katamāsaṃskṛtaśūnyatā? asaṃskṛtam ucyate yasya dharmasya notpādo, na	tatra katamA-saMskRta-SUnyatA? asaMskRtam ucyate yasya Darmasya na-utpAdo, na
   sthitir, na nirodho, nānyathātvam. tatrāsaṃskṛtam asaṃskṛtena śūnyam	sTitiH-, na niroDo, na-anyaTAtvam. tatra-asaMskRtam asaMskRtena SUnyam
   akūṭasthāvināśitām upādāya; tat kasmād dhetoḥ? prakṛtir asyaiṣā. iyam	akUwa-sTA-vinASitAm upAdAya; tat kasmAt DetoH? prakRtiH asya-ezA. iyam
   ucyate 'saṃskṛtaśūnyatā.	ucyate asaMskRta-SUnyatA.
   tatra katamātyantaśūnyatā? yasya dharmasya notpāda upalabhyate	tatra katama-atyanta-SUnyatA? yasya Darmasya na-utpAdaH upalaByate
   'kūṭasthāvināśitām upādāya; tat kasmād dhetoḥ? prakṛtir asyaiṣā. iyam	akUwa-sTA-vinASi-tAm upAdAya; tat kasmAt DetoH? prakRtiH asya-ezA. iyam
   ucyate 'tyantaśūnyatā.	ucyate atyanta-SUnyatA.
   tatra katamānavarāgraśūnyatā? yasya dharmasya nāgatir upalabhyate	tatra katamAna-vara-agra-SUnyatA? yasya Darmasya na-AgatiH upalaByate
   'kūṭasthāvināśitām upādāya; tat kasmād dhetoḥ? prakṛtir asyaiṣā. iyam	akUwa-sTA-vinASi-tAm upAdAya; tat kasmAt DetoH? prakRtiH asya-ezA. iyam
   ucyate 'navarāgraśūnyatā.	ucyate anavara-agra-SUnyatA.
   tatra katamānavakāraśūnyatā? yatra na kasyacid dharmasyāvakāro	tatra katamAna-vakAra-SUnyatA? yatra na kasyacid Darmasya-avakAraH-
   'kūṭasthāvināśitām upādāya; tat kasmād dhetoḥ? prakṛtir asyaiṣā. iyam	akUwa-sTA-vinASi-tAm upAdAya; tat kasmAt DetoH? prakRtiH asya-ezA. iyam
   ucyate 'navakāraśūnyatā.	ucyate anavakAra-SUnyatA.
   tatra katamā prakṛtiśūnyatā? yā sarvadharmāṇāṃ prakṛtiḥ saṃskṛtānāṃ	tatra katamA prakRti-SUnyatA? yA sarva-DarmANAm prakRtiH saMskRtAnAm
   vāsaṃskṛtānāṃ vā sā na śrāvakaiḥ kṛtā, na pratyekabuddhaiḥ kṛtā, na	vAsaMskRtAnAm vA sA na SrAvakEH kRtA, na pratyekabudDEH kRtA, na
   bodhisattvaiḥ kṛtā, na buddhair bhagavadbhiḥ kṛtākūṭasthāvināśitām	boDisattvEH kRtA, na budDEH BagavadBiH kRtA-kUwa-sTA-vinASitAm
   upādāya; tat kasmād dhetoḥ? prakṛtir asyaiṣā. iyam ucyate prakṛtiśūnyatā.	upAdAya; tat kasmAt DetoH? prakRtiH asya-ezA. iyam ucyate prakRti-SUnyatA.
   tatra katamā svalakṣaṇaśūnyatā? tatra rūpyalakṣaṇaṃ rūpam, anubhavalakṣaṇā	tatra katamA sva-lakzaNa-SUnyatA? tatra rUpya-lakzaNam rUpam, anuBava-lakzaNA
   vedanā, saṃjānanalakṣaṇā saṃjñā, abhisaṃskāralakṣaṇāḥ saṃskārāḥ,	vedanA, saMjAnana-lakzaNA saMjQA, aBisaMskAra-lakzaNAH saMskArAH,
   vijānanalakṣaṇaṃ vijñānaṃ peyālaṃ yāvad yac ca saṃskṛtānāṃ dharmāṇāṃ	vijAnana-lakzaNam vijQAnam peyAlam yAvat yat ca saMskRtAnAm DarmANAm
   lakṣaṇaṃ yac cāsaṃskṛtānāṃ dharmāṇāṃ lakṣaṇaṃ sarva ete dharmāḥ svena	lakzaNam yat ca-asaMskRtAnAm DarmANAm lakzaNam sarve ete DarmAH svena
   svena lakṣaṇena śūnyā akūṭasthāvināśitām upādāya; tat kasmād dhetoḥ?	svena lakzaNena SUnyAH akUwa-sTA-vinASitAm upAdAya; tat kasmAt DetoH?
   prakṛtir asyaiṣā. iyam ucyate svalakṣaṇaśūnyatā.	prakRtiH asya-ezA. iyam ucyate sva-lakzaNa-SUnyatA.
   tatra katamā sarvadharmaśūnyatā? sarvadharmā ucyante pañca skandhā,	tatra katamA sarva-Darma-SUnyatA? sarva-DarmAH ucyante paQca skanDA,
   dvādaśāyatanāny, aṣṭādaśa dhātavo, rūpiṇo dharmā, arūpiṇo dharmāḥ,	dvAdaSa-AyatanAny, azwAdaSa DAtavo, rUpiNaH DarmA, arUpiNaH DarmAH,
   saṃskṛtā dharmā, asaṃskṛtā dharmāḥ. tatra sarvadharmāḥ sarvadharmaiḥ śūnyā	saMskRtAH DarmA, asaMskRtAH DarmAH. tatra sarva-DarmAH sarva-DarmEH SUnyA
   akūṭasthāvināśitām upādāya; tat kasmād dhetoḥ? prakṛtir asyaiṣā. iyam	akUwa-sTA-vinASitAm upAdAya; tat kasmAt DetoH? prakRtiH asya-ezA. iyam
   ucyate sarvadharmaśūnyatā.	ucyate sarva-Darma-SUnyatA.
   tatra katamānupalambhaśūnyatā? sāpi sarvadharmānupalambho	tatra katamAnupalamBa-SUnyatA? sA-api sarva-Darma-anupalamBaH-
   'kūṭasthāvināśitām upādāya; tat kasmād dhetoḥ? prakṛtir asyaiṣā. iyam	akUwa-sTA-vinASi-tAm upAdAya; tat kasmAt DetoH? prakRtiH asya-ezA. iyam
   ucyate 'nupalambhaśūnyatā.	ucyate anupalamBa-SUnyatA.
   tatra katamābhāvaśūnyatā? yatra na kaścid bhāva upalabhyata iyam ucyate	tatra katama-aBAva-SUnyatA? yatra na kaScid BAvaH upalaByate iyam ucyate
   'bhāvaśūnyatā.	aBAva-SUnyatA.
   tatra katamā svabhāvaśūnyatā? yaḥ sāṃyogikasya svabhāvābhāva iyam ucyate	tatra katamA svaBAva-SUnyatA? yaH sAMyogikasya svaBAva-aBAvaH iyam ucyate
   svabhāvaśūnyatā.	svaBAva-SUnyatA.
   tatra katamābhāvasvabhāvaśūnyatā? nāsti sāṃyogikasya kaścit svabhāvaḥ.	tatra katama-aBAva-svaBAva-SUnyatA? na-asti sAMyogikasya kaScid svaBAvaH.
   iyam ucyate 'bhāvasvabhāvaśūnyatā.	iyam ucyate aBAva-svaBAva-SUnyatA.
   punar aparaṃ śāradvatīputra bhāvo bhāvena śūnyo, 'bhāvo 'bhāvena śūnyaḥ,	punar aparam SAradvatI-putra BAvaH BAvena SUnyo, aBAvaH aBAvena SUnyaH,
   svabhāvaḥ svabhāvena śūnyaḥ, parabhāvaḥ parabhāvena śūnyaḥ.	svaBAvaH svaBAvena SUnyaH, para-BAvaH para-BAvena SUnyaH.
   tatra katamo bhāvaḥ? bhāva ucyate pañca skandhā yaduta rūpaṃ, vedanā,	tatra katamaH BAvaH? BAvaH ucyate paQca skanDAH yat-uta rUpaM, vedanA,
   saṃjñā, saṃskārā, vijñānam. tatra bhāvo bhāvena śūnyaḥ.	saMjQA, saMskArA, vijQAnam. tatra BAvaH BAvena SUnyaH.
   katham abhāvo 'bhāvena śūnyaḥ? abhāva ucyate 'saṃskṛtam. tatrāsaṃskṛtam	kaTam aBAvaH aBAvena SUnyaH? aBAvaH ucyate asaMskRtam. tatra-AsaMskRtam
   asaṃskṛtena śūnyam, evam abhāvo 'bhāvena śūnyaḥ.	asaMskRtena SUnyam, evam aBAvaH aBAvena SUnyaH.
   kathaṃ svabhāvaḥ svabhāvena śūnyaḥ? yā sarvadharmāṇāṃ śūnyatā sā na	kaTam svaBAvaH svaBAvena SUnyaH? yA sarva-DarmANAm SUnyatA sA na
   jñānena kṛtā na darśanena kṛtā na kenacit kṛtā. ayaṃ svabhāva ucyate	jQAnena kRtA na darSanena kRtA na kenacid kRtA. ayam svaBAvaH ucyate
   svabhāvena śūnyaḥ.	svaBAvena SUnyaH.
   kathaṃ parabhāvaḥ parabhāvena śūnyaḥ? yotpādād vā tathāgatānām anutpādād	kaTam para-BAvaH para-BAvena SUnyaH? yotpAdAt vA taTAgatAnAm anutpAdAt-
   vā tathāgatānāṃ sthitaivaiṣā dharmāṇāṃ dharmasthititā, dharmadhātur,	vA taTAgatAnAm sTitA-eva-ezA DarmANAm Darma-sTititA, DarmaDAtuH-,
   dharmānavadyatā, tathatāviparyāsatathatānanyatathatā, bhūtakoṭir yaś	DarmAn-avadyatA, taTatA-viparyAsa-taTatA-ananya-taTatA, BUtakowiH yaH-
   cemeṣāṃ pareṇa śūnyaḥ parabhāvaḥ sa ucyate parabhāvena śūnyaḥ.	cemezAm pareNa SUnyaH para-BAvaH saH ucyate para-BAvena SUnyaH.
   ete śāradvatīputra te sarvadharmā yeṣv anabhiniviṣṭo bodhisattvo	ete SAradvatI-putra te sarva-DarmAH yezu anaBinivizwaH boDisattvaH-
   mahāsattvaḥ prajñāpāramitāyāṃ pāraṃ gataḥ kṣipram anuttarāṃ	mahAsattvaH prajQApAramitAyAm pAram gataH kzipram anuttarAm
   samyaksaṃbodhim abhisaṃbudhyate.	samyaksaMboDim aBisaMbuDyate.
   daśasāhasrikāyāḥ prajñāpāramitāyā nidānaparivarto nāma prathamaḥ.	daSa-sAhasrikAyAH prajQApAramitAyAH nidAna-parivartaH nAma praTamaH.
   daśasāhasrikā prajñāpāramitā, dvitīyo 'dhyāyaḥ.	daSa-sAhasrikA prajQApAramitA, dvitIyaH aDyAyaH.
   [DsP_44] tato bhagavān āyuṣmantaṃ śāradvatīputram avocat: tatra katamāni	[DsP_44] tatas BagavAn Ayuzmantam SAradvatI-putram avocat: tatra katamAni
   śāradvatīputra tathāgatasya daśa balāni? yaduta	SAradvatI-putra taTAgatasya daSa balAni? yat-uta
   sthānaṃ sthānato yathābhūtaṃ prajānāty asthānam asthānato yathābhūtaṃ	sTAnam sTAnataH yaTABUtam prajAnAti asTAnam asTAnataH yaTABUtam
   prajānāti;	prajAnAti;
   atītānāgatapratyutpannānāṃ karmaṇāṃ karmasamādānānāṃ ca sthānaśo hetuśo	atIta-anAgata-pratyutpannAnAm karmaNAm karma-samAdAnAnAm ca sTAnaSas hetuSo
   vipākaṃ yathābhūtaṃ prajānāti;	vipAkam yaTABUtam prajAnAti;
   anekadhātunānādhātulokaṃ yathābhūtaṃ prajānāti;	aneka-DAtu-nAnADAtu-lokam yaTABUtam prajAnAti;
   sa parasattvānāṃ parapudgalānāṃ nānādhimuktikatām anekādhimuktikatāṃ	sa para-sattvAnAm para-pudgalAnAm nAnA-aDimuktika-tAm aneka-aDimuktika-tAm
   yathābhūtaṃ prajānāti;	yaTABUtam prajAnAti;
   parasattvānāṃ parapudgalānām indriyaparāparatvaṃ yathābhūtaṃ prajānāti;	para-sattvAnAm para-pudgalAnAm indriya-parApara-tvam yaTABUtam prajAnAti;
   sarvatragāminīṃ pratipadaṃ yathābhūtaṃ prajānāti;	sarvatra-gAminIm pratipadam yaTABUtam prajAnAti;
   indriyabalabodhyaṅgavimokṣadhyānasamādhisamāpattīnāṃ	indriya-bala-boDi-aFga-vimokza-DyAna-samADi-samApattInAm
   saṃkleśavyavadānavyutthānajñānaṃ yathābhūtaṃ prajānāti;	saMkleSa-vyavadAna-vyutTAna-jQAnam yaTABUtam prajAnAti;
   anekavidhaṃ pūrvanivāsam anusmarati;	anekaviDam pUrva-nivAsam anusmarati;
   sattvānāṃ cyutyupapattiṃ yathābhūtaṃ prajānāti;	sattvAnAm cyuti-upapattim yaTABUtam prajAnAti;
   āsravāṇāṃ kṣayād anāsravāṃ cetovimuktiṃ prajñāvimuktiṃ dṛṣṭa eva dharme	AsravANAm kzayAt anAsravAm cetaH-vimuktim prajQA-vimuktim dRzwaH eva Darme
   svayam abhijñāya sākṣātkṛtyopasaṃpadya viharati: kṣīnā me jātir, uṣitaṃ	svayam aBijQAya sAkzAtkRtya-upasaMpadya viharati: kzInA me jAtir, uzitam
   brahmacaryaṃ, kṛtaṃ karaṇīyaṃ, nāparam asmād bhavaṃ prajānāmīti. imāni	brahmacaryan, kRtam karaNIyan, na-aparam asmAt Bavam prajAnAmi-iti. imAni
   śāradvatīputra tathāgatasya daśa balāni.	SAradvatI-putra taTAgatasya daSa balAni.
   [DsP_45] tatra katamāni śāradvatīputra catvāri vaiśāradyāni?	[DsP_45] tatra katamAni SAradvatI-putra catvAri vESAradyAni?
   samyaksaṃbuddhasya me pratijānata ime dharmā anabhisaṃbuddhā ity atra vata	samyaksaMbudDasya me pratijAnataH ime DarmAH anaBisaMbudDAH iti atra vata
   māṃ śramaṇo vā brāhmaṇo vā devo vā māro vā brahmā vā kaścid vā punar loke	mAm SramaNaH vA brAhmaNaH vA devaH vA mAraH vA brahmA vA kaScid vA punar loke
   saha dharmeṇa codayed iti nimittam etan na samanupaśyāmi, nimittam etad	saha DarmeNa codayet iti nimittam etat na samanupaSyAmi, nimittam etat-
   aham asamanupaśyan kṣemaprāpto viharāmy abhayaprāpto vaiśāradyaprāpto	aham asamanupaSyan kzema-prAptaH viharAmi aBaya-prAptaH vESAradya-prAptaH-
   viharāmy, udāram ārṣabhaṃ sthānāṃ pratijānāmi, parṣadi samyak siṃhanādaṃ	viharAmy, udAram ArzaBam sTAnAm pratijAnAmi, parzadi samyak siMhanAdam
   nadāmi, brāhmaṃ cakraṃ pravartayāmy apravartitapūrvaṃ śramaṇena vā	na-dAmi, brAhmam cakram pravartayAmi apravartita-pUrvam SramaNena vA
   brāhmaṇena vā devena vā māreṇa vā brahmaṇā vā kenacid vā loke saha	brAhmaNena vA devena vA mAreNa vA brahmaNA vA kenacid vA loke saha
   dharmeṇeti;	DarmeNa-iti;
   kṣīṇāsravasya me pratijānata ima āsravā aparikṣīṇā ity atra vata māṃ	kzINa-Asravasya me pratijAnataH ime AsravAH aparikzINAH iti atra vata mAm
   śramaṇo vā brāhmaṇo vā devo vā māro vā brahmā vā kaścid vā punar loke saha	SramaNaH vA brAhmaNaH vA devaH vA mAraH vA brahmA vA kaScid vA punar loke saha
   dharmeṇa codayed iti nimittam etan na samanupaśyāmi, nimittam etad aham	DarmeNa codayet iti nimittam etat na samanupaSyAmi, nimittam etat aham
   asamanupaśyan kṣemaprāpto viharāmy abhayaprāpto vaiśāradyaprāpto viharāmy,	asamanupaSyan kzema-prAptaH viharAmi aBaya-prAptaH vESAradya-prAptaH viharAmi-,
   udāram ārṣabhaṃ sthānaṃ pratijānāmi, parṣadi samyak siṃhanādaṃ nadāmi,	udAram ArzaBam sTAnam pratijAnAmi, parzadi samyak siMhanAdam nadAmi,
   brāhmaṃ cakraṃ pravartayāmy apravartitapūrvaṃ śramaṇena vā brāhmaṇena vā	brAhmam cakram pravartayAmi apravartita-pUrvam SramaNena vA brAhmaNena vA
   devena vā māreṇa vā brahmaṇā vā kenacid vā loke saha dharmeṇeti;	devena vA mAreNa vA brahmaNA vA kenacid vA loke saha DarmeNa-iti;
   ye ca mayāntarāyikā dharmā ākhyātās te pratisevato nālam antarāyāyeti,	ye ca mayA-antarAyikAH DarmAH AKyAtAH te pratisevataH na-alam antarAyAya-iti,
   nedaṃ sthānaṃ vidyata ity atra vata māṃ śramaṇo vā brāhmaṇo vā devo vā	na-idam sTAnam vidyate iti atra vata mAm SramaNaH vA brAhmaNaH vA devaH vA
   māro vā brahmā vā kaścid vā punar loke saha dharmeṇa codayed iti nimittam	mAraH vA brahmA vA kaScid vA punar loke saha DarmeNa codayet iti nimittam
   etan na samanupaśyāmi, nimittam etad aham asamanupaśyan kṣemaprāpto	etat na samanupaSyAmi, nimittam etat aham asam-anupaSyan kzema-prAptaH-
   viharāmy abhayaprāpto vaiśāradyaprāpto viharāmy, udāram ārṣabhaṃ sthānaṃ	viharAmi aBaya-prAptaH vESAradya-prAptaH viharAmy, udAram ArzaBam sTAnam
   pratijānāmi, parṣadi samyak siṃhanādaṃ nadāmi, brāhmaṃ cakraṃ pravartayāmy	pratijAnAmi, parzadi samyak siMhanAdam na-dAmi, brAhmam cakram pravartayAmi-
   apravartitapūrvaṃ śramaṇena va brāhmaṇena vā devena vā māreṇa vā brahmaṇā	apravartita-pUrvam SramaNena va brAhmaNena vA devena vA mAreNa vA brahmaNA
   vā kenacid vā loke saha dharmeṇeti;	vA kenacid vA loke saha DarmeNa-iti;
   yā tena śrāvakebhyaḥ pratipad ākhyātāryanairyāṇikā nairvedhikā tatkarasya	yA tena SrAvakeByaH pratipad AKyAta-ArI-anEryANikA nErveDikA tad-karasya
   samyag duḥkhakṣayāya tāṃ pratipadyamāno na niryāyād samyag	samyak duHKa-kzayAya tAm pratipadyamAnaH na niryAyAt samyak-
   duḥkhakṣayāyeti, nedaṃ sthānaṃ vidyata ity atra vata māṃ śramaṇo va	duHKa-kzayAya-iti, na-idam sTAnam vidyate iti atra vata mAm SramaNaH va
   brāhmaṇo vā devo vā māro vā brahmā vā kaścid vā punar loke saha dharmeṇa	brAhmaNaH vA devaH vA mAraH vA brahmA vA kaScid vA punar loke saha DarmeNa
   codayed iti nimittam etan na samanupaśyāmi, nimittam etad aham	codayet iti nimittam etat na samanupaSyAmi, nimittam etat aham
   asamanupaśyan kṣemaprāpto viharāmy abhayaprāpto vaiśāradyaprāpto viharāmy,	asamanupaSyan kzema-prAptaH viharAmi aBaya-prAptaH vESAradya-prAptaH viharAmi-,
   udāram ārṣabhaṃ sthānaṃ pratijānāmi, parṣadi samyak siṃhanādaṃ nadāmi,	udAram ArzaBam sTAnam pratijAnAmi, parzadi samyak siMhanAdam nadAmi,
   brāhmaṃ cakraṃ pravartayāmy apravartitapūrvaṃ śramaṇena vā devena vā	brAhmam cakram pravartayAmi apravartita-pUrvam SramaNena vA devena vA
   māreṇa vā brahmaṇā vā kenacid vā loke saha dharmeṇeti. etāny ucyante	mAreNa vA brahmaNA vA kenacid vA loke saha DarmeNa-iti. etAni ucyante
   catvāri vaiśāradyāni.	catvAri vESAradyAni.
   [DsP_46] tatra katamāś catasraḥ pratisaṃvidaḥ? yaduta arthapratisaṃvid,	[DsP_46] tatra katamAH catasraH pratisaMvidaH? yat-uta arTa-pratisaMvid-,
   dharmapratisaṃvin, niruktipratisaṃvit, pratibhānapratisaṃvit. etā ucyante	Darma-pratisaMvin, nirukti-pratisaMvit, pratiBAna-pratisaMvit. etAH ucyante
   catasraḥ pratisaṃvidaḥ.	catasraH pratisaMvidaH.
   [DsP_47] tatra katamā mahāmaitrī? yā tathāgatasya sarvasattveṣu śatrau ca	[DsP_47] tatra katamA mahA-mEtrI? yA taTAgatasya sarva-sattvezu SatrO ca
   mitre ca samavṛtiteyam ucyate mahāmaitrī.	mitre ca sama-vRtitA-iyam ucyate mahA-mEtrI.
   [DsP_48] tatra katamā mahākarunā? niḥsattveṣu sattveṣu yo maitryatyāga	[DsP_48] tatra katamA mahA-karunA? niHsattvezu sattvezu yaH mEtrI-atyAga
   iyam ucyate mahākaruṇā.	iyam ucyate mahA-karuNA.
   [DsP_49] tatra katame 'ṣṭādaśāvenikā buddhadharmāḥ? yaduta	[DsP_49] tatra katame azwAdaSa-AvenikA budDa-DarmAH? yat-uta
   nāsti tathāgatasya skhalitaṃ; nāsti ravitaṃ; nāsti muṣitasmṛtitā; nāsti	na-asti taTAgatasya sKalitaM; na-asti ravitaM; na-asti muzita-smRtitA; na-asti
   nānātvasaṃjñā; nāsty asamāhitacittam; nāsty apratisaṃkhyāyopekṣā; nāsti	nAnAtva-saMjQA; na-asti asamAhita-cittam; na-asti apratisaMKyAya-upekzA; na-asti
   chandasya hānir; nāsti vīryasya hānir; nāsti smṛter hānir; nāsti samādher	Candasya hAniH-; na-asti vIryasya hAniH-; na-asti smRteH hAniH-; na-asti samADeH-
   hānir; nāsti prajñāyā hānir; nāsti vimukter hānir nāsti	hAniH-; na-asti prajQAyAH hAniH-; na-asti vimukteH hAniH na-asti
   vimuktijñānadarśanasya hāniḥ; sarvaṃ kāyakarma jñānapūrvaṃgamaṃ	vimukti-jQAna-darSanasya hAniH; sarvam kAya-karma jQAna-pUrvaMgamam
   jñānānuparivarti; sarvaṃ vākkarma jñānapūrvaṃgamaṃ jñānānuparivarti;	jQAna-anuparivarti; sarvam vAkkarma jQAna-pUrvaMgamam jQAna-anuparivarti;
   sarvaṃ manaḥkarma jñānapūrvaṃgamaṃ jñānānuparivarti; atīte 'dhvany asaṅgam	sarvam manaH-karma jQAna-pUrvaMgamam jQAna-anuparivarti; atIte aDvani asaFgam
   apratihataṃ jñānadarśanaṃ pravartate; anāgate 'dhvany asaṅgam apratihataṃ	apratihatam jQAna-darSanam pravartate; anAgate aDvani asaFgam apratihatam
