   atha prathamaḥ paṭalaḥ	aTa praTamaH pawalaH
   diśo manasi kṛtvā mantrāntena pradakṣiṇamāvṛtya samanuvīkṣate /	diSaH manasi kRtvA mantra antena pradakziNam AvRtya samanuvIkzate /
   ṣaḍeva diśaḥ ,ḍurvīriti liṅgāt /	zaz eva diSaH ,xurvIH iti liFgAt /
   prācyādyāścatasraḥ ūrdhvā adharā ceti /	prAcya AdyAH catasraH UrDvA aDarA ca iti /
   tataḍattareṇārrdhacena'mā hāsmahī'tyanenanakṣatrāṇi candramasaṃca	tataxattareNa arrDa cena amA ha asmahI atyanena nakzatrANi candramasaMca
   sahopatiṣṭhate //11//	saha upatizWate //11//
   ĀpGs Tāt_12.13:	ĀpGs TAt _12.13:
   idaṃ ca vyākhyātam //12//	idam ca vyAKyAtam //12//
   uttareṇārrdhacena 'devāṣṣaḍurvīḥ ityanenadiśaḥavācīṣaṣṭhā upasthāya,	uttareNa arrDacena adevAzza xurvIH iti anena diSaH avAcI zazWAH upasTAya,
   uttareṇa 'mā hāsmahi'ityarrdhacenanakṣatrāṇi candramasaṃcopatiṣṭhate /	uttareNa amA ha asmahi aitya RrDa cena nakzatrANi candramasaMca upatizWate /
   śrutibalācca 'mā hāsmahi'ityatra nakṣatrāṇītyadhyāhṛtya tāni prakāśyānyeva	Sruti balAt ca amA ha asmahi aiti atra nakzatrANi iti aDyAhRtya tAni prakASyAni eva
   11 mitreṇa sambhāṣaṇaṃ, yatheṣṭagamanaṃ ca /	11 mitreNa samBAzaNan, yaTezwa gamanam ca /
   rātinā sambhāṣya yathārtha gacchati // ĀpGs_12.14 //	rAtinA samBAzya yaTArTa gacCati // ĀpGs_12.14 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_12.14:	ĀpGs AnAH _12.14:
   rātinābandhunāsaṃbhāṣyakiṃ mayā kartavyam?ka āśramaḥ pratipattavyaḥ?iti	rAtinA banDunA saMBAzyakim mayA kartavyam ?kaH ASramaH pratipattavyaH?iti
   saṃbhāṣaṇaṃ kṛtvā tena rātinā sahagacchati anadhṛtamāśramaṃ pratinadyata	saMBAzaNam kRtvA tena rAtinA sahagacCati anaDRtam ASramam pratinadyata
   ityartha  /	iti arTa /
   'budhvā karmāṇi yat kāmayeta tadārabhete'(āpa.dha.2 21 5) tyanenaiva	abuDvA karmANi yat kAmayeta tadA AraBete a(Apa.Da.2 21 5) tyanena eva
   siddhe punarvacanaṃ pravrajate 'pi saṃbhāṣaṇāntaṃ snānakarma yathā syāditi	sidDe punarvacanam pravrajate api saMBAzaNa antam snAna karma yaTA syAt iti
   ĀpGs Tāt_12.14:	ĀpGs TAt _12.14:
   rātiḥmitraṃ ramayatīti vyutpatyā /	rAtiH mitram ramayati iti vyutpatyAH /
   tena saha visrabdhassambhāṣya ātmaśaktyādyanurūpaṃ dharmādikaṃ vicārya	tena saha visrabDa ssamBAzya Atma Sakti Adi anurUpam Darma Adikam vicArya
   niścitya /	niScitya /
   yathārtha gacchati tena rātinā saha yor'tho dharmo mokṣo vā	yaTArTa gacCati tena rAtinA saha yor aTo DarmaH mokzaH vA
   sādhyatvenāvadhṛta , tadanurūpamāśramaṃ gārhasthayaṃ maunaṃ vā	sADya tvena avaDRta , tad anurUpam ASramam gArhasTayam mOnam vA
   pratipadyate /	pratipadyate /
   evaṃ ca brahmacaryādeva pravrajato 'pi sambhāṣaṇāntaṃ snānaṃ kṛtvaiva	evam ca brahmacaryAt eva pravrajataH api samBAzaNa antam snAnam kRtvA eva
   pravrajyāt //14//	pravrajyAt //14//
   iti śrīsudarśanācāryāviracite gṛhyatātparyadarśane dvādaśaḥ khaṇḍaḥ	iti SrI sudarSana AcAryA viracite gRhyatAt parya darSane dvAdaSaH KaNxaH
   samāptaḥ //	samAptaH //
   trayodaśaḥ khaṇḍaḥ /	trayodaSaH KaNxaH /
   9 madhuparkaḥ  	9 maDuparkaH  
   1 pūjyena kūrce upaveśaḥ /	1 pUjyena kUrce upaveSaH /
   athaitadaparaṃ tūṣṇīmeva tīrthe snātvā tūṣṇī samidhamādadhāti // ĀpGs_13.1	aTa etat aparam tUzNIm eva tIrTe snAtvA tUzNI samiDam AdaDAti // ĀpGs_13.1
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.1:	ĀpGs AnAH _13.1:
   vyākhyātaṃ snānakarma garīyaśca mukhyaṃ ca /	vyAKyAtam snAna karma garIyaH ca muKyam ca /
   athedānīmetadaparaṃ snānavidhānaṃ laghīyaśca gauṇaṃ ca vyākhyāyate /	aTa idAnIm etat aparam snAna viDAnam laGIyaH ca gONam ca vyAKyAyate /
   kiṃ tat?tūṣṇāmeva tīrthe bhūmiṣṭhe jale snāti /	kim tat?tu uzNAm eva tIrTe BUmizWe jale snAti /
   noddhṛtābhiśśītābhiḥ /	na udDRtABiH SItABiH /
   tūṣṇīṃca samidhamādadhāti /	tUzNIMca samiDam AdaDAti /
   na mnatreṇa /	na mnatreNa /
   pālāśī samit /	pAlASI samiD /
   etāvadeva  asmin vidhau kāryam /	etAvat eva asmin viDO kAryam /
   nānyat kiñcit 'prāgudayāt vraja mityādikam /	na anyat kiQcid aprAc udayAt vraja miti Adikam /
   vapanādi tu laukika madharmakaṃ bhavati /	vapana Adi tu lOkika maDarmakam Bavati /
   tatra prayogaḥ keśaśmaśrunakhalomāni vāpayitvā me	tatra prayogaH keSa SmaSru naKa lomAni vApayitvA me
   khalādaṇḍamajinamityapanīya tūṣṇīmeva tīrthe snātvā	KalAt aNxam ajinam iti apanIya tUzNIm eva tIrTe snAtvA
   dantajhāvanamaudumbareṇa kāṣṭhena kṛtvā snānīyocchāditaḥ punaḥ snātvā	danta JAvanam OdumbareNa kAzWena kRtvA snAnIya ucCAditaH punar snAtvA
   ahate vāsasī paridhāyācamyāgnimupasamādhāya saṃparistīrya pālāśīṃ	ahate vAsasI pariDAya Acamya agnim upasamADAya saMparistIrya pAlASIm
   samidhamagniṃ manasā dhyāyannādhāya maṇiprabhṛtīnyalaṅkaraṇāni	samiDam agnim manasA DyAyan= ADAya maNi praBRtIni alaFkaraNAni
   yathopapādamupādatte tūṣṇīmeva sarvam // 1 //	yaTA upapAdam upAdatte tUzNIm eva sarvam // 1 //
   ĀpGs Tāt_13.1:	ĀpGs TAt _13.1:
   athāparametadvidhānaṃ /	aTa aparam etat viDAnam /
   ucyate iti śeṣaḥ /	ucyate iti SezaH /
   tīrthe puṇyanadyādau /	tIrTe puNya nadI AdO /
   samidhaṃ pālāśīṃ, avirodhāt /	samiDam pAlASIM, aviroDAt /
   evakārāccāsmin vidhau nānyatkiñcidanuṣṭheyam /	eva kArAt ca asmin viDO na anyat kiQcid anuzWeyam /
   nanu pūrvasminneva vidhau snānasamidādhānayoranya  prakāro vai kalpika iti	nanu pUrvasmin= eva viDO snAna samidADAnayoH anya prakAraH vE kalpikaH iti
   kimiti nāsthīyate ?ucyate evakāravaiyarthyaprasaṅgāt,snāna	kim iti na asTIyate ?ucyate evakAra vEyarTya prasaFga at, snAna
   samidādhānayoriha vyutkrameṇābhidhānāt, asya sūtrasya bahvakṣaratvācca /	samiD ADAnayoH iha vyutkrameNa aBiDAnAt, asya sUtrasya bahu akzara tvAt ca /
   yadi hyayaṃ pūrvasminneva vidhau vaikalpiko 'bhipreto 'bhaviṣyat, tadā	yadi hi ayam pUrvasmin= eva viDO vEkalpikaH aBipretaH aBavizyat, tadA
   tatraiva 'pālāśīṃ'samidhamuttarayādhāya tūṣṇīṃ	tatra eva apAlASIM asamiDam uttarayA ADAya tUzNIm
   vā''evaṃvihitābhirevādbhiruttarābhiḥ ṣaḍbhiḥ snātvā tīrthe vā	vA ' aevaMvihitABiH eva adBiH uttarABiH zaxBiH snAtvA tIrTe vA
   tūṣṇīm'ityalpairevākṣarai  rasūtrayiṣyat /	tUzNIm aiti alpEH eva akzarE rasUtrayizyat /
   kiñca sūtrakārāṇāṃ naiveyaṃ sailī dṛṣṭacarī yaduta sāṅgaṃ pradhānamuktvā	kiQca sUtra kArANAm na eva iyam sElI dRzwa carI yat uta sa aFgam praDAnam uktvA
   paścādathādinā sūtreṇa vaikalpikānāṃ prakārabhedānāma  bhidhānamiti /	paScAt aTa AdinA sUtreNa vEkalpikAnAm prakAra BedAH nAma BiDAnam iti /
   eva meva 'athaitadaparaṃ daghna evāñjalinā juhoti (āpa.gṛ.22 10) ityasyāpi	eva meva aaTa etat aparam daGnaH eva aQjalinA juhoti (A apa.gR.22 10) iti asya api
   vyākhyānam /	vyAKyAnam /
   prayogastu brahmacāriliṅgāni mekhalādīni tyaktvā tīrthe tūṣṇīṃ snātvā,	prayogaH tu brahmacAri liFgAni meKalA AdIni tyaktvA tIrTe tUzNIm snAtvA,
   vāso 'ntaraparidhānādi kṛtvā, śrotriyāgārādagnimāhṛtya'yatra kva	vAsaH antara pariDAna Adi kRtvA, Srotriya AgArAt agnim AhRtya ayatra kva
   cāgnim'iti vidhinopasamādhāya, tatra prajāpatiṃ manasā dhyāyan tūṣṇīmeva	ca agnim aiti viDinA upasamADAya, tatra prajApatim manasA DyAyan tUzNIm eva
   samidhamādadhāti /	samiDam AdaDAti /
   kecit keśaśmaśru vapanādikamanyadapyavirodhi tūṣṇīmeva karotīti //1//	kecit  keSa SmaSru vapana Adikam anyat api aviroDi tUzNIm eva karoti iti //1//
   yatrāsmā apacitiṃ kurvanti tatkūrca upaviśati yathāpurastāt // ĀpGs_13.2	yatra asmE apacitim kurvanti tat kUrcaH upaviSati yaTA purastAt // ĀpGs_13.2
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.2:	ĀpGs AnAH _13.2:
   uktayoranyatareṇa snātako bhavati /	uktayoH anyatareNa snAtakaH Bavati /
   tasyāsmin kāle bandhubhirapacitiḥ kāryā;gomadhuparkaraho vedādhyāya iti	tasya asmin kAle banDuBiH apacitiH kAryA; go maDuparka rahaH veda aDyAyaH iti
   vacanāt /	vacanAt /
   āvedyārghya dadyā(bau.gṛ.1 2 1)diti kalpāntaram /	Avedya ArGya dadyA( bO.gR.1 2 1)diti kalpa antaram /
   sādhu vratasnāta marghayiṣyāmo bhavantamiti nigadenāvedanaṃ	sADu vrata snAta marGayizyAmaH Bavantam iti nigadena Avedanam
   kauṣītakinassamāmananti /	kOzItakinassamAmananti /
   "viṣṭaraṃ pādyamarghyamācamanīyaṃ madhuparko gaurityeteṣāṃ tristrirekaikaṃ	"vizwaram pAdyam arGyam AcamanIyam maDuparkaH gOH iti etezAm tris tris ekEkam
   vedayante"(āśva.gṛ.1 21 6) ityāśvalāyanaḥ /	vedayante"(a aSva. gR.1 21 6) iti ASvalAyanaH /
   tatra yatra deśe 'smai apacitiṃ kurvanti bāndhavāḥ, tatra tairdatte kūrce	tatra yatra deSe asmE apacitim kurvanti bAnDavAH, tatra tEH datte kUrce
   upaviśati yathāpurastādupanayaneācāryaḥ /	upaviSati yaTA purastAt upanayanea AcAryaH /
   kūrca prattamupādāyodagagraṃ nidhāya tasmin	kUrca prattam upAdAya udak agram niDAya tasmin
   'rāṣṭrabhṛdasī'tyanenopaviśatītyarthaḥ //2//	arAzwra BRt asI atyanena upaviSati iti arTaH //2//
   ĀpGs Tāt_13.2:	ĀpGs TAt _13.2:
   yatra yasmin svadharmayuktasya kuṭumbino gṛhe ātithyārthamāgatāyāsmai	yatra yasmin svaDarma yuktasya kuwumbinaH gRhe AtiTya arTam AgatAya asmE
   snātakāyāpacitiṃ pūjāṃ madhuparkaakhyāṃ kurvate kuṭumbinaḥ /	snAtakAya apacitim pUjAm maDuparkaaKyAm kurvate kuwumbinaH /
   bahuvacanaṃ cānupādeyagatatvādavivakṣitam /	bahuvacanam ca anupAdeya gata tvAt avivakzitam /
   ata evottaratra prāhaityekavacanam /	atas eva uttaratra prAha eti eka vacanam /
   tat tatra gṛhe tairdatte kūrca upaviśati /	tat tatra gRhe tEH datte kUrcaH upaviSati /
   yathāpurastāt upanayane ācāryaḥ 'rāṣṭrabhṛdasi'iti yajuṣā upaviśati tathā	yaTA purastAt upanayane AcAryaH arAzwra BRt asi aiti yajuzA upaviSati taTA
   upaviśedityarthaḥ //2//	upaviSet iti arTaH //2//
   2 rājasthapatyorupaveśanamantraḥ /	2 rAja sTa patyoH upaveSana mantraH /
   evamuttarābhyāṃ yathāliṅgaṃ rājā sthapatiśca // ĀpGs_13.3 //	evam uttarAByAm yaTAliFgam rAjA sTapatiH ca // ĀpGs_13.3 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.3:	ĀpGs AnAH _13.3:
   evaṃrājā sthapatiśca yathā brāhmaṇaḥ snātakaḥ kūrce upaviśati /	evaMrAjA sTapatiH ca yaTA brAhmaNaH snAtakaH kUrce upaviSati /
   yathāliṅgamācāryāsandīti /	yaTAliFgam AcArya AsandI iti /
   evaṃ rājā sthapatiśca pūjya mānau uttarābhyāṃyajurbhyā	evam rAjA sTapatiH ca pUjya mAnO uttarAByAMyajurByA
   yathāliṅgamupaviśataḥ /	yaTAliFgam upaviSataH /
   tatra kṣatriyo rāṣṭhrādhipatirabhiṣkto rājyāya sāmrājyaṃ tasya liṅgam /	tatra kzatriyaH rAzWra aDipatiH aBizktaH rAjyAya sAmrAjyam tasya liFgam /
   sa eva janādhipatiḥ /	saH eva janADipatiH /
   sthāpattyāyābhiṣiktaḥsthapatiḥ /	sTApatti Aya aBiziktaH sTapatiH /
   ādhipatyaṃ tasya liṅgam /	ADipatyam tasya liFgam /
   uttarābhyāṃ rājā sthapatiścetyeva siddhe 'evaṃ''yathāliṅga';	uttarAByAm rAjA sTapatiH ca iti eva sidDe aevaM aayaTA liFga a;
   mityucyate yathā prathamasya mantrasya liṅgāt viniyogaḥ evamuttarayorapi	miti ucyate yaTA praTamasya mantrasya liFgAt viniyogaH evam uttarayoH api
   prajñāpanārtham /	prajQApana arTam /
   tena prathamo mantro brāhmaṇasyaiva bhavati /	tena praTamaH mantraH brAhmaNasya eva Bavati /
   ācāryā sandīti liṅgāt /	AcAryA sandI iti liFgAt /
   brāhmaṇa ācāryaḥ smaryata iticoktatvāt /	brAhmaNaH AcAryaH smaryate iti cokta tvAt /
   tena kṣatriyavaiśyayoḥ tūṣṇīmupaveśanam /	tena kzatriya vESyayoH tUzNIm upaveSanam /
   tatrā"cāryāyartvije śvaśurāya rājña"iti rajño 'pacitiḥ /	tatra a"cAryAya Rtvije SvaSurAya rAjQa" iti rajQaH apacitiH /
   adhipatestu śvaśuratvenāpacitiḥ //3//	aDipateH tu SvaSura tvena apacitiH //3//
   ĀpGs Tāt_13.3:	ĀpGs TAt _13.3:
   yathā brāhmaṇaḥ pūjyo mantreṇopaviṣṭaḥ,evaṃ rājā	yaTA brAhmaNaH pUjyaH mantreNa upavizwaH,evam rAjA
   sthapatiścottarābhyāṃyathāliṅgaṃ 'rāṣṭrabhṛdasi samrāḍāsandī'iti rājā, ';	sTapatiH ca uttarAByAMyaTAliFgam arAzwra BRt asi samrAj A AsandI aiti rAjA, a;
   rāṣṭrabhṛdasyādhipatnyāsandī'iti sthapatiścopaviśedityarthaḥ /	rAzwraBRdasya aDipatnI AsandI aiti sTapatiH ca upaviSet iti arTaH /
   rājā ca kṣatriya eva, na tu prajāpālanakartānyavarṇo 'pi /	rAjA ca kzatriyaH eva, na tu prajA pAlana kartA anya varNaH api /
   nanu kṣatriye rājaśabdaprayoga āndhrāṇāṃ, bhāryāṇāṃ tu	nanu kzatriye rAja Sabda prayogaH AnDrANAM, BAryANAm tu
   prajāpālanādikarrtayeva, tatkathaṃ balavadāryaprayogabādhena rājā kṣatriya	prajA pAlana AdikarrtayA iva, tat kaTam balavat Arya prayoga bADena rAjA kzatriya
   eveti?maivam /	eva iti?mA evam /
   āryavarasya bhagavataḥ pāṇineḥ gaṇapāṭhe 'rājāse'iti	Arya varasya BagavataH pANineH gaNa pAWe arAjAse aiti
   viśeṣasmaraṇasyāndhraprayogamūlatvameva yuktamiti aveṣṭyadhikaraṇe	viSeza smaraNasya anDra prayoga mUla tvam eva yuktam iti avezwi aDikaraNe
   sādhitatvāt /	sADita tvAt /
   sthapatiśca mahadādhipatyaṃ prāpto 'nyavarṇo 'pi /	sTapatiH ca mahat ADipatyam prAptaH anya varNaH api /
   anye vaiśyaḥ sthapatiriti /	anye  vESyaH sTapatiH iti /
   kecittu kṣatriya eva rājyābhiṣikta iti //3//	kecid tu kzatriyaH eva rAjya aBiziktaH iti //3//
   3 padyanivedanam /	3 padya nivedanam /
   āpaḥ pādyā 'iti prāha // ĀpGs_13.4 //	ApaH pAdyAH aiti prAha // ĀpGs_13.4 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.4:	ĀpGs AnAH _13.4:
   atha madhuparkapradātā pādaprakṣālanārtha apa upasaṃgṛhya 'āpaḥ pādyā'iti	aTa maDuparka pradAtA pAda prakzAlana arTa apaH upasaMgRhya aApaH pAdyAaiti
   prāha //4//	prAha //4//
   ĀpGs Tāt_13.4:	ĀpGs TAt _13.4:
   atha apacetā pādaprakṣālanārthā apa upasaṅgṛhya 'āpaḥ pādyāḥ'iti prāha /	aTa apacetA pAda prakzAlana arTAH apaH upasaFgRhya aApaH pAdyAH aiti prAha /
   etacca samvādavacanaṃ anantaraṃ yatkartavyaṃ tatkurvityevamartham /	etat ca samvAda vacanam anantaram yat kartavyam tat kuru iti evam arTam /
   evameva prayojanaṃ 'arhaṇīyā āpaḥ'ityādiṣvapi //4//	evam eva prayojanam aarhaNIyAH ApaH aitya Adizu api //4//
   4 prakṣālayitre pādaprasāraṇam /	4 prakzAlayitre pAda prasAraNam /
   uttarayābhimantrya dakṣiṇaṃ pādaṃ brāhmaṇāya prayacchetsavyaṃ śūdrāya //	uttarayA aBimantrya dakziNam pAdam brAhmaNAya prayacCet savyam SUdrAya //
   ĀpGs_13.5 //	ĀpGs_13.5 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.5:	ĀpGs AnAH _13.5:
   atha pūjyamānastā apaḥ uttarayarcā"āpaḥ pādāvanejanī"ritye tayābhimantrya	aTa pUjyamAnaH tAH apaH uttarayA RcA a"ApaH pAdO= anejanI"ritye tayA aBimantrya
   prakṣālayitre 'brāhmaṇāya dakṣṇaṃ pādaṃ pūrva prayacchet prasārayet /	prakzAlayitre abrAhmaNAya dakzNam pAdam pUrva prayacCet prasArayet /
   savyaṃ śūdrāyakṣatriyavaiśyābhyāmaniyamaḥ /	savyam SUdrAya kzatriya vESyAByAm aniyamaH /
   puṃliṅgasyāvivakṣitatvāt /	puMliFgasya avivakzita tvAt /
   strīṣvapyevam /	strIzu api evam /
   'strī prakṣālayati pumānabhiṣiñcati /	astrI prakzAlayati pumAn aBiziQcati /
   viparītameke'(bau.gṛ 1 2)iti kalpāntaram /	viparItam eke a(bO.gR 1 2)iti kalpa antaram /
   patnīyajamānau jaṅghe dhāvata iti yajñe viśeṣaḥ /	patnI yajamAnO jaFGe DAvate iti yajQe viSezaH /
   āpaḥ pādyā iti prakaraṇādeva siddhe pādagrahaṇamuttaratra pādapratyayo	ApaH pAdyAH iti prakaraNAt eva sidDe pAda grahaNam uttaratra pAda pratyayo
   mābhūdityevamartham /	mABUt iti evam arTam /
   tena prakṣālayitrupasparśana pāde na bhavati //5//	tena prakzAlayitrupasparSana pAde na Bavati //5//
   ĀpGs Tāt_13.5:	ĀpGs TAt _13.5:
   atha pūjyastā apaḥ 'āpaḥ pādāvanejanīḥ'ityetayābhimantrya	aTa pUjyaH tAH apaH aApaH pAdO= anejanIH aityetayA aBimantrya
   prathamaṃdakṣiṇaṃ pādaṃ brāhmaṇāyaprakṣālayitre prayacchet /	praTamaMdakziNam pAdam brAhmaNAya prakzAlayitre prayacCet /
   śūdrāya tu pūrva savyam /	SUdrAya tu pUrva savyam /
   atra brāhmaṇaśūdrāveva prakṣālayitārau, na tu	atra brAhmaNa SUdrO= eva prakzAlayitArO, na tu
   rājanyavaiśyau;tayoranabhidhānāt /	rAjanya vESya o;tayoH anaBiDAnAt /
   anye tu kṣatriyavaiśyābhyāṃ aniyamena pūrva pādaṃ prayacchediti //5//	anye tu kzatriya vESyAByAm aniyamena pUrva pAdam prayacCet iti //5//
   5 prakṣālayiturupasparśa ātmābhimarśaśca /	5 prakzAlayituH upasparSaH Atma aBimarSaH ca /
   prakṣālayitāramupaspṛśyottareṇa yajuṣā'tmānaṃ pratyabhimṛśet // ĀpGs_13.6	prakzAlayitAram upaspRSya uttareNa yajuzA atmAnam pratyaBimRSet // ĀpGs_13.6
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.6:	ĀpGs AnAH _13.6:
   tathā svena hastenāvanektuḥ pāṇī saṃspṛśe (bau.gṛ 1 2)diti kalpāntaram /	taTA svena hastena avanektuH pANI saMspRSe (bO.gR 1 2)diti kalpa antaram /
   uttareṇa yajuṣā'mayi mahaḥ'ityanena pratīcīna mabhimarśanam /	uttareNa yajuzA amayi mahaH aiti anena pratIcIna maBimarSanam /
   tacca hṛdayadeśe bhavati /	tat ca hRdaya deSe Bavati /
   ātmanaḥ sthānaṃ hi tat //6//	AtmanaH sTAnam hi tat //6//
   ĀpGs Tāt_13.6:	ĀpGs TAt _13.6:
   tataḥ prakṣālitapādastaṃ prakṣālayitāraṃ pāṇāvupaspṛśya 'mayi mahaḥ'iti	tatas prakzAlita pAdaH tam prakzAlayitAram pANO= upaspRSya amayi mahaH aiti
   yajuṣā ātmānaṃ hṛdayadeśe pratyabhimṛśet pratilomena pāṇinā spṛśet /	yajuzA AtmAnam hRdaya deSe pratyaBimRSet pratilomena pANinA spRSet /
   tato 'pāmupasparśanam //6//	tatas apAm upasparSanam //6//
   6 ardhyanivedanam /	6 arDya nivedanam /
   kūrcābhyāṃ parigṛhya mṛnmayenār 'haṇīyā āpa 'iti prāha // ĀpGs_13.7 //	kUrcAByAm parigRhya mRd mayenAr ahaNIyAH ApaH aiti prAha // ĀpGs_13.7 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.7:	ĀpGs AnAH _13.7:
   tataḥ pradātā mṛṇmaye pātre upanītā apaḥkūrcābhyāmadhastādupariṣṭācca	tatas pradAtA mRNmaye pAtre upanItA apaHkUrcAByAm aDastAt uparizwAt ca
   parigṛhya 'arhaṇīyā āpa'iti prāha nivedayati /	parigRhya aarhaNIyAH ApaH aiti prAha nivedayati /
   puṣpākṣataissaṃyuktā iti kalpāntaram //7//	puzpa akzatEH saMyuktAH iti kalpa antaram //7//
   ĀpGs Tāt_13.7:	ĀpGs TAt _13.7:
   athārhayitā mṛnmaye pātra arhaṇārthāḥ puṣpākṣatasaṃyuktāḥ apa ānīya,	aTa arhayitA mRd maye pAtra arhaNa arTAH puzpa akzata saMyuktAH apaH AnIya,
   kūrcābhyāmadhastādupariṣṭācca parigṛhya 'arhaṇīyā āpaḥ'iti prāha // 7 //	kUrcAByAm aDastAt uparizwAt ca parigRhya aarhaNIyAH ApaH aiti prAha // 7 //
   7 tadekadeśasya pūjyāñjalāvānayam /	7 tat eka deSasya pUjyAQjalAvAn ayam /
   uttarayābhimantryāñjalāvekadeśa ānīyamāna uttaraṃ yajurjapet // ĀpGs_13.8	uttarayA aBimantrya aQjalO= eka deSaH AnIyamAnaH uttaram yajuH japet // ĀpGs_13.8
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.8:	ĀpGs AnAH _13.8:
   arhaṇīyā apaḥ niveditāuttarayā'āmāga'nnityetayā abhimantrayate /	arhaNIyAH apaH niveditAuttarayA aAma aga anniti etayA aBimantrayate /
   pūjyamānastato 'ñjaliṃ kṛtvā hastena tatastasyāñjalau	pUjyamAnaH tatas aQjalim kRtvA hastena tatas tasya aQjalO
   etāsāmekadeśamānayati pradātā /	etAsAm eka deSam Anayati pradAtA /
   tasminnānīyamāne uttaraṃ yajuḥ'virājo doho 'sī'tyetatjapetpūjyamānaḥ //8//	tasmin= AnIyamAne uttaram yajuH avirAjaH dohaH asI ati etat japet pUjyamAnaH //8//
   ĀpGs Tāt_13.8:	ĀpGs TAt _13.8:
   atha pūjyastā apaḥ 'āmāgan'ityetayābhimantrya tāsāmekadeśe stoke svāñjalau	aTa pUjyaH tAH apaH aAmAgan aityetayA aBimantrya tAsAm eka deSe stoke sva aQjalO
   dātrāānīyamāne'virājo dohī'si'iti yajurjapet //8//	dAtrAAnIyamAne avirAjaH dohI asi aiti yajuH japet //8//
   śeṣaṃ purastānninīyamānamuttarayānumantrayate // ĀpGs_13.9 //	Sezam purastAt ninIyamAnam uttarayA anumantrayate // ĀpGs_13.9 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.9:	ĀpGs AnAH _13.9:
   atha tāsāmapāṃ śeṣaṃ pṛrvasyāṃ diśi nayati pradātā /	aTa tAsAm apAm Sezam pRrvasyAm diSi nayati pradAtA /
   tat nīyamānaṃuttarayarcā' samudraṃ va'ityetayābhimantrayate pūjyamānaḥ	tat nIyamAnaMuttarayA rcA a samudram vaH aiti etayA aBimantrayate pUjyamAnaH
   mānaḥ /	mAnaH /
   etasminkāle vastrayugalaṃ kuṇḍalayugaṃ gāṃ srajaṃ yaccānyadalaṅkaraṇārtha	etasmin kAle vastra yugalam kuNxala yugam gAm srajam yat ca anyat alaFkaraNa arTa
   tatsarva dadyāt /	tat sarva dadyAt /
   bhojanānta ityanye /	Bojana antaH iti anye /
   tatsarvamapaciti śabdena coditaṃ draṣṭavyam //9//	tat sarvam apaciti  Sabdena coditam drazwavyam //9//
   ĀpGs Tāt_13.9:	ĀpGs TAt _13.9:
   atha tāsāṃ śeṣaṃ dātrā purastāt nīyamānaṃ pūjyaḥ 'samudraṃ vaḥ'ityetayā	aTa tAsAm Sezam dAtrA purastAt nIyamAnam pUjyaH asamudram vaH aiti etayA
   anumantrayate /	anumantrayate /
   kecit asmin kāle bhojanānte vā pūjyāya vastrakuṇḍalayugādyālaṅkaraṇaṃ	kecit asmin kAle Bojana ante vA pUjyAya vastra kuNxala yuga Adya alaFkaraNam
   dātavyam;anyathāyaṃ pūjita eva na bhavati /	dAtavyam ;anyaTA ayam pUjitaH eva na Bavati /
   etaccāpa  citi śabdenāsmākamapi ceditameveti //9//	etat ca apa citi Sabdena asmAkam api ceditam eva iti //9//
   8 madhuparkadānam /	8 maDuparka dAnam /
   dadhi madhviti saṃsṛjya kāṃsyena varṣīyasā pidhāya kūrcābhyāṃ parigṛhya	daDi maDu iti saMsRjya kAMsyena varzIyasA piDAya kUrcAByAm parigRhya
   'madhuparka 'iti prāha // ĀpGs_13.10 //	amaDuparka aiti prAha // ĀpGs_13.10 //
   COMMENTARIES:	COMMENTARIES:
   ĀpGs Anā_13.10:	ĀpGs AnAH _13.10:
   varṣīyasā bṛhatā kāṃsyena pātreṇa madhuparka prāha /	varzIyasA bRhatA kAMsyena pAtreNa maDuparka prAha /
   kāṃsyena varṣīyasā pidhāyetyevamapi sambandhaḥ /	kAMsyena varzIyasA piDAya iti evam api sambanDaH /
   tenobhayoḥ pātrayoḥ kāṃmya niyamaḥ siddho bhavati /	tena uBayoH pAtrayoH kAMmya niyamaH sidDaH Bavati /
   itiśabdaḥ prakāre dadhi madhviti vā payo madhviti veti //10//	iti SabdaH prakAret daDi maDu iti vA payaH maDu iti vA iti //10//
   ĀpGs Tāt_13.10:	ĀpGs TAt _13.10:
   dadhi madhvityetaddvayaṃ niyamavidhānāt kasmiścitpātre saṃsṛjya, tato	daDi maDu iti etat dvayam niyama viDAnAt kasmiScid pAtre saMsRjya, tatas 
   varṣīyasā bṛhatā kāṃsyena pātreṇa pidhāya /	varzIyasA bRhatA kAMsyena pAtreNa piDAya /
   śeṣaṃ vyaktam /	Sezam vyaktam /
