   Adhyāya 1, Adhikaraṇa 1:	ADyAyaH 1, ADikaraNa 1:
   vedapadaṃ ca na pārāyaṇavidhāviva mantrabrāhmaṇagranthaparam ;	veda-padam ca na pArAyaNa-viDO=-iva mantra-brAhmaNa-granTa-param ;
   asaṃbhavāpatteḥ, nāpi tadantargatavākyābhiprāyam ;	asaMBava-ApatteH, na-api tad-antargata-vAkya-aBiprAyam ;
   liṅgādikalyāśrutavākayapratipādye tadanāpatteḥ , apitvapauruṣeyavākyaparam	liFga-Adi-kalya-aSruta-vAkaya-pratipAdye tad-anApatteH , api-tva-pOruzeya-vAkya-param
   naca - brāhmaṇo 'pi jagatkāraṇatvena śreyaḥ sādhanatvāt tasya ca 'yatove'	na-ca  brAhmaNaH api jagat-kAraNa-tvena SreyaH sADana-tvAt tasya ca ayatove-a
   tyādivedaikagamyatavena tatrāpūrvalakṣaṇasyātivyāptiriti - vācyam ;	tyAdi-veda-eka-gamyatavena tatra-apUrva-lakzaNasya-ativyAptiH-iti  vAcyam ;
   lakṣaṇe tacchreyastavāvacchinnakāryatānirūpitakāraṇatāśālitvasya	lakzaNe tat-SreyaH-tava-avacCinna-kArya-tA-nirUpita-kAraNa-tA-SAli-tvasya
   vivakṣitatvāt /	vivakzita-tvAt /
   śreyaḥ padaṃ cātra svayaṃprathitaphalaparam, ato na krūtūpakāraphalamādāya	SreyaH padam ca-atra svayaMpraTita-Pala-param, atas na krUtu-upakAra-Palam-AdAya
   prayājādyaṅgeṣu homādinivṛttiphalamādāya dravyadevatādau cātivyāptiḥ /	prayAja-Adi-aFgezu homa-Adi-nivRtti-Palam-AdAya dravya-devatA-AdO ca-ati-vyAptiH /
   'nānṛtaṃ vadet' iti kratuprakaraṇagataniṣedhena	anAnRtam vadet-a iti kratu-prakaraNa-gata-nizeDena
   narakarūpāniṣṭajanakatvābodhe 'pi kratuvaiguṇyajanakatvabodhamātreṇāpi	naraka-rUpa-anizwa-janakatva-AboDe api kratu-vEguNya-janaka-tva-boDa-mAtreNa-api
   anṛtavadanādāvadharmatvamupapadyata iti na tatrāvyāptiḥ /	anRta-vadanAdO=-aDarma-tvam-upapadyate iti na tatra-avyAptiH /
   aṅgeṣu dharmatvābhāvavyavahāraśrca bhāṣye ko dharmaḥ ? kāni sādhanāni ?	aFgezu Darma-tva-aBAva-vyavahAra-Srca BAzye kaH DarmaH ? kAni sADanAni ?
   iti svarūpajijñāsataḥ pṛthaksādhanajijñāsayā spaṣṭaṃ pratīyate /	iti svarUpa-jijQAsataH pRTak-sADana-jijQAsayA spazwam pratIyate /
   vājapeyānuṣṭhānaṃ jānatāṃ tadanuṣṭhātari dhārmiko 'yamiti vyavahārastu	vAjapeya-anuzWAnam jAnatAm tad-anuzWAtari DArmikaH ayam-iti vyavahAraH-tu
   pradhānabhūtavājapeyadharmatvasya sādhane upacārāt,	praDAna-BUta-vAja-peya-Darma-tvasya sADane upacArAt-,
   vājapeyānuṣṭhānamajānatāṃ tadekadeśānuṣṭhātari tadyavahārastu	vAjapeya-anuzWAnam-ajAnatAm tad-eka-deSa-anuzWAtari tat-yavahAraH-tu
   vihitakriyātvasādṛśyāllākṣaṇikaeva; avayavini prayujyamānasya	vihita-kriyA-tva-sAdRSyAt-lAkzaNika-eva; avayavini prayujyamAnasya
   śabdasyāvayave 'pi loke bahuśaḥ prayogadarśanāt /	Sabdasya-avayave api loke bahuSas prayoga-darSanAt /
   vivāhārthānṛtavadanavidhinā ca niṣedhātikramanimittidoṣājanakatvamātrameva	vivAha-arTa-anRta-vadana-viDinA ca nizeDa-atikrama-nimitti-dozA-janaka-tva-mAtram-eva
   bodhyate, natviṣṭajanakatvamiti dharmalakṣaṇābhāvānna tatrātiprasaṅgaḥ /	boDyate, na-tu-izwa-janaka-tvam-iti Darma-lakzaNa-aBAvAt-na tatra-atiprasaFgaH /
   'nātirātre ṣoḍaśinaṃ gṛhṇāti' iti niṣedhena ca	anAtirAtre zoxaSinam gRhNAti-a iti nizeDena ca
   grahaṇavidhyavirodhāyāniṣṭasādhanatavānākṣepādetada bhāve 'pītarāṅgaiḥ	grahaNa-viDi-aviroDAya-anizwa-sADana-tavAnAkzepAt-etada BAve api-itara-aFgEH
   ṛtūpakārasiddherevākṣepānna ṣoḍaśigrahaṇasya niṣedhyatve 'pyadharmatvam //	Rtu-upakAra-sidDeH-eva-AkzepAt-na zoxaSigrahaNasya nizeDya-tve api-aDarma-tvam //
   (ātmajñānadharmatvasamarthanam) yadvā -	(Atma-jQAna-Darma-tva-samarTanam) yat-vA -
   'ityācāradayāhiṃsādānasvādhyāyakarmaṇāt /	aiti-AcAra-dayA-hiMsA-dAna-svADyAya-karmaNAt /
   ayaṃ tu paramo dharmo yadyogenātmadarśanam' ityevamādāvātmajñāne 'pi	ayam tu paramaH DarmaH yad-yogena-Atma-darSanam-a iti-evam-AdO=-Atma-jQAne api
   dharmaśabdaprayogāt	Darma-Sabda-prayogAt-
   śravaṇamananididhyāsanādisahakṛtātmadarśanasyānādyanirvacanīyabhāvarūpājñānanivṛttijanakatvasya	SravaNa-mana-nidiDya-Asana-Adi-saha-kRtAtma-darSanasya-anAdya-nirvacanIya-BAva-rUpa-ajQAna-nivRtti-janaka-tvasya
   kenāpi pramāṇenājñātatvātyogajanyātmajñānasyaiva viśiṣṭaveṣeṇa	kena-api pramANena-ajQAta-tvAtyoga-janya-Atma-jQAnasya-eva viSizwa-vezeNa
   paramadharmatvokteḥ jñāne 'pi dharmatvameveti yuktam //	parama-Darma-tva-ukteH jQAne api Darma-tvam-eva-iti yuktam //
   naca - 'tarati śokamātmavit' ityādyupaniṣadvākyānāṃ arthavādarūpatve 'pi	na-ca  atarati Sokam-Atma-vit-a ityAdi-upanizad-vAkyAnAm arTavAda-rUpa-tve api
   tatkalpyādātmajñānaṃ sādhayedityādyātmajñānavidherutpattipratīteḥ	tad-kalpyAt-Atma-jQAnam sADayet-iti-Adi-Atma-jQAna-viDeH-utpatti-pratIteH
   kathamabādhitatvam? iti - vācyam ; tathāvidhavāvākyānāmarthavādarūpatave	kaTam-abADita-tvam? iti  vAcyam ; taTA-viDavA-vAkyAnAm-arTavAda-rUpatave
   'pi tatkalpyādātmajñānaṃ	api tad-kalpyAt-Atma-jQAnam
   sādhayedityādyātmajñānavidherutpattipratīterabādhitatvāt /	sADayet-iti-Adi-Atma-jQAna-viDeH-utpatti-pratIteH-abADita-tvAt /
   tadvidhiviṣayasyātmajñānasya phalajijñāsāyāṃ 'tarati śokamātmavi'	tad-viDi-vizayasya-Atma-jQAnasya Pala-jijQAsAyAm atarati Sokam-Atma-vi-a
   dityārthavādikaśokāparaparyāyānādyavidyānivṛttirūpaphalapratīterapyabādhitatvāt	dityA-arTa-vAdika-Soka-apara-paryAya-anAdya-vidyA-nivRtti-rUpa-Pala-pratIteH-api-abADita-tvAt
   lakṣaṇasaṃbhavena dharmatvopapatteḥ /	lakzaNa-saMBavena Darma-tva-upapatteH /
   asti ca śravaṇādividhiprāyapāṭhe 'ātmā vā are draṣṭavyaḥ' iti spaṣṭo	asti ca SravaNa-Adi-viDi-prAya-pAWe aAtmA vE are drazwavyaH-a iti spazwaH-
   vidhiriti na tatkalpanākleśo 'pi /	viDiH-iti na tad-kalpanA-kleSaH api /
   naca jñāne pramāṇavastuparatantratvena vidhyanupapattiḥ ; jñānasya svato	na-ca jQAne pramANa-vastu-paratantra-tvena viDi-anupapattiH ; jQAnasya svatas-
   'vidheyatve 'pi kālākāśādīnāṃ āśrayāviṣṭatveneva tadalukūlamanaḥ	aviDeya-tve api kAla-AkASa-AdInAm ASraya-Avizwa-tvena-iva tad-alu-kUla-manaH
   praṇidhānādivyāpārāviṣṭatvena vidheyatavopapatteḥ /	praNiDAna-Adi-vyApAra-Avizwa-tvena viDeya-tava-upapatteH /
   itarathā śravaṇādīnāmapyantato jñānarūpatvena tatrāpi śrotavya	itaraTA SravaNa-AdInAm-api-antatas jQAna-rUpa-tvena tatra-api Srotavya
   ityādividhyanupapatteḥ /	ityAdi-viDi-anupapatteH /
   etena - jñāne vidhyanupapatteḥ draṣṭavya iti	etena  jQAne viDi-anupapatteH drazwavyaH iti
   tavyapratyayasyārhārthatvamaṅgīkṛtya vihitaniṣiddhatvābhāvenātmajñānasya	tavya-pratyayasya-arha-arTa-tvam-aFgIkRtya vihita-nizidDa-tva-aBAvena-Atma-jQAnasya
   dharmādharmabahirbhūtatvameva /	Darma-aDarma-bahis-BUta-tvam-eva /
   ataeva karmopāsanākāṇḍadvayāt jñānakāṇḍaṃ bhinnam /	ataeva karma-upAsanA-kANxa-dvayAt jQAna-kANxam Binnam /
   'ayaṃ tu paramo dharma' ityatra darśanaśabdaḥ karaṇalyuḍantaḥ /	aayam tu paramaH Darma-a iti-atra darSana-SabdaH karaNalI-uxantaH /
   tathāca savikalpasamādhyantena yogenātmajñānasādhanabhūto	taTA-ca sa-vikalpa-samADi-antena yogena-Atma-jQAna-sADana-BUtaH-
   nirvikalpasamādhirevātmadarśanapadenocrūte iti tasyaiva dharmatvam,	nirvikalpa-samADiH-eva-Atma-darSana-padena-ucrUte iti tasya-eva Darma-tvam,
   nātmajñānasya /	na-Atma-jQAnasya /
   bhāvalyuḍantatvā'grahe tu sarvakarmaphalānāṃ jñānaphale antarbhāvāt	BAvalI-uxanta-tvA-agrahe tu sarva-karma-PalAnAm jQAna-Pale antarBAvAt-
   jñānasya paramardhatvoktiḥ praśaṃsārūpaiveti kasyaciduktaṃ - apāstam ;	jQAnasya parama-rDa-tva-uktiH praSaMsA-rUpA-eva-iti kasyacid-uktam  apAstam ;
   anādyavidyāvāsitāntaḥ karaṇānāṃ saṃsāranimagnānāṃ	anAdya-vidyA-vAsita-antar karaNAnAm saMsAra-nimagnAnAm
   kathamapyātmajñānavārtāmapyakurvatāṃ	kaTam-api-Atma-jQAna-vArtAm-api-akurvatAm
   narāṇāmātmajñānavidhāyakaparatayopadeśaparatve saṃbhavati	narANAm-Atma-jQAna-viDAyaka-paratayA-upadeSa-paratve saMBavati
   nirarthakaprāyārhārthakatvakalpanāyā anyāyyatavāt, upāsanānāṃ dharmatve	nirarTaka-prAya-arha-arTaka-tva-kalpanAyAH anyAyyata-vAt, upAsanAnAm Darma-tve
   'pi vicāryatāvacchedakakiñcidrūpabhedamādāya karmakāṇḍādbhedasyeva	api vicArya-tA-avacCedaka-kiQcit-rUpa-Bedam-AdAya karma-kANxAt-Bedasya-iva
   jñānasya dharmatve 'pi karmopāsanākāṇḍadvayādbhedasyopapatteśrca,	jQAnasya Darma-tve api karma-upAsanA-kANxa-dvayAt-Bedasya-upapatteSrca,
   svarasataḥ pratīyamānātmajñajñanarūpaphalaparatvamapahāya darśanapadasya	svarasataH pratIyamAna-Atma-jQa-jQana-rUpa-Pala-para-tvam-apahAya darSana-padasya
   karaṇalyuḍantatvakalpanayā sādhanaparatvakalpane nimittābhāvācca,	karaNalI-uxanta-tva-kalpanayA sADana-paratva-kalpane nimitta-aBAvAt-ca,
   nirvikalpasamādhyantayogasya yogaśabdārthatvāttadekadeśe pramāṇabhāvācca /	nirvikalpa-samADi-anta-yogasya yoga-Sabda-arTa-tvAt-tad-eka-deSe pramANa-BAvAt-ca /
   nahi hāsyādivyaṅgyārthajñāpanābhāve 'eṣāmayaṃ paramo brāhmaṇaḥ'	na-hi hAsya-AdivyaFgya-arTa-jQApana-aBAve aeza-Amayam paramaH brAhmaNaH-a
   itivākyamabrāhmaṇe śūdrādau prayujyate /	iti-vAkyam-abrAhmaNe SUdra-AdO prayujyate /
   prakṛteṣīṇāṃ vyaṅgyārthajñāpane tātparyābhāvāt, pratyuta paramo brāhmaṇaḥ	prakRtA-izINAm vyaFgya-arTa-jQApane tAtparya-aBAva-at, pratyuta paramaH brAhmaNaH
   ityanena itarasya brāhmaṇatvoktaya ṣaṣṭhyantanirdiṣṭānāṃ	iti-anena itarasya brAhmaNa-tva-uktaya zazWI-anta-nirdizwAnAm
   brāhmaṇatvapratītivat asminvākye 'pi jñānasya dharmatvoktyā ijyādīnāṃ	brAhmaNa-tva-pratIti-vat asmin-vAkye api jQAnasya Darma-tva-uktyA ijyA-AdInAm
   dharmatvapratītereva hetoryāgādikriyāṇāṃ dharmatvasya bhāṭṭālaṅkāraiḥ	Darma-tva-pratIteH-eva hetoH-yAga-Adi-kriyANAm Darma-tvasya BAwwa-alaFkArEH
   prasādhanācca /	prasADanAt-ca /
   ato yuktamevātmajñānasya dharmatvam //	atas yuktam-eva-Atma-jQAnasya Darma-tvam //
   (nityanaimittikānāmapi pāpakṣayasādhanatvena dharmatvasamanvayaḥ /	(nitya-nEmittikAnAm-api pApa-kzaya-sADana-tvena Darma-tva-samanvayaH /
   tatra nyāyasudhākṛnmatopapādanaṃ ca) naca - nitayanaimittikakarmavidhiṣu	tatra nyAya-suDA-kRt-matA-upapAdanam ca) na-ca  nitaya-nEmittika-karma-viDizu
   phalāśravaṇāt kathameteṣāṃ pūrvoktalakṣaṇaviṣayatvena dharmatvam ? iti -	Pala-aSravaNAt kaTam-etezAm pUrva-ukta-lakzaNa-vizaya-tvena Darma-tvam ? iti -
   vācyam; tatrāpi sarvāśaktyadhikaraṇe miśrādyupapāditarītyā 'pūrvo sandhyāṃ	vAcyam; tatra-api sarva-aSakti-aDikaraNe miSra-Adi-upapAdita-rItyA apUrvaH sanDyAm
   japaṃstiṣṭhanaiśameno vyapohati' ityādismṛtibhyo, 'yadrātryā pāpamakārṣam'	japan=-tizWa-nESamenaH vyapohati-a ityAdi-smRtiByo, ayat-rAtryA pApam-akArzam-a
   ityādimantreśrcapāpakṣayarūpaphalakalpanāvaśyaṃbhāvena	ityAdi-mantreSrca-pa-apakzaya-rUpa-Pala-kalpanA-vaSyaMBAvena
   pūrvoktalakṣaṇasatvena dharmatvopapatteḥ /	pUrva-ukta-lakzaNa-satvena Darma-tva-upapatteH /
   yadyapi nyāyasudhākṛto naitanmatam, yathoktaṃ yāvajjīvādhikaraṇe tena -	yadi-api nyAya-suDA-kRtaH na-etat-matam, yaToktam yAvat-jIva-aDikaraNe tena -
   'saṃdhyopāsanamātrāddhi sarvapāpakṣaye sati /	asaMDyA-upAsana-mAtrAt-hi sarva-pApa-kzaye sati /
   agnihotrādyanuṣṭhāne kaḥ pravarteta buddhimān ? /	agni-hotra-Adi-anuzWAne kaH pravarteta budDimAn ? /
   ekasya tu kṣaye kasyetyavagantuṃ na śakyate ' iti ; tathāpi tena svakāle	ekasya tu kzaye kasya-iti-avagantum na Sakyate a iti ; taTA-api tena sva-kAle
   kriyamāṇānāṃ nityādīnāmakaraṇajanyadoṣābhāvaphalakatavasya tatkāle	kriyamANAnAm nitya-AdInAm-akaraNa-janya-doza-aBAva-Pala-katavasya tad-kAle
   'nyakaraṇasya vā pāpajanakatvena tatkṣayasya phalatvenābhyupagamāt	anya-karaNasya vA pApa-janaka-tvena tad-kzayasya Pala-tvena-aByupagamAt-
   uktasmṛtimantrebhyaśrcātikrānte 'pi kāle vihitākaraṇotpannadoṣanāśāya	ukta-smRti-mantreByaH-rcA-atikrAnte api kAle vihita-akaraNa-utpanna-doza-nASAya
   kartavyatavābhyupagamāt saṃbhavatyeva tanmate 'pi teṣāṃ uktavidhaṃ	kartavyatava-aByupagamAt saMBavati-eva tad-mate api tezAm uktaviDam
   dharmatvam //	Darma-tvam //
   (dadhyādidravyāṇāṃ dharmatvamiva rajatādīnāmadharmatvamiti vyavasthāpanam)	(daDyAdi-dravyANAm Darma-tvam-iva rajata-AdInAm-aDarma-tvam-iti vyavasTApanam)
   evañca yathaiva 'dadhnendriyakāmasya' 'yadi varṣukaḥ parjanyaḥ syānnīcaiḥ	evaQca yaTA-eva adaDna-indriya-kAmasya-a ayadi varzukaH parjanyaH syAt-nIcEs-
   sado minuyāt' 'ṣaṣṭhe annādyakāmasye' tyādividhibodhitatattacchreyaḥ	sadaH minuyAt-a azazWe annAdya-kAmasye-a tyAdi-viDi-boDita-tad-tad-SreyaH
   sādhanatākeṣu dravyaguṇakālādiṣu pūrvoktalakṣaṇasattvāddharmatvam,	sADana-tAkezu dravya-guNa-kAla-Adizu pUrva-ukta-lakzaNa-sattvAt-Darma-tvam,
   tathaiva 'barhiṣi rajataṃ na deyaṃ'	taTA-eva abarhizi rajatam na deyaM-a
   ityādiniṣedhabodhitāniṣṭasādhanatākarajatādidravyeṣu adharmatvamapi	ityAdi-nizeDa-boDita-anizwa-sADana-tAkara-jata-Adi-dravyezu aDarma-tvam-api
   yuktameva //	yuktam-eva //
   nacātra niṣedhavākyena dakṣiṇādānāsādhanatvamātrameva budhyate,	na-ca-atra nizeDa-vAkyena dakziNa-AdAna-asADana-tva-mAtram-eva buDyate,
   natvaniṣṭasādhanatvamapi, tathātve 'bhyupetyāniṣṭaṃ rajatadātuḥ	na-tu-anizwa-sADana-tvam-api, taTAtve aByupetya-anizwam rajata-dAtuH
   ṛtuvaiguṇyānāpatteriti kasrūcidbhāntasyoktaṃ yuktam ; pratyakṣato	Rtu-vEguNyAn-ApatteH-iti kasrUcit-BAntasya-uktam yuktam ; pratyakzato
   dakṣiṇādānasādhanatvenāvagate rajate prastare yajamānābhedasyeva	dakziNa-AdAna-sADana-tvena-avagate rajate prastare yajamAna-aBedasya-iva
   vidhiśatairapi tadasādhanatābodhasya kartumaśakyatvāt /	viDi-SatEH-api tad-asADana-tA-boDasya kartum-aSakyatvAt /
   nahyatra puruṣārthaniṣedhavat narakasādhanatvaṃ	na-hi-atra puruza-arTa-nizeDa-vat naraka-sADana-tvam
   niṣedhavaiyarthyaparihārāyākṣipyate ; barhiḥ padopādānavaiyarthyāpatteḥ,	nizeDa-vEyarTya-parihArAya-Akzipyate ; barhiH pada-upAdAna-vEyarTya-ApatteH,
   kintu ṛtuprakaraṇe 'nānṛtaṃ vadet' iti niṣedhavat	kintu Rtu-prakaraNe anAnRtam vadet-a iti nizeDa-vat-
   ṛtuvaiguṇyajanakatvameva, tadyadi dakṣiṇādānakriyāmātre bodhyate, tadā	Rtu-vEguNya-janaka-tvam-eva, tat-yadi dakziNA-dAna-kriyA-mAtre boDyate, tadA
   suvarṇādidānasyāpi vaiguṇyajanakatavāpattiḥ /	suvarNa-Adi-dAnasya-api vEguNya-janakatava-ApattiH /
   tathāca yathāśraddhaṃ dakṣiṇāṃ dadātīti vidhiprāpte yajñasaṃbandhidāne	taTA-ca yaTASradDam dakziNAm dadAti-iti viDi-prApte yajQa-saMbanDi-dAne
   dakṣiṇātvena prāptarajatakaraṇatvameva ṛtuvaiguṇyajanakamityevamākṣipyate	dakziNA-tvena prApta-rajata-karaNa-tvam-eva Rtu-vEguNya-janakam-iti-evam-Akzipyate
   home dadhikaraṇatvasyendriyaphalajanakatvavat /	home daDikaraNa-tvasya-indriya-Pala-janakatva-vat /
   etāvataiva ca dadhyādau dharmatvavrūvahāre sarvasaṃpratipanne sati kena vā	etAvatA-eva ca daDi-AdO Darma-tvavrUvahAre sarva-saMpratipanne sati kena vA
   viśeṣeṇa rajatādidravye nādharmatvaṃ vadatīti viśeṣamālocayantu sudhiyaḥ /	viSezeNa rajata-Adi-dravye na-aDarma-tvam vadati-iti viSezam-Alocayantu suDiyaH /
   tasmādetadabhiprāyeṇaiva 'nahi phalārthaguṇānuṣṭhātṝṇāṃ yajñe	tasmAt-etat-aBiprAyeNa-eva anahi Pala-arTa-guNa-anuzWAtLNAm yajQe
   rajatādyanuṭhātṝṇāṃ ca dhārmiko 'dhārmika iti vyavahārabhāva' ityuktaṃ	rajata-Adi-anuWAtLNAm ca DArmikaH aDArmikaH iti vyavahAra-BAva-a iti-uktam
   bhāṭṭarahasye pūjyapādaiḥ /	BAwwa-rahasye pUjya-pAdEH /
   ataeva niṣedhāvagatāniṣṭasādhanatākasya rajatasya 'so 'rodīt'	ataeva nizeDa-avagata-anizwa-sADana-tAkasya rajatasya asaH arodIt-a
   ityarthavādenāprāśastyaṃ bodhyate /	iti-arTa-vAdena-aprASastyam boDyate /
   etādṛśajñāpakābhave ca viśiṣṭakriyāyā eva niṣedhādaniṣṭajanakatvaṃ yathā	etAdRSa-jQApakA-Bave ca viSizwa-kriyAyAH eva nizeDAt-anizwa-janaka-tvam yaTA
   kaljabhakṣaṇādāvityuktam //	kalja-BakzaNa-AdO=-iti-uktam //
   (adharmalakṣaṇasyāvidyādvaitavāsanādāvativyāptinirasanam) yadyapi	(a-Darma-lakzaNasya-avidyAt-vEta-vAsana-AdO=-ati-vyApti-nirasanam) yadi-api
   adharmalakṣaṇaṃ 'asūryā nāma te lokā andhena tamasā vṛtāḥ /	aDarma-lakzaNam aasUryAH nAma te lokAH anDena tamasA vRtAH /
   tāṃste pretyābhigacchanti ye kecātmahano janāḥ'	tAn=-te pretya-aBigacCanti ye keca-AtmahanaH janAH-a
   ityādyupaniṣadvākyabodhitāniṣṭasādhanatāke avidyādvaitavāsanādāvativyāptam	ityAdi-upanizad-vAkya-boDita-anizwa-sADana-tAke avidyAt-vEta-vAsana-AdO=-ati-vyAptam
   ; tathāpi tasyātmajñajñanapraśaṃsāparasya lakṣaṇayā	; taTA-api tasya-Atma-jQa-jQana-praSaMsA-parasya lakzaNayA
   ātmajñānaprāśastyaparatvena āpātapratītaśakyārthajñānasya	Atma-jQAna-prASasti-a-paratvena ApAta-pratIta-SakyA-arTa-jQAnasya
   lakṣaṇottarabādhādabādhitapratītiviṣayāniṣṭasādhanatākatvā	lakzaNa-uttara-bADAt-abADita-pratIti-vizaya-anizwa-sADana-tAkatvA
   bhāvānnātivyāptiḥ /	BAvAt-na-ati-vyAptiH /
   yadi tvetādṛśanindayā dvaitavāsanāṃ tyajet taddoṣaparihārārthamiti vidhiḥ	yadi tu-etAdRSa-nindayA dvEta-vAsanAm tyajet tad-doza-parihAra-arTam-iti viDiH
   kalpyeta, yatadā tatra tyāgasya vihitatvāddharmatvameveti nānupapattiḥ /	kalpyeta, yatadA tatra tyAgasya vihita-tvAt-Darma-tvam-eva-iti na-anupapattiH /
   ato yuktameva vedabodhitaśreyassādhanatākatvaṃ dharmatvaṃ,	atas yuktam-eva veda-boDita-SreyassADana-tAka-tvam Darma-tvaM,
   tadbodhitāniṣṭasādhanatākatvamadharmatvamityevaṃ lakṣaṇadvayam //	tad-boDita-anizwa-sADana-tAka-tvam-aDarma-tvam-iti-evam lakzaNa-dvayam //
   (dharmalakṣaṇe vedabodhitatvapariṣkāraḥ) atredamavadheyam - yadi	(Darma-lakzaNe veda-boDitatva-parizkAraH) atra-idam-avaDeyam  yadi
   vedabodhitatvaṃ vedajanyābādhitapratītiviṣayatvaṃ, tadyadi	veda-boDita-tvam veda-janyA-bADita-pratIti-vizaya-tvan, tat-yadi
   śābdabodharūpapratītimādāya, tadā vidheyasya	SAbda-boDa-rUpa-pratItim-AdAya, tadA viDeyasya
   svargādipadasamabhivyāhārādyāgasvargasādhyasādhanabhāvasya	svarga-Adi-pada-samaBivyAhArAt-yAga-svarga-sADya-sADana-BAvasya
   śābdabodhaviṣatve 'pi niṣedhasthale bhavanmate	SAbda-boDa-viza-tve api nizeDa-sTale Bavat-mate
   aniṣṭādivācakāpadasamabhivyāhārābhāve aniṣṭasādhanatvasya ākṣepādeva	anizwa-Adi-vAcakA-pada-samaBivyAhAra-aBAve anizwa-sADana-tvasya AkzepAt-eva
   bodhasvīkārāt niṣedhyagatāniṣṭasādhanatvasya kathaṃ	boDa-svIkArAt nizeDya-gata-anizwa-sADana-tvasya kaTam
   vedajanyaśābdabodharūpapratītiviṣayatvam ? yadi	veda-janya-SAbda-boDa-rUpa-pratIti-vizaya-tvam ? yadi
   vedaprayojyapratītiviṣayatvam, tadā kathaṃ	veda-prayojya-pratIti-vizaya-tvam, tadA kaTam
   tadbrahmasvarganarakādāvapītyuktaṃ yenottaradalaṃ kṛtamiti bhāṭṭarahasye	tat-brahma-svarga-naraka-AdO=-api-iti-uktam yena-uttara-dalam kRtam-iti BAwwa-rahasye
   pūjyapādoktaṃ ghaṭate /	pUjya-pAda-uktam Gawate /
   ato dharmalakṣaṇāvairūpyādadharmalakṣaṇamapi	atas Darma-lakzaNa-avErUpyAt-aDarma-lakzaNam-api
   vedaprayojyānumitiviṣayāniṣṭasādhanatākatvamityeva kartu yuktam /	veda-prayojya-anumiti-vizaya-anizwa-sADana-tAka-tvam-iti-eva kartu yuktam /
   ātmajñāne 'pi yadi 'ātmā vā are draṣṭavyaḥ śrotavyaḥ' iti vidhiḥ, tadā	Atma-jQAne api yadi aAtmA vE are drazwavyaH SrotavyaH-a iti viDiH, tadA
   tadvidhiprayojyānumitiviṣayājñānanivṛttirūpeṣṭasādhanātvāvidhātānnāvyāptiḥ	tad-viDi-prayojya-anumiti-vizaya-ajQAna-nivRtti-rUpa-izwa-sADanAtvA-viDAtAn-na-avyAptiH
   yadā tu na tasya vidhitvamiti, tadā ātmajñānasya māstu dharmatvam /	yadA tu na tasya viDi-tvam-iti, tadA Atma-jQAnasya mA-astu Darma-tvam /
   'ayaṃ tu paramo dharma' ityatra kriyārūpāyāgasyeva dharmatvaṃ vivakṣitam,	aayam tu paramaH Darma-a iti-atra kriyA-rUpA-yAgasya-iva Darma-tvam vivakzitam,
   natvātmajñānasyetyapi śakyaṃ vaktumiti na doṣaḥ //	natu-Atma-jQAnasya-iti-api Sakyam vaktum-iti na dozaH //
   (śyenadharmatvapakṣaḥ) ubhayavidhalakṣaṇasyāpi ca śyene	(Syena-Darma-tva-pakzaH) uBayaviDa-lakzaNasya-api ca Syene
   sattvāddharmatvameva /	sattvAt-Darma-tvam-eva /
   adharmatvaṃ tu śyenaphalasya hiṃsātmakābhicārasyaiveti caturthe	aDarma-tvam tu Syena-Palasya hiMsA-Atmaka-aBicArasya-eva-iti caturTe
   vyaktīkariṣyate //	vyaktIkarizyate //
   (aniṣedhyatvena śyenadharmatvasya balavadaniṣṭānubandhitvena	(a-nizeDya-tvena Syena-Darma-tvasya balavat-anizwa-anubanDi-tvena
   tadadharmatvasya copapādanam) yattu bhāṭṭālaṅkārakṛtā -	tad-aDarma-tvasya ca-upapAdanam) yat-tu BAwwa-alaFkAra-kRtA -
   balavadaniṣṭānanubandhitvamapi dharmatvalakṣaṇe praveśya śyenasya	balavat-anizwAn-anubanDi-tvam-api Darma-tva-lakzaNe praveSya Syenasya
   vihitatvāt kathaṃ na hiṃsyāditiniṣedhaviṣayatvābhāve	vihita-tvAt kaTam na hiMsyAt-iti-nizeDa-vizaya-tva-aBAve
   balavadaniṣṭānubandhitvamityāśaṅkya vairimaraṇaṃ mayā kartavyamiti	balavat-anizwa-anubanDi-tvam-iti-ASaFkya vEri-maraNam mayA kartavyam-iti
   saṃkalpasya rāgataḥ prāptasya vidhyaṃsuspṛṣṭasya niṣedhyatvāt, athavā -	saMkalpasya rAgataH prAptasya viDi-aMsu-spRzwasya nizeDya-tva-at, aTavA -
   śyenaphalasya vairimaraṇānukūlavyāpārasya dṛṣṭopāyeneva	Syena-Palasya vEri-maraNa-anukUla-vyApArasya dRzwa-upAyena-iva
   śyenādinānuṣṭhātṛjanasya niṣedhātikramasattvāt tadupapatterityuktvā	Syena-AdinA-anuzWAtR-janasya nizeDa-atikrama-sattvAt tad-upapatteH-iti-uktvA
   nacāsyādharmapadavācyatāpattiḥ ; aniṣṭānubandhitve 'pi svarūpeṇa	naca-asya-aDarma-padavAcya-tA-ApattiH ; anizwa-anubanDi-tve api sva-rUpeNa
   niṣedhyatvābhavāt, niṣedhyasyaivādharmatvāt, yaditu svayamaniṣedhye 'pi	nizeDya-tva-aBavAt, nizeDyasya-eva-aDarma-tvAt, yat-itu svayam-anizeDye api
