   Pātañjalayogaśāstram	PAtaQjala-yoga-SAstram
   saṃsāranibandhanaṃ prāṇāyāmābhyāsād durbalaṃ bhavati pratikṣaṇaṃ ca	saMsAra-nibanDanam prANAyAma-aByAsAt durbalam Bavati pratikzaNam ca
   kṣīyate. tathā coktam. "tapo na paraṃ prāṇāyāmāt tato viśuddhir malānāṃ	kzIyate. taTA ca-uktam. "tapaH na param prANAyAmAt tatas viSudDiH malAnAm
   dīptiś ca jñānasya" iti. 2.52	dIptiH ca jQAnasya" iti. 2.52
   kiṃca ---	kiMca ---
        dhāraṇāsu ca yogyatā manasaḥ || YS_2.53 ||	DAraNAsu ca yogyatA manasaH || YH-_2.53 ||
   prāṇāyāmābhyāsād eva "pracchardanavidhāraṇābhyāṃ vā prāṇasya" iti vacanāt.	prANAyAma-aByAsAt eva "pracCardana-viDAraNAByAm vA prANasya" iti vacanAt-.
   atha kaḥ pratyāhāraḥ ---	aTa kaH pratyAhAraH ---
        svaviṣayāsaṃprayoge cittasvarūpānukāra ivendriyāṇāṃ pratyāhāraḥ ||	sva-vizaya-asaMprayoge citta-svarUpa-anukAraH iva-indriyANAm pratyAhAraH ||
   YS_2.54 ||	YH-_2.54 ||
   svaviṣayasaṃprayogābhāve cittasvarūpānukāra iveti, cittanirodhe	sva-vizaya-saMprayoga-aBAve citta-svarUpa-anukAraH iva-iti, citta-niroDe
   cittavanniruddhānīndriyāṇi netarendriyajayavadupāyāntaram apekṣante. yathā	citta-vat-nirudDAni-indriyANi na-itara-indriya-jaya-vat-upAya-antaram apekzante. yaTA
   madhukararājaṃ makṣikā utpatantam anūtpatanti niviśamānam anu niviśante	maDukara-rAjam makzikAH utpatantam anUtpatanti niviSamAnam anu niviSante
   tathendriyāṇi cittanirodhe niruddhānīty eṣa pratyāhāraḥ. 2.54	taTA-indriyANi citta-niroDe nirudDAni-iti eza pratyAhAraH. 2.54
   tataḥ paramā vaśyatendriyāṇām || YS_2.55 ||	tatas paramA vaSyatA-indriyANAm || YH-_2.55 ||
        śabdādiṣv avyasanam indriyajaya iti kecit. saktir vyasanaṃ vyasyaty	Sabda-Adizu avyasanam indriya-jayaH iti kecit. saktiH vyasanam vyasyati-
   enaṃ śreyasa iti. aviruddhā pratipattir nyāyyā. śabdādisaṃprayogaḥ	enam SreyasaH iti. avirudDA pratipattiH nyAyyA. Sabda-Adi-saMprayogaH
   svecchayety anye. rāgadveṣābhāve sukhaduḥkhaśūnyaṃ śabdādijñānam	sva-icCayA-iti anye. rAga-dveza-aBAve suKa-duHKa-SUnyam Sabda-Adi-jQAnam
   indriyajaya iti kecit. cittaikāgryād apratipattir eveti jaigīṣavyaḥ. tataś	indriya-jayaH iti kecit. citta-EkAgryAt apratipattiH eva-iti jEgIzavyaH. tatas-
   ca paramā tv iyaṃ vaśyatā yac cittanirodhe niruddhānīndriyāṇi	ca paramA tu iyam vaSya-tA yat citta-niroDe nirudDAni-indriyANi
   netarendriyajayavat prayatnakṛtam upāyāntaram apekṣante yogina iti. 2.55	na-itara-indriya-jaya-vat prayatna-kRtam upAya-antaram apekzante yoginaH iti. 2.55
   iti śrīpātāñjale sāṃkhyapravacane yogaśāstre śrīmadvyāsabhāṣye dvitīyaḥ	iti SrIpAta-an-jale sAMKya-pravacane yoga-SAstre SrImat-vyAsa-BAzye dvitIyaH
   sādhanapādaḥ 2.	sADana-pAdaH 2.
   uktāni pañca bahiraṅgāni(ṇi) sādhanāni. dhāraṇā vaktavyā ---	uktAni paQca bahis-aFgAni(Ni) sADanAni. DAraNA vaktavyA ---
        deśabandhaś cittasya dhāraṇā || YS_3.1 ||	deSa-banDaH cittasya DAraNA || YH-_3.1 ||
   nābhicakre hṛdayapuṇḍarīke mūrdhni jyotiṣi nāsikāgre jihvāgra ity	nABi-cakre hRdaya-puNxarIke mUrDni jyotizi nAsikA-agre jihvA-agre iti-
   evamādiṣu deśeṣu bāhye vā viṣaye cittasya vṛttimātreṇa bandha iti dhāraṇā.	evamAdizu deSezu bAhye vA vizaye cittasya vRtti-mAtreNa banDaH iti DAraNA.
   tatra pratyayaikatānatā dhyānam || YS_3.2 ||	tatra pratyaya-eka-tAna-tA DyAnam || YH-_3.2 ||
   tasmin deśe dhyeyālambanasya pratyayasyaikatānatā sadṛśaḥ pravāhaḥ	tasmin deSe Dyeya-Alambanasya pratyayasya-eka-tAna-tA sadRSaH pravAhaH
   pratyayāntareṇāparāmṛṣṭo dhyānam. 3.2	pratyaya-antareNa-aparAmRzwaH DyAnam. 3.2
   tad evārthamātranirbhāsaṃ svarūpaśūnyam iva samādhiḥ || YS_3.3 ||	tat eva-arTa-mAtra-nirBAsam svarUpa-SUnyam iva samADiH || YH-_3.3 ||
        dhyānam eva dhyeyākārānirbhāsaṃ pratyayātmakena svarūpeṇa śūnyam iva	DyAnam eva Dyeya-AkAra-anirBAsam pratyaya-Atmakena svarUpeNa SUnyam iva
   yadā bhavati dhyeyasvabhāvāveśāt tadā samādhir ity ucyate. 3.3	yadA Bavati Dyeya-svaBAva-AveSAt tadA samADiH iti ucyate. 3.3
   trayam ekatra saṃyamaḥ || YS_3.4 ||	trayam ekatra saMyamaH || YH-_3.4 ||
        tad etad dhāraṇādhyānasamādhitrayam ekatra saṃyamaḥ. ekaviṣayāṇi	tat etat DAraNA-DyAna-samADi-trayam ekatra saMyamaH. eka-vizayANi
   trīṇi sādhanāni saṃyama ity ucyate. tad asya trayasya tāntrikī paribhāṣā	trINi sADanAni saMyamaH iti ucyate. tat asya trayasya tAntrikI pariBAzA
   saṃyama iti. 3.4	saMyamaH iti. 3.4
   tajjayāt prajñālokaḥ || YS_3.5 ||	tad-jayAt prajQA-lokaH || YH-_3.5 ||
        tasya saṃyamasya jayāt samādhiprajñāyā bhavaty āloko yathā yathā	tasya saMyamasya jayAt samADi-prajQAyAH Bavati AlokaH yaTA yaTA
   saṃyamaḥ sthirapado bhavati tathā tathā samādhiprajñā viśāradī bhavati.	saMyamaH sTira-padaH Bavati taTA taTA samADi-prajQA viSAradI Bavati.
   tasya bhūmiṣu viniyogaḥ || YS_3.6 ||	tasya BUmizu viniyogaH || YH-_3.6 ||
        tasya saṃyamasya jitabhūmer yānantarā bhūmis tatra viniyogaḥ. na hy	tasya saMyamasya jita-BUmeH yA-an-antarA BUmiH tatra viniyogaH. na hi-
   ajitādharabhūmir anantarabhūmiṃ vilaṅghya prāntabhūmiṣu saṃyamaṃ labhate.	ajita-aDara-BUmiH anantara-BUmim vilaFGya prAnta-BUmizu saMyamam laBate.
   tadabhāvāc ca kutas tasya prajñālokaḥ. īśvaraprasādāj jitottarabhūmikasya	tad-aBAvAt ca kutas tasya prajQA-lokaH. ISvara-prasAdAt jita-uttara-BUmikasya
   ca nādharabhūmiṣu paracittajñānādiṣu saṃyamo yuktaḥ. kasmāt,	ca na-aDara-BUmizu para-citta-jQAna-Adizu saMyamaH yuktaH. kasmAt-,
   tadarthasyānyata evāvagatatvāt. bhūmer asyā iyam anantarā bhūmir ity atra	tad-arTasya-anyatas eva-avagata-tvAt. BUmeH asyAH iyam anantarA BUmiH iti atra
   yoga evopādhyāyaḥ. katham evaṃ hy uktam. "yogena yogo jñātavyo yogo yogāt	yogaH eva-upADyAyaH. kaTam evam hi uktam. "yogena yogaH jQAtavyaH yogaH yogAt-
   pravartate / yo 'pramattas tu yogena sa yoge ramate ciram" iti. 3.6	pravartate / yaH apramattaH tu yogena sa yoge ramate ciram" iti. 3.6
   trayam antaraṅgaṃ pūrvebhyaḥ || YS_3.7 ||	trayam antaraFgam pUrveByaH || YH-_3.7 ||
        tad etad dhāraṇādhyānasamādhitrayam antaraṅgaṃ saṃprajñātasya	tat etat DAraNA-DyAna-samADi-trayam antaraFgam saMprajQAtasya
   samādheḥ pūrvebhyo yamādibhyaḥ pañcabhyaḥ sādhanebhya iti. 3.7	samADeH pUrveByaH yama-AdiByaH paQcaByaH sADaneByaH iti. 3.7
   tad api bahiraṅgaṃ nirbījasya || YS_3.8 ||	tat api bahis-aFgam nirbIjasya || YH-_3.8 ||
        tad apy antaraṅgaṃ sādhanatrayaṃ nirbījasya yogasya bahiraṅgaṃ	tat api antaraFgam sADana-trayam nirbIjasya yogasya bahis-aFgam
   bhavati kasmāt, tadabhāve bhāvād iti. 3.8	Bavati kasmAt, tad-aBAve BAvAt iti. 3.8
   atha nirodhacittakṣaṇeṣu calaṃ guṇavṛttam iti kīdṛśas tadā cittapariṇāmaḥ	aTa niroDa-citta-kzaNezu calam guNa-vRttam iti kIdRSaH tadA citta-pariNAmaH
        vyutthānanirodhasaṃskārayor abhibhavaprādurbhāvau	vyutTAna-niroDa-saMskArayoH aBiBava-prAdurBAvO
   nirodhakṣaṇacittānvayo nirodhapariṇāmaḥ || YS_3.9 ||	niroDa-kzaNa-citta-anvayaH niroDa-pariNAmaH || YH-_3.9 ||
        vyutthānasaṃskārāś cittadharmā na te pratyayātmakā iti	vyutTAna-saMskArAH citta-DarmAH na te pratyaya-AtmakAH iti
   pratyayanirodhe na niruddhā nirodhasaṃskārā api cittadharmās tayor	pratyaya-niroDe na nirudDAH niroDa-saMskArAH api citta-DarmAH tayoH-
   abhibhavaprādurbhāvau vyutthānasaṃskārā hīyante nirodhasaṃskārā ādhīyante.	aBiBava-prAdurBAvO vyutTAna-saMskArAH hIyante niroDa-saMskArAH ADIyante.
   nirodhakṣaṇaṃ cittam anveti tad ekasya cittasya pratikṣaṇam idaṃ	niroDa-kzaNam cittam anveti tat ekasya cittasya pratikzaNam idam
   saṃskārānyathātvaṃ nirodhapariṇāmaḥ. tadā saṃskāraśeṣaṃ cittam iti	saMskArAn-yaTAtvam niroDa-pariNAmaH. tadA saMskAra-Sezam cittam iti
   nirodhasamādhau vyākhyātam. 3.9	niroDa-samADO vyAKyAtam. 3.9
   tasya praśāntavāhitā saṃskārāt || YS_3.10 ||	tasya praSAnta-vAhi-tA saMskArAt || YH-_3.10 ||
        nirodhasaṃskārābhyāsapāṭavāpekṣā praśāntavāhitā cittasya bhavati.	niroDa-saMskAra-aByAsa-pAwava-apekzA praSAnta-vAhi-tA cittasya Bavati.
   tatsaṃskāramāndye vyutthānadharmiṇā saṃskāreṇa nirodhadharmasaṃskāro	tad-saMskAra-mAndye vyutTAna-DarmiNA saMskAreNa niroDa-Darma-saMskAraH-
   'bhibhūyata iti. 3.10	aBiBUyate iti. 3.10
   sarvārthataikāgratayoḥ kṣayodayau cittasya samādhipariṇāmaḥ || YS_3.11 ||	sarva-arTa-tA-eka-agra-tayoH kzaya-udayO cittasya samADi-pariNAmaH || YH-_3.11 ||
        sarvārthatā cittadharmaḥ. ekāgratāpi cittadharmaḥ. sarvārthatāyāḥ	sarva-arTa-tA citta-DarmaH. ekAgra-tA-api citta-DarmaH. sarva-arTa-tAyAH
   kṣayas tirobhāva ity arthaḥ. ekāgratāyā udaya āvirbhāva ity arthaḥ. tayor	kzayaH tiroBAvaH iti arTaH. ekAgra-tAyAH udaya AvirBAvaH iti arTaH. tayoH-
   dharmitvenānugataṃ cittaṃ, tad idaṃ cittam apāyopajanayoḥ svātmabhūtayor	Darmi-tvena-anugatam cittaM, tat idam cittam apAya-upajanayoH sva-Atma-BUtayoH-
   dharmayor anugataṃ samādhīyate sa cittasya samādhipariṇāmaḥ. 3.11	DarmayoH anugatam samADIyate sa cittasya samADi-pariNAmaH. 3.11
   tataḥ punaḥ śāntoditau tulyapratyayau cittasyaikāgratāpariṇāmaḥ || YS_3.12	tatas punar SAnta-uditO tulya-pratyayO cittasya-ekAgra-tA-pariNAmaH || YH-_3.12
        samāhitacittasya pūrvapratyayaḥ śānta uttaras tatsadṛśa uditaḥ,	samAhita-cittasya pUrva-pratyayaH SAntaH uttaraH tad-sadRSaH uditaH,
   samādhicittam ubhayor anugataṃ punas tathaivāsamādhibhreṣād iti. sa khalv	samADi-cittam uBayoH anugatam punar taTA-eva-asamADi-BrezAt iti. sa Kalu-
   ayaṃ dharmiṇaś cittasyaikāgratāpariṇāmaḥ. 3.12	ayam DarmiNaH cittasya-ekAgra-tA-pariNAmaH. 3.12
   etena bhūtendriyeṣu dharmalakṣaṇāvasthāpariṇāmā vyākhyātāḥ || YS_3.13 ||	etena BUta-indriyezu Darma-lakzaNa-avasTA-pariNAmAH vyAKyAtAH || YH-_3.13 ||
        etena pūrvoktena cittapariṇāmena dharmalakṣaṇāvasthārūpeṇa	etena pUrva-uktena citta-pariNAmena Darma-lakzaNa-avasTA-rUpeNa
   bhūtendriyeṣu dharmapariṇāmo lakṣaṇapariṇāmo 'vasthāpariṇāmaś cokto	BUta-indriyezu Darma-pariNAmaH lakzaNa-pariNAmaH avasTA-pariNAmaH ca-uktaH-
   veditavyaḥ. tatra vyutthānanirodhayor abhibhavaprādurbhāvau dharmiṇi	veditavyaH. tatra vyutTAna-niroDayoH aBiBava-prAdurBAvO DarmiNi
   dharmapariṇāmaḥ. lakṣaṇapariṇāmaś ca nirodhas trilakṣaṇas tribhir	Darma-pariNAmaH. lakzaNa-pariNAmaH ca niroDaH tri-lakzaNaH triBiH-
   adhvabhir yuktaḥ. sa khalv anāgatalakṣaṇam adhvānaṃ prathamaṃ hitvā	aDvaBiH yuktaH. sa Kalu anAgata-lakzaNam aDvAnam praTamam hitvA
   dharmatvam anatikrānto vartamānalakṣaṇaṃ pratipannaḥ. yatrāsya	Darma-tvam anatikrAntaH vartamAna-lakzaNam pratipannaH. yatra-asya
   svarūpeṇābhivyaktiḥ. eṣo 'sya dvitīyo 'dhvā. na cātītānāgatābhyāṃ	sva-rUpeNa-aBivyaktiH. ezaH asya dvitIyaH aDvA. na ca-atIta-anAgatAByAm
   lakṣaṇābhyāṃ viyuktaḥ.	lakzaNAByAm viyuktaH.
        tathā vyutthānaṃ trilakṣaṇaṃ tribhir adhvabhir yuktaṃ	taTA vyutTAnam tri-lakzaNam triBiH aDvaBiH yuktam
   vartamānalakṣaṇaṃ hitvā dharmatvam anatikrāntam atītalakṣaṇaṃ pratipannam.	vartamAna-lakzaNam hitvA Darma-tvam anatikrAntam atIta-lakzaNam pratipannam.
   eṣo 'sya tṛtīyo 'dhvā. na cānāgatavartamānābhyāṃ lakṣaṇābhyāṃ viyuktam.	ezaH asya tRtIyaH aDvA. na ca-anAgata-vartamAnAByAm lakzaNAByAm viyuktam.
   evaṃ punar vyutthānam upasaṃpadyamānam anāgatalakṣaṇaṃ hitvā dharmatvam	evam punar vyutTAnam upasaMpadyamAnam anAgata-lakzaNam hitvA Darma-tvam
   anatikrāntaṃ vartamānalakṣaṇaṃ pratipannam. yatrāsya svarūpābhivyaktau	anatikrAntam vartamAna-lakzaNam pratipannam. yatra-asya svarUpa-aBivyaktO
   satyāṃ vyāpāraḥ eṣo 'sya dvitīyo 'dhvā. na cātītānāgatābhyāṃ lakṣaṇābhyāṃ	satyAm vyApAraH ezaH asya dvitIyaH aDvA. na ca-atIta-anAgatAByAm lakzaNAByAm
   viyuktam iti. evaṃ punar nirodha evaṃ punar vyutthānam iti.	viyuktam iti. evam punar niroDaH evam punar vyutTAnam iti.
        tathāvasthāpariṇāmaḥ tatra nirodhakṣaṇeṣu nirodhasaṃskārā balavanto	taTA-avasTA-pariNAmaH tatra niroDa-kzaNezu niroDa-saMskArAH balavantaH-
   bhavanti durbalā vyutthānasaṃskārā iti. eṣa dharmāṇām avasthāpariṇāmaḥ.	Bavanti durbalA vyutTAna-saMskArAH iti. eza DarmANAm avasTA-pariNAmaH.
   tatra dharmiṇo dharmaiḥ pariṇāmo dharmāṇāṃ tryadhvanāṃ lakṣaṇaiḥ pariṇāmo	tatra DarmiNaH DarmEH pariNAmaH DarmANAm tryaDvanAm lakzaNEH pariNAmaH-
   lakṣaṇānām apy avasthābhiḥ pariṇāma iti. evaṃ	lakzaNAnAm api avasTABiH pariNAmaH iti. evam
   dharmalakṣaṇāvasthāpariṇāmaiḥ śūnyaṃ na kṣaṇam api guṇavṛttam avatiṣṭhate.	Darma-lakzaNa-avasTA-pariNAmEH SUnyam na kzaNam api guNa-vRttam avatizWate.
   calaṃ ca guṇavṛttam. guṇasvābhāvyaṃ tu pravṛttikāraṇam uktaṃ guṇānām iti.	calam ca guNa-vRttam. guNa-svABAvyam tu pravRtti-kAraNam uktam guNAnAm iti.
   etena bhūtendriyeṣu dharmadharmibhedāt trividhaḥ pariṇāmo veditavyaḥ.	etena BUta-indriyezu Darma-Darmi-BedAt triviDaH pariNAmaH veditavyaH.
        paramārthatas tv eka eva pariṇāmaḥ. dharmisvarūpamātro hi dharmo	paramArTataH tu ekaH eva pariNAmaH. Darmi-svarUpa-mAtraH hi DarmaH-
   dharmivikriyaivaiṣā dharmadvārā prapañcyata iti. tatra dharmasya dharmiṇi	Darmi-vikriyA-eva-ezA Darma-dvArA prapaQcyate iti. tatra Darmasya DarmiNi
   vartamānasyaivādhvasv atītānāgatavartamāneṣu bhāvānyathātvaṃ bhavati na tu	vartamAnasya-eva-aDvasu atIta-anAgata-vartamAnezu BAvAn-yaTAtvam Bavati na tu
   dravyānyathātvam. yathā suvarṇabhājanasya bhittvānyathākriyamāṇasya	dravyAnyaTAtvam. yaTA suvarNa-BAjanasya BittvA-anyaTA-kriyamANasya
   bhāvānyathātvaṃ bhavati na suvarṇānyathātvam iti.	BAvAn-yaTAtvam Bavati na suvarNAnyaTAtvam iti.
        apara āha --- dharmānabhyadhiko dharmī pūrvatattvānatikramāt.	aparaH Aha -- DarmAn-aByaDikaH DarmI pUrva-tattva-anatikramAt.
   pūrvāparāvasthābhedam anupatitaḥ kauṭasthyenaiva parivarteta yady anvayī	pUrva-apara-avasTA-Bedam anupatitaH kOwasTyena-eva parivarteta yadi anvayI
   syād iti.	syAt iti.
        ayam adoṣaḥ. kasmāt. ekāntatānabhyupagamāt. tad etat trailokyaṃ	ayam adozaH. kasmAt. ekAnta-tA-anaByupagamAt. tat etat trElokyam
   vyakter apaiti nityatvapratiṣedhāt. apetam apy asti vināśapratiṣedhāt.	vyakteH apEti nitya-tva-pratizeDAt. apetam api asti vinASa-pratizeDAt-.
   saṃsargāc cāsya saukṣmyaṃ, saukṣmyāc cānupalabdhir iti.	saMsargAt ca-asya sOkzmyan, sOkzmyAt ca-anupalabDiH iti.
        lakṣaṇapariṇāmo dharmo 'dhvasu vartamāno 'tīto 'tītalakṣaṇayukto	lakzaNa-pariNAmaH DarmaH aDvasu vartamAnaH atItaH atIta-lakzaNa-yuktaH-
   'nāgatavartamānābhyāṃ lakṣaṇābhyām aviyuktaḥ. tathānāgato	anAgata-vartamAnAByAm lakzaNAByAm aviyuktaH. taTA-anAgataH-
   'nāgatalakṣaṇayukto vartamānātītābhyāṃ lakṣaṇābhyām aviyuktaḥ. tathā	anAgata-lakzaNa-yuktaH vartamAna-atItAByAm lakzaNAByAm aviyuktaH. taTA
   vartamāno vartamānalakṣaṇayukto 'tītānāgatābhyāṃ lakṣaṇābhyām aviyukta	vartamAnaH vartamAna-lakzaNa-yuktaH atIta-anAgatAByAm lakzaNAByAm aviyukta
   iti. yathā puruṣa ekasyāṃ striyāṃ rakto na śeṣāsu virakto bhavatīti.	iti. yaTA puruzaH ekasyAm striyAm raktaH na SezAsu viraktaH Bavati-iti.
        atra lakṣaṇapariṇāme sarvasya sarvalakṣaṇayogād adhvasaṃkaraḥ	atra lakzaNa-pariNAme sarvasya sarva-lakzaNa-yogAt aDva-saMkaraH
   prāpnotīti parair doṣaś codyata iti. tasya parihāraḥ --- dharmāṇāṃ	prApnoti-iti parEH dozaH ca-udyate iti. tasya parihAraH -- DarmANAm
   dharmatvam aprasādhyam. sati ca dharmatve lakṣaṇabhedo 'pi vācyo na	Darma-tvam aprasADyam. sati ca Darma-tve lakzaNa-BedaH api vAcyaH na
   vartamānasamaya evāsya dharmatvam. evaṃ hi na cittaṃ rāgadharmakaṃ syāt	vartamAna-samayaH eva-asya Darma-tvam. evam hi na cittam rAga-Darmakam syAt-
   krodhakāle rāgasyāsamudācārād iti.	kroDa-kAle rAgasya-asamudAcArAt iti.
        kiṃca trayāṇāṃ lakṣaṇānāṃ yugapad ekasyāṃ vyaktau nāsti saṃbhavaḥ.	kiMca trayANAm lakzaNAnAm yugapad ekasyAm vyaktO na-asti saMBavaH.
   krameṇa tu svavyañjakāñjanasya bhāvo bhaved iti. uktaṃ ca rūpātiśayā	krameNa tu sva-vyaQjaka-aQjanasya BAvaH Bavet iti. uktam ca rUpa-atiSayA
   vṛttyatiśayāś ca virudhyante, sāmānyāni tv atiśayaiḥ saha pravartante.	vRtti-atiSayAH ca viruDyante, sAmAnyAni tu atiSayEH saha pravartante.
   tasmād asaṃkaraḥ yathā rāgasyaiva kvacit samudācāra iti na tadānīm	tasmAt asaMkaraH yaTA rAgasya-eva kvacid samudAcAraH iti na tadAnIm
   anyatrābhāvaḥ, kiṃtu kevalaṃ sāmānyena samanvāgata ity asti tadā tatra	anyatra-aBAvaH, kiMtu kevalam sAmAnyena samanvAgataH iti asti tadA tatra
   tasya bhāvaḥ tathā lakṣaṇasyeti.	tasya BAvaH taTA lakzaNasya-iti.
        na dharmī tryadhvā dharmās tu tryadhvānas te lakṣitā alakṣitās tatra	na DarmI tri-aDvAH DarmAH tu tri-aDvAnaH te lakzitAH alakzitAH tatra
   lakṣitās tāṃ tām avasthāṃ prāpnuvanto 'nyatvena pratinirdiśyante	lakzitAH tAm tAm avasTAm prApnuvantaH anya-tvena pratinirdiSyante
   'vasthāntarato na dravyāntarataḥ. yathaikā rekhā śatasthāne śataṃ	avasTA-antarataH na dravya-antarataH. yaTA-ekA reKA Sata-sTAne Satam
   daśasthāne daśaikā caikasthāne yathā caikatve 'pi strī mātā cocyate duhitā	daSa-sTAne daSa-ekA ca-eka-sTAne yaTA ca-eka-tve api strI mAtA ca-ucyate duhitA
   ca svasā ceti.	ca svasA ca-iti.
        avasthāpariṇāme kauṭasthyaprasaṅgadoṣaḥ kaiścid uktaḥ. katham.	avasTA-pariNAme kOwasTya-prasaFga-dozaH kEScid uktaH. kaTam.
   adhvano vyāpāreṇa vyavahitatvāt. yadā dharmaḥ svavyāpāraṃ na karoti	aDvanaH vyApAreNa vyavahita-tva-at. yadA DarmaH sva-vyApAram na karoti
   tadānāgato yadā karoti tadā vartamāno yadā kṛtvā nivṛttas tadātīta ity	tadA-anAgataH yadA karoti tadA vartamAnaH yadA kRtvA nivRttaH tadA-atItaH iti-
   evaṃ dharmadharmiṇor lakṣaṇānām avasthānāṃ ca kauṭasthyaṃ prāpnotīti	evam Darma-DarmiNoH lakzaNAnAm avasTAnAm ca kOwasTyam prApnoti-iti
   parair doṣa ucyate.	parEH dozaH ucyate.
        nāsau doṣaḥ. kasmāt. guṇinityatve 'pi guṇānāṃ vimardavaicitryāt.	na-asO dozaH. kasmAt. guNi-nitya-tve api guNAnAm vimarda-vEcitryAt-.
   yathā saṃsthānam ādimad dharmamātraṃ śabdādīnāṃ guṇānāṃ vināśyavināśinām	yaTA saMsTAnam Adimat Darma-mAtram Sabda-AdInAm guNAnAm vinASya-vinASinAm
   evaṃ liṅgam ādimad dharmamātraṃ sattvādīnāṃ guṇānāṃ vināśyavināśinā tasmin	evam liFgam Adimat Darma-mAtram sattva-AdInAm guNAnAm vinASya-vinASinA tasmin
   vikārasaṃjñeti.	vikAra-saMjQA-iti.
        tatredam udāharaṇaṃ mṛddharmī piṇḍākārād dharmād dharmāntaram	tatra-idam udAharaNam mRd-DarmI piNxa-AkArAt DarmAt Darma-antaram
   upasaṃpadyamāno dharmataḥ pariṇamate ghaṭākāra iti. ghaṭākāro 'nāgataṃ	upasaMpadyamAnaH DarmataH pariNamate Gawa-AkAraH iti. Gawa-AkAraH anAgatam
   lakṣaṇaṃ hitvā vartamānalakṣaṇaṃ pratipadyata iti lakṣaṇataḥ pariṇamate.	lakzaNam hitvA vartamAna-lakzaNam pratipadyate iti lakzaNataH pariNamate.
   ghaṭo navapurāṇatāṃ pratikṣaṇam anubhavann avasthāpariṇāmaṃ pratipadyata	GawaH nava-purANa-tAm pratikzaNam anuBavan avasTA-pariNAmam pratipadyata
   iti. dharmiṇo 'pi dharmāntaram avasthā dharmasyāpi lakṣaṇāntaram avasthety	iti. DarmiNaH api Darma-antaram avasTA Darmasya-api lakzaNa-antaram avasTA-iti-
   eka eva dravyapariṇāmo bhedenopadarśita iti. evaṃ padārthāntareṣv api	ekaH eva dravya-pariNAmaH Bedena-upadarSitaH iti. evam padArTa-antarezu api
   yojyam iti. ta ete dharmalakṣaṇāvasthāpariṇāmā dharmisvarūpam anatikrāntā	yojyam iti. te ete Darma-lakzaNa-avasTA-pariNAmA Darmi-svarUpam anatikrAntA
   ity eka eva pariṇāmaḥ sarvān amūn viśeṣān abhiplavate. atha ko 'yaṃ	iti ekaH eva pariNAmaH sarvAn amUn viSezAn aBiplavate. aTa kaH ayam
   pariṇāmaḥ.avasthitasya dravyasya pūrvadharmanivṛttau dharmāntarotpattiḥ	pariNAmaH.avasTitasya dravyasya pUrva-Darma-nivRttO Darma-antara-utpattiH
   pariṇāma iti. 3.13	pariNAmaH iti. 3.13
   tatra ---	tatra ---
        śāntoditāvyapadeśyadharmānupātī dharmī || YS_3.14 ||	SAnta-udita-avyapadeSya-Darma-anupAtI DarmI || YH-_3.14 ||
   yogyatāvacchinnā dharmiṇaḥ śaktir eva dharmaḥ. sa ca	yogyatA-avacCinnAH DarmiNaH SaktiH eva DarmaH. sa ca
   phalaprasavabhedānumita ekasyānyo 'nyaś ca paridṛṣṭaḥ. tatra vartamānaḥ	Pala-prasava-Beda-anumitaH ekasya-anyaH anyaH ca paridRzwaH. tatra vartamAnaH
   svavyāpāram anubhavan dharmī dharmāntarebhyaḥ śāntebhyaś cāvyapadeśyebhyaś	sva-vyApAram anuBavan DarmI Darma-antareByaH SAnteByaH ca-avyapadeSyeByaH-
   ca bhidyate. yadā tu sāmānyena samanvāgato bhavati tadā	ca Bidyate. yadA tu sAmAnyena samanvAgataH Bavati tadA
   dharmisvarūpamātratvāt ko 'sau kena bhidyeta.	Darmi-svarUpa-mAtra-tvAt kaH asO kena Bidyeta.
        tatra ye khalu dharmiṇo dharmāḥ śāntā uditā avyapadeśyāś ceti, tatra	tatra ye Kalu DarmiNaH DarmAH SAntAH uditAH avyapadeSyAH ceti, tatra
   śāntā ye kṛtvā vyāpārānuparatāḥ savyāpārā uditās te cānāgatasya lakṣaṇasya	SAntAH ye kRtvA vyApArAn-uparatAH savya-apArAH uditAH te ca-anAgatasya lakzaNasya
   samanantarā vartamānasyānantarā atītāḥ kimartham atītasyānantarā na	samanantarAH vartamAnasya-anantarAH atItAH kimarTam atItasya-anantarA na
   bhavanti vartamānāḥ, pūrvapaścimatāyā abhāvāt. yathānāgatavartamānayoḥ	Bavanti vartamAnAH, pUrva-paScima-tAyAH aBAvAt. yaTA-anAgata-vartamAnayoH
   pūrvapaścimatā naivam atītasya. tasmān nātītasyāsti samanantaraḥ	pUrva-paScimatA na-evam atItasya. tasmAt na-atItasya-asti samanantaraH
   tadanāgata eva samanantaro bhavati vartamānasyeti.	tad-anAgataH eva samanantaraH Bavati vartamAnasya-iti.
        athāvyapadeśyāḥ ke sarvaṃ sarvātmakam iti. yatroktam --- jalabhūmyoḥ	aTa-avyapadeSyAH ke sarvam sarva-Atmakam iti. yatra-uktam -- jala-BUmyoH
   pāriṇāmikaṃ rasādivaiśvarūpyaṃ sthāvareṣu dṛṣṭam. tathā sthāvarāṇāṃ	pAriNAmikam rasa-Adi-vESvarUpyam sTAvarezu dRzwam. taTA sTAvarANAm
   jaṅgameṣu jaṅgamānāṃ sthāvareṣv ity evaṃ jātyanucchedena sarvaṃ	jaFgamezu jaFgamAnAm sTAvarezu iti evam jAti-anucCedena sarvam
   sarvātmakam iti.	sarva-Atmakam iti.
