   Ratnākaraśāntiviracitā	RatnAkara SAnti viracitA
   vipakṣo bhāvanāheyaḥ kleśavikalpā yathāyogām / audāriko hi malaścelātpurva	vipakzaH BAvanA AheyaH kleSa vikalpAH yaTAyogAm / OdArikaH hi malaH celAt purva
   niṣpīḍyate paścāsūkṣmaḥ / tadvaccittādapi /	nizpIxyate paSca asUkzmaH / tadvat cittAt api /
   tatrādyaḥ tathetyādinā / dvitīya evamityādinā / tataḥ yathā	tatra AdyaH taTA ityAdinA / dvitIyaH evam ityAdinA / tatas yaTA
   punaraparādibhīḥ prasavatyantaiḥ tataḥ dvāvekena punaraparādinā	punar apara Adi BIH prasavati antEH tatas dvO= ekena punar apara AdinA
   subhūtirāhetyataḥ prāk / tathetyādi / tatheti yathoktena krameṇa	suBUtiH Aha iti atas prAk / taTA ityAdi / taTA iti yaTA uktena krameNa
   sampādayamānaḥ śamathena / upanidhyāyana vipaśyanayā / upaparīkṣamāṇa	sampAdayamAnaH SamaTena / upaniDyAyana vipaSyanayA / upaparIkzamANa 
   ubhābhyām / prayujyamānaḥ śamathavīryeṇa / ghaṭamāno vipaśyanāvīryeṇa /	uBAByAm / prayujyamAnaH SamaTa vIryeNa / GawamAnaH vipaSyana avIryeNa /
   vyāyacchamāna ubhayavīryeṇa / svayameva bhagavān pṛcchati kiyatkarma	vyAyacCamAnaH uBaya vIryeNa / svayam eva BagavAn pRcCati kiyat karma
   karotīti / uttaraṃ svayamevāha tadyathāpītyādinā / prasādā prabhavantīti	karoti iti / uttaram svayam eva Aha tat yaTA api ityAdinA / prasAdAH praBavanti iti
   prāsādikā guṇāḥ / matvarthīyo 'c / paraparigṛhīteti parakīyā na vaśayen na	prAsAdikAH guNAH / matvarTIyaH at / para parigRhIta iti parakIyAH na vaSayet na
   śaknuyāt / saṃsārādityāgāmino janmaprabandhāt / chorayatīti tyajati /	SaknuyAt / saMsAra AdityAgAminaH janma prabanDAt / Corayati iti tyajati /
   vipṛṣṭhīkaroti / āgāmino 'nāgamanāt / vyantīkarotītyaparāntataḥ	vipRzWIkaroti / AgAminaH anAgamanAt / vyantIkaroti iti apara antataH
   pūrvāntanayanāt / yathājñaptamityādi pūrvavat / yathoddiṣṭaṃ yathā	pUrva anta nayanAt / yaTA AjQaptam ityAdi pUrvavat / yaTA uddizwam yaTA
   nirdiṣṭamityuddeśanāt / tiṣṭhati cintayā saṃśayacchedāt / śikṣate	nirdizwam iti uddeSanAt / tizWati cintayA saMSaya= CedAt / Sikzate
   śamathena / pratipadyate vipaśyanayā / upanidhyāyatītyubhābhyām / evaṃ	SamaTena / pratipadyate vipaSyanayA / upaniDyAyati iti uBAByAm / evam
   yogaṃ bhāvanāmāpadyate / iyatā ekaṃ karmoktam /	yogam BAvanAm Apadyate / iyatA ekam karma uktam /
   dvitīyamāha tāṃścetyādinā samyaksambodherityetadantena / iti bhāvanāmārgo	dvitIyam Aha tAn= ca ityAdinA samyaksamboDeH iti etad antena / iti BAvanA mArgaH 
   mṛdumṛduḥ //	mRdu mRduH //
   evamityādi evamityanantaroktavat / tāvatkarmeti bahutarakalpavyantīkaraṇam	evam ityAdi evam iti anantara ukta vat / tAvat karma iti bahutara kalpa vyantIkaraNam
   / samyaksambodhivinivartakadoṣavivarjanaṃ ca / adhikamāha (RSt_120)	/ samyak samboDi vinivartaka doza vivarjanam ca / aDikam Aha (RSt _120)
   yathetyādinā prāk punaraparāt / tata iti dāyakāt / ayameva viśiṣyate	yaTA ityAdinA prAk punar aparAt / tatas iti dAyakAt / ayam eva viSizyate
   bahutarapuṇyatayā prakṛṣyate / ityata āha / yoyamityādi / iti bhāvanāmārgo	bahutara puNya tayA prakRzyate / iti atas Aha / yoyam ityAdi / iti BAvanA mArgaH 
   mṛdumadhyaḥ //	mRdu maDyaH //
   punarityādi / dadyādarpaṇataḥ / pratiṣṭhāpayedavipratisārataḥ / iti	punar ityAdi / dadyAt arpaNataH / pratizWApayet avipratisArataH / iti
   bhāvanāmārgo mṛddhadhimātraḥ //	BAvanA mArgaH mRdhaDi mAtraH //
   punarityādi / manasikāro vihāraḥ / iti bhāvanāmārgo madhyamṛduḥ //	punar ityAdi / manasikAraH vihAraH / iti BAvanA mArgaH maDya mRduH //
   punarityādinā bhāvanāmārgo madhyamadhyaḥ //	punar ityAdinA BAvanA mArgaH maDya maDyaH //
   punarityādi / vyutthāya dharma deśayet tacca bodhau pariṇāmayediti	punar ityAdi / vyutTAya Darma deSayet tat ca boDO pariNAmayet iti
   bhāvanāmārgo madhyādhimātraḥ //	BAvanA mArgaH maDya aDimAtraH //
   punaraparetyādi / tacca dharmadānaṃ / prajñāpāramitoktena pariṇāmena	punar apara ityAdi / tat ca Darma dAnam / prajQApAramitA uktena pariNAmena
   pariṇāmayediti bhāvanāmārgo 'dhimātramṛduḥ //	pariNAmayet iti BAvanA mArgaH aDimAtra mRduH //
   punarityādi / taddharmadānaṃ prajñāpāramitoktapariṇāmena pariṇamayya punaḥ	punar ityAdi / tad Darma dAnam prajQApAramitA ukta pariNAmena pariNamayya punar 
   pratisaṃlayane yogamāpadyate / iti bhāvanāmārgo 'dhimātramadhyaḥ //	pratisaMlayane yogam Apadyate / iti BAvanA mArgaH aDimAtra maDyaH //
   yaḥ punastat pratisaṃlayanamavirahitaṃ karoti prajñāpāramitayā sa tasya	yaH punar tat pratisaMlayanamavirahitam karoti prajQApAramitayA sa tasya
   bhāvanāmārgo 'dhimātrādhimātraḥ //	BAvanA mArgaH aDimAtra aDimAtraH //
   subhūtirāhetyādi / iha bahutaraṃ puṇyaṃ prasavatīti bāhulyenoktam / ataḥ	suBUtiH Aha ityAdi / iha bahutaram puNyam prasavati iti bAhulyena uktam / atas 
   subhūteścodyam / abhisaṃskāro vikalpaḥ / tadvatpuṇyābhisaṃskāropi /	suBUteH ca udyam / aBisaMskAraH vikalpaH / tadvat puNya aBisaMskAra upi /
   tasmādvahutaraṃ puṇyamiti bahutaro vikalpa uktaḥ syāditi / uttaraṃ	tasmAt vahutaram puNyam iti bahutaraH vikalpaH uktaH syAt iti / uttaram
   bhagavānāha sopītyādinā prasavatyantena / idānīmiti bhāvanāmārgakāle /	BagavAn Aha sa upItyAdinA prasavati antena / idAnIm iti BAvanA mArga kAle /
   yathālakṣaṇamasattvācchūnyaḥ / ajñātārthe kapratyayaḥ / bālairajñātaḥ	yaTAlakzaNam asat tvAt SUnyaH / ajQAta arTe kapratyayaH / bAlEH ajQAtaH
   śūnyaka ityeva / evameva ākhyāti prakhyātīti ākhyaḥ / anākhye ākhyā	SUnyakaH iti eva / evam eva AKyAti praKyAti iti AKyaH / anAKye AKyA
   bhavati ākhyāyate lohitāderākṛtigaṇatvāt kyaṣ / prakhyātītyarthaḥ /	Bavati AKyAyate lohita AdeH AkRti gaNa tvAt kyaH / praKyAti iti arTaH /
   evamuttareṣvapi draṣṭavyam / asvāmikatvād riktaḥ / agrāhyatvāt tucchaḥ /	evam uttarezu api drazwavyam / asvAmika tvAt riktaH / agrAhya tvAt tucCaH /
   grāhakābhāvatvād asaraḥ / evamiti śūnyatādibhiḥ / śeṣaṃ subodham / iti	grAhaka aBAva tvAt asaraH / evam iti SUnyatA AdiBiH / Sezam su boDam / iti
   bahutaraṃpuṇyaṃprasavacodyaparihārau //	bahu taraMpuNyaMprasava codya parihArO //
   subhūtirāhetyādi / utkarṣopi viśeṣaḥ / chedopi nānākaraṇam /	suBUtiH Aha ityAdi / utkarza upi viSezaH / Ceda upi nAnA karaNam /
   tayorvyavacchedārthamubhayorupādānam / pramāṇānītyaudāryaparicchedāḥ /	tayoH vyavacCeda arTam uBayoH upAdAnam / pramANAni iti OdArya paricCedAH /
   saṃkhyayāpīti gaṇanayāpi na kṣapayituṃ kṣayaṃ netum / syābhdagavannityādi	saMKyayA api iti gaNanayA api na kzapayitum kzayam netum / syABdagavan= ityAdi
   sugamam / adhikaṃ vacanaṃ adhivacanaṃ mukhyaṃ vācakamityarthaḥ / akṣayā	sugamam / aDikam vacanam aDivacanam muKyam vAcakam iti arTaH / akzayA
   apīti (RSt_121) ākāśavat / aprameyātāpītyākāśasyeva /	api iti (RSt _121) AkASa vat / aprameya AtApi iti AkASasya iva /
   akṣayāprameyaśūnyatānimittādīnāṃ abhilāpāḥ śabdāḥ / nanu śabdā api	akzaya aprameya SUnyatA nimitta AdInAm aBilApAH SabdAH / nanu SabdAH api
   vicatrāḥ kathamekārthe vyavacchedyabhedyaleśāditi bhāvaḥ / ata evāha	vicatrAH kaTam eka arTe vyavacCedya Bedya leSAt iti BAvaH / atas eva Aha
   deśanābhinirhāra eṣa iti / deśyate 'nayeti deśanā karuṇā tasyābhinirhāro	deSanA aBinirhAraH ezaH iti / deSyate anayA iti deSanA karuNA tasya aBinirhAraH 
   niḥṣyandaḥ sa cāsau nirdeśaśca / atra śāstram 	niHzyandaH sa ca asO nirdeSaH ca / atra SAstram 
   [114] asaṃkhyeyādinirdeśāḥ paramārthena na kṣamāḥ /	[114] asaMKyeya Adi nirdeSAH parama arTena na kzamAH /
   kṛpāniṣyandabhūtāste saṃvṛtyābhimatā mune // 4 55 //	kRpA nizyanda BUtAH te saMvRtya aBimatAH mune // 4 55 //
   'na kṣamā' iti na yuktāḥ / ityasaṃkhyeyādinirdeśe codyaparihārāḥ //	anaH kzamA a iti na yuktAH / iti asaMKyeya Adi nirdeSe codya parihArAH //
   subhūtihāha / āścaryamityādyapi tu khalvityataḥ prāk / avāggocaratvād	suBUti hAha / AScaryam ityAdi api tu Kalu iti atas prAk / avAc gocara tvAt 
   anabhilāpyāḥ / pāramitārthasyeti śūnyatālakṣaṇasya / atra śāstram 	anaBilApyAH / pAramitA arTasya iti SUnyatA lakzaNasya / atra SAstram 
   [115] hānivṛddhī na yujyete nirālāpasya vastunaḥ /	[115] hAni vRdDI na yujyete nirAlApasya vastunaH /
   bhāvanākhyena kiṃ hīnaṃ vartmanā kimudāgatam // 4 56 //	BAvanA AKyena kim hInam vartmanA kim udAgatam // 4 56 //
   ityanabhilāpyasya hānivṛddhyabhāvaḥ //	iti anaBilApyasya hAni vRdDi aBAvaH //
   kathaṃ tarhi bodhirityata āha / api tu khalvityādyāparivartasamāpteḥ / sa	kaTam tarhi boDiH iti atas Aha / api tu Kalu iti Adya aparivarta samApteH / sa
   dānaṃ dadattānmanasikārāṃstāṃścittotpāniti yairdānaṃ dadāti / tāni ca	dAnam dadattAn manasikArAn= tAn= citta utpAniti yEH dAnam dadAti / tAni ca
   kuśalamūlānīti yāni taiscittotpādaiḥ saṃprayuktāni / yathā bodhisthā	kuSala mUlAni iti yAni tEH citta utpAdEH saMprayuktAni / yaTA boDisTA
   pariṇāmayatīti / anyathā na sā pariṇāmanā bodhaye syāt / evamuttarāsvapi	pariNAmayati iti / anyaTA na sA pariNAmanAH boDaye syAt / evam uttarAsu api
   draṣṭavyam //	drazwavyam //
   yathānuttarā samyaksambodhirityuktam / ataḥ pṛcchati / atha khalvityādinā	yaTA anuttarA samyaksamboDiH iti uktam / atas pRcCati / aTa Kalu ityAdinA
   / bhagavānāha tathataiṣā subhūte 'nuttarā samyaksambodhirityādi /	/ BagavAn Aha taTatA ezA suBUte anuttarA samyaksamboDiH ityAdi /
   abhīkṣṇamiti punaḥ punaḥ / bahulamiti prabandhane / evaṃ	aBIkzNam iti punar punar / bahulam iti prabanDane / evam
   khalvityādinopasaṃhāraḥ / atra śāstram 	Kalu iti AdinA upasaMhAraH / atra SAstram 
   [116] yathā bodhistathaivāsāviṣṭasyāthaisya sādhakaḥ /	[116] yaTA boDiH taTA eva AsO= izwasya aTEsya sADakaH /
   tathatālakṣaṇā bodhiḥ sopi tallakṣaṇo mataḥ // 4 57 //	taTatA lakzaNAH boDiH sa upi tad lakzaNaH mataH // 4 57 //
   'asau' iti 'sopi' iti bhāvanāmārgaḥ //	aasO a iti asopia iti BAvanA mArgaH //
   śūnyatāpradhānaḥ parivartaḥ śūnyatāparivartaḥ //	SUnyatA praDAnaH parivartaH SUnyatA parivartaH //
   āryāṣṭasāhasrikāyāḥ prajñāpāramitāyāḥ sāratamānāmni pañjikāyāṃ	Arya azwa sAhasrikAyAH prajQApAramitAyAH sAratam AnAmni paQjikAyAm
   ratnākaraśāntiviracitāyāmaṣṭādaśaḥ parivartaḥ //	ratna Akara SAnti viracitAyAm azwAdaSaH parivartaH //
   (RSt_122)	(RSt _122)
   19. gaṅgadevābhaginīparivarto nāmekonaviṃśatitamaḥ /	19. gaFgadeva ABaginI parivartaH nAma IkonaviMSatitamaH /
   atha khalvityādi prāgevamuktāt / na pūrveṇa cittena bodhirna ca paścimena	aTa Kalu ityAdi prAk evam uktAt / na pUrveNa cittena boDiH na ca paScimena
   tayorasamavadhānāditi codyam //	tayoH asamavaDAnAt iti codyam //
   evamukta ityādi prāgevamuktāt / iyatā dīpadṛṣṭāntena parihāraḥ / atra	evam uktaH ityAdi prAk evam uktAt / iyatA dIpa dRzwAntena parihAraH / atra
   śāstram 	SAstram 
   [117] pūrveṇa bodhirno yuktā manasā paścimena vā /	[117] pUrveNa boDiH naH yuktAH manasA paScimena vA /
   iti codyam /	iti ca udyam /
   dīpadṛṣṭāntayogena	dIpa dRzwAnta yogena
   bodhiriti vartate / anena parihāraḥ //	boDiH iti vartate / anena parihAraH //
   atha śāstram 	aTa SAstram 
   gambhīrā dharmatāṣṭadhā // 4 58 //	gamBIrA DarmatA azwaDA // 4 58 //
   yā bodhiriti vartate / kevalāyā bodhestathataiva lakṣaṇamuktamaṣṭādaśe /	yA boDiH iti vartate / kevalAyAH boDeH taTatA eva lakzaNam uktam azwAdaSe /
   saparicchadāyāstu bodherlakṣaṇamaṣṭavidhaṃ gāmbhīryam / tatkathamaṣṭadhā?	sa paricCadAyAH tu boDeH lakzaNam azwaviDam gAmBIryam / tat kaTam azwaDA?
   [118] utpāde ca nirodhe ca tathatāyāṃ gabhīratā /	[118] utpAde ca niroDe ca taTatAyAm gaBIra tA /
   jñeye jñāne ca caryāyāmadvayopāyakauśale // 4 59 //	jQeye jQAne ca caryA AyAma dvaya upAya kOSale // 4 59 //
   'advayaṃ ca upāyakauśalyaṃ ca; iti samāhāradvandvaḥ / ata evamukta	aadvayam ca upAya kOSalyam ca; iti samAhAra dvandvaH / atas evam ukta
   ityādinā prāgevamuktādgāmbhīrya subhūtiḥ prastauti / anyatra tebhya iti	ityAdinA prAk evam uktAt gAmBIrya suBUtiH prastOti / anyatra teByaH iti
   vinā tebhyaḥ / evamukte bhagavānityādinā parijayaṃ	vinA teByaH / evam ukte BagavAn ityAdinA parijayam
   karotītyetadantenāṣṭavidhaṃ gāmbhīryamāha / yaccittamiti	karoti iti etat antena azwaviDam gAmBIryam Aha / yat cittam iti
   bhrāntamabhūtaparikalpātmakam / niruddhamiti santānakṣayāt kṣīṇam / no	BrAntam aBUta parikalpa Atmakam / nirudDam iti santAna kzayAt kzINam / no
   hīti naivetyarthaḥ / bhrāntikāraṇasya dvayābhiniveśasya kṣayāditi bhāvaḥ /	hi iti na eva iti arTaH / BrAnti kAraNasya dvaya aBiniveSasya kzayAt iti BAvaH /
   ityutpādagāmbhīryam //	iti utpAda gAmBIryam //
   yaccittamutpannamiti abhrāntam / bhrāntikṣayāccittādhīnatvācca	yat cittam utpannam iti aBrAntam / BrAnti kzayAt citta aDIna tvAt ca
   cittotpatteriti bhāvaḥ / nirodhadharmi bhagavanniti pratikṣaṇamiti bhāvaḥ	citta utpatteH iti BAvaH / niroDa Darmi Bagavan= iti pratikzaNam iti BAvaH
   / nirotsyata iti santānanirodheneti bhāvaḥ / no hīdamiti svarasata	/ nirotsyate iti santAna niroDena iti BAvaH / no hi idam iti svarasata
   utpatteḥ praṇidhānādibhiśca saviśeṣamakṣayīkṛtatvāditi bhāvaḥ / (RSt_123)	utpatteH praNiDAna AdiBiH ca sa viSezam akzayIkRta tvAt iti BAvaH / (RSt _123)
   yaccittamanutpannarmityutpādagāmbhīrye yaduktam yanna	yat cittam anutpannarmiti utpAda gAmBIrye yat uktam yat na
   nirodhadharmītyanantarameva yaduktaṃ yannirodhadharmītyasmiṃsteṣāṃ	niroDa DarmI iti anantaram eva yat uktam yat niroDa DarmI iti asmin= tezAm
   punaruktatā syāt / yaccittamiti yaccittasantānaḥ /	punarukta tA syAt / yat cittam iti yat citta santAnaH /
   anutpādānirodhadharmītyanādinidhanam yo dharma iti nirvāṇākhyaḥ /	anutpAda aniroDa DarmI iti anAdi niDanam yaH DarmaH iti nirvANa AKyaH /
   nirodhoniruddham / tatsvabhāvo 'syeti svabhāvaniruddhaḥ / dharmateti	niroDaH nirudDam / tad svaBAvaH asya iti svaBAva nirudDaH / Darma tA iti
   śūnyatā / iti nirodhagāmbhīryam /	SUnyatA / iti niroDa gAmBIryam /
   tathaiva sthāsyatīti yāvadākāśam / mā kuṭasthā bhūditi tathatāvat / no	taTA eva sTAsyati iti yAvat AkASam / mA kuwa sTA BUt iti taTatAvat / no
   hīdamiti pravāhanityatvāditi bhāvaḥ / gambhīrā tathateti samyagjñānādapi	hi idam iti pravAha nitya tvAt iti BAvaH / gamBIrA taTatA iti samyak jQAnAt api
   sūkṣmatvāditayatāgāmbhīryam //	sUkzma tvAdi tayata AgAmBIryam //
   tathatāyāṃ cittamiti tadveditvāttasyā ādheyam / no hīdamiti jñānābhdede	taTatAyAm cittam iti tad vedi tvAt tasyAH ADeyam / no hi idam iti jQAna ABdede
   vedyatvāyogāt / cittaṃ tathatetyekalakṣaṇāditi bhāvaḥ / anyattathatāyā	vedya tva ayogAt / cittam taTatA iti eka lakzaNAt iti BAvaH / anyat taTatAyA
   ilikṣaṇabhedādeva / no hīdamiti lakṣaṇabhedepi tādātmyāt /	ilikzaNa BedAt eva / no hi idam iti lakzaNa Bedepi tAdAtmyAt /
   tadevamagrāhyatvepi vedyā tathateti jñeyagāmbhīryam //	tat evam agrAhya tvepi vedyA taTatA iti jQeya gAmBIryam //
   samanupaśyasi tvamiti cittarūpam / no hītyagrāhyatvāt / tadeva grāhyamapi	samanupaSyasi tvam iti citta rUpam / naH hi iti agrAhya tvAt / tat eva grAhyam api
   cittaṃ vettīti jñānagāmbhīryam //	cittam vetti iti jQAna gAmBIryam //
   gambhīre caratīti prajñāpāramitārthe / samudācārā ālambananimittāni /	gamBIre carati iti prajQApAramitA arTe / samudAcArAH Alambana nimittAni /
   pravartante na bhavanti / na samudācaranti na prakhyāntīti caryāgāmbhīryam	pravartante na Bavanti / na samudAcaranti na praKyAnti iti caryA gAmBIryam
   nimitte caratīti dvayanimitte 'dvayanimitte vā / no hīti na dvayanimitte	nimitte carati iti dvaya nimitte advaya nimitte vA / no hi iti na dvaya nimitte
   nādvayanimitte / nimittamiti dvayādvayanimittam / avibhāvitamaprahīṇam /	na advaya nimitte / nimittam iti dvaya advaya nimittam / aviBAvitam aprahINam /
   no hīti nāprahīṇam / prahīṇamevetyarthaḥ / ityadvayagāmbhīryam //	no hi iti na aprahINam / prahINam eva iti arTaH / iti advaya gAmBIryam //
   api nviti kinnu / nimittaṃ vibhāvitaṃ bhavatītyapratipūrṇeṣu	api nu iti kinnu / nimittam viBAvitam Bavati iti apratipUrNezu
   sarvabuddhadharmeṣu iti bhāvaḥ / subhūtiruttaramāha / na sa	sarva budDa Darmezu iti BAvaH / suBUtiH uttaram Aha / na sa
   bhagavannityadinā / ihaiveti / asminneva janmani / kuta ityāha / sa	Bagavat nitya dinA / iha eva iti / asmin= eva janmani / kutas iti Aha / sa
   cedityādi / śrāvako bhavaediti na samyaksambuddhaḥ /	ced ityAdi / SrAvakaH Bavaet iti na samyaksambudDaH /
   etattadityādinopasaṃhāraḥ / yallakṣaṇaṃ yannimittamiti yaddharmanimittaṃ	etat tat ityAdinA upasaMhAraH / yat lakzaNam yat nimittam iti yat Darma nimittam
   yacca dharmatānimittaṃ tatsarvaṃ jānāti / parijayamabhyāsamātraṃ karoti /	yat ca DarmatA nimittam tat sarvam jAnAti / parijayam aByAsa mAtram karoti /
   ityupāyakauśalagāmbhīryam //	iti upAya kOSala gAmBIryam //
   tatrāṣṭamaṃ gāmbhīryaṃ viprakṛṣṭam / bodhe śeṣāṇi sannikṛṣṭānītyuktavidhaṃ	tatra azwamam gAmBIryam viprakRzwam / boDe SezANi sannikRzwAni iti ukta viDam
   gāmbhīryam / uktaśca 'śaikṣau'vaivartiko gaṇaḥ' //	gAmBIryam / uktaH ca aSEkzO avEvartikaH gaNaHa //
   (RSt_124)	(RSt _124)
   'samatā bhavaśāntyoḥ' vaktavyā / ataḥ śāstram 	asamatA Bava SAntyoH a vaktavyA / atas SAstram 
   [119] svapnopamatvāddharmāṇāṃ bhavaśāntyorakalpanā /	[119] svapna upama tvAt DarmANAm Bava SAntyoH akalpanA /
   eṣa saṃsāra etannirvāṇamiti bhedakalpanā / saṃsāranirvāṇayoḥ samatājñānaṃ	eza saMsAraH etat nirvANam iti Beda kalpanA / saMsAra nirvANayoH samatA jQAnam
   bhāvanāmārge / svapnopamānsarvadharmān paśyatastayorbhedakānupalambhāt /	BAvanA mArge / svapna upamAn sarva DarmAn paSyataH tayoH Bedaka an upalamBAt /
   nanvabhūtaparikalpaḥ saṃsāraḥ sa ca bhrāntimātraṃ bhrāntikṣayastu nirvāṇam	nanu aBUta parikalpaH saMsAraH sa ca BrAnti mAtram BrAnti kzayaH tu nirvANam
   / kadā tayoḥ samatājñānam? bhāvanāmārge saṃmukhībhūte	/ kadA tayoH sama tA jQAnam? BAvanA mArge saMmuKIBUte
   sarvadharmanairātmyasaṃvedanāditi cet / darśanamārgepyetadastīti	sarva Darma nErAtmya saMvedanAt iti ced / darSanam Argepyetat asti iti
   bhāvanāmārgasya ko 'tiśayaḥ? tasmāttato vyutthitasya samatājñānaṃ grāhyam	BAvanA mArgasya kaH atiSayaH? tasmAt tatas vyutTitasya samatA jQAnam grAhyam
   / taccāyuktam / vyutthitasya hi jñānaṃ bhrāntaṃ svapnopamatvāt svapnaḥ /	/ tat ca ayuktam / vyutTitasya hi jQAnam BrAntam svapna upama tvAt svapnaH /
   bhāvanāmārgastu samyagjñānaṃ divasopamatvāddivasaḥ / tatra kadā yuktaṃ	BAvanA mArgaH tu samyak jQAnam divasa upama tvAt divasaH / tatra kadA yuktam
   syāt? yadi daivasikādabhyāsātiśayāt, svapneti prajñāpāramitā vivardheta /	syAt? yadi dEvasikAdaByAsa atiSayAt, svapna iti prajQApAramitA vivarDeta /
   ataḥ sūtre 'tha khalvityādinā vivardhata ityetadantena praśnaḥ /	atas sUtre aTa Kalu ityAdinA vivarDate iti etad antena praSnaH /
   subhūtirāhetyādinā bhāvitavyontenottaram / avikalpa iti / vikalpo viśeṣaḥ	suBUtirAha ityAdinA BAvita vyontena uttaram / avikalpaH iti / vikalpaH viSezaH
   / avikalpo nirviśeṣaḥ / prajñāpāramitābhyāsata iti bhāvanāmārgābhyāsataḥ /	/ avikalpaH nirviSezaH / prajQApAramitA aByAsate iti BAvanA mArga aByAsataH /
   iti saṃsāranirvāṇasamatā //	iti saMsAra nirvANa sama tA //
   śāriputra āhetyādi / iha svapnaśabdena svapna evocyate / kṣayasaṃjñeti	SAriputraH Aha ityAdi / iha svapna Sabdena svapnaH eva ucyate / kzaya saMjQA iti
   kṣayo nirvāṇaṃ tasya saṃjñā udgrahaḥ / bhutārthakalpanaṃ kalpaḥ /	kzayaH nirvANam tasya saMjQA udgrahaH / Buta arTa kalpanam kalpaH /
   vitathakalpanaṃ vikalpaḥ / evameveti / ākāśavattathāgatavadvā / cittaṃ	vitaTa kalpanam vikalpaH / evam eva iti / AkASa vat taTAgata vat vA / cittam
   cetanā buddhirvikalpaḥ ityeko 'rthaḥ / viviktānīti niḥsvabhāvāni / viplutā	cetanA budDiH vikalpaH iti ekaH arTaH / viviktAni iti niHsvaBAvAni / viplutA
   hi buddhiravidyamānameva nimittīkṛtyārambaṇī karoti / cetanāpītyādi	hi budDiH avidyamAnam eva nimittIkRtya ArambaNI karoti / cetanA api ityAdi
   sugamam / kāyasākṣīti kāya āśrayaḥ / tatparāvṛttyā kāyena sākṣātkārī	sugamam / kAya sAkzI iti kAyaH ASrayaH / tad parAvRttyA kAyena sAkzAtkArI
   kāyasākṣī enamarthamityetaccodyaṃ visarjayiṣyatīti parihariṣyati / ajito	kAya sAkzI enam arTam iti etat ca udyam visarjayizyati iti pariharizyati / ajitaH 
   maitreya iti paryāyau / yo dharmo visarjayediti maitreyaḥ / visarjayitavya	mEtreyaH iti paryAyO / yaH DarmaH visarjayet iti mEtreyaH / visarjayitavya
   iti praśnaḥ / yena dharmeṇeti vācā / yasya dharmasyeti śāriputrasya /	iti praSnaH / yena DarmeNa iti vAcA / yasya Darmasya iti SAriputrasya /
   utpitsuḥ trāsa uttrāsaḥ / saṃbhūtastrāsaḥ santrāsaḥ / tasya pravāhaḥ	utpitsuH trAsaH uttrAsaH / saMBUtaH trAsaH santrAsaH / tasya pravAhaH
   santrāsāpattiḥ / balādhānaṃ bhāvanā balavāsanā / atra śāstram 	santrAsa ApattiH / bala ADAnam BAvanA bala vAsanA / atra SAstram 
   karmābhāvādicodyānāṃ parihārā yathoditāḥ // 4 60 //	karma aBAva Adi codyAnAm parihArAH yaTA uditAH // 4 60 //
   iti saṃsāranirvāṇasamatāyāṃ codyaparihārāḥ //	iti saMsAra nirvANa sama tAyAm codya parihArAH //
   'kṛtiśuddhiranuttarā' vaktavyā / ataḥ śāstram 	akRti SudDiH anuttarA a vaktavyA / atas SAstram 
   [120] sattvalokasya yāśuddhistasyāḥ śuddhayupahārataḥ /	[120] sattva lokasya yA aSudDiH tasyAH SudDayupahArataH /
   tathā bhājanalokasya buddhakṣetrasya śuddhatā // 4 61 //	taTA BAjana lokasya budDa kzetrasya SudDa tA // 4 61 //
   (RSt_125)	(RSt _125)
   ekadā yatraika eva buddho jāyate tadbuddhakṣetram / tasya śuddhatā	ekadA yatra ekaH eva budDaH jAyate tat budDa kzetram / tasya SudDa tA
   pariśuddhiḥ / sā kuto bhavati? 'sattvalokasya' dṛśyate 'yāśuddhiḥ'	pariSudDiH / sA kutas Bavati? asattva lokasya a dRSyate ayASudDiH a
   vyāḍakāntārāditā / tasyāḥ svabuddhakṣetrapariśuddhādupasaṃhārāt / mama	vyAxa ka antAra AditA / tasyAH sva budDa kzetra pariSudDAt upasaMhArAt / mama
   buddhakṣetre sarvathaivaṃ mā bhūditi / eṣā vistareṇa mahatyoruktā / iha tu	budDa kzetre sarvaTA evam mA BUt iti / ezA vistareNa mahatyoH uktAH / iha tu
   saṃkṣepataḥ / punaraparamityādinā atha khalu tatretyataḥ prāk /	saMkzepataH / punar aparam ityAdinA aTa Kalu tatra iti atas prAk /
   uttrāsādiniṣedha ukto vaktavyaśca tadapekṣayā punaraparaśabdāḥ / durgatā	uttrAsa Adi nizeDaH uktaH vaktavyaH ca tad apekzayA punar apara SabdAH / durgatA
   bhūmiḥ kāntāram / vyāḍaiḥ kāntāraṃ vyāḍakāntāram pānīyavarjitakāntāraṃ	BUmiH kAntAram / vyAxEH kAntAram vyAxa ka antAram pAnIya varjita kAntAram
   pānīyakāntāram / yadicecchabdo yadyarthe / divyopabhogetyādi /	pAnIya kAntAram / yadiced SabdaH yadi arTe / divya upaBoga ityAdi /
   samabuddhakṣetrasattvā iti vartate / rudhirādyāhāravyudāsāya caitaduktam /	sama budDa kzetra sattvAH iti vartate / ruDira Adi AhAra vyudAsAya ca etat uktam /
   sarvasvaparityāga eva kuśalam / yadeteṣāṃ loka iti bhājanaloke	sarva sva parityAgaH eva kuSalam / yat etezAm lokaH iti BAjana loke
