   atha gauḍapādīyakārikāḥ	aTa gOxapAdIya-kArikAH
   ubhe hy anyoanyadṛśye te kiṃ tad astīti cocyate /	uBe hi anyoanya-dRSye te kim tat asti-iti ca-ucyate /
   lakṣaṇāśūnyam ubhayaṃ tanmatenaiva gṛhyate // 4.67 //	lakzaNa-aSUnyam uBayam tat-matena-eva gRhyate // 4.67 //
   yathā svapnamayo jīvo jāyate mriyate 'pi ca /	yaTA svapna-mayaH jIvaH jAyate mriyate api ca /
   tathā jīvā amī sarve bhavanti na bhavanti ca // 4.68 //	taTA jIvAH amI sarve Bavanti na Bavanti ca // 4.68 //
   yathā māyāmayo jīvo jāyate mriyate 'pi ca /	yaTA mAyA-mayaH jIvaH jAyate mriyate api ca /
   tathā jīvā amī sarve bhavanti na bhavanti ca // 4.69 //	taTA jIvAH amI sarve Bavanti na Bavanti ca // 4.69 //
   yathā nirmitako jīvo jāyate mriyate 'pi ca /	yaTA nirmitakaH jIvaH jAyate mriyate api ca /
   tathā jīvā amī sarve bhavanti na bhavanti ca // 4.70 //	taTA jIvAH amI sarve Bavanti na Bavanti ca // 4.70 //
   na kaścij jāyate jīvaḥ saṃbhavo 'sya na vidyate /	na kaScid jAyate jIvaH saMBavaH asya na vidyate /
   etat tad uttamaṃ satyaṃ yatra kiṃcin na jāyate // 4.71 //	etat tat uttamam satyam yatra kiMcid na jAyate // 4.71 //
   cittaspanditam evedaṃ grāhyagrāhakavad dvayam /	citta-spanditam eva-idam grAhya-grAhaka-vat dvayam /
   cittaṃ nirviṣayaṃ nityam asaṅgaṃ tena kīrtitam // 4.72 //	cittam nirvizayam nityam asaFgam tena kIrtitam // 4.72 //
   yo 'sti kalpitasaṃvṛtyā paramārthena nāsty asau /	yaH asti kalpita-saMvRtyA parama-arTena na-asti asO /
   (paratantrābhisaṃvṛtyā [B:]paratantro 'bhisaṃvṛtyā) syān nāsti	(paratantra-aBisaMvRtyAH [B:]paratantraH aBisaMvRtyA) syAt na-asti
   paramārthataḥ // 4.73 //	paramArTataH // 4.73 //
   ajaḥ kalpitasaṃvṛtyā paramārthena nāpy ajaḥ /	ajaH kalpita-saMvRtyA parama-arTena na-api ajaH /
   (paratantrābhiniṣpattyā [B:]paratantro 'bhiniṣpattyā) saṃvṛtyā jāyate tu	(paratantra-aBinizpattyA [B:]paratantraH aBinizpattyA) saMvRtyA jAyate tu
   saḥ // 4.74 //	saH // 4.74 //
   abhūtābhiniveśo 'sti dvayaṃ tatra na vidyate /	aBUta-aBiniveSaH asti dvayam tatra na vidyate /
   dvayābhāvaṃ sa buddhvaiva nirnimitto na jāyate // 4.75 //	dvaya-aBAvam sa budDvA-eva nirnimittaH na jAyate // 4.75 //
   yadā na labhate hetūn uttamādhamamadhyamān /	yadA na laBate hetUn uttama-aDama-maDyamAn /
   tadā na jāyate cittaṃ hetvabhāve phalaṃ kutaḥ // 4.76 //	tadA na jAyate cittam hetu-aBAve Palam kutas // 4.76 //
   animittasya cittasya yānutpattiḥ samādvayā /	animittasya cittasya yA-an-utpattiH samA-dvayAH /
   ajātasyaiva sarvasya cittadṛśyaṃ hi tad yataḥ // 4.77 //	ajAtasya-eva sarvasya citta-dRSyam hi tat yatas // 4.77 //
   buddhvānimittatāṃ satyāṃ hetuṃ pṛthag an(āpnuvan [B:]āpnuvat) /	budDvA-nimitta-tAm satyAm hetum pRTak an(Apnuvan [B:]Apnuvat) /
   vītaśokaṃ (tathā[B:]tadā)kāmam abhayaṃ padam aśnute // 4.78 //	vIta-Sokam (taTA-a[B:]ta-dA)-kAmam aBayam padam aSnute // 4.78 //
   abhūtābhiniveśād dhi sadṛśe tat pravartate /	aBUta-aBiniveSAt Di sadRSe tat pravartate /
   vastvabhāvaṃ sa buddhvaiva niḥsaṅgaṃ vinivartate // 4.79 //	vastu-aBAvam sa budDvA-eva niHsaFgam vinivartate // 4.79 //
   nivṛttasyāpravṛttasya niścalā hi tadā sthitiḥ /	nivRttasya-apravRttasya niScalA hi tadA sTitiH /
   viṣayaḥ sa hi buddhānāṃ tat sāmyam ajam advayam // 4.80 //	vizayaH sa hi budDAnAm tat sAmyam ajam advayam // 4.80 //
   ajam anidram asvapnaṃ prabhātaṃ bhavati svayam /	ajam anidram asvapnam praBAtam Bavati svayam /
   sakṛdvibhāto hy evaiṣa dharmo (dhātusvabhāvataḥ [B:]dhātuḥ svabhāvataḥ) //	sakRt-viBAtaH hi eva-eza DarmaH (DAtu-svaBAvataH [B:]DAtuH svaBAvataH) //
   sukham āvriyate nityaṃ duḥkhaṃ vivriyate sadā /	suKam Avriyate nityam duHKam vivriyate sadA /
   yasya kasya ca dharmasya graheṇa bhagavān asau // 4.82 //	yasya kasya ca Darmasya graheNa BagavAn asO // 4.82 //
   asti nāsty asti nāstīti nāsti nāstīti vā punaḥ /	asti na-asti asti na-asti-iti na-asti na-asti-iti vA punar /
   calasthirobhayābhāvair āvṛṇoty eva bāliśaḥ // 4.83 //	cala-sTira-uBaya-aBAvEH AvRNoti eva bAliSaH // 4.83 //
   koṭyaś catasra etās tu grahair yāsāṃ (sadāvṛtaḥ [K:]sahāvṛtaḥ) /	kowyaH catasraH etAH tu grahEH yAsAm (sat-AvRtaH [K:]-saha-AvRtaH) /
   bhagavān ābhir aspṛṣṭo yena dṛṣṭaḥ sa sarvadṛk // 4.84 //	BagavAn ABiH aspRzwaH yena dRzwaH sa sarva-dRS // 4.84 //
   prāpya sarvajñatāṃ kṛtsnāṃ brāhmaṇyaṃ padam advayam /	prApya sarvajQa-tAm kRtsnAm brAhmaNyam padam advayam /
   anāpannādimadhyāntaṃ kim ataḥ param īhate // 4.85 //	anApanna-Adi-maDya-antam kim atas param Ihate // 4.85 //
   viprāṇāṃ vinayo hy eṣa śamaḥ prākṛta ucyate /	viprANAm vinayaH hi eza SamaH prAkRtaH ucyate /
   damaḥ prakṛtidāntatvād evaṃ vidvāñ śamaṃ vrajet // 4.86 //	damaH prakRti-dAnta-tvAt evam vidvAn Samam vrajet // 4.86 //
   savastu sopalambhaṃ ca dvayaṃ laukikam iṣyate /	sa-vastu sa-upalamBam ca dvayam lOkikam izyate /
   avastu sopalambhaṃ ca śuddhaṃ laukikam iṣyate // 4.87 //	avastu sa-upalamBam ca SudDam lOkikam izyate // 4.87 //
   avastv anupalambhaṃ ca lokottaram iti smṛtam /	avastu anupalamBam ca lokottaram iti smRtam /
   jñānaṃ jñeyaṃ ca vijñeyaṃ sadā buddhaiḥ prakīrtitam // 4.88 //	jQAnam jQeyam ca vijQeyam sadA budDEH prakIrtitam // 4.88 //
   jñāne ca trividhe jñeye krameṇa vidite svayam /	jQAne ca triviDe jQeye krameNa vidite svayam /
   sarvajñatā hi sarvatra bhavatīha mahādhiyaḥ // 4.89 //	sarvajQa-tA hi sarvatra Bavati-iha mahA-ADiyaH // 4.89 //
   heyajñeyāpyapākyāni vijñeyāny agra(yāṇataḥ [B:]yānataḥ) /	heya-jQeyApya-pAkyAni vijQeyAni agra(yANataH [B:]yAnataH) /
   teṣām anyatra vijñeyād upalambhas triṣu smṛtaḥ // 4.90 //	tezAm anyatra vijQeyAt upalamBaH trizu smRtaH // 4.90 //
   prakṛtyākāśavaj jñeyāḥ sarve dharmā anādayaḥ /	prakRti-AkASa-vat jQeyAH sarve DarmAH anAdayaH /
   vidyate na hi nānātvaṃ teṣāṃ kvacana kiṃcana // 4.91 //	vidyate na hi nAnAtvam tezAm kvacana kiMcana // 4.91 //
   ādibuddhāḥ prakṛtyaiva sarve dharmāḥ suniścitāḥ /	Adi-budDAH prakRtyA-eva sarve DarmAH su-niScitAH /
   yasyaivaṃ bhavati kṣāntiḥ so 'mṛtatvāya kalpate // 4.92 //	yasya-evam Bavati kzAntiH saH amRta-tvAya kalpate // 4.92 //
   ādiśāntā hy anutpannāḥ prakṛtyaiva sunirvṛtāḥ /	Adi-SAntAH hi anutpannAH prakRtyA-eva su-nirvRtAH /
   sarve dharmāḥ samābhinnā ajaṃ sāmyaṃ viśāradam // 4.93 //	sarve DarmAH samABinnAH ajam sAmyam viSAradam // 4.93 //
   vaiśāradyaṃ tu vai nāsti bhede vicaratāṃ sadā /	vESAradyam tu vE na-asti Bede vicaratAm sadA /
   bhedanimnāḥ pṛthagvādās tasmāt te kṛpaṇāḥ smṛtāḥ // 4.94 //	Beda-nimnAH pRTak-vAdAH tasmAt te kRpaNAH smRtAH // 4.94 //
   aje sāmye tu ye kecid bhaviṣyanti suniścitāḥ /	aje sAmye tu ye kecid Bavizyanti su-niScitAH /
   te hi loke mahājñānās tac ca loko na gāhate // 4.95 //	te hi loke mahA-jQAnAH tat ca lokaH na gAhate // 4.95 //
   ajeṣv ajam asaṃkrāntaṃ dharmeṣu jñānam iṣyate /	ajezu ajam asaMkrAntam Darmezu jQAnam izyate /
   yato na kramate jñānam asaṅgaṃ tena kīrtitam // 4.96 //	yatas na kramate jQAnam asaFgam tena kIrtitam // 4.96 //
   aṇumātre 'pi vaidharmye jāyamāne 'vipaścitaḥ /	aNu-mAtre api vEDarmye jAyamAne avipaScitaH /
   asaṅgatā sadā nāsti kim utāvaraṇacyutiḥ // 4.97 //	asaFga-tA sadA na-asti kim uta-AvaraNa-cyutiH // 4.97 //
   alabdhāvaraṇāḥ sarve dharmāḥ prakṛtinirmalāḥ /	alabDa-AvaraNAH sarve DarmAH prakRti-nirmalAH /
   ādau buddhās tathā muktā budhyante iti nāyakāḥ // 4.98 //	AdO budDAH taTA muktAH buDyante iti nAyakAH // 4.98 //
   kramate na hi buddhasya jñānaṃ dharmeṣu (tāpinaḥ ([B,K:]tāyinaḥ) /	kramate na hi budDasya jQAnam Darmezu (tApinaH ([B,K:]tAyinaH) /
   (sarve dharmās [B:]sarvadharmās) tathā jñānaṃ naitad buddhena bhāṣitam //	(sarve DarmAH [B:]-sarva-DarmAs) taTA jQAnam na-etat budDena BAzitam //
   durdarśam atigambhīram ajaṃ sāmyaṃ viśāradam /	durdarSam ati-gamBIram ajam sAmyam viSAradam /
   buddhvā padam anānātvaṃ namas kurmo yathābalam // 4.100 //	budDvA padam anAnAtvam namaH kurmaH yaTAbalam // 4.100 //
   [col: iti (gauḍapādācāryakṛtā māṇḍūkyopaniṣadkārikāḥ saṃpūrṇāḥ	[col: iti (gOxa-pAda-AcArya-kRtAH mANxUkya-upanizad-kArikAH saMpUrNAH
   [B:]gauḍapādīye āgamaśāstre	[B:]-gOxapAdIye Agama-SAstre
   'lātaśāntyākhyaṃ caturthaṃ prakaraṇaṃ samāptam) :col]	alAta-SAnti-AKyam caturTam prakaraNam samAptam) :col]
