   agre māhiṣakaṃ dṛṣṭvā YS182v_3.16a	agre mAhizakam dRzwvA YS182u-_3.16a
   yad dehakaṃ kākabalākacillām- YS182v_3.61a	yat dehakam kAka-balA-kacillAm YS182u-_3.61a
   yan na kārayate tat tan YS182v_3.56a	yat na kArayate tat tan YS182u-_3.56a
   yamaḥ prāha yathā tatham YS182v_4.19d	yamaH prAha yaTA taTam YS182u-_4.19d
   yaś cā ''tmānaṃ nivedayet YS182v_3.10d	yaH cA aatmAnam nivedayet YS182u-_3.10d
   yaṣṭyā tu ghātite caiva YS182v_4.1c	yazwyA tu GAtite ca-eva YS182u-_4.1c
   yaṣṭyā tu patitā yā gaur YS182v_4.4a	yazwyA tu patitAH yAH gOH YS182u-_4.4a
   yas tāṃ vivāhayet kanyāṃ YS182v_3.19a	yaH tAm vivAhayet kanyAm YS182u-_3.19a
   yas toyaṃ pibati dvijaḥ YS182v_1.9b	yaH toyam pibati dvijaH YS182u-_1.9b
   ''yaṃ gauriti vā ṛcaḥ[cā] YS182v_3.58b	aayam gOH-iti vE RcaH[cA] YS182u-_3.58b
   yaḥ karoty ekarātreṇa YS182v_3.12a	yaH karoti eka-rAtreNa YS182u-_3.12a
   yācako viṣayātmakaḥ YS182v_3.36b	yAcakaH vizaya-AtmakaH YS182u-_3.36b
   yāvato grasate grāsān YS182v_3.29a	yAvataH grasate grAsAn YS182u-_3.29a
   yāvad ābhūtasaṃplavam YS182v_4.6d	yAvat ABUtasaMplavam YS182u-_4.6d
   yāvad ābhūtasaṃplavam YS182v_4.61d	yAvat ABUtasaMplavam YS182u-_4.61d
   yāvad uṣṇaṃ bhaved annaṃ YS182v_3.27a	yAvat uzNam Bavet annam YS182u-_3.27a
   yāvad ekaḥ pṛthag bhāvyaḥ YS182v_2.8a	yAvat ekaH pRTak BAvyaH YS182u-_2.8a
   yāvad dvijā na cārcyante YS182v_3.59c	yAvat dvijAH na ca-arcyante YS182u-_3.59c
   yāvad bhuñjanti vāgyatāḥ YS182v_3.27b	yAvat BuQjanti vAgyatAH YS182u-_3.27b
   yāvan noktā havirguṇāḥ YS182v_3.27d	yAvat na-uktAH haviH-guNAH YS182u-_3.27d
   ye ca ātmahano janāḥ YS182v_4.31b	ye ca Atma-hanaH janAH YS182u-_4.31b
   ye ca saṃkīrṇayonayaḥ YS182v_1.14b	ye ca saMkIrNa-yonayaH YS182u-_1.14b
   ye ca strīsūtake mṛtāḥ YS182v_4.30d	ye ca strI-sUtake mRtAH YS182u-_4.30d
   ye 'py adhogatim āgatāḥ YS182v_4.33b	ye api aDogatim AgatAH YS182u-_4.33b
   ye bhuñjanty abudhā dvijāḥ YS182v_3.11b	ye BuQjanti abuDAH dvijAH YS182u-_3.11b
   ye śāmaśabalācyutāḥ YS182v_1.5b	ye SAmaSabala-acyutAH YS182u-_1.5b
   yojanīyaṃ[yettu] prayatnataḥ YS182v_3.40d	yojanIyaM[yet-tu] prayatnataH YS182u-_3.40d
   yojanīyaḥ prayatnena YS182v_3.43c	yojanIyaH prayatnena YS182u-_3.43c
   yonisaṃkarajaṃ sarvaṃ YS182v_5.2c	yoni-saMkara-jam sarvam YS182u-_5.2c
   raktavastrasya vikretā YS182v_3.52a	rakta-vastrasya vikretA YS182u-_3.52a
   rajakīṃ veṇujīvinīm YS182v_2.1b	rajakIm veNu-jIvinIm YS182u-_2.1b
   rajasvalāṃ spṛśed yas tu YS182v_3.50a	rajasvalAm spRSet yaH tu YS182u-_3.50a
   rajaḥ paśyati yā nārī YS182v_3.57a	rajaH paSyati yA nArI YS182u-_3.57a
   rākṣasair vipralupyati YS182v_3.32d	rAkzasEH vipralupyati YS182u-_3.32d
   rājadaṇḍo na tasyāsti YS182v_3.2c	rAja-daNxaH na tasya-asti YS182u-_3.2c
   rājapratigrahāt sarvaṃ YS182v_4.58a	rAja-pratigrahAt sarvam YS182u-_4.58a
   rājñaḥ pratigrahāc caiva YS182v_4.59c	rAjQaH pratigrahAt ca-eva YS182u-_4.59c
   rājñāṃ pratigrahas tyājyo YS182v_4.59a	rAjQAm pratigrahaH tyAjyaH YS182u-_4.59a
   rājñāṃ sukṛtanāmabhiḥ YS182v_4.61b	rAjQAm su-kRta-nAmaBiH YS182u-_4.61b
   rājñīm ācāryaśiṣyāṃ vā YS182v_3.5a	rAjQIm AcArya-SizyAm vA YS182u-_3.5a
   rātrau nakṣatradarśanāt YS182v_3.70b	rAtrO nakzatra-darSanAt YS182u-_3.70b
   retomūtrapurīṣāṇāṃ YS182v_3.62c	retaH-mUtra-purIzANAm YS182u-_3.62c
   rogī hīnātiriktāṅgaḥ YS182v_3.34c	rogI hIna-atirikta-aFgaH YS182u-_3.34c
   rodhane bandhane caiva YS182v_4.9a	roDane banDane ca-eva YS182u-_4.9a
   lākṣārajakameva ca YS182v_3.52b	lAkzA-rajakam-eva ca YS182u-_3.52b
   lehitaṃ vartitaṃ caiva YS182v_3.33c	lehitam vartitam ca-eva YS182u-_3.33c
   lokatrayajigīṣubhiḥ YS182v_4.59b	lokatraya-jigIzuBiH YS182u-_4.59b
   lolupā vedavarjitāḥ YS182v_4.55d	lolupAH veda-varjitAH YS182u-_4.55d
   vaktavyaṃ śobhanaṃ haviḥ YS182v_3.28d	vaktavyam SoBanam haviH YS182u-_3.28d
   vacanād bhavate[ti] kṣamaḥ YS182v_5.11b	vacanAt BavatA-i[ti] kzamaH YS182u-_5.11b
   vacasoddālakasya ca YS182v_5.20b	vacasA-uddAlakasya ca YS182u-_5.20b
   vatso vatsataro vā 'pi YS182v_4.4c	vatsaH vatsataraH vA api YS182u-_4.4c
   vane ca patitā yā gauḥ YS182v_4.12a	vane ca patitA yAH gOH YS182u-_4.12a
   varjanīyāḥ prayatnataḥ YS182v_3.37b	varjanIyAH prayatnataH YS182u-_3.37b
   varjitaṃ ca yamaḥ prāha YS182v_3.41c	varjitam ca yamaH prAha YS182u-_3.41c
   varṇataś cāpi sarvaśaḥ YS182v_5.2d	varNataH ca-api sarvaSas YS182u-_5.2d
   varṇādīnāṃ yathā kramam YS182v_5.1d	varNa-AdInAm yaTA kramam YS182u-_5.1d
   varṇijātyeṣv anukramāt YS182v_5.3b	varNi-jAtyezu anukramAt YS182u-_5.3b
   vastrasyārdham adhaḥ kṛtam YS182v_3.31b	vastrasya-arDam aDas kRtam YS182u-_3.31b
   vidyāt apobhyāṃ saṃyuktaḥ YS182v_4.53c	vidyAt apoByAm saMyuktaH YS182u-_4.53c
   vidyāvinayasaṃpannaḥ YS182v_3.42c	vidyA-vinaya-saMpannaH YS182u-_3.42c
   vidhav āgamane pāpaṃ YS182v_4.43a	viDau Agamane pApam YS182u-_4.43a
   vidhavā caiva yā nārī YS182v_4.39a	viDavA ca-eva yA nArI YS182u-_4.39a
   vidhiṃ prabrūhi no yama YS182v_4.18b	viDim prabrUhi naH yamaH YS182u-_4.18b
   vinā śākhāprabhedena YS182v_4.45c	vinA SAKA-praBedena YS182u-_4.45c
   vipule ca jale snātvā YS182v_3.57c	vipule ca jale snAtvA YS182u-_3.57c
   viprakṣattriyaviṭśūdrā- YS182v_5.3a	vipra-kzattriya-viS-SUdrA YS182u-_5.3a
   viprasyaiva caturguṇam YS182v_4.14b	viprasya-eva caturguNam YS182u-_4.14b
   vipraḥ spṛṣṭo niśāyāṃ tū- YS182v_3.69a	vipraH spRzwaH niSAyAm tU YS182u-_3.69a
   viprās te nātra saṃśayaḥ YS182v_4.54d	viprAH te na-atra saMSayaH YS182u-_4.54d
   vipreṇa cānnavarjitam YS182v_3.45b	vipreNa ca-anna-varjitam YS182u-_3.45b
   vibhāgasya vinirṇayaḥ YS182v_5.21b	viBAgasya vinirNayaH YS182u-_5.21b
   vivāhotsavayajñeṣu YS182v_3.56c	vivAha-utsava-yajQezu YS182u-_3.56c
   viṣaprapannagātrāś ca YS182v_1.3c	viza-prapanna-gAtrAH ca YS182u-_1.3c
   vṛṣalīgamanaṃ caiva YS182v_3.14a	vRzalI-gamanam ca-eva YS182u-_3.14a
   vṛṣalīphenapītasya YS182v_3.15a	vRzalI-Pena-pItasya YS182u-_3.15a
   vṛṣalīsevanaṃ dvijaḥ YS182v_3.12b	vRzalI-sevanam dvijaH YS182u-_3.12b
   vṛṣalīṃ yas tu gṛhṇāti YS182v_3.13a	vRzalIm yaH tu gRhNAti YS182u-_3.13a
   veṇujīvanakaivarta- YS182v_3.52c	veNu-jIvana-kEvarta YS182u-_3.52c
   vedavedāṅgapāragaḥ YS182v_5.4b	veda-vedAFga-pAragaH YS182u-_5.4b
   vedācārarato vipro YS182v_5.4a	veda-AcAra-rataH vipraH YS182u-_5.4a
   vedāntavijjyeṣṭhasāmā YS182v_3.43a	vedAnta-vid-jyezWa-sAmA YS182u-_3.43a
   vaidikaṃ ca tathā sarvaṃ YS182v_5.15a	vEdikam ca taTA sarvam YS182u-_5.15a
   vaiśyasya dviguṇaṃ bhavet YS182v_4.13d	vESyasya dviguNam Bavet YS182u-_4.13d
   vaiśyāyā gamane śūdraḥ YS182v_4.47c	vESyAyAH gamane SUdraH YS182u-_4.47c
   vaiśvadevādikaṃ ca yat YS182v_5.15d	vESvadeva-Adikam ca yat YS182u-_5.15d
   vaiṣṇavo jñānavān hi saḥ YS182v_3.39b	vEzNavaH jQAnavAn hi saH YS182u-_3.39b
   vyabhicārād ṛtau śuddhiḥ YS182v_4.36a	vyaBicArAt RtO SudDiH YS182u-_4.36a
   vrataṃ saṃpūrṇatāṃ vrajet YS182v_4.21d	vratam saMpUrNa-tAm vrajet YS182u-_4.21d
   śakaṭe dhā[vā]ripaṅkayoḥ YS182v_4.10b	Sakawe DA[va-a]ri-paFkayoH YS182u-_4.10b
   śaktyā dadyāt tu dakṣiṇām YS182v_1.7d	SaktyA dadyAt tu dakziNAm YS182u-_1.7d
   śarīre yasya jīryati YS182v_1.10b	SarIre yasya jIryati YS182u-_1.10b
   śastraghātena caiva hi YS182v_4.3d	Sastra-GAtena ca-eva hi YS182u-_4.3d
   śastrāghātahatāś ca ye YS182v_1.3d	Sastra-AGAta-hatAH ca ye YS182u-_1.3d
   śāntaḥ śucir alampaṭaḥ YS182v_4.53d	SAntaH SuciH alampawaH YS182u-_4.53d
   śārīraiḥ paṅktidūṣanaiḥ YS182v_3.41b	SArIrEH paFkti-dUzanEH YS182u-_3.41b
   śiromuṇḍāpanaṃ smṛtam YS182v_4.17d	SiromuNxApanam smRtam YS182u-_4.17d
   śiṣyaś caiva tathaurasaḥ YS182v_5.18d	SizyaH ca-eva taTA-OrasaH YS182u-_5.18d
   śukrakṣayakarā vandhyā YS182v_3.24a	Sukra-kzaya-karAH vanDyAH YS182u-_3.24a
   śuklavāsās tv alaṅkṛtā YS182v_3.57d	Sukla-vAsAH tu alaFkRtAH YS182u-_3.57d
   śukle kṛṣṇe ca hrāsayet YS182v_2.6b	Sukle kRzNe ca hrAsayet YS182u-_2.6b
   śuddhyarthaṃ nānyathā bhāvyam YS182v_4.32c	SudDi-arTam na-anyaTA BAvyam YS182u-_4.32c
   śudhyate ca payovratāt YS182v_1.15d	SuDyate ca payaH-vratAt YS182u-_1.15d
   śunā śūdreṇa vā dvijaḥ YS182v_3.44b	SunA SUdreNa vA dvijaH YS182u-_3.44b
   śūdraṃ cāpy anulomajam YS182v_2.4b	SUdram ca-api anuloma-jam YS182u-_2.4b
   śūdrānāṃ cāntyajātinām YS182v_4.34b	SUdrAnAm ca-antya-jAtinAm YS182u-_4.34b
   śūdreṇa tu yadā dvijaḥ YS182v_3.47d	SUdreNa tu yadA dvijaH YS182u-_3.47d
   śūdro vā 'pi yathā kramāt YS182v_4.42d	SUdraH vA api yaTA kramAt YS182u-_4.42d
   śṛṇudhvaṃ munipuṅgavāḥ YS182v_5.1b	SRNuDvam muni-puFgavAH YS182u-_5.1b
   śyāvadanto 'tha vaidyaś ca YS182v_3.36c	SyAva-dantaH aTa vEdyaH ca YS182u-_3.36c
   śrāddhakāle yadā jātā YS182v_5.7a	SrAdDa-kAle yadA jAtAH YS182u-_5.7a
   śrāddhaṃ dānaṃ tapo yajño YS182v_4.22a	SrAdDam dAnam tapaH yajQaH YS182u-_4.22a
   śrāddhādikām tu putreṇa YS182v_5.10a	SrAdDa-AdikAm tu putreNa YS182u-_5.10a
   śrāddhe yajñe ca karmaṇi YS182v_3.40b	SrAdDe yajQe ca karmaNi YS182u-_3.40b
   śrāddhe yajñe ca garhitaḥ YS182v_4.46d	SrAdDe yajQe ca garhitaH YS182u-_4.46d
   śrutaśabdena caiva hi YS182v_3.51b	Sruta-Sabdena ca-eva hi YS182u-_3.51b
   śrutaṃ ca pi([tavānpi])taraṃ mṛtam YS182v_5.10d	Srutam ca pi([tavAn-pi])taram mRtam YS182u-_5.10d
   śrotriyo brahmavidyuvā YS182v_3.42b	SrotriyaH brahma-vid-yuvA YS182u-_3.42b
   śrotre mukhe vā parimastake vā YS182v_3.61c	Srotre muKe vA parimastake vA YS182u-_3.61c
   śvanadyām uttare 'pi vā YS182v_4.10d	Sva-nadyAm uttare api vA YS182u-_4.10d
   śvaśrūṃ pitṛṣvasāraṃ ca YS182v_3.4c	SvaSrUm pitRzvasAram ca YS182u-_3.4c
   śvānakukkuṭamārjārāḥ YS182v_3.48c	SvAna-kukkuwa-mArjArAH YS182u-_3.48c
   śvitrī kuṣṭḥī tathā śūlī YS182v_3.34a	SvitrI kuzwHI taTA SUlI YS182u-_3.34a
   ṣaḍabdaṃ caiva saṃsmṛtam YS182v_4.24b	zaxabdam ca-eva saMsmRtam YS182u-_4.24b
   ṣaḍ ete paṅktidūṣakāḥ YS182v_3.33d	zaw ete paFkti-dUzakAH YS182u-_3.33d
   ṣaḍrātreṇa viśudhyati YS182v_1.8d	zaz-rAtreNa viSuDyati YS182u-_1.8d
   ṣaḍrātropoṣitaḥ snātvā YS182v_3.54c	zaz-rAtra-upozitaH snAtvA YS182u-_3.54c
   ṣaṇmāsaṃ kṛcchram ācaret YS182v_3.5d	zaz-mAsam kRcCram Acaret YS182u-_3.5d
   ṣaṇmāsaṃ kṛcchram ācaret YS182v_3.6d	zaz-mAsam kRcCram Acaret YS182u-_3.6d
   sakāmo hi yadā vipraḥ YS182v_4.41c	sa-kAmaH hi yadA vipraH YS182u-_4.41c
   sakṛc caiva tu yad bhavet YS182v_4.43b	sakRt ca-eva tu yat Bavet YS182u-_4.43b
   sakṛd gamane yat pāpaṃ YS182v_4.44c	sakRt gamane yat pApam YS182u-_4.44c
   sagotrā cānyagotrakā YS182v_3.65b	sagotrA ca-anya-gotrakAH YS182u-_3.65b
   sadā sūtakitā tasya YS182v_3.13c	sadA sUtakitA tasya YS182u-_3.13c
   saphalaṃ jāyate sarvām YS182v_5.17a	saPalam jAyate sarvAm YS182u-_5.17a
   saphalaṃ paitṛkaṃ bhavet YS182v_5.14d	saPalam pEtRkam Bavet YS182u-_5.14d
   samabhāgapradātā ca YS182v_5.21c	sama-BAga-pradAtA ca YS182u-_5.21c
   samabhāgo grahītavyaḥ YS182v_5.22a	sama-BAgaH grahItavyaH YS182u-_5.22a
   samarghaṃ dhanam utsṛjya YS182v_3.23a	samarGam Danam utsRjya YS182u-_3.23a
   samavidyottaraṃ caiva YS182v_5.24c	samavidyA-uttaram ca-eva YS182u-_5.24c
   sarvadharmabahiṣkatāḥ YS182v_4.62d	sarva-Darma-bahizkatAH YS182u-_4.62d
   sarvadharmabahiṣkṛtāḥ YS182v_1.4b	sarva-Darma-bahizkRtAH YS182u-_1.4b
   sarvān keśān samucchritya YS182v_4.17a	sarvAn keSAn samucCritya YS182u-_4.17a
   sarve te rikthabhāginaḥ YS182v_2.9d	sarve te rikTa-BAginaH YS182u-_2.9d
   sarveṣām antyajātīnāṃ YS182v_5.1c	sarvezAm antya-jAtInAm YS182u-_5.1c
   sarvesv eva vivādeṣu YS182v_5.24a	sarvesu eva vivAdezu YS182u-_5.24a
   savarṇaś ca savarṇāyām YS182v_4.46a	savarNaH ca savarNAyAm YS182u-_4.46a
   savāsā jalam āviśet YS182v_3.26d	sa-vAsAH jalam AviSet YS182u-_3.26d
   sa vipro vṛṣalīpatiḥ YS182v_3.19d	sa vipraH vRzalI-patiH YS182u-_3.19d
   sa vai māhiṣakaḥ smṛtaḥ YS182v_3.17d	sa vE mAhizakaH smRtaH YS182u-_3.17d
   sa vai vārdhuṣiko jñeyo YS182v_3.23c	sa vE vArDuzikaH jQeyaH YS182u-_3.23c
   saśabdaṃ seṅgitaṃ tathā YS182v_3.33b	sa-Sabdam sa-iFgitam taTA YS182u-_3.33b
   saṃdhyayor ubhayor vā 'pi YS182v_3.70c	saMDyayoH uBayoH vA api YS182u-_3.70c
   saṃdhyāhīnā vratabhraṣṭāḥ YS182v_4.56a	saMDyA-hInAH vrata-BrazwAH YS182u-_4.56a
   saṃdhyāhīno hi bhrūṇahā YS182v_4.52b	saMDyA-hInaH hi BrUNa-hA YS182u-_4.52b
   saṃdhyāhīno hi yo vipraḥ YS182v_4.51c	saMDyA-hInaH hi yaH vipraH YS182u-_4.51c
   saṃdhyopāsanam eva ca YS182v_4.51b	saMDyA-upAsanam eva ca YS182u-_4.51b
   saṃsargī pañcamo jñeyas YS182v_4.23a	saMsargI paQcamaH jQeyaH YS182u-_4.23a
   saṃsṛṣṭā hi bhavanti ca YS182v_5.14b	saMsRzwAH hi Bavanti ca YS182u-_5.14b
   saṃspṛśet tu yadā kaścit YS182v_3.8c	saMspRSet tu yadA kaScid YS182u-_3.8c
   sākṣiṇaḥ pūrvavādinaḥ YS182v_5.25d	sAkziNaH pUrvavAdinaH YS182u-_5.25d
   sākṣiṣūbhayataḥ satsu YS182v_5.25c	sAkzizu-uBayatas satsu YS182u-_5.25c
   sā caiva vyabhicāriṇī YS182v_3.17b	sA ca-eva vyaBicAriNI YS182u-_3.17b
   sāyaṃ caiva tu vaiṣṇavīm YS182v_4.50d	sAyam ca-eva tu vEzNavIm YS182u-_4.50d
   surāyāḥ saṃprapānena YS182v_2.3a	surAyAH saMprapAnena YS182u-_2.3a
   sūtakaṃ tu praśasyate YS182v_3.55d	sUtakam tu praSasyate YS182u-_3.55d
   sūtakena na lipyeta YS182v_4.21a	sUtakena na lipyeta YS182u-_4.21a
   sūtakena na lipyeta YS182v_4.21c	sUtakena na lipyeta YS182u-_4.21c
   sūtake mṛtake caiva YS182v_4.18a	sUtake mRtake ca-eva YS182u-_4.18a
   sūtake vartamāne 'pi YS182v_3.55a	sUtake vartamAne api YS182u-_3.55a
   sevakāś cāpi viprāṇāṃ YS182v_4.61a	sevakAH ca-api viprANAm YS182u-_4.61a
   striyā vā puruṣasya vā YS182v_4.2d	striyAH vA puruzasya vA YS182u-_4.2d
   striyo vyādhita eva ca YS182v_3.3d	striyaH vyADitaH eva ca YS182u-_3.3d
   strīṇāṃ caiva na saṃśayaḥ YS182v_4.36b	strINAm ca-eva na saMSayaH YS182u-_4.36b
   strīṇāṃ rajasvalānāṃ ca YS182v_3.64a	strINAm rajasvalAnAm ca YS182u-_3.64a
   strī vinaśyati garve[bhe]ṇa YS182v_4.60c	strI vinaSyati garve[-Be]Na YS182u-_4.60c
   strīsaṃparkādikaṃ sarvaṃ YS182v_5.2a	strI-saMparka-Adikam sarvam YS182u-_5.2a
   snānahīnas tathaiva ca YS182v_4.51d	snAna-hInaH taTA-eva ca YS182u-_4.51d
   snānahīno malāśī syāt YS182v_4.52a	snAna-hInaH mala-ASI syAt YS182u-_4.52a
   snānaṃ devārcanaṃ dānaṃ YS182v_3.51c	snAnam deva-arcanam dAnam YS182u-_3.51c
   snāpayed agnisaṃnidhau YS182v_3.69d	snApayet agni-saMniDO YS182u-_3.69d
   snehena ca tathā 'paraḥ YS182v_5.17d	snehena ca taTA aparaH YS182u-_5.17d
   sparśaś caiva bhaved yadi YS182v_3.64b	sparSaH ca-eva Bavet yadi YS182u-_3.64b
   spṛṣṭaṃ tena pramādāc ca YS182v_3.45c	spRzwam tena pramAdAt ca YS182u-_3.45c
   spṛṣṭvā rajasvalā 'nyonyaṃ YS182v_3.65a	spRzwvA rajasvalAH anyonyam YS182u-_3.65a
   spṛṣṭvā rajasvalā 'nyonyaṃ YS182v_3.66a	spRzwvA rajasvalAH anyonyam YS182u-_3.66a
   spṛṣṭvā rajasvalā 'nyonyaṃ YS182v_3.67a	spRzwvA rajasvalAH anyonyam YS182u-_3.67a
   spṛṣṭvā rajasvalā 'nyonyaṃ YS182v_3.68a	spRzwvA rajasvalAH anyonyam YS182u-_3.68a
   svarṇasteyī gurudruhaḥ YS182v_4.22d	svarNa-steyI guru-druhaH YS182u-_4.22d
   svasāraṃ duhitāṃ tathā YS182v_3.7b	svasAram duhitAm taTA YS182u-_3.7b
   svāmitulyaṃ bhavet tasya YS182v_3.55c	svAmi-tulyam Bavet tasya YS182u-_3.55c
   havanaṃ ca praṇaśyati YS182v_3.51d	havanam ca praNaSyati YS182u-_3.51d
   havanaṃ ca prayatnena YS182v_4.38a	havanam ca prayatnena YS182u-_4.38a
   havirguṇā na vaktavyāḥ YS182v_3.28a	haviH-guNAH na vaktavyAH YS182u-_3.28a
   havyakavye niyoktavya YS182v_3.39c	havya-kavye niyoktavyaH YS182u-_3.39c
   havyakavyeṣv amantritaḥ YS182v_3.29b	havya-kavyezu amantritaH YS182u-_3.29b
   hasangrāsaṃ ca yo bhuṅkte YS182v_3.33a	hasan-grAsam ca yaH BuFkte YS182u-_3.33a
   hasteśv āsanadāne ca YS182v_3.30c	hasteSu Asana-dAne ca YS182u-_3.30c
   hiraṇyaṃ lobhalipsayā YS182v_4.60b	hiraNyam loBa-lipsayA YS182u-_4.60b
   haitukaḥ śūdrayājī ca YS182v_3.35c	hEtukaH SUdra-yAjI ca YS182u-_3.35c
