   Adhyaya 2, Pada 1	ADyayaH 2, Pada 1
   nānantatvaṃ nāmānalpatvam /	na ananta tvam nAma analpa tvam /
   kintvanyadeva paricchedābhāvarūpam /	kintu anyadeva paricCeda aBAva rUpam /
   tasmātparimāṇotkarṣāpakarṣayoḥ samāno dharma iti yujyate /	tasmAt parimANa utkarza apakarzayoH samAnaH DarmaH iti yujyate /
   atrāpi mahattvagrahaṇaṃ dṛṣṭāntameva /	atra api mahat tva grahaNam dRzwAntam eva /
   yathā mahattvasya viśeṣaṇaṃ tathāṇutvasyāpīti /	yaTA mahattvasya viSezaNam taTA aNu tvasya api iti /
   yadyanantatvaṃ nāmānalpatvaṃ syāttadotkarṣasyāpi viśeṣaṇaṃ na syāt /	yadi ananta tvam nAma analpa tvam syAt tadA utkarzasya api viSezaNam na syAt /
   nahi tadeva tasya viśeṣaṇaṃ bhavati /	na hi tat eva tasya viSezaNam Bavati /
   pītaḥ pīta ityadarśanāt /	pItaH pItaH iti adarSanAt /
   atastatrānantyaṃ nāma paricchedābhāva iti svīkṛtya viśeṣaṇaviśeṣyabhāvaḥ	atas tatra Anantyam nAma paricCeda aBAvaH iti svIkRtya viSezaNa viSezya BAvaH
   samarthanīyaḥ /	samarTanIyaH /
   tathā prakṛte 'pīti /	taTA prakRte api iti /
   yathā hi parimāṇotkarṣo gaganādāvanadhikastathā tadapakarṣo 'pyanavadhika	yaTA hi parimANa utkarzaH gagana AdO= anaDikaH taTA tad apakarzaH api anavaDika
   eveti viśeṣaṇaviśeṣyabhāvābhyupagame na ko 'pi doṣa iti /	eva iti viSezaNa viSezya BAva aByupagame na kaH api dozaH iti /
   ānantyaṃ nāmānalpatvādanyadityetatpratyayayituṃ dṛṣṭāntāntaramāha 	Anantyam nAma analpa tvAt anyat iti etat pratyayayitum dRzwAnta antaram Aha 
   bahutveti //	bahutva iti //
   bahutvālpatvayoryadvat sāṅkhayāyāmupalabhyate /	bahutva alpa tvayoH yadvat sAFKayAyAm upalaByate /
   ānantyam ... // MAnuv_2,2.72a c //	Anantyam ... // Ma anuv_2,2.72a t //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   yadvat yathā saṅkhayāyāṃ bahutvālpatvayorviśeṣaṇatayā'nantyamupalabhyate /	yadvat yaTA saFKayAyAm bahutva alpa tvayoH viSezaNatayA anantyam upalaByate /
   bahutvamanantamalpatvaṃ cānantamiti /	bahu tvam anantam alpa tvam ca anantam iti /
   tathā prakṛte 'pīti /	taTA prakRte api iti /
   yadyanantvaṃ nāmānalpatvaṃ syāt tadā na bahutvasya viśeṣaṇaṃ syāt /	yadi anantvam nAma analpa tvam syAt tadA na bahu tvasya viSezaNam syAt /
   tasyaiva tadviśeṣaṇatvāyogāt /	tasya eva tad viSezaNa tva ayogAt /
   nāpyalpatvasya, virodhāt /	na api alpatvasya, viroDAt /
   ataḥ avacchedābhāva evānantatvamityaṅgīkṛtya	atas avacCeda aBAvaH eva ananta tvam iti aFgIkRtya
   bahutvamalpatva(cānanta)cāparyavasitamiti viśeṣaṇaviśeṣyabhāvo boddhavyaḥ	bahu tvam alpa tva( ca ananta) ca aparya vasitam iti viSezaNa viSezya BAvaH bodDavyaH
   tathā parimāṇotkarṣāpakarṣayorapīti /	taTA parimANa utkarza apakarzayoH api iti /
   nanu ca nāstyeva saṅkhayāyāṃ bahutvālpatvayorānantyam /	nanu ca na asti eva saFKayAyAm bahu tva alpa tvayoH Anantyam /
   bahutvasya parārdha eva paryavasitatvāt /	bahu tvasya parArDaH eva paryavasita tvAt /
   alpatvasya caika(ā)tvāvadhitvam /	alpa tvasya ca eka(A)tvA avaDi tvam /
   yathoktam /	yaTA uktam /
   "sā caikatvādiparārdhaparyantā'; iti /	"sA ca eka tva Adi parArDa paryantA a; iti /
   ataḥ kathamayaṃ dṛṣṭānta ityata āha  eketi //	atas kaTam ayam dRzwAntaH iti atas Aha ekA iti //
   ... ekabhāgānāṃ tāvattvaṃ hyeva gaṇyate // MAnuv_2,2.72cd //	... eka BAgAnAm tAvat tvam hi eva gaNyate // Ma anuv_2,2.72cd //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   saṅkhayāmadhikṛtya hi gaṇitaśāstraṃ pravṛttam /	saFKayAm aDikRtya hi gaNita SAstram pravRttam /
   tatra ca	tatra ca
   kalāsavaṇarnaprabhāgabhāgānubandhabhāgāpavāhabhāgabhāgādiprakaraṇeṣvekabhāgānāṃ	kalA savaNarna praBAga BAga anubanDa BAga apavAha BAga BAga Adi prakaraNezu eka BAgAnAm
   tāvattvamanavadhikatvaṃ gamyate hi yasmāttasmādavagamyate	tAvat tvam anavaDika tvam gamyate hi yasmAt tasmAt avagamyate
   astyekatvādapyapakṛṣṭānavadhikā saṅkhayeti /	asti eka tvAt api apakRzwa anavaDikA saFKayA iti /
   parārdhātparato 'pi saṅkhayāsadbhāvaḥ sphuṭa eveti nopapāditaḥ /	parArDAt paratas api saFKayA asadBAvaH sPuwaH eva iti na upapAditaH /
   sambhavati hi pareṣāmapīśvarāpekṣābuddhayā paramāṇvādau parārdhātparato	samBavati hi parezAm api ISvara apekzA budDayA paramANu AdO parArDAt paratas 
   'pi saṅkhayotpattiḥ /	api saFKayA utpattiH /
   tataḥ paraṃ saṃjñākaraṇaṃ tu gaṇakānāṃ prayojanābhāvāt /	tatas param saMjQA karaNam tu gaNakAnAm prayojana aBAvAt /
   etāmeva vipratipattimapanetaṃ saṅkhayādṛṣṭāntopādānaṃ kṛtamiti /	etAm eva vipratipattim apanetam saFKayA dRzwAnta upAdAnam kRtam iti /
   evaṃ kālākāśayoḥ parimāṇotkarṣāpakarṣānantyaṃ sākṣiṇā prasādhyeśvare	evam kAla AkASayoH parimANa utkarza apakarza Anantyam sAkziNA prasADya ISvare
   tadāgamena sādhayati  aṇīyāṃśceti //	tad Agamena sADayati aNIyAn= ca iti //
   aṇīyāṃśca mahīyāṃśca bhagavānāgamoditaḥ // MAnuv_2,2.73ab //	aNIyAn= ca mahIyAn= ca BagavAn Agama uditaH // Ma anuv_2,2.73aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   "aṇoraṇīyānmahato mahīyānātmā'; ityāgamena bhagavānīśvaro	"aNoH aNIyAt mahataH mahIyAnAtmA a; iti Agamena BagavAn ISvaraH 
   'ṇorapyaṇīyānmahato 'pi mahīyānuditaḥ /	aNoH api aNIyAt mahataH api mahIya anuditaH /
   naca tatrāṇumahacchabdābhyāṃ kiñcidvayavasthitamucyate /	na ca tatra aNu mahat SabdAByAm kiQci d vayavasTitam ucyate /
   viśeṣaṇābhāvāt /	viSezaNa aBAvAt /
   tato yadyapakṛṣṭaparimāṇaṃ tatastato 'pyapakṛṣṭaparimāṇo	tatas yadi apakRzwa parimANam tatas tatas api apakRzwa parimANaH 
   yadyaccotkṛṣṭaparimāṇaṃ tatastato 'pyutkṛṣṭaparimāṇa ityuktaṃ syāt /	yat yat ca utkRzwa parimANam tatas tatas api utkRzwa parimANaH iti uktam syAt /
   tathā ceśvaragatayo parimāṇotkarṣāpakarṣayoranavadhikatvameva labhyate /	taTA ca ISvara gatayaH parimANa utkarza apakarzayoH anavaDika tvam eva laByate /
   nanvaṇīyānmahīyānityukta eva bhagavati parimāṇotkarṣāpakarṣayoḥ	nanu aNIyAt mahIyAn iti uktaH eva Bagavati parimANa utkarza apakarzayoH
   paryavasānātkathaṃ tayoḥ anavadhikatvamityata āha  aṇīyāniti //	paryavasAnAt kaTam tayoH anavaDika tvam iti atas Aha aNIyAn iti //
   aṇīyānmahīyānityuktayorapyaṇormahataśceti śabdaviṣayatvāditi /	aNIyAt mahIyAn iti uktayoH api aNoH mahataH ca iti Sabda vizaya tvAt iti /
   nanvevaṃ sati svasmādapi svayamapakṛṣṭa utkṛṣṭaścetyāgatam /	nanu evam sati svasmAt api svayam apakRzwaH utkRzwaH ca iti Agatam /
   ko netyāha /	kaH na iti Aha /
   yathā caitattathā vakṣyate /	yaTA ca etat taTA vakzyate /
   śrutyantaraṃ ceśvare parimāṇotkarṣāpakarṣayorānantyaṃ	Sruti antaram ca ISvare parimANa utkarza apakarzayoH Anantyam
   pratipādayadastītyāha  ānantyeti //	pratipAdayat asti iti Aha Anantya iti //
   ānantyavācakaḥ śabdo dvidhānantye 'pi mānatām // MAnuv_2,2.73cd //	Anantya vAcakaH SabdaH dviDA Anantye api mAnatAm // MA anuv_2,2.73cd //
   yāti ... // MAnuv_2,2.74a //	yAti ... // Ma anuv_2,2.74aH //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   "satyaṃ jñānamanantaṃ brahma'; iti brahmaṇa ānantyasya vācako	"satyam jQAnam anantam brahma a; iti brahmaNaH Anantyasya vAcakaH 
   'nantaśabdastāvaddeśataḥ kālato vastutaścānantyamāha /	ananta SabdaH tAvat deSataH kAlataH vastutas ca Anantyam Aha /
   tatra deśānantyaṃ nāmānavadhikaparimāṇavattvam /	tatra deSa Anantyam nAma anavaDika parimANa vat tvam /
   kālānantyaṃ nāmānavacchinnasattākatvam /	kAla Anantyam nAma anavacCinna sattAka tvam /
   vastvānantyaṃ nāmāparicchinnasaṅkhayāguṇakarmavigrahavattvam /	vastu Anantyam nAma aparicCinna saFKayA guNa karma vigrahavat tvam /
   tatra yadā parimāṇānantyasya vācakastadā dvidhānantye 'pi	tatra yadA parimANa Anantyasya vAcakaH tadA dviDA Anantye api
   utkarṣāpakarṣābhyāmanantye 'pi mānatāṃ yāti /	utkarza apakarzAByAm anantye api mAnatAm yAti /
   na tūtkarṣānantyamātre viśeṣābhāvāditi /	na tu utkarza Anantya mAtre viSeza aBAvAt iti /
   nanvanekārthatvamanyāyaḥ /	nanu aneka arTa tvam anyAyaH /
   ko 'tra nyāyavirodhaḥ /	kaH atra nyAya viroDaH /
   nirarthakaśabdaprayogāyogāttāvadeko 'rtho 'ṅgīkāryaḥ /	nirarTaka Sabda prayoga ayogAt tAvat ekaH arTaH aFgI kAryaH /
   dvitīyāṅgīkāre tu na kiñcidbījamiti kalpanāgauravam /	dvitIya aFgIkAre tu na kiQcid bIjam iti kalpanA gOravam /
   ucyate /	ucyate /
   yatra hyekasminnarthe vyavasthite sati	yatra hi ekasmin= arTe vyavasTite sati
   vṛthaivārthāntarāṅgīkārastatraivametat /	vRTA eva arTa antara aFgIkAraH tatra evam etat /
   nacaivaṃ prakṛte /	na ca evam prakRte /
   anantaśabdo hi paricchedābhāvamāha /	ananta SabdaH hi paricCeda aBAvam Aha /
   paricche(daśca)do hi deśataḥ kālato vastutaśca bhavanyupagapadeva prāpnoti	paricCe(daH ca)daH hi deSataH kAlataH vastutas ca BavanI upagapad eva prApnoti
   naca tatra kasyacinprāthamyamasti /	na ca tatra kasyacid prATamyam asti /
   nāpyanyatamaparityāge kāraṇam /	na api anyatama parityAge kAraNam /
   evaṃ parimāṇāntye 'pyutkarṣaparigraho draṣṭavya iti /	evam parimANa antye api utkarza parigrahaH drazwavyaH iti /
   nanvevaṃ kālato	nanu evam kAlato
   guṇataścānantyavācakasyānantaśabdasyālpakālatvamalpaguṇatvaṃ cārthaḥ syāt	guNataH ca Anantya vAcakasya ananta Sabdasya alpa kAla tvam alpa guNa tvam ca arTaH syAt 
   anyathālpaparimāṇavattvamapi na syāt /	anyaTA alpa parimANa vat tvam api na syAt /
   aviśeṣāditi cet /	aviSezAt iti ced /
   kimidaṃ kālato guṇataścālpatvamāpādyaṃ kimalpā eva guṇāḥ santi brahmaṇo na	kim idam kAlataH guNataH ca alpa tvam ApAdyam kim alpAH eva guNAH santi brahmaNaH na
   bahutarāḥ /	bahutarAH /
   tathā alpakālīnaiva sattā na pracurakālīneti /	taTA alpa kAlIna eva sattA na pracurakAlIna iti /
   kiṃvā sarvakālagatasyālpakāle 'pyavasthitiḥ syāt /	kiMvA sarva kAla gatasya alpa kAle api avasTitiH syAt /
   mahāguṇasya cālpo 'pi guṇaḥ syāditi /	mahA guNasya ca alpaH api guNaH syAt iti /
   ādyaṃ dūṣayati  naiveti //	Adyam dUzayati na eva iti //
   ... naiva guṇālpatvaṃ kālātpatvaṃ ca mānagam // MAnuv_2,2.74ab //	... na eva guNa alpa tvam kAlAt patvam ca mAnagam // MA anuv_2,2.74aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   guṇālpatvaṃ kālālpatvaṃ ca mānagam /	guNa alpa tvam kAla alpa tvam ca mAnagam /
   anantaṃ brahmeti śrutipratipādyaṃ naiva bhavediti gūḍhābhisandheḥ pratijñā	anantam brahma iti Sruti pratipAdyam na eva Bavet iti gUXa aBisanDeH pratijQA
   hetumuttaratra vakṣyati /	hetum uttaratra vakzyati /
   dvitīyamāśaṅkayāṅgīkaroti  sarveti //	dvitIyam ASaFkayA aFgIkaroti sarva iti //
   sarvakālagatasyālpakāle 'pi syādavasthitiḥ // MAnuv_2,2.74cd //	sarva kAla gatasya alpa kAle api syAt avasTitiH // MA anuv_2,2.74cd //
   mahāguṇasya cālpo 'pi guṇaḥ syāditi ced bhavet // MAnuv_2,2.75ab //	mahA guNasya ca alpaH api guNaH syAt iti ced Bavet // Ma anuv_2,2.75aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   iticedāpādyate /	iti cet ApAdyate /
   tadbhavedetyarthaḥ /	tat Baveda iti arTaH /
   atra guṇagrahaṇaṃ kriyāderapyupalakṣaṇam /	atra guNa grahaNam kriyA AdeH api upalakzaNam /
   guṇakālayoryatheṣyamupādānaṃ prāthamyanirāsātharm /	guNa kAlayoH yaTA izyam upAdAnam prATamya nirAsa aTarm /
   tenoktakalpanāgauravaparihāraṃ sūcayati /	tena ukta kalpanA gOrava parihAram sUcayati /
   nanu yadi kālālpatvaṃ guṇālpatvaṃ cāṅgīkriyate /	nanu yadi kAla alpa tvam guNa alpa tvam ca aFgIkriyate /
   kathaṃ tarhi naiva guṇālpatvamiti nirākaraṇamityato	kaTam tarhi na eva guNa alpa tvam iti nirAkaraNam iti atas 
   'bhisandhimudghāṭayati  tāvattvameveti //	aBisanDim udGAwayati tAvat tvam eva iti //
   tāvattvameva naiva syād ... // MAnuv_2,2.75c //	tAvat tvam eva na eva syAt ... // Ma anuv_2,2.75t //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   alpatvamevetyarthaḥ /	alpa tvam eva iti arTaH /
   ityuktaṃ prāgiti śeṣaḥ /	iti uktam prAk iti SezaH /
   kuto na syāditi cet /	kutas na syAt iti ced /
   āpādakābhāvādityāha  deśe 'pīti //	ApAdaka aBAvAditi a aha deSe api iti //
   ... deśe 'pyetanna no matam // MAnuv_2,2.75c //	... deSe api etat na naH matam // Ma anuv_2,2.75t //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   parimāṇe 'pītyarthaḥ /	parimANe api iti arTaH /
   etat tāvattvameva /	etat tAvat tvam eva /
   naḥ asmākam /	naH asmAkam /
   etaduktaṃ bhavati /	etat uktam Bavati /
   parimāṇaviṣaye 'smadīyaṃ śrutivyākhyānamupalabhya hi	parimANa vizaye asmadIyam Sruti vyAKyAnam upalaBya hi
   guṇakālayorapyetadāpādyate /	guNa kAlayoH api etat ApAdyate /
   āpādakāntarābhāvāt /	ApAdaka antara aBAvAt /
   naca parimāṇe 'smābhirevaṃ vyākhyāyate /	na ca parimANe asmABiH evam vyAKyAyate /
   apakṛṣṭameva parimāṇamanavadhikamasti notkṛṣṭamiti /	apakRzwam eva parimANam anavaDikam asti na utkRzwam iti /
   dvidhānantye 'pītyuktatvāt /	dviDA Anantye api iti ukta tvAt /
   ato nirmūlametadāpādanamiti /	atas nirmUlam etat ApAdanam iti /
   nanvetadīśvarāderanavadhikotkṛṣṭāpakṛṣṭaparimāṇasamarthanamayuktam /	nanu etat ISvara AdeH anavaDika utkRzwa apakRzwa parimANa samarTanam ayuktam /
   sūtrakāreṇa kvāpyanuktatvāt /	sUtrakAreNa kvApi anukta tvAt /
   mahaddīrghavadveti sūtrasya vijātīyayorapi kāryakāraṇabhāvopapādanena	mahat dIrGa vat vA iti sUtrasya vijAtIyayoH api kArya kAraNa BAva upapAdanena
   vyadhikaraṇayorapyaparicchinnaparimāṇotkarṣāpakarṣayorupapādanena vā	vyaDikaraNayoH api aparicCinna parimANa utkarza apakarzayoH upapAdanena vA
   samarthayituṃ śakyatvādityata āha  mahata iti //	samarTayitum Sakya tvAt iti atas Aha mahataH iti //
   mahato 'lpatvamapi hi vyomavat prāha vedavit // MAnuv_2,2.76ab //	mahataH alpa tvam api hi vyoma vat prAha veda vid // Ma anuv_2,2.76aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   niravadhikaparimāṇotkarṣavato('pi) brahmaṇo 'lpaparimāravattvaṃ ca vyomaṃ	niravaDika parimANa utkarzavato( api) brahmaNaH alpa parimAravat tvam ca vyomam
   dṛṣṭāntīkṛtya vyomavacceti sūtrakhaṇḍena prāha  sūtrakāraḥ /	dRzwAntIkRtya vyoma vat ca iti sUtra KaNxena prAha sUtrakAraH /
   ato brahmaṇo gaganasya	atas brahmaNaH gaganasya
   vānavadhikaparimāṇarotkarṣāpakarṣasadbhāvastatsiddhānto bhavatyeveti /	vAna vaDika parimANara utkarza apakarza sadBAvaH tad sidDAntaH Bavati eva iti /
   kiñca yo 'rtho niravakāśapramāṇasiddho yadviparyaye cāniṣyaṃ sa sarvo 'pi	kiQca yaH arTaH niravakASa pramANa sidDaH yad viparyaye ca anizyam sa sarvaH api
   siddhānta eva /	sidDAntaH eva /
   tatra kālākāśayorī(rapī)śvare cānavadhikaparimāṇotkarṣāpakarṣasadbhāvaḥ	tatra kAla AkASayorI(rapI)Svare ca ana vaDika parimANa utkarza apakarza sadBAvaH
   sākṣiṇā'gamena ca siddha ityuktam /	sAkziNA agamena ca sidDaH iti uktam /
   tadviparyaye bādhakamāha  yadīti //	tad viparyaye bADaka mAha yadi iti //
   yadyalpadeśasaṃsthānaṃ na sarvatrāpi no bhavet // MAnuv_2,2.76cd //	yadi alpa deSa saMsTAnam na sarvatra api naH Bavet // MA anuv_2,2.76cd //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   kālāderiti vartate /	kAla AdeH iti vartate /
   sarvatrāpi saṃsthānamiti ca /	sarvatra api saMsTAnam iti ca /
   kālādīnāṃ sarvagatatvaṃ pareṇāpyaṅgīkṛtam /	kAla AdInAm sarva gata tvam pareNa api aFgIkRtam /
   sarvagatatvaṃ ca sarva(tra)deśe saṃsthānam /	sarva gata tvam ca sarva (tra)deSe saMsTAnam /
   tathāca yadi kālāderalpālpataradeśeṣu saṃsthānaṃ na syāt /	taTA ca yadi kAla AdeH alpa alpatara deSezu saMsTAnam na syAt /
   tadā sarvatrāvasthānamapi no bhavet /	tadA sarvatra avasTAnam api naH Bavet /
   kuta ityata āha  sthitasya hīti //	kutas iti atas Aha sTitasya hi iti //
   sthitasya hyalpadeśeṣu sarvagatvaṃ bhaved dhruvam /	sTitasya hi alpa deSezu sarvaga tvam Bavet Druvam /
   ekatrāpyanavasthasya kuta evākhilasthatā // MAnuv_2,2.77 //	ekatra api anavasTasya kutas eva aKila sTa tA // Ma anuv_2,2.77 //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   dhruvamityavadhāraṇe /	Druvam iti avaDAraNe /
   alpadeśeṣu sthitasyaiveti /	alpa deSezu sTitasya eva iti /
   yathā khalvekaikaṃ varṇamuccārayata eva savardevoccāraṇam /	yaTA Kalu ekEkam varNam uccArayataH eva savardeva uccAraNam /
   natvekamapi varṇamanuccārayataḥ, tathālpālpataradeśeṣu sthitasyaiva hi	na tu ekam api varNam anuccArayataH, taTA alpAlpatara deSezu sTitasya eva hi
   sarvadeśagatatvaṃ bhavet /	sarva deSa gata tvam Bavet /
   ekaikatrāpi deśe 'navasthitasyākhiladeśasthatā kuta eva bhavet /	ekEkatra api deSe anavasTitasya aKila deSa sTa tA kutas eva Bavet /
   anena yo yatsamudāyaṃ vyāpnoti sa tadekadeśānapi vyāpnoti(tyeva),	anena yaH yat samudAyam vyApnoti sa tad eka deSAn api vyApnoti(ti eva),
   yaścaikadeśānna vyāpnoti nāsau tatsamudāyamityanvayavyatirekau darśitau /	yaH ca eka deSAt na vyApnoti na asO tad samudAyam iti anvaya vyatirekO darSitO /
   na kevalamalpālpataradeśasthatvābhāve sarvagatvābhāvaprasaṅgaḥ /	na kevalam alpa alpatara deSa sTa tva aBAve sarva gatvA aBAva prasaFgaH /
   kintu śaśaviṣāṇādivatsattāpi na syādityāha  śūnyatvameveti //	kintu SaSavizANa Adi vat sat tA api na syAt iti Aha SUnya tvam eva iti //
   śūnyatvameva tasya syād yasyaikatrāpi na sthitiḥ // MAnuv_2,2.78ab //	SUnya tvam eva tasya syAt yasya ekatra api na sTitiH // Ma anuv_2,2.78aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   evaṃca kālādīnāmalpālpataradeśāvasthāne	evaMca kAla AdInAm alpa alpatara deSa avasTAne
   'lpālpataraparimāṇavattvamapyavarjanīyamityanavadhikaparimāṇāpakarṣasiddhiḥ	alpa alpatara parimANa vat tvam api avarjanIyam iti anavaDika parimANa apakarza sidDiH
   anavadhikotkarṣastu pareṇāpyaṅgīkṛta eveti na tadviparyaye bādhakamuktam /	anavaDika utkarzaH tu pareNa api aFgIkRtaH eva iti na tad viparyaye bADakam uktam /
   sarvatrāpi no bhavedityeva vā draṣṭavyam /	sarvatra api naH Bavet iti eva vA drazwavyam /
   nahi paramamahattvābhāve sarvagatatvaṃ sambhavati /	na hi parama mahat tva aBAve sarva gata tvam samBavati /
   tathācāha "vibhutvānmahānākāśaḥ'; ityādi /	taTA AcAha " viBu tvAt mahAn AkASaH a; ityAdi /
   alpālpataradeśaparyavasitasyālpālpataraparimāṇatvam /	alpa alpatara deSa paryavasitasya alpa alpatara parimANa tvam /
   na caivamākāśādīti cet /	na ca evam AkASa Adi iti ced /
   tatkimākāśādi samuditarūpaṃ yena paryavasānāparyavasānaviṣayatvamaśnuvīta	tat kim AkASa Adi samudita rUpam yena paryavasAna aparyavasAna vizaya tvam aSnuvIta
   kintvekameva /	kintu ekam eva /
   tacca yadyalpālpataradeśeṣu tiṣṭhettadā tattatparimāṇaṃ bhavatyeva	tat ca yadi alpa alpatara deSezu tizWet tadA tad tad parimANam Bavati eva
   (bhavedeva) /	(Bavet eva) /
   yadi tava tatra sthitasya tattatparimāṇatvaṃ tadā ghaṭādāvapi tatprasaṅga	yadi tava tatra sTitasya tad tad parimANa tvam tadA Gawa AdO= api tad prasaFga
   iti cenna /	iti ced na /
   tasya sāṃśatvenānyathāsiddhatvāt /	tasya sa aMSa tvena anyaTA sidDa tvAt /
   *7,372f.*	*7,372f.*
   nanu ca sarvamūrta(dravya)saṃyogitvameva sarvagatatvaṃ, na sarvatra	nanu ca sarva mUrta( dravya) saMyogi tvam eva sarva gata tvaM, na sarvatra
   saṃsthānam /	saMsTAnam /
   ākāśāderanāśritatvāt /	AkASa At eH anASrita tvAt /
   saṃyogaśca tattatparimāṇābhāve('pi bhavedeva /	saMyogaH ca tad tad parimANa aBAve( api Bavet eva /
   nahi ghaṭo gaganena saṃyujyamāno bhavati paramamahānnāpi paramāṇunā	na hi GawaH gaganena saMyujyamAnaH Bavati parama mahAn nA api paramANunA
   saṃyujyamānaḥ paramāṇuḥ /	saMyujyamAnaH paramANuH /
   tatkasya hetoḥ /	tat kasya hetoH /
   saṃyogasya pradeśavṛttitvāditi /	saMyogasya pradeSa vRtti tvAt iti /
   maivam /	mA evam /
   sarvaparimāṇānāmapyākāśe sattvātparamāṇunā ca ghaṭāṃśasyaiva saṃyogāt /	sarva parimANAnAm api AkASe sattvAt paramANunA ca Gawa aMSasya eva saMyogAt /
   tathāhi /	taTA hi /
   viśeṣaśaktayā, nirbhedamapyākāśamanantāṃśopetam /	viSeza SaktayA, nirBedam api AkASam ananta aMSa upetam /
   tatra anavadhikau parimāṇotkarṣāpakarṣau vyavasthayā vartete /	tatra anavaDikO parimANa utkarza apakarzO vyavasTayA vartete /
   tataśca ghaṭo vitastiparimāṇenaivākāśena saṃyujyate /	tatas ca GawaH vitasti parimANena eva AkASena saMyujyate /
   svayaṃ ca tatparimāṇa iti ko doṣaḥ /	svayam ca tad parimANaH iti kaH dozaH /
   ghaṭāṃśa eva paramāṇusaṃyogo vartate, na ghaṭa iti kathaṃ ghaṭasya	Gawa aMSaH eva paramANu saMyogaH vartate, na GawaH iti kaTam Gawasya
   paramāṇutā /	parama aNu tA /
   tarhyākāśapradeśā evālpālpatarapradeśasaṃyogina iti, ta eva	tarhi AkASa pradeSAH eva alpa alpatara pradeSa saMyoginaH iti, te eva
   tattatparimāṇāḥ syurnākāśamiti cenna /	tad tad parimANAH syuH nAkASam iti ced na /
   teṣāmapyākāśātmakatvāt /	tezAm api AkASa Atmaka tvAt /
   anyathā saṃyogasya pradeśavṛttitvaṃ na syādvayāghātāditi /	anyaTA saMyogasya pradeSa vRtti tvam na syAt vaya AGAtAt iti /
   kālādau parimāṇotkarṣāpakarṣayorānantyamupapādyopasaṃharati  ata iti //	kAla AdO parimANa utkarza apakarzayoH Anantyam upapAdya upasaMharati atas iti //
   ato nāṇutvaviśrāntirna mahattvasya ca kvacit // MAnuv_2,2.78cd //	atas na aNu tva viSrAntiH na mahattvasya ca kvacid // MA anuv_2,2.78cd //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   kvacit kālādau traye /	kvacid kAla AdO traye /
   yadvānumānadūṣaṇopasaṃhāro 'yam /	yat vA anumAna dUzaNa upasaMhAraH ayam /
   tataśca kālātītatvadṛṣṭāntadoṣāvaparihāryāviti /	tatas ca kAla atIta tva dRzwAnta dozO= aparihAryO= iti /
   kālākāśeśvareṣu parimāṇotkarṣāpakarṣayorānantyamastītyuktam /	kAla AkASa ISvarezu parimANa utkarza apakarzayoH Anantyam asti iti uktam /
   na kevalaṃ teṣveva /	na kevalam tezu eva /
   kintu prakṛtyādau sarvagate paramamahati dravyāntare 'pītyāha  ubhayeti //	kintu prakRti AdO sarva gate parama mahati dravya antare api iti Aha uBaya iti //
   ubhayānantyayuk tasmād yadi mukhyamahad bhavet // MAnuv_2,2.79ab //	uBaya Anantya yuj tasmAt yadi muKya mahat Bavet // Ma anuv_2,2.79aB //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   tasmādiṣūktanyāyāt /	tasmAt izu ukta nyAyAt /
   mukhyaṃ mahat paramamahat /	muKyam mahat parama mahat /
   yadi kālāderapyānantyaṃ syāt /	yadi kAla AdeH api Anantyam syAt /
   kathaṃ tarhi satyaṃ jñānamanantaṃ brahmetyānantyaṃ brahmaṇo	kaTam tarhi satyam jQAnam anantam brahma iti Anantyam brahmaNaH 
   lakṣaṇatvenocyate /	lakzaNa tvena ucyate /
   na hyativyāptaṃ lakṣaṇaṃ bhavatītyata āha  tacceti //	na hi ati vyAptam lakzaNam Bavati iti atas Aha tat ca iti //
   tacca brahma paraṃ sākṣāt sarvānantyayutaṃ sadā // MAnuv_2,2.79c //	tat ca brahma param sAkzAt sarva Anantya yutam sadA // Ma anuv_2,2.79t //
   NYĀYASUDHĀ:	NYĀYA SUDHĀ:
   paramiti kevalārthe /	param iti kevala arTe /
   yadyapi kālādikamapyanantaṃ, tathāpi brahmaiva tadanantamityucyate /	yadi api kAla Adikam api anantaM, taTA api brahma eva tat anantam iti ucyate /
   kutaḥ /	kutas /
   sākṣāt parānapekṣayānantatvāt /	sAkzAt para anapekzayA ananta tvAt /
   aparādhīnatvāpekṣayeti yāvat /	apara aDInatva apekzayA iti yAvat /
   pakṣāntaramāha  sarveti //	pakza antaram Aha sarva iti //
   ... sarvānantyayutaṃ sadā // MAnuv_2,2.79d //	... sarva Anantya yutam sadA // MA anuv_2,2.79d //
