   Suvarṇavarṇāvadāna	SuvarNa-varNa-avadAna
   yena me satyena satyavacanenāsyāḥ kāśisundaryā dārikāyā antike mana sūkṣmo	yena me satyena satya-vacanena-asyAH kASisundaryA dArikAyAH antike mana sUkzmaH-
   'pi kleśo notpanno rāgo vā dveṣo vā moho vā vihiṃsā vānyatam anyatamo vā	api kleSaH na-utpannaH rAgaH vA dvezaH vA mohaH vA vihiMsA vA-anyatam anyatamaH vA
   caitasika upakleśo 'nena satyena satyavacanena cāsyāḥ śarīraviṣamvilayam	cEtasikaH upakleSaH anena satyena satya-vacanena ca-asyAH SarIra-vizam-vilayam
   upagacchatv ity athaitasmin satyādhiṣṭhānasamanantaram eva	upagacCatu iti aTa-etasmin satya-aDizWAna-samanantaram eva
   kāśisundarīdārikāyāḥ śarīrād viṣaṃ vilayam upagataṃ svasthībhūtaśarīrā ca	kASi-sundarI-dArikAyAH SarIrAt vizam vilayam upagatam svasTIBUta-SarIrA ca
   suptaprabuddhā ivotthitā | tāṃ svasthībhūtaśarīrām utthitām ālokya tena	supta-prabudDAH iva-utTitA | tAm svasTIBUta-SarIrAm utTitAm Alokya tena
   mahājanakāyenānekaiś ca devatāśatasahastrair ekaravenoccair nādo muktaḥ |	mahA-jana-kAyena-anekEH ca devatA-Sata-sahastrEH eka-ravena-uccEs nAdaH muktaH |
   aho āścaryam aho kumārasyāśayaviśuddhatā | maharddhiko 'yaṃ kumāro	aho AScaryam aho kumArasya-ASaya-viSudDa-tA | mahardDikaH ayam kumAraH-
   mahānubhāvo yatredānīṃ satyādhiṣṭhānabalād iyam anena kāśisundarī dārikā	mahA-anuBAvaH yatra-idAnIm satya-aDizWAna-balAt iyam anena kASisundarI dArikA
   samutthāpitā priyeṇa jīvitenācchāditeti | tataḥ kāśisundarī dārikā	samutTApitA priyeNa jIvitena-AcCAditA-iti | tatas kASisundarI dArikA
   samantān nirīkṣitum ārabdhā yāvat paśyati mahāśmaśāne sthavirānandaṃ	samantAt nirIkzitum ArabDAH yAvat paSyati mahA-SmaSAne sTavira-Anandam
   mahatā bhikṣusaṅghena sārddham arddhacandrākāropagūḍhaṃ |	mahatA Bikzu-saFGena sArdDam ardDa-candra-AkAra-upagUXam |
   nānāratnapradyotite divye mahati siṃhāsane niṣaṇṇaṃ rājāmaṃ ajātaśatrum	nAnA-ratna-pradyotite divye mahati siMhAsane nizaNNam rAja-Amam ajAtaSatrum
   anekaprāṇiśatasahasraparivāram ātmānañ ca nīlapītalohitāvadātāyāṃ	aneka-prANi-Sata-sahasra-parivAram AtmAnan ca nIla-pIta-lohita-avadAtAyAm
   śivikāyām āropitaṃ dṛṣṭvā ca punaḥ sambhrāntā cintayituṃ pravṛttā | kim	SivikAyAm Aropitam dRzwvA ca punar samBrAntA cintayitum pravRttA | kim
   ayaṃ svapnam āho svic cittavibhramaḥ | atha vā kenacid etan	ayam svapnam Aho svid citta-viBramaH | aTa vA kenacid etat-
   māyākarmavidarśitaṃ bhavatīti | yāvat tasyā jñātibhir etad vistareṇa	mAyA-karma-vidarSitam Bavati-iti | yAvat tasyAH jQAtiBiH etat vistareNa
   samākhyātaṃ | uktā ca sarvathā yad etat tava jīvitaṃ tat sarvaṃ	samAKyAtam | uktA ca sarvaTA yat etat tava jIvitam tat sarvam
   sthavirānandam āgamyeti	sTavira-Anandam Agamya-iti
   Sva Roy 162,3 - 167,5	Svas Roy 162,3  167,5
   [64] tac chrutvā kāśisundarī dārikā sthavirānande samupajātabahumānā paraṃ	[64] tat SrutvA kASisundarI dArikA sTavira-Anande samupajAta-bahu-mAnA param
   prasādaṃ pravedayitum ārabdhā | atha kāśisundarī dārikā udyānaṃ	prasAdam pravedayitum ArabDA | aTa kASisundarI dArikA udyAnam
   samanusmṛtya pracaṇḍañ cāmātyaṃ udvignamanasā	samanusmRtya pracaNxan ca-amAtyam udvigna-manasA
   maraṇabhayaviṣādavihvalekṣaṇāvasthān tām eva parāṃ pravedayantī strībhāvam	maraNa-Baya-vizAda-vihvala-IkzaNa-avasTAn tAm eva parAm pravedayantI strI-BAvam
   anuśocitum ārabdhā | aho strītvaṃ nāmātijaghanyataraṃ	anuSocitum ArabDAH | aho strI-tvam nAma-ati-jaGanyataram
   sarvaduṣkhāspadabhūtaṃ | yad āgamy āham imām avasthām anuprāpteti	sarva-duzKa-Aspada-BUtam | yat Agami Aham imAm avasTAm anuprAptA-iti
   samvignamānasā tvaritam utthāyaikañ ca vastram ādāya sthavirānandasamīpam	samvigna-mAnasA tvaritam utTAya-ekan ca vastram AdAya sTavira-Ananda-samIpam
   upagamya tad ekaṃ vastraṃ sthavirānandāya niryātya pādayor nipatya tīvrena	upagamya tat ekam vastram sTavira-AnandAya niryAtya pAdayoH nipatya tIvrena
   prasādavegena sthavirānandaguṇānusmaraṇapūrvvakaṃ satyādhiṣṭhānaṃ kartum	prasAda-vegena sTavirAnanda-guNa-anusmaraNa-pUrvvakam satya-aDizWAnam kartum
   ārabdhā || yena satyena satyavacanena tvaṃ videhamune | sarveṣāṃ	ArabDAH || yena satyena satya-vacanena tvam videha-mune | sarvezAm
   buddhaśiṣyāṇām agraprāpto 'tiśreṣṭho viśiṣṭaḥ pravara uttaro 'nuttaraḥ	budDa-SizyANAm agra-prAptaH ati-SrezWaH viSizwaH pravaraH uttaraH anuttaraH
   śrāvakanāgaḥ | śrāvakasiṃhaḥ | śrāvakaṛṣabhaḥ | śrāvakajāneyaḥ |	SrAvaka-nAgaH | SrAvaka-siMhaH | SrAvaka-RzaBaH | SrAvaka-jAneyaH |
   śrāvakapadmaḥ | śrāvakakumadaḥ | śrāvakapuṇḍarīkaṃ | śrāvakasārathiḥ |	SrAvaka-padmaH | SrAvaka-kumadaH | SrAvaka-puNxarIkam | SrAvaka-sAraTiH |
   śrāvakasārthavāhaḥ | śrāvakacandraḥ | śrāvakabhāskaraḥ | śrāvakaratnaṃ |	SrAvaka-sArTavAhaH | SrAvaka-candraH | SrAvaka-BAskaraH | SrAvaka-ratnam |
   śrāvakacūḍāmaṇiḥ | śāsanakarṇadhāraḥ | śāsanadhūrddharaḥ | arhan	SrAvaka-cUxAmaNiH | SAsana-karNaDAraH | SAsana-DUrdDaraH | arhan
   kṣīṇāstravaḥ | kṛtakṛtyaḥ kṛtakaraṇīyo 'pahṛtabhāro 'nuprāptasvakārthaḥ	kzINa-astravaH | kRtakRtyaH kRta-karaNIyaH apahRta-BAraH anuprApta-svaka-arTaH
   parikṣīṇabhavasaṃyojanaḥ samyagājñāsuvimuktacitto maharddhiko mahānubhāvo	parikzINa-Bava-saMyojanaH samyak-AjQA-su-vimukta-cittaH mahardDikaH mahA-anuBAvaH-
   mahādakṣiṇīyo 'nena satyena satyavacanenādyaiva me strīndriyam antarddhātu	mahA-dakziNIyaH anena satyena satya-vacanena-adya-eva me strI-indriyam antardDAtu
   puruṣendriyaṃ prādurbhavatu | athaitat satyādhiṣṭhānasamanantaram eva	puruza-indriyam prAdurBavatu | aTa-etat satya-aDizWAna-samanantaram eva
   tasyāḥ strīndriyam antarhitaṃ puruṣendriyaṃ prādurbhūtaṃ | puruṣo babhūva	tasyAH strI-indriyam antarhitam puruza-indriyam prAdurBUtam | puruzaH baBUva
   atirupo darśanīyaḥ prāsādiko vicitravastrālaṅkṛtaśarīro gaganatalāc cāsyā	atirupaH darSanIyaH prAsAdikaH vicitra-vastra-alaFkRta-SarIraH gagana-talAt ca-asyA
   divyanvicitraṃ manoramaṃ vastravaryam patitum ārabdhaṃ | apīdānīṃ	divi-an-vicitram manoramam vastra-varyam patitum ArabDam | api-idAnIm
   vastravaryeṇa patatā tathā gaganamaṇḍalaṃ saṃcchannaṃ yadā tasmin muhurte	vastra-varyeNa patatA taTA gagana-maNxalam saMcCannam yadA tasmin muhur-te
   tasmin mahāśmaśāne sūryaraśmayo na prajñāyante sma | tatas tad atyadbhutaṃ	tasmin mahA-SmaSAne sUrya-raSmayaH na prajQAyante sma | tatas tat ati-adButam
   devamanuṣyāvarjanakaraṃ sthavirānandasyaguṇamāhātmyaṃ dṛṣṭvā	deva-manuzya-Avarjana-karam sTavirAnandasya-guNa-mAhAtmyam dRzwvA
   gaganatalagatair anekair devatākoṭiniyutaśatasahastrair hāhākāro muktaḥ |	gagana-tala-gatEH anekEH devatA-kowi-niyuta-Sata-sahastrEH hAhAkAraH muktaH |
   aho āścaryam aho 'tyadbhutaṃ | aho sthavirānandasya guṇamāhātmyaṃ | aho	aho AScaryam aho ati-adButam | aho sTavirAnandasya guNa-mAhAtmyam | aho
   udāratā | aho suviśuddhaṃ dakṣiṇīyaṃ kṣetraṃ yatra hi	udAra-tA | aho su-viSudDam dakziNIyam kzetram yatra hi
   nāmaikavastrapradānamātreṇa praṇidhānasamanantaram eva	nAma-eka-vastra-pradAna-mAtreNa praNiDAna-samanantaram eva
   kāśisundarīdārikāyāḥ strīndriyam antarhitaṃ | puruṣendriyaṃ	kASi-sundarI-dArikAyAH strI-indriyam antarhitam | puruza-indriyam
   prādurbhūtamiyañ cedṛśī vibhūtir iti | tatas tābhir devatābhiḥ	prAdurBUtam-iyan ca-IdRSI viBUtiH iti | tatas tABiH devatABiH
   prasannamanaskābhir divyaṃ puṣpavarṣaṃ pātitaṃ | divyāni na vādyāni ca	prasanna-manaskABiH divyam puzpa-varzam pAtitam | divyAni na vAdyAni ca
   parāhatāni ||	parAhatAni ||
   Sva Roy 167,5 - 170,3	Svas Roy 167,5  170,3
   [65] tataḥ kāśisundaraḥ puruṣaḥ sthavirānandaguṇamāhātmyasāmarthyād	[65] tatas kASi-sundaraH puruzaH sTavira-Ananda-guNa-mAhAtmya-sAmarTyAt-
   abhimanoharam ātmano yathābhilaṣitaṃ sadyo vipākaphalam udvīkṣya	aBimanoharam AtmanaH yaTA-aBilazitam sadyas vipAka-Palam udvIkzya
   paramavismayāvarjitacittasantatiḥ paramaprītiprāmodyajātapraharṣaromāñ	parama-vismaya-Avarjita-citta-santatiH parama-prIti-prAmodya-jAta-praharza-romAn-
   cakarkasīkṛtamūrttir utthāyajānumaṇḍaladvayam upanikṣipya bhūmau	cakarka-sIkRta-mUrttiH utTAya-jAnu-maNxala-dvayam upanikzipya BUmO
   kṛtakarapuṭaḥ sthavirānandam abhiṣṭotum ārabdhaḥ |	kRta-kara-puwaH sTavirAnandam aBizwotum ArabDaH |
   namas te durlabhācintya suviśuddhaguṇaiś cita |	namaH te durlaBA-acintya su-viSudDa-guNEH citaH |
   yenādyaivam anāthusya dattam ye jīvitaṃ tvayā |1|	yena-adya-evam anATusya dattam ye jIvitam tvayA |1|
   yadi tvan na bhaves trātā viśuddhajñānalocanaḥ |	yadi tvat na BaveH trAtA viSudDa-jQAna-locanaH |
   kathaṃ prāṇavaśiṣṭaṃ syāṃ tvam me prāṇaprado mune |2|	kaTam prANa-vaSizwam syAm tvam me prANa-pradaH mune |2|
   aho te guṇamāhātmyamaho sattvahitaiṣitā |	aho te guNa-mAhAtmyam-aho sattva-hita-ezitA |
   yad evaṃ saṅkaṭād ghorāt paritrātas tvayā janaḥ |3|	yat evam saFkawAt GorAt paritrAtaH tvayA janaH |3|
   aho te dakṣiṇīyatvaṃ suviśuddhaṃ sudurlabhaṃ |	aho te dakziNIya-tvam su-viSudDam su-durlaBam |
   yatraikavastratyāgo 'pi prayāty evam mahārghatāṃ |4|	yatra-eka-vastra-tyAgaH api prayAti evam mahA-arGa-tAm |4|
   tathaikavastram ādāya mayā tvayi mahāmune |	taTA-eka-vastram AdAya mayA tvayi mahA-mune |
   yathābhilaṣitaṃ prāptam adya phalam idaṃ śubhaṃ |5|	yaTA-aBilazitam prAptam adya Palam idam SuBam |5|
   ādhāram iva yan manye doṣāṇām mahatām api |	ADAram iva yat manye dozANAm mahatAm api |
   tat strītvaṃ tyaktam adyaiva puṃstvaṃ cādhigataṃ mayā |6|	tat strI-tvam tyaktam adya-eva puMstvam ca-aDigatam mayA |6|
   tac caiṣa divyasadṛśo divyālaṅkārabhūṣitaḥ |	tat ca-eza divya-sadRSaH divya-alaFkAra-BUzitaH |
   gaganād vastravaryañ ca pataty atimanoharaṃ |7|	gaganAt vastra-varyan ca patati ati-manoharam |7|
   evaṃ guṇini sukṣetre ye vai kārān na kurvate |	evam guNini su-kzetre ye vE kArAn na kurvate |
   adhanyā vañcitās te mohādyaiḥ kleśaśatrubhir iti |8|	aDanyAH vaQcitAH te moha-AdyEH kleSa-SatruBiH iti |8|
   Sva Roy 170,3 - 171,3	Svas Roy 170,3  171,3
   [66] sa eva sthavirānandam abhiṣṭutya karmaphalapratyakṣadarśī cintayām	[66] saH eva sTavirAnandam aBizwutya karma-Pala-pratyakza-darSI cintayAm
   āsa | na mama pratirūpaṃ syād yad aham iṣṭāniṣṭakarmaphalapratyakṣadarśī	Asa | na mama pratirUpam syAt yat aham izwa-anizwa-karma-Pala-pratyakza-darSI
   punar apy āgāram adhyāvaseyam iti || sa sthavirānandasya pādayor	punar api AgAram aDyAvaseyam iti || sa sTavirAnandasya pAdayoH-
   nipatyovāca || labheyāham ārya svākhyāte dharmavinaye pravrajyām	nipatya-uvAca || laBeya-aham Arya su-AKyAte Darma-vinaye pravrajyAm
   upasampadaṃ bhikṣubhāvañ careyam ahaṃ sthavirasyāntike brahmacaryam iti |	upasampadam Bikzu-BAvan careyam aham sTavirasya-antike brahmacaryam iti |
   sa sthavirānandena pravrājitas tathā ca samanuśiṣṭo yathā yāvat	sa sTavirAnandena pravrAjitaH taTA ca samanuSizwaH yaTA yAvat-
   sarvakleśaprahāṇād arhatvaṃ sākṣātkṛtaṃ |	sarva-kleSa-prahANAt arhatvam sAkzAtkRtam |
   Sva Roy 171,3 - 176,3	Svas Roy 171,3  176,3
   [67]athāsminn antare divākaraḥ sārthavāhaḥ sapatnīko 'pi	[67]aTa-asmin antare divAkaraH sArTavAhaH sa-patnIkaH api
   putraviyogaśokaduḥkhābhyāhato rājagṛhasya nagarasya madhye śṛṅgāṭakasya	putra-viyoga-Soka-duHKa-aByAhataH rAjagRhasya nagarasya maDye SRFgAwakasya
   pṛthivyām utthāyotthāyātmānaṃ pātayati | punaḥ punaḥ pṛthivyām	pRTivyAm utTAya-utTAya-AtmAnam pAtayati | punar punar pRTivyAm
   āvartanaparivartanaṃ karoti | ubhābhyāṃ pāṇībhyām ātmānaṃ tāḍayati | hā	Avartana-parivartanam karoti | uBAByAm pANIByAm AtmAnam tAxayati | hA
   putra hā putreti cārttasvaraṃ virauti sma | aśrauṣīd divākaraḥ sārthavāhaḥ	putra hA putra-iti ca-Arttasvaram virOti sma | aSrOzIt divAkaraH sArTavAhaH
   sthavirānandena gaganatalenāgatya suvarṇavarṇaḥ kumāraḥ paritrāto	sTavira-Anandena gagana-talena-Agatya suvarNa-varNaH kumAraH paritrAtaH-
   mahāśmaśāne āścaryā bhūtāni vartanta iti | śrutvā ca punaḥ sapatniko 'py	mahA-SmaSAne AScaryAH BUtAni vartante iti | SrutvA ca punar sapatnikaH api-
   amṛtā cābhiṣekābhisikta iva paramānanditamanāś	amRtA ca-aBizeka-aBisiktaH iva parama-Anandita-manAH-
   cakravarttirājyābhiṣekābhiṣikta iva paramaprītiprāmodyajātaḥ	cakravartti-rAjya-aBizeka-aBiziktaH iva parama-prIti-prAmodya-jAtaH
   sahasaivotthāya tvaritagatipracārayā rājagṛhān nagarān nirggatya	sahasA-eva-utTAya tvarita-gati-pracArayA rAjagRhAt nagarAt nirggatya
   mahāśmaśānam anuprāpto yāvat paśyati suvarṇavarṇaṃ kumāraṃ	mahA-SmaSAnam anuprAptaH yAvat paSyati suvarNa-varNam kumAram
   rāhugrastavinirmuktaṃ śaratakālapūrṇacandraṃ sthavirānandasamīpe niṣaṇṇaṃ	rAhu-grasta-vinirmuktam Sarata-kAla-pUrNa-candram sTavirAnanda-samIpe nizaNNam
   tāñ ca sthavirānandaguṇasāmarthyajanitāṃ vibhūtiṃ tatas tasya tad	tAn ca sTavira-Ananda-guNa-sAmarTya-janitAm viBUtim tatas tasya tat-
   atyadbhutaṃ devamanuṣyāvarjanakaraṃ prātihāryaṃ dṛṣṭvā sthavirānande	ati-adButam deva-manuzya-Avarjana-karam prAtihAryam dRzwvA sTavirAnande
   samupajātabahumānaḥ paramaprasādavegāvarjitacittasantānaḥ sarvaśarīreṇa	samupajAta-bahu-mAnaH parama-prasAda-vega-Avarjita-citta-santAnaH sarva-SarIreNa
   sthavirānandasya pādayoḥ patitaḥ | utthāya cobhe jānumaṇḍale pṛthivyām	sTavirAnandasya pAdayoH patitaH | utTAya ca-uBe jAnu-maNxale pRTivyAm
   upanikṣipya harṣād aśrūrmibhir āpūryamāṇavadanakamalaḥ | kṛtāñjalipuṭaḥ	upanikzipya harzAt aSru-UrmiBiH ApUryamANa-vadana-kamalaH | kRta-aQjali-puwaH
   sthavirānandamabhiṣṭotum ārabdhaḥ |	sTavira-Anandam-aBizwotum ArabDaH |
   aho tvayā mahābhāga māhātmyaṃ samprakāśitaṃ |	aho tvayA mahABAga mAhAtmyam samprakASitam |
   yan mahāsaṅkaṭād ghorāt paritrātas tvayā janaḥ |1|	yat mahA-saFkawAt GorAt paritrAtaH tvayA janaH |1|
   aho 'nukampāmāhātmyam aho jñānasya sampadaḥ |	aho anukampA-mAhAtmyam aho jQAnasya sampadaH |
   sarvajñenaiva bhavatā viśuddhā samprakāśitāḥ |2|	sarvajQena-eva BavatA viSudDA samprakASitAH |2|
   tathāyaṃ putrako 'smākaṃ mahato vyasanārṇavāt |	taTA-ayam putrakaH asmAkam mahataH vyasana-arNavAt |
   dayājñānaprabhāvābhyāṃ samyag uttāritas tvayā |3|	dayA-jQAna-praBAvAByAm samyak uttAritaH tvayA |3|
   yadi vāyaṃ tvayādyaiva na samanvāhṛto bhavet |	yadi vA-ayam tvayA-adya-eva na samanvAhRtaH Bavet |
   nimagno duḥkhajambāle sapatnīko hy ahañ ciraṃ |4|	nimagnaH duHKa-jambAle sa-patnIkaH hi ahan ciram |4|
   tvām āgamyāham adyāgraṃ mahākāruṇikātmajaṃ |	tvAm Agamya-aham adya-agram mahA-kAruNikA-Atmajam |
   putraśokārṇavottīrṇaḥ śokāṭavyāś ca niḥsṛtaḥ |5|	putra-Soka-arNava-uttIrNaH Soka-awavyAH ca niHsRtaH |5|
   muktaḥ śokamayaiḥ pāśair nirgataḥ śokacārakāt |	muktaH Soka-mayEH pASEH nirgataH Soka-cArakAt |
   śokāyasabhayād bhraṣṭo vimuktaḥ śokapañjarāt |6|	Soka-Ayasa-BayAt BrazwaH vimuktaH Soka-paQjarAt |6|
   na lagnaḥ śokapaṅke 'dya na kṣataḥ śokakaṇṭakaiḥ |	na lagnaH Soka-paFke adya na kzataH Soka-kaNwakEH |
   na daṣṭaḥ śokasarpeṇa na viddhaḥ śokasāyakaiḥ |7|	na dazwaH Soka-sarpeNa na vidDaH Soka-sAyakEH |7|
   na cchinaḥ śokanistriṅśair na prāptaḥ śokaśatrubhiḥ |	na cCinaH Soka-nistriFSEH na prAptaH Soka-SatruBiH |
   na grastaḥ śokamakarair na dagdhaḥ śokavahninā |8|	na grastaH Soka-makarEH na dagDaH Soka-vahninA |8|
   tvayaivaṃ kurvatā cādya bhāsito 'yam mahājanaḥ |	tvayA-evam kurvatA ca-adya BAsitaH ayam mahAjanaH |
   unmīlitāni netrāṇi prīṇitāni manāṃsi ca |9|	unmIlitAni netrANi prINitAni manAMsi ca |9|
   ānanda iti nāmedam aho svanvarthatāṅ gataṃ |	AnandaH iti nAma-idam aho svanvarTa-tAF gatam |
   yenaivaṃ kurvatā trāṇaṃ paramānanditā vayam iti |10|	yena-evam kurvatA trANam parama-AnanditAH vayam iti |10|
   Sva Roy 176,3 - 177,4	Svas Roy 176,3  177,4
   [68] atha divākaraḥ sārthavāhaḥ sthavirānandam abhiṣṭutyotthāya ca	[68] aTa divAkaraH sArTavAhaH sTavirAnandam aBizwutya-utTAya ca
   suvarṇavarṇasya kumārasya samīpam upagamya sapatnīko 'pi sahagāḍhaṃ kaṇṭhe	suvarNa-varNasya kumArasya samIpam upagamya sa-patnIkaH api saha-gAXam kaNWe
   pariṣvajya muhurmuhuḥ pariṣvajate sma | praharṣajāto 'śruparyākulekṣaṇaś	parizvajya muhur-muhur parizvajate sma | praharza-jAtaH aSru-paryAkula-IkzaNaH-
   ca suvarṇavarṇaṃ kumāraṃ animiṣena samavalokayann uvāca |	ca suvarNa-varNam kumAram animizena samavalokayan uvAca |
   śaratpūrṇendubimbaśrīkāntidyutiharambvapuḥ |	Sarad-pUrNa-indu-bimba-SrI-kAnti-dyuti-harambU-apuH |
   manorathaśatair labdhaṃ diṣṭyā paśyāmi te punaḥ |1|	manoraTa-SatEH labDam dizwyA paSyAmi te punar |1|
   snigdhanīlāyatātāmraparyantekṣaṇaśālinaṃ |	snigDa-nIla-Ayata-AtAmra-paryanta-IkzaNa-SAlinam |
   sthavirānandam āgamya punaḥ paśyāmi te mukham iti |2|	sTavira-Anandam Agamya punar paSyAmi te muKam iti |2|
   Sva Roy 177,4 - 181,4	Svas Roy 177,4  181,4
   [69] atha suvarṇavarṇaḥ kumāraḥ saṃsāradoṣodvignacetā mātāpitarāv	[69] aTa suvarNa-varNaH kumAraH saMsAra-doza-udvigna-cetAH mAtA-pita-rAv
   anujñāpya sthavirānandasya pādayor nipatyovāca | sthavira labheyāhaṃ	anujQApya sTavirAnandasya pAdayoH nipatya-uvAca | sTavira laBeya-aham
   svākhyāte dharmavinaye pravrajyām upasampadaṃ bhikṣubhāvañ careyam ahaṃ	su-AKyAte Darma-vinaye pravrajyAm upasampadam Bikzu-BAvan careyam aham
   svākhyātadharmavinaye brahmacaryam iti | sa sthavirānandena pravrājitas	su-AKyAta-Darma-vinaye brahmacaryam iti | sa sTavirAnandena pravrAjitaH-
   tathā ca samanuśiṣṭo yathānena tasminn eva muhūrte sarvakleśaprahāṇād	taTA ca samanuSizwaH yaTA-anena tasmin eva muhUrte sarva-kleSa-prahANAt-
   arhattvaṃ prāptaṃ | so 'rhattvaprāptaḥ pūrvaikāṃ janmaparamparām	arhat-tvam prAptam | saH arhat-tva-prAptaH pUrvA-ekAm janma-paramparAm
   avalokitum ārabdho yāvat paśyaty ātmānam atīva puṇyamaheśākhyaṃ tasyaitad	avalokitum ArabDaH yAvat paSyati AtmAnam atIva puNya-maheSa-AKyam tasya-etat-
   abhavat | kṣuṇo 'haṃ sa cen mayā vijñātum abhaviṣyad ity aham eva	aBavat | kzuNaH aham sa ced mayA vijQAtum aBavizyat iti aham eva
   puṇyamaheśākhya iti | mayā yāvad āptaṃ dānāni dattāni puṇyāni kṛtāny	puNya-maheSa-AKyaH iti | mayA yAvat Aptam dAnAni dattAni puNyAni kRtAni-
   abhaviṣyan | tad idānīm api sattvānāṃ puṇyeṣu gauravotpādanārthaṃ svaṃ	aBavizyan | tat idAnIm api sattvAnAm puNyezu gOrava-utpAdana-arTam svam
   puṇyamahātmyaṃ prakāśayeyam iti | tatas tena tāni vastrāṇi svaśarīrād	puNya-mahAtmyam prakASayeyam iti | tatas tena tAni vastrANi sva-SarIra-At-
   avatāritāni tatsamanantaram eva cāparāṇi tādṛśāny eva prādurbhūtāni |	avatAritAni tad-samanantaram eva ca-aparANi tAdRSAni eva prAdurBUtAni |
   punaḥ punar avatārayitum ārabdhas tathaiva cāsya punaḥ punaḥ	punar punar avatArayitum ArabDaH taTA-eva ca-asya punar punar-
   prādurbhavanti | tenāvatāryāvatārya sthavirānandasya purastān mahān	prAdurBavanti | tena-avatArya-avatArya sTavirAnandasya purastAt mahAn
   vastrarāśiḥ kṛtaḥ | tañ ca teṣām api mahārhāṇām vastrāṇāṃ rāśim	vastra-rASiH kRtaH | taQ ca tezAm api mahArhANAm vastrANAm rASim
   abhinavoditadivākarakiraṇvicchuritam iva jāmbunadasuvarṇarāśiṃ	aBinava-udita-divAkara-kiraNvi=-Curitam iva jAmbunada-suvarNa-rASim
   kanakāyamānam udvīkṣya sa mahājanakāyaḥ paramavismayāvarjitacittasantatir	kanakAyamAnam udvIkzya sa mahA-jana-kAyaH parama-vismaya-Avarjita-citta-santatiH-
   uvāca | aho āścaryam aho 'dbhutam aho puṇyānāṃ māhātmyam aho sukṛtāni	uvAca | aho AScaryam aho adButam aho puNyAnAm mAhAtmyam aho su-kRtAni
   puṇyāni anena mahātmanā | yatra hi nāmaivam avyavacchinnam avatārayato 'pi	puNyAni anena mahAtmanA | yatra hi nAma-evam avyavacCinnam avatArayataH api
   caiṣām atimahārhāṇāṃ paryantam api nādhigamyata iti | tatas tena	ca-ezAm ati-mahArhANAm paryantam api na-aDigamyate iti | tatas tena
   mātāpitros tāni vastrāṇi niryātitāni tābhyām api sthavirānandapramukhaṃ	mAtA-pitroH tAni vastrANi niryAtitAni tAByAm api sTavira-Ananda-pramuKam
   bhikṣusaṃgham ādiṃ kṛtvā yāvān asau janakāyo mahāśmaśānaṃ sannipatitaḥ |	Bikzu-saMGam Adim kRtvA yAvAn asO jana-kAyaH mahA-SmaSAnam sannipatitaH |
   tatra ca ekaikaḥ prāṇīvastrayugalenācchāditaḥ | suvarṇavarṇasya tu bhikṣoḥ	tatra ca ekEkaH prANi-ivastra-yugalena-AcCAditaH | suvarNa-varNasya tu BikzoH
   puṇyānubhāvenāsau vastrarāśir naiva kṣīyate |	puNya-anuBAvena-asO vastra-rASiH na-eva kzIyate |
   Sva Roy 181,4 - 184,185	Svas Roy 181,4  184,185
   [70] tataḥ suvarṇavarṇo bhikṣur upari vihāyasam abhyudgamya ṛddhyā	[70] tatas suvarNa-varNaH BikzuH upari vihAyasam aByudgamya RdDyA
   rājagṛhan nagaraṃ gatvā madhye śṛṅgāṭakasya suvarṇavarṇānāṃ vastrāṇāṃ	rAja-gRhan nagaram gatvA maDye SRFgAwakasya suvarNa-varNAnAm vastrANAm
   svaśarīrād ava(6)tāryāvatārya mahāpramāṇaṃ rāśiṃ kṛtvā svareṇa rājagṛhan	sva-SarIrAt ava(6)tArya-avatArya mahA-pramANam rASim kRtvA svareNa rAja-gRhan
   nagaram āpūrayann uvāca | bhavanto mayaitāni vastrāṇi parityaktāni yasya	nagaram ApUrayan uvAca | BavantaH mayA-etAni vastrANi parityaktAni yasya
   vo yāvadbhiḥ prayojanaṃ sa tāvanti pratigṛhṇātv iti | śrutvā tatkṣaṇād	vaH yAvadBiH prayojanam sa tAvanti pratigRhNAtu iti | SrutvA tad-kzaNAt-
   evānekāni prāṇiśatasahastrāṇi sannipātitāni | yāvat paśyanti nagaramadhye	eva-anekAni prANi-Sata-sahastrANi sannipAtitAni | yAvat paSyanti nagara-maDye
   śṛṅgāṭakasya teṣāṃ suvarṇapītānāṃ vastrāṇāṃ atimahāpramāṇaṃ rāśiṃ	SRFgAwakasya tezAm suvarNa-pItAnAm vastrANAm ati-mahA-pramANam rASim
   aruṇkiraṇaparāmṛṣṭam iva jāmbūnadasuvarṇarāśim iva milimilāyamānam	aruNkiraNa-parAmRzwam iva jAmbUnada-suvarNa-rASim iva milimilAyamAnam
   āyuṣmāntaṃ ca suvarṇavarṇam uttaptakāñcanagiriśṛṅgam iva paramayā śriyā	AyuzmAntam ca suvarNa-varNam uttapta-kAQcana-giri-SRFgam iva paramayA SriyA
   jvalantaṃ gaganatalagatam udvīkṣya sa mahājanakāyaḥ	jvalantam gagana-tala-gatam udvIkzya sa mahA-jana-kAyaH
   paramavismayāvarjitacittasantatiḥ	parama-vismaya-Avarjita-citta-santatiH
   paramapraharṣormitaraṅgāpūryamāṇavadanakamalaś cintayām āsa aho āścaryam	parama-praharza-Urmi-taraFga-ApUryamANa-vadana-kamalaH cintayAm Asa aho AScaryam
