   (Msa 1)	(MsaH 1)
   uttarasyotkarṣasthānatvāt | hīnaṃ hi dānam utkṛṣṭaṃ śīlam evaṃ yāvad	uttarasya utkarza sTAna tvAt | hInam hi dAnam utkRzwam SIlam evam yAvat 
   dhīnaṃ dhyānam utkṛṣṭā prajñeti | pūrvasya cāudārikatvād uttarasya	DInam DyAnam utkRzwA prajQA iti | pUrvasya cAudArika tvAt uttarasya
   sūkṣmatvāt | audārikaṃ hi dānaṃ supraveśatvāt sukaratvāc ca | sūkṣmaṃ	sUkzma tvAt | OdArikam hi dAnam su praveSa tvAt sukara tvAt ca | sUkzmam
   śīlaṃ tato duṣpraveśatvād duṣkaratvāc ca | evaṃ yāvad audārikaṃ dhyānaṃ	SIlam tatas duzpraveSa tvAt duzkara tvAt ca | evam yAvat OdArikam DyAnam
   sūkṣmā prajñeti | nirvacanavibhāge ślokaḥ |	sUkzmA prajQA iti | nirvacana viBAge SlokaH |
   dāridyasyāpanayāc chaityasya ca lambhanāt kṣayāt kruddheḥ |	dAridyasya apanayAt SEtyasya ca lamBanAt kzayAt krudDeH |
   varayogamanodhāraṇaparamāthajñānataś coktiḥ || AMsa_16.15 ||	vara yoga manaH DAraNa parama aTa jQAnataH ca uktiH || AMsaH _16.15 ||
   dāridryam apanayatīti dānaṃ | śaityaṃ lambhayatīti śīlaṃ tadvato	dAridryam apanayati iti dAnam | SEtyam lamBayati iti SIlam tadvataH 
   viṣayanimittakleśaparidāhābhāvāt kṣayaḥ kruddher iti kṣāntis tayā	vizaya nimitta kleSa paridAha aBAvAt kzayaH krudDeH iti kzAntiH tayA
   krodhakṣayāt | vareṇa yojayatīti (Msa 102) vīryaṃ kuśaladharmayojanāt |	kroDa kzayAt | vareNa yojayati iti (Msa 102) vIryam kuSala Darma yojanAt |
   dhārayaty adhyātmaṃ mana iti dhyānaṃ | paramārtha jānāty anayeti prajñā |	DArayati aDyAtmam manaH iti DyAnam | parama arTa jAnAti anayA iti prajQA |
   bhāvanāvibhāge ślokaḥ |	BAvanA viBAge SlokaH |
   bhāvanopadhim āśritya manaskāraṃ tathāśayaṃ |	BAvanA upaDim ASritya manaskAram taTA ASayam |
   upāyaṃ ca vibhutvaṃ ca sarvāsām eva kathyate || AMsa_16.16 ||	upAyam ca viBu tvam ca sarvAsAm eva kaTyate || AMsaH _16.16 ||
   pañcavidhā pāramitābhāvanā | upadhisaṃniśritā | tatropadhisaṃniśritā	paQcaviDA pAramitA BAvanA | upaDi saMniSritA | tatra upaDi saMniSritA
   caturākārā hetusaṃniśritā yo gotrabalena pāramitāsu pratipattyabhyāsaḥ |	catur AkArAH hetu saMniSritAH yaH gotra balena pAramitAsu pratipatti aByAsaH |
   vipākasaṃniśritā ya ātmabhāvasaṃpattibalena | praṇidhānasaṃniśritā yaḥ	vipAka saMniSritA yaH Atma BAva saMpatti balena | praNiDAna saMniSritAH yaH
   pūrvapraṇidhānabalena | pratisaṃkhyānasaṃniśritā yaḥ prajñābalena	pUrva praNiDAna balena | pratisaMKyAna saMniSritAH yaH prajQA balena
   pāramitāsu pratipattyabhyāsaḥ | manasikārasaṃniśritā pāramitābhāvanā	pAramitAsu pratipatti aByAsaH | manasikAra saMniSritA pAramitA BAvanA
   caturākārā | adhimuktimanaskāreṇa sarvapāramitāpratisaṃyuktaṃ sūtrāntam	catur AkArA | aDimuktimanaskAreNa sarva pAramitA pratisaMyuktam sUtrAntam
   adhimucyamānasya | āsvādanāmanaskāreṇa labdhāḥ pāramitā āsvādayato	aDimucyamAnasya | AsvAda nAma naskAreNa labDAH pAramitA AsvAdayataH 
   guṇasaṃdarśayogena | anumodanāmanaskāreṇa sarvalokadhātuṣu sarvasatvānāṃ	guNa saMdarSa yogena | anumoda nAma naskAreNa sarva loka DAtuzu sarva satvAnAm
   dānādikam anumodamānasya | abhinandanāmanaskāreṇātmanaḥ satvānāṃ cānāgataṃ	dAna Adikam anumodamAnasya | aBinanda nAmanaskAreNa AtmanaH satvAnAm ca anAgatam
   pāramitāviśeṣam abhinandamānasya | āśayasaṃniśritā pāramitābhāvanā	pAramitA viSezam aBinandamAnasya | ASaya saMniSritA pAramitA BAvanA
   ṣaḍākārā | atṛptāśayena vipulāśayena muditā  āśayena upakārāśayena	zaz AkArAH | atRpta ASayena vipula ASayena mudita a  ASayena upakAra ASayena
   nirlepāśayena kalyāṇāśayena ca | tatra bodhisatvasya dāne 'tṛptāśayo yad	nirlepa ASayena kalyANa ASayena ca | tatra boDisatvasya dAne atRpta ASayaH yat 
   bodhisatva ekasatvasyaikakṣaṇe gaṃgānadīvālukāsamān lokadhātūn	boDisatvaH eka satvasya ekakzaNe gaMgA nadI vAlukA samAn lokaDAtUn
   saptaratnaparipūrṇān kṛtvā pratipādayet | gaṃgānadīvālikāsamāṃś	sapta ratna paripUrNAn kRtvA pratipAdayet | gaMgA nadIvAlikA samAMS
   cātmabhāvān | evaṃ ca pratikṣaṇaṃ gaṃgānadīvālikāsamān kalpān pratipādayet	ca Atma BAvAn | evam ca pratikzaNam gaMgA nadIvAlikA samAn kalpAn pratipAdayet 
   | yathā caikasya satvasyaivaṃ yāvān satvadhātur anuttarāyāṃ	| yaTA ca ekasya satvasya evam yAvAn satva DAtuH anuttarAyAm
   samyaksaṃbodhau paripācayitavyas tam anena paryāyeṇa pratipādayet | atṛpta	samyaksaMboDO paripAcayitavyaH tam anena paryAyeNa pratipAdayet | atRpta
   eva bodhisatvasya dānāśaya iti | ya evaṃrūpa āśayo 'yaṃ bodhisatvasya dāne	eva boDisatvasya dAna ASayaH iti | yaH evaMrUpaH ASayaH ayam boDisatvasya dAne
   'tṛptāśayaḥ | na ca bodhisatva evaṃrūpāṃ dānaparaṃparāṃ kṣaṇamātram api	atRpta ASayaH | na ca boDisatvaH evaMrUpAm dAna paraMparAm kzaNa mAtram api
   hāpayati | na vicchinattyā bodhimaṇḍaniṣadanād iti | ya evaṃrūpa āśayo	hApayati | na vicCinattyA boDimaNxa nizadanAt iti | yaH evaMrUpaH ASayaH 
   'yaṃ bodhisatvasya dāne vipulāśaya iti | muditataraś ca bodhisatvo bhavati	ayam boDisatvasya dAne vipula ASayaH iti | muditataraH ca boDisatvaH Bavati
   tān satvān dānena tathānugṛhṇan | na tv eva te satvās tena	tAn satvAn dAnena taTA anugRhNan | na tu eva te satvAH tena
   dānenānugṛhyamāṇā iti | ya evaṃrūpa āśayo 'yaṃ bodhisatvasya dāne	dAnena anugRhyamANAH iti | yaH evaMrUpaH ASayaH ayam boDisatvasya dAne
   muditāśayaḥ | upakārakatarāṃś ca sa bodhisatvas tān satvān ātmanaḥ	mudita ASayaH | upakArakatarAn ca sa boDisatvaH tAn satvAn AtmanaH
   samanupaśyati | yeṣāṃ tathā dānenopakaroti nātmānaṃ | teṣām	samanupaSyati | yezAm taTA dAnena upakaroti na AtmAnam | tezAm
   anuttarasamyaksaṃbodhyupastambhatām upādāya iti | ya evaṃrūpa āśayo 'yaṃ	anuttara samyaksaMboDi upastamBa tAm upAdAya iti | yaH evaMrUpaH ASayaH ayam
   āśayaḥ | na ca bodhisatvaḥ satveṣu tathā vipulam api dānamayaṃ puṇyam	ASayaH | na ca boDisatvaH satvezu taTA vipulam api dAna mayam puNyam
   abhisaṃskṛtya pratikāreṇa vā artho bhavati vipākena vā iti | ya evaṃrūpa	aBisaMskRtya pratikAreNa vA arTaH Bavati vipAkena vA iti | yaH evaMrUpa
   āśayo 'yaṃ bodhisatvasya dānapāramitābhāvanāyāṃ nirlepāśayaḥ |	ASayaH ayam boDisatvasya dAna pAramitA BAvanAyAm nirlepa ASayaH |
   yadbodhisatvas tathā vipulasyāpi (Msa 103) dānaskandhasya vipākam satveṣv	yat boDisatvaH taTA vipulasya api (MsaH 103) dAna skanDasya vipAkam satvezu 
   abhinandati nātmanaḥ | sarvasatvasādhāraṇaṃ ca kṛtvānuttarāyāṃ	aBinandati na AtmanaH | sarva satva sADAraNam ca kRtvA anuttarAyAm
   samyaksaṃbodhau pariṇāmayati iti | ya evaṃrūpa āśayo 'yaṃ bodhisatvasya	samyaksaMboDO pariNAmayati iti | yaH evaMrUpaH ASayaH ayam boDisatvasya
   dānapāramitābhāvanāyāṃ kalyāṇāśayaḥ | tatra bodhisatvasya	dAna pAramitA BAvanAyAm kalyANa ASayaH | tatra boDisatvasya
   śīlapāramitābhāvanāyāṃ yāvat prajñāpāramitābhāvanāyām atṛptāśayaḥ | yad	SIla pAramitA BAvanAyAm yAvat prajQApAramitA BAvanAyAm atRpta ASayaH | yat 
   bodhisatvo gaṃgānadīvālikāsameṣv ātmabhāveṣu	boDisatvaH gaMgA nadI vAlikA samezu Atma BAvezu
   gaṃgānadīvālikāsamakalpāyuṣpramāṇeṣu sarvāupakaraṇanirantaravighātī	gaMgA nadI vAlikA sama kalpa AyuzpramANezu sarva aupakaraNa nirantara viGAtI
   trisāhasramahāsāhasralokadhātāv agnipratipūrṇe caturvidham īryāpathaṃ	tri sAhasra mahA sAhasra loka DAtO agni pratipUrNe caturviDam IryA paTam
   kalpayann ekaṃ śīlapāramitākṣaṇaṃ yāvat prajñāpāramitākṣaṇaṃ bhāvayed	kalpayan ekam SIla pAramitA akzaNam yAvat prajQApAramitA akzaNam BAvayet 
   etena paryāyeṇa yāvāṃś chīlaskandho yāvān ca prajñāsakandho yenānuttarāṃ	etena paryAyeNa yAvAn CIla skanDaH yAvAn ca prajQAsa kanDaH yena anuttarAm
   samyaksaṃbodhim abhisaṃbudhyate śīlaskandhaṃ yāvat prajñāskandhaṃ bhāvayed	samyaksaMboDim aBisaMbuDyate SIla skanDam yAvat prajQA skanDam BAvayet 
   atṛpta eva bodhisatvasya śīlapāramitābhāvanāyām āśayo yāvat	atRptaH eva boDisatvasya SIla pAramitA BAvanAyAm ASayaH yAvat 
   prajñāpāramitābhāvanāyām āśaya iti | ya evaṃrūpa āśayo 'yaṃ bodhisatvasya	prajQApAramitA BAvanAyAm ASayaH iti | yaH evaMrUpaH ASayaH ayam boDisatvasya
   śīlapāramitābhāvanāyām atṛptāśayo yāvat prajñāpāramitābhāvanāyām āśayaḥ |	SIla pAramitA BAvanAyAm atRpta ASayaH yAvat prajQApAramitA BAvanAyAm ASayaH |
   yadbodhisatvāstāṃ śīlapāramitābhāvanāparaṃparāṃ yāvat	yat boDisatvAH tAm SIla pAramitA BAvanA paraMparAm yAvat 
   prajñāpāramitābhāvanā paraṃparāmā bodhimaṇḍaniṣadanān na sraṃsayati na	prajQApAramitA BAvanA paraMparAmA boDimaNxa nizadanAt na sraMsayati na
   vicchinatti iti | ya evaṃrūpa āśayo 'yaṃ bodhisatvasya	vicCinatti iti | yaH evaMrUpaH ASayaH ayam boDisatvasya
   śīlapāramitābhāvanāyāṃ yāvat prajñāpāramitābhāvanāyāṃ vipulāśayaḥ |	SIla pAramitA BAvanAyAm yAvat prajQApAramitA BAvanAyAm vipula ASayaH |
   muditataraś ca bodhisatvo bhavati tayā śīlapāramitābhāvanayā yāvat	muditataraH ca boDisatvaH Bavati tayA SIla pAramitA BAvanayA yAvat 
   prajñāpāramitābhāvanayā satvānanugṛhlan | na tv eva te satvā anugṛhyamāṇā	prajQApAramitA BAvanayA satvAn anugRhlan | na tu eva te satvA anugRhyamANA
   iti | ya evaṃrūpa āśyo 'yaṃ bodhisatvasya śīlapāramitābhāvanāyāṃ yāvat	iti | yaH evaMrUpaH ASyaH ayam boDisatvasya SIla pAramitA BAvanAyAm yAvat 
   prajñāpāramitābhāvanāyāṃ muditāśayaḥ | upakārakatarāṃś ca bodhisatvastān	prajQApAramitA BAvanAyAm mudita ASayaH | upakArakatarAn ca boDisatvaH tAn
   satvānātmanaḥ samanupaśyati | yeṣāṃ tathā śīlapāramitābhāvanayā yāvat	satvAn AtmanaH samanupaSyati | yezAm taTA SIla pAramitA BAvanayA yAvat 
   prajñāpāramitābhāvanayā upakaroti nātmānaṃ | teṣām	prajQApAramitA BAvanayA upakaroti na AtmAnam | tezAm
   anuttarasamyaksaṃbodhyupastambhatām upādāya iti | ya evaṃrūpa āśayo 'yaṃ	anuttara samyaksaMboDi upastamBa tAm upAdAya iti | yaH evaMrUpaH ASayaH ayam
   bodhisatvasya śīlapāramitābhāvanāyāṃ yāvat prajñāpāramitābhāvanāyām	boDisatvasya SIla pAramitA BAvanAyAm yAvat prajQApAramitA BAvanAyAm
   upakārāśayaḥ | na ca bodhisatvastathā vipulam api śīlapāramitābhāvanāmayaṃ	upakAra ASayaH | na ca boDisatvaH taTA vipulam api SIla pAramitA BAvanA mayam
   yāvat prajñāpāramitābhāvanāmayaṃ puṇyam abhisaṃskṛtya pratikāreṇa vārtho	yAvat prajQApAramitA BAvanA mayam puNyam aBisaMskRtya pratikAreNa vA arTaH 
   bhavati vipākena vā iti | ya evaṃrūpa āśayo 'yaṃ bodhisatvasya	Bavati vipAkena vA iti | yaH evaMrUpaH ASayaH ayam boDisatvasya
   śīlapāramitābhāvanāyāṃ yāvat prajñāpāramitābhāvanāyāṃ nirlepāśayaḥ | tatra	SIla pAramitA BAvanAyAm yAvat prajQApAramitA BAvanAyAm nirlepa ASayaH | tatra
   yad bodhisatva evaṃ śīlapāramitābhāvanāmayasya yāvat	yat boDisatvaH evam SIla pAramitA BAvanA mayasya yAvat 
   prajñāpāramitābhāvanāmayapuṇyaskandhasya vipākaṃ satveṣv evābhinandati	prajQApAramitA BAvanA maya puNya skanDasya vipAkam satvezu eva aBinandati
   nātmanaḥ | sarvasatvasādhāraṇaṃ ca kṛtvānuttarāyāṃ samyaksambodhau	na AtmanaH | sarva satva sADAraNam ca kRtvA anuttarAyAm samyaksamboDO
   pariṇāmayatīti | ya evaṃrūpa āśayo 'yaṃ bodhisatvasya	pariNAmayati iti | yaH evaMrUpaH ASayaH ayam boDisatvasya
   śīlapāramitābhāvanāyāṃ yāvat prajñāpāramitābhāvanāyāṃ kalyāṇāśayaḥ |	SIla pAramitA BAvanAyAm yAvat prajQApAramitA BAvanAyAm kalyANa ASayaH |
   upāyasaṃniśritā bhāvanā tryākārā | nirvikalpena jñānena	upAya saMniSritA BAvanA tri AkArAH | nirvikalpena jQAnena
   trimaṇḍalapariśuddhipratyavekṣaṇatām upādāya | tathā hi sa upāyaḥ	tri maNxala pariSudDi pratyavekzaNa tAm upAdAya | taTA hi saH upAyaH
   sarvamanasikārāṇām abhiniṣpattaye | vibhutvasaṃniśritā pāramitābhāvanā	sarva manasikArANAm aBinizpattaye | viBu tva saMniSritA pAramitA BAvanA
   tryākārā | kāyavibhutvataḥ | caryāvibhutvataḥ | deśanāvibhutvataś ca |	tri AkArAH | kAya viBu tvataH | caryA viBu tvataH | deSanA viBu tvataH ca |
   tatra kāyavibhutvaṃ (Msa 104) tathāgate dvau kāyau draṣṭavyau svābhāvikaḥ	tatra kAya viBu tvam (MsaH 104) taTAgate dvO kAyO drazwavyO svABAvikaH
   sāṃbhogikaś ca | tatra caryāvibhutvaṃ nairmāṇikaḥ kāyo draṣṭavyaḥ | yena	sAMBogikaH ca | tatra caryA viBu tvam nErmANikaH kAyaH drazwavyaH | yena
   sarvākārāṃ sarvasatvānāṃ sahadhārmikacaryāṃ darśayati | deśanāvibhutvaṃ	sarva AkArAm sarva satvAnAm saha DArmika caryAm darSayati | deSanA viBu tvam
   ṣaṭpāramitāsarvākāradeśanāyām avyāghātaḥ | prabhedasaṃgrahe dvādaśa ślokāḥ	zaz pAramitA sarva AkAra deSanAyAm avyAGAtaH | praBeda saMgrahe dvAdaSa SlokAH
   | dānādīnāṃ pratyekaṃ ṣaḍarthaprabhedataḥ | ṣaḍarthāḥ	| dAna AdInAm pratyekam zaz arTa praBedataH | zaz arTAH
   svabhāvahetuphalakarmayogavṛttyarthāḥ | tatra dānaprabhede dvau ślokau |	svaBAva hetu Pala karma yoga vRtti arTAH | tatra dAna praBede dvO SlokO |
   pratipādanam arthasya cetanā mūlaniścitā |	pratipAdanam arTasya cetanA mUla niScitAH |
   bhogātmabhāvasaṃpattī dvayānugrahapūrakaṃ || AMsa_16.17 ||	Boga Atma BAva saMpattI dvaya anugrahapUrakam || AMsaH _16.17 ||
   amātsaryayutaṃ tac ca dṛṣṭadharmāmiṣābhaye |	amAtsarya yutam tat ca dRzwa Darma Amiza aBaye |
   dānam eva parijñāya paṇḍitaḥ samudānayet || AMsa_16.18 ||	dAnam eva parijQAya paNxitaH samudAnayet || AMsaH _16.18 ||
   arthapratipādanaṃ pratigrāhakeṣu dānasya svabhāvaḥ | alobhādisahajā cetanā	arTa pratipAdanam pratigrAhakezu dAnasya svaBAvaH | aloBa Adi sahajA cetanA
   hatuḥ | bhogasaṃpattir ātmabhāvasaṃpattiś cāyurādisaṃgṛhītā phalaṃ	hatuH | Boga saMpattiH Atma BAva saMpattiH ca AyuH Adi saMgRhItA Palam
   pañcasthānasūtravat | svaparānugraho mahābodhisaṃbhāraparipūriś ca karma |	paQca sTAna sUtra vat | sva para anugrahaH mahA boDi saMBAra paripUriH ca karma |
   amātsaryayogo amatsariṣu vartate | dṛṣṭadharmāmiṣābhayapradānaprabhedena	amAtsarya yogaH amatsarizu vartate | dRzwa Darma Amiza aBaya pradAna praBedena
   ceti vṛttiḥ | śīlaprabhede dvau ślokau |	ca iti vRttiH | SIla praBede dvO SlokO |
   ṣaḍaṅgaśamabhāvāntaṃ sugatisthitidāyakaṃ |	zaxaFga Sama BAva antam su gati sTiti dAyakam |
   pratiṣṭhāśāntanirbhītaṃ puṇyasaṃbhārasaṃyutaṃ || AMsa_16.19 ||	pratizWA SAnta nirBItam puNya saMBAra saMyutam || AMsaH _16.19 ||
   saṃketadharmatālabdhaṃ saṃvarastheṣu vidyate |	saMketa Darma tA labDam saMvara sTezu vidyate |
   śīlam evaṃ parijñāya paṇḍitaḥ samudānayet || AMsa_16.20 ||	SIlam evam parijQAya paNxitaH samudAnayet || AMsaH _16.20 ||
   ṣaḍaṅgam iti svabhāvaḥ | ṣaḍaṅgīti śīlavān viharati yāvat samādāya śikṣate	zaz aFgam iti svaBAvaH | zaxaFgI iti SIlavAn viharati yAvat samAdAya Sikzate
   śikṣāpadeṣv iti | śamabhāvāntam iti hetuḥ | nirvāṇābhiprāyeṇa samādānāt |	SikzA padezu iti | Sama BAva antam iti hetuH | nirvANa aBiprAyeNa samAdAnAt |
   sugatisthitidāyakam iti phalaṃ | śīlena sugatigamanāt |	sugati sTiti dAyakam iti Palam | SIlena sugati gamanAt |
   avipratisārādikrameṇa cittasthitilābhāc ca | pratiṣṭhāśāntanirbhītam iti	avipratisAra Adi krameNa citta sTiti lABAt ca | pratizWA SAnta nirBItam iti
   karma | śīlaṃ hi sarvaguṇānāṃ pratiṣṭhā bhavati | kleśaparidāhaśāntyā ca	karma | SIlam hi sarva guNAnAm pratizWA Bavati | kleSa paridAha SAntyA ca
   śāntaṃ | prāṇātipātādipratyayānāṃ (Msa 105) ca bhayāvadyavairāṇām	SAntam | prANa atipAta Adi pratyayAnAm (MsaH 105) ca Baya avat ya vErANAm
   aprasavān nirbhotaṃ | puṇyasaṃbhārasaṃyutam iti yogaḥ sarvakālaṃ	aprasavAn nirBotam | puNya saMBAra saMyutam iti yogaH sarvakAlam
   kāyavāṅmanaskarmasamāvaraṇāt | saṃketadharmatālabdhaṃ saṃvarastheṣu	kAya vAc manaskarma sama AvaraNAt | saMketa Darma tA labDam saMvara sTezu
   vidyata iti vṛttis tatra saṃketalabdhaṃ prātimokṣasaṃvarasaṃgṛhītaṃ |	vidyate iti vRttiH tatra saMketa labDam prAtimokza saMvara saMgRhItam |
   dharmatāpratilabdhaṃ dhyānānāsravasaṃvarasaṃgṛhītam eṣāsya prabhedavṛttiḥ	DarmatA pratilabDam DyAnAn Asrava saMvara saMgRhItam eza asya praBeda vRttiH
   trividhena prabhedena vartanāt | saṃvarastheṣu vidyata ity ācāravṛttiḥ |	triviDena praBedena vartanAt | saMvara sTezu vidyate iti AcAra vRttiH |
   kṣāntiprabhede dvau ślokau |	kzAnti praBede dvO SlokO |
   marṣādhivāsanajñānaṃ kāruṇyād dharmasaṃśrayāt |	marza aDivAsana jQAnam kAruNyAt Darma saMSrayAt |
   pañcānuśaṃsam ākhyātaṃ dvayor arthakaraṃ ca tat || AMsa_16.21 ||	paQca anuSaMsam AKyAtam dvayoH arTa karam ca tat || AMsaH _16.21 ||
   tapaḥ prābalyasaṃyuktaṃ teṣu tattrividhaṃ mataṃ |	tapaH prAbalya saMyuktam tezu tat triviDam matam |
   kṣāntim evaṃ parijñāya paṇḍitaḥ samudānayet || AMsa_16.22 ||	kzAntim evam parijQAya paNxitaH samudAnayet || AMsaH _16.22 ||
   marṣādhivāsajñānam iti trividhiyāḥ kṣānteḥ svabhāvaḥ |	marza aDivAsa jQAnam iti triviDiyAH kzAnteH svaBAvaH |
   apakāramarṣaṇakṣānter marṣaṇāṃ marṣa iti kṛtvā | duḥkhādhivāsakṣānter	apakAra marzaNa kzAnteH marzaNAm marzaH iti kRtvA | duHKa aDivAsakzAnteH 
   dharmanidhyānakṣānteś ca yathākramaṃ |	Darma niDi AnakzAnteH ca yaTAkramam |
   kāruṇyād dharmasaṃśrayād iti hetuḥ | dharmasaṃśrayaḥ punaḥ | śīlasamādānaṃ	kAruNyAt Darma saMSrayAt iti hetuH | Darma saMSrayaH punar | SIla samAdAnam
   śrutaparyavāptiś ca | pañcānuśaṃsam ākhyātam iti phalaṃ | yathoktaṃ sūtre	Sruta paryavAptiH ca | paQca anuSaMsam AKyAtam iti Palam | yaToktam sUtre
   | pañcānuśaṃsāḥ kṣāntau | na vairabahulo bhavati | na bhedabahulo bhavati	| paQca anuSaMsAH kzAntO | na vEra bahulaH Bavati | na Beda bahulaH Bavati
   | sukhasaumanasya bahulo bhavati | avipratisārī kālaṃ karoti | kāyasya na	| suKa sOmanasya bahulaH Bavati | avipratisArI kAlam karoti | kAyasya na
   bhedāt sugatau svargaloke deveṣūpapadyate iti | dvayor arthakaraṃ ca tad	BedAt sugatO svarga loke devezu upapadyate iti | dvayoH arTa karam ca tat 
   iti marṣādhivāsanam ity adhikṛtaṃ idaṃ karma | yathoktaṃ |	iti marza aDivAsanam iti aDikRtam idam karma | yaToktam |
   dvayor arthaṃ sa kurūte ātmanaś ca parasya ca |	dvayoH arTam sa kurUte AtmanaH ca parasya ca |
   yaḥ paraṃ kupitaṃ jñātvā svayaṃ tatropaśāmyati || iti ||	yaH param kupitam jQAtvA svayam tatra upaSAmyati || iti ||
   tapaḥprābalyasaṃyuktam iti yogaḥ | yathoktaṃ | kṣāntiḥ paramaṃ tapa iti |	tapaH prAbalya saMyuktam iti yogaH | yaToktam | kzAntiH paramam tapaH iti |
   teṣu tad ity ādhāravṛttiḥ kṣamiṣu tadvṛtteḥ | trividhaṃ matam iti	tezu tat iti ADAra vRttiH kzamizu tad vRtteH | triviDam matam iti
   prabhedavṛttis trividhakṣāntiprabhedena yathoktaṃ prāk | vīryaprabhede	praBeda vRttiH triviDa kzAnti praBedena yaToktam prAk | vIrya praBede
   dvau ślokau |	dvO SlokO |
   utsāhaḥ kuśale samyak śraddhācchandapratiṣṭhitaḥ |	utsAhaH kuSale samyak SradDAcCanda pratizWitaH |
   smṛtyādiguṇavṛddhau ca saṃkleśaprātipakṣikaḥ || AMsa_16.23 ||	smRti Adi guNa vRdDO ca saMkleSa prAtipakzikaH || AMsaH _16.23 ||
   alobhādiguṇopetas teṣu saptavidhaś ca saḥ |	aloBa Adi guNa upetaH tezu saptaviDaH ca saH |
   vīryam eva parijñāya paṇḍitaḥ samudānayeta || AMsa_16.24 ||	vIryam eva parijQAya paNxitaH samudAnayeta || AMsaH _16.24 ||
   utsāhaḥ kuśale samyag iti svabhāvaḥ | kuśala iti	utsAhaH kuSale samyak iti svaBAvaH | kuSalaH iti
   tadanyakṛtyotsāhavyudāsātha samyag ity	tad anya kRtya utsAha vyudAsA aTa samyak iti 
   anyatīrthikamokṣārthotsāhavyudāsārthaṃ | śraddhāc chandapratiṣṭhita iti	anya tIrTika mokza arTa utsAha vyudAsa arTam | SradDAt Canda pratizWitaH iti
   hetuḥ śraddadhāno hy atīva vīryam ārabhati | smṛtyādiguṇavṛddhāv iti	hetuH SraddaDAnaH hi atIva vIryam AraBati | smRti Adi guNa vRdDO iti
   phalaṃ | ārabdhavīryasya (Msa 106) smṛtisamādhyādiguṇodbhavāt |	Palam | ArabDa vIryasya (MsaH 106) smRti samADi Adi guNa udBavAt |
   saṃkleśaprātipakṣika iti karma | yathoktaṃ ārabdhavīryas tu sukhaṃ	saMkleSa prAtipakzikaH iti karma | yaToktam ArabDa vIryaH tu suKam
   viharaty avyavakīrṇaḥ pāpakair akuśalair dharmair iti | alobhādiguṇopeta	viharati avyavakIrNaH pApakEH akuSalEH DarmEH iti | aloBa Adi guNa upeta
   iti yogaḥ | teṣv ity ārabdhavīryeṣu iyam ādhāravṛttiḥ | saptavidha iti	iti yogaH | tezu iti ArabDa vIryezu iyam ADAra vRttiH | saptaviDaH iti
   prabhedavṛttiḥ | sa punar adhiśīlādiśikṣātraye kāyikaṃ cetasikaṃ ca	praBeda vRttiH | sa punar aDi SIla Adi SikzA traye kAyikam cetasikam ca
   sātatyena satkṛtya ca yad vīryaṃ | dhyānaprabhede dvau ślokau |	sAtatyena satkRtya ca yat vIryam | DyAna praBede dvO SlokO |
   sthitiś cetasa adhyātmaṃ smṛtivīryapratiṣṭhitaṃ |	sTitiH cetasa aDyAtmam smRti vIrya pratizWitam |
   sukhopapattaye 'bhijñāvihāravaśavartakam || AMsa_16.25 ||	suKa upapattaye aBijQA vihAra vaSavartakam || AMsaH _16.25 ||
   dharmāṇāṃ pramukhaṃ teṣu vidyate trividhaś ca saḥ |	DarmANAm pramuKam tezu vidyate triviDaH ca saH |
   dhyānam evaṃ parijñāya paṇḍitaḥ samudānayet || AMsa_16.26 ||	DyAnam evam parijQAya paNxitaH samudAnayet || AMsaH _16.26 ||
   sthitiś cetasa adhyātmam iti svabhāvaḥ | smṛtivīryapratiṣṭhitam iti hetuḥ	sTitiH cetasa aDyAtmam iti svaBAvaH | smRti vIrya pratizWitam iti hetuH
   | ālambanāsaṃpramoṣe sati vīryaṃ niśritya samāpattyabhinirhārāt |	| Alambana asaMpramoze sati vIryam niSritya samApatti aBinirhArAt |
   sukhopapattaye iti phalaṃ dhyānasyāvyābādhopapattiphalatvāt |	suKa upapattaye iti Palam DyAnasya avyAbADa upapatti Pala tvAt |
   abhijñāvihāravaśavartakam iti karma | dhyānenābhijñāvaśavartanāt |	aBijQA vihAra vaSavartakam iti karma | DyAnena aBijQA vaSa vartanAt |
   āryadivyabrāhmavihāravaśavartanāc ca | dharmāṇāṃ pramukham iti prāmukhyena	Arya divya brAhma vihAra vaSa vartanAt ca | DarmANAm pramuKam iti prAmuKyena
   yogaḥ | yathoktaṃ | samādhipramukhāḥ sarvadharmā iti | teṣu vidyata iti	yogaH | yaToktam | samADi pramuKAH sarva DarmAH iti | tezu vidyate iti
   dhyāyiṣv iyam ādhāravṛttiḥ | trividhaś ca sa iti savitarkaḥ savicāraḥ	DyAyizu iyam ADAra vRttiH | triviDaH ca saH iti savitarkaH sa vicAraH
   avitarko vicāramātraḥ | avitarko avicāraḥ | punaḥ prītisahagataḥ |	avitarkaH vicAra mAtraH | avitarkaH avicAraH | punar prIti sahagataH |
   sātasahagataḥ | upekṣāsahagataś ca | iyaṃ prabhedavṛttiḥ | prajñāprabhede	sAta sahagataH | upekzA sahagataH ca | iyam praBeda vRttiH | prajQA praBede
   dvau ślokau |	dvO SlokO |
   samyakpravicayo jñeyaḥ śasamādhānapratiṣṭhitaḥ |	samyak pravicayaH jQeyaH Sasam ADAna pratizWitaH |
