   śrī-śrī-gopāla-campūḥ	SrI--SrI--gopAla--campUH
   pālyamāna-yaśās tri-daśālaya-mune rahaḥ-sahabhāvam āsasāda | yatra ca	pAlyamAna--yaSAH tri-daSa-Alaya--mune rahaH--sahaBAvam AsasAda | yatra ca
   saṃśayānuśāyātiśaya-maya-mānaṃ munis taṃ vibhāvitayā bhāvi-tat-tal-līlayā	saMSaya-anuSAya-atiSaya--maya--mAnam muniH tam viBAvitayA BAvi-tat--tal--lIlayA
   sāntvayāmāsa |	sAntvayAmAsa |
   [7] tataḥ samasta-śasta-pālaḥ śri-gopālas taṃ visarjya	[7] tatas samasta-Sas-ta-pAlaH Sri-gopAlaH tam visarjya
   prasajyamāna-manas-tāpatayāpi	prasajyamAna--mana-s-tApatayA-api
   bahir-upahita-sarva-sukha-śrī-mukha-prakāśatayā sakhi-rāmārāmatayā ca	bahis--upahita--sarva--suKa--SrI-muKa--prakASa-tayA saKi--rAma-ArAma-tayA ca
   saha-go-vrajaṃ vrajam ājagāma | yathā-	saha--go-vrajam vrajam AjagAma | yaTA-
   dāmnā dāmnā sura-sumanasāṃ svargibhiḥ pūjyamānaṃ	dAmnA dAmnA sura-su-manasAm svargiBiH pUjyamAnam
   sāmnā sāmnā druhiṇa-sadasāṃ vīthibhiḥ stūyamānam |	sAmnA sAmnA druhiNa--sadasAm vITiBiH stUyamAnam |
   nāmnā nāmnā sa-paśu-paśupāṃ saṃmukhān nirmimāṇaṃ	nAmnA nAmnA sa-paSu--paSupAm saMmuKAn nirmimANam
   dhāmnā dhāmnā sukhadam akhilaḥ prāpa taṃ dṛśyamānam ||GC_2,2.2||	DAmnA DAmnA suKa-dam aKilaH prApa tam dRSyamAnam ||GC_2,2.2||
   [8] atra ca surāṇāṃ vacanam-	[8] atra ca surANAm vacanam-
   indor abhyudayāt paraṃ vikasati drāk kairavāṇāṃ ganaḥ	indoH aByudayAt param vikasati drAk kEravANAm ganaH
   sindhuḥ kṣubhyati kānti-pānam ayate dūrāc cakora-vrajaḥ |	sinDuH kzuByati kAnti-pAnam ayate dUrAt cakora-vrajaH |
   gopāḥ paśya mudā murāri-kalanād eṣām aśeṣāṃ daśāṃ	gopAH paSya mudA murAri--kalanAt ezAm aSezAm daSAm
   gacchanto'py ati-tṛptitā-vaśatayā dhāvanti yāvad gati ||GC_2,2.3|| iti |	gacCantaH-api ati-tRptita-a--vaSa-tayA DAvanti yAvat gati ||GC_2,2.3|| iti |
   tad evam-	tat evam-
   ālokaḥ prīti-bhājāṃ kṛti-bala-nikaraḥ kiṃkarāṇāṃ hṛd-antaḥ-	AlokaH prIti-BAjAm kRti-bala--nikaraH kiMkarANAm hRd-antaH-
   sāraḥ sakhya-sthitānāṃ hṛdi lasad asavas tāta-mātrādikānām |	sAraH saKya--sTitAnAm hRdi lasat asavaH tAta--mAtra-AdikAnAm |
   ātmā rāmāntarāṇāṃ harir iha samagāt keśinaṃ ghātayitvā	AtmA rAma-antarANAm hariH iha samagAt keSinam GAtayitvA
   gehaṃ yarhy eṣa tarhi prati-nijam agamaṃs te ca dehaṃ prasiddhāḥ	geham yarhi eza tarhi prati-nijam agaman te ca deham prasidDAH
   ||GC_2,2.4||	||GC_2,2.4||
   svenāmbā niramañchayat tam atha dṛṅ-nīraṃ vyamuñcat pitā	svena-ambA niramaQCayat tam aTa dRS--nIram vyamuQcat pitA
   sarve'nye pariphullad aṅga-valitāṃ romāñcitām āñciṣuḥ |	sarve-anye pariPullat aFga-valitAm romAQcitAm AQcizuH |
   anyac ca kvacana sphurad-vacanatātītaṃ tad āsīd yadā	anyat ca kvacana sPurat--vacana-tA-atItam tat AsIt yadA
   hatvā keśinam āvrajat kalakalāndoli-vrajaṃ sa prabhuḥ ||GC_2,2.5||	hatvA keSinam Avrajat kalakalAn-doli-vrajam sa praBuH ||GC_2,2.5||
   [9] tataś ca prātar atulotpāta-kātaratayā nātisambhālita-lālana-vitarau	[9] tatas ca prAtar atula-utpAta--kAtara-tayA na-ati-samBAli-ta-lAlana-vitarO
   matara-pitarau putraṃ pari samāśleṣitarau	matara--pitarO putram pari samASlezitarO
   gṛhāpana-snehālapana-snapana-divyavāsaḥ-paṭavāsa-samarpaṇa-lepānulepa-prathanayā	gRha-apana--sneha-Alapana--snapana--divya-vAsaH--pawa-vAsa--samarpaNa-lepa-anulepa--praTanayA
   taṃ kṣaṇa-katipayaṃ viśramayām āsatuḥ |	tam kzaNa-katipayam viSramayAm AsatuH |
   [10] yatas taṃ sadā komalam eva kalayām babhūvatur yuddhādi-samaye tu	[10] yatas tam sadA komalam eva kalayAm baBUvatuH yudDa-Adi-samaye tu
   nārāyaṇa-vyaktīkṛta-tātkālika-śakti-mayam iti |	nArAyaNa--vyaktIkRta--tAtkAlika--Sakti-mayam iti |
   [11] atha gavāṃ dohanāvasarāvarohaḥ syād iti sarva-sukha-pālaḥ	[11] aTa gavAm dohanO=-asara-avarohaH syAt iti sarva--suKa-pAlaH
   śrīla-gopālaḥ svayam agrajena samagrībhūya	SrIla--gopAlaH svayam agrajena samagrIBUya
   tadīya-sāmagrīkara-kiṅkara-nikaram ahūya tāsām agrīya-bhū-bhāgam āgatavān	tadIya--sAmagrI-kara--kiFkara-nikaram ahUya tAsAm agrIya--BU--BAgam AgatavAn
   | āgata-mātre ca tatra sa-rāma-śyāma-gātre-	| Agata--mAtre ca tatra sa-rAma--SyAma--gAtre-
   huṅkāra-ghoṣa-racitākhila-śabda-moṣaḥ	huFkAra--Goza--racita-aKila--Sabda-mozaH
   srāg-abda-kāntim amum āstṛta-dhenu-saṅghaḥ |	srAj--abda--kAntim amum AstRta--Denu--saFGaH |
   vatsān vināpi balavat snavam eṣa tais taṃ	vatsAn vinA-api balavat snavam eza tEH tam
   sad vatsalaḥ saha-balaḥ śabalaṃ cakāra ||GC_2,2.6||	sat vatsalaH saha-balaH Sabalam cakAra ||GC_2,2.6||
   tatra tu-	tatra tu-
   sarvaṃ cakāra sa hariḥ paritaḥ purāvad	sarvam cakAra sa hariH paritas purA-avat-
   dadhre surarṣi-vacasā tu vidūnamantaḥ |	daDre suraRzi-vacasA tu vidUnam-antar |
   yady apy adas tad api tasya nija-vrajāya	yadi api adaH tat api tasya nija-vrajAya
   pratyāgatir hṛdi kṛtā sthiratāṃ pupoṣa ||GC_2,2.7||	pratyAgatiH hRdi kRtA sTira-tAm pupoza ||GC_2,2.7||
   12] tathā hi, tasya bhāvānām udbhāvanā-	12] taTA hi, tasya BAvAnAm udBAvanA-
   kaṃsaṃ hantuṃ prayāṇi sphurati pitṛ-mukha-prema tad-vighna-rūpaṃ	kaMsam hantum prayANi sPurati pitR-muKa--prema tad--viGna--rUpam
   devarṣer vāṅ na mithyā katham atha virahaṃ hā saheya vrajasya ?	deva-rzeH vAc na miTyA kaTam aTa viraham hA saheya vrajasya ?
   nirṇīte'py atra jāte kṛtam asukhamayenāsya cintāmalena	nirNIte-api atra jAte kRtam asuKa-mayena-asya cintAmalena
   smartavyaṃ tat tu nityaṃ yad iha sukha-mayaṃ vaibhavaṃ bhāvi-saṅge	smartavyam tat tu nityam yat iha suKa-mayam vEBavam BAvi-saFge
   ||GC_2,2.8||	||GC_2,2.8||
   ity acintyata cānena rathaḥ kaścana caikṣyata |	iti acintyata ca-anena raTaH kaScana ca-Ekzyata |
   mahatāṃ hṛdaye yāti pratibimbaṃ hi bimbatām ||GC_2,2.9||	mahatAm hRdaye yAti pratibimbam hi bimbatAm ||GC_2,2.9||
   [13] ratha-stha-puruṣasya darśane tu-	[13] raTa--sTa-puruzasya darSane tu-
   rathī nirastraḥ syād dūta iti kṛṣṇena tarkitam |	raTI nirastraH syAt dUtaH iti kRzNena tarkitam |
   kaṃsāt kasmād asāv āgād ity anyair api śaṃkitam ||GC_2,2.10||	kaMsAt kasmAt asO AgAt iti anyEH api SaMkitam ||GC_2,2.10||
   [14] tadā ca vāruṇīm anuraktaḥ patana-saktaḥ sa dina-nāthaḥ	[14] tadA ca vAruNIm anuraktaH patana--saktaH sa dina-nATaH
   kṛta-nadī-nātha-pāthaḥ-kvāthaḥ svam ālokaṃ lokam api tamasi veśayāmāsa |	kRta-nadI--nATa--pATaH--kvATaH svam Alokam lokam api tamasi veSayAmAsa |
   satyaṃ sūryas turya-	satyam sUryaH turya-
   praharasyāntaṃ yayau kintu |	praharasya-antam yayO kintu |
   sabala-hariḥ pratiharitaṃ	sa-bala--hariH pratiharitam
   hārita-timiraṃ vyadhān nijaṃ kiraṇam ||GC_2,2.11||	hArita--timiram vyaDAt nijam kiraNam ||GC_2,2.11||
   [15] tata unmukhatāṃ yāteṣu gopa-jāteṣu samam unnata-karṇa-saṅghāteṣu ca	[15] tatas unmuKa-tAm yAtezu gopa-jAtezu samam unnata-karNa--saFGAtezu ca
   go-vrāteṣu tad avalokana-satṛṣṇau bala-kṛṣṇau ratha-sthaḥ sa dūrata eva	go-vrAtezu tat avalokana--sa-tRzNO bala-kRzNO raTa-sTaH sa dUratas eva
   sākṣāt paricitiṃ vināpi paricitavān |	sAkzAt paricitim vinA-api paricitavAn |
   yataḥ,	yatas-,
   cakṣur eva paricāyakaṃ bhaved	cakzuH eva paricAyakam Bavet-
   rūpa-mātra iti gīḥ satāṃ matā |	rUpa--mAtraH iti gIH satAm matA |
   tādṛśām anubhave tu karṇayor	tAdRSAm anuBave tu karNayoH-
   dṛṣṭi-śaktir api kṛṣṭim ṛcchati ||GC_2,2.12||	dRzwi--SaktiH api kRzwim RcCati ||GC_2,2.12||
   astu tāvad anayoh surūpatā	astu tAvat anayoh surUpa-tA
   nīla-ratna-vidhu-lobhi-śobhayoḥ |	nIla--ratna--viDu--loBi--SoBayoH |
   aṅghri-cihnam api citra-saṃnibhaṃ	aFGri-cihnam api citra--saMniBam
   dūrato'pi tam amūmuhan muhuḥ ||GC_2,2.13||	dUratas-api tam amUmuhan muhur ||GC_2,2.13||
   [16] tayos tādṛśa-rūpam api nirūpitavān, yathā-	[16] tayoH tAdRSa--rUpam api nirUpitavAn, yaTA-
   ekaḥ śyāma-dyutīnām abhimata-vibhavasyādhidevāvatāras	ekaH SyAma-dyutInAm aBimata--viBavasya-aDideva-avatAra-s
   tat sadhryaṅ śubhra-śobhā-samudaya-subhagābhoga-sāra-prasāraḥ |	tat saDryaF SuBra--SoBA--samudaya--suBagA-Boga--sAra--prasAraH |
   tatrādir vastra-kānti-praciti-bhagavatī-kṛṣṭa-lakṣmī-pracāraḥ	tatra-AdiH vastra--kAnti-praciti--BagavatI--kRzwa--lakzmI--pracAraH
   kiṃ cānyaḥ kānta-vāsaś chavi-śavalanayā sṛṣṭa-pūrvānukāraḥ ||GC_2,2.14||	kim ca-anyaH kAnta-vAsaH Cavi--Sava-lanayA sRzwa--pUrva-anukAraH ||GC_2,2.14||
   tathā-	taTA-
   ādyaḥ kṛṣṇāmbuja-śrī-vijayi-mukha-mahā-śobhayā datta-modas	AdyaH kRzNa-ambuja--SrI--vijayi--muKa--mahA-SoBayA datta-modas
   tat sadhryaṅ puṇḍarīka-dyuti-paricaya-jid-vaktra-rocir-vinodaḥ |	tat saDryaF puNxarIka-dyuti--paricaya--jit--vaktra--rocir-vinodaH |
   tatrādir netra-śobhā-viracita-rucimat-khañjana-dyotano'daḥ	tatra-AdiH netra--SoBA--viracita--rucimat--KaQjana-dyotanaH-adaH
   kiṃ cānyaś cakṣur antāruṇa-kusuma-rajaḥ-piñjarāli-pratodaḥ ||GC_2,2.15||	kim ca-anyaH cakzuH anta-aruNa--kusuma--rajaH-piQjarAli--pratodaH ||GC_2,2.15||
   tathā-	taTA-
   ādyaḥ śrī-kuṇḍalāntar-jhaṣa-mukha-sukha-kṛd-dyota-gaṇḍa-sthalīkas	AdyaH SrI--kuNxala-antar--Jaza--muKa--suKa-kRt--dyota--gaNxa--sTalIka-s
   tat sadhryaṅ śaśvad eka-śruti-kiraṇa-lasat-karṇikābhāvalīkaḥ |	tat saDryaF SaSvat eka-Sruti-kiraNa-lasat-karNikA-BAvalIkaH |
   tatrādiś cāpa-vad-bhrū-mila-tila-kusuma-ghrāṇa-vāṇac chavīkaḥ	tatra-AdiH ca-apa-vat--BrU-mila--tila--kusuma-GrANa--vANat SavIkaH
   kiṃ cānyaś tad dvitīya-dyuti-jita-vilasat-kāma-ceto-gavīkaḥ ||GC_2,2.16||	kim ca-anyaH tat dvitIya--dyuti--jita--vilasat--kAma--cetaH--gavIkaH ||GC_2,2.16||
   tathā-	taTA-
   ādyaḥ svar nātha-ratna-dyuti-bhuja-bhujaga-dyoti-ratnair vicitras	AdyaH svar nATa--ratna--dyuti--Buja--Buja-ga-dyoti--ratnEH vicitra-s
   tat sadhryaṅ puṣpa-rāgābhida-maṇi-racita stambha-jid-bāhu-citraḥ |	tat saDryaF puzpa-rAga-aBida-maNi--racita stamBa-jit--bAhu--citraH |
   tatrādiḥ śrīla-nīlac-chavi-nikaṣa-duraḥsvarṇa-rekhā-pavitraḥ	tatra-AdiH SrIla--nIla-c-Cavi--nikaza--duraH-svarNa--reKA--pavitraH
   kiṃ cānyaś kroḍa-bhāsāśiva-giri-maṇi-bhū-kānti-sampal-lavitraḥ	kim ca-anyaH kroxa--BAsA-Siva--giri-maNi--BU--kAnti--sampal-lavitraH
   ||GC_2,2.17||	||GC_2,2.17||
   tathā-	taTA-
   ādyaḥ sāṅgādharāṅga-cchavi-kavi-kavitā-vardhi-nānardhi-yuktas-	AdyaH sa-aFga-aDara-aFga--=-Cavi-ka-vi-kavitA--varDi-nAnarDi--yukta-s-
   tat sadhryaṅ tad vad eva prati-lava-ruciraḥ sarva-vidvadbhir uktaḥ |	tat sa-DryaF tat vat eva prati-lava--ruciraH sarva-vidvadBiH uktaH |
   tatrādiḥ padma-jidbhyāṃ nija-kaṭaka-varāyeva padbhyāṃ prayuktaḥ	tatra-AdiH padma-jidByAm nija--kawaka--varAya-iva padByAm prayuktaH
   kiṃ cānyas tat-sahāyāv iva nija-caraṇau cālayan bhī-prayuktaḥ	kim ca-anyaH tat-sahAyO iva nija--caraNO cAlayan BI--prayuktaH
   ||GC_2,2.18||	||GC_2,2.18||
   tathā-	taTA-
   ādyaḥ sārdrāṅga-nīla-praguṇa-taru-latā-hastatā-śasta-khelas-	AdyaH sa-Ardra-aFga--nIla--praguNa--taru-latA-a-hasta-tA--Sasta--Kela-s-
   tat-sadhryaṅ kandukārthaṃ kṛtahalatayā śākhayā labdha-melaḥ |	tat--saDryaF kanduka-arTam kRta-halatayA SAKayA labDa-melaH |
   tatrādiḥ saṅkucad-dhīr avayava-nicaya-vyāptaye k pta-celaḥ	tatra-AdiH saFkucad-DIH avayava--nicaya--vyAptaye k pta-celaH
   kiṃ cānyas tasya tadvan milana-kṛti-kṛte vīkṣitāgāmi-velaḥ ||GC_2,2.19||	kim ca-anyaH tasya tadvat milana--kRti-kRte vIkzita-agAmi-velaH ||GC_2,2.19||
   iti |	iti |
   kiṃ ca-	kim ca-
   śitī sa-taḍid-aṃśukau sad avataṃsa-vāma-śrutī	SitI sa-taxit--aMSukO sat avataMsa-vAma--SrutI
   puru-prabhava-rohiṇī sukha-sutau balākhyānvitau |	puru-praBava-rohiNI suKa--sutO bala-AKya-anvitO |
   sa-keli-mita-dhenukau parihṛtānya-janmāspadau	sa-keli-mita-DenukO parihRtAni-a-janma-AspadO
   dadarśa bala-keśvau kalabhavat sa vatsāntare ||GC_2,2.20||	dadarSa bala-keSvO kalaBa-vat sa vatsa-antare ||GC_2,2.20||
   api ca-	api ca-
   asita-maṇi-suvarṇa-varṇa-vāsaḥ	asita-maNi--suvarNa-varNa--vAsaH
   kaṭi-ghaṭitāmala-śṛṅga-veṇu-saṅgau |	kawi-Gawita-Amala--SRFga-veNu--saFgO |
   kara-dhṛta-paṭu-paṭṭa-śulva-yaṣṭhī	kara--DRta--pawu--pawwa--Sulva---yazWI
   musali-harī harataḥ sma cittam asya ||GC_2,2.21||	musali--harI harataH sma cittam asya ||GC_2,2.21||
   [17] darśana-mātrataś ca niścalana-phala-yātraḥ	[17] darSana--mAtrataH ca niScala-na--Pala-yAtraH
   kampa-sampat-pātra-śaṅkuvat-pulaka-saṅkula-gātratayā sahasā saha-sāraṃ	kampa--sampat--pAtra--SaFku-vat--pulaka--saFkula--gAtra-tayA sahasA saha--sAram
   rathād avatatāra | [18] avatīrya ca vikīryamāṇāṅga-tayā sāṅgam eva	raTAt avatatAraH | [18] avatIrya ca vikIryamANa-aFga-tayA sAFgam eva
   praṇanāma | tan-mātra-parimāṇatayā viśaśrāma ca | nija-pitṛvyatāditāyāṃ tu	praNanAma | tan--mAtra--parimANa-tayA viSaSrAma ca | nija--pitRvyatA-AditAyAm tu
   babhrāma | yataḥ,	baBrAma | yatas-,
   prabhāvānubhavī yaḥ syāt prabhāvas tasya kāraṇam |	praBAva-anuBavI yaH syAt praBAvaH tasya kAraNam |
   guru-lāghava-bhāvāya sarvam evānyathānyathā ||GC_2,2.22||	guru--lAGava--BAvAya sarvam eva-anyaTA-anyaTA ||GC_2,2.22||
   [19] tad evam avirāmaṃ praṇāmam eva prasajati tasmin gavaḥ parāḥ payaḥ	[19] tat evam avirAmam praNAmam eva prasajati tasmin gavaH parAH payaH
   sa-vayaḥ-samavāyena duhyantāṃ nīyantāṃ ca tad gṛhān iti nidiśan	sa-vayaH--samavAyena duhyantAm nIyantAm ca tat gRhAn iti nidiSan
   natīvādara-saṅkaratayā saṅkarṣaṇa-sahāyaḥ kṛpā-pūrataḥ purataḥ saṃhāya sa	natI-iva-Adara--saFkara-tayA saFkarzaNa--sahAyaH kRpA--pUrataH puratas saMhAya sa
   cāyaṃ siṃhāyamāna-saṃhananaḥ sābhyutthānaṃ karābhyāṃ tam utthāpayāmāsa |	ca-ayam siMhAyamAna--saMhananaH sA-aByutTAnam karAByAm tam utTApayAmAsa |
   [20] sa tu gadgada-gadān na tu sva-nāma gadituṃ	[20] sa tu gadgada--gadAt na tu sva-nAma gaditum
   śaśāka |	SaSAkaH |
   [21] tataś ca pravayaḥ-paśupa-cayeṣu viracita-tat-paricayeṣu tad	[21] tatas ca pravayaH-paSupa-cayezu viracita-tat--paricayezu tat-
   vyagratā-kātarau tau	vyagratA-kAtarO tO
   bhrātarau pitṛvyatā-vyavahāram api vismṛtya tam āliṅganenādṛtya	BrAtarO pitRvyatA--vyavahAram api vismRtya tam AliFganena-AdRtya
   nija-nija-pāṇinā tat prāṇī vidhṛtya svālayam evāninyatuḥ | [22] haris tu	nija--nija-pANinA tat prANI viDRtya su-a-Alayam eva-aninyatuH | [22] hariH tu
   sad vyavahāraṃ samāharann agrajam eva tatra nijāgresaraṃ cakāra |	sat vyavahAram samAharan agrajam eva tatra nija-agresaram cakAra |
   [23] atha sa yāthātathyam ātithya-prathama-bhāgaṃ svāgatādikaṃ prathayitvā	[23] aTa sa yATAtaTyam AtiTya-praTama--BAgam svAgata-Adikam praTayitvA
   sahānu-janmā rohiṇī-janmā rasa-sampanmayaṃ bhojya-pracayaṃa tasmai	saha-anu-janmA rohiNI--janmA rasa--sampad-mayam Bojya--pracayaMa tasmE
   balayāmāsa | bhukta-vate tu tasmai mukha-vāsanaṃ mukha-vāsa-mukhaṃ	balayAmAsa | Bukta-vate tu tasmE muKa--vAsanam muKa-vAsa--muKam
   sa-sukhaṃ samarpayāmāsa | tad anantaram eva ca śrīmad vraja-rājaṃ prati	sa--suKam samarpayAmAsa | tat anantaram eva ca SrImat vraja-rAjam prati
   taṃ bhājayāmasa |	tam BAjayAmasa |
   tatra ca-	tatra ca-
   akrūraṃ praṇataṃ milan vraja-patiḥ kaṃsottha-duḥkhaṃ smaran	akrUram praNatam milan vraja--patiH kaMsa-utTa--duHKam smaran
   sāsrāśīr-vacasākhila-klama-haraṃ yad yad guṇais tuṣṭuve |	sa-asra-ASIr-vacasA-aKila--klama--haram yat yat guNEH tuzwuve |
   sāralye'py alam asya tādṛśi manaḥ-krauryaṃ tadīyaṃ smarac	sAralye-api alam asya tAdRSi manaH--krOryam tadIyam smara-t-
   cittaṃ kṣubhyati jājvalīti mama hā bhaṣmībhavaty adya ca ||GC_2,2.23||	cittam kzuByati jAjvalI-iti mama hA BazmIBavati adya ca ||GC_2,2.23||
   [24] atha tena viśrāmāyādiṣṭaṃ vāsam āsajya paryaṅkopaviṣṭaṃ sammānitatayā	[24] aTa tena viSrAmAya-Adizwam vAsam Asajya paryaFka-upavizwam sammAnita-tayA
   sukhāviṣṭaṃ punas tābhyāṃ kṛta-jananī-saṃbhṛta-bhojanābhyāṃ saha rahasi	suKa-Avizwam punar tAByAm kRta--jana-nI--saMBRta-BojanAByAm saha rahasi
   niviṣṭam akrūraṃ svayaṃ kṛṣṇas tad darśanataḥ	nivizwam akrUram svayam kRzNaH tat darSanataH
   samudbuddha-kaṃsa-vadhādi-tṛṣṇas tad idam iṣṭaṃ papraccha | yatra ca	samudbudDa--kaMsa-vaDa-Adi-tRzNaH tat idam izwam papracCa | yatra ca
   krama-cāturī mādhurībhir iyaṃ sarva-sukha-dhurīṇatāṃ vahati-	krama--cAturI mADurIBiH iyam sarva--suKa-DurINa-tAm vahati-
   kiṃ tāta saumya sukham āgatam atra śaṃ vaḥ	kim tAta sOmya suKam Agatam atra Sam vaH
   kiṃ tatra kaṃsa-hatake na hate cirasya |	kim tatra kaMsa-hatake na hate cirasya |
   tau jīvataḥ kim iva vā pitarāv idānīṃ	tO jIvataH kim iva vA pitarO idAnIm
   kiṃ vā tavāgamana-maṅgala-bījam āsīt ||GC_2,2.24||	kim vA tava-Agamana-maFgala--bIjam AsIt ||GC_2,2.24||
   [25] athākrūra uvāca-tasya yādava-vīreṣu vairānubandhaḥ khalu bhavatā	[25] aTa-akrUraH uvAca-tasya yAdava--vIrezu vEra-anubanDaH Kalu BavatA
   kṛtānusandha eva; viśeṣatas tu devakī-vivāha-gatāham ārabhya yaḥ sa ca	kRta-anusanDaH eva; viSezataH tu devakI--vivAha--gatA-aham AraBya yaH sa ca
   bhavac chravasi sacamāna evāste | mad-vidhas tu tatra	Bavat Sravasi sacamAnaH eva-Aste | mad-viDaH tu tatra
   vartma-śata-parvikā-stamba-vad eva varvarti |	vartma--Sata-parvikA--stamba-vat eva varva-rti |
   vasudeva-sahodara-deva-bhāga-putraḥ parama-śuddhaḥ sa uddhava-nāmāpi	vasudeva--sahodara--deva--BAga--putraH parama--SudDaH saH udDava--nAma-api
   bhavad-viraha-vyādhiḥ pavana-vyādhitayābhidhīyata ity urvarita ivāsti |	Bavat--viraha--vyADiH pavana--vyADitayA-aBiDIyate iti urvaritaH iva-asti |
   [26] śrī-kṛṣṇa uvāca-tad etad api jñāyate | sāmpratas tu sapratīkaṃ	[26] SrI--kRzNaH uvAca--tat etat api jQAyate | sAmprataH tu sa-pratIkam
   kathyatām |	kaTyatAm |
   [27] akrūras tu parito nirīkṣya tad idaṃ sūkṣmākṣaram uvāca-atha	[27] akrUraH tu paritas nirIkzya tat idam sUkzma-akzaram uvAca-aTa
   śrī-nāradas tu tvādṛśi vijaya-sukha-sāradas tadṛśi durjanma-pārada iti sa	SrI-nAradaH tu tvAdRSi vijaya--suKa--sAradaH tadRSi durjanma--pAradaH iti sa
   tava vraja-premāvṛtasya tasya ca bhayenāstṛtasya yuyutsāyām utsāhanāya	tava vraja--prema-AvRtasya tasya ca Bayena-AstRtasya yuyutsAyAm utsAhanAya
   devakyāḥ saptamāṣṭama-garbhatayā yuvām anucitam iva sūcitavān |	devakyAH saptama-azwama-garBa-tayA yuvAm anucitam iva sUcitavAn |
   [28] ādau devakyā garbhaḥ khalu rohiṇyāṃ māyayā labdha-sandarbhaḥ kṛtaḥ	[28] AdO devakyAH garBaH Kalu rohiNyAm mAyayA labDa-sandarBaH kRtaH
   śrī-vasudevaḥ punas tāṃ māyām api yaśodāyāṃ labdha-sambhavāṃ vijñāya	SrI--vasudevaH punar tAm mAyAm api yaSodAyAm labDa-samBavAm vijQAya
   devakyāḥ sambhūtaṃ tvāṃ tat-paryaṅke nidhāya tāṃ tasyāṃ labdha-sambhavāṃ	devakyAH samBUtam tvAm tat--paryaFke niDAya tAm tasyAm labDa--samBavAn
   cakāra iti |	cakAraH iti |
   [29] śrī-kṛṣṇa uvāca-mamedam āścaryam iva bhāti |	[29] SrI--kRzNaH uvAca-mama-idam AScaryam iva BAti |
   [30] akrūra uvāca-śrīmad ānakadundhubhi-mukhād apy advandībhavann aham	[30] akrUraH uvAca--SrImat AnakadunDuBi--muKAt api advandIBavan aham
   anena saphalita-karṇa-dvandī-bhavann asmi |	anena sa-Palita-karNa-dvandI--Bavan asmi |
   [31] atha śrī-kṛṣṇaḥ kṣaṇaṃ vilakṣya iva nirīkṣya sahasā tad idam antaś	[31] aTa SrI--kRzNaH kzaNam vilakzyaH iva nirIkzya sahasA tat idam antar-
   cintitam avāpa-āṃ āṃ tad idam alupta-jñānasyāpi mama vraja-snehāveśa-vaśāt	cintitam avApa-Am Am tat idam alupta--jQAnasya-api mama vraja--sneha-AveSa--vaSAt
   purataḥ sphurannāsīt; samprati tu vismṛta-svapnavannimittaṃ prāpya	puratas sPuran=-AsIt; samprati tu vismRta--svapna-vat-nimittam prApya
   sphurati sma-[BhP 10.8.15,14] bahūni santi rūpāṇi nāmāni ca sutasya te	sPurati sma-[Bhu 10.8.15,14] bahUni santi rUpANi nAmAni ca sutasya te
   iti, prāg ayaṃ vasudevasya kvacij jātas tavātmajaḥ iti ca vrajāvitāraṃ	iti, prAk ayam vasudevasya kvacid jAtaH tava-AtmajaH iti ca vraja-avitAram
   śrīmat-pitaraṃ	SrImat--pitaram
   prati garga-siddhānta-vargam ete na paryālocitavantaḥ santi |	prati garga--sidDAnta-vargam ete na paryAlocitavantaH santi |
   [32] yat khalu vrajāvitryāṃ śrīman-madīya-savitryāṃ labdha-jaṭhara-vāsayā	[32] yat Kalu vraja-avitryAm SrIman-madIya--savitryAm labDa---jaWara--vAsayA
   māyayā saha dvi-bhujatayā labdha-hṛt-kamala-vāsasya mama śrī-devakyā	mAyayA saha dvi-Buja-tayA labDa--hRt--kamala--vAsasya mama SrI-devakyA
   hṛdaya-sambhavad-udayamad-rūpa-viśeṣa-caturbhuja-rūpācchādana-prārthanāyāṃ	hRdaya-samBavat--udayam-ad-rUpa-viSeza--catur-Buja--rUpa-AcCAdana--prArTanAyAm
   tatra sañcāraḥ sampanna ityasyāpratipannatayā tan-mātra-pratītim	tatra saQcAraH sampannaH iti-asya-apratipanna-tayA tan--mAtra--pratItim
   agatavantaḥ |bhavatu, mayā tu pitṛvyatāyāḥ pitṛtāyāś cānusartavyatayā	agatavantaH |Bavatu, mayA tu pitRvyatAyAH pitRtAyAH ca-anusartavya-tayA
   kartavya eva tayor uddhāraḥ iti |	kartavyaH eva tayoH udDAraH iti |
   [33] spaṣṭaṃ cācaṣṭa-tatas tataḥ ?	[33] spazwam ca-Acazwa--tatas tatas ?
   [34] akrūra uvāca-tataś ca vasudeva-vadha-samudyataṃ tam adhamaṃ sāntvataḥ	[34] akrUraH uvAca-tatas ca vasudeva--vaDa--samudyatam tam aDamam sAntvataH
   śamayitvā bhramayitvā ca sa tu kratu-bhug-munir yathāyathaṃ gataḥ | tatra	SamayitvA BramayitvA ca sa tu kratu-Buj---muniH yaTAyaTam gataH | tatra
   gate tūcchṛṅkhalaḥ kaṃsaḥ kālāyasa-śṛṅkhalayā sanirbandhaṃ tava pitarau	gate tu-ucCRFKalaH kaMsaH kAlAyasa--SRFKalayA sa-nirbanDam tava pitarO
   babandha iti |	babanDaH iti |
   [35] atha bhrātarāv ubhāv api sāsrāv aśrāvayatām-tarhi kiṃ pitror eva	[35] aTa BrAtarO uBO api sa-asrO aSrAvayatAm--tarhi kim pitroH eva
