   Kālidāsa: Raghuvaṃśa	KAli-dAsa: RaGu-vaMSa
   vaṃśasya kartāramanantakīrtiṃ sudakṣiṇāyāṃ tanayaṃ yayāce // Ragh(K)_2.64	vaMSasya kartAram-ananta-kIrtim sudakziNAyAm tanayam yayAce // RaG(K)_2.64
   santānakāmāya tatheti kāmaṃ rājñe pratiśrutya payasvinī sā /	santAna-kAmAya taTA-iti kAmam rAjQe pratiSrutya payasvinI sA /
   dugdhvā payaḥ pattrapuṭe madīyaṃ putropayuṅkṣveti tamādideśa //	dugDvA payaH pattra-puwe madIyam putra-upayuFkzva-iti tam-AdideSaH //
   Ragh(K)_2.65 //	RaG(K)_2.65 //
   vatsasya homārthavidheśca śeṣamṛṣeranujñāmadhigamya mātaḥ /	vatsasya homa-arTa-viDeH-ca Sezam-RzeH-anujQAm-aDigamya mAtar /
   ūdhasyamicchāmi tavopabhoktuṃ ṣaṣṭhāṃśamurvyā iva rakṣitāyāḥ //	UDasyam-icCAmi tava-upaBoktum zazWa-aMSam-urvyAH iva rakzitAyAH //
   Ragh(K)_2.66 //	RaG(K)_2.66 //
   itthaṃ kṣitīśena vasiṣṭhadhenurvijñāpitā prītatarā babhūva /	itTam kzitISena vasizWa-DenuH-vijQApitA prItatarA baBUva /
   tadanvitā haimavatācca kukṣeḥ pratyāyayāvāśramamaśramaiva // Ragh(K)_2.67	tad-anvitA hEmavatAt-ca kukzeH pratyAyayAvASramam-aSramA-eva // RaG(K)_2.67
   tasyāḥ prasannendumukhaḥ prasādaṃ gururnṛpāṇāṃ gurave nivedya /	tasyAH prasanna-indu-muKaH prasAdam guruH-nRpANAm gurave nivedya /
   mukhaprasādānumitaṃ priyāyai śaśaṃsa vācā punaruktayaiva // Ragh(K)_2.68	muKa-prasAda-anumitam priyAyE SaSaMsa vAcA punar-uktayA-eva // RaG(K)_2.68
   sa nandinīstanyamaninditātmā sadvatsalo vatsanipītaśeṣam /	sa nandinI-stanyam-anindita-AtmA sat-vatsalaH vatsa-nipIta-Sezam /
   papau vasiṣṭhena kṛtābhyanujñaḥ śuddhaṃ yaśo bhūya ivāvitṛptaḥ //	papO vasizWena kRta-aByanujQaH SudDam yaSaH BUyas iva-avitRptaH //
   Ragh(K)_2.69 //	RaG(K)_2.69 //
   prātaryathoktavratapāraṇānte prāsthānikaṃ svastyayanaṃ prayujya /	prAtar-yaTA-ukta-vrata-pAraNa-ante prAsTAnikam svastyayanam prayujya /
   tau dampatī svāṃ prati rājadhānīṃ prasthāpayāmāsa vaśī vasiṣṭhaḥ //	tO dampatI svAm prati rAjaDAnIm prasTApayAmAsa vaSI vasizWaH //
   Ragh(K)_2.70 //	RaG(K)_2.70 //
   pradakṣiṇīkṛtya hutaṃ hutāśamanantaraṃ bharturarundhatīṃ ca /	pradakziNIkRtya hutam hutASam-anantaram BartuH-arunDatIm ca /
   dhenuṃ savatsāṃ ca nṛpaḥ pratasthe sanmaṅgalodagratarānubhāvaḥ //	Denum sa-vatsAm ca nRpaH pratasTe sat-maFgala-uda-gratara-anuBAvaH //
   Ragh(K)_2.71 //	RaG(K)_2.71 //
   śrotrābhirāmadhvaninā rathena sa dharmapatnīsahitaḥ sahiṣṇuḥ /	Srotra-aBirAma-DvaninA raTena sa Darma-patnI-sahitaH sahizNuH /
   yayāvanudghātasukhena mārgaṃ sveneva pūrṇena manorathena // Ragh(K)_2.72	yayO=-anudGAta-suKena mArgam svena-iva pUrNena manoraTena // RaG(K)_2.72
   tamāhitotkaṇṭhamadarśanena prajāḥ prajārthavratakarṣitāṅgam /	tam-Ahita-utkaNWam-adarSanena prajAH prajA-arTa-vrata-karzita-aFgam /
   netraiḥ papustṛptimanāpnuvadbhirnavoditaṃ nāthamivauṣadhīnām //	netrEH papuH-tRptim-anApnuvadBiH-nava-uditam nATam-iva-ozaDInAm //
   Ragh(K)_2.73 //	RaG(K)_2.73 //
   purandaraśrīḥ puramutpatākaṃ praviśya paurairabhinandyamānaḥ /	purandara-SrIH puram-utpatAkam praviSya pOrEH-aBinandyamAnaH /
   bhuje bhujaṅgendrasamānasāre bhūyaḥ sa bhūmerdhuramāsasañja //	Buje BujaFga-indra-samAna-sAre BUyas sa BUmeH-Dura-mAsa-saQja //
   Ragh(K)_2.74 //	RaG(K)_2.74 //
   atha nayanasamutthaṃ jyotiratreriva dyauḥ surasaridiva tejo	aTa nayana-samutTam jyotiH-atreH-iva dyOH surasarit-iva tejaH-
   vahniniṣṭhyūtamaiśam /	vahni-nizWyUtam-ESam /
   narapatikulabhūtyai garbhamādhatta rājñī gurubhirabhiniviṣṭaṃ	narapati-kula-BUtyE garBam-ADatta rAjQI guruBiH-aBinivizwam
   lokapālānubhāvaiḥ // Ragh(K)_2.75 //	lokapAla-anuBAvEH // RaG(K)_2.75 //
   || iti raghuvaṃśe mahākāvye dvitīyaḥ sargaḥ ||	|| iti raGu-vaMSe mahAkAvye dvitIyaH sargaH ||
   athepsitaṃ bharturupasthitodayaṃ sakhījanodvīkṣaṇakaumudīmukham /	aTa-Ipsitam BartuH-upasTita-udayam saKI-jana-udvIkzaNa-kOmudI-muKam /
   nidānamikṣvākukulasya santateḥ sudakṣiṇā dauhadalakṣaṇaṃ dadhau //	nidAnam-ikzvAku-kulasya santateH su-dakziNA dOhada-lakzaNam daDO //
   Ragh(K)_3.1 //	RaG(K)_3.1 //
   mukhena sā ketakapattrapāṇḍunā kṛśāṅgayaṣṭiḥ parimeyabhūṣaṇā /	muKena sA ketaka-pattra-pANxunA kRSa-aFga-yazwiH parimeya-BUzaNA /
   sthitālpatārāṃ karuṇendumaṇḍalāṃ vibhātakalpāṃ rajanīṃ vyaḍambayat //	sTita-alpa-tArAm karuNa-indu-maNxalAm viBAta-kalpAm rajanIm vyaxambayat //
   Ragh(K)_3.2 //	RaG(K)_3.2 //
   tadānanaṃ sevitamṛttikālavaṃ nṛpaḥ samāghrāya na tṛptimāyayau /	tad-Ananam sevita-mRttikA-lavam nRpaH samAGrAya na tRptim-AyayO /
   karīva siktaṃ pṛṣataiḥ payomucāṃ śucivyapāye vanarājipalvalam //	karI-iva siktam pRzatEH payomucAm Suci-vyapAye vana-rAji-palvalam //
   Ragh(K)_3.3 //	RaG(K)_3.3 //
   divaṃ marutvāniva bhokṣyate mahīṃ digantaviśrāntaratho hi matsutaḥ /	divam marutvAn-iva Bokzyate mahIm diS-anta-viSrAnta-raTaH hi mad-sutaH /
   ato 'bhilāṣe prathamaṃ tathāvidhe mano babandhānyarasānvilaṅghya sā //	atas aBilAze praTamam taTAviDe manaH babanDa-ani-arasAn-vilaFGya sA //
   Ragh(K)_3.4 //	RaG(K)_3.4 //
   na me hriyā śaṃsati kiñcidīpsitaṃ spṛhāvatī vastuṣu keṣu māgadhī /	na me hriyA SaMsati kiQcid-Ipsitam spRhAvatI vastuzu kezu mAgaDI /
   iti sma pṛcchatyativelamādṛtaḥ priyāsakhīruttarakosaleśvaraḥ //	iti sma pRcCati-ati-velam-AdRtaH priyA-saKIH-uttara-kosaleSvaraH //
   Ragh(K)_3.5 //	RaG(K)_3.5 //
   upetya sā dohadaduḥkhaśīlatāṃ yadeva vavre tadapaśyadāhṛtam /	upetya sA dohada-duHKa-SIla-tAm yat-eva vavre tad-apaSyat-AhRtam /
   na hīṣṭamasyāstridive 'pi bhūpaterbabhūva duṣprāpamadhijyadhanvanaḥ //	na hi-izwam-asyAH-tridive api BUpateH-baBUva duzprApam-aDijya-DanvanaH //
   Ragh(K)_3.6 //	RaG(K)_3.6 //
   dineṣu gacchatsu madhūkapāṇḍuraṃ tadīyamāśyāmamukhaṃ stanadvayam /	dinezu gacCatsu maDUka-pANxuram tadIyam-ASyAma-muKam stana-dvayam /
   samudgayorvāraṇadantakośayorbabhāra kāntiṃ gavalāpidhānayoḥ // Ragh(K)_3.7	sa-mudgayoH-vAraNa-danta-koSayoH-baBAra kAntim gavala-apiDAnayoH // RaG(K)_3.7
   krameṇa nistīrya ca dohadavyathāmupoḍhagātropacayā rarāja sā /	krameNa nistIrya ca dohada-vyaTAm-upoXa-gAtra-upacayA rarAja sA /
   purāṇapattrāpagamādanantaraṃ lateva sannaddhamanojñapallavā // Ragh(K)_3.8	purANa-pattra-apagamAt-anantaram latA-iva sannadDa-manojQa-pallavAH // RaG(K)_3.8
   nidhānagarbhāmiva sāgarāmbarāṃ śamīmivābhyantaralīnapāvakām /	niDAna-garBAm-iva sAgara-ambarAm SamIm-iva-aByantara-lIna-pAvakAm /
   nadīmivāntaḥsalilāṃ sarasvatīṃ nṛpaḥ sagarbhāṃ mahiṣīmamanyata //	nadIm-iva-antar-salilAm sarasvatIm nRpaH sa-garBAm mahizIm-amanyatas //
   Ragh(K)_3.9 //	RaG(K)_3.9 //
   priyānurāgasya manaḥsamunnaterbhujārjitānāṃ ca digantasampadām /	priya-anurAgasya manaH-samunnateH-Buja-arjitAnAm ca diS-anta-sampadAm /
   yathākramaṃ puṃsavanādikāḥ kriyā dhṛteśca dhīraḥ sadṛśīrvyadhatta saḥ //	yaTAkramam puMsavana-AdikAH kriyA DRteH-ca DIraH sadRSIH-vyaDatta saH //
   Ragh(K)_3.10 //	RaG(K)_3.10 //
   surendramātrāśritagarbhagauravāt prayatnamuktāsanayā gṛhāgataḥ /	sura-indra-mAtra-ASrita-garBa-gOravAt prayatna-mukta-AsanayA gRha-AgataH /
   tayopacārāñjalikhinnahastayā nananda pāriplavanetrayā nṛpaḥ //	tayA-upacAra-aQjali-Kinna-hastayA nananda pAriplava-netrayA nRpaH //
   Ragh(K)_3.11 //	RaG(K)_3.11 //
   kumārabhṛtyaiḥ kuśalairadhiṣṭhite bhiṣagbhirāptairatha garbhaveśmani /	kumAra-BRtyEH kuSalEH-aDizWite BizagBiH-AptEH-aTa garBaveSmani /
   niratyayāya prasavāya tasthuṣī babhau samāsannaphalā kriyeva sā //	niratyayAya prasavAya tasTuzI baBO samAsanna-PalA kriyA-iva sA //
   Ragh(K)_3.12 //	RaG(K)_3.12 //
   grahaistataḥ pañcabhiruccasaṃśrayairasūryagaiḥ sūcitabhāgyasampadam /	grahEH-tatas paQcaBiH-ucca-saMSrayEH-asUrya-gEH sUcita-BAgya-sampadam /
   asūta putraṃ samaye śacīsamā trisādhanā śaktirivārthamakṣatam //	asUta putram samaye SacI-samA tri-sADanA SaktiH-iva-arTam-akzatam //
   Ragh(K)_3.13 //	RaG(K)_3.13 //
   diśaḥ prasedurmaruto vavuḥ śivāḥ pradakṣiṇārcirhutamagnirādade /	diSaH praseduH-marutaH vavuH SivAH pradakziNa-arciH-hutam-agniH-Adade /
   babhūva sarvaṃ śubhaśaṃsi tatkṣaṇaṃ bhavo hi lokābhyudayāya tādṛśām //	baBUva sarvam SuBa-SaMsi tad-kzaNam BavaH hi loka-aByudayAya tAdRSAm //
   Ragh(K)_3.14 //	RaG(K)_3.14 //
   ariṣṭaśayyāṃ parito visāriṇā sujanmanastasya nijena tejasā /	arizwa-SayyAm paritas visAriNA su-janmanaH-tasya nijena tejasA /
   niśīthadīpāḥ sahasā hatatviṣo babhūvurālekhyasamarpitā iva // Ragh(K)_3.15	niSITa-dIpAH sahasA hata-tvizaH baBUvuH-AleKya-samarpitAH iva // RaG(K)_3.15
   janāya śuddhāntacarāya śaṃsate kumārajanmāmṛtasammitākṣaram /	janAya SudDAnta-carAya SaMsate kumAra-janma-amRta-sammita-akzaram /
   adeyamāsīttrayameva bhūpateḥ śaśiprabhaṃ chattramubhe ca cāmare //	adeyam-AsIt-trayam-eva BUpateH SaSi-praBam Cattram-uBe ca cAmare //
   Ragh(K)_3.16 //	RaG(K)_3.16 //
   sa vīkṣya putrasya cirātpitā mukhaṃ nidhānakumbhasya yuveva durgataḥ /	sa vIkzya putrasya cirAt-pitA muKam niDAna-kumBasya yuvA-iva durgataH /
   mudā śarīre prababhūva nātmanaḥ payodhirindūdayamūrchito yathā //	mudA SarIre prabaBUva na-AtmanaH payoDiH-indu-udaya-mUrCitaH yaTA //
   Ragh(K)_3.17 //	RaG(K)_3.17 //
   sa jātakarmaṇyakhile tapasvinā tapovanādetya purodhasā kṛte /	sa jAtakarmaNi-aKile tapasvinA tapaH-vanAt-etya puroDasA kRte /
   dilīpasūnurmaṇirākarodgataḥ prayuktasaṃskāra ivādhikaṃ babhau //	dilIpa-sUnuH-maNiH-Akara-ut-gataH prayukta-saMskAraH iva-aDikam baBO //
   Ragh(K)_3.18 //	RaG(K)_3.18 //
   sukhaśravā maṅgalatūryaniḥsvanāḥ pramodanṛttaiḥ saha vārayoṣitām /	suKaSravAH maFgala-tUrya-niHsvanAH pramoda-nRttEH saha vAra-yozitAm /
   na kevalaṃ sadmani māgadhīpateḥ pathi vyajṛmbhanta divaukasāmapi //	na kevalam sadmani mAgaDI-pateH paTi vyajRmBanta divOkasAm-api //
   Ragh(K)_3.19 //	RaG(K)_3.19 //
   na saṃyatastasya babhūva rakṣiturvimocayedyaṃ sutajanmaharṣitaḥ /	na saMyataH-tasya baBUva rakzituH-vimocayet-yam suta-janma-harzitaH /
   ṛṇābhidhānātsvayameva kevalaṃ tadā pitṚṇāṃ mumuce sa bandhanāt //	RNa-aBiDAnAt-svayam-eva kevalam tadA pitṚNAm mumuce sa banDanAt //
   Ragh(K)_3.20 //	RaG(K)_3.20 //
   śrutasya yāyādayamantamarbhakastathā pareṣāṃ yudhi ceti pārthivaḥ /	Srutasya yAyAdayam-antam-arBakaH-taTA parezAm yuDi ca-iti pArTivaH /
   avekṣya dhātorgamanārthamarthaviccakāra nāmnā raghumātmasambhavam //	avekzya DAtoH-gamanA-arTam-arTa-vid-cakAra nAmnA raGum-Atma-samBavam //
   Ragh(K)_3.21 //	RaG(K)_3.21 //
   pituḥ prayatnātsa samagrasampadaḥ śubhaiḥ śarīrāvayavairdine dine /	pituH prayatnAt-sa samagra-sampadaH SuBEH SarIra-avayavEH-dine dine /
   pupoṣa vṛddhiṃ haridaśvadīdhiteranupraveśādiva bālacandramāḥ //	pupoza vRdDim harit-aSva-dIDiteH-anupraveSAt-iva bAla-candramAH //
   Ragh(K)_3.22 //	RaG(K)_3.22 //
   umāvṛṣāṅkau śarajanmanā yathā yathā jayantena śacīpurandarau /	umA-vRza-aFkO Sara-janmanA yaTA yaTA jayantena SacI-purandarO /
   tathā nṛpaḥ sā ca sutena māgadhī nanandatustatsadṛśena tatsamau //	taTA nRpaH sA ca sutena mAgaDI nanandatuH-tad-sadRSena tad-samO //
   Ragh(K)_3.23 //	RaG(K)_3.23 //
   rathāṅganāmnoriva bhāvabandhanaṃ babhūva yatprema parasparaṃ prati /	raTAFga-nAmnoH-iva BAva-banDanam baBUva yat-prema parasparam prati /
   vibhaktamapyekasute na tattayoḥ parasparasyopari paryahīyata //	viBaktam-api-eka-sute na tat-tayoH parasparasya-upari paryahIyate //
   Ragh(K)_3.24 //	RaG(K)_3.24 //
   yadāha dhātryā prathamoditaṃ vaco yayau tadīyāmavalambya cāṅgulim /	yat-Aha DAtryA praTama-uditam vacaH yayO tadIyAm-avalambya ca-aFgulim /
   abhūcca namraḥ praṇipātaśikṣayā piturmudaṃ tena tatāna so 'rbhakaḥ //	aBUt-ca namraH praNipAta-SikzayA pituH-mudam tena tatAna saH arBakaH //
   Ragh(K)_3.25 //	RaG(K)_3.25 //
   tamaṅkamāropya śarīrayogajaiḥ sukhairniṣiñcantamivāmṛtaṃ tvaci /	tam-aFkam-Aropya SarIra-yoga-jEH suKEH-niziQcantam-iva-amRtam tvaci /
   tribhāgasammīlitalocano nṛpaścirātsutasparśarasajñatāṃ yayau //	tri-BAga-sammIlita-locanaH nRpaH-cirAt-suta-sparSa-rasa-jQa-tAm yayO //
   Ragh(K)_3.26 //	RaG(K)_3.26 //
   amaṃsta cānena parārdhyajanmanā sthiterabhettā sthitimantamanvayam /	amaMsta ca-anena parArDya-janmanA sTiteH-aBettA sTitimantam-anvayam /
   svamūrtibhedena guṇāgryavṛttinā patiḥ prajānāmiva sargamātmanaḥ //	sva-mUrti-Bedena guNa-agrya-vRttinA patiH prajAnAm-iva sargam-AtmanaH //
   Ragh(K)_3.27 //	RaG(K)_3.27 //
   sa vṛttacūlaścalakākapakṣakairamātyaputraiḥ savayobhiranvitaḥ /	sa vRtta-cUlaH-cala-kAka-pakzakEH-amAtya-putrEH sa-vayoBiH-anvitaH /
   liperyathāvadgrahaṇena vāṅmayaṃ nadīmukheneva samudramāviśat //	lipeH-yaTAvat-grahaNena vAc-mayam nadI-muKena-iva samudram-AviSat //
   Ragh(K)_3.28 //	RaG(K)_3.28 //
   athopanītaṃ vidhivadvipaścito vininyurenaṃ guravo gurupriyam /	aTa-upanItam viDivat-vipaScitaH vininyuH-enam guravaH guru-priyam /
   avandhyayatnāśca babhūvuratra te kriyā hi vastūpahitā prasīdati //	avanDya-yatnAH-ca baBUvuH-atra te kriyA hi vastu-upahitA prasIdati //
   Ragh(K)_3.29 //	RaG(K)_3.29 //
   dhiyaḥ samagraiḥ sa guṇairudāradhīḥ kramāccatasraścaturarṇavopamāḥ /	DiyaH samagrEH sa guNEH-udAra-DIH kramAt-catasraH-catur-arNava-upamAH /
   tatāra vidyāḥ pavanātipātibhirdiśo haridbhirharitāmiveśvaraḥ //	tatAra vidyAH pavana-atipAtiBiH-diSaH haridBiH-haritAm-iva-ISvaraH //
   Ragh(K)_3.30 //	RaG(K)_3.30 //
   tvacaṃ sa medhyāṃ paridhāya rauravīmaśikṣatāstraṃ pitureva mantravat /	tvacam sa meDyAm pariDAya rOravIm-aSikzata-astram pituH-eva mantravat /
   prayogasaṃhārarahasyavittamo babhūva cāstreṣu yathā purandaraḥ //	prayoga-saMhAra-rahasya-vittamaH baBUva ca-astrezu yaTA purandaraH //
   Ragh(K)_3.31//	RaG(K)_3.31//
   mahokṣatāṃ vatsataraḥ spṛśanniva dvipendrabhāvaṃ kalabhaḥ śrayanniva /	mahA-ukzatAm vatsataraH spRSan=-iva dvipa-indra-BAvam kalaBaH Srayan=-iva /
   raghuḥ kramādyauvanabhinnaśaiśavaḥ pupoṣa gambhīramanoharaṃ vapuḥ //	raGuH kramAt-yOvana-Binna-SESavaH pupoza gamBIra-manoharam vapuH //
   Ragh(K)_3.32 //	RaG(K)_3.32 //
   athāsya godānavidheranantaraṃ vivāhadīkṣāṃ niravartayatprabhuḥ /	aTa-asya go-dAna-viDeH-anantaram vivAha-dIkzAm niravartayat-praBuH /
   narendrakanyāstamavāpya satpatiṃ tamopahaṃ dakṣasutā ivābabhuḥ //	narendra-kanyAH-tam-avApya sat-patim tama-upaham dakza-sutAH iva-AbaBuH //
   Ragh(K)_3.33 //	RaG(K)_3.33 //
   yuvā yugavyāyatabāhuraṃsalaḥ kavāṭavakṣāḥ pariṇaddhakandharaḥ /	yuvA yuga-vyAyata-bAhuH-aMsalaH kavAwa-vakzAH pariNadDa-kanDaraH /
   vapuṣprakarṣādajayadguruṃ raghustathāpi nīcairvinayādadṛśyata //	vapuzprakarzAt-ajayat-gurum raGuH-taTA-api nIcEH-vinayAt-adRSyate //
   Ragh(K)_3.34 //	RaG(K)_3.34 //
   atha prajānāṃ ciramātmanā dhṛtāṃ nitāntagurvīṃ laghayiṣyatā dhuram /	aTa prajAnAm ciram-AtmanA DRtAm nitAnta-gurvIm laGayizyatA Duram /
   vaśīti matvā maticakṣuṣā suto nṛpeṇa cakre yuvarājaśabdabhāk //	vaSI-iti matvA mati-cakzuzA sutaH nRpeNa cakre yuvarAja-Sabda-BAj //
   Ragh(K)_3.35 //	RaG(K)_3.35 //
   narendramūlāyatanādanantaraṃ tadāspadaṃ śrīryuvarājasaṃjñitam /	narendra-mUla-AyatanAt-anantaram tad-Aspadam SrIH-yuvarAja-saMjQitam /
   agacchadaṃśena guṇābhilāṣiṇī navāvatāraṃ kamalādivotpalam // Ragh(K)_3.36	agacCat-aMSena guNa-aBilAziNI nava-avatAram kamalAt-iva-utpalam // RaG(K)_3.36
   uṣarbudhaḥ sārathineva vāyunā ghanavyapāyena gabhastimāniva /	uzarbuDaH sAraTinA-iva vAyunA Gana-vyapAyena gaBastimAn-iva /
   babhūva tenātitarāṃ durutsahaḥ kaṭaprabhedena karīva pārthivaḥ //	baBUva tena-atitarAm durutsahaH kawa-praBedena karI-iva pArTivaH //
   Ragh(K)_3.37 //	RaG(K)_3.37 //
   niyujya taṃ medhyaturaṅgarakṣaṇe dhanurdharai rājasutairanudrutam /	niyujya tam meDya-turaFga-rakzaNe DanurDarEH rAja-sutEH-anudrutam /
   apūrṇamekena śatakratūpamaḥ śataṃ kratūnāmapavighnamāpa saḥ //	apUrNam-ekena Satakratu-upamaH Satam kratUnAm-apaviGnam-Apa saH //
   Ragh(K)_3.38 //	RaG(K)_3.38 //
   ataḥ paraṃ tena makhāya yajvanā turaṅgamutsṛṣṭamanargalaṃ punaḥ /	atas param tena maKAya yajvanA turaFgam-utsRzwam-anargalam punar /
   dhanurbhṛtāmagrata eva rakṣiṇāṃ jahāra śakraḥ kila gūḍhavigrahaḥ //	DanurBRtAm-agratas eva rakziNAm jahAra SakraH kila gUXa-vigrahaH //
   Ragh(K)_3.39 //	RaG(K)_3.39 //
   viṣādaluptapratipatti vismitaṃ kumārasainyaṃ sapadi sthitaṃ ca tat /	vizAda-lupta-pratipatti vismitam kumAra-sEnyam sapadi sTitam ca tat /
   vasiṣṭhadhenuśca yadṛcchayāgatā śrutaprabhāvā dadṛśe 'tha nandinī //	vasizWa-DenuH-ca yadRcCayA-AgatA Sruta-praBAvA dadRSe aTa nandinI //
   Ragh(K)_3.40 //	RaG(K)_3.40 //
   tadaṅganiḥṣyandalavena locane pramṛjya puṇyena puraskṛtaḥ satām /	tad-aFga-niHzyanda-lavena locane pramRjya puNyena puraskRtaH satAm /
   atīndriyeṣvapyupapannadarśano babhūva bhāveṣu dilīpanandanaḥ //	atIndriyezu-api-upapanna-darSanaH baBUva BAvezu dilIpa-nandanaH //
   Ragh(K)_3.41 //	RaG(K)_3.41 //
   sa pūrvataḥ parvatapakṣaśātanaṃ dadarśa devaṃ naradevasambhavaḥ /	sa pUrvatas parvata-pakza-SAtanam dadarSa devam naradeva-samBavaH /
   punaḥ punaḥ sūtaniṣiddhacāpalaṃ harantamaśvaṃ ratharaśmisaṃyutam //	punar punar sUta-nizidDa-cApalam harantam-aSvam raTa-raSmi-saMyutam //
   Ragh(K)_3.42 //	RaG(K)_3.42 //
   śataistamakṣṇāmanimeṣavṛttibhirhariṃ viditvā haribhiśca vājibhiḥ /	SatEH-tam-akzNAma-nimeza-vRttiBiH-harim viditvA hariBiH-ca vAjiBiH /
   avocadenaṃ gaganaspṛśā raghuḥ svareṇa dhīreṇa nivartayanniva //	avocat-enam gagana-spRSAH raGuH svareNa DIreNa nivartayan=-iva //
   Ragh(K)_3.43 //	RaG(K)_3.43 //
   makhāṃśabhājāṃ prathamo manīṣibhistvameva devendra yadā nigadyase /	maKa-aMSa-BAjAm praTamaH manIziBiH-tvam-eva deva-indra yadA nigadyase /
   ajasradīkṣāprayatasya madguroḥ kriyāvighātāya kathaṃ pravartase //	ajasra-dIkzA-prayatasya mad-guroH kriyA-viGAtAya kaTam pravartase //
   Ragh(K)_3.44 //	RaG(K)_3.44 //
   trilokanāthena satā makhadviṣastvayā niyāmyā nanu divyacakṣuṣā /	triloka-nATena satA maKa-dvizaH-tvayA niyAmyAH nanu divya-cakzuzA /
   sa cetsvayaṃ karmasu dharmacāriṇāṃ tvamantarāyībhavasi cyuto vidhiḥ //	sa ced-svayam karmasu Darma-cAriNAm tvam-antarAyI-Bavasi cyutaH viDiH //
   Ragh(K)_3.45 //	RaG(K)_3.45 //
   tadaṅgamagryaṃ maghavanmahākratoramuṃ turaṅgaṃ pratimoktumarhasi /	tad-aFgam-agryam maGavan-mahA-kratoH-amum turaFgam pratimoktum-arhasi /
   pathaḥ śucerdarśayitāra īśvarā malīmasāmādadate na paddhatim //	paTaH SuceH-darSayitAraH ISvarAH malIm-asAm-Adadate na padDatim //
   Ragh(K)_3.46 //	RaG(K)_3.46 //
   iti pragalbhaṃ raghuṇā samīritaṃ vaco niśamyādhipatirdivaukasām /	iti pragalBam raGuNA samIritam vacaH niSamya-aDipatiH-divOkasAm /
   nivartayāmāsa rathaṃ savismayaḥ pracakrame ca prativaktumuttaram //	nivartayAmAsa raTam sa-vismayaH pracakrame ca prativaktum-uttaram //
   Ragh(K)_3.47 //	RaG(K)_3.47 //
   yathāttha rājanyakumāra tattathā yaśastu rakṣyaṃ parito yaśodhanaiḥ /	yaTA-AtTa rAjan-yakumAra tat-taTA yaSaH-tu rakzyam paritas yaSaH-DanEH /
   jagatprakāśaṃ tadaśeṣamijyayā bhavadgururlaṅghayituṃ mamodyataḥ //	jagat-prakASam tat-aSezam-ijyayA Bavat-guruH-laFGayitum mama-udyataH //
   Ragh(K)_3.48 //	RaG(K)_3.48 //
   hariryathaikaḥ puruṣottamaḥ smṛto maheśvarastryambaka eva nāparaḥ /	hariH-yaTA-ekaH puruzottamaH smRtaH maheSvaraH-tryambakaH eva na-aparaH /
   tathā vidurmāṃ munayaḥ śatakratuṃ dvitīyagāmī na hi śabda eṣa naḥ //	taTA viduH-mAm munayaH Satakratum dvitIya-gAmI na hi SabdaH eza naH //
   Ragh(K)_3.49 //	RaG(K)_3.49 //
   ato 'yamaśvaḥ kapilānukāriṇā pitustvadīyasya mayāpahāritaḥ /	atas ayam-aSvaH kapila-anukAriNA pituH-tvadIyasya mayA-apahAritaH /
   alaṃ prayatnena tavātra mā nidhāḥ padaṃ padavyāṃ sagarasya santateḥ //	alam prayatnena tava-atra mA niDAH padam padavyAm sagarasya santateH //
   Ragh(K)_3.50 //	RaG(K)_3.50 //
   tataḥ prahasyāha punaḥ purandaraṃ vyapetabhīrbhūmipurandarātmajaḥ /	tatas prahasya-Aha punar purandaram vyapeta-BIH-BUmi-purandara-AtmajaH /
   gṛhāṇa śastraṃ yadi sarga eṣa te na khalvanirjitya raghuṃ kṛtī bhavān //	gRhANa Sastram yadi sargaH eza te na Kalu-a-nirjitya raGum kRtI BavAn //
   Ragh(K)_3.51 //	RaG(K)_3.51 //
   sa evamuktvā maghavantamunmukhaḥ kariṣyamāṇaḥ saśaraṃ śarāsanam /	saH evam-uktvA maGavantam-unmuKaH karizyamANaH sa-Saram SarAsanam /
   atiṣṭhadālīḍhaviśeṣaśobhinā vapuṣprakarṣeṇa viḍambiteśvaraḥ //	atizWat-AlIXa-viSeza-SoBinA vapuzprakarzeNa vixambiteSvaraH //
   Ragh(K)_3.52 //	RaG(K)_3.52 //
   raghoravaṣṭambhamayena pattriṇā hṛdi kṣato gotrabhidapyamarṣaṇaḥ /	raGoH-avazwamBa-mayena pattriNA hRdi kzataH gotra-Bid-api-amarzaNaH /
   navāmbudānīkamuhūrtalāñchane dhanuṣyamoghaṃ samadhatta mārgaṇam //	nava-ambuda-anIka-muhUrta-lAQCane Danuzi-amoGam samaDatta mArgaNam //
   Ragh(K)_3.53 //	RaG(K)_3.53 //
   narendrasūnoḥ sa bṛhadbhujāntaraṃ praviśya bhīmāsuraśoṇitocitaḥ /	narendra-sUnoH sa bRhat-Buja-antaram praviSya BIma-asura-SoNita-ucitaH /
   papāvanāsvāditapūrvamāśugaḥ kutūhaleneva manuṣyaśoṇitam // Ragh(K)_3.54 //	papAvana-AsvAdita-pUrvam-ASugaH kutUhalena-iva manuzya-SoNitam // RaG(K)_3.54 //
   hareḥ kumāro 'pi kumāravikramaḥ suradvipāsphālanakarkaśāṅgulau /	hareH kumAraH api kumAra-vikramaH sura-dvipa-AsPAlana-karkaSa-aFgulO /
   bhuje śacīpattraviśeṣakāṅkite svanāmacihnaṃ nicakhāna sāyakam //	Buje SacI-pattra-viSeza-ka-aFkite sva-nAma-cihnam nicaKAna sAyakam //
