   || sūtraprasthānam ||	|| sUtra-prasTAnam ||
   tadā sārvajñyameva syād bhāvārthatvānnañordvayoḥ // MAnuv_3,2.176 //	tadA sArvajQyam-eva syAt BAva-arTa-tvAt-naQoH-dvayoH // Ma-anuv_3,2.176 //
   yadi naitādṛśaṃ grāhyamasukhatvānivartanāt /	yadi na-etAdRSam grAhyam-asuKa-tva-anivartanAt /
   asattvajñānatādeśca syādasattvādikaṃ tadā // MAnuv_3,2.177 //	asattva-jQAna-tA-AdeH-ca syAt-asattva-Adikam tadA // Ma-anuv_3,2.177 //
   anṛtādivirodhitvaṃ yadyasyābhyupagamyate /	anRta-Adi-viroDi-tvam yadi-asya-aByupagamyate /
   anaiśvaryavirodhitvamapyevaṃ kiṃ nivāryate // MAnuv_3,2.178 //	anESvarya-viroDi-tvam-api-evam kim nivAryate // Ma-anuv_3,2.178 //
   akhaṇḍakhaṇḍanādevaṃ viśeṣo'khaṇḍavādinā /	aKaNxa-KaNxanAt-evam viSezaH-aKaNxa-vAdinA /
   khaṇḍitenāpi manasā svīkāryo'nanyathāgateḥ // MAnuv_3,2.179 //	KaNxitena-api manasA svIkAryaH-ananyaTAgateH // Ma-anuv_3,2.179 //
   akhaṇḍakhaṇḍavādibhyāṃ khaṇḍākhaṇḍena caiva tat /	aKaNxa-KaNxa-vAdiByAm KaNxAKaNxena ca-eva tat /
   mahādareṇa śirasi viśeṣo dhārya eva hi // MAnuv_3,2.180 //	mahAdareNa Sirasi viSezaH DAryaH eva hi // Ma-anuv_3,2.180 //
   nidarśanatrayeṇāto bhagavānatyabhinnatām /	nidarSana-trayeNa-atas BagavAn-atyaBinna-tAm /
   guṇānāmādareṇāha tacca nābhihitānvayaḥ // MAnuv_3,2.181 //	guNAnAm-AdareNa-Aha tat-ca na-aBihita-anvayaH // Ma-anuv_3,2.181 //
   yadāśeṣaviśeṣāṇamuktiḥ sāmānyato bhavet /	yadA-aSeza-viSezANa-muktiH sAmAnyatas Bavet /
   padaikenāpyuttareṇa viśeṣāvagatirbhavet // MAnuv_3,2.182 //	pada-ekena-api-uttareNa viSeza-avagatiH-Bavet // Ma-anuv_3,2.182 //
   yato 'śeṣaviśeṣāṇāṃ vastunāstyeva caikatā /	yatas aSeza-viSezANAm vastunA-asti-eva ca-ekatA /
   ataḥ sāmānyato jñātaḥ padāntarabalāt punaḥ /	atas sAmAnyatas jQAtaH pada-antara-balAt punar /
   bhaved viśeṣato jñānastena syādanvitoktitā // MAnuv_3,2.183 //	Bavet viSezataH jQAnaH-tena syAt-anvita-uktitAH // Ma-anuv_3,2.183 //
   svārtha evānvito yasmāt kenacit tadviśeṣataḥ /	sva-arTaH eva-anvitaH yasmAt kenacid tad-viSezataH /
   aneneti taduktayaiva jñāyate 'nubhavena hi // MAnuv_3,2.184 //	anena-iti tad-uktayA-eva jQAyate anuBavena hi // Ma-anuv_3,2.184 //
   yadyananvitamevaitat padaṃ svārthaṃ vadediha /	yadi-ananvitam-eva-etat padam sva-arTam vadet-iha /
   tathānyānyapi sarvāṇi kaḥ kuryādanvayaṃ punaḥ // MAnuv_3,2.185 //	taTA-anyAni-api sarvANi kaH kuryAt-anvayam punar // Ma-anuv_3,2.185 //
   vyāpāro na hi śabdasya paraḥ svārthaprakāśanāt /	vyApAraH na hi Sabdasya paraH sva-arTa-prakASanAt /
   pumānapyekavāroktayā kṛtakṛtyo yadā bhavet // MAnuv_3,2.186 //	pumAn-api-eka-vAra-uktayA kRtakRtyaH yadA Bavet // Ma-anuv_3,2.186 //
   anvayasya kathaṃ jñānaṃ śabdārthatvaṃ yadāsya na /	anvayasya kaTam jQAnam Sabda-arTa-tvam yadA-asya na /
   yadaivānanvitārthasya vacanaṃ taiḥ padaibharvet // MAnuv_3,2.187 //	yadA-eva-ananvita-arTasya vacanam tEH padA-EBarvet // Ma-anuv_3,2.187 //
   ananvitaḥ syācchabdārtho na tadartho hi so 'nvayaḥ /	ananvitaH syAt-Sabda-arTaH na tad-arTaH hi saH anvayaH /
   nirākāṅkṣapadānyeva vākyamityucyate budhaiḥ // MAnuv_3,2.188 //	nirAkAFkza-padAni-eva vAkyam-iti-ucyate buDEH // Ma-anuv_3,2.188 //
   tattadarthābhidhānena syānnirākāṅkṣatā ca sā // MAnuv_3,2.189 //	tat-tad-arTa-aBiDAnena syAt-nirAkAFkza-tA ca sA // Ma-anuv_3,2.189 //
   apūrtestāvadarthānāmākāṅkṣā pūrvamiṣyate /	apUrteH-tAvat-arTAnAm-AkAFkzA pUrvam-izyate /
   karmakartṛkriyāṇāṃ tu pūrtau ko 'nyo 'nvayo bhavet // MAnuv_3,2.190 //	karma-kartR-kriyANAm tu pUrtO kaH anyaH anvayaH Bavet // Ma-anuv_3,2.190 //
   apūrtiścet padairuktaiḥ kiṃ nṛśṛṅgeṇa pūryate /	apUrtiH-ced padEH-uktEH kim nRSRFgeNa pUryate /
   vyāpāraścet punasteṣāmanuktāvapi kiṃ na saḥ // MAnuv_3,2.191 //	vyApAraH-ced punar-tezAm-anuktO=-api kim na saH // Ma-anuv_3,2.191 //
   ukte buddhisthatāhetoryadi vyāpāra iṣyate /	ukte budDi-sTatA-hetoH-yadi vyApAraH izyate /
   buddhisthatvāya yatnaṃ na kathaṃ kuryuḥ puraiva ca /	budDi-sTa-tvAya yatnam na kaTam kuryuH purA-eva ca /
   puruṣādhīnatā teṣāṃ yadi paścācca sā samā // MAnuv_3,2.192 //	puruza-aDIna-tA tezAm yadi paScAt-ca sA samAH // Ma-anuv_3,2.192 //
   pumānevānvayāyaiṣāṃ paścād yadi viceṣyate /	pumAn-eva-anvayAya-ezAm paScAt yadi vicezyate /
   ananvitābhidhānānāṃ sa evārthāntaroktiṣu /	ananvita-aBiDAnAnAm saH eva-arTa-antara-uktizu /
   yatatāṃ śabdaśaktiścet tatra naivānvaye katham // MAnuv_3,2.193 //	yatatAm Sabda-SaktiH-ced tatra na-eva-anvaye kaTam // Ma-anuv_3,2.193 //
   tatkalpanāgurutvādidoṣeto 'bhihitānvayaḥ /	tad-kalpanA-guru-tva-Adi-doza-itaH aBihita-anvayaH /
   anubhūtiviruddhaśca tyājya eva manīṣibhiḥ // MAnuv_3,2.194 //	anuBUti-virudDaH-ca tyAjyaH eva manIziBiH // Ma-anuv_3,2.194 //
   kartṛśabde hyabhihite dharmasāmānyavedanāt /	kartR-Sabde hi-aBihite Darma-sAmAnya-vedanAt /
   viśeṣadharmamanvicchan kimityeva hi pṛcchati // MAnuv_3,2.195 //	viSeza-Darmam-anvicCan kim-iti-eva hi pRcCati // Ma-anuv_3,2.195 //
   guṇakriyādidharmāṇāṃ viśeṣe kathite punaḥ /	guNa-kriyA-Adi-DarmANAm viSeze kaTite punar /
   nirākāṅkṣo bhaved yasmācchabdā anvitavācakāḥ // MAnuv_3,2.196 //	nirAkAFkzaH Bavet yasmAt-SabdAH anvita-vAcakAH // Ma-anuv_3,2.196 //
   ato 'nantaguṇātmaiko bhagavāneka eva tu /	atas ananta-guNa-AtmA-ekaH BagavAn-ekaH eva tu /
   ucyate sarvavedaiśca te cākhilavilakṣaṇāḥ // MAnuv_3,2.197 //	ucyate sarva-vedEH-ca te ca-aKila-vilakzaNAH // Ma-anuv_3,2.197 //
   sarve sarvaguṇātmānaḥ sarvakartāra eva ca /	sarve sarva-guNa-AtmAnaH sarva-kartAraH eva ca /
   tathāpi saviśeṣāśca vidvadyvutpattito 'pica // MAnuv_3,2.198 //	taTA-api sa-viSezAH-ca vidvadi-vutpattitaH api-ca // Ma-anuv_3,2.198 //
   taistaiḥ śabdaiśca bhaṇyante yujyate copadeśataḥ /	tEH-tEH SabdEH-ca BaNyante yujyate ca-upadeSataH /
   anyānandādisādṛśyamānukūlyādinā param // MAnuv_3,2.199 //	anya-Ananda-Adi-sAdRSyam-Anu-kUlyAdinA param // Ma-anuv_3,2.199 //
   pūrṇatvādi mahat teṣāṃ vailakṣaṇyaṃ śrutau śrutam /	pUrNa-tva-Adi mahat tezAm vElakzaNyam SrutO Srutam /
   pūrṇe 'śeṣaniyantā ca sukhādutama ekakalaḥ // MAnuv_3,2.200 //	pUrNe aSeza-niyantA ca suKAt-utamaH eka-kalaH // Ma-anuv_3,2.200 //
   guṇorusamudāyo 'yaṃ vāsudevaḥ sa niṣkaḷaḥ /	guNa-uru-samudAyaH ayam vAsudevaH sa nizka?aH /
   vāsudevaśrutiḥ saiṣā guṇān vakti hareḥ parān // MAnuv_3,2.201 //	vAsudeva-SrutiH sA-ezA guNAn vakti hareH parAn // Ma-anuv_3,2.201 //
   sa evāśeṣajīvasthanissaṅkhayānādikālikān /	saH eva-aSeza-jIva-sTa-nissaFKa-yAna-Adi-kAlikAn /
   dharmādharmān sadā paśyan svecchayā bodhayatyajaḥ // MAnuv_3,2.202 //	Darma-aDarmAn sadA paSyan sva-icCayA boDayati-ajaH // Ma-anuv_3,2.202 //
   kāṃścit teṣāṃ phalaṃ caiva dadāti svayamacyutaḥ /	kAMScid tezAm Palam ca-eva dadAti svayam-acyutaH /
   na te viśeṣaṃ kamapi preraṇādikamucyate /	na te viSezam kam-api preraNa-Adikam-ucyate /
   kuryuḥ kadāpi tenāyaṃ svatantro 'nupacārataḥ // MAnuv_3,2.203 //	kuryuH kadApi tena-ayam svatantraH anupacArataH // Ma-anuv_3,2.203 //
   karmāṇi tāni ca pṛthak cetanānyeva sarvaśaḥ /	karmANi tAni ca pRTak cetanAni-eva sarvaSas /
   acetanaśarīrāṇi svakarmaphalabhāñci ca // MAnuv_3,2.204 //	acetana-SarIrANi sva-karma-Pala-BAQci ca // Ma-anuv_3,2.204 //
   pratyekaṃ teṣu cānantakarmāṇyevaṃvidhāni ca /	pratyekam tezu ca-ananta-karmANi-evaMviDAni ca /
   tāni caivamitīśasya nissīmā śaktiruttamā // MAnuv_3,2.205 //	tAni ca-evam-iti-ISasya nissImA SaktiH-uttamAH // Ma-anuv_3,2.205 //
   ekaiva brahmahatyā hi varāhahariṇoditā /	ekA-eva brahmahatyA hi varAha-hariNA-uditA /
   brahmapārastavenaiva niṣkrāntā rājadehataḥ // MAnuv_3,2.206 //	brahmapAra-stavena-eva nizkrAntAH rAja-dehataH // Ma-anuv_3,2.206 //
   stotrasya tasya māhātmyād vyādhatvaṃ gamitā punaḥ /	stotrasya tasya mAhAtmyAt vyADa-tvam gamitA punar /
   prāpya jñānaṃ paraṃ cāpa tathānyānyapi sarvadā // MAnuv_3,2.207 //	prApya jQAnam param ca-apa taTA-anyAni-api sarvadA // Ma-anuv_3,2.207 //
   anantānyuditānyevaṃ prabhuṇā kapilena hi /	anantAni-uditAni-evam praBuNA kapilena hi /
   saṃsāre pacyamānāni karmāṇyapi pṛthak pṛthak // MAnuv_3,2.208 //	saMsAre pacyamAnAni karmANi-api pRTak pRTak // Ma-anuv_3,2.208 //
   tasmādanantamāhātmyaguṇapūgo janārdanaḥ /	tasmAt-ananta-mAhAtmya-guNa-pUgaH janArdanaH /
   bhaktyā paramayā'rādhya iti pādārtha īryate // MAnuv_3,2.209 //	BaktyA para-mayA-arADyaH iti pAda-arTaH Iryate // Ma-anuv_3,2.209 //
   || iti śrīmadānandatīrthabhagavatpādācāryaviracite	|| iti SrImat-Ananda-tIrTa-Bagavat-pAda-AcArya-viracite
   śrīmadbrahmasūtrānuvyākhyāne tṛtīyādhyāyasya dvitīyaḥ pādaḥ ||	SrImat-brahmasUtra-anuvyAKyAne tRtIya-aDyAyasya dvitIyaH pAdaH ||
   vairāgyato bhaktidārḍhyaṃ tenopāsā yadā bhavet /	vErAgyataH Bakti-dArXyam tena-upAsA yadA Bavet /
   āparokṣyaṃ bhaved viṣṇoriti pādakramo bhavet // MAnuv_3,3.1 //	Aparokzyam Bavet vizNoH-iti pAda-kramaH Bavet // Ma-anuv_3,3.1 //
   yuktito jñātavedārtho nirasya samayān parān /	yuktitaH jQAta-veda-arTaH nirasya samayAn parAn /
   parasparavirodhaṃ ca praṇudyāśeṣavākyagam // MAnuv_3,3.2 //	paraspara-viroDam ca praNudya-aSeza-vAkya-gam // Ma-anuv_3,3.2 //
   adhyātmapraṇavo bhūtvā tasya sannihitatvataḥ /	aDyAtma-praNavaH BUtvA tasya sannihita-tvataH /
   bahuyuktivirodhānāṃ bhānāt tatsahitaśruteḥ // MAnuv_3,3.3 //	bahu-yukti-viroDAnAm BAnAt tad-sahita-SruteH // Ma-anuv_3,3.3 //
   virodhaṃ ca nirākṛtya śrutīnāṃ prāṇatastvagān /	viroDam ca nirAkRtya SrutInAm prANataH-tvagAn /
   parihṛtya virodhāṃśca tatprasādānurañjitaḥ // MAnuv_3,3.4 //	parihRtya viroDAn=-ca tad-prasAda-anuraQjitaH // Ma-anuv_3,3.4 //
   dehakartṛtvamīśasya jñātvā tatpitṛtāsmṛteḥ /	deha-kartR-tvam-ISasya jQAtvA tad-pitRtA-smRteH /
   viśeṣasnehamāpādya sarvakartṛtvato 'dhikam // MAnuv_3,3.5 //	viSeza-sneham-ApAdya sarva-kartR-tvataH aDikam // Ma-anuv_3,3.5 //
   niṣpādya bahumānaṃ ca tadanyatrātiduḥkhataḥ /	nizpAdya bahu-mAnam ca tad-anyatra-ati-duHKataH /
   utpādyādhikavairāgyaṃ tadguṇādhikyavedanāt // MAnuv_3,3.6 //	utpAdya-aDika-vErAgyam tad-guNa-ADikya-vedanAt // Ma-anuv_3,3.6 //
   sarvasya tadvaśatvācca dārḍhyaṃ bhakteravāpya ca /	sarvasya tad-vaSa-tvAt-ca dArXyam BakteH-avApya ca /
   yatetopāsanāyaiva viśiṣṭācāryasampadā // MAnuv_3,3.7 //	yateta-upAsanAya-eva viSizwa-AcArya-sampadA // Ma-anuv_3,3.7 //
   kartavyā brahmajijñāsetyukte kimiti saṃśaye /	kartavyA brahma-jijQAsA-iti-ukte kim-iti saMSaye /
   ata ityudite 'pyasya viśeṣānuktitaḥ punaḥ // MAnuv_3,3.8 //	atas iti-udite api-asya viSeza-anuktitaH punar // Ma-anuv_3,3.8 //
   sṛṣṭibandhanamokṣādikartṛtvasya śrutatvataḥ /	sRzwi-banDana-mokza-Adi-kartR-tvasya SrutatvataH /
   yato mokṣādidātāsāvato jijñāsya eva vaḥ /	yatas mokza-Adi-dAta-asOvataH jijQAsyaH eva vaH /
   ityāha tat paraṃ brahma vyāsākhyaṃ jñānaraśmimat // MAnuv_3,3.9 //	iti-Aha tat param brahma vyAsa-AKyam jQAna-raSmimat // Ma-anuv_3,3.9 //
   yenaiva bandhamokṣaḥ syāt sa ca jijñāsayā gataḥ /	yena-eva banDa-mokzaH syAt sa ca jijQAsayA gataH /
   suprasanno bhavedīśo jijñāsāto 'sya muktidā // MAnuv_3,3.10 //	su-prasannaH Bavet-ISaH jijQAsA-ataH asya mukti-dA // Ma-anuv_3,3.10 //
   mokṣādidatvamīśasya kathamevāvagamyate /	mokzAt-idatvam-ISasya kaTam-eva-avagamyate /
   iti cecchāstrayonitvācchāstragamyo hi mokṣadaḥ // MAnuv_3,3.11 //	iti ced-SAstra-yoni-tvAt-SAstra-gamyaH hi mokza-daH // Ma-anuv_3,3.11 //
   pratyakṣāvasitebhyaḥ syād yadi mokṣaḥ kathañcana /	pratyakza-avasiteByaH syAt yadi mokzaH kaTaQcana /
   kimityanādisaṃsāramagnāḥ sarvā imāḥ prajāḥ // MAnuv_3,3.12 //	kim-iti-anAdi-saMsAra-magnAH sarvAH imAH prajAH // Ma-anuv_3,3.12 //
   yasmānniyamato duḥkhahāniḥ pratyakṣato bhavet /	yasmAt-niyamataH duHKa-hAniH pratyakzataH Bavet /
   dhāvantyeva tamuddiśya rājādyamakhilāḥ prajāḥ // MAnuv_3,3.13 //	DAvanti-eva tam-uddiSya rAja-Adyam-aKilAH prajAH // Ma-anuv_3,3.13 //
   anumānagamyato mokṣo yadi tasyānumaiva hi /	anumAna-gamyataH mokzaH yadi tasya-anumA-eva hi /
   dṛṣṭapūruṣavanmokṣadātṛtāṃ vinivārayet // MAnuv_3,3.14 //	dRzwa-pUruza-vat-mokza-dAtR-tAm vinivArayet // Ma-anuv_3,3.14 //
   tacchāstragamya evaiko mokṣado bhavati dhruvam /	tad-SAstra-gamyaH eva-ekaH mokza-daH Bavati Druvam /
   śāstragamyaśca nānyo 'sti mokṣadatvena keśavāt // MAnuv_3,3.15 //	SAstra-gamyaH-ca na-anyaH asti mokza-da-tvena keSavAt // Ma-anuv_3,3.15 //
   mokṣado hi svatantraḥ syāt paratantraḥ svayaṃ sṛtau /	mokza-daH hi svatantraH syAt paratantraH svayam sRtO /
   vartamānaḥ kathaṃ śaktaḥ paramokṣāya kevalam // MAnuv_3,3.16 //	vartamAnaH kaTam SaktaH para-mokzAya kevalam // Ma-anuv_3,3.16 //
   anyāśrayeṇa yadyeṣa dadyānmokṣaṃ sa eva hi /	anya-ASrayeNa yadi-eza dadyAt-mokzam saH eva hi /
   tenānanusṛto mokṣaṃ na dadyādanyavākyataḥ /	tena-ananusRtaH mokzam na dadyAt-anya-vAkyataH /
   atastadarthamapi sa jñeyo viṣṇurmumukṣibhiḥ // MAnuv_3,3.17 //	atas-tad-arTam-api sa jQeyaH vizNuH-mumukziBiH // Ma-anuv_3,3.17 //
   yamevaiṣa iti śrutyā tameveti ca sādaram /	yam-eva-ezaH iti SrutyA tam-eva-iti ca sa-Adaram /
   śāstrayonitvamasyaiva jñāyate vedavādibhiḥ // MAnuv_3,3.18 //	SAstra-yoni-tvam-asya-eva jQAyate veda-vAdiBiH // Ma-anuv_3,3.18 //
   ya enaṃ viduramṛtā ityuktastu samudragaḥ /	yaH enam viduH-a-mRtA iti-uktaH-tu samudra-gaH /
   tadeva brahma paramamiti śrutyāvadhāritaḥ // MAnuv_3,3.19 //	tat-eva brahma paramam-iti SrutyA-avaDAritaH // Ma-anuv_3,3.19 //
   yataḥ prasūteti tataḥ sṛṣṭimāha tato hariḥ /	yatas prasUtA-iti tatas sRzwim-Aha tatas hariH /
   śāstrayonirnacānyo 'sti mukhyatastviti gamyate // MAnuv_3,3.20 //	SAstra-yoniH-naca-anyaH asti muKyatas-tu-iti gamyate // Ma-anuv_3,3.20 //
   śāstrayonitvametasya jñāyate hi samanvayāt /	SAstra-yoni-tvam-etasya jQAyate hi samanvayAt /
   samiti hyupasargeṇa paramukhyāthartocyate // MAnuv_3,3.21 //	samiti hi-upasargeNa para-muKyATaRtA-ucyate // Ma-anuv_3,3.21 //
   evaṃ paramamukhyārtho nārāyaṇa iti śruteḥ /	evam parama-muKya-arTaH nArAyaNaH iti SruteH /
   nirdhāraṇāya nāśabdamiti vedapatirjagau // MAnuv_3,3.22 //	nirDAraNAya na-aSabdam-iti veda-patiH-jagO // Ma-anuv_3,3.22 //
   kathaṃ samanvayo jñeyaḥ svalpaśākhāvidāṃ nṛṇām /	kaTam samanvayaH jQeyaH su-alpa-SAKA-vidAm nRNAm /
   vedā hyanantā iti hi śrutirāhāpyanantatām // MAnuv_3,3.23 //	vedAH hi-anantAH iti hi SrutirAha-api-anantatAm // Ma-anuv_3,3.23 //
   anantavedanirṇītirmahāpraḷayavāridheḥ /	ananta-veda-nirNItiH-mahA-pra?aya-vAriDeH /
   uttāraṇopametyasmānna jñeyo 'tra samanvayaḥ // MAnuv_3,3.24 //	uttAraNa-upamA-iti-asmAn-na jQeyaH atra samanvayaH // Ma-anuv_3,3.24 //
   iti śaṅkāpanodārthaṃ sa āha karuṇākaraḥ /	iti SaFkA-apanoda-arTam saH Aha karuNA-karaH /
   aśakyottaraṇatve 'pi hyāgamāpāravāridheḥ /	aSakya-uttaraNa-tve api hi-Agama-apAra-vAriDeH /
   nirṇīyate mayaivāyaṃ romakūpalayodinā // MAnuv_3,3.25 //	nirNIyate mayA-eva-ayam romakUpalaya-udinAH // Ma-anuv_3,3.25 //
   yadyapyaśeṣavedārtho durgamo 'khilamānavaiḥ /	yadi-api-aSeza-veda-arTaH durgamaH aKila-mAnavEH /
   majjñānāvyākṛtākāśe prāpnoti paramāṇutām // MAnuv_3,3.26 //	mad-jQAna-avyAkRta-AkASe prApnoti parama-aNu-tAm // Ma-anuv_3,3.26 //
   iti prakāśayan viśvapatirāha prameyatām /	iti prakASayan viSvapatiH-Aha prameya-tAm /
   nikhilasyāpi vedasya gatisāmānyamañjasā // MAnuv_3,3.27 //	niKilasya-api vedasya gati-sAmAnyam-aQjasA // Ma-anuv_3,3.27 //
   ko nāma gatisāmānyamanantāgamasampadaḥ /	kaH nAma gati-sAmAnyam-ananta-Agama-sampadaH /
   jñānasūryamṛte brūyāt tamekaṃ bādarāyaṇam // MAnuv_3,3.28 //	jQAna-sUryam-Rte brUyAt tam-ekam bAdarAyaNam // Ma-anuv_3,3.28 //
   anyo 'pyalpamatiḥ śākhācatuṣpañcagataṃ vasu /	anyaH api-alpa-matiH SAKA-catuzpaQca-gatam vasu /
   jānannānumitatvena brūyāt tasya prasādataḥ // MAnuv_3,3.29 //	jAnanna-anumita-tvena brUyAt tasya prasAdataH // Ma-anuv_3,3.29 //
   iti mukhyatayāśeṣagatisāmānyavit prabhuḥ /	iti muKya-tayA-aSeza-gati-sAmAnya-vid praBuH /
   pratijajñe dṛḍhaṃ yasmād devānāmapi pūryate // MAnuv_3,3.30 //	pratijajQe dRXam yasmAt devAnAm-api pUryate // Ma-anuv_3,3.30 //
   ato nikhilavedānāṃ siddha evaṃ samanvayaḥ /	atas niKila-vedAnAm sidDaH evam samanvayaH /
   iti sujñāpitārtho 'pi pṛthak cāha samanvayam // MAnuv_3,3.31 //	iti su-jQApita-arTaH api pRTak ca-Aha samanvayam // Ma-anuv_3,3.31 //
   tatra prathamato 'nyatra prasiddhānāṃ samanvayaḥ /	tatra praTamatas anyatra prasidDAnAm samanvayaH /
   śabdānāṃ vācya evātra mahāmalleśabhaṅgavat // MAnuv_3,3.32 //	SabdAnAm vAcyaH eva-atra mahA-malleSa-BaFga-vat // Ma-anuv_3,3.32 //
   ito 'tyabhyadhikatve 'pi turyapādoditasya tu /	itas ati-aByaDika-tve api turya-pAda-uditasya tu /
   mahāsamanvaye tasmin nādhikāro 'khilasya hi // MAnuv_3,3.33 //	mahA-samanvaye tasmin na-aDikAraH aKilasya hi // Ma-anuv_3,3.33 //
   brahmaivādhikṛtastatra mukhyato 'nye yathākramam /	brahma-eva-aDikRtaH-tatra muKyatas anye yaTAkramam /
   durgamatvācca naivātra prāthamyenodito 'ñjasā // MAnuv_3,3.34 //	durgama-tvAt-ca na-eva-atra prATamyena-uditaH aQjasA // Ma-anuv_3,3.34 //
   ato 'nyatra prasiddhānāṃ śabdānāṃ nirṇayāya tu /	atas anyatra prasidDAnAm SabdAnAm nirNayAya tu /
   pravṛttaḥ prathamaṃ devastatrānandādayo guṇāḥ /	pravRttaH praTamam devaH-tatra-Ananda-AdayaH guNAH /
   īśasyaiveti nirṇītāḥ śrutiyuktisamāśrayāt // MAnuv_3,3.35 //	ISasya-eva-iti nirNItAH Sruti-yukti-samASrayAt // Ma-anuv_3,3.35 //
   devatāntaragāḥ sarve śabdavṛttinimittataḥ /	devatA-antara-gAH sarve Sabda-vRtti-nimittataH /
   viṣṇumeva vadantyaddhā tatsaṅgādupacārataḥ // MAnuv_3,3.36 //	vizNum-eva vadanti-adDA tad-saFgAt-upacArataH // Ma-anuv_3,3.36 //
   anyadevān vadantīha viśeṣaguṇavaktṛtaḥ /	anya-devAn vadanti-iha viSeza-guNa-vaktRtaH /
   viṣṇumeva paraṃ brūyurevamanye 'pyaśeṣataḥ // MAnuv_3,3.37 //	vizNum-eva param brUyuH-evam-anye api-aSezatas // Ma-anuv_3,3.37 //
   ityanyatraprasiddhoruśabdarāśeraśeṣataḥ /	iti-anyatra-prasidDa-Uru-Sabda-rASeH-aSezatas /
   jñāte samanvaye viṣṇau liṅgairhyeṣa samanvayaḥ // MAnuv_3,3.38 //	jQAte samanvaye vizNO liFgEH-hi-eza samanvayaH // Ma-anuv_3,3.38 //
   teṣāmanyagatatve tu na syāt samyak samanvayaḥ /	tezAm-anya-gata-tve tu na syAt samyak samanvayaH /
   ityevāśeṣaliṅgānāṃ brahmaṇyeva samanvayam // MAnuv_3,3.39 //	iti-eva-aSeza-liFgAnAm brahmaNi-eva samanvayam // Ma-anuv_3,3.39 //
   āhobhayagatatvaṃ ca syādato liṅgaśabdayoḥ /	Aha-uBaya-gata-tvam ca syAt-atas liFga-SabdayoH /
   iti saṃśayanuttyarthamubhayatra pratītitaḥ // MAnuv_3,3.40 //	iti saMSaya-nutti-arTam-uBayatra pratItitaH // Ma-anuv_3,3.40 //
   śabdānāṃ vartamānānāṃ saliṅgānāṃ viśeṣataḥ /	SabdAnAm vartamAnAnAm sa-liFgAnAm viSezataH /
   samanvayo harāveva yannaivānyatra mukhyataḥ // MAnuv_3,3.41 //	samanvayaH harO=-eva yat-na-eva-anyatra muKyatas // Ma-anuv_3,3.41 //
   śabdā liṅgāni ca yato naivānyatra svatantratā /	SabdAH liFgAni ca yatas na-eva-anyatra svatantra-tA /
   asvatantreṣu śabdasya vṛttiheturna mukhyataḥ // MAnuv_3,3.42 //	asvatantrezu Sabdasya vRtti-hetuH-na muKyatas // Ma-anuv_3,3.42 //
   yato 'to yadadhīnāste śabdārthatvamupāgatāḥ /	yatas atas yat-aDInAH-te Sabda-arTa-tvam-upAgatAH /
   atyalpenaiva śabdasya vṛttihetuguṇena tu // MAnuv_3,3.43 //	ati-alpena-eva Sabdasya vRtti-hetu-guNena tu // Ma-anuv_3,3.43 //
   ayo yathā dāhakatvaṃ sa eveśaḥ svatantrataḥ /	ayaH yaTA dAhaka-tvam saH eva-ISaH svatantrataH /
   mukhyaśabdārtha iti hi svīkartavyo manīṣibhiḥ // MAnuv_3,3.44 //	muKya-Sabda-arTaH iti hi svIkartavyaH manIziBiH // Ma-anuv_3,3.44 //
   ityāhaivañca śabdānāṃ nārāyaṇasamanvaye /	iti-Aha-evaQca SabdAnAm nArAyaNa-samanvaye /
   siddhe 'pyaśeṣaśabdānāṃ na kathañcana yujyate // MAnuv_3,3.45 //	sidDe api-aSeza-SabdAnAm na kaTaQcana yujyate // Ma-anuv_3,3.45 //
   virodhāvavaratvāderapi prāptiryato bhavet /	viroDO=-avara-tva-AdeH-api prAptiH-yatas Bavet /
   iti cedavaratvādi dvividhaṃ hyupalabhyate // MAnuv_3,3.46 //	iti ced-avara-tva-Adi dviviDam hi-upalaByate // Ma-anuv_3,3.46 //
   parasyāvaratāheturyaḥ svayaṃ para eva san /	parasya-Avarata-ahetuH-yaH svayam paraH eva san /
   so 'pi hyavaraśabdārtho yathā rājā jayī bhavet // MAnuv_3,3.47 //	saH api hi-avara-Sabda-arTaH yaTA rAjA jayI Bavet // Ma-anuv_3,3.47 //
   anyo 'varatvānubhavī tayoḥ pūrvo 'sti keśave /	anyaH avaratvA-anuBavI tayoH pUrvaH asti keSave /
   dvitīyo jīva evāsti svātantrānnaca dūṣaṇam // MAnuv_3,3.48 //	dvitIyaH jIvaH eva-asti svAtantrAn-na-ca dUzaNam // Ma-anuv_3,3.48 //
   harerevamaśeṣeṇa sarvaśabdasamanvaye /	hareH-evam-aSezeNa sarva-Sabda-samanvaye /
   ukte virodhahīnasya syāt samanvayatā yataḥ /	ukte viroDa-hInasya syAt samanvayatA yatas /
   ato 'śeṣavirodhānāṃ kṛteśena nirākṛtiḥ // MAnuv_3,3.49 //	atas aSeza-viroDAnAm kRta-ISena nirAkRtiH // Ma-anuv_3,3.49 //
   samanvayāvirodhābhyāṃ sañjāte vastunirṇaye /	samanvaya-aviroDAByAm san-jAte vastu-nirNaye /
   kiṃ mayā kāryamityeva syād buddhiradhikāriṇaḥ // MAnuv_3,3.50 //	kim mayA kAryam-iti-eva syAt budDiH-aDikAriNaH // Ma-anuv_3,3.50 //
