   YRps, Adhyāya 1	YRps, ADyAyaH 1
   patatyevamasaṃdigdhaṃ satyaṃ guruvaco yathā // YRps_5.43 //	patati-evam-asaMdigDam satyam guru-vacaH yaTA // YRpH-_5.43 //
   <abhra:: sattva:: māraṇa>	<aBra:: sattva:: mAraNa>
   athābhrasattvaravakān amlavargeṇa pācayet /	aTa-aBra-sattva-ravakAn amlavargeNa pAcayet /
   śodhanīyagaṇenaiva mūṣāmadhye tu śodhayet // YRps_5.44 //	SoDanIya-gaNena-eva mUzA-maDye tu SoDayet // YRpH-_5.44 //
   kācaṭaṃkaṇaguṃjājya- sāraghaiḥ śodhayetkhalu /	kAca-waMkaNa-guMjA-Ajya sAraGEH SoDayet-Kalu /
   madhutailavasājyeṣu daśavārāṇi ḍhālayet // YRps_5.45 //	maDu-tEla-vasA-Ajyezu daSa-vArANi XAlayet // YRpH-_5.45 //
   mārdavaṃ kārayetsatyaṃ yogenānena sarvadā /	mArdavam kArayet-satyam yogena-anena sarvadA /
   satvasya golakānevaṃ taptānevaṃ tu kāṃjike // YRps_5.46 //	satvasya golakAn-evam taptAn-evam tu kAMjike // YRpH-_5.46 //
   nirvāpya tatkṣaṇādeva kaṇḍayellohapārayā /	nirvApya tad-kzaNAt-eva kaNxayet-loha-pArayA /
   anenaiva prakāreṇa sūkṣmacūrṇaṃ tu kārayet // YRps_5.47 //	anena-eva prakAreNa sUkzma-cUrNam tu kArayet // YRpH-_5.47 //
   bharjayed ghṛtamadhye tu trīṇi vārāṇi yatnataḥ /	Barjayet GRta-maDye tu trINi vArANi yatnatas /
   peṣaṇaṃ tu prakartavyaṃ śilāpaṭṭena yatnataḥ // YRps_5.48 //	pezaNam tu prakartavyam SilA-pawwena yatnatas // YRpH-_5.48 //
   dhātrīpatrarasenāpi tasyāḥ phalarasena vā /	DAtrI-patra-rasena-api tasyAH Pala-rasena vA /
   punarbhuvā vāsayā ca kāṃjikenātha gandhakaiḥ /	punarBuvA vAsayA ca kAMjikena-aTa ganDakEH /
   puṭayeddaśavārāṇi mriyate cābhrasattvakam // YRps_5.49 //	puwayet-daSa-vArANi mriyate ca-aBra-sattvakam // YRpH-_5.49 //
   <abhra:: sattva:: mṛta:: medic. properties>	<aBra:: sattva:: mRta:: medic. properties>
   mṛtaṃ satvaṃ harenmṛtyuṃ sarvarogavināśanam /	mRtam satvam haret-mRtyum sarva-roga-vinASanam /
   kṣayaṃ pāṇḍuṃ grahaṇikāṃ śvāsaṃ śūlaṃ sakāmalam // YRps_5.50 //	kzayam pANxum grahaNikAm SvAsam SUlam sa-kAmalam // YRpH-_5.50 //
   jvarānmehāṃśca kāsāṃśca gulmānpañcavidhānapi /	jvarAn-mehAn=-ca kAsAn=-ca gulmAn-paQcaviDAn-api /
   mandāgnimudarāṇyevam arśāṃsi vividhāni ca // YRps_5.51 //	manda-agnim-udarANi-evam arSAMsi viviDAni ca // YRpH-_5.51 //
   anupānaprayogeṇa sarvarogānnihanti ca /	anupAna-prayogeNa sarva-rogAn-nihanti ca /
   abhrasatvaguṇānvaktuṃ śakyate na samāsataḥ // YRps_5.52 //	aBra-satva-guNAn-vaktum Sakyate na samAsatas // YRpH-_5.52 //
   <rājāvarta:: parīkṣā:: good quality>	<rAjAvarta:: parIkzA:: good quality>
   kiṃcidrakto'tha nīlaśca miśravarṇaprabhaḥ sadā /	kiMcid-raktaH-aTa nIlaH-ca miSra-varNa-praBaH sadA /
   taulye guruśca masṛṇo rājāvartto varaḥ smṛtaḥ // YRps_5.53 //	tOlye guruH-ca masRNaH rAjAvarttaH varaH smRtaH // YRpH-_5.53 //
   <rājāvarta:: śodhana>	<rAjAvarta:: SoDana>
   gomūtreṇātha kṣāraiśca tathāmlaiḥ sveditāḥ khalu /	go-mUtreNa-aTa kzArEH-ca taTA-amlEH sveditAH Kalu /
   trivāreṇa viśudhyanti rājāvartādayo rasāḥ // YRps_5.54 //	tri-vAreNa viSuDyanti rAjAvarta-AdayaH rasAH // YRpH-_5.54 //
   <rājāvarta:: māraṇa>	<rAjAvarta:: mAraNa>
   cūrṇitaḥ śukapicchena bhṛṃgarājarasena vai /	cUrNitaH SukapicCena BRMgarAja-rasena vE /
   saptavāreṇa puṭito rājāvartto mariṣyati // YRps_5.55 //	sapta-vAreNa puwitaH rAjAvarttaH marizyati // YRpH-_5.55 //
   <rājāvarta:: mṛta:: medic. properties>	<rAjAvarta:: mRta:: medic. properties>
   śleṣmapramehadurnāma- pāṇḍukṣayanivāraṇaḥ /	Slezma-prameha-durnAma pANxu-kzaya-nivAraNaH /
   pācano dīpanaścaiva vṛṣyo'nilaviṣāpahaḥ // YRps_5.56 //	pAcanaH dIpanaH-ca-eva vRzyaH-anila-viza-apahaH // YRpH-_5.56 //
   <rājāvarta:: sattva:: pātana>	<rAjAvarta:: sattva:: pAtana>
   kośātakī kṣīrakando vaṃdhyākarkoṭakī tathā /	koSAtakI kzIrakandaH vaMDyAkarkowakI taTA /
   kākamācī rājaśamī triphalā gṛhadhūmakaḥ // YRps_5.57 //	kAkamAciH rAja-SamI triPalA gRhaDUmakaH // YRpH-_5.57 //
   rājāvarto rasaireṣāṃ satvaṃ muñcati marditaḥ /	rAjAvartaH rasEH-ezAm satvam muQcati marditaH /
   dhmāpitaḥ khadirāṃgārair bhastrikādvitayena ca // YRps_5.58 //	DmApitaH Kadira-aMgArEH BastrikA-dvitayena ca // YRpH-_5.58 //
   <vaikrānta:: phys. properties>	<vEkrAnta:: Pys. properties>
   aṣṭadhāroṣṭhaphalakaḥ ṣaṭkoṇo masṛṇo guruḥ /	azwa-DArozWa-PalakaH zaz-koNaH masRNaH guruH /
   śuddhamiśritavarṇaiśca yukto vaikrāṃta ucyate // YRps_5.59 //	SudDa-miSrita-varNEH-ca yuktaH vEkrAMtaH ucyate // YRpH-_5.59 //
   <vaikrānta:: subtypes:: colour>	<vEkrAnta:: subti-pes:: ca-ulouH->
   śvetaḥ pītastathā kṛṣṇo nīlaḥ pārāvacchaviḥ /	SvetaH pItaH-taTA kRzNaH nIlaH pArAvat-SaviH /
   karbūraḥ śyāmavarṇaśca vaikrāṃtaścāṣṭadhā smṛtaḥ // YRps_5.60 //	karbUraH SyAma-varNaH-ca vEkrAMtaH-ca-azwaDA smRtaH // YRpH-_5.60 //
   <vaikrānta:: śodhana>	<vEkrAnta:: SoDana>
   kvāthe kulatthaje svinno vaikrāṃtaḥ śudhyati dhruvam /	kvATe kulatTa-je svinnaH vEkrAMtaH SuDyati Druvam /
   <vaikrānta:: māraṇa>	<vEkrAnta:: mAraNa>
   gandhanimbūrasairmardyaḥ puṭito mriyate dhruvam // YRps_5.61 //	ganDa-nimbU-rasEH-mardyaH puwitaH mriyate Druvam // YRpH-_5.61 //
   <vaikrānta:: mṛta:: medic. properties>	<vEkrAnta:: mRta:: medic. properties>
   āyuḥpradastridoṣaghno vṛṣyaḥ prāṇapradaḥ sadā /	AyuH-pradaH-tridoza-GnaH vRzyaH prANa-pradaH sadA /
   vegaprado vīryakartā prajñāvarṇau karoti hi // YRps_5.62 //	vega-pradaH vIrya-kartA prajQA-varNO karoti hi // YRpH-_5.62 //
   rasāyaneṣu sarveṣu pūrvagaṇyastu rogahā /	rasAyanezu sarvezu pUrva-gaNyaH-tu roga-hA /
   vajravad guṇakārī ca vaikrāṃto rasabandhakaḥ // YRps_5.63 //	vajra-vat guNa-kArI ca vEkrAMtaH rasa-banDakaH // YRpH-_5.63 //
   <vaikrānta:: sattva:: pātana>	<vEkrAnta:: sattva:: pAtana>
   sūryātape mardito'sau satvapātagaṇauṣadhaiḥ /	sUrya-Atape marditaH-asO satva-pAta-gaNa-OzaDEH /
   śuṣkāyito vaṭīkṛtya mūṣāstho dhmāpito'pi vai // YRps_5.64 //	SuzkAyitaH vawIkRtya mUzA-sTaH DmApitaH-api vE // YRpH-_5.64 //
   satvaṃ muñcati vaikrāṃtaḥ satyaṃ guruvaco yathā /	satvam muQcati vEkrAMtaH satyam guru-vacaH yaTA /
   <vaikrānta:: sattva:: medic. use>	<vEkrAnta:: sattva:: medic. use>
   mṛtasūtena tulyāṃśaṃ satvaṃ vaikrāṃtasaṃbhavam // YRps_5.65 //	mRta-sUtena tulya-aMSam satvam vEkrAMta-saMBavam // YRpH-_5.65 //
   mṛtābhrasatvasaṃyuktaṃ marditaṃ samamātrakam /	mRta-aBra-satva-saMyuktam marditam sama-mAtrakam /
   kaṇāmadhvājyasaṃmiśraṃ vallamātraṃ niṣevitam // YRps_5.66 //	kaNA-maDu-Ajya-saMmiSram valla-mAtram nizevitam // YRpH-_5.66 //
   sarvān rogānnihantyāśu jīved varṣaśataṃ sukhī /	sarvAn rogAn-nihanti-ASu jIvet varza-Satam suKI /
   trivarṣasevanānnūnaṃ valīpalitanāśanam // YRps_5.67 //	tri-varza-sevanAt-nUnam valI-palita-nASanam // YRpH-_5.67 //
   <sasyaka:: myth. origin>	<sasyaka:: myT. origin>
   sadyo hālāhalaṃ pītam amṛtaṃ garuḍena ca /	sadyas hAlAhalam pItam amRtam garuxena ca /
   sudhāyukte viṣe vānte parvate marutāhvaye // YRps_5.68 //	suDA-yukte vize vAnte parvate maruta-Ahvaye // YRpH-_5.68 //
   ghanībhūtaṃ ca saṃjātaṃ sasyakaṃ khalu kathyate /	GanIBUtam ca saMjAtam sasyakam Kalu kaTyate /
   <sasyaka:: parīkṣā:: good quality>	<sasyaka:: parIkzA:: good quality>
   nīlaṃ marakatacchāyaṃ tejoyuktaṃ praśasyate // YRps_5.69 //	nIlam marakata=-CAyam tejaH-yuktam praSasyate // YRpH-_5.69 //
   <sasyaka:: śodhana>	<sasyaka:: SoDana>
   sveditaṃ māhiṣājyābhyāṃ gavāṃ mūtrairnarasya vā /	sveditam mAhiza-AjyAByAm gavAm mUtrEH-narasya vA /
   dolāyantreṇa yāmau dvau śudhyatyeva hi sasyakam // YRps_5.70 //	dolAyantreNa yAmO dvO SuDyati-eva hi sasyakam // YRpH-_5.70 //
   <sasyaka:: māraṇa>	<sasyaka:: mAraNa>
   gaṃdhāśmaṭaṃkaṇābhyāṃ ca lakucadrāvamarditam /	gaMDASma-waMkaNAByAm ca lakuca-drAva-marditam /
   kukkuṭāhvaiḥ saptapuṭair mriyate cāṃdhamūṣayā // YRps_5.71 //	kukkuwAhvEH sapta-puwEH mriyate ca-aMDamUzayA // YRpH-_5.71 //
   <sasyaka:: sattva:: pātana>	<sasyaka:: sattva:: pAtana>
   nighṛṣṭaṃ ṭaṃkaṇenaiva nimbūdrāveṇa mūṣayā /	niGRzwam waMkaNena-eva nimbU-drAveNa mUzayA /
   dhmātaṃ ca tāmrarūpaṃ hi sattvaṃ muñcati sasyakam // YRps_5.72 //	DmAtam ca tAmra-rUpam hi sattvam muQcati sasyakam // YRpH-_5.72 //
   viṣeṇa sahitaṃ yasmāt tasmādviṣaguṇādhikam /	vizeNa sahitam yasmAt tasmAt-viza-guNa-aDikam /
   sudhāyuktaṃ viṣaṃ yena sudhādhikaguṇaṃ tathā // YRps_5.73 //	suDA-yuktam vizam yena suDA-aDika-guNam taTA // YRpH-_5.73 //
   <sasyaka:: mṛta:: medic. properties>	<sasyaka:: mRta:: medic. properties>
   tridoṣaśamanaṃ caiva viṣahṛd gudaśūlanut /	tridoza-Samanam ca-eva viza-hRt guda-SUla-nud /
   amlapittavibandhaghnaṃ rasāyanavaraṃ sadā // YRps_5.74 //	amla-pitta-vibanDa-Gnam rasAyana-varam sadA // YRpH-_5.74 //
   vāntiṃ karoti rekaṃ ca śvitrakuṣṭhāpahaṃ tathā /	vAntim karoti rekam ca Svitra-kuzWa-apaham taTA /
   nāmnā mayūratutthaṃ hi sarvavyādhinivāraṇam // YRps_5.75 //	nAmnA mayUratutTam hi sarva-vyADi-nivAraNam // YRpH-_5.75 //
   <sasyaka, bhūnāga:: sattva:: ring>	<sasyaka, BUnAga:: sattva:: ring>
   bhūnāgasatvasaṃyuktaṃ satvametatsamīkṛtam /	BUnAga-satva-saMyuktam satvam-etat-samIkRtam /
   anayormudraikā kāryā śūlaghnī sā bhavet khalu // YRps_5.76 //	anayoH-mudrA-ekA kAryA SUla-GnI sA Bavet Kalu // YRpH-_5.76 //
   ḍākinībhūtasaṃveśa- carācaraviṣaṃ jayet /	xAkinIBUta-saMveSa carAcara-vizam jayet /
   rājñāṃ sadaiva rakṣārthaṃ vidhātavyā sumudrikā // YRps_5.77 //	rAjQAm sadA-eva rakzA-arTam viDAtavyA sumudrikA // YRpH-_5.77 //
   <mākṣika>	<mAkzika>
   mākṣikaṃ dvividhaṃ jñeyaṃ rukmatāpyaprabhedataḥ /	mAkzikam dviviDam jQeyam rukma-tApya-praBedataH /
   <svarṇamākṣika (?)>	<svarNamAkzika (?)>
   prathamaṃ mākṣikaṃ svarṇaṃ kānyakubjasamutthitam // YRps_5.78 //	praTamam mAkzikam svarNam kAnyakubja-samutTitam // YRpH-_5.78 //
   suvarṇavarṇasadṛśaṃ navavarṇasamanvitam /	suvarNa-varNa-sadRSam nava-varNa-samanvitam /
   <mākṣika:: tāpya (<> svarṇa)>	<mAkzika:: tApya (<> svarNa)>
   taṭe tapatyāḥ saṃjātaṃ tāpyākhyaṃ mākṣikaṃ vadet // YRps_5.79 //	tawe tapatyAH saMjAtam tApya-AKyam mAkzikam vadet // YRpH-_5.79 //
   pāṣāṇadalasaṃmiśraṃ pāṇḍuraṃ pañcavarṇavat /	pAzANa-dala-saMmiSram pANxuram paQca-varNa-vat /
   guṇālpakaṃ bhavatyetat svalpaṃ sattvaṃ vimuñcati // YRps_5.80 //	guNa-alpakam Bavati-etat su-alpam sattvam vimuQcati // YRpH-_5.80 //
   <mākṣika:: māraṇa>	<mAkzika:: mAraNa>
   mūtre takre ca kaulatthe marditaṃ śuṣkameva ca /	mUtre takre ca kOlatTe marditam Suzkam-eva ca /
   gaṃdhāśmabījapūrābhyāṃ piṣṭaṃ tacchrāvasaṃpuṭe // YRps_5.81 //	gaMDASma-bIjapUrAByAm pizwam tat-SrAva-saMpuwe // YRpH-_5.81 //
   pañcavārāhapuṭakair dagdhaṃ mṛtimavāpnuyāt // YRps_5.82 //	paQca-vArAha-puwakEH dagDam mRtim-avApnuyAt // YRpH-_5.82 //
   <mākṣika:: sattva:: pātana>	<mAkzika:: sattva:: pAtana>
   lohapātre susaṃdagdhaṃ lohadaṇḍena gharṣitam /	loha-pAtre su-saMdagDam loha-daNxena Garzitam /
   yadā raktaṃ dhātunibhaṃ jāyate niṃbukadravaiḥ // YRps_5.83 //	yadA raktam DAtu-niBam jAyate niMbuka-dravEH // YRpH-_5.83 //
   gharṣayet triguṇaṃ sūtaṃ muktvā saṃgharṣaṇaṃ kuru /	Garzayet triguNam sUtam muktvA saMGarzaNam kuru /
   dinaikaṃ gharṣayitvā tu dṛḍhavastreṇa gālayet // YRps_5.84 //	dina-ekam GarzayitvA tu dRXa-vastreNa gAlayet // YRpH-_5.84 //
   vastrasthā piṣṭikā lagnā tvadhaḥ patati pāradaḥ /	vastra-sTA pizwikA lagnA tu-aDas patati pAradaH /
   anenaiva prakāreṇa dvitrivāreṇa gālayet // YRps_5.85 //	anena-eva prakAreNa dvi-tri-vAreNa gAlayet // YRpH-_5.85 //
   tatpiṣṭīgolakaṃ grāhyaṃ yaṃtre ḍamaruke nyaset /	tat-pizwI-golakam grAhyam yaMtre xamaruke nyaset /
   praharadvayamātraṃ ced agniṃ prajvālayedadhaḥ // YRps_5.86 //	prahara-dvaya-mAtram ced agnim prajvAlayet-aDas // YRpH-_5.86 //
   indragopasamaṃ satvam adhaḥsthaṃ grāhayetsudhīḥ /	indragopa-samam satvam aDas-sTam grAhayet-suDIH /
   anenaiva vidhānena tāpyasatvaṃ samāharet // YRps_5.87 //	anena-eva viDAnena tApya-satvam samAharet // YRpH-_5.87 //
   ṭaṃkaṇena samāyuktaṃ drāvitaṃ mūṣayā yadā /	waMkaNena samAyuktam drAvitam mUzayA yadA /
   tadā tāmraprabhaṃ satvaṃ jāyate nātra saṃśayaḥ // YRps_5.88 //	tadA tAmra-praBam satvam jAyate na-atra saMSayaH // YRpH-_5.88 //
   dehalohakaraṃ samyak devīśāstreṇa bhāṣitam // YRps_5.89 //	deha-loha-karam samyak devI-SAstreNa BAzitam // YRpH-_5.89 //
   sarvāmayaghnaṃ satataṃ pāradasyāmṛtaṃ param /	sarva-Amaya-Gnam satatam pAradasya-amRtam param /
   melanaṃ kurute lohe paramaṃ ca rasāyanam // YRps_5.90 //	melanam kurute lohe paramam ca rasAyanam // YRpH-_5.90 //
   <vimala:: subtypes>	<vimala:: subti-pes>
   prathamo hemavimalo hemavadvarṇasaṃyutaḥ /	praTamaH hema-vimalaH hema-vat-varNa-saMyutaH /
   dvitīyo rūpyavimalo rūpyavad dṛśyate khalu // YRps_5.91 //	dvitIyaH rUpya-vimalaH rUpya-vat dRSyate Kalu // YRpH-_5.91 //
   tṛtīyaḥ kāṃsyavimalaḥ kāṃsyavarṇasamo hi saḥ /	tRtIyaH kAMsya-vimalaH kAMsya-varNa-samaH hi saH /
   <vimala:: phys. properties>	<vimala:: Pys. properties>
   snigdhaśca vartulaścaiva ṣaṭkoṇaḥ phalakānvitaḥ // YRps_5.92 //	snigDaH-ca vartulaH-ca-eva zaz-koNaH Palaka-anvitaH // YRpH-_5.92 //
   <vimala:: śodhana>	<vimala:: SoDana>
   vāsārase mardito hi śuddho'tivimalo bhavet /	vAsA-rase marditaH hi SudDaH-ati-vimalaH Bavet /
   <vimala:: māraṇa>	<vimala:: mAraNa>
   gaṃdhāśmaniṃbukadrāvair marditaḥ puṭito mṛtim /	gaMDASma-niMbuka-drAvEH marditaH puwitaH mRtim /
   śṛṅgasya bhasmanā cāpi puṭaiśca daśadhā puṭet // YRps_5.93 //	SRFgasya BasmanA ca-api puwEH-ca daSaDA puwet // YRpH-_5.93 //
   <vimala:: sattva:: pātana>	<vimala:: sattva:: pAtana>
   nimbūrasena saṃpiṣṭvā mūṣāmadhye nirudhya ca /	nimbU-rasena saMpizwvA mUzA-maDye niruDya ca /
   vimalaḥ sīsasadṛśaṃ dhmāto muñcati sattvakam // YRps_5.94 //	vimalaH sIsa-sadRSam DmAtaH muQcati sattvakam // YRpH-_5.94 //
   <vimala:: sattva:: medic. use>	<vimala:: sattva:: medic. use>
   piṣṭīkṛtaṃ hi tatsatvaṃ pāradena samanvitam /	pizwIkRtam hi tad-satvam pAradena samanvitam /
   drute gaṃdhe hi nikṣiptaṃ tālakaṃ triguṇaṃ tathā // YRps_5.95 //	drute gaMDe hi nikziptam tAlakam triguNam taTA // YRpH-_5.95 //
   manaḥśilā pañcaguṇā vālukāyantrake khalu /	manaHSilA paQcaguNAH vAlukAyantrake Kalu /
   jvālayet kramaśaścaiva paścādrajatabhasmakam // YRps_5.96 //	jvAlayet kramaSas-ca-eva paScAt-rajata-Basmakam // YRpH-_5.96 //
   samamātraṃ hi vaikrāṃtaṃ sarvaṃ saṃcūrṇayetkhalu /	sama-mAtram hi vEkrAMtam sarvam saMcUrNayet-Kalu /
   saṃgālya yatnato vastrāt sthāpayetkūpikāntare // YRps_5.97 //	saMgAlya yatnatas vastrAt sTApayet-kUpikA-antare // YRpH-_5.97 //
   vahniṃ kuryādaṣṭayāmaṃ svāṃgaśītaṃ samuddharet /	vahnim kuryAt-azwa-yAmam svAMgaSItam samudDaret /
   vallamātraṃ ca madhunā lehayet vyoṣasaṃyutaṃ // YRps_5.98 //	valla-mAtram ca maDunA lehayet vyoza-saMyutam // YRpH-_5.98 //
   bālānāṃ rogaharaṇaṃ jvarapāṇḍupramehanut /	bAlAnAm roga-haraNam jvara-pANxu-prameha-nud /
   grahaṇīkāmalāśūla- mandāgnikṣayapittahṛt // YRps_5.99 //	grahaNI-kAmalA-SUla manda-agni-kzaya-pitta-hRt // YRpH-_5.99 //
   anupānaviśeṣaṇaṃ sarvarogānnihanti ca // YRps_5.100 //	anupAna-viSezaNam sarva-rogAn-nihanti ca // YRpH-_5.100 //
   vṛṣyaḥ pittānilaharo rasāyanavaraḥ khalu // YRps_5.101 //	vRzyaH pitta-anila-haraH rasAyana-varaH Kalu // YRpH-_5.101 //
   <śilājatu:: subtypes>	<SilAjatu:: subti-pes>
   tatrādyaṃ dvividhaṃ caiva satsatvaṃ satvahīnakam /	tatra-Adyam dviviDam ca-eva sat-satvam satva-hInakam /
   guṇādhikaṃ tayormadhye yatpūrvaṃ sarvadoṣahṛt // YRps_5.102 //	guNa-aDikam tayoH-maDye yat-pUrvam sarva-doza-hRt // YRpH-_5.102 //
   <śilājatu:: origin from rocks>	<SilAjatu:: origin from rocks>
   nidāghe tīvratāpāddhi himapratyantaparvatāt /	nidAGe tIvra-tApAt-hi hima-pratyanta-parvatAt /
   hematārārkagarbhebhyaḥ śilājatu viniḥsaret // YRps_5.103 //	hema-tAra-arka-garBeByaH SilAjatu viniHsaret // YRpH-_5.103 //
   <śilājatu:: from gold>	<SilAjatu:: from gold>
   bandhūkapuṣpasadṛśaṃ guru snigdhaṃ suśītalam /	banDUka-puzpa-sadRSam guru snigDam su-SItalam /
   rukmagarbhagirau jātaṃ paramaṃ tadrasāyanam // YRps_5.104 //	rukma-garBa-girO jAtam paramam tat-rasAyanam // YRpH-_5.104 //
   kiṃcittiktaṃ ca madhuraṃ śilājaṃ sarvadoṣanut // YRps_5.105 //	kiMcid-tiktam ca maDuram SilAjam sarva-doza-nud // YRpH-_5.105 //
   <śilājatu:: from silver>	<SilAjatu:: from silver>
   tāragarbhagirerjātaṃ pāṇḍuraṃ svādu śītalam /	tAra-garBa-gireH-jAtam pANxuram svAdu SItalam /
   pittapāṇḍukṣayaghnaṃ ca śilājatu hi pāṇḍuram // YRps_5.106 //	pitta-pANxu-kzaya-Gnam ca SilAjatu hi pANxuram // YRpH-_5.106 //
   <śilājatu:: from copper>	<SilAjatu:: from ca-upper>
   śulvagarbhagirer jātaṃ kṛṣṇavarṇaṃ ghanaṃ guru /	Sulva-garBa-gireH jAtam kRzNa-varNam Ganam guru /
   girijaṃ kaphavātaghnaṃ viśeṣātsarvarogajit // YRps_5.107 //	girijam kaPa-vAta-Gnam viSezAt-sarva-roga-jit // YRpH-_5.107 //
   <śilājatu:: parīkṣā:: śuddha>	<SilAjatu:: parIkzA:: SudDa>
   agnau yajjāyate kṣiptaṃ liṃgākāramadhūmakam /	agnO yat-jAyate kziptam liMga-AkAram-aDUmakam /
   udake ca vilīyeta tacchuddhaṃ ca vidhīyate // YRps_5.108 //	udake ca vilIyeta tat-SudDam ca viDIyate // YRpH-_5.108 //
   <śilājatu:: śodhana>	<SilAjatu:: SoDana>
   amlaiśca guggulūpetaiḥ kṣārādyair bhāṇḍamadhyataḥ /	amlEH-ca guggulu-upetEH kzAra-AdyEH BANxa-maDyataH /
   viśudhyati śilājātaṃ sveditaṃ ghaṭikādvayam // YRps_5.109 //	viSuDyati SilAjAtam sveditam GawikA-dvayam // YRpH-_5.109 //
   <śilājatu:: māraṇa>	<SilAjatu:: mAraNa>
   manaḥśilāluṅgarasaiḥ śilayā gaṃdhakena vā /	manaHSilA-luFga-rasEH SilayA gaMDakena vA /
   tālakenātha puṭitaṃ śilājaṃ mriyate dhruvam // YRps_5.110 //	tAlakena-aTa puwitam SilAjam mriyate Druvam // YRpH-_5.110 //
   chagaṇairaṣṭabhiḥ kṛtvā bhasmībhūtaṃ śilājatu // YRps_5.111 //	CagaNEH-azwaBiH kRtvA BasmIBUtam SilAjatu // YRpH-_5.111 //
   <śilājatu:: medic. use>	<SilAjatu:: medic. use>
   śilājatu tu saṃśuddhaṃ seveta yaḥ pumān sadā /	SilAjatu tu saMSudDam seveta yaH pumAn sadA /
   jīvedvarṣaśataṃ sāgraṃ na rogairbādhyate khalu // YRps_5.112 //	jIvet-varza-Satam sAgram na rogEH-bADyate Kalu // YRpH-_5.112 //
   mūtrakṛcchrāśmarīrogāḥ prayāntyeva na saṃśayaḥ /	mUtrakRcCra-aSmarI-rogAH prayAnti-eva na saMSayaH /
   mahārase coparase dhāturatneṣu pārade /	mahArase ca-uparase DAtu-ratnezu pArade /
   ye guṇāḥ kathitāḥ sadbhiḥ śilādhātau vadanti te // YRps_5.113 //	ye guNAH kaTitAH sadBiH SilADAtO vadanti te // YRpH-_5.113 //
   vaikrāṃtakāṃtatriphalā- trikaṭubhiḥ samanvitam /	vEkrAMta-kAMta-triPalA trikawuBiH samanvitam /
   vallonmitaṃ vai seveta sarvarogagaṇāpaham // YRps_5.114 //	valla-unmitam vE seveta sarva-roga-gaNa-apaham // YRpH-_5.114 //
   palitaṃ valibhiḥ sārdhaṃ hanyādeva na saṃśayaḥ // YRps_5.115 //	palitam valiBiH sArDam hanyAt-eva na saMSayaH // YRpH-_5.115 //
   <karpūraśilājatu>	<karpUra-SilAjatu>
   karpūrasadṛśaṃ śvetaṃ karpūrākhyaṃ śilājatu /	karpUra-sadRSam Svetam karpUra-AKyam SilAjatu /
   <karpūraśilājatu:: medic. properties>	<karpUra-SilAjatu:: medic. properties>
   aśmarīmehakṛcchraghnaṃ kāmalāpāṇḍunāśanam // YRps_5.116 //	aSmarI-meha-kRcCra-Gnam kAmalA-pANxu-nASanam // YRpH-_5.116 //
   <karpūraśilājatu:: śodhana>	<karpUra-SilAjatu:: SoDana>
   amlatoyena saṃsvinnaṃ śuṣkaṃ śuddhimupaiti ca /	amla-toyena saMsvinnam Suzkam SudDim-upEti ca /
   <karpūraśilājatu:: māraṇa, sattvapātana>	<karpUra-SilAjatu:: mAraNa, sattva-pAtana>
   noditaṃ māraṇaṃ tasya satvapātanakaṃ budhaiḥ // YRps_5.117 //	na-uditam mAraNam tasya satva-pAtanakam buDEH // YRpH-_5.117 //
   <rasaka:: subtypes>	<rasaka:: subti-pes>
   dvividho rasakaḥ proktaḥ kāravellakadarduraḥ /	dviviDaH rasakaH proktaH kAravellaka-darduraH /
   <kāravellaka:: medic. properties>	<kAravellaka:: medic. properties>
   satvapāte paraḥ proktaḥ prathamaścauṣadhādiṣu // YRps_5.118 //	satva-pAte paraH proktaH praTamaH-ca-OzaDa-Adizu // YRpH-_5.118 //
   sarvamehaharaścaiva pittaśleṣmavināśanaḥ /	sarva-meha-haraH-ca-eva pitta-Slezma-vinASanaH /
   nāgārjunena kathitau siddhau śreṣṭharasāvubhau // YRps_5.119 //	nAgArjunena kaTitO sidDO SrezWa-rasO=-uBO // YRpH-_5.119 //
   kṛtau yenāgnisahanau sūtakharparakau śubhau /	kRtO yena-agni-sahanO sUta-KarparakO SuBO /
   tena svargamayī siddhir arjitā nātra saṃśayaḥ // YRps_5.120 //	tena svarga-mayI sidDiH arjitAH na-atra saMSayaH // YRpH-_5.120 //
   <rasaka:: śodhana>	<rasaka:: SoDana>
   rasakastāpitaḥ samyak nikṣipto rasapūrake /	rasakaH-tApitaH samyak nikziptaH rasa-pUrake /
   nirmalatvamavāpnoti saptavāraṃ nimajjitaḥ // YRps_5.121 //	nirmala-tvam-avApnoti sapta-vAram nimajjitaH // YRpH-_5.121 //
   <rasaka:: śodhana>	<rasaka:: SoDana>
   kāṃjike vātha takre vā nṛmūtre meṣamūtrake /	kAMjike vA-aTa takre vA nR-mUtre meza-mUtrake /
   drāvito ḍhālitaḥ samyak kharparaḥ pariśudhyati // YRps_5.122 //	drAvitaH XAlitaH samyak KarparaH pariSuDyati // YRpH-_5.122 //
   <rasaka:: rañjana of copper with ~>	<rasaka:: raQjanaH of ca-uppeH wiT ~>
   kharparaṃ retitaṃ śuddhaṃ sthāpitaṃ naramūtrake /	Karparam retitam SudDam sTApitam nara-mUtrake /
   rañjayenmāsamekaṃ hi tāmraṃ svarṇaprabhaṃ varam // YRps_5.123 //	raQjayet-mAsam-ekam hi tAmram svarNa-praBam varam // YRpH-_5.123 //
