   Māgha: Śiśupālavadha	MAGa: ŚiSupAla vaDa
   MSpv_10.18 //	MSpu _10.18 //
   chāditaḥ kathamapi trapayayāntaryaḥ priyaṃ prati cirāya ramaṇyāḥ  /	CAditaH kaTam api trapayayA antaryaH priyam prati cirAya ramaNyAH  /
   vāruṇīmadaviśaṅaagamathāviścakṣuṣo 'bhavadasāviva rāgāḥ  // MSpv_10.19 //	vAruNI mada viSaFaa gam aTAviScakzuzaH aBavat asO= iva rAgAH  // MSpu _10.19 //
   āgatānagaṇitapratiyātān vallabhānabhisisārayiṣūṇām  /	AgatAnagaNita pratiyAtAn vallaBa anaBisisArayizUNAm  /
   prāpi cetasi savipratisāre subhruvāmavasaraḥ sarakeṇa  // MSpv_10.20 //	prApi cetasi sa vipratisAre suBruvAm avasaraH sarakeNa  // MSpu _10.20 //
   mā punastamabhisīsaramāgaskāriṇaṃ madavimohitacittā  /	mA punar tam aBisIsara mAgaskAriNam mada vimohita cittA  /
   yoṣidityabhilāṣa na hālāṃ dustyajaḥ khalu sukhādapi mānaḥ  // MSpv_10.21	yozit iti aBilAza na hAlAm dustyajaH Kalu suKAt api mAnaH  // MSpu _10.21
   hrīvimohamaharaddayitānāmantikaṃ ratisukhāya nināya  /	hrI vimoham aharat dayitAnAm antikam rati suKAya ninAya  /
   saprasādamiva sevitamāsītsadya eva phaladaṃ madhu tāsām  // MSpv_10.22 //	sa prasAdam iva sevitam AsIt sadyas eva Pala dam maDu tAsAm  // MSpu _10.22 //
   dattamāttamadanaṃ dayitena vyāptamatiśākena rasena  /	datta mAtta madanam dayitena vyAptam ati SAkena rasena  /
   sasvade mukhasuraṃ pramadābhyo nāma rūḍhamapi ca vyudapādi  // MSpv_10.23	sa svade muKa suram pramadAByaH nAma rUXam api ca vyudapAdi  // MSpu _10.23
   labdhasaurabhaguṇo madirāṇāmaṅganāsyacaṣakasya ca gandhaḥ  /	labDa sOraBa guNaH madirANAm aFganA Asya cazakasya ca ganDaH  /
   moditāliritaretarayogādanyatāmabhajatātiśayaṃ nu  // MSpv_10.24 //	modita aliH ita retara yogAt anya tAm aBajatA atiSayam nu  // MSpu _10.24 //
   mānabhaṅgapacaṭunā suratecchāṃ tanvatā prathayatā dṛśi rāgam  /	mAna BaFga pacawunA surata icCAm tanvatA praTayatA dRSi rAgam  /
   lebhire sapadi bhāvayatāntaryoṣitaḥ praṇayineva madena  // MSpv_10.25 //	leBire sapadi BAvayata antar yozitaH praNayinA iva madena  // MSpu _10.25 //
   pānadhautanavayāvakarāgaṃ subhruvo nibhṛtacumbanadakṣāḥ  /	pAna DOta nava yAvaka rAgam suBruvaH niBRta cumbana dakzAH  /
   preyasāmadhararāgarasena svaṃ kilādharamupāli rarañjuḥ  // MSpv_10.26 //	preya sAmaDara rAga rasena svam kila aDaram upAli raraQjuH  // MSpu _10.26 //
   arpitaṃ rasitavatyapi nāmagrāhamanyayuvaterdayitena  /	arpitam rasitavatI api nAmagrAham anya yuvateH dayitena  /
   ujjhati sma madamapyapibantī vīkṣya madyamitarā tu mamāda  // MSpv_10.27	ujJati sma madam api apibantI vIkzya madyam itarA tu mama Ada  // MSpu _10.27
   anyānyavanitāgatacittaṃ cittanāthamabhiśaṅkitavatyā  /	anya anya vanitA gata cittam citta nATam aBiSaFkitavatyA  /
   pītabhūrisurayāpi namede nirvṛtirhimanaso madahetuḥ  // MSpv_10.28 //	pIta BUri surayA api namede nirvRtiH himanasaH mada hetuH  // MSpu _10.28 //
   kopavatyanunayānagṛhītvā prāgatho madhumadāhitamohā  /	kopavatI anunayAna gRhItvA prAk aTaH maDu mada Ahita mohA  /
   kopitaṃ virahakheditacittā kāntameva kalayantyanuninye  // MSpv_10.29 //	kopitam viraha Kedita cittA kAntam eva kalayanti anuninye  // MSpu _10.29 //
   kurvatā mukulitākṣiyugānāmaṅgasādamavasāditavagacām  /	kurvatA mukulita akzi yugAnAm aFga sAdam avasAditavagacAm  /
   īrṣyayeva haratā hriyamāsāṃ tadguṇaḥ svayamakāri madena  // MSpv_10.30 //	IrzyayA iva haratA hriyam AsAm tad guNaH svayamakAri madena  // MSpu _10.30 //
   gaṇḍabhittiṣu purā sadṛśīṣu vyāñji nāñjitadṛśāṃ pratimenduḥ  /	gaNxa Bittizu purA sadRSIzu vyAQji na aQjita dRSAm pratimA induH  /
   pānapāṭalitakāntiṣu paścāllodhracūrṇatilakākṛtirāsīt  // MSpv_10.31 //	pAna pAwalita kAntizu paScAt loDra cUrNa tilaka AkRtiH AsIt  // MSpu _10.31 //
   uddhatairiva parasparasaṅgādīritānyubhayataḥ kucakumbhaiḥ  /	udDatEH iva paraspara saFgAt IritAni uBayatas kuca kumBEH  /
   yoṣitāmatimadena jughūrṇurvibhramātiśayapuṃsi vapūṃṣi  // MSpv_10.32 //	yozitAm ati madena juGUrNuH viBrama atiSaya puMsi vapUMzi  // MSpu _10.32 //
   cārutā vapurabhūṣayadāsāṃ tāmanūnanavayauvanayogaḥ  /	cAru tA vapuH aBUzayadAsAm tAm anUna nava yOvana yogaH  /
   taṃ punarmakaraketanalakṣakṣmīstāṃ mado dayitasaṃgamabhūṣaḥ  // MSpv_10.33	tam punar makara ketana lakza kzmIH tAm madaH dayita saMgama BUzaH  // MSpu _10.33
   kṣībatāmanugatāsvanuvelaṃ tāsu roṣaparitoṣavatīṣu  /	kzIba tAm anugatAsu anuvelam tAsu roza paritozavatIzu  /
   agrahīnna saśaraṃ dhanurujjhāmāsa nūjjhitaniṣaṅgamanaṅgaḥ  // MSpv_10.34	agrahIt na sa Saram DanuH ujJAmAsa nu ujJita nizaFgam anaFgaH  // MSpu _10.34
   śahaṅgayānyayuvatau vanitābhiḥ pratyabhedi dayitaḥ sphuṭameva  /	SahaFgayA anya yuvatO vanitABiH pratyaBedi dayitaH sPuwam eva  /
   na kṣamaṃ bhavati tatvavicāre matsareṇa hatasaṃvṛti cetaḥ  // MSpv_10.35	na kzamam Bavati tatva vicAre matsareNa hata saMvRti cetaH  // MSpu _10.35
   ānanairvicakase hṛṣitābhirvallabhānabhi tanūbhirabhāvi  /	AnanEH vicakase hRzitABiH vallaBAn aBi tanUBiH aBAvi  /
   ārdratāṃ hṛdayamāpa ca roṣo lolati sma vacaneṣu vadhūnām  // MSpv_10.36 //	Ardra tAm hRdayam Apa ca rozaH lolati sma vacanezu vaDUnAm  // MSpu _10.36 //
   rūpamapratividhānamanojñaṃ prema kāryamanapekṣya vikāsi  /	rUpam aprativiDAna manojQam prema kAryam anapekzya vikAsi  /
   cāṭu cākṛtakasaṃbhramamāsāṃ kārmaṇatvamagamanramaṇeṣu  // MSpv_10.37 //	cAwu ca akRtaka saMBramam AsAm kArmaNa tvam agaman ramaNezu  // MSpu _10.37 //
   līlayaiva sutanostulayitvā gauravāḍhyamapi lāvaṇikena  /	lIlayA eva sutanoH tulayitvA gOrava AXyam api lAvaNikena  /
   mānavañjanavidā vadanena krītameva hṛdayaṃ dayitasya  // MSpv_10.38 //	mAna vaQjana vidA vadanena krItam eva hRdayam dayitasya  // MSpu _10.38 //
   sparśabhāji viśadacchavicārau kalpite mṛgadṛśāṃ suratāya  /	sparSa BAji viSat a= Cavi cArO kalpite mRga dRSAm suratAya  /
   sannatiṃ dadhati peturajasraṃ dṛṣṭayaḥ priyatame śayane ca  // MSpv_10.39	sannatim daDati petuH ajasram dRzwayaH priyatame Sayane ca  // MSpu _10.39
   yūni rāgataralairapi tiryakpātibhiḥ śrutiguṇena yutasya  /	yUni rAga taralEH api tiryak pAtiBiH Sruti guNena yutasya  /
   dīrghadarśibhirakāri vadhūnāṃ laṅghanaṃ na nayanaiḥ śravaṇasya  //	dIrGa darSiBiH akAri vaDUnAm laFGanam na nayanEH SravaNasya  //
   MSpv_10.40 //	MSpu _10.40 //
   saṃkathecchurabhidhātumanīśā saṃmukhī na ca babhūva didṛkṣuḥ  /	saMkaTecCuH aBiDAtu m anISA saMmuKI na ca baBUva didRkzuH  /
   sparśanena dayitasya natabhrūraṅgacapalāpi cakampe  // MSpv_10.41 //	sparSanena dayitasya nata BrU H aFga capalA api cakampe  // MSpu _10.41 //
   uttarīyavinayāttrapamāṇā rundhatī kila tadīkṣaṇamārgam  /	uttarIya vinayAt trapamANA runDatI kila tad IkzaNa mArgam  /
   ācariṣṭa vikaṭena vivoḍhurvakṣasaiva kucamaṇaḍalamanyā  // MSpv_10.42 //	Acarizwa vikawena vivoXuH vakzasA eva kuca maNa xalam anyA  // MSpu _10.42 //
   aṃśukaṃ hṛtavatā tanubāhusvastikāpihitamugdhakucāgrā  /	aMSukam hRtavatA tanu bAhu svastikA pihita mugDa kuca agrA  /
   bhinnaśaṅkhavalayaṃ pariṇetrā paryarambhi rabhasādaciroḍhā   // MSpv_10.43	Binna SaFKa valayam pariNetrA paryaramBi raBasAt acira UXA   // MSpu _10.43
   saṃjahāra sahasā parirabdhapreyasīṣu virahayya virodham  /	saMjahAra sahasA parirabDa preyasIzu virahayya viroDam  /
   saṃhitaṃ ratipatiḥ smitabhinnakrodhamāśu taruṇeṣu maheṣum  // MSpv_10.44	saMhitam rati patiH smita Binna kroDam ASu taruNezu mahA izum  // MSpu _10.44
   sraṃsamānamupayantari vadhvāḥ śliṣṭavatyupasapakṣi rasena  /	sraMsamAnam upayantari vaDvAH SlizwavatI upasapakzi rasena  /
   ātmanaiva rurudhe kṛtineva svasaṅgi vasanaṃ jaghanena  // MSpv_10.45 //	AtmanA eva ruruDe kRtinA iva sva saFgi vasanam jaGanena  // MSpu _10.45 //
   pīḍite pura uraḥ pratiṣedhaṃ bhartari stanayugena yuvatyāḥ  /	pIxite puras uraH pratizeDam Bartari stana yugena yuvatyAH  /
   spaṣṭameva dalataḥ pratināryastanmayatvamabhavaddhṛdayasya  // MSpv_10.46	spazwam eva dalataH pratinAryaH tad maya tvam aBavat hRdayasya  // MSpu _10.46
   dīpitasmaramurasyapapīḍaṃ vallabhe ghanamabhiṣvajamāne  /	dIpita smaram urasya papIxam vallaBe Ganam aBizvajamAne  /
   vakratāṃ na yayatuḥ kucakumbhau subhruvaḥ kaṭhinatātiśayena  // MSpv_10.47	vakra tAm na yayatuH kuca kumBO suBruvaH kaWina tA atiSayena  // MSpu _10.47
   saṃpraveṣṭumiva yoṣita īṣuḥ śliṣyatāṃ hṛdayamiṣṭatamānām  /	saMpravezwum iva yozitaH IzuH SlizyatAm hRdayam izwatamAnAm  /
   ātmanaḥ satatameva tadantarvartino na khalu nūnamajānan  // MSpv_10.48 //	AtmanaH satatam eva tad antar vartinaH na Kalu nUnam ajAnan  // MSpu _10.48 //
   snahanirbharamadatta vadhūnāmārdratāṃ vapurasaṃśayamantaḥ   /	snaha nirBaram adatta vaDUnAm Ardra tAm vapuH asaMSayam antar   /
   yūni gāḍhaparirambhiṇi vastraknopamambu vavṛṣe yadanena  // MSpv_10.49 //	yUni gAXa pariramBiNi vastra knopam ambu vavRze yat anena  // MSpu _10.49 //
   na sma māti vapuṣaḥ pramadānāmantariṣṭatamasaṅgamajanmā  /	na sma mA ati vapuzaH pramadAnAm antar izwatama saFgama janmA  /
   tadbahurbahiravāpya vikāsaṃ vyānaśe tanuruhāṇyapi harṣaḥ  // MSpv_10.50 //	tad bahuH bahis avApya vikAsam vyAnaSe tanuruhANi api harzaH  // MSpu _10.50 //
   yatpriyavyatikarādvanitānamaṅgajena pulakena babhūve  /	yad priya vyatikarAt vanitAnam aFga jena pulakena baBUve  /
   prāpi tena bhṛśamucchvasibhirnīvibhiḥ sapadi bandhanamokṣaḥ  // MSpv_10.51	prApi tena BRSam ucCvasiBiH nIviBiH sapadi banDana mokzaH  // MSpu _10.51
   hrībharādavanataṃ parirambhe rāgavānavaṭujeṣvavakṛṣya  /	hrI BarAt avanatam pariramBe rAgavAn avawujezu avakRzya  /
   arpitoṣṭhadalamānanapadmaṃ yoṣito mukulitākṣamadhāsīt  // MSpv_10.52 //	arpita uzWa dalam Anana padmam yozitaH mukulita akzamaDAsIt  // MSpu _10.52 //
   palvopamitasāmyasapakṣaṃ daṣṭatyadharabimbamabhīṣṭe  /	palva upamita sAmyasa pakzam dazwati aDara bimbam aBIzwe  /
   paryakūji sarujeva taruṇyāstāralolavalayena kareṇa  // MSpv_10.53 //	paryakUji sarujA iva taruNyAH tAra lola valayena kareNa  // MSpu _10.53 //
   kenacitanmadhuramulbaṇarāgaṃ bāṣpataptamadhikaṃ viraheṣu  /	kenacitad maDuram ulbaNa rAgam bAzpa taptam aDikam virahezu  /
   oṣṭhapallavamavāpya muhūrta subhruvaḥ sarasamakṣi cucumbe  // MSpv_10.54	ozWa pallavam avApya muhUrta suBruvaH sarasam akzi cucumbe  // MSpu _10.54
   recitaṃ parijanena mahīyaḥ kevalābhiratadampati dhāma  /	recitam parijanena mahIyaH kevalABiratadampati DAma  /
   sāmyamāpa kamalāsakhaviṣvaksenasevitayugāntapayodheḥ  // MSpv_10.55 //	sAmyam Apa kamalA saKa vizvaksena sevita yuga anta payoDeH  // MSpu _10.55 //
   āvṛtānyapi nirantaramuccairyoṣitāmurasijadvatayena  /	AvRtAni api nirantaram uccEs yozitAm urasijadvatayena  /
   rāgiṇāmita ito vimṛśadbhiḥ pāṇibhirjagṛhire hṛdayāni  // MSpv_10.56 //	rAgiNA amitas itas vimRSadBiH pANiBiH jagRhire hRdayAni  // MSpu _10.56 //
   kāmināmasakalāni vibhugnaiḥ svadavārimṛdubhiḥ karajāgraiḥ  /	kAminAm asakalAni viBugnEH svada vAri mRduBiH karaja agrEH  /
   ākriyanta kaṭhineṣu kathañcitkāminīkucataṭeṣu padāni  // MSpv_10.57 //	Akriyanta kaWinezu kaTaQcid kAminI kuca tawezu padAni  // MSpu _10.57 //
   soṣmaṇaḥ stanaśilāśikharāgrādāttagharmasalilaistaruṇānām  /	sa UzmaNaH stana SilA SiKara agrAt Atta Garma salilEH taruNAnAm  /
   ucchvasatkamalacāruṣu hastainimnanābhisarasīṣu nipete  // MSpv_10.58 //	ucCvasat kamala cAruzu hastEnimna nABi sarasIzu nipete  // MSpu _10.58 //
   āmṛśadbhirabhito valivīcirlolamānavitatāṅgulihastaiḥ  /	AmRSadBiH aBitas vali vIciH lola mAna vitata aFguli hastEH  /
   subhruvāmanubhavātpratipede muṣṭimeyamiti maghyamabhīṣṭaiḥ  // MSpv_10.59	suBruvAm anuBavAt pratipede muzwi meyam iti maGyam aBIzwEH  // MSpu _10.59
   prāpya nābhinadamajjanamāśu prasthitaṃ nivasanagrahaṇāya   /	prApya na aBinada majjanam ASu prasTitam nivasana grahaNAya   /
   aupanīvikamarundha kila strī vallabhasya karamātmakarābhyām  // MSpv_10.60	OpanIvikam arunDa kila strI vallaBasya karam Atma karAByAm  // MSpu _10.60
   kāminaḥ kṛtaratotsavakālakṣepamākulavadhūkarasaṅgi  /	kAminaH kRta rata utsava kAla kzepam Akula vaDU kara saFgi  /
   mekhalāguṇavilagnamasūyāṃ dīrghasūtramakarotparidhānam  // MSpv_10.61 //	meKalA guNa vilagnam asUyAm dIrGasUtram akarot pariDAnam  // MSpu _10.61 //
   ambaraṃ vinayataḥ priyapāṇeryoṣitasya karayoḥ kalahasya  /	ambaram vinayataH priya pANeH yozitasya karayoH kalahasya  /
   vāraṇamiva vidhātumabhīkṣṇaṃ kakṣyayā ca valayaiśca śiśiñce  // MSpv_10.62	vAraNam iva viDAtum aBIkzNam kakzyayA ca valayEH ca SiSiQce  // MSpu _10.62
   granthimudgrathayituṃ hṛdayadeśe vāsasaḥ spṛśati mānadhanāyāḥ  /	granTim udgraTayitum hRdaya deSe vAsasaH spRSati mAna DanAyAH  /
   bhrūyugeṇa sapadi pratipede romabhiśca samameva vibhedaḥ  // MSpv_10.63 //	BrU yugeNa sapadi pratipede romaBiH ca samam eva viBedaH  // MSpu _10.63 //
   āśu laṅghitavatīṣṭakarāgre nīvīmardhamukulīkṛtadṛṣṭyā  /	ASu laFGita vati izwakara agre nIvIm arDa mukulIkRta dRzwyA  /
   raktavaiṇika hatādharatantrīmaṇḍalakvaṇitacāru cukūje  // MSpv_10.64 //	rakta vENika hata aDara tantrI maNxala kvaNita cAru cukUje  // MSpu _10.64 //
   āyatāṅgulirabhūdatiriktaḥ subhruvāṃ kraśimaśālini madhye  /	Ayata aFguliH aBUt atiriktaH suBruvAm kraSima SAlini maDye  /
   śroṇiṣu priyakaraḥ pṛthulāsu sparśamāpa sakalena talena  // MSpv_10.65 //	SroNizu priya karaH pRTulAsu sparSam Apa sakalena talena  // MSpu _10.65 //
   cakrureva lalanoruṣu rājīḥ sparśalobhavaśalolakarāṇām  /	cakruH eva lalana Uruzu rAjIH sparSaloBava Salola karANAm  /
   kāmināmanibhṛtānyapi rambhāsta mbhakomalataleṣu nakhāni  // MSpv_10.66 //	kAminA Am aniBRtAni api ramBAH te mBa komala talezu naKAni  // MSpu _10.66 //
   ūrumūlacapalekṣaṇamaghnan yairvataṃsakusumaiḥ priyametāḥ  /	Uru mUla capala IkzaNam aGnan yEH vataMsa kusumEH priyam etAH  /
   cakrire sapadi tāni yathārtha manmathasya kusumāyudhanāma  // MSpv_10.67	cakrire sapadi tAni yaTArTa manmaTasya kusumAyuDa nAma  // MSpu _10.67
   dhairyamulbaṇamanobhavabhavā vāmatāṃ ca vapurarpitavatyaḥ  /	DEryam ulbaNa manoBava BavAH vAma tAm ca vapuH arpitavatyaH  /
   vrīḍitaṃ lalita sauratadhārṣṭyaastenire 'bhiruciteṣu taruṇyaḥ  //	vrIxitam lalita sOrataDArzwyaaH tenire aBirucitezu taruNyaH  //
   MSpv_10.68 //	MSpu _10.68 //
   pāṇirodhamavirodhavāñchaṃ bhartsanāśca madhurasmitagarbhāḥ  /	pANi roDam aviroDa vAQCam BartsanAH ca maDura smita garBAH  /
   kāminaḥ sma kurute karabhorurhaari śuṣkaruditaṃ ca sukha'pi  // MSpv_10.69	kAminaH sma kurute karaBa UruH haari Suzka ruditam ca suKa api  // MSpu _10.69
   vāraṇārthapadagadgadavācāmīrṣyayā muhurapatrapayā ca  /	vAraNa arTa pada gadgada vAcAm IrzyayA muhur apatrapayA ca  /
   kurvate sma sudṛśāmanukūlaṃ pratikūlikatayaiva yuvānaḥ  // MSpv_10.70 //	kurvate sma su dRSAm anukUlam pratikUlika tayA eva yuvAnaH  // MSpu _10.70 //
   anyakālaparihāryamajasraṃ taddvayena vidadhe dvayameva  /	anya kAla parihAryam ajasram tad dvayena vidaDe dvayam eva  /
   dhṛṣṭatā rahasi bhartṛṣu tābhirnirdayatvamitarairabalāsu  // MSpv_10.71 //	DRzwa tA rahasi BartRzu tABiH nirdaya tvam itarEH abalAsu  // MSpu _10.71 //
   bāhupīḍanakacaga3haṇābhyāmāhatena nakhadantanipātaiḥ  /	bAhu pIxana kacaga3haNAByAm Ahatena naKa danta nipAtEH  /
   bodhitastanuśayataruṇīnāmunmimīla viśadaṃ viṣameṣu  // MSpv_10.72 //	boDitaH tanu Saya taruNInAm unmimIla viSadam vizamezu  // MSpu _10.72 //
   kāntayā sapadi ko 'pyupagūḍhaḥ prauḍhapāṇirapanetumiyeṣa  /	kAntayA sapadi kaH api upagUXaH prOXa pANiH apanetum iyeza  /
   saṃhatastanatiraskṛtadṛṣṭirbhraṣṭameva na dukūlamapaśyat  // MSpv_10.73 //	saMhata stana tiraskRta dRzwiH Brazwam eva na dukUlam apaSyat  // MSpu _10.73 //
   āhataṃ kucataṭena taruṇyāḥ sādhu soḍhamamuneti papāta  /	Ahatam kuca tawena taruNyAH sADu soXam amunA iti papAta  /
   truṭyataḥ priyatamorasi hārātpuṣpavṛṣcaṭariva mauktikavṛṣṭiḥ  //	truwi atas priya tama urasi hArAt puzpa vRzcawar iva mOktika vRzwiH  //
   MSpv_10.74 //	MSpu _10.74 //
   sītkṛtāni maṇitaṃ karuṇoktiḥ snigdhamuktamalamarthavacāṃsi  /	sItkRtAni maNitam karuNA uktiH snigDa m ukta m alam arTavacAMsi  /
   hāsabhūṣaṇaravāśca ramaṇyāḥ kāmasūtrapadatāmupajagmuḥ  // MSpv_10.75 //	hAsa BUzaNa ravAH ca ramaNyAH kAmasUtrapadatAm upajagmuH  // MSpu _10.75 //
   uddhatairnibhṛtamekamanekaiśchadavanmṛgadṛśāmavirāmaiḥ  /	udDatEH niBRtam ekam anekEH Cada vat mRga dRSa Ama virAmEH  /
   śrūyate sma maṇitaṃ kalakāñcīnūpuradhvanibhirakṣatameva  // MSpv_10.76 //	SrUyate sma maNitam kala kAQcI nUpura DvaniBiH akzatam eva  // MSpu _10.76 //
   īdṛśasya bhavataḥ khatametallāghavaṃ muhuratīva rateṣu  /	IdRSasya BavataH Katam etat lAGavam muhur atIva ratezu  /
   kṣiptamāyatamadarśayadurvyā kāñcidāma jaghanasya mahatvam  // MSpv_10.77	kziptam Ayatam adarSaya durvyA kAQcidAma jaGanasya mahatvam  // MSpu _10.77
   prapyate sma gatacitrakacitraiścatramārdranakhalakṣmakapolaiḥ  /	prapyate sma gata citraka citrEH catram Ardra naKa lakzma kapolEH  /
   dadhrire 'tha rabhasacyutapuṣpāḥ svabindukusumānyalakāntāḥ  // MSpv_10.78	daDrire aTa raBasa cyuta puzpAH sva bindu kusumAni alaka antAH  // MSpu _10.78
   yadyadeva ruruce rucirebhyaḥ subhruvo rahasi ttadakurvan  /	yat yat eva ruruce rucireByaH suBruvaH rahasi ttat akurvan  /
   ānukūlikatayā hi narāṇāmākṣipanti hṛdayāni taruṇyaḥ  // MSpv_10.79 //	AnukUlika tayA hi narANAm Akzipanti hRdayAni taruNyaH  // MSpu _10.79 //
   prāpya manmatharasādatibhūmiṃ durvahastanabharāḥ suratasya  /	prApya manmaTa rasAt ati BUmim durvaha stana BarAH suratasya  /
   śaśramuḥ śramajalārdralalāṭaśliṣṭakeśamasitāyatakeśyaḥ  // MSpv_10.80 //	SaSramuH Srama jala Ardra lalAwa Slizwa keSam asita Ayata keSyaH  // MSpu _10.80 //
   saṃgatābhirucitaiścalitāpi prāgamucyata cireṇa sakhīva  /	saMgata aBirucitEH calitA api prAk amucyata cireNa saKI iva  /
   bhūya eva samagaṃsta ratānte hrīvadhūbhirasahā virahasya  // MSpv_10.81 //	BUyas eva sama gaMsta rata ante hrI vaDUBiH asahA virahasya  // MSpu _10.81 //
   prekṣaṇīyakameva kṣaṇamāsan hrīvibhaṅguravilocanapātāḥ  /	prekzaNIyakam eva kzaNam Asan hrI viBaFgura vilocana pAtAH  /
   saṃbhramadrutagṛhītadukūlacchādyamānavapuṣaḥ suratāntāḥ  // MSpv_10.82 //	saMBrama druta gRhIta dukUla= CAdyamAna vapuzaH surata antAH  // MSpu _10.82 //
   aprabhūtamatanīyasi tanvī kāñcidhāmnipihitaikataroru  /	apraBUta matanIyasi tanvI kAQci DAmni pihita eka tara Uru  /
   kṣaumamākulakarā vicakarṣa kāntāpallavamabhīṣṭatamena  // MSpv_10.83 //	kzOmam Akula karAH vicakarza kAntA pallavam aBIzwatamena  // MSpu _10.83 //
   mṛṣṭacandanaviśeṣakabhaktirmraṣaaṭabhūṣaṇakadarthitamālyaḥ  /	mRzwa candana viSezaka BaktiH mra zaawa BUzaNa kadarTita mAlyaH  /
   sāparādha iva maṇḍanamāsīdātmanaiva sudṛśāmupabhogaḥ  // MSpv_10.84 //	sa aparADaH iva maNxanam AsIt AtmanA eva su dRSAm upaBogaH  // MSpu _10.84 //
   yoṣitaḥ patitakāñcanakāñcau mohanātirabhasena nitambe  /	yozitaH patita kAQcana kAQcO mohana ati raBasena nitambe  /
   mekhaleva paritaḥ sma vicitrā rājate vananakhakṣatalakṣmīḥ  // MSpv_10.85	meKalA iva paritas sma vicitrA rAjate vana naKa kzata lakzmIH  // MSpu _10.85
   bhātu nāma sudṛśāṃ daśanāṅkaḥ pāṭalo dhavalagaṇaḍataleṣu  /	BAtu nAma su dRSAm daSana aFkaH pAwalaH Davala gaNaxa talezu  /
   dantavāsasi samānaguṇaśrīḥ saṃmukho 'pi parabhāgamavāpa  // MSpv_10.86 //	danta vAsasi samAna guNa SrIH saMmuKaH api para BAgam avApa  // MSpu _10.86 //
   subhruvāmadhipayodharapīṭhaṃ pīḍanaistruṭitavatyapi patyuḥ  /	suBruvAm aDipayoDara pIWam pIxanEH truwitavati api patyuH  /
   ṇuktamauktikalaghuguṇaśeṣā hārayaṣcirabhavat gurureva  // MSpv_10.87 //	Nukta mOktika laGu guNa SezAH hArayazciH aBavat guruH eva  // MSpu _10.87 //
   viśramārthamupagūḍhamajasraṃ yatpriyaiḥ prathamaratyavasāne  /	viSrama arTam upagUXam ajasram yad priyEH praTama rati avasAne  /
   yoṣitāmuditamanmathamādau taddvitīyasuratasya babhūva  // MSpv_10.88 //	yozitAmudita manmaTam AdO tad dvitIya suratasya baBUva  // MSpu _10.88 //
   āstṛte 'bhinavapallavapuṣpairapyanārataratābhiratābhyaḥ  /	AstRte aBinava pallava puzpEH api anAratara tA aBiratAByaH  /
   dīyate sma śayituṃ śayanīye na kṣaṇaḥ kṣaṇadayāpi vadhūbhyaḥ  //	dIyate sma Sayitum SayanIye na kzaNaH kzaNa dayA api vaDUByaH  //
   MSpv_10.89 //	MSpu _10.89 //
   yoṣitāmatitarāṃ nakhalūnaṃ gātramujjavalatayā na khalūnam  /	yozitAm atitarAm naKa lUnam gAtram ujjavala tayA na KalUnam  /
   kṣobhamāśu hṛdayaṃ nayadūnāṃ rāgavṛddhimakaronna yadūnām  // MSpv_10.90 //	kzoBam ASu hRdayam naya dUnAm rAga vRdDi makarot na yadUnAm  // MSpu _10.90 //
   iti madamadanābhyāṃ rāgiṇaḥ	iti mada madanAByAm rAgiNaH
   spaṣṭarāgananavaratarataśrīsaṅginastānavekṣya  /	spazwa rAga nana vara tarata SrI saFginaH tAn avekzya  /
   abhajata parivṛttiṃ sātha paryastahastā	aBajata parivRttim sA aTa paryasta hastA
   rajaniravanatendurlajjayādhomukhīva  // MSpv_10.91 //	rajaniravana ta induH lajjayA aDomuKI iva  // MSpu _10.91 //
   śrutisamadhikamuccaiḥ pañcamaṃ pīḍayantaḥ satatamamṛṣabhahīnaṃ	Sruti samaDikam uccEs paQcamam pIxayantaH satatamam RzaBa hInam
   bhinnakīkṛtya ṣaḍjam  /	BinnakIkRtya zaz jam  /
   praṇijagadurakākuśrāvakasnigdhakaṇṭhāḥ pariṇatimiti rātrermāgadhā	praNijagat urakAku SrAvaka snigDa kaNWAH pariNatim iti rAtreH mAgaDA
   mādhavāya  // MSpv_11.1 //	mADavAya  // MSpu _11.1 //
   ratirabhasavilāsābhyāsatāntaṃ na yāvan nayanayugamamīlattāvadevāhato	rati raBasa vilAsa aByAsa tA antam na yAvat nayana yugam amIlat tAvadeva AhataH 
   'sau  /	asO  /
   rajaniviratiśaṃsī kāminīnāṃ	rajanivirati SaMsI kAminInAm
   bhaviṣyadvirahavihitanidrābhaṅgamuccairmṛdaṅgaḥ  // MSpv_11.2 //	Bavizyat viraha vihita nidrA BaFgam uccEs mRdaFgaH  // MSpu _11.2 //
   sphuṭataramupariṣṭādalpamūrterdhruvasya sphurati suramunīnāṃ maṇḍalaṃ	sPuwataram uparizwAt alpa mUrteH Druvasya sPurati su ramunInAm maNxalam
   vyastamet  /	vyastamet  /
   śakaṭamiva mahīyaḥ śaiśave śārṅgapāṇeś	Sakawam iva mahIyaH SESave SArFgapANeH 
   capalacaraṇakābjapreraṇottuṅgitāgram  // MSpv_11.2 //	capala caraNaka abja preraNa uttuFgita agram  // MSpu _11.2 //
   praharakamapanīya svaṃ nididrāsatoccaiḥ pratipadamupahūtaḥ	praharakam apanIya svam nididra Asata uccEs pratipadam upahUtaH
   kenacijjāgṛhīti  /	kenacid jAgRhi iti  /
