   athottarabhāgaprāramabhaḥ	aTa uttara BAga prAramaBaH
   mohanāstraviniṣṭhyūtānbāṇāndaityā na sehire // BndP_3,24.78 //	mohana astra vinizWyUtAn bANAn dEtyAH na sehire // Bndu _3,24.78 //
   itastato mardyamānā mahāmāyāśilīmukhaiḥ /	itas tatas mardyamAnA mahA mAyA SilImuKEH /
   prakopaṃ paramaṃ prāptā balāhakamukhāḥ khalāḥ // BndP_3,24.79 //	prakopam paramam prAptAH balAhaka muKAH KalAH // Bndu _3,24.79 //
   atho tiraskaraṇyaṃbā daṇḍanāthānideśataḥ /	aTo tiraskaraNI aMbA daNxanATa anideSataH /
   andhābhidhaṃ mahāstraṃ sā mumoca dviṣatāṃ gaṇe // BndP_3,24.80 //	anDa aBiDam mahA astram sA mumoca dvizatAm gaNe // Bndu _3,24.80 //
   balāhakādyāste sapta dinanāthavaroddhatāḥ /	balAhaka AdyAH te sapta dina nATa vara udDatAH /
   andhāstreṇa nijaṃ netraṃ dadhire cchāditaṃ yathā // BndP_3,24.81 //	anDa astreNa nijam netram daDire cCAditam yaTA // Bndu _3,24.81 //
   tiraskaraṇikādevyā mahāmohanadhanvanaḥ /	tiraskaraNikA devyAH mahA mohana DanvanaH /
   udgatenāndhabāṇena cakṣusteṣāṃ vyadhīyata // BndP_3,24.82 //	udgatena anDa bANena cakzuH tezAm vyaDIyata // Bndu _3,24.82 //
   andhīkṛtāśca te sapta na tu praikṣanta kiñcana /	anDIkRtAH ca te sapta na tu prEkzanta kiQcana /
   tadvīkṣaṇasya virahācchastrastambhaḥ kṣayaṃ gataḥ // BndP_3,24.83 //	tad vIkzaNasya virahAt Sastra stamBaH kzayam gataH // Bndu _3,24.83 //
   punaḥ sasiṃhanādaṃ tāḥ prodyatāyudhapāṇayaḥ /	punar sa siMhanAdam tAH prodyata AyuDa pANayaH /
   cakruḥ samarasannāhaṃ daityānāṃ prajighāṃsayā // BndP_3,24.84 //	cakruH samarasat nAham dEtyAnAm prajiGAMsayA // Bndu _3,24.84 //
   tiraskaraṇikāṃ devīmagre kṛtvā mahābalām /	tiraskaraNikAm devIm agre kRtvA mahA balAm /
   sadupāyaprasaṅgena bhṛśaṃ tuṣṭā raṇaṃ vyadhuḥ // BndP_3,24.85 //	sat upAya prasaFgena BRSam tuzwAH raNam vyaDuH // Bndu _3,24.85 //
   sādhusādhu mahābhāge tiraskaraṇikāṃbike /	sADu sADu mahABAge tiraskaraNikA aMbike /
   sthāne kṛtatiraskārā dvipāmeṣāṃ durātmanām // BndP_3,24.86 //	sTAne kRta tiraskArAH dvipAm ezAm durAtmanAm // Bndu _3,24.86 //
   tvaṃ hi durjananetrāṇāṃ tiraskāramahauṣadhī /	tvam hi durjana netrANAm tiraskAra mahOzaDI /
   tvayā baddhadṛśānena daityacakreṇa bhūyate // BndP_3,24.87 //	tvayA badDa dRSA anena dEtya cakreNa BUyate // Bndu _3,24.87 //
   devakāryamidaṃ devi tvayā samyaganuṣṭitam /	deva kAryam idam devi tvayA samyak anuzwitam /
   asmādṛśāmajayyeṣu yadeṣu vyasanaṃ kṛtam // BndP_3,24.88 //	asmAdRSAma jayyezu yadezu vyasanam kRtam // Bndu _3,24.88 //
   tattvayaiva durācārānetānsapta mahāsurān /	tat tvayA eva durAcArAn etAn sapta mahA asurAn /
   nihatāṃllalitā śrutvā santoṣaṃ paramāpsyati // BndP_3,24.89 //	nihatAn= lalitA SrutvA santozam parama Apsyati // Bndu _3,24.89 //
   evaṃ tvayā viracite daṇḍinīprīti māpsyati /	evam tvayA viracite daNxinI prIti mA Apsyati /
   mantriṇyapi mahābhāgāyāsyatyeva parāṃ mudam // BndP_3,24.90 //	mantriNi api mahABAgAyAsyati eva parAm mudam // Bndu _3,24.90 //
   tasmāttvameva saptaitānnigṛhaṇa raṇājire /	tasmAt tvam eva sapta etAn nigRhaNa raNa ajire /
   eṣāṃ sainyaṃ tu nikhilaṃ nāśayāma udāyudhāḥ // BndP_3,24.91 //	ezAm sEnyam tu niKilam nASayAmaH udAyuDAH // Bndu _3,24.91 //
   ityuktvā preritā tābhiḥ śaktibhiyurddhakautukān /	iti uktvA preritA tABiH Sakti BiyurdDa kOtukAn /
   tamoliptena yānena balāhakabalaṃ yayau // BndP_3,24.92 //	tamaH liptena yAnena balAhaka balam yayO // Bndu _3,24.92 //
   tāmāyāntīṃ samāvekṣya te saptātha surādhamāḥ /	tAm AyAntIm samAvekzya te sapta aTa sura aDamAH /
   punareva ca sāvitraṃ varaṃ sasmarurañjasā // BndP_3,24.93 //	punar eva ca sAvitram varam sasmaruH aQjasA // Bndu _3,24.93 //
   praviṣṭamapi sāvitraṃ nāśakaṃ tannirodhane /	pravizwam api sAvitram na aSakam tat niroDane /
   tiraskṛtaṃ tu netrasthaṃ tiraskaraṇitejasā // BndP_3,24.94 //	tiraskRtam tu netra sTam tiraskaraNi tejasA // Bndu _3,24.94 //
   varadānāstraroṣāndhaṃ mahābalaparākramam /	vara dAna astra roza anDam mahA bala parAkramam /
   astreṇa ca ruṣā cāndhaṃ balāhakamahāsuram /	astreNa ca ruzA ca anDam balAhaka mahA asuram /
   ākṛṣya keśeṣvasinā cakartāntardhidevatā // BndP_3,24.95 //	AkRzya keSezu asinA cakarta antarDi devatA // Bndu _3,24.95 //
   tasya vāhanagṛdhrasya lunānā patriṇā śiraḥ /	tasya vAhana gRDrasya lunAnA patriNA SiraH /
   sūcīmukhasyābhimukhaṃ tiraskaraṇikā vrajat // BndP_3,24.96 //	sUcImuKasya aBimuKam tiraskaraNikA vrajat // Bndu _3,24.96 //
   tasya paṭṭiśapātena vilūya kaṭhinaṃ śiraḥ /	tasya pawwiSa pAtena vilUya kaWinam SiraH /
   anyeṣāmapi pañcānāṃ pañcatvamakarocchanaiḥ // BndP_3,24.97 //	anyezAm api paQcAnAm paQcatvam akarot SanEs // Bndu _3,24.97 //
   taiḥ saptadaityamuṇḍaiścagrathitānyonyakeśakaiḥ /	tEH sapta dEtya muNxEH cagraTita anyonya keSakEH /
   hāradāma gale kṛtvā nanādāntardhidevatā // BndP_3,24.98 //	hAradAma gale kRtvA nanAda antarDi devatA // Bndu _3,24.98 //
   samastamapi tatsainyaṃ śaktayaḥ krodhasūrcchitāḥ /	samastam api tat sEnyam SaktayaH kroDa sUrcCitAH /
   hatvā tadraktasalilairbahvīḥ prāvāhayannadīḥ // BndP_3,24.99 //	hatvA tad rakta salilEH bahvIH prAvAhayat nadIH // Bndu _3,24.99 //
   tatrāścaryamabhūdbhūri māhāmāyāṃbikākṛtam /	tatra AScaryam aBUt BUri mAhAmAya aMbikA kRtam /
   balāhakādisenānyāṃ dṛṣṭirodhanavaibhavāt // BndP_3,24.100 //	balAhaka Adi senA anyAm dRzwi roDana vEBavAt // Bndu _3,24.100 //
   hataśiṣṭāḥ katipayā bahuvitrāsasaṅkulāḥ /	hata SizwAH katipayAH bahu vitrAsa saFkulAH /
   śaraṇaṃ jagmuratyārttāḥ krandantaṃ śūnyakeśvaram // BndP_3,24.101 //	SaraNam jagmuH atyArttAH krandantam SUnyakeSvaram // Bndu _3,24.101 //
   daṇḍinīṃ ca mahāmāyāṃ praśaṃsanti muhurmuhuḥ /	daNxinIm ca mahAmAyAm praSaMsanti muhur muhur /
   prasādamaparaṃ cakṣustasyā ādāyapipriyuḥ // BndP_3,24.102 //	prasAdam aparam cakzuH tasyAH AdAya pi priyuH // Bndu _3,24.102 //
   sādhusādhviti tatrasthāḥ śaktayaḥ kampamaulayaḥ /	sADu sADu iti tatrasTAH SaktayaH kampa mOlayaH /
   tiraskaraṇikāṃ devīmaślāghanta padepade // BndP_3,24.103 //	tiraskaraNikAm devIm aSlAGanta padepade // Bndu _3,24.103 //
   iti śrībrahmāṇḍamahāpurāṇe uttarabhāge hayagrīvāgastyasaṃvāde	iti SrI brahmANxa mahApurANe uttara BAge hayagrIvA agastya saMvAde
   lalitopākhyāne balāhakādisaptasenāpativadho nāma caturviṃśo 'dhyāyaḥ	lalita upAKyAne balAhakAdisaptasenApativaDaH nAma caturviMSaH aDyAyaH
   tataḥ śrutvā vadhaṃ teṣāṃ tapobalavatāmapi /	tatas SrutvA vaDam tezAm tapaH balavatAm api /
   nyaśvasatkṛṣṇasarpendra iva bhaṇḍo mahāsuraḥ // BndP_3,25.1 //	nyaSva sat kRzNa sarpa indraH iva BaNxaH mahA asuraH // Bndu _3,25.1 //
   ekānte mantrayāmāsa sa āhūya mahodarau /	ekAnte mantrayAmAsa saH AhUya mahA udarO /
   bhaṇḍaḥ pracaṇḍaśaiṇḍīryaḥ kāṅkṣamāṇo raṇe jayam // BndP_3,25.2 //	BaNxaH pracaNxa SENxIryaH kAFkzamANaH raNe jayam // Bndu _3,25.2 //
   yuvarājo 'pi sakrodho viṣaṅgeṇa yavīyasā /	yuvarAjaH api sa kroDaH vizaFgeNa yavIyasA /
   bhaṇḍāsuraṃ namaskṛtya mantrasthānamupāgamat // BndP_3,25.3 //	BaNxa asuram namaskRtya mantra sTAnam upAgamat // Bndu _3,25.3 //
   atyāptairmantribhiryuktaḥ kuṭilākṣapuraḥsaraiḥ /	atyAptEH mantriBiH yuktaH kuwila akza puraHsarEH /
   lalitāvijaye mantraṃ cakāra kvathitāśyaḥ // BndP_3,25.4 //	lalita avijaye mantram cakAra kvaTita aSyaH // Bndu _3,25.4 //
   bhaṇḍa uvāca	BaNxaH uvAca
   aho bata kulabhraṃśaḥ samāyātaḥ suradviṣām /	aho bata kula BraMSaH samAyAtaH sura dvizAm /
   upekṣāmadhunā kartuṃ pravṛtto balavānvidhiḥ // BndP_3,25.5 //	upekzAm aDunA kartum pravRttaH balavAn viDiH // Bndu _3,25.5 //
   madbhṛtyanāmamātreṇa vidravanti divaukasaḥ /	mad BRtya nAma mAtreNa vidravanti divOkasaH /
   tādṛśānāmihāsmākamāgato 'yaṃ viparyayaḥ // BndP_3,25.6 //	tAdRSAnAm iha asmAkam AgataH ayam viparyayaH // Bndu _3,25.6 //
   karoti balinaṃ klībaṃ dhaninaṃ dhanavarjitam /	karoti balinam klIbam Daninam Dana varjitam /
   dīrghāyuṣamanāyuṣkaṃ durdhātā bhavitavyatā // BndP_3,25.7 //	dIrGa Ayuzam anAyuzkam durDAtA BavitavyatA // Bndu _3,25.7 //
   kva sattvamasmadbāhunāṃ kveyaṃ durllalitā vadhūḥ /	kva sattvam asmad bAhunAm kva iyam durllalitA vaDUH /
   akāṇḍa eva vidhinā kṛto 'yaṃ niṣṭhuro vidhiḥ // BndP_3,25.8 //	akANxaH eva viDinA kRtaH ayam nizWuraH viDiH // Bndu _3,25.8 //
   sarpiṇīmāyayodagrāstaṃyā durghaṭaśauryayā /	sarpiNI mAyayA udagrA staMyAH durGawa SOryayA /
   adhisaṃgrāmabhūcakre senānyo vinipātitāḥ // BndP_3,25.9 //	aDi saMgrAma BUcakre senAnyaH vinipAtitAH // Bndu _3,25.9 //
   evamuddāmadarpāḍhyā vanitā kāpi māyinī /	evam uddAma darpa AXyA vanitA kA api mAyinI /
   yadi saṃpraharatyasmāndhigbalaṃ no bhujārjitam // BndP_3,25.10 //	yadi saMpraharati asmAn Digbalam naH Buja arjitam // Bndu _3,25.10 //
   imaṃ prasaṃgaṃ vaktuṃ ca jihvā jihveti māmakī /	imam prasaMgam vaktum ca jihvA jihvA iti mAmakI /
   vanitā kimu matsainyaṃ marda yiṣyati durmadā // BndP_3,25.11 //	vanitA kimu mad sEnyam marda yizyati durmadAH // Bndu _3,25.11 //
   tadatra mūlacchedāya tasyā yatno vidhīyatām /	tat atra mUla= CedAya tasyAH yatnaH viDIyatAm /
   mayā cāramukhājjñātā tasyā vṛttirmahābalā // BndP_3,25.12 //	mayA cAra muKAt jQAtA tasyAH vRttiH mahA balAH // Bndu _3,25.12 //
   sarveṣāmapi sainyānāṃ paścādevāvatiṣṭhate /	sarvezAm api sEnyAnAm paScAt eva avatizWate /
   agrataścalitaṃ sainyaṃ hayahastirathādikam // BndP_3,25.13 //	agratas calitam sEnyam haya hasti raTa Adikam // Bndu _3,25.13 //
   asminneva hyavasare pārṣṇigrāho vidhīyatām /	asmin= eva hi avasare pArzNigrAhaH viDIyatAm /
   pārṣṇigrahamimaṃ kartuṃ viṣaṅgaścaturo bhavet // BndP_3,25.14 //	pArzNigraham imam kartum vizaFgaH caturaH Bavet // Bndu _3,25.14 //
   tena prauḍhamadonmatā bahusaṃgrāmadurmadāḥ /	tena prOXa mada unmatAH bahu saMgrAma durmadAH /
   daśa pañca ca senānyaḥ saha yāntu yuyutsayā // BndP_3,25.15 //	daSa paQca ca senA anyaH saha yAntu yuyutsayA // Bndu _3,25.15 //
   pṛṣṭhataḥ parivārāstu na tathā saṃti te punaḥ /	pRzWatas parivArAH tu na taTA saMti te punar /
   alpaistu rakṣitā vai syāttenaivāsau sunigrahā // BndP_3,25.16 //	alpEH tu rakzitA vE syAt tena eva asO su nigrahAH // Bndu _3,25.16 //
   atastvaṃ bahusannāhamāvidhāya madotkaṭaḥ /	atas tvam bahu sannA aham AviDAya mada utkawaH /
   viṣaṅga guptarūpeṇa pārṣṇigrāhaṃ samācara // BndP_3,25.17 //	vizaFga gupta rUpeNa pArzNigrAham samAcara // Bndu _3,25.17 //
   alpīyasī tvayā sārddhaṃ senā gacchatu vikramāt /	alpIyasI tvayA sArdDam senA gacCatu vikramAt /
   sajjāśca lantu senānyo dikpālavijayoddhatāḥ // BndP_3,25.18 //	sajjAH ca lantu senAnyaH dikpAla vijaya udDatAH // Bndu _3,25.18 //
   akṣauhiṇyaśca senānāṃ daśa pañca calantu te /	akzOhiNyaH ca senAnAm daSa paQca calantu te /
   tvaṃ guptaveṣastāṃ duṣṭāṃ sannipatya dṛḍhaṃ jahi // BndP_3,25.19 //	tvam gupta vezaH tAm duzwAm sannipatya dRXam jahi // Bndu _3,25.19 //
   saiva niḥśeṣaśaktīnāṃ mūlabhūtā mahīyasī /	sA eva niHSeza SaktInAm mUla BUtA mahIyasI /
   tasyāḥ samūlanāśena śaktivṛndaṃ vinaśyati // BndP_3,25.20 //	tasyAH sa mUla nASena Sakti vRndam vinaSyati // Bndu _3,25.20 //
   kandacchede sarojinyā dalajālamivāṃbhasi /	kanda= Cede sarojinyAH dala jAlam iva aMBasi /
   sarveṣāmeva paścādyo rathaścalati bhāsuraḥ // BndP_3,25.21 //	sarvezAm eva paScAt yaH raTaH calati BAsuraH // Bndu _3,25.21 //
   daśayojanasaṃpannanijadehasamucchrayaḥ /	daSa yojana saMpanna nija deha samucCrayaH /
   mahāmuktātapatreṇa sarvoddhva pariśobhitaḥ // BndP_3,25.22 //	mahAmukta AtapatreNa sarva udDva pariSoBitaH // Bndu _3,25.22 //
   vahanmuharvījyamānaṃ cāmarāṇāṃ catuṣṭayam /	vahan muharvI ijyamAnam cAmarANAm catuzwayam /
   uttaṅgaketusaṃghātalikhitāṃbudamaṇḍalaḥ // BndP_3,25.23 //	uttaFga ketu saMGAta liKita aMbuda maNxalaH // Bndu _3,25.23 //
   tasminrathe samāyāti sā dṛṣṭā hariṇekṣaṇā /	tasmin raTe samAyAti sA dRzwA hariNa IkzaNA /
   nibṛtaṃ saṃnipatya tvaṃ cihnenānena lakṣitām // BndP_3,25.24 //	nibRtam saMnipatya tvam cihnena anena lakzitAm // Bndu _3,25.24 //
   tāṃ vijitya durācārāṃ keśeṣvā kṛṣya mardaya /	tAm vijitya durAcArAm keSezvA kRzya mardayaH /
   purataścalite sainye sattvaśālini sā vadhūḥ // BndP_3,25.25 //	puratas calite sEnye sattva SAlini sA vaDUH // Bndu _3,25.25 //
   strīmātrarakṣā bhavato vaśameṣyati sattvaram /	strI mAtra rakzA BavataH vaSam ezyati sattvaram /
   bhavatsahāyabhūtāyāṃ senendrāṇāmihābhidhā // BndP_3,25.26 //	Bavat sahAya BUtAyAm senA indrANAm iha aBiDA // Bndu _3,25.26 //
   śṛṇu yairbhavato yuddhe sāhyakāryamatandritaiḥ /	SRNu yEH BavataH yudDe sAhya kAryam atandritEH /
   ādyo madanako nāma dīrghajihvo dvitīyakaḥ // BndP_3,25.27 //	AdyaH madanakaH nAma dIrGajihvaH dvitIyakaH // Bndu _3,25.27 //
   hubako hulumuluśca kaklasaḥ kaklivāhanaḥ /	hubakaH hulumuluH ca kaklasaH kaklivAhanaH /
   thuklasaḥ puṇḍraketuśca caṇḍabāhuśca kukkuraḥ // BndP_3,25.28 //	TuklasaH puNxraketuH ca caNxabAhuH ca kukkuraH // Bndu _3,25.28 //
   jaṃbukākṣo jaṃbhanaśca tīkṣṇaśṛṅgastrikaṇṭakaḥ /	jaMbukAkzaH jaMBanaH ca tIkzNa SRFgaH trikaNwakaH /
   candraguptaśca pañcaite daśa coktāścamūvarāḥ // BndP_3,25.29 //	candraguptaH ca paQca ete daSa ca uktAH camU varAH // Bndu _3,25.29 //
   ekaikākṣauhiṇīyuktāḥ pratyekaṃ bhavatā saha /	eka eka akzOhiNI yuktAH pratyekam BavatA saha /
   āgamiṣyanti senānyo damanādyā mahābalāḥ // BndP_3,25.30 //	Agamizyanti senA anyaH damana AdyAH mahA balAH // Bndu _3,25.30 //
   parasya kaṭakaṃ naiva yathā jānāti te gatim /	parasya kawakam na eva yaTA jAnAti te gatim /
   tathā guptasamācāraḥ pārṣṇigrāhaṃ samācara // BndP_3,25.31 //	taTA gupta samAcAraH pArzNigrAham samAcara // Bndu _3,25.31 //
   asminkārye sumahatāṃ prauḍhimānaṃ samudvahan /	asmin kArye su mahatAm prOXi mAnam samudvahan /
   niṣaṅga tvaṃ hi tabhase jayasiddhimanuttamām // BndP_3,25.32 //	nizaFga tvam hi taBase jaya sidDim anuttamAm // Bndu _3,25.32 //
   iti mantritamantro 'yaṃ durmantrī bhaṇḍadānavaḥ /	iti mantrita mantraH ayam durmantrI BaNxa dAnavaH /
   viṣaṅgaṃ preṣayāmāsa rakṣitaṃ sainyapālakaiḥ // BndP_3,25.33 //	vizaFgam prezayAmAsa rakzitam sEnya pAlakEH // Bndu _3,25.33 //
   atha śrīlalitādevyāḥ pārṣṇigrāhakṛtodyame /	aTa SrI lalitA devyAH pArzNigrAha kRta udyame /
   yuvarājānuje daitye sūryo 'stagirimāyayau // BndP_3,25.34 //	yuvarAja anuje dEtye sUryaH asta girimAyayO // Bndu _3,25.34 //
   prathame yuddhadivase vyatīte lokabhīṣaṇe /	praTame yudDa divase vyatIte loka BIzaNe /
   andhakāraḥ samabhavattasya bāhyacikīrṣayā // BndP_3,25.35 //	anDakAraH samaBavat tasya bAhya cikIrzayA // Bndu _3,25.35 //
   mahiṣaskandhadhūmrābhaṃ vanakroḍavapurdduti /	mahiza skanDa DUmra ABam vana kroxava purdduti /
   nīlakaṇṭhanibhacchāyaṃ nibiḍaṃ paprathe tamaḥ // BndP_3,25.36 //	nIlakaNWa niBa= CAyam nibixam papraTe tamaH // Bndu _3,25.36 //
   kuñjeṣu piṇḍitamiva pradhāvadiva saṃdhiṣu /	kuQjezu piNxitam iva praDAvat iva saMDizu /
   ujjihānamiva kṣoṇīvivarebhyaḥ sahasraśaḥ // BndP_3,25.37 //	ujjihAnam iva kzoNI vivareByaH sahasraSas // Bndu _3,25.37 //
   nirgacchadiva śailānāṃ bhūri kandaramandirāt /	nirgacCat iva SElAnAm BUri kandara mandirAt /
   kvaciddīpaprabhājāle kṛtakātaraceṣṭitam // BndP_3,25.38 //	kvacid dIpa praBA jAle kRta kAtara cezwitam // Bndu _3,25.38 //
   dattāvalaṃbanamiva strīṇāṃ karṇotpalatviṣi /	datta avalaMbanam iva strINAm karNa utpala tvizi /
   ekībhūtamiva prauḍhadiṅnāgamiva kajjale /	ekIBUtam iva prOXa diS nAgam iva kajjale /
   ābaddhamaitrakamiva sphuracchādvalamaṇḍale // BndP_3,25.39 //	AbadDa mEtrakam iva sPurat CAdvala maNxale // Bndu _3,25.39 //
   kṛtapriyāśleṣamiva sphurantīṣvasiyaṣṭiṣu /	kRta priya ASlezam iva sPurantIzu asi yazwizu /
   guptapraviṣṭamiva ca śyāmāsu vanapaṅktiṣu // BndP_3,25.40 //	gupta pravizwam iva ca SyAmAsu vana paFktizu // Bndu _3,25.40 //
   krameṇa bahulībhūtaṃ prasasāra mahattamaḥ /	krameNa bahulIBUtam prasasAra mahattamaH /
   triyāmāvāmanayanā nīlakañcukarociṣā // BndP_3,25.41 //	tri yAmA vAma nayanAH nIla kaQcuka rocizAH // Bndu _3,25.41 //
   timireṇāvṛtaṃ viśvaṃ na kiñcitpratyapadyata /	timireNa AvRtam viSvam na kiQcid pratyapadyata /
   asurāṇāṃ praduṣṭānāṃ rātrireva balāvahā // BndP_3,25.42 //	asurANAm praduzwAnAm rAtriH eva bala AvahAH // Bndu _3,25.42 //
   teṣāṃ māyāvilāso 'yaṃ tasyāmeva hi vardhate /	tezAm mAyA vilAsaH ayam tasyAm eva hi varDate /
   atha pracalitaṃ sainyaṃ viṣaṅgeṇa mahaujasā // BndP_3,25.43 //	aTa pracalitam sEnyam vizaFgeNa mahA ojasA // Bndu _3,25.43 //
   dhautakhaḍgalatācchāyāvardhiṣṇu timiracchaṭam /	DOta Kaxga latAcCAyO= arDizNu timira= Cawam /
   damanādyāśca senānyaḥ śmāmakaṅkaṭadhāriṇaḥ // BndP_3,25.44 //	damana AdyAH ca senA anyaH SmAma kaFkawa DAriNaH // Bndu _3,25.44 //
   śyāmoṣṇīṣadharāḥ śyāmavarṇasarvaparicchadāḥ /	SyAma uzNIza DarAH SyAma varNa sarva paricCadAH /
   ekatvamiva saṃprāptāstimireṇātibhūyasā // BndP_3,25.45 //	eka tvam iva saMprAptAH timireNa ati BUyasA // Bndu _3,25.45 //
   viṣaṅgamanusaṃceluḥ kṛtāgrajanamaskṛtim /	vizaFgam anusaMceluH kRta agraja namaskRtim /
   kūṭena yuddhakṛtyena vijigīṣurmaheśvarīm // BndP_3,25.46 //	kUwena yudDa kRtyena vijigIzuH maheSvarIm // Bndu _3,25.46 //
   meghaḍaṃbarakaṃ nāma dadhe vakṣasi kaṅkaṭam /	meGaxaMbarakam nAma daDe vakzasi kaFkawam /
   yathā tasya niśāyuddhānurūpo veṣasaṃgrahaḥ // BndP_3,25.47 //	yaTA tasya niSA yudDa anurUpaH veza saMgrahaH // Bndu _3,25.47 //
   tathā kṛtavatī senā śyāmalaṃ kañcukādikam /	taTA kRtavatI senA SyAmalam kaQcuka Adikam /
   na ca dundubhinisvāno na ca marddalagarjitam // BndP_3,25.48 //	na ca dunduBi nisvAnaH na ca marddala garjitam // Bndu _3,25.48 //
   paṇavānakabherīṇāṃ na ca ghoṣavijṛṃbhaṇam /	paNava Anaka BerINAm na ca Goza vijRMBaNam /
   guptācārāḥ pracalitāstimireṇa samāvṛtāḥ // BndP_3,25.49 //	gupta AcArAH pracalitAH timireNa samAvRtAH // Bndu _3,25.49 //
   parairadṛśyagatayo viṣkośīkṛtariṣṭayaḥ /	parEH adRSya gatayaH vizkoSIkRtarizwayaH /
   paścimābhimukhaṃ yānti lalitāyāḥ patākinīm // BndP_3,25.50 //	paScima aBimuKam yAnti lalitAyAH patAkinIm // Bndu _3,25.50 //
   āvṛtottaramārgeṇa pūrvabhāgamaśiśriyan /	AvRta uttara mArgeNa pUrva BAgam aSiSriyan /
   niśvāsamapi sasvānamakurvantaḥ padepade // BndP_3,25.51 //	niSvAsam api sa svAnam akurvantaH padepade // Bndu _3,25.51 //
   sāvadhānāḥ pracalitāḥ pārṣṇigrāhāya dānavāḥ /	sAvaDAnAH pracalitAH pArzNigrAhAya dAnavAH /
   bhūyaḥ purasya digbhāgaṃ gatvā mandaparākramāḥ // BndP_3,25.52 //	BUyas purasya diS BAgam gatvA manda parAkramAH // Bndu _3,25.52 //
   lalitāsainyameva svānsūcayantaḥ prapṛcchataḥ /	lalitA sEnyam eva svAn sUcayantaH prapRcCataH /
   āgatya nibhṛtaṃ pṛṣṭhe kavacacchannavigrahāḥ // BndP_3,25.53 //	Agatya niBRtam pRzWe kavaca= Canna vigrahAH // Bndu _3,25.53 //
   cakrarājarathaṃ tuṅgaṃ merumandarasaṃnibham /	cakrarAja raTam tuFgam meru mandara saMniBam /
   apaśyannatidīptābhiḥ śaktibhiḥ parivāritam // BndP_3,25.54 //	apaSyan= ati dIptABiH SaktiBiH parivAritam // Bndu _3,25.54 //
   tatra muktātapatrasya varttamānāmadhaḥsthale /	tatra mukta Atapatrasya varttamAnAm aDas sTale /
   sahasrādityasaṃkāśāṃ paścimābhimukhīṃ sthitām // BndP_3,25.55 //	sahasra Aditya saMkASAm paScima aBimuKIm sTitAm // Bndu _3,25.55 //
   kāmeśvaryādinityābhiḥ svasamānasamṛddhibhiḥ /	kAmeSvarya Adi niti ABiH sva samAna samRdDiBiH /
   narmālāpavinodena sevyamānāṃ rathottame // BndP_3,25.56 //	narma AlApa vinodena sevyamAnAm raTa uttame // Bndu _3,25.56 //
   tāṃ tathābhūtavṛttāntāma tādṛśaraṇodyamām /	tAm taTABUta vRttAn tAma tAdRSaraNa udyamAm /
   purogataṃ mahatsainyaṃ vīkṣamāṇa sakautukam // BndP_3,25.57 //	puras gatam mahat sEnyam vIkzamANa sa kOtukam // Bndu _3,25.57 //
   manvānaśca hi tāmeva viṣaṅgaḥ sudurāśayaḥ /	manvAnaH ca hi tAm eva vizaFgaH su durASayaH /
   pṛṣṭhavaṃśe rathendrasya ghaṭṭayāmāsa sainikaiḥ // BndP_3,25.58 //	pRzWavaMSe raTa indrasya GawwayAmAsa sEnikEH // Bndu _3,25.58 //
   tatrāṇi mādiśaktīnāṃ parivāravarūthinī /	tatra aNi mA Adi SaktInAm parivAra varUTinI /
   mahākalakalaṃ cakruraṇimādyāḥ paraḥśatam // BndP_3,25.59 //	mahAkalakalam cakruH aNima AdyAH paraHSatam // Bndu _3,25.59 //
   paṭṭiśairdrughaṇaiścaiva bhindipālairbhuśuṇḍibhiḥ /	pawwiSEH dru GaNEH ca eva BindipAlEH BuSuNxiBiH /
   kaṭhoravajranirdhātaniṣṭhuraiḥ śaktimaṇḍalaiḥ // BndP_3,25.60 //	kaWora vajra nirDAta nizWurEH Sakti maNxalEH // Bndu _3,25.60 //
   mardayanto mahāsattvāḥ samaraṃ bahumenire /	mardayantaH mahAsattvAH samaram bahu menire /
   ākasmikaraṇotsāhaviparyāviṣṭavigraham // BndP_3,25.61 //	Akasmi karaNa utsAha viparya Avizwa vigraham // Bndu _3,25.61 //
   akāṇḍakṣubhitaṃ cāsīdrathasthaṃ śaktimaṇḍalam /	akANxa kzuBitam ca AsIt raTa sTam Sakti maNxalam /
   vipāṭaiḥ pāṭayāmāsuradṛśyairandhakāriṇaḥ // BndP_3,25.62 //	vipAwEH pAwayAmAsuH adRSyEH anDakAriNaH // Bndu _3,25.62 //
   tataścakrarathendrasya navame parvaṇi sthitāḥ /	tatas cakra raTa indrasya navame parvaNi sTitAH /
   adṛśyamānaśastrāṇāmadṛśyanijavarmaṇām // BndP_3,25.63 //	adRSyamAna SastrANAm adRSya nija varmaNAm // Bndu _3,25.63 //
   timiracchannarūpāṇāṃ dānavānāṃ śilīmukhaiḥ /	timira= Canna rUpANAm dAnavAnAm SilImuKEH /
   itastato bahu kliṣṭaṃ channavarmitamarmavat // BndP_3,25.64 //	itas tatas bahu klizwam Canna varmita marma vat // Bndu _3,25.64 //
   śaktīnāṃ maṇḍalaṃ tene krandanaṃ lalitāṃ prati /	SaktInAm maNxalam tene krandanam lalitAm prati /
   pūrvānukrama tastatra saṃprāptaṃ sumahadbhayam // BndP_3,25.65 //	pUrva anukrama taH tatra saMprAptam su mahat Bayam // Bndu _3,25.65 //
   karṇākarṇikayākarṇya lalitā kopamādadhe /	karNAkarNikayA AkarNya lalitA kopam AdaDe /
