   atha tṛtīyo 'dhyāyaḥ /	aTa tRtIyaH aDyAyaH /
   sarvagatatvaṃ sarvātmatvamityevañjātīyakā brahmaṇo dharmāḥ	sarva gata tvam sarva Atma tvam iti evan jAtIyakAH brahmaNaH DarmAH
   kvacitkecicchrūyante /	kvacid kecid SrUyante /
   teṣu saṃśayaḥ   kimānandādayo brahmadharmā yatra yāvantaḥ śrūyante tāvanta	tezu saMSayaH  kim Ananda AdayaH brahma DarmAH yatra yAvantaH SrUyante tAvanta
   eva tatra pratipattavyāḥ kiṃvā sarve sarvatreti /	eva tatra pratipattavyAH kiMvA sarve sarvatra iti /
   tatra yathāśrutivibhāgaṃ dharmapratipattau prāptāyāmidamucyate  	tatra yaTA Sruti viBAgam Darma pratipattO prAptAyAm idam ucyate  
   ānandādayaḥ pradhānasya brahmaṇo dharmāḥ sarve sarvatra pratipattavyāḥ /	Ananda AdayaH praDAnasya brahmaNaH DarmAH sarve sarvatra pratipattavyAH /
   kasmāt /	kasmAt /
   sarvābhedādeva /	sarva aBedAt eva /
   sarvatra hi tadevaikaṃ pradhānaṃ viśeṣyaṃ brahma na bhidyate /	sarvatra hi tat eva ekam praDAnam viSezyam brahma na Bidyate /
   tasmātsārvatrikatvaṃ brahmadharmāṇāṃ tenaiva pūrvādhikaraṇoditena	tasmAt sArvatrika tvam brahma DarmANAm tena eva pUrva aDikaraNa uditena
   devadattaśauryadinidarśanena // 11 //	devadatta SOrya dini darSanena // 11 //
   nanvevaṃ sati priyaśirastvādayo 'pi dharmāḥ sarvatra saṃkīryeran /	nanu evam sati priya SiraH tu AdayaH api DarmAH sarvatra saMkIryeran /
   tathāhi   taittirīyaka ānandamayamātmānaṃ prakramyāmnāyate   'tasya	taTA hi  tEttirIyakaH Ananda mayam AtmAnam prakramyAmnAyate  atasya
   priyameva śiraḥ /	priyam eva SiraH /
   modo dakṣiṇaḥ pakṣaḥ /	modaH dakziNaH pakzaH /
   pramoda uttaraḥ pakṣaḥ /	pramodaH uttaraH pakzaH /
   ānanda ātmā /	AnandaH AtmA /
   brahma pucchaṃ pratiṣṭhā' (tai. 2.5) iti /	brahma pucCam pratizWAa (tE. 2.5) iti /
   ata uttaraṃ paṭhati  	atas uttaram paWati  
   priyaśirastvādyaprāptirupacayāpacayau hi bhede | BBs_3,3.12 |	priya SiraH tu Adya prAptiH upacaya apacayO hi Bede | BBH _3,3.12 |
   priyaśirastvādīnāṃ dharmāṇāṃ taittirīyaka āmnātānāṃ nāstyanyatra prāptiḥ /	priya SiraH tu AdInAm DarmANAm tEttirIyakaH AmnAtAnAm na asti anyatra prAptiH /
   yatkāraṇaṃ priyaṃ modaḥ pramoda ānanda ityete parasparāpekṣayā	yat kAraNam priyam modaH pramodaH Ananda iti ete paraspara apekzayA
   bhoktrantarāpekṣayā copacitāpacitarūpā upalabhyante /	BoktR antara apekzayA ca upacita apacita rUpAH upalaByante /
   upacayāpacayau ca sati bhede saṃbhavataḥ /	upacaya apacayO ca sati Bede saMBavataH /
   nirbhedaṃ tu brahma 'ekamevādvitīyam' (chā. 6.2.1) ityādiśrutibhyaḥ /	nirBedam tu brahma aekam eva advitIyam a (CA. 6.2.1) ityAdi SrutiByaH /
   nacaite priyaśirastvādayo brahmadharmāḥ, kośadharmāstveta	na ca ete priya SiraH tu AdayaH brahma DarmAH, koSa DarmAH tu eta
   ityupadiṣṭamasmābhiḥ 'ānandamayo 'bhyāsāt' (bra.sū. 1.1.12) ityatra /	iti upadizwam asmABiH aAnanda mayaH aByAsAt a (bra.sU. 1.1.12) iti atra /
   apica parasminbrahmaṇi cittāvatāropāyamātratvenaite parikalpyante na	api ca parasmin brahmaNi citta avatAra upAya mAtra tvena ete parikalpyante na
   draṣṭavyatvena /	drazwavya tvena /
   evamapi sutarāmanyatrāprāptiḥ priyaśirastvādīnām /	evam api sutarAm anyatra aprAptiH priya SiraH tu AdInAm /
   brahmadharmāstvetānkṛtvā nyāyamātramidamācāryeṇa pradarśitaṃ	brahma DarmAH tu etAn kRtvA nyAya mAtram idam AcAryeNa pradarSitam
   priyaśirastvādyaprāptiriti /	priya SiraH tu Adi aprAptiH iti /
   sa ca nyāyo 'nyeṣu niściteṣu brahmadharmeṣūpāsanāyopadiśyamāneṣu netavyaḥ	sa ca nyAyaH anyezu niScitezu brahma Darmezu upAsanAya upadiSyamAnezu netavyaH
   saṃyadvāmādiṣu satyakāmādiṣu ca /	saMyat vAma Adizu satya kAma Adizu ca /
   teṣu hi satyapyupāsyasya brahmaṇa ekatme prakramabhedādupāsanābhede sati	tezu hi sati api upAsyasya brahmaNaH ekatme prakrama BedAt upAsana aBede sati
   nānyonyadharmāṇāmanyonyatra prāptiḥ /	na anyonya DarmANAm anyonyatra prAptiH /
   yathā ca dve nāryāvekaṃ nṛpatimupāsate chatreṇaikā cāmareṇānyā	yaTA ca dve nAryO= ekam nRpatim upAsate CatreNa ekA cAmareNa anyA
   tatropāsyaikatve 'pyupāsanābhedo dharmavyavasthā ca bhavetyevamihāpīti /	tatra upAsya eka tve api upAsana aBedaH Darma vyavasTA ca Bava iti evam iha api iti /
   upacitāpacitaguṇatvaṃ hi sati bhedavyavahāre saguṇe brahmaṇyupapadyate na	upacita apacita guNa tvam hi sati Beda vyavahAre sa guNe brahmaNi upapadyate na
   nirguṇe parasminbrahmaṇi /	nirguNe parasmin brahmaNi /
   ato na satyakāmatvādīnāṃ dharmāṇāṃ kvacicchrutānāṃ sarvatra	atas na satyakAma tva AdInAm DarmANAm kvacid SrutAnAm sarvatra
   prāptirityarthaḥ // 12 //	prAptiH iti arTaH // 12 //
   itare tvarthasāmānyāt | BBs_3,3.13 |	itare tu arTa sAmAnyAt | BBH _3,3.13 |
   itare tvānandādayo dharmā brahmasvarūpapratipādanāyaivocyamānā	itare tu Ananda AdayaH DarmAH brahma svarUpa pratipAdanAya eva ucyamAnA
   arthasāmānyātpratipādyasya brahmaṇo dharmiṇa ekatvātsarve sarvatra	arTa sAmAnyAt pratipAdyasya brahmaNaH DarmiNaH eka tvAt sarve sarvatra
   pratīyeranniti vaiṣamyaṃ pratipattimātraprayojanā hi ta iti // 13 //	pratIyeran= iti vEzamyam pratipatti mAtra prayojanAH hi te iti // 13 //
   7 ādhyānādhikaraṇam / sū. 14 15	7 ADyAna aDikaraNam / sU. 14 15
   ādhyānāya prayojanābhāvāt | BBs_3,3.14 |	ADyAnAya prayojana aBAvAt | BBH _3,3.14 |
   kāṭhake hi paṭhyate   'indriyebhyaḥ parā hyarthā arthebhyaśca paraṃ manaḥ	kAWake hi paWyate  aindriyeByaH parAH hi arTAH arTeByaH ca param manaH
   manasastu parā buddhiḥ' (ka. 3.10) ityārabhya 'puruṣānna paraṃ kiñcitsā	manasaH tu parA budDiH a (ka. 3.10) iti AraBya apuruzAn na param kiQcid sA
   kāṣṭhā sā parā gatiḥ' (ka. 3.11 ) iti /	kAzWA sA parA gatiH a (ka. 3.11 ) iti /
   tatra saṃśayaḥ   kimime sarva evārthādayastatastataḥ paratvena	tatra saMSayaH  kim ime sarve eva arTa AdayaH tatas tatas paratvena
   pratipādyanta uta puruṣa evaibhyaḥ sarvebhyaḥ paraḥ pratipādyata iti /	pratipAdyante uta puruzaH eva eByaH sarveByaH paraH pratipAdyate iti /
   tatra tāvatsarveṣāmevaiṣāṃ paratvena pratipādanamiti bhavati matiḥ /	tatra tAvat sarvezAm eva ezAm paratvena pratipAdanam iti Bavati matiH /
   tathāhi śrūyate  	taTA hi SrUyate  
   idamasmātparamidamasmātparam iti /	idam asmAt param idam asmAt param iti /
   nanu bahuṣvartheṣu paratvena pratipipādayiṣiteṣu vākyabhedaḥ syāt /	nanu bahuzu arTezu paratvena pratipipA dayizitezu vAkya BedaH syAt /
   naiṣa doṣaḥ /	na eza dozaH /
   vākyabahutvopapatteḥ /	vAkya bahutva upapatteH /
   bahūnyevahyetāni vākyāni prabhavanti bahuviṣayānparatvopetānpratipādayitum	bahUni eva hi etAni vAkyAni praBavanti bahu vizayAn paratva upetAn pratipAdayitum
   tasmātpratyekameṣāṃ paratvapratipādanamiti /	tasmAt pratyekam ezAm paratva pratipAdanam iti /
   evaṃ prāpte brūmaḥ   puruṣa eva hyebhyaḥ sarvebhyaḥ paraḥ pratipādya iti	evam prApte brUmaH  puruzaH eva hi eByaH sarveByaH paraH pratipAdya iti
   yuktaṃ na pratyekameṣāṃ paratvapratipādanam /	yuktam na pratyekam ezAm paratva pratipAdanam /
   kasmāt /	kasmAt /
   prayojanābhāvāt /	prayojana aBAvAt /
   nahītareṣu paratvena pratipanneṣu kiñcitprayojanaṃ dṛśyate prayojanaṃ	nahi itarezu paratvena pratipannezu kiQcid prayojanam dRSyate prayojanam
   mokṣasiddhiḥ /	mokza sidDiH /
   tathāca śrutiḥ   'nicāyya taṃ mṛtyumukhātpramucyate' (ka. 3.15) iti /	taTA ca SrutiH  anicAyya tam mRtyu muKAt pramucyate a (ka. 3.15) iti /
   apica parapratiṣedhena kāṣṭhāśabdena ca puruṣaviṣayamādaraṃ	api ca para pratizeDena kAzWA Sabdena ca puruza vizayam Adaram
   darśayanpuruṣapratipattyarthaiva pūrvāparapravāhoktiriti darśayati  	darSayan puruza pratipatti arTA eva pUrva apara pravAha uktiH iti darSayati  
   ādhyānāyeti /	ADyAnAya iti /
   ādhyānapūrvakāya samyagdarśanāyetyarthaḥ /	ADyAna pUrvakAya samyak darSanAya iti arTaH /
   samyagdarśanārthameva hīhādhyānamupadiśyate na tvādhyānameva svapradhānam	samyak darSana arTam eva hi iha aDyAnam upadiSyate na tvADyAnam eva sva praDAnam
   ātmaśabdāc ca | BBs_3,3.15 |	Atma SabdAt ca | BBH _3,3.15 |
   itaśca puruṣapratipattyarthaiveyamindriyādipravāhoktiḥ /	itas ca puruza pratipatti arTa eva iyam indriya Adi pravAha uktiH /
   yatkāraṇam 'eṣa sarveṣu bhūteṣu gūḍhotmā na prakāśate /	yad kAraNam aeza sarvezu BUtezu gUXotmA na prakASate /
   dṛśyate tvagryayā buddhyā sūkṣmayā sūkṣmadarśibhiḥ' (kaṭha. 3.12) iti	dRSyate tu agryayA budDyA sUkzmayA sUkzma darSiBiH a (kaWa. 3.12) iti
   prakṛtaṃ puruṣamātmetyāha /	prakRtam puruzam AtmA iti Aha /
   ataścānātmatvamitareṣāṃ vivakṣitamiti gamyate /	atas ca anAtma tvam itarezAm vivakzitam iti gamyate /
   tasyaiva ca durvijñānatāṃ saṃskṛtamitigamyatāṃ ca darśayati /	tasya eva ca durvijQAna tAm saMskRta m itigamya tAm ca darSayati /
   tadvijñānāyaiva 'yacchedvāṅmanasī prājñaḥ' (kaṭha. 3.13) ityādhyānaṃ	tat vijQAnAya eva ayacCet vAc manasI prAjQaHa (kaWa. 3.13) iti ADyAnam
   vidadhāti /	vidaDAti /
   tadvyākhyatam 'ānumānikamapyekamapyekeṣām' (bra.sū. 1.4.1) ityatra /	tat vyAKyatam aAnumAnikam api ekam api ekezAm a (bra.sU. 1.4.1) iti atra /
   evamanekaprakāra āśayātiśayaḥ śruteḥ puruṣe lakṣyate netareṣu /	evam aneka prakAraH ASaya atiSayaH SruteH puruze lakzyate na itarezu /
   apica 'so 'dhvanaḥ pāramāpnoti tadviṣṇoḥ paramaṃ padam' (ka. 3.9) ityukte	api ca asaH aDvanaH pAram Apnoti tat vizNoH paramam padam a (ka. 3.9) iti ukte
   kiṃ tadadhvanaḥ pāraṃ viṣṇoḥ paramaṃ	kim tad aDvanaH pAram vizNoH paramam
   padamityasyāmākāṅkṣāyāmindriyādyanukramaṇātparamapadapratipattyartha	padam iti asyAm AkAFkzAyAm indriya Adi anukramaNAt parama pada pratipatti arTa
   evāyamāyāma ityavasīyate // 15 //	eva ayam AyAmaH iti avasIyate // 15 //
   8 ātmagṛhītyadhikaraṇam / sū. 16 17	8 Atma gRhi iti aDikaraNam / sU. 16 17
   ātmagṛhītir itaravad uttarāt | BBs_3,3.16 |	Atma gRhItiH itara vat uttarAt | BBH _3,3.16 |
   aitareyake śrūyate   'ātmā vā idameka evāgra āsīnnānyatkiñcana miṣatsa	Etareyake SrUyate  aAtmA vE idam ekaH eva agre AsIt na anyat kiQcana mizat sa
   īkṣata lokānnu sṛjā' (ai. 1.1) iti 'sa imāṃllokānasṛjatāmbho	Ikzata lokAn nu sRjAa (E. 1.1) iti asaH imAn= lokAn asRjata amBaH 
   marīcīrmaramāpaḥ' (ai. 1.2) ityādi /	marIcIH maramApaH a (E. 1.2) ityAdi /
   tatra saṃśayaḥ   kiṃ para evātmaśabdenābhilapyata utānyaḥ kaściditi /	tatra saMSayaH  kim paraH eva Atma Sabdena aBilapyate uta anyaH kaScid iti /
   kiṃ tāvatprāptaṃ na paramātmehātmaśabdābhilapyo bhavitumarhatīti /	kim tAvat prAptam na parama AtmA iha Atma Sabda aBilapyaH Bavitum arhati iti /
   kasmāt /	kasmAt /
   vākyānvayadarśanāt /	vAkya anvaya darSanAt /
   nanu vākyānvayaḥ sutarāṃ paramātmaviṣayo dṛśyate	nanu vAkya anvayaH sutarAm paramAtma vizayaH dRSyate
   prāgutpatterātmaikatvāvadhāraṇāt /	prAk utpatteH Atma ekatva avaDAraNAt /
   īkṣaṇapūrvakasraṣṭṛvacanācca /	IkzaNa pUrvaka srazwR vacanAt ca /
   netyucyate /	na iti ucyate /
   lokasṛṣṭivacanāt /	loka sRzwi vacanAt /
   paramātmani hi sraṣṭari parigṛhyamāṇe mahābhūtasṛṣṭirādau vaktavyā	paramAtmani hi srazwari parigRhyamANe mahABUta sRzwiH AdO vaktavyA
   lokasṛṣṭistvihādāvucyate /	loka sRzwiH tu iha AdO= ucyate /
   lokāśca mahābhūtasaṃniveśāviśeṣāḥ /	lokAH ca mahABUta saMniveSa aviSezAH /
   tathācāmbhaḥprabhṛtīṃllokatvenaiva nirbravīti   'ado 'mbhaḥ pareṇa divam'	taTA ca amBaH praBRtIn= loka tvena eva nirbravIti  aadaH amBaH pareNa divam a
   (ai. 1.2) ityādinā /	(E. 1.2) ityAdinA /
   lokasṛṣṭiśca parameśvarādhiṣṭhitenāpareṇa kenacidīśvareṇa	loka sRzwiH ca parameSvara aDizWitena apareNa kenacid ISvareNa
   āsītpuruṣavidhaḥ' (bṛ. 1.4.1) ityādyā /	AsIt puruza viDaH a (bR. 1.4.1) ityAdyAH /
   smṛtirapi 'sa vai śarīrī prathamaḥsa vai puruṣaḥ ucyate /	smRtiH api asa vE SarIrI praTamaHsa vE puruzaH ucyate /
   ādikartā sa bhūtānāṃ brahmāgre samavartata' iti /	AdikartA sa BUtAnAm brahma agre samavartata a iti /
   aitareyiṇo 'pi athāto retasaḥ prajāpate reto devāḥ ityatra	EtareyiNaH api aTa atas retasaH prajApate retaH devAH iti atra
   pūrvasminprakaraṇe prajāpatikartṛkāṃ vicitrāṃ sṛṣṭimāmananti /	pUrvasmin prakaraNe prajApati kartRkAm vicitrAm sRzwimAmananti /
   ātmaśabdo 'pi tasminprayujyamāno dṛśyate   ātmaivedamagra	Atma SabdaH api tasmin prayujyamAnaH dRSyate  AtmA eva idam agra
   āsītpuruṣavidhiḥ' (bṛ. 1.4.1) ityatra /	AsIt puruza viDiH a (bR. 1.4.1) iti atra /
   ekatvāvadhāraṇamapi prāgutpatteḥ svavikārāpekṣamupapadyate /	ekatva avaDAraNam api prAk utpatteH sva vikAra apekzam upapadyate /
   īkṣaṇamapi tasya cetanatvābhyupagamādupapannam /	IkzaNam api tasya cetanatva aByupagamAt upapannam /
   apica tābhyo gāmānayattābhyo 'śvamānayattābhyoḥ puruṣamānayattā	api ca tAByaH gAmAnayat tAByaH aSva mAna yat tAByoH puruza m Anayat tA
   abruvannityevañjātīyako bhūyānvyāpāraviśeṣo laukikeṣu viśeṣavatsvātmasu	abruvan= iti evan jAtIyakaH BUyAn vyApAra viSezaH lOkikezu viSeza vatsvAtmasu
   prasiddha ihānugamyate /	prasidDaH iha anugamyate /
   tasmādviśeṣāvāneva kaścidihātmā syāditi /	tasmAt viSezAvAn eva kaScid iha AtmA syAt iti /
   evaṃ prāpte brūmaḥ   'para evātmehātmaśabdena gṛhyata itaravat /	evam prApte brUmaH  aparaH eva AtmA iha Atma Sabdena gRhyate itara vat /
   yathetareṣu sṛṣṭiśravaṇeṣu tasmādvā etasmādātmana ākāśaḥ saṃbhūtaḥ' (tai.	yaTA itarezu sRzwi SravaNezu tasmAt vA etasmAt AtmanaH AkASaH saMBUtaH a (tE.
   2.1.1) ityevamādiṣu parasyātmano grahaṇam /	2.1.1) iti evamAdizu parasya AtmanaH grahaNam /
   yathā cetarasmiṃllaukikātmaśabdaprayoge pratyagātmaiva mukhya ātmaśabdena	yaTA ca itarasmin= lOkika Atma Sabda prayoge pratyagAtmA eva muKyaH Atma Sabdena
   gṛhyate tathehāpi bhavitumarhati yatra tu 'ātmaivedamagra āsīt' (bṛ.	gRhyate taTA iha api Bavitum arhati yatra tu aAtmA eva idam agre AsIt a (bR.
   1.4.1) ityevamādau 'puruṣavidhaḥ' (bṛ. 1.4.1) ityevamādi viśeṣaṇāntaraṃ	1.4.1) iti evamAdO apuruzaviDaH a (bR. 1.4.1) iti evamAdi viSezaNa antaram
   śrūyate bhavettatra viśeṣata ātmano grahaṇam /	SrUyate Bavet tatra viSezataH AtmanaH grahaNam /
   atra punaḥ paramātmagrahaṇānuguṇameva viśeṣaṇamapyuttaramupalabhyate 'sa	atra punar paramAtma grahaNa anuguNam eva viSezaNam api uttaram upalaByate asa
   īkṣata lokānnu sṛjā iti' (ai. 1.1) 'sa imāṃllokānasṛjata' (ai. 1.2)	Ikzata lokAn nu sRjE iti a (E. 1.1) asaH imAn= lokAn asRjata a (E. 1.2)
   ityevamādi /	iti evamAdi /
   tasmāttasyaiva grahaṇamiti nyāyyam // 16 //	tasmAt tasya eva grahaNam iti nyAyyam // 16 //
   FN: ambhaḥ svargaḥ , marīcayo 'ntarikṣalokaḥ , maro martyalokaḥ , āpaḥ	FN: amBaH svargaH , marIcayaH antarikza lokaH , maraH martya lokaH , ApaH
   pātālalokaḥ //	pAtAla lokaH //
   puruṣavidho narākāraḥ /	puruzaviDaH nara AkAraH /
   ātmā hiraṇyagarbhaḥ /	AtmA hiraNyagarBaH /
   retaḥ retaḥkāryam /	retaH retaH kAryam /
   anvayād iti cet syād avadhāraṇāt | BBs_3,3.17 |	anvayAt iti ced syAt avaDAraNAt | BBH _3,3.17 |
   vākyānvayadarśanānna paramātmagrahaṇamiti punaryaduktaṃ	vAkya anvaya darSanAt na paramAtma grahaNam iti punar yat uktam
   tatparihartavyamiti /	tat parihartavyam iti /
   atrocyate /	atra ucyate /
   syādavadhāramāditi /	syAt avaDAram At iti /
   bhavedupapannaṃ paramātmano grahaṇam /	Bavet upapannam paramAtmanaH grahaNam /
   kasmāt /	kasmAt /
   avadhāraṇāt /	avaDAraNAt /
   paramātmagrahaṇe hi prāgitpatterātmaikatvāvadhāraṇamāñjamasavakalpate /	parama Atma grahaNe hi prAgid patteH Atma ekatva avaDAraNamAQjama savakalpate /
   anyathā hyanāñjasaṃ tatparikalpeta /	anyaTA hi anAn jasam tad parikalpeta /
   lokasṛṣṭivacanaṃ tu śrutyantaraprasiddhamahābhūtasṛṣṭyanantaramiti	loka sRzwi vacanam tu Sruti antara prasidDa mahABUta sRzwi anantaram iti
   yojayiṣyāmi /	yojayizyAmi /
   yathā tattejo 'sṛjata (chā. 6.2.3)	yaTA tat tejaH asRjata (CA. 6.2.3)
   ityetacchrutyantaraprasiddhaviyadvāyusṛṣṭyanantaramityayūyujamevamihāpi /	iti etat Sruti antara prasidDa viyat vAyu sRzwi anantaram iti ayUyujam evam iha api /
   śrutyantaraprasiddho hi samānaviṣayo viśeṣaḥ śrutyantareṣūpasaṃhartavyo	Sruti antara prasidDaH hi samAna vizayaH viSezaH Sruti antarezu upasaMhartavyaH 
   bhavati /	Bavati /
   yo 'pyayaṃ vyāpāraviśeṣānugamastābhyo gāmānayadityevamādiḥ so 'pi	yaH api ayam vyApAra viSeza anugamaH tAByaH gAm Anayat iti evamAdiH saH api
   vivakṣitārthāvadhāraṇānuguṇyenaiva grahītavyaḥ /	vivakzita arTa avaDAraNa anuguNyena eva grahItavyaH /
   nahyayaṃ sakalaḥ kathāprabandho vivakṣata iti śakyate vaktuma,	na hi ayam sakalaH kaTA prabanDaH vivakzate iti Sakyate vaktuma,
   tatpratipattau puruṣārthābhāvāt /	tad pratipattO puruza arTa aBAvAt /
   brahmātmatvaṃ tviha vivakṣitam /	brahma Atma tvam tu iha vivakzitam /
   tathāhyamabhaḥprabhṛtīnāṃ lokānāṃ lokapālānāṃ cāgnyādīnāṃ sṛṣṭiṃ śiṣṭāvā	taTA hi am aBaH praBRtInAm lokAnAm lokapAlAnAm ca agni AdInAm sRzwim SizwAvA
   karaṇāni karaṇāyatanaṃ ca śarīramupadiśya sa eva sraṣṭā 'kathaṃ nvidaṃ	karaNAni karaNa Ayatanam ca SarIram upadiSya saH eva srazwA akaTam nu idam
   madṛte syāt' (ai. 3.11 iti vīkṣyedaṃ śarīraṃ praviveśeti darśayati   'sa	mad Rte syAt a (E. 3.11 iti vIkzya idam SarIram praviveSa iti darSayati  asa
   etameva sīmānaṃ vidāryaitayā dvārā prāpadyata' (ai. 3.12) iti /	etam eva sImAnam vidArya etayA dvArA prApadyata a (E. 3.12) iti /
   punaśca 'yadi vācābhivyāhṛtaṃ yadi prāṇenābhiprāṇitam' (ai. 3.12)	punar ca ayadi vAcA aBivyAhRtam yadi prANena aBiprANitam a (E. 3.12)
   ityevamādinā karaṇavyāpāravivecanapūrvakam 'atha ko 'ham' (ai. 3.11) iti	iti evamAdinA karaNa vyApAra vivecana pUrvakam aaTa kaH aham a (E. 3.11) iti
   vīkṣya 'sa etameva puruṣaṃ brahma tatamamapaśyat' (ai. 3.13) iti	vIkzya asaH etam eva puruzam brahma tatamam apaSyat a (E. 3.13) iti
   brahmātmatvadarśanamavadhārayati /	brahma Atma tva darSanam avaDArayati /
   tathopariṣṭāt eṣa brahmaiṣa indraḥ (ai. 5.3) ityādinā samastabhedajātaṃ	taTA uparizwAt eza brahma ezaH indraH (E. 5.3) ityAdinA samasta Beda jAtam
   saha mahābhūtairamukramya 'sarvaṃ tatprajñānetraṃ prajñāne pratiṣṭhitaṃ	saha mahABUtEH amukramya asarvam tat prajQA netram prajQAne pratizWitam
   prajñānetro lokaḥ prajñā pratiṣṭhā prajñānaṃ brahma' (aita. 5.3) iti	prajQA netraH lokaH prajQA pratizWA prajQAnam brahma a (a eta. 5.3) iti
   brahmātmatvadarśanamevāvadhārayati /	brahma Atma tva darSanam eva avaDArayati /
   tasmādihātmagṛhītirityanapavādam /	tasmAt iha Atma gRhItiH iti anapavAdam /
   aparā yojanā   ātmagṛhītiritaravaduttarāt /	aparA yojanA  Atma gRhItiH itara vat uttarAt /
   vājasaneyake 'katama ātmeti yo 'yaṃ vijñānamayaḥ prāṇeṣu hṛdyantarjyotiḥ	vAjasaneyake akatamaH AtmA iti yaH ayam vijQAna mayaH prANezu hRdi antar jyotiH
   puruṣaḥ' (bṛ. 4.3.7) ityātmaśabdenopakramya tasyaiva	puruzaH a (bR. 4.3.7) iti Atma Sabdena upakramya tasya eva
   sarvasaṅgavinirmuktatvapratipādanena brahāmātmatāmavadhārayati /	sarva saFga vinirmukta tva pratipAdanena brahAma Atma tAm avaDArayati /
   tathāhyupasaṃharati   'sa vā eṣa mahānaja ātmājaro 'maro 'mṛto 'bhayo	taTA hi upasaMharati  asa vE eza mahAn ajaH Atma ajaraH amaraH amRtaH aBayo
   brahma' (bṛ. 4.4.25) iti /	brahma a (bR. 4.4.25) iti /
   chāndogye tu 'sadeva somyedamagra āsīdekamevādvitīyam' (chā. 6.2.1)	CAndogye tu asat eva somya idam agre AsIt ekam eva advitIyam a (CA. 6.2.1)
   ityantareṇaivātmaśabdamupakramyodarke 'sa ātmā tattvamasi' (chā. 6.8.7)	iti antareNa eva Atma Sabdam upakramya udarke asaH AtmA tat tvam asi a (CA. 6.8.7)
   iti tādātmyamupadiśati /	iti tAdAtmyam upadiSati /
   tatra saṃśayaḥ   tulyārthatvaṃ kimanayorāmnānayoḥ syādatulyārthatvaṃ veti	tatra saMSayaH  tulya arTa tvam kim anayoH AmnAnayoH syAt atulya arTa tvam vA iti
   atulyārthatvamiti tāvatprāptamatulyatvādāmnānayoḥ /	atulya arTa tvam iti tAvat prAptam atulya tvAt AmnAnayoH /
   nahyāmnānavaiṣamye satyarthasāmyaṃ yuktaṃ	na hyAmnAna vEzamye satyarTa sAmyam yuktam
   pratipattumāmnānatantratvādarthaparigrahasya /	pratipattum AmnAna tantra tvAt arTa parigrahasya /
   vājasaneyake cātmaśabdopakramādātmatattvopadeśa iti gamyate /	vAjasaneyake ca Atma Sabda upakramAt Atma tattva upadeSaH iti gamyate /
   chāndogye tūpakramaviparyayādupadeśaviparyayaḥ /	CAndogye tu upakrama viparyayAt upadeSa viparyayaH /
   nanu chandogānāmapyastyudarke tādātmyopadeśa ityuktam /	nanu CandaH gAnAm api asti udarke tAdAtmya upadeSaH iti uktam /
   satyamuktam /	satyam uktam /
   upakramatantratvādupasaṃhārasya tādātmyasaṃpattiḥ seti manyate /	upakrama tantra tvAt upasaMhArasya tAdAtmya saMpattiH sA iti manyate /
   tathā prāpte 'bhidhīyate   'ātmagṛhītiḥ sadeva somyedamagrāsīt' (chā.	taTA prApte aBiDIyate  aAtma gRhItiH sat eva somya idam agrAsIt a (CA.
   6.2.1) ityatra chandogānāmapi bhavitumarhatītaravat /	6.2.1) iti atra CandogAnAm api Bavitum arhati itara vat /
   yathā 'katama ātmā' (bṛ. 4.3.7) ityatra vājaneyināmātmagṛhītastathaiva /	yaTA akatamaH AtmA a (bR. 4.3.7) iti atra vAjaneyinAma Atma gRhItaH taTA eva /
   kasmāt /	kasmAt /
   uttarāttādātmyopadeśāt /	uttarAt tAdAtmya upadeSAt /
   anvayādite cetsyādavadhāraṇāt /	anvayAt ite ced syAt avaDAraNAt /
   yaduktamupakramānvayādupakrame cātmaśabdaśravaṇābhāvānnātmagṛhītiriti	yat uktam upakramAn vayAt upakrame ca Atma Sabda SravaNa aBAvAt na Atma gRhItiH iti
   tasya kaḥ parihāra iti cetso 'bhidhīyate syādavadhāraṇāditi /	tasya kaH parihAraH iti ced saH aBiDIyate syAt avaDAraNAt iti /
   bhavedupapannehātmagṛhītiḥ /	Bavet upapannA iha Atma gRhItiH /
   avadhāraṇāt /	avaDAraNAt /
   tathāhi   'yenāśrutaṃ śrutaṃ bhavatyamataṃ matamavijñātaṃ vijñātam' ((chā.	taTA hi  ayena aSrutam Srutam Bavati amatam matam avijQAtam vijQAtam a ((CA.
   6.1.1) ityekavijñānena sarvavijñānamavadhārya tatsaṃpipādayiṣayā 'sadeva '	6.1.1) iti eka vijQAnena sarva vijQAnam avaDArya tad saMpipAdayizayA asadeva  a
   ityāha /	iti Aha /
   taccātmagṛhītau satyāṃ saṃpadyate /	tat ca Atma gRhItO satyAm saMpadyate /
   anyathā hi yo 'yaṃ mikhya ātmā sa na vijñāta iti naiva sarvavijñānaṃ	anyaTA hi yaH ayam miKyaH AtmA sa na vijQAtaH iti na eva sarva vijQAnam
   saṃpadyeta /	saMpadyeta /
   tathā prāgutpatterekatvāvadhāraṇaṃ jīvasya cātmaśabdena parāmarśaḥ	taTA prAk utpatteH ekatva avaDAraNam jIvasya ca Atma Sabdena parAmarSaH
   svāpāvasthāyāṃ ca tatsvabhāvasaṃpattikathanaṃ paricodanāpūrvakaṃ ca punaḥ	svApa avasTAyAm ca tad svaBAva saMpatti kaTanam paricodanA pUrvakam ca punar 
