   akaveḥ śāstravedanam Bh_1.3d	akaveH SAstra-vedanam Bh_1.3d
   tadabhāve ca nāstitā Bh_5.27b	tad-aBAve ca na-astitA Bh_5.27b
   tadarthasyopadarśanāt Bh_3.33b	tad-arTasya-upadarSanAt Bh_3.33b
   tadarthahetusiddhānta- Bh_5.13a	tad-arTa-hetu-sidDAnta Bh_5.13a
   tadābhastadavṛttitaḥ Bh_5.26d	tad-ABaH-tat-avRttitaH Bh_5.26d
   tadā śuklāṃśukāni syur Bh_2.83c	tadA Sukla-aMSukAni syuH Bh_2.83c
   tadāhuḥ kalpanāduṣṭaṃ Bh_1.52c	tat-AhuH kalpanA-duzwam Bh_1.52c
   tadupacchandanāyaiṣa Bh_5.2c	tad-upacCandanAya-eza Bh_5.2c
   tadekārthaṃ pracakṣate Bh_4.12b	tat-eka-arTam pracakzate Bh_4.12b
   tadetadāhuḥ sauśabdyaṃ Bh_1.15a	tat-etat-AhuH sOSabdyam Bh_1.15a
   tadebhiraṅgairbhūṣyante Bh_5.66a	tad-eBiH-aFgEH-BUzyante Bh_5.66a
   tadeva ca kila jyāyaḥ Bh_1.31c	tat-eva ca kila jyAyaH Bh_1.31c
   tadevaikārthamiṣyate Bh_4.15b	tat-eva-eka-arTam-izyate Bh_4.15b
   taddharmo 'pi na setsyati Bh_5.15d	tad-DarmaH api na setsyati Bh_5.15d
   tadvadevābhidhīyate Bh_2.33b	tadvat-eva-aBiDIyate Bh_2.33b
   tadvido nāntarīyārtha- Bh_5.11c	tad-vidaH na-antarIya-arTa Bh_5.11c
   tadviparyayato vāpi Bh_5.26c	tad-viparyayataH vA-api Bh_5.26c
   tadvirodhakaraṃ yathā Bh_4.32d	tad-viroDa-karam yaTA Bh_4.32d
   tadvirodhakaraṃ yathā Bh_4.35d	tad-viroDa-karam yaTA Bh_4.35d
   tadvirodhakṛdityāhur Bh_4.30c	tad-viroDa-kRt-iti-AhuH Bh_4.30c
   tadvirodhi tadācāra- Bh_4.47c	tat-viroDi tad-AcAra Bh_4.47c
   tadviveko 'yamucyate Bh_6.23d	tad-vivekaH ayam-ucyate Bh_6.23d
   tadvṛtteścānudāhṛtau Bh_5.23b	tad-vRtteH-ca-anudAhRtO Bh_5.23b
   tannyūnādhikatā vāpi Bh_4.25c	tat-nyUna-aDika-tA vA-api Bh_4.25c
   tanmātrārthapratītaye Bh_5.1d	tanmAtra-arTa-pratItaye Bh_5.1d
   tanmātrāviṣkṛteryathā Bh_5.58d	tanmAtra-AvizkRteH-yaTA Bh_5.58d
   tanmūlatvātkathāyāśca Bh_5.28c	tad-mUla-tvAt-kaTAyAH-ca Bh_5.28c
   tanvī śyāmālatā yathā Bh_2.31d	tanvI SyAmA-latA yaTA Bh_2.31d
   tamādriyeta prāyeṇa Bh_6.29c	tam-Adriyeta prAyeNa Bh_6.29c
   tamāptaśrāvakāsiddheḥ Bh_4.22c	tam-Apta-SrAvaka-asidDeH Bh_4.22c
   tamāhuḥ śuddhadṛṣṭāntaṃ Bh_5.58c	tam-AhuH SudDa-dRzwAntam Bh_5.58c
   tamityāhurananvayam Bh_3.45d	tam-iti-AhuH-ananvayam Bh_3.45d
   tamisrāśṛṅgiṇādayaḥ Bh_6.56b	tamisrA-SRFgiNa-AdayaH Bh_6.56b
   tayaiva hi tadarthasya Bh_5.14a	tayA-eva hi tad-arTasya Bh_5.14a
   tarumāruhya sarvataḥ Bh_2.92b	tarum-Aruhya sarvatas Bh_2.92b
   tarkayettāṃ yathāgamam Bh_2.84d	tarkayet-tAm yaTAgamam Bh_2.84d
   taveva vadanaṃ tava Bh_3.46d	tava-iva vadanam tava Bh_3.46d
   tavaiva nānyasya sutasya vṛttam Bh_5.63d	tava-eva na-anyasya sutasya vRttam Bh_5.63d
   tavaivāgamanāt punaḥ Bh_3.5f	tava-eva-AgamanAt punar Bh_3.5f
   tasmātkūṭastha ityeṣā Bh_6.11a	tasmAt-kUwasTaH iti-ezA Bh_6.11a
   tasya cādhigame yatnaḥ Bh_6.4a	tasya ca-aDigame yatnaH Bh_6.4a
   tasya hārī stanābhogo Bh_6.47a	tasya hArI stana-ABogaH Bh_6.47a
   tasya hetūn pracakṣate Bh_3.54d	tasya hetUn pracakzate Bh_3.54d
   tasyānyairbahudhoditaḥ Bh_1.13b	tasya-anyEH-bahuDA-uditaH Bh_1.13b
   tasyāpi sudhiyāmiṣṭā Bh_5.52a	tasya-api suDiyAm-izwA Bh_5.52a
   tasyāḥ kaiścinmahātmabhiḥ Bh_2.37b	tasyAH kEScid-mahAtmaBiH Bh_2.37b
   tasyaiva kṛtinaḥ paścād Bh_4.39c	tasya-eva kRtinaH paScAt Bh_4.39c
   taṃ śabdaṃ bruvate 'pare Bh_6.7b	tam Sabdam bruvate apare Bh_6.7b
   tācchīlyaviṣayaṃ ṇinim Bh_6.46d	tAt-SIlya-vizayam Ninim Bh_6.46d
   tācchīlyādiṣu ceṣyante Bh_6.48a	tAt-SIlyAdizu ca-izyante Bh_6.48a
   tāmutkamanasaṃ nūnaṃ Bh_4.16a	tAm-utkamanasam nUnam Bh_4.16a
   tāmbūlarāgavalayaṃ Bh_3.46a	tAmbUla-rAga-valayam Bh_3.46a
   tāvatkilāyamadhyāste Bh_1.7c	tAvat-kilAyam-aDyAste Bh_1.7c
   tāsāṃ prapañco bahudhā Bh_5.29c	tAsAm prapaQcaH bahuDA Bh_5.29c
   tāsūktānna ca viruṇaddhi kāṃścidarthān Bh_6.63b	tAsu-uktAn-na ca viruNadDi kAMScid-arTAn Bh_6.63b
   tāḥ sādharmyasamādayaḥ Bh_5.29b	tAH sADarmya-samAdayaH Bh_5.29b
   tiṣṭhadgu ca vahadgu ca Bh_6.35d	tizWat-gu ca vahadgu ca Bh_6.35d
   tiṣṭhadguprabhṛtau vācyau Bh_6.35a	tizWadgu-praBRtO vAcyO Bh_6.35a
   tuṅgā jaladadantinaḥ Bh_2.23b	tuFgAH jalada-dantinaH Bh_2.23b
   tuṅgā jaladadantinaḥ Bh_3.16b	tuFgAH jalada-dantinaH Bh_3.16b
   tulyakāryakriyāyogād Bh_3.27c	tulya-kArya-kriyA-yogAt Bh_3.27c
   tulyakāle kriye yatra Bh_3.39a	tulya-kAle kriye yatra Bh_3.39a
   tulyajātāvadṛṣṭatvāt Bh_5.54c	tulya-jAta-a=-adRzwa-tvAt Bh_5.54c
   tulyaśrutīnāṃ bhinnānām Bh_2.17a	tulya-SrutInAm BinnAnAm Bh_2.17a
   tulyārthatve 'pi hi brūyāt Bh_6.24c	tulya-arTa-tve api hi brUyAt Bh_6.24c
   tulyodayāvasānatvād Bh_3.48a	tulya-udaya-avasAna-tvAt Bh_3.48a
   tṛcā samastaṣaṣṭhīkaṃ Bh_6.36c	tRcA samasta-zazWIkam Bh_6.36c
   tṛtīyāsaptamīpakṣe Bh_6.34c	tRtIyA-saptamI-pakze Bh_6.34c
   tṛtīyaikavacaḥ ṣaṣṭhyām Bh_6.40a	tRtIyA-eka-vacaH zazWyAm Bh_6.40a
   tejastirayataḥ sauraṃ Bh_4.23c	tejaH-tirayataH sOram Bh_4.23c
   tenāsadṛśatāpi ca Bh_2.39d	tena-asadRSa-tA-api ca Bh_2.39d
   tenāsambhava ucyate Bh_2.48d	tena-asamBavaH ucyate Bh_2.48d
   teṣāṃ kaṭataṭabhraṣṭair Bh_4.36a	tezAm kawa-tawa-BrazwEH Bh_4.36a
   trayamapyucyate yathā Bh_2.52d	trayam-api-ucyate yaTA Bh_2.52d
   trayamapyuditaṃ nanu Bh_2.38b	trayam-api-uditam nanu Bh_2.38b
   trayāṇāmapi neṣyate Bh_2.57d	trayANAm-api na-izyate Bh_2.57d
   tridhā dīpakamiṣyate Bh_2.25b	triDA dIpakam-izyate Bh_2.25b
   tridhā nirdiśyate yathā Bh_2.26d	triDA nirdiSyate yaTA Bh_2.26d
   tribhirnidarśanaiścedaṃ Bh_2.26c	triBiH-nidarSanEH-ca-idam Bh_2.26c
   trirūpālliṅgato jñānam Bh_5.11a	trirUpAt-liFgataH jQAnam Bh_5.11a
   tvattejasā dagdhasamastaśobhā Bh_3.57c	tvad-tejasA dagDa-samasta-SoBA Bh_3.57c
   tvadāsyamiva paṅkajam Bh_3.38d	tvad-Asyam-iva paFkajam Bh_3.38d
   tvameva naravāhanaḥ Bh_5.59d	tvam-eva naravAhanaH Bh_5.59d
   tvameva vīra pradyumnas Bh_5.59c	tvam-eva vIra pradyumnaH Bh_5.59c
   tvamevailaḥ purūravāḥ Bh_5.59b	tvam-eva-ElaH purUravAH Bh_5.59b
   tvayā bhinnaṃ dviṣāṃ balam Bh_2.54d	tvayA Binnam dvizAm balam Bh_2.54d
   tvayi vīkṣate na labhate 'rthaniścayam Bh_3.44d	tvayi vIkzate na laBate arTa-niScayam Bh_3.44d
   tvāṃ vījayati suśreṇi Bh_6.45c	tvAm vIjayati suSreNi Bh_6.45c
   dagdhādagdhamaraṇyānyāḥ Bh_2.92c	dagDA-dagDam-araNyAnyAH Bh_2.92c
   daṇḍanītiṃ ca tāṃ viduḥ Bh_4.38b	daNxanItim ca tAm viduH Bh_4.38b
   dadhatītyādayo 'pi ca Bh_6.58b	daDati-ityAdayaH api ca Bh_6.58b
   dadhuṣī kañcukaṃ stane Bh_6.43b	daDuzI kaQcukam stane Bh_6.43b
   dadhre yasyāmburāśiḥ śaśikumudasudhākṣīraśuddhāṃ sukīrtim Bh_5.68d	daDre yasya-amburASiH SaSi-kumuda-suDA-kzIra-SudDAm sukIrtim Bh_5.68d
   darśanaṃ cāpare viduḥ Bh_5.11d	darSanam ca-apare viduH Bh_5.11d
   darśitaṃ kila kārmukam Bh_2.42b	darSitam kila kArmukam Bh_2.42b
   dāḍimāni daśāpūpāḥ Bh_4.8c	dAximAni daSa-apUpAH Bh_4.8c
   dārubhittibhuvo 'tītya Bh_6.10c	dAru-Bitti-BuvaH atItya Bh_6.10c
   didevetyarthabādhinī Bh_5.42d	dideva-iti-arTa-bADinI Bh_5.42d
   dinārdhabhājaḥ pariveṣiṇo 'rkāt Bh_2.47d	dina-arDa-BAjaH pariveziNaH arkAt Bh_2.47d
   diśā yuktamasādhvapi Bh_1.57b	diSA yuktam-asADu-api Bh_1.57b
   diśo 'nutkaṇṭhitākulāḥ Bh_2.78b	diSaH anutkaNWita-AkulAH Bh_2.78b
   dīneṣu padmānilanirmadeṣu Bh_2.46b	dInezu padma-anila-nirmadezu Bh_2.46b
   dīpradīpā niśā jajñe Bh_5.51a	dIpra-dIpA niSA jajQe Bh_5.51a
   dunoti mama tāṃ priyām Bh_2.24d	dunoti mama tAm priyAm Bh_2.24d
   duruktamapi śobhate Bh_1.54b	duruktam-api SoBate Bh_1.54b
   duṣkaraṃ sādhu tādṛśam Bh_2.16d	duzkaram sADu tAdRSam Bh_2.16d
   duṣṭagrāho 'mbhasāṃ patiḥ Bh_3.50d	duzwa-grAhaH amBasAm patiH Bh_3.50d
   duḥsuteneva nindyate Bh_1.11d	duHsutena-iva nindyate Bh_1.11d
   dūradeśavicāriṇaḥ Bh_1.43b	dUra-deSa-vicAriNaH Bh_1.43b
   dūrādhikaguṇastotra- Bh_3.31a	dUra-aDika-guNa-stotra Bh_3.31a
   dūrvākāṇḍamiva śyāmaṃ Bh_2.31c	dUrvA-kANxam-iva SyAmam Bh_2.31c
   dūṣaṇaṃ nyūnatādyuktir Bh_5.28a	dUzaNam nyUna-tAdi-uktiH Bh_5.28a
   dṛṣṭaṃ jagati kāraṇam Bh_5.31b	dRzwam jagati kAraNam Bh_5.31b
   dṛṣṭaṃ vā sarvasārūpyaṃ Bh_2.45c	dRzwam vA sarva-sArUpyam Bh_2.45c
   dṛṣṭiṃ dṛṣṭisukhāṃ dhehi Bh_2.8c	dRzwim dRzwi-suKAm Dehi Bh_2.8c
   devano ramaṇo yathā Bh_6.50d	devanaH ramaNaH yaTA Bh_6.50d
   devī samāgamaddharma Bh_3.6c	devI samAgamat-Darma Bh_3.6c
   deśakālakalāloka- Bh_4.2a	deSa-kAla-kalA-Aloka Bh_4.2a
   deśakālakriyādibhiḥ Bh_2.30b	deSa-kAla-kriyA-AdiBiH Bh_2.30b
   doṣāḥ prāguditāstrayaḥ Bh_5.52b	dozAH prAc-uditAH-trayaH Bh_5.52b
   dyūtāyeti yudhiṣṭhiraḥ Bh_5.42b	dyUtAya-iti yuDizWiraH Bh_5.42b
   dravyakriyājātiguṇa- Bh_6.21a	dravya-kriyA-jAti-guNa Bh_6.21a
   dvayasajdaghnacāviṣṭau Bh_6.55a	dvaya-sajda-Gna-cAvizwO Bh_6.55a
   dvijātivadadhīte 'sau Bh_2.33c	dvijAti-vat-aDIte asO Bh_2.33c
   dvidhā rūpakamuddiṣṭam Bh_2.22c	dviDA rUpakam-uddizwam Bh_2.22c
   dviprakāramudāttaṃ ca Bh_3.1c	dvi-prakAram-udAttam ca Bh_3.1c
   dviradānāṃ catuḥśatī Bh_1.58b	dviradAnAm catuHSatI Bh_1.58b
   dviṣāṃ puraḥ paśyatu rājalokaḥ Bh_3.57d	dvizAm puras paSyatu rAja-lokaH Bh_3.57d
   dviṣo jeghnīyiṣīṣṭa vaḥ Bh_1.46d	dvizaH jeGnIyizi-izwa vaH Bh_1.46d
   dviḥ sandadhāti kiṃ karṇaḥ Bh_3.7c	dvis sandaDAti kim karNaH Bh_3.7c
   dhatte śobhāmasādhvapi Bh_1.55b	Datte SoBAm-asADu-api Bh_1.55b
   dhatte śobhāṃ viracitamidaṃ sthānamasyaitadasya Bh_1.59b	Datte SoBAm viracitam-idam sTAnam-asya-etat-asya Bh_1.59b
   dharmārthakāmakopānāṃ Bh_5.36a	Darma-arTa-kAma-kopAnAm Bh_5.36a
   dharmārthakāmamokṣeṣu Bh_1.2a	Darma-arTa-kAma-mokzezu Bh_1.2a
   dharmāhitaviśeṣaṇā Bh_5.19b	Darma-Ahita-viSezaNA Bh_5.19b
   dharmiṇo 'syāprasiddhatvāt Bh_5.15c	DarmiNaH asya-aprasidDa-tvAt Bh_5.15c
   dharmī kṛtaviśeṣaṇaḥ Bh_5.12b	DarmI kRta-viSezaNaH Bh_5.12b
   dhātūṇādigaṇagrāhaṃ Bh_6.1c	DAtu-UNAdi-gaNa-grAham Bh_6.1c
   dhātvanekārthatāvaśāt Bh_6.26b	DAtu-aneka-arTa-tA-vaSAt Bh_6.26b
   dhāvatāṃ sainyavāhānāṃ Bh_4.37a	DAvatAm sEnya-vAhAnAm Bh_4.37a
   dhīkhedāyaiva vistaraḥ Bh_2.95b	DI-KedAya-eva vistaraH Bh_2.95b
   dhīnamityabhidhīyate Bh_2.42d	DInam-iti-aBiDIyate Bh_2.42d
   dhīrantyaśabdaviṣayā Bh_4.6a	DIrantyaSabda-vizayAH Bh_4.6a
   dhīrairālokitaprāntam Bh_6.2a	DIrEH-Alokita-prAntam Bh_6.2a
   dhūmabhāsorapi prāptā Bh_6.7c	DUma-BAsoH-api prAptA Bh_6.7c
   dhūmādabhraṃkaṣātsāgneḥ Bh_5.49c	DUmAt-aBraMkazAt-sa-agneH Bh_5.49c
   dhyānagrahabṛhatplavam Bh_6.1d	DyAna-graha-bRhat-plavam Bh_6.1d
   na kathaṃcidudāharet Bh_6.36d	na kaTaMcid-udAharet Bh_6.36d
   na kāntamapi nirbhūṣaṃ Bh_1.13c	na kAntam-api nirBUzam Bh_1.13c
   naktaṃdivasagocarau Bh_6.35b	naktaMdivasa-gocarO Bh_6.35b
   na cāpi cchāndasaṃ vadet Bh_6.27d	na ca-api cCAndasam vadet Bh_6.27d
   na cāpi samudāyibhyaḥ Bh_6.10a	na ca-api samudAyiByaH Bh_6.10a
   na cāpyasadṛśākṣarāḥ Bh_2.7b	na ca-api-asadRSa-akzarAH Bh_2.7b
   na cābhimānena kimu pratītaye Bh_4.50b	na ca-aBimAnena kimu pratItaye Bh_4.50b
   na cābhyudayabhāktasya Bh_1.23c	na ca-aByudaya-BAktasya Bh_1.23c
   na caikasya phaladvayam Bh_6.18b	na ca-ekasya Pala-dvayam Bh_6.18b
   na jyāyān vistaro mudhā Bh_2.38d	na jyAyAn vistaraH muDA Bh_2.38d
   na ḍitthādimapārthakam Bh_6.25d	na xitTa-Adim-apArTakam Bh_6.25d
   na tad icchanti kṛtino Bh_1.53c	na tat icCanti kRtinaH Bh_1.53c
   na tantrāntarasādhitam Bh_6.27b	na tantra-antara-sADitam Bh_6.27b
   [na tavargaṃ śakāreṇa Bh_6.60a	[na tavargam SakAreNa Bh_6.60a
   na tasyaiva vadhaṃ brūyād Bh_1.22c	na tasya-eva vaDam brUyAt Bh_1.22c
   na tu yogavibhāgajam Bh_6.29d	na tu yoga-viBAga-jam Bh_6.29d
   na te dhirdhīra bhogeṣu Bh_2.13a	na te DiH-DIra Bogezu Bh_2.13a
   na duṣṭādimapeśalam Bh_6.25b	na duzwa-Adim-apeSalam Bh_6.25b
   na dūṣaṇāyāmudāhṛto vidhir Bh_4.50a	na dUzaNAyAm-udAhRtaH viDiH Bh_4.50a
   na dolāyeta tadyathā Bh_4.18d	na dolAyeta tat-yaTA Bh_4.18d
   na nigādyamavadyavat Bh_1.11b	na nigAdyam-avadya-vat Bh_1.11b
   na nitāntādimātreṇa Bh_1.36a	na nitAnta-Adi-mAtreNa Bh_1.36a
   nanu cāśmakavaṃśādi Bh_1.33a	nanu ca-aSmaka-vaMSa-Adi Bh_1.33a
   nanu sādṛśyamucyate Bh_2.62b	nanu sAdRSyam-ucyate Bh_2.62b
   nanūpamānumaivāstu Bh_5.55c	nanu-upa-mAnumA-eva-astu Bh_5.55c
   nanūpamīyate pāṇiḥ Bh_2.56a	nanu-upamIyate pANiH Bh_2.56a
   nanvakārādivarṇānāṃ Bh_6.8a	nanu-akAra-Adi-varNAnAm Bh_6.8a
   na padāni prayuñjate Bh_2.1d	na padAni prayuQjate Bh_2.1d
   napuṃsakaṃ tatpuruṣaṃ Bh_6.38c	napuMsakam tatpuruzam Bh_6.38c
   na prayojyaṃ kathaṃcana Bh_1.45b	na prayojyam kaTaMcana Bh_1.45b
   nabhaḥkhaṇḍamivojjhitam Bh_2.51d	naBaH-KaNxam-iva-ujJitam Bh_2.51d
   na bhuñjate dvijāstacca Bh_3.9c	na BuQjate dvijAH-tat-ca Bh_3.9c
   namaḥkusumamastīti Bh_6.12c	namaH-kusumam-asti-iti Bh_6.12c
   namo 'stu tebhyo vidvadbhyaḥ Bh_6.15c	namaH astu teByaH vidvadByaH Bh_6.15c
   namo 'stu tebhyo vidvadbhyo Bh_4.45a	namaH astu teByaH vidvadByaH Bh_4.45a
   na yacchati dhanaṃ laghu Bh_5.46d	na yacCati Danam laGu Bh_5.46d
   nayanti nayavedinaḥ Bh_4.45d	nayanti naya-vedinaH Bh_4.45d
   nayanti vacanādvinā Bh_1.39d	nayanti vacanAt-vinA Bh_1.39d
   naravāhanadattena Bh_4.49c	naravAhanadattena Bh_4.49c
   na leśajñāpakākṛṣṭaṃ Bh_6.26c	na leSa-jQApaka-AkRzwam Bh_6.26c
   na vaktrāparavaktrābhyāṃ Bh_1.28a	na vaktra-apara-vaktrAByAm Bh_1.28a
   na śabdapunaruktaṃ tu Bh_4.13a	na Sabda-punaruktam tu Bh_4.13a
   na śabdāḥ kṣaṇanaśvarāḥ Bh_4.6d	na SabdAH kzaNa-naSvarAH Bh_4.6d
   na śiṣṭairuktamityeva Bh_6.27a	na SizwEH-uktam-iti-eva Bh_6.27a
   na sa nyāyo na sā kalā Bh_5.4b	na sa nyAyaH na sA kalA Bh_5.4b
   na sarvasārūpyamiti Bh_2.60a	na sarva-sArUpyam-iti Bh_2.60a
   na sa vyāpitayeṣyate Bh_1.23b	na sa vyApitayA-izyate Bh_1.23b
   na sa śabdo na tadvācyaṃ Bh_5.4a	na sa SabdaH na tat-vAcyam Bh_5.4a
   na hanyurbahavaḥ katham Bh_4.44d	na hanyuH-bahavaH kaTam Bh_4.44d
   na hetvanabhidhānataḥ Bh_5.55d	na hetu-anaBiDAnataH Bh_5.55d
   nākavitvamadharmāya Bh_1.12a	na-akavi-tvam-aDarmAya Bh_1.12a
   nājñāsītsa svabhūgatam Bh_4.40d	na-ajQAsIt-sa sva-BU-gatam Bh_4.40d
   nāṭakaṃ dvipadīśamyā- Bh_1.24a	nAwakam dvipadI-SamyA Bh_1.24a
   nātivyākhyeyamṛddhimat Bh_1.20d	na-ati-vyAKyeyam-RdDimat Bh_1.20d
   nādādanyaśca kathyate Bh_6.14b	na-adAt-anyaH-ca kaTyate Bh_6.14b
   nānākhyeyamamedhasām Bh_1.32d	nAnA-AKyeyam-ameDasAm Bh_1.32d
   nānādhātvarthagambhīrā Bh_2.19a	nAnA-DAtvarTa-gamBIrAH Bh_2.19a
   nānābhāṣāviṣayiṇām Bh_6.22a	nAnA-BAzA-vizayiNAm Bh_6.22a
   nānāratnādiyuktaṃ yat Bh_3.12c	nAnA-ratna-Adi-yuktam yat Bh_3.12c
   nānārthavanto 'nuprāsā Bh_2.7a	nAnA-arTavantaH anuprAsAH Bh_2.7a
   nānyapratyayaśabdā vāg Bh_6.5a	na-anya-pratyaya-SabdA vAc Bh_6.5a
   nāpārayitvā durgādham Bh_6.3a	na-apArayitvA durgADam Bh_6.3a
   nāpratītānyathārthatvaṃ Bh_6.26a	na-apratIta-anyaTArTa-tvam Bh_6.26a
   nāprayuktaṃ prayuñjīta Bh_6.24a	na-aprayuktam prayuQjIta Bh_6.24a
   nābhidhānaṃ pratīyate Bh_1.41d	na-aBiDAnam pratIyate Bh_1.41d
   nāyakaṃ prāgupanyasya Bh_1.22a	nAyakam prAk-upanyasya Bh_1.22a
   nāyakābhyudayaiśca yat Bh_1.20b	nAyaka-aByudayEH-ca yat Bh_1.20b
   nāyakena tu nocyate Bh_1.29b	nAyakena tu na-ucyate Bh_1.29b
   nāyakena svaceṣṭitam Bh_1.26b	nAyakena sva-cezwitam Bh_1.26b
   nārthavyutpattirīdṛśī Bh_1.15b	na-arTa-vyutpattiH-IdRSI Bh_1.15b
   nārvācīnanibandhanam Bh_5.61b	na-arvAcIna-nibanDanam Bh_5.61b
   nālaṃkāratayā mataḥ Bh_2.86b	na-alaMkAra-tayA mataH Bh_2.86b
   nālugviṣayamānayet Bh_6.34d	na-alugvizayam-Anayet Bh_6.34d
   nāsāṃ catasṛṇāmapi Bh_5.40d	na-AsAm catasRNAm-api Bh_5.40d
   nāsti bhāvasya kasyacit Bh_2.43b	na-asti BAvasya kasyacid Bh_2.43b
   nitambadvayasaṃ saraḥ Bh_6.55d	nitamba-dvayasam saraH Bh_6.55d
   nitānteti yathoditam Bh_2.5d	nitAnta-iti yaTA-uditam Bh_2.5d
   nityamāseḥ prayojayet Bh_6.50b	nitya-mAseH prayojayet Bh_6.50b
   nityaṃ cetkāraṇaṃ na tat Bh_5.31d	nityam ced-kAraNam na tat Bh_5.31d
   nindāpraśaṃsācikhyāsā- Bh_2.37c	nindA-praSaMsA-ciKyAsA Bh_2.37c
   nimittato vaco yattu Bh_2.81a	nimittataH vacaH yat-tu Bh_2.81a
   nirākāṅkṣaṃ ca tadvākyam Bh_4.4c	nirAkAFkzam ca tat-vAkyam Bh_4.4c
   nirdiṣṭa upameye 'rthe Bh_2.59c	nirdizwaH upameye arTe Bh_2.59c
   nirdekṣyante yathākramam Bh_2.67d	nirdekzyante yaTAkramam Bh_2.67d
   nirdeśaḥ kriyate samam Bh_3.16d	nirdeSaH kriyate samam Bh_3.16d
   nirdeśāttrividhaṃ yathā Bh_3.17d	nirdeSAt-triviDam yaTA Bh_3.17d
   nirdeśo 'tra kramo mataḥ Bh_4.20b	nirdeSaH atra kramaH mataH Bh_4.20b
   niryānto madayantīme Bh_2.23c	niryAntaH madayanti-ime Bh_2.23c
   niśākṛtaḥ prakṛtyaiva Bh_3.51c	niSA-kRtaH prakRtyA-eva Bh_3.51c
   niṣpeturāsyādiva tasya dīptāḥ Bh_2.47a	nizpetuH-AsyAt-iva tasya dIptAH Bh_2.47a
   nīpo 'viliptasurabhir Bh_2.78c	nIpaH avilipta-suraBiH Bh_2.78c
   nīlaṃ palāśamābaddham Bh_1.54c	nIlam palASam-AbadDam Bh_1.54c
   netre te tāmrarājinī Bh_2.76b	netre te tAmra-rAjinI Bh_2.76b
   neyaṃ virauti bhṛṅgālī Bh_3.22a	na-iyam virOti BRFga-AlI Bh_3.22a
   neyārthaṃ kliṣṭamanyārtham Bh_1.37a	neya-arTam klizwam-anya-arTam Bh_1.37a
   neyārthaṃ nīyate yukto Bh_1.38a	neya-arTam nIyate yuktaH Bh_1.38a
   naikatraikārabhūyastaṃ Bh_6.61a	na-ekatra-EkAra-BUyaH-tam Bh_6.61a
   nyāyaḥ śāstraṃ trivargoktir Bh_4.38a	nyAyaH SAstram trivarga-uktiH Bh_4.38a
   nyāyāgamavirodhi ca Bh_4.2b	nyAya-Agama-viroDi ca Bh_4.2b
   nyāyā nāpi ca saṃhatiḥ Bh_6.9d	nyAyAH na-api ca saMhatiH Bh_6.9d
   nyāyyaṃ nādhikatā bhavet Bh_2.61b	nyAyyam na-aDika-tA Bavet Bh_2.61b
   nyāyye vartmani tiṣṭhatām Bh_4.48b	nyAyye vartmani tizWatAm Bh_4.48b
   nyāsakāramatena vā Bh_6.36b	nyAsakAra-matena vA Bh_6.36b
   nyūnasyāpi viśiṣṭena Bh_3.27a	nyUnasya-api viSizwena Bh_3.27a
   nyūnaṃ neṣṭaṃ pratijñayā Bh_5.28d	nyUnam na-izwam pratijQayA Bh_5.28d
   nyūnaṃ hetvādinātha vā Bh_5.28b	nyUnam hetu-Adi-nA-aTa vA Bh_5.28b
   pakṣastasya ca nirdeśaḥ Bh_5.12c	pakzaH-tasya ca nirdeSaH Bh_5.12c
   pañcabhiḥ sandhibhiryuktaṃ Bh_1.20c	paQcaBiH sanDiBiH-yuktam Bh_1.20c
   pañcarājīti ca yathā Bh_6.38a	paQca-rAjI-iti ca yaTA Bh_6.38a
   pañcāśatā doṣadṛṣṭiḥ Bh_6.65c	paQcASatA doza-dRzwiH Bh_6.65c
   pañcaivānyairudāhṛtāḥ Bh_2.4d	paQca-eva-anyEH-udAhRtAH Bh_2.4d
   paṭimā laghimā yathā Bh_6.54b	pawimA laGimA yaTA Bh_6.54b
   patanaṃ jāyate 'vaśyaṃ Bh_1.51c	patanam jAyate avaSyam Bh_1.51c
   patanto bāṣpabindavaḥ Bh_6.31d	patantaH bAzpa-bindavaH Bh_6.31d
   patiṣyantīti kānumā Bh_4.42d	patizyanti-iti kAnumA Bh_4.42d
   padadvayasya sandhāne Bh_1.52a	pada-dvayasya sanDAne Bh_1.52a
   padamekaṃ varaṃ sādhu Bh_5.61a	padam-ekam varam sADu Bh_5.61a
   padānāmeva saṃghātaḥ Bh_4.4a	padAnAm-eva saMGAtaH Bh_4.4a
   padārthāpākṛtiḥ kila Bh_6.16d	padArTa-apAkRtiH kila Bh_6.16d
   padenaikena kathyate Bh_3.39c	padena-ekena kaTyate Bh_3.39c
   padmendubhṛṅgamātaṅga- Bh_2.90a	padma-indu-BRFga-mAtaFga Bh_2.90a
   payomucāṃ dhvanirdhīro Bh_2.24c	payomucAm DvaniH-DIraH Bh_2.24c
   parapakṣānupādāne Bh_5.23a	para-pakza-anupAdAne Bh_5.23a
   parapratyayato yattu Bh_6.4c	para-pratyayataH yat-tu Bh_6.4c
   parānīkāni bhīmāni Bh_2.72a	para-anIkAni BImAni Bh_2.72a
   parityāgaśca kartavyo Bh_5.40c	parityAgaH-ca kartavyaH Bh_5.40c
   parivṛttirasau yathā Bh_3.41d	parivRttiH-asO yaTA Bh_3.41d
   pareṇa ghṛtamukteva Bh_6.5c	pareNa GRta-muktA-iva Bh_6.5c
   pareṣāmeva bhūtaye Bh_3.18d	parezAm-eva BUtaye Bh_3.18d
