   akarmakaṃ tathā caitat HSvs_[5.1]393c	akarmakam taTA ca-etat HSvH-_[5.1]393c
   na tucche tatsvabhāvatā HSvs_[4.2]256b	na tucCe tad-svaBAva-tA HSvH-_[4.2]256b
   na tu tadbhāvasaṃgatiḥ HSvs_[7.1]499d	na tu tad-BAva-saMgatiH HSvH-_[7.1]499d
   na tu tailādyataḥ siddha HSvs_[6.3]448c	na tu tElAt-i-atas sidDaH HSvH-_[6.3]448c
   na tu dravyaṃ tato na saḥ HSvs_[7.1]522b	na tu dravyam tatas na saH HSvH-_[7.1]522b
   na tu pratyakṣam īkṣate HSvs_[11.1]666d	na tu pratyakzam Ikzate HSvH-_[11.1]666d
   na tu yuktyā na yujyate HSvs_[1.3]84d	na tu yuktyA na yujyate HSvH-_[1.3]84d
   na tulyānāṃ viśiṣṭatā HSvs_[1.2]54d	na tulyAnAm viSizwa-tA HSvH-_[1.2]54d
   na tu saṃjñānayogakam HSvs_[1.1]26d	na tu saMjQAna-yogakam HSvH-_[1.1]26d
   na tv atīndriyadarśanam HSvs_[4.6]345d	na tu atIndriya-darSanam HSvH-_[4.6]345d
   na tvartho yuktyayogataḥ HSvs_[5.1]384b	na tu-arTaH yukti-ayogataH HSvH-_[5.1]384b
   na tv itthaṃ tattvato na tat HSvs_[7.1]499b	na tu itTam tattvataH na tat HSvH-_[7.1]499b
   na tv evam itarasya ca HSvs_[4.6]337d	na tu evam itarasya ca HSvH-_[4.6]337d
   na daṇḍād daṇḍivad gatiḥ HSvs_[11.1]651b	na daNxAt daNxi-vat gatiH HSvH-_[11.1]651b
   na doṣā no na cānye 'pi HSvs_[11.1]658c	na dozAH naH na ca-anye api HSvH-_[11.1]658c
   na dvivijñeyatā bhavet HSvs_[4.7]368b	na dvi-vijQeya-tA Bavet HSvH-_[4.7]368b
   na dharmī kalpito dharma- HSvs_[4.3]288a	na DarmI kalpitaH Darma HSvH-_[4.3]288a
   na dhūmajñānatāṃ yataḥ HSvs_[4.6]348b	na DUma-jQAna-tAm yatas HSvH-_[4.6]348b
   na dhūmādigrahād eva hy HSvs_[4.6]335c	na DUma-Adi-grahAt eva hi HSvH-_[4.6]335c
   na na bhāve 'sya mātari HSvs_[1.2]72d	na na BAve asya mAtari HSvH-_[1.2]72d
   na nāsti dhrauvyam apy evam HSvs_[7.1]487a	na na-asti DrOvyam api evam HSvH-_[7.1]487a
   na nityaṃ nāpy anityaṃ yad HSvs_[6.6]467c	na nityam na-api anityam yat HSvH-_[6.6]467c
   nanu cintā nirarthikā HSvs_[5.2]412b	nanu cintA nirarTikAH HSvH-_[5.2]412b
   nanu nādvaitam eveti HSvs_[8.1]548c	nanu na-advEtam eva-iti HSvH-_[8.1]548c
   nanu nyāyān nidarśitam HSvs_[6.1]423d	nanu nyAyAt nidarSitam HSvH-_[6.1]423d
   nanu bhinnasvabhāvatā HSvs_[1.2]57b	nanu Binna-svaBAva-tA HSvH-_[1.2]57b
   nanu mānaṃ na vidyate HSvs_[5.1]398d	nanu mAnam na vidyate HSvH-_[5.1]398d
   nanu vyarthaḥ pariśramaḥ HSvs_[6.6]473d	nanu vyarTaH pariSramaH HSvH-_[6.6]473d
   nanu sarvam idaṃ samam HSvs_[1.3]82b	nanu sarvam idam samam HSvH-_[1.3]82b
   nanv asiddho 'nvayaḥ katham HSvs_[6.2]441d	nanu asidDaH anvayaH kaTam HSvH-_[6.2]441d
   na paṭādītyayuktimat HSvs_[2.2]172d	na pawa-Adi-iti-ayuktimat HSvH-_[2.2]172d
   na payo 'tti dadhivrataḥ HSvs_[7.1]479b	na payaH atti daDivrataH HSvH-_[7.1]479b
   na paścād api sā neti HSvs_[4.2]251c	na paScAt api sA na-iti HSvH-_[4.2]251c
   na puṇyād iti na pramā HSvs_[10.1]617b	na puNyAt iti na pramA HSvH-_[10.1]617b
   na punas tata evaitad HSvs_[2.1]139c	na punar tatas eva-etat HSvH-_[2.1]139c
   na punaḥ kriyate kiñcit HSvs_[6.1]418a	na punar kriyate kiQcid HSvH-_[6.1]418a
   na pūrvam uttaraṃ ceha HSvs_[4.6]345a	na pUrvam uttaram ca-iha HSvH-_[4.6]345a
   na pratītyaikasāmarthyaṃ HSvs_[4.4]310a	na pratItya-eka-sAmarTyam HSvH-_[4.4]310a
   na pratyakṣaṃ yato 'bhāvā- HSvs_[5.1]376a	na pratyakzam yatas aBAvA HSvH-_[5.1]376a
   na prāṇādir asau mānaṃ HSvs_[1.2]68a	na prANa-AdiH asO mAnam HSvH-_[1.2]68a
   na prāmāṇyaṃ na yujyate HSvs_[2.1]115d	na prAmANyam na yujyate HSvH-_[2.1]115d
   na bhavaty etad evāsya HSvs_[4.2]252c	na Bavati etat eva-asya HSvH-_[4.2]252c
   na bhavaty eva kevalam HSvs_[4.2]269d	na Bavati eva kevalam HSvH-_[4.2]269d
   nabhaḥpātād asatsattva- HSvs_[4.3]300c	naBaH-pAtAt asat-sattva HSvH-_[4.3]300c
   na bhāvo bhavatīty uktam HSvs_[4.2]270c	na BAvaH Bavati-iti uktam HSvH-_[4.2]270c
   na bhūtātmaka evātmety HSvs_[1.4]94c	na BUtAtmakaH eva-AtmA-iti HSvH-_[1.4]94c
   na bhūyo nalikādinā HSvs_[1.2]69b	na BUyas nalikA-AdinA HSvH-_[1.2]69b
   na bhedād vo 'pi tādṛśam HSvs_[11.1]651d	na BedAt vaH api tAdRSam HSvH-_[11.1]651d
   na bhoktṛvyatirekeṇa HSvs_[2.2]177a	na BoktR-vyatirekeNa HSvH-_[2.2]177a
   na mānaṃ mānam eva yat HSvs_[7.1]483d	na mAnam mAnam eva yat HSvH-_[7.1]483d
   na mānaṃ mānam eveti HSvs_[7.1]496a	na mAnam mAnam eva-iti HSvH-_[7.1]496a
   na yat tasyānyato bhavet HSvs_[2.1]162b	na yat tasya-anyatas Bavet HSvH-_[2.1]162b
   na yat samyak prasādhanam HSvs_[9.1]568b	na yat samyak prasADanam HSvH-_[9.1]568b
   na yathoktātmalakṣaṇam HSvs_[1.4]89d	na yaTA-ukta-Atma-lakzaNam HSvH-_[1.4]89d
   na yāty evety atyuktimat HSvs_[3.2]235b	na yAti eva-iti atyuktimat HSvH-_[3.2]235b
   na yuktā yuktivaikalya- HSvs_[4.3]292c	na yuktAH yukti-vEkalya HSvH-_[4.3]292c
   na yuktā vāsanānyathā HSvs_[1.4]103d	na yuktAH vAsanA-anyaTA HSvH-_[1.4]103d
   na yukto 'tiprasaṅgataḥ HSvs_[1.2]46d	na yuktaH ati-prasaFgataH HSvH-_[1.2]46d
   na yujyate ca sannyāyād HSvs_[7.1]533a	na yujyate ca sannyAyAt HSvH-_[7.1]533a
   narakādiphale kāṃścit HSvs_[3.1]198a	naraka-Adi-Pale kAMScid HSvH-_[3.1]198a
   narādirūpaṃ taccitram HSvs_[1.4]91c	nara-Adi-rUpam tat-citram HSvH-_[1.4]91c
   na rohati bhavāṅkuraḥ HSvs_[11.3]693d	na rohati Bava-aFkuraH HSvH-_[11.3]693d
   na loko hi vigānatvāt HSvs_[10.1]617c	na lokaH hi vigAna-tvAt HSvH-_[10.1]617c
   na laukikapadārthena HSvs_[10.1]601a	na lOkika-padArTena HSvH-_[10.1]601a
   na vijñānadvayaṃ yathā HSvs_[4.6]332b	na vijQAna-dvayam yaTA HSvH-_[4.6]332b
   na vijñānāt pṛthag mataḥ HSvs_[5.2]405b	na vijQAnAt pRTak mataH HSvH-_[5.2]405b
   na vineha svabhāvena HSvs_[2.2]171a	na vinA-iha svaBAvena HSvH-_[2.2]171a
   na vibhramabalād api HSvs_[7.1]537b	na viBrama-balAt api HSvH-_[7.1]537b
   na viruddhaṃ mithastrayam HSvs_[7.1]485d	na virudDam miTas-trayam HSvH-_[7.1]485d
   na virodho 'sti kaścana HSvs_[10.2]635b	na viroDaH asti kaScana HSvH-_[10.2]635b
   na viviktaṃ dvayaṃ samyag HSvs_[11.2]690a	na viviktam dvayam samyak HSvH-_[11.2]690a
   na visaṃvādakaṃ bhavet HSvs_[10.2]637b	na visaMvAdakam Bavet HSvH-_[10.2]637b
   na vṛddhasampradāyena HSvs_[10.1]599a	na vRdDa-sampradAyena HSvH-_[10.1]599a
   na vedayati vedo 'pi HSvs_[10.1]604c	na vedayati vedaH api HSvH-_[10.1]604c
   na vai tasyetyayogataḥ HSvs_[4.3]279d	na vE tasya-iti-ayogataH HSvH-_[4.3]279d
   na vai bhogaḥ kadācana HSvs_[3.2]223d	na vE BogaH kadAcana HSvH-_[3.2]223d
   naśvarādiviniścayaḥ HSvs_[4.6]351b	naSvara-Adi-viniScayaH HSvH-_[4.6]351b
   'naśvaro vā vikalpya yat HSvs_[6.1]415b	anaSvaraH vA vikalpya yat HSvH-_[6.1]415b
   na sa tanmātrahetukaḥ HSvs_[1.2]67b	na sa tanmAtra-hetukaH HSvH-_[1.2]67b
   na satsvabhāvajanakas HSvs_[6.1]433a	na sat-svaBAva-janakaH HSvH-_[6.1]433a
   na sadā sarvadehinām HSvs_[9.1]553d	na sadA sarva-dehinAm HSvH-_[9.1]553d
   na samyagupapadyate HSvs_[5.1]375b	na samyak-upapadyate HSvH-_[5.1]375b
   na sarveṣv etad apy asat HSvs_[1.2]53d	na sarvezu etat api asat HSvH-_[1.2]53d
   na saṃsārāpavargayoḥ HSvs_[5.2]403b	na saMsAra-apavargayoH HSvH-_[5.2]403b
   na sā tanmātrajā nanu HSvs_[1.2]62d	na sA tanmAtra-jAH nanu HSvH-_[1.2]62d
   na sānyārthā bhaviṣyati HSvs_[4.7]365b	na sA-anya-arTAH Bavizyati HSvH-_[4.7]365b
   na stastadadharmatvāc ca HSvs_[6.1]427c	na staH-tad-aDarma-tvAt ca HSvH-_[6.1]427c
   na syāt pravṛttir artheṣu HSvs_[11.1]647c	na syAt pravRttiH arTezu HSvH-_[11.1]647c
   na svabhāvātirekeṇa HSvs_[2.2]169a	na svaBAva-atirekeNa HSvH-_[2.2]169a
   na svasattvaṃ parāsattvaṃ HSvs_[7.1]498a	na sva-sattvam parAsattvam HSvH-_[7.1]498a
   na svasaṃdhāraṇe nyāyāt HSvs_[6.2]439a	na sva-saMDAraNe nyAyAt HSvH-_[6.2]439a
   na hi tatsarvasāmarthyaṃ HSvs_[4.4]311c	na hi tat-sarva-sAmarTyam HSvH-_[4.4]311c
   na hi loke 'śvam āṣādeḥ HSvs_[5.1]381c	na hi loke aSvam AzAdeH HSvH-_[5.1]381c
   na hiṃsyād iha bhūtāni HSvs_[2.1]158a	na hiMsyAt iha BUtAni HSvH-_[2.1]158a
   na hīndudvayadarśanam HSvs_[5.2]410d	na hi-indu-dvaya-darSanam HSvH-_[5.2]410d
   na hīndriyam atītādi- HSvs_[4.2]264c	na hi-indriyam atIta-Adi HSvH-_[4.2]264c
   na hetuphalabhāvataḥ HSvs_[4.1]247b	na hetu-Pala-BAvataH HSvH-_[4.1]247b
   na hetuphalabhāvataḥ HSvs_[4.5]329b	na hetu-Pala-BAvataH HSvH-_[4.5]329b
   na hetuphalabhāvaś ca HSvs_[4.3]286a	na hetu-Pala-BAvaH ca HSvH-_[4.3]286a
   na hetuphalabhāvaḥ syāt HSvs_[4.3]287c	na hetu-Pala-BAvaH syAt HSvH-_[4.3]287c
   na hy uktavat svahetos tu HSvs_[11.1]657a	na hi ukta-vat sva-hetoH tu HSvH-_[11.1]657a
   na hy utpādavyayau vinā HSvs_[7.1]492d	na hi utpAda-vyayO vinA HSvH-_[7.1]492d
   na hy ekaṃ nāsti satyārthaṃ HSvs_[10.2]638c	na hi ekam na-asti satya-arTam HSvH-_[10.2]638c
   nākarmaṇaḥ kvacij janma HSvs_[11.3]692c	na-akarmaNaH kvacid janma HSvH-_[11.3]692c
   nākṣādidoṣavijñānaṃ HSvs_[5.1]400a	na-akza-Adi-doza-vijQAnam HSvH-_[5.1]400a
   nāgo 'sya samaye 'pi hi HSvs_[11.1]664d	nAgaH asya samaye api hi HSvH-_[11.1]664d
   nātīndriyārthadraṣāram HSvs_[10.1]616c	na-atIndriya-arTa-drazAram HSvH-_[10.1]616c
   nātmavyāpārajaṃ kiñcit HSvs_[3.2]213c	na-Atma-vyApAra-jam kiQcid HSvH-_[3.2]213c
   nātmāpi loke no siddho HSvs_[1.2]40a	na-AtmA-api loke no sidDaH HSvH-_[1.2]40a
   nātra pramāṇam atyakṣā HSvs_[4.7]364c	na-atra pramANam atyakzAH HSvH-_[4.7]364c
   'nādiśuddhaś ca sūribhiḥ HSvs_[3.1]194d	anAdi-SudDaH ca sUriBiH HSvH-_[3.1]194d
   nānavasthādidūṣaṇam HSvs_[7.1]514b	na-anavasTA-Adi-dUzaNam HSvH-_[7.1]514b
   nānākāryasamutpādād HSvs_[4.4]314c	nAnA-kArya-samutpAdAt HSvH-_[4.4]314c
   nānā caikatra tat kutaḥ HSvs_[4.4]313d	nAnA ca-ekatra tat kutas HSvH-_[4.4]313d
   nānātvaṃ vātha sarvathā HSvs_[1.2]34b	nAnAtvam vA-aTa sarvaTA HSvH-_[1.2]34b
   nānātvābādhānācceha HSvs_[4.5]324a	nAnAtva-AbADAnAt-ca-iha HSvH-_[4.5]324a
   nānātve caikam apy adaḥ HSvs_[7.1]534b	nAnAtve ca-ekam api adaH HSvH-_[7.1]534b
   nānātve 'nyasya sā yataḥ HSvs_[1.2]34d	nAnAtve anyasya sA yatas HSvH-_[1.2]34d
   nānā nety atra na pramā HSvs_[7.1]539b	nAnA na-iti atra na pramA HSvH-_[7.1]539b
   nānā yogī vijānātya- HSvs_[7.1]539a	nAnA yogI vijAnAtya HSvH-_[7.1]539a
   nānupādānam anyasya HSvs_[3.2]217a	na-anupAdAnam anyasya HSvH-_[3.2]217a
   nānumānaṃ tathābhūta- HSvs_[5.1]376c	na-anumAnam taTABUta HSvH-_[5.1]376c
   nānumānaṃ na vidyate HSvs_[10.1]593d	na-anumAnam na vidyate HSvH-_[10.1]593d
   nānuvṛttinivṛttibhyāṃ HSvs_[7.1]528a	na-anuvRtti-nivRttiByAm HSvH-_[7.1]528a
   nānyato hy avagamyate HSvs_[10.1]620b	na-anyatas hi avagamyate HSvH-_[10.1]620b
   nānyat tataś ca nāmneha HSvs_[4.3]280c	na-anyat tatas ca nAmnA-iha HSvH-_[4.3]280c
   nānyathā kevalitve 'pi HSvs_[11.2]681c	na-anyaTA kevali-tve api HSvH-_[11.2]681c
   nānyapramāṇasaṃvādāt HSvs_[10.1]611a	na-anya-pramANa-saMvAdAt HSvH-_[10.1]611a
   nānyārthaṃ ceṣṭanaṃ ca tat HSvs_[7.1]506b	na-anya-arTam ca-izwanam ca tat HSvH-_[7.1]506b
   nānyonyavyāptir ekānta- HSvs_[7.1]508a	na-anyonya-vyAptiH ekAnta HSvH-_[7.1]508a
   nāpekṣāsattvataḥ kvacit HSvs_[4.6]358d	na-apekzA-sattvataH kvacid HSvH-_[4.6]358d
   nāpramāṇaṃ yathaiva hi HSvs_[7.1]541b	na-apramANam yaTA-eva hi HSvH-_[7.1]541b
   nāpravṛtter iyaṃ hetuḥ HSvs_[2.1]148a	na-apravRtteH iyam hetuH HSvH-_[2.1]148a
   nābhāvo bhāvatāṃ yāti HSvs_[4.2]248a	na-aBAvaH BAva-tAm yAti HSvH-_[4.2]248a
   nābhāvo bhāvatāṃ yāti HSvs_[4.3]302c	na-aBAvaH BAva-tAm yAti HSvH-_[4.3]302c
   nābhāvo bhāvam āpnoti HSvs_[1.2]77a	na-aBAvaH BAvam Apnoti HSvH-_[1.2]77a
   nābhāvo vidyate sataḥ HSvs_[1.2]76b	na-aBAvaH vidyate sataH HSvH-_[1.2]76b
   nābhedo bhedarahito HSvs_[7.1]515a	nABedaH Beda-rahitaH HSvH-_[7.1]515a
   nābhyāsa evam ādīnām HSvs_[10.1]621a	na-aByAse evam AdInAm HSvH-_[10.1]621a
   nāmūrtatvena yujyate HSvs_[3.2]223b	na-amUrta-tvena yujyate HSvH-_[3.2]223b
   nāmūrtaṃ mūrtatāṃ yāti HSvs_[3.2]234a	na-amUrtam mUrta-tAm yAti HSvH-_[3.2]234a
   nāmnā vināpi tattvena HSvs_[4.3]281a	nAmnA vinA-api tattvena HSvH-_[4.3]281a
   nāyuktaḥ sa kadācana HSvs_[4.6]330d	na-ayuktaH sa kadAcana HSvH-_[4.6]330d
   nārtha ity atra kā pramā HSvs_[10.1]605d	na-arTaH iti atra kA pramA HSvH-_[10.1]605d
   nārthas tadvyatirekeṇa HSvs_[4.1]240c	na-arTaH tad-vyatirekeNa HSvH-_[4.1]240c
   nārthāntaragamo yasmāt HSvs_[6.3]445a	na-arTa-antara-gamaH yasmAt HSvH-_[6.3]445a
   nārthāpattyāpi sarvo 'rthas HSvs_[10.1]583a	na-arTa-ApattyA-api sarvaH arTaH HSvH-_[10.1]583a
   nālpasya tamasaḥ phalam HSvs_[4.7]360d	na-alpasya tamasaH Palam HSvH-_[4.7]360d
   nāvṛtir vyañjakaṃ yataḥ HSvs_[1.2]36d	na-AvRtiH vyaQjakam yatas HSvH-_[1.2]36d
   nāśapakṣe 'pi na kṣatiḥ HSvs_[6.1]431d	nASa-pakze api na kzatiH HSvH-_[6.1]431d
   nāśahetum avāpyaivaṃ HSvs_[6.1]431c	nASa-hetum avApya-evam HSvH-_[6.1]431c
   nāśahetor ayogataḥ HSvs_[4.1]239b	nASa-hetoH ayogataH HSvH-_[4.1]239b
   nāśahetor ayogādi HSvs_[6.1]414c	nASa-hetoH ayoga-Adi HSvH-_[6.1]414c
   nāśahetor ayogitvam HSvs_[6.1]415c	nASa-hetoH ayogi-tvam HSvH-_[6.1]415c
   'nāśitvāgo 'nivāritam HSvs_[4.2]272b	anASi-tvAgaH anivAritam HSvH-_[4.2]272b
   nāśotpādavasaṅgatau HSvs_[4.3]284d	nASa-utpAdava-saFgatO HSvH-_[4.3]284d
   nāśotpādasthitiṣv ayam HSvs_[7.1]478b	nASa-utpAda-sTitizu ayam HSvH-_[7.1]478b
   nāśotpādāvabhede tu HSvs_[4.3]285c	nASa-utpAda-avaBede tu HSvH-_[4.3]285c
   nāśyamāśritya nāśasya HSvs_[6.1]424c	nASyam-ASritya nASasya HSvH-_[6.1]424c
   nāśvamāṣasya sā yataḥ HSvs_[2.2]171d	na-aSva-mAzasya sA yatas HSvH-_[2.2]171d
   nāsataḥ sattvayogena HSvs_[4.3]298c	na-asataH sattva-yogena HSvH-_[4.3]298c
   nāsato bhāvakartṛtvaṃ HSvs_[4.3]296c	na-asataH BAva-kartR-tvam HSvH-_[4.3]296c
   nāsato vidyate bhāvo HSvs_[1.2]76a	na-asataH vidyate BAvaH HSvH-_[1.2]76a
   nāsattvaṃ tadabhāve tu HSvs_[4.3]276c	na-asattvam tad-aBAve tu HSvH-_[4.3]276c
   nāsat sajjāyate jātu HSvs_[6.3]449a	na-asat sat-jAyate jAtu HSvH-_[6.3]449a
   nāsat sat jāyate yasmād HSvs_[6.2]441a	na-asat sat jAyate yasmAt HSvH-_[6.2]441a
   nāsat sat sadasat katham ? HSvs_[4.2]254d	na-asat sat sat-asat kaTam ? HSvH-_[4.2]254d
   nāsat sthūlatvam aṇvādau HSvs_[1.2]46a	na-asat sTUla-tvam aNu-AdO HSvH-_[1.2]46a
   nāsāvaniyatā yataḥ HSvs_[2.2]175d	na-asO=-aniyatA yatas HSvH-_[2.2]175d
   nāsāv ekakṣaṇagrāhi- HSvs_[4.2]263c	na-asO ekakzaNa-grAhi HSvH-_[4.2]263c
   nāsau nyāyyo dalaṃ vinā HSvs_[6.2]440d	na-asO nyAyyaH dalam vinA HSvH-_[6.2]440d
   nāsti kiñcit prayojanam HSvs_[10.1]590d	na-asti kiQcid prayojanam HSvH-_[10.1]590d
   nāsti jñānam avāsitam HSvs_[1.4]104b	na-asti jQAnam avAsitam HSvH-_[1.4]104b
   nāstitve tu tayor dhrauvyaṃ HSvs_[7.1]486c	na-astitve tu tayoH DrOvyam HSvH-_[7.1]486c
   nāsthitir yuktyasaṃgateḥ HSvs_[4.2]251b	na-asTitiH yukti-asaMgateH HSvH-_[4.2]251b
   nāsyaiva prāg asattvataḥ HSvs_[4.3]301b	na-asya-eva prAk asattvataH HSvH-_[4.3]301b
   nāhetorasya bhavanaṃ HSvs_[4.2]256a	na-ahetoH-asya Bavanam HSvH-_[4.2]256a
   nitya iṣṭena bādhyate HSvs_[2.1]143d	nityaH izwena bADyate HSvH-_[2.1]143d
   nityatvam ca śruter iva HSvs_[10.1]594d	nitya-tvam ca SruteH iva HSvH-_[10.1]594d
   nityatvāpauruṣeyatvād HSvs_[10.1]602a	nitya-tva-apOruzeya-tvAt HSvH-_[10.1]602a
   nityam arthakriyābhāvāt HSvs_[6.6]468a	nityam arTa-kriyA-BAvAt HSvH-_[6.6]468a
   nityasyārthakriyāyogo 'py HSvs_[6.4]462a	nityasya-arTa-kriyA-yogaH api HSvH-_[6.4]462a
   nityānityaṃ yato matam HSvs_[7.1]531d	nitya-anityam yatas matam HSvH-_[7.1]531d
   nityānityādi vastunaḥ HSvs_[7.1]542d	nityAn-ityAdi vastunaH HSvH-_[7.1]542d
   nityāyāś ca na sarvathā HSvs_[3.2]228b	nityAyAH ca na sarvaTA HSvH-_[3.2]228b
   nityetaradato nyāyāt HSvs_[6.3]450a	nitya-itara-dataH nyAyAt HSvH-_[6.3]450a
   nityaikayogato vyakti- HSvs_[7.1]536a	nitya-eka-yogataH vyakti HSvH-_[7.1]536a
   nimittakāraṇaṃ jñāne HSvs_[4.4]316c	nimitta-kAraNam jQAne HSvH-_[4.4]316c
   nimittatvān na bādhakam HSvs_[1.2]73d	nimitta-tvAt na bADakam HSvH-_[1.2]73d
   niyatatvād viviktasya HSvs_[7.1]514c	niyata-tvAt viviktasya HSvH-_[7.1]514c
   niyataṃ jāyate nyāyāt HSvs_[2.2]174c	niyatam jAyate nyAyAt HSvH-_[2.2]174c
   niyatānāṃ samānatā HSvs_[2.2]181b	niyatAnAm samAna-tA HSvH-_[2.2]181b
   niyatenaiva rūpeṇa HSvs_[2.2]173a	niyatena-eva rUpeNa HSvH-_[2.2]173a
   niyater niyatātmatvān HSvs_[2.2]181a	niyateH niyata-Atma-tvAn HSvH-_[2.2]181a
   niyatyāder na yujyate HSvs_[2.2]180d	niyati-AdeH na yujyate HSvH-_[2.2]180d
   niyamāt saṃprasajyate HSvs_[7.1]495d	niyamAt saMprasajyate HSvH-_[7.1]495d
   niyamād gamyate yasmāt HSvs_[2.1]141c	niyamAt gamyate yasmAt HSvH-_[2.1]141c
   niyamād vahnisaṃnidhau HSvs_[2.1]127b	niyamAt vahni-saMniDO HSvH-_[2.1]127b
   niyamo 'yaṃ vyavasthitaḥ HSvs_[2.1]120d	niyamaH ayam vyavasTitaH HSvH-_[2.1]120d
   nirarthakam iheśasya HSvs_[3.1]199c	nirarTakam iha-ISasya HSvH-_[3.1]199c
   niraṃśānubhavād api HSvs_[4.2]262b	niraMSa-anuBavAt api HSvH-_[4.2]262b
   nirāsenāvirodhataḥ HSvs_[1.1]29d	nirAsena-aviroDataH HSvH-_[1.1]29d
   nirīhasya mahātmanaḥ HSvs_[10.1]589b	nirIhasya mahAtmanaH HSvH-_[10.1]589b
   nirṇayāt tadgrahe punaḥ HSvs_[10.1]595b	nirNayAt tad-grahe punar HSvH-_[10.1]595b
   nirṇayādiprabhāvataḥ HSvs_[10.2]632b	nirNaya-Adi-praBAvataH HSvH-_[10.2]632b
   nirdiṣṭā na tu tattvataḥ HSvs_[8.1]550d	nirdizwAH na tu tattvataH HSvH-_[8.1]550d
   nirbhidya śubhabhāvena HSvs_[9.1]559c	nirBidya SuBa-BAvena HSvH-_[9.1]559c
   nirvikalpam avidyayā HSvs_[8.1]545b	nirvikalpam avidyayA HSvH-_[8.1]545b
   nivartate ca paryāyo HSvs_[7.1]522a	nivartate ca paryAyaH HSvH-_[7.1]522a
   nivṛttibhedataś caiva HSvs_[4.2]268c	nivRtti-BedataH ca-eva HSvH-_[4.2]268c
   nivṛttir na ca sarvathā HSvs_[9.1]577b	nivRttiH na ca sarvaTA HSvH-_[9.1]577b
   nivṛttis tat tato yataḥ HSvs_[7.1]521b	nivRttiH tat tatas yatas HSvH-_[7.1]521b
   'nivṛttis tatsvarūpavat HSvs_[7.1]522d	anivRttiH tad-svarUpa-vat HSvH-_[7.1]522d
   nivṛttis tasya yujyate HSvs_[9.1]578b	nivRttiH tasya yujyate HSvH-_[9.1]578b
   nivṛttī cintyatāṃ katham HSvs_[7.1]520d	nivRttI cintyatAm kaTam HSvH-_[7.1]520d
   nivṛttyādyanyathā katham HSvs_[7.1]525d	nivRtti-Adi-anyaTA kaTam HSvH-_[7.1]525d
   niścetuṃ pāryate 'nyatra HSvs_[10.1]601c	niScetum pAryate anyatra HSvH-_[10.1]601c
   niṣpannatvād asattvāc ca HSvs_[11.1]656a	nizpanna-tvAt asattvAt ca HSvH-_[11.1]656a
   niḥśeṣaguṇaghātinī HSvs_[1.1]9b	niHSeza-guNa-GAtinI HSvH-_[1.1]9b
   niḥsvabhāvatvatas tasya HSvs_[5.1]392c	niHsvaBAva-tvataH tasya HSvH-_[5.1]392c
   nīlyādivad asau vastu HSvs_[5.2]406c	nIlI-Adi-vat asO vastu HSvH-_[5.2]406c
   netarasyāpi yujyate HSvs_[6.1]433d	na-itarasya-api yujyate HSvH-_[6.1]433d
   nettham indraḥ pratāryate HSvs_[1.5]111d	na-itTam indraH pratAryate HSvH-_[1.5]111d
   netthaṃ bodhānvayābhāve HSvs_[4.6]347a	na-itTam boDa-anvaya-aBAve HSvH-_[4.6]347a
   netthaṃ yuktyopapadyate HSvs_[5.2]413b	na-itTam yuktyA-upapadyate HSvH-_[5.2]413b
   naikakāle kadācana HSvs_[6.1]419d	na-eka-kAle kadAcana HSvH-_[6.1]419d
   naikasyobhayarūpatā HSvs_[7.1]520b	na-ekasya-uBaya-rUpa-tA HSvH-_[7.1]520b
   naikāntagrāhyabhāvaṃ tad HSvs_[5.1]391a	na-ekAnta-grAhya-BAvam tat HSvH-_[5.1]391a
   naiko 'pi yad dvivijñeya HSvs_[4.7]372a	na-ekaH api yat dvi-vijQeyaH HSvH-_[4.7]372a
   naitat kvacid aniścayāt HSvs_[4.2]259d	na-etat kvacid aniScayAt HSvH-_[4.2]259d
   naitat tasyāpy asaṃbhavāt HSvs_[4.5]325b	na-etat tasya-api asaMBavAt HSvH-_[4.5]325b
   naitat tasyaiva tadbhāvam HSvs_[7.1]503c	na-etat tasya-eva tad-BAvam HSvH-_[7.1]503c
   naitad dṛśyavikalpyarthai- HSvs_[11.1]653a	na-etat dRSya-vikalpi-arTE HSvH-_[11.1]653a
   naitan mithyātvasaṃśayāt HSvs_[6.4]460d	na-etat miTyAtva-saMSayAt HSvH-_[6.4]460d
   naivaṃ tvannītito yasmād HSvs_[6.1]429c	na-evam tvad-nItitaH yasmAt HSvH-_[6.1]429c
   naivaṃ dṛṣṭeṣṭabādhā yat HSvs_[1.4]109a	na-evam dRzwa-izwa-bADA yat HSvH-_[1.4]109a
   naivānyaṃ vāsayaty asau HSvs_[4.5]326d	na-eva-anyam vAsayati asO HSvH-_[4.5]326d
   naivāsāv ātmanaḥ pṛthak HSvs_[3.2]219b	na-eva-asO AtmanaH pRTak HSvH-_[3.2]219b
   noktadoṣasamudbhavaḥ HSvs_[3.2]233d	na-ukta-doza-samudBavaH HSvH-_[3.2]233d
   notpattyādes tayor aikyaṃ HSvs_[4.2]268a	na-utpatti-AdeH tayoH Ekyam HSvH-_[4.2]268a
   no bādhakaṃ na caikena HSvs_[4.6]333c	naH bADakam na ca-ekena HSvH-_[4.6]333c
   nyāyato nopapadyate HSvs_[1.2]35b	nyAyataH na-upapadyate HSvH-_[1.2]35b
