   prathamaḥ paricchedaḥ	praTamaH paricCedaH
        Vijñapriyā:	VijQa priyA:
        (vi, la) adhibalākhyamaṅgamāha   anyonyeti /	(vi, la) aDibala AKyam aFgam Aha   anyonya iti /
        asya vajña ityādikaṃ prāga vyākhyātam /	asya vajQaH iti Adikam prAga vyAKyAtam /
        adya pracaṇḍeti /	adya pracaNxa iti /
        adya mama pracaṇḍe bhujadaṇḍe samarpito ya uruḥ kodaṇḍastato	adya mama pracaNxe Buja daNxe samarpitaH yaH uruH kodaNxaH tatas 
   nirgalitānāṃ kāṇḍānāṃ bāṇaānāṃ samūhasya (sahastrasya vā pāṭhabhedāt )	nirgalitAnAm kANxAnAm bANaAnAm samUhasya (sa hastrasya vA pAWa BedAt )
   pātairiyaṃ kṣauṇī kṣaṇena samastadaityakṣatajaiḥ ukṣitā satī piśitāśanānāṃ	pAtEH iyam kzONI kzaNena samasta dEtya kzata jEH ukzitA satI piSita aSanAnAm
   lobhanīya āstāmityanvayaḥ /	loBanIyaH AstAm iti anvayaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   gaṇḍaṃ prastutasaṃbandhi bhinnārthaṃ satvaraṃ vacaḥ // VisSd_6.260 //	gaNxam prastuta saMbanDi Binna arTam sa tvaram vacaH // VisSd _6.260 //
   yathā veṇyām  rājā   	yaTA veNI Am  rAjA   
   adhyāsituṃ tava cirājjaghanasthalasya paryāptameva karabhoru ! mamorugmam	aDyAsitum tava cirAt jaGana sTalasya paryAptam eva karaBa Uru ! mama urugmam
   anantaram (praviśya) kañcukī  deva ! bhagnaṃ bhagnam ityādi /	anantaram (praviSya) kaQcukI  deva ! Bagnam Bagnam  ityAdi /
   atra rathaketanabhaṅgārthaṃ vacanamūrubhaṅgārthe sambandhe sambaddham /	atra raTa ketana BaFga arTam vacanam Uru BaFga arTe sambanDe sambadDam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, va) gaṇḍākhyamaṅgamāha   gaṇḍamiti /	(vi, va) gaNxa AKyam aFgam Aha   gaNxam iti /
        satvareṇoktatvāt satvaraṃ bhinnārthaṃ vaco yat prastutasya	sa tvareNa ukta tvAt sa tvaram Binna arTam vacaH yat prastutasya
   prakrāntasya varṇanaṃ tat sambandhitayā pratīyate ityarthaḥ /	prakrAntasya varNanam tat sambanDi tayA pratIyate iti arTaH /
        rājā duryodhanaḥ /	rAjA duryoDanaH /
        karabhoru iti bhānumatyāḥ sambodhanam /	karaBa Uru iti BAnumatyAH samboDanam /
        jaghanasthalasyādhyāsitum adhyāsanāya ityarthaḥ /	jaGana sTalasya aDyAsitum aDyAsanAya iti arTaH /
        bhāve tumyogāt ṣaṣṭī /	BAve tumyogAt zazwI /
        paryāptaṃ yogyam /	paryAptam yogyam /
        atra prakrāntasya ūrorbhaṅgapratītirityāha   atreti /	atra prakrAntasya UroH BaFga pratItiH iti Aha   atra iti /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vyākhyānaṃ svarasoktasyānyathāvasyanditaṃ bhavet /	vyAKyAnam svarasa uktasya anyaTAvasyanditam Bavet /
   yathā chilitarāme  sītā jāda ! kāllaṃ kkhu aojjhāeṇa gantavvam, tarhi so	yaTA Cilita rAme   sItA a jAdaH ! kAllam kKu aojJAeNa gantavvam, tarhi saH 
   rāā viṇaeṇa paṇayidavvo /	rAAH viNaeNa paNayidavvaH /
   lavaḥ  atha kimāvābhyāṃ rājopajīvibhyāṃ bhavitavyam /	lavaH  aTa kim AvAByAm rAja upajIviByAm Bavitavyam /
   sītā  jāda ! so kkhu tumhāṇaṃ pidā /	sItA a  jAdaH ! saH kKu tumhANam pidA /
   lavaḥ  kimāvayo raghupatiḥ pitā /	lavaH  kim AvayaH raGupatiH pitA /
   sītā  (sāśaṅkam) mā aṇṇadhā saṅkaddham, ṇa kkhu tumhāṇaṃ saalāe jjeva	sItA a  (sa ASaFkam) mA aNNaDA saFkadDam, Na kKu tumhANam saalAe jjeva
   puhavīetti /	puhavIetti /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, śa) avasyanditākhyamaṅgamāha   vyākhyānamiti /	(vi, Sa) avasyandita AKyam aFgam Aha   vyAKyAnam iti /
        svarasoktasya vaktṛbhāvena utkasya śroturasvarasāt yadanyathā	svarasa uktasya vaktR BAvena utkasya SrotuH asvarasAt yat anyaTA
   vyākhyānaṃ tadavasyanditamityarthaḥ /	vyAKyAnam tad avasyanditam iti arTaH /
        jādetyādi lavakuśau prati sītāyā uktiḥ /	jAda ityAdi lava kuSO prati sItAyAH uktiH /
        jāta ! kalyaṃ khalu yuvābhyāmayodhyāyāṃ gantavyam /	jAtaH ! kalyam Kalu yuvAByAm ayoDyAyAm gantavyam /
        tatra sa rājā vinayena praṇamitavyaḥ (iti saṃskṛtam) /	tatra sa rAjA vinayena praNamitavyaH (iti saMskRtam) /
        jādeti /	jAda iti /
        jātaḥ sa khalu yuvayoḥ pitā (iti saṃskṛtam) /	jAtaH sa Kalu yuvayoH pitA (iti saMskRtam) /
        sātaṅkamiti /	sa AtaFkam iti /
        vālmīkineṣedhāt ātaṅkaḥ /	vAlmIkinA izeDAt AtaFkaH /
        mā aṇṇadhā iti, mā anyathā śaṅkethām /	mA aNNaDA iti, mA anyaTA SaFkeTAm /
        na khalu yuvayoḥ kiṃ tu sakalāyā eva pṛthivyā iti (iti saṃskṛtam)	na Kalu yuvayoH kim tu sakalAyAH eva pRTivyAH iti (iti saMskRtam)
   pṛthivyā ityatra pṛthivīsthalokasya ityarthaḥ /	pRTivyAH iti atra pRTivI sTa lokasya iti arTaH /
        atrapiteti janakaparatayā sītayā svarasoktasya labdhāvasyandanāt tayā	atra pitA iti janaka para tayA sItayA svarasa uktasya labDa avasyandanAt tayA
   eva pālakatayā vyākhyānaṃ kṛtam /	eva pAlakatayA vyAKyAnam kRtam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   prahelikaiva hāsyena yuktā bhavati nālikā // VisSd_6.261 //	prahelikA eva hAsyena yuktA Bavati nAlikAH // VisSd _6.261 //
   saṃvaraṇakāryuttaraṃ prahelikā /	saMvaraNa kAri uttaram prahelikA /
   yathā ratnāvalyām   susaṅgatā   sahi jassa kide tumaṃ āadā so ida jjeva	yaTA ratna AvalyAm    su saFga tA   sahi jassa kide tumam AadA saH idaH jjeva
   ciṭṭhadi /	ciwWadi /
   sāgarikā  kassa kide ahaṃ āadā susaṅgatā  ṇaṃ kkhu cittaphalaassa /	sAgarikA  kassa kide aham AadA su saFgatA  Nam kKu citta Palaassa /
   atra tvaṃ rājñaḥ kṛte āgatetyarthaḥ saṃvṛtaḥ /	atra tvam rAjQaH kRte Agata iti arTaH saMvRtaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṣa) nālikākhyamaṅgamāha   praholiketi /	(vi, za) nAlika AKyam aFgam Aha   praholikA iti /
        saṃvaraṇakārīti vyākhyānarūpāṅge 'pi saṃvaraṇarūpasya sattve 'pyatra	saMvaraNa kArI iti vyAKyAna rUpa aFge api saMvaraNa rUpasya sattve api atra
   hāsyayuktatvaṃ viśeṣaḥ /	hAsya yukta tvam viSezaH /
        sahi jasseti   sakhi yasya kṛte tvamāgatā so 'traiva tiṣṭhatīti	sa hi jassA iti     saKi yasya kRte tvam AgatA saH atra eva tizWati iti
   saṃskṛtam /	saMskRtam /
        kasseti /	kassA iti /
        kasya kṛte ahamāgatā (iti saṃskṛtam) ṇaṃ citteti /	kasya kRte aham AgatAH (iti saMskRtam) Nam citta iti /
        nanu citraphalakasya (iti saṃskṛtam)	nanu citraPalakasya (iti saMskRtam)
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   asatpralāpo yadvākyamasaṃbaddhaṃ tathottaram /	asat pralApaH yat vAkyam asaMbadDam taTA uttaram /
   agṛhṇato 'pi mūrkhasya puro yacca hitaṃ vacaḥ // VisSd_6.262 //	agRhNataH api mUrKasya puras yat ca hitam vacaH // VisSd _6.262 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, sa) trividhamasatpralāpākhyamaṅgamāha   asaditi /	(vi, sa) triviDam asat pralApa AKyam aFgamAha   asat iti /
        asambaddhamalīkāroyamāṇārthakaṃ vākyamuttarañca tādṛśamityarthaḥ /	asambadDa malIkAroyamANa arTakam vAkyam uttaraQca tAdRSam iti arTaH /
        tṛtīyamasatpralāpākhyamaṅgamāha   agṛhṇato 'pīti /	tRtIyam asat pralApa AKyam aFgamAha   agRhNataH api iti /
        hitaṃ vaco 'gṛhṇato 'pi mūrkhasyetyanvayaḥ /	hitam vacaH agRhNataH api mUrKasya iti anvayaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatrādyaṃ yathā mama prabhāvatyām  pradyumnaḥ  	tatra Adyam yaTA mama praBAvati Am   pradyumnaH  
   (sahakāravallīmavalokya sānandam) aho kathamihaiva   	(sahakAra vallIm avalokya sa Anandam) aho kaTam iha eva   
   alikulamañjulakeśī parimalabahalā rasāvahā tanvī /	ali kula maQjula keSI parimala bahalA rasa AvahA tanvI /
   kisalayapeśalapāṇiḥ kokilakalabhāṣiṇī priyatam me //	kisalaya peSala pANiH kokila kala BAziNI priyatam me //
   evamasaṃbaddhottare 'pi /	evam asaMbadDa uttare api /
   tṛtīyaṃ yathā  veṇyāṃ duryodhanaṃ prati gāndhārīvākyam /	tRtIyam yaTA  veNyAm duryoDanam prati gAnDArI vAkyam /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ha) alikuleti   cūtalatikāyāṃ prabhāvatībhramādiyamuktiḥ /	(vi, ha) ali kula iti   cUta latikAyAm praBAvatI BramAt iya muktiH /
        iheyaṃ cūtalatiketi /	iha iyam cUta latikA iti /
        kaiva prabhāvatī kīdṛśī ? alikulam eva mañjulāḥ keśaā yasyāstādṛśī,	kA eva praBAvatI kIdRSI ? ali kulam eva maQjulAH keSaAH yasyAH tAdRSI,
   kisalayameva peśalapāṇiryasyāstādṛśī /	kisalayam eva peSala pANiH yasyAH tAdRSI /
        kokilapadamatra tadbhāṣāparam /	kokila padam atra tad BAzA param /
        tathā ca tadbhāṣārūpavibhāṣāvatītyarthaḥ /	taTA ca tad BAzA rUpa viBAzAvatI iti arTaH /
        na tu kokilavadbhāṣaṇaśīlā ityarthaḥ /	na tu kokila vat BAzaNa SIlAH iti arTaH /
        tadābhedabhāṣaṇāt abhedāropānupapatteḥ /	tadA aBeda BAzaNAt aBeda Aropa anupapatteH /
        atra ca āhāryāropābhāvāt na rūpakaṃ kintu vāstavabhramāt	atra ca AhArya Aropa aBAvAt na rUpakam kintu vAstava BramAt
   bhrāntimadalaṅkāra eva /	BrAntimat alaFkAraH eva /
        evamasambaddhottareṣvapīti /	evam asambadDa uttarezu api iti /
        tatra yathā mama   dvijaḥ śākhāyuktastvayi kṛtakathaḥ kokila iti	tatra yaTA mama  dvijaH SAKA yuktaH tvayi kRta kaTaH kokile iti
   tvayākhyeyaṃ mande mayi virahipāte kiyadagham /	tvayA AKyeyam mande mayi virahi pAte kiyat aGam /
        iti praśre vāyormukulapulakā cūtalatikā dhruvaṃ dhṛtvā mauliṃ na	iti praSre vAyoH mukula pulakA cUta latikA Druvam DRtvA mOlim na
   khalu kiyadityuttarayati //	Kalu kiyat iti uttarayati //
        atra hi vātadhūtamaulikāyāṃ cūtalatikāyāṃ mandavayoḥ kati māpapraśre	atra hi vAta DUta mOlikAyAm cUta latikAyAm mandavayoH kati mApapraSre
   maulipūnanena pāpabhāvottarāropaḥ /	mOli pUnanena pApa BAva uttara AropaH /
        vāyoḥ praśraprakāraḥ pūrvārddhārthaḥ /	vAyoH praSraprakAraH pUrva ardDa arTaH /
        pūrvaprāptapāpavyavasthake jane eka praśraucityādityāha   dvija iti /	pUrva prApta pApa vyavasTake jane eka praSrOcityAt iti Aha    dvijaH iti /
        śākhāyuktaviṭapasthito dvijaḥ pakṣī /	SAKA yukta viwapa sTitaH dvijaH pakzI /
        kokila eva drupadāmantrasya ṛṣiḥ kokilanāma vedaśākhāyukto dvijaḥ sa	kokile eva drupada amantrasya RziH kokila nAma veda SAKA yuktaH dvijaH sa
   tvayi kṛtakatha ityatastvayā mande vedarahite idamapyākhyeyam /	tvayi kRta kaTaH iti atas tvayA mande veda rahite idam api AKyeyam /
        virahivadhe kiyat pāpamiti praśraḥ /	virahi vaDe kiyat pApam iti praSraH /
        mandavāyoḥ kāmoddīpakatvena virahihantṛtvāt ayaṃ praśraḥ /	mandavAyoH kAma uddIpaka tvena virahi hantR tvAt ayam praSraH /
        vyavasthākathane harṣotpulakaḥ /	vyavasTA kaTane harza utpulakaH /
        tṛtīyaṃ yathā veṇyāṃ duryodhanaṃ prati gāndhāryā hitavākyam /	tRtIyam yaTA veNyAm duryoDanam prati gAnDAryA hita vAkyam /
        athavā pradīyatāṃ dāśarathaye maithilīti rāvaṇaṃ prati vibhīṣaṇasya	aTavA pradIyatAm dASaraTaye mETilI iti rAvaNam prati viBIzaNasya
   vākyamidamapi bodhyam /	vAkyam idam api boDyam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vyāhāro yatparasyārthe hāsyakṣobhakaraṃ vacaḥ /	vyAhAraH yat parasya arTe hAsya kzoBa karam vacaH /
   yathā mālavikāgnimitra   (lāsyaprayogāvasāne mālavikā nirgantumicchati)	yaTA mAlavikA agnimitra    (lAsya prayoga avasAne mAlavikA nirgantum icCati)
   viḍhūṣakaḥ  mā dāva uvadesamuddhā gamissasi /	viXUzakaH  mA dAvaH uvadesamudDAH gamissasi /
   (ityupakrameṇa) gaṇadāsaḥ  (vidūṣakaṃ prati   ) ārya ! ucyatāṃ yastvayā	(iti upakrameNa) gaNa dAsaH  (vidUzakam prati   ) AryaH ! ucyatAm yaH tvayA
   kramabhedo lakṣitaḥ /	krama BedaH lakzitaH /
   vidūṣakaḥ  paḍhamaṃ bambhaṇapūā bhodi, sā imāe laṅghidā /	vidUzakaH  paXamam bamBaNa pUA Bodi, sA imAe laFGidA /
   (mālavikāsmaryate) ityādinā nāyakasya viśuddhanāyikādarśanaprayuktena	(mAla vikAsmaryate) ityAdinA nAyakasya viSudDa nAyikA darSana prayuktena
   hāsalobhakāriṇa vacasā vyāhāraḥ /	hAsa loBa kAriNa vacasA vyAhAraH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ka) vyāhārarūpakamaṅgamāha   vyāhāra iti /	(vi, ka) vyAhAra rUpakam aFgam Aha    vyAhAraH iti /
        lāsyāvasāne nṛtyasamāptau /	lAsya avasAne nRtya samAptO /
        mā dāva iti /	mA dAvaH iti /
        mā tāvadupadeśamugdhā gamiṣyasīti (saṃskṛtam) /	mA tAvat upadeSa mugDA gamizyasi iti (saMskRtam) /
        upadeśaḥ śāstrepadeśaḥ /	upadeSaH SAstra ipadeSaH /
        tadvisaṃmugdhā tarkaruddhakāriṇī bhūtvā iti śeṣaḥ /	tad visaMmugDA tarka rudDa kAriNI BUtvA iti SezaH /
        paṭhamamiti /	paWamam iti /
        prathamaṃ brāhmaṇapūjā bhavati sā anayā laṅghitā /	praTamam brAhmaNa pUjA Bavati sA anayA laFGitAH /
        (iti saṃ ) /	(iti saM ) /
        atra parasya lājño lābhārthaṃ hāsyakaraṃ vidūṣakasya vākyamāha  	atra parasya lAjQaH lABa arTam hAsya karam vidUzakasya vAkyam Aha  
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   doṣā guṇā guṇā doṣā yatra syurmṛdar(mādaṃ)vaṃ hi tat // VisSd_6.263 //	dozAH guNAH guNAH dozAH yatra syuH mRdA r(mAdaM)vam hi tat // VisSd _6.263 //
   krameṇa yathā   	krameNa yaTA   
   priya ! jīvitatākrauryaṃ niḥsnehatvaṃ kṛtaghnatā /	priyaH ! jIvita tA AkrOryam niHsneha tvam kRtaGna tA /
   bhūyastvaddarśanādeva mamaite guṇatāṃ gatāḥ //	BUyas tvad darSanAt eva mama ete guNa tAm gatAH //
   tasyāstadrūpasaundaryaṃ bhūṣitaṃ yauvanaśriyā /	tasyAH tad rUpa sOndaryam BUzitam yOvana SriyA /
   sukhaikāyatanaṃ jātaṃ duḥkhāyaiva mamādhunā //	suKa eka Ayatanam jAtam duHKAya eva mama aDunA //
   etāni cāṅgani nāṭakādiṣu sambhavantyapi vīthyāmavaśyaṃ vidheyāni	etAni ca aFgani nAwaka Adizu samBavanti api vITyAm avaSyam viDeyAni
   spaṣṭatayā nāṭakādiṣu viniviṣṭānyapīhodāhṛtāni /	spazwa tayA nAwaka Adizu vinivizwAni apIha udAhRtAni /
   vīthīva nānārasānāṃ cātra mālārūpatayā sthitatvādvīthīyam /	vITI iva nAnA rasAnAm ca atra mAlA rUpatayA sTita tvAt vITIyam /
   yathā   mālavikā /	yaTA a   mAlavikA /
   atha prahasanam   	aTa prahasanam   
   bhāṇāvatsandhisacdhyaṅgalāsyāṅgāṅkairvinirmitam /	BANa avat sanDi sacDyaFgala asya aFga aFkEH vinirmitam /
   bhavetprahasanaṃ vṛttaṃ nindyānāṃ kavikalpitam // VisSd_6.264 //	Bavet prahasanam vRttam nindyAnAm kavi kalpitam // VisSd _6.264 //
   atra nārabhaṭī, nāpi viṣkambhakapraveśakau /	atra nAraBawI, na api vizkamBaka praveSakO /
   aṅgī hāsyarasastatra vīthyaṅgānāṃ sthitirna vā // VisSd_6.265 //	aFgI hAsya rasaH tatra vITi aFgAnAm sTitiH na vA // VisSd _6.265 //
   tatra   	tatra   
   tapasvibhagadvipraprabhṛtiṣvatra nāyakaḥ /	tapasvi Bagat vipra praBRtizu atra nAyakaH /
   eko yatra bhaveddhṛṣṭo hāsyaṃ tacchuddhamucyate /	ekaH yatra Bavet hRzwaH hAsyam tat SudDam ucyate /
   yathā kandarpakeliḥ /	yaTA kandarpa keliH /
   āśritya kañcana janaṃ saṃkīrṇamiti tadviduḥ // VisSd_6.266 //	ASritya kaQcana janam saMkIrNam iti tat viduH // VisSd _6.266 //
   yathā   dhūrtacaritam /	yaTA a   DUrta caritam /
   vṛttaṃ bahūnāṃ dhṛṣṭānāṃ saṅkīrṇaṃ kecidūcire /	vRttam bahUnAm DRzwAnAm saFkIrNam kecid Ucire /
   tatpunarbhavati dvyaṅkamathavaikāṅkanirmitam // VisSd_6.267 //	tat punarBavati dvi aFkam aTavA eka aFka nirmitam // VisSd _6.267 //
   yathā  laṭakamelakādiḥ /	yaTA a  lawaka melakA AdiH /
   munistvāha   	muniH tu Aha   
   veśyāceṭanapuṃsakaviṭadhūrtā vandhakī ca yatra syuḥ /	veSyA cewanapuMsaka viwa DUrtA vanDakI ca yatra syuH /
   avikṛtaveṣaparicchaceṣṭitakaraṇaṃ tu saṅkīrṇam //	avikRta veza paricCa cezwita karaNam tu saFkIrNam //
   iti /	iti /
   vikṛtaṃ tu viduryatra ṣaṇḍhakañcukitāpasāḥ /	vikRtam tu viduH yatra zaNXa kaQcuki tApasAH /
   bhujaṅgacāraṇabhaṭaprabhṛterveṣavāgyutāḥ // VisSd_6.268 //	BujaFga cAraNa Bawa praBRteH vezavAc yutAH // VisSd _6.268 //
   idaṃ tu saṅkīrṇenaiva gatārthamiti muninā pṛthaṅnoktam /	idam tu saFkIrNena eva gata arTam iti muninA pRTak na uktam /
   athoparūpakāṇi /	aTa uparUpakANi /
   tatra nāṭikā kḷptavṛttā syāt strīprāyā caturaṅkikā /	tatra nAwikA k?pta vRttA syAt strI prAyA catur aFkikA /
   prakhyāto dhīralalitastatra syānnāyako nṛpaḥ // VisSd_6.269 //	praKyAtaH DIra lalitaH tatra syAt nAyakaH nRpaH // VisSd _6.269 //
   syādantaḥ purasambaddhā saṅgītavyāpṛtāthavā /	syAt antar pura sambadDA saFgIta vya apRtA aTavA /
   navānurāgā kanyātra nāyikā nṛpavaṃśajā // VisSd_6.270 //	nava anurAgA kanyA atra nAyikA nRpa vaMSa jAH // VisSd _6.270 //
   sampravarteta netāsyāṃ devyāstrāsena śaṅkitaḥ /	sampravarteta netA asyAm devyAH trAsena SaFkitaH /
   devo bhavetpunarjyeṣṭhā pragalbhā nṛpavaṃśajā // VisSd_6.271 //	devaH Bavet punar jyezWA pragalBA nRpa vaMSa jAH // VisSd _6.271 //
   pade pade mānavatī tadvaśaḥ saṅgamo dvayoḥ /	pade pade mAnavatI tad vaSaH saFgamaH dvayoH /
   vṛttiḥ syātkauśikī svalpavimarśāḥ sandhayaḥ punaḥ // VisSd_6.272 //	vRttiH syAt kOSikI su alpa vimarSAH sanDayaH punar // VisSd _6.272 //
   dvayornāyikānāyakayoḥ /	dvayoH nAyikA nAyakayoH /
   yathā  ratnāvalī   viddhaśālabhañjikādiḥ /	yaTA  ratna AvalI   vidDa SAlaBaQjikA AdiH /
   atha troṭakam 	aTa trowakam 
   saptāṣṭanavapañcāṅkaṃ divyamānuṣasaṃśrayam /	sapta azwa nava paQcAFkam divya mAnuza saMSrayam /
   troṭakaṃ nāma tatprāhuḥ pratyaṅkaṃ savidūṣakam // VisSd_6.273 //	trowakam nAma tad prAhuH pratyaFkam sa vidUzakam // VisSd _6.273 //
   pratyaṅkasavidūṣakatvādatra śṛṅgāro 'ṅgī /	pratyaFkasa vidUzaka tvAt atra SRFgAraH aFgI /
   saptāṅkaṃ yathā  stambhitarambham /	sapta aFkam yaTA  stamBita ramBam /
   pañcāṅkaṃ yathā  vikramorvaśī /	paQcAFkam yaTA  vikrama urvaSI /
   atha goṣṭhī   	aTa gozWI   
   prākṛtairnavabhaiḥ puṃbhirdaśabhirvāpyalaṃkṛtā /	prAkRtEH navaBEH puMBiH daSaBiH vA api alaMkRtA /
   nodāttavacanā goṣṭhī kauśikīvṛttiśālinī // VisSd_6.274 //	na udAtta vacanA gozWI kOSikI vRtti SAlinI // VisSd _6.274 //
   hīnā garbhavimarśābhyāṃ pañcaṣaḍyoṣidanvitā /	hInA garBa vimarSAByAm paQca zaz yozit anvitA /
   kāmaśṛṅgārasaṃyuktā syādekāṅkavinirmitā // VisSd_6.275 //	kAma SRFgAra saMyuktA syAt eka aFka vinirmitAH // VisSd _6.275 //
   yathā   raivatamadanikā /	yaTA a   rEvata madanikA /
   atha saṭṭakam  	aTa sawwakam  
   saṭṭakaṃ prākṛtāśeṣapāṭhyaṃ syādapraveśakam /	sawwakam prAkRta aSeza pAWyam syAt apraveSakam /
   na ca viṣkambhako 'pyatra pracuraścādbhuto rasaḥ // VisSd_6.276 //	na ca vizkamBakaH api atra pracuraH ca adButaH rasaH // VisSd _6.276 //
   aṅkā javanikākhyāḥ syuḥ syādanyannāṭikāsamam /	aFkAH javanika AKyAH syuH syAt anyat nAwikA samam /
   yathā   karpūramañjarī /	yaTA a   karpUra maQjarI /
   atha nāṭyarāsakam   	aTa nAwya rAsa kam   
   nāṭyarāsakamekāṅkaṃ bahutālalayasthiti // VisSd_6.277 //	nAwya rAsakam eka aFkam bahu tAla laya sTiti // VisSd _6.277 //
   udāttanāyakaṃ tadvatpīṭhamardepanāyakam /	udAtta nAyakam tadvat pIWa mardepa nAyakam /
   hāsyo 'ṅgyatra saśṛṅgāro nārī vāsakasajjikā // VisSd_6.278 //	hAsyaH aFgyatra sa SRFgAraH nArI vAsaka sajjikA // VisSd _6.278 //
   mukhanirvahaṇe sandhaī lāsyāṅgāni daśāpi ca /	muKa nirvahaNe sanDaI lAsya aFgAni daSA api ca /
   kecitpratimukhaṃ sandhaimiha necchanti kevalam // VisSd_6.279 //	kecid pratimuKam sanDEm iha na icCanti kevalam // VisSd _6.279 //
   Locanā:	LocanA:
   (lo, i) tālaḥ cañcupuṭādiḥ /	(lo, i) tAlaH caQcu puwa AdiH /
   pīṭhamardde 'traivoktaprakāraḥ /	pIWa mardde atra eva ukta prakAraH /
   gītaṃ bharatadi prasiddham /	gItam Barata di prasidDam /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra sandhaidvayavatī yathā  narmavatī /	tatra sanDA edvayavatI yaTA  narmavatI /
   sandhaicatuṣṭayavatī yathā  vilāsavatī /	sanDA ecatuzwayavatI yaTA  vilAsavatI /
   atha prasthānakam  	aTa prasTAnakam  
   prasthāne nāmako dāso hīnaḥ syādupanāyakaḥ /	prasTAne nAmakaH dAsaH hInaH syAt upanAyakaH /
   dāsī ca nāyikā vṛttiḥ kauśikī bhāratī tathā // VisSd_6.280 //	dAsI ca nAyikA vRttiH kOSikI BAratI taTA // VisSd _6.280 //
   surāpānasamāyogāduddiṣṭārthasya saṃhṛtiḥ /	surA pAna samAyogAt uddizwa arTasya saMhRtiH /
   aṅkau dvau layatālādirvilāso bahulastathā // VisSd_6.281 //	aFkO dvO laya tAlAdiH vilAsaH bahulaH taTA // VisSd _6.281 //
   yathā   śṛṅgāratilakam /	yaTA   SRFgAra tilakam /
   athollāpyam   	aTa ullApyam   
   udāttanāyakaṃ divyavṛttamekāṅkabhūṣitam /	udAtta nAyakam divya vRttam eka aFka BUzitam /
   śilpakāṅgairyutaṃ hāsyaśṛṅgārakaruṇai rasaiḥ // VisSd_6.282 //	Silpaka aFgEH yutam hAsya SRFgAra karuNEH rasEH // VisSd _6.282 //
   ullāpyaṃ bahusaṃgrāmamastragītamanoharam /	ullApyam bahu saMgrAmam astra gIta manoharam /
   catastro nāyikāstatra trayo 'ṅkā iti kecana // VisSd_6.283 //	catastraH nAyikAH tatra trayaH aFkAH iti kecana // VisSd _6.283 //
   śilpakāṅgāni vakṣyamāṇāni /	Silpaka aFgAni vakzyamANAni /
   yathā  devīmahādevam /	yaTA  devI mahAdevam /
   atha kāvyam   	aTa kAvyam   
   kāvyamārabhaṭīhīnamekāṅgaṃhāsyasaṃkulam /	kAvya mAra BawI hInam eka aFgaMhAsya saMkulam /
   khaṇḍamātrādvipadikābhagnatālairalaṃkṛtam // VisSd_6.284 //	KaNxa mAtrAt vipadikA Bagna tAlEH alaMkRtam // VisSd _6.284 //
   Locanā:	LocanA:
   (lo, ī) khaṇḍamātrādaya ākareṣu boddhavyāḥ /	(lo, I) KaNxa mAtra AdayaH Akarezu bodDavyAH /
   ādau mukhapratimukhe /	AdO muKa pratimuKe /
   antimo nirvahaṇam /	antimaH nirvahaNam /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   varṇamātrāchaḍḍaṇikāyutaṃ śṛṅgārabhāṣitam /	varNa mAtrA CaxxaNikA yutam SRFgAra BAzitam /
   netā strī cāpyudāttātra sandhī ādyo tathāntimaḥ // VisSd_6.285 //	netA strI ca api udAttA atra sanDI AdyaH taTA antimaH // VisSd _6.285 //
   yathā   yādavodayam /	yaTA   yAdava udayam /
   atha preṅkhaṇam   	aTa preFKaNam   
   garbhāvamarśarahitaṃ preṅkhaṇaṃ hīnanāyakam /	garBa avamarSa rahitam preFKaNam hIna nAyakam /
   asūtradhāramekāṅkamaviṣkambhapraveśakam // VisSd_6.286 //	asUtra DAram eka aFkam avizkamBa praveSakam // VisSd _6.286 //
   niyuddhasampheṭayutaṃ sarvavṛttisamāśritam /	niyudDa samPewa yutam sarva vRtti samASritam /
   Locanā:	LocanA:
   (lo, u) niyuddhaṃ bāhuyuddham /	(lo, u) niyudDam bAhu yudDam /
   sampheṭo roṣabhāṣaṇam /	samPewaH roza BAzaNam /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nepathye gīyate nāndī tathā tatra prarocanā // VisSd_6.287 //	nepaTye gIyate nAndI taTA tatra prarocanAH // VisSd _6.287 //
