   BhP_04.01.001/0 maitreya uvāca	Bhu-_04.01.001/0 mEtreyaH uvAca
   BhP_04.13.042/1 taṃ vicakṣya khalaṃ putraṃ śāsanair vividhair nṛpaḥ	Bhu-_04.13.042/1 tam vicakzya Kalam putram SAsanEH viviDEH nRpaH
   BhP_04.13.042/2 yadā na śāsituṃ kalpo bhṛśam āsīt sudurmanāḥ	Bhu-_04.13.042/2 yadA na SAsitum kalpaH BRSam AsIt su-durmanAH
   BhP_04.13.043/1 prāyeṇābhyarcito devo ye 'prajā gṛha-medhinaḥ	Bhu-_04.13.043/1 prAyeNa-aByarcitaH devaH ye aprajAH gRha-meDinaH
   BhP_04.13.043/2 kad-apatya-bhṛtaṃ duḥkhaṃ ye na vindanti durbharam	Bhu-_04.13.043/2 kad-apati-a-BRtam duHKam ye na vindanti durBaram
   BhP_04.13.044/1 yataḥ pāpīyasī kīrtir adharmaś ca mahān nṛṇām	Bhu-_04.13.044/1 yatas pApIyasI kIrtiH aDarmaH ca mahAn nRNAm
   BhP_04.13.044/2 yato virodhaḥ sarveṣāṃ yata ādhir anantakaḥ	Bhu-_04.13.044/2 yatas viroDaH sarvezAm yatas ADiH anantakaH
   BhP_04.13.045/1 kas taṃ prajāpadeśaṃ vai moha-bandhanam ātmanaḥ	BhP_04.13.045/1 kaH tam prajApadeSam vE moha--banDanam AtmanaH
   BhP_04.13.045/2 paṇḍito bahu manyeta yad-arthāḥ kleśadā gṛhāḥ	Bhu-_04.13.045/2 paNxitaH bahu manyeta yat--arTAH kleSa-dAH gRhAH
   BhP_04.13.046/1 kad-apatyaṃ varaṃ manye sad-apatyāc chucāṃ padāt	Bhu-_04.13.046/1 kad-apatyam varam manye sat--apatyAt SucAm padAt-
   BhP_04.13.046/2 nirvidyeta gṛhān martyo yat-kleśa-nivahā gṛhāḥ	BhP_04.13.046/2 nirvidyeta gRhAt martyaH yat--kleSa--nivahAH gRhAH
   BhP_04.13.047/1 evaṃ sa nirviṇṇa-manā nṛpo gṛhān niśītha utthāya	Bhu-_04.13.047/1 evam sa nirviNNa-manAH nRpaH gRhAt niSITe utTAya
   mahodayodayāt	mahA-udaya-udayAt
   BhP_04.13.047/2 alabdha-nidro 'nupalakṣito nṛbhir hitvā gato vena-suvaṃ	Bhu-_04.13.047/2 alabDa--nidraH anupalakzitaH nRBiH hitvA gataH vena--suvam
   prasuptām	prasuptAm
   BhP_04.13.048/1 vijñāya nirvidya gataṃ patiṃ prajāḥ	Bhu-_04.13.048/1 vijQAya nirvidya gatam patim prajAH
   purohitāmātya-suhṛd-gaṇādayaḥ	purohita-amAtya--suhRd--gaNa-AdayaH
   BhP_04.13.048/2 vicikyur urvyām atiśoka-kātarā yathā nigūḍhaṃ puruṣaṃ	Bhu-_04.13.048/2 vicikyuH urvyAm ati-Soka-kAtarAH yaTA nigUXam puruzam
   kuyoginaḥ	ku-yoginaH
   BhP_04.13.049/1 alakṣayantaḥ padavīṃ prajāpater hatodyamāḥ pratyupasṛtya	Bhu-_04.13.049/1 alakzayantaH padavIm prajApateH hata-udyamAH pratyupasRtya
   te purīm	te purIm
   BhP_04.13.049/2 ṛṣīn sametān abhivandya sāśravo nyavedayan paurava	Bhu-_04.13.049/2 RzIn sametAn aBivandya sa-ASravaH nyavedayan pOrava
   bhartṛ-viplavam	BartR-viplavam
   BhP_04.14.001/0 maitreya uvāca	Bhu-_04.14.001/0 mEtreyaH uvAca
   BhP_04.14.001/1 bhṛgv-ādayas te munayo lokānāṃ kṣema-darśinaḥ	Bhu-_04.14.001/1 BRgu--AdayaH te munayaH lokAnAm kzema--darSinaH
   BhP_04.14.001/2 goptary asati vai nṝṇāṃ paśyantaḥ paśu-sāmyatām	Bhu-_04.14.001/2 goptari asati vE nLNAm paSyantaH paSu--sAmya-tAm
   BhP_04.14.002/1 vīra-mātaram āhūya sunīthāṃ brahma-vādinaḥ	Bhu-_04.14.002/1 vIra--mAtaram AhUya sunITAm brahma--vAdinaH
   BhP_04.14.002/2 prakṛty-asammataṃ venam abhyaṣiñcan patiṃ bhuvaḥ	Bhu-_04.14.002/2 prakRti--asammatam venam aByaziQcan patim BuvaH
   BhP_04.14.003/1 śrutvā nṛpāsana-gataṃ venam atyugra-śāsanam	Bhu-_04.14.003/1 SrutvA nRpAsana--gatam venam ati-ugra-SAsanam
   BhP_04.14.003/2 nililyur dasyavaḥ sadyaḥ sarpa-trastā ivākhavaḥ	Bhu-_04.14.003/2 nililyuH dasyavaH sadyas sarpa-trastAH iva-AKavaH
   BhP_04.14.004/1 sa ārūḍha-nṛpa-sthāna unnaddho 'ṣṭa-vibhūtibhiḥ	Bhu-_04.14.004/1 saH ArUXa--nRpa-sTAnaH unnadDaH azwa--viBUtiBiH
   BhP_04.14.004/2 avamene mahā-bhāgān stabdhaḥ sambhāvitaḥ svataḥ	Bhu-_04.14.004/2 avamene mahA-BAgAn stabDaH samBAvitaH svatas-
   BhP_04.14.005/1 evaṃ madāndha utsikto niraṅkuśa iva dvipaḥ	Bhu-_04.14.005/1 evam mada-anDaH utsiktaH niraFkuSaH iva dvipaH
   BhP_04.14.005/2 paryaṭan ratham āsthāya kampayann iva rodasī	Bhu-_04.14.005/2 paryawan raTam AsTAya kampayan iva rodasI
   BhP_04.14.006/1 na yaṣṭavyaṃ na dātavyaṃ na hotavyaṃ dvijāḥ kvacit	Bhu-_04.14.006/1 na yazwavyam na dAtavyam na hotavyam dvijAH kvacid-
   BhP_04.14.006/2 iti nyavārayad dharmaṃ bherī-ghoṣeṇa sarvaśaḥ	Bhu-_04.14.006/2 iti nyavArayat Darmam BerI--GozeNa sarvaSas-
   BhP_04.14.007/1 venasyāvekṣya munayo durvṛttasya viceṣṭitam	Bhu-_04.14.007/1 venasya-avekzya munayaH durvRttasya vicezwitam
   BhP_04.14.007/2 vimṛśya loka-vyasanaṃ kṛpayocuḥ sma satriṇaḥ	Bhu-_04.14.007/2 vimRSya loka--vyasanam kRpayA-UcuH sma satriNaH
   BhP_04.14.008/1 aho ubhayataḥ prāptaṃ lokasya vyasanaṃ mahat	Bhu-_04.14.008/1 aho uBayatas prAptam lokasya vyasanam mahat-
   BhP_04.14.008/2 dāruṇy ubhayato dīpte iva taskara-pālayoḥ	Bhu-_04.14.008/2 dAruNi uBayatas dIpte iva taskara-pAlayoH
   BhP_04.14.009/1 arājaka-bhayād eṣa kṛto rājātad-arhaṇaḥ	Bhu-_04.14.009/1 arAjaka-BayAt eza kRtaH rAjA-atad-arhaNaH
   BhP_04.14.009/2 tato 'py āsīd bhayaṃ tv adya kathaṃ syāt svasti dehinām	Bhu-_04.14.009/2 tatas api AsIt Bayam tu adya kaTam syAt svasti dehinAm
   BhP_04.14.010/1 aher iva payaḥ-poṣaḥ poṣakasyāpy anartha-bhṛt	Bhu-_04.14.010/1 aheH iva payaH-pozaH pozakasya-api anarTa-BRt-
   BhP_04.14.010/2 venaḥ prakṛtyaiva khalaḥ sunīthā-garbha-sambhavaḥ	Bhu-_04.14.010/2 venaH prakRtyA-eva KalaH sunITA-garBa-samBavaH
   BhP_04.14.011/1 nirūpitaḥ prajā-pālaḥ sa jighāṃsati vai prajāḥ	Bhu-_04.14.011/1 nirUpitaH prajA-a-pAlaH sa jiGAMsati vE prajAH
   BhP_04.14.011/2 tathāpi sāntvayemāmuṃ nāsmāṃs tat-pātakaṃ spṛśet	Bhu-_04.14.011/2 taTA-api sAntvayema-amum na-asmAn tat-pAtakam spRSet-
   BhP_04.14.012/1 tad-vidvadbhir asad-vṛtto veno 'smābhiḥ kṛto nṛpaḥ	Bhu-_04.14.012/1 tad--vidvadBiH asat--vRttaH venaH asmABiH kRtaH nRpaH
   BhP_04.14.012/2 sāntvito yadi no vācaṃ na grahīṣyaty adharma-kṛt	Bhu-_04.14.012/2 sAntvitaH yadi naH vAcam na grahIzyati aDarma-kRt-
   BhP_04.14.013/1 loka-dhikkāra-sandagdhaṃ dahiṣyāmaḥ sva-tejasā	Bhu-_04.14.013/1 loka-DikkAra--sandagDam dahizyAmaH sva--tejasA
   BhP_04.14.013/2 evam adhyavasāyainaṃ munayo gūḍha-manyavaḥ	Bhu-_04.14.013/2 evam aDyavasAya-enam munayaH gUXa-manyavaH
   BhP_04.14.013/3 upavrajyābruvan venaṃ sāntvayitvā ca sāmabhiḥ	Bhu-_04.14.013/3 upavrajya-abruvan venam sAntvayitvA ca sAmaBiH
   BhP_04.14.014/0 munaya ūcuḥ	Bhu-_04.14.014/0 munayaH UcuH
   BhP_04.14.014/1 nṛpa-varya nibodhaitad yat te vijñāpayāma bhoḥ	Bhu-_04.14.014/1 nRpa-varya niboDa-etat yat te vijQApayAma BoH
   BhP_04.14.014/2 āyuḥ-śrī-bala-kīrtīnāṃ tava tāta vivardhanam	Bhu-_04.14.014/2 AyuH-SrI--bala--kIrtInAm tava tAta vivarDanam
   BhP_04.14.015/1 dharma ācaritaḥ puṃsāṃ vāṅ-manaḥ-kāya-buddhibhiḥ	Bhu-_04.14.015/1 DarmaH AcaritaH puMsAm vAc--manaH--kAya--budDiBiH
   BhP_04.14.015/2 lokān viśokān vitaraty athānantyam asaṅginām	Bhu-_04.14.015/2 lokAn viSokAn vitarati aTa-Anantyam asaFginAm
   BhP_04.14.016/1 sa te mā vinaśed vīra prajānāṃ kṣema-lakṣaṇaḥ	Bhu-_04.14.016/1 sa te mA vinaSet vIra prajAnAm kzema--lakzaNaH
   BhP_04.14.016/2 yasmin vinaṣṭe nṛpatir aiśvaryād avarohati	Bhu-_04.14.016/2 yasmin vinazwe nRpatiH ESvaryAt avarohati
   BhP_04.14.017/1 rājann asādhv-amātyebhyaś corādibhyaḥ prajā nṛpaḥ	Bhu-_04.14.017/1 rAjan asADv-a-mAtyeByaH cora-AdiByaH prajAH nRpaH
   BhP_04.14.017/2 rakṣan yathā baliṃ gṛhṇann iha pretya ca modate	Bhu-_04.14.017/2 rakzan yaTA balim gRhNan iha pretya ca modate
   BhP_04.14.018/1 yasya rāṣṭre pure caiva bhagavān yajña-pūruṣaḥ	Bhu-_04.14.018/1 yasya rAzwre pure ca-eva BagavAn yajQa--pUruzaH
   BhP_04.14.018/2 ijyate svena dharmeṇa janair varṇāśramānvitaiḥ	Bhu-_04.14.018/2 ijyate svena DarmeNa janEH varNa-ASrama-anvitEH
   BhP_04.14.019/1 tasya rājño mahā-bhāga bhagavān bhūta-bhāvanaḥ	Bhu-_04.14.019/1 tasya rAjQaH mahA-BAga BagavAn BUta-BAvanaH
   BhP_04.14.019/2 parituṣyati viśvātmā tiṣṭhato nija-śāsane	Bhu-_04.14.019/2 parituzyati viSvAtmA tizWataH nija--SAsane
   BhP_04.14.020/1 tasmiṃs tuṣṭe kim aprāpyaṃjagatām īśvareśvare	Bhu-_04.14.020/1 tasmin tuzwe kim aprApi-aMjagatAm ISvara-ISvare
   BhP_04.14.020/2 lokāḥ sapālā hy etasmai haranti balim ādṛtāḥ	Bhu-_04.14.020/2 lokAH sa-pAlAH hi etasmE haranti balim AdRtAH
   BhP_04.14.021/1 taṃ sarva-lokāmara-yajña-saṅgrahaṃ trayīmayaṃ dravyamayaṃ	Bhu-_04.14.021/1 tam sarva-loka-amara-yajQa--saFgraham trayI-mayam dravya-mayam
   tapomayam	tapaH-mayam
   BhP_04.14.021/2 yajñair vicitrair yajato bhavāya te rājan sva-deśān	Bhu-_04.14.021/2 yajQEH vicitrEH yajataH BavAya te rAjan sva--deSAn
   anuroddhum arhasi	anurodDum arhasi
   BhP_04.14.022/1 yajñena yuṣmad-viṣaye dvijātibhir vitāyamānena surāḥ kalā	Bhu-_04.14.022/1 yajQena yuzmad--vizaye dvijAtiBiH vitAyamAnena surAH kalA
   hareḥ	hareH
   BhP_04.14.022/2 sviṣṭāḥ sutuṣṭāḥ pradiśanti vāñchitaṃ tad-dhelanaṃ nārhasi	Bhu-_04.14.022/2 su-izwAH su-tuzwAH pradiSanti vAQCitam tat--Delanam na-arhasi
   vīra ceṣṭitum	vIra cezwitum
   BhP_04.14.023/0 vena uvāca	Bhu-_04.14.023/0 venaH uvAca
   BhP_04.14.023/1 bāliśā bata yūyaṃ vā adharme dharma-māninaḥ	Bhu-_04.14.023/1 bAliSAH bata yUyam vE aDarme Darma--mAninaH
   BhP_04.14.023/2 ye vṛttidaṃ patiṃ hitvā jāraṃ patim upāsate	Bhu-_04.14.023/2 ye vRtti-dam patim hitvA jAram patim upAsate
   BhP_04.14.024/1 avajānanty amī mūḍhā nṛpa-rūpiṇam īśvaram	Bhu-_04.14.024/1 avajAnanti amI mUXAH nRpa--rUpiNam ISvaram
   BhP_04.14.024/2 nānuvindanti te bhadram iha loke paratra ca	Bhu-_04.14.024/2 na-anuvindanti te Badram iha loke paratra ca
   BhP_04.14.025/1 ko yajña-puruṣo nāma yatra vo bhaktir īdṛśī	BhP_04.14.025/1 kaH yajQa-puruzaH nAma yatra vaH BaktiH IdRSI
   BhP_04.14.025/2 bhartṛ-sneha-vidūrāṇāṃ yathā jāre kuyoṣitām	Bhu-_04.14.025/2 BartR-sneha--vidUrANAm yaTA jAre ku-yozitAm
   BhP_04.14.026/1 viṣṇur viriñco giriśa indro vāyur yamo raviḥ	Bhu-_04.14.026/1 vizNuH viriQcaH giriSaH indraH vAyuH yamaH raviH
   BhP_04.14.026/2 parjanyo dhanadaḥ somaḥ kṣitir agnir apāmpatiḥ	Bhu-_04.14.026/2 parjanyaH DanadaH somaH kzitiH agniH apAmpatiH
   BhP_04.14.027/1 ete cānye ca vibudhāḥ prabhavo vara-śāpayoḥ	Bhu-_04.14.027/1 ete ca-anye ca vibuDAH praBavaH vara--SApayoH
   BhP_04.14.027/2 dehe bhavanti nṛpateḥ sarva-devamayo nṛpaḥ	Bhu-_04.14.027/2 dehe Bavanti nRpateH sarva-deva-mayaH nRpaH
   BhP_04.14.028/1 tasmān māṃ karmabhir viprā yajadhvaṃ gata-matsarāḥ	Bhu-_04.14.028/1 tasmAt mAm karmaBiH viprAH yajaDvam gata-matsarAH
   BhP_04.14.028/2 baliṃ ca mahyaṃ harata matto 'nyaḥ ko 'gra-bhuk pumān	BhP_04.14.028/2 balim ca mahyam harata mattaH anyaH kaH agra-Buj pumAn
   BhP_04.14.029/0 maitreya uvāca	Bhu-_04.14.029/0 mEtreyaH uvAca
   BhP_04.14.029/1 itthaṃ viparyaya-matiḥ pāpīyān utpathaṃ gataḥ	Bhu-_04.14.029/1 itTam viparyaya-matiH pApIyAn utpaTam gataH
   BhP_04.14.029/2 anunīyamānas tad-yācñāṃ na cakre bhraṣṭa-maṅgalaḥ	Bhu-_04.14.029/2 anunIyamAnaH tat--yAcQAm na cakre Brazwa--maFgalaH
   BhP_04.14.030/1 iti te 'sat-kṛtās tena dvijāḥ paṇḍita-māninā	Bhu-_04.14.030/1 iti te asat--kRtAH tena dvijAH paNxita-mAninA
   BhP_04.14.030/2 bhagnāyāṃ bhavya-yācñāyāṃ tasmai vidura cukrudhuḥ	BhP_04.14.030/2 BagnAyAm Bavya-yAcQAyAm tasmE vidura cukruDuH
   BhP_04.14.031/1 hanyatāṃ hanyatām eṣa pāpaḥ prakṛti-dāruṇaḥ	Bhu-_04.14.031/1 hanyatAm hanyatAm eza pApaH prakRti-dAruNaH
   BhP_04.14.031/2 jīvan jagad asāv āśu kurute bhasmasād dhruvam	Bhu-_04.14.031/2 jIvan jagat asO ASu kurute BasmasAt Druvam
   BhP_04.14.032/1 nāyam arhaty asad-vṛtto naradeva-varāsanam	Bhu-_04.14.032/1 na-ayam arhati asat--vRttaH naradeva--varAsanam
   BhP_04.14.032/2 yo 'dhiyajña-patiṃ viṣṇuṃ vinindaty anapatrapaḥ	Bhu-_04.14.032/2 yaH aDiyajQa--patim vizNum vinindati anapatrapaH
   BhP_04.14.033/1 ko vainaṃ paricakṣīta venam ekam ṛte 'śubham	Bhu-_04.14.033/1 kaH vA-enam paricakzIta venam ekam Rte aSuBam
   BhP_04.14.033/2 prāpta īdṛśam aiśvaryaṃ yad-anugraha-bhājanaḥ	Bhu-_04.14.033/2 prAptaH IdRSam ESvaryam yat--anugraha--BAjanaH
   BhP_04.14.034/1 itthaṃ vyavasitā hantum ṛṣayo rūḍha-manyavaḥ	Bhu-_04.14.034/1 itTam vyavasitAH hantum RzayaH rUXa-manyavaH
   BhP_04.14.034/2 nijaghnur huṅkṛtair venaṃ hatam acyuta-nindayā	BhP_04.14.034/2 nijaGnuH huFkRtEH venam hatam acyuta-nindayA
   BhP_04.14.035/1 ṛṣibhiḥ svāśrama-padaṃ gate putra-kalevaram	Bhu-_04.14.035/1 RziBiH sva-ASrama--padam gate putra--kalevaram
   BhP_04.14.035/2 sunīthā pālayām āsa vidyā-yogena śocatī	Bhu-_04.14.035/2 sunITA pAlayAm Asa vidyA-yogena SocatI
   BhP_04.14.036/1 ekadā munayas te tu sarasvat-salilāplutāḥ	Bhu-_04.14.036/1 ekadA munayaH te tu sarasvat--salila-AplutAH
   BhP_04.14.036/2 hutvāgnīn sat-kathāś cakrur upaviṣṭāḥ sarit-taṭe	Bhu-_04.14.036/2 hutvA-agnIn sat-kaTAH cakruH upavizwAH sarit--tawe
   BhP_04.14.037/1 vīkṣyotthitāṃs tadotpātān āhur loka-bhayaṅkarān	Bhu-_04.14.037/1 vIkzya-utTitAn tadA-utpAtAn AhuH loka--BayaFkarAn
   BhP_04.14.037/2 apy abhadram anāthāyā dasyubhyo na bhaved bhuvaḥ	Bhu-_04.14.037/2 api aBadram anATAyAH dasyuByaH na Bavet BuvaH
   BhP_04.14.038/1 evaṃ mṛśanta ṛṣayo dhāvatāṃ sarvato-diśam	Bhu-_04.14.038/1 evam mRSantaH RzayaH DAvatAm sarvato-diSam
   BhP_04.14.038/2 pāṃsuḥ samutthito bhūriś corāṇām abhilumpatām	Bhu-_04.14.038/2 pAMsuH samutTitaH BUriH corANAm aBilumpatAm
   BhP_04.14.039/1 tad upadravam ājñāya lokasya vasu lumpatām	Bhu-_04.14.039/1 tat upadravam AjQAya lokasya vasu lumpatAm
   BhP_04.14.039/2 bhartary uparate tasminn anyonyaṃ ca jighāṃsatām	Bhu-_04.14.039/2 Bartari uparate tasmin anyonyam ca jiGAMsatAm
   BhP_04.14.040/1 cora-prāyaṃ jana-padaṃ hīna-sattvam arājakam	Bhu-_04.14.040/1 cora--prAyam jana-padam hIna--sattvam arAjakam
   BhP_04.14.040/2 lokān nāvārayañ chaktā api tad-doṣa-darśinaḥ	Bhu-_04.14.040/2 lokAn na-avArayan CaktAH api tad--doza--darSinaH
   BhP_04.14.041/1 brāhmaṇaḥ sama-dṛk śānto dīnānāṃ samupekṣakaḥ	Bhu-_04.14.041/1 brAhmaNaH sama-dRS SAntaH dInAnAm samupekzakaH
   BhP_04.14.041/2 sravate brahma tasyāpi bhinna-bhāṇḍāt payo yathā	Bhu-_04.14.041/2 sravate brahma tasya-api Binna--BANxAt payaH yaTA
   BhP_04.14.042/1 nāṅgasya vaṃśo rājarṣer eṣa saṃsthātum arhati	Bhu-_04.14.042/1 na-aFgasya vaMSaH rAjarzeH eza saMsTAtum arhati
   BhP_04.14.042/2 amogha-vīryā hi nṛpā vaṃśe 'smin keśavāśrayāḥ	Bhu-_04.14.042/2 amoGa-vIryAH hi nRpAH vaMSe asmin keSava-ASrayAH
   BhP_04.14.043/1 viniścityaivam ṛṣayo vipannasya mahīpateḥ	BhP_04.14.043/1 viniScitya-evam RzayaH vipannasya mahIpateH
   BhP_04.14.043/2 mamanthur ūruṃ tarasā tatrāsīd bāhuko naraḥ	Bhu-_04.14.043/2 mamanTuH Urum tarasA tatra-AsIt bAhukaH naraH
   BhP_04.14.044/1 kāka-kṛṣṇo 'tihrasvāṅgo hrasva-bāhur mahā-hanuḥ	Bhu-_04.14.044/1 kAka-kRzNaH ati-hrasva-aFgaH hrasva-bAhuH mahA--hanuH
   BhP_04.14.044/2 hrasva-pān nimna-nāsāgro raktākṣas tāmra-mūrdhajaḥ	Bhu-_04.14.044/2 hrasva-pAn nimna-nAsA-agraH rakta-akzaH tAmra-mUrDajaH
   BhP_04.14.045/1 taṃ tu te 'vanataṃ dīnaṃ kiṃ karomīti vādinam	Bhu-_04.14.045/1 tam tu te avanatam dInam kim karomi-iti vAdinam
   BhP_04.14.045/2 niṣīdety abruvaṃs tāta sa niṣādas tato 'bhavat	Bhu-_04.14.045/2 nizIda-iti abruvan tAta sa nizAdaH tatas aBavat-
   BhP_04.14.046/1 tasya vaṃśyās tu naiṣādā giri-kānana-gocarāḥ	Bhu-_04.14.046/1 tasya vaMSyAH tu nEzAdAH giri-kAnana--gocarAH
   BhP_04.14.046/2 yenāharaj jāyamāno vena-kalmaṣam ulbaṇam	Bhu-_04.14.046/2 yena-Aharat jAyamAnaH vena--kalmazam ulbaNam
   BhP_04.15.001/0 maitreya uvāca	Bhu-_04.15.001/0 mEtreyaH uvAca
   BhP_04.15.001/1 atha tasya punar viprair aputrasya mahīpateḥ	Bhu-_04.15.001/1 aTa tasya punar viprEH aputrasya mahIpateH
   BhP_04.15.001/2 bāhubhyāṃ mathyamānābhyāṃ mithunaṃ samapadyata	Bhu-_04.15.001/2 bAhuByAm maTyamAnAByAm miTunam samapadyata
   BhP_04.15.002/1 tad dṛṣṭvā mithunaṃ jātam ṛṣayo brahma-vādinaḥ	Bhu-_04.15.002/1 tat dRzwvA miTunam jAtam RzayaH brahma--vAdinaH
   BhP_04.15.002/2 ūcuḥ parama-santuṣṭā viditvā bhagavat-kalām	BhP_04.15.002/2 UcuH parama--santuzwAH viditvA Bagavat--kalAm
   BhP_04.15.003/0 ṛṣaya ūcuḥ	Bhu-_04.15.003/0 RzayaH UcuH
   BhP_04.15.003/1 eṣa viṣṇor bhagavataḥ kalā bhuvana-pālinī	Bhu-_04.15.003/1 eza vizNoH BagavataH kalA Buvana-pAlinI
   BhP_04.15.003/2 iyaṃ ca lakṣmyāḥ sambhūtiḥ puruṣasyānapāyinī	Bhu-_04.15.003/2 iyam ca lakzmyAH samBUtiH puruzasya-anapAyinI
   BhP_04.15.004/1 ayaṃ tu prathamo rājñāṃ pumān prathayitā yaśaḥ	Bhu-_04.15.004/1 ayam tu praTamaH rAjQAm pumAn praTayitAH yaSaH
   BhP_04.15.004/2 pṛthur nāma mahārājo bhaviṣyati pṛthu-śravāḥ	BhP_04.15.004/2 pRTuH nAma mahA-rAjaH Bavizyati pRTu-SravAH
   BhP_04.15.005/1 iyaṃ ca sudatī devī guṇa-bhūṣaṇa-bhūṣaṇā	Bhu-_04.15.005/1 iyam ca sudatI devI guNa-BUzaNa-BUzaNA
   BhP_04.15.005/2 arcir nāma varārohā pṛthum evāvarundhatī	BhP_04.15.005/2 arciH nAma varArohA pRTum eva-avarunDatI
   BhP_04.15.006/1 eṣa sākṣād dharer aṃśojāto loka-rirakṣayā	Bhu-_04.15.006/1 eza sAkzAt DareH aMSojAtaH loka-riH-akzayA
   BhP_04.15.006/2 iyaṃ ca tat-parā hi śrīr anujajñe 'napāyinī	Bhu-_04.15.006/2 iyam ca tat--parA hi SrIH anujajQe anapAyinI
   BhP_04.15.007/0 maitreya uvāca	Bhu-_04.15.007/0 mEtreyaH uvAca
   BhP_04.15.007/1 praśaṃsanti sma taṃ viprā gandharva-pravarā jaguḥ	Bhu-_04.15.007/1 praSaMsanti sma tam viprAH ganDarva--pravarAH jaguH
   BhP_04.15.007/2 mumucuḥ sumano-dhārāḥ siddhā nṛtyanti svaḥ-striyaḥ	Bhu-_04.15.007/2 mumucuH su-mano--DArAH sidDAH nRtyanti svaH-striyaH
   BhP_04.15.008/1 śaṅkha-tūrya-mṛdaṅgādyā nedur dundubhayo divi	BhP_04.15.008/1 SaFKa-tUrya--mRdaFga-AdyAH neduH dunduBayaH divi
   BhP_04.15.008/2 tatra sarva upājagmur devarṣi-pitṝṇāṃ gaṇāḥ	Bhu-_04.15.008/2 tatra sarve upAjagmuH deva-Rzi--pitLNAm gaNAH
   BhP_04.15.009/1 brahmā jagad-gurur devaiḥ sahāsṛtya sureśvaraiḥ	Bhu-_04.15.009/1 brahmA jagad-guruH devEH saha-AsRtya sureSvarEH
   BhP_04.15.009/2 vainyasya dakṣiṇe haste dṛṣṭvā cihnaṃ gadābhṛtaḥ	Bhu-_04.15.009/2 vEnyasya dakziNe haste dRzwvA cihnam gadABRtaH
   BhP_04.15.010/1 pādayor aravindaṃ ca taṃ vai mene hareḥ kalām	Bhu-_04.15.010/1 pAdayoH aravindam ca tam vE mene hareH kalAm
   BhP_04.15.010/2 yasyāpratihataṃ cakram aṃśaḥ sa parameṣṭhinaḥ	Bhu-_04.15.010/2 yasya-apratihatam cakram aMSaH sa paramezWinaH
   BhP_04.15.011/1 tasyābhiṣeka ārabdho brāhmaṇair brahma-vādibhiḥ	Bhu-_04.15.011/1 tasya-aBizekaH ArabDaH brAhmaNEH brahma--vAdiBiH
   BhP_04.15.011/2 ābhiṣecanikāny asmai ājahruḥ sarvato janāḥ	Bhu-_04.15.011/2 ABizecanikAni asmE AjahruH sarvatas janAH
   BhP_04.15.012/1 sarit-samudrā girayo nāgā gāvaḥ khagā mṛgāḥ	Bhu-_04.15.012/1 sarit--samudrAH girayaH nAgAH gAvaH KagAH mRgAH
   BhP_04.15.012/2 dyauḥ kṣitiḥ sarva-bhūtāni samājahrur upāyanam	Bhu-_04.15.012/2 dyOH kzitiH sarva-BUtAni samAjahruH upAyanam
   BhP_04.15.013/1 so 'bhiṣikto mahārājaḥ suvāsāḥ sādhv-alaṅkṛtaḥ	Bhu-_04.15.013/1 saH aBiziktaH mahA-rAjaH su-vAsAH sADu--alaFkRtaH
   BhP_04.15.013/2 patnyārciṣālaṅkṛtayā vireje 'gnir ivāparaḥ	Bhu-_04.15.013/2 patnyA-arcizA-alaFkRtayA vireje agniH iva-aparaH
   BhP_04.15.014/1 tasmai jahāra dhanado haimaṃ vīra varāsanam	Bhu-_04.15.014/1 tasmE jahAra DanadaH hEmam vIra varAsanam
   BhP_04.15.014/2 varuṇaḥ salila-srāvam ātapatraṃ śaśi-prabham	BhP_04.15.014/2 varuNaH salila--srAvam Atapatram SaSi-praBam
   BhP_04.15.015/1 vāyuś ca vāla-vyajane dharmaḥ kīrtimayīṃ srajam	BhP_04.15.015/1 vAyuH ca vAla--vyajane DarmaH kIrti-mayIm srajam
   BhP_04.15.015/2 indraḥ kirīṭam utkṛṣṭaṃ daṇḍaṃ saṃyamanaṃ yamaḥ	Bhu-_04.15.015/2 indraH kirIwam utkRzwam daNxam saMyamanam yamaH
   BhP_04.15.016/1 brahmā brahmamayaṃ varma bhāratī hāram uttamam	Bhu-_04.15.016/1 brahmA brahma-mayam varma BAratI hAram uttamam
   BhP_04.15.016/2 hariḥ sudarśanaṃ cakraṃ tat-patny avyāhatāṃ śriyam	Bhu-_04.15.016/2 hariH sudarSanam cakram tat--patnI avyAhatAm Sriyam
   BhP_04.15.017/1 daśa-candram asiṃ rudraḥ śata-candraṃ tathāmbikā	Bhu-_04.15.017/1 daSa-candram asim rudraH Sata-candram taTA-ambikA
   BhP_04.15.017/2 somo 'mṛtamayān aśvāṃs tvaṣṭā rūpāśrayaṃ ratham	Bhu-_04.15.017/2 somaH amRta-mayAn aSvAn tvazwA rUpa-ASrayam raTam
   BhP_04.15.018/1 agnir āja-gavaṃ cāpaṃ sūryo raśmimayān iṣūn	Bhu-_04.15.018/1 agniH Aja--gavam cApam sUryaH raSmi-mayAn izUn
   BhP_04.15.018/2 bhūḥ pāduke yogamayyau dyauḥ puṣpāvalim anvaham	Bhu-_04.15.018/2 BUH pAduke yoga-mayyO dyOH puzpa-Avalim anvaham
