   %Chapter 1: introduction,	%ChapteH 1: intra-uductiA-Un,
   %visualisation of 5-faced, 16-armed Bhairava	%visuali-sation of 5-faced, 16-armet BhEH-ava
   [[fol.36r]]	[[fol.36r]]
   TimUdgh9.12cd: yoginīśatasahasrāṇi & lakṣakoṭim anekadhā	Timu-ud-G9.12cd: yoginI-Sata-sahasrANi & lakza-kowim anekaDA
   TimUdgh9.13ab: ekāpi bahurūpasthā & vyāpy avasth<ā>paraṃ gatā	Timu-udG9.13ab: ekA-api bahu-rUpa-sTA & vyApI avasT<A>-param gatA
   TimUdgh9.13cd: apa**parañ caiva & aparśakti**pakaṃ	Timu-ud-G9.13cd: apa**paran ca-eva & aparSakti-**pakam
   %three types of śakti (uttamā (anugraha?), madhyamā, tritīyā)	%Tree typeH of Sakti (uttamA (anugraha-?), maDyamA, tritIyA)
   TimUdgh9.14ab: ekā tribheda bhinn<ā> sā & bahubhedeṣu saṃsthitā	Timu-udG9.14ab: ekA tri-Beda Binn<A> sA & bahu-Bedezu saMsTitA
   TimUdgh9.14cd: tvatprasādottamā hy ekā & jātamātrā mahābalā	Timu-ud-G9.14cd: tvad-prasAda-uttamA hi ekA & jAta-mAtrA mahAbalA
   %second, jñānaśakti	%second, jQAnaSakti
   TimUdgh9.15ab: dvitīyā madhyamā śakti & yogināṃ mukhe sthitā	Timu-udG9.15ab: dvitIyA maDyamA Sakti & yoginAm muKe sTitA
   TimUdgh9.15cd: vidyādhyānasamādhiś ca & yoganādopadeśikaṃ	Timu-ud-G9.15cd: vidyA-DyAna-samADiH ca & yoga-nAda-upadeSikam
   TimUdgh9.16ab: rudraśaktisamāveśa&jñānasaṃkrāntikārakaṃ	Timu-udG9.16ab: rudra-Sakti-samAveSa&-jQAna-saMkrAnti-kArakam
   TimUdgh9.16cd: ...............khyātaṃ & madhyamāśaktilakṣaṇam	Timu-udG9.16cd: ...............KyAtam & maDyamA-Sakti-lakzaNam
   TimUdgh9.17ab: gurūpadeśāt saṃsiddhim & bhyāsān mokṣadaṃ padam	Timu-udG9.17ab: guru-upadeSAt saMsidDim & ByAsAt mokza-dam padam
   TimUdgh9.17cd: dvātriṃśatimātṛcakreṣu & tṛtīyā śa[kti]..........	Timu-ud-G9.17cd: dvAtriMSati-mAtR-cakrezu & tRtIyA Sa[kti]..........
   TimUdgh9.18ab: **ṃ karotu mantreṇa & kiñci kālena sarvadā	Timu-udG9.18ab: **m karotu mantreNa & kiQci kAlena sarvadA
   TimUdgh9.18cd: na bhavanti guṇā hy ete & divadarśanamokṣadā	Timu-udG9.18cd: na Bavanti guNAH hi ete & diva-darSana-mokza-dA
   TimUdgh9.19ab: śakti tṛtīya śa*ānti & kathitante .... [[fol.36v]]	Timu-udG9.19ab: Sakti tRtIya Sa*Anti & kaTitante .... [[fol.36v]]
   TimUdgh9.19cd: *[sa]nmārgavat[ā]reṇa & yogīṣīnāṃ kule gatā	Timu-udG9.19cd: *[sa]t-mArgavat[A]reNa & yogIzInAm kule gatA
   %rarity of the teacher	%rariti of Te teaCeH-
   TimUdgh9.20ab: sukho[padeśaratna]n tu & tena [tat kauladā] smṛtaḥ	Timu-udG9.20ab: suKa-u[padeSa-ratna]n tu & tena [tat kOladA] smRtaH
   TimUdgh9.20cd: tattvajāla<ṃ> parityajya & ta[ntre]nārthan tu kaulikaṃ%em:	Timu-udG9.20cd: tattva-jAla<M> parityajya & ta[ntre]na-arTan tu kOlikaM%em:
   tan mūlārthaṃ tu kaulikaṃ	tat mUla-arTam tu kOlikam
   TimUdgh9.21ab: ...dati siddhyarthaṃ & saguruṃ sadyapratyayaḥ	Timu-udG9.21ab: ...dati sidDi-arTam & sa-gurum sadya-pratyayaH
   TimUdgh9.21cd: durlabhaṃ saguruḥ devi & durlabhaṃ gurutaraṃ mahat	Timu-udG9.21cd: durlaBam sa-guruH devi & durlaBam gurutaram mahat-
   TimUdgh9.22ab: durlabhā prāpti tasyaiva & prāptamokṣa...yaḥ	Timu-udG9.22ab: durlaBA prApti tasya-eva & prApta-mokza-...yaH
   TimUdgh9.22cd: tas[y/m]ā hy evaṃ prayatnena & kaulapīṭhe pi durlabhaḥ	Timu-ud-G9.22cd: tas[y/m]A hi evam prayatnena & kOla-pIWe pi durlaBaH
   TimUdgh9.23ab: bahudeśagatā kaś ci kṣetrapīṭhāni paryaṭe	Timu-udG9.23ab: bahu-deSa-gatA kaH ci kzetra-pIWAni paryawe
   TimUdgh9.23cd: varṣe dvādaśava...& ... nī naiva paśyati	Timu-ud-G9.23cd: varze dvAdaSava...& ... nI na-eva paSyati
   TimUdgh9.24ab: susaṃskṛto pi deveśi & bahugranthārthapaṇḍitaḥ	Timu-udG9.24ab: su-saMskRtaH pi deveSi & bahu-granTa-arTa-paNxitaH
   TimUdgh9.24cd: bhramet pīṭhāni pīṭhāni & akṛtārtho nivartate \var{bhramet	Timu-udG9.24cd: Bramet pIWAni pIWAni & akRtArTaH nivartate \var{-Bramet-
   pīṭhāni\lem \emV; bhrame pīṭhā \N} \var{akṛtārtho\lem \emV; akṛtārthā \N}	pIWa-ani\lem \emV; Brame pIWAH \N} \var{a-kRta-arTaH-\lem \emV; akRtArTAH \N}
   TimUdgh9.25ab: asaṃskṛt..mūrkhaḥ &	Timu-udG9.25ab: asaMskRt..mUrKaH &
   sarvagranthārthavarjitaḥ\var{-varjitaḥ\lem \em; -varjitam \N}	sarva-granTa-arTa-varjitaH\var{--varjitaH\lem \em; -varjitam \N}
   TimUdgh9.25cd: kaulabījena labdhena & siddhi trailokyam ujjvalā	Timu-ud-G9.25cd: kOla-bIjena labDena & sidDi trElokyam ujjvalA
   TimUdgh9.26ab: evaṃ kaulaparam yogaṃ & sarvatantottamottamaṃ [[fol.37r]]	Timu-udG9.26ab: evam kOla-param yogam & sarva-tantottama-uttamam [[fol.37r]]
   TimUdgh9.26cd: ka.taṃ mokṣadā devi & gopanīyaṃ punaḥ punaḥ	Timu-ud-G9.26cd: ka.tam mokza-dA devi & gopanIyam punar punar-
   iti timirodghāṭane navamaḥ paṭalaḥ	iti timira-udGAwane navamaH pawalaH
   %śiṣyaparīkṣā	%Sizya-parIkzA
   %(first the undesirable student, then the acceptable	%(first Te undesiH-able student, Tet Te at-cepta-ble
   bhairava uvāca	BEravaH uvAca
   TimUdgh10.1ab: guptagrantham idaṃ de[vi] & supriyasyāpi gopayet	Timu-udG10.1ab: gupta-granTam idam de[vi] & supriyasya-api gopayet-
   TimUdgh10.1cd: na cābhinna ca sā deyā & nindakeṣṭeṣṭinasv api %em	Timu-ud-G10.1cd: na ca-aBinna ca sA deyA & nindaka-izwa-izwinasu api %em
   nindakeṣv ?	nindakezu ?
   TimUdgh10.2ab: vyasanīva vanakuṃjaḥ & krodhanakunakhīśaṭhaḥ	Timu-udG10.2ab: vyasanI-iva vana-kuMjaH & kroDana-kunaKI-SaWaH
   TimUdgh10.2cd: capala khakhkhalaś caiva & hīnāṅga sūcaka kṣayī	Timu-udG10.2cd: capala KaKKalaH ca-eva & hIna-aFga sUcaka kzayI
   TimUdgh10.3ab: vyādhinas tārkikaś caiva & nityācāro paravratī	Timu-udG10.3ab: vyADinaH tArkikaH ca-eva & nitya-AcAraH para-vratI
   TimUdgh10.3cd: kākasvaro alpavidyā & matsarī samayadūṣaka<ḥ> %hyperm.	Timu-udG10.3cd: kAka-svaraH alpa-vidyA & matsarI samaya-dUzaka<H> %hi-perm.
   TimUdgh10.4ab: antajaḥ sāhasi [lubdhaḥ] & śyāmadanto <'>jitendriyaḥ	Timu-udG10.4ab: anta-jaH sAhasi [lubDaH] & SyAma-dantaH <-a>jita-indriyaH
   TimUdgh10.4cd: gurudevadvijādīnāṃ & nindake vṛṣalīpati %em: nindako	Timu-ud-G10.4cd: guru-deva-dvija-AdInAm & nindake vRzalIpati %em: nindakaH-
   TimUdgh10.5ab: raṅgopajīvi[piśu]naḥ & [kṣa-ta-gha]kāmatatparaḥ %em: -jīvi	Timu-ud-G10.5ab: raFga-upajIvi[piSu]naH & [kza-ta-Ga]kAma-tatparaH %em: -jIvi
   = jīvī metri causa	 jIvI metri cOsa
   TimUdgh10.5cd: [t]ārkṣakaṇā nāstiko vṛka & adaḥ krūro	Timu-ud-G10.5cd: [t]a-arkza-kaNA nAstikaH vRkaH & adaH krUraH-
   svadharmaparivarjitaḥ	svaDarma-parivarjitaH
   TimUdgh10.6ab: parodhā sevakaś caiva & paṇyastrī paradārak	Timu-udG10.6ab: paroDA sevakaH ca-eva & paNya-strI para-dArak
   TimUdgh10.6cd: ...................................śuciś cāpi saṃskṛtāḥ	Ti-mu-ud-G10.6cd: ...................................SuciH ca-api saMskRtAH
   TimUdgh10.7ab: putrakāparaliṅgitā / śiṣyāṇā[m avivarjayet]	Timu-udG10.7ab: putraka-apara-liFgitA / SizyANA[m avivarjayet-]
   TimUdgh10.7cd: śraddhā dāno jitakrodhaḥ & pra .......[fol.37v]	Timu-ud-G10.7cd: SradDA dAnaH jita-kroDaH & pra .......[fol.37v]
   TimUdgh10.8ab: śucivi[dva/ddha]*sa & kṛtaghnaḥ śamatendriyaḥ /	Timu-udG10.8ab: Suci-vi[dva/dDa]*-saH & kRtaGnaH Samata-indriyaH /
   TimUdgh10.8cd: śāntātmā śivaśaktā[śca/cca] & satyavā[cā] dṛḍha[vrataḥ]	Timu-ud-G10.8cd: SAnta-AtmA Siva-SaktA[H-ca/cca] & satya-vA[-cA] dRXa[-vrataH]
   TimUdgh10.9ab: sahiṣṇuś cojitam iti & kṣaṇadva......	Timu-udG10.9ab: sahizNuH ca-ujitam iti & kzaNadva......
   TimUdgh10.9cd: [sa]masarveṣu bhūteṣu & jñānī vigatamatsaraḥ	Timu-udG10.9cd: [sa]ma-sarvezu BUtezu & jQAnI vigata-matsaraH
   TimUdgh10.10ab: sadāsaktagurudevaḥ & sarvaśāstrārthakuśalī	Timu-udG10.10ab: sadAsakta-guru-devaH & sarva-SAstra-arTa-kuSalI
   TimUdgh10.10cd: <...> śivaśāsanatatparaṃ /	Timu-udG10.10cd: <...> Siva-SAsana-tatparam /
   TimUdgh10.11ab: saṃsāra..... karttā karuṇikas tathā //	Timu-udG10.11ab: saMsAra..... karttA karuNikaH taTA //
   TimUdgh10.11cd: mattāśīgatasaṅgaś ca & vitṛṣṇas tyaktalolupaḥ	Timu-udG10.11cd: matta-ASI-gata-saFgaH ca & vitRzNaH tyakta-lolupaH
   \var{vitṛṣṇas\lem; \em; vitṛstras \N}	\var{-vitRzNa-s\lem; \em; vitRstraH \N}
   TimUdgh10.12ab: sarvopavāsaniyamaḥ & sayuktātmā priya*vaḥ	Timu-udG10.12ab: sarva-upavAsa-niyamaH & sa-yukta-AtmA priya*vaH
   TimUdgh10.12cd: [cā**]dyāvratasamyak & sādhu<ḥ> samayapālakaḥ	Timu-udG10.12cd: [cA**]dya-avrata-samyak & sADu<H> samaya-pAlakaH
   TimUdgh10.13ab: praśāntagrahakṛd vīraḥ & śuddhātmā gurupūjakaḥ	Timu-udG10.13ab: praSAnta-graha-kRt vIraH & SudDa-AtmA guru-pUjakaH
   TimUdgh10.13cd: suśīla<ḥ> śāntiko <'>vāgmī & brahmāṇo nānyavarṇṇakaḥ %em:	Timu-udG10.13cd: su-SIla<H> SAntikaH <-a>vAgmI & brahmANaH na-anyavarNNakaH %em:
   nāntyavarṇakaḥ	na-antya-varNakaH
   TimUdgh10.14ab: tṛṣkālo bhāvi{ni}bhūtasya & pañcakeṣu na dāpayet	Timu-udG10.14ab: tRzkAlaH BAvi{-ni}BUtasya & paQcakezu na dApayet-
   TimUdgh10.14cd: suparīkṣitaśiṣyeṣu & gupte sudṛḍhe hitañ ca	Timu-udG10.14cd: su-parIkzita-Sizyezu & gupte su-dRXe hitan ca
   TimUdgh10.15ab: <...> etais tu varṇṇeṣu dāpayet %em: etair varṇeṣu dāpayet	Timu-udG10.15ab: <...> etEH tu varNNezu dApayet %em: etEH varNezu dApayet-
   TimUdgh10.15cd: tṛṇavat manyase dravyaṃ & gurorthe strīputrādikaṃ	Timu-udG10.15cd: tRNa-vat manyase dravyam & guroH-Te strI-putra-Adikam
   TimUdgh10.16ab: evaṃ yo vartayec chiṣyaḥ & sarvātmā ca nivedayet	Timu-udG10.16ab: evam yaH vartayet SizyaH & sarva-AtmA ca nivedayet-
   TimUdgh10.16cd: eteṣāṃ paramaṃ tattvaṃ & samadikṣumaviś.	Timu-udG10.16cd: etezAm paramam tattvam & samadikzum-aviS.
   TimUdgh10.17ab: [\fol.38r] tvatpriyārthe mayākhyātaṃ & na deyaṃ na	Timu-udG10.17ab: [\fol.38r] tvad-priya-arTe mayA-AKyAtam & na deyam na
   parīkṣitam	parIkzitam
   TimUdgh10.17cd: mātmā bahuvidhā duṣṭā & paratattvārtha...	Timu-udG10.17cd: mA-AtmA bahuviDAH duzwAH & para-tattva-arTa...
   TimUdgh10.18ab: dravyeṇa mayāyāvāpi & sevā dharmeṇa vā punaḥ	Timu-udG10.18ab: dravyeNa mayA-AyAvA-api & sevA DarmeNa vA punar-
   TimUdgh10.18cd: tattvopahāra<ṃ> kurvanti & nābhinandati tattvaiva	Timu-udG10.18cd: tattva-upahAra<M> kurvanti & na-aBinandati tattva-eva
   TimUdgh10.19ab: <...> ātmāpratyayakārakā	Timu-udG10.19ab: <...> Atma-apratyaya-kArakA
   TimUdgh10.19cd: dhyāyate yas tu yuktātmā & dvādaśādvānatandritam	Ti-mu-udG10.19cd: DyAyate yaH tu yukta-AtmA & dvAdaSA-dvAnatandritam
   TimUdgh10.20ab: aṇimādyādisaṃyukt[aḥ} & sarvajñatvo prajāyate	Timu-udG10.20ab: aNima-Adi-Adi-saMyukt[aH} & sarvajQa-tvaH prajAyate
   TimUdgh10.20cd: tṛvaktraṃ pañcabhir vipraiḥ & ṣaṭsaptāṣṭabhiḥ kṣetriye	Timu-udG10.20cd: tRvaktram paQcaBiH viprEH & zaz-sapta-azwaBiH kzetriye
   TimUdgh10.21ab: daśadvādaśabhir varṣaiḥ & vinmūtradreṣu dāpa	Timu-udG10.21ab: daSa-dvAdaSaBiH varzEH & vid-mUtra-drezu dApa
   TimUdgh10.21cd: aparīkṣito dātavyaṃ & na ca nāstīkanindake	Timu-udG10.21cd: aparIkzitaH dAtavyam & na ca na-AstIka-nindake
   TimUdgh10.22ab: māyāni na tathā kuruḥ & na deyaṃ yasya kasya cit	Timu-udG10.22ab: mAyAni na taTA kuruH & na deyam yasya kasya cit-
   TimUdgh10.22cd: yathā ayuktimattaśiṣyaṃ & yadi tu<ṣya>ti vai guruḥ	Timu-udG10.22cd: yaTA ayukti-matta-Sizyam & yadi tu<zya>ti vE guruH
   TimUdgh10.23ab: na tasya kālam ākhyātaṃ & sadya eva nibhedayet	Timu-udG10.23ab: na tasya kAlam AKyAtam & sadyas eva niBedayet-
   TimUdgh10.23cd: brahmaṇo māyavāyas tu & mlecchaś cāpi na māyavā	Timu-udG10.23cd: brahmaNaH mAyavAyaH tu & mlecCaH ca-api na mAyavA
   TimUdgh10.24ab: mlecchaś cāpi pradātavyaṃ & na tu *[yā] pradāpayet	Timu-udG10.24ab: mlecCaH ca-api pradAtavyam & na tu *[yA] pradApayet-
   TimUdgh10.24cd: śivatulyasya -m- ācāryo & loke cānugrahaṃ kuruḥ	Timu-udG10.24cd: Siva-tulyasya -m AcAryaH & loke ca-anugraham kuruH
   TimUdgh10.25ab: dravyalobhe pariprāpte & na tu bandhu{sva}janais tathā	Timu-udG10.25ab: dravya-loBe pariprApte & na tu banDu{-sva}janEH taTA
   TimUdgh10.25cd: guru[ṃ] ya...[\fol 38v] [vā] & ta[ntu/ntra] yāsyati	Timu-udG10.25cd: guru[M] ya...[\fot 38v] [vA] & ta[ntu/ntra] yAsyati
   saṃsrahaḥ	saMsrahaH
   TimUdgh10.26ab: adhyāpanañ ca vyākhyānaṃ & guruśiṣyaprabodhakaḥ	Timu-udG10.26ab: aDyApanan ca vyAKyAnam & guru-Sizya-praboDakaH
   TimUdgh10.26cd: [pra]pū**tathā jñeyaṃ & dṛṣṭvā ca suciraṃ guruḥ	Timu-udG10.26cd: [pra]pU**-taTA jQeyam & dRzwvA ca su-ciram guruH
   %prapūjayet tathā jñeyaṃ ?	%prapUjayet taTA jQeyam ?
   TimUdgh10.27ab: nivedaye** & pūjaye ca tathā guruḥ	Timu-udG10.27ab: nivedaye** & pUjaye ca taTA guruH
   TimUdgh10.27cd: parāsaṃkrāntiyad devi & na dadyā ca sphuṭa priye %em:	Timu-udG10.27cd: parAsaMkrAntiyat devi & na dadyA ca sPuwa priye %em:
   parāsaṃkrāntīyaṃ devi	parAsaMkrAntIyam devi
   TimUdgh10.28ab: arthā[r]ttha[ṃ] kiñciśaṃ vedya & nadyānaśiṣya suvrate %	Timu-udG10.28ab: arTa-a[r]tTa[M] kiQciSam vedyaH & nadyAna-Sizya suvrate %
   em: kilbiśaṃ	em: kilbi-Sam
   TimUdgh10.28cd: a[nya?]thā ***ṣā & guhyagrantha praṇāśate	Timu-udG10.28cd: a[nya-?]TAH ***zA & guhyagranTa praNASate
   TimUdgh10.29ab: tasmān na deyaṃ nākhyeyaṃ & sāragranthārthamokṣadaṃ	Timu-udG10.29ab: tasmAt na deyam na-AKyeyam & sAra-granTa-arTa-m-okza-dam
   iti timirodghāṭane daśamaḥ paṭalaḥ	iti timira-udGAwane daSamaH pawalaH
   %kāṣṭhayoga and amṛtayoga	%kAzWa-yoga and amRta-yoga
   devy uvāca	devI uvAca
   TimUdgh11.1ab: kāṣṭhayogāmṛtayoga & dvābhyāṃ lakṣaṇam ādiśet %em: ādiśeḥ	Timu-udG11.1ab: kAzWa-yoga-amRta-yogaH & dvAByAm lakzaNam AdiSet %em: AdiSeH
   TimUdgh11.1cd: mokṣadaṃ sukhasādhyañ ca & tan me brūhi guṇādhikaṃ	Timu-udG11.1cd: mokza-dam suKa-sADyan ca & tat me brUhi guNa-aDikam
   bhairava uvāca	BEravaH uvAca
   TiUdgh11.2ab: pūrvva<ṃ> yoga mayākhyātaṃ & ṣaḍaṅgaṣaḍvidhaṃ pṛye	Tiu-udG11.2ab: pUrvva<n> yoga mayA-AKyAtam & zaxaFga-zaxviDam pRye
   TiUdgh11.2cd: anekākārabhedena & dhyānamantrādikarmaṇi	Tiu-udG11.2cd: aneka-AkAra-Bedena & DyAna-mantra-Adi-karmaNi
   TiUdgh11.3ab: kāṣṭhakriyādhikan devi & amṛtayogam {a}cintaye	Tiu-udG11.3ab: kAzWa-kriyA-aDikan devi & amRta-yogam {a}cintaye
   TiUdgh11.3cd: gaccha tiṣṭha tato vāpi & jagratasuptam eva ca %em:	Tiu-udG11.3cd: gacCa tizWa tatas vA-api & jagrata-suptam eva ca %em:
   jāgratsuṣuptam eva ca, or better leave?	jAgrat-suzuptam eva ca, oH betteH leave?
   TiUdgh11.4ab: karmābhiratayuktasya & nityayoga pravarttate	Tiu-udG11.4ab: karma-aBirata-yuktasya & nitya-yoga pravarttate
   TiUdgh11.4cd: mano -m- anyatra yuñjītaṃ & dṛṣṭim anyatra pātitaṃ [\fol	Tiu-udG11.4cd: manaH -m anyatra yuQjItam & dRzwim anyatra pAtitam [\fol
   39\r]	39\r]
   TiUdgh11.5ab: tathā yoginaṃ yoga & avyucchinna<ḥ> pravarttate %em: yogino	Tiu-udG11.5ab: taTA yoginam yogaH & avyucCinna<H> pravarttate %em: yoginaH-
   yoga	yoga
   TiUdgh11.5cd: na ca dhāraṇā vedhañ ca & nāvāhanavisarjanaṃ	Tiu-udG11.5cd: na ca DAraNA veDan ca & na-AvAhana-visarjanam
   TiUdgh11.6ab: sarvvāvasthāgato vāpi & krīḍamāno 'pi yoginaḥ	Tiu-udG11.6ab: sarvvA-avasTA-gataH vA-api & krIxamAnaH api yoginaH
   TiUdgh11.6cd: icchayā vasate [']ra<ṇ>ye & icchayā janasaṃkule	Tiu-udG11.6cd: icCayA vasate [-a]ra<N>ye & icCayA jana-saMkule
   TiUdgh11.7ab: icchayā bhuñjate bhogaṃ & icchayā vratam ācaret	Tiu-udG11.7ab: icCayA BuQjate Bogam & icCayA vratam Acaret-
   TiUdgh11.7cd: yatraṇārahitaṃ yogaḥ & sarvakarmavivarjitaṃ	Tiu-udG11.7cd: yatraNA-rahitam yogaH & sarva-karma-vivarjitam
   TiUdgh11.8ab: nātaḥ parataraṃ devi & manohlādakaram param	Tiu-udG11.8ab: na-atas parataram devi & manohlAda-karam param
   TiUdgh11.8cd: tantravidyākṣarair hīnaṃ & dhyānadhāraṇavarjitaṃ	Tiu-udG11.8cd: tantra-vidyA-akzarEH hInam & DyAna-DAraNa-varjitam
   TiUdgh11.9ab: cintayārahitaṃ guhyaṃ & susūkṣmāmṛtam uttamam	Tiu-udG11.9ab: cintayA-rahitam guhyam & su-sUkzma-amRtam uttamam
   TiUdgh11.9cd: evaṃ yogāmṛtā devi & **āl labhyanti kaulikaṃ	Tiu-udG11.9cd: evam yoga-amRtAH devi & **At laByanti kOlikam
   TiUdgh11.10ab: amṛtasamādhiparāḥ & abhyāsā mokṣadam bhavet	Tiu-udG11.10ab: amRta-samADi-parAH & aByAsAH mokza-dam Bavet-
   TiUdgh11.10cd: abhyāso paramayogaṃ & samādhispṛṣṭi* bhavet	Tiu-udG11.10cd: aByAsaH parama-yogam & samADi-spRzwi* Bavet-
   TiUdgh11.11ab: vimala {pu?]na paśyati & <...>	Tiu-udG11.11ab: vimalaH {pu?]na paSyati & <...>
   TiUdgh11.11cd: kadambagolakākāraṃ & ravikoṭisamaprabhaṃ	Tiu-udG11.11cd: kadamba-golaka-AkAram & ravi-kowi-sama-praBam
   TiUdgh11.12ab: paśyate dehamadhyasthaṃ & vimalāyā tu yoginaṃ	Tiu-udG11.12ab: paSyate deha-maDya-sTam & vimalAyA tu yoginam
   TiUdgh11.12cd: dī*ikhākṣavamavarṇṇā & śūlām vā kāntitejasā	Tiu-udG11.12cd: dI*iKa-akza-vama-varNNA & SUlAm vA kAnti-tejasA
   TiUdgh11.13ab: paśyate dehamadhyasthaṃ & divyayogena yoginaṃ	Tiu-udG11.13ab: paSyate deha-maDya-sTam & divya-yogena yoginam
   TiUdgh11.13cd: sarvvadehasthitam paśye & brahmāṇ*[rvva?]gata**[\fol 39v]	Tiu-udG11.13cd: sarvu-adeha-sTitam paSye & brahmAN*[rvva?]-gata-**[\fot 39v]
   TiUdgh11.14ab: lo-kā-[m/n]ā-[nu/nta]-ga-ta-mātmā &	Tiu-udG11.14ab: lo-ka-a-[m/n]A-[nu/nta-]-ga-ta-m-AtmA &
   sarvavyāpitordhordhvataḥ	sarva-vyApita-UrDa-UrDvatas-
   TiUdgh11.14cd: ekakaulikavistāraṃ & divya[yogasya] suvrate	Tiu-udG11.14cd: eka-kOlika-vistAram & divya-[yogasya] suvrate
   TiUdgh11.15ab: nānyatra paśyate hy etat & sarvayoga[ś/s]...ṣu %em: to aiśa	Tiu-udG11.15ab: na-anyatra paSyate hi etat & sarva-yoga[-S/s]...zu %em: taH ESa
   yogasamādhiṣu ?	yoga-samADizu ?
   TiUdgh11.15cd: kath[ya]mānam aśraddheyaṃ & kim āścāryañ ca vismayam	Tiu-udG11.15cd: kaT[ya]-mAnam aSradDeyam & kim AScAryan ca vismayam
   TiUdgh11.16ab: yasyeha sarvato divyaṃ & ātmā samvetti pratyayam	Tiu-udG11.16ab: yasya-iha sarvatas divyam & AtmA samvetti pratyayam
   TiUdgh11.16cd: bhāvabhrāntapriyaṃ jñānaṃ & pratyakṣa yā[vad] ātmani	Tiu-udG11.16cd: BAva-BrAnta-priyam jQAnam & pratyakza yA[vad] Atmani
   TiUdgh11.17ab: *yaṃ dṛṣṭe tu pratyakṣe & bhrāntijñānaṃ vinaśyati	Tiu-udG11.17ab: *yam dRzwe tu pratyakze & BrAnti-jQAnam vinaSyati
   TiUdgh11.17cd: evaṃ paśyati pratyakṣe & rudraśakti<ṃ> gurupriye	Tiu-udG11.17cd: evam paSyati pratyakze & rudra-Sakti<M> guru-priye
   TiUdgh11.18ab: yad uktaṃ divyayogeṣu & sidhyate nāthā priye	Tiu-udG11.18ab: yat uktam divya-yogezu & siDyate nATA priye
   TiUdgh11.18cd: śaktihīnaṃ guruṃ prāpya & śiṣyasiddhi<ḥ> kutaḥ priye	Tiu-udG11.18cd: Sakti-hInam gurum prApya & Sizya-sidDi<H> kutas priye
   \var{-hīnaṃ\lem \em; -hīne \N}	\var{-hInaM\lem \em; -hIne \N}
   TiUdgh11.19ab: mūle naṣṭe drumā devi & kutaḥ puṣpaphalādiṣu	Tiu-udG11.19ab: mUle nazwe drumAH devi & kutas puzpa-Pala-Adizu
   TiUdgh11.19cd: rudraśaktisamāve<ś*> & guruḥ gurutaram param	Tiu-udG11.19cd: rudra-Sakti-samAve<S*> & guruH gurutaram param
   TiUdgh11.20ab: viditātmā priyedyuktaṃ & sa guruḥ mokṣadam padam	Tiu-udG11.20ab: vidita-AtmA priyet-yuktam & sa guruH mokza-dam padam
   TiUdgh11.20cd: paraloke tu vā sarve & āgatā puna mokṣadā % puna metri	Tiu-udG11.20cd: para-loke tu vA sarve & AgatA puna mokza-dA % puna metri
   causa	cOsa
   TiUdgh11.21ab: pratyakṣapratyaya<ṃ> kaula[ṃ] & iha loke paratra ca	Tiu-udG11.21ab: pratyakza-pratyaya-<M> kOla[M] & iha loke paratra ca
   TiUdgh11.21cd: aihikapratyaye yas tu & paralokam api sādhayet %hyperm.	Tiu-udG11.21cd: Ehika-pratyaye yaH tu & para-lokam api sADayet %hi-perm.
   TiUdgh11.22ab: aihikapratyayaṃ nāsti & kutaḥ tatra paro bhavet	Tiu-udG11.22ab: Ehika-pratyayam na-asti & kutas tatra paraH Bavet-
   TiUdgh11.22cd: evaṃ[\fol 40r]...ānaṃ & pratyakṣaṃ tu yadā bhavet	Tiu-udG11.22cd: evaM[\fot 40r]...Anam & pratyakzam tu yadA Bavet-
   TiUdgh11.23ab: guro vidyam ātmānaṃ & trividhenāntarātmanā	Tiu-udG11.23ab: guro vidyam AtmAnam & triviDena-antarAtmanA
   TiUdgh11.23cd: **u**gurul*[tu?] & t[ā]sa[dv/ddh]ipatanabha*	Tiu-udG11.23cd: **u**gurul*[tu?] & t[A]sa[dv/dD]ipatana-Ba*
   TiUdgh11.24ab: [gurupra]***pūjyā & yadīcchet siddhim ātmanaḥ	Tiu-udG11.24ab: [guru-pra]***-pUjyA & yadi-icCet sidDim AtmanaH
   \var{yadīcchet\lem \em; yadicche \N}	\var{yadi-icCet\lem \em; yat-icCe \N}
   TiUdgh11.24cd: divyopadeśadātāraṃ & ācāryadevadurlabhaṃ	Tiu-udG11.24cd: divya-upadeSa-dAtAram & AcArya-deva-durlaBam
   TiUdgh11.25ab: bahavo guravo yatra & śūnyavākyam apratyayaḥ	Tiu-udG11.25ab: bahavaH guravaH yatra & SUnya-vAkyam apratyayaH
   TiUdgh11.25cd: a*nāni pramāhīna&marmaghnā keci yoginaḥ	Tiu-udG11.25cd: a*nAni pramA-hIna&-marma-GnA keci yoginaH
   TiUdgh11.26ab: keci ta[tdnḍ]vāvalopena & garvitā jñānavarjitā<ḥ>{ṃ}	Tiu-udG11.26ab: keci ta[tdnx]va-avalopena & garvitAH jQAna-varjitA<H>{M}
   TiUdgh11.26cd: keci mantreṇa saṃtuṣṭā & svalpa...	Tiu-udG11.26cd: keci mantreNa saMtuzwAH & su-alpa...
   TiUdgh11.27ab: adhamottama[jā]*ādau & nācāryapraṇave śirā	Tiu-udG11.27ab: aDama-uttama[-jA]*a-AdO & na-AcArya-praNave SirA
   TiUdgh11.27cd: keci diśanti guru devi & saṃsārocchittikārakaḥ %hyperm.	Tiu-udG11.27cd: keci diSanti guru devi & saMsAra-ucCitti-kArakaH %hi-perm.
