   Rudrabhaṭṭaḥ: Śṛṅgāratilakaḥ	Rudra-BawwaH: ŚRFgAratilakaH
   iti caṭuśatair vāraṃ vāraṃ vapuḥ paritaḥ spṛśan	iti cawu-SatEH vAram vAram vapuH paritas spRSan
   virahavidhuro nāsyāḥ pārśvaṃ vimuñcati vallabhaḥ // ST_1.74a // (Skm 661)	viraha-viDuraH na-asyAH pArSvam vimuQcati vallaBaH // ST_1.74aH // (Skm 661)
   utkā bhavati sā yasyāḥ saṅketaṃ nāgataḥ priyaḥ /	utkA Bavati sA yasyAH saFketam na-AgataH priyaH /
   tasyānāgamane hetuṃ cintayanty ākulā yathā // ST_1.75 //	tasya-anAgamane hetum cintayanti AkulAH yaTA // ST_1.75 //
   kiṃ ruddhaḥ priyayā kayācid athavā sakhyā tayodvejitaḥ	kim rudDaH priyayA kayAcid aTavA saKyA tayA-udvejitaH
   kiṃ vā kāraṇagauravaṃ kim api yan nādyāgato vallabhaḥ /	kim vA kAraNa-gOravam kim api yat na-adya-AgataH vallaBaH /
   ity ālocya mṛgīdṛśā karatale saṃsthāpya vaktrāmbujaṃ	iti Alocya mRgI-dRSA kara-tale saMsTApya vaktra-ambujam
   dīrghe niḥśvasitaṃ ciraṃ ca ruditaṃ kṣiptāś ca puṣpasrajaḥ // ST_1.75a //	dIrGe niHSvasitam ciram ca ruditam kziptAH ca puzpa-srajaH // ST_1.75aH //
   bhaved vāsakasajjāsau sajjitāṅgaratālayā /	Bavet vAsaka-sajjA-asO sajjita-aFgaratAlayA /
   niśityāgamanaṃ bhartur dvārekṣaṇaparā yathā // ST_1.76 //	niSiti-Agamanam BartuH dvAra-IkzaNa-parAH yaTA // ST_1.76 //
   dṛṣṭvā darpaṇamaṇḍale nijamukhaṃ bhūṣāṃ manohāriṇīṃ	dRzwvA darpaNa-maNxale nija-muKam BUzAm manohAriNIm
   dīpārciḥkapiśaṃ ca mohanagṛhaṃ trasyātkuraṅgīdṛśā /	dIpa-arciH-kapiSam ca mohana-gRham trasyAt-kuraFgI-dRSA /
   evaṃ nau surataṃ bhaviṣyati cirād adyeti sānandayā	evam nO suratam Bavizyati cirAt adya-iti sa-AnandayA
   mandaṃ kāntadidṛkṣayātilalitaṃ dvāre dṛgāropitṃ // ST_1.76a // (Skm 657)	mandam kAnta-didRkzayA-ati-lalitam dvAre dRS-Aropitm // ST_1.76aH // (Skm 657)
   nirasto manyunā kānto namann api yayā punaḥ /	nirastaH manyunA kAntaH naman api yayA punar /
   duḥsthitā taṃ vinā sāti- sandhitābhimatā yathā // ST_1.77 //	duHsTitA tam vinA sAti sanDitA-aBimatAH yaTA // ST_1.77 //
   yatpādapraṇataḥ priyaḥ paruṣayā vācā sa nirvārito	yat-pAda-praNataH priyaH paruzayA vAcA sa nirvAritaH-
   yatsakhyā na kṛtaṃ vaco jaḍatayā yanmanyur eko dhṛtaḥ /	yat-saKyA na kRtam vacaH jaxa-tayA yat-manyuH ekaH DRtaH /
   pāpasyāsya phalaṃ tad etad adhunā yac candanendudyuti	pApasya-asya Palam tat etat aDunA yat candana-indu-dyuti
   prāleyāmbusamīrapaṅkajavisair gātraṃ muhur dahyate // ST_1.77a // (Skm	prAleya-ambu-samIra-paFkaja-visEH gAtram muhur dahyate // ST_1.77aH // (Skm
   preṣya dūtīṃ svayaṃ dattvā saṅketaṃ nāgataḥ priyaḥ /	prezya dUtIm svayam dattvA saFketam na-AgataH priyaH /
   yasyāstena vinā duḥsthā vipralabdhā tu sā yathā // ST_1.78 //	yasyAH-tena vinA duHsTAH vipralabDA tu sA yaTA // ST_1.78 //
   yat saṅketagṛhaṃ priyeṇa kathitaṃ sampreṣya dūtīṃ svayaṃ	yat saFketa-gRham priyeNa kaTitam samprezya dUtIm svayam
   tac chūnyaṃ suciraṃ niṣevya sudṛśā paścāc ca bhagnāśayā /	tat SUnyam su-ciram nizevya su-dRSA paScAt ca Bagna-ASayAH /
   sthānopāsanasūcanāya vigalatsāndrāñjanair locanair	sTAna-upAsana-sUcanAya vigalat-sAndra-aQjanEH locanEH-
   bhūmāv akṣaramālikeva likhitā dīrghaṃ rudatyā śanaiḥ // ST_1.78a // (Skm	BUmO akzaramAlikA-iva liKitAH dIrGam rudatyA SanEs // ST_1.78aH // (Skm
   kutaścin nāgato yasyā ucite vāsake priyaḥ /	kutaScid na-AgataH yasyAH ucite vAsake priyaH /
   tadanāgam asantaptā khaṇḍitā sā matā yathā // ST_1.79 //	tad-anAgam asantaptA KaNxitA sA matAH yaTA // ST_1.79 //
   sotkaṇṭhaṃ ruditaṃ sakampam asakṛd yātaṃ sabāṣpaṃ ciraṃ	sa-utkaNWam ruditam sa-kampam asakRt yAtam sa-bAzpam ciram
   cakṣur dikṣu niveśitaṃ sakaruṇaṃ sakhyā samaṃ jalpitam /	cakzuH dikzu niveSitam sa-karuNam saKyA samam jalpitam /
   nāgacchaty ucite'pi vāsakavidhau kānte samudvignayā	na-AgacCati ucite-api vAsaka-viDO kAnte samudvignayA
   tat tat kiṃcid anuṣṭhitaṃ mṛgadṛśā no yatra vācāṃ gatiḥ // ST_1.79a //	tat tat kiMcid anuzWitam mRga-dRSA naH yatra vAcAm gatiH // ST_1.79aH //
   (Skm 669)	(Skm 669)
   yā nirlajjīkṛtā bāḍhaṃ madane madanena ca /	yA nirlajjIkRtA bAXam madane madanena ca /
   abhiyāti priyaṃ sābhi- sāriketi matā yathā // ST_1.80 //	aBiyAti priyam sa-aBi sArikA-iti matAH yaTA // ST_1.80 //
   no bhītaṃ taḍito dṛśā jalamucā taddarśanākāṅkṣayā	no BItam taxitaH dRSA jalamucA tad-darSana-AkAFkzayA
   no garjir gaṇitā bhṛśaṃ śrutimukhaṃ tadvāci saṃcintya ca /	naH garjiH gaNitAH BRSam SrutimuKam tad-vAci saMcintya ca /
   dhārāpātasamudbhavā na ca matā pīḍā tadāliṅganaṃ	DArA-pAta-samudBavA na ca matA pIxA tad-AliFganam
   vāñchantyā dayitābhisāraṇavidhau tanvyā paraṃ tatparam // ST_1.80a //	vAQCantyAH dayitA-aBisAraNa-viDO tanvyA param tat-param // ST_1.80aH //
   kutaścit kāraṇādyasyāḥ patir deśāntaraṃ gataḥ /	kutaScid kAraNAt-yasyAH patiH deSa-antaram gataH /
   dattvāvadhiṃ bhṛśārtā sā proṣitapreyasī yathā // ST_1.81 //	dattvA-avaDim BRSa-ArtA sA prozita-preyasI yaTA // ST_1.81 //
   utkṣipyālakamālikāṃ vilulitām āpāṇḍugaṇḍasthalā	utkzipya-alaka-mAlikAm vilulitAm ApANxu-gaNxasTalA
   dviśliṣyadvalayaprapātabhayataḥ prodyamya kiñcit karau /	dvi-Slizyat-valaya-prapAta-BayataH prodyamya kiQcid karO /
   dvārastambhaniṣaṇṇagātralatikā kenāpi puṇyātmanā	dvAra-stamBa-nizaNNa-gAtra-latikA kena-api puNya-AtmanA
   mārgālokanadattadṛṣṭir abalā tatkālam āliṅgyate // ST_1.81a // (Skm 763)	mArga-Alokanadatta-dRzwiH abalA tad-kAlam AliFgyate // ST_1.81aH // (Skm 763)
   niḥśvāsasantāpasakhīvacorti	niHSvAsa-santApa-saKI-vacorti
   cintāśrupātādiyutāḥ sakhedāḥ /	cintA-Sru-pAta-Adi-yutAH sa-KedAH /
   vācyā pralabdhāgatabhartṛkotkā	vAcyA pralabDa-Agata-BartR-kotkA
   tisandhitāḥ khaṇḍitayā sahātra // ST_1.82 //	tisanDitAH KaNxitayA saha-atra // ST_1.82 //
   vicitramaṇḍanā hṛṣṭā bhavet svādhīnabhartṛkā /	vicitra-maNxanA hRzwA Bavet svADIna-BartRkA /
   tathā vāsakasajjāpi sā kiṃ tv āgantukapriyā // ST_1.83 //	taTA vAsaka-sajjA-api sA kim tu Agantuka-priyA // ST_1.83 //
   kulajānyāṅganā veśyā tridhā syād abhisārikā /	kula-jAnya-aFganA veSyA triDA syAt aBisArikA /
   yathaivoktās tathaivānyāḥ svādhīnapatikādayaḥ // ST_1.84 //	yaTA-eva-uktAH taTA-eva-anyAH svADIna-patika-AdayaH // ST_1.84 //
   kulajā saṃvṛtā trastā savrīḍā ca drutaṃ vrajet /	kula-jA saMvRtA trastA sa-vrIxA ca drutam vrajet /
   nāyakaṃ paranārī ca samantād anavekṣitā // ST_1.85 //	nAyakam para-nArI ca samantAt anavekzitAH // ST_1.85 //
   sakhīyuktā madādhikyāt sphāritākṣī na śaṅkitā /	saKI-yuktA mad-a-ADikyAt sPArita-akzI na SaFkitA /
   saśabdābharaṇā kāmaṃ veśyā sarati nāyakam // ST_1.86 //	sa-Sabda-ABaraNA kAmam veSyA sarati nAyakam // ST_1.86 //
   trayodaśavidhā svīyā dvividhā ca parāṅganā /	trayodaSaviDA svIyA dviviDA ca para-aFganAH /
   ekā veśyā punaś cāṣṭāv avasthābhedato'tra tāḥ // ST_1.87 //	ekA veSyA punar ca-azwO avasTA-BedataH-atra tAH // ST_1.87 //
   punaś ca tās tridhā sarvā uttamā madhyamādhamā /	punar ca tAH triDA sarvAH uttamA maDyama-aDamA /
   itthaṃ śatatrayaṃ tāsām aśītiś caturuttarā // ST_1.88 //	itTam Sata-trayam tAsAm aSItiH catur-uttarA // ST_1.88 //
   doṣānurūpakopā yā- [a]nunītā ca prasīdati /	doza-anurUpa-kopA yA [a]nunItA ca prasIdati /
   rajyate ca bhṛśaṃ nāthe guṇahāryottameti sā // ST_1.89 //	rajyate ca BRSam nATe guNa-hArya-uttamA-iti sA // ST_1.89 //
   kānte kiṃ kupitāsi kaḥ parajane prāṇeśa kopo bhavet	kAnte kim kupitA-asi kaH para-jane prANeSa kopaH Bavet-
   ko'yaṃ subhru paras tvam eva dayite dāso'smi kas te paraḥ /	kaH-ayam suBru paraH tvam eva dayite dAsaH-asmi kaH te paraH /
   ity uktvā praṇataḥ priyaḥ kṣititalād utthāpya sānandayā	iti uktvA praNataH priyaH kziti-talAt utTApya sa-AnandayA
   netrāmbhaḥkaṇikāṅkite stanataṭe tanvyā samāropitaḥ // ST_1.89a //	netra-amBaH-kaNikA-aFkite stana-tawe tanvyA samAropitaH // ST_1.89aH //
   doṣe svalpe'pi yā kopaṃ dhatte kaṣṭena muñcati /	doze su-alpe-api yA kopam Datte kazwena muQcati /
   prayāti karuṇād rāgaṃ madhyamā sā matā yathā // ST_1.90 //	prayAti karuNAt rAgam maDyamA sA matAH yaTA // ST_1.90 //
   visphārasphuritādharāpi vikasadgaṇḍasthalapraskhala	visPAra-sPurita-aDarA-api vikasat-gaNxa-sTala-prasKala
   dgharmāmbhaḥkaṇikāpi bhaṅguratarabhrūbhedabhūṣāpy alam /	dGarmAmBaH-kaNikA-api BaFguH-atara-BrU-Beda-BUzA-api alam /
   pādāntaḥpraṇate priye prakaṭayaty antaḥ prasādaṃ priyā	pAda-antar-praNate priye prakawayati antar prasAdam priyA
   keśāramanrūpuṇḍalīṣu valitānunmocayantī śanaiḥ // ST_1.90a //	keSAra-manrU-puNxalIzu valitAn-unmocayantI SanEs // ST_1.90aH //
   yā kupyati vinā doṣaṃ snihyaty anunayaṃ vinā /	yA kupyati vinA dozam snihyati anunayam vinA /
   nirhetukapravṛttiś ca calacittāpi sādhamā // ST_1.91 //	nirhetuka-pravRttiH ca cala-cittA-api sADamA // ST_1.91 //
   yatrādhaḥkṛtakāmakārmukakatho bhrāmyadbhuvor vibhramaḥ	yatra-aDas-kRta-kAma-kArmuka-kaTaH BrAmyat-BuvoH viBramaH
   sadyaḥ prodgatacandrakāntijayinī yasmin kapolacchaviḥ /	sadyas prodgata-candra-kAnti-jayinI yasmin kapola=-CaviH /
   yatra svedakaṇāvaluptamahimā hāro'py urojasthale	yatra sveda-kaNA-valupta-mahimA hAraH-api uroja-sTale
   ko'yaṃ mānini matpraṇāmavimukhaḥ pratyagramānagrahaḥ // ST_1.91a //	kaH-ayam mAnini mad-praNAma-vimuKaH pratyagra-mAna-grahaH // ST_1.91aH //
   jātikālavayovasthā- bhāvakandarpanāyakaiḥ /	jAti-kAlava-yovasTA BAva-kandarpa-nAyakEH /
   itarā pay asaṅkhyāḥ syur noktā vistarabhītitaḥ // ST_1.92 //	itarA pay asaFKyAH syuH na-uktAH vistara-BItitaH // ST_1.92 //
   ity ādi sakalaṃ jñātvā svayaṃ cālokya tadvidām /	iti Adi sakalam jQAtvA svayam ca-Alokya tad-vidAm /
   kavīnāṃ ca viśeṣoktyā jñātavyāḥ sakalā imāḥ // ST_1.93 //	kavInAm ca viSeza-uktyAH jQAtavyAH sakalAH imAH // ST_1.93 //
   romāñcavepathustambha- svedanetrāmbuvibhramāḥ /	romAQca-vepaTu-stamBa sveda-netra-ambu-viBramAH /
   vācyāḥ saṃyogaśṛṅgāre kavinā nāyikāśritāḥ // ST_1.94 //	vAcyAH saMyoga-SRFgAre kavinA nAyikA-ASritAH // ST_1.94 //
   sambandhimitradvijarājatīkṣṇa	sambanDi-mitra-dvija-rAja-tIkzNa
   varṇādhikānāṃ pramadā na gamyāḥ /	varNa-aDikAnAm pramadAH na gamyAH /
   vyaṅgās tathā pravrajitā vibhinna	vyaFgAH taTA pravrajitAH viBinna
   mantrāś ca dharmārthamanobhavajñaiḥ // ST_1.95 //	mantrAH ca Darma-arTa-manaH-Bava-jQEH // ST_1.95 //
   anena mārgeṇa viśeṣaramyaṃ	anena mArgeNa viSeza-ramyam
   sambhogaśṛṅgāram imaṃ vitanvan /	samBoga-SRFgAram imam vitanvan /
   bhavet kavir bhāvarasānurakto	Bavet kaviH BAva-rasa-anuraktaH-
   vidagdhagoṣṭhīvanitāmanojñaiḥ // ST_1.96 //	vidagDa-gozWI-vanitA-manojQEH // ST_1.96 //
   iti śrīrudrabhaṭṭaviracite śṛṅgāratilakābhidhāne kāvyarasālaṅkāre	iti SrI-rudra-Bawwa-viracite SRFgAra-tilaka-aBiDAne kAvya-rasa-alaFkAre
   sambhogaśṛṅgāro nāma prathamaḥ paricchedaḥ /	samBoga-SRFgAraH nAma praTamaH paricCedaH /
   dvitīyaparicchedaḥ	dvitIya-paricCedaH
   vipralambhābhidhāno'yaṃ śṛṅgāraḥ syāc caturvidhaḥ /	vipralamBa-aBiDAnaH-ayam SRFgAraH syAt caturviDaH /
   pūrvānurāgo mānākhyaḥ pravāsaḥ karuṇātmakaḥ // ST_2.1 //	pUrva-anurAgaH mAna-AKyaH pravAsaH karuNA-AtmakaH // ST_2.1 //
   dampatyor darśanād eva samutpannānurāgayoḥ /	dampatyoH darSanAt eva samutpanna-anurAgayoH /
   jñeyaḥ pūrvānurāgo'yam aprāptau ca daśā yathā // ST_2.2 //	jQeyaH pUrva-anurAgaH-ayam aprAptO ca daSA yaTA // ST_2.2 //
   kiṃ candanair racayase nu mṛṇālaśayyāṃ	kim candanEH racayase nu mRNAla-SayyAm
   mā mā mamāli kuru komalatālavṛntam /	mA mA mama-ali kuru komala-tAlavRntam /
   muñcāgrahaṃ vikacapaṅkajayojaneṣu	muQcAgraham vikaca-paFkaja-yojanezu
   tatsaṅgamaḥ param apākurute smarāgnim // ST_2.2a //	tad-saFgamaH param apAkurute smara-agnim // ST_2.2aH //
   yat sārair iva paṅkajasya ghaṭitaṃ yac candragarbhād iva	yat sArEH iva paFkajasya Gawitam yat candra-garBAt iva
   protkīrṇaṃ yad anaṅgasāyakaśikhābhāseva saṃvardhitam /	protkIrNam yat anaFga-sAyaka-SiKA-ABAsA-iva saMvarDitam /
   yat saṃsicya sudhārasair iva rater āsthānabhūmīkṛtaṃ	yat saMsicya suDA-rasEH iva rateH AsTAna-BUmIkRtam
   tad bhūyo'pi kadā saroruhadṛśaḥ paśyāmi tasyā mukham // ST_2.2b //	tat BUyas-api kadA saroruha-dRSaH paSyAmi tasyAH muKam // ST_2.2B //
   mṛṇālakadalīcandra- candanāmburuhādikam /	mRNAla-kadalI-candra candana-amburuha-Adikam /
   tatrānayoḥ smarātaṅka- śāntaye naiva sevitam // ST_2.3 //	tatra-anayoH smara-AtaFka SAntaye na-eva sevitam // ST_2.3 //
   ālokālāpasaṃrūḍha- rāgākulitacetasoḥ /	Aloka-AlApa-saMrUXa rAga-Akulita-cetasoH /
   tayor bhaved asaṃprāptau daśāvasthaḥ smaro yathā // ST_2.4 //	tayoH Bavet asaMprAptO daSa-avasTaH smaraH yaTA // ST_2.4 //
   abhilāṣo'tha cintā syāt smṛtiś ca guṇakīrtanam /	aBilAzaH-aTa cintA syAt smRtiH ca guNa-kIrtanam /
   udvego'tha pralāpaḥ syād unmādo vyādhir eva ca // ST_2.5 //	udvegaH-aTa pralApaH syAt unmAdaH vyADiH eva ca // ST_2.5 //
   jaḍatā maraṇaṃ caiva daśamaṃ jāyate dhruvam /	jaxatA maraNam ca-eva daSamam jAyate Druvam /
   asaṃprāptau bhavanty etās tayor daśa daśā yathā // ST_2.6 //	asaMprAptO Bavanti etAH tayoH daSa daSA yaTA // ST_2.6 //
   vyavasāyo bhaved yatra bāḍhaṃ tatsaṅgamāśayā /	vyavasAyaH Bavet yatra bAXam tad-saFgam-ASayA /
   saṅkalpākulacittatvāt so'bhilāṣaḥ smṛto yathā // ST_2.7 //	saFkalpa-Akula-citta-tvAt saH-aBilAzaH smRtaH yaTA // ST_2.7 //
   praviśati yathā gehe'kasmād bahiś ca viceṣṭate	praviSati yaTA gehe-akasmAt bahis ca vicezwate
   vadati ca yathā sakhyā sārdhaṃ sahāsam ihotsukā /	vadati ca yaTA saKyA sArDam sa-hAsam iha-utsukA /
   dayitavadanāloke mandaṃ yathā ca calaty asau	dayita-vat-anAloke mandam yaTA ca calati asO
   mṛgadṛśi tathaitasyāṃ manye smareṇa kṛtaṃ padam // ST_2.7b // (Skm 959)	mRga-dRSi taTA-etasyAm manye smareNa kRtam padam // ST_2.7B // (Skm 959)
   kathaṃ sa vallabhaḥ prāpyaḥ kiṃ kuryām asya siddhaye /	kaTam sa vallaBaH prApyaH kim kuryAm asya sidDaye /
   kathaṃ bhaved asau vaśya iti cintā matā yathā // ST_2.8 //	kaTam Bavet asO vaSyaH iti cintA matAH yaTA // ST_2.8 //
   satyaṃ durlabha eṣa vallabhatamo rāgo mamāsmin punaḥ	satyam durlaBaH eza vallaBatamaH rAgaH mama-asmin punar-
   ko'py anyo'sti gurur na cātinipuṇāḥ sakhyo'sya saṃbodhane /	kaH-api anyaH-asti guruH na ca-ati-nipuNAH saKyaH-asya saMboDane /
   saṃcintyeti mṛgīdṛśā priyatame dṛṣṭe ślathāṃ mekhalāṃ	saMcintya-iti mRgI-dRSA priyatame dRzwe SlaTAm meKalAm
   badhnantyā na gataṃ sthitaṃ na ca galadvāso na vā saṃvṛtam // ST_2.8a //	baDnantyA na gatam sTitam na ca galadvAsaH na vA saMvRtam // ST_2.8aH //
   dveṣo yatrānyakāryeṣu tadekāgraṃ ca mānasam /	dvezaH yatra-anya-kAryezu tad-ekAgram ca mAnasam /
   śvāsair manorathaiś cāpi ceṣṭās tāḥ smaraṇaṃ yathā // ST_2.9 //	SvAsEH manoraTEH ca-api cezwAH tAH smaraNam yaTA // ST_2.9 //
   induṃ nindati padmakandaladalais talpaṃ na vā manyate	indum nindati padma-kandala-dalEH talpam na vA manyate
   karpūraṃ kirati prayāti na ratiṃ prāleyadhārāgṛhe /	karpUram kirati prayAti na ratim prAleya-DArA-gRhe /
   śvāsaiḥ kevalam eva kheditatanur dhyāyaty asau bālikā	SvAsEH kevalam eva Kedita-tanuH DyAyati asO bAlikA
   yat tat ko'pi yuvā dhruvaṃ smarasuhṛccetasy amuṣāḥ sthitaḥ // ST_2.9a //	yat tat kaH-api yuvA Druvam smara-suhRd-cetasi amuzAH sTitaH // ST_2.9aH //
   saundaryahasitālāpair nāsty anyas tatsamo yuvā /	sOndarya-hasita-AlApEH na-asti anyaH tad-samaH yuvA /
   iti vāṇī bhaved yatra tad itthaṃ guṇakīrtanam // ST_2.10 //	iti vANI Bavet yatra tat itTam guNa-kIrtanam // ST_2.10 //
   tadvaktraṃ hasitendumaṇḍalam iti sphāraṃ tadālokitaṃ	tad-vaktram hasita-indu-maNxalam iti sPAram tad-Alokitam
   sā vāṇī jitakāmakārmukaravā saundaryam etasya tat /	sA vANI jita-kAma-kArmuka-ravA sOndaryam etasya tat /
   itthaṃ saṃtatam āli vallabhatamadhyānaprasaktātmanaś	itTam saMtatam Ali valla-Batama-DyAna-prasakta-AtmanaH-
   cetaś cumbitakālakūṭam iva me kasmād idaṃ muhyati // ST_2.10a //	cetaH cumbita-kAlakUwam iva me kasmAt idam muhyati // ST_2.10aH //
   yasmin ramyam aramyaṃ vā na ca harṣāya jāyate /	yasmin ramyam aramyam vA na ca harzAya jAyate /
   pradveṣaḥ prāṇitavye'pi sa udvegaḥ smṛto yathā // ST_2.11 //	pradvezaH prANitavye-api saH udvegaH smRtaH yaTA // ST_2.11 //
   agnyākāraṃ kalayasi puraś cakravākīva candraṃ	agni-AkAram kalayasi puras cakravAkI-iva candram
   baddhotkampaṃ śiśiramarutā dahyase padminīva /	badDa-utkampam SiSira-marutA dahyase padminI-iva /
   prāṇān dhatse katham api balād gacchataḥ śalyatulyāṃ	prANAn Datse kaTam api balAt gacCataH Salya-tulyAm
   stat kenāsau sutanu jantio mānmathas te vikāraḥ // ST_2.11a // (Skm 972)	stat kena-asO su-tanu jantiaH mAnmaTaH te vikAraH // ST_2.11aH // (Skm 972)
   bambhramīti mano yasmin ratyautsukyād itas tataḥ /	bamBrami-iti manaH yasmin ratya-OtsukyAt itas tatas /
   vācaḥ priyāśritā eva sa pralāpaḥ smṛto yathā // ST_2.12 //	vAcaH priya-ASritAH eva sa pralApaH smRtaH yaTA // ST_2.12 //
   itthaṃ tena nirīkṣitaṃ na ca mayāpy evaṃ samālokitas	itTam tena nirIkzitam na ca mayA-api evam samAlokitaH-
   tenoktaṃ subhagena tatra na mayā dattaṃ vaco mandayā /	tena-uktam suBagena tatra na mayA dattam vacaH mandayA /
   tat satyaṃ kathayāli kiṃ sa subhagaḥ kupyen na mahyaṃ gata	tat satyam kaTayAli kim sa suBagaH kupyet na mahyam gata
   ity uktvā sudṛśā kayāpi valitagrīvaṃ dṛśau sphārite // ST_2.12a //	iti uktvA su-dRSA kayA-api valita-grIvam dRSO sPArite // ST_2.12aH //
   śvāsaprarodanotkampa- vasudhollekhanair api /	SvAsa-prarodana-utkampa vasuDA-ulleKanEH api /
   vyāpāro jāyate yatra sa unmādaḥ smṛto yathā // ST_2.13 //	vyApAraH jAyate yatra saH unmAdaH smRtaH yaTA // ST_2.13 //
   devīvānimiṣekṣaṇā vilikhati kṣoṇīṃ śvasity uccakaiḥ	devI-ivA-nimiza-IkzaNA viliKati kzoNIm Svasiti uccakEs-
   kiṃcid dhyāyati niścalā ca balavad romāñcitā kampate /	kiMcid DyAyati niScalA ca balavat romAQcitA kampate /
   rodity aṅgagatāṃ vilokya suciraṃ vīṇām api vyāpṛtā	roditi aFga-gatAm vilokya su-ciram vINAm api vyApRtA
   svalpair eva dinair iyaṃ varatanuḥ kenāpi saṃśikṣitā // ST_2.13a //	su-alpEH eva dinEH iyam vara-tanuH kena-api saMSikzitAH // ST_2.13aH //
   santāpavedanāprāyo dīrghaśvāsasamākulaḥ /	santApa-vedanA-prAyaH dIrGa-SvAsa-samAkulaH /
   tanūkṛtatanur vyādhir aṣṭamo'yaṃ smṛto yathā // ST_2.14 //	tanUkRta-tanuH vyADiH azwamaH-ayam smRtaH yaTA // ST_2.14 //
   tāpaḥ śoṣitacandanodakarasaḥ śvāsā vikīrṇotpalāḥ	tApaH Sozita-candana-udaka-rasaH SvAsAH vikIrNa-utpalAH
   karpūrābhibhavapracaṇḍapaṭimā gaṇḍasthale pāṇḍimā /	karpUra-aBiBava-pracaNxa-pawimA gaNxa-sTale pANximAH /
   mlāyadbālamṛṇālanālalalitā prāptā tanus tānavaṃ	mlAyat-bAla-mRNAla-nAla-lalitA prAptA tanuH tAnavam
   tanvaṅgyāḥ kathitaḥ smareṇa guruṇā ko'py eṣa kaṣṭakramaḥ // ST_2.14a //	tanu-aFgyAH kaTitaH smareNa guruNA kaH-api eza kazwakramaH // ST_2.14aH //
   akāṇḍe yatra huṃkāro dṛṣṭiḥ stabdhā gatā smṛtiḥ /	akANxe yatra huMkAraH dRzwiH stabDA gatA smRtiH /
   śvāsāḥ samadhikāḥ kārśyaṃ jaḍateyaṃ matā yathā // ST_2.15 //	SvAsAH samaDikAH kArSyam jaxatA-iyam matAH yaTA // ST_2.15 //
   dṛṣṭir niścalatārakādharadalaṃ śvāsaiḥ kṛtaṃ dhūṣaraṃ	dRzwiH niScala-tAraka-aDara-dalam SvAsEH kRtam DUzaram
   prāptaṃ vāsaracandrabimbapadavīṃ vaktraṃ vinaṣṭā smṛtiḥ /	prAptam vAsara-candra-bimba-padavIm vaktram vinazwA smRtiH /
   huṃkāraḥ param eka eva vacanasthāne sthitaḥ sāṃprataṃ	huMkAraH param ekaH eva vacana-sTAne sTitaH sAMpratam
   manye'syāḥ kusumāyudhaḥ saśibiraḥ pratyaṅgam āvāsitaḥ // ST_2.15a //	manye-asyAH kusumAyuDaH sa-SibiraH pratyaFgam AvAsitaH // ST_2.15aH //
   upāyair vividhair nāryā yadi na syāt samāgamaḥ /	upAyEH viviDEH nAryAH yadi na syAt samAgamaH /
   kandarpaśarabhinnāyā maraṇaṃ jāyate tataḥ // ST_2.16 //	kandarpa-Sara-BinnAyAH maraNam jAyate tatas // ST_2.16 //
   puṃso'pi hi bhavanty etā daśāvasthā manobhavāt /	puMsaH-api hi Bavanti etAH daSa-avasTA manoBavAt /
   maraṇaṃ kiṃ tv asaundaryāt tayoḥ kaiścin na badhyate // ST_2.17 //	maraNam kim tu asOndaryAt tayoH kEScid na baDyate // ST_2.17 //
   anye tad api badhnanti pratyujjīvanakāṅkṣayā /	anye tat api baDnanti pratyujjIvana-kAFkzayA /
   vṛttānuvāde tacchastam utpādye prāyaśo nahi // ST_2.18 //	vRtta-anuvAde tad-Sastam utpAdye prAyaSas na-hi // ST_2.18 //
   ekasmiṃs tu mṛte'py anyo yadi jīvet kathaṃcana /	ekasmin tu mRte-api anyaH yadi jIvet kaTaMcana /
   kā snehagaṇanā tatra mriyate cen na saṅgamaḥ // ST_2.19 //	kA sneha-gaNanA tatra mriyate ced na saFgamaH // ST_2.19 //
   pūrvaṃ nārī bhaved raktā pumān paścāt tad iṅgitaiḥ /	pUrvam nArI Bavet raktA pumAn paScAt tat iFgitEH /
   tataḥ saṃbhogalīleti svabhāvasubhagā sthitiḥ // ST_2.20 //	tatas saMBoga-lIlA-iti svaBAva-suBagA sTitiH // ST_2.20 //
   anyathāpi na doṣaḥ syād yadi prema samaṃ dvayoḥ /	anyaTA-api na dozaH syAt yadi prema samam dvayoH /
   raktāparaktā vṛttiś cec chṛṅgārābhāsa eva saḥ // ST_2.21 //	rakta-aparaktA vRttiH ced SRFgAra-ABAsaH eva saH // ST_2.21 //
   ayaṃ ca prāyaśas tajjñair itthaṃ hāsyeṣu badhyate /	ayam ca prAyaSas tad-jQEH itTam hAsyezu baDyate /
   nirdravyeṇa mayā sārdhaṃ veśye mānaya yauvanam // ST_2.22 //	nirdravyeNa mayA sArDam veSye mAnaya yOvanam // ST_2.22 //
   anurakto bhaved yasyāṃ nāyakas tatsakhījanam /	anuraktaH Bavet yasyAm nAyakaH tad-saKI-janam /
   sāmnā mānena dānena bāḍham āvarjayaty asau // ST_2.23 //	sAmnA mAnena dAnena bAXam Avarjayati asO // ST_2.23 //
   tasyāgre tatkathāṃ kurvan svābhiprāyaṃ prakāśayet /	tasya-agre tat-kaTAm kurvan sva-aBiprAyam prakASayet /
   tadabhāve prayuñjīta kāścit pravrajitādikāḥ // ST_2.24 //	tad-aBAve prayuQjIta kAScid pravrajita-AdikAH // ST_2.24 //
