   // om namo buddhāya //	// om namaH budDAya //
   Saundaranandaṃ Mahākāvyam	SOndara-nandam MahAkAvyam
   paramācāryaviṣṭabdho brahmacaryeṃ cacāra saḥ // Saund_11.4 //	parama-AcArya-vizwabDaH brahmacaryem cacAra saH // SOnd-_11.4 //
   saṃvṛtena ca śāntena tīvreṇa madanena ca /	saMvRtena ca SAntena tIvreNa madanena ca /
   jalāgneriva saṃsargācchaśāma ca śuśoṣa ca // Saund_11.5 //	jala-agneH-iva saMsarga-acSaSAma ca SuSoza ca // SOnd-_11.5 //
   svabhāvadarśanīyo 'pi vairūpyamagamat param /	svaBAva-darSanIyaH api vErUpyam-agamat param /
   cintayāpsarasāṃ caiva niyamenāyatena ca // Saund_11.6 //	cintayA-apsarasAm ca-eva niyamena-Ayatena ca // SOnd-_11.6 //
   prastāveṣvapi bhāryāyāṃ priyabhāryastathāpi saḥ /	prastAvezu-api BAryAyAm priya-BAryaH-taTA-api saH /
   vītarāga ivātasthau na jaharṣa na cukṣubhe // Saund_11.7 //	vIta-rAgaH iva-AtasTO na jaharza na cukzuBe // SOnd-_11.7 //
   taṃ vyavasthitamājñāya bhāryārāgāt parāṅmukham /	tam vyavasTitam-AjQAya BAryA-rAgAt parAFmuKam /
   abhigamyābravīnnandamānandaḥ praṇayādidam // Saund_11.8 //	aBigamya-abravIt-nandam-AnandaH praNayAt-idam // SOnd-_11.8 //
   aho sadṛśamārabdhaṃ śrutamasyābhijanasya ca /	aho sadRSam-ArabDam Srutam-asya-aBijanasya ca /
   nigṛhītendriyaḥ svastho niyame yadi saṃsthitaḥ // Saund_11.9 //	nigRhIta-indriyaH svasTaH niyame yadi saMsTitaH // SOnd-_11.9 //
   abhiṣvaktasya kāmeṣu rāgiṇo viṣayātmanaḥ /	aBizvaktasya kAmezu rAgiNaH vizaya-AtmanaH /
   yadiyaṃ saṃvidutpannā neyamalpena hetunā // Saund_11.10 //	yat-iyam saMvid-utpannA na-iyam-alpena hetunA // SOnd-_11.10 //
   vyādhiralpena yatnena mṛduḥ pratinivāryate /	vyADiH-alpena yatnena mRduH pratinivAryate /
   prabalaḥ prabalaireva yatnairnaśyati vā na vā // Saund_11.11 //	prabalaH prabalEH-eva yatnEH-naSyati vA na vA // SOnd-_11.11 //
   durharo mānaso vyādhirbalavāṃśca tavābhavat /	durharaH mAnasaH vyADiH-balavAn=-ca tava-aBavat /
   vinivṛtto yadi [ca] te sarvathā dhṛtimānasi // Saund_11.12 //	vinivRttaH yadi [ca] te sarvaTA DRtimAn-asi // SOnd-_11.12 //
   duṣkaraṃ sādhvanāryeṇa māninā caiva mārdavam /	duzkaram sADu-anAryeNa mAninA ca-eva mArdavam /
   atisargaśca lubdhena brahmacaryaṃ ca rāgiṇā // Saund_11.13 //	atisargaH-ca lubDena brahmacaryam ca rAgiNA // SOnd-_11.13 //
   ekastu mama saṃdehastavāsyāṃ niyame dhṛtau /	ekaH-tu mama saMdehaH-tava-asyAm niyame DRtO /
   atrānunayamicchāmi vaktavyaṃ yadi manyase // Saund_11.14 //	atra-anunayam-icCAmi vaktavyam yadi manyase // SOnd-_11.14 //
   ārjavābhihitaṃ vākyaṃ na ca mantavyamanyathā /	Arjava-aBihitam vAkyam na ca mantavyam-anyaTA /
   rūkṣamapyāśaye śuddhe rukṣato naiti sajjanaḥ // Saund_11.15 //	rUkzam-api-ASaye SudDe rukzataH na-eti sat-janaH // SOnd-_11.15 //
   apriyaṃ hi hitaṃ snigdhamasnigdhamahitaṃ priyam /	apriyam hi hitam snigDam-asnigDam-ahitam priyam /
   durlabhaṃ tu priyahitaṃ svādu pathyamivauṣadham // Saund_11.16 //	durlaBam tu priya-hitam svAdu paTyam-iva-OzaDam // SOnd-_11.16 //
   viśvāsaścārthacaryā ca sāmānyaṃ sukhaduḥkhayoḥ /	viSvAsaH-ca-arTa-caryA ca sAmAnyam suKa-duHKayoH /
   marṣaṇaṃ praṇayaścaiva mitravṛttiriyaṃ satām // Saund_11.17 //	marzaNam praNayaH-ca-eva mitra-vRttiH-iyam satAm // SOnd-_11.17 //
   tadidaṃ tvāṃ vivakṣāmi praṇayānna jighāṃsayā /	tat-idam tvAm vivakzAmi praNayAt-na jiGAMsayA /
   tvacchreyo hi vivakṣā me yato nārhāmyupekṣitum // Saund_11.18 //	tvad-SreyaH hi vivakzA me yatas na-arhAmi-upekzitum // SOnd-_11.18 //
   apsarobhṛtako dharmaṃ carasītyabhidhīyase /	apsaraH-BRtakaH Darmam carasi-iti-aBiDIyase /
   kimidaṃ bhūtamāhosvit parihāso 'yamīdṛśaḥ // Saund_11.19 //	kim-idam BUtam-Ahosvit parihAsaH ayam-IdRSaH // SOnd-_11.19 //
   yadi tāvadidaṃ satyaṃ vakṣyāmyatra yadauṣadham /	yadi tAvat-idam satyam vakzyAmi-atra yat-OzaDam /
   auddhatyamatha vaktṛṇāmabhidhāsyāmi tadrajaḥ // Saund_11.20 //	OdDatyam-aTa vaktRNAm-aBiDAsyAmi tad-rajaH // SOnd-_11.20 //
   ślakṣṇapūrvamatho tena hṛdi so 'bhihatastadā /	SlakzNa-pUrvam-aTo tena hRdi saH aBihataH-tadA /
   dhyātvā dīrghaṃ niśaśvāsa kiñciccāvāṅmukho 'bhavat // Saund_11.21 //	DyAtvA dIrGam niSaSvAsa kiQcid-ca-avAFmuKaH aBavat // SOnd-_11.21 //
   tatastasyeṅgitaṃ jñātvā manaḥsaṃkalpasūcakam /	tatas-tasya-iFgitam jQAtvA manaH-saMkalpa-sUcakam /
   babhāṣe vākyamānando madhurodarkamapriyam // Saund_11.22 //	baBAze vAkyam-AnandaH maDura-udarkam-apriyam // SOnd-_11.22 //
   ākāreṇāvagacchāmi tava dharmaprayojanam /	AkAreNa-avagacCAmi tava Darma-prayojanam /
   yajjñātvā tvayi jātaṃ me hāsyaṃ kāruṇyameva ca // Saund_11.23 //	yat-jQAtvA tvayi jAtam me hAsyam kAruNyam-eva ca // SOnd-_11.23 //
   yathāsanārthaṃ skandhena kaścid gurvīṃ śilāṃ vahet /	yaTA-Asana-arTam skanDena kaScid gurvIm SilAm vahet /
   tadvattvamapi kāmārthaṃ niyamaṃ voḍhumudyataḥ // Saund_11.24 //	tadvat-tvam-api kAma-arTam niyamam voXum-udyataH // SOnd-_11.24 //
   titāḍayiṣayā dṛpto yathā meṣo 'parsati /	titAxayizayA dRptaH yaTA mezaH aparsati /
   tadvadabrahmacaryāya brahmacaryamidaṃ tava // Saund_11.25 //	tadvat-abrahmacaryAya brahmacaryam-idam tava // SOnd-_11.25 //
   cikrīṣanti yathā paṇyaṃ vaṇijo lābhalipsayā /	cikrIzanti yaTA paNyam vaNijaH lABa-lipsayA /
   dharmacaryā tava tathā paṇyabhūtā na śāntaye // Saund_11.26 //	Darma-caryA tava taTA paNya-BUtAH na SAntaye // SOnd-_11.26 //
   yathā phalaviśeṣārtha bījaṃ vapati kārṣakaḥ /	yaTA Pala-viSeza-arTa bIjam vapati kArzakaH /
   tadvad viṣayakārpaṇyād viṣayāṃstyaktavānasi // Saund_11.27 //	tadvat vizaya-kArpaNyAt vizayAn=-tyaktavAn-asi // SOnd-_11.27 //
   ākāṅkṣecca yathā rogaṃ pratīkārasukhepsayā /	AkAFkzet-ca yaTA rogam pratIkAra-suKa-IpsayA /
   duḥkhamanvicchati bhavāṃstathā viṣayatṛṣṇayā // Saund_11.28 //	duHKam-anvicCati BavAn=-taTA vizaya-tRzNayA // SOnd-_11.28 //
   yathā paśyati madhveva na prapātamavekṣate /	yaTA paSyati maDu-eva na prapAtam-avekzate /
   paśyasyapsarasastadvad bhraṃśamante na paśyasi // Saund_11.29 //	paSyasi-apsarasaH-tadvat BraMSam-ante na paSyasi // SOnd-_11.29 //
   hṛdi kāmāgninā dīpte kāyena vahato vratam /	hRdi kAma-agninA dIpte kAyena vahataH vratam /
   kimidaṃ brahmacaryaṃ te manasābrahmacāriṇaḥ // Saund_11.30 //	kim-idam brahmacaryam te manasA-abrahmacAriNaH // SOnd-_11.30 //
   saṃsāre vartamānena yadā cāpsarasastvayā /	saMsAre vartamAnena yadA ca-apsarasaH-tvayA /
   prāptāstyaktāśca śataśastābhyaḥ kimiti te spṛhā // Saund_11.31 //	prAptAH-tyaktAH-ca SataSas-tAByaH kim-iti te spRhA // SOnd-_11.31 //
   tṛptirnāstīndhanairagnernāmbhasā lavaṇāmbhasaḥ /	tRptiH-na-asti-inDanEH-agneH-na-amBasA lavaNa-amBasaH /
   nāpi kāmaiḥ satṛṣṇasya tasmāt kāmā na tṛṣtaye // Saund_11.32 //	na-api kAmEH sa-tRzNasya tasmAt kAmAH na tRztaye // SOnd-_11.32 //
   atṛptau sa kutaḥ śāntiraśāntau ca kutaḥ sukham /	atRptO sa kutas SAntiH-aSAntO ca kutas suKam /
   asukhe ca kutaḥ prītiraprītau ca kuto ratiḥ // Saund_11.33 //	asuKe ca kutas prItiH-aprItO ca kutas ratiH // SOnd-_11.33 //
   riraṃsā yadi te tasmādadhyātme dhīyatāṃ manaḥ /	riraMsA yadi te tasmAt-aDyAtme DIyatAm manaH /
   praśāntā cānavadyā ca nāstyadhyātmasamā ratiḥ // Saund_11.34 //	praSAntA ca-anavadyA ca na-asti-aDyAtma-samA ratiH // SOnd-_11.34 //
   na tatra kāryaṃ tūryaiste na strībhirna vibhūṣaṇaiḥ /	na tatra kAryam tUryEH-te na strIBiH-na viBUzaNEH /
   ekastvaṃ [yatra]tatrasthastayā ratyābhiraṃsyase // Saund_11.35 //	ekaH-tvam [yatra]tatra-sTaH-tayA ratyA-aBiraMsyase // SOnd-_11.35 //
   mānasaṃ balavad duḥkhaṃ tarṣe tiṣṭhati tiṣṭhati /	mAnasam balavat duHKam tarze tizWati tizWati /
   taṃ tarṣaṃ chindhi duḥkhaṃ hi tṛṣṇā cāsti ca nāsti ca // Saund_11.36 //	tam tarzam CinDi duHKam hi tRzNA ca-asti ca na-asti ca // SOnd-_11.36 //
   saṃpattau vā vipattau vā divā vā naktameva vā /	saMpattO vA vipattO vA divA vA naktam-eva vA /
   kāmeṣu hi satṛṣṇasya na śāntirupapadyate // Saund_11.37 //	kAmezu hi sa-tRzNasya na SAntiH-upapadyate // SOnd-_11.37 //
   kāmānāṃ prārthanā duḥkhā prāptau tṛptirna vidyate /	kAmAnAm prArTanA duHKA prAptO tRptiH-na vidyate /
   viyogānniyataḥ śoko viyogaśca dhruvo divi // Saund_11.38 //	viyogAt-niyataH SokaH viyogaH-ca DruvaH divi // SOnd-_11.38 //
   kṛtvāpi duṣkaraṃ karma svarge labdhvāpi durlabham /	kRtvA-api duzkaram karma svarge labDvA-api durlaBam /
   nṛlokaṃ punarevaiti pravāsāt svagṛhaṃ yathā // Saund_11.39 //	nR-lokam punar-eva-eti pravAsAt sva-gRham yaTA // SOnd-_11.39 //
   yadā bhraṣṭasya kuśalaṃ śiṣṭaṃ kiṃcinna vidyate /	yadA Brazwasya kuSalam Sizwam kiMcid-na vidyate /
   tiryakṣu pitṛloke vā narake copapadyate // Saund_11.40 //	tiryakzu pitR-loke vA narake ca-upapadyate // SOnd-_11.40 //
   tasya bhuktavataḥ svarge viṣayānuttamānapi /	tasya BuktavataH svarge vizayAn-uttamAn-api /
   bhraṣṭasyārtasya duḥkhena kimāsvādaḥ karoti saḥ // Saund_11.41 //	Brazwasya-Artasya duHKena kimAsvAdaH karoti saH // SOnd-_11.41 //
   śyenāya prāṇivātsalyāt svamāṃsānyapi dattavān /	SyenAya prANi-vAtsalyAt sva-mAMsAni-api dattavAn /
   śiviḥ svargāt paribhraṣṭastādṛk kṛtvāpi duṣkaram // Saund_11.42 //	SiviH svargAt pariBrazwaH-tAdRS kRtvA-api duzkaram // SOnd-_11.42 //
   śakrasyārdhāsanaṃ gatvā pūrvapārthiva eṃva yaḥ /	Sakrasya-arDa-Asanam gatvA pUrva-pArTivaH eMva yaH /
   sa devatvaṃ gataḥ kāle māndhātādhaḥ punaryayau // Saund_11.43 //	sa deva-tvam gataH kAle mAnDAtA-aDas punar-yayO // SOnd-_11.43 //
   rājyaṃ kṛtvāpi devānāṃ papāta nahuṣo bhuvi /	rAjyam kRtvA-api devAnAm papAta nahuzaH Buvi /
   prāptaḥ kila bhujaṃgatvaṃ nādyāpi parimucyate // Saund_11.44 //	prAptaH kila BujaMga-tvam na-adya-api parimucyate // SOnd-_11.44 //
   tathaivelivilo rājā rājavṛttena saṃskṛtaḥ /	taTA-eva-ilivilaH rAjA rAja-vRttena saMskRtaH /
   svargaṃ gatvā punarbhraṣṭaḥ kūrmībhūtaḥ kilārṇave // Saund_11.45 //	svargam gatvA punar-BrazwaH kUrmIBUtaH kila-arNave // SOnd-_11.45 //
   bhūridyumno yayātiśca te cānye ca nṛparṣabhāḥ /	BUridyumnaH yayAtiH-ca te ca-anye ca nRpa-RzaBAH /
   karmabhirdyāmabhikrīya tatkṣayāt punaratyajan // Saund_11.46 //	karmaBiH-dyAm-aBikrIya tad-kzayAt punar-atyajan // SOnd-_11.46 //
   asurāḥ pūrvadevāstu surairapahṛtaśriyaḥ /	asurAH pUrvadevAH-tu surEH-apahRta-SriyaH /
   śriyaṃ samanuśocantaḥ pātālaṃ śaraṇaṃ yayuḥ // Saund_11.47 //	Sriyam samanuSocantaH pAtAlam SaraNam yayuH // SOnd-_11.47 //
   kiṃ ca rājarṣibhistāvadasurairvā surādibhiḥ /	kim ca rAjarziBiH-tAvat-asurEH-vA sura-AdiBiH /
   mahendrāḥ śataśaḥ peturmāhātmyamapi na sthiram // Saund_11.48 //	mahA-indrAH SataSas petuH-mAhAtmyam-api na sTiram // SOnd-_11.48 //
   saṃsadaṃ śobhāyitvaindrīmupendraścendravikramaḥ /	saMsadam SoBAyitvA-EndrIm-upendraH-ca-indra-vikramaH /
   kṣīṇakarmā papātorvīṃ madhyādapsarasāṃ rasan // Saund_11.49 //	kzINa-karmA papAta-urvIm maDyAt-apsarasAm rasan // SOnd-_11.49 //
   hā caitraratha hā vāpi hā mandākini hā priye /	hA cEtraraTa hA vA-api hA mandAkini hA priye /
   ityārtā vilapanto 'pi gāṃ patanti divaukasaḥ // Saund_11.50 //	iti-ArtAH vilapantaH api gAm patanti divOkasaH // SOnd-_11.50 //
   tīvraṃ hyutpadyate duḥkhamiha tāvanmumūrṣatām /	tIvram hi-utpadyate duHKam-iha tAvat-mumUrzatAm /
   kiṃ punaḥ patatāṃ svargādevānte sukhasevinām // Saund_11.51 //	kim punar patatAm svargAt-eva-ante suKa-sevinAm // SOnd-_11.51 //
   rajo gṛṇhanti vāsāṃsi mlāyanti paramāḥ srajaḥ /	rajaH gRNhanti vAsAMsi mlAyanti paramAH srajaH /
   gātrebhyo jāyate svedo ratirbhavati nāsane // Saund_11.52 //	gAtreByaH jAyate svedaH ratiH-Bavati na-Asane // SOnd-_11.52 //
   etānyādau nimittāni cyutau svargād divaukasām /	etAni-AdO nimittAni cyutO svargAt divOkasAm /
   aniṣṭānīva martyānāmariṣṭāni mumūrṣatām // Saund_11.53 //	anizwAni-iva martyAnAm-arizwAni mumUrzatAm // SOnd-_11.53 //
   sukhamutpadyate yacca divi kāmānupāśnatām /	suKam-utpadyate yat-ca divi kAmAn-upASnatAm /
   yacca duḥkhaṃ nipatatāṃ duḥkhameva viśiṣyate // Saund_11.54 //	yat-ca duHKam nipatatAm duHKam-eva viSizyate // SOnd-_11.54 //
   tasmādasvantamatrāṇamaviśvāsyamatarpakam /	tasmAt-asvantam-atra-aNam-aviSvAsyam-atarpakam /
   vijñāya kṣayiṇaṃ svargamapavarge matiṃ kuru // Saund_11.55 //	vijQAya kzayiNam svargam-apavarge matim kuru // SOnd-_11.55 //
   aśarīraṃ bhavāgraṃ hi gatvāpi munirudrakaḥ /	aSarIram Bava-agram hi gatvA-api muni-H-udrakaH /
   karmaṇo 'nte cyutastasmāt tiryagyoniṃ prapatsyate // Saund_11.56 //	karmaNaH ante cyutaH-tasmAt tiryagyonim prapatsyate // SOnd-_11.56 //
   maitrayā saptavārṣikyā brahmalokamito gataḥ /	mEtrayA sapta-vArzikyAH brahma-lokam-itas gataH /
   sunetraḥ punarāvṛtto garbhavāsamupeyivān // Saund_11.57 //	sunetraH punarAvRttaH garBa-vAsam-upeyivAn // SOnd-_11.57 //
   yadā caiśvaryavanto 'pi kṣayiṇaḥ svargavāsinaḥ /	yadA ca-ESvaryavantaH api kzayiNaH svarga-vAsinaH /
   ko nāma svargavāsaya kṣeṣṇave spṛhayed budhaḥ // Saund_11.58 //	kaH nAma svarga-vAsaya kzezNave spRhayet buDaH // SOnd-_11.58 //
   sūtreṇa baddho hi yathā vihaṃgo vyāvartate dūragato 'pi bhūyaḥ /	sUtreNa badDaH hi yaTA vihaMgaH vyAvartate dUra-gataH api BUyas /
   ajñānasūtreṇa tathāvabaddho gato 'pi dūraṃ punareti lokaḥ // Saund_11.59	ajQAna-sUtreNa taTA-avabadDaH gataH api dUram punar-eti lokaH // SOnd-_11.59
   kṛtvā kālavilakṣaṇaṃ pratibhuvā mukto yathā bandhanād	kRtvA kAla-vilakzaNam pratiBuvA muktaH yaTA banDanAt-
   bhuktvā veśmasukhānyatītya samayaṃ bhūyo viśed vandhanaṃ /	BuktvA veSma-suKAni-atItya samayam BUyas viSet vanDanam /
   tadvad dyāṃ pratibhūvadātmaniyamairdhyānādibhiḥ prāptavān	tadvat dyAm pratiBU-vat-Atma-niyamEH-DyAna-AdiBiH prAptavAn
   kāle karmasu teṣu bhuktaviṣayeṣvākṛṣate gāṃ punaḥ // Saund_11.60 //	kAle karmasu tezu Bukta-vizayezu-AkRzate gAm punar // SOnd-_11.60 //
   antarjālagatāḥ pramattamanaso mīnāstaḍāge yathā	antar-jAla-gatAH pramatta-manasaH mInAH-taxAge yaTA
   jānanti vyasanaṃ na rodhajanitaṃ svasthāścarantyambhasi /	jAnanti vyasanam na roDa-janitam svasTAH-caranti-amBasi /
   antarlokagatāḥ kṛtārthamatayastadvaddivi dhyāyino	antar-loka-gatAH kRtArTa-matayaH-tadvat-divi DyAyinaH-
   manyante śivamacyutaṃ dhruvamiti svaṃ sthānamāvartakam // Saund_11.61 //	manyante Sivam-acyutam Druvam-iti svam sTAnam-Avartakam // SOnd-_11.61 //
   tajjanmavyādhimṛtyuvyasanaparigataṃ matvā jagadidaṃ	tad-janma-vyADi-mRtyu-vyasana-parigatam matvA jagat-idam
   saṃsāre bhrāmyamāṇaṃ divi nṛṣu narake tiryakpitṛṣu ca /	saMsAre BrAmyamANam divi nRzu narake tiryak-pitRzu ca /
   yattrāṇaṃ nirbhayaṃ yacchivamamarajaraṃ niḥśokamamṛtaṃ	yat-trANam nirBayam yat-Sivam-amara-jaram niHSokam-amRtam
   taddhetorbrahmacaryaṃ cara jahi hi calaṃ svargaṃ prati rucim //	tad-hetoH-brahmacaryam cara jahi hi calam svargam prati rucim //
   Saund_11.62 //	SOnd-_11.62 //
   saundarananda mahākāvye "svarga kī hīnatā" nāma ekādaśa sarga samāpta //	sOndara-nanda mahAkAvye "svarga kI hIna-tA" nAma ekAdaSa sarga samApta //
   dvādaśaḥ sargaḥ	dvAdaSaH sargaH
   viveka	viveka
   apsarobhṛtako dharmaṃ carasītyatha coditaḥ /	apsaraH-BRtakaH Darmam carasi-iti-aTa coditaH /
   ānandena tadā nandaḥ paraṃ vrīḍamupāgamat // Saund_12.1 //	Anandena tadA nandaH param vrIxam-upAgamat // SOnd-_12.1 //
   tasya vrīḍena mahatā pramodo hṛdi nābhavat /	tasya vrIxena mahatA pramodaH hRdi na-aBavat /
   aprāmodyena vimukhaṃ nāvatasthe vrate manaḥ // Saund_12.2 //	aprAmodyena vimuKam na-avatasTe vrate manaH // SOnd-_12.2 //
   kāmarāgapradhāno 'pi parihāsasamo 'pi san /	kAma-rAga-praDAnaH api parihAsa-samaH api san /
   paripākagate hetau na sa tanmamṛṣe vacaḥ // Saund_12.3 //	paripAka-gate hetO na sa tat-mamRze vacaH // SOnd-_12.3 //
   aparīkṣakabhāvācca pūrvaṃ matvā divaṃ dhruvam /	aparIkzaka-BAvAt-ca pUrvam matvA divam Druvam /
   tasmāt kṣeṣṇuṃ pariśrutya bhṛśaṃ saṃvegameyivān // Saund_12.4 //	tasmAt kzezNum pariSrutya BRSam saMvegam-eyivAn // SOnd-_12.4 //
   tasya svargānnivavṛte saṃkalpāśvo manorathaḥ /	tasya svargAt-nivavRte saMkalpa-aSvaH manoraTaH /
   mahāratha ivonmārgādapramattasya sāratheḥ // Saund_12.5 //	mahA-raTaH iva-unmArgAt-apramattasya sAraTeH // SOnd-_12.5 //
   svargatarṣānnivṛttaśca sadyaḥ svastha ivābhavat /	svarga-tarzAt-nivRttaH-ca sadyas svasTaH iva-aBavat /
   mṛṣṭādapathyād virato jijīviṣurivāturaḥ // Saund_12.6 //	mRzwAt-apaTyAt virataH jijIvizuH-iva-AturaH // SOnd-_12.6 //
   visasmāra priyāṃ bhāryāmapsarodarśanād yathā /	visasmAra priyAm BAryAm-apsaraH-darSanAt yaTA /
   tathānityatayodvignastatyājāpsaraso 'pi saḥ // Saund_12.7 //	taTA-anityatayA-udvignaH-tatyAja-apsarasaH api saH // SOnd-_12.7 //
   mahatāmapi bhūtānāmāvṛttiriti cintayan /	mahatAm-api BUtAnAm-AvRttiH-iti cintayan /
   saṃvegācca sarāgo 'pi vītarāga ivābhavat // Saund_12.8 //	saMvegAt-ca sa-rAgaH api vIta-rAgaH iva-aBavat // SOnd-_12.8 //
   babhūva sa hi saṃvegaḥ śreyasastasya vṛddhaye /	baBUva sa hi saMvegaH SreyasaH-tasya vRdDaye /
   dhāturedhirivākhyāte paṭhito 'kṣaracintakaiḥ // Saund_12.9 //	DAtuH-eDiH-iva-AKyAte paWitaH akzara-cintakEH // SOnd-_12.9 //
   na tu kāmānmanastasya kenacijjagṛhe dhṛtiḥ /	na tu kAmAt-manaH-tasya kenacid-jagRhe DRtiH /
   triṣu kāleṣu sarveṣu nipāto 'stiriva smṛtaḥ // Saund_12.10 //	trizu kAlezu sarvezu nipAtaH astiH-iva smRtaH // SOnd-_12.10 //
   khelagāmī mahābāhurgajendra iva nirmadaḥ /	Kela-gAmI mahA-bAhuH-gaja-indraH iva nirmadaH /
   so 'bhyagacchad guruṃ kāle vivakṣurbhāvamātmanaḥ // Saund_12.11 //	saH aByagacCat gurum kAle vivakzuH-BAvam-AtmanaH // SOnd-_12.11 //
   praṇamya ca gurau murdhnā bāṣpavyākulalocanaḥ /	praNamya ca gurO murDnA bAzpa-vyAkula-locanaH /
   kṛtvāñjalimuvācedaṃ hriyā kiṃcidavāṅmukhaḥ // Saund_12.12 //	kRtvA-aQjalim-uvAca-idam hriyA kiMcid-avAFmuKaH // SOnd-_12.12 //
   apsaraḥ prāptaye yanme bhagavan pratibhūrasi /	apsaraH prAptaye yat-me Bagavan pratiBUH-asi /
   nāpsarobhirmamārtho 'sti pratibhūtvaṃ tyajāmyaham // Saund_12.13 //	na-apsaroBiH-mama-arTaH asti pratiBU-tvam tyajAmi-aham // SOnd-_12.13 //
   śrutvā hyāvartakaṃ svargaṃ saṃsārastha ca citratām /	SrutvA hi-Avartakam svargam saMsAra-sTa ca citra-tAm /
   na martyeṣu na deveṣu pravṛttirmama rocate // Saund_12.14 //	na martyezu na devezu pravRttiH-mama rocate // SOnd-_12.14 //
   yadi prāpya divaṃ yatnānniyamena damena ca /	yadi prApya divam yatnAt-niyamena damena ca /
   avitṛptāḥ patantyante svargāya tyāgine namaḥ // Saund_12.15 //	avitRptAH patanti-ante svargAya tyAgine namaH // SOnd-_12.15 //
   ataśca nikhilaṃ lokaṃ viditvā sacarācaram /	atas-ca niKilam lokam viditvA sa-carAcaram /
   sarvaduḥkhakṣayakare tvaddharme parame rame // Saund_12.16 //	sarva-duHKa-kzaya-kare tvad-Darme parame rame // SOnd-_12.16 //
   tasmād vyāsasamāsābhyāṃ tanme vyākhyātumarhasi /	tasmAt vyAsa-samAsAByAm tat-me vyAKyAtum-arhasi /
   yacchrutvā śṛṇvatāṃ śreṣṭha paramaṃ prāpnuyāṃ padam // Saund_12.17 //	yat-SrutvA SRNvatAm SrezWa paramam prApnuyAm padam // SOnd-_12.17 //
   tatastasyāśayaṃ jñātvā vipakṣāṇindriyāṇi ca /	tatas-tasya-ASayam jQAtvA vipakzAN-indriyANi ca /
   śreyaścaivāmukhībhūtaṃ nijagāda tathāgataḥ // Saund_12.18 //	SreyaH-ca-eva-amuKIBUtam nijagAda taTAgataH // SOnd-_12.18 //
   aho pratyavamarśo 'yaṃ śreyasaste purojavaḥ /	aho pratyavamarSaH ayam SreyasaH-te purojavaH /
   araṇyāṃ mathyamānāyāmagnerdhūma ivotthitaḥ // Saund_12.19 //	araNyAm maTyamAnAyAm-agneH-DUmaH iva-utTitaH // SOnd-_12.19 //
   ciramunmārgavihṛto lolairindriyavājibhiḥ /	ciram-unmArga-vihRtaH lolEH-indriya-vAjiBiH /
   avatīrṇo 'si panthānaṃ diṣṭyā dṛṣṭyavimūḍhayā // Saund_12.20 //	avatIrNaH asi panTAnam dizwyA dRzwi-avimUXayA // SOnd-_12.20 //
   adya te saphalaṃ janma lābho 'dya sumahāṃstava /	adya te saPalam janma lABaH adya su-mahAn=-tava /
   yasya kāmarasajñasya naiṣkramyāyotsukaṃ manaḥ // Saund_12.21 //	yasya kAma-rasa-jQasya nEzkramyAya-utsukam manaH // SOnd-_12.21 //
   loke 'sminnālayārāme nivṛttau durlabhā ratiḥ /	loke asmin=-Alaya-ArAme nivRttO durlaBA ratiH /
   vyathante hyapunarbhāvāt prapātādiva bāliśāḥ // Saund_12.22 //	vyaTante hi-apunarBAvAt prapAtAt-iva bAliSAH // SOnd-_12.22 //
   duḥkhaṃ na syāt sukhaṃ me syāditi prayatate janaḥ /	duHKam na syAt suKam me syAt-iti prayatate janaH /
   atyantaduḥkhoparamaṃ sukhaṃ tacca na budhyate // Saund_12.23 //	atyanta-duHKa-uparamam suKam tat-ca na buDyate // SOnd-_12.23 //
   aribhūteṣvanityeṣu satataṃ duḥkhahetuṣu /	ari-BUtezu-anityezu satatam duHKa-hetuzu /
   kāmādiṣu jagat saktaṃ na vetti sukhamavyayam // Saund_12.24 //	kAma-Adizu jagat saktam na vetti suKam-avyayam // SOnd-_12.24 //
   sarvaduḥkhāpahaṃ tattu hastasthamamṛtaṃ tava /	sarva-duHKa-apaham tat-tu hasta-sTam-amRtam tava /
   viṣaṃ pītvā yadagadaṃ samaye pātumicchasi // Saund_12.25 //	vizam pItvA yat-agadam samaye pAtum-icCasi // SOnd-_12.25 //
   anarhasaṃsārabhayaṃ mānārhaṃ te cikīrṣitam /	anarha-saMsAra-Bayam mAna-arham te cikIrzitam /
   rāgāgnistādṛśo yasya dharmonmukha parāṅmukhaḥ // Saund_12.26 //	rAga-agniH-tAdRSaH yasya Darma-unmuKa parAFmuKaH // SOnd-_12.26 //
   rāgoddāmena manasā sarvathā duṣkarā dhṛtiḥ /	rAga-uddAmena manasA sarvaTA duzkarA DRtiH /
   sadoṣaṃ salilaṃ dṛṣṭvā pathineva pipāsunā // Saund_12.27 //	sa-dozam salilam dRzwvA paTinA-iva pipAsunA // SOnd-_12.27 //
   īdṛśī nāma buddhiste viruddhā rajasābhavat /	IdRSI nAma budDiH-te virudDAH rajasA-Bavat /
   rajasā caṇḍavātena vivasvata iva prabhā // Saund_12.28 //	rajasA caNxa-vAtena vivasvataH iva praBA // SOnd-_12.28 //
   sā jighāṃsustamo hārdaṃ yā saṃprati vijṛmbhate /	sA jiGAMsuH-tamaH hArdam yA saMprati vijRmBate /
   tamo naiśaṃ prabhā saurī vinirgīrṇeva meruṇā // Saund_12.29 //	tamaH nESam praBA sOrI vinirgIrNA-iva meruNA // SOnd-_12.29 //
