   Suvarṇaprabhāsasūtram	SuvarNa-praBAsa-sUtram
   kariṣyati / hiraṇyena vā suvarṇena vā ratnena vā dhanena vā	karizyati / hiraNyena vA suvarNena vA ratnena vA Danena vA
   dhānyādisarvopakaraṇasamṛddhābhioḥ sarvasukhopadhānena sukhitāni	DAnya-Adi-sarva-upakaraNa-samRdDa-aBioH sarva-suKa-upaDAnena suKitAni
   bhaviṣyanti / kuśalamūlaśca dhriyate / tena sarvaṃ śriyo mahādevyāḥ	Bavizyanti / kuSala-mUlaH-ca Driyate / tena sarvam SriyaH mahAdevyAH
   premaprabhāvapreṣaṇaṃ dātavyaṃ yāvajjīvaṃ tatropasthāsyati na vilambiṣyati	prema-praBAva-prezaNam dAtavyam yAvajjIvam tatra-upasTAsyati na vilambizyati
   / sarvābhiprāyāṃścaiṣāṃ paripūrayiṣyatīti //	/ sarva-aBiprAyAn=-ca-ezAm paripUrayizyati-iti //
   iti śrīsuvarṇaprabhāsottamasūtrendrarāje śrīmahādevīparivarto nāma navamaḥ	iti SrI-suvarNa-praBAsa-uttama-sUtrendrarAje SrI-mahAdevIparivartaH nAma navamaH
   (Bagchi 63)	(Baj-Ci 63)
   // Sarvabuddhabodhisattvanāmasaṃdhāraṇiparivartaḥ //	// Sarva-budDa-boDisattva-nAma-saMDAraNi-parivartaH //
   om namo bhagavate ratnaśikhinaḥ tathāgatasya / namaḥ	om namaH Bagavate ratnaSiKinaH taTAgatasya / namaH
   suvarṇaratnākaracchatraskūṭasya tathāgatasya / namaḥ	suvarNa-ratnAkara=-CatraskUwasya taTAgatasya / namaH
   suvarṇapuṣpajvalaraśmiketostathāgatasya / namo mahāpradīpasya tathāgatasya	suvarNa-puzpa-jvala-raSmiketoH-taTAgatasya / namaH mahA-pradIpasya taTAgatasya
   / ruciraketurnāma bodhisattvaḥ / suvarṇaprabhāsottamo nāma bodhisattvaḥ /	/ ruciraketuH-nAma boDisattvaH / suvarNa-praBAsA-uttamaH nAma boDisattvaH /
   suvarṇagandho nāma bodhisattvaḥ / sadāprarudito nāma bodhisattvaḥ /	suvarNaganDaH nAma boDisattvaH / sadApraruditaH nAma boDisattvaH /
   dharmodgato nāma bodhisattvaḥ / purasthimenākṣobhyonāma tathāgataḥ /	Darma-udgataH nAma boDisattvaH / purasTim-ena-akzoByaH-nAma taTAgataH /
   dakṣiṇena ratnaketurnāma tathāgataḥ / paścimenāmitāyurnāma tathāgataḥ /	dakziNena ratnaketuH-nAma taTAgataH / paScimena-amita-AyuH-nAma taTAgataH /
   uttare dundubhisvaro nāma tathāgataḥ / suvarṇaprabhāsottamasūtrendrarāja	uttare dunduBisvaraH nAma taTAgataH / suvarNa-praBAsa-uttama-sUtrendra-rAja
   imāni bodhisattvanāmāni ye dhārayanti vācayanti te bodhisattvā nityaṃ	imAni boDisattva-nAmAni ye DArayanti vAcayanti te boDisattvAH nityam
   jātismarā bhontīti //	jAtismarAH Bonti-iti //
   iti śrīsuparṇaprabhāsottamasūtrendrarāje sarvabuddhabodhisattvanāma	iti SrI-suparNa-praBAsa-uttama-sUtrendra-rAje sarva-budDa-boDisattva-nAma
   saṃdhāraṇioparivarto nāma daśamaḥ //	saMDAraNiA-uparivartaH nAma daSamaH //
   (Bagchi 64)	(Baj-Ci 64)
   // Dṛḍhāpṛthivīdevatāparivartaḥ //	// DRXA-pRTivI-devatA-parivartaH //
   atha khalu dṛḍhā pṛthivīdevatā bhagavantametadavocat / ayaṃ bhadanta	aTa Kalu dRXA pRTivI-devatAH Bagavantam-etat-avocat / ayam Badanta
   bhagavansuvarṇaprabhāsottamaḥ sūtrendrarāja etarhi cānāgate 'dhvani yatra	Bagavan-suvarNa-praBAsa-uttamaH sUtrendra-rAjaH etarhi ca-anAgate aDvani yatra
   grāme vā nagare vā nigame vā janapade vāraṇyapradeśe vā girikandare vā	grAme vA nagare vA nigame vA janapade vA-araNya-pradeSe vA giri-kandare vA
   rājakule vopasaṃkramiṣyati / yatrāyaṃ suvarṇaprabhāsottamaḥ sūtrendrarājo	rAja-kule vA-upasaMkramizyati / yatra-ayam suvarNa-praBAsa-uttamaH sUtrendra-rAjaH-
   vistareṇa saṃprakāśayiṣyati / yatra yatra bhagavanpṛthivīpradeśe tasya	vistareNa saMprakASayizyati / yatra yatra Bagavan-pRTivI-pradeSe tasya
   dharmabhāṇakasya bhikṣo ṛjukāyagatasya dharmāsanaprajñaptaṃ bhaviṣyati /	Darma-BANakasya BikzaH Rju-kAya-gatasya Darma-Asana-prajQaptam Bavizyati /
   yatra yatrāsane dharmabhāṇako niṣadyemaṃ suvarṇaprabhāsottamaṃ	yatra yatra-Asane Darma-BANakaH nizadya-imam suvarNa-praBAsa-uttamam
   sūtrendrarājaṃ vistareṇa saṃprakāśayiṣyati / tatrāhaṃ bhadanta	sUtrendra-rAjam vistareNa saMprakASayizyati / tatra-aham Badanta
   bhagavandṛḍhā pṛthivīdevatā teṣu pṛthivīpradeśeṣvāgamiṣyāmi / atra	Bagavan-dRXA pRTivI-devatA tezu pRTivI-pradeSezu-AgamizyAmi / atra
   dharmāsanagato 'smyadṛśyamānenātmabhāvenottamāṅgena ca tasya	Darma-Asana-gataH asmi-adRSyamAnena-Atma-BAvena-uttamAFgena ca tasya
   dharmabhāṇakasya bhikṣoḥ pādatalau pratisaṃhariṣyāmi / ātmānaṃ cānena	Darma-BANakasya BikzoH pAda-talO pratisaMharizyAmi / AtmAnam ca-anena
   dharmaśravaṇena dharmāmṛtarasena saṃtarpayiṣyāmi / saṃpratimānayiṣyāmi	Darma-SravaNena Darma-amRta-rasena saMtarpayizyAmi / saMpratimAnayizyAmi
   saṃpūjayiṣyāmi / ātmānaṃ ca saṃtarpayitvā pratimānayitvā	saMpUjayizyAmi / AtmAnam ca saMtarpayitvA pratimAnayitvA
   saṃpraharṣayitvemamaṣṭaṣaṣṭiyojanasahasrāṇi pṛthivīskandhamātmānaṃ cānena	saMpraharzayitvA-imam-azwa-zazwi-yojana-sahasrANi pRTivI-skanDam-AtmAnam ca-anena
   dharmaśravaṇena dharmāmṛtarasena yāvadvajramayaṃ pṛthivītalamupādāya	Darma-SravaNena Darma-amRta-rasena yAvat-vajra-mayam pRTivI-talam-upAdAya
   pṛthivīrasenavivardhayiṣyāmi saṃpratimānayiṣyāmi paripūrayiṣyāmi /	pRTivI-rasena-vivarDayizyAmi saMpratimAnayizyAmi paripUrayizyAmi /
   uparitaścemaṃ samudraparyantaṃ pṛthivītalamupādāya pṛthivīmaṇḍalaṃ	uparitaH-ca-imam samudra-paryantam pRTivI-talam-upAdAya pRTivI-maNxalam
   snigdhena pṛthivīrasena snehayiṣyāmi / ojasvitarāṃ cemāṃ mahāpṛthivīṃ	snigDena pRTivI-rasena snehayizyAmi / ojasu-itarAm ca-imAm mahA-pRTivIm
   kariṣyāmi / yenāsmiñjambudvīpe nānātṛṇagulmauṣadhivanaspataya ojasvitarāḥ	karizyAmi / yena-asmin-jambu-dvIpe nAnA-tRNa-gulma-ozaDi-vanaspatayaH ojasu-itarAH
   prarohayiṣyanti / sarvārāmanavṛkṣasasyāni ca nānāvidhānyojasvitarāṇi	prarohayizyanti / sarva-ArAmana-vRkza-sasyAni ca nAnAviDAni-ojasu-itarANi
   bhaviṣyanti / gandhatarāṇi snigdhatarāṇyāsvadanīyāni darśanīyatarāṇi	Bavizyanti / ganDatarANi snigDatarANi-AsvadanIyAni darSanIyatarANi
   mahottarāṇi ca bhaviṣyanti / te ca sattvāstāni pānabhojanāni	mahA-uttarANi ca Bavizyanti / te ca sattvAH-tAni pAna-BojanAni
   nānāvidhānyupabhuktvā āyurbalavarṇendriyāṇi vivardhayiṣyanti /	nAnAviDAni-upaBuktvA AyuH-bala-varNa-indriyANi vivarDayizyanti /
   tejobalavarṇarūpasamanvāuatāśca bhūtvā nānāvidhāni pṛthivīgatānyanekāni	tejaH-bala-varNa-rUpa-samanvAuatAH-ca BUtvA nAnAviDAni pRTivI-gatAni-anekAni
   nānākāryaśatasahasrāṇi kariṣyantyutthāsyanti vyāpayiṣyanti /	nAnA-kArya-Sata-sahasrANi karizyanti-utTAsyanti vyApayizyanti /
   balakaraṇīyāni karmāṇi kariṣyanti //	bala-karaNIyAni karmANi karizyanti //
   tena hetunā bhadanta bhagavansarvajambudvīpaḥ kṣemaśca bhaviṣyati /	tena hetunA Badanta Bagavan-sarva-jambudvIpaH kzemaH-ca Bavizyati /
   subhikṣaśca sphītaścarddhaśca ramaṇīyaśca bahujanākīrṇamanuṣyaśca	suBikzaH-ca sPItaH-ca-rdDaH-ca ramaNIyaH-ca bahu-jana-AkIrNa-manuzyaH-ca
   bhaviṣyati / sarvajambudvīpe ca sattvāni sukhitāni bhaviṣyanti / (Bagchi	Bavizyati / sarva-jambudvIpe ca sattvAni suKitAni Bavizyanti / (Baj-Ci
   65) nānāvicitrāṃ ratimanubhaviṣyanti / tāni sattvāni	65) nAnA-vicitrAm ratim-anuBavizyanti / tAni sattvAni
   tejobalavarṇarūpasamanvāgatāni ca bhaviṣyanti / asya	tejaH-bala-varNa-rUpa-samanvAgatAni ca Bavizyanti / asya
   suvarṇaprabhāsottamasya sūtrendrarājasyārthāya teṣāṃ sūtrendradhārakāṇāṃ	suvarNa-praBAsa-uttamasya sUtrendra-rAjasya-arTAya tezAm sUtrendraDArakANAm
   bhikṣubhikṣuṇyupāsakopāsikānaṃ dharmāsanagatānāmantikamupasaṃkrameyuḥ /	Bikzu-BikzuNI-upAsaka-upAsikAnam Darma-Asana-gatAnAm-antikam-upasaMkrameyuH /
   upasaṃkramitvā tāni prasannacittāni sarvasattvānāmarthāya hitāya sukhāya	upasaMkramitvA tAni prasanna-cittAni sarva-sattvAnAm-arTAya hitAya suKAya
   tāndharmabhāṇakānadhyeṣayeyusya suvarṇaprabhāsottamasya sūtrendrarājasya	tAn-Darma-BANakAn-aDyezayeyusya suvarNa-praBAsa-uttamasya sUtrendra-rAjasya
   prakāśataḥ / ahaṃ dṛḍhā pṛthivīdevatā saparivāraujasvitarā ca bhaviṣyāmi /	prakASataH / aham dRXA pRTivI-devatA sa-parivAra-ojasu-itarA ca BavizyAmi /
   tena bhadanta bhagavaṃścāsmākaṃ kāye mahābalavī ryasthāmasaṃjanitaṃ	tena Badanta Bagavan=-ca-asmAkam kAye mahA-balavI rya-sTAma-saMjanitam
   bhaviṣyati / tejaśca śrīśca lakṣmīścāsmākaṃ kāyamāvekṣyanti / mayi ca	Bavizyati / tejaH-ca SrIH-ca lakzmIH-ca-asmAkam kAyam-Avekzyanti / mayi ca
   bhadanta bhagavandṛḍhāyāṃ pṛthivīdevatāyāmanena dharmāmṛtarasena	Badanta Bagavan-dRXAyAm pRTivI-devatAyAm-anena Darma-amRta-rasena
   saṃtarpitāyāṃ mahātejobalavīryasthāmavegapratilabdhāyāmiyaṃ mahāpṛthivī	saMtarpitAyAm mahA-tejaH-bala-vIrya-sTAma-vega-pratilabDAyAm-iyam mahA-pRTivI
   saptayojanasāhasrikāyaṃ jambudvīpo mahatā pṛthivīrasena vivardhayiṣyati /	sapta-yojana-sAhasrikA-ayam jambudvIpaH mahatA pRTivI-rasena vivarDayizyati /
   ojasvitarā ca mahāpṛthivī bhaviṣyati / imāni ca bhadanta bhagana	ojasu-itarA ca mahA-pRTivI Bavizyati / imAni ca Badanta Bagana
   sarvasattvāni pṛthivīsaṃniśritāni vṛddhivirūḍhivaipulyatāṃ ca gamiṣyanti /	sarva-sattvAni pRTivI-saMniSritAni vRdDi-virUXi-vEpulya-tAm ca gamizyanti /
   mahanti ca bhaviṣyanti / mahanti ca bhūtvā sarvasattvāni pṛthivīgatāni	mahanti ca Bavizyanti / mahanti ca BUtvA sarva-sattvAni pRTivI-gatAni
   nānopabhogaparibhogānyupabhokṣyanti sukhāni cānubhaviṣyanti / tāni ca	nAnA-upaBoga-pariBogAni-upaBokzyanti suKAni ca-anuBavizyanti / tAni ca
   sarvāṇi	sarvANi
   nānāvicitrānnapānabhojyavastraśayanāsanavasanabhavanavimānodyānanadīpuṣkariṇyutsarohradataḍāgādīnīmānyevaṃrūpāṇi	nAnA-vicitra-anna-pAna-Bojya-vastra-Sayana-Asana-vasana-Bavana-vimAna-udyAna-nadI-puzkariNI-utsaraH-hrada-taxAga-AdIni-imAni-evaMrUpANi
   nānāvidhānyupakaraṇasukhāni pṛthivīsaṃsthitāni pṛthivyāṃ prādurbhūtāni	nAnAviDAni-upakaraNa-suKAni pRTivI-saMsTitAni pRTivyAm prAdurBUtAni
   pṛthivyāṃ pratiṣṭhitānyupabhujantu / tena bhadanta bhagavanhetunā	pRTivyAm pratizWitAni-upaBujantu / tena Badanta Bagavan-hetunA
   sarvasattvairasmākaṃ kṛtajñatā kartavyā / avaśyamayaṃ	sarva-sattvEH-asmAkam kRtajQa-tA kartavyA / avaSya-mayam
   suvarṇaprabhāsottamaḥ sūtrendrarājaḥ satkṛtya śrotavyaḥ satkartavyo	suvarNa-praBAsa-uttamaH sUtrendra-rAjaH satkRtya SrotavyaH satkartavyaH-
   gurukartavyo mānayitavyaḥ pūjayitavyaḥ /	guru-kartavyaH mAnayitavyaH pUjayitavyaH /
   yadā ca bhadanta bhagavaṃste sarve sattvā nānākulebhyo nānāgṛhebhyo	yadA ca Badanta Bagavan=-te sarve sattvAH nAnA-kuleByaH nAnA-gRheByaH-
   niṣkrameyusteṣāṃ dharmabhāṇakānāmupasakramaṇāya / upasaṃkramya cemaṃ	nizkrameyuH-tezAm Darma-BANakAnAm-upasakramaNAya / upasaMkramya ca-imam
   suvarṇaprabhāsottamaṃ sūtrendrarājaṃ śṛṇuyuḥ / śrutvā ca punareva te	suvarNa-praBAsa-uttamam sUtrendra-rAjam SRNuyuH / SrutvA ca punar-eva te
   sattvāḥ svakasvakeṣu nānākuleṣu gṛhagrāmanagaranigameṣu praviṣṭāḥ	sattvAH sva-ka-svakezu nAnA-kulezu gRha-grAma-nagara-nigamezu pravizwAH
   svagṛhagatāṃ paraspareṇaivaṃ kathayeyuḥ / gambhīro 'smābhiradya	sva-gRha-gatAm paraspareNa-evam kaTayeyuH / gamBIraH asmABiH-adya
   dharmaśravaṇaḥ śrutaḥ / acintyo 'smābhiradya puṇyaskandhaḥ parigṛhītaḥ /	Darma-SravaNaH SrutaH / acintyaH asmABiH-adya puNya-skanDaH parigRhItaH /
   tena dharmaśravaṇena narakāḥ pratimuktāḥ syuḥ /	tena Darma-SravaNena narakAH pratimuktAH syuH /
   tiryagyoniyamalokapretaviṣayāḥ parimuktā adyāsmābhiḥ / anena	tiryagyoni-yama-loka-preta-vizayAH parimuktAH adya-asmABiH / anena
   dharmaśravanenānāgate 'dhvanyanekeṣu jātiśatasahasreṣu	Darma-Sravanena-anAgate aDvani-anekezu jAti-Sata-sahasrezu
   devamanuṣyopapattiparigṛhītā (Bagchi 66) bhaviṣyanti / tena ca	deva-manuzya-upapatti-parigRhItAH (Baj-Ci 66) Bavizyanti / tena ca
   nānāgṛhagatā bhūtvā teṣāṃ sattvānāmitaḥ	nAnA-gRha-gatAH BUtvA tezAm sattva-anAm-itas-
   suvarṇaprabhāsottamātsūtrendrarājādantaśa ekadṛṣṭāntamapyārocayeyurantaśa	suvarNa-praBAsa-uttamAt-sUtra-indra-rAjAdantaSas eka-dRzwAntam-api-ArocayeyuH-antaSa
   ekaparivartaṃ vā ekapūrvayogaṃ vāntaśaścatuṣpādikāmapi gāthāmantaśa	eka-parivartam vE eka-pUrva-yogam vAntaSas-catuzpAdikAm-api gATAm-antaSa
   ekapadamapi suvarṇaprabhāsottamātsūtrendrarājādanyeṣāṃ sattvānāṃ	eka-padam-api suvarNa-praBAsa-uttamAt-sUtra-indra-rAjAt-anyezAm sattvAnAm
   saṃśrāvayeyurantaśaḥ suvarṇaprabhāsottamasya sūtrendrarājasya	saMSrAvayeyuH-antaSas suvarNa-praBAsa-uttamasya sUtrendra-rAjasya
   nāmadheyamapi pareṣāṃ sattvānā saṃśrāvayeyuḥ /	nAmaDeyam-api parezAm sattvAnA saMSrAvayeyuH /
   yatra yatra bhadanta bhagavaṃstāni nānāvidhāni sattvāni nānāvidheṣu	yatra yatra Badanta Bagavan=-tAni nAnAviDAni sattvAni nAnAviDezu
   pṛthivīpradeśaṣvimānyevaṃrūpāṇi nānāvidhāni sūtrāntahetūni	pRTivI-pradeSazu-imAni-evaMrUpANi nAnAviDAni sUtrAnta-hetUni
   paraspareṇārocayeyuḥ saṃśrāvayeyuśca / kathāsaṃbandhaṃ ca kurvīran / sarve	paraspareNa-ArocayeyuH saMSrAvayeyuH-ca / kaTA-saMbanDam ca kurvIran / sarve
   te bhadanta bhagavanpṛthivīpradeśā ojasvitarāśca bhaviṣyanti /	te Badanta Bagavan-pRTivI-pradeSAH ojasu-itarAH-ca Bavizyanti /
   snigdhatarāśca bhaviṣyanti / sarveṣāṃ sattvānāṃ teṣu teṣu pṛthivīpradeśeṣu	snigDatarAH-ca Bavizyanti / sarvezAm sattvAnAm tezu tezu pRTivI-pradeSezu
   nānāvidhāni pṛthivīrasāni sarvopakaraṇāni bhūyiṣṭhataramutpatsyante	nAnAviDAni pRTivI-rasAni sarva-upakaraNAni BUyizWataram-utpatsyante
   vivardhayiṣyante vaipulyatāṃ gamiṣyanti / sarvāṇi tāni sattvāni	vivarDayizyante vEpulya-tAm gamizyanti / sarvANi tAni sattvAni
   mahādhanāni mahābhogāni ca dānādhimuktāni ca bhaviṣyanti / triṣu	mahADanAni mahA-BogAni ca dAna-aDimuktAni ca Bavizyanti / trizu
   ratneṣvabhiprasannāni bhaviṣyanti //	ratnezu-aBiprasannAni Bavizyanti //
   evamukte bhagavandṛḍhāṃ pṛthivīdevatāmetadavocat / ye kecitpṛthivīdevate	evam-ukte Bagavan-dRXAm pRTivI-devatAm-etat-avocat / ye kecid-pRTivI-devate
   sattvā itaḥ suvarṇaprabhāsottamātsūtrendrarājādantaśa ekapadamapi	sattvAH itas suvarNa-praBAsa-uttamAt-sUtra-indra-rAjAdantaSas eka-padam-api
   śṛṇuyuste ta ito manuṣyalokāccavitvā trayastriṃśatsu	SRNuyuH-te te itas manuzya-lokAt-cavitvA trayastriMSatsu
   devanikāyeṣvanyatarānyatareṣu devanikāyeṣūpapatsyante / ye kecitpṛthivī	deva-nikAyezu-anyatara-anyatarezu deva-nikAyezu-upapatsyante / ye kecid-pRTivI
   devate sattvā asya suvarṇaprabhāsottamasya sūtrendrarājāsyārthāya tāni	devate sattvAH asya suvarNa-praBAsa-uttamasya sUtrendra-rAjA-asya-arTAya tAni
   sthānāni samalaṃkurvīrannantaśa ekacchatraṃ vā ekadūṣyaṃ vā samalaṃkṛtāni	sTAnAni samalaMkurvIran=-antaSas eka=-Catram vE eka-dUzyam vA samalaMkRtAni
   ca devatāsthānāni / teṣu saptasu kāmāvacareṣu devanikāyeṣu	ca devatA-sTAnAni / tezu saptasu kAma-avacarezu deva-nikAyezu
   saptaratnamayāni divyāni vimānāni sarvālaṃkārasamalaṃkṛtāni saṃsthāsyanti	sapta-ratna-mayAni divyAni vimAnAni sarva-alaMkAra-samalaMkRtAni saMsTAsyanti
   te sattvā ito manuṣyalokāccyāvitvā teṣu saptaratnamayeṣu	te sattvAH itas manuzya-lokAt-cyOvitvA tezu sapta-ratna-mayezu
   divyavimāneṣūpapatsyante / te caikaikasminpṛthivīdevate saptaratnamaye	divya-vimAnezu-upapatsyante / te ca-ekEkasmin-pRTivI-devate sapta-ratna-maye
   divyavimāne saptavarā anupapatsyante acintyāni divyāni sukhāni	divya-vimAne sapta-varAH anupapatsyante acintyAni divyAni suKAni
   pratyanubhaviṣyanti //	pratyanuBavizyanti //
   evamukte dṛḍhā pṛthivīdevatā bhagavantametadavocat / tenāhaṃ bhadanta	evam-ukte dRXA pRTivI-devatAH Bagavantam-etat-avocat / tena-aham Badanta
   bhagavandṛḍhā pṛthivīdevatā tasya dharmabhāṇakasya	Bagavan-dRXA pRTivI-devatA tasya Darma-BANakasya
   bhikṣordharmāsanagatasya teṣu pṛthivīpradeśeṣvavāsiṣyāmi /	BikzoH-Darma-Asana-gatasya tezu pRTivI-pradeSezu-avAsizyAmi /
   adṛśyamānenātmabhāvena (Bagchi 67) tasya dharmabhāṇakasya	adRSyamAnena-Atma-BAvena (Baj-Ci 67) tasya Darma-BANakasya
   bhikṣoruttamāṅgena pādatalau pratisaṃhariṣyāmi / yathāpyayaṃ	BikzoH-uttamAFgena pAda-talO pratisaMharizyAmi / yaTA-api-ayam
   suvarṇaprabhasottamaḥ sūtrendrarājasteṣāṃ	suvarNa-praBasA-uttamaH sUtrendra-rAjaH-tezAm
   buddhasahasrāvaruptakuśalamūlānāṃ sattvānāmarthāya ciraṃ jambudvīpe	budDa-sahasra-avarupta-kuSala-mUlAnAm sattvAnAm-arTAya ciram jambudvIpe
   pracaret / na ca kṣipramantardhāpayeet / sattvāni cemaṃ	pracaret / na ca kzipram-antar-DApayeet / sattvAni ca-imam
   suvarṇaprabhāsottamaṃ sūtrendrarājaṃ śṛṇuyuḥ / anāgato 'dhvanyanekāni	suvarNa-praBAsa-uttamam sUtrendra-rAjam SRNuyuH / anAgataH aDvani-anekAni
   kalpakoṭīniyutaśatasahasrāṇyacintyāni divyamānuṣyakāni sukhānyanubhaveyuḥ	kalpa-kowI-niyuta-Sata-sahasrANi-acintyAni divya-mAnuzyakAni suKAni-anuBaveyuH
   / tathāgatasamavadhānagatāni ca bhaveyuḥ / anāgate 'dhvanyanuttarāṃ	/ taTAgata-samavaDAna-gatAni ca BaveyuH / anAgate aDvani-anuttarAm
   samyaksaṃbodhimabhisaṃbudhyeyuḥ / sarvanarakatiryagyoniyamalokaduḥkhāni	samyaksaMboDim-aBisaMbuDyeyuH / sarva-naraka-tiryagyoni-yama-loka-duHKAni
   cātyantasamucchinnāni bhaveyuriti //	ca-atyanta-samucCinnAni BaveyuH-iti //
   iti śrīsuvarṇaprabhāsottasūtrendrarāje dṛḍhāpṛthivī devatāparivarto	iti SrI-suvarNa-praBAsA-utta-sUtra-indrarAje dRXA-pRTivI devatA-parivartaH-
   nāmaikādaśaḥ //	nAma-ekAdaSaH //
   (Bagchi 68)	(Baj-Ci 68)
   // Saṃjñeyamahāyakṣasenāpatiparivartaḥ //	// SaMjQeya-mahA-yakza-senApati-parivartaH //
   atha khalu saṃjñeyo nāma	aTa Kalu saMjQeyaH nAma
   mahāyakṣasenāpatiraṣṭāviṃśatibhirmahāyakṣasenāpatibhiḥ	mahA-yakza-senApatiH-azwAviMSatiBiH-mahA-yakza-senApatiBiH
   sārdhamutthāyāsanādekāṃsaṃ cīvaraṃ prāvṛtya dakṣiṇaṃ jānumaṇḍalaṃ	sArDam-utTAya-AsanAt-eka-aMsam cIvaram prAvRtya dakziNam jAnu-maNxalam
   pṛthivyāṃ pratiṣṭhāpya yena bhagavāṃstenāñjaliṃ praṇamya	pRTivyAm pratizWApya yena BagavAn=-tena-aQjalim praNamya
   bhagavantametadavocat / ayaṃ bhadanta bhagavansuvarṇaprabhāsottamaḥ	Bagavantam-etat-avocat / ayam Badanta Bagavan-suvarNa-praBAsa-uttamaH
   sūtrendrarāja etarhi cānagate 'dhvani yatra grāme vā nagare vā nigame vā	sUtrendra-rAjaH etarhi ca-anagate aDvani yatra grAme vA nagare vA nigame vA
   janapade vā janapadapradeśe vāraṇyāyatane vā girikandare vā rājakule vā	janapade vA janapada-pradeSe vA-araNya-Ayatane vA giri-kandare vA rAja-kule vA
   gṛhe vā pracariṣyati / tatrāhaṃ bhadanta bhagavansaṃjñeyo nāma	gRhe vA pracarizyati / tatra-aham Badanta Bagavan-saMjQeyaH nAma
   mahāyakṣasenāpatiḥ sārdhamaṣṭāviṃśati bhirmahāyakṣasenāpatibhistatra grāme	mahA-yakza-senApatiH sArDam-azwAviMSati BiH-mahA-yakza-senApatiBiH-tatra grAme
   vā nagare vā nigame vā janapade vāraṇye vā girikandare vā rājakule	vA nagare vA nigame vA janapade vA-araNye vA giri-kandare vA rAja-kule
   vopasaṃkramiṣyāmi / adṛśyamānenātmabhāvena tasya dharmabhāṇakasya bhikṣo	vA-upasaMkramizyAmi / adRSyamAnena-Atma-BAvena tasya Darma-BANakasya Bikzo
   rakṣāṃ kariṣyāmi / paritrāṇaṃ parigrahaṃ paripālanaṃ daṇḍaparihāraṃ	rakzAm karizyAmi / paritrANam parigraham paripAlanam daNxa-parihAram
   śastraparihāraṃ śāntisvaratyayanaṃ kariṣyami / teṣāṃ ca sarveṣāṃ	Sastra-parihAram SAnti-svaratyayanam karizyami / tezAm ca sarvezAm
   dharmaśravaṇikānāṃ strīpuruṣadārakadārikāṇāṃ yeṣāṃ keṣāṃciditaḥ	Darma-SravaNikAnAm strI-puruza-dAraka-dArikANAm yezAm kezAMcid-itaH
   suvarṇaprabhāsottamātsūtrendrarājādantaśa ekā catuṣpādikāpi gāthā śrutā	suvarNa-praBAsA-uttamAt-sUtra-indrarAjAt-antaSas ekA catuzpAdikA-api gATA SrutA
   bhavedantaśa ekapadamapi	Bavet-antaSas eka-padam-api
   suvarṇaprabhāsottamātsūtrendrarājādekabodhisattvanāmadheyamapi śrutaṃ	suvarNa-praBAsa-uttamAt-sUtra-indra-rAjAt-eka-boDisattva-nAmaDeyam-api Srutam
   bhavedudgṛhītaṃ vaikatathāgatanāmadheyaṃ vāntaśaścāsya	Bavet-udgRhItam vA-eka-taTAgata-nAmaDeyam vAntaSas-ca-asya
   suvarṇaprabhāsottamasya sūtrendrarājasya nāmadheyaṃ śrutaṃ bhavedudgṛhītaṃ	suvarNa-praBAsa-uttamasya sUtrendra-rAjasya nAmaDeyam Srutam Bavet-udgRhItam
   vā teṣāṃ sarveṣāmārakṣāṃ kariṣyāmi / paritrāṇaṃ parigrahaṃ paripālanaṃ	vA tezAm sarvezAm-ArakzAm karizyAmi / paritrANam parigraham paripAlanam
   daṇḍaparihāraṃ śastraparihāraṃ śāntisvastyayanaṃ ca kariṣyāmi / teṣāṃ ca	daNxa-parihAram Sastra-parihAram SAnti-svastyayanam ca karizyAmi / tezAm ca
   kulānāṃ teṣāṃ ca gṛhāṇāṃ teṣāṃ ca nagarāṇāṃ teṣāṃ ca grāmāṇāṃ teṣāṃ ca	kulAnAm tezAm ca gRhANAm tezAm ca nagarANAm tezAm ca grAmANAm tezAm ca
   nigamānāṃ teṣāṃ cāraṇyānāṃ teṣāṃ ca rājakulānāmārakṣāṃ kariṣyāmi /	nigamAnAm tezAm ca-araNyAnAm tezAm ca rAja-kulAnAm-ArakzAm karizyAmi /
   paritrāṇaṃ parigrahaṃ paripālanaṃ daṇḍaparihāraṃ śastraparihāraṃ	paritrANam parigraham paripAlanam daNxa-parihAram Sastra-parihAram
   śāntisvastyayanaṃ kariṣyāmi //	SAnti-svastyayanam karizyAmi //
   tatkatamena hetunā / sarvadharmāḥ parijñātāḥ sarvadharmā avabuddhāḥ /	tat-katamena hetunA / sarva-DarmAH parijQAtAH sarva-DarmAH avabudDAH /
   yāvantaśca sarvadharmāḥ / yathā ca sarvadharmāḥ / saṃsthitā ye ca	yAvantaH-ca sarva-DarmAH / yaTA ca sarva-DarmAH / saMsTitAH ye ca
   sarvadharmāḥ / samyagjñātāśca sarvadharmāḥ / sarvadharmeṣvahaṃ bhadanta	sarva-DarmAH / samyak-jQAtAH-ca sarva-DarmAH / sarva-Darmezu-aham Badanta
   bhagavanpratyakṣaḥ / acintyā me bhadanta bhagavañjñānāvabhāsāḥ / acintyo	Bagavan-pratyakzaH / acintyAH me Badanta Bagavan-jQAna-avaBAsAH / acintyaH-
   jñānālokaḥ / acintyo jñānapracāraḥ / acintyo jñānaskandhaḥ / acintyo me	jQAna-AlokaH / acintyaH jQAna-pracAraH / acintyaH jQAna-skanDaH / acintyaH me
