   (atha prathamaḥ adhyāyaḥ)	(aTa praTamaH aDyAyaH)
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.33: mahadaṇugrahaṇāt	3.1.33: mahat-aNu-grahaNAt-
   {sāṅkhyamatakhaṇḍanam}	{sA-aFKya-mata-KaNxanam}
   3.1.34: raśmyarthasannikarṣaviśeṣāt tadgrahaṇam	3.1.34: raSmi-arTa-sannikarza-viSezAt tad-grahaNam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.35: tadanupalabdheḥ ahetuḥ	3.1.35: tad-anupalabDeH ahetuH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.36: na anumīyamānasya pratyakṣataḥ anupalabdhiḥ abhāvahetuḥ	3.1.36: na anumIyamAnasya pratyakzataH anupalabDiH aBAva-hetuH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.37: dravyaguṇadharmabhedāt ca upalabdhiniyamaḥ	3.1.37: dravya-guNa-Darma-BedAt ca upalabDi-niyamaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.38: anekadravyasamavāyāt rūpaviśeṣāt ca rūpopalabdhiḥ	3.1.38: aneka-dravya-samavAyAt rUpa-viSezAt ca rUpa-upalabDiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.39: karmakāritaḥ ca indriyāṇāṃ vyūhaḥ puruṣārthatantraḥ	3.1.39: karma-kAritaH ca indriyANAm vyUhaH puruza-arTa-tantraH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.40: madhyandinolkāprakāśānupalabdhivat tadanupalabdhiḥ	3.1.40: maDyandina-ulkA-prakASa-anupalabDi-vat tad-anupalabDiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.41: na, rātrau api anupalabdheḥ	3.1.41: na, rAtrO api anupalabDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.42: bāhyaprakāśānugrahāt viṣayopalabdheḥ anabhivyaktitaḥ anupalabdhiḥ	3.1.42: bAhya-prakASa-anugrahAt vizaya-upalabDeH anaBivyaktitaH anupalabDiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.43: abhivyaktau ca abhibhavāt	3.1.43: aBivyaktO ca aBiBavAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.44: naktañcaranayanaraśmidarśanāt ca	3.1.44: naktaQcara-nayana-raSmi-darSanAt ca
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.45: aprāpyagrahaṇaṃ kācābhrapaṭalasphaṭikāntaritopalabdheḥ	3.1.45: aprApyagrahaNam kAca-aBra-pawala-sPawika-antarita-upalabDeH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.46: kuḍyāntaritānupalabdheḥ apratiṣedhaḥ	3.1.46: kuxya-antarita-anupalabDeH apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.47: apratīghātāt sannikarṣopapattiḥ	3.1.47: apratIGAtAt sannikarza-upapattiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.48: ādityaraśmeḥ sphaṭikāntarite api dāhye avighātāt	3.1.48: Aditya-raSmeH sPawika-antarite api dAhye aviGAtAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.49: na itaretaradharmaprasaṅgāt	3.1.49: naH itaretara-Darma-prasaFgAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.50: ādarśodakayoḥ prasādasvābhāvyāt rūpopalabdhiḥ	3.1.50: AdarSa-udakayoH prasAda-svABAvyAt rUpa-upalabDiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.51: dṛṣṭānumitānāṃ hi niyogapratiṣedhānupapattiḥ	3.1.51: dRzwa-anumitAnAm hi niyoga-pratizeDa-anupapattiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [indriyanānātvaparīkṣāprakaraṇam(52-62)]	[indriya-nAnA-tva-parIkzA-prakaraNam-(52-62)]
   3.1.52: sthānānyatve nānātvāt avayavinānāsthānatvāt ca saṃśayaḥ	3.1.52: sTAna-anya-tve nAnAtvAt avayavi-nAnA-sTAna-tvAt ca saMSayaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.53: tvak avyatirekāt	3.1.53: tvac avyatirekAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.54: na yugapat arthānupalabdheḥ	3.1.54: na yugapad arTa-anupalabDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.55: vipratiṣedhāt ca na tvak ekā	3.1.55: vipratizeDAt ca na tvac ekA
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.56: indriyārthapañcatvāt	3.1.56: indriya-arTa-paQcatvAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.57: na, tadarthabahutvāt	3.1.57: na, tad-arTa-bahu-tvAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.58: gandhatvādyavyatirekāt gandhādīnāmapratiṣedhaḥ	3.1.58: ganDa-tva-Adi-avyatirekAt ganDa-AdInAm-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.59: viṣayatvāvyatirekāt ekatvam	3.1.59: vizaya-tva-avyatirekAt eka-tvam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.60: na, buddhilakṣaṇādhiṣṭhāna-gatyākṛti-jātipañcatvebhyaḥ	3.1.60: na, budDi-lakzaNa-aDizWAna---gati-AkRti-jAti-paQcatveByaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.61: bhūtaguṇaviśeṣopalabdheḥ tādātmyam	3.1.61: BUta-guNa-viSeza-upalabDeH tAdAtmyam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [arthaparīkṣāprakaraṇam(62-74)]	[arTa-parIkzA-prakaraNam-(62-74)]
   3.1.62: gandha-rasa-rūpa-sparśa-śabdānāṃ sparśaparyantāḥ pṛthivyāḥ	3.1.62: ganDa-rasa--rUpa--sparSa--SabdAnAm sparSa-paryantAH pRTivyAH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.63: ap-tejo-vāyūnāṃ pūrvaṃ pūrvam apohya ākāśasya uttaraḥ	3.1.63: ap-tejaH--vAyUnAm pUrvam pUrvam apohya AkASasya uttaraH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.64: na, sarvaguṇānupalabdheḥ	3.1.64: na, sarva-guNa-anupalabDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.65: ekaikaśyena uttaraguṇāsadbhāvāt uttarottarāṇāṃ tadanupalabdhiḥ	3.1.65: ekEkaSyena uttara-guNa-asadBAvAt uttara-uttarANAm tad-anupalabDiH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.66: viṣṭaṃ hi aparaṃ pareṇa	3.1.66: vizwam hi aparam pareNa
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.67: na, pārthivāpyayoḥ pratyakṣatvāt	3.1.67: na, pArTiva-ApyayoH pratyakza-tvAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.68: pūrvapūrvaguṇotkarṣāt tattat pradhānam	3.1.68: pUrva-pUrva-guNa-utkarzAt tat-tat praDAnam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.69: taddhyavasthānaṃ tu bhūyastvāt	3.1.69: tat-hi-avasTAnam tu BUyas-tvAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.70: saguṇānām indriyabhāvāt	3.1.70: sa-guNAnAm indriya-BAvAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.71: tena eva tasya agrahaṇāt ca	3.1.71: tena eva tasya agrahaNAt ca
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.1.72: na, śabdaguṇopalabdheḥ	3.1.72: na, Sabda-guNa-upalabDeH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.1.73: tadupalabdhiḥ itaretaradravyaguṇavaidharmyāt	3.1.73: tad-upalabDiH itaretara-dravya-guNa-vEDarmyAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   (iti nyāyasūtre tṛtīyādhyāyasya prathamam āhnikam)	(iti nyAya-sUtre tRtIya-aDyAyasya praTamam Ahnikam-)
   (dvitīyam āhnikam)	(dvitIyam Ahnikam-)
   [buddheranityatvaparīkṣāprakaraṇam(1-9)]	[budDeH-anitya-tva-parIkzA-prakaraNam-(1-9)]
   3.2.1: karmākāśasādharmyāt saṃśayaḥ	3.2.1: karma-AkASa-sADarmyAt saMSayaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.2: viṣayapratyabhijñānāt	3.2.2: vizaya-pratyaBijQAnAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.3: sādhyasamatvāt ahetuḥ	3.2.3: sADya-sama-tvAt ahetuH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.4: na, yugapat agrahaṇāt	3.2.4: na, yugapad agrahaNAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.5: apratyabhijñāne ca vināśaprasaṅgaḥ	3.2.5: apratyaBijQAne ca vinASa-prasaFgaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.6: kramavṛttitvāt ayugapat grahaṇam	3.2.6: krama-vRtti-tvAt ayugapad grahaNam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.7: apratyabhijñānaṃ ca viṣayāntaravyāsaṅgāt	3.2.7: apratyaBijQAnam ca vizaya-antara-vyAsaFgAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.8: na, gatyabhāvāt	3.2.8: na, gati-aBAvAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.9: sphaṭikānyatvābhimānavat tadanyatvābhimānaḥ	3.2.9: sPawika-anyatva-aBimAna-vat tad-anyatva-aBimAnaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [kṣaṇabhaṅgaparīkṣāprakaraṇam(10-17)]	[kzaNa-BaFga-parIkzA-prakaraNam-(10-17)]
   3.2.10: sphaṭike api aparāparotpatteḥ kṣaṇikatvāt vyaktīnām ahetuḥ	3.2.10: sPawike api apara-apara-utpatteH kzaNika-tvAt vyaktInAm ahetuH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.11: niyamahetvabhāvāt yathādarśanam abhyanujñā	3.2.11: niyama-hetu-aBAvAt yaTAdarSanam aByanujQA
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.12: na, utpattivināśakāraṇopalabdheḥ	3.2.12: na, utpatti-vinASa-kAraNa-upalabDeH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.13: kṣīravināśe kāraṇānupalabdhivat dadhyutpattivat ca tadutpattiḥ	3.2.13: kzIra-vinASe kAraNa-anupalabDi-vat daDi-utpatti-vat ca tad-utpattiH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.14: liṅgataḥ grahaṇāt na anupalabdhiḥ	3.2.14: liFgataH grahaNAt na anupalabDiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.15: na payasaḥ pariṇāma-guṇāntaraprādurbhāvāt	3.2.15: na payasaH pariNAma--guNa-antara-prAdurBAvAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.16: vyūhāntarāt dravyāntarotpattidarśanaṃ pūrvadravyanivṛtteḥ anumānam	3.2.16: vyUha-antarAt dravya-antara-utpatti-darSanam pUrva-dravya-nivRtteH anumAnam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.17: kvacit vināśakāraṇānupalabdheḥ kvacit ca upalabdheḥ anekāntaḥ	3.2.17: kvacid vinASa-kAraNa-anupalabDeH kvacid ca upalabDeH anekAntaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [buddherātmaguṇatvaparīkṣāprakaraṇām(18-41)]	[budDeH-Atma-guNa-tva-parIkzA-prakaraNAm(18-41)]
   3.2.18: na indriyārthayoḥ, tadvināśe api jñānāvasthānāt	3.2.18: naH indriya-arTayoH, tad-vinASe api jQAna-avasTAnAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.19: yugapat jñānānupalabdheḥ ca na manasaḥ	3.2.19: yugapad jQAna-anupalabDeH ca na manasaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.20: tat ātmaguṇatve api tulyam	3.2.20: tat Atma-guNa-tve api tulyam
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.21: indriyaiḥ manasaḥ sannikarṣābhāvāt tadanutpattiḥ	3.2.21: indriyEH manasaH sannikarza-aBAvAt tad-anutpattiH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.22: na, utpattikāraṇānapadeśāt	3.2.22: na, utpatti-kAraNa-anapadeSAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.23: vināśakāraṇānupalabdheḥ ca avasthāne tannityatvaprasaṅgaḥ	3.2.23: vinASa-kAraNa-anupalabDeH ca avasTAne tad-nitya-tva-prasaFgaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.24: anityatvagrahāt buddheḥ buddhyantarāt vināśaḥ śabdavat	3.2.24: anitya-tva-grahAt budDeH budDi-antarAt vinASaH Sabdavat-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.25: jñānasamavetātmapradeśasannikarṣāt manasaḥ smṛtyutpatteḥ na	3.2.25: jQAna-samaveta-Atma-pradeSa-sannikarzAt manasaH smRti-utpatteH na
   yugapat utpattiḥ	yugapad utpattiH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.26: na, antaḥ-śarīravṛttitvāt manasaḥ	3.2.26: na, antaH--SarIra-vRtti-tvAt manasaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.27: sādhyatvāt ahetuḥ	3.2.27: sADya-tvAt ahetuH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.28: smarataḥ śarīradhāraṇopapatteḥ apratiṣedhaḥ	3.2.28: smarataH SarIra-DAraNa-upapatteH apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.29: na, tadāśugatitvānmanasaḥ	3.2.29: na, tad-ASu-gati-tvAt-manasaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.30: na, smaraṇakālāniyamāt	3.2.30: na, smaraNa-kAla-aniyamAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.31: ātmapreraṇa-yadṛcchā-jñatābhiḥ ca na saṃyogaviśeṣaḥ	3.2.31: Atma-preraNa-yadRcCA--jQa-tABiH ca na saMyoga-viSezaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.32: vyāsaktamanasaḥ pādavyathanena saṃyogaviśeṣeṇa samānam	3.2.32: vyAsakta-manasaH pAda-vyaTanena saMyoga-viSezeNa samAnam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.33: praṇidhānaliṅgādijñānānām ayugapadbhāvāt ayugapatsmaraṇam	3.2.33: praNiDAna-liFga-Adi-jQAnAnAm ayugapad-BAvAt ayugapad-smaraNam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.34: jñasya icchādveṣanimittatvāt ārambhanivṛttyoḥ	3.2.34: jQasya icCA-dveza-nimitta-tvAt AramBa-nivRttyoH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.35: talliṅgatvāt icchādveṣayoḥ pārthivādyeṣu apratiṣedhaḥ	3.2.35: tad-liFga-tvAt icCA-dvezayoH pArTiva-Adyezu apratizeDaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.36: paraśvādiṣu ārambhanivṛttidarśanāt	3.2.36: para-Su-Adizu AramBa-nivRtti-darSanAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.37: niyamāniyamau tu tadviśeṣakau	3.2.37: niyama-aniyamO tu tad-viSezakO
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.38: yathoktahetutvāt pāratantryāt akṛtābhyāgamāt ca na manasaḥ	3.2.38: yaTA-ukta-hetu-tvAt pAratantryAt akRta-aByAgamAt ca na manasaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.39: pariśeṣāt yathoktahetūpapatteḥ ca	3.2.39: pariSezAt yaTA-ukta-hetu-upapatteH ca
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.40: smaraṇaṃ tu ātmanaḥ jñasvābhāvyāt	3.2.40: smaraNam tu AtmanaH jQa-svABAvyAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   praṇidhāna-nibandhābhyāsa-liṅga-lakṣaṇa-sādṛśya-parigrahāśrayāśrita	praNiDAna--nibanDa-aByAsa-liFga--lakzaNa--sAdRSya--parigraha-ASraya-ASrita
   sambandhānantarya-viyogaikakārya-virodhātiśaya-prāpti-vyavadhāna-sukha-duḥkhecchā	sambanDa-anantarya--viyoga-eka-kArya--viroDa-atiSaya--prApti-vyavaDAna--suKa--duHKa-icCA
   dveṣa-bhayārthitva-kriyārāga-dharmādharmanimittebhyaḥ	dveza--Baya-arTi-tva--kriyA-rAga--Darma-aDarma-nimitteByaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [buddherutpannāpavargitvaparīkṣāprakaraṇam(42-45)]	[budDeH-utpanna-apavargi-tva-parIkzA-prakaraNam-(42-45)]
   3.2.42: karmānavasthāyigrahaṇāt	3.2.42: karma-anavasTAyi-grahaNAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.43: avyaktagrahaṇam anavasthāyitvāt vidyutsampāte rūpāvyaktagrahaṇavat	3.2.43: avyakta-grahaNam anavasTAyi-tvAt vidyut-sampAte rUpa-avyakta-grahaNa-vat-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.44: hetūpādānāt pratiṣeddhavyābhyanujñā	3.2.44: hetu-upAdAnAt pratizedDavyA-aByanujQA
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.45: na pradīpārciḥsantatyabhivyaktagrahaṇavat tadgrahaṇam	3.2.45: na pradIpa-arciH-santati-aBivyakta-grahaNa-vat tad-grahaNam
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [buddheḥ śarīraguṇavyatirekaparīkṣāprakaraṇam(46-55)]	[budDeH SarIra-guNa-vyatireka-parIkzA-prakaraNam-(46-55)]
   3.2.46: dravye svaguṇaparaguṇopalabdheḥ saṃśayaḥ	3.2.46: dravye sva-guNa-para-guNa-upalabDeH saMSayaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.47: yāvaccharīrabhāvitvāt rūpādīnām	3.2.47: yAvat-SarIra-BAvi-tvAt rUpa-AdInAm
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.48: na, pākajaguṇāntarotpatteḥ	3.2.48: na, pAka-ja-guNa-antara-utpatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.49: pratidvandvisiddheḥ pākajānām apratiṣedhaḥ	3.2.49: pratidvandvi-sidDeH pAka-jAnAm apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.50: śarīravyāpitvāt	3.2.50: SarIra-vyApi-tvAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.51: na, keśanakhādiṣu anupalabdheḥ	3.2.51: na, keSa-naKa-Adizu anupalabDeH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.52: tvakparyantatvāt śarīrasya keśanakhādiṣu aprasaṅgaḥ	3.2.52: tvac-paryanta-tvAt SarIrasya keSa-naKa-Adizu aprasaFgaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.53: śarīraguṇavaidharmyāt	3.2.53: SarIra-guNa-vEDarmyAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.54: na, rūpādīnām itaretaravaidharmyāt	3.2.54: na, rUpa-AdInAm itaretara-vEDarmyAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.55: aindriyakatvāt rūpādīnām apratiṣedhaḥ	3.2.55: Endriyaka-tvAt rUpa-AdInAm apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [manaḥparīkṣāprakaraṇam(56-59)]	[manaH-parIkzA-prakaraNam-(56-59)]
   3.2.56: jñānāyaugapadyāt ekam manaḥ	3.2.56: jQAna-ayOgapadyAt ekam manaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.57: na, yugapat anekakriyopalabdheḥ	3.2.57: na, yugapad aneka-kriyA-upalabDeH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.58: alātacakradarśanavat tadupalabdhiḥ āśusañcārāt	3.2.58: alAta-cakra-darSana-vat tad-upalabDiH ASu-saQcArAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.59: yathoktahetutvāt ca aṇu	3.2.59: yaTA-ukta-hetu-tvAt ca aNu
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [adṛṣṭaniṣpādyatvaparīkṣāprakaraṇam(60-72)]	[a-dRzwa-nizpAdya-tva-parIkzA-prakaraNam-(60-72)]
   3.2.60: pūrvakṛtaphalānubandhāt tadutpattiḥ	3.2.60: pUrva-kRta-Pala-anubanDAt tad-utpattiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.61: bhūtebhyaḥ mūrtyupādānavat tadupādānam	3.2.61: BUteByaH mUrti-upAdAna-vat tad-upAdAnam
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.62: na, sādhyasamatvāt	3.2.62: na, sADya-sama-tvAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.63: na, utpattinimittatvāt mātāpitroḥ	3.2.63: na, utpatti-nimitta-tvAt mAtA-pitroH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.64: tathā āhārasya	3.2.64: taTA AhArasya
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.65: prāptau ca aniyamāt	3.2.65: prAptO ca aniyamAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.66: śarīrotpattinimittavat saṃyogotpattinimittaṃ karma	3.2.66: SarIra-utpatti-nimitta-vat saMyoga-utpatti-nimittam karma
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.67: etena aniyamaḥ pratyuktaḥ	3.2.67: etena aniyamaH pratyuktaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.68: tat adṛṣṭakāritam iti cet punaḥ tatprasaṅgaḥ apavarge	3.2.68: tat adRzwa-kAritam iti ced punar tad-prasaFgaH apavarge
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.69: manaḥkarmanimittatvāt ca saṃyogāvyucchedaḥ	3.2.69: manaH-karma-nimitta-tvAt ca saMyoga-avyucCedaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.70: nityatvaprasaṅgaḥ ca prāyaṇānupapatteḥ	3.2.70: nitya-tva-prasaFgaH ca prAyaNa-anupapatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   3.2.71: aṇuśyāmatānityatvavat etat syāt	3.2.71: aNu-SyAma-tA-anitya-tva-vat etat syAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   3.2.72: na, akṛtābhyāgamaprasaṅgāt	3.2.72: na, akRta-aByAgama-prasaFgAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   (iti nyāyasūtre tṛtīyādhyāyasya dvitīyam āhnikam)	(iti nyAya-sUtre tRtIya-aDyAyasya dvitIyam Ahnikam-)
   (samāptaḥ ca ayam tṛtīyaḥ adhyāyaḥ)	(samAptaH ca ayam tRtIyaH aDyAyaH)
   (atha caturthaḥ adhyāyaḥ)	(aTa caturTaH aDyAyaH)
   (prathamam āhnikam)	(praTamam Ahnikam-)
   [pravṛttidoṣasāmānyaparīkṣāprakaraṇam(1-2)]	[pravRtti-doza-sAmAnya-parIkzA-prakaraNam-(1-2)]
   4.1.1: pravṛttiryathoktā	4.1.1: pravRttiH-yaTA-uktA
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.2: tathā doṣāḥ	4.1.2: taTA dozAH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [doṣatrairāśyaparīkṣāprakaraṇam(3-8)]	[doza-trEH-ASya-parIkzA-prakaraNam-(3-8)]
   4.1.3: trairāśyaṃ rāgadveṣamohārthāntarbhāvāt	4.1.3: trErASyam rAga-dveza-moha-arTa-antarBAvAt
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.4: na, ekapratyanīkabhāvāt	4.1.4: na, eka-pratyanIka-BAvAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.5: vyabhicārādahetuḥ	4.1.5: vyaBicArAt-ahetuH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.6: teṣāṃ mohaḥ pāpīyān, nāmūḍhasyetarotpatteḥ	4.1.6: tezAm mohaH pApIyAn, na-amUXasya-itara-utpatteH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.7: nimittanaimittikabhāvādarthāntarabhāvo doṣebhyaḥ	4.1.7: nimitta-nEmittika-BAvAt-arTa-antara-BAvaH dozeByaH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.8: na doṣalakṣaṇāvarodhānmohasya	4.1.8: na doza-lakzaNa-avaroDAt-mohasya
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.9: nimittanaimittikopapatteśca tulyajātīyānāmapratiṣedhaḥ	4.1.9: nimitta-nEmittika-upapatteH-ca tulya-jAtIyAnAm-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [pretyabhāvaparīkṣāprakaraṇam(10-13)]	[pretya-BAva-parIkzA-prakaraNam-(10-13)]
   4.1.10: ātmanityatve pretyabhāvasiddhiḥ	4.1.10: Atma-nitya-tve pretyaBAva-sidDiH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.11: vyaktād vyaktānām, pratyakṣaprāmāṇyāt	4.1.11: vyaktAt vyaktAnAm, pratyakza-prAmANyAt-
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.12: na, ghaṭād ghaṭaniṣpatteḥ	4.1.12: na, GawAt Gawa-nizpatteH
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.13: vyaktād ghaṭaniṣpatterapratiṣedhaḥ	4.1.13: vyaktAt Gawa-nizpatteH-apratizeDaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   [śūnyatopādānanirākaraṇaprakaraṇam(14-18)]	[SUnyatA-upAdAna-nirAkaraNa-prakaraNam-(14-18)]
   4.1.14: abhāvād bhāvotpattiḥ, nānupamṛdya prādurbhāvāt	4.1.14: aBAvAt BAva-utpattiH, na-anupamRdya prAdurBAvAt-
   {pūrvapakṣa-sūtra}	{pUrva-pakza--sUtra}
   4.1.15: vyāghātādaprayogaḥ	4.1.15: vyAGAtAt-aprayogaH
   {siddhānta-sūtra}	{sidDAnta--sUtra}
   4.1.16: na, atītānāgatayoḥ kārakaśabdaprayogāt	4.1.16: na, atIta-anAgatayoH kAraka-Sabda-prayogAt-
