   Abkürzungsverzeichnis	AbkürzungsveH-zeiCnis
   [69.16]     ye yajanti pitṝn devān brāhmaṇāṃś ca hutāśanam /	[69.16]     ye yajanti pitLn devAn brAhmaNAn ca hutASanam /
   [69.17]     sarvabhūtāntarātmānaṃ viṣṇum eva yajanti te //" iti	[69.17]     sarva-BUta-antarAtmAnam vizNum eva yajanti te //" iti
   [69.18]     purāṇāntare: "agnikāryaṃ japaṃ snānaṃ tapas svādhyāyam eva ca	[69.18]     purANa-antare: "agni-kAryam japam snAnam tapaH svADyAyam eva ca
   [69.19]     tam evoddiśya deveśaṃ kuru nityam atandritaḥ //	[69.19]     tam eva-uddiSya deveSam kuru nityam atandritaH //
   [69.20]     prātar utthāya vidhivat snātvā nityaṃ samāhitaḥ /	[69.20]     prAtar utTAya viDivat snAtvA nityam samAhitaH /
   [69.21]     yajet karmabhis tais taiḥ viṣṇuṃ devādisaṃjñitam //"	[69.21]     yajet karmaBiH tEH tEH vizNum deva-Adi-saMjQitam //"
   [70.1]     śāṇḍilya:"prakṛttaiś ca nivṛttaiś ca svargadair mokṣadair api /	[70.1]     SANxilya:"-prakRttEH ca nivRttEH ca svarga-dEH mokza-dEH api /
   [70.2]     ārādhyo bhagavān eva vedadharmais sanātanaiḥ //	[70.2]     ArADyaH BagavAn eva veda-DarmEH sanAtanEH //
   [Śāṇḍilyasmṛti.]	[ŚANxilya-smRti.]
   [70.3]     sa eva sarvathopāsyo nānyas saṃsāratārakaḥ /	[70.3]     saH eva sarvaTA-upAsyaH na-anyaH saMsAra-tArakaH /
   [70.4]     ubhābhyāṃ jñānakarmabhyām ārādhyo bhagavān hariḥ //" iti	[70.4]     uBAByAm jQAna-karmaByAm ArADyaH BagavAn hariH //" iti
   [Śāṇḍilyasmṛti]	[ŚANxilya-smRti]
   [70.5]     śāntiparvaṇi: "svayambhūvihito dharmo yo yasya hi nareśvara /	[70.5]     SAntiparvaNi: "svayamBU-vihitaH DarmaH yaH yasya hi nareSvara /
   [MBh 14, App. 4.222]	[MB 14, App. 4.222]
   [70.6]     sa tena kṣapayet pāpaṃ samyag ācaritena hi //" iti [MBh 14,	[70.6]     sa tena kzapayet pApam samyak Acaritena hi //" iti [MB 14,
   App. 4.223]	App. 4.223]
   [70.7]     pādme: "dharmān nijāṃś ca śāstroktān varṇadharmān aśeṣataḥ /	[70.7]     pAdme: "DarmAn nijAn ca SAstra-uktAn varNa-DarmAn aSezatas /
   [70.8]     pālayantīha ye vaiśyā na te yānti yamālayam //" iti [PadmaP ]	[70.8]     pAlayanti-iha ye vESyAH na te yAnti yama-Alayam //" iti [Pat-maP ]
   [70.9]     smṛtyantare: "śrutismṛtisadācāravihitaṃ karma yas sadā /	[70.9]     smRti-antare: "Sruti-smRti-sat-AcAra-vihitam karma yaH sadA /
   [70.10]     svasvadharmaṃ prayatnena śreyo 'rthīha samāśrayet //"	[70.10]     sva-svaDarmam prayatnena SreyaH arTI-iha samASrayet //"
   [70.11-12]     "nānyaḥ panthā vidyate 'yanāye" 'ti "brāhmaṇā vividaśanti	[70.11-12]     "na-anyaH panTAH vidyate ayanAye" ati "brAhmaNAH vividaSanti
   yajñena dānena tapasānāśakena" iti ca śrutir imam arthaṃ draḍhayanti.	yajQena dAnena tapasA-anASakena" iti ca SrutiH imam arTam draXayanti.
   [70.13-15]     ataḥ advārakabhagavadyajanādhikāribhiḥ	[70.13-15]     atas advAraka-Baga-vat-yajana-aDikAriBiH
   śrīmadvaikhānasasūtribhis sāmyaṃ keṣāñcid api nopapadyate iti kṛtaṃ	SrImat-vEKAnasa-sUtriBiH sAmyam kezAQcid api na-upapadyate iti kRtam
   pallavitena. etāvatā "akhilajagatkāraṇabhūtena vikhanasā praṇītatvāt" iti	pallavitena. etAvatA "aKila-jagat-kAraNa-BUtena viKanasA praNIta-tva-at" iti
   prathamo hetuḥ nirūpitaḥ.	praTamaH hetuH nirUpitaH.
   [70.16]     iti prathamahetunirūpaṇam	[70.16]     iti praTama-hetu-nirUpaNam
   [71.1]     atha dvitīyahetunirūpaṇam	[71.1]     aTa dvitIya-hetu-nirUpaNam
   [71.2]     athāsya vaikhānasasūtrasya sarvasūtrāṇām āditvaṃ nirūpyate.	[71.2]     aTa-asya vEKAnasa-sUtrasya sarva-sUtrANAm Adi-tvam nirUpyate.
   tathā hi:	taTA hi:
        [vaikhānasasūtrasya sarvasūtrāpekṣayā āditvam]	[vEKAnasa-sUtrasya sarva-sUtra-apekzayA Adi-tvam]
   [71.3]     brahmakaivarte: " yathā munīnāṃ vikhanā ādibhūta udāhṛtaḥ /	[71.3]     brahma-kEvarte: " yaTA munInAm viKanAH Adi-BUtaH udAhRtaH /
   [71.4]     sūtrāṇāṃ tatpraṇītan tu tathā śreṣṭatamaṃ smṛtam //" iti	[71.4]     sUtrANAm tad-praNItan tu taTA Srezwatamam smRtam //" iti
   [BrahmakaivartaP ]	[Brahma-kEva-rtaa-a ]
   [71.5]     purātantre bhṛgu: "vedānāṃ vyāsanād arvāk prāgrūpaṃ militan tu	[71.5]     purAtantre BRgu: "vedAnAm vyAsanAt arvAk prAgrUpam militan tu
   yat /	yat /
   [71.6]     tān tu vaikhānasīṃ śākhām iti vedavido viduḥ //" ity ārabhya	[71.6]     tAn tu vEKAnasIm SAKAm iti veda-vidaH viduH //" iti AraBya
   [Purātantra]	[Pura-atantra]
   [71.7]     "vaiṣṇavaṃ sūtram etad dhi sarvasiddhikaraṃ param /	[71.7]     "vEzNavam sUtram etat Di sarva-sidDi-karam param /
   [71.8]     ādyatvāt sarvasūtrāṇāṃ vaiṣṇavatvāc ca tat tu vai //	[71.8]     Adya-tvAt sarva-sUtrANAm vEzNava-tvAt ca tat tu vE //
   [Purātantra]	[Pura-atantra]
   [71.9]     mayānuvartitaṃ tadvat kāśyapātrimarīcibhiḥ //" iti [Purātantra]	[71.9]     mayA-anuvartitam tadvat kASyapa-atri-marIciBiH //" iti [Pura-atantra]
   [71.10]     skānde ca: "vaikhānasīṃ mahāśākhāṃ svasūtre viniyuktavān /	[71.10]     skAnde ca: "vEKAnasIm mahA-SAKAm sva-sUtre viniyuktavAn /
   [71.11]     padmabhūḥ paramo dhātā tasminn ārādhanatrayam //	[71.11]     padmaBUH paramaH DAtA tasmin ArADana-trayam //
   [71.12]     uktavān nigamārthānām ācāraṃ pravibhāgaśaḥ //" iti [SkandaP ]	[71.12]     uktavAn nigama-arTAnAm AcAram praviBAgaSaH //" iti [SkandaP ]
        [ādau caturaśrasya ravimaṇḍalasya kālāntare vartulatvam]	[a-AdO caturaSrasya ravi-maNxalasya kAla-antare vartula-tvam]
   [71.13-14]     sūtrārthaparyālocanayāpi sarvasūtrāditvam asyāvagamyate.	[71.13-14]     sUtra-arTa-paryAlocanayA-api sarva-sUtra-Adi-tvam asya-avagamyate.
   yathā -"mukhyād indraś cāgniś ce" ti bhagavanmukhād agnisṛṣṭiḥ śrūyate.	yaTA -"muKyAt indraH ca-agniH ce" ti Bagavat-muKAt agni-sRzwiH SrUyate.
   tathā:	taTA:
   [71.15]     āśvamedhike - bhagavadvacanam:	[71.15]     ASvameDike  Bagavat-vacanam:
   [71.16]     "prathamaṃ manmukhāt sṛṣṭo lokārthe pacanaḥ prabhuḥ / [MBh 14,	[71.16]     "praTamam mad-muKAt sRzwaH loka-arTe pacanaH praBuH / [MB 14,
   App. 4.2572]	App. 4.2572]
   [71.17]     sṛṣṭamātro jagatsarvam attum aicchat purā khalu // [MBh 14,	[71.17]     sRzwa-mAtraH jagat-sarvam attum EcCat purA Kalu // [MB 14,
   App. 4.2573]	App. 4.2573]
   [71.18]     tataḥ praśamitas so 'yam upāsīno mayā purā / [MBh 14, App.	[71.18]     tatas praSamitaH saH ayam upAsInaH mayA purA / [MB 14, App.
   [71.19]     satatopāsanāt so 'yam aupāsana iti smṛtaḥ //" iti [MBh 14,	[71.19]     satata-upAsanAt saH ayam OpAsanaH iti smRtaH //" iti [MB 14,
   App. 4.2575]	App. 4.2575]
   [71.20-21]     evaṃ paramapuruṣamukhāj jātasyaupāsanāgneḥ	[71.20-21]     evam parama-puruza-muKAt jAtasya-OpAsana-agneH
   kuṇḍavidhānādikam atraiva sūtre pratipāditam.	kuNxa-viDAna-Adikam atra-eva sUtre pratipAditam.
   [71.22-24]     kiñ ca navagrahamakhe savitṛmaṇḍalasya caturaśratvam ucyate	[71.22-24]     kiQ ca nava-graha-maKe savitR-maNxalasya caturaSra-tvam ucyate
   "caturaśraṃ vṛttam ityādinā (sūtre). ādau caturaśrasya sato ravimaṇḍalasya	"caturaSram vRttam ityAdinA (sUtre). AdO caturaSrasya sataH ravi-maNxalasya
   kālāntare vṛttatvakalpanaṃ pramāṇair avagamyate. yathā:	kAla-antare vRtta-tva-kalpanam pramANEH avagamyate. yaTA:
   [72.1]     viṣṇupurāṇe: "tejasaś śamanañ cāsya viśvakarmā cakāra ha /	[72.1]     vizNupurANe: "tejasaH Samanan ca-asya viSvakarmA cakAra ha /
   [72.2]     bhramimāropya sūryan tu tasya tejo 'vaśātanam // [Viṣṇu.P ]	[72.2]     Bramim-Aropya sUryan tu tasya tejaH avaSAtanam // [VizNu.P ]
   [72.3]     kṛtavān aṣṭamaṃ bhāgaṃ sa vyaśātayad avyayam /	[72.3]     kRtavAn azwamam BAgam sa vyaSAtayat avyayam /
   [72.4]     yatsūryād vaiṣṇavaṃ tejaś śātitaṃ viśvakarmaṇā // [Viṣṇu.P ]	[72.4]     yat-sUryAt vEzNavam tejaH SAtitam viSvakarmaNA // [VizNu.P ]
   [72.5]     jājjvalyamānam apatat tadbhūmau munisattama //"iti [ViṣṇuP ]	[72.5]     jAjjvalyamAnam apatat tat-BUmO muni-sattamaH //"iti [VizNuj ]
   [72.6]     evaṃ ca sūryasāvarṇikamanvantaramārabhya ravimaṇḍalasya	[72.6]     evam ca sUryasAvarNika-manvantaram-AraBya ravi-maNxalasya
   vṛttākārapratītiḥ.	vRtta-AkAra-pratItiH.
   [72.7-8]     tad anusāreṇa bodhāyanādibhiḥ vṛttākāratvaṃ	[72.7-8]     tat anusAreNa boDAyana-AdiBiH vRtta-AkAra-tvam
   ravimamaṇḍalasyoktam. tataḥ pūrvaṃ caturaśratvam va. tad evāsmin sūtre	ravima-maNxalasya-uktam. tatas pUrvam caturaSra-tvam va. tat eva-asmin sUtre
   pratipāditam.	pratipAditam.
   [72.9-10]     evaṃ "vānaprastho vaikhānaśāstrasamudācāro vaikhānasa" iti	[72.9-10]     evam "vAnaprasTaH vEKAnaSAstra-samudAcAraH vEKAnasa" iti
   vaikhānasasūtram anusmṛtya tṛtīyāśramadharmān bodhāyanaḥ pratipādayati.	vEKAnasa-sUtram anusmRtya tRtIya-ASrama-DarmAn boDAyanaH pratipAdayati.
   [BaudhDhS 2.6.11.14]	[BODDhH 2.6.11.14]
   [72.11-17]     tathā āgnivaiśyasūtre "athātas sūtragaṇanāṃ vyākhyāsyāmaḥ.	[72.11-17]     taTA Agni-vESya-sUtre "aTA-atas sUtragaNanAm vyAKyAsyAmaH.
   bodhāyanam āpastambaṃ satyāṣāṭhaṃ drāhyāyaṇam āgastyaṃ śākalyam	boDAyanam Apastambam satyAzAWam drAhyAyaNam Agastyam SAkalyam
   āśvalāyanaṃ śāmbhavīyaṃ kātyāyanam iti navāni pūrvasūtrāṇi. vaikhānasaṃ	ASvalAyanam SAmBavIyam kAtyAyanam iti navAni pUrva-sUtrANi. vEKAnasam
   śaunakīyaṃ bhāradvājam āgnivaiśyaṃ jaiminīyaṃ vādhūlaṃ mādhyandinaṃ	SOnakIyam BAradvAjam Agni-vESyam jEminIyam vA-aDUlam mADyandinam
   hiraṇyakeśīyaṃ kauṣītakam iti navāny aparasūtrāṇi. evam aṣṭādaśasūtrāṇy	hiraNyakeSI-iyam kOzItakam iti navAni apara-sUtrANi. evam azwAdaSasUtrANi-
   aṣṭādaśasūtrakārāś ca. etāni caturvedamūlāni. pūrvasūtrāṇi śārīrāṇi	azwAdaSa-sUtra-kArAH ca. etAni catur-veda-mUlAni. pUrva-sUtrANi SArIrANi
   sāmānyāni bhavanti. uttarasūtrāṇi vaikhānasādīni viṣṇusaṃbandhīni	sAmAnyAni Bavanti. uttara-sUtrANi vEKAnasa-AdIni vizNu-saMbanDIni
   daivikānī" ti vaikhānasasūtrasyāditvaṃ vaiṣṇavatvañ cocyate.	dEvikAnI" ti vEKAnasa-sUtrasya-Adi-tvam vEzNava-tvan ca-ucyate.
   [72.18-19]     asya sūtrasyādhikyaṃ ca "ye vaikhānasasūtreṇa saṃskṛtās	[72.18-19]     asya sUtrasya-ADikyam ca "ye vEKAnasa-sUtreNa saMskRtA-as
   dvijātaya" ityādinā pūrvam eva pratipāditam.	dvijAtaya" ityAdinA pUrvam eva pratipAditam.
   [72.20-21]     ataḥ sarvasūtrāṇām ādir idaṃ sūtram iti siddham. tataḥ	[72.20-21]     atas sarva-sUtrANAm AdiH idam sUtram iti sidDam. tatas-
   sarvasūtrottamatvañ cāsyopapadyate iti nirūpito dvitīyo hetuḥ.	sarva-sUtra-uttama-tvan ca-asya-upapadyate iti nirUpitaH dvitIyaH hetuH.
   [72.22]     iti dvitīyahetunitūpaṇam.	[72.22]     iti dvitIya-hetu-nitUpaNam.
        [tṛtīyahetunirūpaṇam]	[tRtIya-hetu-nirUpaNam]
        [vaikhānasasūtrasya śrutimārgānusāritvam]	[vEKAnasa-sUtrasya Sruti-mArga-anusAri-tvam]
   [73.1-3]     athāsya śrīvaikhānasasūtrasya sūtrāntarāpekṣayā	[73.1-3]     aTa-asya SrI-vEKAnasa-sUtrasya sUtra-antara-apekzayA
   vailakṣaṇyāpādakaṃ pratyakṣaśrutimūlakatvam astīti jñāpayituṃ	vElakzaNya-ApAdakam pratyakza-Sruti-mUlaka-tvam asti-iti jQApayitum
   "sarvakarmasu śrutimārgānusāritvād" iti tṛtīyo hetur nirūpyate. tathā hi:	"sarva-karmasu Sruti-mArga-anusAri-tvAd" iti tRtIyaH hetuH nirUpyate. taTA hi:
        [śuddhācamanavidheḥ śrautatvam]	[SudDa-Acamana-viDeH SrOta-tvam]
   [73.4-9]     śuddhācamanavidhau "yattrir ācāmati tena ṛcaḥ prīṇāti" ityādi	[73.4-9]     SudDa-Acamana-viDO "yattriH AcAmati tena RcaH prINAti" ityAdi
   śrutyanusāreṇa sūtre "ṛgvedaḥ prīṇātv" ityādinā śuddhācamanam uktam. nanu	Sruti-anusAreNa sUtre "RgvedaH prINAtv" ityAdinA SudDa-Acamanam uktam. nanu
   bodhāyanenāpi śuddhācamanavidhir ukta iti cet satyam. "ācamanavidhiṃ	boDAyanena-api SudDa-Acamana-viDiH uktaH iti ced satyam. "a-Acamana-viDim
   vyākhyāsyāmaḥ" ity ārabhya "gokarṇabaddhahastena trir ācamet, prathamaṃ	vyAKyAsyAmaH" iti AraBya "gokarNa-badDa-hastena tris Acamet, praTamam
   yat pibati tena ṛgvedaṃ prīṇāti yad dvitīyaṃ tena yajurvedaṃ yat tṛtīyaṃ	yat pibati tena Rgvedam prINAti yat dvitIyam tena yajurvedam yat tRtIyam
   tena sāmavedaṃ prīṇātī"ty ācamanena ṛgvedādīnāṃ prītir bhavatīty uktam. na	tena sAmavedam prINAtI"ti Acamanena Rgveda-AdInAm prItiH Bavati-iti uktam. na
   tu mantraḥ.	tu mantraH.
   [73.10-11]     śrutismṛtisūtravihitasya sandhyopāsanasya pradhānabhūtam	[73.10-11]     Sruti-smRti-sUtra-vihitasya sanDyA-upAsanasya praDAna-BUtam
   arghyapradānādikam atraiva pratipāditam. "prātas sūryaś cetyādinācamya āpo	arGya-pradAna-Adikam atra-eva pratipAditam. "prAtar sUryaH ca-ityAdinA-Acamya ApaH-
   hiṣṭhādibhis tisṛbhiḥ prokṣya	hizWA-AdiBiH tisRBiH prokzya
   [73.12]     gāyatryā 'po 'bhimantrya ādityābhimukhaṃ vikṣipya pradakṣiṇaṃ	[73.12]     gAyatryA apaH aBimantrya Aditya-aBimuKam vikzipya pradakziNam
   karoti" ityādi.	karoti" ityAdi.
   [73.13-17]     bodhāyanenāpi sandhyāvandanavidhir uktaḥ iti cet naivam.	[73.13-17]     boDAyanena-api sanDyA-vandana-viDiH uktaH iti ced na-evam.
   "athātas sandhyopāsanavidhiṃ vyākhyāsyāmaḥ. tīraṃ gatvāprayato 'bhiṣiktaḥ	"aTa-atas sanDyA-upAsana-viDim vyAKyAsyAmaH. tIram gatvA-aprayataH aBiziktaH
   prayato vā nābhiṣiktaḥ prakṣālipādapāṇir apa ācamya surabhimatyā	prayataH vA na-aBiziktaH prakzAli-pAda-pANiH apaH Acamya suraBimatyA
   abliṅgābhir vāruṇībhiḥ hiraṇyavarṇābhiḥ pāvamānībhiḥ vyāhṛtibhir anyaiś ca	abliFgABiH vAruNIBiH hiraNya-varNABiH pAvamAnIBiH vyAhRtiBiH anyEH ca
   pavitrair ātmānaṃ prokṣya prayato bhavati. athāpy udāharanti." [BaudhDhS	pavitrEH AtmAnam prokzya prayataH Bavati. aTa-api udAharanti." [BODDhS
   [73.18]     "āpo 'vagāhanaṃ snānaṃ vihitaṃ sārvavarṇikam /	[73.18]     "ApaH avagAhanam snAnam vihitam sArvavarNikam /
   [73.19]     mantravatprokṣaṇañ caiva dvijānām avaśiṣyate //" iti [BaudhDhS	[73.19]     mantravat-prokzaNan ca-eva dvijAnAm avaSizyate //" iti [BODDhS
   [73.20-74.3]      sarvakarmaṇāñ caivārambheṣu prāksandhyopāsanākālāc	[73.20-74.3]      sarva-karmaNAn ca-eva-AramBezu prAc-sanDyA-upAsana-akAlAc
   caitenaiva pavitrasamūhenātmānaṃ prokṣya prayato bhavati. athāpy	ca-etena-eva pavitra-samUhena-AtmAnam prokzya prayataH Bavati. aTa-api-
   udāharanti. "darbheṣv āsīno darbhān dhārayamāṇaḥ sodakapāṇinā	udAharanti. "darBezu AsInaH darBAn DArayamANaH sa-udaka-pANinA
   pratyaṅmukhaḥ sāvitrīṃ sahasrakṛtvaḥ āvartayet. prāṇāyāmaśo vā śatakṛtvaḥ.	pratyaFmuKaH sAvitrIm sahasra-kRtvas Avartayet. prANAyAmaSas vA Sata-kRtvas-.
   tribhiś ca prāṇāyāmaiḥ tato (tānto) brahmahṛdayena. vāruṇībhyāṃ rātrim	triBiH ca prANAyAmEH tatas (tAnto) brahma-hRdayena. vAruNIByAm rAtrim
   upatiṣṭhate." ityādinā mārjanādikam uktam. pradhānabhūtam	upatizWate." ityAdinA mArjana-Adikam uktam. praDAna-BUtam
   arghyapradānādikam anuktam. [BaudhDhS 2.4.7.4-9]	arGya-pradAna-Adikam anuktam. [BODDhH 2.4.7.4-9]
        [śrutyukto brahmayajñaprakāraḥ]	[Sruti-uktaH brahma-yajQa-prakAraH]
        [brahmavaraṇapūrvakasomavaraṇam]	[brahma-varaNa-pUrvaka-soma-varaNam]
   [74.4-9]     brahmayajñaḥ. talavakāropaniṣadi "tasyā vā eṣa prathamaḥ	[74.4-9]     brahma-yajQaH. talavakAra-upanizadi "tasyAH vE eza praTamaH
   pādaḥ oṃ bhūs tatsavitur vareṇyaṃ oṃ bhuvaḥ bhargo devasya dhīmahi oṃ	pAdaH om BUH tat-savituH vareNyam om BuvaH BargaH devasya DImahi om
   suvaḥ dhiyo yo naḥ pracodayāt iti pacchaḥ, oṃ bhūr bhuvas tatsavitur	suvar DiyaH yaH naH pracodayAt iti pacCaH, om BUH BuvaH tat-savituH-
   vareṇyaṃ bhargo devasya dhīmahi oṃ suvaḥ dhiyo yo naḥ pracodayāt ity	vareNyam BargaH devasya DImahi om suvar DiyaH yaH naH pracodayAt iti-
   ardhacaśaḥ, oṃ bhūrbhuvassuvas tatsavitur vareṇyaṃ bhargo devasya dhīmahi	arDacaSaH, om BUH-BuvassuvaH tat-savituH vareNyam BargaH devasya DImahi
   dhiyo yo naḥ pracodayāt iti samastāñ ca sāvitrīṃ japtveti yathodiṣṭaḥ,	DiyaH yaH naH pracodayAt iti samastAn ca sAvitrIm japtvA-iti yaTodizwaH,
   tathātra sūtre 'pi ukto 'sti.	taTA-atra sUtre api uktaH asti.
   [74.10-11]     āghārādiṣu sarvam api śrautavat. atra brahmavaraṇānantaraṃ	[74.10-11]     AGAra-Adizu sarvam api SrOtavat. atra brahma-varaNa-anantaram
   somavaraṇam apy uktam asti. "somo 'smākaṃ brāhmaṇānāṃ rājā - somarājāno	soma-varaNam api uktam asti. "somaH asmAkam brAhmaNAnAm rAjA  somarAjAnaH-
   brāhmaṇā" iti.	brAhmaNA" iti.
   [74.12-13]     "viṣṇuś ca vai somaś ca brahmav ādyam avadetāṃ 'ahaṃ	[74.12-13]     "vizNuH ca vE somaH ca brahma Adyam avadetAm aaham
   brāhmaṇānāṃ pratiṣṭhe'ti viṣṇur abravīt 'ahaṃ pratiṣṭhe'ti somaḥ. tau	brAhmaNAnAm pratizWe-ati vizNuH abravIt aaham pratizWe-ati somaH. tO
   prajāpatiṃ praśnam aitāṃ so 'bravīt prajāpatiḥ	prajApatim praSnam EtAm saH abravIt prajApatiH
   [74.14]     'chandāṃsi viṣṇum adhigacchanti, nakṣatrāṇi somaṃ. tāv ubhau	[74.14]     aCandAMsi vizNum aDigacCanti, nakzatrANi somaM. tO uBO
   brahmaṇyāv'; iti so 'bravīt.	brahmaNyAv-a; iti saH abravIt-.
   [74.15-17]     pūjitau pūjayantau stutau stunvantau priyau priyavantau	[74.15-17]     pUjitO pUjayantO stutO stunvantO priyO priyavantO
   brahmaṇyau brahmavittau brāhmaṇānāṃ pratiṣṭhātārau bhavata iti yan māṃ	brahmaNyO brahma-vittO brAhmaNAnAm pratizWAtArO BavataH iti yat mAm
   brahmaṇā vakṣyanti yajñeṣu so 'ham iti viṣṇur abravīt. tasmād viṣṇur yajño	brahmaNA vakzyanti yajQezu saH aham iti vizNuH abravIt. tasmAt vizNuH yajQaH-
   brāhmaṇānāṃ pratiṣṭhā iti. vijñayate ca.	brAhmaNAnAm pratizWA iti. vijQayate ca.
   [74.18-22]     "brāhmaṇo vai chandāṃsī"ty etasmāt brāhmaṇāt yan māṃ	[74.18-22]     "brAhmaNaH vE CandAMsI"ti etasmAt brAhmaNAt yat mAm
   brāhmaṇā vakṣyanti nakṣatreṣu tatrāham iti so 'bravīt. tasmāt brāhmaṇānāṃ	brAhmaNAH vakzyanti nakzatrezu tatra-aham iti saH abravIt. tasmAt brAhmaNAnAm
   somo rājeti tasmād vijñāyate ca brāhmaṇe vā aṣṭāviṃśo nakṣatrāṇāṃ tasya	somaH rAjA-iti tasmAt vijQAyate ca brAhmaNe vA azwAviMSaH nakzatrANAm tasya
   vacaḥ puṇyam iti tāv ubhau brahmaṇyau brahmavittau brāhmaṇānāṃ	vacaH puNyam iti tO uBO brahmaNyO brahma-vittO brAhmaNAnAm
   pratiṣṭhātārau brāhmaṇeṣu pratiṣṭhitau ya evaṃ brāhmaṇapuraskṛtāni karmāṇi	pratizWAtArO brAhmaNezu pratizWitO yaH evam brAhmaNa-puraskRtAni karmANi
   karoti yajñasya samṛddhyā" iti ca śrutiprasiddhatvāt.	karoti yajQasya samRdDyA" iti ca Sruti-prasidDa-tvAt.
   [74.23-25]     evam atra śāntikapauṣṭikādiṣu pradhānakarmatvāt	[74.23-25]     evam atra SAntika-pOzwika-Adizu praDAna-karma-tvAt-
   navagrahamakhasya pañcāgnikuṇḍavidhānam uktam. "atha grahaśāntiṃ	nava-graha-maKasya paQca-agnikuNxa-viDAnam uktam. "aTa graha-SAntim
   vyākhyāsyāmaḥ. grahyāyattā lokayātrā tasmād ātmaviruddhe prāpte grahān	vyAKyAsyAmaH. grahya-AyattA lokayAtrA tasmAt Atma-virudDe prApte grahAn
   samyak pūjayatī" ti.	samyak pUjayatI" ti.
        [grahaśānteḥ prādhānyam]	[graha-SAnteH prADAnyam]
   [75.1-8]     grahaśānteḥ kathaṃ prādhānyam iti ced ucyate. "udyantam	[75.1-8]     graha-SAnteH kaTam prADAnyam iti ced ucyate. "udyantam
   astaṃyantam ādityam abhidhyāyan kurvan brāhmaṇo vidvān sakalaṃ bhadram	astaMyantam Adityam aBiDyAyan kurvan brAhmaNaH vidvAn sakalam Badram
   aśnute 'sāv ādityo brahmeti brahmaiva san brahmāpy eti ya evaṃ veda" iti	aSnute asO AdityaH brahma-iti brahma-eva san brahmA-api eti yaH evam veda" iti
   "ya eṣo 'ntarāditye hiraṇmayaḥ puruṣo dṛśyate" iti "yo 'sau tapann udeti"	"yaH ezaH antarAditye hiraNmayaH puruzaH dRSyate" iti "yaH asO tapan udeti"
   ityādi "viṣṇuśakter avasthānaṃ sadāditye karoti ca" iti "dhyeyas sadā	ityAdi "vizNu-SakteH avasTAnam sadA-Aditye karoti ca" iti "DyeyaH sadA
   savitṛmaṇḍalamadhyavartī" tyādibhiś ca vacanaiḥ yat pratipāditaṃ	savitR-maNxala-maDya-vartI" tyAdiBiH ca vacanEH yat pratipAditam
   savitṛmaṇḍalamadhyavartino bhagavato nārāyaṇasya yajanaṃ tad evedam ity	savitR-maNxala-maDya-vartinaH BagavataH nArAyaNasya yajanam tat eva-idam iti-
   abhiprāyeṇa sūtrakārair asya grahayajñasya prādhānyam uktam. tathānte	aBiprAyeNa sUtrakArEH asya graha-yajQasya prADAnyam uktam. taTA-ante
   "anyathā mahattaro doṣo bhavatī"ty apy uktam.	"anyaTA mahattaraH dozaH BavatI"ti api uktam.
   [75.9]     bodhāyanaś ca: "athāto grahātithyabalikarmopahārān	[75.9]     boDAyanaH ca: "aTA-atas graha-AtiTya-bali-karma-upahArAn
   vyākhyāsyāmaḥ"	vyAKyAsyAmaH"
        [savitṛhomaḥ]	[savitR-homaH]
   [75.10]     aśraddhadhānam aśucim ajapaṃ tyaktamaṅgalam /	[75.10]     aSradDaDAnam aSucim ajapam tyakta-maFgalam /
   [75.11]     grahā nayanti suvyaktaṃ puruṣaṃ yamasādanam //	[75.11]     grahAH nayanti su-vyaktam puruzam yama-sAdanam //
   [75.12]     grahāṇām ugraceṣṭānāṃ nakṣatrapathacāriṇām /	[75.12]     grahANAm ugra-cezwAnAm nakzatra-paTa-cAriNAm /
   [75.13]     upahārān pravakṣyāmi śāntyarthan tu yathāvidhi //"	[75.13]     upahArAn pravakzyAmi SAnti-arTan tu yaTAviDi //"
        [viṣṇvārādhanasya śrautatvam]	[vizNu-ArADanasya SrOta-tvam]
   [75.14-16]     māsi māsy ṛtāv ṛtau candragrahe sūryagrahe viṣuve 'yane	[75.14-16]     mAsi mAsi RtO RtO candra-grahe sUrya-grahe vizuve ayane
   śubhāśubhe janmanakṣatre tadgrahāṇām ātithyaṃ saṃvatsarād api prayuñjānaḥ	SuBa-aSuBe janma-nakzatre tad-grahANAm AtiTyam saMvatsarAt api prayuQjAnaH
   sarvān kāmān avāpnoti" iti grahaśāntikālaṃ nirūpya.	sarvAn kAmAn avApnoti" iti graha-SAnti-kAlam nirUpya.
   [75.17]     "grahā gāvo narendrāś ca brāhmaṇāś ca viśeṣataḥ /	[75.17]     "grahAH gAvaH narendrAH ca brAhmaNAH ca viSezataH /
   [75.18]     pūjitāḥ pūjayanty enaṃ nirdahanty avamānitāḥ //"	[75.18]     pUjitAH pUjayanti enam nirdahanti avamAnitAH //"
   [75.19]     ity akaraṇe pratyavāyam api darśitavān.	[75.19]     iti akaraNe pratyavAyam api darSitavAn-.
   [75.20-22]     tasmād eva sūtrakāraiḥ sūryacandrau vinā lokapravṛtty	[75.20-22]     tasmAt eva sUtrakArEH sUrya-candrO vinA loka-pravRtti-
   asambhavāt sūryapradhānatvāc ca grahāṇāṃ sarvakarmaṇām ādau	asamBavAt sUrya-praDAna-tvAt ca grahANAm sarva-karmaNAm AdO
