   tṛtīya uddyotaḥ	tRtIyaH uddyotaH
   kuta ityatrāha   saheti /	kutas iti atra Aha    saha iti /
   upakārāyogāditi /	upakAra ayogAt iti /
   upakāryopakārakabhāvāyogādityarthaḥ /	upakArya upakAraka BAva ayogAt iti arTaH /
   yasyāpīti /	yasya api iti /
   uktiḥ prāgityanena sambandhaḥ /	uktiH prAk iti anena sambanDaH /
   tasyāpīti /	tasya api iti /
   mate iti śeṣaḥ /	mate iti SezaH /
   vyapadeśivatvāditi /	vyapadeSiva tvAt iti /
   rāhośśira ityādivadbhegranthamavatārayati   nanvityādi /	rAhoH SiraH ityAdi vat BegranTam avatArayati   nanu ityAdi /
   ityuktamiti /	iti uktam iti /
   taduktyā kramo 'stītyāveditamiti bhāvaḥ /	tad uktyA kramaH asti iti Aveditam iti BAvaH /
   tatkalpana iti /	tad kalpanaH iti /
   kramakalpana ityarthaḥ /	krama kalpanaH iti arTaH /
   rasapratītyudayasyetyasya darśanādityanena sambandhaḥ /	rasa pratIti udayasya iti asya darSanAt iti anena sambanDaH /
   kutasyetyudayasyetyasya viśeṣaṇam /	kutasya iti udayasya iti asya viSezaNam /
   phalitamāha  tataścetyādi /	Palitam Aha  tatas ca ityAdi /
   sahaiva yugapadeva /	saha eva yugapad eva /
   vacanetyādi /	vacana ityAdi /
   vacanavāyāpāro vācyārthapratipādanam /	vacana vAya apAraH vAcya arTa pratipAdanam /
   nanu śabda eva prakāraṇādyavacchinno vācyavyaṅgyayoḥ samameva	nanu SabdaH eva prakAraNa Adi avacCinnaH vAci avyaFgyayoH samam eva
   pratītimupajanayatīti kiṃ tatra kramakalpanayā /	pratItim upajanayati iti kim tatra krama kalpanayA /
   na ha śabdasya vācyapratītiparāmarśa eva vyañjakatve nibandhanam /	na ha Sabdasya vAcya pratIti parAmarSaH eva vyaQjaka tve nibanDanam /
   tathā hi gītādiśabdebhyo 'pi rasābhivyaktirasti /	taTA hi gIta Adi SabdeByaH api rasa aBivyaktiH asti /
   na ca teṣāmantarā vācyaparāmarśaḥ /	na ca tezAm antarA vAcya parAmarSaH /
   atrāpī brūmaḥ   prakaraṇādyavacchedena vyañjakatvaṃ	atra apI brUmaH    prakaraNa Adi avacCedena vyaQjaka tvam
   śabdānāmityanumatamevaitadasmākam /	SabdAnAm iti anumatam eva etat asmAkam /
   kiṃ tu tadyvañjakatvaṃ teṣāṃ kadācitsvarūpaviśeṣanibandhanaṃ	kim tu tadi vaQjaka tvam tezAm kadAcid svarUpa viSeza nibanDanam
   kadācidvācakaśaktinibandhanam /	kadAcid vAcaka Sakti nibanDanam /
   tatra yeṣāṃ vācakaśaktinibandhanaṃ teṣāṃ yadi vācyapratītimantareṇaiva	tatra yezAm vAcaka Sakti nibanDanam tezAm yadi vAcya pratItim antareNa eva
   svarūpapratītyā niṣpannaṃ tadbhavenna tarhi vācakaśaktinibandhanam /	svarUpa pratItyA nizpannam tat Bavet na tarhi vAcaka Sakti nibanDanam /
   atha locanam padavirahitasvarālāpagītādau śabdamātropayogakṛtasya darśanāt	aTa locanam pada virahita svara AlApa gIta AdO Sabda mAtra upayoga kRtasya darSanAt 
   tataścaikayaiva sāmagnyā sahaiva vācyaṃ vyaṅgyābhimataṃ ca rasādi bhātīti	tatas ca ekayA eva sAmagnyA saha eva vAcyam vyaFgya aBimatam ca rasa Adi BAti iti
   vacanavyañjanavyāpāradvayena na kiñcinditi tadāha  nanviti /	vacana vyaQjana vyApAra dvayena na kiQcinditi tadA aha  nanu iti /
   yatrāpi gītaśabdānāmartho 'sti tatrāpi tatpratītiranupayoginī	yatra api gIta SabdAnAm arTaH asti tatra api tad pratItiH anupayoginI
   grāmarāgānusāreṇāpahastitavācyānusāratayā rasodayadarśanāt /	grAma rAga anusAreNa apahastita vAcya anusAra tayA rasa udaya darSanAt /
   na cāpi sā sarvatra bhavantī dṛśyate, tadetadāha   na ceti /	na ca api sA sarvatra BavantI dRSyate, tat etat Aha   na ca iti /
   teṣāmiti gītādiśabdānām /	tezAm iti gIta Adi SabdAnAm /
   ādiśabdena vādyavilapitaśabdādayo nirdiṣṭāḥ /	Adi Sabdena vAdya vilapita Sabda AdayaH nirdizwAH /
   anumatamiti /	anumatam iti /
   'yatrārthaḥ śabdo vā' iti hyavocāmeti bhāvaḥ /	ayatra arTaH SabdaH vA a iti hi avocAma iti BAvaH /
   na tarhīti /	na tarhi iti /
   tataśca gītavadevārthāvagamaṃ vinaiva rasāvabhāsaḥ syātkāvyaśabdebhyaḥ, na	tatas ca gIta vat eva arTa avagamam vinA eva rasa avaBAsaH syAt kAvya SabdeByaH, na
   caivamiti vācakaśaktirapi tatrāpekṣaṇīyā; sā ca vācyaniṣṭaiveti prāgvācye	ca evam iti vAcaka SaktiH api tatra apekzaNIyA; sA ca vAci anizwA eva iti prAc vAcye
   pratipattirityupagantavyam /	pratipattiH iti upagantavyam /
   tadāha   atheti /	tadAha   aTa iti /
   tadidi vācakaśaktiḥ /	tat idi vAcaka SaktiH /
   bālapriyā tadāheti /	bAla priyA tadAha iti /
   uktāmāśaṅkāṃ 'nanvi'tyādinā 'parāmarśa' ityantena pradarśayatītyarthaḥ /	uktAm ASaFkAm ananvi atyAdinA aparAmarSa a iti antena pradarSayati iti arTaH /
   'na ce'tyādigranthamavatārayate  yatrāpītyādi /	ana ce atyAdi granTam avatArayate  yatra api ityAdi /
   'anupayoginī'tyatra hetumāha  grāmetyādi /	aanupayoginI atyatra hetum Aha   grAma ityAdi /
   apeti /	apa iti /
   apahastitaḥ anādṛtaḥ vācyānusāraḥ vācyarthapratītyanusaraṇaṃ yena	apahastitaH anAdRtaH vAcya anusAraH vAci arTa prati iti anusaraNam yena
   rasodayena tasya bhāvastattā tayā /	rasa udayena tasya BAvaH tat tA tayA /
   seti /	sA iti /
   vācyapratītirityarthaḥ /	vAcya pratItiH iti arTaH /
   'gītādīnā'mityatrādipadārthamāha   ādītyādi /	agIta AdInA amiti atra Adi padArTam Aha   Adi ityAdi /
   vilapitaṃ vilāpaḥ "vilāpo 'narthakaṃ vaca' ityamaraḥ /	vilapitam vilApaH "vilApaH anarTakam vaca a iti amaraH /
   vṛttau 'tadvyañjakatvam' iti /	vRttO atat vyaQjaka tvam a iti /
   prakaraṇādisahakṛtaṃ vyañjakatvamityarthaḥ /	prakaraNa Adi saha kRtam vyaQjaka tvam iti arTaH /
   'teṣāṃ' śabdānām /	atezAma SabdAnAm /
   'svarūpaviśeṣe'ti /	asvarUpa viSeze ati /
   śabdasvarūpaviśeṣetyarthaḥ /	Sabda svarUpa viSeza iti arTaH /
   'vācake'ti /	avAcake ati /
   vācakaśaktirabhidhā saiva nibandhanaṃ prayojakaṃ yasya tat /	vAcaka SaktiH aBiDA sA eva nibanDanam prayojakam yasya tat /
   vyakterabhidheyārthapratītipūrvakatvāditi bhāvaḥ /	vyakteH aBiDeya arTa pratIti pUrvaka tvAt iti BAvaH /
   'yeṣām' iti /	ayezAm a iti /
   tadvyañjakatvamityanuṣaṅgaḥ /	tad vyaQjaka tvam iti anuzaFgaH /
   'tadi'ti vyañjaktavamityarthaḥ /	atadi ati vyaQjaktavam iti arTaH /
   'na tarhī'ti /	anaH tarhI ati /
   tataśca vyañjakatvasya vācakaśaktinibandhanatvābhāve ca /	tatas ca vyaQjaka tvasya vAcaka Sakti nibanDanatva aBAve ca /
   gītavaditi /	gIta vat iti /
   gītena tulyamityarthaḥ /	gItena tulyam iti arTaH /
   na caivaṃ evaṃ na bhavati ca /	na ca evam evam na Bavati ca /
   itīti hetau /	iti iti hetO /
   vācyaniṣṭhaiva vācyaviṣayikaiva /	vAcya nizWA eva vAcya vizayikA eva /
   prāgatyādi /	prAgatyAdi /
   tannibandhanaṃ tanniyamenaiva vācyavācakabhāvapratītyuttarakālatvaṃ	tad nibanDanam tat niyamena eva vAcya vAcaka BAva pratIti uttara kAla tvam
   vyaṅgyapratīteḥ prāptameva /	vyaFgya pratIteH prAptam eva /
   sa tu kramo yadi lāghavānna lakṣyate tatkiṃ kriyate /	sa tu kramaH yadi lAGavAt na lakzyate tat kim kriyate /
   yada ca vācyapratītimantareṇaiva prakaraṇādyavcchinnaśabdamātrasādhyā	yada ca vAcya pratItim antareNa eva prakaraNa Adi avcCinna Sabda mAtra sADyA
   rasādapratītiḥ syāttadanavadhāritaprakaraṇānāṃ vācyavācakabhāve ca	rasAdapratItiH syAt tad anavaDArita prakaraNAnAm vAcya vAcaka BAve ca
   svayamavyutpannānāṃ pratipattṝṇāṃ locanam vācyavācakabhāveti /	svayam avyutpannAnAm pratipattLNAm locanam vAcya vAcaka BAva iti /
   saiva vācakaśaktiratyucyate /	sA eva vAcaka SaktiH atyucyate /
   etaduktaṃ bhavati  mā bhūdvācyaṃ rasādivyañjakam; astu śabdādeva	etat uktam Bavati   mA BUt vAcyam rasa Adi vyaQjakam; astu SabdAt eva
   tatpratītistathāpi tena svavācakaśaktistasyāṃ kartavyāyāṃ	tad pratItiH taTA api tena sva vAcaka SaktiH tasyAm kartavyAyAm
   sahakāritayāvaśyāpekṣaṇīyetyāyātaṃ vācyapratīteḥ pūrvabhāvitvamiti /	sahakAri tayA avaSya apekzaNIyA iti AyAtam vAcya pratIteH pUrva BAvi tvam iti /
   nanu gītaśabdavadeva vācakaśaktiratrāpyanupayoginī, yattukvacacchrute 'pi	nanu gIta Sabda vat eva vAcaka SaktiH atra api anupayoginI, yat tu kvacat Srute api
   kāvyerasapratītirna bhavati tatrocitaḥ prakaraṇāvagamādiḥ sahakārī	kAvyerasa pratItiH na Bavati tatra ucitaH prakaraNa avagama AdiH sahakArI
   nāstītyāśaṅkyāha  yadi ceti /	na asti iti ASaFkya aha  yadi ca iti /
   prakaraṇāvagamo hi ka ucyate? kiṃ vākyāntarasahāyatvam? atha vākyāntarāṇāṃ	prakaraNa avagamaH hi kaH ucyate? kim vAkya antara sahAya tvam? aTa vAkya antarANAm
   sambandhivācyam /	sambanDi vAcyam /
   ubhayaparijñāne 'pi na bhavati prakṛtavākyārthāvedane rasodayaḥ /	uBaya parijQAne api na Bavati prakRta vAkya arTa Avedane rasa udayaH /
   bālapriyā vācyārthapratītiḥ prāgbhavatītyabhyupagantavyamityarthaḥ /	bAlapriyA vAcya arTa pratItiH prAk Bavati iti aByupagantavyam iti arTaH /
   vṛttau 'athe'ti yadītyarthe /	vRttO aaTe ati yadi iti arTe /
   'tannibandhana'miti /	atat nibanDana am iti /
   sā nibandhanaṃ yasya tadityarthaḥ /	sA nibanDanam yasya tat iti arTaH /
   vyañjakatvamityanuṣaṅgaḥ /	vyaQjaka tvam iti anuzaFgaH /
   'tadi'ti /	atadi ati /
   tarhityarthaḥ /	tarhiti arTaH /
   'sa tu krama' iti /	asa tu krama a iti /
   vācyapratītyuttarakālatvarūpaḥ kramastvityarthaḥ /	vAcya pratIti uttara kAla tva rUpaH kramaH tu iti arTaH /
   vyaṅgyapratīterityanuṣaṅgaḥ /	vyaFgya pratIteH iti anuzaFgaH /
   tannibandhanamityatra tatpdaṃ vyācaṣṭe locane  vācakaśaktiriti /	tad nibanDanam iti atra tat pdam vyAcazwe locane  vAcaka SaktiH iti /
   saiveti /	sA eva iti /
   sa eveti /	saH eva iti /
   ca pāṭhaḥ /	ca pAWaH /
   vācyavācakabhāva evetyarthaḥ /	vAcya vAcaka BAvaH eva iti arTaH /
   bhāvārthamāha   etadityādi /	BAva arTam Aha   etat ityAdi /
   rasādivyañjakamiti /	rasa Adi vyaQjakam iti /
   rasādivyaktijanakamityarthaḥ /	rasa Adi vyakti janakam iti arTaH /
   tatpratītiriti /	tad pratItiH iti /
   rasādipratītiratyarthaḥ /	rasa Adi pratItiH atyarTaH /
   teneti /	tena iti /
   śabdenetyarthaḥ /	Sabdena iti arTaH /
   tasyāṃ kartavyāyāmiti /	tasyAm kartavyAyAm iti /
   rasādipratītābutpādayitavyāyāmityarthaḥ /	rasa Adi pratIta abutpAdayita vyAyAm iti arTaH /
   itīti hetau /	iti iti hetO /
   nanvityādi /	nanu ityAdi /
   gītaśabdavaditi /	gIta Sabda vat iti /
   gītaśabde ivetyarthaḥ /	gIta Sabde iva iti arTaH /
   atrāpi kāvyaśabde 'pi /	atra api kAvya Sabde api /
   nanvevaṃ yatra śabdaḥ śruto 'rtho nādhigataśca tatra rasapratītiḥ	nanu evam yatra SabdaH SrutaH arTaH na aDigataH ca tatra rasa pratItiH
   syādityata āha  yattvityādi /	syAt iti atas Aha  yat tu ityAdi /
   yattu yatra /	yat tu yatra /
   ityāśaṅkyāheti /	iti ASaFkya aha iti /
   iti śaṅkāpūrvakaṃ samādhānaṃ bhavedityantagranthenāhetyarthaḥ /	iti SaFkA pUrvakam samADAnam Bavet iti anta granTena Aha iti arTaH /
   vṛttau	vRttO
   śabdamātrasādhyetyatratyamātrapadārthavivaraṇam   'vācyapratītimantareṇaive'ti	Sabda mAtra sADya iti atratya mAtra padArTa vivaraNam     avAcya pratItim antareNa eve ati
   'tadavadhārite'ti /	atad avaDArite ati /
   tattarhi /	tat tarhi /
   avadhāritaṃ jñātaṃ prakaraṇaṃ yaisteṣām /	avaDAritam jQAtam prakaraNam yEH tezAm /
   'vācye'tyādi /	avAcye atyAdi /
   tattadvācakaśabdasya tattadvācyārthaṃ svayamajānatāmityarthaḥ /	tad tad vAcaka Sabdasya tad tad vAcya arTam svayam ajAnatAm iti arTaH /
   'asau'rasādipratītiḥ /	aasO arasa Adi pratItiH /
   locane vivṛṇoti  prakaraṇetyādi /	locane vivRNoti   prakaraNa ityAdi /
   prakaraṇāvagamaḥ avagamyaḥ prakaraṇapadārthaḥ /	prakaraNa avagamaH avagamyaH prakaraNa padArTaH /
   vākyeti /	vAkya iti /
   vākyāntaraṃ sahāyaḥ sahakāri yasya tattvaṃ sahakāri vāntaramityarthaḥ /	vAkya antaram sahAyaH sahakAri yasya tattvam sahakAri vA antaram iti arTaH /
   kāvyamātraśravaṇādevāsau bhavet /	kAvya mAtra SravaNAt eva asO Bavet /
   sahabhāve ca vācyapratīteranupayogaḥ, upayoge vā na sahabhāvaḥ /	sahaBAve ca vAcya pratIteH anupayogaH, upayoge vA na sahaBAvaH /
   yeṣāmapi svarūpaviśeṣapratītinimittaṃ vyañjakatvaṃ yathā gītādiśabdānāṃ	yezAm api sva rUpa viSeza pratIti nimittam vyaQjaka tvam yaTA gIta Adi SabdAnAm
   teṣāmapi svarūpapratītervyaṅgyapratīteśca niyamabhāvī locanam svayamiti /	tezAm api svarUpa pratIteH vyaFgya pratIteH ca niyama BAvI locanam svayam iti /
   prakaraṇamātrameva pareṇa kenacidyeṣāṃ vyākhyātamiti bhāvaḥ /	prakaraNa mAtram eva pareNa kenacid yezAm vyAKyAtam iti BAvaH /
   na cānvayavyatirekavatīṃ vācyapratītimapahnutyādṛṣṭasadbhāvābhāvau	na ca anvaya vyatirekavatIm vAcya pratItim apahnuti AdRzwa sadBAva aBAvO
   śaraṇatvenāśritau mātsaryādadhikaṃ kiñcitpuṣṇīta ityabhiprāyaḥ /	SaraNa tvena ASritO mAtsaryAt aDikam kiQcid puzNItaH iti aBiprAyaH /
   nanvastu vācyapratīterupayogaḥ kramāśrayeṇa kiṃ prayojanam,	nanu astu vAcya pratIteH upayogaH krama ASrayeNa kim prayojanam,
   sahabhāvamātrameva hyupayoga	sahaBAva mAtram eva hi upayoga
   ekasāmagryadhīnatālakṣaṇamityāśaṅkyāha  saheti /	eka sAmagrI aDInatA lakzaNam iti ASaFkya aha   sahA iti /
   evaṃ hyupayoga iti anupakārake sañjñākaraṇamātraṃ vastuśūnyaṃ syāditi	evam hi upayogaH iti anupakArake saQjQAkaraNa mAtram vastu SUnyam syAt iti
   bhāvaḥ /	BAvaH /
   upakāriṇo hi pūrvabhāviteti tvayā pyaṅgīkṛtamityāha   yeṣāmiti /	upakAriNaH hi pUrva BAvitA iti tvayA pyaFgIkRtam iti Aha   yezAm iti /
   taddṛṣṭāntenaiva vayaṃ vācyapratīterapi pūrvabhāvitāṃ samarthayiṣyāma iti	tat dRzwAntena eva vayam vAcya pratIteH api pUrva BAvitAm samarTayizyAmaH iti
   bhāvaḥ /	BAvaH /
   bālapriyā prakṛtavākyasyeti śeṣaḥ /	bAlapriyA prakRta vAkyasya iti SezaH /
   atheti praśne /	aTa iti praSne /
   vākyāntarāṇāmityādi /	vAkya antarANAm ityAdi /
   vākyāntaratadvācyamityarthaḥ /	vAkya antara tat vAcyam iti arTaH /
   ubhayeti /	uBaya iti /
   vākyāntaratadvācyobhayetyarthaḥ /	vAkya antara tad vAcya uBaya iti arTaH /
   prakṛtavākyārthavedana iti /	prakRta vAkya arTa vedanaH iti /
   prakṛtavākyaghaṭakatattatpadārthanavagama ityarthaḥ /	prakRta vAkya Gawaka tad tad padArTa nava gamaH iti arTaH /
   vācyavācakabhāvāvyutpattimupapādayati  prakaraṇamātramityādi /	vAcya vAcaka BAva avyutpattim upapAdayati   prakaraNa mAtram ityAdi /
   mātraśabdena vācyasya vyavacchedaḥ /	mAtra Sabdena vAcyasya vyavacCedaH /
   yeṣāmiti /	yezAm iti /
   keṣāñcit pratipattṝṇāmityarthaḥ /	kezAQcid pratipattLNAm iti arTaH /
   vyākhyātamiti /	vyAKyAtam iti /
   bodhitamityarthaḥ /	boDitam iti arTaH /
   nanu vākyena rasādipratītau kartavyāyāmadṛṣṭaviśeṣo 'pi sahakārī	nanu vAkyena rasa Adi pratItO kartavyAyAm adRzwa viSezaH api sahakArI
   tadabhāvādeva vācyapratītivirahakāle rasāderapratītiriti śaṅkāṃ	tad aBAvAt eva vAcya pratIti viraha kAle rasa AdeH apratItiH iti SaFkAm
   pariharati  na cetyādi /	pariharati  na ca ityAdi /
   na ca puṣṇita iti sambandhaḥ /	na ca puzNitaH iti sambanDaH /
   anvayeti /	anvaya iti /
   vācyapratītisattve rasādipratītistadabhāve tadabhāva	vAcya pratIti sattve rasa Adi pratItiH tad aBAve tad aBAva
   ityanvayavyatirekaśālinīmityarthaḥ /	iti anvaya vyatireka SAlinIm iti arTaH /
   śaraṇatveneti /	SaraNa tvena iti /
   prayojakatvenetyarthaḥ /	prayojaka tvena iti arTaH /
   rasapratītipadabhāvayoriti śeṣaḥ /	rasa pratIti pada BAvayoH iti SezaH /
   nanvityādi /	nanu ityAdi /
   upayoga iti /	upayogaH iti /
   rasādipratītiṃ pratīti śeṣaḥ /	rasa Adi pratItim prati iti SezaH /
   kramāśrayeṇeti /	krama ASrayeNa iti /
   vācyapratītirasādipratītyoḥ paurvāparyarūpakramāśrayeṇetyarthaḥ /	vAcya pratIti rasa Adi pratItyoH pOrvAparya rUpa krama ASrayeNa iti arTaH /
   tarhi upayogaḥ ka ityatrāha  saheti /	tarhi upayogaH kaH iti atra aha   saha iti /
   tat kīdṛśamityāṅkyāha  eketi /	tat kIdRSam iti AFkya aha   ekA iti /
   vācyapratīteḥ rasādipratyāyakasāmagnyadhīnatvarūpo rasādisahabhāva iti	vAcya pratIteH rasa Adi pratyAyaka sAmagni aDIna tva rUpaH rasa Adi sahaBAvaH iti
   bhāvaḥ /	BAvaH /
   upayāgāḥ upayogapadārthaḥ /	upayAgAH upayoga padArTaH /
   āśaṅkyeti /	ASaFkya iti /
   āpātataśśaṅkitvetyarthaḥ /	ApAtatas SaFkitvA iti arTaH /
   sahabhāve cetyādigranthasya bhāvamāha  evaṃ hītyādi /	sahaBAve ca ityAdi granTasya BAva mAha  evam hi ityAdi /
   anupakārake upayoga iti sañjñākaraṇamātramiti sambandhaḥ /	anupakArake upayogaH iti saQjQAkaraNa mAtram iti sambanDaH /
   mātrapadārthaṃ vivṛṇoti  vastvityādi /	mAtra padArTam vivRNoti  vastu ityAdi /
   vastu upakārakatvarūpastadarthaḥ /	vastu upakAraka tva rUpaH tad arTaH /
   pūrvabhāviteti /	pUrva BAvitA iti /
   pūrvakālavṛttitvamityarthaḥ /	pUrva kAla vRtti tvam iti arTaH /
   krama ityantagranthasya bhāvamāha  tvaddṛṣṭāntenetyādi /	kramaH iti anta granTasya BAvam Aha   tvad dRzwAntena ityAdi /
   tvaddṛṣṭāntena gītādinā tattvityādigranthamavatārayati   nanvityādi /	tvad dRzwAntena gIta AdinA tat tu ityAdi granTam avatArayati   nanu ityAdi /
   śabdasyetyasya kriyetyanena sambandhaḥ /	Sabdasya iti asya kriyA iti anena sambanDaH /
   kramaḥ /	kramaH /
   tattu śabdasya kriyāpaurvāparyamananyasādhyatatphalaghaṭanāsvāśubhāvanīṣu	tat tu Sabdasya kriyA pOrvA paryam ananI asADya tat Pala Gawana Asu ASu BAvanIzu
   vācyenāvirodhinyabhidheyāntaravilakṣaṇe rasādau na pratīyate /	vAcyena aviroDinI aBiDeya antara vilakzaNe rasa AdO na pratIyate /
   locanam nanu saṃścetkramaḥ kiṃ na lakṣyata ityāśaṅkyāha  tattviti /	locanam nanu saMSced kramaH kim na lakzyate iti ASaFkya aha   tattu iti /
   kriyāpaurvāparyamatyanena kramasya svarūpamāha  kriyete iti /	kriyA pOrvAparyam atyanena kramasya svarUpam Aha  kriyete iti /
   kriye vācyavyaṅgyapratīti yadi vābhidhāvyāpāro vyañjanāparaparyāyo	kriye vAci avyaFgya prati iti yadi vA aBiDA vyApAraH vyaQjana apara paryAyaH 
   dhvananavyāpāraśceti kriye tayoḥ paurvāparyaṃ na pratīyate /	Dvanana vyApAraH ca iti kriye tayoH pOrvAparyam na pratIyate /
   kvetyāga  rasādau viṣaye /	kva ityAga   rasa AdO vizaye /
   kīdṛśi? abhidheyāntarāttadabhidheyaviśeṣādvilakṣaṇe sarvathaivānabhidheye	kIdRSi? aBiDeya antarAt tad aBiDeya viSezAt vilakzaNe sarvaTA eva anaBiDeye
   anena bhavitavyaṃ tāvatkameṇetyuktam /	anena Bavitavyam tAvat kameNa iti uktam /
   tathā vācyenāvirodhini, virodhini tu lakṣyata evetyarthaḥ /	taTA vAcyena aviroDi ni, viroDini tu lakzyate eva iti arTaH /
   kuto na lakṣyate iti nimittasaptamīnirdiṣṭaṃ hetvantaragarbhaṃ	kutas na lakzyate iti nimitta saptamI nirdizwam hetu antara garBam
   hetumāha  āśubhāvinīṣviti /	hetu mAha  ASu BAvinIzu iti /
   ananyasādhyatatphalaghaṭanāsu ghaṭanāḥ pūrvaṃ mādhuryādilakṣaṇāḥ	ananya sADya tad Pala GawanAsu GawanAH pUrvam mADurya Adi lakzaNAH
   pratipāditā guṇānirūpaṇāvasare tāśca tatphalāḥ rasādipratītiḥ phalaṃ	pratipAditAH guNa anirUpaNa avasare tAH ca tad PalAH rasa Adi pratItiH Palam
   yāsām, tathā ananyattadeva sādhyaṃ yāsām, na hyojoghaṭanāyāḥ	yAsAm, taTA ananyat tat eva sADyam yAsAm, na hi ojaH GawanAyAH
   karuṇādipratītiḥ sādhyā /	karuNA Adi pratItiH sADyAH /
   etaduktaṃ bhavati   yato guṇavati kāvye 'saṅkīrṇaviṣayatayā saṅghaṭanā	etat uktam Bavati    yataH guNavati kAvye asaFkIrNa vizaya tayA saFGawanA
   prayuktā tataḥ kramo na lakṣyate /	prayuktA tatas kramaH na lakzyate /
   nanu bhavatvevaṃ saṅghaṭanānāṃ sthitiḥ, kramastu kiṃ na lakṣyate ata	nanu Bavatu evam saFGawanAnAm sTitiH, kramaH tu kim na lakzyate ata
   āha  āśubhāvinīṣu vācyapratītikālapratīkṣaṇena vinaiva jhaṭityeva tā	Aha  ASu BAvinIzu vAcya pratIti kAla pratIkzaNena vinA eva Jawityeva tA
   rasādīn bhāvayanti bālapriyā śabdajanyakriyetyarthaḥ /	rasa AdIn BAvayanti bAlapriyA Sabda janya kriyA iti arTaH /
   kriyāpadārthamāha  kriyete ityādi /	kriyA padArTam Aha   kriyete ityAdi /
   te ke ityatrāha   vācyeti /	te ke iti atra aha   vAcyA iti /
   śabdasya kriyetyasya śabdaniṣṭhakriyetyabhiprāyeṇāha  yadivetyādi /	Sabdasya kriyA iti asya Sabda nizWa kriyA iti aBiprAyeNa aha  yat ivA ityAdi /
   anvayaṃ darśayati  tayorityādi /	anvayam darSa yati   tayoH ityAdi /
   tayoḥ kriyayoḥ /	tayoH kriyayoH /
   atra vācyavyaṅgyapratītigataṃ paurvāparyaṃ tadyvāpārayorāropitaṃ bodhyam /	atra vAci avyaFgya pratIti gatam pOrvAparyam tat yvA pArayoH Aropitam boDyam /
   rasādau viṣaye iti /	rasa AdO vizaye iti /
   tathāca vācyapratīteḥ rasādirūpavyaṅgyapratīteścetyarthaḥ /	taTA ca vAcya pratIteH rasa Adi rUpa vyaFgya pratIteH ca iti arTaH /
   abhidheyaviśeṣāditi /	aBiDeya viSezAt iti /
   tattadvācyārthaviśeṣādityarthaḥ /	tad tad vAcya arTa viSezAt iti arTaH /
   phalitamāha   sarvathetyādi /	Palitam Aha    sarvaTA ityAdi /
   anabhidheye abhidheyabhinne /	anaBiDeye aBiDeya Binne /
   aneneti /	anena iti /
   anabhidheyatvakathanenetyarthaḥ /	anaBiDeya tva kaTanena iti arTaH /
   ityuktamiti /	iti uktam iti /
   iti darśitamityarthaḥ /	iti darSitam iti arTaH /
   lakṣyata eveti /	lakzyate eva iti /
   yathā "bhrama dhārmike"tyādau /	yaTA "Brama DArmike"ti AdO /
   itīti /	iti iti /
   ityākāṅkṣāyāmityarthaḥ /	iti AkAFkzAyAm iti arTaH /
   nimittasaptamīti /	nimittasaptamI iti /
   "yasya ca bhāvene"ti sūtrānuśiṣṭanimittārthakasaptamītyarthaḥ /	"yasya ca BAvena i"ti sUtra anuSizwa nimitta arTaka saptamI iti arTaH /
   hetvantareti /	hetu antarA iti /
   ananyasādhyatatphalatvarūpahetvantaretyarthaḥ /	ananya sADya tat Pala tva rUpa hetu antarA iti arTaH /
   ananyetyādikaṃ vyācaṣṭe  ghaṭanā ityādi /	ananyA iti Adikam vyAcazwe   GawanAH ityAdi /
   karmadhārayābhiprāyeṇa vigrahamāha  tāścetyādi /	karma DAraya aBiprAyeNa vigraham Aha  tAH ca ityAdi /
   ananyadityasya vyākhyānam  tadeveti /	ananyaditi asya vyAKyAnam   tat eva iti /
   tattaddhaṭanayā yatsādhyaṃ tadevetyarthaḥ /	tat tad hawanayA yat sADyam tat eva iti arTaH /
   uktameva vivṛṇoti  na hītyādi /	uktam eva vivRNoti  na hi ityAdi /
   ojoghaṭanayā karuṇādipratītirna hi sādhyetyanvayaḥ kintu	ojaH GawanayA karuNA Adi pratItiH na hi sADya iti anvayaH kintu
   vīrādipratītireveti bhāvaḥ /	vIra Adi pratItiH eva iti BAvaH /
   uktasya bhāvamāha  etadityādi /	uktasya BAvam Aha  etat ityAdi /
   asaṅkīrṇaviṣayatayeti /	asaFkIrNa vizaya tayA iti /
   ghaṭanāntarāsaṅkīrṇasvaviṣayakatvenetyarthaḥ /	Gawana antarA saFkIrNa sva vizaya ka tvena iti arTaH /
   āśubhāvinīṣvityetadvyācaṣṭe  vācyetyādi /	ASu BAvinIzu iti etat vyAcazwe  vAcya ityAdi /
   tā iti /	tAH iti /
   locanam tadāsvādaṃ vidadhatītyarthaḥ /	locanam tad AsvAdam vidaDati iti arTaH /
   etaduktaṃ bhavati  saṅghaṭanāvyaṅgyatvādrasādīnāmanupayukte	etat uktam Bavati   saFGawana avyaFgya tvAt rasa AdInAm anupayukte
   'pyarthavijñāne pūrvāmevocitasaṅghaṭanāśravaṇa eva yata āsūtrito	api arTa vijQAne pUrvAm eva ucita saFGawana aSravaNaH eva yatas AsUtritaH 
   rasāsvādastena vācyapratītyuttarakālabhavena parisphuṭāsvādayukto 'pi	rasa Asu AdaH tena vAcya pratIti uttara kAla Bavena parisPuwa AsvAda yuktaH api
   paścādutpannatvena na bhāti /	paScAt utpanna tvena na BAti /
