   śrīḥ /	SrIH /
   guruśiṣyādibhedaśca nirnimittaḥ prasajyate // 93 //	guru-Sizya-Adi-BedaH-ca nirnimittaH prasajyate // 93 //
   ( iti saṃvidaikyamatadūṣaṇena saṃvinnānātvopapādanam )	( iti saMvid-Ekya-mata-dUzaNena saMvid-nAnA-tva-upapAdanam )
   prakāśakasaṃvidaikyavāde	prakASaka-saMvid-Ekya-vAde
   laukikavaidikamaryādābhaṅgaprasaṅgamapyudbhāvayatitataśceti /	lOkika-vEdika-maryAdA-BaFga-prasaFgam-api-udBAvayatitataH-ca-iti /
   nanu prakāśakasya caitanyasyaikatve 'pi	nanu prakASakasya cEtanyasya-eka-tve api
   cakṣurādiprasṛtayā'ntarakaraṇavṛttyā viṣayasambaddhayāvidyāvaraṇanivartana	cakzuH-Adi-prasRtayA-antara-karaNa-vRttyA vizaya-sambadDayA-avidyA-AvaraNa-nivartana
   eva caitanyaṃ taṃ tamarthaṃ prakāśayatīti vyavasthā ghaṭata iti cet ;	eva cEtanyam tam tam-arTam prakASayati-iti vyavasTA GawataH iti ced ;
   naitatsādhu ; vṛtterjaḍāyā avidyāvaraṇanivartakatvāyogāt /	na-etat-sADu ; vRtteH-jaxAyAH avidyA-AvaraNa-nivartaka-tva-ayogAt /
   tathātve vā tasyā evārthaprakāśakatvamapi bhavatu /	taTA-tve vA tasyAH eva-arTa-prakASaka-tvam-api Bavatu /
   kimantargaḍunā caitanyenetyanyatra vistaraḥ /	kim-antar-gaxunA cEtanyena-iti-anyatra vistaraH /
   tadgrāhyagrāhakabhedena jñānabhedo mantavya eveti bhāvaḥ // 93 //	tad-grAhya-grAhaka-Bedena jQAna-BedaH mantavyaH eva-iti BAvaH // 93 //
   nanu naḥ saṃvido bhinnaṃ sarvaṃ nāma na kiñcana /	nanu naH saMvidaH Binnam sarvam nAma na kiQcana /
   ataḥ sarvaṃ sadā bhāyādityakāṇḍe 'nujyate // 94 //	atas sarvam sadA BAyA-Aditya-kANxe anujyate // 94 //
   sarvasya sarvadā bhānaprasaṅgaṃ siddhāntinodbhāvitamākṣipati paraḥnanu iti	sarvasya sarvadA BAna-prasaFgam sidDAntinA-udBAvitam-Akzipati paraHnanu iti
   saṃvidbhinnasya sarvasya virahādevāsmanmate sarvaṃ sadā bhāyāditya	saMvid-Binnasya sarvasya virahAt-eva-asmad-mate sarvam sadA BAyA-Aditya
   sthānaṃ'nuyogo bhavatāmityarthaḥ // 94 //	sTAnaM-anuyogaH BavatAm-iti-arTaH // 94 //
   idamākhyāhi bhoḥ kiṃ nu nīlādirna prakāśate /	idam-AKyAhi BoH kim nu nIlAdiH-na prakASate /
   prakāśamāno nīlādiḥ saṃvido vā na bhidyate // 95 //	prakASamAnaH nIla-AdiH saMvidaH vA na Bidyate // 95 //
   prativakti siddhāntīidamiti /	prativakti sidDAntIi-dam-iti /
   kiṃ nīlādipratītireva nāstītyucyate, uta nīlādeḥ saṃvidabhinnatvena	kim nIla-Adi-pratItiH-eva na-asti-iti-ucyate, uta nIla-AdeH saMvid-aBinna-tvena
   tatpratītiḥ saṃvitpratītirevābhimanyata ityarthaḥ // 95 //	tad-pratItiH saMvid-pratItiH-eva-aBimanyate iti-arTaH // 95 //
   ādau pratītisubhago nirvāho lokavedayoḥ /	AdO pratIti-suBagaH nirvAhaH loka-vedayoH /
   yataḥ padapadārthādi na kiñcidavabhāsate // 96 //	yatas pada-padArTa-Adi na kiQcid-avaBAsate // 96 //
   ādyaḥ kalpo na kalpata ityāhaādāviti /	AdyaH kalpaH na kalpate iti-AhaAdO=-iti /
   nānāpratītinihnive nānāpadapadārthapratītinirvāhyaḥ sarvo laukiko	nAnA-pratIti-nihnive nAnA-pada-padArTa-pratIti-nirvAhyaH sarvaH lOkikaH-
   vaidikaśca vyavahāraḥ pratītisubhagaḥ-abādhitānubhavasiddhaḥ samyaṅ	vEdikaH-ca vyavahAraH pratIti-suBagaH-a-bADita-anuBava-sidDaH samyak-
   nirvyūḍho bhavedbhavadbhirityupālambhaḥ /	nirvyUXaH Bavet-BavadBiH-iti-upAlamBaH /
   kathamiti śeṣapūraṇena vyākhyeyam // 96 //	kaTam-iti Seza-pUraNena vyAKyeyam // 96 //
   dvitīye saṃvido 'dvaitaṃ vyāhanyeta samīhitam /	dvitIye saMvidaH advEtam vyAhanyeta samIhitam /
   yadyayaṃ vividhākāraprapañcaḥ saṃvidātmakaḥ /	yadi-ayam viviDa-AkAra-prapaQcaH saMvid-AtmakaH /
   sāpi saṃvittadātmeti yato nānā prasajyate // 97 //	sA-api saMvid-tat-AtmA-iti yatas nAnA prasajyate // 97 //
   dvitīyaṃ dūṣayatidvitīya iti /	dvitIyam dUza-yati-dvitIyaH iti /
   pratīyamānanānāprapañcaikye saṃvido nānātvaṃ prasajyata	pratIyamAna-nAnA-prapaQca-Ekye saMvidaH nAnAtvam prasajyata
   ityabhimatatadadvaitahānirityarthaḥ /	iti-aBimata-tadadvEta-hAniH-iti-arTaH /
   evaṃ vadato 'pasiddhāntaśceti hārdam // 97 //	evam vadataH apasidDAntaH-ca-iti hArdam // 97 //
   nacāvidyāvilāsatvādbhedābhedānirūpaṇā /	naca-avidyA-vilAsa-tvAt-Beda-aBedAnirUpaNA /
   sā hi nyāyānapaspṛṣṭā jātuṣābharaṇāyate // 98 //	sA hi nyAya-an-apaspRzwAH jAtuzA-ABaraNAyate // 98 //
   atra śaṅkate naceti /	atra SaFkate na-ca-iti /
   nīlādibhideti viśeṣyamadhyāhāryamatra /	nIla-Adi-BidA-iti viSezyam-aDyAhAryam-atra /
   bhinnatvenābhinnatvena vā nirūpayitumaśakyatvaṃ ca tasyā avidyāvilāsatvāt	Binna-tvena-aBinna-tvena vA nirUpayitum-aSakyatvam ca tasyAH avidyA-vilAsa-tvAt
   bhedābhedayoranirūpaṇaṃ yasyā bhedābhedānirūpaṇā /	Beda-aBedayoH-anirUpaNam yasyAH Beda-aBedA-nirUpaNA /
   āvidyāsya nīlādibhedasya mithyātvāt mithyārthe ca durghaṭatvasya	AvidyA-asya nIla-Adi-Bedasya miTyAtvAt miTyA-arTe ca durGawa-tvasya
   bhūṣaṇatvādbhedābhedānirūpaṇopapattiḥ /	BUzaNa-tvAt-Beda-aBedAnirUpaNa-upapattiH /
   upapattyananuvartitvādeva ca sarvaṃ sadā bhāyādityādyāpatterapyanavakāśa	upapatti-ananuvarti-tvAt-eva ca sarvam sadA BAyAt-ityAdi-ApatteH-api-anavakASa
   iti hṛdayam /	iti hRdayam /
   pariharatisā hīti /	pariharati-sA hi-iti /
   jatuno vikāro jātuṣam /	jatunaH vikAraH jAtuzam /
   trapujatunoḥ ṣuk ityaṇ ṣuk ca /	trapu-jatunoH zuc iti-aN zuc ca /
   avidyā hi nyāyānalaspṛṣṭā jātuṣavanna jīvituṃ prabhavati /	avidyA hi nyAya-anala-spRzwAH jAtuza-vat-na jIvitum praBavati /
   tattadvilāsatvaṃ prapañcasya na setsyatitarāmityāśayaḥ // 98 //	tad-tad-vilAsa-tvam prapaQcasya na setsi-atitarAm-iti-ASayaH // 98 //
   tathāhi yadyavidyeyaṃ vidyābhāvātmikeṣyate /	taTA-hi yadi-avidyA-iyam vidyA-aBAva-AtmikA-izyate /
   nirupākhyasvabhāvatvātsā na kiñcinniyacchati // 99 //	nirupAKya-svaBAva-tvAt-sA na kiQcid-niyacCati // 99 //
   arthāntaramavidyā cetsādhvī bhedānirūpaṇā /	arTa-antaram-avidyA ced-sADvI BedAnirUpaNA /
   arthānarthāntaratvādivikalpo 'syā na yujyate /	arTa-anarTa-antara-tva-Adi-vikalpaH asyAH na yujyate /
   vidyātor'thāntaraṃ cāsāviti suvyāhṛtaṃ vacaḥ // 100 //	vidyAtor-aTa-antaram ca-asO=-iti su-vyAhRtam vacaH // 100 //
   nyāyaparāhatatvamevāvidyāyāḥ prapañcayatitathāhītyādinā /	nyAya-parAhata-tvam-eva-avidyAyAH prapaQca-yati-taTA-ahi-ityAdinA /
   atra vikalpaḥ-kiṃ vidyābhāvo 'vidyā, uta vidyābhinnaṃ bhāvāntaramiti /	atra vikalpaH-kim vidyA-BAvaH avidyA, uta vidyA-Binnam BAva-antaram-iti /
   ādye dūṣaṇamāhanirupākhyeti /	Adye dUzaNamAhaniH-upAKyA-iti /
   nirupākhyasvabhāvatvaṃ śūnyasvarūpatvam /	nirupAKya-svaBAva-tvam SUnya-svarUpa-tvam /
   tathā ca svayamevālabdhasattāvidyā kathaṃ prapañcavyavasthāpikā	taTA ca svayam-eva-alabDa-sattA-vidyA kaTam prapaQca-vyavasTApikA
   bhavedityākūtam /	Bavet-iti-AkUtam /
   kalpāntaramanūdyadūṣayatiarthāntaramiti /	kalpa-antaram-anUdya-dUzayatiarTa-antaram-iti /
   sādhvī-upapattyasahā, bhedānirūpaṇā-bhinnatvenābhinnatvena vāśakyanirūpaṇā	sADvI--upapatti-asahA, BedAnirUpaNA--Binna-tvena-aBinna-tvena vA-aSakya-nirUpaNA
   cāvidyār'thāntaraṃ cedityanvayaḥ /	ca-avidyAr-aTa-antaram ced-iti-anvayaH /
   atra svavāgvirodhamāhaarthānartheti /	atra sva-vAc-viroDam-Aha-arTAn-arTa-iti /
   suvyāhṛtamiti viparītalākṣaṇikam /	su-vyAhRtam-iti viparItalAkzaNikam /
   arthānarthāntaratvādivikalpo 'syā na yujyataiti	arTa-anarTa-antara-tva-Adi-vikalpaH asyAH na yujyata-eti
   vacanaṃvidyātor'thāntaramasāviti ca vacanaṃ mitho viruddhamiti yāvat // 99	vacanaMvidyAtor-aTa-antaram-asO=-iti ca vacanam miTas virudDam-iti yAvat // 99
   athārthāntarabhāvo 'pi tasyāste bhrāntikalpitaḥ /	aTa-arTa-antara-BAvaH api tasyAH-te BrAnti-kalpitaH /
   hantaivaṃ satyavidyaiva vidyā syātparamārthataḥ // 101 //	hanta-evam satya-vidyA-eva vidyA syAt-paramArTataH // 101 //
   avidyāyā arthāntaratvamapi kalpitameveti cettatrāhaatheti /	avidyAyAH arTa-antara-tvam-api kalpitam-eva-iti ced-tatra-AhaaTa-iti /
   bhedānirūpaṇe bhavadabhimatā vidyaiva syādavidyeti bhāvaḥ // 101 //	Beda-anirUpaNe Bavat-aBimatA vidyA-eva syAt-avidyA-iti BAvaH // 101 //
   kiñca śuddhājaḍā saṃvit , avidyeyaṃ tu nedṛśī /	kiQca SudDa-ajaxA saMvid , avidyA-iyam tu na-IdRSI /
   tatkena hetunā seyamanyaiva na nirūpyate // 102 //	tat-kena hetunA sA-iyam-anyA-eva na nirUpyate // 102 //
   vastuto bhinnatvenaiva nirūpaṇamarhatyavidyetyāhakiñceti /	vastutas Binna-tvena-eva nirUpaNam-arhati-avidyA-iti-AhakiQcA-iti /
   tathā ca śuddhājaḍasaṃvidapekṣayā vikārāspadāśuddhajaḍāvidyāyā bheda eva	taTA ca SudDa-ajaxa-saMvid-apekzayA vikAra-AspadA-SudDa-jaxA-vidyAyAH BedaH eva
   paramārthataḥ kuto na nirūpyata ityarthaḥ /	paramArTataH kutas na nirUpyate iti-arTaH /
   tathā ca paramārthāvidyāvilāso bhedaḥ sarvo 'pi saṃvida ekasyā eva	taTA ca parama-arTa-avidyA-vilAsaH BedaH sarvaH api saMvidaH ekasyAH eva
   sakalārthaprakāśakatve sarvadā bhāseteti doṣastadavastha iti bhāvaḥ // 102	sakala-arTa-prakASaka-tve sarvadA BAseta-iti dozaH-tad-avasTaH iti BAvaH // 102
   api ceyamavidyā te yadabhāvādirūpiṇī /	api ca-iyam-avidyA te yad-aBAva-Adi-rUpiNI /
   sā vidyā kiṃ nu saṃvittirvedyaṃ vā veditāthavā // 103 //	sA vidyA kim nu saMvittiH-vedyam vA veditA-aTavA // 103 //
   avidyāyā bhinnābhinnatvābhyāmanirvacanīyatvaṃ nirasya tasyāḥ	avidyAyAH Binna-aBinna-tvAByAm-anirvacanIya-tvam nirasya tasyAH
   svarūpānupapattimapyāhaapiceyamiti /	svarUpa-anupapattim-api-Ahaa-piceyam-iti /
   vidyābhāvarūpā vidyābhinnarūpā vāvidyāstu /	vidyA-BAva-rUpAH vidyA-aBinna-rUpAH vA-avidyAH-tu /
   tatra pratiyogibhūtā vidyā kiṃrūpeti vikalpanaṃ vimarśanārtham // 103 //	tatra pratiyogi-BUtA vidyA kiMrUpA-iti vikalpanam vimarSana-arTam // 103 //
   vedyatve veditṛtve ca nāsyāstābhyāṃ nivartanam /	vedya-tve veditR-tve ca na-asyAH-tAByAm nivartanam /
   na hi jñānādṛte 'jñānamanyataste nivartate //	na hi jQAnAt-Rte ajQAnam-anyatas-te nivartate //
   saṃvideveti cettasyā nanu bhāvādasambhavaḥ // 104 //	saMvid-eva-iti ced-tasyAH nanu BAvAt-asamBavaH // 104 //
   tatra vidyāyā vedyarūpatve veditṛsvarūpatve vā doṣamāhavedyatve iti /	tatra vidyAyAH vedya-rUpa-tve veditR-svarUpa-tve vA doza-mAhavet-ya-tve iti /
   tayoravidyānivartakatvābhāvāttadrūpāyā vidyāyā	tayoH-avidyA-nivartaka-tva-aBAvAt-tad-rUpAyAH vidyAyA
   apyavidyānivartakatvābhāvaprasaṅga ityarthaḥ /	api-avidyA-nivartaka-tva-aBAva-prasaFgaH iti-arTaH /
   te ityasyāgre mate iti śeṣaḥ /	te iti-asya-agre mate iti SezaH /
   saṃvittirūpatve doṣamāhasaṃvidevetīti /	saMvitti-rUpa-tve doza-mAhasaMvid-A-iva-iti-iti /
   saṃvido nityasiddhatvātsarvagatatvācca tadabhāvarūpāvidyāyā asiddhireveti	saMvidaH nitya-sidDa-tvAt-sarva-gata-tvAt-ca tad-aBAva-rUpA-avidyAyAH asidDiH-eva-iti
   bhāvaḥ // 104 //	BAvaH // 104 //
   kiñceyaṃ tadviruddhā vā, na tasyāḥ kvāpi sambhavaḥ /	kiQca-iyam tad-virudDAH vA, na tasyAH kvApi samBavaH /
   yato 'khilaṃ jagadvyāptaṃ vidyayavādvitīyayā // 105 //	yatas aKilam jagat-vyAptam vidya-yavAdvitIyayA // 105 //
   vidyā saṃvit , tadviruddhāvidyetyatra dūṣaṇamāhakiñceyamiti /	vidyA saMvid , tad-virudDa-avidyA-iti-atra dUzaNa-mAhakiQcA-iyam-iti /
   divākarakaravyāpte deśe divākare vā tadvirodhino 'ndhatamasasyeva vibhvyā	divAkara-kara-vyApte deSe divAkare vA tad-viroDinaH anDatamasasya-iva viBvyA
   saṃvidā vyāpte sarvatra saṃvidi vā nāvidyāyāḥ samāveśasambhava ityarthaḥ /	saMvidA vyApte sarvatra saMvidi vA na-avidyAyAH samAveSa-samBavaH iti-arTaH /
   vidyābhinnāvidyetyapi durvacamevādvaitavādibhiriti sūcyate	vidyA-aBinnA-avidyA-iti-api durvacam-eva-advEtava-AdiBiH-iti sUcyate
   advitīyayetyanena // 105 //	advitIyayA-iti-anena // 105 //
   abhāvo 'nyo viruddho vā saṃvito 'pi yadīṣyate /	aBAvaH anyaH virudDaH vA saMvitaH api yadi-izyate /
   tadānīṃ saṃvidadvaitapratijñāṃ dūratastyaja // 106 //	tadAnIm saMvid-advEta-pratijQAm dUratas-tyaja // 106 //
   ( ityavidyāyāḥ svarūpānirvacanīyatvānupapattivarṇanam ) kalpatraye 'pi	( iti-avidyAyAH svarUpA-nirvacanIyatva-anupapatti-varNanam ) kalpa-traye api
   dūṣaṇamāhaabhāva iti /	dUzaNa-m-Ahaa-BAvaH iti /
   saṃvidabhāvādirūpānādiravidyāsti cet , saṃvidevaikāstīti	saMvid-aBAva-Adi-rUpA-anAdiH-avidyA-asti ced , saMvid-eva-ekA-asti-iti
   bhavadabhimatamadvaitaṃ na sidhyediti bhāvaḥ /	Bavat-aBimatam-advEtam na siDyet-iti BAvaH /
   nanu saṃvinmātraṃ paramārthasaditi paramārthaikyamevāsmākamabhimatam /	nanu saMvid-mAtram paramArTa-sat-iti parama-arTa-Ekyam-eva-asmAkam-aBimatam /
   avidyāyā aparamārthatvena tadanāditve 'pi nāsmadabhimatādvaitoparodha iti	avidyAyAH aparama-arTa-tvena tad-anAdi-tve api na-asmad-aBimatAdvEta-uparoDaH iti
   cedatra bramaḥ-anāditvenopagamyamānāyā avidyāyāḥ	ced-atra bramaH-anAdi-tvena-upagamyamAnAyAH avidyAyAH
   kalpakadoṣāntarāyogenāpāramārthyāyogaḥ /	kalpaka-doza-antara-ayogena-apAramArTya-ayogaH /
   brahmaṇa eva tatkalpakadoṣatve durghaṭatvena hetvantarānapekṣatve vā	brahmaNaH eva tad-kalpaka-doza-tve durGawa-tvena hetu-antarA-anapekza-tve vA
   muktāvapi tatprasaṅgaḥ /	muktO=-api tad-prasaFgaH /
   anādibhāvasyātyantanāśāyogājjñānanivartyatvasyāpyayoga iti dik /	anAdi-BAvasya-atyanta-nASA-yogAt-jQAna-nivartya-tvasya-api-ayogaH iti diS /
   evamavidyāsvarūpānupapattiruktā // 106 //	evam-avidyA-svarUpa-anupapattiH-uktAH // 106 //
   kiñcāsau kasya ? jīvasya, ko jīvo yasya seti cet /	kiQca-asO kasya ? jIvasya, kaH jIvaH yasya sA-iti ced /
   nanvevamasamādhānamanyonyāśrayaṇaṃ bhavet // 107 //	nanu-evam-asamADAnam-anyonya-ASrayaNam Bavet // 107 //
   na te jīvādavidyā syāt , na ca jīvastayā vinā /	na te jIvAt-avidyA syAt , na ca jIvaH-tayA vinA /
   na bījāṅkuratulyatvaṃ jīvotpatterayogataḥ // 108 //	na bIja-aFkura-tulya-tvam jIva-utpatteH-ayogataH // 108 //
   atha tasyā āśrayānupapattimāhakiñcāsāviti /	aTa tasyAH ASraya-anupapatti-mAhakiQcA-asO=-iti /
   na vidyate samādhānaṃ yasya tadasamādhānam - asamādheyam /	na vidyate samADAnam yasya tat-asamADAnam  asamADeyam /
   avidyākalpito jīvabhāvaḥ, tasmin siddha evāvidyāsiddhiriti jīvāvidyāpakṣe	avidyA-kalpitaH jIva-BAvaH, tasmin sidDaH eva-avidyA-sidDiH-iti jIva-avidyA-pakze
   paramate 'nyonyāśrayo 'samādheyaḥ prasajatītyarthaḥ /	para-mate anyonya-ASrayaH asamADeyaH prasajati-iti-arTaH /
   asmanmate 'kalpitatvājjīvasya tatrāvidyopagame na doṣaḥ /	asmad-mate akalpita-tvAt-jIvasya tatra-avidyA-upagame na dozaH /
   kintu bhavatāmeveti dyotyate te iti nirdeśena /	kintu BavatAm-eva-iti dyotyate te iti nirdeSena /
   jīvādityasyāgre 'pi vināpadaṃ yojyam /	jIva-Adityasya-agre api vinA-Apadam yojyam /
   narteiti vā pāṭhaḥ sambhāvyate /	na-Rteiti vA pAWaH samBAvyate /
   bījāṅkura nyāyena sa doṣaḥ parihārya ityatrāhane ti /	bIja-aFkura nyAyena sa dozaH parihArya iti-atra-ahane ti /
   bījāṅkurapravāhe tvanyānyasya bījasyāṅkurasya cotpādyotpādakabhāvaḥ /	bIja-aFkura-pravAhe tu-anyAnyasya bIjasya-aFkurasya ca-utpAdya-utpAdaka-BAvaH /
   naivaṃ prakṛte sambhavati /	na-evam prakRte samBavati /
   ekajīvasthāne 'nekajīvaprasaṅgājjīvānāmutpādavināśaprasaṅgāccetibhāvaḥ	eka-jIva-sTAne aneka-jIva-prasaFgAt-jIvAnAm-utpAda-vinASa-prasaFgAt-ca-iti-BAvaH
   brahmaṇaścenna sarvajñaṃ kathaṃ tat baṃbhramīti te(bhoḥ) /	brahmaNaH-ced-na sarvajQam kaTam tat baMBrami-iti te(BoH) /
   avidyākṛtadehātmapratyayādhīnatā na te /	avidyA-kRta-deha-Atma-pratyaya-aDIna-tA na te /
   brahmasarvajñabhāvasya, tatsvābhāvikatāśruteḥ // 109 //	brahma-sarvajQa-BAvasya, tad-svABAvika-tA-SruteH // 109 //
   nanvastu tarhi brahmaivāśrayo 'vidyāyāḥ /	nanu-astu tarhi brahma-eva-ASrayaH avidyAyAH /
   tatrāhabrahmaṇa iti /	tatra-Aha-brahmaNaH iti /
   sarvaṃ sarvadā sarvathā yathāvasthitaṃ svataḥ sākṣātkurvatastasya	sarvam sarvadA sarvaTA yaTA-avasTitam svatas sAkzAt-kurvataH-tasya
   nānāvidhabhrāntilakṣaṇāvidyāśrayatvaṃ viruddhatvānna sambhavatītyarthaḥ /	nAnAviDa-BrAnti-lakzaNa-avidyA-ASraya-tvam virudDa-tvAt-na samBavati-iti-arTaH /
   brahma bambhramītīti te 'bhimataṃ kathaṃ ghaṭate ? tasya sarvajñatvena	brahma bamBramI-iti-iti te aBimatam kaTam Gawate ? tasya sarvajQa-tvena
   bhramāyogāditi bhāvaḥ /	Brama-ayogAt-iti BAvaH /
   nanu saṃvinmātraṃ brahma /	nanu saMvid-mAtram brahma /
   tasya sārvajñyamapyavidyākalpitaṃ mithyābhedaprapañcasadbhāvagocaraṃ	tasya sArvajQyam-api-avidyA-kalpitam miTyA-Beda-prapaQca-sadBAva-gocaram
   bhrāntilakṣaṇaṃ mithyaivetyatrāhaavidyākṛteti /	BrAnti-lakzaNam miTyA-eva-iti-atra-ahaa-vidyA-kRtA-iti /
   te ityasyāgre 'bhimateti śeṣaḥ /	te iti-asya-agre aBimata-iti SezaH /
   avidyāmūlāhaṅkāranibandhanatā ca brahmaniṣṭhasya sārvajñyasya na	avidyA-mUla-ahaFkAra-nibanDana-tA ca brahma-nizWasya sArvajQyasya na
   ghaṭate,parāsya śaktirvividhaiva śrūyate svābhāvikī jñānabalakriyā ceti	Gawate,parA-asya SaktiH-viviDA-eva SrUyate svABAvikI jQAna-bala-kriyA ca-iti
   tasyānanyopādhikatvaśravaṇādityarthaḥ /	tasya-ananyA-upADika-tva-SravaNAt-iti-arTaH /
   brahmaṇaḥ svabhāvo 'vidyā, tanmūlatvātsvā- bhāvikatvamityarthakaraṇaṃ	brahmaNaH svaBAvaH avidyA, tad-mUla-tvAt-svA BAvika-tvam-iti-arTa-karaNam
   tūpahāsyam /	tu-upahAsyam /
   svabhāvasya duratikramatvātsadā brahmaṇo 'jñatvādanirmokṣaprasaṅgaśca	svaBAvasya duratikrama-tvAt-sadA brahmaNaH ajQa-tvAt-anirmokza-prasaFgaH-ca
   tathāsatīti bodhyam // 109 //	taTA-asatI-iti boDyam // 109 //
   bhedāvabhāsagarbhatvādatha sarvajñatā mṛṣā /	Beda-avaBAsa-garBa-tvAt-aTa sarvajQa-tA mRzA /
   tata evāmṛṣā kasmānna syācchabdāntarādivat // 110 //	tatas eva-AmRzA kasmAt-na syAt-Sabda-antara-Adi-vat // 110 //
   evamavidyākalpitatvaṃ nirasya sārvajñyasya	evam-avidyA-kalpita-tvam nirasya sArvajQyasya
   bhedāvabhāsagarbhatvādayathārthatvamityapi nirasya tibhedeti /	Beda-avaBAsa-garBa-tvAt-ayaTArTa-tvam-iti-api nirasya tiBeda-iti /
   athaśabdo yadyarthakaḥ /	aTa-SabdaH yadi-arTakaH /
   tata eva-bhedāvabhāsagarbhatvādeva /	tatas eva--Beda-avaBAsa-garBa-tvAt-eva /
   amṛṣā yathārthaviṣayā /	amRzA yaTArTa-vizayAH /
   pūrvottarārdhābhyāṃ pūrvottarapakṣapratipādanam /	pUrva-uttara-arDAByAm pUrva-uttara-pakza-pratipAdanam /
   bhedasya mithyātvamevāsiddham /	Bedasya miTyAtvam-eva-asidDam /
   yena tadavabhāsakasyāyathārthatvaṃ midhyedityāśayaḥ // 110 //	yena tad-avaBAsakasya-ayaTArTa-tvam miDyet-iti-ASayaH // 110 //
   yathā śabdāntarābhyāsasaṅkhyādāyāḥ śāstrabhedakāḥ /	yaTA Sabda-antara-aByAsa-saFKyA-AdAyAH SAstra-BedakAH /
   bhedāvabhāsagarbhāśca yathārthāḥ, tādṛśī na kim // 111 //	Beda-avaBAsa-garBAH-ca yaTArTAH, tAdRSI na kim // 111 //
   śabdāntarādivadityuktameva vivṛṇotiyatheti /	Sabda-antara-Adi-vat-iti-uktam-eva vivRNoti-yaTA-iti /
   pūrvamīmāṃsāyāṃ śabdāntarābhyāsasaṅkhyāsaṃjñāguṇaprakaraṇāntaraiḥ	pUrvam-ImAMsAyAm Sabda-antara-aByAsa-saFKyA-saMjQA-guNa-prakaraNa-antarEH
   karmabhedo nirūpyate /	karma-BedaH nirUpyate /
   te śabdāntarādayaḥ śāstrabhedakāḥ-tattadvidhivākyasya	te Sabda-antara-AdayaH SAstra-BedakAH--tad-tad-viDi-vAkyasya
   vibhinnavibhinnavidheyakatvena bhedavyavasthāpakāḥ	viBinna-viBinna-viDeyaka-tvena Beda-vyavasTApakAH
   bhedakapramāṇabhūtāstāntrikairmatāḥ, tanmūlā vidheyabhedapratyayāśca	Bedaka-pramANa-BUtAH-tAntrikEH-matAH, tad-mUlAH viDeya-Beda-pratyayAH-ca
   yathārthā eva yathā ; tathā sarvajñatāpi pāramārthikārthabhedagocarā	yaTArTAH eva yaTA ; taTA sarvajQa-tA-api pAramArTika-arTa-Beda-gocarA
   yathārthaiva kiṃ na syādityarthaḥ // 111 //	yaTArTA-eva kim na syAt-iti-arTaH // 111 //
   sarvajñe nityamukte 'pi yadyajñānasya sambhavaḥ /	sarvajQe nityam-ukte api yadi-ajQAnasya samBavaH /
   tejasīva tamastasmānna nivarteta kenacit // 112 //	tejasi-iva tamaH-tasmAt-na nivarteta kenacid // 112 //
   parabrahmaṇi parameśvare svataḥ sarvajñe 'vidyāyā asambhava uktaḥ /	para-brahmaNi parameSvare svatas sarvajQe avidyAyAH asamBavaH uktaH /
   tatra tadupagame bādhakaṃ cāhasarvajña iti /	tatra tad-upagame bADakam ca-ahasarvajQaH iti /
   nityamuktasvabhāvatvātsarvajñatvācca bandhakāvidyāpratibhaṭe sarveśvara	nitya-m-ukta-svaBAva-tvAt-sarvajQa-tvAt-ca banDaka-avidyA-pratiBawe sarveSvara
   eva yadyavidyā vindeta padaṃ gabhastimālinīvāndhatamasaṃ tarhi na tasyā	eva yadi-avidyA vindeta padam gaBasti-mAlinI-iva-anDatamasam tarhi na tasyAH-
   nivartakamanyatkiñcidapi sambhavedityanivṛttiprasaṅga ityarthaḥ /	nivartakam-anyat-kiQcid-api samBavet-iti-anivRtti-prasaFgaH iti-arTaH /
   nanu	nanu
   tattvamasītivākyajanyāparokṣacinmātrabrahmātmaikyasākṣātkāreṇaivāvidyānivṛttiriti	tattva-masIti-vAkya-janyA-aparokza-cit-mAtra-brahma-AtmA-Ekya-sAkzAtkAreNa-eva-avidyA-nivRttiH-iti
   cet , naitatsādhu, vākyasyāparokṣajanakatvābhāvāt , śukādeḥ	ced , na-etat-sADu, vAkyasya-aparokza-janaka-tva-aBAvAt , Suka-AdeH
   sākṣātkāreṇaivāvidyānivṛtteḥ saṃsāropalambhavirodhāt , ekajīvavādasya ca	sAkzAtkAreNa-eva-avidyA-nivRtteH saMsAra-upalamBa-viroDAt , eka-jIva-vAdasya ca
   nirākariṣyamāṇatvāt /	nirAkarizyamANa-tvAt /
   kiñca brahma svāvidyayā bambhramīti, jīvaḥ svavidyayā tadunmocayatīti	kiQca brahma svAvidyayA bamBramIti, jIvaH sva-vidyayA tat-unmocayati-iti
   viparītamidamadhyātmadarśanaṃ vedāntivikhyātānām /	viparItam-idam-aDyAtma-darSanam vedAnti-viKyAtAnAm /
   svarūpavyākriyaivaitanmatasya parākriyā /	svarUpa-vyAkriyA-eva-etat-matasya parAkriyA /
   tathā cāmananti sma parāśarabhaṭṭapādāḥetadrāmāstraṃ dalayatu	taTA ca-Amananti sma parASara-Bawwa-pAdAH-etat-rAma-astram dalayatu
   kalibrahmamīmāṃsakāṃśca jñaptirbrahmaitajjavaladapi nijāvidyayā	kali-brahma-mImAMsakAn=-ca jQaptiH-brahma-etat-javalat-api nija-avidyayA
   bambhramīti /	bamBrami-iti /
