   devadeva uvāca	devadevaH uvAca
   tato 'brevīnmahābhāgāḥ praṇamya śirasā ṛtīn // VamPSm_16.25 //	tatas abrevIt-mahABAgAH praNamya SirasA RtIn // VamPSm_16.25 //
   sarasvatī sthitā yatra tatra yajñaphalaṃ mahat /	sarasvatI sTitAH yatra tatra yajQa-Palam mahat /
   etacchrutvā tu manuyo nānāsvādhyāyavedinaḥ // VamPSm_16.26 //	etat-SrutvA tu manuyaH nAnA-svADyAya-vedinaH // VamPSm_16.26 //
   samāgamya tataḥ sarve sasmaruste sarasvatīm /	samAgamya tatas sarve sasmaruH-te sarasvatIm /
   sā tu dhyātā tatastatra ṛṣibhiḥ satrayājibhiḥ // VamPSm_16.27 //	sA tu DyAtA tatas-tatra RziBiH satra-yAjiBiH // VamPSm_16.27 //
   samāgatā plāvanārthaṃ yajñe teṣāṃ mahātmanām /	samAgatA plAvana-arTam yajQe tezAm mahAtmanAm /
   naimiṣe kāñcanākṣī tu smṛtā maṅkaṇakena sā // VamPSm_16.28 //	nEmize kAQcana-akzI tu smRtA maFkaNakena sA // VamPSm_16.28 //
   samāgatā kurukṣetraṃ puṇyatoya sarasvatī /	samAgatA kurukzetram puNya-toya sarasvatI /
   gayasya yajamānasya gayeṣveva mahākratum // VamPSm_16.29 //	gayasya yajamAnasya gayezu-eva mahA-kratum // VamPSm_16.29 //
   āhūtā ca saricchreṣṭhā gayayajñe sarasvatī /	AhUtA ca sarit-SrezWA gaya-yajQe sarasvatI /
   viśālāṃ nāma tāṃ prāhurṛṣayaḥ saṃśitavratāḥ // VamPSm_16.30 //	viSAlAm nAma tAm prAhuH-RzayaH saMSita-vratAH // VamPSm_16.30 //
   sarit sā hi samāhūtā maṅkaṇena mahātmanā /	sarit sA hi samAhUtA maFkaNena mahAtmanA /
   kurukṣetraṃ samāyātā praviṣṭā ca mahānadī // VamPSm_16.31 //	kurukzetram samAyAtA pravizwA ca mahAnadI // VamPSm_16.31 //
   uttare kośalābhāge puṇye devarṣisevite /	uttare koSalA-BAge puNye deva-Rzi-sevite /
   uddālakena muninā tatra dhyātā sarasvatī // VamPSm_16.32 //	uddAlakena muninA tatra DyAtA sarasvatI // VamPSm_16.32 //
   ājagāma saricchreṣṭhā taṃ deśaṃ munikāraṇāt /	AjagAma sarit-SrezWA tam deSam muni-kAraNAt /
   pūjyamānā munigaṇairvalkalājinasaṃvṛtaiḥ // VamPSm_16.33 //	pUjyamAnAH muni-gaNEH-valkalA-ajina-saMvRtEH // VamPSm_16.33 //
   manohareti vikhyātā sarvapāpakṣayāvahā /	manoharA-iti viKyAtA sarva-pApa-kzaya-AvahAH /
   āhūtā sā kurukṣetre maṅkaṇena mahātmanā /	AhUtA sA kurukzetre maFkaNena mahAtmanA /
   ṛṣeḥ saṃmānanārthāya praviṣṭā tīrthamuttamam // VamPSm_16.34 //	RzeH saMmAnana-arTAya pravizwA tIrTam-uttamam // VamPSm_16.34 //
   suveṇuriti vikhyātā kedāre yā sarasvatī /	suveNuH-iti viKyAtA kedAre yA sarasvatI /
   sarvapāpākṣayā jñeyā ṛṣisiddhiniṣevitā // VamPSm_16.35 //	sarva-pApa-akzayA jQeyAH Rzi-sidDi-nizevitAH // VamPSm_16.35 //
   sāpi teneha muninā ārādhya parameśvaram /	sA-api tena-iha muninA ArADya parameSvaram /
   ṛṣīṇāmupakārārthaṃ kurukṣetraṃ praveśitā // VamPSm_16.36 //	RzINAm-upakAra-arTam kurukzetram praveSitAH // VamPSm_16.36 //
   dakṣeṇa yajatā sāpi gaṅgādvāre sarasvatī /	dakzeNa yajatA sA-api gaFgAdvAre sarasvatI /
   vimalodā bhagavatī dakṣeṇa prakaṭīkṛtā // VamPSm_16.37 //	vimala-udA BagavatI dakzeNa prakawIkRtAH // VamPSm_16.37 //
   samāhūtā yayau tatra maṅkaṇena mahātmanā /	samAhUtA yayO tatra maFkaNena mahAtmanA /
   kurukṣetre tu kuruṇā yajitā ca sarasvatī // VamPSm_16.38 //	kurukzetre tu kuruNA yajitA ca sarasvatI // VamPSm_16.38 //
   saromadhye samānītā mārkaṇḍeyena dhīmatā /	saraH-maDye samAnItAH mArkaNxeyena DImatA /
   abhiṣṭūya mahābhāgāṃ puṇyatoyāṃ sarasvatīm // VamPSm_16.39 //	aBizwUya mahABAgAm puNya-toyAm sarasvatIm // VamPSm_16.39 //
   yatra maṅkaṇakaḥ siddhaḥ saptasārasvate sthitaḥ /	yatra maFkaNakaH sidDaH saptasArasvate sTitaH /
   nṛtyamānaśca devena śaṅkareṇa nivāritaḥ // VamPSm_16.40 //	nRtyamAnaH-ca devena SaFkareNa nivAritaH // VamPSm_16.40 //
   iti kṣīvāmanurāṇe saromāhātmye ṣoḍaśo 'dhyāyaḥ	iti kzIvAm-anurANe saromAhAtmye zoxaSaH aDyAyaH
   ṛṣaya ūcuḥ /	RzayaH UcuH /
   kathaṃ maṅkaṇakaḥ siddhaḥ kasmājjāto mahānṛṣiḥ /	kaTam maFkaNakaH sidDaH kasmAt-jAtaH mahAn-RziH /
   nṛtyamānastu devena kimarthaṃ sa nivāritaḥ // VamPSm_17.1 //	nRtyamAnaH-tu devena kim-arTam sa nivAritaH // VamPSm_17.1 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   kaśyapasya suto jajñe mānaso maṅkaṇomuniḥ /	kaSyapasya sutaH jajQe mAnasaH maFkaNaH-muniH /
   snānaṃ kartuṃ vyavasito gṛhītvā valkalaṃ dvijaḥ // VamPSm_17.2 //	snAnam kartum vyavasitaH gRhItvA valkalam dvijaH // VamPSm_17.2 //
   tatra gatā hyapsaraso rambhādyāḥ priyadarśanāḥ /	tatra gatAH hi-apsarasaH ramBA-AdyAH priya-darSanAH /
   snāyanti rucirāḥ snigdhāstena sārdhamaninditāḥ // VamPSm_17.3 //	snAyanti rucirAH snigDAH-tena sArDam-aninditAH // VamPSm_17.3 //
   tato munestadā kṣobhādretaḥ skannaṃ yadambhasi /	tatas muneH-tadA kzoBAt-retaH skannam yat-amBasi /
   tadretaḥ sa tu jagrāha kalaśe vai mahātapāḥ // VamPSm_17.4 //	tat-retaH sa tu jagrAha kalaSe vE mahA-tapAH // VamPSm_17.4 //
   saptadhā pravibhāgaṃ tu kalaśasthaṃ jagāma ha /	saptaDA praviBAgam tu kalaSa-sTam jagAma ha /
   tatrarṣayaḥ spata jātā viduryān marutāṃ gaṇān /	tatra-RzayaH spata jAtAH viduryAt marutAm gaNAn /
   17.5 vāyuvego vāyubalo vāyuhā vāyumaṇḍalaḥ /	17.5 vAyu-vegaH vAyu-balaH vAyuhA vAyu-maNxalaH /
   vāyujvalo vāyureto vāyucakraśca vīryavān // VamPSm_17.6 //	vAyujvalaH vAyuretaH vAyucakraH-ca vIryavAn // VamPSm_17.6 //
   ete hyapatyāstasyarṣerdhārayanti carācaram /	ete hi-apatyAH-tasya-RzeH-DArayanti carAcaram /
   purā maṅkaṇakaḥ siddhaḥ kuśāgreṇeti me śrutam // VamPSm_17.7 //	purA maFkaNakaH sidDaH kuSa-agreNa-iti me Srutam // VamPSm_17.7 //
   kṣataḥ kila kare viprāstasya śākaraso 'sravat /	kzataH kila kare viprAH-tasya SAka-rasaH asravat /
   sa vai śākarasaṃ dṛṣṭvā harṣāviṣṭaḥ pranuttavān // VamPSm_17.8 //	sa vE SAka-rasam dRzwvA harza-AvizwaH pranuttavAn // VamPSm_17.8 //
   tataḥ sarvaṃ pranṛttaṃ ca sathāvaraṃ jaṅmaṃ ca yat /	tatas sarvam pranRttam ca saTA-varam jaFmam ca yat /
   pranuttaṃ ca jagad dṛṣṭvā tejasā tasya mohitam // VamPSm_17.9 //	pranuttam ca jagat dRzwvA tejasA tasya mohitam // VamPSm_17.9 //
   brahmādibhiḥ suraistatra ṛṣibhiśca tapodhanaiḥ /	brahma-AdiBiH surEH-tatra RziBiH-ca tapoDanEH /
   vijñapto vai mahādevo munerarthe dvijottamāḥ // VamPSm_17.10 //	vijQaptaH vE mahAdevaH muneH-arTe dvijottamAH // VamPSm_17.10 //
   nāya nṛtyed yathā deva tathā tvaṃ kartumarhasi /	nAya nRtyet yaTA deva taTA tvam kartum-arhasi /
   tato devo muniṃ dṛṣṭvā harṣāviṣṭamatīva hi // VamPSm_17.11 //	tatas devaH munim dRzwvA harza-Avizwam-atIva hi // VamPSm_17.11 //
   suraṇāṃ hitakāmārthaṃ mahādevo 'bhyabhāṣata /	suraNAm hita-kAma-arTam mahAdevaH aByaBAzata /
   harṣasthānaṃ kimarthaṃ ca tavedaṃ munisattama /	harza-sTAnam kim-arTam ca tava-idam muni-sattamaH /
   tapasvino dharmapathe sthitasya dvijasattama // VamPSm_17.12 //	tapasvinaH Darma-paTe sTitasya dvijasattamaH // VamPSm_17.12 //
   kiṃ na paśyasi me brahman karācchākarasaṃ srutam /	kim na paSyasi me brahman karAt-SAka-rasam srutam /
   yaṃ dṛṣṭvāhaṃ pranutto vai harṣeṇa mahatānvitaḥ // VamPSm_17.13 //	yam dRzwvA-aham pranuttaH vE harzeNa mahatA-anvitaH // VamPSm_17.13 //
   taṃ prahasyābravīd devo muniṃ rāgema mohitam /	tam prahasya-abravIt devaH munim rAgema mohitam /
   ahaṃ na vismayaṃ vipra gacchāmīha prapaśyatām // VamPSm_17.14 //	aham na vismayam vipra gacCAmi-iha prapaSyatAm // VamPSm_17.14 //
   evamuktvā muniśreṣṭhaṃ devadevo mahādyutiḥ /	evam-uktvA muni-SrezWam devadevaH mahA-dyutiH /
   aṅgulyagreṇa viprendrāḥ svāṅguṣṭhaṃ tāḍayad bhavaḥ // VamPSm_17.15 //	aFgulI-agreNa vipra-indrAH sva-aFguzWam tAxayat BavaH // VamPSm_17.15 //
   tato bhasma kṣatāt tasmānnirgataṃ himasannibham /	tatas Basma kzatAt tasmAt-nirgatam hima-sanniBam /
   tad dṛṣṭvā vrīḍitovipraḥ pādayoḥ patito 'bravīt // VamPSm_17.16 //	tat dRzwvA vrIxitaH-vipraH pAdayoH patitaH abravIt // VamPSm_17.16 //
   nānyaṃ devādahaṃ manye śūlapāṇermahātmanaḥ /	na-anyam devAt-aham manye SUlapANeH-mahAtmanaH /
   carācarasya jagato varastvamasi śūladhṛk // VamPSm_17.17 //	carAcarasya jagataH varaH-tvam-asi SUla-DRk // VamPSm_17.17 //
   tvadāśrayāśca dṛśyante surā brahmādayo 'nagha /	tvad-ASrayAH-ca dRSyante surAH brahma-AdayaH anaGa /
   pūrvastvamasi devānāṃ kartā kārayitā mahat // VamPSm_17.18 //	pUrvaH-tvam-asi devAnAm kartA kArayitA mahat // VamPSm_17.18 //
   tvatprasādāt surāḥ sarve modante hyakulobhayāḥ /	tvad-prasAdAt surAH sarve modante hi-akula-uBayAH /
   evaṃ stutvā mahādevamṛṣiḥ sa praṇato 'bravīt // VamPSm_17.19 //	evam stutvA mahAdevam-RziH sa praNataH abravIt // VamPSm_17.19 //
   bhagavaṃstvaprasādāddhi tapo me na kṣayaṃ vrajet /	Bagavan=-tu-aprasAdAt-hi tapaH me na kzayam vrajet /
   tato devaḥ prasānnātmā tamṛṣiṃ vākyamabravīt // VamPSm_17.20 //	tatas devaH prasAnna-AtmA tam-Rzim vAkyam-abravIt // VamPSm_17.20 //
   īśvara uvāca	ISvaraH uvAca
   tapaste varddhatāṃ vipra matprasādāt sahasradhā /	tapaH-te vardDatAm vipra mad-prasAdAt sahasraDA /
   āśrame ceha vatsyāmi tvayā sārddhamahaṃ sadā // VamPSm_17.21 //	ASrame ca-iha vatsyAmi tvayA sArdDam-aham sadA // VamPSm_17.21 //
   saptasārasvate snātvā yo mamarciṣyate naraḥ /	saptasArasvate snAtvA yaH mam-arcizyate naraH /
   na tasya durlabhaṃ kiñcidiha loke paratra ca // VamPSm_17.22 //	na tasya durlaBam kiQcid-iha loke paratra ca // VamPSm_17.22 //
   sārasvataṃ ca taṃ lokaṃ gamiṣyati na saṃśayaḥ /	sArasvatam ca tam lokam gamizyati na saMSayaH /
   śivasya ca prasādena pāpnoti paramaṃ padam // VamPSm_17.23 //	Sivasya ca prasAdena pApnoti paramam padam // VamPSm_17.23 //
   iti śrīvāmanapurāṇe saromāhātmye saptadaśodhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye saptadaSaH-DyAyaH
   lomaharṣaṇa uvāca /	loma-harzaNaH uvAca /
   tatastvauśanasaṃ tīrthaṃ gacchettu śraddhāyānvitāḥ /	tatas-tu-OSanasam tIrTam gacCet-tu SradDAya-anvitAH /
   uśanā yatra saṃsiddho grahatvaṃ ca samāptavān // VamPSm_18.1 //	uSanAH yatra saMsidDaH graha-tvam ca samAptavAn // VamPSm_18.1 //
   tasmin snātvā vimuktastu pātakairjanmasaṃbhavaiḥ /	tasmin snAtvA vimuktaH-tu pAtakEH-janma-saMBavEH /
   tato yāti paraṃ brahma yasmānnāvartate punaḥ // VamPSm_18.2 //	tatas yAti param brahma yasmAt-na-Avartate punar // VamPSm_18.2 //
   rahodaro nāma muniryatra mukto babhūva ha /	rahodaraH nAma muniH-yatra muktaH baBUva ha /
   mahatā śirasā grastastīrthamāhātmyadarśanāt // VamPSm_18.3 //	mahatA SirasA grastaH-tIrTa-mAhAtmya-darSanAt // VamPSm_18.3 //
   kathaṃ rahodaro grastaḥ kathaṃ mokṣamavāptavān /	kaTam rahodaraH grastaH kaTam mokzam-avAptavAn /
   tīrthasya tasya māhātmyamicchāmaḥ śrotumādarāt // VamPSm_18.4 //	tIrTasya tasya mAhAtmyam-icCAmaH Srotum-AdarAt // VamPSm_18.4 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   purā vai daṇḍakāraṇye rāghaveṇa mahātmanā /	purA vE daNxaka-araNye rAGaveNa mahAtmanA /
   vasatā dvijaśārdūlā rākṣasāstatra hiṃsitāḥ // VamPSm_18.5 //	vasatA dvija-SArdUlAH rAkzasAH-tatra hiMsitAH // VamPSm_18.5 //
   tatraikasya śiraśchinnaṃ rākṣasasya durātmanaḥ /	tatra-ekasya SiraH-Cinnam rAkzasasya durAtmanaH /
   kṣureṇa śitadhāreṇa tat papāta mahāvane // VamPSm_18.6 //	kzureNa Sita-DAreNa tat papAta mahA-vane // VamPSm_18.6 //
   rahodarasya tallagnaṃ jaṅghāyāṃ vai yadṛcchayā /	raha-udarasya tad-lagnam jaFGAyAm vE yadRcCayA /
   vane vicāratastatra asthi bhittvā viveśa ha // VamPSm_18.7 //	vane vicArataH-tatra asTi BittvA viveSa ha // VamPSm_18.7 //
   sa tena lagnena tadā dvijātirna śaśāka ha /	sa tena lagnena tadA dvijAtiH-na SaSAka ha /
   abhigantuṃ mahāprājñastīrthānyāyatanāni ca // VamPSm_18.8 //	aBigantum mahA-prAjQaH-tIrTAni-AyatanAni ca // VamPSm_18.8 //
   sa pūtinā visravatā vedanārte mahāmuniḥ /	sa pUtinA visravatA vedanA-Arte mahA-muniH /
   jagāma sarvatīrthāni pṛthivyāṃ yāni kāni ca // VamPSm_18.9 //	jagAma sarva-tIrTAni pRTivyAm yAni kAni ca // VamPSm_18.9 //
   tataḥ sa kathayāmāsa ṛṣīṇāṃ bhāvitātmanām /	tatas sa kaTayAmAse RzINAm BAvitAtmanAm /
   te 'bruvan ṛṣayo vipraṃ prayāhyaiśanasaṃ pratiḥ // VamPSm_18.10 //	te abruvan RzayaH vipram prayAhi-ESanasam pratiH // VamPSm_18.10 //
   teṣāṃ tadvacanaṃ śrutvā jagāma sa rahodaraḥ /	tezAm tat-vacanam SrutvA jagAma sa raha-udaraH /
   tatastvaiśanase tīrthe tasyopaspṛśatastadā // VamPSm_18.11 //	tatas-tu-ESanase tIrTe tasya-upaspRSataH-tadA // VamPSm_18.11 //
   tacchiraścaraṇaṃ muktvā papātāntarjale dvijāḥ /	tat-SiraH-caraNam muktvA papAta-antar-jale dvijAH /
   tataḥ sa virajo bhūtvā pūtātmā vītakalmaṣaḥ // VamPSm_18.12 //	tatas sa virajaH BUtvA pUta-AtmA vIta-kalmazaH // VamPSm_18.12 //
   ājagāmāśramaṃ prītaḥ kathayāmāsa cākhilam /	AjagAma-ASramam prItaH kaTayAmAsa ca-aKilam /
   te śrutvā ṛṣayaḥ sarve tīrthamāhātmyamuttamam /	te SrutvA RzayaH sarve tIrTa-mAhAtmyam-uttamam /
   kapālamocanamiti nāma cakruḥ samāgatāḥ // VamPSm_18.13 //	kapAlamocanam-iti nAma cakruH samAgatAH // VamPSm_18.13 //
   tatrāpi sumahattīrtha viśvāmitrasya viśrutam /	tatra-api su-mahat-tIrTa viSvAmitrasya viSrutam /
   brāhmaṇyaṃ labdhavān yatra viśvāmitro mahāmuniḥ // VamPSm_18.14 //	brAhmaNyam labDavAn yatra viSvAmitraH mahA-muniH // VamPSm_18.14 //
   tasmistīrthavare snātvā brāhmaṇyaṃ labhate dhruvam /	tasmiH-tIrTa-vare snAtvA brAhmaNyam laBate Druvam /
   brāhmaṇastu viśuddhātmā paraṃ padamavāpnuyāt // VamPSm_18.15 //	brAhmaNaH-tu viSudDa-AtmA param padam-avApnuyAt // VamPSm_18.15 //
   tataḥ pūthūdakaṃ gacchenniyato niyatāśanaḥ /	tatas pUTu-udakam gacCet-niyataH niyata-aSanaH /
   tatra siddhastu brahmarṣi ruṣaṅgurnāma nāmataḥ // VamPSm_18.16 //	tatra sidDaH-tu brahmarzi ruzaFguH-nAma nAmataH // VamPSm_18.16 //
   jātismaro ruṣaṅgustu gaṅgādvāre sadā sthitaḥ /	jAtismaraH ruzaFguH-tu gaFgAdvAre sadA sTitaH /
   antakālaṃ tato dṛṣṭvā putrān vacanamabravīt /	antakAlam tatas dRzwvA putrAn vacanam-abravIt /
   iha śreyo na pasyāmi nayadhvaṃ māṃ pṛthūdakam // VamPSm_18.17 //	iha SreyaH na pasyAmi nayaDvam mAm pRTUdakam // VamPSm_18.17 //
   vijñāya tasya tadbhāvaṃ ruṣaṅgoste tapodhanāḥ /	vijQAya tasya tad-BAvam ruzaFgoH-te tapoDanAH /
   taṃ vai tīrthe upāninyuḥ sarasvatyāstapodhanam // VamPSm_18.18 //	tam vE tIrTe upAninyuH sarasvatyAH-tapoDanam // VamPSm_18.18 //
   sa taiḥ putraiḥ samānītaḥ sarasvatyāṃ samāplutaḥ /	sa tEH putrEH samAnItaH sarasvatyAm samAplutaH /
   smṛtvā tīrthaguṇān sarvān prāhedamṛṣisattamaḥ // VamPSm_18.19 //	smRtvA tIrTa-guNAn sarvAn prAha-idam-Rzi-sattamaH // VamPSm_18.19 //
   sarasvatyuttare tīrthe yastyajedātmanastanum /	sarasvatI-uttare tIrTe yaH-tyajet-AtmanaH-tanum /
   pṛthūdake japyaparo nūnaṃ cāmaratāṃ vrajet // VamPSm_18.20 //	pRTUdake japya-paraH nUnam ca-amara-tAm vrajet // VamPSm_18.20 //
   tatraiva brahmayonyasti brahmaṇā yatra nirmitā /	tatra-eva brahma-yoni-asti brahmaNA yatra nirmitA /
   pṛthūdakaṃ samāśritya sarasvatyāstaṭe sthitaḥ // VamPSm_18.21 //	pRTUdakam samASritya sarasvatyAH-tawe sTitaH // VamPSm_18.21 //
   cāturvarṇyasya sṛṣṭyarthamātmajñānaparo 'bhavat /	cAturvarNyasya sRzwi-arTam-Atma-jQAna-paraH aBavat /
   tasyābhidhyāyataḥ sṛṣṭiṃ brahmaṇo 'vyaktajanmanaḥ // VamPSm_18.22 //	tasya-aBiDyAyataH sRzwim brahmaNaH avyakta-janmanaH // VamPSm_18.22 //
   mukhato brāhmaṇā jātā bāhubhyāṃ kṣatriyāstathā /	muKataH brAhmaNAH jAtAH bAhuByAm kzatriyAH-taTA /
   ūrubhyāṃ vaiśyajātīyāḥ padbhyāṃ śūdrāstato 'bhavan // VamPSm_18.23 //	UruByAm vESya-jAtIyAH padByAm SUdrAH-tatas aBavan // VamPSm_18.23 //
   cāturvarṇyaṃ tato dṛṣṭvā āśramasthaṃ tatastataḥ /	cAturvarNyam tatas dRzwvA ASrama-sTam tatas-tatas /
   evaṃ pratiṣṭhitaṃ tīrthaṃ brahmayonīti saṃjñitam // VamPSm_18.24 //	evam pratizWitam tIrTam brahmayonI-iti saMjQitam // VamPSm_18.24 //
   tatra snātvā muktikāmaḥ punaryoniṃ na paśyati /	tatra snAtvA mukti-kAmaH punar-yonim na paSyati /
   tatraiva tīrthaṃ vikhyātamavakīrṇeti nāmataḥ // VamPSm_18.25 //	tatra-eva tIrTam viKyAtam-avakIrNA-iti nAmataH // VamPSm_18.25 //
   yasmin tīrthe bako dālbhyo dhṛtarāṣṭramamarṣaṇam /	yasmin tIrTe bakaH dAlByaH DRtarAzwram-amarzaNam /
   juhāva vāhanaiḥ sārdhaṃ tatrābudhyat tato nṛpaḥ // VamPSm_18.26 //	juhAva vAhanEH sArDam tatra-abuDyat tatas nRpaH // VamPSm_18.26 //
   ṛṣaya ūcuḥ	RzayaH UcuH
   kathaṃ pratiṣṭhitaṃ tīrthamavakīrṇena nāmataḥ /	kaTam pratizWitam tIrTam-avakIrNena nAmataH /
   dhṛtarāṣṭreṇa rājñā ca sa kimarthaṃ prasāditaḥ // VamPSm_18.27 //	DRtarAzwreNa rAjQA ca sa kim-arTam prasAditaH // VamPSm_18.27 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   ṛṣayo naimiṣeyā ye dakṣiṇārthaṃ yayuḥ purā /	RzayaH nEmizeyAH ye dakziNA-arTam yayuH purA /
   tatraiva ca bako dālbhyo dṛtarāṣṭrā mayācata // VamPSm_18.28 //	tatra-eva ca bakaH dAlByaH dRtarAzwrAH mayA-Acata // VamPSm_18.28 //
   tenāpi tatra nindārthamuktaṃ paśvanṛtaṃ tu yat /	tena-api tatra nindA-arTam-uktam paSu-anRtam tu yat /
   tataḥ krodhena mahatā māṃsamutkṛtya tatra ha / /	tatas kroDena mahatA mAMsam-utkRtya tatra ha / /
   18.29 pṛthūdake mahātīrthe avakīrṇeti nāmataḥ /	18.29 pRTUdake mahA-tIrTe avakIrNA-iti nAmataH /
   juhāva dhṛtarāṣṭrasya rāṣṭraṃ narapatestataḥ // VamPSm_18.30 //	juhAva DRtarAzwrasya rAzwram narapateH-tatas // VamPSm_18.30 //
   hūyamāne tadā rāṣṭre pravṛtte yajñakarmaṇi /	hUyamAne tadA rAzwre pravRtte yajQa-karmaNi /
   akṣiyata tato rāṣṭraṃ nṛpaterduṣkṛtena vai // VamPSm_18.31 //	akziyata tatas rAzwram nRpateH-duzkRtena vE // VamPSm_18.31 //
   tataḥ sa cintayāmāsa brāhmaṇasya viceṣṭitam /	tatas sa cintayAmAsa brAhmaNasya vicezwitam /
   purohitena saṃyukte ratnānyādāya sarvaśaḥ // VamPSm_18.32 //	purohitena saMyukte ratnAni-AdAya sarvaSas // VamPSm_18.32 //
   prasādanārthaṃ viprasya hyavakīrṇaṃ yayau tadā /	prasAdana-arTam viprasya hi-avakIrNam yayO tadA /
   prasāditaḥ sa rājñā ca tuṣṭaḥ provāca taṃ nṛpam // VamPSm_18.33 //	prasAditaH sa rAjQA ca tuzwaH provAca tam nRpam // VamPSm_18.33 //
   brāhmaṇā nāvamantavyāḥ puruṣeṇa vijānatā /	brAhmaNAH na-avamantavyAH puruzeNa vijAnatA /
   avajñāto brāhmaṇastu hanyāt tripuruṣaṃ kulam // VamPSm_18.34 //	avajQAtaH brAhmaNaH-tu hanyAt tri-puruzam kulam // VamPSm_18.34 //
   evamuktvā sa nṛpatiṃ rājyena yaśasā punaḥ /	evam-uktvA sa nRpatim rAjyena yaSasA punar /
   utthāpayāmāsa tatastasya rājño hite sthitaḥ // VamPSm_18.35 //	utTApayAmAsa tatas-tasya rAjQaH hite sTitaH // VamPSm_18.35 //
   tasmiṃstīrthe tu yaḥ snāti śraddadhāno jitendriyaḥ /	tasmin=-tIrTe tu yaH snAti SraddaDAnaH jita-indriyaH /
   sa prāpnoti naro nityaṃ manasā cintitaṃ phalam // VamPSm_18.36 //	sa prApnoti naraH nityam manasA cintitam Palam // VamPSm_18.36 //
   tatra tīrthaṃ suvikhyātaṃ yāyātaṃ nāma nāmataḥ /	tatra tIrTam su-viKyAtam yAyAtam nAma nAmataH /
   yasyeha yajamānasya madhu susrāva vai nadī // VamPSm_18.37 //	yasya-iha yajamAnasya maDu susrAva vE nadI // VamPSm_18.37 //
   tasmin snāto naro bhaktyā mucyate sarvakilbiṣaiḥ /	tasmin snAtaH naraH BaktyA mucyate sarva-kilbizEH /
   phalaṃ prāpnoti yajñasya aśvamedhasya mānavaḥ // VamPSm_18.38 //	Palam prApnoti yajQasya aSvameDasya mAnavaH // VamPSm_18.38 //
   madhusravaṃ ca tatraiva tīrthaṃ puṇyatamaṃ dvijāḥ /	maDusravam ca tatra-eva tIrTam puNyatamam dvijAH /
   tasmin snātvā naro bhaktyā madhunātarpayet pitṝn // VamPSm_18.38 //	tasmin snAtvA naraH BaktyA maDunA-atarpayet pitLn // VamPSm_18.38 //
   tatrāpi sumahattīrthaṃ vasiṣṭhodvāhasaṃjñitam /	tatra-api su-mahat-tIrTam vasizWa-udvAha-saMjQitam /
   tatra snāto bhaktiyukto vāsiṣṭhaṃ lokamāpnuyāt // VamPSm_18.39 //	tatra snAtaH Bakti-yuktaH vAsizWam lokam-ApnuyAt // VamPSm_18.39 //
   tatrāpi sumahattīrthaṃ vasiṣṭhodvāhasaṃjñitam /	tatra-api su-mahat-tIrTam vasizWa-udvAha-saMjQitam /
   tatra snāto bhaktiyukto vāsiṣṭhaṃ lokamāpnuyāt // VamPSm_18.40 //	tatra snAtaH Bakti-yuktaH vAsizWam lokam-ApnuyAt // VamPSm_18.40 //
   iti śrīvāmanapurāṇe saromāhātmye aṣṭādaśo 'dhyāyaḥ	iti SrI-vAmanapurANe saromAhAtmye azwAdaSaH aDyAyaH
   ṛṣaya ūcuḥ /	RzayaH UcuH /
   vasiṣṭhasyāpavāho 'sau kathaṃ vai saṃbabhūva ha /	vasizWasya-apavAhaH asO kaTam vE saMbaBUva ha /
   kimarthaṃ sā saricchreṣṭhā tamṛṣiṃ pratyavāhayat // VamPSm_19.1 //	kimarTam sA sarit-SrezWA tam-Rzim pratyavAhayat // VamPSm_19.1 //
   lomaharṣaṇa uvāca	lomaharzaNaH uvAca
   viśvāmitrasya rājarṣervasiṣṭhasya mahātmanaḥ /	viSvAmitrasya rAjarzeH-vasizWasya mahAtmanaH /
   bhṛśaṃ vairaṃ babhūveha tapaḥsparddhākṛte mahat // VamPSm_19.2 //	BRSam vEram baBUva-iha tapaH-spardDA-kRte mahat // VamPSm_19.2 //
   āśramo vai vasiṣṭhasya sthāṇutīrthe babhūva ha /	ASramaH vE vasizWasya sTANutIrTe baBUva ha /
   tasya paścimadigbhāge viśvāmitrasya dhīmataḥ // VamPSm_19.3 //	tasya paScima-digBAge viSvAmitrasya DImataH // VamPSm_19.3 //
   yatreṣṭvā bhagavān sthāṇuḥ pūjayitvā sarasvatīm /	yatra-izwvA BagavAn sTANuH pUjayitvA sarasvatIm /
   sthāpayāmāsa deveśo liṅgākārāṃ sarasvatīm // VamPSm_19.4 //	sTApayAmAsa deveSaH liFga-AkArAm sarasvatIm // VamPSm_19.4 //
   vasiṣṭhastatra tapasā ghorarūpeṇa saṃsthitaḥ /	vasizWaH-tatra tapasA Gora-rUpeNa saMsTitaH /
   tasyeha tapasā hīno viśvāmitro babhūva ha // VamPSm_19.5 //	tasya-iha tapasA hInaH viSvAmitraH baBUva ha // VamPSm_19.5 //
   sarasvatīṃ samāhūya idaṃ vacanamabravīt /	sarasvatIm samAhUya idam vacanam-abravIt /
   vasiṣṭhaṃ munisārdūlaṃ svena vegena ānaya // VamPSm_19.6 //	vasizWam muni-sArdUlam svena vegena Anaya // VamPSm_19.6 //
