   agnir yatrābhimathyate SvetUp_2.6a	agniH yatra-aBimaTyate Svetu-up_2.6a
   sthāvarasya carasya ca SvetUp_3.18d	sTAvarasya carasya ca Svetu-up_3.18d
   sthūlāni sūkṣmāṇi bahūni caiva SvetUp_5.12a	sTUlAni sUkzmANi bahUni ca-eva SvetUp_5.12a
   srotāṃsi sarvāṇi bhayāvahāni SvetUp_2.8d	srotAMsi sarvANi Baya-AvahAni Svetu-up_2.8d
   sva-deham araṇiṃ kṛtvā SvetUp_1.14a	sva--deham araNim kRtvA SvetUp_1.14a
   svabhāvam eke kavayo vadanti SvetUp_6.1a	svaBAvam eke kavayaH vadanti SvetUp_6.1a
   svābhāvikī jñāna-bala-kriyā ca SvetUp_6.8d	svABAvikI jQAna-bala--kriyA ca SvetUp_6.8d
   haste bibharṣy astave SvetUp_3.6 b	haste biBarzi astave Svetu-up_3.6 b
   haṃso lelāyate bahiḥ SvetUp_3.18b	haMsaH lelAyate bahis Svetu-up_3.18b
   hiraṇyagarbhaṃ janayāmāsa pūrvaṃ SvetUp_3.4c	hiraNyagarBam janayAmAsa pUrvam Svetu-up_3.4c
   hiraṇyagarbhaṃ paśyata jāyamānaṃ SvetUp_4.12c	hiraNyagarBam paSyata jAyamAnam SvetUp_4.12c
   hṛdā manīṣā manasābhikḷpto SvetUp_4.17c	hRdA manIzA manasA-aBik?ptaH SvetUp_4.17c
   hṛdā manīṣo manasābhikḷpto SvetUp_3.13c	hRdA manIzaH manasA-aBik?ptaH SvetUp_3.13c
   hṛdā hṛdi-sthaṃ manasā ya enam SvetUp_4.20c	hRdA hRdi-sTam manasA yaH enam SvetUp_4.20c
   hṛdīndriyāṇi manasā sanniveśya SvetUp_2.8b	hRdi-indriyANi manasA sanniveSya Svetu-up_2.8b
