   śrīgaṇādhipataye namaḥ /	SrI gaNADipataye namaH /
   dvādaśī tu tadā grāhyā trayodaśyāntu pāraṇam /	dvAdaSI tu tadA grAhyA trayodaSya antu pAraNam /
   ekādaśī kalāpisyādupoṣyā dvādaśī tathā // GarP_1,125.4 //	ekAdaSI kalApisyAt upozyA dvAdaSI taTA // GarP_1,125.4 //
   ekādaśī dvādaśī ca viśeṣeṇa trayodaśī /	ekAdaSI dvAdaSI ca viSezeNa trayodaSI /
   trimiśrā sā tithirgrāhyā sarvapāpaharā śubhā // GarP_1,125.5 //	trimiSrA sA tiTiH grAhyA sarva pApa harA SuBAH // GarP_1,125.5 //
   ekādaśīmupoṣyaivadvādaśīma thavā dvija ! /	ekAdaSIm upozya evadvAdaSIma TavA dvija ! /
   trimiśrāṃ caiva kurvīta na daśamyā yutāṃ kracit // GarP_1,125.6 //	trimiSrAm ca eva kurvIta na daSamyA yutAm kracit // GarP_1,125.6 //
   rātrau jāgaraṇaṃ kurvanpurāṇaśravaṇaṃ nṛpaḥ /	rAtrO jAgaraNam kurvan purANa SravaNam nRpaH /
   gadādharaṃ pūjayaṃśca upoṣyaikā daśīdvayam /	gadADaram pUjayan= ca upozya ekA daSI dvayam /
   rukmāṅgado yayau mokṣamanye caikādaśīvratam // GarP_1,125.7 //	rukma aFgadaH yayO mokzam anye ca ekAdaSIvratam // GarP_1,125.7 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   ekādaśīmāhātmyaṃ nāma pañcaviṃśatyuttaraśatatamo 'dhyāyaḥ	ekAdaSImAhAtmyam nAma paQcaviMSatyuttaraSatatamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  126	SrI garuxa mahApurANam 126
   brahmovāca /	brahmA uvAca /
   yenārcanena vai loko jagāma paramāṃ gatim /	yena arcanena vE lokaH jagAma paramAm gatim /
   tamarcanaṃ pravakṣyāmi bhuktimuktikaraṃ param // GarP_1,126.1 //	tam arcanam pravakzyAmi Bukti mukti karam param // GarP_1,126.1 //
   sāmānyamaṇḍalaṃ nyasya dhātāraṃ dvāradeśataḥ /	sAmAnya maNxalam nyasya DAtAram dvAra deSataH /
   vidhātāraṃ tathā gaṅgāṃ yamunāṃ ca mahānadīm // GarP_1,126.2 //	viDAtAram taTA gaFgAm yamunAm ca mahA nadIm // GarP_1,126.2 //
   dvāraśriyaṃ ca daṇḍaṃ ca pracaṇḍaṃ vāstupūruṣam /	dvAra Sriyam ca daNxam ca pracaNxam vAstu pUruzam /
   madhye cādhāraśaktiṃ ca kūrmaṃ cānantamarcayet // GarP_1,126.3 //	maDye ca ADAra Saktim ca kUrmam ca anantam arcayet // GarP_1,126.3 //
   bhūmiṃ dharmaṃ tathā jñānaṃ vairagyaiśvaryameva ca /	BUmim Darmam taTA jQAnam vEragyA ESvaryam eva ca /
   adharmādīṃśca caturaḥ kandaṃ nālaṃ ca paṅkajam // GarP_1,126.4 //	aDarma AdIn= ca caturaH kandam nAlam ca paFkajam // GarP_1,126.4 //
   karṇikāṃ kesaraṃ sattvaṃ rājasaṃ tāmasaṃ guṇam /	karNikAm kesaram sattvam rAjasam tAmasam guNam /
   suryādimaṇḍalānyeva vimalādyāśca śaktayaḥ // GarP_1,126.5 //	suryAdi maNxalAni eva vimala AdyAH ca SaktayaH // GarP_1,126.5 //
   durgāṃ gaṇaṃ sarasvatīṃ kṣetrapālaṃ ca koṇake /	durgAm gaNam sarasvatIm kzetrapAlam ca koNake /
   āsanaṃ mūrtimabhyarcya vāsudevaṃ balaṃ smaran // GarP_1,126.6 //	Asanam mUrtim aByarcya vAsudevam balam smaran // GarP_1,126.6 //
   aniruddhaṃ mahātmānaṃ nārāyaṇamathārcayet /	anirudDam mahAtmAnam nArAyaNam aTa arcayet /
   hṛdayādīni cāṅgāni śaṅkhādīnyāyudhāni ca // GarP_1,126.7 //	hRdaya AdIni ca aFgAni SaFKa AdIni AyuDAni ca // GarP_1,126.7 //
   śrīgaruḍamahāpurāṇam  127	SrI garuxa mahApurANam 127
   brahmovāca /	brahmA uvAca /
   māghamāse śuklapakṣe sūryarkṣeṇa yutā purā /	mAGa mAse Sukla pakze sUrya RkzeNa yutA purA /
   ekādaśī tathā caikā bhīmena samupoṣitā // GarP_1,127.1 //	ekAdaSI taTA ca ekA BImena samupozitAH // GarP_1,127.1 //
   āścarya tu vrataṃ kṛtvā pitṝṇāmanṛṇo 'bhavat /	AScarya tu vratam kRtvA pitLNAm anRNaH aBavat /
   bhīmadvādaśī vikhyātā prāṇināṃ puṇyavardhinī // GarP_1,127.2 //	BImadvAdaSI viKyAtA prANinAm puNya varDinI // GarP_1,127.2 //
   nakṣatreṇa vināpyeṣā brahmahatyādi nāśayet /	nakzatreNa vinA api ezA brahmahatyA Adi nASayet /
   vinihanti mahāpāpaṃ kunṛpo viṣayaṃ yathā // GarP_1,127.3 //	vinihanti mahA pApam ku nRpaH vizayam yaTA // GarP_1,127.3 //
   kuputtrastu kulaṃ yadvatkubhāryā ca patiṃ yathā /	ku puttraH tu kulam yadvat ku BAryA ca patim yaTA /
   adharmaṃ ca yathā dharmaḥ kumantrī ca yathā nṛpam // GarP_1,127.4 //	aDarmam ca yaTA DarmaH kumantrI ca yaTA nRpam // GarP_1,127.4 //
   ajñānena yathā jñānaṃ śaucamāśaucakaṃ yathā /	ajQAnena yaTA jQAnam SOcam ASOcakam yaTA /
   aśraddhayā yathā śraddhā satyañcaivānṛtairyathā // GarP_1,127.5 //	aSradDayA yaTA SradDA satyaQca eva anRtEH yaTA // GarP_1,127.5 //
   himaṃ yathoṣṇamāhanyādanarthaṃ cārthasaṃcayaḥ /	himam yaTA uzNam AhanyAt anarTam ca arTa saMcayaH /
   yathā prakartināddānaṃ tapo vai vismayādyathā // GarP_1,127.6 //	yaTA prakartinAt dAnam tapaH vE vismayAt yaTA // GarP_1,127.6 //
   aśikṣayā yathā putro gāvo dūragatairyathā /	aSikzayA yaTA putraH gAvaH dUra gatEH yaTA /
   krodhena ca yathā śāntiryathā vittamavaddhanāt // GarP_1,127.7 //	kroDena ca yaTA SAntiH yaTA vittama vat DanAt // GarP_1,127.7 //
   jñānenaiyathā vidyā niṣkāmena yathā phalam /	jQAnena EyaTA vidyA nizkAmena yaTA Palam /
   tathaiva pāpanāśāya prokteyaṃ dvādaśī śubhā // GarP_1,127.8 //	taTA eva pApa nASAya proktA iyam dvAdaSI SuBA // GarP_1,127.8 //
   brahmahatyā surā pāna steyaṃ gurvaṅganāgamaḥ /	brahmahatyA surA pAna steyam guru aFganA AgamaH /
   yugapattuprajātānihanti tripuṣkaram // GarP_1,127.9 //	yugapattu prajAtA anihanti tripuzkaram // GarP_1,127.9 //
   na cāpi naimiṣaṃ kṣetraṃ kurukṣetraṃ prabhāsakam /	na ca api nEmizam kzetram kurukzetram praBAsakam /
   kālindī yamunā gaṅgā na caiva na sarasvatī // GarP_1,127.10 //	kAlindI yamunA gaFgA na ca eva na sarasvatI // GarP_1,127.10 //
   caiva sarvatīrthāni ekādaśyāḥ samāni hi /	ca eva sarva tIrTAni ekAdaSyAH samAni hi /
   na dānaṃ na japo homo na cānyatsukṛtaṃ kracit // GarP_1,127.11 //	na dAnam na japaH homaH na ca anyat sukRtam kracid // GarP_1,127.11 //
   ekataḥ pṛthivīdānamekato harivāsaraḥ /	ekatas pRTivI dAnam ekatas hari vAsaraH /
   tato 'pyekā mahāpuṇyā iyamekādaśī varā // GarP_1,127.12 //	tatas api ekA mahA puNyA iyam ekAdaSI varAH // GarP_1,127.12 //
   asminvarāhapuruṣaṃ kṛtvā devaṃ tu hāṭakam /	asmin varAha puruzam kRtvA devam tu hAwakam /
   ghaṭopari nave pātre kṛtvā vai tāmrabhājane // GarP_1,127.13 //	Gawa upari nave pAtre kRtvA vE tAmra BAjane // GarP_1,127.13 //
   sarvabījabhṛte viprāḥ sitavastrāvagaṇṭhite /	sarva bIja BRte viprAH sita vastra avagaNWite /
   sahiraṇyapradīpādyaiḥ kṛtvā pūjāṃ prayatnanaḥ // GarP_1,127.14 //	sa hiraNya pradIpa AdyEH kRtvA pUjAm prayatnanaH // GarP_1,127.14 //
   varāhāya namaḥ pādau kroḍākṛtaye namaḥ kaṭim /	varAhAya namaH pAdO kroxa AkRtaye namaH kawim /
   nābhiṃ gaṃbhīraghoṣayā uraḥ śrīvatsadhāriṇe // GarP_1,127.15 //	nABim gaMBIra GozayA uraH SrIvatsa DAriNe // GarP_1,127.15 //
   bāhuṃ sahasraśirase grīvāṃ sarveśvarāya ca /	bAhum sahasra Sirase grIvAm sarveSvarAya ca /
   mukhaṃ sarvātmane pūjyaṃ lalāṭaṃ prabhavāya ca // GarP_1,127.16 //	muKam sarvAtmane pUjyam lalAwam praBavAya ca // GarP_1,127.16 //
   keśāḥ śatamayūkhāya pūjyā devasya cakriṇaḥ /	keSAH Sata mayUKAya pUjyAH devasya cakriNaH /
   vidhinā pūjayitvā tu kṛtvā jāgaraṇaṃ niśi // GarP_1,127.17 //	viDinA pUjayitvA tu kRtvA jAgaraNam niSi // GarP_1,127.17 //
   śrutvā purāṇaṃ devasya māhātmyapratipādakam /	SrutvA purANam devasya mAhAtmya pratipAdakam /
   prātarviprāya dattvā ca yācakāya śubhāya tat // GarP_1,127.18 //	prAtar viprAya dattvA ca yAcakAya SuBAya tat // GarP_1,127.18 //
   kanakakroḍasahitaṃ sannivedya paricchadam /	kanaka kroxa sahitam sat nivedya paricCadam /
   paścāttu pāraṇaṃ kuryānnātitṛptaḥ sakṛdvrataḥ // GarP_1,127.19 //	paScAt tu pAraNam kuryAt na ati tRptaH sakRt vrataH // GarP_1,127.19 //
   evaṃ kṛtvā naro vidyānna bhūya stanapo bhavet /	evam kRtvA naraH vidyAt na BUya stanapaH Bavet /
   upoṣyaikādaśīṃ puṇyāṃ mucyate vai ṛṇatrayāt /	upozya ekAdaSIm puNyAm mucyate vE RNa trayAt /
   mano 'bhilaṣitāvāptiḥ kṛtvā sarvavratādikam // GarP_1,127.20 //	manaH aBilazita avAptiH kRtvA sarva vrata Adikam // GarP_1,127.20 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   ekādaśīmāhātmyaṃ nāma saptaviṃśatyuttaraśatatamo 'dhyāyaḥ	ekAdaSImAhAtmyam nAma saptaviMSatyuttaraSatatamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  128	SrI garuxa mahApurANam 128
   brahmovāca /	brahmA uvAca /
   vratāni vyāsa vakṣyāmi yaistuṣṭaḥ sarvado hariḥ /	vratAni vyAsa vakzyAmi yEH tuzwaH sarva daH hariH /
   śāstrodito hi niyamo vrataṃ tacca tapo matam // GarP_1,128.1 //	SAstra uditaH hi niyamaH vratam tat ca tapaH matam // GarP_1,128.1 //
   niyamāstu viśeṣāḥ syuḥ vratasyāsya damādayaḥ /	niyamAH tu viSezAH syuH vratasya asya dama AdayaH /
   nityaṃ triṣavaṇaṃ snāyādadhaḥ śayī jitendriyaḥ // GarP_1,128.2 //	nityam trizavaNam snAyAt aDas SayI jita indriyaH // GarP_1,128.2 //
   strīśūdrapatitānāṃ tu varjayedabhibhāṣaṇam /	strI SUdra patitAnAm tu varjayet aBiBAzaNam /
   pavitrāṇi ca pañcaiva juhuyāccaiva śaktitaḥ // GarP_1,128.3 //	pavitrANi ca paQca eva juhuyAt ca eva Saktitas // GarP_1,128.3 //
   kṛcchrāṇyetāni sarvāṇi caretsukṛtavānnaraḥ /	kRcCrANi etAni sarvANi caret sukRtavAn naraH /
   keśānāṃ rakṣaṇārthaṃ tu dviguṇaṃ vratamācaret // GarP_1,128.4 //	keSAnAm rakzaNa arTam tu dviguNam vratam Acaret // GarP_1,128.4 //
   kāṃsyaṃ māṣaṃ masūraṃ cacaṇakaṃ koradūṣakam /	kAMsyam mAzam masUram cacaNakam koradUzakam /
   śākaṃ madhu parānnaṃ ca varjayedupavāsavān // GarP_1,128.5 //	SAkam maDu para annam ca varjayet upavAsavAn // GarP_1,128.5 //
   puṣpālaṅkāravastrāṇi dhūpagandhānulepanam /	puzpa alaFkAra vastrANi DUpa ganDa anulepanam /
   upavāsena duṣyettu dantadhāvanamañjanam // GarP_1,128.6 //	upavAsena duzyet tu dantaDAvanam aQjanam // GarP_1,128.6 //
   dantakāṣṭhaṃ pañcagavyaṃ kṛtvā prātarvrataṃ caret /	dantakAzWam paQcagavyam kRtvA prAtar vratam caret /
   asakṛjjalapānācca tāmbūlasya ca bhakṣaṇāt // GarP_1,128.7 //	asakRt jala pAnAt ca tAmbUlasya ca BakzaNAt // GarP_1,128.7 //
   upavāsaḥ praduṣyeta divāsvapnā kṣamaithunāt /	upavAsaH praduzyeta divAsvapnA kzamETunAt /
   kṣamā satyaṃ dayā dānaṃ śaucamindriyanigrahaḥ // GarP_1,128.8 //	kzamA satyam dayA dAnam SOcam indriya nigrahaH // GarP_1,128.8 //
   devapūjāgnihavane santoṣosteyameva ca /	deva pUjA agni havane santozaH steyam eva ca /
   sarvavrateṣvayaṃ dharmaḥ sāmānyo daśadhāsmṛtaḥ // GarP_1,128.9 //	sarva vratezu ayam DarmaH sAmAnyaH daSaDA smRtaH // GarP_1,128.9 //
   nakṣatradarśanānnaktamanaktaṃ niśi bhojanam /	nakzatra darSanAt naktam anaktam niSi Bojanam /
   gomūtraṃ ca pala dadyādardhāṅguṣṭhaṃ tu gomayam // GarP_1,128.10 //	go mUtram ca pala dadyAt arDa aFguzWam tu gomayam // GarP_1,128.10 //
   kṣīraṃ saptapalaṃ dadyāddadhnaścaiva palatrayam /	kzIram sapta palam dadyAt daDnaH ca eva pala trayam /
   ghṛtamekaphalaṃ dadyātpalamekaṃ kuśodakam // GarP_1,128.11 //	GRtam eka Palam dadyAt palam ekam kuSa udakam // GarP_1,128.11 //
   gāyattryā caiva gandheti āpyāyasva dṛ dadhigrahaḥ /	gAyattryA ca eva ganDa iti ApyAyasva dR daDigrahaH /
   tejo 'sīti ca devasya brahmakūrcavrataṃ caret // GarP_1,128.12 //	tejaH asi iti ca devasya brahmakUrca vratam caret // GarP_1,128.12 //
   agnyādhānaṃ pratiṣṭhāṃ tu yajñadānavratāni ca /	agni ADAnam pratizWAm tu yajQa dAna vratAni ca /
   vedavratavṛṣotsargacūḍākaraṇamekhalāḥ // GarP_1,128.13 //	veda vrata vRzotsarga cUxAkaraNa meKalAH // GarP_1,128.13 //
   māṅgalyamabhiṣekaṃ ca malamāse vivarjayat /	mAFgalyam aBizekam ca mala mAse vivarjayat /
   darśāddarśasya cāndraḥ syāttriṃśāhobhistu sāvanaḥ // GarP_1,128.14 //	darSAt darSasya cAndraH syAt triMSa ahoBiH tu sAvanaH // GarP_1,128.14 //
   ravisaṃkramaṇātsauro nākṣatraḥ saptaviṃśatiḥ /	ravi saMkramaNAt sOraH nAkzatraH saptaviMSatiH /
   sauro māso vivāhāya yajñādau sāvanasthitiḥ // GarP_1,128.15 //	sOraH mAsaH vivAhAya yajQa AdO sAvana sTitiH // GarP_1,128.15 //
   yugmāgniyugabhūtāni ṣaṇmunyorvasurandhrayoḥ /	yugma agni yuga BUtAni zaz munyoH vasu ranDrayoH /
   rudreṇa dvādaśī yuktā caturdaśyātha pūrṇimā // GarP_1,128.16 //	rudreNa dvAdaSI yuktA caturdaSya aTa pUrNimA // GarP_1,128.16 //
   pratipadyapyamāvāsyā tithyormasyaṃ mahāphalam /	pratipadi api amAvAsyA tiTyoH masyam mahA Palam /
   etadvyastaṃ mahāghoraṃ hanti puṇyaṃ purā kṛtam // GarP_1,128.17 //	etat vyastam mahA Goram hanti puNyam purA kRtam // GarP_1,128.17 //
   prārabdhatapasā strīṇāṃ rajo hanyādvrataṃ na hi /	prArabDa tapasA strINAm rajaH hanyAt vratam na hi /
   anyairdānādikaṃ kuryātkāyikaṃ svayameva ca // GarP_1,128.18 //	anyEH dAna Adikam kuryAt kAyikam svayam eva ca // GarP_1,128.18 //
   krodhātpramādāllobhādvā vratabhaṅgo bhavedyadi /	kroDAt pramAdAt loBAt vA vrata BaFgaH Bavet yadi /
   dinatrayaṃ na bhuñjīta śiraso muṇḍanaṃ bhavet // GarP_1,128.19 //	dina trayam na BuQjIta SirasaH muNxanam Bavet // GarP_1,128.19 //
   asāmarthye śarīrasya putrādīnkārayedvratam /	asAmarTye SarIrasya putra AdIn kArayet vratam /
   vratasthaṃ mūrchitaṃ vipraṃ jalādīnyanupāyayet // GarP_1,128.20 //	vrata sTam mUrCitam vipram jala AdIni anupAyayet // GarP_1,128.20 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
   vrataparibhāṣā nāmāṣṭāviṃśatyuttaraśatatamo 'dhyāyaḥ	vratapariBAzA nAma azwAviMSatyuttaraSatatamaH aDyAyaH
   śrīgaruḍamahāpurāṇam  129	SrI garuxa mahApurANam 129
   brahmovāca /	brahmA uvAca /
   vakṣye pratipadādīni vratāni vyāsa śṛṇvatha /	vakzye pratipad A AdIni vratAni vyAsa SRNu aTa /
   vāśvānarapadaṃ yāti śikhivratamidaṃ smṛtam // GarP_1,129.1 //	vA aSvAnara padam yAti SiKivratam idam smRtam // GarP_1,129.1 //
   pratipadyekabhaktāśī samāpte kapilāpradaḥ /	pratipadi eka Bakta ASI samApte kapilA pradaH /
   caitrādau kārayeccaiva brahmapūjāṃ yathāvidhi /	cEtra AdO kArayet ca eva brahma pUjAm yaTAviDi /
   gandhapuṣpārcanairdānairmālyādyaiśca manoramaiḥ // GarP_1,129.2 //	ganDa puzpa arcanEH dAnEH mAlya AdyEH ca manoramEH // GarP_1,129.2 //
   sahomaiḥ pūjayeddevaṃ sarvānkāmānavāpnuyāt /	saha umEH pUjayet devam sarvAn kAmAn avApnuyAt /
   kārtike ta site 'ṣṭamyāṃ puṣpahārī ca vatsaram // GarP_1,129.3 //	kArtike te site azwamyAm puzpa hArI ca vatsaram // GarP_1,129.3 //
   puṣpādidātā rūpeṇa rūpabhāgī bhavennaraḥ /	puzpa Adi dAtA rUpeNa rUpa BAgI Bavet naraH /
   kṛṣṇapakṣe tṛtīyāyāṃ śrāvaṇe śrīdharaṃ śriyā // GarP_1,129.4 //	kRzNa pakze tRtIyAyAm SrAvaNe SrIDaram SriyA // GarP_1,129.4 //
   yajedaśūnyaśayyāyāṃ phalaṃ dadyāddvijātaye /	yajet aSUnya SayyAyAm Palam dadyAt dvijAtaye /
   śayyāṃ dattvā prārthayecca śrīdharāya namaḥ śriyai // GarP_1,129.5 //	SayyAm dattvA prArTayet ca SrIDarAya namaH SriyE // GarP_1,129.5 //
   umāṃśivaṃ hutāśaṃ ca tṛtīyāyāṃ ca pūjayet /	umA aMSivam hutASam ca tRtIyAyAm ca pUjayet /
   haviṣyamanna naivedya deya damanakaṃ tathā // GarP_1,129.6 //	havizyamat na nEvedya deya damanakam taTA // GarP_1,129.6 //
   caitrādau phalamāpnoti umayā me prabhāṣitam /	cEtra AdO Palam Apnoti umayA me praBAzitam /
   phālgunāditṛtīyāyāṃ lavaṇaṃ yastu varjayet // GarP_1,129.7 //	PAlguna Adi tRtIyAyAm lavaNam yaH tu varjayet // GarP_1,129.7 //
   samāpte śayanaṃ dadyādgṛhaṃ copaskarānvitam /	samApte Sayanam dadyAt gRham ca upaskara anvitam /
   saṃpūjya vipramithanaṃ bhavānī prīyatāmiti // GarP_1,129.8 //	saMpUjya vipramiTanam BavAnI prIyatAm iti // GarP_1,129.8 //
   gaurīloke vasennityaṃ saubhāgyakaramuttamam /	gOrI loke vaset nityam sOBAgya karam uttamam /
   gaurī kālī umā bhadrā durgā kāntiḥ sarasvatī // GarP_1,129.9 //	gOrI kAlI umA BadrA durgA kAntiH sarasvatI // GarP_1,129.9 //
   maṅgalā vaiṣṇavī lakṣmīḥ śivā nārāyaṇī kramāt /	maFgalA vEzNavI lakzmIH SivA nArAyaNI kramAt /
   mārgetṛtīyāmārabhya aviyogādimāpnuyāt // GarP_1,129.10 //	mArgetRtIyAm AraBya aviyoga Adim ApnuyAt // GarP_1,129.10 //
   caturthyāṃ sitamāghādau nirāhāro vratānvitaḥ /	caturTyAm sita mAGa AdO nirAhAraH vrata anvitaH /
   dattvā tilāṃstu viprāya svayaṃ bhuṅkte tilodakam // GarP_1,129.11 //	dattvA tilAn= tu viprAya svayam BuFkte tila udakam // GarP_1,129.11 //
   varṣadvaye samāptiśca nirvighnādiṃ samāpnuyāt /	varza dvaye samAptiH ca nirviGna Adim samApnuyAt /
   gaḥ svāhā mūlamantro 'yaṃ praṇavena samanvitaḥ // GarP_1,129.12 //	gaH svAhA mUlamantraH ayam praNavena samanvitaH // GarP_1,129.12 //
   glaiṃ glāṃhṛdaye gāṃ gīṃ hūṃ hrīṃ hrīṃ śiraḥ śikhā /	glEm glAMhRdaye gAm gIm hUm hrIm hrIm SiraH SiKA /
   gūṃ varma goṃ ca gaiṃ netraṃ goṃ ca āvāhanādiṣu // GarP_1,129.13 //	gUm varma gom ca gEm netram gom ca AvAhana Adizu // GarP_1,129.13 //
   āgaccholkāya ganandholkaḥ puṣpolko dhūpakolkakaḥ /	AgacCa ulkAya gananDA ulkaH puzpa ulkaH DUpaka ulkakaH /
   dīpolkāya maholkāya baliścātha visa (mār) janam // GarP_1,129.14 //	dIpa ulkAya mahA ulkAya baliH ca aTa visa (mAr) janam // GarP_1,129.14 //
   sidedholkāya ca gāyattrī (tra) nyāsoṃguṣṭhādirīritaḥ /	sideDa ulkAya ca gAyattrI (tra) nyAsa uMguzWa AdiH IritaH /
   oṃ mahākarṇāya vidmahe  vakratuṇḍāya dhīmahi  tanno dantiḥ pracodayāt //	om mahA karNAya vidmahe  vakratuNxAya DImahi  tannaH dantiH pracodayAt //
   GarP_1,129.15 //	GarP_1,129.15 //
   pūjayottilahomaiśca ete pūjyā gaṇāstathā /	pUjaya uttila homEH ca ete pUjyAH gaNAH taTA /
   gaṇāya gaṇapataye svāhā kūṣmāṇḍakāya ca // GarP_1,129.16 //	gaNAya gaNapataye svAhA kUzmANxakAya ca // GarP_1,129.16 //
   amogholkāyaikadantāya tripurāntakarūpiṇe /	amoGa ulkAya eka dantAya tripurAntaka rUpiNe /
   oṃ śyāma (va) dantavikarālāsyāhavepāya vai namaḥ // GarP_1,129.17 //	om SyAmaH (va) danta vikara AlAsya aha vepAya vE namaH // GarP_1,129.17 //
   padmadaṃṣṭāya svāhānte mudrā vai nartanaṃ gaṇe /	padma daMzwAya svAhA ante mudrA vE nartanam gaNe /
   hastatālaśca hasanaṃ saubhāgyādiphalaṃ bhavet // GarP_1,129.18 //	hasta tAlaH ca hasanam sOBAgya Adi Palam Bavet // GarP_1,129.18 //
   mārgaśīrṣe tathā śuklacaturthyāṃ pūjayedgaṇa /	mArgaSIrze taTA Sukla caturTyAm pUjayet gaNaH /
   abdaṃ prāpnoti vidyāśrīkīrtyāyuḥ putrasantatim // GarP_1,129.19 //	abdam prApnoti vidyA aSrI kIrti AyuH putra santatim // GarP_1,129.19 //
   somavāre caturthyāṃ ca samupoṣyārcayedgaṇam /	somavAre caturTyAm ca samupozya arcayet gaNam /
   japañjuhvatsmaranvidyā svargaṃ nirvāṇatāṃ vrajet // GarP_1,129.20 //	japan juhvat smaran vidyA svargam nirvANa tAm vrajet // GarP_1,129.20 //
   yajecchuklacaturthyāṃ yaḥ khaṇḍalaḍḍukamoda (maṇḍa) kaiḥ /	yajet Sukla caturTyAm yaH KaNxa laxxukamoda (maNxa) kEH /
   vighnācanena sarvānsa kāmānsaubhāgyamāpnuyāt // GarP_1,129.21 //	viGnAcanena sarvAn sa kAmAn sOBAgyam ApnuyAt // GarP_1,129.21 //
   putrādikaṃ damanakairdamanākhyā caturthyapi /	putra Adikam damanakEH damana AKyA caturTI api /
   āṃ gaṇapataye namaḥ caturthyantaṃ yajedgaṇam // GarP_1,129.22 //	Am gaNapataye namaH caturTI antam yajet gaNam // GarP_1,129.22 //
   māse tu yasminkasmiṃścijjuhuyādvā japetsmaret /	mAse tu yasmin kasmiMScid juhuyAt vA japet smaret /
   sarvānkāmānavāpnoti sarvavighnavināśanam // GarP_1,129.23 //	sarvAn kAmAn avApnoti sarva viGna vinASanam // GarP_1,129.23 //
   vināyakaṃ mūrtikādyaṃ yajedebhiśca nāmabhiḥ /	vinAyakam mUrtika Adyam yajet eBiH ca nAmaBiH /
   so 'pi sadgatimāpnoti svargamokṣasukhāni ca // GarP_1,129.24 //	saH api sat gatim Apnoti svarga mokza suKAni ca // GarP_1,129.24 //
   gaṇapūjyo vakratuṇḍa ekadaṃṣṭrī triyambakaḥ /	gaNa pUjyaH vakratuNxaH ekadaMzwrI triyambakaH /
   nīlagrīvo lambodaro vikaṭo vighnarājakaḥ // GarP_1,129.25 //	nIlagrIvaH lambodaraH vikawaH viGna rAjakaH // GarP_1,129.25 //
   dhūmravarṇo bhālacandro daśamasta vināyakaḥ /	DUmravarNaH BAlacandraH daSamaH ta vinAyakaH /
   gaṇapatirhastimukho dvādaśāre yajedgaṇam // GarP_1,129.26 //	gaNapatiH hastimuKaH dvAdaSa are yajet gaNam // GarP_1,129.26 //
   pṛthak samastaṃ madhāvī sarvānkāmāna vāpnuyāt /	pRTak samastam maDAvI sarvAn kAmAna vA ApnuyAt /
   śrāvaṇe cāśvine bhādre pañcamyāṃ kāttika śubhe // GarP_1,129.27 //	SrAvaNe ca ASvine BAdre paQcamyAm kAttika SuBe // GarP_1,129.27 //
   vāsukistakṣakaścaiva kālīyo maṇibhadrakaḥ /	vAsukiH takzakaH ca eva kAlIyaH maNiBadrakaH /
   airāvato dhṛtarāṣṭaḥ karkoṭakadhanañjayau // GarP_1,129.28 //	ErAvataH DRtarAzwaH karkowaka DanaQjayO // GarP_1,129.28 //
   ghṛtādyaiḥ snāpitā hyete āyurārogyasampadaḥ /	GRta AdyEH snApitAH hi ete AyuH Arogya sampadaH /
   anantaṃ vāsukiṃ śaṅkhaṃ padmaṃ kambalameva ca // GarP_1,129.29 //	anantam vAsukim SaFKam padmam kambalam eva ca // GarP_1,129.29 //
   tathā karkāṭakaṃ nāgaṃ dhṛtarāṣṭraṃ ca śaṅkhakam /	taTA karkAwakam nAgam DRtarAzwram ca SaFKakam /
   kālīyaṃ takṣakaṃ caiva piṅgalaṃ māsimāsi ca // GarP_1,129.30 //	kAlIyam takzakam ca eva piFgalam mAsimAsi ca // GarP_1,129.30 //
   yajedbhādrasite nāgānaṣṭau muktiṃ divaṃ vrajet /	yajet BAdra site nAgAn azwO muktim divam vrajet /
   dvārasyobhayato lekhyāḥ śrāvaṇe tu site yajet // GarP_1,129.31 //	dvArasya uBayatas leKyAH SrAvaNe tu site yajet // GarP_1,129.31 //
   pañcamyāṃ pūjayennāgānanantāndyānmahoragān /	paQcamyAm pUjayet nAgAn anantAn dyAt mahA uragAn /
   kṣīraṃ sarpiśca naivedyaṃ deyaṃ sarvaviṣāpaham /	kzIram sarpiH ca nEvedyam deyam sarva viza apaham /
   nāgā abhayahastāśca daṣṭoddhārātu pañcamī // GarP_1,129.32 //	nAgAH aBaya hastAH ca dazwa udDArAtu paQcamI // GarP_1,129.32 //
   iti śrīgāruḍe mahāpurāṇe pūrvakhaṇḍe prathamāṃśākhye ācārakāṇḍe	iti SrI gAruxe mahApurANe pUrva KaNxe praTama aMSa AKye AcAra kANxe
