   Kāvyaprakāśaḥ	KAvya prakASaH
        ṣāḍaguṇyānusṛtistasya satyaṃ sā niṣprayojanā //268//}	zAxaguNyA anusRtiH tasya satyam sA nizprayojanAH //268//}
                       (Govindaṭhakkura's Kāvyapradīpa 240)	(GA UvindaWak kura as KAvya pradIpaH 240)
   etat arthaśāstreṇa /	etat arTaSAstreNa /
   (10 ā)	(10 A)
        {vidhāya dūre keyūramanaṅgāṅgaṇamaṅganā /	{viDAya dUre keyUram anaFga aFgaNam aFganAH /
        babhāra kāntena kṛtāṃ karajollekhamālikām //269//}	baBAra kAntena kRtAm karaja ulleKa mAlikAm //269//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra keyūrapade nakhaksaṭaṃ na vihitamiti / etatkāmaśāstreṇa /	atra keyUra pade naKaksawam na vihitam iti / etad kAmaSAstreNa /
   (10 i)	(10 i)
        {kaṣṭāṅgayogapariśīlanakīlanena	{kazwa aFga yoga pariSIlana kIlanena
             duḥsādhasiddhisavidhaṃ vidadhadvidūre /	duHsADa sidDi saviDam vidaDat vidUre /
        āsādayannabhimatāmadhunā viveka 	AsAdayan= aBimatAm aDunA viveka 
        khyātiṃ samādhidhanamaulimarṇirvimuktaḥ //270//}	KyAtim samADi Dana mOlim arNiH vimuktaH //270//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra vivekakhyātistataḥ saṃprajñātasamādhiḥ paścādasaṃprajñātastato	atra viveka KyAtiH tatas saMprajQAta samADiH paScAt asaMprajQAtaH tatas 
   muktirna tu vivekakhyātau / etat yogaśāstreṇa //	muktiH na tu viveka KyAtO / etat yoga SAstreNa //
   evaṃ vidyāntarairapi viruddhamudāhāryam //	evam vidyA antarEH api virudDam udAhAryam //
   (11) [anavīkṛtaḥ]	(11) [anavIkRtaH]
        {prāptāḥ śriyaḥ sakalakāmadughāstataḥ kim	{prAptAH SriyaH sakala kAma duGAH tatas kim
             dattaṃ padaṃ śirasi vidviṣatāṃ tataḥ kim /	dattam padam Sirasi vidvizatAm tatas kim /
        saṃtarpitāḥ praṇayino vibhavaistataḥ kim	saMtarpitAH praNayinaH viBavEH tatas kim
             kalpaṃ sthitaṃ tanubhṛtāṃ tanubhistataḥ kim //271//}	kalpam sTitam tanuBRtAm tanuBiH tatas kim //271//}
                       (Bhartṛhari's Vairāgyaśataka 67)	(BhartR hari as VErAgya SatakaH 67)
   atra tataḥ kimiti na navīkṛtam / tattu yathā	atra tatas kim iti na navIkRtam / tat tu yaTA
        {yadi dahatyanalotra kimadbhutaṃ yadi ca gauravamadriṣu kiṃ tataḥ /	{yadi dahati analotra kim adButam yadi ca gOravam adrizu kim tatas /
        lavaṇamambu sadaiva mahodadheḥ prakṛtireva satāmaviṣāditā //272//}	lavaNam ambu sadA eva mahA udaDeH prakRtiH eva satAm avizAditA //272//}
                       (Ānandavardhana's Deviśataka)	(Ānanda varDana as Devi Sataka)
   (12) [saniyamaparivṛttaḥ]	(12) [saniyama parivRttaH]
        {yatrānullikhitārthameva nikhilaṃ nirmāṇametadvidher 	{yatra anulliKita arTam eva niKilam nirmANam etat viDeH  
             utkarṣapratiyogikalpanamapi nyakkārakoṭiḥ parā /	utkarza pratiyogi kalpanam api nyakkAra kowiH parA /
        yātāḥ prāṇabhṛtāṃ manorathagatīrullaṅghya yatsaṃpadas	yAtAH prANaBRtAm manoraTa gatIH ullaFGya yat saMpadas
             tasyābhāsamaṇīkṛtāśmasumaṇeraśmatvamevocitam //273//}	tasya ABAsa maNIkRta aSma su maNeH aSma tvam eva ucitam //273//}
                       (Kuntaka's Vakroktijīvita [1.29])	(Kuntaka as Vakrokti jIvitaH [1.29])
   atra {chāyāmātramaṇīkṛtāśmasu maṇestasyāśmataivocitā} iti saniyamatvaṃ	atra {CAyA mAtra maNIkRta aSmasu maNeH tasya aSmatA eva ucitA} iti sa niyama tvam
   vācyam //	vAcyam //
   (13) [aniyamaparivṛttaḥ]	(13) [aniyama parivRttaH]
        {vaktrāmbhojaṃ sarasvatyadhivasati sadā śoṇa evādharaste	{vaktra amBojam sarasvatI aDivasati sadA SoNaH eva aDaraH te
             bāhuḥ kākutsthavīryasmṛtikaraṇapaṭurdakṣiṇaste samudraḥ /	bAhuH kAkutsTa vIrya smRti karaNa pawuH dakziNaH te samudraH /
        vāhinyaḥ pārśvametāḥ kṣaṇamapi bhavato naiva muñcantyabhīkṣaṇaṃ	vAhinyaH pArSvam etAH kzaNam api BavataH na eva muQcanti aBIkzaNam
             svacchentarmānasesmin kathamavanipate tembupānābhilāṣaḥ //274//}	svacCentar mAnasa Ismin kaTam avanipate tembu pAna aBilAzaH //274//}
                       (Ballāla's Bhojaprabandha 230)	(BallAla as Bhoja prabanDaH 230)
   atra {śoṇa eva} iti niyamo na vācyaḥ //	atra {SoNaH eva} iti niyamaH na vAcyaH //
   (14) [viśeṣaparivṛttaḥ]	(14) [viSeza parivRttaH]
        {śyāmāṃ śyāmalimānamānayata bhoḥ sāndrairmaṣīkūrcakair	{SyAmAm SyAmalimAnam Anayata BoH sAndrEH mazI kUrcakEH 
             mantraṃ tantramatha prayujya harata śvetotpalānāṃ śriyam /	mantram tantram aTa prayujya harata Sveta utpalAnAm Sriyam /
        candraṃ carṇayata kṣaṇācca kaṇaśaḥ kṛtvā śilāpaṭṭake	candram carNayata kzaNAt ca kaNaSas kRtvA SilA pawwake
             yena draṣṭumahaṃ kṣame daśa diśastadvaktramudrāṅkitāḥ //275//}	yena drazwum aham kzame daSa diSaH tad vaktra mudrA aFkitAH //275//}
                       (Rājaśekhara's Viddhaśālabhañjikā 3.1)	(RA aja SeKara as VidDa SAlaBaQjikA 3.1)
   atra 'jyautsnīm'; iti śyāmāviśeṣo vācyaḥ //	atra ajya otsnIm a; iti SyAmA viSezaH vAcyaH //
   (15) [aviśeṣaparivṛttaḥ]	(15) [a viSeza parivRttaH]
        {kallolavellitadṛṣatparuṣaprahārai	{kat lola vellita dRzat paruza prahArE
             ratnānyamūni makarālaya māvamaṃsthāḥ /	ratnAni amUni makara Alaya mA avamaMsTAH /
        kiṃ kaustubhena vihito bhavato na nāma	kim kOstuBena vihitaH BavataH na nAma
             yā[ñc]āprasāritakaraḥ puruṣottame 'pi //276//}	yA[Qc]A prasArita karaH puruzottame api //276//}
                       (Bhallaṭaśataka 62)	(Bhat lawa SatakaH 62)
   atra {ekena kiṃ na vihito bhavataḥ sa nāma} iti sāmānyaṃ vācyam /	atra {ekena kim na vihitaH BavataH sa nAma} iti sAmAnyam vAcyam /
   (16) [sākāṅkṣaḥ]	(16) [sAkAFkzaH]
        {arthitve prakaṭīkṛte 'pi na phalaprāptiḥ prabhoḥ pratyuta	{arTi tve prakawIkRte api na Pala prAptiH praBoH pratyuta
             druhyan dāśarathirviruddhacarito yuktastayā kanyayā /	druhyan dASaraTiH virudDa caritaH yuktaH tayA kanyayA /
        utkarṣaṃ ca parasya mānayaśasorvisraṃsanaṃ cātmanaḥ	utkarzam ca parasya mAna yaSasoH visraMsanam ca AtmanaH
             strīratnaṃ ca jagatpatirdaśamukho devaḥ kathaṃ mṛṣyate //277//}	strI ratnam ca jagatpatiH daSamuKaH devaH kaTam mRzyate //277//}
                       (Bhavabhtūti's Mahāvīracarita 2.9)	(BhavaBtUti as MahAvIra caritaH 2.9)
   atra strīratnam 'upeks.itum'; ityākāṅkṣati / nahi parasyetyanena saṃbandho	atra strI ratnam aupeks.itum a; iti AkAFkzati / na hi parasya iti anena saMbanDaH 
   yogyaḥ //	yogyaH //
   (17) [apadayuktaḥ]	(17) [apada yuktaH]
        {ājñā śakraśikhāmaṇipraṇayinī śāstrāṇi cakṣurnavaṃ	{AjQA Sakra SiKA maNi praNayinI SAstrANi cakzuH navam
             bhaktirbhūtapatau pinākini padaṃ laṅketi divyā purī /	BaktiH BUtapatO pinAkini padam laFkA iti divyA purI /
        utpattirdruhiṇānvaye ca tadaho nedṛgvaro labhyate	utpattiH druhiNA anvaye ca tat aho na IdRgvaraH laByate
             syāccedeṣa na rāvaṇaḥ kva nu punaḥ sarvatra sarve guṇāḥ //278//}	syAt ced eza na rAvaNaH kva nu punar sarvatra sarve guNAH //278//}
                       (Rājaśekhara's Bālarāmāyaṇa 1.36)	(RA aja SeKara as BAla rAmAyaNa 1.36)
   atra 'syāccedeṣa na rāvaṇaḥ'; ityatra eva samāpyam //	atra asya acced eza na rAvaNaH a; iti atra eva samApyam //
   (18) [sahacarabhinnaḥ]	(18) [sahacara BinnaH]
        {śrutena buddhirvyasanena mūrkhatā madena nārī salilena nimnagā /	{Srutena budDiH vyasanena mUrKa tA madena nArI salilena nimnagA /
        niśā śaśāṅkena dhṛtiḥsamādhinā nayena cālaṅkriyate narendratā	niSA SaSAFkena DRtiH samADinA nayena ca alaFkriyate narendra tA
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 140)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 140)
   atra śrutādibhirutkṛṣṭaiḥ	atra Sruta AdiBiH utkRzwEH
   sahacaritairvyasanamūrkhatayornikṛṣṭayorbhinnatvam /	sahacaritEH vyasana mUrKa tayoH nikRzwayoH Binna tvam /
   (19) [prakāśitaviruddhaḥ]	(19) [prakASita virudDaH]
        {lagnaṃ rāgāvṛtāṅgyā  ....... //280[=241]//}	{lagnam rAga AvRta aFgyA ....... //280[=241]//}
        [lagnaṃ rāgāvṛtāṅgyā sudṛḍhamiha yayaivāsiyaṣṭyārikaṇṭhe	[lagnam rAga AvRta aFgyA su dRXam iha yayA eva asiyazwyA arikaNWe
             mātaṅgānāmapīhopari parapuruṣairyā ca dṛṣṭā patantī /	mAtaFgAnAm api iha upari para puruzEH yA ca dRzwA patantI /
        tatsakto 'yaṃ na kiñcidgaṇayati viditaṃ testu tenāsmi dattā	tad saktaH ayam na kiQcid gaNayati viditam teH tu tena asmi dattA
             bhṛtyebhyaḥ śrīniyogādgaditumiva gatetyambudhiṃ yasya kīrtiḥ	BRtyeByaH SrI niyogAt gaditum iva gatA iti ambuDim yasya kIrtiH
                       (Veṇidatta's Padyaveṇī 2)	(VeNi datta as PadyaveNI 2)
   ityatra viditaṃ testvityanena śrīstasmādapasaratīti viruddhaṃ prakāśyate	iti atra viditam teH tu iti anena SrIH tasmAt apasarati iti virudDam prakASyate
   (20) [vidhyayuktaḥ]	(20) [viDya yuktaH]
        {prayatnaparibodhitaḥ stutibhiradya śeṣe niśā 	{prayatna pariboDitaH stutiBiH adya Seze niSA 
             makeśavamapāṇḍavaṃ bhuvanamadya niḥsomakam /	makeSavama pANxavam Buvanam adya niHsomakam /
        iyaṃ parisamāpyate raṇakathādya doḥśālinā 	iyam parisamApyate raNa kaTA adya doHSAlinA 
             mapaitu ripukānanātigururadya bhāro bhuvaḥ //281//}	mapa etu ripu kAnana ati guruH adya BAraH BuvaH //281//}
                       (Bhaṭṭanārāyaṇa's Veṇīsaṃhāra 3.34)	(Bhawwa nArAyaNa as VeNI saMhAraH 3.34)
   atra {śayitaḥ prayatnena bodhyase} iti vidheyam / yathā vā	atra {SayitaH prayatnena boDyase} iti viDeyam / yaTA vA
        {vātāhāratayā jagadviṣadharairāśvāsya niḥśaṣitaṃ	{vAta AhAra tayA jagat vizaDarEH ASvAsya niHSazitam
             te grastāḥ punarabhratoyakaṇikātīvravratairbarhibhiḥ /	te grastAH punar aBra toya kaNikA tIvra vratEH barhiBiH /
        te 'pi kruracamūrucarmavasanairnītāḥ kṣayaṃ lubdhakair 	te api kruracam Uru carma vasanEH nItAH kzayam lubDakEH  
             dambhasya sphuritaṃ vidannapi jano jālmo guṇānīhate //282//}	damBasya sPuritam vidan= api janaH jAlmaH guNAnI hate //282//}
                       (Bhallaṭaśataka 87)	(Bhat lawa SatakaH 87)
   atra vātāhārāditrayaṃ vyutkrameṇa vācyam //	atra vAta AhAra Adi trayam vyutkrameNa vAcyam //
   (21) [anuvādāyuktaḥ]	(21) [anuvAda AyuktaH]
        {are rāmāhastābharaṇa bhasalaśreṇiśaraṇa	{are rAma Ahasta ABaraNa Basala SreNi SaraNa
             smarakrīḍāvrīḍāśamana virahiprāṇadamana /	smara krIxA vrIxA Samana virahi prANa damanaH /
        sarohaṃsottaṃsa pracaladala nīlotpala sakhe	saraH haMsa uttaMsa pracaladala nIlotpala saKe
             sakhedo 'haṃ mohaṃ ślathaya kathaya kvenduvadanā //283//}	sa KedaH aham moham SlaTaya kaTaya kva indu vadanAH //283//}
                       (Kālidāsa's Vikramorvaśīya)	(KAli dAsa as Vikrama urvaSIya)
   atra 'vihahiprāṇadamana'; iti nānuvādyam //	atra avihahi prANa damana a; iti na anuvAdyam //
   (22) [tyaktapunaḥsvīkṛtaḥ]	(22) [tyakta punar svIkRtaH]
        {lagnaṃ rāgāvṛtāṅgyetyādi //284=41//}	{lagnam rAga AvRta aFgyA ityAdi //284=41//}
        [lagnaṃ rāgāvṛtāṅgyā sudṛḍhamiha yayaivāsiyaṣṭyārikaṇṭhe	[lagnam rAga AvRta aFgyA su dRXam iha yayA eva asiyazwyA arikaNWe
             mātaṅgānāmapīhopari parapuruṣairyā ca dṛṣṭā patantī /	mAtaFgAnAm api iha upari para puruzEH yA ca dRzwA patantI /
        tatsakto 'yaṃ na kiñcidgaṇayati viditaṃ testu tenāsmi dattā	tad saktaH ayam na kiQcid gaNayati viditam teH tu tena asmi dattA
             bhṛtyebhyaḥ śrīniyogādgaditumiva gatetyambudhiṃ yasya kīrtiḥ	BRtyeByaH SrI niyogAt gaditum iva gatA iti ambuDim yasya kIrtiH
                       (Veṇidatta's Padyaveṇī 2)	(VeNi datta as PadyaveNI 2)
   atra {viditaṃ testu} ityupasaṃhṛto 'pi tenetyādinā punarupāttaḥ //	atra {viditam teH tu} iti upasaMhRtaH api tena ityAdinA punar upAttaH //
   (23) [aślīlaḥ]	(23) [a SlIlaH]
        {hantumeva pravṛttasya stabdhasya vivaraiṣiṇaḥ /	{hantum eva pravRttasya stabDasya vivara eziNaH /
        yathāsya jāyate pāto na tathā punarunnatiḥ //285//}	yaTA asya jAyate pAtaH na taTA punar unnatiH //285//}
                       (Bhāmaha's Kāvyālaṅkāra 1.51)	(BhAmaha as KAvyAlaFkAraH 1.51)
   atra puṃvyañjanasyāpi pratītiḥ //	atra puMvyaQjanasya api pratItiH //
   yatraiko doṣaḥ pradarśitastatra doṣāntarāṇyapi santi tathāpi teṣāṃ	yatra ekaH dozaH pradarSitaH tatra doza antarANi api santi taTA api tezAm
   tatrāprakṛtatvātprakāśanaṃ na kṛtam //55 57//	tatra aprakRta tvAt prakASanam na kRtam //55 57//
   karṇāvataṃsādipade karṇādidhvaninirmitiḥ /	karNa avataMsa Adi pade karNa Adi Dvani nirmitiH /
   saṃnidhānādibodhārthaṃ ...	saMniDAna Adi boDa arTam ...
   avataṃsādīni karṇādyābharaṇānyevocyante / tatra karṇādiśabdāḥ	avataMsa AdIni karNa Adi ABaraNAni eva ucyante / tatra karNa Adi SabdAH
   karṇādisthitipratipattaye / yathā	karNa Adi sTiti pratipattaye / yaTA
        {asyāḥ karṇāvataṃsena jitaṃ sarvaṃ vibhūṣaṇam /	{asyAH karNa avataMsena jitam sarvam viBUzaNam /
        tathaiva śobhatetyarthamasyāḥ śravaṇakuṇḍalam //286//}	taTA eva SoBata iti arTam asyAH SravaNa kuNxalam //286//}
                       (Vāmana's Kāvyālaṅkārasūtravṛtti 2,2.14)	(VAmana as KAvya alaFkAra sUtra vRtti 2,2.14)
        {apūrvamadhurāmodapramoditadiśastataḥ /	{a pUrva maDura Amoda pramodita diSaH tatas /
        āyayurbhṛṅgamukharāḥ śiraḥśekharaśālinaḥ //287//}	AyayuH BRFga muKarAH SiraH SeKara SAlinaH //287//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra karṇaśravaṇaśiraḥśabdāḥ saṃnidhānapratītyarthāḥ //	atra karNa SravaNa SiraH SabdAH saMniDAna prati iti arTAH //
        {vidīrṇābhimukhārātikarāle saṃgarāntare /	{vidIrNa aBimuKa arAti karAle saMgara antare /
        dhanurjyākiṇacihnena doṣṇā visphuritaṃ tava //288//}	DanuH jyAkiNa cihnena dozNA visPuritam tava //288//}
                       (Vāmana's Kāvyālaṅkārasūtravṛtti 2,2.13)	(VAmana as KAvya alaFkAra sUtra vRtti 2,2.13)
   atra dhanuḥśabda ārūṭhatvāvagataye //	atra DanuH SabdaH ArUWa tva avagataye //
   anyatra tu	anyatra tu
        {jyābandhaniṣpandabhujena yasya viniśvamadvaktraparaṃpareṇa /	{jyA banDa nizpanda Bujena yasya viniSvamat vaktra paraMpareNa /
        kārāgṛhe nirjitavāsavane laṅkeśvareṇoṣitamā prasādāt //289//}	kArA gRhe nirjita vAsavane laFkeSvareNa uzitamA prasAdAt //289//}
                       (Kālidāsa's Raghuvaṃśa 6.20)	(KAli dAsa as RaGu vaMSaH 6.20)
   ityatra kevalo jyāśabdaḥ /	iti atra kevalaH jyA SabdaH /
        {prāṇeśvarapariṣvaṅgavibhramapratipattibhiḥ /	{prANeSvara parizvaFga viBrama pratipattiBiH /
        muktāhāreṇa lasatā hasatīva stanadvayam //290//}	muktA hAreNa lasatA hasati iva stana dvayam //290//}
                       (Vāmana's Kāvyālaṅkārasūtravṛtti 2,2.15)	(VAmana as KAvya alaFkAra sUtra vRtti 2,2.15)
   atra muktānāmanyaratnāmiśritatvabodhanāya muktāśabdaḥ /	atra muktAnAm anya ratna AmiSrita tva boDanAya muktA SabdaH /
        {saundaryasaṃpat tāruṇyaṃ yasyāste te ca vibhramāḥ /	{sOndarya saMpad tAruNyam yasyAH te te ca viBramAH /
        ṣaṭpadān puṣpamāleva kān nākarṣati sā sakhe //291//}	zawpadAn puzpa mAlA iva kAn na Akarzati sA saKe //291//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atrotkṛṣṭapuṣpaviṣaye puṣpaśabdaḥ / nirupapado hi mālāśabdaḥ	atra utkRzwa puzpa vizaye puzpa SabdaH / nirupapadaH hi mAlA SabdaH
   puṣpasrajamevābhidhatte //	puzpasrajam eva aBiDatte //
   ... sthiteṣvetatsamarthanam // MKpr K_58 //	... sTitezu etat samarTanam // MKpr K_58 //
        {na khalu karṇāvataṃsādivajjaghanakāñcītyādi kriyate /	{na Kalu karNa avataMsa Adi vat jaGana kAQcI ityAdi kriyate /
        jagāda madhurāṃ vācaṃ viśadākṣaraśālinīm //292//}	jagAda maDurAm vAcam viSada akzara SAlinIm //292//}
                       (Vāmana's Kāvyālaṅkārasūtravṛtti 2,2.18)	(VAmana as KAvya alaFkAra sUtra vRtti 2,2.18)
   ityādau kriyāviśeṣaṇatve 'pi vivakṣitārthapratītisiddhau {gatārthasyāpi	ityAdO kriyA viSezaNa tve api vivakzita arTa pratIti sidDO {gata arTasya api
   viśeṣyasya viśeṣaṇadānārthaṃ kvacitprayogaḥ kāryaḥ} iti na yuktam /	viSezyasya viSezaNa dAna arTam kvacid prayogaH kAryaH} iti na yuktam /
   yuktatve vā	yukta tve vA
        {caraṇatraparitrāṇarahitābhyāmapi drutam /	{caraNa tra pari trANa rahitAByAm api drutam /
        pādābhyāṃ dūramadhvānaṃ vrajanneṣa na khidyate //293//}	pAdAByAm dUram aDvAnam vrajan= eza na Kidyate //293//}
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   ityudāhāryam //58//	iti udAhAryam //58//
   khyāte 'rthe nirhetoraduṣṭatā  ...	KyAte arTe nirhetoH aduzwa tA ...
   yathā	yaTA
        {candraṃ gatā padmaguṇānna bhuṅkte padmāśritā cāndramasīmabhikhyām /	{candram gatA padma guNAn na BuFkte padma ASritA cAndramasIm aBiKyAm /
        umāmukhaṃ tu pratipadya lolā dvisaṃśrayāṃ prītimavāpa lakṣmīḥ	umA muKam tu pratipadya lolA dvi saMSrayAm prItim avApa lakzmIH
                       (Kālidāsa's Kumārasaṃbhava 1.43)	(KAli dAsa as KumAra saMBavaH 1.43)
   atra rātrau padmasya saṃkocaḥ divā candramasaśca niṣprabhatvaṃ	atra rAtrO padmasya saMkocaH divA candramasaH ca nizpraBa tvam
   lokaprasiddhamiti 'na bhuṅkte '; iti hetuṃ nāpekṣate //	loka prasidDam iti anaH BuFkte a; iti hetum na apekzate //
   ... anukaraṇe tu sarveṣām /	... anukaraNe tu sarvezAm /
   sarveṣāṃ śrutikaṭuprabhṛtīnāṃ doṣāṇām / yathā	sarvezAm Sruti kawu praBRtInAm dozANAm / yaTA
        {mṛgacakṣuṣamadrākṣamityādi kathayatyayam /	{mRga cakzuzam adrAkzam ityAdi kaTayati ayam /
        paśyaiṣa ca gavityāha sūtrāmāṇaṃ yajeta ca //295//}	paSya eza ca gaviti Aha sUtrAmANam yajeta ca //295//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 147)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 147)
   vaktrādyaucityavaśāddoṣo 'pi guṇaḥ kvacitkvacinnobhau // MKpr K_59 //	vaktra Adi Ocitya vaSAt dozaH api guNaH kvacid kvacit noBO // MKpr K_59 //
   vakṛpratipādyavyaṅgavācyaprakaraṇādīnāṃ mahimnā doṣo 'pi kvacidaguṇaḥ	vakR prati pAdI a vyaFga vAcya prakaraNa AdInAm mahimnA dozaH api kvacid aguNaH
   kvacinna doṣo na guṇaḥ / tatra vyākaraṇādau vaktari pratipādye ca	kvacid na dozaH na guNaH / tatra vyAkaraNa AdO vaktari pratipAdye ca
   raudrādau ca rase vyaṅge kaṣṭatvaṃ guṇaḥ / krameṇodāharaṇam     	rOdra AdO ca rase vyaFge kazwa tvam guNaH / krameNa udAharaNam     
        {dīrghīṅvevīṅsamaḥ kaścidguṇavṛddhyorabhājanam /	{dIH GIFu evIFsamaH kaScid guNa vRdDyoH aBAjanam /
        kvippratyayanibhaḥ kaścidyatra saṃnihite na te //296//}	kvippratyaya niBaH kaScid yatra saMnihite na te //296//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 43)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 43)
        {yadā tvāmahamadrākṣaṃ padavidyāviśāradam /	{yadA tvAm aham adrAkzam pada vidyA viSAradam /
        upādhyāyaṃ tadāsmārṣaṃ samasprākṣaṃ ca saṃmadam //297//}	upADyAyam tadA asmArzam sama sprAkzam ca saMmadam //297//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 149)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 149)
        {antraprotabṛhatkapālanalakakrūrakvaṇatkaṅkaṇa 	{antra prota bRhat kapAla nala kakrUra kvaNat kaFkaNa 
             prāyapreṅkhitabhūribhūṣaṇaravairāghoṣayantyambaram /	prAya preFKita BUri BUzaNa ravEH AGozayanti ambaram /
        pītaccharditaraktakardamaghanaprāgbhāraghorollasa 	pIta= Cardita rakta kardama Gana prAgBAra Gora ullasa 
             dvyālolastanabhārabhairavavapurdarpoddhataṃ dhāvati //298//}	dvi Alola stana BAra BErava vapuH darpa udDatam DAvati //298//}
                       (Bhavabhtūti's Mahāvīracarita 1.35)	(BhavaBtUti as MahAvIra caritaH 1.35)
   vācyavaśādyathā	vAcya vaSAt yaTA
        {mātaṅgāḥ kimu vilgitaiḥ kimaphalairāḍambarairjambukāḥ	{mAtaFgAH kimu vilgitEH kim aPalEH AxambarEH jambukAH
             sāraṅgā mahiṣā madaṃ vrajatha kiṃ śūnyeṣu śarā na ke /	sAraFgAH mahizAH madam vrajaTa kim SUnyezu SarAH na ke /
        kopāṭopasamudbhaṭotkaṭasaṭākoṭeribhāreḥ puraḥ	kopa Awopa samudBawa utkawa sawA koweri BAreH puras 
             sindhudhvānini huṅkṛte sphurati yat tadgarjitaṃ garjitam	sinDuDvAnini huFkRte sPurati yat tad garjitam garjitam
                       (Govindaṭhakkura's Kāvyapradīpa)	(GA UvindaWak kura as KAvya pradIpa)
   atra siṃhe vācye paruṣāḥ śabdāḥ //	atra siMhe vAcye paruzAH SabdAH //
   prakaraṇavaśādyathā	prakaraNa vaSAt yaTA
        {raktāśoka kṛśodarī kka nu gatā tyaktvānuraktaṃ janaṃ	{rakta aSoka kRSa udarI kkaH nu gatA tyaktvA anuraktam janam
             no dṛṣṭeti mudhaiva cālayasi kiṃ vātāvadhūtaṃ śiraḥ /	naH dRzwA iti muDA eva cAlayasi kim vAta avaDUtam SiraH /
        utkaṇṭhāghaṭamānaṣaḍpadaghaṭāsaṃghaṭṭadaṣ.ṭacchada 	utkaNWA GawamAna zaxpada GawA saMGawwa daz.wa= Cada 
             statpādāhatimantareṇa bhavataḥ puṣpodgamo 'yaṃ kutaḥ //300//}	stad pAda Ahatim antareNa BavataH puzpa udgamaH ayam kutas //300//}
                       (Kālidāsa's Vikramorvaśīya 4)	(KAli dAsa as Vikrama uH vaSIya 4)
   atra śirodhūnanena kupitasya vacasi //	atra SiraH DUnanena kupitasya vacasi //
   kvacinnīrase na guṇo na doṣaḥ / yathā	kvacid nI rase na guNaH na dozaH / yaTA
        {śīrṇaghrāṇāṅghrapāṇīn vraṇibhirapaghanairgharāvyaktaghoṣān	{SIrNa GrANa aFGra pANIn vraNiBiH apaGanEH Gara avyakta GozAn
             dīrghāghrātānaghaughaiḥ punarapi ghaṭayatyeka ullāghayan yaḥ /	dIrGa AGrAta an aGa oGEH punar api Gawayati ekaH ullAGayan yaH /
        gharmāṃśostasya vontardviguṇaghanaghṛṇānighnanirvighnavṛtter	GarmAMSoH tasya vontar dviguNa Gana GRNA niGna nirviGna vRtteH 
             dattārghāḥ siddhasaṃghairvidadhatu ghṛṇayaḥ śīghramaṃhovighātam	datta arGAH sidDa saMGEH vidaDatu GRNayaH SIGram aMhaH viGAtam
                       (Mayūra's Sūryaśataka 6)	(MayUra as SUrya SatakaH 6)
   aprayuktanihatārthau śleṣādāvaduṣṭau / yathā	aprayukta nihata arTO Sleza AdO= aduzwO / yaTA
        {yena dhvastamanobhavena balijitkāyaḥ purā strīkṛto	{yena Dvasta manoBavena bali jit kAyaH purA strI kRtaH 
             yaścoddhṛttabhujaṅgahāravalayogaṅgāṃ ca yodhārayat /	yaH ca udDRtta BujaFga hAra vala yogaFgAm ca yoDArayat /
        yasyāhuḥ śaśimacchirohara iti syutyaṃ ca nāmāmarāḥ	yasya AhuH SaSimat SiraH haraH iti syutyam ca nAma amarAH
             pāyātsa svayamandhakakṣayakarastvāṃ sarvadomādhavaḥ //302//}	pAyAt sa svayam anDaka kzaya karaH tvAm sarva domADavaH //302//}
                       (Vallabhadeva's Subhāṣitāvali ; Abhinavagupta's	(VallaBa deva as SuBa Azita Avali ; ABinava gupta as
   Dhvanyālokalocana [2.21,22])	Dhvani Aloka locanaH [2.21,22])
   atra mādhavapakṣe śaśimadandhakakṣayaśabdāprayuktanihatārthau //	atra mADava pakze SaSimad anDaka kzaya Sabda aprayukta nihata arTO //
   aślīlaṃ kvacidguṇaḥ / yathā suratārambhagoṣṭhyām {dvyartheḥ	aSlIlam kvacid guNaH / yaTA surata AramBa gozWyAm {dvi arTeH
   padaiḥ piśunayecca rahasyavastu} iti kāmaśāstrasthitau	padEH piSunayet ca rahasya vastu} iti kAmaSAstra sTitO
        {karihastena saṃbādhe praviśyāntarviloḍite /	{kari hastena saMbADe praviSya antar viloxite /
        upasarpan dhvajaḥ puṃsaḥ sādhanāntarvirājate //303//}	upasarpan DvajaH puMsaH sADana antar virAjate //303//}
                       (Śrivatsalāñchanācārya's Kāvyaparīkṣā 154)	(Śrivatsa lAQCana AcArya as KAvya parIkzA 154)
   śamakathāsu	Sama kaTAsu
