   athaikonatriṃśaṃ pūraṇam	aTa-ekonatriMSam pUraNam
   tad-anubhavopary apy anubhavanīya ity arthaḥ | tapomayī iti	tat--anuBava-upari api anuBavanIyaH iti arTaH | tapaH-mayI iti
   pāramaiśvaryamayīty arthaḥ | yāṃ	pAramESvarya-mayI-iti arTaH | yAm
   na vidmaḥ iti brahmāpi durjñeyatayā na samyak prakāśayatīti bhāvaḥ |	na vidmaH iti brahmA-api durjQeya-tayA na samyak prakASayati-iti BAvaH |
   [80] atha vṛndā punar vācitavatī śrī-bhāgavate-	[80] aTa vRndA punar vAcitavatI SrI--BAgavate-
   nandas tv atīndriyaṃ dṛṣṭvā loka-pāla-mahodayam |	nandaH tu atIndriyam dRzwvA loka-pAla--mahA-udayam |
   kṛṣṇe ca sannatiṃ teṣāṃ jñātibhyo vismito'bravīt ||	kRzNe ca sannatim tezAm jQAtiByaH vismitaH-abravIt ||
   te cautsukya-dhiyo rājan matvā gopās tam īśvaram |	te ca-Otsukya-DiyaH rAjan matvA gopAH tam ISvaram |
   api naḥ svagatiṃ sūkṣmām upādhāsyad adhīśvaram ||	api naH sva-gatim sUkzmAm upADAsyat aDISvaram ||
   iti svānāṃ sa bhagavān vijñāyākhila-dṛk svayam |	iti svAnAm sa BagavAn vijQAya-aKila--dRS svayam |
   saṅkalpa-siddhaye teṣāṃ kṛpayaitad acintayat ||	saFkalpa--sidDaye tezAm kRpayA-etat acintayat ||
   jano vai loka etasminn avidyā-kāma-karmabhiḥ |	janaH vE loke etasmin avidyA-kAma--karmaBiH |
   uccāvacāsu gatiṣu na veda svāṃ gatiṃ bhraman ||	uccAvacAsu gatizu na veda svAm gatim Braman ||
   iti sañcintya bhagavān mahā-kāruṇiko hariḥ |	iti saQcintya BagavAn mahA-kAruNikaH hariH |
   darśayāmāsa lokaṃ svaṃ gopānāṃ tamasaḥ param ||	darSayAmAsa lokam svam gopAnAm tamasaH param ||
   satyaṃ jñānam anantaṃ yad brahma-jyotiḥ sanātanam |	satyam jQAnam anantam yat brahma-jyotiH sanAtanam |
   yad dhi paśyanti munayo guṇāpāye samāhitāḥ ||	yat Di paSyanti munayaH guNa-apAye samAhitAH ||
   te tu brahma-hradaṃ nītā magnāḥ kṛṣṇena coddhṛtāḥ |	te tu brahma-hradam nItAH magnAH kRzNena ca-udDRtAH |
   dadṛśur brahmaṇo lokaṃ yatrākrūro'dhyagāt purā ||	dadRSuH brahmaNaH lokam yatra-akrUraH-aDyagAt purA ||
   nandādayas tu taṃ dṛṣṭvā paramānanda-nirvṛtāḥ |	nanda-AdayaH tu tam dRzwvA parama-Ananda--nirvRtAH |
   kṛṣṇaṃ ca tatra cchandobhiḥ stūyamānaṃ suvismitāḥ || [10.28.10-17]	kRzNam ca tatra cCandoBiH stUyamAnam su-vismitAH || [10.28.10-17]
   [81] atha vṛndā vadati sma-kim atra sukha-satram āyātam ?	[81] aTa vRndAH vadati sma-kim atra suKa--satram AyAtam ?
   [82] pūrṇimovāca-tad evaṃ yan-nija-padaṃ teṣām evāspadatayā teṣām eva	[82] pUrNimA-uvAca--tat evam yan-nija--padam tezAm eva-Aspada-tayA tezAm eva
   dṛṣṭi-padam akārṣīt tad eva paścād vyatārīd iti tatra parāmṛśyate | tatra	dRzwi-padam akArzIt tat eva paScAt vyatArIt iti tatra parAmRSyate | tatra
   te tu brahma-hradaṃ nītāḥ ity atra yatrākrūraḥ stutavāṃs taṃ brahma-hradaṃ	te tu brahma-hradam nItAH iti atra yatra-akrUraH stutavAn tam brahma-hradam
   kṛṣṇena tat-tīrtha-mahimānaṃ lakṣyaṃ vidhātuṃ nītā magnāś ca punaḥ	kRzNena tat-tIrTa--mahimAnam lakzyam viDAtum nItAH magnAH ca punar-
   kṛṣṇenaivoddhṛtya vṛndāvanam ānītās tasminn	kRzNena-eva-udDRtya vRndAvanam AnItAH tasmin=-
   eva narākṛti-para-brahmaṇas tasya lokaṃ dadṛśur na tv akrūravaj	eva nara-AkRti-para-brahmaNaH tasya lokam dadRSuH na tu akrUra-vaj
   jala-madhya iti na cānyatheti ca gamyate | purā ity etat-prasaṅgād	jala--maDye iti na ca-anyaTA-iti ca gamyate | purA iti etat--prasaFgAt-
   bhāvi-kāla ity arthaḥ | purā purāṇe nikaṭe prabandhātīta-bhāviṣu iti hi	BAvi--kAle iti arTaH | purA purANe nikawe prabanDAtIta--BAvizu iti hi
   koṣa-kārāḥ | lokaḥ sa ca sūkṣmam iti tamasaḥ param iti | satyaṃ jñānam ity	koza-kArAH | lokaH sa ca sUkzmam iti tamasaH param iti | satyam jQAnam iti-
   ādi-svarūpa iti ca prakṛti-guṇāspṛṣṭatayā cic-chakti-vilāsa eveti labhyate	Adi-svarUpaH iti ca prakRti-guNa-aspRzwa-tayA cic--Sakti-vilAse eva-iti laByate
   [83] tathā api naḥ sva-gatim iti, na veda svāṃ gatim iti, gopānāṃ tamasaḥ	[83] taTA api naH sva--gatim iti, na veda svAm gatim iti, gopAnAm tamasaH
   param iti, kṛṣṇaṃ ca tatra iti ca | na parama-vyomādi-rūpaḥ | kintu	param iti, kRzNam ca tatra iti ca | na parama---vyoma-Adi--rUpaH | kintu
   brahma-saṃhitādi-kṛta-ślokaḥ sphuṭam aprākṛta-goloka-svarūpa evāyaṃ	brahma-saMhita-Adi--kRta-SlokaH sPuwam aprAkRta--goloka--svarUpaH eva-ayam
   śrīmad-vrajeśa-śloka iti paryavasīyate | tatra chandobhiḥ stūyamānam iti	SrImat--vraja-ISa-SlokaH iti paryavasIyate | tatra CandoBiH stUyamAnam iti
   taj-janmādi-līlā-varṇanīnāṃ śruti-vara-varṇinīnāṃ sākṣitā tu tatrāpi puraḥ	taj-janma-Adi--lIlA-varNanInAm Sruti-vara-varNinInAm sAkzi-tA tu tatra-api puras-
   sphurati	sPurati
   kṛṣṇe teṣāṃ nija-sutatādi-mātratā-jñānāya pārṣadāntara-darśanānuktis teṣāṃ	kRzNe tezAm nija--suta-tA-Adi--mAtra-tA-jQAnAya pArzada-antara--darSana-AnuktiH tezAm
   gopānām eva tatratya-tat-parikaratā-vyañjanāyeti jñeyam | yata eva	gopAnAm eva tatratya-tat--parikaratA--vyaQjanAya-iti jQeyam | yatas eva
   tad-eka-rucīnāṃ śrī-nandādīnāṃ paramānanda-nirvṛtir vismitiś ca ghaṭate |	tad--eka-rucInAm SrI-nanda-AdInAm parama-Ananda--nirvRtiH vismitiH ca Gawate |
   [84] sva-lokatāyām apy avatārāvasare teṣāṃ tasyādarśane kāraṇaṃ jano vai	[84] sva--lokatAyAm api avatAra-avasare tezAm tasya-adarSane kAraNam janaH vE
   iti | sālokya-sārṣṭi ity ādi-padye janā itivaj-jana-śabdo'yaṃ	iti | sAlokya--sArzwi iti Adi-padye janAH iti-vaj--jana--SabdaH-ayam
   tadīya-svajana-paraḥ |	tadIya-sva-jana--paraH |
   tasmān mac-charaṇaṃ goṣṭhaṃ man-nāthaṃ mat-parigraham |	tasmAt mac--SaraNam gozWam man-nATam mat--parigraham |
   gopāye svātma-yogena so'yaṃ me vrata āhitaḥ || [BhP 10.25.18]	gopAye sva-Atma--yogena saH-ayam me vrataH AhitaH || [Bhj 10.25.18]
   [85] śrī-kṛṣṇasyaiva tatra ca manasaiva sva-niṣṭhā-pratiṣṭhā-racanād	[85] SrI--kRzNasya-eva tatra ca manasA-eva sva--nizWA--pratizWA--racanAt-
   vacanād atra sa tu vraja-janaḥ parama-svajana eva spaṣṭaḥ |	vacanAt atra sa tu vraja--janaH parama--sva-janaH eva spazwaH |
   sādhāraṇa-jana-vācitve tat-kṛpā sarvasyāpi janasya vyāpiny abhaviṣyat |	sADAraNa--jana--vAci-tve tat-kRpA sarvasya-api janasya vyApini aBavizyat |
   svāṃ gatim ity api na samagaṃsyata | tataś ca parama-svajano'yaṃ mama	svAm gatim iti api na samagaMsyata | tatas ca parama-sva-janaH-ayam mama
   vraja-vāsi-janaḥ prāpañcike loke yāḥ svāvidyādibhir deva-tiryag-ādi-rūpā	vraja-vAsi-janaH prApaQcike loke yAH sva-avidyA-AdiBiH deva-tiryak--Adi-rUpA
   tgatayas tāsu bhramaṃs	tgatayaH tAsu Braman=-
   tan-nirviśeṣatayātmānaṃ manvānaḥ svāṃ gatiṃ goloka-lakṣaṇāṃ na jānātīty	tan--nirviSeza-tayA-AtmAnam manvAnaH svAm gatim goloka-lakzaNAm na jAnAti-iti-
   arthaḥ | atra kāraṇaṃ tu--	arTaH | atra kAraNam tu--
   iti nandādayo gopāḥ kṛṣṇa-rāma-kathāṃ mudā |	iti nanda-AdayaH gopAH kRzNa-rAma--kaTAm mudA |
   kurvanto ramamāṇāś ca nāvindan bhava-vedanām || [BhP 10.11.58] iti |	kurvantaH ramamANAH ca na-avindan Bava--vedanAm || [Bhj 10.11.58] iti |
   ity anusāreṇa madīya-laukika-līlā-śaktir eveti bhāvaḥ | tad-ajñānād eva ca	iti anusAreNa madIya--lOkika--lIlA--SaktiH eva-iti BAvaH | tad--ajQAnAt eva ca
   nandas tv atīndriyam ity ādikaṃ ghaṭata iti | tasmād yad eva khalv idaṃ	nandaH tu atIndriyam iti Adikam GawataH iti | tasmAt yat eva Kalu idam
   darśitam | tad eva tebhyaḥ paścād dattam iti gamyate |	darSitam | tat eva teByaH paScAt dattam iti gamyate |
   [86] vṛndā prāha-hanta ! kathaṃ ta ete mad-vanād antarhitatām āpsyanti |	[86] vRndA prAha-hanta ! kaTam te ete mad--vanAt antarhitatAm Apsyanti |
   śrī-kṛṣṇena punar viyogaṃ ca lapsyante ?	SrI-kRzNena punar viyogam ca lapsyante ?
   [87] pūrṇimā prāha-kiṃcid anyad asti ced vācyatām |	[87] pUrNimA prAha-kiMcid anyat asti ced vAcya-tAm |
   [88] vṛndā prāha sma-atha vārāha-vacanam iti kiṃcid anyad api saṃcitam	[88] vRndA prAha sma-aTa vArAha-vacanam iti kiMcid anyat api saMcitam
   asti | tad yathā-	asti | tat yaTA-
   tatrāpi mahad āścaryaṃ paśyanti paṇḍitā narāḥ |	tatra-api mahat AScaryam paSyanti paNxitAH narAH |
   kālīya-hrada-pūrveṇa kadambo mahito drumaḥ |	kAlIya-hrada--pUrveNa kadambaH mahitaH drumaH |
   śata-śākhaṃ viśālākṣi puṇyaṃ surabhi-gandhi ca |	Sata-SAKam viSAla-akzi puNyam suraBi-ganDi ca |
   sa ca dvādaśa-māsāni manojñaḥ śubha-śītalaḥ |	sa ca dvAdaSa--mAsAni manojQaH SuBa-SItalaH |
   puṣpāyati viśālākṣi prabhāsanto diśo daśa || iti |	puzpAyati viSAla-akzi praBAsantaH diSaH daSa || iti |
   tathā-	taTA-
   tatrāścaryaṃ pravakṣyāmi tac chṛṇu tvaṃ vasundhare |	tatra-AScaryam pravakzyAmi tat SRNu tvam vasunDare |
   labhante manujāḥ siddhiṃ mama karma-parāyaṇāḥ ||	laBante manujAH sidDim mama karma--parAyaNAH ||
   tasya tatrottare pārśve'śoka-vṛkṣaḥ sita-prabhaḥ |	tasya tatra-uttare pArSve-aSoka-vRkzaH sita-praBaH |
   vaiśākhasya tu māsasya śukla-pakṣasya dvādaśī ||	vESAKasya tu mAsasya Sukla-pakzasya dvAdaSI ||
   sa puṣpati ca madhyāṅge mama bhakta-sukhāvahaḥ |	sa puzpati ca maDya-aFge mama Bakta--suKa-AvahaH |
   na kaścid api jānāti vinā bhāgavataṃ śucim || ity ādi |	na kaScid api jAnAti vinA BAgavatam Sucim || iti Adi |
   [89] atra tasya iti brahma-kuṇḍasyety arthaḥ ity uktvā punaḥ	[89] atra tasya iti brahma-kuNxasya-iti arTaH iti uktvA punar-
   pūrṇimovāca-kiṃcid anyad apy asti ?	pUrNimA-uvAca--kiMcid anyat api asti ?
   [90] vṛndā sānandam uvāca-asti cānyat skānda-mathurā-māhātmye-	[90] vRndA sa-Anandam uvAca-asti ca-anyat skAnda-maTurA--mAhAtmye-
   tato vṛndāvanaṃ puṇyaṃ vṛndā-devī-samāśritam |	tatas vRndAvanam puNyam vRndA-devI--samASritam |
   hariṇādhiṣṭhitaṃ tac ca brahma-rudrādi-sevitam || iti |	hariNa-aDizWitam tat ca brahma-rudra-Adi--sevitam || iti |
   vatsair vatsatarībhiś ca sadā krīḍati mādhavaḥ |	vatsEH vatsatarIBiH ca sadA krIxati mADavaH |
   vṛndāvanāntara-gataḥ sa-rāmo bālakair vṛtaḥ || iti ca |	vRndAvana-antara--gataH sa-rAmaH bAlakEH vRtaH || iti ca |
   athādi-vārāha-vacanaṃ ca-	aTa-Adi-vArAha--vacanam ca-
   kṛṣṇa-krīḍā-setu-bandhaṃ mahā-pātaka-nāśanam |	kRzNa--krIxA--setu-banDam mahA-pAtaka-nASanam |
   valabhīṃ tatra krīḍārthaṃ kṛtvā devo gadādharaḥ ||	valaBIm tatra krIxA-arTam kRtvA devaH gadADaraH ||
   gopakaiḥ sahitas tatra kṣaṇam ekaṃ dine dine |	gopakEH sahitaH tatra kzaNam ekam dine dine |
   tatraive ramaṇārthaṃ hi nitya-kālaṃ sa gacchati || iti |	tatra-eve ramaNa-arTam hi nitya-kAlam sa gacCati || iti |
   vṛndāvane vased dhīmān yāvat kṛṣṇasya darśanam || iti |	vRndAvane vaset DImAn yAvat kRzNasya darSanam || iti |
   [92] athātra vṛndā papraccha-samprati cirāya proṣitatvena parāmṛśyamānasya	[92] aTa-atra vRndA papracCa--samprati cirAya prozita-tvena parAmRSyamAnasya
   tasya sadā krīḍanam atra katha ghaṭate ?	tasya sadA krIxanam atra kaTa Gawate ?
   [93] pūrṇimā prāha-vaikuṇṭhād gajendra-dhruvādi-kṛpārthaṃ madhye madhye	[93] pUrNimA prAha-vEkuNWAt gaja-indra--Druva-Adi-kRpa-arTam maDye maDye
   pṛthviīm āgatasya ca yathā tan-nāthasya tatra nityāvasthānaṃ procyate |	pRTviIm Agatasya ca yaTA tan-nATasya tatra nitya-avasTAnam procyate |
   tadvad atrāpi sacyate | anādy-ananta-kālaṃ tatra viharatas tasya	tadvat atra-api sacyate | anAdy-ananta--kAlam tatra viharataH tasya
   nimeṣa-mātram eva tat-tat-kāla iti | ataḥ paraṃ kiṃcid asti, tat tu vada |	nimeza--mAtram eva tat-tat-kAlaH iti | atas param kiMcid asti, tat tu vada |
   [94] vṛndā prāha-etad-anantaraṃ bṛhad-gautamīya-padyāni pratipadyante |	[94] vRndA prAha--etat--anantaram bRhat--gOtamIya--padyAni pratipadyante |
   [95] pūrṇimāha-vācyantām |	[95] pUrNimAha-vAcyantAm |
   [96] vṛndā ca vācitavatī | yathā, nārada uvāca-	[96] vRndA ca vAcitavatI | yaTA, nAradaH uvAca-
   kim idaṃ dvādaśābhikhyaṃ vṛndāraṇyaṃ viśāmpate |	kim idam dvAdaSa-aBiKyam vRndAraNyam viSAmpate |
   śrotum icchāmi bhagavan yadi yogo'smi me vada ||	Srotum icCAmi Bagavan yadi yogaH-asmi me vada ||
   śrī-kṛṣṇa uvāca-	SrI--kRzNaH uvAca-
   idaṃ vṛndāvanaṃ ramyaṃ mama dhāmaiva kevalam |	idam vRndAvanam ramyam mama DAma-eva kevalam |
   atra ye paśavaḥ pakṣi-vṛkṣā kīṭā narāmarāḥ |	atra ye paSavaH pakzi-vRkzA kIwAH nara-amarAH |
   ye vasanti mamādhiṣṇye mṛtā yānti mamālayam ||	ye vasanti mama-ADizNye mRtAH yAnti mama-Alayam ||
   atra yā gopa-kanyāś ca nivasanti mamālaye |	atra yAH gopa-kanyAH ca nivasanti mama-Alaye |
   kālindīyaṃ suṣumnākhyā paramāmṛta-vāhinī ||	kAlindIyam suzumnA-AKyA parama-amRta--vAhinI ||
   atra devāś ca bhūtāni vartante sūkṣma-rūpataḥ |	atra devAH ca BUtAni vartante sUkzma--rUpataH |
   sarva-deva-mayaś cāhaṃ na tyajāmi vanaṃ kvacit ||	sarva--deva-mayaH ca-aham na tyajAmi vanam kvacid ||
   āvirbhāvas tirobhāvo bhaven me'tra yuge yuge |	AvirBAvaH tiroBAvaH Bavet me-atra yuge yuge |
   tejo-mayam idaṃ ramyam adṛśyaṃ carma-cakṣuṣā || iti |	tejaH--mayam idam ramyam adRSyam carma-cakzuzA || iti |
   [97] pūrṇimā prāha-āyātam atra ca prakaṭāprakaṭa-līlāvakāśatām ayaṃ	[97] pUrNimA prAha-AyAtam atra ca prakawa-aprakawa--lIlA-avakASa-tAm ayam
   prakāśa-dvaividhyam | atra me paśavaḥ iti, tejomayam iti coktavān |	prakASa--dvEviDyam | atra me paSavaH iti, tejaH-mayam iti ca-uktavAn |
   [98] tad evaṃ jāta-sukha-vṛndā vṛndā punaḥ papraccha-tad idaṃ ca sarvaṃ	[98] tat evam jAta--suKa-vRndA vRndA punar papracCa--tat idam ca sarvam
   paryak tātparyāya-paryālocyatām |	paryak tAtparyAya--paryAlocya-tAm |
   [99] pūrṇimovāca-anenedaṃ gamyate | golokākhyaṃ tad vaibhavaṃ sadaiva	[99] pUrNimA-uvAca-anena-idam gamyate | goloka-AKyam tat vEBavam sadA-eva
   vṛndāvana-bhavam | kintu tvaṃ vraja-vāsin-janavad eva samprati na tad	vRndAvana--Bavam | kintu tvam vraja--vAsin-jana-vat eva samprati na tat-
   avagacchasi | yathā pṛthvyā api tad-ajñānaṃ vārāha-vacanāl labhyate | tad	avagacCasi | yaTA pRTvyAH api tat--ajQAnam vArAha-vacanAt laByate | tat-
   etad eva ca nitya-dhāma tebhyas tena darśitaṃ, tad eva ca teṣāṃ	etat eva ca nitya--DAma teByaH tena darSitan, tat eva ca tezAm
   nitya-prāpyatayā varṇitam | akke cen madhu vindeta kim arthaṃ pravataṃ	nitya--prApya-tayA varNitam | akke ced maDu vindeta kim arTam pravatam
   vrajet iti-nyāyena dūre teṣāṃ gamanaṃ	vrajet iti-nyAyena dUre tezAm gamanam
   ca vyartham iti |	ca vyarTam iti |
   [100] vṛndāha-satyaṃ satyam | dvayor abhedenaiva vyavasthā-racanaṃ	[100] vRndAha--satyam satyam | dvayoH aBedena-eva vyavasTA-racanam
   harivaṃśa-stha-tat-prasaṅga-saṅgata-śakra-vacanaṃ cātra dṛśyate-	hari-vaMSa--sTa--tat--prasaFga--saFgata-Sakra-vacanam ca-atra dRSyate-
   sa tu lokas tvayā kṛṣṇa sīdamānaḥ kṛtātmanā |	sa tu lokaH tvayA kRzNa sIdamAnaH kRtAtmanA |
   dhṛto dhṛtimatā vīra nighantopdadravān gavām || [HV 2.19.35]	DRtaH DRtimatA vIra niGanta-upda-dravAn gavAm || [HV 2.19.35]
   [101] kintu, atha tatrasthā nandādayaḥ ity ādi-pādma-gadya-dvayaṃ	[101] kintu, aTa tatrasTAH nanda-AdayaH iti Adi-pAdma-gadya--dvayam
   viśadyatām |	viSadyatAm |
   [102] pūrṇimā vyācacakṣa-śrīman-nandādyā vraja-sthitāḥ sva-sva-putraiḥ	[102] pUrNimAH vyAca-cakza--SrI-man-nanda-AdyAH vraja--sTitAH sva--sva--putrEH
   svayaṃ kṛṣṇādibhiḥ sva-sva-dāraiḥ śrī-yaśodādibhiḥ sahitā vasudevād	svayam kRzNa-AdiBiH sva--sva-dArEH SrI-yaSa-uda-AdiBiH sahitAH vasudevAt-
   āgatasya tasya kṛta-nijāgamana-saṅkalpa-saṃvādena prasādena pūrvato'pi	Agatasya tasya kRta-nija-Agamana--saFkalpa--saMvAdena prasAdena pUrvatas-api
   paramāpūra-rūpa-dharāḥ parasapara-dṛk-sukha-karā sarvatra	paramApUra-rUpa-DarAH para-sa-para-dRk--suKa--karA sarvatra
   manoratha-patha-prāpaka-tadīya-ratham ārūḍhās tattva-mātrānabhijñeṣu	manoraTa--paTa--prApaka-tadIya-raTam ArUXAH tattva--mAtrA-anaBijQezu
   tattvāntara-vijñeṣu ca tat tejasā gūḍhāḥ	tattva-antara--vijQezu ca tat tejasA gUXAH
   |mahasādhaḥ-kṛtāśeṣaṃ śrī-vṛndāvanasya pūrvokta-prakāśa-viśeṣaṃ parābhir	|mahasA-aDaH--kRta-aSezam SrI--vRndAvanasya pUrva-ukta--prakASa--viSezam parABiH-
   mābhir akuṇṭhaṃ golokākhya-vaikuṇṭhaṃ tatra ca gokula-kamalaṃ yamunāyā	mABiH akuNWam go-loka-AKya-vEkuNWam tatra ca go-kula-kamalam yamunAyAH-
   uttara-pārād dakṣiṇa-pāram avāpya prāpuḥ iti |	uttara--pArAt dakziNa--pAram avApya prApuH iti |
   [103] tac ca nirāmayaṃ kuta-punar-viraha-vyādhi-vilayaṃ sva-padaṃ	[103] tat ca nirAmayam kuta-punar--viraha--vyADi--vilayam sva-padam
   nija-nityāspadaṃ putra-dāra-sahitāḥ iti	nija-nitya-Aspadam putra-dAra--sahitAH iti
   pūrva-sūcita-tat-putratocita-rūpeṇātra sthitir eva	pUrva-sUcita---tat--putratA-ucita--rUpeNa-atra sTitiH eva
   yadu-pura-samucita-svarūpeṇa tu dvāravatī-praveśa iti sarvam eva	yadu-pura--samucita--svarUpeNa tu dvAravatI--praveSaH iti sarvam eva
   sadeśa-rūpam | kintu gopanārthaṃ lokeṣu camatkriyāropaṇārtham eva ca seyaṃ	sa-deSa-rUpam | kintu gopana-arTam lokezu camatkriyA-AropaNa-arTam eva ca sA-iyam
   vimāna-prakriyā | pāre'vāre vā vasatu | sa tu ghoṣas tāṃ vināpi	vimAna-prakriyA | pAre-avAre vA vasatu | sa tu GozaH tAm vinA-api
   brahma-hrada-majjanānataravat tatra sajjanaṃ	brahma-hrada-majjanAnatara-vat tatra sat-janam
   labheta |	laBeta |
   nādhyātiṣṭhed yadi yadu-purāt prāpya goṣṭhaṃ sa bhūyaḥ	na-aDyAtizWet yadi yadu-purAt prApya gozWam sa BUyas-
   sarvaṃ tarhi pratihata-rasaṃ sarvathā syād vṛthā ca |	sarvam tarhi pratihata-rasam sarvaTA syAt vRTA ca |
   janmānandaḥ pratilava-vayaḥ śrī-citiḥ sneha-vṛddhir	janma-AnandaH pratilava--vayaH SrI--citiH sneha--vRdDiH-
   līlā-pūrtir viraha-mathitaḥ sāntvanaṃ cātra tasya ||GC_2,3.4||	lIlA--pUrtiH viraha-maTitaH sAntvanam ca-atra tasya ||GC_2,3.4||
   [104] atha vṛndā papraccha-yady evaṃ paścād api sarva-vraja-prāṇas	[104] aTa vRndA papracCa-yadi evam paScAt api sarva--vraja--prANa-s
   tat-trāṇam ācaritavāṃs tadā purā mathurā-prasthāna eva na kathaṃ vā	tat-trANam AcaritavAn tadA purA maTurA--prasTAnaH eva na kaTam vA
   racitavān ?	racitavAn ?
   [105] pūrṇimā prāha-rasa-poṣāya pratikalpam īdṛśam eva labdha-sātatyena	[105] pUrNimA prAha-rasa--pozAya pratikalpam IdRSam eva labDa--sAtatyena
   līlā-naiyatyena sthāpitam api tad idaṃ pṛcchatyā bhavatyā nijam	lIlA--nEyatyena sTApitam api tat idam pRcCatyA BavatyA nijam
   utkaṇṭhitam eva mac-chrotrayor upakaṇṭhīkṛtaṃ vādarāyaṇādibhir api	utkaNWitam eva mac--SrotrayoH upakaNWIkRtam vAdarAyaNa-AdiBiH api
   kṛta-lālasā-saṃkramasya śrī-bhagaval-līlā-kramasya vaiyarthyaṃ tu na	kRta-lAlasA--saMkramasya SrI-Baga-val--lIlA-kramasya vEyarTyam tu na
   samarthanīyam |	samarTanIyam |
   punar udayaja-śarma-poṣa-dharma	punar udayaja-Sarma--poza--Darma
   svayam upaśarma hareḥ pravāsa-mātram |	svayam upaSarma hareH pravAsa--mAtram |
   vrajam api tad-ṛte rasasya pūrtir	vrajam api tad--Rte rasasya pUrtiH-
   yadi valayeta tadā tad eva na syāt ||GC_2,3.5||	yadi valayeta tadA tat eva na syAt ||GC_2,3.5||
   [106] tasmād vraja-rasa-sampad-arthaṃ tad apy arthanīyam iti | tad evam	[106] tasmAt vraja-rasa--sampad--arTam tat api arTanIyam iti | tat evam
   eva svayam uktam-nāhaṃ tu sakhyo bhajato'pi jantūn [BhP 10.32.20] iti |	eva svayam uktam--na-aham tu saKyaH BajataH-api jantUn [Bhj 10.32.20] iti |
   [107] tad etad vyākhyāya pūrṇimā papraccha-kiṃcid asti vānyat ?	[107] tat etat vyAKyAya pUrNimA papracCa--kiMcid asti vA-anyat ?
   [108] vṛndā sānandam uvāca-bhagavati śrī-bhāgavatīyam ante kiṃcid añcitaṃ	[108] vRndA sa-Anandam uvAca--Bagavati SrI--BAgavatI-iyam ante kiMcid aQcitam
   dṛśyate |	dRSyate |
   [109] purṇimā prāha-kāmaṃ vācyatām |	[109] purNimA prAha-kAmam vAcya-tAm |
   [110] vṛndā tac ca vācayāmāsa, yathā-	[110] vRndA tat ca vAcayAmAsa, yaTA-
   jayati jananivāso devakī-janma-vādo	jayati jana-nivAsaH devakI--janma--vAdaH-
   yadu-vara-pariṣat svair dorbhir asyann adharmam |	yadu-vara--parizad svEH dorBiH asyan aDarmam |
   sthira-cara-vṛjina-ghnaḥ susmita-śrī-mukhena	sTira--cara--vRjina-GnaH su-smita---SrI-muKena
   vraja-pura-vanitānāṃ vardhayan kāma-devam || (10.90.48)	vraja--pura--vanitAnAm varDayan kAma-devam || (10.90.48)
   [111] pūrṇimovāca-tad ittham ākhyātā mama vyākhyā | yat khalv ayaṃ	[111] pUrNimA-uvAca--tat itTam AKyAtA mama vyAKyA | yat Kalu ayam
   daśama-skandhāntarvartī śrī-śuka-siddhāntas tatra cātra ca tasya	daSama--skanDa-antar-vartI SrI-Suka-sidDAntaH tatra ca-atra ca tasya
   viccchedaṃ nirasya nita-vihāram eva vyāharati |	viccCedam nirasya nita-vihAram eva vyAharati |
   [112] yataḥ sva-dos-tulyair yadukulyair	[112] yatas sva-dos--tulyEH yadukulyEH-
   adharma-bahula-rāja-kula-vyākulatārthaṃ devakī-janma-prasiddhim urīkṛtya	aDarma--bahula--rAja--kula--vyAkulatA-arTam devakI--janma--prasidDim urIkRtya
   kṛta-kṛtyaḥ susmita-śrī-mukhena vrajasya purasya ca vanitānāṃ	kRta-kRtyaH su-smita---SrI-muKena vrajasya purasya ca vanitAnAm
   kāma-prāya-prema-vardhana-sukhena sarvato'pi śaśvad utkarṣeṇa sadā	kAma--prAya--prema-varDana--suKena sarvatas-api SaSvat utkarzeNa sadA
   virājata iti labhyate | tatra hetuḥ-tatra tatra sthāvara-jaṅgama-mātrāṇāṃ	virAjate iti laByate | tatra hetuH-tatra tatra sTAvara---jaFgama--mAtrANAm
   viraha-duḥkha-hantā tat-tad-upāsaka-svajana-hṛdaye tathā sphuraṃś ceti |	viraha--duHKa-hantA tat-tad--upAsaka--sva-jana--hRdaye taTA sPuran ca-iti |
   [113] tad etad-ukti-kauśalād bhāvi-mausalādi-līlānām api māyikatvam eva	[113] tat etat--ukti--kOSalAt BAvi--mOsala-Adi--lIlAnAm api mAyika-tvam eva
   pratyāyitam | kṣīra-nīra-nidhi-śāyina eva tad etad-rūpāvatāra ity	pratyAyitam | kzIra--nIra--niDi--SAyinaH eva tat etat--rUpa-avatAraH iti-
   ādi-vyavahāraś ca tādṛśa-nitya-vihāra-gopanārtha eveti ca |	Adi-vyavahAraH ca tAdRSa--nitya--vihAra--gopana-arTaH eva-iti ca |
   [114] atha śrī-bhāgavatīyaṃ padya-dvayaṃ sā paṭhati sma-	[114] aTa SrI--BAgavatI-iyam padya--dvayam sA paWati sma-
   dvārakāṃ hariṇā tyaktāṃ samudro'plāvayat kṣaṇāt |	dvArakAm hariNA tyaktAm samudraH-aplAvayat kzaNAt |
   varjayitvā mahārāja śrīmad-bhagavad-ālayam ||	varjayitvA mahA-rAja SrI-mat--Bagavat--Alayam ||
   smṛtyāśeṣāśubha-haraṃ sarva-maṅgala-maṅgalam |	smRtyA-aSeza-aSuBa-haram sarva-maFgala-maFgalam |
