   Viṣṇu_1	VizNu_1
   Viṣṇu 37.11 vikarma-jīvanam //	VizNu 37.11 vikarma--jIvanam //
   Viṣṇu 37.12 asat-pratigrahaś ca //	VizNu 37.12 asat--pratigrahaH ca //
   Viṣṇu 37.13 kṣatra-viṭ-śūdra-go-vadhaḥ //	VizNu 37.13 kzatra-viw--SUdra--go-vaDaH //
   Viṣṇu 37.14 a-vikreya-vikrayaḥ //	VizNu 37.14 a-vikreya--vikrayaH //
   Viṣṇu 37.15 parivittitā-anujena jyeṣṭhasya //	VizNu 37.15 parivitti-tA--anujena jyezWasya //
   Viṣṇu 37.16 parivedanam //	VizNu 37.16 parivedanam //
   Viṣṇu 37.17 tasya ca kanyā-dānam //	VizNu 37.17 tasya ca kanyA-dAnam //
   Viṣṇu 37.18 yājanaṃ ca //	VizNu 37.18 yAjanam ca //
   Viṣṇu 37.19 vrātya-tā //	VizNu 37.19 vrAtya-tA //
   Viṣṇu 37.20 bhṛtaka-adhyāpanam //	VizNu 37.20 BRtaka--aDyApanam //
   Viṣṇu 37.21 bhṛtakāc ca^adhyayana-ādānam //	VizNu 37.21 BRtakAt ca^aDyayana--AdAnam //
   Viṣṇu 37.22 sarva-ākareṣv adhīkāraḥ //	VizNu 37.22 sarva--Akarezu aDIkAraH //
   Viṣṇu 37.23 mahā-yantra-pravartanam //	VizNu 37.23 mahA-yantra--pravartanam //
   Viṣṇu 37.24 druma-gulma-vallī-latā-oṣadhīnāṃ hiṃsā //	VizNu 37.24 druma--gulma--vallI--latA--ozaDInAm hiMsA //
   Viṣṇu 37.25 stryā jīvanam //	VizNu 37.25 stryA jIvanam //
   Viṣṇu 37.26 abhicāra-bala-karmasu ca pravṛttiḥ //	VizNu 37.26 aBicAra--bala-karmasu ca pravRttiH //
   Viṣṇu 37.27 ātma-arthe kriyā-ārambhaḥ //	VizNu 37.27 Atma--arTe kriyA-AramBaH //
   Viṣṇu 37.28 an-āhita-agni-tā //	VizNu 37.28 an-Ahita--agni-tA //
   Viṣṇu 37.29 deva-ṛṣi-pitṛ-ṛṇānām an-apakriyā //	VizNu 37.29 deva--Rzi--pitR--RNAnAm an-apakriyA //
   Viṣṇu 37.30 asat-śāstra-abhigamanam //	VizNu 37.30 asat--SAstra--aBigamanam //
   Viṣṇu 37.31 nāstika-tā //	VizNu 37.31 nAstika-tA //
   Viṣṇu 37.32 kuśīlavatā //	VizNu 37.32 kuSIlavatA //
   Viṣṇu 37.33 madya-pa-strī-niṣevaṇam //	VizNu 37.33 madya-pa--strI--nizevaNam //
   Viṣṇu 37.34 ity upapātakāni //	VizNu 37.34 iti upapAtakAni //
   Viṣṇu 37.35a/ upapātakinas tv ete kuryuś\ cāndrāyaṇaṃ narāḥ /	VizNu 37.35a/ upapAtakinaH tu ete kuryuS\ cAndrAyaNam narAH /
   Viṣṇu 37.36c/ parākaṃ ca tathā kuryur\ yajeyur\ go-savena vā //	VizNu 37.36c/ parAkam ca taTA kuryur\ yajeyur\ go-savena vA //
   Viṣṇu_38	VizNu_38
   Viṣṇu 38.01 brāhmaṇasya rujaḥ karaṇam //	VizNu 38.01 brAhmaNasya rujaH karaNam //
   Viṣṇu 38.02 aghreya-madyayor ghrātiḥ //	VizNu 38.02 aGreya--madyayoH GrAtiH //
   Viṣṇu 38.03 jaihmyam //	VizNu 38.03 jEhmyam //
   Viṣṇu 38.04 paśuṣu maithuna-ācaraṇam //	VizNu 38.04 paSuzu mETuna--AcaraNam //
   Viṣṇu 38.05 puṃsi ca //	VizNu 38.05 puMsi ca //
   Viṣṇu 38.06 iti jāti-bhraṃśa-karāṇi //	VizNu 38.06 iti jAti-BraMSa--karANi //
   Viṣṇu 38.07a/ jāti-bhraṃśa-karaṃ karma kṛtvā\^anyatamam icchayā /	VizNu 38.07a/ jAti-BraMSa--karam karma kRtvA\^anyatamam icCayA /
   Viṣṇu 38.07c/ caret\ sāṃtapanaṃ kṛcchraṃ prājāpatyam an-icchayā //	VizNu 38.07c/ caret\ sAMtapanam kRcCram prAjApatyam an-icCayA //
   Viṣṇu_39	VizNu_39
   Viṣṇu 39.01 grāmya-araṇyānāṃ paśūnāṃ hiṃsā saṃkarī-karaṇam //	VizNu 39.01 grAmya--araNyAnAm paSUnAm hiMsA saMkarI-karaNam //
   Viṣṇu 39.02a/ saṃkarī-karaṇaṃ kṛtvā\ māsam aśnīta\ yāvakam /	VizNu 39.02a/ saMkarI-karaNam kRtvA\ mAsam aSnIta\ yAvakam /
   Viṣṇu 39.02c/ kṛcchra-atikṛcchram atha vā prāyaścittaṃ tu kārayet\ //	VizNu 39.02c/ kRcCra--atikRcCram aTa vA prAyaScittam tu kArayet\ //
   Viṣṇu_40	VizNu_40
   Viṣṇu 40.01 ninditebhyo ghana-ādānaṃ vāṇijyaṃ kusīda-jīvanam	VizNu 40.01 ninditeByaH Gana--AdAnam vANijyam kusIda-jIvanam
   asatya-bhāṣaṇaṃ śūdra-sevanam ity a-pātrī-karaṇam //	asatya-BAzaNam SUdra--sevanam iti a-pAtrI--karaNam //
   Viṣṇu 40.02a/ a-pātrī-karaṇaṃ kṛtvā\ tapta-kṛcchreṇa śudhyati\ /	VizNu 40.02a/ a-pAtrI--karaNam kRtvA\ tapta-kRcCreNa SuDyati\ /
   Viṣṇu 40.02c/ śīta-kṛcchreṇa vā bhūyo mahā-sāṃtapanena vā //	VizNu 40.02c/ SIta-kRcCreNa vA BUyas mahA--sAMtapanena vA //
   Viṣṇu_41	VizNu_41
   Viṣṇu 41.01 pakṣiṇāṃ jala-carāṇāṃ jala-jānāṃ ca ghātanam //	VizNu 41.01 pakziNAm jala-carANAm jala-jAnAm ca GAtanam //
   Viṣṇu 41.02 krimi-kīṭānāṃ ca //	VizNu 41.02 krimi--kIwAnAm ca //
   Viṣṇu 41.03 madhya-anugata-bhojanam //	VizNu 41.03 maDya--anu-gata--Bojanam //
   Viṣṇu 41.04 iti mala-āvahāni //	VizNu 41.04 iti mala-a-AvahAni //
   Viṣṇu 41.05a/ malinī-karaṇīyeṣu tapta-kṛcchraṃ viśodhanam /	VizNu 41.05a/ malinI-karaNIyezu tapta-kRcCram viSoDanam /
   Viṣṇu 41.05c/ kṛcchra-ati-kṛcchram atha vā prāyaścittaṃ viśodhanam //	VizNu 41.05c/ kRcCra--ati-kRcCram aTa vA prAyaScittam viSoDanam //
   Viṣṇu_42	VizNu_42
   Viṣṇu 42.01 yad anuktaṃ tat prakīrṇakam //	VizNu 42.01 yat anuktam tat prakIrNakam //
   Viṣṇu 42.02a/ prakīrṇa-pātake jñātvā\ gurutvam atha lāghavam /	VizNu 42.02a/ prakIrNa-pAtake jQAtvA\ guru-tvam aTa lAGavam /
   Viṣṇu 42.02c/ prāyaścittaṃ budhaḥ kuryād\ brāhmaṇa-anumato yathā //	VizNu 42.02c/ prAyaScittam buDaH kuryAt-\ brAhmaNa--anumataH yaTA //
   Viṣṇu_43	VizNu_43
   Viṣṇu 43.01 atha narakāḥ //	VizNu 43.01 aTa narakAH //
   Viṣṇu 43.02 tāmisram //	VizNu 43.02 tAmisram //
   Viṣṇu 43.03 andha-tāmisram //	VizNu 43.03 anDa-tAmisram //
   Viṣṇu 43.04 rauravam //	VizNu 43.04 rOravam //
   Viṣṇu 43.05 mahā-rauravam //	VizNu 43.05 mahA-rOravam //
   Viṣṇu 43.06 kāla-sūtram //	VizNu 43.06 kAla-sUtram //
   Viṣṇu 43.07 mahā-narakam //	VizNu 43.07 mahA--narakam //
   Viṣṇu 43.08 saṃjīvanam //	VizNu 43.08 saMjIvanam //
   Viṣṇu 43.09 avīci //	VizNu 43.09 avIci //
   Viṣṇu 43.10 tapanam //	VizNu 43.10 tapanam //
   Viṣṇu 43.11 saṃpratāpanam //	VizNu 43.11 saMpratApanam //
   Viṣṇu 43.12 saṃghātakam //	VizNu 43.12 saMGAtakam //
   Viṣṇu 43.13 kākolam //	VizNu 43.13 kAkolam //
   Viṣṇu 43.14 kuḍmalam //	VizNu 43.14 kuxmalam //
   Viṣṇu 43.15 pūti-mṛttikam //	VizNu 43.15 pUti-mRttikam //
   Viṣṇu 43.16 loha-śaṅkuḥ //	VizNu 43.16 loha-SaFkuH //
   Viṣṇu 43.17 ṛbīsam //	VizNu 43.17 RbIsam //
   Viṣṇu 43.18 viṣama-panthāḥ //	VizNu 43.18 vizama-panTAH //
   Viṣṇu 43.19 kaṇṭaka-śālmaliḥ //	VizNu 43.19 kaNwaka-SAlmaliH //
   Viṣṇu 43.20 dīpa-nadī //	VizNu 43.20 dIpa-nadI //
   Viṣṇu 43.21 asi-patra-vanam //	VizNu 43.21 asi-patra-vanam //
   Viṣṇu 43.22 loha-cārakam iti //	VizNu 43.22 loha-cArakam iti //
   Viṣṇu 43.23 eteṣv akṛta-prāyaścittā atipātakinaḥ paryāyeṇa kalpaṃ	VizNu 43.23 etezu akRta--prAyaScittAH atipAtakinaH paryAyeNa kalpam
   pacyante\ //	pacyante\ //
   Viṣṇu 43.24 mahāpātakino manv-antaram //	VizNu 43.24 mahApAtakinaH manu--antaram //
   Viṣṇu 43.25 anupātakinaś ca //	VizNu 43.25 anupAtakinaH ca //
   Viṣṇu 43.26 upapātakinaś catur-yugam //	VizNu 43.26 upapAtakinaH catur-yugam //
   Viṣṇu 43.27 kṛta-saṃkarī-karaṇāś ca saṃvatsara-sahasram //	VizNu 43.27 kRta--saMkarI--karaNAH ca saMvatsara--sahasram //
   Viṣṇu 43.28 kṛta-jāti-bhraṃśa-karaṇāś ca //	VizNu 43.28 kRta--jAti--BraMSa--karaNAH ca //
   Viṣṇu 43.29 kṛta-apātrī-karaṇāś ca //	VizNu 43.29 kRta--apAtrI--karaNAH ca //
   Viṣṇu 43.30 kṛta-malinī-karaṇāś ca //	VizNu 43.30 kRta-malinI--karaNAH ca //
   Viṣṇu 43.31 prakīrṇa-pātakinaś ca bahūn varṣa-pūgān //	VizNu 43.31 prakIrNa-pAtakinaH ca bahUn varza--pUgAn //
   Viṣṇu 43.32a/ kṛta-pātakinaḥ pāpāḥ prāṇa-tyāgād anantaram /	VizNu 43.32a/ kRta-pAtakinaH pApAH prANa-tyAgAt anantaram /
   Viṣṇu 43.32c/ yāmyaṃ panthānam āsādya\ duḥkham aśnanti\ dāruṇam //	VizNu 43.32c/ yAmyam panTAnam AsAdya\ duHKam aSnanti\ dAruNam //
   Viṣṇu 43.33a/ yamasya puruṣair ghoraiḥ kṛṣyamāṇā yatas tataḥ /	VizNu 43.33a/ yamasya puruzEH GorEH kRzyamANA yatas tatas /
   Viṣṇu 43.33c/ sa-kṛcchreṇa^anukāreṇa nīyamānāś ca te yathā //	VizNu 43.33c/ sa-kRcCreNa^anukAreNa nIyamAnAH ca te yaTA //
   Viṣṇu 43.34a/ śvabhiḥ śṛgālaiḥ kravya-ādaiḥ kāka-kaṅka-baka-ādibhiḥ /	VizNu 43.34a/ SvaBiH SRgAlEH kravya-AdEH kAka--kaFka-baka-AdiBiH /
   Viṣṇu 43.34c/ agni-tuṇḍair bhakṣyamāṇā bhujaṅgair vṛścikais tathā //	VizNu 43.34c/ agni-tuNxEH BakzyamANA BujaFgEH vRScikEH taTA //
   Viṣṇu 43.35a/ agninā dahyamānāś ca tudyamānāś ca kaṇṭakaiḥ /	VizNu 43.35a/ agninA dahyamAnAH ca tudyamAnAH ca kaNwakEH /
   Viṣṇu 43.35c/ krakacaiḥ pāṭyamānāś ca pīḍyamānāś ca tṛṣṇayā //	VizNu 43.35c/ krakacEH pAwyamAnAH ca pIxyamAnAH ca tRzNayA //
   Viṣṇu 43.36a/ kṣudhayā vyathamānāś ca ghorair vyāghra-gaṇais tathā /	VizNu 43.36a/ kzuDayA vyaTamAnAH ca GorEH vyAGra--gaNEH taTA /
   Viṣṇu 43.36c/ pūya-śoṇita-gandhena mūrchamānāḥ pade pade //	VizNu 43.36c/ pUya-SoNita--ganDena mUrCamAnAH pade pade //
   Viṣṇu 43.37a/ para-anna-pānaṃ lipsantas tādyamānāś ca kiṃkaraiḥ /	VizNu 43.37a/ para-anna--pAnam lipsantaH tAdyamAnAH ca kiMkarEH /
   Viṣṇu 43.37c/ kāka-kaṅka-baka-ādīnāṃ bhīmānāṃ sadṛśa-ānanaiḥ //	VizNu 43.37c/ kAka--kaFka-baka-a-AdInAm BImAnAm sadRSa--AnanEH //
   Viṣṇu 43.38a/ kva-cit tailena kvāthyante\ tāḍyante\ musalaiḥ kva-cit /	VizNu 43.38a/ kva-cid tElena kvATyante\ tAxyante\ musalEH kva-cid /
   Viṣṇu 43.38c/ āyasīṣu ca vaṭyante\ śilāsu ca tathā kva-cit //	VizNu 43.38c/ AyasIzu ca vawI-ante\ SilAsu ca taTA kva-cid //
   Viṣṇu 43.39a/ kva-cid vāntam atha^aśnanti\ kva-cit pūyam asṛk kva-cit /	VizNu 43.39a/ kva-cid vAntam aTa^aSnanti\ kva-cid pUyam asRk kva-cid /
   Viṣṇu 43.39c/ kva-cid viṣṭhāṃ kva-cin māṃsaṃ pūya-gandhi su-dāruṇam //	VizNu 43.39c/ kva-cid vizWAm kva-cid mAMsam pUya-ganDi su-da-aruNam //
   Viṣṇu 43.40a/ andhakāreṣu tiṣṭhanti\ dāruṇeṣu tathā kva-cit /	VizNu 43.40a/ anDakArezu tizWanti\ dAruNezu taTA kva-cid /
   Viṣṇu 43.40c/ krimibhir bhakṣyamāṇāś ca vahni-tuṇḍaiḥ su-dāruṇaiḥ //	VizNu 43.40c/ krimiBiH BakzyamANAH ca vahni-tuNxEH su-da-aruNEH //
   Viṣṇu 43.41a/ kva-cic^śītena bādhyante\ kva-cit ca^a-medhya-madhya-gāḥ /	VizNu 43.41a/ kva-cid-^SItena bADyante\ kva-cid ca^a-meDya--maDya--gAH /
   Viṣṇu 43.41c/ parasparam atha^aśnanti\ kva-cit pretāḥ su-dāruṇāḥ //	VizNu 43.41c/ parasparam aTa^aSnanti\ kva-cid pretAH su-da-aruNAH //
   Viṣṇu 43.42a/ kva-cid bhūtena tāḍyante\ lambamānās tathā kva-cit /	VizNu 43.42a/ kva-cid BUtena tAxyante\ lambamAnAH taTA kva-cid /
   Viṣṇu 43.42c/ kva-cit kṣipyanti\ bāna-oghair utkṛtyante\ tathā kva-cit //	VizNu 43.42c/ kva-cid kzipyanti\ bAna--oGEH utkRtyante\ taTA kva-cid //
   Viṣṇu 43.43a/ kaṇṭeṣu datta-pādāś ca bhujaṅga-ābhoga-veṣṭitāḥ /	VizNu 43.43a/ kaNwezu datta--pAdAH ca BujaFga-a-ABoga-vezwitAH /
   Viṣṇu 43.43c/ pīḍyamānās tathā yantraiḥ kṛṣyamāṇāś ca jānubhiḥ //	VizNu 43.43c/ pIxyamAnAH taTA yantrEH kRzyamANAH ca jAnuBiH //
   Viṣṇu 43.44a/ bhagna-pṛṣṭha-śiro-grīvāḥ sūcī-kaṇṭhāḥ su-dāruṇāḥ /	VizNu 43.44a/ Bagna--pRzWa--SiraH---grIvAH sUcI-kaNWAH su-da-aruNAH /
   Viṣṇu 43.44c/ kūṭa-agāra-pramāṇaiś ca śarīrair yātana-akṣamaiḥ //	VizNu 43.44c/ kUwa-agAra--pramANEH ca SarIrEH yAtana-akzamEH //
   Viṣṇu 43.45a/ evaṃ pātakinaḥ pāpam anubhūya\ su-duḥkhitāḥ /	VizNu 43.45a/ evam pAtakinaH pApam anuBUya\ su-duHKitAH /
   Viṣṇu 43.45c/ tiryag-yonau prapadyante\ duḥkhāni vividhāni ca //	VizNu 43.45c/ tiryak--yonO prapadyante\ duHKAni viviDAni ca //
   Viṣṇu_44	VizNu_44
   Viṣṇu 44.01 atha pāpa-ātmanāṃ narakeṣv anubhūta-duḥkhānāṃ tiryag-yonayo	VizNu 44.01 aTa pApa-a-AtmanAm narakezu anuBUta--duHKAnAm tiryak--yonayo
   bhavanti\ //	Bavanti\ //
   Viṣṇu 44.02 atipātakināṃ paryāyeṇa sarvāḥ sthāvara-yonayaḥ //	VizNu 44.02 atipAtakinAm paryAyeNa sarvAH sTAvara--yonayaH //
   Viṣṇu 44.03 mahāpātakināṃ ca krimi-yonayaḥ //	VizNu 44.03 mahApAtakinAm ca krimi--yonayaH //
   Viṣṇu 44.04 anupātakināṃ pakṣi-yonayaḥ //	VizNu 44.04 anupAtakinAm pakzi--yonayaH //
   Viṣṇu 44.05 upapātakināṃ jalaja-yonayaḥ //	VizNu 44.05 upapAtakinAm jalaja--yonayaH //
   Viṣṇu 44.06 kṛta-jāti-bhraṃśa-karāṇāṃ jala-cara-yonayaḥ //	VizNu 44.06 kRta--jAti--BraMSa--karANAm jala-cara--yonayaH //
   Viṣṇu 44.07 kṛta-saṃkarī-karaṇa-karmaṇāṃ mṛga-yonayaḥ //	VizNu 44.07 kRta--saMkarI--karaNa-karmaNAm mRga--yonayaH //
   Viṣṇu 44.08 kṛta-apātrī-karaṇa-karmaṇāṃ paśu-yonayaḥ //	VizNu 44.08 kRta--apAtrI--karaNa-karmaNAm paSu--yonayaH //
   Viṣṇu 44.09 kṛta-malinī-karaṇa-karmaṇāṃ manuṣyeṣv a-spṛśya-yonayaḥ //	VizNu 44.09 kRta-malinI--karaNa-karmaNAm manuzyezu a-spRSya--yonayaH //
   Viṣṇu 44.10 prakīrṇakeṣu prakīrṇā hiṃsrāḥ kravya-adā bhavanti\ //	VizNu 44.10 prakIrNakezu prakIrNAH hiMsrAH kravya-adAH Bavanti\ //
   Viṣṇu 44.11 a-bhojya-anna-a-bhakṣya-āśī krimiḥ //	VizNu 44.11 a-Bojya--anna--a-Bakzya--ASI krimiH //
   Viṣṇu 44.12 stenaḥ śyenaḥ //	VizNu 44.12 stenaH SyenaH //
   Viṣṇu 44.13 prakṛṣṭa-vartma-apahārī bileśayaḥ //	VizNu 44.13 prakRzwa--vartma--apahArI bileSayaH //
   Viṣṇu 44.14 ākhur dhānya-hārī //	VizNu 44.14 AKuH DAnya--hArI //
   Viṣṇu 44.15 haṃsaḥ kāṃsya-apahārī //	VizNu 44.15 haMsaH kAMsya--apahArI //
   Viṣṇu 44.16 jala-hṛj jala-abhiplavaḥ //	VizNu 44.16 jala-hRt jala-aBiplavaH //
   Viṣṇu 44.17 madhu daṃśaḥ //	VizNu 44.17 maDu daMSaH //
   Viṣṇu 44.18 payaḥ kākaḥ //	VizNu 44.18 payaH kAkaH //
   Viṣṇu 44.19 rasaṃ śvā //	VizNu 44.19 rasam SvA //
   Viṣṇu 44.20 ghṛtaṃ nakulaḥ //	VizNu 44.20 GRtam nakulaH //
   Viṣṇu 44.21 māṃsaṃ gṛdhraḥ //	VizNu 44.21 mAMsam gRDraH //
   Viṣṇu 44.22 vasāṃ madguḥ //	VizNu 44.22 vasAm madguH //
   Viṣṇu 44.23 tailaṃ taila-pāyikaḥ //	VizNu 44.23 tElam tEla-pAyikaH //
   Viṣṇu 44.24 lavaṇaṃ cīvi-vāk //	VizNu 44.24 lavaNam cIvi-vAc //
   Viṣṇu 44.25 dadhi balākā //	VizNu 44.25 daDi balAkAH //
   Viṣṇu 44.26 kauśeyaṃ hṛtvā\ bhavati\ tittiriḥ //	VizNu 44.26 kOSeyam hRtvA\ Bavati\ tittiriH //
   Viṣṇu 44.27 kṣaumaṃ darduraḥ //	VizNu 44.27 kzOmam darduraH //
   Viṣṇu 44.28 kārpāsa-tāntavaṃ krauñcaḥ //	VizNu 44.28 kArpAsa-tAntavam krOQcaH //
   Viṣṇu 44.29 godhā gām //	VizNu 44.29 goDA gAm //
   Viṣṇu 44.30 vālgudo guḍam //	VizNu 44.30 vAlgudaH guxam //
   Viṣṇu 44.31 chuchundarir gandhān //	VizNu 44.31 CuCundariH ganDAn //
   Viṣṇu 44.32 patra-śākaṃ barhī //	VizNu 44.32 patra-SAkam barhI //
   Viṣṇu 44.33 kṛta-annaṃ sedhā //	VizNu 44.33 kRta-annam seDA //
   Viṣṇu 44.34 a-kṛta-annaṃ śalyakaḥ //	VizNu 44.34 a-kRta--annam SalyakaH //
   Viṣṇu 44.35 agniṃ bakaḥ //	VizNu 44.35 agnim bakaH //
   Viṣṇu 44.36 gṛha-kāry upaskaram //	VizNu 44.36 gRha-kArI upaskaram //
   Viṣṇu 44.37 rakta-vāsāṃsi jīva-jīvakaḥ //	VizNu 44.37 rakta-vAsAMsi jIva-jIvakaH //
   Viṣṇu 44.38 gajaṃ kūrmaḥ //	VizNu 44.38 gajam kUrmaH //
   Viṣṇu 44.39 aśvaṃ vyāghraḥ //	VizNu 44.39 aSvam vyAGraH //
   Viṣṇu 44.40 phalaṃ puṣpaṃ vā markaṭaḥ //	VizNu 44.40 Palam puzpam vA markawaH //
   Viṣṇu 44.41 ṛkṣaḥ striyam //	VizNu 44.41 RkzaH striyam //
   Viṣṇu 44.42 yānam uṣṭraḥ //	VizNu 44.42 yAnam uzwraH //
   Viṣṇu 44.43 paśūn gṛdhraḥ //	VizNu 44.43 paSUn gRDraH //
   Viṣṇu 44.44a/ yad vā tad vā para-dravyam apahṛtya\ balān naraḥ /	VizNu 44.44a/ yat vA tat vA para-dravyam apahRtya\ balAt naraH /
   Viṣṇu 44.44c/ avaśyam yāti\ tiryak-tvaṃ jagdhvā\ ca^eva^ahutaṃ haviḥ //	VizNu 44.44c/ avaSyam yAti\ tiryak-tvam jagDvA\ ca^eva^ahutam haviH //
   Viṣṇu 44.45a/ striyo^apy etena kalpena hṛtvā\ doṣam avāpnuyuḥ\ /	VizNu 44.45a/ striyaH-^api etena kalpena hRtvA\ dozam avApnuyuH\ /
   Viṣṇu 44.45c/ eteṣām eva jantūnāṃ bhāryā-tvam upayānti\ tāḥ //	VizNu 44.45c/ etezAm eva jantUnAm BAryA--tvam upayAnti\ tAH //
   Viṣṇu_45	VizNu_45
   Viṣṇu 45.01 naraka-abhibhūta-duḥkhānāṃ tiryak-tvam uttīrṇānāṃ mānuṣyeṣu	VizNu 45.01 naraka--aBiBUta--duHKAnAm tiryak-tvam uttIrNAnAm mAnuzyezu
   lakṣaṇāni bhavanti\ //	lakzaNAni Bavanti\ //
   Viṣṇu 45.02 kuṣṭhy atipātakī //	VizNu 45.02 kuzWI atipAtakI //
   Viṣṇu 45.03 brahma-hā yakṣmī //	VizNu 45.03 brahma-hA yakzmI //
   Viṣṇu 45.04 surā-paḥ śyāva-dantakaḥ //	VizNu 45.04 surA-paH SyAva-dantakaH //
   Viṣṇu 45.05 suvarṇa-hārī kunakhī //	VizNu 45.05 suvarNa-hArI kunaKI //
   Viṣṇu 45.06 guru-tarlpa-go duś-carmā //	VizNu 45.06 guru-tarlpa-gaH duS-carmA //
   Viṣṇu 45.07 pūti-nāsaḥ piśunaḥ //	VizNu 45.07 pUti-nAsaH piSunaH //
   Viṣṇu 45.08 pūti-vaktraḥ sūcakaḥ //	VizNu 45.08 pUti-vaktraH sUcakaH //
   Viṣṇu 45.09 dhānya-coro^aṅga-hīnaḥ //	VizNu 45.09 DAnya--coraH-^aFga-hInaH //
   Viṣṇu 45.10 miśra-coro^atirikta-aṅgaḥ //	VizNu 45.10 miSra--coraH-^atirikta--aFgaH //
   Viṣṇu 45.11 anna-apahārakas tv āmayāvī //	VizNu 45.11 anna-apa-hArakaH tu AmayAvI //
   Viṣṇu 45.12 vāg-apahārako mūkaḥ //	VizNu 45.12 vAc--apahArakaH mUkaH //
   Viṣṇu 45.13 vastra-apahārakaḥ śvitrī //	VizNu 45.13 vastra-apahArakaH SvitrI //
   Viṣṇu 45.14 aśva-apahārakaḥ paṅguḥ //	VizNu 45.14 aSva-apahArakaH paFguH //
   Viṣṇu 45.15 deva-brāhmaṇa-ākrośako mūkaḥ //	VizNu 45.15 deva-brAhmaNa--AkroSakaH mUkaH //
   Viṣṇu 45.16 lola-jihvo garadaḥ //	VizNu 45.16 lola-jihvaH garadaH //
   Viṣṇu 45.17 unmatto^agni-daḥ //	VizNu 45.17 unmattaH-^agni-daH //
   Viṣṇu 45.18 guroḥ pratikūlo^apasmārī //	VizNu 45.18 guroH pratikUlaH-^apasmArI //
   Viṣṇu 45.19 go-ghnas tv andhaḥ //	VizNu 45.19 go-GnaH tu anDaH //
   Viṣṇu 45.20 dīpa-apahārakaś ca //	VizNu 45.20 dIpa-apahArakaH ca //
   Viṣṇu 45.21 kāṇaś ca dīpa-nirvāpakaḥ //	VizNu 45.21 kANaH ca dIpa-nirvApakaH //
   Viṣṇu 45.22 trapu-cāmara-sīsaka-vikrayī rajakaḥ //	VizNu 45.22 trapu--ca-amara--sIsaka-vikrayI rajakaH //
   Viṣṇu 45.23 eka-śapha-vikrayī mṛga-vyādhaḥ //	VizNu 45.23 eka-SaPa-vikrayI mRga-vyADaH //
   Viṣṇu 45.24 kuṇḍa-āśī bhagāsyaḥ //	VizNu 45.24 kuNxa-ASI Baga-AsyaH //
   Viṣṇu 45.25 ghāṇṭikaḥ stenaḥ //	VizNu 45.25 GANwikaH stenaH //
   Viṣṇu 45.26 vārdhuṣiko bhrāmarī //	VizNu 45.26 vArDuzikaH BrAmarI //
   Viṣṇu 45.27 mṛṣṭa-āśy ekākī vāta-gulmī //	VizNu 45.27 mRzwa--ASI ekAkI vAta-gulmI //
   Viṣṇu 45.28 samaya-bhettā khalvāṭaḥ //	VizNu 45.28 samaya--BettA KalvAwaH //
   Viṣṇu 45.29 ślīpady avakīrṇī //	VizNu 45.29 SlIpadI avakIrNI //
   Viṣṇu 45.30 para-vṛtti-ghno daridraḥ //	VizNu 45.30 para-vRtti-GnaH daridraH //
   Viṣṇu 45.31 para-pīḍā-karo dīrgha-rogī //	VizNu 45.31 para-pIxA-karaH dIrGa-rogI //
   Viṣṇu 45.32a/ evaṃ karma-viśeṣeṇa jāyante\ lakṣaṇa-anvitāḥ /	VizNu 45.32a/ evam karma--viSezeNa jAyante\ lakzaNa-anvitAH /
   Viṣṇu 45.32c/ roga-anvitās tathā^andhāś ca kubja-khañja-eka-locanāḥ //	VizNu 45.32c/ roga--anvitAH taTA^anDAH ca kubja--KaQja--eka---locanAH //
   Viṣṇu 45.33a/ vāmanā badhirā mūkā dur-balāś ca tathā^apare /	VizNu 45.33a/ vAmanAH baDirAH mUkAH dur-balAH ca taTA^apare /
   Viṣṇu 45.33c/ tasmāt sarva-prayatnena prāyaścittaṃ samācaret\ //	VizNu 45.33c/ tasmAt sarva--prayatnena prAyaScittam samAcaret\ //
   Viṣṇu_46	VizNu_46
   Viṣṇu 46.01 atha kṛcchrāṇi bhavanti\ //	VizNu 46.01 aTa kRcCrANi Bavanti\ //
   Viṣṇu 46.02 try-ahaṃ na^aśnīyāt\ //	VizNu 46.02 tri--aham na^aSnIyAt\ //
   Viṣṇu 46.03 pratyahaṃ ca tri-ṣavaṇaṃ snānam ācaret\ //	VizNu 46.03 pratyaham ca tri-zavaNam snAnam Acaret\ //
   Viṣṇu 46.04 triḥ pratisnānam apsu majjanam //	VizNu 46.04 tris pratisnAnam apsu majjanam //
   Viṣṇu 46.05 magnas trir aghamarṣaṇaṃ japet\ //	VizNu 46.05 magnaH tris aGamarzaNam japet\ //
   Viṣṇu 46.06 divā sthitas tiṣṭhet\ //	VizNu 46.06 divA sTitaH tizWet\ //
   Viṣṇu 46.07 rātrāv āsīnaḥ //	VizNu 46.07 rAtrO AsInaH //
   Viṣṇu 46.08 karmaṇo^ante payasvinīṃ dadyāt\ //	VizNu 46.08 karmaNaH-^ante payasvinIm dadyAt\ //
   Viṣṇu 46.09 ity aghmarṣaṇam //	VizNu 46.09 iti aGmarzaNam //
   Viṣṇu 46.10 try-ahaṃ sāyaṃ try-ahaṃ prātas try-aham a-yācitam aśnīyāt\ /	VizNu 46.10 tri--aham sAyam tri--aham prAtar tri--aham a-yAcitam aSnIyAt\ /
   eṣa prājāpatyaḥ //	eza prAjApatyaH //
