   (Matsumura 186)	(MatsumuraH 186)
   Kaṭhina-v 49. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 49. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ paligodhasantatir bahiḥsīmāṃ prakrāmati pratyeṣyāmi	anizWita-cIvaraH pali-goDa-santatiH bahis-si-imAm prakrAmati pratyezyAmi
   cīvaraṃ kariṣyāmīti / tasya gatasyaivaṃ bhavati na haiva pratyeṣyāmi nāpi	cIvaram karizyAmi-iti / tasya gatasya-evam Bavati na ha-eva pratyezyAmi na-api
   cīvaraṃ kariṣyāmīti / tasya sanniṣṭhāpanāntikaḥ kaṭhinoddhāraḥ //	cIvaram karizyAmi-iti / tasya sannizWApana-antikaH kaWina-udDAraH //
   Kaṭhina-v 50. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 50. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ paligodhasaṃtatiḥ bahiḥsīmāṃ prakrāmati pratyeṣyāmi	anizWita-cIvaraH pali-goDa-saMtatiH bahis-si-imAm prakrAmati pratyezyAmi
   cīvaraṃ kariṣyāmīti / sa tatra gatā ārabhate ārabdhaṃ cāsya naśyati /	cIvaram karizyAmi-iti / sa tatra gatAH AraBate ArabDam ca-asya naSyati /
   tasya nāśanāntikaḥ kaṭhinoddhāraḥ //	tasya nASana-antikaH kaWina-udDAraH //
   Kaṭhina-v 51. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 51. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ paligodhasantatir bahiḥsīmāṃ prakrāmati (279v1 = GBM	anizWita-cIvaraH pali-goDa-santatiH bahis-si-imAm prakrAmati (279v1  GBm
   6.871) pratyeṣyāmi cīvaraṃ kariṣyāmīti / samagreṇa saṃghena kaṭhinam	6.871) pratyezyAmi cIvaram karizyAmi-iti / samagreNa saMGena kaWinam
   uddhṛtam* sa śṛṇoti samagreṇa saṃghena kaṭhinam uddhṛtam iti śrutvā	udDRtam* sa SRNoti samagreNa saMGena kaWinam udDRtam iti SrutvA
   cābhyanumodate / sādhūddhṛtaṃ suṣṭhūddhṛtam iti // tasya śrāvaṇāntikaḥ	ca-aByanumodate / sADu-udDRtam suzWu-udDRtam iti // tasya SrAvaNa-antikaH
   kaṭhinoddhāraḥ //	kaWina-udDAraH //
   Kaṭhina-v 52. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 52. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   (Matsumura 226) 'niṣṭhitacīvaraḥ vicikitsāsantatir bahiḥsīmāṃ prakrāmati	(MatsumuraH 226) anizWita-cIvaraH vicikitsA-santatiH bahis-si-imAm prakrAmati
   kin nu pratyeṣyāmi āhosvin na pratyeṣyāmīti tasyaivaṃ bhavati na haiva	kin nu pratyezyAmi Ahosvit na pratyezyAmi-iti tasya-evam Bavati na ha-eva
   pratyeṣyāmy api tu cīvaraṃ kariṣyāmīti tasya niṣṭhāpanāntikaḥ	pratyezyAmi api tu cIvaram karizyAmi-iti tasya nizWApana-antikaH
   kaṭhinoddhāraḥ //	kaWina-udDAraH //
   Kaṭhina-v 53. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 53. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ vicikitsāsantatir bahiḥsīmāṃ prakrāmati kin nu	anizWita-cIvaraH vicikitsA-santatiH bahis-si-imAm prakrAmati kid nu
   pratyeṣyāmi āhosvin na pratyeṣyāmīti tasyaivaṃ bhavati na haiva	pratyezyAmi Ahosvit na pratyezyAmi-iti tasya-evam Bavati na ha-eva
   pratyeṣyāmy nāpi cīvaraṃ kariṣyāmīti tasya sanniṣṭhāpanāntikaḥ	pratyezyAmi na-api cIvaram karizyAmi-iti tasya sannizWApana-antikaH
   kaṭhinoddhāraḥ //	kaWina-udDAraH //
   Kaṭhina-v 54. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 54. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ vicikitsāsantatir bahiḥsīmāṃ prakrāmati / kin nu	anizWita-cIvaraH vicikitsA-santatiH bahis-si-imAm prakrAmati / kid nu
   pratyeṣyāmy āhosvin na pratyeṣyāmīti sa tad ārabhate ārabdhaṃ cāsya	pratyezyAmi Ahosvit na pratyezyAmi-iti sa tat AraBate ArabDam ca-asya
   naśyati tasya nāśanāntikaḥ kaṭhinoddhāraḥ //	naSyati tasya nASana-antikaH kaWina-udDAraH //
   Kaṭhina-v 55. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 55. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ vicikitsāsantatir bahiḥsīmāṃ prakrāmati / kin nu	anizWita-cIvaraH vicikitsA-santatiH bahis-si-imAm prakrAmati / kid nu
   (Matsumura 227) pratyeṣyāmi āhosvin na pratyeṣyāmīti samagreṇa saṃghena	(MatsumuraH 227) pratyezyAmi Ahosvit na pratyezyAmi-iti samagreNa saMGena
   kaṭhinam uddhṛtam* sa śṛṇoti samagreṇa saṃghena kaṭhinam uddhṛtam iti	kaWinam udDRtam* sa SRNoti samagreNa saMGena kaWinam udDRtam iti
   śrutvā cābhyanumodate sādhūddhṛtaṃ suṣṭhūddhṛtam iti tasya śrāvaṇāntikaḥ	SrutvA ca-aByanumodate sADu-udDRtam suzWu-udDRtam iti tasya SrAvaNa-antikaH
   kaṭhinoddhāraḥ //	kaWina-udDAraH //
   Kaṭhina-v 56. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 56. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmati / pratyeṣyāmi cīvaraṃ kariṣyāmīti	anizWita-cIvaraH bahis-si-imAm prakrAmati / pratyezyAmi cIvaram karizyAmi-iti
   tasyaivaṃ bhavati na haiva pratyeṣyāmy api tu cīvaraṃ kariṣyāmīti tasya	tasya-evam Bavati na ha-eva pratyezyAmi api tu cIvaram karizyAmi-iti tasya
   niṣṭhāpanāntikaḥ kaṭhinoddhāraḥ	nizWApana-antikaH kaWina-udDAraH
   pūrvasyāṃ viṃśikāyāṃ akṛtacīvaro 'niṣṭhitacīvara ity atrāniṣṭhitacīvara	pUrvasyAm viMSikAyAm akRta-cIvaraH anizWita-cIvaraH iti atra-anizWita-cIvara
   ity apanīya viprakṛtacīvara iti datvā nānākāreṇāparā viṃśati karyā / // //	iti apanIya viprakRta-cIvaraH iti datvA nAnA-AkAreNa-aparA viMSati karyA / // //
   Kaṭhina-v 57. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 57. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaro bahiḥsīmāṃ prakrāmaty āśayā pratyeṣyāmi cīvaraṃ	anizWita-cIvaraH bahis-si-imAm prakrAmati ASayA pratyezyAmi cIvaram
   kariṣyāmīti tasyaivaṃ bhavati / na haiva pratyeṣyāmy api tu cīvaraṃ	karizyAmi-iti tasya-evam Bavati / na ha-eva pratyezyAmi api tu cIvaram
   kariṣyāmīti tasya niṣṭhāpanāntikaḥ kaṭhinoddhāraḥ	karizyAmi-iti tasya nizWApana-antikaH kaWina-udDAraH
   āśayety anena viśeṣeṇa pūrvavad aparā viṃśikā kāryā //	ASaya-iti anena viSezeNa pUrvavat aparA viMSikA kAryA //
   (Matsumura 228)	(MatsumuraH 228)
   Kaṭhina-v 58. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 58. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmaty anāśayā pratyeṣyāmi cīvaraṃ	anizWita-cIvaraH bahis-si-imAm prakrAmati anASayA pratyezyAmi cIvaram
   kariṣyāmīti / tasyaivaṃ bhavati na haiva pratyeṣyāmy api tu cīvaraṃ	karizyAmi-iti / tasya-evam Bavati na ha-eva pratyezyAmi api tu cIvaram
   kariṣyāmīti / tasya niṣṭhāpanāntikaḥ kaṭhinoddhāraḥ	karizyAmi-iti / tasya nizWApana-antikaH kaWina-udDAraH
   anāśayety anena viśeṣeṇāparā viṃśikā kāryā // //	anASaya-iti anena viSezeNa-aparA viMSikA kAryA // //
   uddānam* //	uddAnam* //
   karaṇīyena dvādaśikā paryeṣaṇatayā tathā .	karaNIyena dvAdaSikA paryezaNa-tayA taTA .
   deśena paṃcikāṃ kṛtvā āvāsena ca paṃcikā // //	deSena paMcikAm kRtvA AvAsena ca paMcikA // //
   Kaṭhina-v 59. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 59. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaro bahiḥsīmāṃ prakrāmati karaṇīyena pratyeṣyāmi cīvaraṃ	anizWita-cIvaraH bahis-si-imAm prakrAmati karaNIyena pratyezyAmi cIvaram
   kariṣyāmīti / tasyaivaṃ bhavati na haiva pratyeṣyāmy api tu cīvaraṃ (280r1	karizyAmi-iti / tasya-evam Bavati na ha-eva pratyezyAmi api tu cIvaram (280r1
   = GBM 6.872) kariṣyāmīti tasya niṣṭhāpanāntikaḥ kaṭhinoddhāraḥ	 GBm 6.872) karizyAmi-iti tasya nizWApana-antikaH kaWina-udDAraH
   Kaṭhina-v 60. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 60. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmati karaṇīyena pratyeṣyāmi cīvaraṃ	anizWita-cIvaraH bahis-si-imAm prakrAmati karaNIyena pratyezyAmi cIvaram
   kariṣyāmīti tasyaivaṃ bhavati na haiva pratyeṣyāmy nāpi cīvarakaṃ	karizyAmi-iti tasya-evam Bavati na ha-eva pratyezyAmi na-api cIvarakam
   kariṣyāmīti / tasya sanniṣṭhāpanāntikaḥ kaṭhinoddhāraḥ //	karizyAmi-iti / tasya sannizWApana-antikaH kaWina-udDAraH //
   Kaṭhina-v 61. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 61. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmati karaṇīyena pratyeṣyāmi cīvaraṃ	anizWita-cIvaraH bahis-si-imAm prakrAmati karaNIyena pratyezyAmi cIvaram
   kariṣyāmīti (Matsumura 229) sa tad ārabhate ārabdhaṃ cāsya naśyati tasya	karizyAmi-iti (MatsumuraH 229) sa tat AraBate ArabDam ca-asya naSyati tasya
   nāśanāntikaḥ kaṭhinoddhāraḥ //	nASana-antikaH kaWina-udDAraH //
   Kaṭhina-v 62. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 62. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmati karaṇīyena pratyeṣyāmi cīvaraṃ	anizWita-cIvaraH bahis-si-imAm prakrAmati karaNIyena pratyezyAmi cIvaram
   kariṣyāmīti / samagreṇa ca saṃghena kaṭhinam uddhṛtaṃ sa śṛṇoti samagreṇa	karizyAmi-iti / samagreNa ca saMGena kaWinam udDRtam sa SRNoti samagreNa
   saṃghena kaṭhinam uddhṛtam iti śrutvā cābhyanumodate sādhūddhṛtaṃ	saMGena kaWinam udDRtam iti SrutvA ca-aByanumodate sADu-udDRtam
   suṣṭhūddhṛtam iti / tasya śrāvaṇāntikaḥ kaṭhinoddhāraḥ //	suzWu-udDRtam iti / tasya SrAvaNa-antikaH kaWina-udDAraH //
   Kaṭhina-v 63. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 63. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmati karaṇīyena pratyeṣyāmi cīvaraṃ	anizWita-cIvaraH bahis-si-imAm prakrAmati karaNIyena pratyezyAmi cIvaram
   kariṣyāmīti / tasya tatra gatasyaivaṃ bhavati na haiva pratyeṣyāmy api tu	karizyAmi-iti / tasya tatra gatasya-evam Bavati na ha-eva pratyezyAmi api tu
   cīvaraṃ kariṣyāmīti tasya niṣṭhāpanāntikaḥ kaṭhinoddhāraḥ //	cIvaram karizyAmi-iti tasya nizWApana-antikaH kaWina-udDAraH //
   yathāpi tatra gatasyety anena viśeṣeṇa niṣṭhāpanāntika uktaḥ evaṃ	yaTA-api tatra gatasya-iti anena viSezeNa nizWA-apana-antikaH uktaH evam
   sanniṣṭhāpanāntikaḥ // 6 //	sannizWApana-antikaH // 6 //
   nāśanāntikaḥ // 7 //	nASana-antikaH // 7 //
   śrāvaṇāntikaḥ // 8 //	SrAvaNa-antikaH // 8 //
   Kaṭhina-v 64. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 64. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ vicikitsāsaṃtatir bahiḥsīmāṃ prakrāmati karaṇīyena kiṃ nu	anizWita-cIvaraH vicikitsA-saMtatiH bahis-si-imAm prakrAmati karaNIyena kim nu
   pratyeṣyāmi āhosvin na pratyeṣyāmīti tasyaivaṃ bhavati na haiva	pratyezyAmi Ahosvit na pratyezyAmi-iti tasya-evam Bavati na ha-eva
   pratyeṣyāmy api tu cīvaraṃ kariṣyāmīti tasya niṣṭhāpanāntikaḥ	pratyezyAmi api tu cIvaram karizyAmi-iti tasya nizWApana-antikaH
   kaṭhinoddhāraḥ // 9 //	kaWina-udDAraH // 9 //
   yathā vicikitsāsantatir ity anena viśeṣeṇa niṣṭhāpanāntika uktaḥ // evaṃ	yaTA vicikitsA-santatiH iti anena viSezeNa nizWA-apana-antikaH uktaH // evam
   sanniṣṭhāpanāntikaḥ // 10 //	sannizWApana-antikaH // 10 //
   nāśanāntikaḥ // 11//	nASana-antikaH // 11//
   (Matsumura 230)	(MatsumuraH 230)
   śravaṇāntikaḥ // 12 //	SravaNa-antikaH // 12 //
   Kaṭhina-v 65. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 65. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmati paryeṣaṇāya pratyeṣyāmi cīvaraṃ	anizWita-cIvaraH bahis-si-imAm prakrAmati paryezaNAya pratyezyAmi cIvaram
   kariṣyāmīti / tasyaivaṃ bhavati na haiva pratyeṣyāmy api tu cīvaraṃ	karizyAmi-iti / tasya-evam Bavati na ha-eva pratyezyAmi api tu cIvaram
   kariṣyāmīti tasya niṣṭhāpanāntikaḥ kaṭhinoddhāraḥ	karizyAmi-iti tasya nizWApana-antikaH kaWina-udDAraH
   paryeṣanāyety anena viśeṣeṇa pūrvavad aparā dvādaśikā : // //	paryezanAya-iti anena viSezeNa pUrvavat aparA dvAdaSikA : // //
   Kaṭhina-v 66. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 66. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ bahiḥsīmāṃ prakrāmati deśānuprekṣī apunarāgamanāya tasya	anizWita-cIvaraH bahis-si-imAm prakrAmati deSa-anuprekzI apunarAgamanAya tasya
   prakramaṇāntikaḥ kaṭhinoddhāraḥ //	prakramaNa-antikaH kaWina-udDAraH //
   Kaṭhina-v 67.i. yathāpi tad bhikṣur āstīrṇakaṭhinād āvāsād akṛtacīvaro	KaWina-u 67.i. yaTA-api tat BikzuH AstIrNa-kaWinAt AvAsAt akRta-cIvaraH-
   'niṣṭhitacīvaraḥ vicikitsāsantati deśānuprekṣī bahiḥsīmāṃ prakrāmati kin	anizWita-cIvaraH vicikitsA-Asantati deSa-anuprekzI bahis-si-imAm prakrAmati kin
   nu pratyeṣyāmi āhosvin na pratyeṣyāmīti tasyaivaṃ bhavati na haiva	nu pratyezyAmi Ahosvit na pratyezyAmi-iti tasya-evam Bavati na ha-eva
   pratyeṣyāmy api tu cīvaraṃ kariṣyāmīti tasyaiva niṣṭhāpanāntikaḥ	pratyezyAmi api tu cIvaram karizyAmi-iti tasya-eva nizWApana-antikaH
   kaṭhinoddhāraḥ // 2 //	kaWina-udDAraH // 2 //
   evaṃ sanniṣṭhāpanāntikaḥ // 3 //	evam sannizWApana-antikaH // 3 //
   nāśanāntikaḥ // 4 //	nASana-antikaH // 4 //
   śrāvaṇāntikaḥ // 5 //	SrAvaNa-antikaH // 5 //
   Kaṭhina-v 67.ii. yathā deśānuprekṣaṇapaṃcikā evam āvāsaprekṣaṇapaṃcikā //	KaWina-u 67.ii. yaTA deSa-anuprekzaNa-paMcikA evam AvAsa-prekzaNa-paMcikA //
   kaṭhinavastu samāpta : // //	kaWina-vastu samApta : // //
