   Adhyaya 4, Pada 1	ADyayaH 4, Pada 1
   cenna /	ced-na /
   avyaktirhi pratibhāsābhāvo vyaktiśca pratibhāsaḥ /	avyaktiH-hi pratiBAsA-BAvaH vyaktiH-ca pratiBAsaH /
   tataścāpratibhāsānna pratibhāsate pratibhāsanācca pratibhāsata ityuktaṃ	tatas-ca-apratiBAsAt-na pratiBAsate pratiBAsanAt-ca pratiBAsate iti-uktam
   syāt /	syAt /
   kiñca pratītikāraṇāntaḥkaraṇasadbhāve saṃsāre na pratīyate /	kiQca pratIti-kAraNa-antaHkaraNa-sadBAve saMsAre na pratIyate /
   muktau tu tadapagame pratīyata iti subhāṣitam /	muktO tu tad-apagame pratIyate iti suBAzitam /
   āvṛtatvānna pratīyata iti cenna /	AvRta-tvAt-na pratIyate iti ced-na /
   mūrtatvābhāvenāvaraṇānupapatteḥ /	mUrta-tva-aBAvena-AvaraNa-anupapatteH /
   tadanirūpaṇācca /	tad-anirUpaNAt-ca /
   sukhamiva tatpratītirapyanādiścetkimāvaraṇakṛtyam /	suKam-iva tad-pratItiH-api-anAdiH-ced-kim-AvaraNa-kRtyam /
   viṣayaviṣayibhāvaḥ pratibadhyata iti cenna /	vizaya-vizayi-BAvaH pratibaDyate iti ced-na /
   nirviṣayāyāḥ pratīteranupapatteḥ /	nirvizayAyAH pratIteH-anupapatteH /
   sukhatatpratītyoranāditāyāṃ pramitāyāmeva caiṣā kalpanā yuktā /	suKa-tad-pratItyoH-anAditAyAm pramitAyAm-eva ca-ezA kalpanA yuktAH /
   naca tatra pramāṇaṃ paśyāmaḥ /	na-ca tatra pramANam paSyAmaH /
   tataḥ sukhasya tatpratīteśca muktāvutpattireva vaktavyā /	tatas suKasya tad-pratIteH-ca muktO=-utpattiH-eva vaktavyA /
   sāpi na sambhavati /	sA-api na samBavati /
   kāraṇābhāvāt /	kAraNa-aBAvAt /
   śarīre sati tadāśrayendriyasadbhāvaḥ, tairarthālocanaṃ, tataḥ	SarIre sati tad-ASraya-indriya-sadBAvaH, tEH-arTa-AlocanaM, tatas-
   pūrvānubhūtasārūpyeṇeṣyāniṣyasādhanatvānumānaṃ, tasmādicchādveṣau, tābhyāṃ	pUrva-anuBUta-sArUpyeNa-izi-A-nizya-sADanatva-anumAnan, tasmAt-icCA-dvezO, tAByAm
   prayatnaḥ, tataśceṣyasādhanopādānaṃ, aniṣyasādhanahānaṃ ca, tataḥ	prayatnaH, tatas-ca-izya-sADana-upAdAnan, anizya-sADana-hAnam ca, tatas-
   sukhotpādaḥ, tadanantaraṃ tatpratītirityeva dṛṣṭakāraṇakramaḥ /	suKa-utpAdaH, tad-anantaram tad-pratItiH-iti-eva dRzwa-kAraNa-kramaH /
   adṛṣṭaṃ ca sarvatra vijayate /	adRzwam ca sarvatra vijayate /
   na caiṣa kāraṇapravāho muktāvasti /	na ca-eza kAraNa-pravAhaH muktO=-asti /
   tatsadbhāve duḥkhasyāpi prasaṅgena muktatvavyāghātāt /	tad-sadBAve duHKasya-api prasaFgena mukta-tva-vyAGAtAt /
   tasmātsukharahita eva mokṣaḥ /	tasmAt-suKa-rahitaH eva mokzaH /
   kathamayaṃ puruṣārtha iti cet śarīraṃ ṣaḍindriyāṇi ṣaḍviṣayāḥ ṣaḍbuddhayaḥ	kaTam-ayam puruza-arTaH iti ced SarIram zaz-indriyANi zaz-vizayAH zaz-budDayaH
   sukhaṃ duḥkhaṃ cetyekaviṃśatibhedaduḥkhātyantanivṛttitvāditi brūmaḥ /	suKam duHKam ca-iti-ekaviMSati-Beda-duHKa-atyanta-nivRtti-tvAt-iti brUmaH /
   duḥkhanivṛttiḥ puruṣārtha eva na bhavati /	duHKa-nivRttiH puruza-arTaH eva na Bavati /
   tadīyapuruṣārthatvasya sopādhikatvāt /	tadIya-puruza-arTa-tvasya sa-upADika-tvAt /
   sukhaṃ duḥkhābhāve satyeva bhavatīti sukhārthaṃ duḥkhābhāvo mṛgyate na tu	suKam duHKa-aBAve satyeva Bavati-iti suKa-arTam duHKa-aBAvaH mRgyate na tu
   sa eva puruṣasya samīhita iti cet (na) /	saH eva puruzasya samIhitaH iti ced (na) /
   viparyayasyāpi sadbhāvāt /	viparyayasya-api sadBAvAt /
   bhojanādisukhe satyeva bubhukṣādiduḥkhaṃ nivartata iti	Bojana-Adi-suKe sati-eva buBukzA-Adi-duHKam nivartate iti
   duḥkhanivṛttyarthameva bhojanādisukhaṃ mṛgyate na punastadeva puruṣasya	duHKa-nivRtti-arTam-eva Bojana-Adi-suKam mRgyate na punar-tat-eva puruzasya
   samīhitamiti kalpyate /	samIhitam-iti kalpyate /
   kvacidduḥkhanivṛttyabhāve 'pi sukhasyeṣyamāṇatvāditi cenna /	kvacid-duHKa-nivRtti-aBAve api suKasya-izyamANa-tvAt-iti ced-na /
   duḥkhanivṛttirapi kvacitsukhābhāve 'pīṣyamāṇatvāt /	duHKa-nivRttiH-api kvacid-suKa-aBAve apIzyamANa-tvAt /
   duḥkhanivṛttau satyāṃ sukhameva bhaviṣyatītyabhisandhistāvadastīti cet /	duHKa-nivRttO satyAm suKam-eva Bavizyati-iti-aBisanDiH-tAvat-asti-iti ced /
   sukhāvasthāyāṃ niyato duḥkhaviraho bhavatītyabhisandhestatrāpi sadbhāvāt /	suKa-avasTAyAm niyataH duHKa-virahaH Bavati-iti-aBisanDeH-tatra-api sadBAvAt /
   tasmādyadyapi duḥkhābhāve sukhaṃ sukhe ca duḥkhābhāvo niyataḥ /	tasmAt-yadi-api duHKa-aBAve suKam suKe ca duHKa-aBAvaH niyataH /
   tathāpi parasparaṃ nirapekṣameva puruṣārthatvamanayoḥ /	taTA-api parasparam nirapekzam-eva puruza-arTa-tvam-anayoH /
   icchāyā asaṅkīṇarviṣayatvāditi /	icCAyAH asaFkINarvizaya-tvAt-iti /
   *12,236f.*	*12,236f.*
   bhavati duḥkhahāniḥ puruṣārthaḥ kiṃ tvanubhūyamānatayā /	Bavati duHKa-hAniH puruza-arTaH kim tu-anuBUyamAna-tayA /
   nahi viṣādijanyamohāvasthāyāṃ duḥkhanivṛttiriti tatra prekṣāvantaḥ	na-hi viza-Adi-janya-moha-avasTAyAm duHKa-nivRttiH-iti tatra prekzAvantaH
   pravartante /	pravartante /
   tasmānmokṣe duḥkhahānerananubhūyamānatvānna puruṣārthatvamiti cenna /	tasmAt-mokze duHKa-hAneH-ananuBUyamAna-tvAt-na puruza-arTa-tvam-iti ced-na /
   putrādiviyogajanyaduḥkhahānimicchatāṃ keṣāñcidviṣaśastrodbandhanādāvapi	putra-Adi-viyoga-janya-duHKa-hAnim-icCatAm kezAQcit-viza-Sastra-udbanDa-na-AdO=-api
   pravṛttidarśanāt /	pravRtti-darSanAt /
   prekṣāvanto naivaṃ kurvantīti cenna /	prekzAvantaH na-evam kurvanti-iti ced-na /
   puruṣārthatvāvirodhāt /	puruza-arTa-tva-aviroDAt /
   nahi paradāreṣu śāstraniṣedhāṅkuśavāritaḥ prekṣāvanto nābhivartanta iti na	na-hi para-dArezu SAstra-nizeDa-aFkuSa-vAritaH prekzAvantaH na-aBivartantaH iti na
   tatra kāmaḥ puruṣārthaḥ /	tatra kAmaH puruza-arTaH /
   api tvalpīyaḥ sukhaṃ mahīyānanartha iti nivṛttiḥ /	api tu-alpIyaH suKam mahIyAn-anarTaH iti nivRttiH /
   tathā viṣādāvapi pravṛttasya śāstre garhitatvādalpīyānanartho nivartate	taTA viza-AdO=-api pravRttasya SAstre garhita-tvAt-alpIyAn-anarTaH nivartate
   mahīyānpravartata iti na te pravartante /	mahIyAn-pravartate iti na te pravartante /
   iyameva hi prekṣā yatpuruṣārthe 'pi śāstralokavirodhaparāmarśaḥ /	iyam-eva hi prekzA yat-puruza-arTe api SAstra-loka-viroDa-parAmarSaH /
   svarūpeṇeṣyamāṇatāmātranibandhanatvātpuruṣārthatāyāḥ /	sva-rUpeNa-izyamANa-tA-mAtra-nibanDana-tvAt-puruza-arTa-tAyAH /
   ata eva yatra lokaśāstrāvirodhastatra vyādhyādiparipīḍitāḥ	atas eva yatra loka-SAstra-aviroDaH-tatra vyADi-Adi-paripIxitAH
   prayagavāripātānaśanādināpi dehaṃ tyajantaḥ prekṣāvanto 'pi dṛśyante /	prayaga-vAri-pAta-an-aSana-AdinA-api deham tyajantaH prekzAvantaH api dRSyante /
   na kvacidduḥkhanivṛttimanubhaviṣyāmīti tatsādhane pravartante /	na kvacid-duHKa-nivRttim-anuBavizyAmi-iti tad-sADane pravartante /
   api tu duḥkhaṃ hāsyāmīti /	api tu duHKam hAsyAmi-iti /
   api ca duḥkhanivṛtteranubhūyamānatāmātraṃ vivakṣitaṃ, duḥkhanivṛttisattāpi	api ca duHKa-nivRtteH-anuBUyamAna-tA-mAtram vivakzitan, duHKa-nivRtti-sattA-api
   vā /	vA /
   ādyeścettuṣyatu durjanaḥ carame janmanyanubhūyata eva /	AdyeH-ced-tuzyatu durjanaH carame janmani-anuBUyate eva /
   samādhibhāvā(vadhiva)dātyantikī	samADi-BAvA(vaDi-va)dAti-antikI
   duḥkhanivṛttirapyanāgatāvartamānāpyaciramanubhūyata eva /	duHKa-nivRttiH-api-anAgata-AvartamAnA-api-aciram-anuBUyate eva /
   dvitīye tu prasaktakaṇṭakādihetukaduḥkhanivṛtterapuruṣārthatvaprasaṅgaḥ /	dvitIye tu prasakta-kaNwaka-Adi-hetuka-duHKa-nivRtteH-apuruza-arTa-tva-prasaFgaH /
   sarvadānanubhūyamānatvāt /	sarva-dAnanuBUyamAna-tvAt /
   tathātve vā viṣayāntarasañcārābhāvaprasaṅgaḥ /	taTA-tve vA vizaya-antara-saQcAra-aBAva-prasaFgaH /
   nivṛtteḥ sarvadā tādavasthyāt /	nivRtteH sarvadA tAdavasTyAt /
   tasmātsukharahito mokṣaḥ puruṣārtha iti /	tasmAt-suKa-rahitaH mokzaH puruza-arTaH iti /
   nirākaroti- naitaditi //	nirAkaroti na-etat-iti //
   ... naitadapyatra śobhanaṃ ... // MAnuv_4,2.72ab //	... na-etat-api-atra SoBanam ... // Ma-anuv_4,2.72aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   atra muktau /	atra muktO /
   etat sukharāhityamatamapi na śobhanam /	etat suKarAhitya-matam-api na SoBanam /
   kuta ityata āha- śrūyata iti //	kutas iti-atas Aha SrUyate iti //
   ... śrutayo yataḥ /	... SrutayaH yatas /
   mahānandaṃ ca bhogaṃ ca niyamena vadanti hi // MAnuv_4,2.72b-d //	mahAnandam ca Bogam ca niyamena vadanti hi // MA-anuv_4,2.72b-d //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   atreti vartate /	atra-iti vartate /
   bhogam tadanubhavam /	Bogam tad-anuBavam /
   niyamena avigānena /	niyamena avigAnena /
   iti śrutīnāṃ prasiddhatāmācaṣṭe /	iti SrutInAm prasidDa-tAm-Acazwe /
   tāścodāhariṣyante /	tAH-ca-udAharizyante /
   nanu"aśarīraṃ vāva santaṃ na priyāpriye spṛśate'; iti muktasya	nanu"a-SarIram vAva santam na priya-apriye spRSate-a; iti muktasya
   duḥkhavatsukhasyāpi hāniḥ śrūyate /	duHKa-vat-suKasya-api hAniH SrUyate /
   tathā"na pretya saṃjñāsti'; iti jñānābhāvācca /	taTA"na pretya saMjQAH-ti-a; iti jQAna-aBAvAt-ca /
   tatkathametadityataḥ sukhāspṛṣṭiśrutiṃ tāvadvayācaṣṭe- prākṛteti //	tat-kaTam-etat-iti-atas suKa-aspRzwi-Srutim tAvadvaya-Acazwe prAkRtA-iti //
   prākṛtapriyahānistu priyāspṛṣṭiritīryate // MAnuv_4,2.73ab //	prAkRta-priya-hAniH-tu priyA-spRzwiH-iti-Iryate // Ma-anuv_4,2.73aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   asyāṃ śrutau prākṛtaṃ yadantaḥkaraṇapariṇatirūpaṃ priyaṃ taddhānireva	asyAm SrutO prAkRtam yad-antaHkaraNa-pariNati-rUpam priyam tat-hAniH-eva
   priyāspṛṣṭiritiśabdena pratipādyate /	priyA-spRzwiH-iti-Sabdena pratipAdyate /
   natu sarvathā sukhābhāvaḥ /	na-tu sarvaTA suKa-aBAvaH /
   evaṃ tarhyapriyāspṛṣṭirapyevaṃ vibhāgena vyākhyātavyā /	evam tarhi-apriya-aspRzwiH-api-evam viBAgena vyAKyAtavyA /
   viśeṣābhāvāt /	viSeza-aBAvAt /
   tathāca mokṣe duḥkhasadbhāva(prāptiri)prasaktirityata āha- apriyamiti //	taTA-ca mokze duHKa-sadBAva(-prAptiH-i)-prasaktiH-iti-atas Aha apriyam-iti //
   apriyaṃ pratikūlaṃ tadaviśeṣeṇa śabditam // MAnuv_4,2.73cd //	apriyam pratikUlam tat-aviSezeNa Sabditam // Ma-anuv_4,2.73cd //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   yasmātsakalamapyapriyaṃ (duḥkhaṃ) pratikūlaṃ mumukṣoranapekṣitam /	yasmAt-sakalam-api-apriyam (duHKaM) pratikUlam mumukzoH-anapekzitam /
   tattasmādapriyamatrāviśeṣeṇa śabditam /	tat-tasmAt-apriyamatra-aviSezeNa Sabditam /
   etaduktaṃ bhavati /	etat-uktam Bavati /
   sarvātmanāniṣyanivṛttirmokṣa iti tāvadavivādaṃ sarvavādinām /	sarva-AtmanA-anizya-nivRttiH-mokzaH iti tAvat-avivAdam sarva-vAdinAm /
   duḥkhaṃ tu yādṛśatādṛśamapyaniṣyameva /	duHKam tu yAdRSa-tAdRSam-api-anizyam-eva /
   ato na tadvibhāgena vyākhyātuṃ yuktamiti /	atas na tad-viBAgena vyAKyAtum yuktam-iti /
   yadvā /	yat-vA /
   yena nyāyena priye vibhāgaḥ kriyate tadaviśeṣaścedapriye syāttadā tadapi	yena nyAyena priye viBAgaH kriyate tad-aviSezaH-ced-apriye syAt-tadA tat-api
   vibhāgena vyākhyātavyaṃ bhavet /	viBAgena vyAKyAtavyam Bavet /
   nacaivam /	naca-evam /
   sāmastyena priyahāniraniṣyā /	sAmastyena priya-hAniH-anizyA /
   aniṣyaprāptau ca mokṣasyāpuruṣāthartvaṃ syādityato hi priye vibhāgaḥ	anizya-prAptO ca mokzasya-apuruzATa-Rtvam syAt-iti-atas hi priye viBAgaH
   kalpyate /	kalpyate /
   tathāca vakṣyāmaḥ /	taTA-ca vakzyAmaH /
   naca sāmastyena duḥkhahāniraniṣyā /	na-ca sAmastyena duHKa-hAniH-anizyA /
   sarvasyāpi duḥkhasyāniṣṭatvena taddhāneriṣṭatvāt /	sarvasya-api duHKasya-anizwa-tvena tad-hAneH-izwa-tvAt /
   tarhi sarvasyāpi sukhasyeṣṭatvāt prākṛtasukhahānirapi nāṅgīkaraṇīyeti	tarhi sarvasya-api suKasya-izwa-tvAt prAkRta-suKa-hAniH-api na-aFgIkaraNIyA-iti
   cenna /	ced-na /
   tasya duḥkhānuṣaktatvena viṣasampṛktamadhuvadaniṣyapakṣanikṣepāditi bhāvaḥ	tasya duHKa-anuzakta-tvena viza-sampRkta-maDu-vat-anizya-pakza-nikzepAt-iti BAvaH
   itaśca nāpriyaṃ prākṛtatvena viśeṣaṇīyamityāha- nāstīti /	itas-ca na-apriyam prAkRta-tvena viSezaNIyam-iti-Aha na-asti-iti /
   nāsti hyaprākṛtaṃ duḥkhaṃ sato jīvasya kutracit // MAnuv_4,2.74ab //	na-asti hi-aprAkRtam duHKam sataH jIvasya kutracid // Ma-anuv_4,2.74aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   aprākṛte duḥkhe sati tadvayāvṛttaye prākṛtamiti viśeṣaṇīyaṃ syāt /	aprAkRte duHKe sati tad-vayA-vRttaye prAkRtam-iti viSezaNIyam syAt /
   sato muktiyogyasya /	sataH mukti-yogyasya /
   jīvasyāprākṛtaṃ duḥkhaṃ nāsti pramāṇābhāvāt /	jIvasya-aprAkRtam duHKam na-asti pramANa-aBAvAt /
   ato vyarthaṃ viśeṣaṇamiti /	atas vyarTam viSezaNam-iti /
   kutracit śrutau smṛtau coktamiti śeṣaḥ /	kutracid SrutO smRtO ca-uktam-iti SezaH /
   evaṃ tarhyaprākṛtasya sukhasyāpyapramitatvāttatrāpi viśeṣaṇaprakṣepeṇa	evam tarhi-aprAkRtasya suKasya-api-apramita-tvAt-tatra-api viSezaNa-prakzepeNa
   vyākhyānamayuktamityata āha- priyamiti //	vyAKyAnam-ayuktam-iti-atas Aha priyam-iti //
   priyaṃ svarūpamevāsya balānandādivākyataḥ // MAnuv_4,2.74cd //	priyam svarUpam-eva-asya bala-Ananda-Adi-vAkyataH // Ma-anuv_4,2.74cd //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   "balamānanda ojaśca saho jñānamanākulam /	"balam-AnandaH ojaH-ca sahaH jQAnam-anAkulam /
   svarūpāṇyeva jīvasya vyajyante paramādvibhoḥ'; iti śrutivākyādasya sato	svarUpANi-eva jIvasya vyajyante paramAt-viBoH-a; iti Sruti-vAkyAt-asya sataH-
   jīvasya priyaṃ svarūpamevetyavagamyate /	jIvasya priyam svarUpam-eva-iti-avagamyate /
   svarūpaṃ cāprakṛtam /	svarUpam ca-aprakRtam /
   atastadvayavacchedāya viśeṣaprakṣepeṇa vyākhyānaṃ yujyate /	atas-ta-dvayava=-CedAya viSeza-prakzepeNa vyAKyAnam yujyate /
   (etena) anena sukhasyotpattimattve yo doṣo 'bhihitaḥ so 'naṅgīkāraparāsto	(etena) anena suKasya-utpattimat-tve yaH dozaH aBihitaH saH anaFgIkAra-parAH-taH-
   veditavyaḥ /	veditavyaH /
   svarūpatvenānāditvasyoktatvāt /	svarUpa-tvena-anAdi-tvasya-ukta-tvAt /
   yadatroktaṃ tadapyasat / āvṛtāḥ santo vyajyanta iti śrutatvāt /	yat-atra-uktam tat-api-asat / AvRtAH santaH vyajyante iti Sruta-tvAt /
   āvaraṇaṃ ca māyāvidyādisamākhyātā prakṛtireva /	AvaraNam ca mAyA-avidyA-Adi-samAKyAtA prakRtiH-eva /
   naca viśadaśrutisiddhe 'rthe kācidanupapattiḥ /	na-ca viSada-Sruti-sidDe arTe kAcid-anupapattiH /
   jñānasya svarūpatvenānāditve 'pyavidyayā viṣayaviṣayibhāvaḥ pratibadhyate	jQAnasya svarUpa-tvena-anAdi-tve api-avidyayA vizaya-vizayi-BAvaH pratibaDyate
   nacoktadoṣaḥ /	naca-ukta-dozaH /
   ātmasvarūpādau tasyāpratibaddhatvāt /	Atma-svarUpa-AdO tasya-apratibadDa-tvAt /
   uktamarthaṃ saṃkṣipyāha- heyatvāditi //	uktam-arTam saMkzipya-aha heya-tvAt-iti //
   heyatvādapapriyasyaiva priyahāneraniṣṭhataḥ /	heya-tvAt-apapriyasya-eva priya-hAneH-anizWataH /
   na samastapriyābhāvo mokṣe prokte tu yujyate // MAnuv_4,2.75 //	na samasta-priya-aBAvaH mokze prokte tu yujyate // Ma-anuv_4,2.75 //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   apriyasya duḥkhasya heyatvādevetyevaśabdena sarvatheti sūcayati /	apriyasya duHKasya heya-tvAt-eva-iti-eva-Sabdena sarvaTA-iti sUcayati /
   "aśarīraṃ vāva santam'; ityasyāṃ śrutau prokte mokṣe samastapriyābhāvo na	"a-SarIram vAva santam-a; iti-asyAm SrutO prokte mokze samasta-priya-aBAvaH na
   vyākhyātuṃ yujyate /	vyAKyAtum yujyate /
   kutaḥ priyahāneraniṣṭatvataḥ /	kutas priya-hAneH-anizwa-tvataH /
   kintu prākṛtatvaviśeṣaṇaprakṣepeṇeti tuśabdaḥ /	kintu prAkRta-tva-viSezaNa-prakzepeNa-iti tuSabdaH /
   apriyahānaṃ tvaviśeṣeṇa vyākhyeyamityupaskartavyam /	apriya-hAnam tu-aviSezeNa vyAKyeyam-iti-upaskartavyam /
   tatra heturapriyasya sarvathā heyatvāditi /	tatra hetuH-apriyasya sarvaTA heya-tvAt-iti /
   upalakṣaṇaṃ caitat /	upalakzaNam ca-etat /
   sato jīvasyāprākṛtaduḥkhābhāvāccetyapi draṣṭavyam /	sataH jIvasya-aprAkRta-duHKa-aBAvAt-ca-iti-api drazwavyam /
   nanu sajjīvasyāpyapriyaṃ svarūpabhūtamaprākṛtamasti /	nanu sajjIvasya-api-apriyam svarUpa-BUtam-aprAkRtam-asti /
   tatkathametadityata āha- apriyasyeti //	tat-kaTam-etat-iti-atas Aha apriyasya-iti //
   apriyasya svarūpatvamasureṣveva hi śrutam // MAnuv_4,2.76ab //	apriyasya svarUpa-tvam-asurezu-eva hi Srutam // Ma-anuv_4,2.76aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   asurāśca na mokṣayogyā iti bhāvaḥ /	asurAH-ca na mokza-yogyAH iti BAvaH /
   tāṃ śrutimarthataḥ paṭhati- asurā iti //	tAm Srutim-arTataH paWati asurAH iti //
   asurā naivamevaṃ ca naivaṃ cākhilamānuṣāḥ /	asurAH na-evam-evam ca na-evam ca-aKila-mAnuzAH /
   ity ... // MAnuv_4,2.76c-e //	iti ... // Ma-anuv_4,2.76c-e //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   anena"nityānando nityajñāno nityabalaḥ paramātmā /	anena"nitya-AnandaH nitya-jQAnaH nitya-balaH paramAtmA /
   naivamasurā evamanevaṃ ca manuṣyā iti śrutimupādatte /	na-evam-asurAH evam-anevam ca manuzyAH iti Srutim-upAdatte /
   nityatvoktyā svarūpatvaṃ siddham /	nitya-tva-uktyA svarUpa-tvam sidDam /
   vṛttīnāmanityatvāt /	vRttInAm-anitya-tvAt /
   paramātmā parameśvaraḥ /	paramAtmA parameSvaraH /
   sajjīva iti vā /	sajjIvaH iti vA /
   naivamiti /	na-evam-iti /
   etadviruddhasvabhāvā ityarthaḥ /	etat-virudDa-svaBAvAH iti-arTaH /
   evamanevaṃ ceti /	evam-anevam ca-iti /
   ubhayasvabhāvaḥ'; ityarthaḥ /	uBaya-svaBAvaH-a; iti-arTaH /
   asurā naivaṃ, akhilamānuṣā evaṃ ca naivaṃ ceti yojanā /	asurAH na-evaM, aKila-mAnuzAH evam ca na-evam ca-iti yojanA /
   iti śrutamiti sambandhaḥ /	iti Srutam-iti sambanDaH /
   apriyahānāvapi saṅkocaḥ kriyatāmityatiprasaṅgaṃ nivārayataiva sāmānyataḥ	apriya-hAnO=-api saFkocaH kriyatAm-iti-ati-prasaFgam nivArayatA-eva sAmAnyatas-
   śrutā priyāspṛṣṭiḥ kuto viśeṣe 'vasthāpyata ityāśaṅkāpi parihṛtā /	SrutA priyA-spRzwiH kutas viSeze avasTApyate iti-ASaFkA-api parihRtAH /
   niyāmakasya sūcitatvāt /	niyAmakasya sUcita-tvAt /
   tadeva niyāmakaṃ vispaṣṭamācaṣṭe- ātmeti //	tat-eva niyAmakam vispazwam-Acazwe AtmA-iti //
   ... ātmapriyahānāya ko yateta ca buddhimān // MAnuv_4,2.76ef //	... Atma-priya-hAnAya kaH yateta ca budDimAn // Ma-anuv_4,2.76ef //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   ātmā ca tatpriyaṃ ceti ātmapriyam /	AtmA ca tad-priyam ca-iti Atma-priyam /
   ātmanaḥ priyamiti vā /	AtmanaH priyam-iti vA /
   tadicchati ceti caśabdaḥ /	tat-icCati ca-iti caSabdaH /
   yadi priyāspṛṣṭiraviśiṣyā syāttadā na kaścitprekṣāvānmokṣamicchet /	yadi priyA-spRzwiH-aviSizyA syAt-tadA na kaScid-prekzAvAn-mokzam-icCet /
   nāpi tadarthaṃ prayateta /	na-api tad-arTam prayateta /
   yadyapi dveṣavaśātparakīyasukhahānādāvicchādikaṃ sambhavati /	yadi-api dveza-vaSAt-parakIya-suKa-hAnAt-AvicCA-Adikam samBavati /
   tathāpi na kaścid buddhimānātmanaḥ sukhahānamicchati /	taTA-api na kaScid budDimAn-AtmanaH suKa-hAnam-icCati /
   tadarthaṃ prayatate vā /	tad-arTam prayatate vA /
   vṛttirūpasukhasyāniṣyabhūyiṣṭhatvāttattyā(gecchā)gāyecchādikaṃ yujyate /	vRtti-rUpa-suKasya-anizya-BUyizWa-tvAt-tat-tyA(-gecCA)-gAya-icCA-Adikam yujyate /
   svarūpasukhaṃ tu niṣkaṇṭakaṃ kasmāttyājyam /	svarUpa-suKam tu nizkaNwakam kasmAt-tyAjyam /
   naca tannāsti, śrutisiddhatvāt /	na-ca tat-na-asti, Sruti-sidDa-tvAt /
   kāraṇaikyanimitto hi sukhasya duḥkhānuṣaṅgaḥ /	kAraNa-Ekya-nimittaH hi suKasya duHKa-anuzaFgaH /
   nacātmasukhasya kāraṇamasti /	naca-Atma-suKasya kAraNam-asti /
   aśakyaṃ cātmasukhahānam /	aSakyam ca-Atma-suKa-hAnam /
   nacāśakyaviṣayecchāprayatnau buddhimataḥ sambhavataḥ /	naca-aSakya-vizaya-icCA-prayatnO budDimataH samBavataH /
   ātmahānaṃ khalu vināśalakṣaṇamanutpādalakṣaṇaṃ ca na sambhavati, nityatvāt	Atma-hAnam Kalu vinASa-lakzaNam-anutpAda-lakzaNam ca na samBavati, nitya-tvAt-
   nāpi viyogalakṣaṇaṃ, pareṣāṃ mate vibhutvāt /	na-api viyoga-lakzaNan, parezAm mate viBu-tvAt /
   asmākaṃ svātmani kriyāvirodhāt /	asmAkam sva-Atmani kriyA-viroDAt /
   nāpyajñānalakṣaṇaṃ svaprakāśatvāt /	na-api-ajQAna-lakzaNam sva-prakASa-tvAt /
   tadevaṃ bādhakasadbhāvātpriyāspṛṣṭirviśeṣaniṣṭhaiva vyākhyeyā /	tat-evam bADaka-sadBAvAt-priya-aspRzwiH-viSeza-nizWA-eva vyAKyeyAH /
   tathāca"aśarīraṃ vāva santam'; iti śrutyuktopapattiḥ śliṣyata iti /	taTA-ca"a-SarIram vAva santam-a; iti Sruti-ukta-upapattiH Slizyate iti /
   evaṃ sukhāspṛṣṭiśrutiṃ vyākhyāya jñānābhāvaśrutiṃ ca vyākhyāti- saṃjñeti	evam suKa-aspRzwi-Srutim vyAKyAya jQAna-aBAva-Srutim ca vyAKyAti saMjQA-iti
   sañjñā nāstītyapi hyasya nāmuktajñeyateti hi // MAnuv_4,2.77ab //	saQjQA na-asti-iti-api hi-asya na-amukta-jQeyata-iti hi // Ma-anuv_4,2.77aB //
   NYĀYASUDHĀ:	NYĀYA-SUDHĀ:
   śrutirvaktīti vakṣyamāṇamatrāpi sambaddhayate /	SrutiH-vakti-iti vakzyamANam-atra-api sambadDayate /
   "na pretya saṃjñāsti'; ityapi śrutirasya muktasyāmuktajñeyatā nāstītyeva	"na pretya saMjQA-asti-a; iti-api SrutiH-asya muktasya-amukta-jQeyatA na-asti-iti-eva
   vakti /	vakti /
   natu mukto na jānātīti /	na-tu muktaH na jAnAti-iti /
   eko hiśabda evārthaḥ /	ekaH hi-SabdaH eva-arTaH /
   dvitīyastu svoktārthasya śabdaśaktyanatikramaṃ sūcayati /	dvitIyaH-tu sva-ukta-arTasya Sabda-Sakti-anatikramam sUcayati /
   tathāhi /	taTA-hi /
   pretya maraṇānantaraṃ saṃjñāṃ jñānaṃ nāstīti tāvacchrauto 'tharḥ /	pretya maraNa-anantaram saMjQAm jQAnam na-asti-iti tAvat-SrOtaH aTarH /
   tatra prakaraṇavaśātpretyetyetanmaraṇaviśeṣamokṣānantaramiti vyākhyeyam /	tatra prakaraNa-vaSAt-pretya-iti-etat-maraNa-viSeza-mokza-anantaram-iti vyAKyeyam /
   jñānaṃ tu muktasambandhi pratiṣidhyamānaṃ tatkartṛkameveti kalpane na	jQAnam tu mukta-sambanDi pratiziDyamAnam tat-kartRkam-eva-iti kalpane na
   niyāmakaṃ paśyāmaḥ /	niyAmakam paSyAmaH /
