   ṛṣaya ūcuḥ	RzayaH UcuH
   adharoṣṭhau sadā pātu brahjñeyo dvijānkaviḥ /	aDara uzWO sadA pAtu brahjQeyaH dvijAn kaviH /
   sarvaśāstrakalādhārī jihvāṃ cibukamavyayaḥ // NarP_1,77.35 //	sarva SAstra kalA DArI jihvAm cibukam avyayaH // NA rP_1,77.35 //
   dattātreyapriyaḥ kaṇṭhaṃ skandhau rājakuleśvaraḥ /	dattAtreya priyaH kaNWam skanDO rAja kula ISvaraH /
   bhujau daśāsyadarpaghno hṛdayaṃ me mahābalaḥ // NarP_1,77.36 //	BujO daSa Asya darpa GnaH hRdayam me mahA balaH // NA rP_1,77.36 //
   kukṣiṃ rakṣatu me vidvān vakṣaḥ parapurañjayaḥ /	kukzim rakzatu me vidvAn vakzaH para puraQjayaH /
   karau sarvārthadaḥ pātukarāgrāṇi jagatpriyaḥ // NarP_1,77.37 //	karO sarva arTa daH pAtukara agrANi jagat priyaH // NA rP_1,77.37 //
   revāṃbagulīlāsaṃhapto jaṭharaṃ parirakṣatu /	revAMba gulIlA saMhaptaH jaWaram parirakzatu /
   vīraśūrastu me nābhiṃ pārśvau me sarvaduṣṭahā // NarP_1,77.38 //	vIraSUraH tu me nABim pArSvO me sarva duzwa hA // NA rP_1,77.38 //
   sahasrabhujanṛtpṛṣṭaṃ saptadvīpādhipaḥ kaṭim /	sahasra Buja nRt pRzwam sapta dvIpA aDipaH kawim /
   ūrū māhiṣmatīnātho jānunī vallabho bhuvaḥ // NarP_1,77.39 //	UrU mAhizmatI nATo jAnunI vallaBaH BuvaH // NA rP_1,77.39 //
   jaṅghe vīrādhipaḥ pātu pātu pādau manojavaḥ /	jaFGe vIra aDipaH pAtu pAtu pAdO manojavaH /
   pātu sarvāyudhadharaḥ sarvāṅgaṃ sarvamarmasu // NarP_1,77.40 //	pAtu sarva AyuDa DaraH sarva aFgam sarva marmasu // NA rP_1,77.40 //
   sarvaduṣṭāntakaḥ pātu dhātvaṣṭakakalevaram /	sarva duzwa antakaH pAtu DAtu azwaka kalevaram /
   prāṇādidaśajīveśānsarvaśiṣṭeṣṭado 'vatu // NarP_1,77.41 //	prANa Adi daSa jIva ISAn sarva Sizwa izwa daH avatu // NA rP_1,77.41 //
   vaśīkṛtendriyagrāmaḥ pātu sarvendriyāṇi me /	vaSIkRta indriya grAmaH pAtu sarva indriyANi me /
   anuktamapi yatsthāna śarīrāntarbahiśca yat // NarP_1,77.42 //	anuktam api yat sTAna SarIra antar bahis ca yat // NA rP_1,77.42 //
   tatsarvaṃ pātu me sarvalokanātheśvareśvaraḥ /	tat sarvam pAtu me sarva loka nATa ISvara ISvaraH /
   vajrātsārataraṃ cedaṃ śarīraṃ kavacāvṛtam // NarP_1,77.43 //	vajrAt sArataram ca idam SarIram kavaca AvRtam // NA rP_1,77.43 //
   bādhāśatavinirmuktamastu me bhayavarjitam /	bADA Sata vinirmuktam astu me Baya varjitam /
   baddhedaṃ kavacaṃ divyamabhedyaṃ haihayeśituḥ // NarP_1,77.44 //	badDa idam kavacam divyam aBedyam hEhaya ISituH // NA rP_1,77.44 //
   vicarāmi divā rātrau nirbhayenāntarātmanā /	vicarAmi divA rAtrO nirBayena antarAtmanA /
   rājamārge mahādurge mārge caurā disaṃkule // NarP_1,77.45 //	rAjamArge mahA durge mArge cOrAH disaMkule // NA rP_1,77.45 //
   viṣame vipine ghore dāvāgnau girikandare /	vizame vipine Gore dAva agnO giri kandare /
   saṃgrāme śastrasaṃghāte siṃhavyāghraniṣevite // NarP_1,77.46 //	saMgrAme Sastra saMGAte siMha vyAGra nizevite // NA rP_1,77.46 //
   gahvare sarvasaṃkīrṇe saṃdhyākāle nṛpālaye /	gahvare sarva saMkIrNe saMDyA kAle nRpa Alaye /
   vivāde vipulāvarte samudre ca nadītaṭe // NarP_1,77.47 //	vivAde vipula Avarte samudre ca nadI tawe // NA rP_1,77.47 //
   paripanthijanākīrṇe deśe dasyugaṇāvṛte /	paripanTi jana AkIrNe deSe dasyu gaNa AvRte /
   sarvasvaharaṇe prāpte prāpte prāṇasya saṃkaṭe // NarP_1,77.48 //	sarva sva haraNe prApte prApte prANasya saMkawe // NA rP_1,77.48 //
   nānārogajvarāveśe piśācapretayātane /	nAnA roga jvara AveSe piSAca preta yAtane /
   mārīduḥsvapnapīḍāsu kliṣṭe viśvāsaghātake // NarP_1,77.49 //	mArI duHsvapna pIxAsu klizwe viSvAsa GAtake // NA rP_1,77.49 //
   śārīre ca mahāduḥkhe mānase ca mahājvare /	SArIre ca mahA duHKe mAnase ca mahA jvare /
   ādhivyādhibhaye vighnajvālopadravake 'pi ca // NarP_1,77.50 //	ADi vyADi Baye viGna jvAlA upadravake api ca // NA rP_1,77.50 //
   na bhavatu bhayaṃ kiñcitkavacenāvṛtasya me /	na Bavatu Bayam kiQcid kavacena AvRtasya me /
   āṅgutukāmānakhilānasmadvasuviluṃpakān // NarP_1,77.51 //	AFgutu kAmAn aKilAn asmad vasu viluMpakAn // NA rP_1,77.51 //
   nivārayatu dordaṇḍasahasreṇa mahārathaḥ /	nivArayatu dos daNxa sahasreNa mahA raTaH /
   svakaroddhṛtasāhasrapāśabaddhānsudurjayān // NarP_1,77.52 //	sva kara udDRta sAhasra pASa badDAn su durjayAn // NA rP_1,77.52 //
   saṃruddhūgatisāmarthyānkarotu kṛtavīryajaḥ /	saMrudDU gati sAmarTyAn karotu kRtavIrya jaH /
   sṛṇisāhasranirbhinnānsahasraśarakhaṇḍitān // NarP_1,77.53 //	sRNi sAhasra nirBinnAn sahasra Sara KaNxitAn // NA rP_1,77.53 //
   rājacūḍāmaṇiḥ kṣipraṃ karotvasmadvirodhakān /	rAja cUxAmaNiH kzipram karotu asmad viroDakAn /
   khaḍga sāhasradalitānsahasramuśalārditān // NarP_1,77.54 //	Kaxga sAhasra dalitAn sahasra muSala arditAn // NA rP_1,77.54 //
   caurādi duṣṭasattvaughānkarotu kamalekṣaṇaḥ /	cOra Adi duzwa sattva oGAn karotu kamala IkzaNaH /
   svaśaṅkhanādasaṃtrastānsahasrārasahasrabhṛt // NarP_1,77.55 //	sva SaFKa nAda saMtrastAn sahasrAra sahasra BRt // NA rP_1,77.55 //
   avatāro hareḥ sākṣātpālayatvakhilaṃ mama /	avatAraH hareH sAkzAt pAlayatu aKilam mama /
   kārtavīrya mahāvīrya sarvaduṣṭavināśana // NarP_1,77.56 //	kArtavIrya mahA vIrya sarva duzwa vinASana // NA rP_1,77.56 //
   sarvatra sarvadā duṣṭacaurānnāśāya nāśaya /	sarvatra sarvadA duzwa cOrAt nASAya nASaya /
   kiṃ tvaṃ svapiṣi duṣṭaghna kiṃ tiṣṭasi cirāyāsi // NarP_1,77.57 //	kim tvam svapizi duzwa Gna kim tizwasi cirAya asi // NA rP_1,77.57 //
   uttiṣṭha pāhi naḥ sarvabhayebhyaḥ svasutāniva /	uttizWa pAhi naH sarva BayeByaH sva sutAn iva /
   ye caurā vasuhartāro vidviṣo ye ca hiṃsakāḥ // NarP_1,77.58 //	ye cOrAH vasuhartAraH vidvizaH ye ca hiMsakAH // NA rP_1,77.58 //
   sādhubhītikarā duṣṭāśchadmakā ye durāśayāḥ /	sADu BIti karAH duzwAH CadmakAH ye durASayAH /
   durhṛdo duṣṭabhū pālā duṣṭāmātyāśca pāpakāḥ // NarP_1,77.59 //	durhRdaH duzwaBU pAlAH duzwa amAtyAH ca pApakAH // NA rP_1,77.59 //
   ye ca kāryaviloptoro ye khalāḥ paripanthinaḥ /	ye ca kArya viloptoraH ye KalAH paripanTinaH /
   sarvasvahāriṇāṃ ye ca pañca māyāvino 'pareḥ // NarP_1,77.60 //	sarva sva hAriNAm ye ca paQca mAyAvinaH apareH // NA rP_1,77.60 //
   mahākleśakarā mlecchā dasyavo vṛṣalāśca ye /	mahA kleSa karAH mlecCAH dasyavaH vRzalAH ca ye /
   ye 'gnidā garadātāro vañcakāḥ śastrapāṇayaḥ // NarP_1,77.61 //	ye agnidAH gara dAtAraH vaQcakAH Sastra pANayaH // NA rP_1,77.61 //
   ye pāpā duṣṭakarmāṇo duḥkhadā duṣṭabuddhayaḥ /	ye pApAH duzwa karmANaH duHKa dAH duzwabudDayaH /
   vyājakāḥ kupathāsaktā ye ca nānābhayapradāḥ // NarP_1,77.62 //	vyAjakAH kupaTa AsaktAH ye ca nAnA Baya pradAH // NA rP_1,77.62 //
   chidrānveṣaratā nityaṃ ye 'smānbādhitumudyatāḥ /	Cidra anveza ratAH nityam ye asmAn bADitum udyatAH /
   te sarve kārtavīryasya mahāśaṅkharavāhatāḥ // NarP_1,77.63 //	te sarve kArtavIryasya mahA SaFKa rava AhatAH // NA rP_1,77.63 //
   sahasā vilayaṃ yāntu dūradiva vimohitāḥ /	sahasA vilayam yAntu dUradiva vimohitAH /
   ye dānavā mahādityā ye yakṣā ye ca rākṣasāḥ // NarP_1,77.64 //	ye dAnavAH mahA AdityAH ye yakzAH ye ca rAkzasAH // NA rP_1,77.64 //
   piśācā ye mahāsattvā ye bhūtabrahmarākṣasāḥ /	piSAcAH ye mahAsattvAH ye BUta brahmarAkzasAH /
   apasmāragrahā ye ca ye grahāḥ piśitāśanāḥ // NarP_1,77.65 //	apasmAra grahAH ye ca ye grahAH piSita aSanAH // NA rP_1,77.65 //
   mahālohitabhoktāro vetālā ye ca guhyakāḥ /	mahAlohita BoktAraH vetAlAH ye ca guhyakAH /
   gandharvāpsarasaḥ siddhā ye ca devādiyonayaḥ // NarP_1,77.66 //	ganDarva apsarasaH sidDAH ye ca deva Adi yonayaH // NA rP_1,77.66 //
   ḍākinyo druṇasāḥ pretāḥ kṣetrapālā vināyakāḥ /	xAkinyaH druNasAH pretAH kzetrapAlAH vinAyakAH /
   mahāvyāghramahāmeghā mahāturāgarūpakāḥ // NarP_1,77.67 //	mahA vyAGra mahA meGAH mahA turAga rUpakAH // NA rP_1,77.67 //
   mahāgajā mahāsiṃhā mahāmahiṣayonayaḥ /	mahA gajAH mahA siMhAH mahA mahiza yonayaH /
   ṛkṣavārāhaśunakavānarolūkamūrtayaḥ // NarP_1,77.68 //	Rkza vArAha Sunaka vAnara ulUka mUrtayaH // NA rP_1,77.68 //
   mahoṣṭrakharamārjārasarpagovṛṣamastakāḥ /	mahA uzwra Kara mArjAra sarpa go vRza mastakAH /
   nānārūpā mahāsattvā nānākleśasahasradāḥ // NarP_1,77.69 //	nAnA rUpAH mahAsattvAH nAnA kleSa sahasra dAH // NA rP_1,77.69 //
   nānārogakarāḥ kṣudrā mahāvīryā mahābalāḥ /	nAnA roga karAH kzudrAH mahA vIryAH mahA balAH /
   vātikāḥ paittikā ghorā ślaiṣmikāḥ sānnipātikāḥ // NarP_1,77.70 //	vAtikAH pEttikAH GorAH SlEzmikAH sAnnipAtikAH // NA rP_1,77.70 //
   māheśvarā vaiṣṇavāśca vairiñcyāśca mahāgrahāḥ /	mAheSvarAH vEzNavAH ca vEriQcyAH ca mahA grahAH /
   skāndā vaināyakāḥ krūrā ye ca pramathaguhyakāḥ // NarP_1,77.71 //	skAndAH vEnAyakAH krUrAH ye ca pramaTa guhyakAH // NA rP_1,77.71 //
   mahāśatruhā raudrā mahāmārīmasūrikāḥ /	mahA Satru hA rOdrAH mahA mArI masUrikAH /
   aikāhikā vdyāhikāśca tryāhikāśca mahājvarāḥ // NarP_1,77.72 //	EkAhikAH vdyAhikAH ca tryAhikAH ca mahA jvarAH // NA rP_1,77.72 //
   cāturthikāḥ pākṣikāśca māsyāḥ ṣāṇmāsikāśca ye /	cAturTikAH pAkzikAH ca mAsyAH zANmAsikAH ca ye /
   sāṃvatsarā durnivāryā jvarāḥ paramadāruṇāḥ // NarP_1,77.73 //	sAMvatsarAH durnivAryAH jvarAH parama dAruNAH // NA rP_1,77.73 //
   svāpnikā ye mahotpātā ye ca duḥsvāpnikā grahāḥ /	svApnikAH ye mahA utpAtAH ye ca duHsvApnikAH grahAH /
   kūṣmāṇḍā jṛṃbhikā bhaumā droṇāḥ sānnidhyavañcakāḥ // NarP_1,77.74 //	kUzmANxAH jRMBikAH BOmAH droNAH sAnniDya vaQcakAH // NA rP_1,77.74 //
   bhramikāḥ prāṇahartāro ye ca bālagrahādayaḥ /	BramikAH prANa hartAraH ye ca bAlagraha AdayaH /
   manobudvīndriyaharāḥ sphoṭakāśca mahāgrahāḥ // NarP_1,77.75 //	manaH budvi indriya harAH sPowakAH ca mahA grahAH // NA rP_1,77.75 //
   mahāśanā balibhujo mahākuṇapabhojanāḥ /	mahA aSanAH baliBujaH mahA kuNapa BojanAH /
   divācarā rātricarā ye ca saṃdhyāsu dāruṇāḥ // NarP_1,77.76 //	divAcarAH rAtri carAH ye ca saMDyAsu dAruNAH // NA rP_1,77.76 //
   pramattā vāpramattā vai ye māṃ bādhitumudyatāḥ /	pramattAH vA apramattAH vE ye mAm bADitum udyatAH /
   te sarve kārttavīryasya dhanurmuktaśarāhatāḥ // NarP_1,77.77 //	te sarve kArttavIryasya DanuH mukta Sara AhatAH // NA rP_1,77.77 //
   sahasradhā praṇaśyantu bhagnasattvabalodyamāḥ /	sahasraDA praNaSyantu Bagna sattva bala udyamAH /
   ye sarpā ye mahānāgā mahāgiribileśayāḥ // NarP_1,77.78 //	ye sarpAH ye mahA nAgAH mahA giri bileSayAH // NA rP_1,77.78 //
   kālavyālā mahādaṃṣṭrā mahājagarasaṃjñakāḥ /	kAla vyAlAH mahA daMzwrAH mahA jagara saMjQakAH /
   anantaśūlikādyāśca daṃṣṭrāviṣamahābhayāḥ // NarP_1,77.79 //	ananta SUlikA AdyAH ca daMzwrA viza mahA BayAH // NA rP_1,77.79 //
   anekaśata śīrṣāśca khaṇḍapucchāśca dāruṇāḥ /	aneka Sata SIrzAH ca KaNxapucCAH ca dAruNAH /
   mahāviṣajalaukāśca vṛścikā ruktapucchakāḥ // NarP_1,77.80 //	mahA viza jalOkAH ca vRScikAH ruj tapucCakAH // NA rP_1,77.80 //
   āśīviṣāḥ kālakūṭā mahāhālāhalāhvayāḥ /	ASIvizAH kAlakUwAH mahA hAlAhala AhvayAH /
   jalasarpā jalavyālā jalagrāhāśca kacchapāḥ // NarP_1,77.81 //	jala sarpAH jala vyAlAH jala grAhAH ca kacCapAH // NA rP_1,77.81 //
   matsyakā viṣapucchāśca ye cānye jalavāsinaḥ /	matsyakAH vizapucCAH ca ye ca anye jala vAsinaH /
   jalajāḥ sthalajāścaiva kṛtrimāśca mahāviṣāḥ // NarP_1,77.82 //	jala jAH sTala jAH ca eva kRtrimAH ca mahA vizAH // NA rP_1,77.82 //
   guptarūpā guptaviṣā mūṣikā gṛhagodhikāḥ /	gupta rUpAH gupta vizAH mUzikAH gRhagoDikAH /
   nānāviṣāśca ye ghorā mahopaviṣasaṃjñakāḥ // NarP_1,77.83 //	nAnA vizAH ca ye GorAH mahA upaviza saMjQakAH // NA rP_1,77.83 //
   ye 'smānbādhitumicchanti śarīraprāṇanāśakāḥ /	ye asmAn bADitum icCanti SarIra prANa nASakAH /
   te sarve kārtavīryasya khaṅkasāhasradāritāḥ // NarP_1,77.84 //	te sarve kArtavIryasya KaFka sAhasra dAritAH // NA rP_1,77.84 //
   dūrādeva vinaśyantu praṇaṣṭendriyasāhasāḥ /	dUrAt eva vinaSyantu praNazwa indriya sAhasAH /
   manuṣyāḥ paśavo tvṛkṣavānarā vanagocarāḥ // NarP_1,77.85 //	manuzyAH paSavaH tu Rkza vAnarAH vana gocarAH // NA rP_1,77.85 //
   siṃhavyāghravarāhāśca mahiṣā ye mahāmṛgāḥ /	siMha vyAGra varAhAH ca mahizAH ye mahA mRgAH /
   gajāsturaṅgā gavayā rāsabhāḥ śarabhā vṛkāḥ // NarP_1,77.86 //	gajAH turaFgAH gavayAH rAsaBAH SaraBAH vRkAH // NA rP_1,77.86 //
   śunakā dvīpinaḥ śubhrā mārjārā bilalolupāḥ /	SunakAH dvIpinaH SuBrAH mArjArAH bila lolupAH /
   śṛgālāḥ śaśakāḥ śyenā gurutmanto vihṝṅgamāḥ // NarP_1,77.87 //	SRgAlAH SaSakAH SyenAH gurutmantaH vihLFgamAH // NA rP_1,77.87 //
   bheruṇḍā vāyasā gūdhrā haṃsādyāḥ pakṣijātayaḥ /	BeruNxAH vAyasAH gUDrAH haMsa AdyAH pakzi jAtayaH /
   udbhijjāścāṇḍajāścaiva svedajāśca jarāyujāḥ // NarP_1,77.88 //	udBid jAH ca aNxa jAH ca eva sveda jAH ca jarAyu jAH // NA rP_1,77.88 //
   nānābhedakule jātā nānābhedāḥ pṛthagvidhāḥ /	nAnA Beda kule jAtAH nAnA BedAH pRTagviDAH /
   ye 'smānbādhitumicchanti sedhyāsu ca divā niśi // NarP_1,77.89 //	ye asmAn bADitum icCanti seDyAsu ca divA niSi // NA rP_1,77.89 //
   te sarve kārtavīryasya gadāsāhasradāritāḥ /	te sarve kArtavIryasya gadA sAhasra dAritAH /
   dūrādeva vinaśyantu vinaṣṭagatipauruṣāḥ // NarP_1,77.90 //	dUrAt eva vinaSyantu vinazwa gati pOruzAH // NA rP_1,77.90 //
   ye cākṣemapradātāraḥ kūṭamāyāvinaśca ye /	ye ca akzema pradAtAraH kUwamAyAvinaH ca ye /
   māraṇotsādanonmūladveṣamohanakārakāḥ // NarP_1,77.91 //	mAraNa utsAdana unmUla dveza mohana kArakAH // NA rP_1,77.91 //
   viśvāsa ghātakā duṣṭā ye ca svāmidruho narāḥ /	viSvAsa GAtakAH duzwAH ye ca svAmi druhaH narAH /
   ye cātatāyino duṣṭā ye pāpā gopyahāriṇaḥ // NarP_1,77.92 //	ye ca AtatAyinaH duzwAH ye pApAH gopya hAriNaH // NA rP_1,77.92 //
   dāhopadyātagaralaśastrapātātiduḥkhadāḥ /	dAha upadyAtagara la Sastra pAta ati duHKa dAH /
   kṣetravittādiharaṇabandhanādibhayapradāḥ // NarP_1,77.93 //	kzetra vitta Adi haraNa banDana Adi Baya pradAH // NA rP_1,77.93 //
   ītayo vividhākāro ye cānye duṣṭajātayaḥ /	ItayaH viviDa AkAraH ye ca anye duzwa jAtayaH /
   pīḍākarā ye satataṃ chidramicchanti bādhitum // NarP_1,77.94 //	pIxA karAH ye satatam Cidram icCanti bADitum // NA rP_1,77.94 //
   te sarve kārtavīryasya cakrasāhasradāritāḥ /	te sarve kArtavIryasya cakra sAhasra dAritAH /
   dūrādeva kṣayaṃ yāntu vinaṣṭabalasāhasāḥ // NarP_1,77.95 //	dUrAt eva kzayam yAntu vinazwa bala sAhasAH // NA rP_1,77.95 //
   ye meghā ye mahāvarṣā ye vātā yāśca vidyutaḥ /	ye meGAH ye mahA varzAH ye vAtAH yAH ca vidyutaH /
   ye mahāśanayo dīptā ye nirghātāśca dāruṇāḥ // NarP_1,77.96 //	ye mahA aSanayaH dIptAH ye nirGAtAH ca dAruNAH // NA rP_1,77.96 //
   ulkāpātāśca ye ghorā ye mahendrāyudhādayaḥ /	ulkA pAtAH ca ye GorAH ye mahA indra AyuDa AdayaH /
   sūryendukujasaumyāśca gurukāvyaśanaiścarāḥ // NarP_1,77.97 //	sUrya indu kuja sOmyAH ca gurukA vyaSanEH carAH // NA rP_1,77.97 //
   rāhuśca ketavo ghorā nakṣatrā rāśayastathā /	rAhuH ca ketavaH GorAH nakzatrA rASayaH taTA /
   tithayaḥ saṃkramā māsā hāyanā yuganāyakāḥ // NarP_1,77.98 //	tiTayaH saMkramAH mAsAH hAyanAH yuga nAyakAH // NA rP_1,77.98 //
   manvantarādhipāḥ siddhā ṛṣayo yogasiddhayaḥ /	manvantara aDipAH sidDAH RzayaH yoga sidDayaH /
   nidhayo ṛgyajuḥsāmātharvāṇaścaiva vahnayaḥ // NarP_1,77.99 //	niDayaH Rc yajuH sAma ATarvANaH ca eva vahnayaH // NA rP_1,77.99 //
   ṛtavo lokapālāśca pitaro devasaṃhatiḥ /	RtavaH lokapAlAH ca pitaraH deva saMhatiH /
   vidyāścaiva catuḥṣaṣṭibhedā yā bhuvanatraye // NarP_1,77.100 //	vidyAH ca eva catuHzazwi BedAH yA Buvanatraye // NA rP_1,77.100 //
   ye tvatra kīrtitāḥ sarve caye cānye nānukīrtitāḥ /	ye tu atra kIrtitAH sarve caye ca anye na anukIrtitAH /
   te saṃtu naḥ sadā saumyāḥ sarvakālasukhāvahāḥ // NarP_1,77.101 //	te saMtu naH sadA sOmyAH sarva kAla suKa AvahAH // NA rP_1,77.101 //
   ājñayā kārtavīryasya yogīndrasyāmitadyuteḥ /	AjQayA kArtavIryasya yogi indrasya amita dyuteH /
   kārtavīryārjuno dhanvī rājendro haihayeśvaraḥ // NarP_1,77.102 //	kArtavIrya arjunaH DanvI rAja indraH hEhaya ISvaraH // NA rP_1,77.102 //
   daśāsyadarpahā revālīlādṛptakaḥ sudurjayaḥ /	daSa Asya darpa hA revA lIlA dRptakaH su durjayaH /
   duḥkhahā cauradamano rājarājeśvaraḥ prabhuḥ // NarP_1,77.103 //	duHKa hA cOra damanaH rAja rAja ISvaraH praBuH // NA rP_1,77.103 //
   sarvajñaḥ sarvadaḥ śrīmān sarvaśiṣṭeṣṭadaḥ kṛtī /	sarvajQaH sarva daH SrImAn sarva Sizwa izwa daH kRtI /
   rājacūḍāmaṇiryogī saptadvīpādhināyakaḥ // NarP_1,77.104 //	rAja cUxAmaNiH yogI saptadvIpA aDinAyakaH // NA rP_1,77.104 //
   vijayī viśvajidvāgmī mahāgatiralolupaḥ /	vijayI viSva jit vAgmI mahA gatiH alolupaH /
   yajvā viprapriyo vidvān brahmajñeyaḥ sanātanaḥ // NarP_1,77.105 //	yajvA viprapriyaH vidvAn brahma jQeyaH sanAtanaH // NA rP_1,77.105 //
   māhiṣmatīpatiryodhā mahākīrtirmahābhujaḥ /	mAhizmatI patiH yoDAH mahA kIrtiH mahA BujaH /
   sukumāro mahāvīro mārīghno madirekṣaṇaḥ // NarP_1,77.106 //	sukumAraH mahAvIraH mArI GnaH madirA IkzaNaH // NA rP_1,77.106 //
   śatrughnaḥ śāśvataḥ śūraḥ śaṅkhabhṛdyogivallabhaḥ /	SatruGnaH SASvataH SUraH SaFKa BRt yogi vallaBaH /
   mahābhāgavato dhīmānmahābhayavināśanaḥ // NarP_1,77.107 //	mahA BAgavataH DImAn mahA Baya vinASanaH // NA rP_1,77.107 //
   asādhyī vigraho divyo bhāvo vyāptajagattrayaḥ /	asADyI vigrahaH divyaH BAvaH vyApta jagattrayaH /
   jitendriyo jitārātiḥ svacchando 'nantavikramamaḥ // NarP_1,77.108 //	jita indriyaH jita arAtiH svacCandaH ananta vikramamaH // NA rP_1,77.108 //
   cakrabhṛtparacakraghnaḥ saṃgrāmavidhipūjitaḥ /	cakraBRt para cakra GnaH saMgrAma viDi pUjitaH /
   sarvaśāstrakalādharī virajā lokavanditaḥ // NarP_1,77.109 //	sarva SAstra kalADarI virajAH loka vanditaH // NA rP_1,77.109 //
   vīro vimalasattvāḍhyo mahābalaparākramaḥ /	vIraH vimala sattva AXyaH mahA bala parAkramaH /
   vijayaśrīmahāmānyo jitārirmantranāyakaḥ // NarP_1,77.110 //	vijaya SrImahAmAnyaH jita ariH mantra nAyakaH // NA rP_1,77.110 //
   khaḍgabhṛtkāmadaḥ kāntaḥ kālaghnaḥ kamalekṣaṇaḥ /	Kaxga BRt kAma daH kAntaH kAla GnaH kamala IkzaNaH /
   bhadravādapriyo vaidyo vibudho varado vaśī // NarP_1,77.111 //	BadravAda priyaH vEdyaH vibuDaH vara daH vaSI // NA rP_1,77.111 //
   mahādhano nidhipatirmahāyogī gurupriyaḥ /	mahADanaH niDi patiH mahA yogI guru priyaH /
   yogāḍhyaḥ sarvarogaghno rājitākhilabhūtalaḥ // NarP_1,77.112 //	yoga AXyaH sarva roga GnaH rAjita aKila BU talaH // NA rP_1,77.112 //
   divyāstrabhṛdameyātmā sarvagoptā mahojjvalaḥ /	divya astra BRt ameya AtmA sarva goptA mahA ujjvalaH /
   sarvāyudhadharo 'bhīṣṭapradaḥ parapurañjayaḥ // NarP_1,77.113 //	sarva AyuDa DaraH aBIzwa pradaH para puraQjayaH // NA rP_1,77.113 //
   yogasiddho mahākāyo mahāvṛndaśatādhipaḥ /	yoga sidDaH mahA kAyaH mahA vRnda Sata aDipaH /
   sarvajñānanidhiḥ sarvasiddhvidānakṛtodyamaḥ // NarP_1,77.114 //	sarva jQAna niDiH sarva sidDvi dAna kRta udyamaH // NA rP_1,77.114 //
   ityaṣṭaśatanāmottyā mūrtayo daśa dikpathi /	iti azwa Sata nAmottyAH mUrtayaH daSa dikpaTi /
   samyagdaśadiśo vyāpya pālayantu ca māṃ sadā // NarP_1,77.115 //	samyak daSa diSaH vyApya pAlayantu ca mAm sadA // NA rP_1,77.115 //
   svasthāḥ sarvendriyāḥ saṃtuṃ śāntirastu sadā mama /	svasTAH sarva indriyAH saMtum SAntiH astu sadA mama /
   śeṣādyā mūrtayo 'ṣṭau ca vikrameṇaiva bhāsvarāḥ // NarP_1,77.116 //	Seza AdyAH mUrtayaH azwO ca vikrameNa eva BAsvarAH // NA rP_1,77.116 //
   agninirṛtivāyvīśakoṇagāḥ pāntu māṃ sadā /	agni nirRti vAyu ISa koNa gAH pAntu mAm sadA /
   mama saukhyamasaṃbādhamārogyamaparājayaḥ // NarP_1,77.117 //	mama sOKyam asaMbADam Arogyam aparAjayaH // NA rP_1,77.117 //
   duḥkhahāniravighnaśca prajāvṛddhiḥ sukho dayaḥ /	duHKa hAniH aviGnaH ca prajA vRdDiH suKaH dayaH /
   vāñchāptiratikalyāṇamavaiṣamyamanāmayam // NarP_1,77.118 //	vAQCa AptiH ati kalyANam avEzamyam anAmayam // NA rP_1,77.118 //
   anālasyamabhīṣṭaṃ syānmṛtyuhānirbalonnatiḥ /	anAlasyam aBIzwam syAt mRtyu hAnirbala unnatiH /
   bhayahāniryaśaḥ kāntirvidyā ṛddhirmahāśriyaḥ // NarP_1,77.119 //	Baya hAniH yaSaH kAntiH vidyA RdDiH mahA SriyaH // NA rP_1,77.119 //
   anaṣṭadravyatā caiva naṣṭasya punarāgamaḥ /	anazwa dravya tA ca eva nazwasya punar AgamaH /
   dīrghāyuṣyaṃ manoharṣaḥ saukumāryamabhīpsitam // NarP_1,77.120 //	dIrGa Ayuzyam manoharzaH sOkumAryam aBIpsitam // NA rP_1,77.120 //
   apradhṛṣyatamatvaṃ ca mahāsāmarthyameva ca /	apraDRzyatama tvam ca mahAsAmarTyam eva ca /
   saṃtu me kārtavīryyasya haihayendrasya kīrtanāt // NarP_1,77.121 //	saMtu me kArtavIryyasya hEhaya indrasya kIrtanAt // NA rP_1,77.121 //
   ya idaṃ kārtavīryyasya kavaca puṇyavarddhanam /	yaH idam kArtavIryyasya kavaca puNya vardDanam /
   sarvapāpapraśamanaṃ sarvopadravanāśanam // NarP_1,77.122 //	sarva pApa praSamanam sarva upadrava nASanam // NA rP_1,77.122 //
   sarvaśāntikaraṃ guhyaṃ samastabhayanāśanam /	sarva SAnti karam guhyam samasta Baya nASanam /
   vijayārthapradaṃ nṝṇāṃ sarvasaṃpatpradaṃ śubham // NarP_1,77.123 //	vijaya arTa pradam nLNAm sarva saMpad pradam SuBam // NA rP_1,77.123 //
   śṛṇuyādvā paṭhedvāpi sarvakāmānavāpnuyāt /	SRNuyAt vA paWet vA api sarva kAmAn avApnuyAt /
   caurairhṛtaṃ yadā paśyetpaśvādidhanamātmanaḥ // NarP_1,77.124 //	cOrEH hRtam yadA paSyet paSu Adi Danam AtmanaH // NA rP_1,77.124 //
   saptavāraṃ tadā japyenniśi paścimadiṅmukhaḥ /	sapta vAram tadA japyet niSi paScima diFmuKaH /
