   Sarvatathāgatādhiṣṭhāna-vyūham Sūtram	Sarva-taTAgata-aDizWAna--vyUham SUtram
   tasmābhi tehi sada pūjitasya yaścaiva dhāreta prakāśayeta /	tasma-aBi tehi sada pUjitasya yaH-ca-eva DAreta prakASayeta /
   yaścaiva paribhāṣaṇu tasya kurvate jugupsanāṃ tāḍanabandhanañca //	yaH-ca-eva pariBAzaNu tasya kurvate jugupsanAm tAxana-banDa-naQca //
   (Dutt 66)	(Dutt 66)
   mamaiva tena paribhāṣaṇā kṛtā mamaiva satkāru karitva dhārake /	mama-eva tena pariBAzaNA kRtA mama-eva satkAru karitva DArake /
   tasmācca tairhi sada dharmabhāṇake yaścaiva dhāreta likheta vācaye /	tasmAt-ca tEH-hi sada Darma-BANake yaH-ca-eva DAreta liKeta vAcaye /
   satkāru taiśca sad anityu kuryā srigdhāśca vāco madhurā bhaṇeta //	satkAru tEH-ca sat anityu kuryA srigDAH-ca vAcaH maDurAH BaNeta //
   IV	IV
   āryāvalokiteśvaro bodhisattvo bhagavataścaraṇayornipatya	Arya-avalokita-ISvaraH boDisattvaH BagavataH-caraNayoH-nipatya
   bhagavantametadavocat / anusmarāmyahaṃ bhagavan asti vyavalokanaprātihāryā	Bagavantam-etat-avocat / anusmarAmi-aham Bagavan asti vyavalokana-prAtihAryA
   nāma dhāraṇī yā mayā pūrvaṃ jñānaketuprabhākarasya	nAma DAraNI yA mayA pUrvam jQAna-ketu-praBA-karasya
   tathāgatasyāntikādudgṛhītā śrutā[ca] / yāṃ śrutvā matvā udgṛhya dhārayitvā	taTAgatasya-antikAt-udgRhItA SrutA[-ca] / yAm SrutvA matvA udgRhya DArayitvA
   vācayitvā satkaritvā likhitvā likhāpayitvā avaivartikabhūmiṃ pratilabhante	vAcayitvA sat-karitvA liKitvA liKApayitvA avEvartika-BUmim pratilaBante
   / sarvānetāṃstathāgatabhāṣitān guṇān pratilabhante / sarvaṃ cāsya	/ sarvAn-etAn=-taTAgata-BAzitAn guNAn pratilaBante / sarvam ca-asya
   yathābhiprāyāṃ samṛdhyate / sarvakarmāva[ra]ṇaṃ cāsya kṣayaṃ gacchati /	yaTA-aBiprAyAm samRDyate / sarva-karma-ava[ra]Nam ca-asya kzayam gacCati /
   samādhiṃ ca pratilabhate / vigatā vyādhayo bhavanti / buddhadarśanaṃ	samADim ca pratilaBate / vigatAH vyADayaH Bavanti / budDa-darSanam
   bodhisattvadarśanaṃ bhavati / tad bhagavān sādhukāramadāt / sādhu sādhu	boDisattva-darSanam Bavati / tat BagavAn sADukAram-adAt / sADu sADu
   kulaputra pravartaya adhiṣṭhitaṃ tathāgatena /	kula-putra pravartaya aDizWitam taTAgatena /
   athāryāvalokiteśvaro bodhisattvo daśadiśaṃ sarvatathāgatebhyo namaskṛtya	aTa-Arya-avalokita-ISvaraH boDisattvaH daSa-diSam sarva-taTAgateByaH namaskRtya
   imāni mantrapadāni bhāṣate sma /	imAni mantra-padAni BAzate sma /
   (Dutt 67)	(Dutt 67)
   namaḥ sarvatathāgatānāṃ sarvāśāparipūrakarāṇām / nama āryāvalokiteśvarasya	namaH sarva-taTAgatAnAm sarva-ASAparipUra-karANAm / namaH Arya-avalokita-ISvarasya
   bodhisattvasya mahākāruṇikasya / tadyathā	boDisattvasya mahA-kAruNikasya / tat-yaTA
   ha ha ha ha / mama mama / dhiri dhiri / śānte praśānte sarvapāpakṣayaṃkare	ha ha ha ha / mama mama / Diri Diri / SAnte praSAnte sarva-pApa-kzayaMkare
   / avalokaya kāruṇika bodhicittaṃ manasi kuru / vyavalokaya māṃ smara smara	/ avalokaya kAruNika boDi-cittam manasi kuru / vyavalokaya mAm smara smara
   yat tvayā pūrvaṃ satyādhiṣṭhānaṃ kṛtam / tena satyena sarvāśāṃ me	yat tvayA pUrvam satya-aDizWAnam kRtam / tena satyena sarva-ASAm me
   paripūraya / buddhakṣetraṃ pariśodhaya / mā me kaścid viheṭhaṃ karotu /	paripUraya / budDa-kzetram pariSoDaya / mA me kaScid viheWam karotu /
   buddhādhiṣṭhānena svāhā / tadyathā	budDa-aDizWAnena svAhA / tat-yaTA
   teje teje mahāteje / yanmama kāyaduścaritaṃ vāgduścaritaṃ manoduścaritaṃ	teje teje mahA-teje / yat-mama kAya-duScaritam vAc-duScaritam manaH-duScaritam
   dāridrayaṃ vā tanme kṣapaya / ālokaya vilokaya / tathāgatadarśanaṃ	dAridrayam vA tat-me kzapaya / Alokaya vilokaya / taTAgata-darSanam
   cāhamabhikāṃkṣāmi bodhisattvadarśanam / dhudhupa dadasva me darśanam /	ca-aham-aBikAMkzAmi boDisattva-darSanam / DuDupa dadasva me darSanam /
   sarve me kuśalā abhivardhantu / namaḥ sarvatathāgatānām / namaḥ	sarve me kuSalAH aBivarDantu / namaH sarva-taTAgatAnAm / namaH
   avalokiteśvarasya / smara pratijñā mahāsattvāḥ / sidhyantu mantrapadāḥ	avalokita-ISvarasya / smara pratijQAH mahAsattvAH / siDyantu mantra-padAH
   svāhā /	svAhA /
   asyāṃ dhāraṇyāṃ bhāṣyamāṇāyāṃ mahāpṛthivīkaṃpo 'bhūt mahākilakilāśabdaḥ /	asyAm DAraNyAm BAzyamANAyAm mahA-pRTivI-kaMpaH aBUt mahA-kilakilA-SabdaH /
   divyaṃ ca puṣpavarṣamabhipravarṣan[sarvaḥ saparṣat] sādhukārasmadāt /	divyam ca puzpa-varzam-aBipravarzan[-sarvaH sa-parzat] sADukAra-smadAt /
   sādhu sādhu subhāṣitamidaṃ mahāsattvena sarvasattvānāṃ trāṇārthaṃ	sADu sADu suBAzitam-idam mahAsattvena sarva-sattvAnAm trANa-arTam
   sarvāśāparipūrakaram / rakṣa sarvabhayebhyaḥ sarvakarmakṣayaṃkara	sarva-ASA-paripUra-karam / rakza sarva-BayeByaH sarva-karma-kzayaMkara
   maraṇaduḥsvapnakāntārapraśamana / vayamapi sarve bhūtvā dhārayiṣyāmaḥ	maraNa-duHsvapna-kAntAra-praSamana / vayam-api sarve BUtvA DArayizyAmaH
   satkariṣyāmaḥ / avalokiteśvara āha / yaḥ kaścit kulaputra imān	satkarizyAmaH / avalokita-ISvaraH Aha / yaH kaScid kula-putraH imAn
   guṇānabhikāṃkṣa[te] / yathā tathāgatena parikirtitaṃ vyākaraṇaṃ mama	guNa-an-aBikAMkza[te] / yaTA taTAgatena parikirtitam vyAkaraNam mama
   kāṃkṣa[te] / mamāpi sammukhadarśanaṃ samādhilambhaṃ	kAMkza[te] / mama-api sammuKa-darSanam samADi-lamBam
   buddhabodhisattvadarśanaṃ (Dutt 68) bhogaiśvaryalambhaṃ	budDa-boDisattva-darSanam (Dutt 68) Boga-ESvarya-lamBam
   buddhakṣetropapattiṃ tena śuklapakṣe śucinā susnātagātreṇa bhūtvā	budDa-kzetra-upapattim tena Sukla-pakze SucinA su-snAta-gAtreNa BUtvA
   āryāṣṭāṃgopavāsopavasitairaṣṭamyāmārabhya śucau pradeśe buddhādhiṣṭhite	Arya-azwa-aMga-upavAsa-upavasitEH-azwamyAm-AraBya SucO pradeSe budDa-aDizWite
   gandhapuṣpairdhvajapatākaiḥ pūrṇakumbhairabhyarcya sa pṛthivīpradeśaḥ sa	ganDa-puzpEH-Dvaja-patAkEH pUrNa-kumBEH-aByarcya sa pRTivI-pradeSaH sa
   ca dharmabhāṇakaḥ śuciḥ susnātagātraḥ śvetavastraprāvṛto	ca Darma-BANakaH SuciH su-snAta-gAtraH Sveta-vastra-prAvRtaH-
   nānāpuṣpamālyagandhairabhyarcya likhāpayitavyaḥ sarvasattvāsādhāraṇāni	nAnA-puzpa-mAlya-ganDEH-aByarcya liKApayitavyaH sarva-sattva-asADAraNAni
   kuśalamūlāni kṛtvā sarvasattvamaitracittena dayācittena karuṇācittena	kuSala-mUlAni kRtvA sarva-sattva-mEtra-cittena dayA-cittena karuNA-cittena
   tathāgatagurugauravaṃ cittamupasthāpya tena dine dine likhatā tāva likhe	taTAgata-guru-gOravam cittam-upasTApya tena dine dine liKatA tAva liKe
   yāvadardhadivasam / aṣṭamyāmārabhya yāvat pañcadaśīṃ dine dine saiva pūjā	yAvat-arDa-divasam / azwamyAm-AraBya yAvat paQcadaSIm dine dine sA-eva pUjA
   kartavyā / tato 'nenaiva vidhinā likhitamātreṇa pañcānantaryāṇi karmāṇi	kartavyA / tatas anena-eva viDinA liKita-mAtreNa paQca-AnantaryANi karmANi
   sarvapāpāni cāsya kṣayaṃ yāsyanti / kuśalairdharmairvivardhiṣyate /	sarva-pApAni ca-asya kzayam yAsyanti / kuSalEH-DarmEH-vivarDizyate /
   uttaptavīryo bhaviṣyati / sarvadharmeṣu kāyasukhamanuprāpsyati /	uttapta-vIryaH Bavizyati / sarva-Darmezu kAya-suKam-anuprApsyati /
   tanūbhaviṣyanti rāgadveṣamohamānakrodhāḥ / tena likhāpayitvā pūrvamukhīṃ	tanU-Bavizyanti rAga-dveza-moha-mAna-kroDAH / tena liKApayitvA pUrva-muKIm
   sadhātukāṃ tathāgatapratimāmavalokiteśvarapratimāṃ ca sadhātukāṃ sthāpya	sa-DAtukAm taTAgata-pratimAm-avalokita-ISvara-pratimAm ca sa-DAtukAm sTApya
   sadhātukeai caitāyatane puṣpadhūpagandhairdīpaiśca udāratarā pūjā kartavyā	sa-DAtukeE ca-etAyatane puzpa-DUpa-ganDEH-dIpEH-ca udAratarA pUjA kartavyA
   / aṣṭamyāmārabhya yāvat pañcadaśīṃ sarvasattvamahākaruṇācittena	/ azwamyAm-AraBya yAvat paQcadaSIm sarva-sattva-mahA-karuNA-cittena
   bhavitavyam / śuciśuklabhojinā āryāṣṭāṃgopavāsopavasitena suhṛtsahāyakena	Bavitavyam / Suci-Sukla-BojinA Arya-azwa-aMga-upavAsa-upavasitena suhRd-sahAyakena
   mānakrodhamātsaryaparivarjitena dine dine udāratarāṃ pūjāṃ kṛtvā	mAna-kroDa-mAtsarya-parivarjitena dine dine udAratarAm pUjAm kRtvA
   trisandhyaṃ jāpaḥ aṣṭaśatiko dātavyaḥ / dīpadhūpapuṣpagandhādi dattvā	trisanDyam jApaH azwaSatikaH dAtavyaH / dIpa-DUpa-puzpa-ganDa-Adi dattvA
   sumanaḥpuṣpāṣṭaśataiśca āryāvalokiteśvarapratimā trisandhyamāhartavyā /	sumanaH-puzpa-azwaSatEH-ca Arya-avalokita-ISvara-pratimA tri-sanDyam-AhartavyA /
   (Dutt 69) vajrapāṇeśca dhūpo dātavyaḥ / daśadiśamabhinamaskṛtya paścimena	(Dutt 69) vajrapANeH-ca DUpaH dAtavyaH / daSa-diSam-aBinamaskRtya paScimena
   bhīmāyā devyāḥ pūrveṇānopamāyāḥ ūrdhvena śaṃkhinyā	BImAyAH devyAH pUrveNa-anopamAyAH UrDvena SaMKinyA
   balirnānārasapāyasadadhyodanaścaturdiśaṃ kṣeptavyaḥ / tatastasya na kaścid	baliH-nAnA-rasa-pAyasa-daDyodanaH-caturdiSam kzeptavyaH / tatas-tasya na kaScid-
   vikṣepaṃ kariṣyati / saṃtrāso ['pi notpadyate /] nānyathātvaṃ cittasya /	vikzepam karizyati / saMtrAsaH [-api na-utpadyate /] na-anyaTAtvam cittasya /
   sarveṣāṃ cāṣṭaśatiko jāpaḥ aṣṭaśatasumanaḥpuṣpaiśca saṃcodanam /	sarvezAm ca-azwaSatikaH jApaH azwa-Sata-sumanaH-puzpEH-ca saMcodanam /
   [ane]naiva vidhinā pūrvasecaṃ kṛtvā tataḥ pūrṇapañcadaśyāṃ catvāri	[ane]na-eva viDinA pUrva-secam kRtvA tatas pUrNa-paQcadaSyAm catvAri
   pūrṇakuṃbhā[ni]sthāpya dhūpacandanakundurukakarpūraṃ dattvā dīpa[mukhāni]	pUrNa-kuMBA[-ni]sTApya DUpa-candana-kunduruka-karpUram dattvA dIpa[muKAni]
   catvāri nānāgandhadhvajapaṭapatākāsuvarṇarūpyabhāṇḍaiḥ taṃ pṛthivīpradeśaṃ	catvAri nAnA-ganDa-Dvaja-pawa-patAkA-suvarNa-rUpya-BANxEH tam pRTivI-pradeSam
   samalaṃkṛtya dadhimadhupāyasadadhyodanamanyāni ca yathālambhena baliṃ	samalaMkRtya daDi-maDu-pAyasa-daDi-odanam-anyAni ca yaTAlamBena balim
   caturdiśe dattvā nivedya sumanaḥpuṣpāṣṭakaśatairekaikaṃ japya caturdiśe	catur-diSe dattvA nivedya su-manaH-puzpa-azwaka-SatEH-ekEkam japya caturdiSe
   kṣeptavyam / pūrvavat tryaṣṭaśataiḥ sumanojātipuṣpairekaikaṃ japya	kzeptavyam / pUrvavat tri-azwa-SatEH su-manaH-jAti-puzpEH-ekEkam japya
   āryāvalokiteśvarapratimā āhartavyā / tataḥ satpratimā kaṃpiṣyati /	Arya-avalokita-ISvara-pratimAH AhartavyA / tatas sat-pratimA kaMpizyati /
   mahānirghoṣo bhaviṣyati / raśmayo niścariṣyanti / pṛthivīkampaḥ	mahA-nirGozaH Bavizyati / raSmayaH niScarizyanti / pRTivI-kampaH
   [bhaviṣyati /] tataḥ sarvakarmāṇi sarvakāryāṇi cāsya samṛddhiṣyanti /	[Bavizyati /] tatas sarva-karmANi sarva-kAryANi ca-asya samRdDizyanti /
   tathāgatadarśanaṃ bodhisattvabhūmipratilambhaḥ sarvasattvavandanīyo	taTAgata-darSanam boDisattva-BUmi-pratilamBaH sarva-sattva-vandanIyo
   bhaviṣyati / dhanadhānyakośakoṣṭhāgārasamṛddhaḥ	Bavizyati / Dana-DAnya-koSa-kozWAgAra-samRdDaH
   sarvavyādhiparivarjitaścirajīvi (Dutt 70) [bhaviṣyati] / sarvaśatravaḥ	sarva-vyADi-parivarjitaH-cira-jIvi (Dutt 70) [Bavizyati] / sarva-SatravaH
   sarvarājarājaputrāmātyadarśanābhikāṃkṣiṇo bhaviṣyanti priyaṃkarāḥ	sarva-rAja-rAja-putra-amAtya-darSana-aBikAMkziNaH Bavizyanti priyaMkarAH
   sarvakleśarāgadveṣamohaprahīṇāḥ / na ca jātu priyaviprayogo bhaviṣyati /	sarva-kleSa-rAga-dveza-moha-prahINAH / na ca jAtu priya-viprayogaH Bavizyati /
   mahādṛḍhabalavīryasaṃpannastejavāṃstīkṣṇendriyo buddhimān	mahA-dRXa-bala-vIrya-saMpannaH-tejavAn=-tIkzNa-indriyaH budDimAn
   sarvasattvadayācitto dharmajño yāvaccyavanakāle buddhaṃ	sarva-sattva-dayA-cittaH Darma-jQaH yAvat-cyavana-kAle budDam
   bhagavantamāryāvalokiteśvaraṃ paśyati / maitravihārī kālaṃ karoti /	Bagavantam-Arya-avalokita-ISvaram paSyati / mEtra-vihArI kAlam karoti /
   dharmaṃ deśayamānaṃ yathepsiteṣu buddhakṣetreṣu mahācakravartikuleṣu	Darmam deSayamAnam yaTA-Ipsitezu budDa-kzetrezu mahA-cakravarti-kulezu
   yatrānusmṛtiṃ karoti tatropapadyate / anyāni cānekāni guṇasahasrāṇi	yatra-anusmRtim karoti tatra-upapadyate / anyAni ca-anekAni guNa-sahasrANi
   pratilapsyate / evaṃ bhagavan bahuguṇakaro 'yaṃ dharmaparyāyaḥ / imāni te	pratilapsyate / evam Bagavan bahu-guNa-karaH ayam Darma-paryAyaH / imAni te
   dhāraṇīmantrapadāni na vinā tathāgatādhiṣṭhānasyāyaṃ dharmaparyāyaṃ śakyaṃ	DAraNI-mantra-padAni na vinA taTAgata-aDizWAnasya-ayam Darma-paryAyam Sakyam
   śrotuṃ na dhārayituṃ na pūjayituṃ na likhituṃ na likhāyituṃ na	Srotum na DArayitum na pUjayitum na liKitum na liKAyitum na
   śraddadhātum / sace darśanaṃ bhave na śravaṃ bhaviṣyati / sace śravaṇaṃ	SraddaDAtum / sace darSanam Bave na Sravam Bavizyati / sace SravaNam
   tadvikṣiptacittaḥ śroṣyati na śraddhāsyati na satkariṣyati / sace satkare	tad-vikzipta-cittaH Srozyati na SradDAsyati na satkarizyati / sace satkare
   kleśavyāpādacittaḥ[satkariṣyati] sace likhe likhāpayeta vyākṣiptacittaḥ /	kleSa-vyApAda-cittaH[-satkarizyati] sace liKe liKApayeta vyAkzipta-cittaH /
   [tat kasya hetoḥ] / tathā hi tasya pūrvapāpakarmaphalahetutvāt	[tat kasya hetoH] / taTA hi tasya pUrva-pApa-karma-Pala-hetu-tvAt
   karmānubhavitavyam / sa vicikitsāprāpto bhaviṣyati / paṃcānantaryaṃ	karma-anuBavitavyam / sa vicikitsA-prAptaH Bavizyati / paMcAnantaryam
   kariṣyati / tribhiḥ sādhanaiḥ sarvāśāsamṛddhirbhaviṣyati / nātra kāṃkṣā na	karizyati / triBiH sADanEH sarva-ASAsam-RdDiH-Bavizyati / na-atra kAMkzA na
   vimatirna vicikitsotpādayitavyā / atha bhagavān[avalokiteśvarāya	vimatiH-na vicikitsA-utpAdayitavyAH / aTa BagavAn-[avalokita-ISvarAya
   bodhisattvāya mahāsattvāya] sādhukāramadāt / sādhu sādhu kulaputra /	boDisattvAya mahAsattva-aya] sADukAram-adAt / sADu sADu kula-putra /
   tathāgatakṛtyamayaṃ dharmaparyāyaḥ kariṣyati sarvasattvānām /	taTAgata-kRtya-mayam Darma-paryAyaH karizyati sarva-sattvAnAm /
   (Dutt 71)	(Dutt 71)
   V	V
   atha khalvanopamā mahāyakṣiṇī yena bhagavāṃstenopasamakrāmat / bhagavantaṃ	aTa Kalu-ana-upamA mahA-yakziNI yena BagavAn=-tena-upasama-krAmat / Bagavantam
   nānāpuṣpaduṣyayugairācchādya bhagavataḥ pādayornipatya	nAnA-puzpa-duzya-yugEH-AcCAdya BagavataH pAdayoH-nipatya
   bhagavantametadavocat / evaṃ smarāmyahaṃ bhagavanmayā bhagavataḥ	Bagavantam-etat-avocat / evam smarAmi-aham Bagavat-mayA BagavataH
   kauśāmbyāṃ ghoṣilasyārāme viharataḥ purataḥ pratijñā samudāhṛtā	kOSAmbyAm Gozilasya-ArAme viharataH puratas pratijQA samudAhRtA
   sarvasattvānāmarthāya / ahamapi bhagavan sarvavidyādharāṇāṃ hṛdayaṃ jānāmi	sarva-sattvAnAm-arTAya / aham-api Bagavan sarva-vidyADarANAm hRdayam jAnAmi
   / tanme bhagavānanujānātu bahujanahitāya bahujanasukhāya	/ tat-me BagavAn-anujAnAtu bahu-jana-hitAya bahu-jana-suKAya
   sarvāśāparipūraṇārthāya bhikṣubhikṣuṇyupāsakopāsikānāṃ ca /	sarva-ASA-paripUraNa-arTAya Bikzu-BikzuNI-upAsaka-upAsikAnAm ca /
   namaḥ sarvatathāgatānāṃ saṃyyathīd ha ha / hī hī / hu hu / sara sara /	namaH sarva-taTAgatAnAm saMyyaTIt ha ha / hI hI / hu hu / sara saraH /
   lahuṃ lahuṃ / śīghraṃ śīghraṃ / mahāvidye sarvavidyādharanamaskṛte / hasaḥ	lahum lahum / SIGram SIGram / mahAvidye sarva-vidyADara-namaskRte / hasaH
   hasaḥ / kiṃ tiṣṭhasi kiṃ tiṣṭhasi / kanakavicitrābharaṇavibhūṣitāṃgi paṭa	hasaH / kim tizWasi kim tizWasi / kanaka-vicitra-ABaraNa-viBUzita-aMgi pawa
   paṭa / bhara bhara / bhiri bhiri / bhūru bhūru / sarvārthaṃ me sādhaya /	pawa / Bara Bara / Biri Biri / BUru BUru / sarva-arTam me sADaya /
   turu turu / arthaṃ sādhaya / arthaṃ dehi me	turu turu / arTam sADaya / arTam dehi me
   nātsahaṃ mārapati śūlkṣiṇasya /	nAt-saham mArapati SUlkziNasya /
   [sarvasaṅghānāḥ]siddhiṃ hā hā / padme padme mahāpadme / viśade viśade	[sarva-saFGAnAH]-sidDim hA hA / padme padme mahApadme / viSade viSade
   mahāviśade / bhava bhava bhavodbhavāya / tamahaṃ ghore tamahaṃ ghore /	mahA-viSade / Bava Bava BavodBavAya / tam-aham Gore tam-aham Gore /
   (Dutt 72) tanme vidyāṃ prayojaya / siddhiṃ kuru / sarvaśāṃ me paripūraya	(Dutt 72) tat-me vidyAm prayojaya / sidDim kuru / sarvaSAm me paripUraya
   buddhādhiṣṭhānena svāhā /	budDa-aDizWAnena svAhA /
   yaḥ kaścidbhagavadguṇārthī dhanadhānyārthī sarvasattvavaśīkaraṇārthī bhave	yaH kaScid-Bagavat-guNa-arTI Dana-DAnya-arTI sarva-sattva-vaSIkaraNa-arTI Bave
   mahaiśvaryaṃ rājatvaṃ vidyādharatvamabhikāṃkṣa[te]mamāpi saṃmukhadarśanaṃ	mahA-ESvaryam rAja-tvam vidyADara-tvam-aBikAMkza-[te]m-ama-api saMmuKa-darSanam
   tena aṣṭamyāṃ śuklapakṣe nave paṭake acchinnadaśe keśāpagate śucinā	tena azwamyAm Sukla-pakze nave pawake acCinna-daSe keSa-apa-gate SucinA
   citrakareṇa āryāṣṭāṅgopavāsopavasitena	citrakareNa Arya-azwa-aFga-upavAsa-upavasitena
   aśleṣairaṅgairnavabhājanasthaiścitrāpayitavyam / madhye tathāgatapratimā	aSlezEH-aFgEH-nava-BAjana-sTEH-citrApayitavyam / maDye taTAgata-pratimA
   dharmaṃ deśayamānā dakṣiṇenāryavajrakrodho vajraṃ bhrāmayamānaḥ	Darmam deSayamAnAH dakziNena-Arya-vajra-kroDaH vajram BrAmayamAnaH
   sarvālaṅkāravibhūṣitaḥ[puṣpa]mālyārdhacandrahāraḥ śvetavastraprāvṛtaḥ	sarva-alaFkAra-viBUzitaH[puzpa]-mAlya-arDacandra-hAraH Sveta-vastra-prAvRtaH
   vāmapārśve anopamā śarakāṇḍagaurī sarvālaṃkāravibhūṣitā śvetavastrā	vAma-pArSve anopamA SarakANxa-gOrI sarva-alaMkAra-viBUzitA Sveta-vastrA
   padmahastā samāśvāsayaṃtī / tataḥ śucinā vidyādhareṇa āryāṣṭāṅgopavasitena	padma-hastA samASvAsayaMtI / tatas SucinA vidyADareNa Arya-azwa-aFga-upavasitena
   śucau sadhātuke tathāgatasthāne kṣīrayāvakāhāreṇa	SucO sa-DAtuke taTAgata-sTAne kzIra-yAvaka-AhAreNa
   śvetavastraprāvṛtenātmadvitīyena aṣṭamyāṃ pūrvasecaṃ kṛtvā	Sveta-vastra-prAvRtena-Atma-dvitIyena azwamyAm pUrva-secam kRtvA
   nānāpuṣpagandhadhūpadīpaiḥ pūjāṃ kṛtvā triskṛtvā tryaṣṭaśatiko jāpo	nAnA-puzpa-ganDa-DUpa-dIpEH pUjAm kRtvA triskRtvA tri-azwaSatikaH jApaH-
   dātavyaḥ / ekaikaṃ sumanaḥpuṣpaṃ jāpya tryaṣṭaśataiḥ sā pratimā āhartavyā	dAtavyaH / ekEkam sumanaH-puzpam jApya tri-azwa-SatEH sA pratimA AhartavyA
   tathāgatasya vajrapāṇeśca pūrvataraṃ puṣpadhūpagandhaṃ dātavyam /	taTAgatasya vajrapANeH-ca pUrvataram puzpa-DUpa-ganDam dAtavyam /
   balipāyasadadhyodanaṃ nānārasaṃ nānāmadyaṃ (Dutt 73) caturdiśe kṣeptavyam	bali-pAyasat-aDi-odanam nAnA-rasam nAnA-madyam (Dutt 73) caturdiSe kzeptavyam
   / pūrṇapañcadaśyāmanenaiva vidhinā baliḥ anyā[ni] ca yathālābhena	/ pUrNapaQcadaSyAm-anena-eva viDinA baliH anyA[ni] ca yaTAlABena
   dhūpakarpūrakundurukacandanamrakṣaṃ dātavyam / sugandhatailena dvau dipau	DUpa-karpUra-kunduruka-candanamrakzam dAtavyam / suganDa-tElena dvO dipO
   dātavyau / tatrāhaṃ svarūpeṇopatiṣṭhāmi / yathepsitaṃ varaṃ dāsyāmi	dAtavyO / tatra-aham sva-rUpeNa-upatizWAmi / yaTA-Ipsitam varam dAsyAmi
   samādhilābhamākāśagamanamantardhānaṃ rājatvaṃ balacakravartitvaṃ	samADi-lABam-AkASa-gamanam-antarDAnam rAja-tvam bala-cakravarti-tvam
   vidyādharatvaṃ nidhivādaṃ dhātuvādaṃ paracittajñānaṃ dīrghāyuṣkatvam /	vidyADara-tvam niDivAdam DAtuvAdam para-citta-jQAnam dIrGa-Ayuzka-tvam /
   sarvasattvānāṃ maitracittena bhavitavyam /	sarva-sattvAnAm mEtra-cittena Bavitavyam /
   mānakrodhadherṣyāmātsaryaparivarjitena	mAna-kroDa-DerzyA-mAtsarya-parivarjitena
   staupikadhārmikasāṃghikārthāpahāraparivarjitena bhavitavyam /	stOpika-DArmika-sAMGika-arTa-apahAra-parivarjitena Bavitavyam /
   tathāgatānāmabhedyaprasādena[bhavitavyam] / yadi cāhaṃ bhagavan	taTAgatAnAm-aBedya-prasAdena[-Bavitavyam] / yadi ca-aham Bagavan
   pañcānantaryaṃ kariṣyāmi tribhiḥ sādhanairna samanvāherayaṃ mā cāhaṃ	paQca-anantaryam karizyAmi triBiH sADanEH-na samanvAheH-ayam mA ca-aham
   bhagavannanuttarāṃ samyaksaṃbodhimabhisaṃbudhyeyaṃ sace buddhe	Bagavan=-anuttarAm samyaksaMboDim-aBisaMbuDyeyam sace budDe
   aprasādalabdho bhave yaśca vimatiprāpto yaścaṃ pāpamakuśalaṃ kṛtvā na	aprasAda-labDaH Bave yaH-ca vimati-prAptaH yaH-cam pApam-akuSalam kRtvA na
   viratimanugṛṇhāti kleśopakleśacittastasyāhaṃ cāpi darśanaṃ dāsyāmi	viratim-anugRNhAti kleSa-upakleSa-cittaH-tasya-aham ca-api darSanam dAsyAmi
   lābhamapi kariṣyāmi /	lABam-api karizyAmi /
   atha bhagavān sādhukāramadāt / sādhu sādhu bhagini / sādhu khalu punastvaṃ	aTa BagavAn sADukAram-adAt / sADu sADu Bagini / sADu Kalu punar-tvam
   bhagini yattvayā sarvasattvānāmarthāya pāpasamācāreṣu (Dutt 74) sattveṣu	Bagini yat-tvayA sarva-sattvAnAm-arTAya pApa-samAcArezu (Dutt 74) sattvezu
   imā evaṃrūpā mantrapadā bhāṣitāḥ pratijñā kṛtā / śakṣyasi tvamanayā	imAH evaMrUpAH mantra-padAH BAzitAH pratijQA kRtA / Sakzyasi tvam-anayA
   evaṃrūpayā mahākaruṇayā sarvasattvānanuttarāyāṃ samyaksaṃbodhau	evaMrUpayA mahA-karuNayA sarva-sattvAn-anuttarAyAm samyaksaMboDO
   prati[ṣṭhā]payitum / evameva tvayāpi karaṇīyam /	prati[zWA-a]payitum / evam-eva tvayA-api karaNIyam /
   atha śaṃkhini mahādevī bhagavantaṃ nānāpuṣpairnānāgandhairabhyarcya	aTa SaMKini mahAdevI Bagavantam nAnA-puzpEH-nAnA-ganDEH-aByarcya
   pradakṣiṇīkṛtya pādaryonipatya bhagavantametadavocat / ahamapi	pradakziNIkRtya pAdaryonipatya Bagavantam-etat-avocat / aham-api
   bhagavaṃstathāgatādhiṣṭhānena pratijñāṃ kariṣyāmi	Bagavan=-taTAgata-aDizWAnena pratijQAm karizyAmi
   tathāgataśāsanacirasthityartham / teṣāṃ ca dharmabhāṇakānāṃ	taTAgata-SAsana-cira-sTiti-arTam / tezAm ca Darma-BANakAnAm
   dharmaśrāvaṇikānāṃ sarvāśāparipūrakarāṇi mantrapadāni dāsyāmi / rakṣāyai	Darma-SrAvaNikAnAm sarva-ASA-paripUra-karANi mantra-padAni dAsyAmi / rakzAyE
   tanme bhagavān anujānātu /	tat-me BagavAn anujAnAtu /
   namo namaḥ sarvatathāgatānām / om śaṃkhini devi āgaccha āgaccha / tiṣṭha	namaH namaH sarva-taTAgatAnAm / om SaMKini devi AgacCa AgacCa / tizWa
   dhane dhanajaye / vṛ vṛ vṛddhikari / dhṛ dhṛ dhṛtikari /	Dane Dana-jaye / vR vR vRdDi-kari / DR DR DRti-kari /
   nānāvividhaveśavastrāyudhadhāriṇi / yu yu āyuṣpālani / tathāgatānāṃ smara	nAnA-viviDa-veSa-vastra-AyuDa-DAriNi / yu yu AyuzpAlani / taTAgatAnAm smara
