   Vimalakīrtinirdeśa	Vimala-kIrti-nirdeSa
   sma: tvaṃ mañjuśrīḥ daśasu dikṣv asaṃkhyeyeṣu buddhakṣetraśatasahasreṣu	sma: tvam maQjuSrIH daSasu dikzu asaMKyeyezu budDa-kzetra-Sata-sahasrezu
   buddhakṣetracārikāṃ carasi / tat katarasmin buddhakṣetre tvayā	budDa-kzetra-cArikAm carasi / tat katarasmin budDa-kzetre tvayA
   sarvaviśiṣṭāni sarvaguṇopetāni siṃhāsanāni dṛṣṭāni / evam ukte mañjuśrīḥ	sarva-viSizwAni sarva-guNa-upetAni siMhAsanAni dRzwAni / evam ukte maQjuSrIH
   kumārabhūto vimalakīrtiṃ licchavim etad avocat: asti kulaputra pūrve	kumAra-BUtaH vimala-kIrtim licCavim etat avocat: asti kula-putra pUrve
   digbhāge ṣaṭtriṃśadgaṅgānadīvālikāsamāni buddhakṣetrāṇy atikramya	digBAge zawtriMSat-gaFgA-nadI-vAlikA-samAni budDa-kzetrANi atikramya
   merudhvajā nāma lokadhātuḥ / tatra merupradīparājo nāma tathāgato 'rhan	meruDvajAH nAma lokaDAtuH / tatra merupradIpa-rAjaH nAma taTAgataH arhan
   samyaksaṃbuddhas tiṣṭhati dhriyate yāpayati / tasya tathāgatasya	samyaksaMbudDaH tizWati Driyate yApayati / tasya taTAgatasya
   caturaśītiyojanaśatasahasra ātmabhāvaḥ / aṣṭaṣaṣṭiyojanaśatasahasraṃ tasya	caturaSIti-yojana-Sata-sahasraH Atma-BAvaH / azwa-zazwi-yojana-Sata-sahasram tasya
   bhagavataḥ siṃhāsanam / teṣāṃ ca bodhisatvānāṃ	BagavataH siMhAsanam / tezAm ca boDisatvAnAm
   catvāriṃśadyojanaśatasahasra ātmabhāvaḥ / catustriṃśadyojanaśatasahāsrāni	catvAriMSat-yojana-Sata-sahasraH Atma-BAvaH / catustriMSat-yojana-Sata-sahAsrAni
   teṣāṃ bodhisatvānāṃ siṃhāsanāni / merudhvajāyāṃ lokadhātau tasya bhagavato	tezAm boDisatvAnAm siMhAsanAni / meruDvajAyAm lokaDAtO tasya BagavataH-
   merupradīparājasya tathāgatasya buddhakṣetre sarvaviśiṣṭāni	meru-pradIpa-rAjasya taTAgatasya budDa-kzetre sarva-viSizwAni
   sarvagunopetāni siṃhāsanāni /	sarva-guna-upetAni siMhAsanAni /
   Vkn .5.7 atha vimalakīrtir licchavis tasyāṃ velāyāṃ tathārūpaṃ	Vk .5.7 aTa vimala-kIrtiH licCaviH tasyAm velAyAm taTArUpam
   samanvāhāraṃ samanvāharati sma / tādṛśaṃ carddhyabhisaṃskāram	samanvAhAram samanvAharati sma / tAdRSam ca-Rdhi-aBisaMskAram
   abhisaṃskṛtavān, yat tato merudhvajālokadhātor	aBisaMskRtavAn, yat tatas meru-Dvaja-Aloka-DAtoH-
   dvātriṃśatsiṃhāsanaśatasahasrāṇi tena bhagavatā merupradīparājena	dvAtriMSat-siMhAsana-Sata-sahasrANi tena BagavatA meru-pradIpa-rAjena
   tathāgatena preṣitāni / tāvad udviddhāni tāvad vistīrṇāni tāvad	taTAgatena prezitAni / tAvat udvidDAni tAvat vistIrNAni tAvat-
   darśanīyāni yad apūrvāṇi tair bodhisatvais taiś ca mahāśrāvakais taiś ca	darSanIyAni yat apUrvANi tEH boDisatvEH tEH ca mahA-SrAvakEH tEH ca
   śakrabrahmalokapālair devaputraiś ca / tāny upary antarīkṣeṇāgatya	Sakra-brahma-lokapAlEH deva-putrEH ca / tAni upari antarIkzeNa-Agatya
   vimalakirter licchaver niveśane pratyatiṣṭhan / tac ca gṛhaṃ tāvad	vimalakirteH licCaveH niveSane pratyatizWan / tat ca gRham tAvat-
   vistīrṇaṃ saṃdṛśyate, yatra tāni dvātriṃśatsiṃhāsanaśatasahasrāṇi	vistIrNam saMdRSyate, yatra tAni dvAtriMSat-siMhAsana-Sata-sahasrANi
   vicitrāṇy anutpīḍanatayā / na ca vaiśālyā mahānagaryā āvaraṇaṃ kṛtam, na	vicitrANi anutpIxana-tayA / na ca vESAlyA mahA-nagaryA AvaraNam kRtam, na
   jambūdvīpasya, na cāturdvīpikasyāvaraṇam / sarve te tathaiva saṃdṛśyante	jambUdvIpasya, na cAturdvIpikasya-AvaraNam / sarve te taTA-eva saMdRSyante
   yathā pūrvaṃ tathā paścāt /	yaTA pUrvam taTA paScAt /
   Vkn .5.8 atha vimalakīrtir licchavir mañjuśriyaṃ kumārabhūtam etad avocat:	Vk .5.8 aTa vimala-kIrtiH licCaviH maQju-Sriyam kumAra-BUtam etat avocat-:
   niṣida tvaṃ mañjuśrīḥ siṃhāsane sārdham etair bodhisatvaiḥ / tādṛśāṃś	nizida tvam maQjuSrIH siMhAsane sArDam etEH boDisatvEH / tAdRSAn=-
   cātmabhāvān adhitiṣṭhata yat siṃhāsaneṣv anurūpāḥ syuḥ /	ca-Atma-BAvAn aDitizWata yat siMhAsanezu anurUpAH syuH /
   atha ye 'bhijñāpratilabdhā bodhisatvās te dvācatvāriṃśadyojanaśatasahasram	aTa ye aBijQA-pratilabDAH boDisatvAH te dvAcatvAriMSat-yojana-Sata-sahasram
   ātmabhāvam adhiṣṭhāya teṣu siṃhāsaneṣu nisīdanti sma / ye cādikarmikā	Atma-BAvam aDizWAya tezu siMhAsanezu nisIdanti sma / ye ca-AdikarmikA
   bodhisatvās te na śaknuvanti sma teṣu siṃhāsaneṣu niṣattum /	boDisatvAH te na Saknuvanti sma tezu siMhAsanezu nizattum /
   atha vimalakīrtir licchavir āyuṣmantaṃ śāriputram āmantrayate sma: niṣīda	aTa vimala-kIrtiH licCaviH Ayuzmantam SAriputram Amantrayate sma: nizIda
   bhadantaśāriputra siṃhāsane /	Badanta-SAriputra siMhAsane /
   āha: na śaknomi satpuruṣa niṣattum uccāni pragṛhitāni cemāni siṃhāsanāni /	Aha: na Saknomi sat-puruza nizattum uccAni pragRhitAni ca-imAni siMhAsanAni /
   āha: tena hi bhadantaśāriputra tasyaiva bhagavato merupradīparājasya	Aha: tena hi Badanta-SAriputra tasya-eva BagavataH meru-pradIpa-rAjasya
   tathāgatasya namaskāraṃ kuru / tataḥ śakṣyasi niṣattum /	taTAgatasya namaskAram kuru / tatas Sakzyasi nizattum /
   atha te mahāśrāvakās tasya bhagavato merupradīparājasya tathāgatasya	aTa te mahA-SrAvakAH tasya BagavataH meru-pradIpa-rAjasya taTAgatasya
   namaskāraṃ kurvanti sma / te tatra paścāt teṣu siṃhāsaneṣu nyaṣīdan /	namaskAram kurvanti sma / te tatra paScAt tezu siMhAsanezu nyazIdan /
   Vkn .5.9 athāyuṣmāñ śāriputro vimalakirtiṃ licchavim evam āha: āścaryaṃ	Vk .5.9 aTa-AyuzmAn SAriputraH vimala-kirtim licCavim evam Aha: AScaryam
   kulaputra yad ihaivaṃ parītte gṛha imānīyanti siṃhāsanasahasrāṇy evam	kula-putra yat iha-evam parItte gRhe imAnIyanti siMhAsana-sahasrANi evam
   uccāny evaṃ pragṛhītāni vicitrāṇi / na ca vaiśālyā mahānagaryā āvaraṇaṃ	uccAni evam pragRhItAni vicitrANi / na ca vESAlyA mahA-nagaryA AvaraNam
   kṛtam, na jambūdvīpasya, na grāmanagaranigamajanapadarāṣṭrarājadhānīnām,	kRtam, na jambUdvIpasya, na grAma-nagara-nigama-janapada-rAzwra-rAja-DAnInAm,
   na cāturmahādvīpikasya kiṃcid āvaraṇam, na	na cAturmahAdvIpikasya kiMcid AvaraNam, na
   devanāgayakṣagandharvāsuragaruḍakinnaramahoragāṇām āvaraṇaṃ kṛtam /	deva-nAga-yakza-ganDarva-asura-garuxa-kinnara-mahA-uragANAm AvaraNam kRtam /
   tathaiva saṃdṛśyante yathā pūrvaṃ tathā paścāt /	taTA-eva saMdRSyante yaTA pUrvam taTA paScAt /
   Vkn .5.10 vimalakīrtir āha: asti bhadantaśāriputra tathāgatānāṃ	Vk .5.10 vimala-kIrtiH Aha: asti Badanta-SAriputra taTAgatAnAm
   bodhisatvānāṃ cācintyo nāma vimokṣaḥ, yatrācintyavimokṣe pratiṣṭhito	boDisatvAnAm ca-acintyaH nAma vimokzaH, yatra-acintya-vimokze pratizWitaH-
   bodhisatvaḥ sumeruṃ parvatarājaṃ tāvad uccaṃ tāvat pragṛhītaṃ tāvad	boDisatvaH sumerum parvata-rAjam tAvat uccam tAvat pragRhItam tAvat-
   udviddhaṃ tāvad vistīrṇaṃ sarṣapaphalakośe praveśayet / na ca	udvidDam tAvat vistIrNam sarzapa-Pala-koSe praveSayet / na ca
   sarṣapaphalakośaṃ vivardhayet / na ca sumeruṃ hāpayet / tāṃ ca kriyām	sarzapa-Pala-koSam vivarDayet / na ca sumerum hApayet / tAm ca kriyAm
   ādarśayet / na cāturmahārājakāyikā devās trayastriṃśato vā jānīran ḥ	AdarSayet / na cAturmahArAja-kAyikAH devAH trayastriMSataH vA jAnIran H
   kasmin vayaṃ prakṣiptāḥ / anye ca satvā ṛddhivineyā jānīyuḥ paśyeyus taṃ	kasmin vayam prakziptAH / anye ca satvAH RdDi-vineyAH jAnIyuH paSyeyuH tam
   sumeruṃ parvatarājaṃ sarśapaphalakośapraviṣṭam / ayaṃ bhadantaśāriputra	sumerum parvata-rAjam sarSapa-Pala-koSa-pravizwam / ayam Badanta-SAriputra
   bodhisatvānām acintyasya vimokṣasya viṣayapraveśaḥ /	boDisatvAnAm acintyasya vimokzasya vizaya-praveSaH /
   Vkn .5.11 punar aparaṃ bhadantaśāriputra acintyavimokṣapratiṣṭhito	Vk .5.11 punar aparam Badanta-SAriputra acintya-vimokza-pratizWitaH-
   bodhisatvo yaś caturṣu mahāsamudreṣv apskandhas tam ekasmin romakūpe	boDisatvaH yaH caturzu mahA-samudrezu apskanDaH tam ekasmin romakUpe
   prakṣipet / na ca matsyakacchapaśiśumāramaṇḍūkānām anyeṣāṃ vaudakānāṃ	prakzipet / na ca matsya-kacCa-paSiSumAra-maNxUkAnAm anyezAm vOdakAnAm
   prāṇināṃ pīḍā bhavet / na ca nāgayakṣagandharvāsurāṇām evaṃ bhavet ḥ	prANinAm pIxA Bavet / na ca nAga-yakza-ganDarva-asurANAm evam Bavet H
   kasmin vayaṃ prakṣiptāḥ / sā ca kriyā prajñāyeta / na ca kaścit satvo	kasmin vayam prakziptAH / sA ca kriyA prajQAyeta / na ca kaScid satvaH-
   vihiṃsito viheṭhito vā bhavet /	vihiMsitaH viheWitaH vA Bavet /
   Vkn .5.12 imaṃ ca trisāhasramahāsāhasraṃ lokadhātuṃ bhārgavacakram iva	Vk .5.12 imam ca tri-sAhasra-mahA-sAhasram lokaDAtum BArgava-cakram iva
   parigṛhya dakṣiṇe pāṇāv avabhrāmya gaṅgānadīvālikāsamān lokadhātūn kṣipet	parigRhya dakziNe pANO avaBrAmya gaFgA-nadI-vAlikA-samAn lokaDAtUn kzipet-
   / na ca satvā jānīran ḥ kasmin vayaṃ nītāḥ, kuto vāgatā iti / punar api	/ na ca satvAH jAnIran H kasmin vayam nItAH, kutas vA-AgatAH iti / punar api
   cānāyya yathāsthānaṃ sthāpayet / na ca gamanāgamanaṃ saṃjānīran / sā ca	ca-AnAyya yaTAsTAnam sTApayet / na ca gamana-Agamanam saMjAnIran / sA ca
   kriyā saṃdṛśyeta /	kriyA saMdRSyeta /
   Vkn .5.13 punar aparaṃ bhadantaśāriputra santi satvā	Vk .5.13 punar aparam Badanta-SAriputra santi satvA
   apramāṇasaṃsāravainayikāḥ / santi saṃkṣiptasaṃsāravainayikāḥ /	apramANa-saMsAra-vEnayikAH / santi saMkzipta-saMsAra-vEnayikAH /
   tatrācintyavimokṣapratiṣṭhito bodhisatvo 'pramāṇasaṃsāravainayikānāṃ	tatra-acintya-vimokza-pratizWitaH boDisatvaH apramANa-saMsAra-vEnayikAnAm
   satvānāṃ vainayikavaśam upādāya saptarātraṃ kalpam atikrāntam ādarśayet /	satvAnAm vEnayika-vaSam upAdAya sapta-rAtram kalpam atikrAntam AdarSayet /
   saṃkṣiptasaṃsāravainayikānāṃ satvānāṃ vainayikavaśam upādāya kalpaṃ	saMkzipta-saMsAra-vEnayikAnAm satvAnAm vEnayika-vaSam upAdAya kalpam
   saptarātram atikrāntam ādarśayet / tatrāpramāṇasaṃsāravineyāḥ satvāḥ	sapta-rAtram atikrAntam AdarSayet / tatra-apramANa-saMsAra-vineyAH satvAH
   saptarātraṃ kalpam atikrāntaṃ saṃjānīran I saṃkṣiptasaṃsāravineyāḥ satvāḥ	sapta-rAtram kalpam atikrAntam saMjAnIran I saMkzipta-saMsAra-vineyAH satvAH
   kalpaṃ saptarātram atikrāntaṃ saṃjānīran /	kalpam sapta-rAtram atikrAntam saMjAnIran /
   Vkn .5.14 iti hy acintyavimokṣapratiṣṭhito bodhisatvaḥ	Vk .5.14 iti hi acintya-vimokza-pratizWitaH boDisatvaH
   sarvabuddhakṣetraguṇavyūhān ekasmin buddhakṣetre saṃdarśayati /	sarva-budDa-kzetra-guNa-vyUhAn ekasmin budDa-kzetre saMdarSayati /
   sarvasatvān api dakṣiṇe karatale pratiṣṭhāpya cittajāyikayarddhyā kramet /	sarva-satvAn api dakziNe kara-tale pratizWApya citta-jAyikaya-RdDyA kramet /
   sarvabuddhakṣetreṣu ca saṃdarśanaṃ dadyāt / na caikato 'pi kṣetrāc calet /	sarva-budDa-kzetrezu ca saMdarSanam dadyAt / na ca-ekatas api kzetrAt calet /
   yāvatyaś ca daśasu dikṣu buddhānāṃ bhagavatāṃ pūjā vartante, tāḥ sarvā	yAvatyaH ca daSasu dikzu budDAnAm BagavatAm pUjA vartante, tAH sarvA
   ekaromakūpa ādarśayet / yāvantaś ca daśasu dikṣu candrasūryās tārārūpāni	eka-romakUpaH AdarSayet / yAvantaH ca daSasu dikzu candra-sUryAH tArA-rUpAni
   ca, tāny api sarvāṇy ekaromakūpa ādarśayet / yāvatyaś ca daśasu dikṣu	ca, tAni api sarvANi eka-romakUpaH AdarSayet / yAvatyaH ca daSasu dikzu
   vātamaṇḍalyaḥ pravānti, tā api sarvā mukhadvāre praveśayet / na cāsya kāyo	vAta-maNxalyaH pravAnti, tAH api sarvAH muKa-dvAre praveSayet / na ca-asya kAyaH-
   vikīryeta / na ca tatra buddhakṣetre tṛṇavanaspatayo nameyuḥ /	vikIryeta / na ca tatra budDa-kzetre tRNa-vanaspatayaH nameyuH /
   Vkn .5.15 yāni ca daśasu dikṣu buddhakṣetrāṇy uddahyante kalpoddāhena, tad	Vk .5.15 yAni ca daSasu dikzu budDa-kzetrANi uddahyante kalpa-uddAhena, tat-
   api sarvam agniskandhaṃ svamukhe prakṣipet / yac ca tena karma kartavyaṃ	api sarvam agni-skanDam sva-muKe prakzipet / yat ca tena karma kartavyam
   bhavet, tac ca kuryāt / yac cāvastād gaṅgānadīvālikākoṭīsameṣu	Bavet, tat ca kuryAt / yat ca-avastAt gaFgA-nadI-vAlikA-kowI-samezu
   buddhakṣetreṣv atikramya buddhakṣetram, tad abhyutkṣipyordhaṃ digbhāgaṃ	budDa-kzetrezu atikramya budDa-kzetram, tat aByutkzipya-UrDam diS-BAgam
   gaṅgānadīvālikākoṭīsameṣu buddhakṣetreṣu pratiṣṭhāpayet / tadyathāpi nāma	gaFgA-nadI-vAlikA-kowI-samezu budDa-kzetrezu pratizWApayet / tat-yaTA-api nAma
   balavān puruṣaḥ sūcyagreṇa badarīpatram utkṣipet /	balavAn puruzaH sUcI-agreNa badarI-patram utkzipet /
   Vkn .5.16 evam acṃtyavimokṣapratiṣṭhito bodhisatvaḥ sarvasatvāni	Vk .5.16 evam acMti-avimokza-pratizWitaH boDisatvaH sarva-satvAni
   cakravartyādirūpāṇy adhitiṣṭhet /	cakravarti-Adi-rUpANi aDitizWet /
   Vkn .5.17 yāvantaś ca daśasu dikṣu śabdāvabhāsāḥ śabdaprajñāptayaḥ, tāḥ	Vk .5.17 yAvantaH ca daSasu dikzu Sabda-avaBAsAH Sabda-prajQA-AptayaH, tAH
   sarvā hīnamadhyaviśiṣṭānāṃ satvānāṃ sarvabuddhaghoṣarutaracitāny	sarvAH hIna-maDya-viSizwAnAm satvAnAm sarva-budDa-Goza-ruta-racitAni-
   adhitiṣṭhan, tataś ca rutaghoṣād anityaduḥkhaśūnyānātmaśabdarutāni	aDitizWan, tatas ca ruta-GozAt anitya-duHKa-SUnyAn-Atma-Sabda-rutAni
   niścārayet / yāvadbhiś cākāranirdeśair daśasu dikṣu buddhā bhagavanto	niScArayet / yAvadBiH ca-AkAra-nirdeSEH daSasu dikzu budDAH BagavantaH-
   dharmaṃ deśayanti, tāṃs tato rutanirghoṣān niścārayet /	Darmam deSayanti, tAn tatas ruta-nirGozAt niScArayet /
   Vkn .5.18 ayaṃ bhadantaśāriputra acintyavimokṣapratiṣṭhitānāṃ	Vk .5.18 ayam Badanta-SAriputra acintya-vimokza-pratizWitAnAm
   bodhisatvānāṃ yatkiṃcinmātro viṣayāvatāranirdeśaḥ / api tu kalpam ahaṃ	boDisatvAnAm yat-kiMcid-mAtraH vizaya-avatAra-nirdeSaH / api tu kalpam aham
   bhadantaśāriputra kalpāvaśesaṃ vācintyavimokṣapratiṣṭhitānāṃ bodhisatvānāṃ	Badanta-SAriputra kalpa-avaSesam vA-acintya-vimokza-pratizWitAnAm boDisatvAnAm
   viṣayānāṃ viṣayāvatāranirdeśaṃ nirdiśeyam, ato vottari /	vizayAnAm vizaya-avatAra-nirdeSam nirdiSeyam, atas vA-uttari /
   Vkn .5.19 atha khalu sthaviro mahākāśyapa imaṃ bodhisatvānām	Vk .5.19 aTa Kalu sTaviraH mahAkASyapaH imam boDisatvAnAm
   acintyavimokṣaṃ śrutvāścaryaprāptaḥ sthaviraṃ śāriputram etad avocat:	acintya-vimokzam SrutvA-AScarya-prAptaH sTaviram SAriputram etat avocat-:
   tadyathāpi nāma āyuṣmañ śāriputra jātyandhasya puruṣasya purastāt kaścid	tat-yaTA-api nAma Ayuzman SAriputra jAti-anDasya puruzasya purastAt kaScid-
   eva sarvarūpagatāny upadarśayet / na ca tatra sa jātyandha ekarūpam api	eva sarva-rUpa-gatAni upadarSayet / na ca tatra sa jAti-anDaH eka-rUpam api
   paśyet / evam eva āyuṣmañ śāriputra ihācintyavimokṣe nirdiśyamāne	paSyet / evam eva Ayuzman SAriputraH iha-acintya-vimokze nirdiSyamAne
   sarvaśrāvakapratyekabuddhā iha jātyandhā iva cakṣurvihīnā ekasminn apy	sarva-SrAvaka-pratyekabudDAH iha jAti-anDAH iva cakzuH-vihInAH ekasmin api-
   acintyakāraṇe na pratyakṣāḥ / ko nāma vidvān imam acintyaṃ vimokṣaṃ	acintya-kAraNe na pratyakzAH / kaH nAma vidvAn imam acintyam vimokzam
   śrutvānuttarāyāṃ samyaksaṃbodhau cittaṃ notpādayet / tat kiṃ nu bhūyaḥ	SrutvA-anuttarAyAm samyaksaMboDO cittam na-utpAdayet / tat kim nu BUyas-
   kariṣyāmo 'tyantopahatendriyā dagdhavinaṣṭānīva bījāny abhājanībhūtā iha	karizyAmaH atyanta-upahata-indriyAH dagDa-vinazwAni-iva bIjAni aBAjanI-BUtAH iha
   mahāyāne / sarvaśrāvakapratyekabuddhair imaṃ dharmanirdeśaṃ śrutvā	mahAyAne / sarva-SrAvaka-pratyekabudDEH imam Darma-nirdeSam SrutvA
   rudadbhis trisāhasramahāsāhasro lokadhātur vijñāpayitavyaḥ /	rudadBiH tri-sAhasra-mahA-sAhasraH lokaDAtuH vijQApayitavyaH /
   sarvabodhisatvaiś ca pramuditair imam acintyavimokṣaṃ śrutvā mūrdhnā	sarva-boDisatvEH ca pramuditEH imam acintya-vimokzam SrutvA mUrDnA
   saṃpratyetavyaḥ, adhimuktibalaṃ ca saṃjanayitavyam /	saMprati-etavyaH, aDimukti-balam ca saMjanayitavyam /
   yasyaiṣācintyavimokṣādhimuktiḥ sarvamārās tasya kiṃ kariṣyanti / imaṃ	yasya-ezA-acintya-vimokza-aDimuktiH sarva-mArAH tasya kim karizyanti / imam
   nirdeśaṃ nirdiśataḥ sthavirasya mahākāśyapasya dvātriṃśatā	nirdeSam nirdiSataH sTavirasya mahAkASyapasya dvAtriMSatA
   devaputrasahasrair anuttarāyāṃ samyaksaṃbodhau cittāny utpannāni /	deva-putra-sahasrEH anuttarAyAm samyaksaMboDO cittAni utpannAni /
   Vkn .5.20 atha vimalakīrtir licchaviḥ sthaviraṃ mahākāśyapam evam āha:	Vk .5.20 aTa vimala-kIrtiH licCaviH sTaviram mahAkASyapam evam Aha:
   yāvanto bhadantamahākāśyapa daśasu dikṣv aprameyeṣu lokadhātuṣu mārā	yAvantaH Badanta-mahAkASyapa daSasu dikzu aprameyezu lokaDAtuzu mArA
   māratvaṃ kārayanti, sarve te yadbhūyasācintyavimokṣapratiṣṭhitā bodhisatvā	mAra-tvam kArayanti, sarve te yat-BUyasA-acintya-vimokza-pratizWitA boDisatvA
   upāyakauśalyena satvaparipācanāya māratvaṃ kārayanti / yāvadbhir	upAya-kOSalyena satva-paripAcanAya mAra-tvam kArayanti / yAvadBiH-
   bhadantamahākāśyapa daśasu dikṣv aprameyeṣu lokadhātuṣu bodhisatvā	Badanta-mahAkASyapa daSasu dikzu aprameyezu lokaDAtuzu boDisatvA
   yācanakair yācyante hastapādān vā karṇanāsaṃ vā śoṇitaṃ snāyuṃ	yAcanakEH yAcyante hasta-pAdAn vA karNa-nAsam vA SoNitam snAyum
   vāsthimajjānaṃ vā netrāṇi vottamāṅgāni śirāṃsi vāṅgapratyaṅgāni vā	vA-asTi-majjAnam vA netrANi vA-uttamAFgAni SirAMsi vA-aFga-pratyaFgAni vA
   rājyarāṣṭrajanapadān vā bhāryāputraduhitṝr vā dāsadāsīr vā	rAjya-rAzwra-janapadAn vA BAryA-putra-duhitLH vA dAsa-dAsIH vA
   hayagajarathavāhanāni vā	haya-gaja-raTa-vAhanAni vA
   suvarṇamaṇimuktāvaiḍūryaśaṅkhaśilāpravāḍamaṇiratnajātaṃ vānnapānāni rasān	suvarNa-maNi-muktA-vExUrya-SaFKa-SilA-pravAxa-maNi-ratna-jAtam vA-anna-pAnAni rasAn
   vā, vastrāṇi cotpīḍya yācyante, sarve te yācanakā	vA, vastrANi ca-utpIxya yAcyante, sarve te yAcanakA
   yadbhūyasācintyavimokṣapratiṣṭhitā bodhisatvā upāyakauśalyenemāṃ	yat-BUyasA-acintya-vimokza-pratizWitAH boDisatvAH upAya-kOSalyena-imAm
   dṛḍhādhyāśayatāṃ darśayanti / tat kasmād dhetoḥ / ugratapaso hi	dRXa-aDyASayatAm darSayanti / tat kasmAt DetoH / ugra-tapasaH hi
   bhadantamahākāśyapa bodhisatvās ta evaṃ darśayanti / nāsti hi	Badanta-mahAkASyapa boDisatvAH te evam darSayanti / na-asti hi
   prākṛtajanasyāsthānānavakāśakṛtasya bodhisatvam utpīḍayitum /	prAkRta-janasya-AsTAna-anavakASa-kRtasya boDisatvam utpIxayitum /
   tadyathāpi nāma bhadantamahākāśyapa na śaktir asti khadyotakasya	tat-yaTA-api nAma Badanta-mahAkASyapa na SaktiH asti Kadyotakasya
   sūryamaṇḍalaprabhām abhibhavitum / evam eva bhadantamahākāśyapa na śaktir	sUrya-maNxala-praBAm aBiBavitum / evam eva Badanta-mahAkASyapa na SaktiH-
   asti prākṛtasya janasya bodhisatvenānavakāśakṛtasyopasaṃkramituṃ yācituṃ	asti prAkRtasya janasya boDisatvena-anavakASa-kRtasya-upasaMkramitum yAcitum
   vā / tadyathā bhadantamahākāśyapa yo hastināgasya prahāro na sa śakyo	vA / tat-yaTA Badanta-mahAkASyapa yaH hasti-nAgasya prahAraH na sa SakyaH-
   gardabhena soḍhum / evam eva bhadantamahākāśyapa na śakyam abodhisatvena	gardaBena soXum / evam eva Badanta-mahAkASyapa na Sakyam aboDisatvena
   bodhisatvasyotpīḍanaṃ soḍhum / bodhisatva eva bodhisatvotpīḍāṃ sahate /	boDisatvasya-utpIxanam soXum / boDisatvaH eva boDisatva-utpIxAm sahate /
   ayaṃ bhadantamahākāśyapa acintyavimokṣapratiṣṭhitānāṃ bodhisatvānām	ayam Badanta-mahAkASyapa acintya-vimokza-pratizWitAnAm boDisatvAnAm
   upāyajñānabalapraveśaḥ // //	upAya-jQAna-bala-praveSaH // //
   acintyavimokṣasaṃdarśanaparivartaḥ pañcamaḥ //	acintya-vimokza-saMdarSana-parivartaH paQcamaH //
   Vkn .6.1 atha khalu mañjuśrīḥ kumārabhūto vimalakīrtiṃ licchavim etad	Vk .6.1 aTa Kalu maQjuSrIH kumAra-BUtaH vimala-kIrtim licCavim etat-
   avocat: kathaṃ satpuruṣa bodhisatvena sarvasatvā avekṣitavyāḥ /	avocat: kaTam sat-puruza boDisatvena sarva-satvAH avekzitavyAH /
   āha: tadyathāpi nāma mañjuśrīḥ vijñapuruṣa udakacandram avekṣeta, evaṃ	Aha: tat-yaTA-api nAma maQjuSrIH vijQa-puruzaH udaka-candram avekzeta, evam
   bodhisatvena sarvasatvā avekṣitavyāḥ / tadyathāpi nāma mañjuśrīḥ	boDisatvena sarva-satvAH avekzitavyAH / tat-yaTA-api nAma maQjuSrIH
   ādarśamaṇḍale mukhamaṇḍalam ālokayet, evaṃ bodhisatvena sarvasatvā	AdarSa-maNxale muKa-maNxalam Alokayet, evam boDisatvena sarva-satvA
   avekṣitavyāḥ / tadyathā mañjuśrīḥ marīcikāyām udakam, evaṃ bodhisatvena	avekzitavyAH / tat-yaTA maQjuSrIH marIcikAyAm udakam, evam boDisatvena
   sarvasatvā avekṣitavyāḥ / tadyathā mañjuśrīḥ māyākāro māyākāranirmitaṃ	sarva-satvAH avekzitavyAH / tat-yaTA maQjuSrIH mAyA-kAraH mAyA-kAra-nirmitam
   puruṣam avekṣeta, evaṃ bodhisatvena sarvasatvā avekṣitavyāḥ / tadyathā	puruzam avekzeta, evam boDisatvena sarva-satvAH avekzitavyAH / tat-yaTA
   mañjuśrīḥ pratiśrutkāyā rutaghoṣaḥ, evaṃ bodhisatvena sarvasatvā	maQjuSrIH pratiSrutkAyAH ruta-GozaH, evam boDisatvena sarva-satvA
   avekṣitavyāḥ / tadyathā mañjuśrīḥ gagane 'bhrakūṭam, evaṃ bodhisatvena	avekzitavyAH / tat-yaTA maQjuSrIH gagane aBra-kUwam, evam boDisatvena
   sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ phenapiṇḍasya	sarva-satvAH pratyavekzitavyAH / tat-yaTA maQjuSrIH Pena-piNxasya
   pūrvāntaḥ, evaṃ bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā	pUrva-antaH, evam boDisatvena sarva-satvAH pratyavekzitavyAH / tat-yaTA
   mañjuśriḥ udakabudbudānām utpādavyayaḥ, evaṃ bodhisatvena sarvasatvāḥ	maQjuSriH udaka-budbudAnAm utpAda-vyayaH, evam boDisatvena sarva-satvAH
   pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ kadalyāḥ sāradarśanam, evaṃ	pratyavekzitavyAH / tat-yaTA maQjuSrIH kadalyAH sAra-darSanam, evam
   bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā mañjuśrīḥ vidyutaḥ	boDisatvena sarva-satvAH pratyavekzitavyAH / tat-yaTA maQjuSrIH vidyutaH
   saṃkrāntiḥ, evaṃ bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ / tadyathā	saMkrAntiH, evam boDisatvena sarva-satvAH pratyavekzitavyAH / tat-yaTA
   mañjuśrīḥ pañcamo dhātuḥ / evaṃ bodhisatvena sarvasatvāḥ pratyavekṣitavyāḥ	maQjuSrIH paQcamaH DAtuH / evam boDisatvena sarva-satvAH pratyavekzitavyAH
