   namo buddhāya |	namaH budDAya |
   bodhisatvabhūmiṣv āvaraṇaṃ yathākramaṃ tadvipakṣatvāt / yad uta	boDisatva-BUmizu AvaraNam yaTAkramam tad-vipakza-tvAt / yat uta
   sarvatragārthe	sarvatraga-arTe
   prathamayā hi bhūmyā dharmadhātoḥ sarvatragārthaṃ pratividhyati [/]	praTamayA hi BUmyAH DarmaDAtoH sarvatraga-arTam prativiDyati [/]
   yenātmaparasamatāṃ pratilabhate / dvitīyayāgrārthaṃ [/] yenāsyaivaṃ	yena-Atma-para-sama-tAm pratilaBate / dvitIyayA-agra-arTam [/] yena-asya-evam
   bhavati tasmāt tarhy asmābhiḥ samāne 'bhinirhāre	Bavati tasmAt tarhi asmABiH samAne aBinirhAre
   sarvākārapariśodhanābhinirhāra eva yogaḥ karaṇīya iti / tṛtīyayā	sarva-AkAra-pariSoDana-aBinirhAraH eva yogaH karaNIyaH iti / tRtIyayA
   tanniṣyandāgrārthaṃ / yena dharmadhātuniṣyandasya śrutasyāgratāṃ viditvā	tad-nizyanda-agra-arTam / yena DarmaDAtu-nizyandasya Srutasya-agra-tAm viditvA
   tadarthaṃ trisāhasramahāsāhasrapramāṇāyām apy agnikhadāyām ātmānaṃ	tad-arTam tri-sAhasra-mahA-sAhasra-pramANAyAm api agni-KadAyAm AtmAnam
   prakṣipet / caturthyā niṣparigrahatārthan tathā hi dharmatṛṣṇāpi	prakzipet / caturTyA nizparigrahatA-arTan taTA hi Darma-tRzNA-api
   vyāvartate / pañcamyā santānābhedārthaṃ daśabhiś	vyAvartate / paQcamyA santAna-aBeda-arTam daSaBiH-
   cittāśayaviśuddhisamatābhiḥ / ṣaṣṭhyā niḥsaṃkleṣaviśuddhyarthaṃ	citta-ASaya-viSudDi-samatABiH / zazWyA niHsaMkleza-viSudDi-arTam
   pratītyasamutpāde (/) nāsti sa kaścid dharmo yaḥ saṃkliśyate vā viśudhyate	pratItyasamutpAde (/) na-asti sa kaScid DarmaH yaH saMkliSyate vA viSuDyate
   veti prativedhāt / saptamyānānātvārthaṃ nirnimittatayā	vA-iti prativeDAt / saptamyAnAnAtva-arTam nirnimitta-tayA
   sūtrādidharmanimittanānātvāsamudācārād [/] aṣṭamyāhīnānadhikārtham	sUtra-Adi-Darma-nimitta-nAnA-tvAsam-udAcArAt [/] azwamya-ahIna-an-aDika-arTam
   anutpattikadharmakṣāntilābhāt saṃkleśe vyavadāne vā (Mvbh 36) kasyacid	anutpattika-Darma-kzAnti-lABAt saMkleSe vyavadAne vA (MvB 36) kasyacid-
   dharmasya hānivṛddhyadarśanāc [/] caturdhā vaśitā nirvikalpavaśitā	Darmasya hAni-vRdDi-adarSanAt [/] caturDA vaSitA nirvikalpa-vaSitA
   kṣetrapariśuddhivaśitā jñānavaśitā karmavaśitā ca [/] tatra	kzetra-pariSudDi-vaSitA jQAna-vaSitA karma-vaSitA ca [/] tatra
   prathamadvitīyavaśitāśrayatvaṃ dharmadhātāv aṣṭamyaiva bhūmyā	praTama-dvitIya-vaSita-ASraya-tvam DarmaDAtO azwamyA-eva BUmyA
   pratividdhati / jñānavaśitāśrayatvaṃ navamyāṃ pratisaṃvillābhāt /	pratividDati / jQAna-vaSita-ASraya-tvam navamyAm pratisaMvid-lABAt /
   karmavaśitāśrayatvaṃ daśamyāṃ yathecchaṃ nirmāṇaiḥ satvārthakaraṇāt /	karma-vaSita-ASraya-tvam daSamyAm yaTecCam nirmANEH satva-arTa-karaNAt /
   [5. Avaraṇasamāsa]	[5. AvaraNa-samAsa]
   samāsena punaḥ /	samAsena punar /
   kleśāvaraṇam ākhyātaṃ jñeyāvaraṇam eva ca /	kleSa-AvaraNam AKyAtam jQeya-AvaraNam eva ca /
   sarvāṇy āvaraṇānīha yatkṣayān muktir iṣyate // II.17	sarvANi AvaraNAni-iha yat-kzayAt muktiH izyate // II.17
   asya hi dvividhasyāvaraṇasya (/) kṣayāt sarvāvaraṇebhyo muktir iṣyate /	asya hi dviviDasya-AvaraNasya (/) kzayAt sarva-AvaraNeByaH muktiH izyate /
   [Āvaraṇapiṇḍārtha]	[ĀvaraNa-piNxa-arTa]
   āvaraṇānāṃ piṇḍārthaḥ / mahad āvaraṇaṃ yad vyāpi / pratanv āvaraṇaṃ yat	AvaraNAnAm piNxa-arTaH / mahat AvaraNam yat vyApi / pratanu AvaraNam yat-
   prādeśikaṃ / prayogāvaraṇaṃ yad udriktaṃ / prāptyāvaraṇaṃ yat samaṃ /	prAdeSikam / prayoga-AvaraNam yat udriktam / prApti-AvaraNam yat samam /
   prāptiviśeṣāvaraṇaṃ yad ādānavivarjane / samyakprayogāvaraṇaṃ yan	prApti-viSeza-AvaraNam yat AdAna-vivarjane / samyak-prayoga-AvaraNam yat-
   navadhākleśāvaraṇaṃ / hetvāvaraṇaṃ yac chubhādau	navaDA-kleSa-AvaraNam / hetu-AvaraNam yat SuBa-AdO
   daśavidhahetvarthādhikārāt i tatvapraveśāvaraṇaṃ yad bodhipakṣyeṣu /	daSaviDa-hetu-arTa-aDikArAt i tatva-praveSa-AvaraNam yat boDi-pakzyezu /
   śubhānuttaryāvaraṇaṃ yat pāramitāsu / tadviśeṣagatyāvaraṇaṃ yad bhūmiṣu /	SuBa-anuttari-AvaraNam yat pAramitAsu / tad-viSeza-gati-AvaraNam yat BUmizu /
   saṃgrahāvaraṇaṃ yat samāsato dvividhaṃ //	saMgraha-AvaraNam yat samAsatas dviviDam //
   madhyāntavibhāge āvaraṇaparicchedo dvitīyaḥ // ḥ //	maDya-anta-viBAge AvaraNa-paricCedaH dvitIyaH // H //
   (Mvbh 37)	(MvB 37)
   [CHAPTER III. TATTVAPARICCHEDA]	[CHA-aPTER III. TATTVA-PARICCHEDA]
   tatvam adhikṛtyāha /	tatvam aDikRtya-Aha /
   mūlalakṣaṇatatvaṃ aviparyāsalakṣaṇaṃ /	mUla-lakzaNa-tatvam aviparyAsa-lakzaNam /
   phalahetumayan tatvaṃ sūkṣmaudārikam eva ca // III. 1	Pala-hetumayan tatvam sUkzma-OdArikam eva ca // III. 1
   prasiddhaṃ śuddhiviṣayaṃ saṃgrāhyaṃ bhedalakṣaṇaṃ /	prasidDam SudDi-vizayam saMgrAhyam Beda-lakzaNam /
   kauśalyatatvaṃ daśadhā ātmadṛṣṭivipakṣataḥ // III.2	kOSalya-tatvam daSaDA Atma-dRzwi-vipakzataH // III.2
   ity etad daśavidhaṃ tatvaṃ yad uta mūlatatvaṃ lakṣaṇatatvaṃ /	iti etat daSaviDam tatvam yat uta mUlata-tvam lakzaNa-tatvam /
   aviparyāsatatvaṃ / phalahetutatvaṃ / audārikasūkṣmatatvaṃ /	aviparyAsata-tvam / Pala-hetuta-tvam / OdArika-sUkzmata-tvam /
   prasiddhatatvaṃ / viśuddhigocaratatvaṃ / saṃgrahatatvaṃ] prabhedatatvaṃ /	prasidDatatvam / viSudDi-gocarata-tvam / saMgrahata-tvan] praBedata-tvam /
   kauśalyatatvañ ca / tat punar daśavidhaṃ daśavidhātmagrāhapratipakṣeṇa	kOSalya-tatvan ca / tat punar daSaviDam daSaviDa-Atma-grAha-pratipakzeNa
   veditavyaṃ / tad yathā skandhakauśalyaṃ / dhātukauśalyam āyatanakauśalyaṃ	veditavyam / tat yaTA skanDa-kOSalyam / DAtu-kOSalyam Ayatana-kOSalyam
   / pratītyasamutpādakauśalyaṃ / sthānāsthānakauśalyam indriyakauśalyaṃ	/ pratItyasamutpAda-kOSalyam / sTAna-AsTAna-kOSalyam indriya-kOSalyam
   adhvakauśalyaṃ satyakauśalyaṃ yānakauśalyaṃ / saṃskṛtāsaṃskṛtakauśalyaṃ ca	aDva-kOSalyam satya-kOSalyam yAna-kOSalyam / saMskRta-asaMskRta-kOSalyam ca
   [1. Mūlatattva]	[1. MUla-tattva]
   tatra mūlatatvaṃ /	tatra mUlata-tvam /
   svabhāvas trividhaḥ	svaBAvaH triviDaH
   parikalpitaḥ paratantraḥ pariniṣpannaś ca / tatrānyatatvavyavasthāpanāt /	parikalpitaH paratantraH parinizpannaH ca / tatra-anyatatva-vyavasTApanAt /
   kim atra svabhāvatraye tatvam iṣyate /	kim atra svaBAva-traye tatvam izyate /
   (Mvbh 38)	(MvB 38)
   asac ca nityaṃ sac cāpy atatvataḥ	asat ca nityam sat ca-api atatvataH
   sadasattatvataś ceti svabhāvatraya iṣyate // III.3	sat-asat-tatvataH ca-iti svaBAva-trayaH izyate // III.3
   parikalpitalakṣaṇaṃ nityam asad ity etat parikalpitasvabhāve tatvam	parikalpita-lakzaNam nityam asat iti etat parikalpita-svaBAve tatvam
   aviparītatvāt [/] paratantralakṣaṇaṃ sac ca na ca tatvato bhrāntatvād ity	aviparIta-tvAt [/] paratantra-lakzaNam sat ca na ca tatvataH BrAnta-tvAt iti-
   etat paratantrasvabhāve tatvaṃ / pariniṣpannalakṣaṇaṃ sadasattatvataś cety	etat paratantra-svaBAve tatvam / parinizpanna-lakzaNam sat-asat-tatvataH ca-iti-
   etat (/) pariniṣpannasvabhāve tatvaṃ /	etat (/) parinizpanna-svaBAve tatvam /
   [2. Laksaṇatattva]	[2. LaksaNa-tattva]
   lakṣaṇatatvaṃ katamat /	lakzaNa-tatvam katamat /
   samāropāpavādasya dharmapudgalayor iha /	samAropa-apavAdasya Darma-pudgalayoH iha /
   grāhyagrāhakayoś cāpi bhāvābhāve ca darśanaṃ // III.4	grAhya-grAhakayoH ca-api BAva-aBAve ca darSanam // III.4
   yajjñānān na pravarteta tad dhi tatvasya lakṣaṇaṃ /	yat-jQAnAt na pravarteta tat Di tatvasya lakzaNam /
   pudgaladharmayoḥ samāropāpavādadarśanaṃ yasya jñānān na pravartate / tat	pudgala-DarmayoH samAropa-apavAda-darSanam yasya jQAnAt na pravartate / tat-
   parikalpitasvabhāve tatvalakṣaṇaṃ / grāhyagrāhakayoḥ	parikalpita-svaBAve tatva-lakzaNam / grAhya-grAhakayoH
   samāropāpavādadarśanaṃ yasya jñānān na pravartate / tat paratantrasvabhāve	samAropa-apavAda-darSanam yasya jQAnAt na pravartate / tat paratantra-svaBAve
   tatvalakṣaṇaṃ / bhāvābhāvasamāropāpavādadarśanaṃ yasya jñānān na	tatva-lakzaNam / BAva-aBAva-samAropa-apavAda-darSanam yasya jQAnAt na
   pravartate / tat pariniṣpannasvabhāve tatvalakṣaṇaṃ / etan mūlatatve	pravartate / tat parinizpanna-svaBAve tatva-lakzaNam / etat mUlata-tve
   lakṣaṇam aviparītaṃ lakṣaṇatatvam ity ucyate /	lakzaNam aviparItam lakzaNa-tatvam iti ucyate /
   [3. Aviparyāsatattva]	[3. AviparyAsa-tattva]
   aviparyāsatatvaṃ nityādiviparyāsapratipakṣeṇānityaduḥkhaśūnyānātmatā	aviparyAsata-tvam nitya-Adi-viparyAsa-pratipakzeNa-anitya-duHKa-SUnyAn-Atma-tA
   mūlatatve yathākramaṃ [/] kathaṃ ca tatrānityatāditā veditavyā /	mUlata-tve yaTAkramam [/] kaTam ca tatra-anitya-tAditA veditavyA /
   asadartho hy anityārtha utpādavyayalakṣaṇaḥ // III.5	asat-arTaH hi anitya-arTaH utpAda-vyaya-lakzaNaH // III.5
   samalāmalabhāvena mūlatatve yathākramaṃ /	sa-malA-amala-BAvena mUlata-tve yaTAkramam /
   (Mvbh 39)	(MvB 39)
   trayo hi svabhāvā mūlatatvaṃ [/] teṣu yathākramam	trayaH hi svaBAvAH mUlata-tvam [/] tezu yaTAkramam
   asadartho hy anityārtha	asat-arTaH hi anitya-arTa
   utpādavyayārthaḥ samalāmalatārthaś ca /	utpAda-vyaya-arTaH sa-malAma-latA-arTaH ca /
   duḥkham ādānalakṣmākhyaṃ saṃbandhenāparaṃ mataṃ // III.6	duHKam AdAna-lakzma-AKyam saMbanDena-aparam matam // III.6
   mūlatatve yathākramaṃ duḥkham upādānataḥ pudgaladharmābhiniveśopādānāt /	mUlata-tve yaTAkramam duHKam upAdAnataH pudgala-Darma-aBiniveSa-upAdAnAt /
   lakṣaṇatas triduḥkhatālakṣaṇatvāt / saṃbandhataś ca duḥkhasaṃbandhāt [/]	lakzaNataH tri-duHKa-tA-lakzaNa-tvAt / saMbanDataH ca duHKa-saMbanDAt [/]
   tatraiva mūlatatve yathākramaṃ veditavyam /	tatra-eva mUlata-tve yaTAkramam veditavyam /
   abhāvaś cāpy atadbhāvaḥ prakṛtiḥ śūnyatā matā /	aBAvaH ca-api atadBAvaH prakRtiH SUnyatA matA /
   parikalpitalakṣaṇaṃ na kenacit prakāreṇāstīty abhāva evāsya śūnyatā	parikalpita-lakzaNam na kenacid prakAreNa-asti-iti aBAvaH eva-asya SUnyatA
   paratantralakṣaṇaṃ tathā nāsti yathā parikalpyate na tu sarvathā nāstīti	paratantra-lakzaNam taTA na-asti yaTA parikalpyate na tu sarvaTA na-asti-iti
   tasyātadbhāvaḥ (/) śūnyatā [/] pariniṣpannalakṣaṇaṃ śūnyatāsvabhāvam eveti	tasya-atad-BAvaH (/) SUnyatA [/] parinizpanna-lakzaNam SUnyatA-svaBAvam eva-iti
   prakṛtir evāsya śūnyatā /	prakRtiH eva-asya SUnyatA /
   alakṣaṇaṃ ca nairātmyaṃ tadvilakṣaṇam eva ca // III.7	alakzaNam ca nErAtmyam tad-vilakzaNam eva ca // III.7
   svalakṣaṇañ ca nirdiṣṭaṃ /	sva-lakzaNan ca nirdizwam /
   parikalpitasya svabhāvasya lakṣaṇam eva nāstīty alakṣaṇam evāsya	parikalpitasya svaBAvasya lakzaNam eva na-asti-iti alakzaNam eva-asya
   nairātmyaṃ [/] paratantrasyāsti lakṣaṇaṃ na tu yathā parikalpyata iti	nErAtmyam [/] paratantrasya-asti lakzaNam na tu yaTA parikalpyate iti
   tadvilakṣaṇam asya lakṣaṇan nairātmyaṃ / pariniṣpannas tu svabhāvo	tad-vilakzaNam asya lakzaNan nErAtmyam / parinizpannaH tu svaBAvaH-
   nairātmyam eveti prakṛtir evāsya nairātmyam iti trividhe mūlatatve	nErAtmyam eva-iti prakRtiH eva-asya nErAtmyam iti triviDe mUlata-tve
   trividhānityatā paridīpitā asadarthānityatā utpādabhaṅgānityatā	triviDA-anitya-tA paridIpitA asat-arTa-anitya-tA utpAda-BaFga-anitya-tA
   samalanirmalānityatā ca / trividhā duḥkhatā upādānaduḥkhatā	sa-mala-nirmala-anitya-tA ca / triviDA duHKa-tA upAdAna-duHKa-tA
   lakṣaṇaduḥkhatā saṃbandhaduḥkhatā (Mvbh 40) ca / trividhā śūnyatā	lakzaNa-duHKa-tA saMbanDa-duHKa-tA (MvB 40) ca / triviDA SUnyatA
   abhāvaśūnyatā atadbhāvaśūnyatā svabhāvaśūnyatā ca trividhaṃ nairātmyaṃ	aBAva-SUnyatA atadBAva-SUnyatA svaBAva-SUnyatA ca triviDam nErAtmyam
   alakṣaṇanairātmyaṃ / vilakṣaṇanairātmyaṃ svalakṣaṇanairātmyaṃ ca /	alakzaNa-nErAtmyam / vilakzaNa-nErAtmyam sva-lakzaNa-nErAtmyam ca /
   [4. Phalahetutattva]	[4. Phala-hetu-tattva]
   phalahetumayan tatvaṃ tatraiva mūlatatve	Pala-hetumayan tatvam tatra-eva mUlata-tve
   duḥkhasamudayanirodhamārgasatyatvaṃ [/] kathaṃ trividhaṃ mūlatatvaṃ	duHKa-samudaya-niroDa-mArga-satya-tvam [/] kaTam triviDam mUlata-tvam
   duḥkhādisatyatvaṃ [/] yatas tad anityādilakṣaṇaṃ /	duHKa-Adi-satya-tvam [/] yatas tat anitya-Adi-lakzaNam /
   duḥkhasatyam ato mataṃ	duHKa-satyam atas matam
   trividhena samudayārthena samudayasatyaṃ [/] trividhaḥ samudayārthaḥ /	triviDena samudaya-arTena samudaya-satyam [/] triviDaH samudaya-arTaH /
   vāsanātha samutthānam avisaṃyoga eva ca // III.8	vAsanA-aTa samutTAnam avisaMyogaH eva ca // III.8
   vāsanāsamudayaḥ parikalpitasvabhāvābhiniveśavāsanā samutthānasamudayaḥ	vAsanA-samudayaH parikalpita-svaBAva-aBiniveSa-vAsanA samutTAna-samudayaH
   karmakleśāḥ / avisaṃyogasamudayaḥ / tathatāyā āvaraṇāvisaṃyogaḥ /	karma-kleSAH / avisaMyoga-samudayaH / taTatAyAH AvaraNa-avisaMyogaH /
   trividhena nirodhena nirodhasatyaṃ [/] trividho nirodhaḥ /	triviDena niroDena niroDa-satyam [/] triviDaH niroDaH /
   svabhāvadvayanotpattir malaśāntidvayaṃ mataṃ /	svaBAva-dvayana-utpattiH mala-SAnti-dvayam matam /
   svabhāvānutpattir grāhyagrāhakayor anutpattir malaśāntidvayaṃ ca	svaBAva-anutpattiH grAhya-grAhakayoH anutpattiH mala-SAnti-dvayam ca
   pratisaṃkhyānirodhatathatākhyam ity eṣa trividho nirodho yad uta	pratisaMKyA-niroDataTatA-AKyam iti eza triviDaH niroDaH yat uta
   svabhāvanirodho dvayanirodhaḥ / prakṛtinirodhaś ca / mārgasatyaṃ trividhe	svaBAva-niroDaH dvaya-niroDaH / prakRti-niroDaH ca / mArga-satyam triviDe
   mūlatatve kathaṃ vyavasthāpyate /	mUlatatve kaTam vyavasTApyate /
   parijñāyāṃ prahāṇe ca prāptisākṣātkṛtāv ayaṃ [//] III.9	parijQAyAm prahANe ca prApti-sAkzAt-kRtO ayam [//] III.9
   (Mvbh 41)	(MvB 41)
   mārgasatyaṃ samākhyātaṃ /	mArga-satyam samAKyAtam /
   parikalpitasya parijñāne paratantrasya parijñāne prahāṇe ca /	parikalpitasya parijQAne paratantrasya parijQAne prahANe ca /
   pariniṣpannasya parijñāne prāptisākṣātkaraṇe ca evam atra	parinizpannasya parijQAne prApti-sAkzAt-karaNe ca evam atra
   parijñāprahāṇasākṣātkriyāyāṃ mārgasatyavyavasthānam iti veditavyaṃ [/]	parijQA-prahANa-sAkzAt-kriyAyAm mArga-satya-vyavasTAnam iti veditavyam [/]
   [5. Audārikasūkṣmatattva]	[5. AudArika-sUkzma-tattva]
   audārikasūkṣmatatvaṃ punaḥ saṃvṛtiparamārthasatyaṃ tan mūlatatve kathaṃ	OdArika-sUkzmata-tvam punar saMvRti-parama-arTa-satyam tat mUlata-tve kaTam
   veditavyaṃ /	veditavyam /
   prajñaptipratipattitas	prajQapti-pratipattitas
   tathodbhāvanayodāraṃ /	taTA-udBAvanayA-udAram /
   trividhā hi saṃvṛtiḥ prajñaptisaṃvṛtiḥ / pratipattisaṃvṛtiḥ /	triviDA hi saMvRtiH prajQapti-saMvRtiH / pratipatti-saMvRtiH /
   udbhāvanāsaṃvṛtiś ca / tayā saṃvṛtisatyatvaṃ mūlatatve yathākramaṃ	udBAvanA-saMvRtiH ca / tayA saMvRti-satya-tvam mUlata-tve yaTAkramam
   veditavyaṃ /	veditavyam /
   paramārthan tu ekataḥ // III.10	paramArTan tu ekatas // III.10
   paramārthasatyaṃ / ekasmāt pariniṣpannād eva svabhāvād veditavyaṃ / sa	parama-arTa-satyam / ekasmAt parinizpannAt eva svaBAvAt veditavyam / sa
   punaḥ kathaṃ paramārthaḥ /	punar kaTam parama-arTaH /
   arthaprāptiprapattyā hi paramārthas tridhā mataḥ /	arTa-prApti-prapattyA hi parama-arTaH triDA mataH /
   arthaparamārthas tathatā paramasya jñānasyārtha iti kṛtvā /	arTa-parama-arTaH taTatA paramasya jQAnasya-arTaH iti kRtvA /
   prāptiparamārtho nirvāṇaṃ paramo 'rtha iti kṛtvā pratipattiparamārtho	prApti-parama-arTaH nirvANam paramaH arTaH iti kRtvA pratipatti-parama-arTaH-
   mārgaḥ paramo 'syārtha iti kṛtvā [/] katham asaṃskṛtaṃ ca (/) saṃskṛtaṃ ca	mArgaH paramaH asya-arTaH iti kRtvA [/] kaTam asaMskRtam ca (/) saMskRtam ca
   (/) pariniṣpannaḥ (/) svabhāva ucyate /	(/) parinizpannaH (/) svaBAvaH ucyate /
   nirvikarāviparyāsapariniṣpattito dvayaṃ // III.11	nirvikara-aviparyAsa-parinizpattitaH dvayam // III.11
   asaṃskṛtam avikārapariniṣpattyā pariniṣpannaṃ / saṃskṛtaṃ	asaMskRtam avikAra-parinizpattyA parinizpannam / saMskRtam
   mārgasatyasaṃgṛhītam aviparyāsapariniṣpattyā punar jñeyavastuny (Mvbh 42)	mArga-satya-saMgRhItam aviparyAsa-parinizpattyA punar jQeya-vastuni (MvB 42)
   aviparyāsāt /	aviparyAsAt /
   [6. Prasiddhatattva]	[6. PrasidDa-tattva]
   prasiddhatatvaṃ mūlatatve kathaṃ vyavasthāpyate / dvividhaṃ hi	prasidDatatvam mUlata-tve kaTam vyavasTApyate / dviviDam hi
   prasiddhatatvaṃ / lokaprasiddhaṃ yuktiprasiddhaṃ ca / tatra /	prasidDatatvam / loka-prasidDam yukti-prasidDam ca / tatra /
   lokaprasiddham ekasmāt	loka-prasidDam ekasmAt-
   parikalpitasvabhāvāt / yasmin vastuni saṃketasaṃstavānupraviṣṭayā buddhyā	parikalpita-svaBAvAt / yasmin vastuni saMketa-saMstava-anupravizwayA budDyA
   sarveṣāṃ laukikānāṃ darśanatulyatā bhavati / pṛthivy eveyaṃ nāgnī rūpam	sarvezAm lOkikAnAm darSana-tulya-tA Bavati / pRTivI eva-iyam na-agniH rUpam
   evedaṃ na śabda ity evamādi /	eva-idam na SabdaH iti evamAdi /
   trayād yuktiprasiddhakaṃ /	trayAt yukti-prasidDakam /
   yat satāṃ yuktārthapaṇḍitānāṃ tārkikāṇāṃ pramāṇatrayaṃ	yat satAm yukta-arTa-paNxitAnAm tArkikANAm pramANa-trayam
   niśrityopapattisādhanayuktyā prasiddhaṃ vastu /	niSritya-upapatti-sADana-yuktyA prasidDam vastu /
   [7. Viśuddhigocaratattva]	[7. ViSudDi-gocara-tattva]
   viśuddhigocaratatvaṃ dvividhaṃ kleśāvaraṇaviśuddhijñānagocaraṃ /	viSudDi-gocarata-tvam dviviDam kleSa-AvaraNa-viSudDi-jQAna-gocaram /
   jñeyāvaraṇaviśuddhijñānagocaraṃ ca / tad etat /	jQeya-AvaraNa-viSudDi-jQAna-gocaram ca / tat etat /
   viśuddhigocaraṃ dvedhā ekasmād eva kīrtitaṃ // III.12	viSudDi-gocaram dveDA ekasmAt eva kIrtitam // III.12
   pariniṣpannād eva svabhāvān na hy anyasvabhāvo viśuddhijñānadvayagocaro	parinizpannAt eva svaBAvAt na hi anya-svaBAvaH viSudDi-jQAna-dvaya-gocaraH-
   bhavati /	Bavati /
   [8. Saṃgrahatattva]	[8. SaMgraha-tattva]
   kathaṃ trividhe mūlatatve saṃgrahatatvaṃ veditavyaṃ /	kaTam triviDe mUlata-tve saMgrahata-tvam veditavyam /
   nimittasya vikalpasya nāmnaś ca dvayasaṃgrahaḥ /	nimittasya vikalpasya nAmnaH ca dvaya-saMgrahaH /
   yathāyogaṃ pañca vastūny ārabhya nimittavikalpayoḥ paratantreṇa (Mvbh 43)	yaTAyogam paQca vastUni AraBya nimitta-vikalpayoH paratantreNa (MvB 43)
   saṃgrahaḥ nāmnaḥ parikalpitena /	saMgrahaH nAmnaH parikalpitena /
   samyagjñānasatatvasya ekenaiva ca saṃgrahaḥ // III.13	samyak-jQAna-satatvasya ekena-eva ca saMgrahaH // III.13
   tathatāsamyagjñānayoḥ pariniṣpannena svabhāvena saṃgrahaḥ /	taTatA-asamyak-jQAnayoH parinizpannena svaBAvena saMgrahaH /
   [9. Prabhedatattva]	[9. PraBeda-tattva]
   prabhedatatvaṃ mūlatatve kathaṃ veditavyaṃ / saptavidhaṃ prabhedatatvaṃ	praBedata-tvam mUlata-tve kaTam veditavyam / saptaviDam praBedata-tvam
   pravṛttitatvaṃ / lakṣaṇatatvaṃ / vijñaptitatvaṃ sanniveśatatvaṃ /	pravRttita-tvam / lakzaNa-ta-tvam / vijQaptita-tvam sanniveSata-tvam /
   mithyāpratipattitatvaṃ / viśuddhitatvaṃ samyakpratipattitatvañ ca / (tatra	miTyA-pratipattita-tvam / viSudDita-tvam samyak-pratipattita-tvan ca / (tatra
   pravṛttitatvāditrividhaṃ / anavarāgreṣv eti saṃsāraḥ tathatācittasaṃkleśāt	pravRttita-tva-Adi-triviDam / anavara-agrezu eti saMsAraH taTatA-citta-saMkleSAt-
   satvāḥ saṃkliśyanta iti sarvaṃ duḥkhādisatyaṃ ca yathāsaṃkhyaṃ) yaiva ca	satvAH saMkliSyante iti sarvam duHKa-Adi-satyam ca yaTAsaMKyan) yA-eva ca
   sandhinirmocanasūtre saptavidhā tathatā nirdiṣṭā / tatra /	sanDi-nirmocana-sUtre saptaviDA taTatA nirdizwA / tatra /
   pravṛttitatvaṃ dvividhaṃ /	pravRttita-tvam dviviDam /
   mūlatatvaṃ veditavyaṃ / parikalpitaparatantralakṣaṇaṃ / yathā	mUlata-tvam veditavyam / parikalpita-paratantra-lakzaNam / yaTA
   pravṛttitatvaṃ tathā /	pravRttita-tvam taTA /
   sanniveśakupannatā /	sat-niveSa-kupanna-tA /
   sanniveśamithyāpratipattitatve api tathaiva dvividhaṃ mūlatatvaṃ /	sanniveSa-miTyA-pratipattita-tve api taTA-eva dviviDam mUlata-tvam /
   ekaṃ lakṣaṇavijñaptiśuddhisamyakprapannatā // III.14	ekam lakzaNa-vijQapti-SudDi-samyak-prapanna-tA // III.14
   lakṣaṇatatvādīni catvāry ekaṃ mūlatatvaṃ pariniṣpannalakṣaṇaṃ /	lakzaNa-tatva-AdIni catvAri ekam mUlata-tvam parinizpanna-lakzaNam /
   (Mvbh 44)	(MvB 44)
   [10. Kauśalyatattva]	[10. KOSalya-tattva]
   kauśalyatatvaṃ darśanapratipakṣeṇety uktaṃ / katham eṣu skandhādiṣu	kOSalyatatvam darSana-pratipakzeNa-iti uktam / kaTam ezu skanDa-Adizu
   daśavidham ātmadarśanam /	daSaviDam Atma-darSanam /
   ekahetutvabhoktṛtvakartṛtvavaśavartane /	eka-hetu-tva-BoktR-tva-kartR-tva-vaSa-vartane /
   ādhipatyārthanityatve kleśaśuddhyāśraye 'pi ca // III.15	ADipatya-arTa-nitya-tve kleSa-SudDi-ASraye api ca // III.15
   yogitvāmuktamuktatve ātmadarśanam eṣu hi /	yogi-tva-Am-ukta-mukta-tve Atma-darSanam ezu hi /
   eṣa daśavidha ātmāsadgrāhaḥ skandhādiṣu pravartate / yasya pratipakṣeṇa	eza daSaviDaH AtmA-asat-grAhaH skanDa-Adizu pravartate / yasya pratipakzeNa
   daśavidhaṃ kauśalyaṃ yad utaikatvagrāho hetutvagrāho bhoktṛtvagrāhaḥ /	daSaviDam kOSalyam yat uta-eka-tva-grAhaH hetutva-grAhaH BoktRtva-grAhaH /
   kartṛtvagrāhaḥ / svatantragrāhaḥ i adhipatitvagrāho nityatvagrāhaḥ /	kartR-tva-grAhaH / svatantra-grAhaH i aDipatitva-grAhaH nitya-tva-grAhaH /
   saṃkliṣṭavyavadānatvagrāho yogitvagrāhaḥ / amuktamuktatvagrāhaś ca /	saMklizwa-vyavadAna-tva-grAhaH yogitva-grAhaH / amukta-mukta-tva-grAhaH ca /
   katham idaṃ daśavidhaṃ kauśalyatatvaṃ mūlatatve 'ntarbhavati / yatas triṣu	kaTam idam daSaviDam kOSalyatatvam mUlata-tve antarBavati / yatas trizu
   svabhāveṣu te skandhādayo 'ntarbhūtāḥ / katham antarbhūtāḥ /	svaBAvezu te skanDa-AdayaH antarBUtAH / kaTam antarBUtAH /
   parikalpavikalpārthadharmatārthena teṣu te // III.16	parikalpa-vikalpa-arTa-DarmatA-arTena tezu te // III.16
   trividhaṃ rūpaṃ parikalpitaṃ rūpaṃ yo rūpasya parikalpitaḥ svabhāvaḥ /	triviDam rUpam parikalpitam rUpam yaH rUpasya parikalpitaH svaBAvaH /
