   Abhinavagupta: Mālinīślokavārttika	ABinava-gupta: MAlinISloka-vArttika
   sthitināśaṃ kalayate kvāpi śaṅkāṃ prakalpayet	sTiti-nASam kalayate kvApi SaFkAm prakalpayet-
   tāṃ saṃhṛtya ca bhāvāṃśaṃ saṃhārāt svātmanaḥ punaḥ // 1.936 //	tAm saMhRtya ca BAva-aMSam saMhArAt sva-AtmanaH punar // 1.936 //
   saṃhartrītvaṃ carcayate tadantaḥ puṇyapāpayoḥ	saMhartrI-tvam carcayate tad-antar puNya-pApayoH
   na drutaṃ na nirodhaṃ vā svasvātantryeṇa vāñchati // 1.937 //	na drutam na niroDam vA sva-svAtantryeNa vAQCati // 1.937 //
   evaṃ bodhāṃśakaraṇamarīcīcakram ātmani	evam boDa-aMSa-karaNa-marIcI-cakram Atmani
   grasamānā saṃharate pramāṇāṃśasthitān ravīn // 1.938 //	grasamAnA saMharate pramANa-aMSa-sTitAn ravIn // 1.938 //
   tataḥ kalpitamātraṃśaṃ saṃhṛtyākalpite hṛdi	tatas kalpita-mAtraMSam saMhRtya-akalpite hRdi
   tatsarvātītam apy antar anavacchinnadhāmani // 1.939 //	tat-sarva-atItam api antar anavacCinna-DAmani // 1.939 //
   nayet tan nayanadvārād viśvaṃ yāvat tathā nayet	nayet tat nayana-dvArAt viSvam yAvat taTA nayet-
   tataḥ sṛṣṭiṃ ca kalayed ityādikramayogataḥ // 1.940 //	tatas sRzwim ca kalayet iti-Adi-krama-yogataH // 1.940 //
   dvādaśāram idaṃ cakraṃ sarvadā parivartate	dvAdaSa-aram idam cakram sarvadA parivartate
   yasyaitāḥ sthūlamātratvaṃ māsarāśyādisaṃpadaḥ // 1.941 //	yasya-etAH sTUla-mAtra-tvam mAsa-rASi-Adi-saMpadaH // 1.941 //
   akramakramavaśād dviśas triśo	akrama-krama-vaSAt dviSas triSo
   bhūriśo 'tha vividhaiḥ kramākramaiḥ	BUriSas aTa viviDEH kramAkramEH
   cakram etad uditaṃ vijṛmbhate	cakram etat uditam vijRmBate
   meyamānamitimātṛbhakṣakam // 1.942 //	meyamAnam-iti-mAtR-Bakzakam // 1.942 //
   etaccakragatānantakiraṇārāsamāśrayāt	etat-cakra-gata-ananta-kiraNa-ArAsam-ASrayAt
   cakrabhedo na saṃkhyātuṃ kadācid api śakyate // 1.943 //	cakra-BedaH na saMKyAtum kadAcid api Sakyate // 1.943 //
   yathā hi varhiṇaḥ patre sitapītāruṇādikam	yaTA hi varhiNaH patre sita-pIta-aruNa-Adikam
   pronmiṣan nimiṣac cātra bhāsate 'py atathātmakam // 1.944 //	pronmizan nimizat ca-atra BAsate api ataTA-Atmakam // 1.944 //
   tathānunmiṣitālīnasūkṣmasaṃvitsunirbharaḥ	taTA-anunmizita-AlIna-sUkzma-saMvid-su-nirBaraH
   cakreśo bhāti nimiṣatpronmiṣadvṛtticitritaḥ // 1.945 //	cakra-ISaH BAti nimizat-pronmizat-vRtti-citritaH // 1.945 //
   tat kasyāpi nimeṣeṇa kasyāpy unmeṣayogataḥ	tat kasya-api nimezeNa kasya-api unmeza-yogataH
   ekāracakrāt prabhṛti sahasrāraṃ vivartate // 1.946 //	ekAra-cakrAt praBRti sahasrAram vivartate // 1.946 //
   tad asaṃkhyānam atha vāpy anyonyāśritagarbhakam	tat asaMKyAnam aTa vA-api anyonya-ASrita-garBakam
   na vā tac cakram atha kiṃ vyomaivaikaṃ vijṛmbhate // 1.947 //	na vA tat cakram aTa kim vyoma-eva-ekam vijRmBate // 1.947 //
   tad apy anantasaccakragarbhaṃ vāpi vibhāsate	tat api ananta-sat-cakragarBam vA-api viBAsate
   anantavyomagarbhaṃ vā mahāvyomaikam ucyate // 1.948 //	ananta-vyoma-garBam vA mahA-vyoma-ekam ucyate // 1.948 //
   yathā vyomaivaikaṃ kacati sitanīlāruṇatayā	yaTA vyoma-eva-ekam kacati sita-nIla-aruNa-tayA
   yathā caite meghāḥ punar atha tathā bhānti bahudhā	yaTA ca-ete meGAH punar aTa taTA BAnti bahuDA
   tathā saṃvittattvaṃ kalanaparisaṃkhyāvirahitaiḥ	taTA saMvid-tattvam kalana-parisaMKyA-virahitEH
   svatantraṃ svākāraiḥ sphurati na ca te ke cana tataḥ // 1.949 //	svatantram su-a-AkArEH sPurati na ca te ke cana tatas // 1.949 //
   iti tattvam idaṃ nyarūpayan	iti tattvam idam nyarUpayan
   mama nātho hṛdayasthitaḥ svayam	mama nATaH hRdaya-sTitaH svayam
   pratipadya vicitrarūpakam	pratipadya vicitra-rUpakam
   gurusaṃtānaparamparāyitam // 1.950 //	guru-saMtAna-paramparAyitam // 1.950 //
   tad amutra naye na ye prarūḍhiṃ	tat amutra naye na ye prarUXim
   pratipattuṃ kṣamatām upāśrayante	pratipattum kzamatAm upASrayante
   nanu tatpratibodhanāya devo	nanu tad-pratiboDanAya devaH-
   vividhāṃ maṇḍalakalpanām avocat // 1.951 //	viviDAm maNxala-kalpanAm avocat // 1.951 //
   bālo yadvat rekhayā varṇajāte	bAlaH yadvat reKayA varNa-jAte
   svaiḥ saṃketair yojyate tatkrameṇa	svEH saMketEH yojyate tad-krameNa
   tadvanmudrāmaṇḍalair mantratantraiḥ	tadvat-mudrA-maNxalEH mantra-tantrEH
   pūrṇe svasmin yojyate dhāmny anarghe // 1.952 //	pUrNe svasmin yojyate DAmni anarGe // 1.952 //
   atrāpi kiñcana vibhāti tadicchayaiva	atra-api kiQcana viBAti tad-icCayA-eva
   dūraṃ tathā savidham āśritatāratamyam	dUram taTA saviDam ASrita-tAratamyam
   asaṃspṛg apy atha niraṃśapadapratiṣṭham	asaMspRS api aTa niraMSa-pada-pratizWam
   itthaṃ kriyāpaṭalago bahudhaiva bhedaḥ // 1.953 //	itTam kriyA-pawala-gaH bahuDA-eva BedaH // 1.953 //
   itthaṃ pramāṇatābhāgi yat tattvaṃ hi nyarūpyata	itTam pramANa-tA-BAgi yat tattvam hi nyarUpyata
   parāparā bhagavatī seyaṃ bhāti tathā tathā // 1.954 //	parAparA BagavatI sA-iyam BAti taTA taTA // 1.954 //
   tad atraiva parāṃśo yaḥ sa mātraṃśo 'paraḥ punaḥ	tat atra-eva para-aMSaH yaH sa mAtR-aMSaH aparaH punar-
   meyāṃśa iti tat pūrvam evāsmābhiḥ prakāśitam // 1.955 //	meyA-aMSaH iti tat pUrvam eva-asmABiH prakASitam // 1.955 //
   mātraṃśo 'pi pare bhāge bahudhā yat sthitas tataḥ	mAtR-aMSaH api pare BAge bahuDA yat sTitaH tatas-
   parāparatayodriktaḥ paro mantreśarūpakaḥ // 1.956 //	parAparatayA-udriktaH paraH mantreSa-rUpakaH // 1.956 //
   udriktāparabhāvas tu mantra ity abhidhīyate	udrikta-apara-BAvaH tu mantraH iti aBiDIyate
   parāparas tu yo mātā samudriktaparāparaḥ // 1.957 //	parAparaH tu yaH mAtA samudrikta-para-aparaH // 1.957 //
   sa vijñānākalaḥ proktaḥ prabuddhaparabhāvakaḥ	sa vijQAnAkalaH proktaH prabudDa-paraBAvakaH
   aparodrekayogena sa eva pralayākalaḥ // 1.958 //	apara-udreka-yogena saH eva pralayAkalaH // 1.958 //
   aparaḥ kila yo mātā sakalaḥ sa tu bhāṣyate	aparaH kila yaH mAtA sakalaH sa tu BAzyate
   parāparādibhedena tasyāpi bahudhā sthitiḥ // 1.959 //	parApara-Adi-Bedena tasya-api bahuDA sTitiH // 1.959 //
   vicāryamāṇā niḥsaṃkhyān mātṛbhedāṃs tanoty alam	vicAryamANAH niHsaMKyAt mAtR-BedAn tanoti alam
   mukhyatvena tu saptaiva mātṛbhedāḥ prakīrtitāḥ // 1.960 //	muKya-tvena tu sapta-eva mAtR-BedAH prakIrtitAH // 1.960 //
   pramāṇāṃśe patanty eva teṣām eva svaśaktayaḥ	pramANa-aMSe patanti eva tezAm eva sva-SaktayaH
   vyāpārayogitaivaiṣā śaktitvam iti manmahe // 1.961 //	vyApArayogitA-eva-ezA Sakti-tvam iti manmahe // 1.961 //
   yac ca vyāpriyamāṇatvaṃ karaṇatvaṃ tad eva hi	yat ca vyApriyamANa-tvam karaNa-tvam tat eva hi
   evaṃ ca śaktimacchakktibhedān mātṛpramāṇajāḥ // 1.962 //	evam ca Saktimat-Sakkti-BedAt mAtR-pramANa-jAH // 1.962 //
   caturdaśasvarūpaṃ ca prameyam iti bhāṣyate	caturdaSa-svarUpam ca prameyam iti BAzyate
   mātā mānaṃ ca meyaṃ ca yata ekaṃ prakīrtitam // 1.963 //	mAtA mAnam ca meyam ca yatas ekam prakIrtitam // 1.963 //
   tataḥ pañcadaśātmaikam ekaṃ prakṛtipañcitam	tatas paQcadaSa-AtmA-ekam ekam prakRti-paQcitam
   tatrāpy ekaikaśo bhede nijatattvasvarūpiṇi // 1.964 //	tatra-api ekEkaSas Bede nija-tattva-svarUpiNi // 1.964 //
   saṃkṣepavistarakṛtaṃ bhedānantyaṃ pratāyate	saMkzepa-vistara-kRtam Beda-Anantyam pratAyate
   punar jalādimūlāntabhedasaṃkalanakramāt // 1.965 //	punar jala-Adi-mUla-anta-Beda-saMkalana-kramAt // 1.965 //
   bhūyān bhedaprabhedottho vaicitryavisarodayaḥ	BUyAn Beda-praBeda-utTaH vEcitrya-visara-udayaH
   evaṃ dharātaḥ prabhṛti pradhāna-	evam DarAtaH praBRti praDAna-
   tattvāntam uktaṃ daśapañcadhaiva	tattva-antam uktam daSa-paQcaDA-eva
   puṃsaḥ kalāntaṃ sakalaḥ svarūpa-	puMsaH kalA-antam sakalaH svarUpa-
   bhūto na mātā na ca mānarūpaḥ // 1.966 //	BUtaH na mAtA na ca mAna-rUpaH // 1.966 //
   trayodaśātmatvam ato 'tra niṣṭhitaṃ	trayodaSa-Atma-tvam atas atra nizWitam
   niśi svarūpaṃ tu bhavel layākalaḥ	niSi svarUpam tu Bavet layAkalaH
   madhye tu vijñānakalasvarūpatā	maDye tu vijQAna-kala-sva-rUpa-tA
   vidyāpade mantragatasvarūpatā // 1.967 //	vidyA-pade mantra-gata-svarUpa-tA // 1.967 //
   aiśe mantreśavargasthitir atha suśive dhāmni tannāthaniṣṭhā	ESe mantreSavarga-sTitiH aTa suSive DAmni tad-nATa-nizWA
   pūrvaṃ pūrvaṃ ca tatra prakaṭayati nijāṃ mātṛmānavyavasthām	pUrvam pUrvam ca tatra prakawayati nijAm mAtR-mAna-vyavasTAm
   tenānanyapramātṛ sphurati śivapadaṃ svaprakāśaṃ sadaikaṃ	tena-ananya-pramAtR sPurati Siva-padam sva-prakASam sadA-ekam
   mantreśeśānatas tu triśaramuninavatryakṣasaṃkhyāvibhedāḥ // 1.968 //	mantreSa-ISAnataH tu tri-Sara-muni-nava-tryakza-saMKyA-viBedAH // 1.968 //
   śaktiś ca no śaktimato vibhinnā	SaktiH ca no SaktimataH viBinnA
   tenaiti no bhedam iyaṃ pṛthaktvam	tena-eti naH Bedam iyam pRTaktvam
   amātṛtāyāṃ na ca śaktir asti	amAtR-tAyAm na ca SaktiH asti
   tena svarūpaṃ na hi śaktiyuktam // 1.969 //	tena svarUpam na hi Sakti-yuktam // 1.969 //
   dharātattvāvibhedena yaḥ prakāśaḥ prakāśate	DarA-tattva-aviBedena yaH prakASaH prakASate
   sa eva śivanātho 'tra pṛthivī brahma tatparam // 1.970 //	saH eva SivanATaH atra pRTivI brahma tad-param // 1.970 //
   dharātattvagatāḥ siddhīr vitarītuṃ samudyatān	DarA-tattva-gatAH sidDIH vitarItum samudyatAn
   prerayanti śivecchāto ye te mantramaheśvarāḥ // 1.971 //	prerayanti Siva-icCAtaH ye te mantra-maheSvarAH // 1.971 //
   preryamāṇās tu mantreśā mantrās tadvācakāḥ sphuṭam	preryamANAH tu mantreSAH mantrAH tad-vAcakAH sPuwam
   dharātattvagataṃ yogam abhyasya śivavidyayā // 1.972 //	DarA-tattva-gatam yogam aByasya Siva-vidyayA // 1.972 //
   na tu pāśavasāṃkhyīyavaiṣṇavādidvitādṛśā	na tu pASava-sAMKyIya-vEzNava-Adi-dvitA-dRSA
   aprāptadhruvadhāmāno vijñānakalatājuṣaḥ // 1.973 //	aprApta-Druva-DAmAnaH vijQAna-kalatA-juzaH // 1.973 //
   tāvattattvopabhogena ye kalpānte layaṃ gatāḥ	tAvat-tattva-upaBogena ye kalpa-ante layam gatAH
   sauṣuptāvasthitau yadvat te 'tra pralayakevalāḥ // 1.974 //	sOzupta-avasTitO yadvat te atra pralaya-kevalAH // 1.974 //
   sauṣupte tattvalīnatvaṃ sphuṭam eva hi lakṣyate	sOzupte tattva-lIna-tvam sPuwam eva hi lakzyate
   anyathā niyatasvapnasaṃsṛṣṭir iyatī kutaḥ // 1.975 //	anyaTA niyata-svapna-saMsRzwiH iyatI kutas // 1.975 //
   sauṣuptam api citraṃ ca svacchāsvacchādi bhāsate	sOzuptam api citram ca svacCAsu-acCa-Adi BAsate
   asvāpsaṃ sukham ityādismṛtivaicitryadarśanāt // 1.976 //	asvApsam suKam ityAdi-smRti-vEcitrya-darSanAt // 1.976 //
   māyākarmasamullāsasaṃmiśritamalābilāḥ	mAyA-karma-samullAsa-saMmiSrita-m-alAbilAH
   dharādhirohiṇo jñeyāḥ sakalā iha pudgalāḥ // 1.977 //	DarA-aDirohiNaH jQeyAH sakalAH iha pudgalAH // 1.977 //
   asyaiva saptakasya svasvavyāpāraprakalpane	asya-eva saptakasya sva-sva-vyApAra-prakalpane
   prakṣobho yas tad evoktaṃ śaktīnāṃ saptakaṃ tataḥ // 1.978 //	prakzoBaH yaH tat eva-uktam SaktInAm saptakam tatas // 1.978 //
   śivo 'vicyutacidrūpas tisras tacchaktayas tu yāḥ	SivaH avicyuta-cit-rUpaH tisraH tad-SaktayaH tu yAH
   tāḥ svātantryavaśopāttagrahītṛgrāhyarūpikāḥ // 1.979 //	tAH svAtantrya-vaSa-upAtta-grahItR-grAhya-rUpikAH // 1.979 //
   grahītṛbhāgodrekeṇa grāhyabhāgocchalatvataḥ	grahItR-BAga-udrekeNa grAhya-BAga-ucCala-tvataH
   sapta sapteti yat tv ekaṃ jaḍamātraṃ narātmakam // 1.980 //	sapta sapta-iti yat tu ekam jaxa-mAtram nara-Atmakam // 1.980 //
   tatsvarūpaṃ tatas traidhaṃ pratitattvaṃ vyavasthitam	tad-svarUpam tatas trEDam pratitattvam vyavasTitam
   kiṃ cārthe khalu nirgrāhye tuṭayaḥ ṣoḍaśa kṣaṇāḥ // 1.981 //	kim ca-arTe Kalu nirgrAhye tuwayaH zoxaSa kzaNAH // 1.981 //
   sapādadvyaṅgulāveśāt pratyekaṃ parikalpitāḥ	sa-pAda-dvi-aFgula-AveSAt pratyekam parikalpitAH
   tatrādyaḥ paramādvaitanirvibhāgarasātmakaḥ // 1.982 //	tatra-AdyaH parama-advEta-nirviBAga-rasa-AtmakaH // 1.982 //
   antyas tu grāhyatādātmyān na pṛthak pravibhāvyate	antyaH tu grAhya-tAdAtmyAt na pRTak praviBAvyate
   upāntyas tatsvarūpasya grāhakaḥ paribhāvvyate // 1.983 //	upAntyaH tad-svarUpasya grAhakaH pariBAvvyate // 1.983 //
   ādyaṃ ca saptakaṃ tatra nirvikalpakatāṃ gatam	Adyam ca saptakam tatra nirvikalpaka-tAm gatam
   kramonmiṣadvikalpāṃśacchāyācchādanakovidam // 1.984 //	krama-unmizat-vikalpa-aMSa=-CAyA-AcCAdana-kovidam // 1.984 //
   tad eva śivarūpaṃ hi paraśaktyātmakaṃ viduḥ	tat eva Siva-rUpam hi para-Sakti-Atmakam viduH
   dvitīyaṃ saptakaṃ tatra parāparapadātmakam // 1.985 //	dvitIyam saptakam tatra parApara-pada-Atmakam // 1.985 //
   vikalpa iti saṃgītam iti bhedo 'vabhāsyate	vikalpaH iti saMgItam iti BedaH avaBAsyate
   tad asyāṃ sūkṣmasaṃvittau kalanāya samudyatāḥ // 1.986 //	tat asyAm sUkzma-saMvittO kalanAya samudyatAH // 1.986 //
   saṃvedayante yadrūpaṃ tatra kiṃ vā vikatthanaiḥ	saMvedayante yat-rUpam tatra kim vA vikatTanEH
   kramāt tu bhedanyūnatve tuṭīnām api yo mataḥ // 1.987 //	kramAt tu Beda-nyUna-tve tuwInAm api yaH mataH // 1.987 //
   vikalpasya ca nirhrāso nirvikalpopalakṣaṇam	vikalpasya ca nirhrAsaH nirvikalpa-upalakzaNam
   yathā hi ciraduḥkhārtaḥ paścād āttasukhasthitiḥ // 1.988 //	yaTA hi cira-duHKa-ArtaH paScAt Atta-suKa-sTitiH // 1.988 //
   vismaraty eva tadduḥkhaṃ sukhaviśrāntivartmanā	vismarati eva tad-duHKam suKa-viSrAnti-vartmanA
   tathā gatavikalpe 'pi rūḍhāḥ saṃvedane janāḥ // 1.989 //	taTA gata-vikalpe api rUXAH saMvedane janAH // 1.989 //
   vikalpaviśrāntibalāt tāṃ vṛttiṃ nābhimanvate	vikalpa-viSrAnti-balAt tAm vRttim na-aBimanvate
   vikalpanirhrāsavaśena yāti	vikalpa-nirhrAsa-vaSena yAti
   vikalpavandhyā paramārthasatyā	vikalpa-vanDyA parama-arTa-satyA
   saṃvitsvarūpaprakaṭatvam itthaṃ	saMvid-svarUpa-prakawa-tvam itTam
   tatrāvadhāne yatatāṃ subuddhiḥ // 1.990 //	tatra-avaDAne yatatAm su-budDiH // 1.990 //
   grāhyagrāhakasaṃvittau saṃbandhe sāvadhānatā	grAhya-grAhaka-saMvittO saMbanDe sAvaDAna-tA
   iyaṃ sā bhaṇyate tatra yatheṣṭaphalayogataḥ // 1.991 //	iyam sA BaNyate tatra yaTezwa-Pala-yogataH // 1.991 //
   ata eva hi tadbhedabāhulyād bhuvanāny api	atas eva hi tad-Beda-bAhulyAt BuvanAni api
   vicitratvaṃ prayāntīti na cātikrama iṣyate // 1.992 //	vicitra-tvam prayAnti-iti na ca-atikramaH izyate // 1.992 //
   sakramākramam evedaṃ kālasya prākpradūsaṇāt	sakramAkramam eva-idam kAlasya prAc-pradUsaNAt-
   diśaś ca paramārthatvaṃ naiva yuktyopapadyate // 1.993 //	diSaH ca paramArTa-tvam na-eva yuktyA-upapadyate // 1.993 //
   pūrvāparapratītiṃ hi naikā sā kurute tathā	pUrva-apara-pratItim hi na-ekA sA kurute taTA
   upādhibhedo no vastu tat kathaṃ sā prakalpyatām // 1.994 //	upADi-BedaH naH vastu tat kaTam sA prakalpyatAm // 1.994 //
   yo hi yasmādguṇotkṛṣṭa ity ataḥ parameśvaraḥ	yaH hi yasmAt-guNa-utkRzwaH iti atas parameSvaraH
   abhāṣata nijānandakḷptadikkālamaṇḍalaḥ // 1.995 //	aBAzata nija-Ananda-k?pta-diS-kAla-maNxalaH // 1.995 //
   tad evaṃ tattvarūpe 'smin vicitre pravivikṣatām	tat evam tattva-rUpe asmin vicitre pravivikzatAm
   upāyabhedāt traividhyaṃ samāveśeṣu varṇitam // 1.996 //	upAya-BedAt trEviDyam samAveSezu varNitam // 1.996 //
   anupāyaḥ śāṃbhavo 'sau cidupāyas tataḥ param	anupAyaH SAMBavaH asO cit-upAyaH tatas param
   jaḍopāyas tv āṇavaḥ syāt sa cāpi bahudhā mataḥ // 1.997 //	jaxa-upAyaH tu ANavaH syAt sa ca-api bahuDA mataH // 1.997 //
   ajaḍe 'pi jaḍābhāsaḥ pārameśvaryayogataḥ	ajaxe api jaxa-ABAsaH pArameSvarya-yogataH
   nāḍīkaraṇabāhyādes tena saṃvidupāyatā // 1.998 //	nAxIkaraNa-bAhyAdeH tena saMvid-upAya-tA // 1.998 //
   tatrākṣavṛttim āśritya bāhyākāragraho hi yaḥ	tatra-akza-vRttim ASritya bAhya-AkAra-grahaH hi yaH
   tajjāgratsphuṭam āsīnam anubandhi punaḥ punaḥ // 1.999 //	tad-jAgrat-sPuwam AsInam anubanDi punar punar // 1.999 //
   ātmasaṃkalpanirmāṇaṃ svapno jāgradviparyayaḥ	Atma-saMkalpa-nirmANam svapnaH jAgrat-viparyayaH
   layākalasya yo bhogaḥ layakarmavaśān na tu // 1.1000 //	layAkalasya yaH BogaH laya-karma-vaSAt na tu // 1.1000 //
   sthiro bhaven niśābhāvāt suptaṃ saukhyādyavedane	sTiraH Bavet niSA-BAvAt suptam sOKya-Adya-vedane
   jñānākalasya malataḥ kevalād bhogamātrataḥ // 1.1001 //	jQAnAkalasya malataH kevalAt Boga-mAtrataH // 1.1001 //
   bhedavantaḥ svato bhinnāś cikīrṣyante jaḍājaḍāḥ	BedavantaH svatas BinnAH cikIrzyante jaxAjaxAH
   turye tatra sthitā mantratannāthādhīśvarās trayaḥ // 1.1002 //	turye tatra sTitAH mantra-tad-nATa-aDISvarAH trayaH // 1.1002 //
   yāvad bhairavabodhāṃśapraveśanasahiṣṇavaḥ	yAvat BErava-boDa-aMSa-praveSana-sahizNavaH
   bhāvā vigaladātmīyasārāḥ svayam abhedinaḥ // 1.1003 //	BAvAH vigalat-AtmIya-sArAH svayam aBedinaH // 1.1003 //
   turyātītapade saṃsyur iti pañcadaśātmake	turya-atIta-pade saMsyuH iti paQcadaSa-Atmake
   yasya yad yad sphuṭaṃ rūpaṃ taj jāgrad iti manyatām // 1.1004 //	yasya yat yat sPuwam rUpam tat jAgrat iti manyatAm // 1.1004 //
   tad evāsthiram ābhāti svarūpaṃ svapna īdṛśaḥ	tat eva-asTiram ABAti svarUpam svapne IdRSaH
   asphuṭaṃ tu yad ābhāti suptaṃ tat tat puro 'pi yat // 1.1005 //	asPuwam tu yat ABAti suptam tat tat puras api yat // 1.1005 //
   tritayasyānusaṃdhis tu yadvaśād upajāyate	tritayasya-anusaMDiH tu yad-vaSAt upajAyate
   sraksūtratulyaṃ tatturyaṃ sarvabhedeṣu gṛhyatām // 1.1006 //	sraj-sUtra-tulyam tat-turyam sarva-Bedezu gRhyatAm // 1.1006 //
   yat tv advaitabharollāsi drāvitāśeṣabhedakam	yat tu advEta-Bara-ullAsi drAvita-aSeza-Bedakam
   turyātītaṃ tu tat prāhur itthaṃ sarvatra yojayet // 1.1007 //	turya-atItam tu tat prAhuH itTam sarvatra yojayet // 1.1007 //
   layākale hi svaṃ rūpaṃ jāgrattatpūrvavṛtti tu	layAkale hi svam rUpam jAgrat-tad-pUrva-vRtti tu
   svapnādīti kramaṃ sarvaṃ sarvatrānusared budhaḥ // 1.1008 //	svapna-Adi-iti kramam sarvam sarvatra-anusaret buDaH // 1.1008 //
   ekatrāpi prabhau pūrṇe citturyātītam ucyate	ekatra-api praBO pUrNe cittuH-yA-atItam ucyate
   ānandas turyam icchaiva bījabhūmiḥ suṣuptatā // 1.1009 //	AnandaH turyam icCA-eva bIja-BUmiH suzupta-tA // 1.1009 //
   jñānaṃ tu svapnavṛttitvaṃ kriyā jāgrad iti smṛtā	jQAnam tu svapna-vRtti-tvam kriyA jAgrat iti smRtA
   atraiva yogabhūmyutthāḥ saṃjñāḥ piṇḍasthatādayaḥ // 1.1010 //	atra-eva yoga-BUmi-utTAH saMjQAH piNxa-sTa-tA-AdayaH // 1.1010 //
   sarvatobhadratādyās tu prasaṃkhyājñāninirmitāḥ	sarvatoBadrata-AdyAH tu prasaMKyA-jQAni-nirmitAH
   ekaikatra catūrūpasadbhāvād vitate tataḥ // 1.1011 //	eka-ekatra catU-rUpa-sadBAvAt vitate tatas // 1.1011 //
   catūrūpatvam ekatra tritvaṃ paścād athaikatā	catU-rUpa-tvam ekatra tritvam paScAt aTa-ekatA
   ekas tu bhairavo nāthaḥ prollasadviśvarūpakaḥ // 1.1012 //	ekaH tu BEravaH nATaH prollasat-viSva-rUpakaH // 1.1012 //
   ekaḥ śivādisakalaparyantasthitisaṃgataḥ	ekaH Siva-Adi-sakala-paryanta-sTiti-saMgataH
   so 'yaṃ samasta evādhvā bhairavābhedavṛttimān // 1.1013 //	saH ayam samastaH eva-aDvA BErava-aBeda-vRttimAn // 1.1013 //
   tatsvātantryāt svatantratvam aśnuvāno 'vabhāsate	tad-svAtantryAt svatantra-tvam aSnuvAnaH avaBAsate
   so 'yaṃ mātṛsvarūpastho mantrādhveti vibhāvyate // 1.1014 //	saH ayam mAtR-sva-rUpa-sTaH mantrADvA-iti viBAvyate // 1.1014 //
   pramārūpatayā so 'yaṃ varṇādhveti nirucyate	pramA-rUpa-tayA saH ayam varNADvA-iti nirucyate
   pramāṇarūpatām etya prayāty eṣa padādhvatām // 1.1015 //	pramANa-rUpa-tAm etya prayAti eza padADvatAm // 1.1015 //
   pramāṇarūpatāveśam aparityajya meyatām	pramANa-rUpa-tA-AveSam aparityajya meya-tAm
   gacchan saṃkalpanayogāt kalādhvā mātṛsaṃgataḥ // 1.1016 //	gacCan saMkalpana-yogAt kalA-aDvA mAtR-saMgataH // 1.1016 //
   śuddhe prameyatāyoge sa tattvādhveti gṛhyatām	SudDe prameya-tA-yoge sa tattva-aDva-iti gRhyatAm
   tatsthaulyādhāratāyogād bhuvanādhveti varṇitaḥ // 1.1017 //	tad-sTOlya-ADAra-tA-yogAt BuvanADva-iti varNitaH // 1.1017 //
   tathā hi cidvimarśena grastā vācyadaśā yadā	taTA hi cit-vimarSena grastA vAcya-daSA yadA
   śivajñānakriyāyattamananatrāṇatatparā // 1.1018 //	Siva-jQAna-kriyA-Ayatta-manana-trANa-tatparA // 1.1018 //
   aśeṣaśaktipaṭalīlīlālāmpaṭyapāṭavāt	aSeza-Sakti-pawalI-lIlA-lAmpawI-apAwavAt-
   mantrādhvā rabhasena drāk prāg udbhūtaḥ śivātmakaḥ // 1.1019 //	mantra-aDvA raBasena drAk prAk udBUtaH Siva-AtmakaH // 1.1019 //
   ucchalatsaṃvidāmātraviśrāntyāsvādayoginaḥ	ucCalat-saMvidA-mAtra-viSrAnti-AsvAda-yoginaH
   sarvābhidhānasāmarthyād aniyantritaśaktayaḥ // 1.1020 //	sarva-aBiDAna-sAmarTyAt aniyantrita-SaktayaH // 1.1020 //
   sṛṣṭāḥ svātmasahotthārthadharāparyantavṛttayaḥ	sRzwAH sva-Atma-saha-utTa-arTa-DarA-paryanta-vRttayaH
   svātmīye cidvilasite tāvato 'rthān nijātmani // 1.1021 //	svAtmIye cit-vilasite tAvataH arTAn nija-Atmani // 1.1021 //
   āmṛśantaḥ pramārūpāṃ satyāṃ bibhrati saṃvidam	AmRSantaH pramA-rUpAm satyAm biBrati saMvidam
   bālās tiryakpramātāro ye 'py asaṃketabhāginaḥ // 1.1022 //	bAlAH tiryak-pramAtAraH ye api asaMketa-BAginaH // 1.1022 //
   te 'py akṛtrimasaṃskārasārām enāṃ svasaṃvidam	te api akRtrima-saMskAra-sArAm enAm sva-saMvidam
   bhinnabhinnām upāśritya yānti citrāṃ pramātṛtām // 1.1023 //	Binna-BinnAm upASritya yAnti citrAm pramAtR-tAm // 1.1023 //
   asyām akṛtrimānantavarṇasaṃvidi rūḍhatām	asyAm akRtrima-ananta-varNa-saMvidi rUXa-tAm
   saṃketā yānti cet te 'pi yānty asaṃketavṛttitām // 1.1024 //	saMketAH yAnti ced te api yAnti asaMketa-vRtti-tAm // 1.1024 //
   anayā tu vinā sarve saṃketā bahuśaḥ kṛtāḥ	anayA tu vinA sarve saMketAH bahuSas kRtAH
   naiva cetasi viśrāntiṃ saṃketāntarayogataḥ // 1.1025 //	na-eva cetasi viSrAntim saMketa-antara-yogataH // 1.1025 //
   vrajeyur anavasthānān mūlakṣatikaratvataḥ	vrajeyuH anavasTAnAt mUla-kzati-kara-tvataH
   tatrāpi khalu saṃkete bālo vyutpādyatāṃ kutaḥ // 1.1026 //	tatra-api Kalu saMkete bAlaH vyutpAdyatAm kutas // 1.1026 //
   tenānantas tv amāyīyo yo varṇagrāma īdṛśaḥ	tena-anantaH tu amAyIyaH yaH varNa-grAmaH IdRSaH
