   // brahmasūtrabhāṣyam //	// brahmasUtra BAzyam //
   śvetāśvataraśrutau 'śrutatvācca'; svavācakanāmnā sākṣāduktatvāccetyartha	Sveta aSvatara SrutO aSruta tvAt ca a; sva vAcaka nAmnA sAkzAt ukta tvAt ca iti arTa
   ityāśayena sūtropāttaśrutiṃ paṭhati   eka iti / 'ekaḥ'; pradhānaḥ svasmin	iti ASayena sUtra upAtta Srutim paWati  ekaH iti / aekaH a; praDAnaH svasmin
   bhedaśūnya iti vā 'devo'; dyotanādeḥ 'sarvabhūteṣu gūḍhaḥ'; sarvaprāṇiṣu	Beda SUnyaH iti vA adevaH a; dyotana AdeH asarva BUtezu gUXaH a; sarva prANizu
   guptatayāvasthitaḥ / na kevalaṃ bhūteṣu sthitaḥ kintu 'sarvavyāpī'; ca	gupta tayA avasTitaH / na kevalam BUtezu sTitaH kintu asarva vyApI a; ca
   deśataḥ kālato guṇataśca sarvaṃ vyāpnotītyarthaḥ / na kevalaṃ sarvabhūteṣu	deSataH kAlataH guNataH ca sarvam vyApnoti iti arTaH / na kevalam sarva BUtezu
   sthitimātraṃ, kintu 'sarvabhūtāntarātmā'; sarvaprāṇināṃ antaḥsthitvā ā	sTiti mAtran, kintu asarva BUta antarAtmA a; sarva prANinAm antar sTitvA A
   samyak tanniyantā ca mātā ceti vā / ādānādikartṛtvādvā tathoktaḥ /	samyak tat niyantA ca mAtA ca iti vA / AdAna Adi kartR tvAt vA taTA uktaH /
   'karmādhyakṣaḥ'; karmādhipatiḥ, "karmopari asyākṣāṇīndriyāṇi vartanta	akarma aDyakzaH a; karma aDipatiH, "karma upari asya akzANi indriyANi vartanta
   ityadhyakṣaḥ"iti tattvapradīpokteḥ / 'sarvabhūtādhivāsaḥ';	iti aDyakzaH"iti tattva pradIpa ukteH / asarva BUta aDivAsaH a;
   sarvaprāṇināmāśrayaḥ / sarvaṃ sākṣādīkṣate paśyatīti 'sākṣī'; / īkṣaṇaṃ ca	sarva prANinAm ASrayaH / sarvam sAkzAt Ikzate paSyati iti asAkzI a; / IkzaNam ca
   na prākṛtaṃ kintu caitanyasvarūpamityāha   'cetā'; jñānarūpa iti /	na prAkRtam kintu cEtanya svarUpam iti Aha  acetA a; jQAna rUpaH iti /
   'kevalo'; jaḍāmiśraḥ samābhyadhikaśūnya iti vā "kevalaṃ tādṛśābhāvāt"iti	akevalaH a; jaxAmiSraH sama aByaDika SUnyaH iti vA "kevalam tAdRSa aBAva at"iti
   dvitīyatātparyokteḥ / kevalaṃ caitanyenekṣaṇamasaṃprajñātasamādhisthasya	dvitIya tAtparya ukteH / kevalam cEtanyena IkzaNam asaMprajQAta samADi sTasya
   yogino 'pi bhavatīti tadvyāvartanāyāha 'nirguṇa'; iti	yoginaH api Bavati iti tat vyAvartanAya Aha anirguNa a; iti
   sattvādiguṇabandhahīna ityarthaḥ, prākṛtaguṇahīna iti vā / itiśabdasya	sattva Adi guNa banDa hInaH iti arTaH, prAkRta guNa hInaH iti vA / iti Sabdasya
   'śrutau nirguṇasya'; iti padadvayādhyāhāreṇa śrutatvāditi sūtreṇānvayaḥ /	aSrutO nirguNasya a; iti pada dvaya aDyAhAreNa Sruta tvAt iti sUtreNa anvayaH /
   "atra vācyatvaṃ pratipādayatsūtraṃ tadupāttaśrutyudāharaṇapūrvakaṃ paṭhati	"atra vAcya tvam pratipAdayat sUtram tad upAtta Sruti udAharaNa pUrvakam paWati
     eka iti"iti kvacitkaṭīkāpāṭhānusāreṇa bhāṣye kvacit śrutipāṭhānantaraṃ	 ekaH iti"iti kvacid kawIkA pAWa anusAreNa BAzye kvacid Sruti pAWA anantaram
   sūtrapāṭho dṛśyate / tatpakṣe tvanvayassulabha eveti dhyeyam / śrutatve	sUtra pAWaH dRSyate / tat pakze tu anvayassulaBaH eva iti Dyeyam / Sruta tve
   'pyaśabdaḥ kiṃ na syādityaprayojakatvaśaṅkāyāmāha   na hīti / 'hi'; yataḥ	api aSabdaH kim na syAt iti aprayojaka tva SaFkAyAm Aha  na hi iti / ahi a; yatas 
   'aśabdaḥ'; avācyaḥ padārtho 'na śrūyate'; na śrutipadenocyata ityarthaḥ /	aaSabdaH a; avAcyaH padArTaH ana SrUyate a; na Sruti padena ucyate iti arTaH /
   ato nāprayojakatvaṃ hetoriti vākyaśeṣaḥ / virodhādityapi hiśabdārthaḥ /	atas na aprayojaka tvam hetoH iti vAkya SezaH / viroDAt iti api hi Sabda arTaH /
   nanu aśabdasyāpi brahmaṇo lakṣaṇayā śrutatvaṃ kiṃ na syādityata āha   na	nanu aSabdasya api brahmaNaH lakzaNayA Sruta tvam kim na syAt iti atas Aha  na
   ceti / 'aprasiddham'; avācyasya brahmaṇo lakṣyatvaṃ na kalpyamityarthaḥ /	ca iti / aaprasidDam a; avAcyasya brahmaNaH lakzya tvam na kalpyam iti arTaH /
   kutaḥ? yato 'vācyasya vastuno lakṣyatvamaprasiddham ata iti	kutas ? yatas avAcyasya vastunaH lakzya tvam aprasidDam atas iti
   vyāptiparatvenāpīdaṃ yojanīyam / nanu kathametat? gaṅgāpadāvācyasyāpi	vyApti paratvena api idam yojanIyam / nanu kaTam etat? gaFgA pada avAcyasya api
   tīrasya tatpadalakṣyatvaprasiddherityata uktaṃ   sarveti /	tIrasya tad pada lakzya tva prasidDeH iti atas uktam  sarva iti /
   'sarvaśabdāvācyasya'; brahmaṇo lakṣaṇāyāḥ vedapadalakṣyatvasyāyukteḥ	asarva SabdO= Acyasya a; brahmaNaH lakzaNAyAH veda pada lakzya tvasya ayukteH
   vipratipannaṃ na lakṣyaṃ, kenāpi padenāvācyatvāt vyatirekeṇa tīravaditi	vipratipannam na lakzyan, kena api padena avAcya tvAt vyatirekeNa tIra vat iti
   yuktiviruddhatvādityarthaḥ / tathā ca   nāsmābhiḥ kevalāvācyatvena	yukti virudDa tvAt iti arTaH / taTA ca  na asmABiH kevala avAcya tvena
   lakṣyatvābhāvaḥ sādhyate yena tīrādau vyabhicāraḥ śaṅkayeta, kintu	lakzya tva aBAvaH sADyate yena tIra AdO vyaBicAraH SaFkayeta, kintu
   sarvaśabdāvācyatvena / tacca na tīrādigataṃ, tasya tīrādipadavācyatvāt /	sarva Sabda avAcya tvena / tat ca na tIra Adi gataM, tasya tIra Adi pada vAcya tvAt /
   brahma tu na tathā, tasya sarvaśabdāvācyatayaiva pareṇāṅgīkṛtatvāt / ato	brahma tu na taTA, tasya sarva Sabda avAcya tayA eva pareNa aFgIkRta tvAt / atas 
   na vyabhicāra iti yuktivirodho duṣparihara iti bhāvaḥ / nanu	na vyaBicAraH iti yukti viroDaH duzpariharaH iti BAvaH / nanu
   lakṣyatvābhāvavati pravāhādau hetvabhāvādasādhāraṇamiti cet   na,	lakzyatva aBAvavati pravAha AdO hetu aBAvAt asADAraNam iti ced  na,
   lakṣaṇāyogyasyaiva lakṣyapadārthatve	lakzaNa ayogyasya eva lakzya padArTa tve
   sarvapadārthānāmapi kiñcitpadalakṣaṇāyogyatvena tadabhāvarūpasādhyasya	sarva padArTAnAm api kiQcitpada lakzaNa ayogya tvena tad aBAva rUpa sADyasya
   kutrāpyabhāvena sapakṣasyaivābhāvāt // 11 //	kutra api aBAvena sa pakzasya eva aBAvAt // 11 //
   // iti īkṣatyadhikaraṇam //	// iti Ikzati aDikaraNam //
   // 6. ānandamayādhikaraṇam //	// 6. Ananda maya aDikaraNam //
   BBsBh_1,1.6.1:	BBsBh_1,1.6.1:
   tameva samasvayaṃ prakaṭayati 'ānandamayo 'bhyāsāt'; ityādinā	tam eva sama svayam prakawayati aAnanda mayaH aByAsAt a; ityAdinA
   samastenādhyāyena prāyeṇa /	samastena aDyAyena prAyeNa /
   BBsBhDīp_1,1.6.1:	BBsBhDIB _1,1.6.1:
   athādhyāyapādayorupodghātatvena pīṭharūpāyāmasyāṃ pañcādhikaraṇyaṃ	aTa aDyAya pAdayoH upodGAta tvena pIWa rUpAyAm asyAm paQca aDikaraNyam
   brahmasvarūpanarūpaṇe anavaśeṣātkimadhyāyātmakaśeṣagranthenetyata āha  	brahma svarUpana rUpaNe anavaSezAt kim aDyAya Atmaka Seza granTena iti atas Aha  
   tameveti // tathāpītyādau yojyam / samanvayaśabdaśca	tam eva iti // taTA api ityAdO yojyam / samanvaya SabdaH ca
   vipariṇāmenāvartanīyaḥ / tathā ca   tathāpi prakaṭanaṃ	vipariNAmena AvartanIyaH / taTA ca  taTA api prakawanam
   vinādhyāyākhyaśeṣagranthasya kṛtyāntarābhāve 'pi 'tameva'; "tattu	vinA aDyAya AKya Seza granTasya kRtyA antara aBAve api atam eva a; "tattu
   samanvayāt"ityanena hetutayā sāmānyataḥ siddhavadupanyastameva samanvayāt	samanvayAt"iti anena hetu tayA sAmAnyatas sidDa vat upanyastam eva samanvayAt 
   'samanvayam'; upakramādiliṅgajñāpyaṃ samyagvacanavṛttyā	asamanvayam a; upakrama Adi liFga jQApyam samyak vacana vRttyA
   sarvaśāstrīyavacanānāṃ harau nirūpaṇaṃ tatparatvaṃ 'prakaṭayati';	sarva SAstrIya vacanAnAm harO nirUpaNam tat paratvam aprakawayati a;
   prativākyagrahaṇena taddhetūpanyāsādinā prapañcayati "ānandamayo	prativAkya grahaNena tad hetu upanyAsa AdinA prapaQcayati "a Anandam ayaH 
   'bhyāsāt"ityādinā anena prathamenādhyāyena sūtrakāra ityarthaḥ / anyathā	aByAsAt"iti AdinA anena praTamena aDyAyena sUtrakAraH iti arTaH / anyaTA
   pratijñāmātrasya "tadeva śāstrayoni, samanvayāt"iti	pratijQA mAtrasya "tat eva SAstra yoni, samanvayAt"iti
   siddhavadupanyāsamātrasya sādhakatve "viṣṇoranyadeva śāstrayoni, kutaḥ?	sidDa vat upanyAsa mAtrasya sADaka tve "vizNoH anyat eva SAstra yoni, kutas ?
   samanvayāt samyaktātparyaviṣayatvāt, tathā anyadeva tātparyaviṣayaḥ,	samanvayAt samyaktAt parya vizaya tvAt, taTA anyat eva tAtparya vizayaH,
   kutaḥ? upakramādiliṅgāt"ityapi prativādī brūyāditi bhāvaḥ /	kutas ? upakrama Adi liFgAt"iti api prativAdI brUyAt iti BAvaH /
   yathopakramādikaṃ tajjñāpyaṃ tātparyaṃ ca samanvayaśabdārthaḥ tathā	yaTA upakrama Adikam tat jQApyam tAtparyam ca samanvaya Sabda arTaH taTA
   bhāṣyaṃ yojitam adhastāt / yadyapyatra sūtrasya pratīkatvena uttaratra	BAzyam yojitam aDastAt / yadi api atra sUtrasya pratIka tvena uttaratra
   udāhariṣyamāṇatvānnātrāpyudāhartavyatā / tathāpi sūtrānudāharaṇe	udAharizyamANa tvAt na atra api udAhartavyatA / taTA api sUtrAn udAha raNe
   ānandamayākhyaviṣayāparijñānāttasya viṣṇutvasamarthane kā	Ananda maya AKya vizaya aparijQAnAt tasya vizNu tva samarTane kA
   pūrvasaṅgatirityevaṃ śaṅkānudayāt tanmūlapraśnānudayāt ānandamayāparijñāne	pUrva saFgatiH iti evam SaFkA anudayAt tad mUla praSna an udayAt Ananda maya aparijQAne
   brahmaṇastadavayavatvapratītimukhenākṣeparūpaśaṅkānudayācca	brahmaNaH tad avayava tva pratIti muKena Akzepa rUpa SaFkA anudayAt ca
   etadākṣeparūpasaṅgatipradarśanāya	etad Akzepa rUpa saFgati pradarSanAya
   ca adhikaraṇasaṅgativiṣayakaśaṅkotthāpanāya atrāpi sūtrodāharaṇaṃ,	ca aDikaraNa saFgati vizaya ka SaFkA utTApanAya atra api sUtra udAharaNaM,
   uttaratra tu pratīkatveneti draṣṭavyam /	uttaratra tu pratIka tvena iti drazwavyam /
   adhyāyāntaravyāvṛttyarthamānandamayetyādi / prathamenetyanukttvā	aDyAya antara vyAvRtti arTam Ananda maya ityAdi / praTamena iti anukttvA
   evaṃvacanena etadadhikaraṇamārabhyādhyāyārambhaḥ, pañcādhikaraṇyāstu	evaMvacanena etad aDikaraNam AraBya aDyAya AramBaH, paQca aDikaraNyAH tu
   nādhyāyāntarbhāva ityapi sūcitam /	na aDyAya antarBAvaH iti api sUcitam /
   samanvayādhikaraṇamārabhyaivādhyāyārambhaḥ tasyaitatprapañcatvāditi pakṣe	samanvaya aDikaraNam AraBya eva aDyAya AramBaH tasya etat prapaQca tvAt iti pakze
   adhyāyena adhyāyaśeṣeṇetyartha ityavirodhaḥ / caturthapāde na samanvayaḥ	aDyAyena aDyAya SezeNa iti arTaH iti aviroDaH / caturTa pAde na samanvayaH
   kriyata iti paramatanirāsāya 'samastena'; samagreṇetyuktam /	kriyate iti para mata nirAsAya asamaH tena a; samagreNa iti uktam /
   devatāpaśūdrādhikaraṇayoḥ samanvayākaraṇāt	deva tApa Su udra aDikaraNayoH samanvaya AkaraNAt 
   samastenetyanupapannamityāśaṅkānirākaraṇāya 'prāyeṇa'; prācuryeṇeti /	samastena iti anupapannam iti ASaFkA nirAkaraNAya aprAyeNa a; prAcuryeNa iti /
   prāya iti sakārāntāvyayaparyāyo 'yamakārāntaḥ prāyaśabdaḥ /	prAyas iti sakAra anta avyaya paryAyaH ayam akAra antaH prAya SabdaH /
   tasmātprakṛtyāditvāttṛtīyāyāṃ prāyeṇeti bhavati / ata eva	tasmAt prakRti Adi tvAt tRtIyAyAm prAyeNa iti Bavati / atas eva
   viṣṇutattvanirṇayaṭīkāyāṃ bhūmārthe 'prāyaḥ'; ityavyayamapyasti	vizNu tattva nirNaya wIkAyAm BUma arTe aprAyaH a; iti avyayam api asti
   ityapiśabdaḥ prāyoji / prameyadīpe 'pi sāntasyaivāvyayatvamuktam /	iti apiSabdaH prAyoji / prameya dIpe api sAntasya eva avyaya tvam uktam /
   BBsBh_1,1.6.2:	BBsBh_1,1.6.2:
   prāyeṇānyatraprasiddhānāṃ śabdānāṃ paramātmani samanvayaḥ pradarśyate	prAyeNa anyatra prasidDAnAm SabdAnAm paramAtmani samanvayaH pradarSyate
   'smin pāde / nānyathā tadadṛṣṭe /	asmin pAde / na anyaTA tad adRzwe /
   BBsBhDīp_1,1.6.2:	BBsBhDIB _1,1.6.2:
   tarhi adhyāyasyaikārthatvāt pādabhedaḥ kiṃ nibandhana ityataḥ	tarhi aDyAyasya eka arTa tvAt pAda BedaH kim nibanDanaH iti atas 
   samanvetavyabhedāt samanvaye 'pyavāntarabheda iti bhāvena	samanvetavya BedAt samanvaye api avAntara BedaH iti BAvena
   prathamādhyāprathamapādapratipādyaṃ darśayati   prāyeṇeti // 'asmin';	praTama aDya apraTam apAda pratipAdyam darSayati  prAyeNa iti // aasmin a;
   prathame pāde 'prāyeṇa'; bāhulyena 'anyatra'; viṣṇoranyatra	praTame pAde aprAyeNa a; bAhulyena aanyatra a; vizNoH anyatra
   'prasiddhānāṃ'; śrutyādito lokato vādmapātato rūḍhatvena pratīyamānānāṃ	aprasidDAnAM a; Sruti AditaH lokataH vA admapAtataH rUXa tvena pratIyamAnAnAm
   nāmātmakānāṃ 'śabdānāṃ'; 'paramātmani'; viṣṇau niruktaḥ 'samanvayaḥ';	nAma AtmakAnAm aSabdAnAM a; aparam Atmani a; vizNO niruktaH asamanvayaH a;
   'pradarśyate'; prapañcyata ityarthaḥ / atrāpi antaradhikaraṇe	apradarSyate a; prapaQcyate iti arTaH / atra api antar aDikaraNe
   antaḥsthatvaliṅgasamanvayapratipādanāt avyāptinirāsāya   prāyeṇeti /	antar sTa tva liFga samanvaya pratipAdanAt avyApti nirAsAya  prAyeNa iti /
   tattvapradīpe tu eka eva bhāṣye prāyeṇeti śabdaḥ / tasyaivottaratrāpi	tattva pradIpe tu ekaH eva BAzye prAyeNa iti SabdaH / tasya eva uttaratra api
   sambandha ityāśayena "prāyeṇānyatra prasiddhānāṃ śabdānāmiti ca	sambanDaH iti ASayena "prAyeNa anyatra prasidDAnAm SabdAnAm iti ca
   sambandhaḥ"ityuktam / tathā   ānandamayādhikaraṇe liṅgavicārattadapi	sambanDaH"iti uktam / taTA  Ananda maya aDikaraNe liFga vicArat tat api
   prāyeṇeti vyāvartyamiti coktam / yadvā  	prAyeNa iti vyAvartyam iti ca uktam / yat vA  
   ṭīkāyāmapyāvṛttyabhiprāyeṇaikasyaiva punaruttaratrāpi anvayapradarśanāya	wIkAyAm api AvRtti aBiprAyeNa ekasya eva punar uttaratra api anvaya pradarSanAya
   pratīkagrahaṇaṃ kṛtamiti na granthavairūpyaṃ kalpyam / ata eva	pratIka grahaNam kRtam iti na granTa vErUpyam kalpyam / atas eva
   tattvapradīpānusāreṇa "ānandamayanāmnaḥ iti ṭīkāyāmānandamayanāmaśbadaḥ	tattva pradIpa anusAreNa "a Ananda maya nAmnaH iti wIkAyAm Ananda mayanAm aSbadaH
   ānandādināmaparo vā yojyaḥ"ityuktaṃ candrikāyām / atha paroktaṃ pādārthaṃ	Ananda AdinAm aparaH vA yojyaH"iti uktam candrikAyAm / aTa paroktam pAdArTam
   dūṣayati   neti / 'anyathā'; prathame spaṣṭabrahmaliṅgānāṃ śabdānāṃ	dUzayati  na iti / aanyaTA a; praTame spazwa brahma liFgAnAm SabdAnAm
   dvitīyatṛtīyayoraspaṣṭabrahmaliṅgānāṃ samanvayaḥ pratipādyate / tayostu	dvitIya tRtIyayoH aspazwa brahma liFgAnAm samanvayaH pratipAdyate / tayoH tu
   saviśeṣanirviśeṣaviṣayatayā bhedaḥ / caturthapāde tu	sa viSeza nirviSeza vizaya tayA BedaH / caturTa pAde tu
   pradhānasyāśābdatvoktirityevaṃ rūpo 'smaduktādanyaprakāreṇa pādārtho na	praDAnasya ASAbda tva uktiH iti evam rUpaH asmad uktAt anya prakAreNa pAda arTaH na
   vācyaḥ ityarthaḥ / kuto netyata āha   taditi / 'tasya';	vAcyaH iti arTaH / kutas na iti atas Aha  tat iti / atasya a;
   paroktapādārthaniyamasya 'adṛṣṭeḥ';	para ukta pAda arTa niyamasya aadRzweH a;
   etadadhyāyagatapādeṣvadarśanādityarthaḥ / sarvasāṅkaryāditi bhāvaḥ / tacca	etat aDyAya gata pAdezu adarSanAt iti arTaH / sarva sAFkaryAt iti BAvaH / tat ca
   ṭīkādāvuktam /	wIka AdO= uktam /
   BBsBh_1,1.6.3:	BBsBh_1,1.6.3:
   brahmajijñāsā kartavyetyuktam /	brahma jijQAsA kartavyA iti uktam /
   tacca 'brahma pucchaṃ pratiṣṭhā'	tat ca abrahma pucCam pratizWA a
   (tai. 2 5 2.)	(tE. 2 5 2.)
   BBsBhDīp_1,1.6.3:	BBsBhDIB _1,1.6.3:
   nanvānandamayādhikaraṇamārabhya sarveṣāmadhikaraṇānāmavaśyavaktavye	nanu Ananda maya aDikaraNam AraBya sarvezAm aDikaraNAnAm avaSya vaktavye
   saṅgatipañcake asminnadhikaraṇe lokato	saFgati paQcake asmin= aDikaraNe lokataH 
   'nyatraprasiddhānandamayaśabdopalakṣitaguṇivāciśabdānāmānandādiguṇavāciśabdānāṃ	anyatraprasidDa Ananda maya Sabda upalakzita guNi vAci SabdAnAm Ananda Adi guNa vAci SabdAnAm
   ca brahmaṇi samanvayakaraṇāt	ca brahmaNi samanvaya karaNAt 
   asyāstu śāstre 'dhyāye pāde cāntarbhāvarūpā saṅgatiḥ / tathāpi	asyAH tu SAstre aDyAye pAde ca antar BAva rUpA saFgatiH / taTA api
   ānandamayasya viṣṇutvasamarthane kā pūrvasaṅgatirityato	Ananda mayasya vizNu tva samarTane kA pUrva saFga tiriti atas 
   'vyavahitapūrvādhikaraṇenaiva saṅgatirvaktavyeti niyamābhāvāt	avyavahita pUrva aDikaraNena eva saFgatiH vaktavyA iti niyama aBAvAt 
   vyavahitapūrveṇa jijñāsādhikaraṇena tadviṣayeṇa ca	vyavahita pUrveNa jijQAsA aDikaraNena tad vizayeNa ca
   asyānantaryalakṣaṇalakṣitāmākṣepikīṃ saṅgatiṃ tāvaddarśayati   brahmeti //	asya anantarya lakzaNa lakzitAm AkzepikIm saFgatim tAvat darSayati  brahma iti //
   uktaṃ jijñāsādhikaraṇe iti śeṣaḥ / 'tacceti'; / yajjijñāsyatayā	uktam jijQAsA aDikaraNe iti SezaH / atad ceti a; / yat jijQAsyatayA
   pratijñātaṃ brahma tadevetyarthaḥ / yadvā   prakṛtānusandhānārthaścaśabdaḥ	pratijQAtam brahma tat eva iti arTaH / yat vA  prakRta anusanDAna arTaH ca SabdaH
   / itītyanantaraṃ 'śrutau'; iti śeṣaḥ / 'ānandamayāvayavarūpamiti';	/ iti iti anantaram aSrutO a; iti SezaH / aAnanda maya avayava rUpam iti a;
   ānandamayākhyasya kasyacitpucchākhyāvayavabhūtaṃ pratīyata ityarthaḥ/ nanu	Ananda maya AKyasya kasyacid pucCa AKyA avayava BUtam pratIyate iti arTaH/ nanu
   brahmaṇo 'vayavatvoktāvapi kimarthamānandamayasya	brahmaNaH avayava tva uktO= api kimarTam Ananda mayasya
   viṣṇutvasamarthanamityata āha   na hīti/ hiśabdo hetau/ 'ata'; ityāvartate	vizNu tva samarTanam iti atas Aha  na hi iti/ hi SabdaH hetO/ aata a; iti Avartate
   / 'tacca'; ityādi 'ityata āha'; ityantaṃ saṅgatiprayojanobhayaparatayā	/ atat ca a; ityAdi aityate Aha a; iti antam saFgati prayojana uBaya para tayA
   vyākhyeyam / na hītyetattadupapādakam / yojanā tu   yato 'brahma pucchaṃ	vyAKyeyam / na hi iti etat tad upapAdakam / yojanA tu  yatas abrahma pucCam
   pratiṣṭhā'; iti śrutau jijñāsyatayoktaṃ brahma ānandamayākhyasya	pratizWA a; iti SrutO jijQAsyatayA uktam brahma Ananda maya AKyasya
   kasyacidavayavarūpaṃ 'pratīyate'; ucyate yataśca anyāṅgatayā jijñāsyatve	kasyacid avayava rUpam apratIyate a; ucyate yatas ca anya aFga tayA jijQAsya tve
   'pi 'avayavinam'; ānandamayaṃ vinā 'avayavamātrasya'; avayavasyaiva	api aavayavinam a; Ananda mayam vinA aavayava mAtrasya a; avayavasya eva
   kevalasya brahmaṇo na pṛthak 'jñeyatā'; jijñāsyatā sambhavati /	kevalasya brahmaNaH na pRTak ajQeya tA a; jijQAsyatA samBavati /
   amukhyatvāt / nāpi jijñāsāyā eva tyāgo yujyate / "tadvijijñāsasva"(tai. u.	amuKya tvAt / na api jijQAsAyAH eva tyAgaH yujyate / "tad vijijQAsa sva "(tE. u.
   3 1.) iti śrutivihitatvādityevaṃ śaṅkā prāptā / ataḥ	3 1.) iti Sruti vihita tvAt iti evam SaFkA prAptA / atas 
   śaṅkārūpasaṅgatisadbhāvāt atrānandamayasya viṣṇvanyatvapakṣe	SaFkA rUpa saFgati sadBAvAt atra Ananda mayasya vizNu anyatva pakze
   brahmajijñāsākṣepāt viṣṇutvapakṣe ca tatsamādhānāt evaṃ ca	brahma jijQAsA kzepAt vizNu tva pakze ca tad samADAnAt evam ca
   pūrvapakṣasiddhāntayoḥ phalasadbhāvācca 'ato'; brahmajijñāsāsiddhyartham	pUrva pakza sidDAntayoH Pala sadBAvAt ca aatas a; brahma jijQAsA sidDi arTam
   'ānandamayo 'bhyāsāt'; ityānandamayasya viṣṇutvam 'āha'; samarthayati	aAnanda mayaH aByAsAt a; iti Ananda mayasya vizNu tvam aAha a; samarTayati
   sūtrakāra iti /	sUtrakAraH iti /
   "tasmādvā etasmādvijñānamayāt / anyo 'ntara ātmānandamayaḥ / tenaiṣa	"tasmAt vA etasmAt vijQAna mayAt / anyaH antare Atma Ananda mayaH / tena eza
   pūrṇaḥ / sa vā eṣa puruṣavidha eva / tasya puruṣavidhatām / anvayaṃ	pUrNaH / sa vE eza puruzaviDaH eva / tasya puruza viDa tAm / anvayam
   puruṣavidhaḥ / tasya priyameva śiraḥ / modo dakṣiṇaḥ pakṣaḥ / pramoda	puruzaviDaH / tasya priyam eva SiraH / modaH dakziNaH pakzaH / pramoda
   uttaraḥ pakṣaḥ / ānanda ātmā / brahma pucchaṃ pratiṣṭhā"(tai.u. 2 5 2.)	uttaraH pakzaH / AnandaH AtmA / brahma pucCam pratizWA "(tE.u. 2 5 2.)
   iti taittirīyavākyasyāyamarthaḥ / 'tasmāt'; ātmapadoditāt 'etasmāt';	iti tEttirIya vAkyasya ayam arTaH / atasmAt a; Atma pada uditAt aetasmAt a;
   jīvaśarīragatāt vijñānapūrṇatvāt vijñānamayaśabdavācyāt viṣṇoḥ ananyo	jIva SarIra gatAt vijQAna pUrNa tvAt vijQAna maya Sabda vAcyAt vizNoH ananyo
   'pyanyaśabdoktaḥ 'ānandamayaḥ'; ānandapūrṇatvādānandamayaśabdavācyaḥ	api anya Sabda uktaH aAnanda mayaH a; Ananda pUrNa tvAt Ananda maya Sabda vAcyaH
   'ātmā'; nārāyaṇaḥ 'antaro'; vijñānamayasyāntaḥsthitaḥ 'tena'; ānandamayena	aAtmA a; nArAyaNaH aantaraH a; vijQAna mayasya antar sTitaH atena a; Ananda mayena
   'eṣaḥ'; vijñānamayaśabdavācyo vāsudevaḥ 'pūrṇaḥ'; niśchidratvena pūritaḥ /	aezaH a; vijQAna maya Sabda vAcyaH vAsudevaH apUrNaH a; niSCidra tvena pUritaH /
   vaiśabdaḥ prasiddhau / 'sa eṣa'; ānandamayaḥ 'puruṣavidha eva'; puruṣākāra	vESabdaH prasidDO / asaH eza a; Ananda mayaH apuruzaviDaH eva a; puruza AkAra
   eva / 'tasya'; ānandamayasya śarīrasthānīyasya puruṣākāratām 'anu';	eva / atasya a; Ananda mayasya SarIra sTAnIyasya puruza AkAra tAm aanu a;
   anusṛtya 'ayaṃ'; vijñānamayaḥ śarīrasthānīyaḥ 'puruṣavidhaḥ';	anusRtya aayaM a; vijQAna mayaH SarIra sTAnIyaH apuruzaviDaH a;
   tasmātprādurbhūtaḥ,	tasmAt prAdurBUtaH,
   uttaraiḥ pūritāḥ pūrve niśchidratvena sarvaśaḥ /	uttarEH pUritAH pUrve niSCidra tvena sarvaSas /
   sarve 'pi puruṣākārā uttarātpūrvasambhavaḥ //	sarve api puruza AkArAH uttarAt pUrva samBavaH //
   iti taittirīyabhāṣyokteḥ / 'tasya'; ānandamayasya viṣṇoḥ avayavabhūtaṃ	iti tEttirIya BAzya ukteH / atasya a; Ananda mayasya vizNoH avayava BUtam
   'pareyaṃ priyanāmakam'; iti bhāṣyokteḥ / parairuttamaiḥ devaiḥ	apareyam priya nAmakam a; iti BAzya ukteH / parEH uttamEH devEH
   prāpyatvātpriyaśabdavācyaṃ yatsukhaṃ tattasya 'śiraḥ';	prApya tvAt priya Sabda vAcyam yat suKam tat tasya aSiraH a;
   tadevānandamayākhyasya jīvaśarīrasya parairanyairupakartṛbhiḥ prāpyatvāt	tat eva Ananda maya AKyasya jIva SarIrasya parEH anyEH upakartRBiH prApya tvAt 
   priyanāmakamupakārajanyavaiṣayikasukhākhyaṃ yacchiraḥ tatsthaṃ ca /	priya nAmakam upakAra janya vEzayika suKa AKyam yat SiraH tad sTam ca /
   evamānandamayākhyasya viṣṇoḥ ye dakṣiṇottarabāhumadhyadehāḥ	evam Ananda maya AKyasya vizNoH ye dakziNa uttara bAhu maDya dehAH
   modapramodakāritvānandatvanimittairmoda 	moda pramoda kAritva Ananda tva nimittEH moda 
   pramodānandanāmānaḥ te ānandamayākhyajīvaśarīrasya	pramoda Ananda nAmAnaH te Ananda maya AKya jIva SarIrasya
   dakṣiṇottarapakṣātmanāmāno dakṣiṇasavyabāhumadhyadehāḥ/ 'modo';	dakziNa uttara pakza Atma nAmAnaH dakziNa savya bAhu maDya dehAH/ amodaH a;
   bhoganimittakaḥ 'pramodaḥ'; "tadviśeṣotthaḥ"ityaitareyabhāṣyokteḥ /	Boga nimittakaH apramodaH a; "tad viSeza utTaH"ityEtareya BAzya ukteH /
   munnāma viṣayotthaṃ yatprakṛṣṭaviṣayātpramut /	mud nAma vizaya utTam yat prakRzwa vizayAt pramuD /
