   akāraṃ hyātmasambhavam Stk_2.6d	akAram hi-Atma-samBavam Stc-_2.6d
   nābhau homaṃ prakalpayet Stk_2.13b	nABO homam prakalpayet Stc-_2.13b
   nāma vijñāya tattvataḥ Stk_16.6b	nAma vijQAya tattvataH Stc-_16.6b
   nāmnā tu vātulāttantrād Stk_1.4c	nAmnA tu vAtulAt-tantrAt Stc-_1.4c
   nāśiṣyāya pradātavyaṃ Stk_23.20a	na-aSizyAya pradAtavyam Stc-_23.20a
   nāsāgre tu śivaṃ vidyāt Stk_23.11c	nAsA-agre tu Sivam vidyAt Stc-_23.11c
   nāsāgre dvādaśāṅgulam Stk_23.14d	nAsA-agre dvAdaSa-aFgulam Stc-_23.14d
   nāsāvācārya ucyate Stk_22.2d	na-asO=-AcAryaH ucyate Stc-_22.2d
   nikṣepaṃ tadanantaram Stk_8.16d	nikzepam tad-anantaram Stc-_8.16d
   nigūḍhatvānna paśyanti Stk_13.19a	nigUXa-tvAt-na paSyanti Stc-_13.19a
   nityamāpūrayatyeṣa Stk_10.7c	nityam-ApUrayati-eza Stc-_10.7c
   nityasaṃskārakarmasu Stk_8.24b	nitya-saMskAra-karmasu Stc-_8.24b
   nityaṃ nityālpajanmā vyasanayati paśuṃ yauvane bālabhāve Stk_10.14c	nityam nitya-alpa-janmA vyasanayati paSum yOvane bAla-BAve Stc-_10.14c
   nityaṃ muktiratāya ca Stk_23.20d	nityam mukti-ratAya ca Stc-_23.20d
   nipatantī tridhā yāti Stk_13.9a	nipatantI triDA yAti Stc-_13.9a
   niyataṃ vaśamānayet Stk_16.13d	niyatam vaSam-Anayet Stc-_16.13d
   nirgato vyāpayettiryag- Stk_20.2c	nirgataH vyApayet-tiryag Stc-_20.2c
   nirbījakaraṇaṃ tathā Stk_21.2d	nirbIja-karaNam taTA Stc-_21.2d
   nirbījakaraṇe tathā Stk_21.18d	nirbIja-karaNe taTA Stc-_21.18d
   nirvāṇaṃ tattvavijñānaṃ Stk_13.22e	nirvANam tattva-vijQAnam Stc-_13.22e
   nivṛttirnāma sā kalā Stk_13.5d	nivRttiH-nAma sA kalA Stc-_13.5d
   nivṛttiśceti tāḥ kalāḥ Stk_13.9d	nivRttiH-ca-iti tAH kalAH Stc-_13.9d
   nivṛttiṃ hṛdayenaiva Stk_8.8a	nivRttim hRdayena-eva Stc-_8.8a
   nivṛttiḥ pṛthivī jñeyā Stk_8.6a	nivRttiH pRTivI jQeyA Stc-_8.6a
   niśvāsayogayuktastu Stk_11.14c	niSvAsa-yoga-yuktaH-tu Stc-_11.14c
   niśvāsocchvasane hitvā Stk_19.5a	niSvAsa-ucCvasane hitvA Stc-_19.5a
   niśvāsocchvāsakāsaistu Stk_10.8a	niSvAsa-ucCvAsa-kAsEH-tu Stc-_10.8a
   niśvāsocchvāsakaiḥ śvasanapuramadhaḥ kampitāghūrṇitaiśca Stk_10.14b	niSvAsa-ucCvAsakEH Svasana-puram-aDas kampita-AGUrNitEH-ca Stc-_10.14b
   niśvāsocchvāsavarjitaḥ Stk_11.13b	niSvAsa-ucCvAsa-varjitaH Stc-_11.13b
   niśvāso dhanamucyate Stk_11.4d	niSvAsaH Danam-ucyate Stc-_11.4d
   niṣkalaṃ taṃ vijānīyāt Stk_19.4c	nizkalam tam vijAnIyAt Stc-_19.4c
   niṣkalena samanvitaḥ Stk_13.1d	nizkalena samanvitaH Stc-_13.1d
   niṣkale niṣkalastathā Stk_23.8b	nizkale nizkalaH-taTA Stc-_23.8b
   niṣkale sakale sthitā Stk_13.7b	nizkale sakale sTitA Stc-_13.7b
   niṣkalo dehavarjitaḥ Stk_23.2b	nizkalaH deha-varjitaH Stc-_23.2b
   niṣkṛtiṃ cāpyapaścimām Stk_6.3b	nizkRtim ca-api-apaScimAm Stc-_6.3b
   niṣkrāmati svayaṃ devo Stk_19.4a	nizkrAmati svayam devaH Stc-_19.4a
   niḥsattve kalahapriye Stk_14.2b	niHsattve kalaha-priye Stc-_14.2b
   nṛttagītasamanvitaiḥ Stk_9.5d	nRtta-gIta-samanvitEH Stc-_9.5d
   netarebhyaḥ pradāpayet Stk_23.21b	na-itareByaH pradApayet Stc-_23.21b
   netragātraprakopanaḥ Stk_10.11b	netra-gAtra-prakopanaH Stc-_10.11b
   netraṃ dattvā tadāvāhyo Stk_2.11a	netram dattvA tadA-avAhyaH Stc-_2.11a
   netraṃ pāśupataṃ ca yat Stk_1.14b	netram pASupatam ca yat Stc-_1.14b
   nairṛtyāṃ tu śikhā jñeyā Stk_7.8a	nErRtyAm tu SiKA jQeyA Stc-_7.8a
   naiva tatphalamāpnuyāt Stk_8.5d	na-eva tad-Palam-ApnuyAt Stc-_8.5d
   naiva siddhyate sarvadā Stk_16.7d	na-eva sidDyate sarvadA Stc-_16.7d
   nyasedastraṃ ca mantrajño Stk_2.12c	nyaset-astram ca mantra-jQaH Stc-_2.12c
   nyūnā sādhyasya kīrtitā Stk_16.6d	nyUnA sADyasya kIrtitA Stc-_16.6d
   pañcatattvavyavasthitām Stk_8.1b	paQcatattva-vyavasTitAm Stc-_8.1b
   pañcatriṃśacca lakṣāṇi Stk_16.15a	paQcatriMSat-ca lakzANi Stc-_16.15a
   pañcadhā pañcadaivatyaḥ Stk_23.10a	paQcaDA paQca-dEvatyaH Stc-_23.10a
   pañcadhā bindudīpitaḥ Stk_21.9b	paQcaDA bindu-dIpitaH Stc-_21.9b
   pañcapūrṇāhutīrdadyāt Stk_8.10a	paQca-pUrNAhutIH-dadyAt Stc-_8.10a
   pañcamantramahātanum Stk_22.2b	paQca-mantra-mahA-tanum Stc-_22.2b
   pañcamastu paraḥ sūkṣmo Stk_22.14c	paQcamaH-tu paraH sUkzmaH Stc-_22.14c
   pañcame viniyojayet Stk_1.11b	paQcame viniyojayet Stc-_1.11b
   pañcalakṣaṃ sthito japet Stk_16.9b	paQcalakzam sTitaH japet Stc-_16.9b
   pañcasaṃsthānagāminīm Stk_22.17d	paQca-saMsTAna-gAminIm Stc-_22.17d
   pañcākṣaraprayogeṇa Stk_21.5c	paQcAkzara-prayogeNa Stc-_21.5c
   pañcaitāni ca tattvāni Stk_8.2a	paQca-etAni ca tattvAni Stc-_8.2a
   pañcodghātāśca catvāras Stk_2.4a	paQca-udGAtAH-ca catvAraH Stc-_2.4a
   patatyeva na saṃśayaḥ Stk_21.11b	patati-eva na saMSayaH Stc-_21.11b
   patitā bindunā saha Stk_13.10b	patitA bindunA saha Stc-_13.10b
   patrāntarālayogācchūnyamivātmā tato bhāti Stk_10.28/a	patra-antarAla-yogAt-SUnyam-iva-AtmA tatas BAti Stc-_10.28/a
   padārthānīkasaṃkulam Stk_1.3b	padArTa-anIka-saMkulam Stc-_1.3b
   padmapatramathāpi vā Stk_9.2d	padma-patram-aTa-api vA Stc-_9.2d
   paramākṣaranirṇayaḥ Stk_23.18d	parama-akzara-nirNayaH Stc-_23.18d
   paramākṣaravit sadā Stk_23.23d	parama-akzara-vid sadA Stc-_23.23d
   parameśena bhāṣitam Stk_9.1d	parameSena BAzitam Stc-_9.1d
   parasmāttu paraṃ nāsti Stk_23.12a	parasmAt-tu param na-asti Stc-_23.12a
   paripūrṇaṃ vicintayet Stk_2.8d	paripUrNam vicintayet Stc-_2.8d
   pavitrāṇi purā nyasya Stk_7.7a	pavitrANi purA nyasya Stc-_7.7a
   paśūnāṃ caiva nirdeśaṃ Stk_8.26a	paSUnAm ca-eva nirdeSam Stc-_8.26a
   paśūnmocayate kṣaṇāt Stk_8.34b	paSUn-mocayate kzaNAt Stc-_8.34b
   paśorgrahaṇamokṣaṃ tu Stk_8.24c	paSoH-grahaNa-mokzam tu Stc-_8.24c
   paścātpadmavidhānaṃ tu Stk_6.4a	paScAt-padma-viDAnam tu Stc-_6.4a
   paścādādheyameva ca Stk_17.2b	paScAt-ADeyam-eva ca Stc-_17.2b
   paścādānantamāsanam Stk_5.1d	paScAt-Anantam-Asanam Stc-_5.1d
   paścādguroḥ sādhakānāṃ Stk_2.10a	paScAt-guroH sADakAnAm Stc-_2.10a
   paścādbāhyaṃ tu ṣaṇmukha Stk_2.15b	paScAt-bAhyam tu zaNmuKa Stc-_2.15b
   paścādyajanamārabhet Stk_2.15d	paScAt-yajanam-AraBet Stc-_2.15d
   pārthivīṃ dhārayetkramāt Stk_2.2b	pArTivIm DArayet-kramAt Stc-_2.2b
   pārśvabindudvayopetā Stk_13.13c	pArSva-bindu-dvaya-upetA Stc-_13.13c
   pāśacchedaṃ tathāstreṇa Stk_8.18c	pASa=-Cedam taTA-astreNa Stc-_8.18c
   pāśā ābhyantarā bāhyāḥ Stk_8.25a	pASAH AByantarAH bAhyAH Stc-_8.25a
   pāśānāṃ stobhakārakaḥ Stk_21.10d	pASAnAm stoBa-kArakaH Stc-_21.10d
   pāśānāṃ stobhanaṃ caiva Stk_21.2a	pASAnAm stoBanam ca-eva Stc-_21.2a
   piṅgalā dakṣiṇe hyaṅge Stk_11.7c	piFgalAH dakziNe hi-aFge Stc-_11.7c
   pitṛdevāṃśca tarpayet Stk_3.9b	pitR-devAn=-ca tarpayet Stc-_3.9b
   pidhāya sarvadvārāṇi Stk_11.13a	piDAya sarva-dvArANi Stc-_11.13a
   pītaṃ bhakṣitamāghrātaṃ Stk_10.10a	pItam Bakzitam-AGrAtam Stc-_10.10a
   puṭadvayaviniḥsṛtam Stk_11.5d	puwa-dvaya-viniHsRtam Stc-_11.5d
   puṇyapāpairna lipyate Stk_23.25b	puNya-pApEH-na lipyate Stc-_23.25b
   putrasnehādviśeṣataḥ Stk_11.2d	putra-snehAt-viSezataH Stc-_11.2d
   putrasnehādviśeṣataḥ Stk_18.5d	putra-snehAt-viSezataH Stc-_18.5d
   punaścotthāpanaṃ tasya Stk_21.11c	punar-ca-utTApanam tasya Stc-_21.11c
   puruṣastu śarīre 'smin Stk_23.4c	puruzaH-tu SarIre asmin Stc-_23.4c
   puryaṣṭakamudāhṛtam Stk_17.5b	puryazwakam-udAhRtam Stc-_17.5b
   puryaṣṭakasamāyukto Stk_17.4a	puryazwaka-samAyuktaH Stc-_17.4a
   puryaṣṭakaṃ ca tanmātraṃ Stk_2.7c	puryazwakam ca tanmAtram Stc-_2.7c
   puṣpaṃ tu sakalaṃ vidyād Stk_23.6a	puzpam tu sakalam vidyAt Stc-_23.6a
   puṣpe gandha iva sthitaḥ Stk_23.4b	puzpe ganDaH iva sTitaH Stc-_23.4b
   pūrakeṇa tu pūritam Stk_11.16b	pUrakeNa tu pUritam Stc-_11.16b
   pūrako dehapūrakaḥ Stk_11.12d	pUrakaH dehapUrakaH Stc-_11.12d
   pūrṇāhutipradānaṃ ca Stk_8.22c	pUrNAhuti-pradAnam ca Stc-_8.22c
   pūrvamevaṃ pratijñātaṃ Stk_19.1a	pUrvam-evam pratijQAtam Stc-_19.1a
   pūrvavatsamprayukto 'yaṃ Stk_21.6c	pUrvavat-samprayuktaH ayam Stc-_21.6c
   pūrvavanmadhyasaṃsthaṃ ca Stk_21.14c	pUrvavat-maDya-saMsTam ca Stc-_21.14c
   pūrvavanmanasālokya Stk_14.3c	pUrvavat-manasA-Alokya Stc-_14.3c
   pūrvādārabhya vaktrādīn Stk_7.6c	pUrvAt-AraBya vaktra-AdIn Stc-_7.6c
   pūṣā caiva yaśāstathā Stk_10.4b	pUzA ca-eva yaSAH-taTA Stc-_10.4b
   pṛthivyādyabjanāḍīrvai Stk_8.37c	pRTivI-Adi-abja-nAxIH-vE Stc-_8.37c
   pṛthivyāpastathā tejo Stk_8.1c	pRTivI-ApaH-taTA tejaH Stc-_8.1c
   pṛṣṭāścātra tvayā guha Stk_8.14d	pRzwAH-ca-atra tvayA guha Stc-_8.14d
   prakriyāntasthamamṛtaṃ Stk_2.5c	prakriyA-antasTam-amRtam Stc-_2.5c
   prakṣipejjātavedasam Stk_6.2d	prakzipet-jAtavedasam Stc-_6.2d
   prajāpatistathādityaḥ Stk_22.5c	prajApatiH-taTA-AdityaH Stc-_22.5c
   praṇavādi tato huṃ phaṭ Stk_21.21a	praNava-Adi tatas hum Paw Stc-_21.21a
   praṇavenāgnimadhyastho Stk_21.4a	praNavena-agni-maDya-sTaH Stc-_21.4a
   praṇavenāntadīpitaḥ Stk_21.9d	praNavena-anta-dIpitaH Stc-_21.9d
   pratiṣṭhā āpa ucyate Stk_8.6b	pratizWA ApaH ucyate Stc-_8.6b
   pratiṣṭhā nāma sā jñeyā Stk_13.4c	pratizWA nAma sA jQeyA Stc-_13.4c
   pratiṣṭhāṃ śirasā guruḥ Stk_8.8b	pratizWAm SirasA guruH Stc-_8.8b
   pratyakṣaṃ sarvatomukhaḥ Stk_23.3d	pratyakzam sarvatomuKaH Stc-_23.3d
   pratyayo 'ṣṭavidhaḥ smṛtaḥ Stk_21.3b	pratyayaH azwaviDaH smRtaH Stc-_21.3b
   prathamaṃ tasya tadbījaṃ Stk_13.11a	praTamam tasya tat-bIjam Stc-_13.11a
   pradātavyamidaṃ śāstraṃ Stk_23.21a	pradAtavyam-idam SAstram Stc-_23.21a
   pradhānā daśa tāsu yāḥ Stk_10.3b	praDAnAH daSa tAsu yAH Stc-_10.3b
   prayāṇaṃ kurute yasmāt Stk_10.8c	prayANam kurute yasmAt Stc-_10.8c
   prayogeṇātisūkṣmeṇa Stk_8.35a	prayogeNa-ati-sUkzmeNa Stc-_8.35a
   prayoge vāruṇe mārge Stk_21.20c	prayoge vAruNe mArge Stc-_21.20c
   prayogo bhuvi durlabhaḥ Stk_21.6d	prayogaH Buvi durlaBaH Stc-_21.6d
   prayogo viṣuvatkāle Stk_21.10c	prayogaH vizuvat-kAle Stc-_21.10c
   pravakṣyāmyanupūrvaśaḥ Stk_10.1b	pravakzyAmi-anupUrvaSas Stc-_10.1b
   pravakṣyāmyanupūrvaśaḥ Stk_10.15b	pravakzyAmi-anupUrvaSas Stc-_10.15b
   pravakṣyāmyanupūrvaśaḥ Stk_18.1b	pravakzyAmi-anupUrvaSas Stc-_18.1b
   prasādārthaṃ mama prabho Stk_1.3d	prasAda-arTam mama praBo Stc-_1.3d
   prasādībhava śūladhṛk Stk_11.1d	prasAdIBava SUlaDRk Stc-_11.1d
   prākṛtairguṇasambhavaiḥ Stk_22.17b	prAkRtEH-guNa-samBavEH Stc-_22.17b
   prāguktaṃ parikalpayet Stk_6.4b	prAk-uktam parikalpayet Stc-_6.4b
   prāṇasaṃśayakārakaḥ Stk_11.15b	prANa-saMSaya-kArakaH Stc-_11.15b
   prāṇastu prathamo vāyur Stk_10.6c	prANaH-tu praTamaH vAyuH Stc-_10.6c
   prāṇaḥ prāṇamayaḥ prāṇo Stk_10.7a	prANaH prANa-mayaH prANaH Stc-_10.7a
   prāṇānusvārasandīptaṃ Stk_21.12c	prANa-anusvAra-sandIptam Stc-_21.12c
   prāṇāyāmaṃ samāsena Stk_11.11a	prANAyAmam samAsena Stc-_11.11a
   prāṇāyāmaḥ sa kumbhakaḥ Stk_11.13d	prANAyAmaH sa kumBakaH Stc-_11.13d
   prāṇāyāmo bhavedeṣa Stk_11.12c	prANAyAmaH Bavet-eza Stc-_11.12c
   prāṇināmurasi sthitaḥ Stk_10.7d	prANinAm-urasi sTitaH Stc-_10.7d
   prāṇo jīvasamāśritaḥ Stk_10.8b	prANaH jIva-sam-ASritaH Stc-_10.8b
   prāṇo 'pānaḥ samānaśca Stk_10.5c	prANaH apAnaH samAnaH-ca Stc-_10.5c
   prāyaścittaviśuddhyartham Stk_8.10c	prAyaScitta-viSudDi-arTam Stc-_8.10c
   prāsādasya tu lakṣaṇam Stk_16.1b	prAsAdasya tu lakzaNam Stc-_16.1b
   prāsādasya ṣaḍānana Stk_16.13b	prAsAdasya zaxAnana Stc-_16.13b
   prāsādaṃ nādamutthāpya Stk_15.1a	prAsAdam nAdam-utTApya Stc-_15.1a
   prāsādaṃ nāmarūpataḥ Stk_22.7b	prAsAdam nAma-rUpataH Stc-_22.7b
   prāsādaṃ ye na budhyanti Stk_15.4c	prAsAdam ye na buDyanti Stc-_15.4c
   prāsādaṃ yo na jānāti Stk_22.2a	prAsAdam yaH na jAnAti Stc-_22.2a
   prāsādaṃ vinyasetpaścād Stk_1.18c	prAsAdam vinyaset-paScAt Stc-_1.18c
   prāsādaṃ ṣaṣṭhasaṃyuktaṃ Stk_19.3a	prAsAdam zazWa-saMyuktam Stc-_19.3a
   prāsādaṃ samyagajñātvā Stk_22.3a	prAsAdam samyak-ajQAtvA Stc-_22.3a
   prāsādaṃ sarvatomukham Stk_9.3d	prAsAdam sarvatomuKam Stc-_9.3d
   prāsādaḥ kathito mayā Stk_15.4b	prAsAdaH kaTitaH mayA Stc-_15.4b
   prāsādaḥ kīdṛśo jñeyo Stk_22.1a	prAsAdaH kIdRSaH jQeyaH Stc-_22.1a
   prāsādātsambhavanti ye Stk_22.9d	prAsAdAt-samBavanti ye Stc-_22.9d
   prāsādābjaśikhāntastho Stk_22.4a	prAsAda-abja-SiKA-anta-sTaH Stc-_22.4a
   prāsādābjasamutpannāḥ Stk_22.11c	prAsAda-abja-samutpannAH Stc-_22.11c
   prāsādena tu ṣaṇmukha Stk_8.10b	prAsAdena tu zaNmuKa Stc-_8.10b
   prāsādena tu homayet Stk_8.9b	prAsAdena tu homayet Stc-_8.9b
   prāsādenaiva kārayet Stk_3.9d	prAsAdena-eva kArayet Stc-_3.9d
   prītervināśakaraṇo Stk_10.12c	prIteH-vinASa-karaNaH Stc-_10.12c
   plutena tu sadā vaśyaṃ Stk_16.3c	plutena tu sadA vaSyam Stc-_16.3c
   phaṭkāreṇa na saṃśayaḥ Stk_16.4b	PawkAreNa na saMSayaH Stc-_16.4b
   phaṭkāro māraṇe smṛtaḥ Stk_16.4d	PawkAraH mAraNe smRtaH Stc-_16.4d
   phaṭ phaṭ phaṭ phaṭ phaḍevaṃ syād Stk_21.21c	Paw Paw Paw Paw Paw-evam syAt Stc-_21.21c
   bahumaṅgalanirghoṣaiḥ Stk_9.5a	bahu-maFgala-nirGozEH Stc-_9.5a
   bindujaḥ puruṣo jñeya Stk_22.9a	bindujaH puruzaH jQeya Stc-_22.9a
   bindunā mūrdhni bhūṣitaḥ Stk_16.2d	bindunA mUrDni BUzitaH Stc-_16.2d
   bindunā sahitā matā Stk_13.8b	bindunA sahitA matA Stc-_13.8b
   binduṃ tadudare kṣiptvā Stk_13.12a	bindum tad-udare kziptvA Stc-_13.12a
   bījāṅkuraṃ purā śaktyā Stk_5.1c	bIja-aFkuram purA SaktyA Stc-_5.1c
   buddhirmanastvahaṅkāraḥ Stk_17.5a	budDiH-manaH-tu-ahaFkAraH Stc-_17.5a
   buddhyahaṅkāramīśvare Stk_17.6d	budDi-ahaFkAram-ISvare Stc-_17.6d
   budhyante naiva mohitāḥ Stk_10.16d	buDyante na-eva mohitAH Stc-_10.16d
   bodhakaḥ sthānamādiśet Stk_23.26d	boDakaH sTAnam-AdiSet Stc-_23.26d
   brahmaghoṣaiśca vividhair Stk_9.5c	brahmaGozEH-ca viviDEH Stc-_9.5c
   brahmajaptena vigraham Stk_3.4d	brahma-japtena vigraham Stc-_3.4d
   brahmaṇi sparśaśabdau tu Stk_17.6a	brahmaNi sparSa-SabdO tu Stc-_17.6a
   brahmaṇo hṛdayaṃ sthānaṃ Stk_23.10c	brahmaNaH hRdayam sTAnam Stc-_23.10c
   brahmapatrapuṭaṃ vātha Stk_9.2c	brahma-patra-puwam vA-aTa Stc-_9.2c
   brahmahatyāśvamedhādyaiḥ Stk_23.25a	brahmahatyA-aSvameDa-AdyEH Stc-_23.25a
   brahmāṇi ca śivaṃ sāṅgaṃ Stk_1.14a	brahmANi ca Sivam sAFgam Stc-_1.14a
   brahmāṇi vinyasettatra Stk_1.18a	brahmANi vinyaset-tatra Stc-_1.18a
   brahmāṇi hrasvāḥ proktāni Stk_1.9c	brahmANi hrasvAH proktAni Stc-_1.9c
   brahmāṇḍe tu nivṛttirvai Stk_8.3a	brahmANxe tu nivRttiH-vE Stj-_8.3a
   brahmādyāñśrāvayedvatsa Stk_8.41a	brahma-AdyAn-SrAvayet-vatsa Stc-_8.41a
   brahmādyāste śivāntakāḥ Stk_8.27d	brahma-AdyAH-te Siva-antakAH Stc-_8.27d
   brahmā viṣṇuśca rudraśca Stk_22.5a	brahmA vizNuH-ca rudraH-ca Stc-_22.5a
   brahmā viṣṇuśca rudraśca Stk_23.9c	brahmA vizNuH-ca rudraH-ca Stc-_23.9c
   brūyadevaṃ jagadgurum Stk_19.8b	brUyadevam jagadgurum Stc-_19.8b
   bhagavandevadeveśa Stk_1.1a	Bagavan-devadeveSa Stc-_1.1a
   bhasmasnānaṃ pravakṣyāmi Stk_4.1a	Basma-snAnam pravakzyAmi Stc-_4.1a
   bhāgatrayaṃ tataḥ kṛtvā Stk_3.3a	BAga-trayam tatas kRtvA Stc-_3.3a
   bhittvā kapāladvāraṃ tu Stk_11.18c	BittvA kapAla-dvAram tu Stc-_11.18c
   bhittvā cordhvaṃ viśeṣataḥ Stk_2.3d	BittvA ca-UrDvam viSezataH Stc-_2.3d
   bhittvārgalāṃ nyasedyoniṃ Stk_8.42c	BittvA-argalAm nyaset-yonim Stc-_8.42c
   bhūtaśuddhistathaiva ca Stk_2.1b	BUtaSudDiH-taTA-eva ca Stc-_2.1b
   bhūtaśuddhiṃ purā kṛtvā Stk_2.1c	BUtaSudDim purA kRtvA Stc-_2.1c
   bhūmiśodhanaṃ kṛtvā Stk_7.1c	BUmi-SoDanam kRtvA Stc-_7.1c
   bhūya eva pravakṣyāmi Stk_21.15c	BUyas eva pravakzyAmi Stc-_21.15c
   bhūyasścāpyāyanaṃ tasya Stk_21.7c	BUyasH-ca-ApyAyanam tasya Stc-_21.7c
   bhogaṃ caiva layaṃ tathā Stk_8.17d	Bogam ca-eva layam taTA Stc-_8.17d
   bhrāmyati paṅkajamadhye kalācatuṣkātmapāśasaṃruddhaḥ Stk_10.21/a	BrAmyati paFkaja-maDye kalA-catuzka-Atma-pASa-saMrudDaH Stc-_10.21/a
   makāro hyabhavattatra Stk_13.5c	makAraH hi-aBavat-tatra Stc-_13.5c
   maṇḍalaṃ sārvakāmikam Stk_7.1b	maNxalam sArvakAmikam Stc-_7.1b
   madhyamā ca tathaiva ca Stk_18.5b	maDyamA ca taTA-eva ca Stc-_18.5b
   madhye tu viṣuvatproktaṃ Stk_11.5c	maDye tu vizuvat-proktam Stc-_11.5c
   madhye padmaṃ pratiṣṭhāpyam Stk_7.3c	maDye padmam pratizWApyam Stc-_7.3c
   manasā manasi cchinne Stk_8.33a	manasA manasi cCinne Stc-_8.33a
   manasi grathitāḥ pāśāḥ Stk_8.31c	manasi graTitAH pASAH Stc-_8.31c
   manastantuvitānitam Stk_8.32b	manaH-tantu-vitAnitam Stc-_8.32b
   mano 'pyanyatra nikṣiptaṃ Stk_23.15c	manaH api-anyatra nikziptam Stc-_23.15c
   mano binduṃ śive tyaktvā Stk_17.6e	manaH bindum Sive tyaktvA Stc-_17.6e
   manovṛttyā manaścchidā Stk_8.32d	manaH-vRttyA manaS=-CidA Stc-_8.32d
   mantratantraṃ carācaram Stk_13.15b	mantra-tantram carAcaram Stc-_13.15b
   mantratantraṃ tvayā proktaṃ Stk_1.1c	mantra-tantram tvayA proktam Stc-_1.1c
   mantramūrtiṃ sadāśivam Stk_1.11d	mantra-mUrtim sadASivam Stc-_1.11d
   mantrasyārghyaṃ ca dāpayet Stk_16.8b	mantrasya-arGyam ca dApayet Stc-_16.8b
   mantrāṇāmamitaujasām Stk_22.10b	mantrANAm-amita-ojasAm Stc-_22.10b
   mantraiḥ sarvaiḥ sakṛdbhasma Stk_4.1c	mantrEH sarvEH sakRt-Basma Stc-_4.1c
   mantraiḥ sarvaiḥ sakṛdvatsa Stk_3.6c	mantrEH sarvEH sakRt-vatsa Stc-_3.6c
   mantroddhārastvayaṃ śubhaḥ Stk_1.14d	mantra-udDAraH-tu-ayam SuBaH Stc-_1.14d
   mayā proktaḥ samāsataḥ Stk_11.19f	mayA proktaH samAsatas Stc-_11.19f
   malasnānaṃ purā kṛtvā Stk_3.2a	mala-snAnam purA kRtvA Stc-_3.2a
   mahāpātakanāśanam Stk_21.2b	mahApAtaka-nASanam Stc-_21.2b
   mātṛkāyāṃ śataṃ hutvā Stk_14.4c	mAtRkAyAm Satam hutvA Stc-_14.4c
   mātṛvatparirakṣati Stk_13.12b	mAtR-vat-parirakzati Stc-_13.12b
   mātrādvādaśake sthitam Stk_1.9b	mAtrA-dvAdaSake sTitam Stc-_1.9b
   māyāvini śaṭhe krūre Stk_14.2a	mAyAvini SaWe krUre Stc-_14.2a
   mārutā nava śaktyādyā Stk_22.11a	mArutA nava Sakti-AdyA Stc-_22.11a
   muktidaṃ paramaṃ kiṃ ca Stk_1.5c	mukti-dam paramam kim ca Stc-_1.5c
   muktvā hṛdayapadmaṃ tu Stk_11.17c	muktvA hRdaya-padmam tu Stc-_11.17c
   mukhaṃ tatpuruṣeṇa tu Stk_4.3b	muKam tatpuruzeNa tu Stc-_4.3b
   mucyate nātra saṃśayaḥ Stk_15.3b	mucyate na-atra saMSayaH Stc-_15.3b
   mucyate nātra saṃśayaḥ Stk_20.6b	mucyate na-atra saMSayaH Stc-_20.6b
   mucyate sa dhruvaṃ guha Stk_20.8b	mucyate sa Druvam guha Stc-_20.8b
   muñcedvāyuṃ tataścordhvaṃ Stk_11.14a	muQcet-vAyum tatas-ca-UrDvam Stc-_11.14a
   mudrābandhaṃ tu kārayet Stk_1.16d	mudrA-banDam tu kArayet Stc-_1.16d
   munayaḥ saṃśitavratāḥ Stk_22.6d	munayaH saMSita-vratAH Stc-_22.6d
   muṣṭinā yāvatsthānaṃ tan Stk_8.27a	muzwinA yAvat-sTAnam tat Stc-_8.27a
   muhūrte karaṇānvite Stk_9.4d	muhUrte karaNa-anvite Stc-_9.4d
   mūtraśuklamalānvāyur Stk_10.9c	mUtra-Sukla-mala-an-vAyuH Stc-_10.9c
   mūrtestu grahaṇaṃ bhavet Stk_2.10b	mUrteH-tu grahaNam Bavet Stc-_2.10b
   mūrdhanyākrāna oṃkāre Stk_13.7c	mUrDanyAkrAnaH oMkAre Stc-_13.7c
   mūrdhna ārabhya mantravit Stk_4.2d	mUrDnaH AraBya mantra-vid Stc-_4.2d
   mūrdhna ārabhya vinyaset Stk_2.10d	mUrDnaH AraBya vinyaset Stc-_2.10d
   mūrdhni tasya bhavedyāsau Stk_13.5a	mUrDni tasya Bavet-ya-asO Stc-_13.5a
   mṛṇmayaṃ kalaśaṃ hyekaṃ Stk_9.2a	mRNmayam kalaSam hi-ekam Stc-_9.2a
   mṛtasyāpi na muñcati Stk_10.13f	mRtasya-api na muQcati Stc-_10.13f
   mṛdā astreṇa mantravit Stk_3.1d	mRdA astreNa mantra-vid Stc-_3.1d
   mokṣa ityabhidhīyate Stk_19.12d	mokzaH iti-aBiDIyate Stc-_19.12d
   mokṣadaśca paraḥ smṛtaḥ Stk_23.25d	mokza-daH-ca paraH smRtaH Stc-_23.25d
   mokṣadastu paraṃ tattvaṃ Stk_23.26e	mokza-daH-tu param tattvam Stc-_23.26e
   mokṣadaṃ tanna saṃśayaḥ Stk_8.30b	mokza-dam tat-na saMSayaH Stc-_8.30b
   mlecchāḥ prākṛtabhāṣiṇaḥ Stk_1.6d	mlecCAH prAkRta-BAziNaH Stc-_1.6d
   yakāreṇa ca dīpitaḥ Stk_21.17b	yakAreNa ca dIpitaH Stc-_21.17b
   yajanaṃ saṃpravakṣyāmi Stk_5.1a	yajanam saMpravakzyAmi Stc-_5.1a
   yajjñātvāmṛtamaśnute Stk_23.26f	yat-jQAtvA-amRtam-aSnute Stc-_23.26f
   yajñakarmavidhiṃ kuryāt Stk_7.6a	yajQa-karma-viDim kuryAt Stc-_7.6a
