   Rcūm, 3	RcUm, 3
   brahmakṣatriyaviṭśūdraṃ svasvavarṇaphalapradam // Rcūm_12.24 //	brahma-kzatriya-viS-SUdram sva-sva-varNa-Pala-pradam // RcUm_12.24 //
   uttamottamavarṇaṃ hi nīcavarṇe phalapradam /	uttama-uttama-varNam hi nIca-varNe Pala-pradam /
   nyāyo'yaṃ bhairaveṇoktaṃ padārtheṣvakhileṣvapi // Rcūm_12.25 //	nyAyaH-ayam BEraveNa-uktam padArTezu-aKilezu-api // RcUm_12.25 //
   {vajra:: medic. properties}	{vajra:: medic. properties}
   āyuṣpradaṃ jhaṭiti sadguṇadaṃ ca vṛṣyaṃ doṣatrayapraśamanaṃ	Ayuzpradam Jawiti sat-guNa-dam ca vRzyam dozatraya-praSamanam
   sakalāmayaghnam /	sakala-Amaya-Gnam /
   sūtendrabandhavadhasadguṇakṛt pradīpi mṛtyuṃ jayed amṛtopamayeva vajram //	sUtendra-banDa-vaDa-sat-guNa-kRt pradIpi mRtyum jayet amRta-upamayA-iva vajram //
   Rcūm_12.26 //	RcUm_12.26 //
   {jewels:: pañcadoṣa}	{jewet-s:: paQca-doza}
   grāsastrāsaśca binduśca rekhā ca jalagarbhatā /	grAsaH-trAsaH-ca binduH-ca reKA ca jala-garBa-tA /
   sarvaratneṣvamī pañca doṣāḥ sādhāraṇā matāḥ // Rcūm_12.27 //	sarva-ratnezu-amI paQca dozAH sADAraNAH matAH // RcUm_12.27 //
   kṣetratoyabhavā doṣā ratneṣu na laganti ca /	kzetra-toya-BavAH dozAH ratnezu na laganti ca /
   bhairavastu punaḥ prāha doṣo doṣe'sti sarvathā // Rcūm_12.28 //	BEravaH-tu punar prAha dozaH doze-asti sarvaTA // RcUm_12.28 //
   {vajra:: śodhana}	{vajra:: SoDana}
   kulatthakvāthake svinnaṃ kodravakvathitena vā /	kulatTa-kvATake svinnam kodrava-kvaTitena vA /
   ekayāmāvadhi svinnaṃ vajraṃ śudhyati niścitam // Rcūm_12.29 //	eka-yAma-avaDi svinnam vajram SuDyati niScitam // RcUm_12.29 //
   {vajra:: māraṇa}	{vajra:: mAraNa}
   vajraṃ matkuṇarakteṇa caturvāraṃ vibhāvitam /	vajram matkuNa-rakteNa catur-vAram viBAvitam /
   sugandhamūṣikāmāṃsair vartitaiḥ pariveṣṭya ca // Rcūm_12.30 //	suganDa-mUzikA-mAMsEH vartitEH parivezwya ca // RcUm_12.30 //
   puṭet puṭairvarāhākhyaistriṃśadvāraṃ tataḥ param /	puwet puwEH-varAha-AKyEH-triMSat-vAram tatas param /
   dhmātvā dhmātvā śataṃ vārān kulatthakvāthake kṣipet // Rcūm_12.31 //	DmAtvA DmAtvA Satam vArAn kulatTa-kvATake kzipet // RcUm_12.31 //
   anyairuktaṃ śataṃ vārān kartavyo'yaṃ vidhikramaḥ /	anyEH-uktam Satam vArAn kartavyaH-ayam viDi-kramaH /
   {vajra:: māraṇa:: vāritara}	{vajra:: mAraNa:: vAritara}
   kulatthakvāthasaṃyuktalakucadravapiṣṭayā // Rcūm_12.32 //	kulatTa-kvATa-saMyukta-lakuca-drava-pizwayA // RcUm_12.32 //
   śilayā liptamūṣāyāṃ vajraṃ kṣiptvā nirudhya ca /	SilayA liptamUzAyAm vajram kziptvA niruDya ca /
   aṣṭavāraṃ puṭet samyagviśuṣkair vanakotpalaiḥ // Rcūm_12.33 //	azwa-vAram puwet samyak-viSuzkEH vanaka-utpalEH // RcUm_12.33 //
   śatavāraṃ tato dhmātvā nikṣiptaṃ śuddhapārade /	Sata-vAram tatas DmAtvA nikziptam SudDa-pArade /
   niścitaṃ mriyate vajraṃ bhasma vāritaraṃ bhavet // Rcūm_12.34 //	niScitam mriyate vajram Basma vAritaram Bavet // RcUm_12.34 //
   satyavāk somasenānīr etadvajrasya māraṇam /	satya-vAc somasenAnIH etat-vajrasya mAraNam /
   dṛṣṭapratyayasaṃyuktamuktavān rasakautukī // Rcūm_12.35 //	dRzwa-pratyaya-saMyuktam-uktavAn rasa-kOtukI // RcUm_12.35 //
   {vajra:: māraṇa}	{vajra:: mAraNa}
   viliptaṃ matkuṇasyāsraiḥ saptavāraṃ viśoṣitam /	viliptam matkuNasya-asrEH sapta-vAram viSozitam /
   kāsamardarasāpūrṇalohapātre niveśitam // Rcūm_12.36 //	kAsamarda-rasa-ApUrNa-loha-pAtre niveSitam // RcUm_12.36 //
   saptavāraṃ paridhmātaṃ vajrabhasma bhavet khalu /	sapta-vAram pariDmAtam vajra-Basma Bavet Kalu /
   brahmajyotirmunīndreṇa kramo'yaṃ parikīrtitaḥ // Rcūm_12.37 //	brahma-jyotiH-muni-indreNa kramaH-ayam parikIrtitaH // RcUm_12.37 //
   {vajra:: māraṇa}	{vajra:: mAraNa}
   nīlajyotirlatākande ghṛṣṭaṃ gharme viśoṣitam /	nIla-jyotiH-latA-kande GRzwam Garme viSozitam /
   vajraṃ bhasmatvamāyāti karmavajjñānavahninā // Rcūm_12.38 //	vajram Basma-tvam-AyAti karma-vat-jQAna-vahninA // RcUm_12.38 //
   {vajra:: māraṇa}	{vajra:: mAraNa}
   madanasya phalodbhūtarasena kṣoṇināgakaiḥ /	madanasya Pala-udBUta-rasena kzoNinAgakEH /
   kṛtakalkena saṃlipya puṭed viṃśativārakam // Rcūm_12.39 //	kRta-kalkena saMlipya puwet viMSati-vArakam // RcUm_12.39 //
   tadvajraṃ cūrṇayitvātha kiṃciṭ ṭaṅkaṇasaṃyutam // Rcūm_12.40 //	tat-vajram cUrNayitvA-aTa kiMcid waFkaNa-saMyutam // RcUm_12.40 //
   kharabhūnāgasattvena viṃśenāvartayed dhruvam /	Kara-BUnAga-sattvena viMSena-Avartayet Druvam /
   tulyasvarṇena taddhmātaṃ yojanīyaṃ rasādiṣu // Rcūm_12.41 //	tulya-svarNena tat-DmAtam yojanIyam rasa-Adizu // RcUm_12.41 //
   triguṇena rasenaiva vimardya guṭikīkṛtam /	triguNena rasena-eva vimardya guwikIkRtam /
   mukhe dhṛtaṃ karotyāśu caladantavibandhanam // Rcūm_12.42 //	muKe DRtam karoti-ASu cala-danta-vibanDanam // RcUm_12.42 //
   {vajra:: mṛta:: medic. use}	{vajra:: mRta:: medic. use}
   triṃśadbhāgamitaṃ hi vajrabhasitaṃ svarṇaṃ kalābhāgikaṃ tāraṃ cāṣṭaguṇaṃ	triMSat-BAga-mitam hi vajra-Basitam svarNam kalA-BAgikam tAram ca-azwaguNam
   śivāmṛtavaraṃ rudrāṃśakaṃ cābhrakam /	Siva-amRta-varam rudra-aMSakam ca-aBrakam /
   pādāṃśaṃ khalu tāpyakaṃ vasuguṇaṃ vaikrāntakaṃ ṣaḍguṇaṃ	pAda-aMSam Kalu tApyakam vasu-guNam vEkrAntakam zaxguNam
   bhāgo'pyuktarasādraso'yamuditaḥ ṣāḍguṇyasaṃsiddhaye // Rcūm_12.43 //	BAgaH-api-ukta-rasAt-rasaH-ayam-uditaH zAxguNya-saMsidDaye // RcUm_12.43 //
   {sapphire:: subtpyes}	{sa-pPire:: subtpyes}
   jalanīlendranīlaṃ ca śakranīlaṃ tayorvaram /	jalanIla-indranIlam ca SakranIlam tayoH-varam /
   {jalanīla:: parīkṣā}	{jala-nIla:: parIkzA}
   śvaityagarbhitanīlābhaṃ laghu tajjalanīlakam /	SvEtya-garBita-nIla-ABam laGu tad-jalanIlakam /
   {indranīla:: parīkṣā}	{indranIla:: parIkzA}
   kārṣṇyagarbhitanīlābhaṃ sabhāraṃ śakranīlakam // Rcūm_12.44 //	kArzNya-garBita-nIla-ABam sa-BAram SakranIlakam // RcUm_12.44 //
   {sapphire:: parīkṣā:: good quality}	{sa-pPire:: parIkzA:: good quality}
   ekacchāyaṃ guru snigdhaṃ svacchaṃ piṇḍitavigraham /	ekacCAyam guru snigDam svacCam piNxita-vigraham /
   mṛdu madhyollasajjyotiḥ saptadhā nīlamuttamam // Rcūm_12.45 //	mRdu maDya-ullasat-jyotiH saptaDA nIlam-uttamam // RcUm_12.45 //
   {jalanīla:: parīkṣā}	{jala-nIla:: parIkzA}
   komalaṃ vihitaṃ varṇaṃ nirbhāraṃ raktagandhi ca /	komalam vihitam varNam nirBAram rakta-ganDi ca /
   cipiṭābhaṃ sarūkṣaṃ ca jalanīlaṃ ca saptadhā // Rcūm_12.46 //	cipiwa-ABam sa-rUkzam ca jalanIlam ca saptaDA // RcUm_12.46 //
   {sapphire:: medic. properties}	{sa-pPire:: medic. properties}
   kāsaśvāsaharaṃ vṛṣyaṃ tridoṣaghnaṃ sudīpanam /	kAsa-SvAsa-haram vRzyam tridoza-Gnam su-dIpanam /
   viṣamajvaradurnāmapāpaghnaṃ nīlamīritam // Rcūm_12.47 //	vizamajvara-durnAma-pApa-Gnam nIlam-Iritam // RcUm_12.47 //
   {gomeda:: nirukti}	{gomeda:: nirukti}
   gomedaḥsamarāgatvād gomedaṃ ratnamucyate /	gomedaH-sama-rAga-tvAt gomedam ratnam-ucyate /
   {gomeda:: parīkṣā:: good quality}	{gomeda:: parIkzA:: good quality}
   susvacchagojalacchāyaṃ svacchaṃ snigdhaṃ samaṃ guru /	su-svacCa-go-jala=-CAyam svacCam snigDam samam guru /
   nirdalaṃ masṛṇaṃ dīptaṃ śastaṃ gomedamaṣṭadhā // Rcūm_12.48 //	nirdalam masRNam dIptam Sastam gomedam-azwaDA // RcUm_12.48 //
   {gomeda:: parīkṣā:: bad quality}	{gomeda:: parIkzA:: bat quality}
   vicchāyaṃ laghu rūkṣāṅgaṃ cipiṭaṃ paṭalānvitam /	vicCAyam laGu rUkza-aFgam cipiwam pawala-anvitam /
   niṣprabhaṃ pītakācābhaṃ gomedaṃ na śubhāvaham // Rcūm_12.49 //	nizpraBam pIta-kAca-ABam gomedam na SuBa-Avaham // RcUm_12.49 //
   {gomeda:: medic. properties}	{gomeda:: medic. properties}
   gomedaṃ kaphapittaghnaṃ kṣayapāṇḍukṣayaṃkaram /	gomedam kaPa-pitta-Gnam kzaya-pANxu-kzayaMkaram /
   dīpanaṃ pācanaṃ rucyaṃ tvacyaṃ buddhiprabodhanam // Rcūm_12.50 //	dIpanam pAcanam rucyam tvacyam budDi-praboDanam // RcUm_12.50 //
   {vaiḍūrya:: parīkṣā:: good quality}	{vExUrya:: parIkzA:: good quality}
   vaiḍūryaṃ śyāmaśubhrābhaṃ samaṃ svacchaṃ guru sphuṭam /	vExUryam SyAma-SuBra-ABam samam svacCam guru sPuwam /
   bhramacchubhrottarīyeṇa garbhitaṃ śubhamīritam // Rcūm_12.51 //	Bramat-SuBra-uttarIyeNa garBitam SuBam-Iritam // RcUm_12.51 //
   {vaiḍūrya:: parīkṣā:: bad quality}	{vExUrya:: parIkzA:: bat quality}
   śyāmaṃ toyasamacchāyaṃ cipiṭaṃ laghu karkaśam /	SyAmam toya-sama=-CAyam cipiwam laGu karkaSam /
   raktagarbhottarīyaṃ ca vaiḍūryaṃ naiva śasyate // Rcūm_12.52 //	raktagarBa-uttarIyam ca vExUryam na-eva Sasyate // RcUm_12.52 //
   {vaiḍūrya:: medic. properties}	{vExUrya:: medic. properties}
   vaiḍūryaṃ raktapittaghnaṃ prajñāyurbalavardhanam /	vExUryam raktapitta-Gnam prajQA-AyuH-bala-varDanam /
   pittapradhānarogaghnaṃ dīpanaṃ malamocanam // Rcūm_12.53 //	pitta-praDAna-roga-Gnam dIpanam malamocanam // RcUm_12.53 //
   {jewels:: śodhana}	{jewels:: SoDana}
   śudhyatyamlena māṇikyaṃ jayantyā mauktikaṃ tathā /	SuDyati-amlena mANikyam jayantyA mOktikam taTA /
   vidrumaṃ kṣāravargeṇa tārkṣyaṃ godugdhatastathā // Rcūm_12.54 //	vidrumam kzAravargeNa tArkzyam go-dugDataH-taTA // RcUm_12.54 //
   puṣparāgaṃ ca dhānyāmlaiḥ kulatthakvāthasaṃyutaiḥ /	puzparAgam ca DAnyAmlEH kulatTa-kvATa-saMyutEH /
   taṇḍulīyajalairvajraṃ nīlaṃ nīlīrasena ca /	taNxulIya-jalEH-vajram nIlam nIlI-rasena ca /
   rocanābhiśca gomedaṃ vaiḍūryaṃ triphalājalaiḥ // Rcūm_12.55 //	rocanABiH-ca gomedam vExUryam triPalA-jalEH // RcUm_12.55 //
   {jewels:: māraṇa}	{jewet-s:: mAraNa}
   lakucadrāvasampiṣṭaiḥ śilāgandhakatālakaiḥ /	lakuca-drAva-sampizwEH SilA-ganDaka-tAlakEH /
   vajraṃ vinānyaratnāni mriyante'ṣṭapuṭaiḥ khalu // Rcūm_12.56 //	vajram vinA-anya-ratnAni mriyante-azwa-puwEH Kalu // RcUm_12.56 //
   {jewels:: druti}	{jewels:: druti}
   rāmaṭhaṃ pañcalavaṇaṃ kṣārāṇāṃ tritayaṃ tathā /	rAmaWam paQcalavaNam kzArANAm tritayam taTA /
   māṃsadrāvyamlavetaśca cūlikālavaṇaṃ tathā // Rcūm_12.57 //	mAMsa-drAvI-amlavetaH-ca cUlikA-lavaNam taTA // RcUm_12.57 //
   sthalakumbhīphalaṃ pakvaṃ tathā jvālāmukhī śubhā /	sTalakumBI-Palam pakvam taTA jvAlAmuKI SuBA /
   dravantī ca rudantī ca payasyā citramūlakam // Rcūm_12.58 //	dravantI ca rudantI ca payasyA citra-mUlakam // RcUm_12.58 //
   dugdhaṃ snuhyāstathārkasya sarvaṃ saṃmardyaṃ yatnataḥ /	dugDam snuhyAH-taTA-arkasya sarvam saMmardyam yatnataH /
   golaṃ vidhāya tanmadhye prakṣipettadanantaram // Rcūm_12.59 //	golam viDAya tad-maDye prakzipet-tad-anantaram // RcUm_12.59 //
   guṇavantyeva ratnāni jātimanti śubhāni ca /	guNavanti-eva ratnAni jAtimanti SuBAni ca /
   bhūrje taṃ golakaṃ kṛtvā sūtreṇāveṣṭya yatnataḥ // Rcūm_12.60 //	BUrje tam golakam kRtvA sUtreNa-Avezwya yatnatas // RcUm_12.60 //
   punarvastreṇa saṃveṣṭya dolāyantre nidhāya ca /	punar-vastreNa saMvezwya dolAyantre niDAya ca /
   sarvāmlayuktasaṃdhānaparipūrṇaghaṭodare // Rcūm_12.61 //	sarva-amla-yukta-saMDAna-paripUrNa-Gawa-udare // RcUm_12.61 //
   ahorātratrayaṃ yāvatsvedayettīvravahninā /	ahorAtra-trayam yAvat-svedayet-tIvra-vahninA /
   tasmādāhṛtya saṃkṣālya ratnajāṃ drutimāharet // Rcūm_12.62 //	tasmAt-AhRtya saMkzAlya ratna-jAm drutim-Aharet // RcUm_12.62 //
   ratnatulyaprabhā laghvī dehalohakarī śubhā /	ratna-tulya-praBA laGvI deha-loha-karI SuBA /
   durmelā rasarājena naikatvaṃ yāti tena sā // Rcūm_12.63 //	durmelA rasarAjena na-ekatvam yAti tena sA // RcUm_12.63 //
   rāmaṭhādikavargeṇa pramilati na saṃśayaḥ /	rAmaWa-Adika-vargeNa pramilati na saMSayaH /
   suprasanne mahādeve drutiḥ kasya na sidhyati // Rcūm_12.64 //	su-prasanne mahAdeve drutiH kasya na siDyati // RcUm_12.64 //
   durlabhā vaiṣṇavī bhaktirdurlabhaṃ rasabandhanam /	durlaBA vEzNavI BaktiH-durlaBam rasa-banDanam /
   durlabhātra drutirloke svalpabhāgyavatāṃ nṛṇām // Rcūm_12.65 //	durlaBA-atra drutiH-loke su-alpa-BAgyavatAm nRNAm // RcUm_12.65 //
   sūryādigrahanigrahāpaharaṇaṃ dīrghāyurārogyadaṃ	sUrya-Adi-graha-nigraha-apaharaNam dIrGa-AyuH-Arogya-dam
   saubhāgyodayabhāgyavaśyavibhavotsāhapradaṃ dhairyakṛt /	sOBAgya-udaya-BAgya-vaSya-viBava-utsAha-pradam DErya-kRt /
   duḥchāyāṃcaladhūlisaṅgatibhavālakṣmīharaṃ sarvadā ratnānāṃ paridhāraṇaṃ	duHCAyAMcala-DUli-saFgatiBava-alakzmI-haram sarvadA ratnAnAm pariDAraNam
   nigaditaṃ bhūtādinirṇāśanam // Rcūm_12.66 //	nigaditam BUta-Adi-nirNASanam // RcUm_12.66 //
   ratnānām guṇagrāmaṃ samagraṃ cāgraṇīḥ satām /	ratnAnAm guNa-grAmam samagram ca-agraNIH satAm /
   suratnamabravīt somo neti yadguṇitaṃ guṇī // Rcūm_12.67 //	su-ratnam-abravIt somaH na-iti yat-guNitam guNI // RcUm_12.67 //
   varṇalakṣasaṃjātiyuktaṃ ratnaṃ phalapradam /	varNa-lakza-saMjAti-yuktam ratnam Pala-pradam /
   rase rasāyane dāne dhāraṇe cānyathānyathā // Rcūm_12.68 //	rase rasAyane dAne DAraNe ca-anyaTA-anyaTA // RcUm_12.68 //
   Rcūm, 13	RcUm, 13
   {māṇikyarasāyana}	{mANikya-rasAyana}
   sujātiguṇamāṇikyabhasma karṣamitaṃ śubham /	su-jAti-guNa-mANikya-Basma karza-mitam SuBam /
   kanakābhrakatāmrāṇāṃ kāntasya bhasitaṃ pṛthak // Rcūm_13.1 //	kanaka-aBraka-tAmrANAm kAntasya Basitam pRTak // RcUm_13.1 //
   triguṇatvena saṃvṛddhaṃ mardayet samagandhakaiḥ /	triguNa-tvena saMvRdDam mardayet sama-ganDakEH /
   puṭedvanagiriṇḍaiśca pañcavārāṇi yatnataḥ // Rcūm_13.2 //	puwet-vana-giriNxEH-ca paQca-vArANi yatnatas // RcUm_13.2 //
   evaṃ śilālakābhyāṃ ca puṭennīlāñjanena ca /	evam SilA-alakAByAm ca puwet-nIlAQjanena ca /
   tulyagandhāśmasūtābhyāṃ vihitāṃ kajjalīṃ śubhām // Rcūm_13.3 //	tulya-ganDASma-sUtAByAm vihitAm kajjalIm SuBAm // RcUm_13.3 //
   tatastāṃ kajjalīṃ yatnād gṛhītvā tadanantaram /	tatas-tAm kajjalIm yatnAt gRhItvA tad-anantaram /
   lohapātre paridrāvya bādareṇālpavahninā // Rcūm_13.4 //	loha-pAtre paridrAvya bAdareNa-alpa-vahninA // RcUm_13.4 //
   māṇikyādīni bhasmāni kṣiptvā tatra vimiśrayet /	mANikya-AdIni BasmAni kziptvA tatra vimiSrayet /
   athārdrakarasaistāṃ tu mardayitvātha kajjalīm // Rcūm_13.5 //	aTa-Ardraka-rasEH-tAm tu mardayitvA-aTa kajjalIm // RcUm_13.5 //
   samyak śuṣkaṃ vicūrṇyātha kṣipedramyakaraṇḍake /	samyak Suzkam vicUrNya-aTa kzipet-ramya-karaNxake /
   vyoṣājyasammitaṃ hyetanmāṇikyādyaṃ rasāyanam // Rcūm_13.6 //	vyoza-Ajya-sammitam hi-etat-mANikya-Adyam rasAyanam // RcUm_13.6 //
   vyoṣājyasahitaṃ līḍhaṃ ṣaṇmāsaṃ pathyabhojinā /	vyoza-Ajya-sahitam lIXam zaz-mAsam paTya-BojinA /
   nihanti sakalān rogān jarāpalitasaṃyutān // Rcūm_13.7 //	nihanti sakalAn rogAn jarA-palita-saMyutAn // RcUm_13.7 //
   jīvedvarṣaśataṃ caiva trivārakṛtabhojanaḥ /	jIvet-varza-Satam ca-eva tri-vAra-kRta-BojanaH /
   kṣayādijān gadān sarvāṃstattadrogānupānataḥ // Rcūm_13.8 //	kzaya-Adi-jAn gadAn sarvAn=-tad-tad-roga-anupAnataH // RcUm_13.8 //
   {mauktikarasāyanam}	{mOktika-rasAyanam}
   jayantīrasaniṣpiṣṭaṃ śukapicchena māritam /	jayantI-rasa-nizpizwam SukapicCena mAritam /
   mauktikaṃ rasamātraṃ hi dviguṇaṃ svarṇabhasmakam // Rcūm_13.9 //	mOktikam rasa-mAtram hi dviguNam svarNa-Basmakam // RcUm_13.9 //
   triguṇaṃ kāntajaṃ bhasma vyomasattvaṃ caturguṇam /	triguNam kAnta-jam Basma vyoma-sattvam caturguNam /
   dattvā ca gandhasaubhāgyaṃ śṛṅgavereṇa bhāvitam // Rcūm_13.10 //	dattvA ca ganDa-sOBAgyam SRFgavereNa BAvitam // RcUm_13.10 //
   puṭed viṃśativārāṇi vidrāvya paṭagālitam /	puwet viMSati-vArANi vidrAvya pawa-gAlitam /
   sarvatulyena balinā rasena kṛtakajjalīm // Rcūm_13.11 //	sarva-tulyena balinA rasena kRta-kajjalIm // RcUm_13.11 //
   vidrāvya pūrvavad bhasma muktādīnāṃ parikṣipet /	vidrAvya pUrvavat Basma mukta-AdInAm parikzipet /
   vimiśrya nikṣipettatra kṣīraṃ chāgīsamudbhavam // Rcūm_13.12 //	vimiSrya nikzipet-tatra kzIram CAgI-samudBavam // RcUm_13.12 //
   saṃśoṣitaṃ vicūrṇyātha kācakūpyāṃ vinikṣipet /	saMSozitam vicUrNya-aTa kAca-kUpyAm vinikzipet /
   pippalīmadhunā sārdhaṃ sevitaṃ vallamātrayā // Rcūm_13.13 //	pippalI-maDunA sArDam sevitam valla-mAtrayA // RcUm_13.13 //
   rasāyanavidhānena kurute vatsareṇa hi /	rasAyana-viDAnena kurute vatsareNa hi /
   valīpalitanirmuktaṃ vārdhakyena vivarjitam // Rcūm_13.14 //	valI-palita-nirmuktam vArDakyena vivarjitam // RcUm_13.14 //
   śrotradantādisampannaṃ śatāyuṣkaṃ sacakṣuṣam /	Srotra-danta-Adi-sampannam Sata-Ayuzkam sa-cakzuzam /
   mattadantibalopetaṃ vivāde vijayānvitam // Rcūm_13.15 //	matta-danti-bala-upetam vivAde vijaya-anvitam // RcUm_13.15 //
   līḍhaṃ madhvājyatailaiśca kaṇopetāśvagandhayā /	lIXam maDu-Ajya-tElEH-ca kaNA-upeta-aSvaganDayA /
   kṣayarogaṃ nihantyeva maṇḍalārdhena niścitam // Rcūm_13.16 //	kzaya-rogam nihanti-eva maNxala-arDena niScitam // RcUm_13.16 //
   tattadrogānupānaiśca nihanti sakalāmayān /	tad-tad-roga-anupAnEH-ca nihanti sakala-AmayAn /
   vandhyāputrapradaṃ hyetat sūtikāmayanāśanam // Rcūm_13.17 //	vanDyA-putra-pradam hi-etat sUtikA-Amaya-nASanam // RcUm_13.17 //
   bālānāṃ paramaṃ pathyaṃ vṛṣyamāyuṣyamuttamam /	bAlAnAm paramam paTyam vRzyam-Ayuzyam-uttamam /
   nāgodaropaviṣṭaṃ ca hanti strīṇāṃ ca vegataḥ // Rcūm_13.18 //	nAgodara-upavizwam ca hanti strINAm ca vegataH // RcUm_13.18 //
   haiyaṅgavīnasaṃyuktaṃ tavarājena saṃyutam /	hEyaFga-vIna-saMyuktam tavarAjena saMyutam /
   garbhiṇīsarvarogeṣu praśastaṃ parikīrtitam // Rcūm_13.19 //	garBiNI-sarva-rogezu praSastam parikIrtitam // RcUm_13.19 //
   {pravālarasayana}	{pravAla-rasayana}
   catuṣpalaṃ pravālasya bhasmano mṛtatārakam /	catuzpalam pravAlasya BasmanaH mRta-tArakam /
   tatsamaṃ dviguṇaṃ tāmraṃ pravālādardhamākṣikam // Rcūm_13.20 //	tad-samam dviguNam tAmram pravAlAt-arDa-mAkzikam // RcUm_13.20 //
   triṃśadvibhāgikaṃ vajraṃ ṣoḍaśāṃśaṃ ca nīlakam /	triMSat-viBAgikam vajram zoxaSa-aMSam ca nIlakam /
   vyomasattvaṃ samaṃ sarvaistālakaṃ sarvataḥ samam // Rcūm_13.21 //	vyoma-sattvam samam sarvEH-tAlakam sarvatas samam // RcUm_13.21 //
   vimardya luṅgatoyena yāvaddinacatuṣṭayam /	vimardya luFga-toyena yAvat-dina-catuzwayam /
   sarvārdhaśuddhasūtena tasmād dviguṇagandhakaiḥ // Rcūm_13.22 //	sarva-arDa-SudDa-sUtena tasmAt dviguNa-ganDakEH // RcUm_13.22 //
   vihitāṃ kajjalīṃ samyak drāvayitvā yathā purā /	vihitAm kajjalIm samyak drAvayitvA yaTA purA /
   pravālādīni bhasmāni vinikṣipya vimiśrya ca // Rcūm_13.23 //	pravAla-AdIni BasmAni vinikzipya vimiSrya ca // RcUm_13.23 //
   nirvāpya goghṛte samyag dvādaśābdapurātane /	nirvApya go-GRte samyak dvAdaSa-abda-purAtane /
   śarāvasampuṭe ruddhvā ghṛtāktaṃ svedayecchanaiḥ // Rcūm_13.24 //	SarAva-sampuwe rudDvA GRta-aktam svedayet-SanEs // RcUm_13.24 //
   vicūrṇya bhāvayedbhṛṅgarasairvārāṇi sapta ca /	vicUrNya BAvayet-BRFga-rasEH-vArANi sapta ca /
   vyoṣājyasahitaṃ hanti jūrtirogaṃ dinaistribhiḥ // Rcūm_13.25 //	vyoza-Ajya-sahitam hanti jUrti-rogam dinEH-triBiH // RcUm_13.25 //
   kṣayaṃ ca maṇḍalārdhena grahaṇīṃ pāṇḍukāmale /	kzayam ca maNxala-arDena grahaNIm pANxu-kAmale /
   kumbhakāmalikārogam udāvartaṃ mahodaram // Rcūm_13.26 //	kumBa-kAmalikA-rogam udAvartam mahodaram // RcUm_13.26 //
   pramehaṃ medaso vṛddhiṃ vātavyādhiṃ kaphāmayam /	prameham medasaH vRdDim vAta-vyADim kaPa-Amayam /
   gudarogaṃ ca mandāgniṃ mūtravātamaśeṣataḥ // Rcūm_13.27 //	guda-rogam ca manda-agnim mUtra-vAtam-aSezatas // RcUm_13.27 //
   smaramandirajavyādhiṃ vandhyārogāṃs tvagāmayān /	smara-mandira-ja-vyADim vanDyA-rogAn tvac-AmayAn /
   vyoṣājyacitratoyaiśca hyanupānamaśeṣataḥ // Rcūm_13.28 //	vyoza-Ajya-citra-toyEH-ca hi-anupAnam-aSezatas // RcUm_13.28 //
   bhūyo bhūyo visūcyartir dehino yasya jāyate /	BUyas BUyas visUcI-artiH dehinaH yasya jAyate /
   raso'yaṃ tasya dātavyo maṇḍalānāṃ trayaṃ khalu /	rasaH-ayam tasya dAtavyaH maNxalAnAm trayam Kalu /
   āmaroge ca dātavyo bhiṣagbhirvatsarāvadhi // Rcūm_13.29 //	Ama-roge ca dAtavyaH BizagBiH-vatsara-avaDi // RcUm_13.29 //
   {tārkṣyarasāyana}	{tArkzya-rasAyana}
   tārkṣyabhasma tu śāṇaikaṃ vajrabhasma tadardhakam /	tArkzya-Basma tu SANa-ekam vajra-Basma tad-arDakam /
   mṛtasvarṇārkakāntānāṃ niṣkadvayamitaṃ pṛthak // Rcūm_13.30 //	mRta-svarNa-arka-kAntAnAm nizka-dvaya-mitam pRTak // RcUm_13.30 //
   lohabhasma mṛtaṃ sūtaṃ sarvamekatra mardayet /	loha-Basma mRtam sUtam sarvam-ekatra mardayet /
   puṭedviṃśativārāṇi puṭaiḥ kukkuṭasaṃjñakaiḥ // Rcūm_13.31 //	puwet-viMSati-vArANi puwEH kukkuwa-saMjQakEH // RcUm_13.31 //
   amṛtāmbusamāyuktaiḥ śilāgandhakatālakaiḥ /	amRta-ambu-samAyuktEH SilA-ganDaka-tAlakEH /
   saptavāraṃ dravaiḥ sārdhaṃ daśabhiḥ piṣṭakaiḥ puṭet // Rcūm_13.32 //	sapta-vAram dravEH sArDam daSaBiH pizwakEH puwet // RcUm_13.32 //
   evaṃ siddhaṃ prabhāvāḍhyaṃ tārkṣyaṃ nāma rasāyanam /	evam sidDam praBAva-AXyam tArkzyam nAma rasAyanam /
   citrakārdrakarasopetaṃ pītaṃ rājikayā mitam // Rcūm_13.33 //	citraka-Ardraka-rasa-upetam pItam rAjikayA mitam // RcUm_13.33 //
   tridoṣajān gadānsarvān kaphavātodbhavānapi /	tridoza-jAn gadAn-sarvAn kaPa-vAta-udBavAn-api /
   asādhyān sarvavaidyānāṃ bheṣajānāṃ ca koṭibhiḥ /	asADyAn sarva-vEdyAnAm BezajAnAm ca kowiBiH /
   karoti kṣudhamatyarthaṃ bhuktaṃ jarayati kṣaṇāt // Rcūm_13.34 //	karoti kzuDam-atyarTam Buktam jarayati kzaNAt // RcUm_13.34 //
   {puṣparāgarasāyana}	{puzparAga-rasAyana}
