   <B1> caturthaḥ pādaḥ /	<B1> caturTaH pAdaH /
   saṃbhavābhiprāyeṇa yatra yatreti vīpsopādānaṃ kṛtam /	saMBava aBiprAyeNa yatra yatra iti vIpsA upAdAnam kRtam /
   ata eva tatprakhyānyaśāstrodāharaṇaṃ samidādivākyaṃ viśiṣṭavidhipakṣe	atas eva tad praKyAni aSAstra udAharaNam samiD Adi vAkyam viSizwa viDi pakze
   matvarthalakṣaṇāprasakteḥ tadākṣepārthaṃ bhavatyevodāharaṇam //	matu arTa lakzaNa aprasakteH tad Akzepa arTam Bavati eva udAharaNam //
   (viśiṣṭavidhipūrvapakṣe śyenavākyasyāpi etadadhikaraṇaviṣayatvasya	(viSizwa viDi pUrva pakze Syena vAkyasya api etad aDikaraNa vizaya tvasya
   kaustubhāvirodhenopapādanam) evaṃ śyenavākye viśiṣṭavidhipūrvapakṣe	kOstuBa aviroDena upapAdanam) evam Syena vAkye viSizwa viDi pUrva pakze
   tantrasaṃbandhena matvarthalakṣaṇānirāse sati viśiṣṭayāgavidheḥ	tantra saMbanDena matu arTa lakzaNA nirAse sati viSizwa yAga viDeH
   nirduṣṭatvāt śyenabhinnasya yāgasyopameyatopapatteḥ	nirduzwa tvAt Syena Binnasya yAgasya upameya ta upapatteH
   viśiṣṭhavidhigauravasya rūḍhyanurodhena somādivākya iva svīkāre	viSizWa viDi gOravasya rUXi anuroDena soma Adi vAkyaH iva svIkAre
   bādhakābhāvāt pūrvādhikaraṇasyāpi ākṣepāttaduttaramapyārambho na	bADaka aBAvAt pUrva aDikaraNasya api AkzepAt tad uttaram api AramBaH na
   virudhyate //	viruDyate //
   etena     matvarthalakṣaṇākṣepe udbhidadhikaraṇānantarameva	etena    matu arTa lakzaNa Akzepe udBidaDikaraNa anantaram eva
   asyārambhāpatteḥ asāṅgatyopapādanaṃ nyāyasudhākṛto     nirastam /	asya AramBa ApatteH asAFgatya upapAdanam nyAya suDA kRtaH    nirastam /
   yattu     kaustubhe pūjyapādaiḥ tadvyapadeśanyāyastu naivoddhartuṃ śakyata	yat tu    kOstuBe pUjya pAdEH tad vyapadeSa nyAyaH tu na eva udDartum Sakyata
   ityuktam, tatsākṣāttantrasaṃbandhasya tannirāsākṣamatābhiprāyeṇa neyam /	iti uktam, tad sAkzAt tantra saMbanDasya tad nirAsa akza mata aBiprAyeNa na iyam /
   ata eva nyāyasudhāyāṃ viśiṣṭavidhimaṅgīkṛtyaiva tadvyapadeśanyāyākṣepo	atas eva nyAya suDAyAm viSizwa viDim aFgIkRtya eva tad vyapadeSa nyAyAkzepaH 
   darśitaḥ //	darSitaH //
   (vājapeyavākye tatprakhyanyāyaviṣaye 'pi etannyāyapravṛttiriti	(vAjapeya vAkye tad praKya nyAya vizaye api etat nyAya pravRttiH iti
   prakāśakaustubhagranthayoḥ prauḍhivādatvopapādanam) yattu	prakASa kOstuBa granTayoH prOXi vAda tva upapAdanam) yat tu
   prakāśakāraistadanusāreṇa pūjyapādaiśca kaustubhe 'gnihotravākye	prakASa kArEH tad anusAreNa pUjya pAdEH ca kOstuBe agnihotra vAkye
   prasaktamatvarthalakṣaṇākṣepāsaṃbhave 'pi vājapeyodāharaṇe	prasakta matvarTa lakzaNa Akzepa asaMBave api vAjapeya udAharaNe
   tatprakhyanyāyaviṣaye bahuvrīhyapekṣayā karmadhārayaṃ laghutvenāśritya	tad praKya nyAya vizaye bahu vrIhi apekzayA karmaDArayam laGu tvena ASritya
   tatra prasaktāyā matvarthalakṣaṇāyā ākṣepasaṃbhavaḥ /	tatra prasaktAyAH matu arTa lakzaNAyAH Akzepa saMBavaH /
   ata eva ākṣepasya sādhāraṇye 'pi tatprakhyanyāyaviṣaye 'pi	atas eva Akzepasya sADAraNye api tad praKya nyAya vizaye api
   matvarthalakṣaṇāprasaktidyotanāya vājapeyavākyopanyāsa ākare     ityuktam,	matu arTa lakzaNa aprasakti dyotanAya vAjapeya vAkya upanyAse Akare    iti uktam,
   tat peyaviśeṣaṇasya karmadhārayapakṣe pūrvanipātāpatteḥ	tat peya viSezaNasya karma DAraya pakze pUrva nipAta ApatteH
   svaravisaṃvādāpatteśca prauḍhivādamātram //	sva ra visaMvAda ApatteH ca prOXi vAda mAtram //
   (vājapeyodāharaṇasya	(vAjapeya udAharaNasya
   pūrvādhikaraṇāviṣayatvaparanyāyasudhākhaṇḍanenākṣepāthratvasamarthanam)	pUrva aDikaraNa avizaya tva para nyAya suDA KaNxanena akzepa aTratva samarTanam)
   yadapi     nyāyasudhāyāmapūrvavājapeyodāharaṇānarthakyaṃ parihṛtam; vājaṃ	yat api    nyAya suDAyAm a pUrvavAjapeya udAharaNa AnarTakyam parihRtam; vA Ajam
   peyamasminniti bahuvrīhiṇaiva matvarthalābhānmatvarthalakṣaṇānāpatteḥ,	peyam asmin= iti bahu vrIhiNA eva matu arTa lABAt matu arTa lakzaNa anApatteH,
   peyasya ca vājaśabdavācyānnaviśeṣaṇatvopapatteḥ	peyasya ca vAja Sabda vAcya anna viSezaNa tva upapatteH
   pānārhatvaviśiṣṭaikārthavidhānopapatteravākyabhedāttatprakhyānyaśāstratadvyapadeśayoścābhāvāt	pAna arha tva viSizwa eka arTa viDAna upapatteH avAkya BedAt tad praKyAni aSAstra tad vyapadeSayoH ca aBAvAt
   pūrvanyāyacatuṣṭayena guṇavidhitvanirāsāsiddhervairūpyāpattyā tannirāsāya	pUrva nyAya catuzwayena guNa viDi tva nirAsA sidDeH vErUpya ApattyA tad nirAsAya
   vājapeyodāharaṇam   iti, tadapi na; tathātve	vAjapeya udAharaNam  iti, tat api na; taTA tve
   udbhinnyāyāviṣayatvāyāgnihotrapade iva bahuvrīherāśrayaṇe	udBid nyAya avizaya tvAya agnihotra pade iva bahu vrIheH ASrayaNe
   matvarthalakṣaṇāyā aprasaktau tantrasaṃbandhena	matu arTa lakzaNAyAH aprasaktO tantra saMbanDena
   taduddhārārthaitadadhikaraṇaviṣayatvasyāpyanāpatteḥ /	tad udDAra arTa etat aDikaraNa vizaya tvasya api anApatteH /
   siddhāntetu surāgrahavidhānāttatprakhyatayaivākare 'bhihitayā	sidDAntetu surA graha viDAnAt tad praKya tayA eva Akare aBihitayA
   guṇavidhinirāsasiddheḥ tannirāsasyānapekṣaṇācca /	guNa viDi nirAsa sidDeH tad nirAsasya anapekzaNAt ca /
   ato yaugikatvavākyabhedatatprakhyanyāyānvinā yāni dūṣaṇāni	atas yOgika tva vAkya Beda tad praKya nyAyAn vinA yAni dUzaNAni
   matvarthalakṣaṇādīni tāni iha ākṣipya samādhīyanta iti bhāvaḥ //	matu arTa lakzaNa AdIni tAni iha Akzipya samADIyante iti BAvaH //
   (dhātvarthasya bhāvanāyāṃ saṃbandhasāmānyena tatra ca guṇādīnāṃ	(DAtu arTasya BAvanAyAm saMbanDa sAmAnyena tatra ca guNa AdInAm
   karaṇatvādinā cānvayanirūpaṇapūrvakaṃ	karaNa tva AdinA ca anvayanirUpaNa pUrvakam
   viśiṣṭavidhyasaṃbhavarūpapūrvapakṣopapādanam) tadanvayānupapatteriti /	viSizwa viDi asaMBava rUpa pUrva pakza upapAdanam) tad anvayAn upapatteH iti /
   kārakāṇāṃ kriyayaivānvayāt kārakāntarībhūto dhātvarthastacchabdārthaḥ /	kArakANAm kriyayA eva anvayAt kAraka antarIBUtaH DAtvarTaH tad Sabda arTaH /
   udbhidadhikaraṇe matvarthalakṣaṇāparihāreṇa guṇasya bhāvanāyāmeva	udBidaDikaraNe matu arTa lakzaNa aparihAreNa guNasya BAvanAyAm eva
   kārakatvenānvayasya svayaṃ sādhitatvāt	kAraka tvena anvayasya svayam sADita tvAt 
   guṇayāgobhayaviśiṣṭabhāvanāvidhānāśrayaṇena yadgautavaṃ tadapyāśrayaṇīyaṃ	guNa yAga uBaya viSizwa BAvanA viDAna ASrayaNena yat gOtavam tat api ASrayaNIyam
   syādityāha     ubhayeti /	syAt iti Aha    uBaya iti /
   natvetaditi //	na tu etat iti //
   yajetetyatra yāgagatakarmatvakaraṇatvapratipādakaśabdābhāvāditi śeṣaḥ /	yajeta iti atra yAga gata karma tva karaNa tva pratipAdaka Sabda aBAvAt iti SezaH /
   yadyapi bhāvārthādhikaraṇe 'tiriktabhāvanā sādhayiṣyate; tathāpi tasya	yadi api BAva arTa aDikaraNe atirikta BAvanA sADayizyate; taTA api tasya
   yatnarūpasya kārakājanyatvāt na tatra kārakāṇāṃ anvayaḥ saṃbhavati;	yatna rUpasya kArakA janya tvAt na tatra kArakANAm anvayaH saMBavati;
   dhātvarthadvārakāśrayaṇe tadapekṣayātatraiva tadanvayasya yuktatvāt /	DAtu arTa dvAraka ASrayaNe tad apekzayA tatra eva tad anvayasya yukta tvAt /
   ataḥ sarvāṇyapi kārakāṇi dhātvarthenaivānvīyante /	atas sarvANi api kArakANi DAtu arTena eva anvIyante /
   ata e kārakānvayitvāt na tasya kārakatvam, apitu kriyārūpatvameveti	atas e kAraka anvayitvAt na tasya kAraka tvam, apitu kriyA rUpa tvam eva iti
   yathaiva siddhānte sakalakārakānvitabhāvanā kriyārūpaiva satī	yaTA eva sidDAnte sakala kAraka anvita BAvanA kriyA rUpA eva satI
   pratyayenocyate, tathaiva dhātunā mamāpi kriyārūpa evārtha ucyate /	pratyayena ucyate, taTA eva DAtunA mama api kriyA rUpaH eva arTaH ucyate /
   ata eva na bhāvanāvadeva karmatvakaraṇatvādikṛtavairūpyamapi /	atas eva na BAvanA vat eva karma tva karaNa tva Adi kRta vErUpyam api /
   evaṃ ca sakalakārakaviśiṣṭasya dhātvarthasya saṃbandhasāmānyenaivānvayaḥ /	evam ca sakala kAraka viSizwasya DAtu arTasya saMbanDa sAmAnyena eva anvayaH /
   "prakṛtipratyayau sahārthaṃ brūta" ityanuśāsanamapi	"prakRti pratyayO saha arTam brUta" iti anuSAsanam api
   saṃbandhasāmānyābhiprāyam /	saMbanDa sAmAnya aBiprAyam /
   ata eva etadanuśāsanabalādeva nirūḍhalakṣaṇayā saṃbandhasya	atas eva etad anuSAsana balAt eva nirUXa lakzaNayA saMbanDasya
   padārthavidhayā bhānam /	padArTa viDayA BAnam /
   naca kārakātiriktasya naiva bhāvanāyāmanvaya iti niyamo 'sti; "etasyaiva	na ca kAraka atiriktasya na eva BAvanAyAm anvayaH iti niyamaH asti; "etasya eva
   revatīṣvi"ti vākye bhāvanāyāścāpi tadanvayāṅgīkārāt /	revatIzu i"ti vAkye BAvanAyAH ca api tad anvaya aFgIkArAt /
   athavā     pradhānānvayānurodhena bhāvanāyāmeva kārakāṇāmanvayaḥ; tathāpi	aTavA    praDAna anvaya anuroDena BAvanAyAm eva kArakANAm anvayaH; taTA api
   dhātvarthasya saṃbandhasāmānyenaiva tasyāmanvayādekasmin yāge guṇanirūpite	DAtu arTasya saMbanDa sAmAnyena eva tasyAm anvayAt ekasmin yAge guNa nirUpite
   karmatve phalanirūpite ca karaṇatve aṅgīkriyamāṇe 'pi śābdabodhe tena tena	karma tve Pala nirUpite ca karaNa tve aFgIkriyamANe api SAbda boDe tena tena
   rūpeṇa pratītyabhāvāt na vairūpyāpattiriti karaṇatvenānavagamāt na	rUpeNa pratIti aBAvAt na vErUpya ApattiH iti karaNa tvena anavagamAt na
   tadanvayārthaṃ matvarthalakṣaṇādyāpattirityabhipretyāha     yāgasyeti //	tad anvaya arTam matu arTa lakzaNa Adi ApattiH iti aBipretya Aha    yAgasya iti //
   bhāvārthādhikaraṇaṃ asiddhaṃ matvaitadvicārapravṛttiriti pakṣāntareṇāha	BAva arTa aDikaraNam asidDam matvA etat vicAra pravRttiH iti pakza antareNa Aha
       bhāvanā veti //	   BAvanA vA iti //
   (udāharaṇāntaraparityāgena vājapeyodāharaṇāśayaḥ, tatra	(udAharaNa antara parityAgena vAjapeya udAharaNa ASayaH, tatra
   nyāyasudhāprakāśakārayormatakhaṇḍanaṃ ca) yadyapi vājapeyapade	nyAya suDA prakASa kArayoH mata KaNxanam ca) yadi api vAjapeya pade
   bahuvrīhyāśrayaṇe na matvarthalakṣaṇāprasaktiḥ, karmadhāraye peyapadasya	bahuvrIhi ASrayaNe na matu arTa lakzaNa aprasaktiH, karma DAraye peya padasya
   pūrvanipātāpattiḥ; tathāpi bahuvrīherāśrayaṇe 'pi nānyapadārtho yāgaḥ	pUrva nipAta ApattiH; taTA api bahu vrIheH ASrayaNe api na anya padArTaH yAgaH
   pūrvapakṣe 'bhipretaḥ, yena vājapeyasubantenopāttaṃ dravyaṃ guṇatvena	pUrva pakze aBipretaH, yena vAjapeya subantena upAttam dravyam guNa tvena
   vidhīyata iti pūrvapakṣāśayena matvarthalakṣaṇāprasaktirna	viDIyate iti pUrva pakza ASayena matu arTa lakzaNa aprasaktiH na
   saṃbhavatītyucyate, kintu vājaṃ annaṃ peyam yasminniti surādravyavat yat	saMBavati iti ucyate, kintu vA Ajam annam peyam yasmin= iti surA dravya vat yat 
   karma tadevānyapadārthatvena vivakṣitamityabhiprāyaḥ /	karma tat eva anya padArTa tvena vivakzitam iti aBiprAyaH /
   tathāca samāsenaivānyapadārthatayā surādravyaviśiṣṭakarmavidhānāśayena	taTA ca samAsena eva anya padArTa tayA surA dravya viSizwa karma viDAna ASayena
   prācīnaiḥ prasajyanmatvarthalakṣaṇākavājapeyodāharaṇameva kimarthaṃ	prAcInEH prasajyat matu arTa lakzaNa akavA japeyA udAharaNam eva kim arTam
   darśitamiti śaṅkāṃ pariharati     vājapeyeti //	darSitam iti SaFkAm pariharati    vA Ajapeya iti //
   (guṇasūtrapravṛttiprayojanam) guṇasūtrānurodheneti //	(guNa sUtra pravRtti prayojanam) guNa sUtra anuroDena iti //
   atraca	atra ca
   tulyatvāt kriyayor na / Jaim_1,4.7 /	tulya tvAt kriyayoH na / JEm_1,4.7 /
   iti guṇasūtraṃ vājapeyasyānnadravyakatvena dravyasādṛśyasya	iti guNa sUtram vAjapeyasya anna dravyaka tvena dravya sAdRSyasya
   balavatvādaiṣṭikavidhyantarasya pūrvapakṣe prāpte somadharmāṇāṃ	balava tvAt Ezwika viDi antarasya pUrva pakze prApte somaDarmANAm
   dīkṣopasadādīnāmaprāptau "saptadaśadīkṣo vājapeyaḥ"	dIkzA upasadA AdInAm aprAptO "saptadaSa dIkzaH vAjapeyaH"
   "saptadaśopasatkovājapeya" iti	"saptadaSa upasatkaH vAja peya" iti
   dīkṣopasadanuvādaliṅgadarśanānupapattipradarśanārtham /	dIkzA upasad anuvAda liFga darSana anupapatti pradarSana arTam /
   taddhi vājapeya eva saṃbhavati nānyatreti tadanurodhena vājapeyodāharaṇaṃ	tat hi vAjapeyaH eva saMBavati na anyatra iti tad anuroDena vAjapeya udAharaNam
   na tu nyāyasudhākṛtprakāśakāroktarītyetyarthaḥ //	na tu nyAya suDA kRt prakASakAra ukta rItyA iti arTaH //
   (dhātvarthasya saṃbandhasāmānyena bhāvanānvayanirāsena	(DAtu arTasya saMbanDa sAmAnyena BAvanA anvaya nirAsena
   karmatvakaraṇatvādinānvayanirūpaṇapūrvakaṃ somena yajetetyādau sarvatra	karma tva karaNa tva AdinA anvaya nirUpaNa pUrvakam somena yajeta ityAdO sarvatra
   matvarthalakṣaṇā samarthanam) yadi saṃbandhasāmānyena	matu arTa lakzaNA samarTanam) yadi saMbanDa sAmAnyena
   yāgabhāvanayoranvayastato	yAga BAvanayoH anvayaH tatas 
   guṇaphalayorekasyāpyayogyatvādyāgānvayānupapattiḥ /	guNa PalayoH ekasya api ayogya tvAt yAga anvaya anupapattiH /
   yāgasaṃbandhibhāvanāyāḥ phalaguṇākāṅkṣābhāvāt /	yAga saMbanDi BAvanAyAH Pala guNa AkAFkzA BAvAt /
   ato yāgakaraṇakabhāvanāyā eva sādhanākāṅkṣitatvena tattadrūpeṇaivānvayo	atas yAga karaNaka BAvanAyAH eva sADana AkAFkzita tvena tad tad rUpeNa eva anvayaH 
   yuktaḥ /	yuktaH /
   yadā pūrvoktavivaraṇānurodhādbhāvanāyāḥ dhātvarthātirekeṇa dhātvarthasya	yadA pUrva ukta vivaraNa anuroDAt BAvanAyAH DAtu arTa atirekeNa DAtu arTasya
   ca karaṇatvakarmatvānyatarakārakatvapratītistadā sutarāṃ tenaiva	ca karaNa tva karma tva anyatara kAraka tva pratItiH tadA sutarAm tena eva
   rūpeṇānvayaḥ /	rUpeNa anvayaH /
   vidhisamabhivyāhārasattve dhātvarthasyāpuruṣārthasya karaṇatvenaiva	viDi samaBivyAhAra sattve DAtu arTasya apuruza arTasya karaNa tvena eva
   bhāvanānvayaḥ /	BAvanA anvayaH /
   tadabhāve puruṣārthatvāvagatau vā karmatvenaiveti na	tad aBAve puruza arTa tva avagatO vA karma tvena eva iti na
   saṃbandhasāmānyenānvaya iti karaṇatvena bhāvanānvaye pārṣṭhikānvayavelāyāṃ	saMbanDa sAmAnyena anvayaH iti karaNa tvena BAvanA anvaye pArzWikA anvaya velAyAm
   yogyatvāt phalenaivānvayaḥ syānnatu guṇena vidhisamabhivyāhāre satyapi	yogya tvAt Palena eva anvayaH syAt na tu guNena viDi samaBivyAhAre sati api
   kathañcit karmatvābhyupagame guṇenaivānvayaḥ, syānna phalena /	kaTaQcid karma tva aByupagame guNena eva anvayaH, syAt na Palena /
   ubhayarūpatvāvagatyaṅgīkaraṇaṃ tu yugapat bodhe viruddham /	uBaya rUpa tva avagati aFgIkaraNam tu yugapad boDe virudDam /
   śrūyamāṇasyaiva kramikabodhadvayajanakatvasvīkāre āvṛttilakṣaṇo vākyabheda	SrUyamANasya eva kramika boDa dvaya janaka tva svIkAre AvRtti lakzaNaH vAkya Beda
   ityabhipretyāha    ataśceti //	iti aBipretya aha   atas ca iti //
   (matvarthalakṣaṇāṃ vinobhayorgumaphalayoryāgānvaye	(matvarTa lakzaNAm vinA uBayoH guma PalayoH yAga anvaye
   prasaktaviruddhatrikadvayasvarūpādinirūpaṇam) matvarthalakṣaṇāṃ vinaiva	prasakta virudDa trika dvaya svarUpa Adi nirUpaNam) matu arTa lakzaNAm vinA eva
   śrutyaivobhayoryāgānvaye viruddhatrikadvayāpattimāha     anyatheti //	SrutyA eva uBayoH yAga anvaye virudDa trika dvaya Apattim Aha    anyaTA iti //
   yugapat bodhe hi sādhyasya phalādeḥ, prayojanatvāt prādhānyaṃ, sādhanasya	yugapad boDe hi sADyasya Pala AdeH, prayojana tvAt prADAnyaM, sADanasya
   tu sādhyārthatvena pārārthyāt śeṣatvāparaparyāyaṃ guṇatvaṃ prasiddhameva /	tu sADya arTa tvena pArArTyAt Seza tva apara paryAyam guNa tvam prasidDam eva /
   prādhānyasya ca kṛtyuddeśyatvaṃ vinā anupapatteruddeśyatvāpādakatvaṃ,	prADAnyasya ca kRti uddeSya tvam vinA anupapatteH uddeSya tva ApAdaka tvaM,
   aprāptasya coddeṣṭumaśakyatvāt prāptānukīrtanarūpānuvādāpādakatvam /	aprAptasya ca uddezwum aSakya tvAt prApta anukIrtana rUpa anuvAda ApAdaka tvam /
   evaṃ śeṣatvasya śeṣipāratantryāpādyatvalakṣaṇopādeyatvāpādakatvam,	evam Seza tvasya Sezi pAratantrya apAdya tva lakzaNa upAdeya tva ApAdaka tvam,
   upādeyatvasya ca vidhyadhīnatvādvidheyatvāpādakatvamityevaṃ sādhanatve	upAdeya tvasya ca viDi aDIna tvAt viDeya tva ApAdaka tvam iti evam sADana tve
   guṇatvopādeyatvavidheyatvaṃ trikaṃ, sādhyatve	guNa tva upAdeya tva viDeya tvam trikaM, sADya tve
   prādhānyoddeśyatvānuvādyatvaṃ ca trikamekasya yāgasya viruddham /	prADAnya uddeSya tva anuvAdya tvam ca trikam ekasya yAgasya virudDam /
   kramikabodhe 'pi ca vidhyapekṣitatvena karaṇatvāvagateḥ	kramika boDe api ca viDi apekzita tvena karaNa tva avagateH
   prāthamikatvasyāvaśyakatvādajñātapūrvasyaiva yāgasya	prATamika tvasya AvaSyaka tvAt ajQAta pUrvasya eva yAgasya
   phalasaṃbandhakaraṇena tatprati yāgasyājñātajñāpanaviṣayatvākhyaṃ	Pala saMbanDa karaNena tat prati yAgasya ajQAta jQApana vizaya tva AKyam
   vidheyatvam /	viDeya tvam /
   karaṇatvāvasthāyāṃ ca jñātasya yāgasya guṇasaṃbandhavelāyāṃ	karaNa tva avasTAyAm ca jQAtasya yAgasya guNa saMbanDa velAyAm
   uttarakālamanuvādājjñātajñāpanaviṣayatvākhyamanuvādyatvaṃ guṇaṃ prati /	uttara kAlam anuvAdAt jQAta jQApana vizaya tva AKyam anuvAdya tvam guNam prati /
   tadidaṃ yāgaguṇayorutpattividhikramāṅgīkāre pūrvaṃ yāgasyotpattiranantaraṃ	tat idam yAga guNayoH utpatti viDi krama aFgIkAre pUrvam yAgasya utpattiH anantaram
   guṇasyeti vairūpyam /	guNasya iti vErUpyam /
   tathā phalaṃ prati yāgasya śeṣatvāparaparyāyaṃ guṇatvaṃ guṇaṃ prati ca	taTA Palam prati yAgasya Seza tva apara paryAyam guNa tvam guNam prati ca
   śeṣitvāparaparyāyaṃ prādhānyamiti śrūyamāṇasyaiva	Sezi tva apara paryAyam prADAnyam iti SrUyamANasya eva
   kramikaviniyogavidhiparatvāṅgīkāre vairūpyam /	kramika viniyoga viDi paratva aFgIkAre vErUpyam /
   tathā phalaṃ prati yāgasyopādeyatvaṃ guṇaṃ prati coddeśyatvamiti	taTA Palam prati yAgasya upAdeya tvam guNam prati ca uddeSya tvam iti
   prayogavidhikramāṅgīkāre ca vairūpyaṃ ceti doṣāpattirityarthaḥ //	prayoga viDi krama aFgIkAre ca vErUpyam ca iti doza ApattiH iti arTaH //
   (prakāśakārīyopādeyatvaniruktiprakāranirasanam) nanu    	(prakASa kArIya upAdeya tva nirukti prakAra nirasanam) nanu    
   upādeyatvavidheyatvaguṇatvatrike uddeśyatvānuvādyatvaprādhānyatrike ca	upAdeya tva viDeya tva guNa tvatrike uddeSya tva anuvAdya tva prADAnya trike ca
   kimidamupādeyatvaṃ? kiñcoddeśyatvaṃ nāma /	kim idam upAdeya tvan? kiQca uddeSya tvam nAma /
   naca kṛtivyāpyatvaṃ upādeyatvaṃ, tadviparyayo	na ca kRti vyApya tvam upAdeya tvan, tad viparyayo
   'nupādeyatvāparanāmadheyamuddeśyatvamiti prakāśakāroktaṃ sādhu;	anupAdeyatva apara nAmaDeyam uddeSya tvam iti prakASa kAra uktam sADu;
   samādirūpadeśasya darśapūrṇamāsottaratvādikālasya	samAdi rUpa deSasya darSa pUrNamAsa uttara tva Adi kAlasya
   rathantarasāmatvādernimittasya vrīhyādeḥ saṃskāryasya	raTantara sAma tva AdeH nimittasya vrIhi AdeH saMskAryasya
   kṛtivyāpyatvasattvenopādeyatvāpatteḥ, kartṛtadgataikatvādeḥ	kRti vyApya tva sattvena upAdeya tva ApatteH, kartR tat gata eka tva AdeH
   kṛtivyāpyatvābhāvenopādeyatvānāpattyoddeśyatvāpatteśca /	kRti vyApya tva aBAvena upAdeya tvAt Apattya uddeSya tva ApatteH ca /
   prakṛte 'pi yāge kṛtivyāpyatvasattvenoddeśyatvānāpatteścetyata āha    	prakRte api yAge kRti vyApya tva sattvena uddeSya tva anApatteH ca iti atas Aha    
   upādeyatvādīti //	upAdeya tva Adi iti //
   (śeṣatvādisvarūpasyāsaṃkīrṇasya	(Seza tva Adi svarUpasya asaMkIrNasya
   spaṣṭajñānatayopādeyatvamātraniruktipratijñopapādanam)	spazwa jQAna tayA upAdeya tva mAtra nirukti pratijQA upapAdanam)
   śeṣatvākhyaguṇatvasya kṛtyuddeśyatvāparaparyāyaśeṣitvarūpapradhānatvasya	Seza tva AKya guNa tvasya kRtI uddeSya tva apara paryAya Sezi tva rUpa praDAna tvasya
   pravartakaliṅgavyāpārātmaka 	pravartaka liFga vyApAra Atmaka 
   pravartanāviṣayatvākhyavidheyatvānuvādyatvasya ca	pravartanA vizaya tva AKya viDeya tva anuvAdya tvasya ca
   spaṣṭarūpatayāsaṅkīrṇatvena jñātuṃ śakyatvādupādeyatvasya	spazwa rUpa tayA saFkIrNa tvena jQAtum Sakya tvAt upAdeya tvasya
   pāratantryāpādyatvalakṣaṇasya śeṣatve 'pi kāladeśādāvabhāvādata eva	pAratantrI a apAdya tva lakzaNasya Seza tve api kAla deSa AdO= aBAvAt atas eva
   prādhānyāttadanyathānupapattyā kalpyamānoddeśyatvasya tatra	prADAnyAt tat anyaTA anupapattyA kalpyamAna uddeSya tvasya tatra
   sarvasaṃpratipannasyāsaṃbhavena tatraiva	sarva saMpratipannasya asaMBavena tatra eva
   svarūpajijñāsodayāttatsvarūpajñānamevopayogītyabhiprāyeṇa guṇatvādīni	sva rUpa jijQAsA udayAt tad svarUpa jQAnam eva upayogI iti aBiprAyeNa guNa tva AdIni
   vihāyopādeyatvādītyuktam //	vihAya upAdeya tva Adi iti uktam //
   (nirduṣṭatayoddeśyatvopādeyatvayornirvacanam) ādipadenoddeśyatvasaṃgrahaḥ	(nirduzwatayA uddeSya tva upAdeya tvayoH nirvacanam) Adipadena uddeSya tva saMgrahaH
   prakṛtavidhiprayuktyaviṣayatvamuddeśyatvaṃ tadabhāvaścopādeyatvaṃ /	prakRta viDi prayukti avizaya tvam uddeSya tvam tad aBAvaH ca upAdeya tvam /
   asticedamuddeśyatvaṃ svargādiphale kāladeśādau ca /	astica idam uddeSya tvam svarga Adi Pale kAla deSa AdO ca /
   samādirūpadeśādeḥ kṛtivyāpyatve 'pi lokasiddhasamopajīvanenāpi	samAdi rUpa deSa AdeH kRti vyApya tve api loka sidDa samopajIvanena api
   prakṛtavidhyupapatteḥ	prakRta viDi upapatteH
   paśvādivatprakṛtavidhiprayuktottaravihāradeśaprāpaṇād	paSu Adi vat prakRta viDi prayukta uttara vihAra deSa prApaNAt 
   irūpakriyāntaravyāpyatvābhāvena prakṛtavidhiprayuktaviṣayatvābhāvā 	irUpa kriyA antara vyApya tva aBAvena prakRta viDi prayukta vizaya tva aBAvA 
   llakṣaṇasamanvayaḥ /	llakzaNa samanvayaH /
   ata eva paśvādidravyasya tanniṣṭhaguṇādeśca vastuto lokasiddhatve 'pi	atas eva paSu Adi dravyasya tad nizWa guNa AdeH ca vastutas loka sidDa tve api
   vihāradeśaprāpaṇādikriyāviṣayatvena	vihAra deSa prApaNa Adi kriyA vizaya tvena
   prakṛtavidhiprayuktiviṣayatvānnātivyāptiḥ /	prakRta viDi prayukti vizaya tvAt na ativyAptiH /
   evamāhavanīyāderādhānavidhiprayuktādhāna  niṣpannatvena "yadāhavanīye	evam AhavanIya AdeH ADAna viDi prayukta ADAna nizpanna tvena "yat AhavanIye
   juhotī"tyādiprakṛtavidherutpattyaprayojakatve 'pi	juhotI"ti Adi prakRta viDeH utpatti aprayojaka tve api
   praṇayanaprāduṣkaraṇādikriyāntaravyāpyatvena rūpeṇa	praNayana prAduzkaraNa Adi kriyA antara vyApya tvena rUpeNa
   prayuktiviṣayatvasattvānnātivyāptiḥ /	prayukti vizaya tva sattvAt na ativyAptiH /
   evaṃ puroḍāśakapālasyāpi vihāradeśe sthitasya	evam puroxASa kapAlasya api vihAra deSe sTitasya
   hastagrahaṇādirūpakriyāviṣayatvena prakṛtavidhiprayuktatvaṃ jñeyam /	hasta grahaNa Adi rUpa kriyA vizaya tvena prakRta viDi prayukta tvam jQeyam /
   saṃskāryasya vrīhyāde r"vrīhibhiryajete"ti vākye prayuktiviṣayatve 'pi	saMskAryasya vrIhi Ade r"vrI hiBiH yajete"ti vAkye prayukti vizaya tve api
   saṃskārabodhakaprakṛtavidhau prayuktiviṣayatvābhāvāduddeśyatvāvighātaḥ /	saMskAra boDaka prakRta viDO prayukti vizaya tva aBAvAt uddeSya tva aviGAtaH /
