   Abkürzungsverzeichnis	AbkürzungsveH zeiCnis
   [54.18]     bhakṣyante te 'pi tais sarvair iti brahmābravīt svayam	[54.18]     Bakzyante te api tEH sarvEH iti brahmA abravIt svayam
   //*{482}* [MBh 13.117.33]	//*{482}* [MBh 13.117.33]
   [54.19]     māṃ sa bhakṣayitām utra yasya māṃsam ihādmy aham /	[54.19]     mAm sa BakzayitAm utra yasya mAMsam iha admi aham /
   [54.20]     etan māṃsasya māṃsatvaṃ pravadanti manīṣiṇaḥ //*{483}* [MBh	[54.20]     etat mAMsasya mAMsa tvam pravadanti manIziNaH //*{483}* [MBh
   [54.21]     na hi māṃsaṃ tṛṇāt kaṣṭhād upalād vāpi jayate /	[54.21]     na hi mAMsam tRNAt kazWAt upalAt vA api jayate /
   [54.22]     hatvā jantuṃ bhaven māṃsaṃ tasmāt tat parivarjayet //*{484}*	[54.22]     hatvA jantum Bavet mAMsam tasmAt tat parivarjayet //*{484}*
   [MBh 13.116.26]	[MBh 13.116.26]
   [54.23]     hantā caivānumantā ca viśas tā krayavikrayī /	[54.23]     hantA ca eva anumantA ca viSaH tA kraya vikrayI /
   [54.24]     saṃskartā copakartā ca khādakaś cāṣṭa ghātukāḥ //*{485}* [MBh	[54.24]     saMskartA ca upakartA ca KAdakaH ca azwa GAtukAH //*{485}* [MBh
   !{474}! Vgl. ĀS 16.47ab: kiṃ ebhir bahubhir vākyais satyam eva vadāmy	!{474}! Vgl. ĀH 16.47ab: kim eBiH bahuBiH vAkyEH satyam eva vadAmi 
   ahaṃ.	ahaM.
   !{475}! ĀS: maddravyaṃ kṣetrabimbādīn vālayāni yathāpadi; vgl. ĀS 16.49ab:	!{475}! ĀS: mad dravyam kzetra bimba AdIn vAlayAni yaTA Apadi; vgl. ĀH 16.49ab:
   maddravyaṃ kṣetrabiṃbāni ālayāni ? yathāpadi; DHN[T] 237:	mad dravyam kzetra biMbAni AlayAni ? yaTA Apadi; DHN[T] 237:
   maddravyakṣetrabimbādisālayāni yathāpadi.	mad dravya kzetra bimba Adi sAlayAni yaTA Apadi.
   !{476}! Vgl. ĀS 16.49cd: vikrīṇanādikāryeṣu nāsti doṣo mamājñayā; DHN[T]	!{476}! Vgl. ĀH 16.49cd: vikrINana Adi kAryezu na asti dozaH mama AjQayA; DHN[T]
   237: yadājñayā.	237: yad AjQayA.
   !{477}! Vgl. ĀS 16.50: madīyadhanabhogena matkriyālāpanena ca /	!{477}! Vgl. ĀH 16.50: madIya Dana Bogena mad kriyA AlApanena ca /
   maccharīratayā satyam apacāro na vidyate //.	mad SarIra tayA satyam apacAraH na vidyate //.
   !{478}! DHN[T] 237: iti bhagavaddravyopabhogādiṣu doṣo bhāvamuktvā.	!{478}! DHN[T] 237: iti Bagavat dravya upaBoga Adizu dozaH BAvam uktvA.
   !{479}! DHN[T] 237 8 statt DHN[D] 54.10 14: "ahaṃ bhaktaparādhīnā hy	!{479}! DHN[T] 237 8 statt DHN[D] 54.10 14: "aham Bakta para aDInA hi 
   asvatantra iva dvije"tyādivacanānusāreṇārcakādhīnatāṃ darśayituṃ,	asvatantraH iva dvije"ti Adi vacana anusAreNa arcaka aDIna tAm darSayituM,
   bhagavatprītiviṣayākṛtānāṃ vaikhānasānāṃ taddravyopabhogādiṣu	Bagavat prIti vizaya akRtAnAm vEKAnasAnAm tad dravya upaBoga Adizu
   doṣagandhatāpi nāstīti jñāpayituṃ kaimutikanyāyābhiprāyeṇa maddravyaṃ	doza ganDa tA api na asti iti jQApayitum kEmutika nyAya aBiprAyeNa mad dravyam
   kṣetrabiṃbādītyādinā bhagavadvigrahe vikraye kṛte 'pi doṣo nāstīty uktaṃ.	kzetra biMbAdi ityAdinA Bagavat vigrahe vikraye kRte api dozaH na asti iti uktaM.
   !{480}! DHN[T] 238 statt DHN[D] 54.15 16: kiṃ ca devaddravyopabhogadoṣas	!{480}! DHN[T] 238 statt DHN[D] 54.15 16: kim ca devaddravya upaBoga doza s
   sāmānyatvena sarveṣv āpādyate cet tarhi.	sAmAnya tvena sarvezu ApAdyate ced tarhi.
   !{481}! MBh: bhūtānāṃ.	!{481}! MBh: BUtAnAM.
   !{482}! MBh: bhūtair iti me nāsti saṃśayaḥ.	!{482}! MBh: BUtEH iti me na asti saMSayaH.
   !{483}! MBh: māṃ sa bhakṣayate yasmād bhakṣayiṣye tam apy aham / etan	!{483}! MBh: mAm sa Bakzayate yasmAt Bakzayizye tam api aham / etat 
   māṃsasya māṃsatvam ato budhyasva bhārata.	mAMsasya mAMsa tvam atas buDyasva BArata.
   !{484}! MBh: hatvā jantuṃ tato māṃsaṃ tasmād doṣo 'sya bhakṣaṇe.	!{484}! MBh: hatvA jantum tatas mAMsam tasmAt dozaH asya BakzaNe.
   !{485}! MBh: āhartā cānumantā ca viśastā krayavikrayī / saṃskartā	!{485}! MBh: AhartA ca anumantA ca viSastA kraya vikrayI / saMskartA
   copabhoktā ca ghātakāḥ sarva eva te.	ca upaBoktA ca GAtakAH sarve eva te.
   [55.1]     dhanena krāyako hanti khādakaś copabhogataḥ /	[55.1]     Danena krAyakaH hanti KAdakaH ca upaBogataH /
   [55.2]     ghātuko vadhabandhābhyām ity eṣa trividho vadhaḥ //*{486}* [MBh	[55.2]     GAtukaH vaDa banDAByAm iti eza triviDaH vaDaH //*{486}* [MBh
   [55.3]     svamāṃsaṃ paramāṃsena yo vardhayitum icchati /	[55.3]     sva mAMsam para mAMsena yaH varDayitum icCati /
   [55.4]     nāradaḥ prāha dharmātmā narake sa vipacyate //*{487}*" [MBh	[55.4]     nAradaH prAha Darma AtmA narake sa vipacyate //*{487}*" [MBh
        [kutracid dharmasyāpy adharmaṃ, adharmasyāpi dharmatvañ ca]	[kutracid Darmasya api aDarman, aDarmasya api Darma tvan ca]
   [55.5 6]     ityādi vacanaiḥ māṃsabhakṣaṇena narakapatanasmaraṇāt	[55.5 6]     ityAdi vacanEH mAMsa BakzaNena naraka patana smaraNAt 
   bhagavatprītyarthaṃ kriyamāṇeṣu yajñeṣv api māṃsabhakṣaṇasattvāt	Bagavat prIti arTam kriyamANezu yajQezu api mAMsa BakzaNa sattvAt 
   yājñikānām*{488}* api narakapatanaṃ sambhavatīti yāgasyāpi	yAjQikA nAm*{488}* api naraka patanam samBavati iti yAgasya api
   tyāgaprasaṅgāt*{489}*.	tyAga prasaFgAt*{489}*.
   [55.7]     "tasmāc chāstraṃ pramāṇaṃ te kāryākāryavyavasthitau*{490}* /	[55.7]     "tasmAt SAstram pramANam te kArya akArya vyavasTitO*{490}* /
   [55.8]     jñātvā śāstravidhānoktaṃ karma kartum ihārhasi //" [MBh	[55.8]     jQAtvA SAstra viDAna uktam karma kartum iha arhasi //" [MBh
   [55.9 12]     iti bhagavadvacanāt śāstroktānāṃ karmaṇāṃ doṣo nāstīti cet.	[55.9 12]     iti Bagavat vacanAt SAstra uktAnAm karmaNAm dozaH na asti iti ced .
   "maddravyopabhogādau doṣo nāstī"ti bhagavatā pratipāditvāt prakṛte 'pi	"mad dravya upaBoga AdO dozaH na asti i"ti BagavatA pratipAdi tvAt prakRte api
   doṣo nāsty eva. "vacanāt pravṛttir vacanān nivṛttir" iti khalu śiṣṭoktiḥ.	dozaH na asti eva. "vacanAt pravRttiH vacanAt nivRttir" iti Kalu SizwoktiH.
   evaṃ kutracid dharmo 'dharmaḥ adharmaś ca dharmo bhavati.*{491}*	evam kutracid DarmaH aDarmaH aDarmaH ca DarmaH Bavati.*{491}*
   [55.13]     yathā	[55.13]     yaTA
   [55.14]     "ukte 'nṛte bhavet kiñcit prāṇināṃ prāṇarakṣaṇam /	[55.14]     "ukte anRte Bavet kiQcid prANinAm prANa rakzaNam /
   [55.15]     anṛtaṃ tatra satyaṃ syāt satyam atrānṛtaṃ bhavet //	[55.15]     anRtam tatra satyam syAt satyam atra anRtam Bavet //
   [55.16]     kāminīṣu vivāheṣu gavāṃ*{492}* pīḍāsu bādhane /	[55.16]     kAminIzu vivAhezu gavAM*{492}* pIxAsu bADane /
   [55.17]     brāhmaṇābhyavapattau ca śapathe nāsti pātakam //"	[55.17]     brAhmaNa aByavapattO ca SapaTe na asti pAtakam //"
   [55.18 19]     "yadbrāhmaṇaś cābrāhmaṇaś ca praśnam eyātāṃ	[55.18 19]     "yat brAhmaNaH ca abrAhmaNaH ca praSnam eyAtAm
   brāhmaṇāyādhibrūyāt yadbrāhmaṇāyādhyātmane*{493}* 'dhyāha yad brāhmaṇaṃ	brAhmaNAya aDibrUyAt yat brAhmaNAya aDyAtmane*{493}* aDyAha yat brAhmaNam
   parāhātmānaṃ parāha tasmād brāhmaṇo na parocyaḥ" ity śrutiś ca.	parAha AtmAnam parAha tasmAt brAhmaNaH na parocyaH" iti SrutiH ca.
   [55.20 21]     śrautasūtre ca: "sarva evam abhivādayanti nābhivādayati na	[55.20 21]     SrOta sUtre ca: "sarve evam aBivAdayanti na aBivAdayati na
   juhoty anyatra somāṅgebhyaḥ" ityādi pratipādyate.*{494}*	juhoti anyatra soma aFgeByaH" ityAdi pratipAdyate.*{494}*
   [55.22]     "sarvasvaharaṇe bhāryāveśyayoḥ (?) prāṇasaṃśaye /	[55.22]     "sarva sva haraNe BAryA veSyayoH (?) prANa saMSaye /
   [55.23]     godvijārthe vivāde ca śapathe nāsti pātakam //"	[55.23]     go dvija arTe vivAde ca SapaTe na asti pAtakam //"
   [55.24]     ityādi smṛtiś ca.*{495}*	[55.24]     ityAdi smRtiH ca.*{495}*
   [55.25]     evaṃ ca śāstroktaprakāreṇa bhagavadarcanaṃ kurvatāṃ	[55.25]     evam ca SAstra ukta prakAreNa Bagavat arcanam kurvatAm
   taddravyopabhoge*{496}* na doṣaḥ.	tad dravya upaBoge*{496}* na dozaH.
   !{486}! MBh: ghātako.	!{486}! MBh: GAta kaH .
   !{487}! MBh: svamāṃsaṃ paramāṃsair yo vivardhayitum icchati / nāsti	!{487}! MBh: sva mAMsam para mAMsEH yaH vivarDayitum icCati / na asti
   kṣudrataras tasmān na nṛśaṃsataro naraḥ.	kzudrataraH tasmAt na nRSaMsataraH naraH.
   !{488}! DHN[T] 239: māṃsabhakṣaṇasaṃbhavāt statt māṃsabhakṣaṇasattvāt	!{488}! DHN[T] 239: mAMsa BakzaNa saMBavAt statt mAMsa BakzaNa sattvAt 
   yājñikānām.	yAjQikAnAm.
   !{489}! DHN[T] 239: yāgasya tyāgaḥ kartavyaḥ.	!{489}! DHN[T] 239: yAgasya tyAgaH kartavyaH.
   !{490}! DHN[T] 239: kāryākāryāvyavasthitau.	!{490}! DHN[T] 239: kArya akArya avyavasTitO.
   !{491}! DHN[T] 239 240 statt DHN[D] 55.9 12: iti bhagavadvacanāt	!{491}! DHN[T] 239 240 statt DHN[D] 55.9 12: iti Bagavat vacanAt 
   śāstroktānāṃ doṣo nāstīti cet. "maddravyopabhogādidoṣo nāstī"ti bhagavatā	SAstra uktAnAm dozaH na asti iti cet. "mad dravya upaBoga Adi dozaH na asti i"ti BagavatA
   pratipāditvāt "vacanāt pravṛttir vacanān nivṛttir" iti vihitasya doṣo	pratipAdi tvAt "vacanAt pravRttiH vacanAt nivRttir" iti vihitasya dozaH 
   nāsty eva. kutracid dharmo 'dharmaḥ adharmaś ca dharmo bhavati.	na asti eva. kutracid DarmaH aDarmaH aDarmaH ca DarmaH Bavati.
   !{492}! DHN[T] 240: gatāṃ.	!{492}! DHN[T] 240: gatAM.
   !{493}! DHN[T] 240: yadbrāhmaṇāyādhyāhātmane.	!{493}! DHN[T] 240: yat brAhmaNAya aDyAha Atmane.
   !{494}! DHN[T] 241 om. pratipādyate und ins. (adharmarūpāyā hiṃsāyā	!{494}! DHN[T] 241 om. pratipAdyate unu in s. (aDarma rUpAyAH hiMsAyAH 
   māṃsabhakṣaṇasya ca kratuṣu dharmatvaṃ mahāvrate brahmacāripuṃścalyos	mAMsa BakzaNasya ca kratuzu Darma tvam mahA vrate brahmacAri puMScalyoH 
   saṃparkādikaṃ).	saMparka Adi kaM).
   !{495}! DHN[T] 241 om. smṛtiś ca.	!{495}! DHN[T] 241 om. smRtiH ca.
   !{496}! DHN[T] 241: taddravyopabhogān.	!{496}! DHN[T] 241: tad dravya upaBogAn .
        [devalakatvalakṣaṇavicāraḥ]	[devalaka tva lakzaNa vicAraH]
   [56.1 2]     kiñca   kiṃ devalakatvaṃ jātiparam, uta karmaparam? jātiparam	[56.1 2]     kiQca  kim devalaka tvam jAti param, uta karma param? jAti param
   iti vaktuṃ na śakyate. tathānuktatvāt*{497}*. icchayā kalpitum aśakyatvāc	iti vaktum na Sakyate. taTA anukta tvAt*{497}*. icCayA kalpitum aSakya tvAt 
   ca.*{498}*	ca.*{498}*
        [avihitakarmakartṛtvam eva devalakatvam]	[a vihita karma kartR tvam eva devalaka tvam]
   [56.3 4]     atha karmaparam iti cet. vihitakarmaparam, uta	[56.3 4]     aTa karma param iti cet. vihita karma param, uta
   avihitakarmaparam?*{499}* vihitakarmaparam iti vaktum aśakyam  	avihita karma param?*{499}* vihita karma param iti vaktum aSakyam  
   śrutismṛtītihāsasūtrapurāṇādīnām*{500}* apramāṇyaprasaṅgāt.	Sruti smRti itihAsa sUtra purANa AdInAm *{500}* apramANya prasaFgAt.
   [56.5]     vihitadharmaparatvenānuktatvāt.*{501}*	[56.5]     vihita Darma paratvena anukta tvAt.*{501}*
   [56.6]     "śrutismṛtī mamaivājñā yas tām ullaṅghya vartate /	[56.6]     "Sruti smRtI mama eva AjQA yaH tAm ullaFGya vartate /
   [56.7]     ājñāc chedī mama drohī madbhakto 'pi na vaiṣṇavaḥ //*{502}*"	[56.7]     AjQAt CedI mama drohI mad BaktaH api na vEzNavaH //*{502}*"
        [paradravyakṛtasyāpy ārādhanasya nirdoṣatvam]	[para dravya kRtasya api ArADanasya nirdoza tvam]
   [56.8]     iti bhagavadājñābhaṅgadoṣāc ca. evaṃ ca avihitakarmaparam iti	[56.8]     iti Bagavat AjQA BaFga dozAt ca. evam ca avihita karma param iti
   hi pariśiṣyate.*{503}*	hi pariSizyate.*{503}*
   [56.9 10]     nanu   paradravyeṇa kṛtaṃ bhagavadārādhanaṃ kratuvat	[56.9 10]     nanu  para dravyeNa kRtam Bagavat ArADanam kratu vat 
   parārtham eva bhavatīti cet maivam.*{504}*	para arTam eva Bavati iti ced mA evam.*{504}*
   [56.11]     "anyadharmaparo vipro bhraṣṭo gacchaty adhogatim /	[56.11]     "anya Darma paraH vipraH BrazwaH gacCati aDogatim /
   [56.12]     matkarmanirato vipro nādhaḥ patati kutracit //"	[56.12]     mad karma nirataH vipraH na aDas patati kutracid //"
   [56.13]     iti bhagavadvacanāt*{505}*.	[56.13]     iti Bagavat vacanAt*{505}*.
   [56.14]     purāṇāntare: "svasminn arpitamātreṇa yena kenāpi karmaṇā /	[56.14]     purANa antare: "svasmin arpita mAtreNa yena kena api karmaNA /
   [56.15]     tuṣṭo dadāti svapadam aho vatsalatā*{506}* hareḥ //" iti.	[56.15]     tuzwaH dadAti sva padam aho vatsala tA*{506}* hareH //" iti.
   [56.16]     kiñca:	[56.16]     kiQca:
        [dakṣiṇāpratigrahe doṣābhavaḥ]	[dakziNA pratigrahe doza aBavaH]
   [56.17]     "ekaviṃśatiniṣkantu dadyād ācāryadakṣiṇām /	[56.17]     "ekaviMSati nizkantu dadyAt AcArya dakziNAm /
   [56.18]     ṛtvijān tu tadardhaṃ syāt tadardham itarasya ca //"	[56.18]     RtvijAn tu tad arDam syAt tad arDam itarasya ca //"
   [56.19]     iti dakṣiṇādānaṃ pratipādyate.*{507}*	[56.19]     iti dakziNA dAnam pratipAdyate.*{507}*
   [56.20]     nanu   "pratigraheṇa viprasya brāhmaṃ tejo vinaśyati	[56.20]     nanu  "pratigraheNa viprasya brAhmam tejaH vinaSyati
   //*{508}*" iti manuvacanāt*{509}* [ManuDhŚ 4.186cd]	//*{508}*" iti manu vacanAt*{509}* [ManuDhŚ 4.186cd]
   [56.21 25]     "pratigraheṇa tejo hi viprāṇāṃ śāmyate" ity	[56.21 25]     "pratigraheNa tejaH hi viprANAm SAmyate" iti 
   ānuśāsanikavacanāc ca pratigraheṇa brahmatejonāśanaṃ smaryate. śrūyate	AnuSAsanika vacanAt ca pratigraheNa brahma tejaH nASanam smaryate. SrUyate
   pratigrahe prāyaścittam api. "yo yājayati prati vā gṛhṇāti yājayitvā	pratigrahe prAyaScittam api. "yaH yAjayati prati vA gRhNAti yAjayitvA
   pratigṛhya vānaśnaṃs tris svādhyāyam adhīyīta trirātraṃ sāvitrīṃ gāyatrīm	pratigRhya vAnaSnan tris svADyAyam aDIyIta tri rAtram sAvitrIm gAyatrIm
   anvatirecayati varo dakṣiṇā vareṇaiva varaṃ spṛṇoty ātmā hi varaḥ" iti.	anvatirecayati varaH dakziNA vareNa eva varam spRNoti AtmA hi varaH" iti.
   [56.25]     ataḥ pratigrahe doṣo 'stīti cet   na.*{510}*	[56.25]     atas pratigrahe dozaH asti iti ced  na.*{510}*
   !{497}! DHN[T] 242: anuktatvāt.	!{497}! DHN[T] 242: anukta tvAt .
   !{498}! DHN[T] 242 ins. (jātiparam na bhavati).	!{498}! DHN[T] 242 ins. (jAti param na Bavati).
   !{499}! DHN[T] 242: vihitakarmaparam (vā), utāvihitakarmaparam?.	!{499}! DHN[T] 242: vihita karma param (vA), uta avihita karma param?.
   !{500}! DHN[T] 242: śrutismṛtisūtrapurāṇādīnām.	!{500}! DHN[T] 242: Sruti smRti sUtra purANa AdInAm .
   !{501}! DHN[T] 242: vihitakarmaparatvenānuktatvāt.	!{501}! DHN[T] 242: vihita karma paratvena anukta tvAt.
   !{502}! Dieser Vers ist auch in DHN[D] 65.13 14 zitiert.	!{502}! DieseH Vers ist OC id DHN[D] 65.13 14 zitiert.
   !{503}! DHN[T] 243: iti bhagavadājñābhaṅgadoṣāś ca. (tathā vaktum	!{503}! DHN[T] 243: iti Bagavat AjQA BaFga dozAH ca. (taTA vaktum
   ayuktam). (avihitakarmaparam iti hi pariśiṣyate.)	ayuktam). (a vihita karma param iti hi pariSizyate.)
   !{504}! DHN[T] 243: cen naivam.	!{504}! DHN[T] 243: ced na evam.
   !{505}! DHN[T] 243 om. iti bhagavadvacanāt.	!{505}! DHN[T] 243 om. iti Bagavat vacanAt.
   !{506}! DHN[T] 244: vatsalitā.	!{506}! DHN[T] 244: vatsalitA.
   !{507}! DHN[T] 244: dakṣiṇādānapratipādanāt.	!{507}! DHN[T] 244: dakziNa AdAna pratipAdanAt.
   !{508}! ManuDhŚ: pratigraheṇa hy asyāśu brāhmaṃ tejaḥ praśāmyati.	!{508}! ManuDhŚ: pratigraheNa hi asya ASu brAhmam tejaH praSAmyati.
   !{509}! DHN[T] 244 om. manuvacanāt.	!{509}! DHN[T] 244 om. manu vacanAt.
   !{510}! DHN[T] 244 245 statt DHN[D] 56.21 25: "pratigraheṇa tejo hi	!{510}! DHN[T] 244 245 statt DHN[D] 56.21 25: "pratigraheNa tejaH hi
   viprāṇāṃ śāmyate" na tu? ity ānuśāsanikavacanāc ca pratigraheṇa	viprANAm SAmyate" na tu? iti AnuSAsanika vacanAt ca pratigraheNa
   brahmatejonāśanaṃ, prāyaścittam api śrūyate. "yo yājayati prati vā gṛhṇāti	brahma tejaH nASanaM, prAyaScittam api SrUyate. "yaH yAjayati prati vA gRhNAti
   yājayitvā pratigṛhya vānaśnaṃs tris svādhyāyam adhīyīta trirātrīṃ sāvitrīṃ	yAjayitvA pratigRhya vAnaSnan tris svADyAyam aDIyIta tri rAtrIm sAvitrIm
   gāyatrīm anvātirecayati varo dakṣiṇā vareṇaiva varaṃ spṛṇoty ātmā hi vara"	gAyatrIm anvAtirecayati varaH dakziNA vareNa eva varam spRNoti AtmA hi vara"
   iti. prāyaścittasmaraṇāc ca doṣāstīti cet.	iti. prAyaScitta smaraNAt ca doza asti iti ced .
        [harismaraṇasya mokṣapradatvam]	[hari smaraNasya mokza pradatvam]
   [57.1]     "trāyante khalu nātyantam anyadharmās svanuṣṭitāḥ /	[57.1]     "trAyante Kalu na atyantam anya DarmAH su anuzwitAH /
   [57.2]     api matkarma viguṇaṃ trāyate mahato bhayāt //	[57.2]     api mad karma viguNam trAyate mahataH BayAt //
   [57.3]     merumandaramātro 'pi rāśiḥ pāpasya karmaṇaḥ /	[57.3]     meru mandara mAtraH api rASiH pApasya karmaNaH /
   [57.4]     keśavaṃ vaidyam āsādya ab hier noch Telugu	[57.4]     keSavam vEdyam AsAdya ap hieH na uC Telu gu
   vergleichendurvyādhir iva naśyati //	vergleiCa induH vyADiH iva naSyati //
   [57.5]     nidhisthānaṃ khanan dveṣāt mṛdarthaṃ vāpnuyān nidhim /	[57.5]     niDi sTAnam Kanan dvezAt mRd arTam vA ApnuyAt niDim /
   [57.6]     ajñaḥ kāmāc ca doṣāc ca smṛtvaivaṃ mokṣabhāktathā //	[57.6]     ajQaH kAmAt ca dozAt ca smRtvA evam mokza BAj taTA //
   [57.7]     dveṣiṇā vāprayatnena kṣipto 'gniḥ kakṣamādahet /	[57.7]     dveziNA vA aprayatnena kziptaH agniH kakzam Ada het /
   [57.8]     katham abhyarcito viṣṇuḥ na dahet sarvakilbiṣam //	[57.8]     kaTam aByarcitaH vizNuH na dahet sarva kilbizam //
   [57.9]     yathājño vajrakāyas syāt spardhann api sudhāṃ piban /	[57.9]     yaTA jQaH vajra kAyaH syAt sparDan api suDAm piban /
   [57.10]     evaṃ viruddhabhāvo 'pi mucyaty eva hariṃ smaran //" iti	[57.10]     evam virudDa BAvaH api mucyati eva harim smaran //" iti
   [57.11]     nāradīye: "kṛtāpi dambhahāsyādyair yat sevā tārayej janān /	[57.11]     nAradIye: "kRtA api damBa hAsya AdyEH yat sevA tArayet janAn /
   [57.12]     viphalā nānyakarmeva kṛpāluḥ ko 'nvataḥ param // [NāradaP.]	[57.12]     viPalAH na anya karmA iva kRpAluH kaH anvatas param // [NArada P.]
   [57.13]     hāsyānādaramāyābhir api bhaktiḥ kṛtā tvayi /	[57.13]     hAsya ana Adara mAyABiH api BaktiH kRtA tvayi /
   [57.14]     nṛṇāṃ dadātīndrapadaṃ sāttvikānāṃ kim ucyate // [NāradaP]	[57.14]     nRNAm dadAti indrapadam sAttvikAnAm kim ucyate // [NArada P]
   [57.15]     vastusvabhāva evaiṣa yanmokṣāya harismṛtiḥ /	[57.15]     vastu svaBAvaH eva eza yat mokzAya harismRtiH /
   [57.16]     pūṣeva dhyāntanāśāya śśītaśāntyai yathānalaḥ // [NāradaP.]	[57.16]     pUzA iva DyAnta nASAya SSIta SAntyE yaTA analaH // [NArada P.]
   [57.17]     saiṣā harismṛtiṛ daityaṃ krodhād api kṛtā satī /	[57.17]     sA ezA hari smRtiR dEtyam kroDAt api kRtA satI /
   [57.18]     ānayet sadgatiṃ vipraṃ sānugaṃ kimu varṇyate // [NāradaP.]	[57.18]     Anayet sat gatim vipram sa anugam kimu varNyate // [NArada P.]
   [57.19]     yathāmṛtārthaṃ yatatāṃ surāṇām abdhimanthane /	[57.19]     yaTA amRta arTam yatatAm surANAm abDi manTane /
   [57.20]     pārijātādikāny āsan phalāny aprārthitāny api // [NāradaP.]	[57.20]     pArijAta AdikAni Asan PalAni aprArTitAni api // [NArada P.]
   [57.21]     evaṃ mokṣaikacittānāṃ yatatām īśasaṃsmṛtau /	[57.21]     evam mokza eka cittAnAm yatatAm ISa saMsmRtO /
   [57.22]     bhavanti siddhayo divyāḥ puṇya*{511}* puṇyānubandhi yat //"	[57.22]     Bavanti sidDayaH divyAH puNya *{511}* puNya anubanDi yat //"
   ityādi [NāradaP]	ityAdi [NArada P]
   [57.23]     tatraiva: "surātithyarcanakṛte gurubhṛtyartham eva ca /	[57.23]     tatra eva: "sura atiTi arcana kRte guru BRti arTam eva ca /
   [57.24]     sarvataḥ pratigṛhṇīyāt na tu duṣyet svayaṃ tataḥ //" [NāradaP]	[57.24]     sarvatas pratigRhNIyAt na tu duzyet svayam tatas //" [NArada P]
   !{511}! Lies: puṇyaṃ.	!{511}! Lies: puNyaM.
   [58.1 2]     iti ca smaraṇāt. ataḥ śāstroktamārgeṇa bhagavadyajanavidhau	[58.1 2]     iti ca smaraNAt. atas SAstra ukta mArgeNa Bagavat yajana viDO
   pravṛttānāṃ tattatkarmasu dakṣiṇāpratigrahe kṛte 'pi na doṣaḥ.	pravRttAnAm tat tad karmasu dakziNa apratigrahe kRte api na dozaH.
        [ālayārcanāyāḥ mahābhāratādisaṃmatatvam]	[Alaya arcanAyAH mahABArata Adi saMmata tvam]
   [58.3]     gṛhārcanāvyatirekeṇālayārcanā bhāratādiṣu pratipāditā dṛśyate.	[58.3]     gRha arcana avyatirekeNa Alaya arcanA BArata Adizu pratipAditA dRSyate.
   yathā  	yaTA  
   [58.4]     mahābhārate āśvamedhike "kathaṃ tvam arcanīyo 'sī"ty ādi. [MBh	[58.4]     mahABArate ASvameDike "kaTam tvam arcanIyaH asI"ti Adi. [MBh
   14 App. 4.1652pr]	14 App. 4.1652pr]
   [58.5]     viṣṇudharmottare ṣaṣṭhe 'dhyāye:	[58.5]     vizNuDarmottare zazWe aDyAye:
   [58.6]     "yas tu devagṛhasyārthaṃ prākāraṃ parikalpayet /	[58.6]     "yaH tu devagRhasya arTam prAkAram parikalpayet /
   [58.7]     sa tu svargaṃ samāsadya vimānādhipatir bhavet //	[58.7]     sa tu svargam samAsadya vimAna aDipatiH Bavet //
   [Viṣṇudharmottara.P ]	[VizNuDarma uttara.P ]
   [58.8]     yas tu devālayasyāgre śilādārubhir eva vā /	[58.8]     yaH tu devAlayasya agre SilAdAruBiH eva vA /
   [58.9]     karoti toraṇaṃ ramyaṃ sa tu svargādhipo bhavet //	[58.9]     karoti toraNam ramyam sa tu svarga aDipaH Bavet //
   [Viṣṇudharmottara.P ]	[VizNuDarma uttara.P ]
   [58.10]     yas tu devālayaṃ viṣṇor dāruśailamṛdā tathā /	[58.10]     yaH tu devAlayam vizNoH dAru SEla mRdA taTA /
   [58.11]     iṣṭakākalpitaṃ vāpi kuryāt tasya phalaṃ bahu //	[58.11]     izwakA kalpitam vA api kuryAt tasya Palam bahu //
   [Viṣṇudharmottara.P ]	[VizNuDarma uttara.P ]
   [58.12]     ahanyahany aśvamedha  sahasrāṇi karoti yaḥ /	[58.12]     ahani ahani aSvameDa sahasrANi karoti yaH /
   [58.13]     prāpnoti maṇḍapaṃ viṣṇoḥ yaḥ kārayati mānavaḥ //	[58.13]     prApnoti maNxapam vizNoH yaH kArayati mAnavaH //
   [Viṣṇudharmottara.P ]	[VizNuDarma uttara.P ]
   [58.14]     keśavasya sa tallokam akṣayyaṃ pratipadyate /	[58.14]     keSavasya sa tat lokam akzayyam pratipadyate /
   [58.15]     pratimārthaṃ mahāviṣṇos sādhayed uttamāṃ śilām //	[58.15]     pratimA arTam mahA vizNoH sADayet uttamAm SilAm //
   [ViṣṇudharmottaraP ]	[VizNuDarma uttaraP ]
   [58.16]     ṣaṣṭirvarṣasahasrāṇi svargaloke mahīyate //" iti.	[58.16]     zazwiH varza sahasrANi svarga loke mahIyate //" iti.
   [ViṣṇudharmottaraP ]	[VizNuDarma uttaraP ]
   [58.17 19]     eteṣāṃ ca prākāratoraṇamaṇḍapavigrahaśilādīṇāṃ	[58.17 19]     etezAm ca prAkAra toraNa maNxapa vigraha SilA AdINAm
   gṛhadevatāsvasaṃbhavaḥ śrīvaikhānasasaṃhitāsu pratipāditaḥ. prasaṅgād	gRha devatAsu asaMBavaH SrI vEKAnasa saMhitAsu pratipAditaH. prasaFgAt 
   arcakamahimādīha kathyate.	arcaka mahimAdi iha kaTyate.
        [arcakamāhātmyam]	[arcaka mAhAtmyam]
