   prathamo vilāsaḥ	praTamaH vilAsaH
   yathā tattvasākṣātkārānubhavitāraḥ /	yaTA tattva-sAkzAtkAra-anuBavitAraH /
   tathā ceme ceṣṭāviśiṣṭāḥ /	taTA ca-ime cezwA-viSizwAH /
   tasmāt rasānubhavavanta eveti /	tasmAt rasa-anuBavavantaH eva-iti /
   na ca dṛṣṭānte sādhanavaikalyamāśaṅkanīyam /	na ca dRzwAnte sADana-vEkalyam-ASaFkanIyam /
   samādhivelāyāmānante bāṣpādivyatikaraprasiddheḥ /	samADi-velA-AyAmAnante bAzpa-Adi-vyatikara-prasidDeH /
   tathā mahimrastave	taTA mahimrastave
   "manaḥ pratyak citte savidhamavadhāyāstamarutaḥ prahṛṣyadromāṇaḥ	"manaH pratyak citte saviDam-avaDAya-asta-marutaH prahRzyat-romANaH
   pramadasalilotsaṅgita dṛśaḥ /	pramada-salila-utsaFgita dRSaH /
   yadālokyāhlādahrada iva nimajjyāmṛtamaye dadhatyantastattvaṃ kamapi	yadAlokya-AhlAda-hradaH iva nimajjya-amRta-maye daDati-antar-tattvam kam-api
   yaminastatkila bhavān" // Ckc_5.*24 //	yaminaH-tad-kila BavAn" // Ckd-_5.*24 //
   iti	iti
   āgamāḥ puna ranekasiddhāntarahasye sākṣātkāriṇāṃ yathādṛṣṭavādināṃ	AgamAH puna raneka-sidDAntarahasye sAkzAtkAriNAm yaTA-dRzwa-vAdinAm
   purāṇakavīnāmalaṅkārasaṃhitāḥ /	purANa-kavInAm-alaFkAra-saMhitAH /
   tatra ca rasa eva sarvottaratayā pratipādyate /	tatra ca rasaH eva sarva-uttaratayA pratipAdyate /
   gosadṛśo gavaya itivat tattvasākṣātkārasadṛśo rasa ityupamānamapi	go-sadRSaH gavayaH iti-vat tattva-sAkzAtkAra-sadRSaH rasaH iti-upamAnam-api
   rasasadbhāvāyānubhāvanādātmasattāsāphalyamanusaṃdhatte /	rasa-sadBAvAya-anuBAvanAt-Atma-sattAsA-Palyam-anusaMDatte /
   arthāpattirapi nirāpattikaṃ samarthayate rasasadbhāvam /	arTApattiH-api nirApattikam samarTayate rasa-sadBAvam /
   yathā divā na bhuñjānasya devadattasya pīnatvānupapattyā kalpitā	yaTA divA na BuQjAnasya devadattasya pInatvA-anupapattyA kalpitA
   naktaṃbhuktiḥ /	naktaMBuktiH /
   evaṃ vibhāvānubhāvāderanupapattyā rasa iti /	evam viBAva-anuBAva-AdeH-anupapattyA rasaH iti /
   nanu rasāpratītāvapi svayameva kvacidāsvādyatayā svatandrāṇāṃ bhāvādīnāṃ	nanu rasa-apratItO=-api svayam-eva kvacid-AsvAdyatayA sva-tandrANAm BAva-AdInAm
   kānupapattiriti cet kadācit ko 'pi vibhāvādiṣu svatantravyavahāra	kA-anupapattiH-iti ced kadAcid kaH api viBAva-Adizu svatantra-vyavahAra
   upacāramātreṇa rājapuruṣeṣu rājavyavahāravaditi	upacAra-mAtreNa rAja-puruzezu rAja-vyavahAra-vat-iti
   saṃbhavavastusaṃkhyāviṣayatayā rasamahārājalakṣmīmanālakṣayan	saMBava-vastu-saMKyA-vizaya-tayA rasa-mahA-rAja-lakzmI-manAH-la-kzayan
   nijadaurbhāgyamāvirbhāvayati /	nija-dOrBAgyam-AvirBAvayati /
   aitihyamapi nidarśitapramāṇasaṃvādinā bāhyaṃ, naiva rasanirūpaṇe	Etihyam-api nidarSita-pramANa-saMvAdinA bAhyan, na-eva rasa-nirUpaNe
   saṃbādhamavalambate /	saMbADam-avalambate /
   taditthamakhilapramāṇasaṃsiddhe rasasudhāniṣyande sumanobhiranubhūyamāne	tat-itTam-aKila-pramANa-saMsidDe rasa-suDA-nizyande sumanoBiH-anuBUyamAne
   yogyānupalabdhilakṣaṇamabhāvapramāṇaṃ rasāvamānaika durāgrahāṇāṃ	yogyA-anupalabDi-lakzaNam-aBAva-pramANam rasa-avamAna-eka durAgrahANAm
   viparītasākṣarāṇāṃ manasi vaidagdhyābhāvameko 'pi bhāsayati /	viparItasAkzarANAm manasi vEdagDya-aBAvam-ekaH api BAsayati /
   tathā coktamasmadācāryaiḥ kāśīśvaramiśraiḥ rasamīmāṃsāyām	taTA ca-uktam-asmad-AcAryEH kASISvara-miSrEH rasa-mImAMsAyAm
   "rasalakṣmīmanādṛtya vāgāḍambara toraṇam /	"rasa-lakzmIm-anAdRtya vAc-Axambara toraNam /
   puṇḍrekṣo rasavidveṣādṛjīṣānubhavo yathā" // Ckc_5.33 //	puNxrekzaH rasa-vidveza-at-RjIzA-anuBavaH yaTA" // Ckd-_5.33 //
   pramāṇalakṣaṇādika manyato 'vagantavyam /	pramANa-lakzaNa-Adika manyataH avagantavyam /
   kavayo lokasiddhāntasiddhārthavyavahāriṇaḥ /	kavayaH loka-sidDAnta-sidDArTa-vyavahAriNaH /
   atraiva hi camatkārasākṣātkā raikasākṣiṇaḥ // Ckc_5.34 //	atra-eva hi camatkAra-sAkzAtkAH rEka-sAkziNaH // Ckd-_5.34 //
   anuktānāmihānyeṣāṃ lakṣyalakṣaṇavistaraḥ /	anuktAnAm-iha-anyezAm lakzya-lakzaNa-vistaraH /
   siṅgabhūpālaracite rasārṇāvasudhākare // Ckc_5.35 //	siFga-BUpAla-racite rasa-arNa-avasuDA-kare // Ckd-_5.35 //
   ādidvitīyayoḥ sādhu śīlanīyā vilāsayoḥ /	Adi-dvitIyayoH sADu SIlanIyAH vilAsayoH /
   anyatrabaddhadṛṣṭitvādasmābhirna prapañcitaḥ // Ckc_5.36 //	anyatra-badDa-dRzwi-tvAt-asmABiH-na prapaQcitaH // Ckd-_5.36 //
   na hi sarvatra sarveṣāṃ viśeṣāṇāṃ pradarśanam /	na hi sarvatra sarvezAm viSezANAm pradarSanam /
   ativistaradoṣeṇa granthocchedaprasaṅgataḥ // Ckc_5.37 //	ati-vistara-dozeNa granTa-ucCeda-prasaFgataH // Ckd-_5.37 //
   diṅmātrameva śāstreṣu dhīmatāmupadiśyate /	diS-mAtram-eva SAstrezu DImatAm-upadiSyate /
   khayamevāvabhāsante viśeṣāḥ pariśīlanāt // Ckc_5.38 //	Kayam-eva-avaBAsante viSezAH pariSIlanAt // Ckd-_5.38 //
   iti sakalamapi kalyāṇam /	iti sakalam-api kalyANam /
   iti sarasasāhityacāturīdhurīṇaviśveśvarakavicandrapraṇītāyāṃ	iti sarasa-sAhitya-cAturIDurINa-viSva-ISvaraka-vi-candra-praNItAyAm
   śrīsiṅgabhūpālakīrtisudhāsāra śītalāyāṃ camatkāracandrikāyā- malaṅkṛtau	SrI-siFga-BUpAla-kIrti-suDA-sAra SItalAyAm camatkAra-candrikAyA malaFkRtO
   rasaviveko nāma pañcamo vilāsaḥ //	rasavivekaH nAma paQcamaH vilAsaH //
   ṣaṣṭho vilāsaḥ /	zazWaH vilAsaH /
   camatkāracandrikā viśveśvarakavicandraviracitā alaṅkāravilāsaḥ /	camatkAra-candrikA viSveSvaraka-vi-candra-viracitAH alaFkAra-vilAsaH /
   ekadeśagatāssarvaṃ śarīraṃ kaṭakādivat /	eka-deSa-gatAH-sarvam SarIram kawaka-Adi-vat /
   alaṅkurvanti ye kāvyaṃ te 'laṅkāratayā matāḥ // Ckc_6.1 //	alaFkurvanti ye kAvyam te alaFkAra-tayA matAH // Ckd-_6.1 //
   traividhyaṃ kathitaṃ teṣāṃ śabdārthobhayasaṃbhayāt /	trEviDyam kaTitam tezAm Sabda-arTa-uBaya-saMBayAt /
   atra śabdagatāḥ prājñairekādaśa samīritāḥ // Ckc_6.2 //	atra Sabda-gatAH prAjQEH-ekAdaSa samIritAH // Ckd-_6.2 //
   chāyā mudrā yuktiḥ śleṣānuprāsagumbhanāścitram /	CAyA mudrA yuktiH Sleza-anuprAsa-gumBanAH-citram /
   yamakaṃ vākovākyaṃ gūḍhaṃ praśnottaraṃ ceti // Ckc_6.3 //	yamakam vAkovAkyam gUXam praSna-uttaram ca-iti // Ckd-_6.3 //
   anyoktīnāmanukṛtiḥ chāyā seyamudāhṛtā /	anyoktInAm-anukRtiH CAyA sA-iyam-udAhRtA /
   tredhā nāgarikagrāmyasāmānyoktyanusārataḥ // Ckc_6.4 //	treDA nAgarika-grAmya-sAmAnya-ukti-anusArataH // Ckd-_6.4 //
   tatra nāgarikoktichāyā yathā	tatra nAgarikA-ukti-CAyA yaTA
   sikto 'pi siṅgabhūpālakalyāṇoktisudhārasaiḥ /	siktaH api siFga-BUpAla-kalyANa-ukti-suDA-rasEH /
   yo na pallavitastasmai jaṅgamasthāṇave namaḥ // Ckc_6.*1 //	yaH na pallavitaH-tasmE jaFgama-sTANave namaH // Ckd-_6.*1 //
   atra jaṅgamasthāṇave nama iti solluṇṭhane namaḥśabdaṃ vadatāṃ	atra jaFgama-sTANave namaH iti sa-ulluNWane namaH-Sabdam vadatAm
   vidagdhānāmukteranukṛtiḥ chāyā /	vidagDAnAmukteH-anukRtiH CAyA /
   grāmyokticchāyā yathā	grAmya-ukti=-CAyA yaTA
   sakhi siṅganṛpatipadayugaśaraṇāgatarājavebhavaṃ paśya /	saKi siFga-nRpati-pada-yuga-SaraNa-Agata-rAja-veBavam paSya /
   sundari kimidaṃ citraṃ rājñi bhujaṅge 'pi kācavalayaḥ kim // Ckc_6.*2 //	sundari kim-idam citram rAjQi BujaFge api kAca-valayaH kim // Ckd-_6.*2 //
   atra turīyapāda āśrayaviśeṣeṇābyudayaviśeṣaṃ vadatāṃ	atra turIya-pAdaH ASraya-viSezeNa-abi-udaya-viSezam vadatAm
   grāmyāṇāmukteranukṛtiḥ chāyā /	grAmyANA-mukteH-anukRtiH CAyA /
   sāmānyokticchāyā yathā	sAmAnya-ukti=-CAyA yaTA
   ko 'yaṃ vāñchitamarthināṃ vitanute nanveṣa cintāmaṇiḥ sagrāvā kila kintu	kaH ayam vAQCitam-arTinAm vitanute nanu-eza cintAmaNiH sa-grAvA kila kintu
   naiva hi pumān hāsena kiṃ bhūyasā /	na-eva hi pumAn hAsena kim BUyasA /
   so 'yaṃ śrī anavotasiṅganṛpatiḥ kasmādidaṃ jñāyate ratnollāsini kaṅbtṇe	saH ayam SrI anavota-siFga-nRpatiH kasmAt-idam jQAyate ratna-ullAsini kaFbtNe
   karatale kiṃ darpaṇāpekṣayā // Ckc_6.*3 //	kara-tale kim darpaNa-apekzayA // Ckd-_6.*3 //
   atra turīyapāde pratyakṣasiddhe vastuni kimanyāpekṣayetyasminnarthe	atra turIya-pAde pratyakza-sidDe vastuni kim-anya-apekzayA-iti-asmin=-arTe
   karakaṅkaṇadarśane kimādarśavimbeneti sarvajanasādhāraṇokteranukaraṇādiyaṃ	kara-kaFkaNa-darSane kim-AdarSa-vimbena-iti sarva-jana-sADAraNa-ukteH-anukaraNAt-iyam
   sāmānyokticchāyā /	sAmAnya-ukti=-CAyA /
   sābhiprāyasya vākye yadvacaso 'bhiniveśanam /	sa-aBiprAyasya vAkye yat-vacasaH aBiniveSanam /
   mudrāṃ tāṃ mutpradāyitvāt kāvyamudrāvido viduḥ // Ckc_6.5 //	mudrAm tAm mud-pradAyi-tvAt kAvya-mudrA-vidaH viduH // Ckd-_6.5 //
   seyaṃ dvedhā budhairuktā padena vacanena ca // Ckc_6.6 //	sA-iyam dveDA buDEH-uktA padena vacanena ca // Ckd-_6.6 //
   padamudrā yathā	pada-mudrA yaTA
   asmatkalpalātādalāni gilati tvatkāmagaurvāryatāṃ maccintāmaṇivedibhiḥ	asmad-kalpa-lAtA-dalAni gilati tvad-kAma-gOH-vAryatAm mad-cintAmaNi-vediBiH
   pariṇameddūrānnanayoccairgajam /	pariNamet-dUrAn-nanaya-uccEs-gajam /
   ityārūḍhavitardikāḥ pratipadaṃ jalpanti bhūdevatāḥ siṅgakṣmābhuji	iti-ArUXa-vitardikAH pratipadam jalpanti BU-devatAH siFgakzmABuji
   kalpavṛkṣasurabhīhastyādidānodyate // Ckc_6.*4 //	kalpavRkza-suraBIhastyAt-idAna-udyate // Ckd-_6.*4 //
   atra kalpalatādīnāṃ devatāyogyatvāt sadbrāhnaṇā ityādipadato 'pi bhūdevatā	atra kalpa-latA-AdInAm devatA-yogya-tvAt sat-brAhnaNAH iti-AdipadataH api BU-devatA
   iti padasyābhijātatvamitīyaṃ padamudrā /	iti padasya-aBijAta-tvam-iti-iyam pada-mudrA /
   vacanamudrā yathā	vacana-mudrA yaTA
   bho cindāmaṇivedikāparisare santānasantānaka- cchāyāyāṃ	Bo cindA-maNi-vedikA-parisare santAna-santAnaka cCAyAyAm
   surabhīpayodharapayodhārābhirārādhitāḥ /	suraBI-payoDara-payoDArABiH-ArADitAH /
   mā garvīyata devatā vayamamī dṛṣṭāḥsma āvismitaiḥ śrīsiṅgakṣitināyakasya	mA garvIyata devatAH vayam-amI dRzwAHsmaH AvismitEH SrI-siFga-kziti-nAyakasya
   karuṇāraṅgairapāṅgaiḥ sphuṭam // Ckc_6.*5 //	karuNA-raFgEH-apAFgEH sPuwam // Ckd-_6.*5 //
   atra devatāsāmyabahuvacanābhiprāyaṇātmani vaktrā vayamiti bahuvacanaṃ	atra devatA-sAmya-bahuvacana-aBiprAyaNa-Atmani vaktrA vayam-iti bahuvacanam
   prayuktamitīyaṃ vacanamudrā /	prayuktam-iti-iyam vacana-mudrA /
   āyujyamānasya mithaḥ śabdarya prakṛtocitam /	AyujyamAnasya miTas Sabdarya prakRta-ucitam /
   yojanā kriyate yāsau yuktirityucyate budhaiḥ // Ckc_6.7 //	yojanA kriyate yA-asO yuktiH-iti-ucyate buDEH // Ckd-_6.7 //
   tatrāyujyamānapadayojanā yathā	tatra-ayujyamAna-pada-yojanAH yaTA
   śambhossthitā bhūṣaṇapeṭikāyāṃ śriyaḥ sapatnīmabhitaḥ sphurantī /	SamBossTitA BUzaNa-pewikAyAm SriyaH sapatnIm-aBitas sPurantI /
   viṣṇoḥ padaṃ madhyamamāviśantī virājate siṅganṛpālakīrtiḥ // Ckc_6.*6 //	vizNoH padam maDyamam-AviSantI virAjate siFga-nRpAla-kIrtiH // Ckd-_6.*6 //
   atra pātālamityādi prakṛtārthe śambhubhūṣaṇapeṭikādi	atra pAtAlam-ityAdi prakRta-arTe SamBu-BUzaNa-pewikA-Adi
   padānāmakleśayogaparaṃparayā yojanā kṛteti padayuktiriyam /	padAnAm-akleSa-yoga-paraMparayA yojanA kRtA-iti pada-yuktiH-iyam /
   evaṃ vākyaprakaraṇaprabandhaviśeṣāṇāmapyudāhāraṇāni draṣṭavyāni /	evam vAkya-prakaraNa-prabanDa-viSezANAm-api-udAhAraNAni drazwavyAni /
   ekarūpeṇa vākyena dvayorbhaṇanamarthayoḥ /	eka-rUpeNa vAkyena dvayoH-BaNanam-arTayoH /
   tantreṇa yatra hi śleṣaḥ so 'yaṃ naikavidho mataḥ // Ckc_6.8 //	tantreNa yatra hi SlezaH saH ayam na-ekaviDaH mataH // Ckd-_6.8 //
   prakṛtipratyayapadavibhaktivacanādibhiḥ // Ckc_6.9 //	prakRti-pratyaya-pada-viBakti-vacana-AdiBiH // Ckd-_6.9 //
   tatra prakṛtiśleṣo yathā	tatra prakRti-SlezaH yaTA
   kalyāṇadastvadīyoyaṃ nataḥ śrīsiṅgabhūpate /	kalyANa-daH-tvadIyoyam nataH SrI-siFga-BUpate /
   arthasāravidāṃ loke viduṣāṃ vidviṣāmapi // Ckc_6.*7 //	arTa-sAra-vidAm loke viduzAm vidvizAm-api // Ckd-_6.*7 //
   atra kalyāṇada ityatra dadātidadatyoḥ sāravidāmityatra vettividantyośca	atra kalyANa-daH iti-atra dadAti-dadatyoH sAra-vidAm-iti-atra vetti-vidantyoH-ca
   prakṛtyoḥ śleṣaḥ /	prakRtyoH SlezaH /
   karoti siṅgabhūpāla karaste viduṣāṃ mudam /	karoti siFga-BUpAla karaH-te viduzAm mudam /
   kartā vairivipattīnāṃ saṃpadaṃ suhṛdāṃ sphuṭam // Ckc_6.*8 //	kartA vEri-vipattInAm saMpadam suhRdAm sPuwam // Ckd-_6.*8 //
   tatra karteti pade tṛcpratyayatṛnpratyayayoḥ śleṣaḥ /	tatra kartA-iti pade tRd-pratyaya-tRd-pratyayayoH SlezaH /
   vairivipattīnāṃ karteti tṛcpratyayaḥ /	vEri-vipattInAm kartA-iti tRd-pratyayaH /
   saṃpadaṃkarteti tṛnpratyayaḥ /	saMpadaMkartA-iti tRd-pratyayaH /
   anyathā kṛdyogaṣaṣṭhyāvaśyaṃbhāvitvāttadubhayavibhaktisaṃbaṃdhāya	anyaTA kRt-yoga-zazWyA-avaSyaMBAvi-tvAt-tad-uBaya-viBakti-saMbaMDAya
   pratyayadvayasya vivakṣitatvāt tathokto 'yam /	pratyaya-dvayasya vivakzita-tvAt taTA-uktaH ayam /
   padaśleṣo yathā	pada-SlezaH yaTA
   hariścandro rakṣākaraṇarucisatyeṣu vacasāṃ vilāse vāgīśo mahati niyame	hariScandraH rakzA-karaNa-ruci-satyezu vacasAm vilAse vAgISaH mahati niyame
   nītinigame /	nIti-nigame /
   vijetā gāṅgeyaṃ janabharaṇa saṃmohanakalā- vrateṣu śrīsiṅgakṣitipatirudāro	vijetA gAFgeyam jana-BaraNa saMmoha-na-kalA vratezu SrI-siFga-kzitipatiH-udAraH-
   vijayate // Ckc_6.*9 //	vijayate // Ckd-_6.*9 //
   atra hariścandra iti cakravartivācake pade hariścandraścandraśceti padayoḥ	atra hariScandraH iti cakravarti-vAcake pade hariScandraH-candraH-ca-iti padayoH
   vāgīśaḥ vāgīśaśceti padayoḥ gāṅgeya iti bhīṣma iti vācake pade gāṅgoyaṃ	vAgISaH vAgISaH-ca-iti padayoH gAFgeyaH iti BIzmaH iti vAcake pade gAFgoyam
   ceti padayoḥ śleṣaḥ, ityayaṃ padaśleṣaḥ /	ca-iti padayoH SlezaH, iti-ayam pada-SlezaH /
   vibhaktiśleṣo dvidhā /	viBakti-SlezaH dviDA /
   sajātīyo vijātīya iti /	sajAtIyaH vijAtIyaH iti /
   tatrādyo yathā	tatra-AdyaH yaTA
   sthito virājirājīvavāsinyā kaustubhena ca /	sTitaH virAji-rAjIva-vAsinyA kOstuBena ca /
   vakṣaḥsthalaṃ dadhāno 'vyāddevaḥ śrīsiṅgabhūpatim // Ckc_6.*10 //	vakzaH-sTalam daDAnaH avyAt-devaH SrI-siFga-BUpatim // Ckd-_6.*10 //
   atra vīnāṃ pakṣiṇāṃ rāṭ tasmin virājīti saptamī /	atra vInAm pakziNAm rAj tasmin virAji-iti saptamI /
   lakṣmīkaustubhābhyāṃ virājī virājanaśīlamiti dvitīyā /	lakzmI-kOstuBAByAm virAjI virAjana-SIlam-iti dvitIyA /
   tedve subvibhakttī virājīti pade śliṣṭeiti sajātīyavibhaktiśleṣo 'yam /	tedve subviBakttI virAji-iti pade Slizwa-iiti sajAtIya-viBakti-SlezaH ayam /
   dvitīyo yathā	dvitIyaH yaTA
   kīrtirviśālā dviṣatāmahāri vyatāni tadvāmadṛśāṃ ca vakṣaḥ /	kIrtiH-viSAlA dvizatAm-ahAri vyatAni tad-vAmadRSAm ca vakzaH /
   abhedi taddurgamapi vyadhāyi śrīsiṅgabhūpena nijāptacittam // Ckc_6.*11 //	aBedi tad-durgam-api vyaDAyi SrI-siFga-BUpena nija-Apta-cittam // Ckd-_6.*11 //
   atra nāyakena dviṣatāṃ kīrtirahāri hṛtā /	atra nAyakena dvizatAm kIrtiH-ahAri hRtA /
   tenaiva ripustrīṇāṃ vakṣaḥ avidyamānahāraṃ vyatānītyatra atītyekapade luṅi	tena-eva ripu-strINAm vakzaH avidyamAna-hAram vyatAni-iti-atra atIti-ekapade luFi
   prathamapuruṣaśca napuṃsakakarma ca dvitīyā ca tiṅsubvibhakttī śliṣṭe iti	praTama-puruzaH-ca napuMsaka-karma ca dvitIyA ca tiFsubviBakttI Slizwe iti
   vijātīyavibhaktiśleṣaḥ /	vijAtIya-viBakti-SlezaH /
   evamabhedītyatrāpi vijñeyam /	evam-aBedI-ti-atra-api vijQeyam /
   vacanaśleṣo yathā	vacana-SlezaH yaTA
   āśānāṃ prabhavassīmā śriyāṃ sattrabhujaśśubhāḥ /	ASAnAm praBavassImA SriyAm sattra-BujaH-SuBAH /
   śaurirdevāśca dadatāṃ kalyāṇaṃ siṅgabhūbhuje // Ckc_6.*12 //	SOriH-devAH-ca dadatAm kalyANam siFga-BUBuje // Ckd-_6.*12 //
   atra śauriḥ nārāyaṇo nāyakāya kalyāṇaṃ dadatāṃ vitaratu /	atra SOriH nArAyaNaH nAyakAya kalyANam dadatAm vitaratu /
   dada dāne iti dhātorātmanepadino loṭi prathamapuruṣaivakacanam /	dada dAne iti DAtoH-AtmanA-IpadinaH lowi praTama-puruza-eva-kacanam /
   kīdṛśaḥ śauriḥ /	kIdRSaH SOriH /
   āśānāṃ natajanamanorathānāṃ prabhava utpattisthānaṃ dātetyarthathaḥ śriyāṃ	ASAnAm nata-jana-manoraTAnAm praBavaH utpatti-sTAnam dAtA-iti-arTaTaH SriyAm
   saubhāgyaviṣye sīmā paramāvadhiḥ /	sOBAgya-vizye sImA parama-avaDiH /
   satastrāyata iti sattraḥ /	sataH-trAyate iti sattraH /
   tādṛśo bhujo bāhurasyeti sattrabhujaḥ /	tAdRSaH BujaH bAhuH-asya-iti sattra-BujaH /
   śobhanā bhāso dīptayo 'syeti śubhāḥ devapakṣe tu devāḥ /	SoBanA BAsaH dIptayaH asya-iti SuBAH deva-pakze tu devAH /
   kalyāṇaṃ dadatāṃ vitarantu /	kalyANam dadatAm vitarantu /
   dadatāmiti ḍudāñ dāne iti dhātorātmanepadino loṭi	dadatAm-iti xudAn dAne iti DAtoH-AtmanA-IpadinaH lowi
   prathamapuruṣabahuvacanam /	praTama-puruza-bahuvacanam /
   kiṃ bhūtāḥ devāḥ? āśānāṃ diśāṃ prabhavo nāthāḥ, śriyāṃ saṃpadāṃ sīmā	kim BUtAH devAH? ASAnAm diSAm praBavaH nATAH, SriyAm saMpadAm sImA
   avadhayaḥ /	avaDayaH /
   satre bhujata iti satrabhujaḥ /	satre Bujate iti satra-BujaH /
   śobhanā bhāḥ kāntiḥ yeṣāṃ te śubā ityuktamārgeṇa kriyāpade viśeṣaṇapataṃ	SoBanA BAs kAntiH yezAm te SubAH iti-ukta-mArgeNa kriyA-pade viSezaNa-patam
   ekavacanabahuvacane śliṣṭe ityayaṃ vacanaśleṣaḥ /	eka-vacana-bahuvacane Slizwe iti-ayam vacana-SlezaH /
   ādiśabdādbhāṣāśleṣaḥ yathā	Adi-SabdAt-BAzA-ASlezaH yaTA
   melāyanāya te rājyamastu gādanasiṃgana /	melAyanAya te rAjyam-astu gAdana-siMganaH /
   vīrāya manasā porarāmākājanaketana // Ckc_6.*13 //	vIrAya manasA porarAmAkAjanaketanaH // Ckd-_6.*13 //
   he gādana ! gadayati pūrvamabhibhāṣayatīti gādanaḥ /	he gAdana ! gadayati pUrvam-aBiBAzayati-iti gAdanaH /
   tasya saṃbuddhiḥ pūrvabhibhāṣinnityarthaḥ /	tasya saMbudDiH pUrvaBiBAzit-=-iti-arTaH /
   tādṛśāya te rājyam /	tAdRSAya te rAjyam /
   paurarāmākāṭanaketana paurarāmāṇāṃ porastrīṇāṃ kāṭanaketana matsyaketana	pOrarAma-AkAwanaketana pOra-rAmANAm pora-strINAm kAwanaketana matsya-ketana
   rāmāmadanetyarthaḥ /	rAmA-madanA-iti-arTaH /
   he sigana siṅgabhūpāla /	he sigana siFga-BUpAla /
   manasā vīrāya melāyanāya /	manasA vIrAya melAyanAya /
   mā ca ilā ca mete lakṣmībhūmyau tayorayanaṃ mārgaḥ melāyanaṃ tasmai	mA ca ilA ca mete lakzmI-BUmyO tayoH-ayanam mArgaH melA-ayanam tasmE
   melāyanāya lakṣmībhūminivāsasthānāyetyarthaḥ /	melAyanAya lakzmI-BUmi-nivAsa-sTAnAya-iti-arTaH /
   tādṛśāya te rājyamiti prajāpālanasāmarthyarūpakarmāstu sarvotkarṣeṇa	tAdRSAya te rAjyam-iti prajA-pAlana-sAmarTya-rUpa-karmAH-tu sarva-utkarzeNa
   bhūyāditi saṃskṛtabhāṣā pratīyate /	BUyAt-iti saMskRta-BAzA pratIyate /
   melāyanāyetyādipadeṣu bhadramabhavadve tyādyārthavāciṣu	melAyanAya-ityAdi-padezu Badram-aBavat-ve tyAdya-arTa-vAcizu
   taddeśabhāṣāviduṣāmāndhrabhāṣā ca pratīyate /	tad-deSa-BAzA-viduzA-mAnDra-BAzA ca pratIyate /
   tadayaṃ bhāṣāśleṣaḥ /	tat-ayam BAzA-ASlezaH /
   evaṃ saṃskṛtaprākṛtādibhāṣāśleṣāstu tatra tatra mahākaviprabandheṣu	evam saMskRta-prAkRta-Adi-BAzA-ASlezAH-tu tatra tatra mahA-kavi-prabanDezu
   citratareṣu svayamanusaṃdheyāḥ /	citratarezu svayam-anusaMDeyAH /
   anuprāsastu varṇānāmāvṛttiravidūragā /	anuprAsaH-tu varNAnAm-AvRttiH-avidUra-gA /
   avyāpako vyāpakaścetyayaṃ dvedhā samāsataḥ // Ckc_6.10 //	avyApakaH vyApakaH-ca-iti-ayam dveDA samAsatas // Ckd-_6.10 //
   avyāpako yathā	avyApakaH yaTA
   gauḍīsaṅgītabhaṅgī rahasi vilasitaṃ kosalīkauśalānāṃ nepālīgaṇḍapālī	gOxI-saFgIta-BaFgI rahasi vilasitam kosalI-kOSalAnAm nepAlI-gaNxapAlI
   mṛgamadamakarīṃ kairalīṃ pānakelīm /	mRgamada-makarIm kEralIm pAnakelIm /
   lāṭīpāṭīracarcāṃ kusumaviracanāṃ kuntalīkuntalānāṃ siṅgakṣmākānta bhinte	lAwI-pAwI-ra-carcAm kusuma-viracanAm kuntalI-kuntalAnAm siFga-kzmA-kAnta Binte
   tava vijayaramāsnighdhaveṇiḥ kṛpāṇiḥ // Ckc_6.*14 //	tava vijaya-rama-asniGDaveNiH kRpANiH // Ckd-_6.*14 //
   atrānuprāsasya prativākyaṃ bhinnarūpatvādavyāpakānuprāso 'yam /	atra-anuprAsasya prativAkyam Binna-rUpa-tvAt-avyApaka-anuprAsaH ayam /
   yathā ca	yaTA ca
   jayati jagadudāro jālmavṛttātidūraḥ sujanabhajanaśīlaḥ stutyasatyānukūlaḥ	jayati jagat-udAraH jAlma-vRtta-ati-dUraH su-jana-Bajana-SIlaH stutya-satya-anukUlaH
   abhinavasuradhenorannavotasya sūnuḥ kṣitinutaguṇasāndraḥ	aBinava-suraDena-urannavotasya sUnuH kzitinuta-guNa-sAndraH
   siṅgabhūpālacandraḥ // Ckc_6.*15 //	siFga-BUpAla-candraH // Ckd-_6.*15 //
   atra padādyāntānuprāsasya pratipādaṃ bhinnarūpatvam /	atra pada-AdyAnta-anuprAsasya pratipAdam Binna-rUpa-tvam /
   vyāpakānuprāso yathā-nāyakasyaiva vaṃśāvalyām	vyApaka-anuprAsaH yaTA-nAyakasya-eva vaMSAvalyAm
   yatra caraṇasannāhinī tṛṇacaraṇaṃ nijapurācca nissaraṇam /	yatra caraNa-sannAhinI tRNa-caraNam nija-purAt-ca nissaraNam /
   vanacaraṇaṃ taccaraṇakaparicaraṇaṃ vā virodhināṃ śaraṇam // Ckc_6.*16 //	vana-caraNam tad-caraNaka-paricaraNam vA viroDinAm SaraNam // Ckd-_6.*16 //
   atra rephaṇakārayugalasya sarvatrānuvṛttatvādyvāpakānuprāso 'yam /	atra rePaNa-kAra-yugalasya sarvatra-anuvRtta-tva-Adi-vApaka-anuprAsaH ayam /
   evaṃ vṛttilāṭānuprāsātayo draṣṭavyāḥ /	evam vRtti-lAwa-anuprAsAtayaH drazwavyAH /
   śabdasya prakṛte samyagghaṭanā guṃphanā matā // Ckc_6.11 //	Sabdasya prakRte samyak-GawanA guMPanA matA // Ckd-_6.11 //
