   śrī-harināma-cintāmaṇi	SrI--hari-nAma-cintAmaNi
   pramāṇa se veda vākya nayaṭī prameya /	pramANa se veda vAkya nayawI prameya /
   śikhāya sambandha prayojana abhidheya // HNC_7.11 //	SiKAya sambanDa prayojanaH aBiDeyaH // HNS_7.11 //
   ei daśa mūla sāra avidyā vināśa /	ei daSa mUla sAra avidyA vinASa /
   kariyā jīvera kare suvidyā prakāśa // HNC_7.12 //	kariyA jIvera kare su-vidyA prakASa // HNS_7.12 //
   1. hari eka para tattva, 2. tini sarva śaktimān, 3. tini rasa mūrti	1. hari eka para tattva, 2. tini sarve SaktimAn, 3. tini rasa mUrti
   prathame śikhāya para tattva eka hari /	praTame SiKAya para tattvaH eka hari /
   śyāma sarva-śaktimān rasa-mūrti-dhārī // HNC_7.13 //	SyAma sarva--SaktimAn rasa-mUrti--DArI // HNS_7.13 //
   jīvera paramānanda karena vidhāna /	jIvera parama-Ananda karena viDAnaH /
   saṃvyoma dhāmete tāra nitya adhiṣṭhāna // HNC_7.14 //	saMvyoma DAmete tAra nitya aDizWAnaH // HNS_7.14 //
   e tina prameya haya śrī-kṛṣṇa-visaye /	e tina prameya haya SrI--kRzNa--visaye /
   veda-śāstra śikṣā dena jīvera hṛdaye // HNC_7.15 //	veda-SAstra SikzA dena jIvera hRdaye // HNS_7.15 //
   4. jīva-tattva	4. jIva--tattva-
   dvitīye śikhāya vibhinnāṃśa jīva tattva /	dvitIye SiKAya viBinna-aMSa jIva tattva /
   ananta saṅkhyaka cit paramāṇu sattva // HNC_7.16 //	ananta saFKyaka cit paramANu sattvaH // HNS_7.16 //
   5. nitya-baddha o 6. nitya mukta bhede jīva dui prakāra	5. nitya-badDaH aH 6. nitya muktaH Bede jIva dui prakAra
   nitya baddha nitya mukta bhede jīva dvi-prakāra /	nitya badDa nitya muktaH Bede jIva dvi-prakAra /
   saṃvyoma brahmāṇḍa bhari saṃsthiti tāhāra // HNC_7.17 //	saMvyoma brahmANxa Bari saMsTiti tAhAraH // HNS_7.17 //
   baddha jīva	badDa jIva
   baddha jīva māyā bhaji kṛṣṇa bahirmukha /	badDa jIva mAyA Baji kRzNa bahirmuKaH /
   ananta brahmāṇḍe bhoga kare duḥkha sukha // HNC_7.18 //	ananta brahmANxe Boga kare duHKa suKaH // HNS_7.18 //
   mukta jīva	muktaH jIva
   nitya mukta kṛṣṇa bhaji kṛṣṇa pāriṣada /	nitya mukta kRzNa Baji kRzNa pArizada /
   para vyome bhoga kare premera sampada // HNC_7.19 //	para vyome Boga kare premera sampadaH // HNS_7.19 //
   tina-ṭī prameya ei jīvera viṣaye /	tina-wI prameyaH ei jIvera vizaye /
   śruti śāstra śikṣā dena kṛṣṇa dāsī haye // HNC_7.20 //	Sruti SAstra SikzA dena kRzNa dAsI haye // HNS_7.20 //
   7. acintya bhedābheda sambandha	7. acintya Beda-aBeda sambanDa
   cid-vyāpāra āra yata jaḍera vyāpāra /	cit--vyApAraH Ara yata jaxera vyApAra /
   sakali acintya bhedābheda prakāra // HNC_7.21 //	sakali acintya Beda-aBeda prakAra // HNS_7.21 //
   jīva jaḍa sarva vastu kṛṣṇa śakti maya /	jIva jaxa sarva vastu kRzNa Sakti mayaH /
   avicintya bhedābheda śruti śāstre kaya // HNC_7.22 //	avicintya Beda-aBeda Sruti SAstre kayaH // HNS_7.22 //
   ei jñāne jīva jāne āmi kṛṣṇa dāsa /	ei jQAne jIva jAne Ami kRzNa dAsa /
   kṛṣṇa mora nitya prabhu cit sūrya prakāśa // HNC_7.23 //	kRzNa mora nitya praBu cit sUrya prakASa // HNS_7.23 //
   śakti pariṇāma mātra veda śāstra bale /	Sakti pariNAma mA-atra veda SAstra bale /
   vivartādi duṣṭa-mate veda ninde chale // HNC_7.24 //	vivartA-Adi duzwa-mate veda ninde Cale // HNS_7.24 //
   sāta-ṭī prameya sambandha jñāna	sAta-wI prameya sambanDa jQAna
   ei ta sambandha jñāna sāta-ṭī prameya /	ei te sambanDa jQAna sAta-wI prameya /
   śruti-śāstra śikṣā dena ati upādeya // HNC_7.25 //	Sruti-SAstra SikzA denaH ati upAdeya // HNS_7.25 //
   veda punaḥ śikṣā dena abhidheya sāra /	veda punar SikzA dena aBiDeya sAraH /
   nava vidha kṛṣṇa bhakti vidhi rāga āra // HNC_7.26 //	nava viDa kRzNa Bakti viDi rAgaH AraH // HNS_7.26 //
   8. abhidheya - nava vidha bhakti	8. aBiDeyaH  nava viDa Bakti
   śravaṇa kīrtana smṛti pūjana vandana /	SravaNa kIrtana smRti pUjana vandanaH /
   paricaryā dāsya sakhya ātma-nivedana // HNC_7.27 //	paricaryA dAsya saKyaH Atma--nivedana // HNS_7.27 //
   bhaktira prakāra madhye nāma sarva-sāra /	Baktira prakAra maDye nAma sarva-sAraH /
   praṇava-māhātmya veda karena pracāra // HNC_7.28 //	praNava-mAhAtmya veda karena pracAra // HNS_7.28 //
   9. prayojana kṛṣṇa prema	9. prayojana kRzNa prema
   śuddha bhakti samāśraya kariyā mānava /	SudDa Bakti samASraya kariyA mAnavaH /
   kṛṣṇa kṛpā bale pāya premera vaibhava // HNC_7.29 //	kRzNa kRpA bale pAya premera vEBava // HNS_7.29 //
   ei śruti śikṣā nindā aparādha	ei Sruti SikzA nindA aparADa
   e nava prameya śruti karena pramāṇa /	e nava prameya Sruti karena pramANaH /
   śruti tattvābhijña guru karena sandhāna // HNC_7.30 //	Sruti tattva-aBijQa guru karena sanDAnaH // HNS_7.30 //
   e hena śrutira yei kare vinindana /	e hena Srutira yei kare vinindana /
   nāma aparādhī sei narādhama jana // HNC_7.31 //	nAma aparADI sei nara-aDama janaH // HNS_7.31 //
   veda viruddha vāda samūha	veda virudDaH vAda samUha
   jaimini kapila nagna nāstika sugata /	jEmini kapila nagna nAstika sugataH /
   gautama - e chaya jana hetu vāde rata // HNC_7.32 //	gOtamaH  e Caya jana hetu vAde rataH // HNS_7.32 //
   veda māne mukhe tabu īśa nāhi māne /	veda mAne muKe tabu ISa na-ahi mAne /
   karma kāṇḍa śreṣṭha bali jaimin bākhāne // HNC_7.33 //	karma kANxa SrezWa bali jEmin bAKAne // HNS_7.33 //
   īśvara asiddha kapilera kalpanāya /	ISvara asidDa kapilera kalpanAya /
   tabu yoga māne artha bujhā nāhi yāya // HNC_7.34 //	tabu yoga mAne arTa buJA nAhi yAyaH // HNS_7.34 //
   nagna se tāmasa tattva karaya vistāra /	nagna se tAmasa tattva karaya vistAra /
   vedera viruddha dharma karaye pracāra // HNC_7.35 //	vedera virudDa Darma karaye pracAra // HNS_7.35 //
   nāstika cārvāka kabhu veda nāhi māne /	nAstika cArvAka kaBu veda na-ahi mAne /
   sugata bauddherā eka prakāra bākhāne // HNC_7.36 //	sugata bOdDerAH ekaH prakAra bAKAne // HNS_7.36 //
   gautama nyāyera kartā īśvara nā bhaje /	gOtama nyAyera kartA ISvara nA Baje /
   tāra hetu vāda mate nara mātra maje // HNC_7.37 //	tAra hetu vAda mate nara mA-atra maje // HNS_7.37 //
   ei saba matavāda dvārā śruti-nindā haya	ei saba mata-vAda dvArA Sruti-nindA haya
   ei saba duṣṭa mate śrutira nindana /	ei sa-ba duzwa mate Srutira nindana /
   kabhu spaṣṭa kabhu gupta bujhe vijña jana // HNC_7.38 //	kaBu spazwa kaBu gupta buJe vijQa janaH // HNS_7.38 //
   ei saba mate thāki aparādhī haya /	ei sa-ba mate TAki aparADI haya /
   ataeva ei sabe tyajibe niścaya // HNC_7.39 //	ataeva ei sabe tyajibe niScaya // HNS_7.39 //
   māyāvādī ati duṣṭa mata - veda viruddha	mAyA-vAdI ati duzwa mataH  veda virudDa
   ei saba kumata chāḍi āra māyāvāda /	ei saba kumata CAxi Ara mAyA-vAda /
   śuddha bhakti anubhavi haya nirvivāda // HNC_7.40 //	SudDa Bakti anuBavi haya nirvivAda // HNS_7.40 //
   māyāvāda asat śāstra gupta bauddha mata /	mAyA-vAda asat SAstra gupta bOdDa mataH /
   vedārtha vikṛti kali kālete sammata // HNC_7.41 //	veda-arTa vikRti kali kAlete sammataH // HNS_7.41 //
   umāpati brāhmaṇa rūpete prakāśila /	umApati brAhmaNa rUpete prakASila /
   tomāra ājñāya teṅha ācārya ha-ila // HNC_7.42 //	tomAraH AjQAya teFhaH AcArya ha-ilaH // HNS_7.42 //
   jaimini ye rūpa mukhe veda mātra māne /	jEmini ye rUpa muKe veda mA-atra mAne /
   śrutira vikṛta artha jagate bākhāne // HNC_7.43 //	Srutira vikRta arTa jagate bAKAne // HNS_7.43 //
   māyāvādī guru sei rūpa bauddha dharma /	mAyA-vAdI guru sei rUpa bOdDa DarmaH /
   veda vākye sthāpi ācchādila bhakti marma // HNC_7.44 //	veda vAkye sTA-api AcCAdila Bakti marma // HNS_7.44 //
   ei saba matavāde bhakti dūre yāya /	ei sa-ba mata-vAde Bakti dUre yAyaH /
   śrī-kṛṣṇa-nāmete jīva aparādha pāya // HNC_7.45 //	SrI-kRzNa-nAm-ete jIva aparADa pAyo // HNS_7.45 //
   śruti-vicāre śuddha prakriyā	Sruti-vicAre SudDa prakriyA
   śrutira abhidhā vṛtti kari saṃyojana /	SrutiraH aBiDA vRtti kari saMyojanaH /
   śuddha bhakti jīva pāya prema dhana // HNC_7.46 //	SudDa Bakti jIva pAya prema DanaH // HNS_7.46 //
   śrutite lakṣaṇā kare ayathā prakāre /	Srutite lakzaNA kare ayaTA prakAre /
   nitya satya dūre yāya aparādhe mare // HNC_7.47 //	nitya satya dUre yAya aparADe mare // HNS_7.47 //
   sarva veda sammata praṇava kṛṣṇa nāma /	sarva veda sammata praNava kRzNa nAma /
   sei nāme jīva saba pāya nitya dhāma // HNC_7.48 //	sei nAme jIva sa-baH pAya nitya DAma // HNS_7.48 //
   praṇava se mahāvākya haya kṛṣṇa nāma /	praNava se mahA-vAkya haya kRzNa nAma /
   tāhāte-i śrī-bhaktera satata viśrāma // HNC_7.49 //	tAhAte-i SrI--Baktera satata viSrAma // HNS_7.49 //
   veda bale nāma cit svarūpa jagate /	veda bale nAma cit svarUpa jagate /
   nāmera ābhāse siddha haya sarva mate // HNC_7.50 //	nAma-iraH ABAse sidDa haya sarva mate // HNS_7.50 //
   veda kevala śuddha nāma bhajana śikṣā dena	veda kevala SudDa nAma Bajana SikzA dena
   ei saba veda śikṣā abhāgā nā māne /	ei sa-ba veda SikzA aBAgAH nA mAne /
   nāme aparādha kare vedera nindane // HNC_7.51 //	nAme aparADa kare vedera nindane // HNS_7.51 //
   śuddha nāma parāyaṇa yei mahājana /	SudDa nAma parAyaNa yei mahAjana /
   vedāśraye pāya nāma rasa prema dhana // HNC_7.52 //	veda-ASraye pAya nAma rasa prema DanaH // HNS_7.52 //
   sarva veda bale gāo hari-nāma sāra /	sarva veda bale gAaH hari-nAma sAraH /
   pāibe paramā prīti ānanda apāra // HNC_7.53 //	pAibe paramA prIti Ananda apAra // HNS_7.53 //
   veda punaḥ bale yata mukta mahājana /	veda punar bale yata mukta mahAjanaH /
   para-vyome sadā kare nāma saṅkīrtana // HNC_7.54 //	para-vyome sadA kare nAma saFkIrtana // HNS_7.54 //
   tāmasa-tantra śikṣā veda viruddha	tAmasa-tantra SikzA veda virudDa
   kali yuge mahā jana māyā śakti bhaje /	kali yuge mahA jana mAyA Sakti Baje /
   cid ātmā puruṣa kṛṣṇa nāma rasa tyāje // HNC_7.55 //	cit AtmA puruza kRzNa nAma rasa tyAje // HNS_7.55 //
   tāmasika tantra dhari śruti nindā kare /	tAmasika tantra Dari Sruti nindA kare /
   madya-māṃse prīti kari adharmete mare // HNC_7.56 //	madya--mAMse prIti kari aDarmete mare // HNS_7.56 //
   se saba ninduka nāhi pāya kṛṣṇa nāma /	se saba ninduka nAhi pAya kRzNa nAma /
   kabhu nāhi pāya kṛṣṇera vṛndāvana dhāma // HNC_7.57 //	kaBu nA-hi pAya kRzNera vRndAvana DAma // HNS_7.57 //
   māyā devīra niṣkapaṭa kṛpā-i prayojana	mAyA devIra nizka-pawa kRpA-i prayojana
   māyā devī se saba pāṣaṇḍe adhogati /	mAyA devI se saba pAzaNxe aDogati /
   diyā nāmāmṛta āra nāhi dena mati // HNC_7.58 //	diyA nAma-amRtaH Ara nAhi dena mati // HNS_7.58 //
   tabe yadi sādhu sevāya tuṣṭa hana māyā /	tabe yadi sADu sevAya tuzwa hana mAyA /
   akapaṭe dena tabe kṛṣṇa pada chāyā // HNC_7.59 //	akapawe dena tabe kRzNa pada CAyA // HNS_7.59 //
   māyā kṛṣṇa dāsī bahirmukha jīve daṇḍe /	mAyA kRzNa dAsI bahirmuKa jIve daNxe /
   māyā pūjile-o śubha nāhi pāya bhaṇḍe // HNC_7.60 //	mAyA pUjile-aH SuBa nAhi pAya BaNxe // HNS_7.60 //
   kṛṣṇa nāma kare yei māyā devī tāre /	kRzNa nAma kare yei mAyA devI tAre /
   niṣkapaṭe kṛpā kari laya bhava pāre // HNC_7.61 //	nizka-pawe kRpA kari laya Bava pAre // HNS_7.61 //
   ataeva śruti-nindā aparādha tyaji /	ataeva Sruti-nindA aparADa tyaji /
   aharahaḥ nāma saṅkīrtana rase maji // HNC_7.62 //	aharahar nAma saFkIrtana rase maji // HNS_7.62 //
   tad-aparādhera pratikāra	tad--aparADera pratikAra
   pramāde yadyapi haya se śruti-nindana /	pramAde yadi-api haya se Sruti-nindana /
   anutāpe kari punaḥ se śruti vandana // HNC_7.63 //	anutApe kari punar se Sruti vandanaH // HNS_7.63 //
   kusama tulasī diyā sei śruti gaṇe /	kusama tulasI diyA sei Sruti gaNe /
   bhāgavata saha sadā pūjiba yatane // HNC_7.64 //	BAgavata saha sadA pUjiba yatane // HNS_7.64 //
   bhāgavata śruti sāra kṛṣṇa avatāra /	BAgavata Sruti sAra kRzNa avatAraH /
   avaśya karibe more karuṇā apāra // HNC_7.65 //	avaSya karibe more karuNAH apAra // HNS_7.65 //
   haridāsa pada rajaḥ bharasā yāhāra /	haridAsa pada rajaH BarasA yAhAra /
   nāma-cintāmaṇi hāra galāya tāhāra // HNC_7.66 //	nAma---cintAmaNi hAra galAya tAhAraH // HNS_7.66 //
   iti śrī- hari-nāma-cintāmaṇau śruti-nindā aparādha vicāro	iti SrI hari-nAma---cintAmaNO Sruti-nindA aparADa vicAraH-
   nāma saptamaḥ paricchedaḥ /	nAma saptamaH paricCedaH /
   aṣṭama pariccheda	azwama paricCeda
   tathārtha-vādo hari-nāmni kalpanam	taTA-arTa-vAdaH hari-nAmni kalpanam
   jaya gaura gadādhara śrī-rādhā-mādhava /	jaya gOra gadADara SrI-rADA--mADava /
   jaya gaura-līlā-sthalī jāhnavī vaiṣṇava // HNC_8.1 //	jaya gOra-lIlA-sTalI jAhnavI vEzNava // HNS_8.1 //
   hari nāme artha vāda kalpanā cintana /	hari nAme arTa vAda kalpanA cintana /
   pañcamāparādha prabho śrī śacīnandana // HNC_8.2 //	paQcama-aparADa praBo SrI SacI-nandana // HNS_8.2 //
   nāma mahimā	nAma mahimA
   smṛti kahe helāya śraddhāya nāma laya /	smRti kahe helAya SradDAya nAma layaH /
   kṛṣṇa tāre kṛpā kari hayena sadaya // HNC_8.3 //	kRzNa tAre kRpA kari hayena sadayaH // HNS_8.3 //
   nāmera sadṛśa jñāna nāhika nirmala /	nAmera sadRSa jQAna nAhika nirmala /
   nāmera sadṛśa vrata nāhika prabala // HNC_8.4 //	nAmera sadRSa vrata nAhika prabalaH // HNS_8.4 //
   nāmera sadṛśa dhyāna nāhi e jagate /	nAmera sadRSa DyAna na-ahi e jagate /
   nāmera sadṛśa phala nāhi kona mate // HNC_8.5 //	nAmera sadRSa Pala nA-hi kona mate // HNS_8.5 //
   nāmera sadṛśa tyāga kona rūpe naya /	nAmera sadRSa tyAga kona rUpe naya /
   nāmera sadṛśa sama kabhu nāhi haya // HNC_8.6 //	nAmera sadRSa sama kaBu nA-hi haya // HNS_8.6 //
   nāmera sadṛśa puṇya nāhi e saṃsāre /	nAmera sadRSa puNya na-ahi e saMsAre /
   nāmera sadṛśa gati nā dekhi vicāre // HNC_8.7 //	nAmera sadRSa gati nA deKi vicAre // HNS_8.7 //
   nāma-i parama mukti nāma ucca gati /	nAma-i parama mukti nAma ucca gati /
   nāma-i parama śānti nāma ucca sthiti // HNC_8.8 //	nAma-i parama SAnti nAma ucca sTiti // HNS_8.8 //
   nāma-i parama bhakti nāma śuddhā mati /	nAma-i parama Bakti nAma SudDA mati /
   nāma-i parama prīti nāma parā smṛti // HNC_8.9 //	nAma-i parama prIti nAma parA smRti // HNS_8.9 //
   nāma-i kāraṇa tattva nāma sarva prabhu /	nAma-i kAraNa tat-tva nAma sarve praBu /
   parama ārādhya nāma guru-rūpe vibhu // HNC_8.10 //	paramaH ArADya nAma guru--rUpe viBu // HNS_8.10 //
   kṛṣṇa-nāmera sarvottamatā	kRzNa-nAmera sarva-uttama-tA
   sahasra viṣṇu nāmera tulya haya eka rāma nāma /	sahasra vizNu nAmera tulya hayaH eka rAma nAma /
   tina rāma nāma tulya eka kṛṣṇa nāma // HNC_8.11 //	tina rAma nAma tulyaH eka kRzNa nAma // HNS_8.11 //
   nāmera artha vāda naraka gamana avaśya ghaṭe	nAmera arTa vAda naraka gamana avaSya Gawe
   śruti gaṇa nāmera māhātmya sadā gāya /	Sruti gaNa nAma-ira mAhAtmya sadA gAya /
   nāmera cit-tattva bali jagate jānāya // HNC_8.12 //	nAmera cit--tattva bali jagate jAnAya // HNS_8.12 //
   śruti smṛti pradarśita nāmera ye phala /	Sruti smRti pradarSita nAmera ye PalaH /
   tāhe artha vāda kare pāṣaṇḍa prabala // HNC_8.13 //	tAhe arTa vAda kare pAzaNxa prabalaH // HNS_8.13 //
   harināme artha vāda ye adhama kare /	hari-nAme arTa vAda ye aDama kare /
   se pāpiṣṭha narakete paci' paci' mare // HNC_8.14 //	se pApizWa narakete paci-a paci-a mare // HNS_8.14 //
   ye bale nāmera phala-śruti satya naya /	ye bale nAmera Pala-Sruti satya naya /
   nāme ruci dite mātra tata phala kaya // HNC_8.15 //	nAme ruci dite mA-atra tata Pala kayaH // HNS_8.15 //
   śāstrera tātparya āra jīva hitāhita /	SAstrera tAtparyaH Ara jIva hita-ahita /
   se adhama nāhi jāne bujhe viparīta // HNC_8.16 //	se aDama nAhi jAne buJe viparIta // HNS_8.16 //
   nāmera phala satya | tāhāte artha vādera prayojana nāi	nAmera Pala satya | tAhAte arTa vAdera prayojana nAi
   karma kāṇḍa āche ta kaitava svārtha jñāna /	karma kANxaH ACe te kEtava sva-arTa jQAnaH /
   bhakti tattve nāme tāhā nahe vidyamāna // HNC_8.17 //	Bakti tattve nAme tAhAH na-he vidyamAnaH // HNS_8.17 //
   karma kāṇḍa phala śruti rocanārtha jāni /	karma kANxa Pala Sruti rocanA-arTa jAni /
   bhakti tattve phala śruti nitya satya māni // HNC_8.18 //	Bakti tattve Pala Sruti nitya satya mAni // HNS_8.18 //
   nāma tattve śāṭhya nāhi pāya kabhu sthāna /	nAma tattve SAWya nAhi pAya kaBu sTAnaH /
   nijera nāhika svārtha nāma kari dāna // HNC_8.19 //	nijera nAhika sva-arTa nAma kari dAnaH // HNS_8.19 //
   karma-phalera artha-vāda aparityājya	karma-Palera arTa-vAda aparityAjya
   nāma dāna śraddāvāne yei jana kare /	nAma dAna SraddAvAne yei jana kare /
   kṛṣṇa dāsya kare sei svārtha parihāre // HNC_8.20 //	kRzNa dAsya kare sei sva-arTa parihAre // HNS_8.20 //
   karma karāile yājakera artha lābha /	karma kara-aile yAjakera arTa lABa /
   ataeva tāhe kaitavera ta prabhāva // HNC_8.21 //	ataeva tAhe kEtavera te praBAva // HNS_8.21 //
   veda smṛti nāma phala ananta bākhāne /	veda smRti nAma Pala ananta bAKAne /
   svārtha buddhi śūnya se ye tāhā nāhi māne // HNC_8.22 //	sva-arTa budDi SUnya se ye tAhAH na-ahi mAne // HNS_8.22 //
   karma saba śubhāśubha jaḍera āśraye /	karma sabaH SuBa-aSuBa jaxeraH ASraye /
   jaḍa-maya-phala yāce yajamāna caye // HNC_8.23 //	jaxa-maya-Pala yAce yajamAnaH caye // HNS_8.23 //
   karma phala dūre pheli' yebā kare karma /	karma Pala dUre Peli-a yebA kare karma /
   hṛdaya viśuddha tāra haya ei marma // HNC_8.24 //	hRdaya viSudDa tAra hayaH ei marma // HNS_8.24 //
   viśuddha hṛdaye ātma rati sunirmala /	viSudDa hRdaye Atma rati su-nirmala /
   udaya ha-iyā haya kramaśaḥ prabala // HNC_8.25 //	udaya ha-iyAH haya kramaSas prabalaH // HNS_8.25 //
   nāma cinmaya, tāhāte artha-vāda ha-ite pāre nā	nAma cit-maya, tAhAte arTa-vAda ha-ite pAre nA
   nāma sei ātma-rati nije upasthita /	nAma sei Atma-rati nije upasTitaH /
   sādhana kālete sādhya vastura vihita // HNC_8.26 //	sADana kAlete sADya vastura vihitaH // HNS_8.26 //
   karmera carama phala nāma-rasa haya /	karmera carama Pala nAma--rasa haya /
   sādhu-rūpe anuṣṭhita karmete niścaya // HNC_8.27 //	sADu--rUpe anuzWita karmete niScaya // HNS_8.27 //
   ataeva caudda loka bhramiyā brāhmaṇa /	ataeva ca-Odda loka BramiyAH brAhmaNa /
   yei phala nāhi pāna nāma tāhā hana // HNC_8.28 //	yei Pala nAhi pAna nAma tAhAH hanaH // HNS_8.28 //
   nāma phala sarvopari avaśya ha-ibe /	nAma Pala sarva-upari avaSya ha-ibe /
   karmī jñānī hiṃsā kari' nāme ki karibe // HNC_8.29 //	karmI jQAnI hiMsA kari-a nAme ki karibe // HNS_8.29 //
   nāmābhāse sarva karma o brahma-jñānera phala ha-iyā thāke	nAma-ABAse sarva karma aH brahma-jQAnera Pala ha-iyA TAke
   sarva-karma-phala nāmābhāse labdha haya /	sarva-karma-Pala nAma-ABAse labDa haya /
   sarva-jñāna-phala nāmābhāsete milaya // HNC_8.30 //	sarva-jQAna-Pala nAma-ABAsete milayaH // HNS_8.30 //
   ābhāse milila yadi eta ucca phala /	ABAse milila yadi ete ucca PalaH /
   nāma vastu tato'dhika pradāne prabala // HNC_8.31 //	nAma vastu tatas-aDika pradAne prabalaH // HNS_8.31 //
   ataeva śāstre yata nāma phala gāya /	ataeva SAstre yata nAma Pala gAya /
   śuddha nāmāśrita jana niścaya tā pāya // HNC_8.32 //	SudDa nAma-ASrita jana niScaya tAH pAyo // HNS_8.32 //
   nāma phale yāhāra sandeha, tāhāra maṅgala nāi	nAma Pale yAhAra sandeha, tAhAra maFgala nAi
   ihāte sandeha yāra se adhama jana /	iha-ate sandeha yAra se aDama janaH /
   nāma aparādhe tāra avaśya patana // HNC_8.33 //	nAma aparADe tAra avaSya patana // HNS_8.33 //
   vede rāmāyaṇe āra bhārate purāṇe /	vede rAmAyaNe Ara BArate purANe /
   ādi antye madhye harināmere bākhāne // HNC_8.34 //	Adi antye maDye hari-nAmere bAKAne // HNS_8.34 //
   nāma phala śruti vākya anādi niścala /	nAma Pala Sruti vAkya anAdi niScalaH /
   tāhe artha vāda kalpanāra kibā phala // HNC_8.35 //	tAhe arTa vAda kalpanAra kibA PalaH // HNS_8.35 //
   karma-jñānera śakti apekṣā nāme ananta-guṇa śakti āche	karma--jQAnera Sakti apekzAH nAme ananta-guNa Sakti ACe
   nāma nāmī eka nāme diyā sarva śakti /	nAma nAmI eka nAme diyA sarve Sakti /
   sarvopari kariyācha tava nāma śakti // HNC_8.36 //	sarva-upari kariyACa tava nAma Sakti // HNS_8.36 //
   tumi ta svatantra tattva sarva śaktimān /	tumi te svatantra tat-tva sarve SaktimAn /
   tomāra icchāya yata vidhira vidhāna // HNC_8.37 //	tomAraH icCAya yata viDira viDAnaH // HNS_8.37 //
   karmake karecha jaḍa āra brahma jñāne /	karmake kareCa jaxaH Ara brahma jQAne /
   diyācha nirvāṇa śakti svatantra vidhāne // HNC_8.38 //	diyACa nirvANa Sakti svatantra viDAne // HNS_8.38 //
   icchāmaya tumi prabhu svīya nāmākṣare /	icCAmaya tumi praBu svIya nAma-akzare /
   arpiyācha saba śakti āra ke ki kare // HNC_8.39 //	arpiyACa saba Sakti Ara ke ki kare // HNS_8.39 //
   ataeva tava nāma sarva śaktimān /	ataeva tava nAma sarve SaktimAn /
   nāme artha-vāda nāhi karibe vidvān // HNC_8.40 //	nAme arTa-vAda nAhi karibe vidvAn // HNS_8.40 //
   tad-aparādhera pratikāra	tad--aparADera pratikAra
   nāme artha-vāda aparādha ghaṭe yadi /	nAme arTa-vAda aparADa Gawe yadi /
   dante tṛṇa dhari yāi vaiṣṇava-saṃsadi // HNC_8.41 //	dante tRNa Dari yAi vEzNava--saMsadi // HNS_8.41 //
   aparādha jānāiyā vaiṣṇava-caraṇe /	aparADa jAnAiyAH vEzNava--caraNe /
   kṣamā māgi kākuti kariyā ṛju-mane // HNC_8.42 //	kzamA mAgi kAkuti kariyAH Rju-mane // HNS_8.42 //
   nāmera mahimā jñātā bhāgavata jana /	nAmera mahimA jQAtA BAgavata janaH /
   kṣamā kari kṛpā kari dibe āliṅgana // HNC_8.43 //	kzamA kari kRpA kari dibe AliFgana // HNS_8.43 //
   nāme artha vāda āra kalpana-manana /	nAme arTa vAdaH Ara kalpana--mananaH /
   kabhu nāhi habe citte māyā viḍambana // HNC_8.44 //	kaBu nA-hi habe citte mAyA vixambana // HNS_8.44 //
   artha-vāda-kārī saha haile sambhāṣaṇa /	arTa-vAda--kArI saha ha-ele samBAzaNa /
   sa-cele jāhnavī-jale kariba majjana // HNC_8.45 //	sa--cele jAhnavI--jale kariba majjanaH // HNS_8.45 //
   kṛṣṇa priyā vaṃśī kṛpā bharasā yāhāra /	kRzNa priyA vaMSI kRpA BarasA yAhAra /
   harināma cintāmaṇi tāra alaṅkāra // HNC_8.46 //	hari-nAma cintAmaNi tAra alaFkAraH // HNS_8.46 //
   iti śrī- hari-nāma-cintāmaṇau artha-vādāparādha-vicāro	iti SrI hari-nAma---cintAmaNO arTa--vAda-aparADa--vicAraH-
   nāma aṣṭamaḥ paricchedaḥ /	nAma azwamaH paricCedaH /
   navama pariccheda	navama paricCeda
   nāma-bale pāpa-buddhi	nAma-bale pApa--budDi
   nāmno balād yasya hi pāpa-buddhir	nAmnaH balAt yasya hi pApa-budDiH-
   na vidyate tasya yamair hi śuddhiḥ	na vidyate tasya yamEH hi SudDiH
   gaura gadādhara jaya jāhnavā-jīvana /	gOra gadADara jaya jAhnavA--jIvana /
   jaya jaya sītādvaita jaya bhakta-gaṇa // HNC_9.1 //	jaya jaya sItA-dvEta jaya Bakta--gaNaH // HNS_9.1 //
   nāma-grahaṇe samasta anartha dūra haya	nAma--grahaNe samasta anarTa dUra haya
   haridāsa bale nāma śuddha sattva maya /	haridAsa bale nAma SudDa sattva mayaH /
   bhāgyavān jīva kare nāmera āśraya // HNC_9.2 //	BAgyavAn jIva kare nAma-iraH ASraya // HNS_9.2 //
   ati śīghra tāhāra anartha dūre yāya /	ati SIGra tAhAra anarTa dUre yAyaH /
   hṛdaya-daurbalya āra sthāna nāhi pāya // HNC_9.3 //	hRdaya--dOrbalyaH Ara sTAna nAhi pAyo // HNS_9.3 //
   nāme dṛḍha haile nāhi haya pāpe mati /	nAme dRXa ha-ele na-ahi haya pApe mati /
   pūrva pāpa dagdha haya citta śuddha ati // HNC_9.4 //	pUrva pApa dagDa haya citta SudDaH ati // HNS_9.4 //
   pāpa āra pāpa-bīja pāpera vāsanā /	pApaH Ara pApa-bIja pApera vAsanA /
   avidyā tāhāra mūla e tina yantranā // HNC_9.5 //	avidyA tAhAra mUlaH e tina yantranA // HNS_9.5 //
   sarva jīve dayā āsi ha-ibe udaya /	sarva jIve dayA Asi ha-ibe udaya /
