   Pdhs_0.0 praśastapādabhāṣyam./	PDs_0.0 praSasta-pAda-BAzyam./
   sparśas.tvagindriyagrāhyaḥ./.kṣityudakajvalanapavanavṛttiḥ.tvakṣahakārī.rūpānuvidhāyī.śītoṣṇānuṣṇāśītabhedāt.trividhaḥ./.asyāpi.nityānityatvaniṣpattayaḥ.pūrvavat.//	sparSa-s.tvac-indriya-grAhyaH./.kziti-udaka-jvalana-pavana-vRttiH.tu-akzahakArI.-rUpa-anuviDAyI.-SIta-uzNa-anuzNa-aSIta-BedAt.-triviDaH-./.asya-api.ni
   Pdhs_8.5(106.19-)	PDs_8.5(106.19-)
   pārthivaparamāṇurūpādīnām.pākajotpattividhānam./.ghaṭāder.āmadravyasyāgninā.sambaddhasyāgnyabhighātān.nodanād.vā.tadārambhakeṣv.aṇuṣu.karmāṇy.utpadyante.tebhyo.vibhāgāḥ.vibhāgebhyaḥ.samyogavināśāḥ.samyogavināśebhyaś.ca.kāryadravyam.vinaśyati./	pArTiva-paramANu-rUpa-AdInAm.pAkaja-utpatti-viDAnam./.Gawa-AdeH-.Ama-dravyasya-agninA.-sambadDasya-agni-aBiGAtAn-.nodanAt-.vA.-tad-AramBakezu-.aNuzu.
   Pdhs_8.5(106)	PDs_8.5(106)
   tasmin.vinaṣṭe.svatantreṣu.paramāṇuṣv.agnisamyogād.auṣṇyāpekṣāc.chyāmādīnām.vināśaḥ.punar.anyasmād.agnisamyogād.auṣṇyāpekṣāt.pākajā.jāyante./	tasmin-.vinazwe.-svatantra-izu.-paramANuzu-.agni-samyogAt-.OzNya-apekzA-c.SyAma-AdInAm-.vinASaH.punar-.anyasmAt-.agni-samyogAt-.OzNya-apekzAt.pAka-j
   Pdhs_8.5(107)	PDs_8.5(107)
   tadanantaram.bhoginām.adṛṣtāpekṣād.ātmāṇusamyogād.utpannapākajeṣv.aṇuṣu.karmotpattau.teṣām.parasparasamyogād.dvyaṇukādikrameṇa.kāryadravyam.utpadyate./.tatra.ca.kāraṇaguṇaprakrameṇa.rūpādyutpattiḥ./	tad-anantaram-.BoginAm.a-dRzta-apekzA-d.a-AtmA-aNu-samyogAt-.utpanna-pAka-jezu-.aNuzu.-karma-utpattO.-tezAm-.paraspara-samyogAt-.dvi-aNuka-Adi-krameNa.kA
   Pdhs_8.5(107)	PDs_8.5(107)
   na.ca.kāryadravya.eva.rūpādyutpattir.vināśo.vā.sambhavati.sarvāvayaveṣv.antar.bahiś.ca.vartamānasyāgninā.vyāptyabhāvād.aṇupraveśād.api.ca.vyāptir.na.sambhavati.kāryadravyavināśād.iti.//	na.ca.-kArya-dravya-.eva.-rUpa-Adi-utpattiH-.vinASaH-.vA.samBavati.-sarva-avayavezu-.antar.-bahi-S.ca.vartamAnasya-agninA.-vyApti-aBAvAt-.aNu-praveSA
   Pdhs_8.6(111.3-)	PDs_8.6(111.3-)
   ekādivyavahārahetuḥ.saṃkhyā./.sā.punar.ekadravyā.cānekadravyā.ca./.tatraikadravyāyāḥ.salilādiparamāṇurūpadīnām.iva.nityānityatvaniṣpattayaḥ./.anekadravyā.tu.dvitvādikā.parārdhāntā./	eka-Adi-vyavahAra-hetuH.saMKyA-./.sA.-punar-.eka-dravyA.-ca-aneka-dravyA.-ca./.-tatra-eka-dravyAyAH.-salila-Adi-paramANu-rUpa-dIna-am.iva.-nitya-anitya-tvan
   Pdhs_8.6(111)	PDs_8.6(111)
   tasyāḥ.khalv.ekatvebhyo.'nekaviṣayabuddhisahitebhyo.niṣpattir.apekṣābuddhivināśād.vināśa.iti./.katham./	tasyAH.Kalu-.eka-tveByo.-aneka-vizaya-budDi-sahiteByaH-.-nizpattiH-.apekzA-budDi-vinASa-Ad.vinASa-.iti./.kaTam./
   Pdhs_8.6(111)	PDs_8.6(111)
   yadā.boddhuś.cakṣuṣā.samānāsamānajātīyayor.dravyayoḥ.sannikarṣe.sati.tatsamyuktasamavetasamavetaikatvasāmānyajñānotpattāv.ekatvasāmānyatas.sambandhajñānebhya.ekaguṇayor.anekaviṣayiṇy.ekā.buddhir.utpadyate.tadā.tām.apkṣyaikatvābhyām.svāśrayayor.dvitvam.ārambhyate.tataḥ.punas.tasmin.dvitvasāmānyajñānam.utpadyate.tasmād.dvitvasāmānyajñānād.apekṣābuddher.vinaśyattā.dvitvasāmānyatatsambandhatajjñānebhyo.dvitvaguṇabuddher.utpadyamānatety.ekaḥ.kālaḥ./	yadA-a.bodDu-S.cakzuzA.-samAna-asamAna-jAtIyayoH-.dravyayoH.sannikarze.-sati.tad-samyukta-samaveta-samaveta-eka-tva-sAmAnya-jQAna-utpattO=-.eka-tva-s
   Pdhs_8.6(111)	PDs_8.6(111)
   tata.idānīm.apekṣābuddhivināśād.dvitvaguṇasya.vinaśyattā.dvitvaguṇajñānam.dvitvasāmānyajñānasya.vināśakāraṇam.dvitvaguṇatajjñānasambandhebhyo.dve.dravye.iti.dravyabuddher.utpadyamānatety.ekaḥ.kālaḥ./	tata.-idAnIm-.apekzA-budDi-vinASa-Ad.dvi-tva-guNasya.vinaSyattA.-dvi-tva-guNa-jQAnam.dvi-tva-sAmAnya-jQAnasya.-vinASa-kAraNam-.dvi-tva-guNa-tad-jQAna
   Pdhs_8.6(111)	PDs_8.6(111)
   tadanantaram.dve.dravye.iti.dravyajñānasyotpādaḥ.dvitvasya.vināśaḥ.dvitvaguṇabuddher.vinaśyat.tā.dravyajñānāt.saṃskārasyotpadyamānatety.ekaḥ.kālaḥ.tadanantaram.dravyajñānād.dvitvaguṇabuddher.vināśo.dravyabuddher.api.saṃskārāt./	tad-anantaram-.dve.dravye.iti.dravya-jQAnasya-utpAdaH.dvi-tvasya.-vinASaH.dvi-tva-guNa-budDeH-.vinaSi-at.tA.dravya-jQAnAt.saMskArasya-utpadyam
   Pdhs_8.6(112)	PDs_8.6(112)
   etena.tritvādyutpattir.api.vyākhyātā./.ekatvebhyo.'nekaviṣayabuddhisahitebhyo.niṣpattir.apekṣābuddhivināśāc.ca.vināśa.iti./.kvacic.cāśrayavināśād.iti./.katham./	etena.tri-tva-Adi-utpattiH-.api.vyAKyAta-a.-/.eka-tveByo.-aneka-vizaya-budDi-sahiteByaH-.-nizpattiH-.apekzA-budDi-vinASa-ac.ca.-vinASa-.iti-./.kvacic.-c
   Pdhs_8.6(112)	PDs_8.6(112)
   yadaikatvādhārāvayave.karmotpadyate.tadaivaikatvasāmānyajñānam.utpadyate.karmaṇā.cāvayavāntarād.vibhāgaḥ.kriyate.apekṣābuddheś.cotpattiḥ./	yadA-ekatva-ADAra-avayave.-karma-utpadyate.-tadA-eva-eka-tva-sAmAnya-jQAnam-.utpadyate.karmaNA.ca-avayava-antarAd.viBAgaH.-kriyate.apekzA-budDeH-.ca-utpad-
   Pdhs_8.6(112)	PDs_8.6(112)
   tato.yasminn.eva.kāle.vibhāgāt.samyogavināśas.tasminn.eva.kāle.dvitvam.utpadyate.samyogavināśād.dravyavināśaḥ.sāmānyabuddheś.cotpattiḥ./	tatas-.yasmin=-.eva.-kAle.-viBAgAt.-samyoga-vinASa-s.tasmin=-.eva.-kAle.-dvi-tvam-.utpadyate.-samyoga-vinASAt-.dravya-vinASaH.-sAmAnya-budDeH-.ca-utp
   Pdhs_8.6(112)	PDs_8.6(112)
   tato.yasminn.eva.kāle.sāmānyajñānād.apekṣābuddher.vināśaḥ.tasminn.eva.kāle.āśrayavināśād.dvitvavināśa.iti.śobhanam.etadvidhānam.badhyaghātakapakṣe.sahānavasthānalakṣaṇe.tu.virodhe.dravyajñānānutpattiprasaṅgaḥ./.katham./	tatas-.yasmin=-.eva.-kAle.-sAmAnya-jQAnAt-.apekzA-budDeH-.vinASaH.tasmin=-.eva.-kAle.a-ASraya-vinASAt-.dvi-tva-vinASa-.iti.-SoBanam-.etat-viDAnam-.ba
   Pdhs_8.6(112)	PDs_8.6(112)
   guṇabuddhisamakālam.apekṣābuddhivināśād.dvitvavināśe.tadapekṣasya.dve.dravye.iti.dravyajñānasyānutpattiprasaṅga.iti./.laiṅgikavaj.jñānamātrād.iti.cetasyān.matam.yathā.'bhūtam.bhūtasyety.atra.liṅgābhāve.'pi.jñānamātrād.anumānam.tathā.guṇavināśe.'pi.guṇabuddhimātrād.dravyapratyayaḥ.syād.iti./	guNa-budDi-sama-kAlam-.apekzA-budDi-vinASAt-.dvi-tva-vinASe.-tad-apekzasya.dve.dravye.iti.dravya-jQAnasya-anutpatti-prasaFga-.iti-./.lEFgika-vaj.
   Pdhs_8.6(112)	PDs_8.6(112)
   na./.viśeṣyajñānatvāt./.nahi.viśeṣyajñānam.sārūpyād.viśeṣaṇasambandham.antareṇa.bhavitum.arhati./.tathā.cāha.sūtrakāraḥ.samavāyinaḥ.śvaityāc.chvaityabuddheḥ.śvete.buddhis.te.kāryakāraṇabhūte.iti./	na./.-viSezya-jQAna-tvAt./.nahi.-viSezya-jQAnam-.sArUpyAt-.viSezaNa-sambanDa-m-.antareNa.Bavitum-.arhati./.-taTA.ca-aha.sUtra-kAraH.-samavAyina
   Pdhs_8.6(113.1-)	PDs_8.6(113.1-)
   na.tu.laiṅgikam.jñānam.abhedenotpadyate.tasmād.viṣamo.'yam.upanyāsaḥ.na.āśūtpatteḥ.yathā.śabdavad.ākāśam.iti.atra.trīṇi.jñānāny.āśūtpadyante.tathā.dvitvādijñanotpattāv.ity.adoṣaḥ./	na.tu.lEFgikam-.jQAnam-.aBedena-utpadyate.-tasmAt-.vizamo.-ayam.upanyAsaH.na.a-aSu-utpatteH.yaTA.-Sabda-vat-.AkASa-m.iti-.atra.trINi.-jQAnAni-.AS
   Pdhs_8.6(113)	PDs_8.6(113)
   badhyaghātakapakṣe.'pi.samāno.doṣa.iti.cet.syān.matam./.nanu.badhyaghātakapakṣe.'pi.tarhi.dravyajñānānutpatti.prasaṅgaḥ./.katham./.dvitvasāmānyabuddhisamakālam.saṃskārād.apekṣābuddhivināśād.iti./.na./	baDya-GAtaka-pakze.-api.samAnaH-.-doza-.iti.-cet.syAn.matam./.nanu.-baDya-GAtaka-pakze.-api.tarhi.dravya-jQAna-anutpatti.prasaFgaH./.kaTam./.d
   Pdhs_8.6(113)	PDs_8.6(113)
   samūhajñānasya.saṃskārahetutvāt.samūhajñānm.eva.saṃskārakāraṇam.nālocanajñānam.ity.adoṣaḥ./.jñānayaugapadyaprasaṅga.iti.cet.syān.matam.nanu.jñānānām.badhyaghātakavirodhe.jñānayaugapadyaprasaṅga.iti./.na./	samUha-jQAnasya.-saMskAra-hetu-tva-at.-samUha-jQAt-m.eva.-saMskAra-kAraNa-m.nAlocana-jQAnam-.ity.a-dozaH./.-jQAna-yOgapadya-prasaFga-.iti.-cet.syAn
   Pdhs_8.6(113) avinaśyator.avasthānapratiṣedhāt./	PDs_8.6(113) avinaSyatoH-.avasTAna-pratizeDAt./
   Pdhs_8.6(113)	PDs_8.6(113)
   jñānāyaugapdyavacanena.jñānayor.yugapad.utpattir.avinaśyatoś.ca.yugapadavasthānam.pratiṣidhyate.nahi.badhyaghātakavirodhe.jñānayor.yugapadutpattir.vinaśyatoś.ca.yugapadavasthānam.astīti.//	jQAna-ayOgapdya-vacanena.-jQAnayoH-.yugapad-.utpattiH-.avinaSyata-uS.ca.-yuga-pad-ava-sTAnam-.pratiziDyate.nahi.baDya-GAtaka-viroDe.-jQAnayoH-.yu
   Pdhs_8.7(130.20-)	PDs_8.7(130.20-)
   parimāṇam.mānavyavahārakāraṇam./.tac.caturvidham.aṇu.mahad.dīrgham.hrasvam.ceti./.tatra.mahad.dvividham..nityam.anityam.ca./.nityam.ākāśakāladigātmasu.paramamahattvam.anityam.tryaṇukādāv.eva./	parimANam-.mAna-vyavahAra-kAraNam./.tac.caturviDam-.aNu.mahat-.dIrGam.hra-svam-.ca-iti./.tatra.-mahat-.dviviDam-..nityam-.anityam-.ca./.nitya
   Pdhs_8.7(130)	PDs_8.7(130)
   tathā.cāṇv.api.dvividham.nityam.anityam.ca./.nityam.paramāṇumanassu.tat.pārimāṇḍaluyam./.anityam.dvyaṇuka.eva./.kuvalayāmalakabilvādiṣu.mahatsv.api.tatprakarṣabhāvābhāvam.apekṣya.bhākto.'ṇutvavyavahāraḥ./	taTA-a.cA-aNu-.api.dviviDam-.nityam-.anityam-.ca./.nityam-.paramANu-manassu.tat.pArimANxaluyam./.anityam.dvi-aNuka-.eva./.ku-valaya-Amalaka-bil
   Pdhs_8.7(131.2-)	PDs_8.7(131.2-)
   dīrghatvahrasvatve.cotpādye.mahadaṇutvaikārthasamavete./.samidikṣuvaṃśādiṣv.aṃjasā.dīrgheṣv.api.tatprakarṣabhāvābhāvam.apekṣya.bhākto.hrasvatvavyavahāraḥ./	dIrGa-tva-hrasva-tve.ca-utpAdye.-mahat-aNutva-eka-arTa-sama-vete./.-samiD-ikzu-vaMSa-Adizu-.aMjasA.-dIrGezu-.api.-tad-prakarza-BAva-aBAvam-.apekzya.-BAktaH-.
   Pdhs_8.7(131)	PDs_8.7(131)
   anityam.caturvidham.api.saṃkhyāparimāṇapracayayoni./.tatreśvarabuddhim.apekṣyotpannā.paramāṇudvyaṇukeṣu.bahutvasaṃkhyā.tair.ārabdhe.kāryadravye.tryaṇukādilakṣaṇe.rūpādyutpattisamakālam.mahattvam.dīrghatvam.ca.karoti./	anityam-.caturviDam-.api.-saMKyA-parimANa-pracaya-yoni-./.tatra-ISvara-budDim-.apekzya-utpannA.-paramANu-dvi-aNuka-izu.-bahutva-saMKyA-a.tEH-.a-ArabDe.-k
   Pdhs_8.7(131)	PDs_8.7(131)
   dvibahubhir.mahadbhiś.cārabdhe.kāryadravye.kāraṇamahattvāny.eva.mahattvam.ārabhante.na.bahutvam./.samānasaṃkhyaiś.cārabdhe.'tiśayadarśanāt./	dvi-bahuBiH-.mahat-BiS.ca-ArabDe.-kArya-dravye.-kAraNa-mahat-tvAni-.eva.-mahat-tvam-.AraBante.na.-bahu-tvam-./.samAna-saMKyA-eS.ca-ArabDe.-atiSaya-darS
   Pdhs_8.7(131)	PDs_8.7(131)
   pracaya.tūlapiṇḍayor.vartamānaḥ.piṇḍārambhakāvayavapraśithilasamyogān.apekṣamāṇa.itaretarapiṇḍāvayavasamyogāpekṣo.vā.dvitūlake.mahattvam.ārabhate.na.bahutvamahattvāni./	pracaya.-tUla-piNxayoH-.vartamAnaH.piNxa-AramBaka-avayava-praSiTila-samyogAn-.apekzamANa-.itaretara-piNxa-avayava-samyoga-apekzaH-.vA.dvi-tUlake.ma
   Pdhs_8.7(131)	PDs_8.7(131)
   samānasaṃkhyāpalaparimāṇair.ārabdhe.'tiśayadarśanāt./.dvitvasaṃkhyā.cāṇvor.vartamānā.dvyaṇuke.'ṇutvam.ārabhate./.mahattvavat.tryaṇukādau.kāraṇabahutvamahattvasamānajātīyapracayebhyo.dīrghatvasyopattiḥ./	samAna-saMKyA-pala-parimANEH-.ArabDe.-atiSaya-darSanAt./.-dvi-tva-saMKyA.-cANvoH-.vartamAnA.-dvi-aNuke.-aNu-tvam-.a-AraBate./.-mahat-tvavat.-tri-aNuj-
   Pdhs_8.7(131)	PDs_8.7(131)
   aṇutvavad.dvyaṇuke.dvitvasaṃkhyāto.hrasvatvasyotpattiḥ./.atha.tryaṇukādiṣu.vartamānayor.mahattvadīrghatvayoḥ.parsparataḥ.ko.viśeṣaḥ.dvyaṇukeṣu.cāṇutvahrasvatvayor.iti./	aNu-tva-vat-.dvi-aNuke.dvi-tva-saMKyAto.-hrasva-tvasya-utpattiH./.aTa.tri-aNuka-Adizu.vartamAnayoH-.mahat-tva-dIrGa-tvayoH-.parsparataH.-ko.viSeza
   Pdhs_8.7(131)	PDs_8.7(131)
   tatrāsti.mahattvadīrghatvayoḥ.parasparato.viśeṣah,.mahatsu.dīrgham.ānīyatām.dīrgheṣu.ca.mahad.ānīyatām.iti.viśiṣṭavyavahāradarśanād.iti./	tatra-asti.mahat-tva-dIrGa-tvayoH-.parasparato.-viSeza-h,.-mahat-su.dIrGam.AnIya-tAm-.dIH-Ga-izu.-ca.-mahat-.AnIya-tAm-.iti.-viSizwa-vyavahAra-darSanA
   Pdhs_8.7(132.2-)	PDs_8.7(132.2-)
   aṇutvahrasvatvayos.tu.parasparato.viśeṣas.taddarśinām.pratyakṣa.iti./.tac.caturvidham.api.parimāṇam.utpādyam.āśrayavināśād.eva.vinaśyatīti.//	aNu-tva-hrasva-tvayaH-s.tu.-paraspara-to.viSeza-s.tad-darSi-nAm.-pratyakza-.iti./.ta-c.caturviDam-.api.-parimANam-.utpAdyam.a-ASraya-vinASAt-.eva.-v
   Pdhs_8.8(138.5-)	PDs_8.8(138.5-)
   pṛthaktvam.apoddhāravyavahārakāraṇam./.tat.punar.ekadravyam.anekadravyam.ca./.tasya.tu.nityānityatvaniṣpattayaḥ.saṃkhyayā.vyākhyātāḥ./.etāvāṃs.tu.viśeṣaḥ.ekatvādivad.ekapṛthaktvādiṣv.aparasāmānyābhāvaḥ.saṃkhyayā.tu.viśiṣyate.tadviśiṣṭavyavahāradarśanād.iti.//	pRTaktvam-.apa-udDAra-vyavahAra-kAraNam-./.tat.-punar-.eka-dravyam-.aneka-dravyam-.ca./.tasya-.tu.nitya-anitya-tva-nizpattayaH.-saMKyayA.-vyAKyAtA
   Pdhs_8.9(139.13-)	PDs_8.9(139.13-)
   samyogaḥ.samyuktapratyayanimittam./.sa.ca.dravyaguṇakarmahetuḥ./.dravyārambhe.nirapekṣas.tathā.bhavatīti.sāpekṣebhyo.nirapekṣebhyaś.ceti.vacanāt./.guṇakarmārambhe.tu.sāpekṣaḥ.samyuktasamavāyād.agner.vaiśeṣikam.iti.vacanāt./	samyogaH.-samyukta-pratyaya-nimittam-./.sa.ca.-dravya-guNa-karma-hetuH./.dra-vyAramBe.-nirapekzas.-taTA-a.Bavati-iti.sa-apekzeByo.-nirapekzeByaS.
   Pdhs_8.9(139)	PDs_8.9(139)
   atha.kathaṃlakṣaṇaḥ.katividhaś.ceti./.aprāptayoḥ.prāptiḥ.samyogaḥ.sa.ca.trividhaḥ.anyatarakarmajaḥ.ubhayakarmajaḥ.samyogajaś.ca./.tatrānyatarakarmajaḥ.kriyāvatā.niṣkriyasya./	aTa.-kaTaMlakzaNaH.-kativiDa-S.ca-iti./.a-prAptayoH.prAptiH.samyogaH-.sa.ca.triviDaH-.anyatara-karma-jaH.u-Baya-karma-jaH.-samyoga-jaS.ca./.ta
   Pdhs_8.9(139)	PDs_8.9(139)
   yathā.sthāṇoḥ.śyenenna.vibhūnām.ca.mūrttaiḥ./.ubhayakarmajo.viruddhadikkriyayoḥ.sannipātaḥ./.yathā.mallayor.meṣāyor.vā./.	yaTA-.sTANoH.Syena-inna.viBUnAm.ca.-mUrttEH-./.u-Baya-karma-jaH-.virudDa-dikkriyayoH.-sannipAtaH./.yaTA.-mallayoH-.mezAyoH-.vA./.
   Pdhs_8.9(139)	PDs_8.9(139)
   samyogajas.tūtpannamātrasya.cirotpannasya.vā.niṣkriyasya.kāraṇasamyogibhir.akāraṇaiḥ.kāraṇākāraṇasamyogapūrvakaḥ.kāryākāryagataḥ.samyogaḥ./	samyoga-ja-s.tu-utpanna-mAtrasya.cira-utpannasya.vA.-nizkriyasya.-kAraNa-samyogiBiH-.akAraNEH.kAraNA-kAraNa-samyoga-pUrvakaH.-kArya-akArya-gataH.
   Pdhs_8.9(140.2-)	PDs_8.9(140.2-)
   sa.caikasmād.dvābhyām.bahubhyaś.ca.bhavati./.ekasmāt.tāvat.tantuvīraṇasamyogāt.dvitantukavīraṇasamyogaḥ./.dvābhyām.tantvākāśasamyogābhyām.eko.dvitantukākāśasamyogaḥ./.bahubhyaś.ca.tantturīsamyogebhya.ekaḥ.paṭaturīsamyogaḥ./	sa.ca-ekasmAt-.dvAByAm-.bahuBi-aS.ca.Bavati./.ekasmAt.tAvat.-tantu-vIraNa-samyogAt.dvi-tantuka-vIraNa-samyogaH./.dvAByAm-.tantu-AkASa-samyogA
   Pdhs_8.9(140)	PDs_8.9(140)
   ekasmāc.ca.dvayor.utpattiḥ./.katham./.yadā.pārthivāpyayor.aṇvoḥ.samyoge.saty.anyena.pārthivena.pārthivasyānyenāpyena.cāpyasya.yugapatsamyogau.bhavatas.tadā.tābhyām.samyogābhyām.pārhtivāpye.dvyaṇuke.yugapad.ārabhyete./	ekasmAc.ca.-dvayoH-.utpattiH./.kaTam-./.yadA.pArTi-va-apyayoH-.aNvoH.samyoge.-saty.anyena.-pArTivena.-pArTivasya-anyena-api-ena.-ca-api-asya.-yuga-p
   Pdhs_8.9(140)	PDs_8.9(140)
   tato.yasmin.kāle.dvyaṇukayoḥ.kāraṇaguṇapūrvakrameṇa.rūpādyutpattiḥ.tasminn.eva.kāle.itaretarakāraṇākāraṇagatāt.samyogād.itaretarakāyākāryagatau.samyogau.yugapad.utpadyete./.kim.kāraṇam./	tatas-.yasmin-.kAle.dvi-aNukayoH.kAraNa-guNa-pUrva-krameNa.rUpa-Adi-utpattiH.tasmin=-.eva.-kAle.itaretara-kAraNA-kAraNa-gatAt.-samyogAt-.itareta
   Pdhs_8.9(140)	PDs_8.9(140)
   kāraṇasāyoginā.hy.akāraṇena.kāryam.avaśyam.samyujyate.iti.nyāyaḥ.ataḥ.pārthivam.dvyaṇukam.kāraṇasamyogināpyenāṇunā.sambaddhyate.āpyam.api.dvyaṇukam.kāraṇsamyoginā.pārthiveneti./	kAraNa-sAyogina-a.hy.a-kAraNena.kAryam-.avaSyam-.samyujyate.iti.-nyAyaH-.ataH.-pArTiva-m.dvi-aNu-kam.kAraNa-samyogi-nApyena-aNunA.-sambadDi-ate.A
   Pdhs_8.9(140)	PDs_8.9(140)
   atha.dvyaṇukayor.itaretarakāraṇākāraṇasambaddhayoḥ.katham.parasparataḥ.sambandha.iti./.tayor.api.samyogajābhyām.samyogābhyām.sambandha.iti./.nāstyajaḥ.samyogo.nityaparimaṇḍalavat.pṛthaganabhidhānāt./	aTa.-dvi-aNukayoH-.itaretara-kAraNA-kAraNa-sambadDayoH.kaTam-.parasparataH.-sambanDa-.iti./.tayoH-.api.-samyoga-jAByAm-.samyogAByAm-.sambanDa
   Pdhs_8.9(140)	PDs_8.9(140)
   yathā.caturvidham.parimāṇam.utpādyam.uktvāha.nityam.parimaṇḍalam.ity.evam.anyatarakarmajādisamyogam.utpādyam.uktvā.pṛthaṅnityam.brūyān.na.tv.evam.abravīt.tasmān.nāstyajaḥ.samyogaḥ./	yaTA.caturviDam.parimANam-.utpAdyam-.uktvA-aha.-nityam-.parimaNxalam-.iti-.evam.anyatara-karma-ja-Adi-samyogam-.utpAdyam.uj-tvA.-pRTak-nityam-.br
   Pdhs_8.9(141.3-)	PDs_8.9(141.3-)
   paramāṇubhir.ākāśādīnām.pradeśavṛttir.anyatarakarmajaḥ.samyogaḥ./.vibhūnām.tu.parasparataḥ.samyogo.nāsti.yutasiddhyabhāvāt./	paramANuBiH-.A-AkASa-AdInAm-.pradeSa-vRttiH-.anyatara-karma-jaH.-samyogaH-./.viBUna-am.tu.-parasparataH.-samyogo.nAsti-.yuta-sidDi-aBAva-at./
   Pdhs_8.9(141)	PDs_8.9(141)
   sā.punar.dvayor.anyatarasya.vā.pṛthaggatimattvam.pṛthagāśrayāśrayitvam.ceti./.vināśas.tu.sarvasya.samyogasyaikārthasamavetād.vibhāgāt.kvacid.esrayavināśād.api./.katham./	sA.punar.dvayoH-.anyatarasya.vA.-pRTak-gatimat-tvam-.pRTak-ASraya-ASrayi-tvam-.ceti./.-vinASa-s.tu.-sarvasya.-samyogasya-eka-arTa-samavetAd.viBAgA
   Pdhs_8.9(141)	PDs_8.9(141)
   yadā.tantvoḥ.samyoge.satyanyataratantvārambhake.aṃśau.karmotpadyate.tena.karmaṇā.aṃśvantatarād.vibhāgaḥ.kriyate.vibhāgāc.ca.tantvārambhakasamyogavināśaḥ.samyogavināśāt.tantuvināśas.tadvināśe.tadāśritasya.tantvantarasamyogasya.vināśa.iti.//	yadA.tantvoH.samyoge.-sati-anyatara-tantu-AramBake.aMSO.-karma-utpadyate.-tena.-karmaNA-a.aMSvantatarAd.-viBAgaH.kriyate.-viBAga-ac.ca.-tantvAr
   Pdhs_8.10(151.4-)	PDs_8.10(151.4-)
   vibhāgo.vibhaktapratyayanimittam./.śabdavibhāgahetuś.ca./.prāptipūrvikā.'prāptir.vibhāgaḥ./.sa.ca.trividhaḥ./.anyatarakarmaja.ubhayakarmajo.vibhāgajaś.ca.vibhāga.iti./	viBAgo.viBakta-pratyaya-nimittam-./.-Sabda-viBAga-hetu-H-.ca./.-prApti-pUrvikA.-aprAptiH-.viBAgaH-./.sa.ca.triviDaH-./.anyatara-karma-ja.u-Baya-k
   Pdhs_8.10(151)	PDs_8.10(151)
   tatrānyatarakarmajobhayakarmajau.samyogavat./.vibhāgajas.tu.dvividhaḥ.kāraṇavibhāgāt.kāraṇākāraṇavibhāgāc.ca./.tatra.kāraṇavibhāgāt.tāvat.kāryāviṣṭe.kāraṇe.karmotpannam.yadā.tasyāvayavāntarād.vibhāgam.karoti.na.tadākāśādideśāt.yadā.tv.ākāśādideśād.vibhāgam.karoti.na.tadāvayavāntarād.iti.sthitiḥ./	tatra-anyatara-karma-ja-uBaya-karma-jO.-samyogavat./.-viBAga-ja-s.tu.dviviDaH.-kAraNa-viBAgAt.kAraNA-kAraNa-viBAga-ac.ca./.-tatra.-kAraNa-viBAga-at.tA
   Pdhs_8.10(151)	PDs_8.10(151)
   ato.'vayavakarmāvayavāntarād.eva.vibhāgam.ārabhate.tato.vibhāgāc.ca.dravyārambhakasamyogavināśaḥ.tasmin.vinaṣṭe.kāraṇābhāvāt.kāryābhāva.ity.avayavivināśaḥ.tadā.kāraṇayor.vartamāno.vibhāgaḥ.kāryavināśaviśiṣṭam.kālam.svatantram.vāvayavam.apekṣya.sakriyasyaivāvayavasya.kāryasamyuktād.ākāśādideśād.vibhāgam.ārabhate.na.niṣkriyasya.kāraṇābhāvād.uttarasamyogānutpattāv.anupabhogyatvaprasaṅgaḥ.na.tu.tadavayavakarmākāśādideśād.vibhāgam.karoti.tadārambhakālātītatvāt.pradeśāntarasamyogam.tu.karoty.eva.akṛtasamyogasya.karmaṇaḥ.kālātyayābhāvād.iti./	ato.-avayava-karma-avayava-antarAt-.eva.-viBAgam.a-AraBate.tato.viBAga-ac.ca.dravya-AramBaka-samyoga-vinASaH.tasmin.vinazwe.-kAraNa-ABA-vAt.-kArya-ABA
   Pdhs_8.10(151) kāraṇākāraṇavibhāgād.api.katham./	PDs_8.10(151) kAraNa-akAraNa-viBAgAt-.api.kaTam./
   Pdhs_8.10(152.1-)	PDs_8.10(152.1-)
   yadā.haste.karmotpannam.avayavāntarād.vibhāgam.akurvadākāśādideśebhyo.vibhāgān.ārabhya.pradeśāntare.samyogān.ārabhate.tadā.te.kāraṇākāraṇavibhāgāḥ.karma.yām.diśam.prati.kāryārambhābhimukham.tām.apekṣya.kāryākāryavibhāgān.ārabhante.tadanantaram.kāraṇākāraṇasamyogāc.ca.kāryākāryasamyogān.iti./	yadA-a.haH-te.karma-utpannam-.avayava-antarAd.viBAgam.akurvat-AkASa-Adi-deSeByo.-viBAgAn.AraBya.-pradeSa-antare.-samyogAn-.AraBate.-tad-A.te.kAraNA
   Pdhs_8.10(152)	PDs_8.10(152)
   yadi.kāraṇavibhāgānantaram.kāryavibhāgotpattiḥ.kāraṇasamyogānantaram.kāryasamyogotpattiḥ.nanv.evam.avayavāvayavinor.yutasiddhidoṣaprasaṅgaḥ.iti./.na./	yadi.kAraNa-viBAga-anantaram-.kArya-viBAga-utpatti-H.kAraNa-samyoga-anantaram-.kArya-samyoga-utpattiH.nanu-.evam-.avayava-avayavinoH-.yuta-sidDi-doza
   Pdhs_8.10(152)	PDs_8.10(152)
