   atha śrīvāmanapurāṇam	aTa SrIvAmanapurANam
   samāyātāḥ sabhāṃ tūrṇaṃ kimetaditi vādinaḥ // VamP_40.57 //	samAyAtAH saBAm tUrNam kim etat iti vAdinaH // VamP_40.57 //
   yāthātathyaṃ ca tān sarvānāha senāpatirbalī /	yATAtaTyam ca tAn sarvAn Aha senApatiH balI /
   te cāpi balināṃ śreṣṭhāḥ sannaddhā yuddhakāṅkṣiṇaḥ // VamP_40.58 //	te ca api balinAm SrezWAH sannadDA yudDa kAFkziNaH // VamP_40.58 //
   sahāndhakā niryayuste gajairuṣṭrairhayai rathaiḥ /	saha anDakAH niryayuH te gajEH uzwrEH hayEH raTEH /
   andhako rathamāsthāya pañcanalvapraṇamāṇataḥ // VamP_40.59 //	anDakaH raTam AsTAya paQca nalva praNamANataH // VamP_40.59 //
   tryambakaṃ sa parājetuṃ kṛtabuddhirviniryayau /	tryambakam sa parAjetum kRta budDiH viniryayO /
   jambhaḥ kujambho huṇḍaśca tuhuṇḍaḥ śambaro baliḥ // VamP_40.60 //	jamBaH kujamBaH huNxaH ca tuhuNxaH SambaraH baliH // VamP_40.60 //
   bāṇāḥ kārtasvaro hastī sūryaśatrurmahodaraḥ /	bANAH kArtasvaraH hastI sUryaSatruH mahodaraH /
   ayaḥśuṅkuḥ śibiḥ śālvo vṛṣaparvā virocanaḥ // VamP_40.61 //	ayaHSuFkuH SibiH SAlvaH vRzaparvA virocanaH // VamP_40.61 //
   hayagrīvaḥ kālanemiḥ saṃhlādaḥ kālanāśanaḥ /	hayagrIvaH kAlanemiH saMhlAdaH kAla nASanaH /
   śarabhaḥ śalabhaścaiva vipracittiśca vīryavān // VamP_40.62 //	SaraBaH SalaBaH ca eva vipracittiH ca vIryavAn // VamP_40.62 //
   duryodhanaśca pākaśca vipākaḥ kālaśambarau /	duryoDanaH ca pAkaH ca vipAkaH kAla SambarO /
   ete cānye ca bahavo mahāvīryā mahābalāḥ /	ete ca anye ca bahavaH mahA vIryAH mahA balAH /
   prajagamurutsukā yoddhuṃ nānāyudhadharā raṇe // VamP_40.63 //	prajagamuH utsukAH yodDum nAnA AyuDa DarAH raNe // VamP_40.63 //
   itthaṃ durātmā danusainyapālastadāndhako yoddhumanā hareṇa /	itTam durAtmA danu sEnya pAlaH tadA anDakaH yodDu manAH hareNa /
   mahācalaṃ mandaramabhyupeyivān sa kālapāśāvasito hi mandadhīḥ //	mahA acalam mandaram aByupeyivAn sa kAla pASa avasitaH hi manda DIH //
   VamP_40.64 //	VamP_40.64 //
   iti śrīvāmanapurāṇe catvāriśo 'dhyāyaḥ	iti SrI vAmanapurANe catvAriSaH aDyAyaH
   pulāstya uvāca /	pula astyaH uvAca /
   haro 'pi śambare yāte samāhūyātha nandinam /	haraH api Sambare yAte samAhUya aTa nandinam /
   prāhāmantraya śailāde ye sthitāstava śāsane // VamP_41.1 //	prAha Amantraya SElAde ye sTitAH tava SAsane // VamP_41.1 //
   tato maheśavacanānnandī tūrṇataraṃ gataḥ /	tatas maheSa vacanAt nandI tUrNataram gataH /
   upaspṛśya jalaṃ śrīmān sasmāra gaṇanāyakān // VamP_41.2 //	upaspRSya jalam SrImAn sasmAra gaNanAyakAn // VamP_41.2 //
   nandinā saṃsmṛtāḥ sarve gaṇanāthāḥ sahasraśaḥ /	nandinA saMsmRtAH sarve gaNanATAH sahasraSas /
   samutpatya tvarāyuktāḥ praṇatāstridaseśvaram // VamP_41.3 //	samutpatya tvarA yuktAH praNatAH tridaseSvaram // VamP_41.3 //
   āgatāṃśca gaṇānnandī kṛtāñjalipuṭo 'vyayaḥ /	AgatAn= ca gaNAt nandI kRta aQjali puwaH avyayaH /
   sarvān nivedayāmāsa śaṅkarāya mahātmane // VamP_41.4 //	sarvAn nivedayAmAsa SaFkarAya mahAtmane // VamP_41.4 //
   nandyuvāca /	nandI uvAca /
   yānetān paśyase śaṃbho trinetrāñjaṭilāñśucīn /	yAn etAn paSyase SaMBo trinetra aQjawilAn SucIn /
   ete rudrā iti khyātāḥ koṭya ekādaśaiva tu // VamP_41.5 //	ete rudrAH iti KyAtAH kowyaH ekAdaSa eva tu // VamP_41.5 //
   vānarāsyān paśyase yān śārdūlasamavikramān /	vAnara AsyAn paSyase yAn SArdUla sama vikramAn /
   eteṣāṃ dvārapālāste mannamāno yaśodhanāḥ // VamP_41.6 //	etezAm dvArapAlAH te mannamAnaH yaSaH DanAH // VamP_41.6 //
   ṣaṇmukhān paśyase yāṃśca śaktipāṇīñśikhidhvajān /	zaNmuKAn paSyase yAn= ca SaktipANIn SiKi DvajAn /
   ṣaṭ ca ṣaṣṭistathā koṭyaḥ skandanāmnaḥ kumārakān // VamP_41.7 //	zaz ca zazwiH taTA kowyaH skanda nAmnaH kumArakAn // VamP_41.7 //
   etāvatyastathā koṭya śākhā nāma ṣaḍānanāḥ /	etAvatyaH taTA kowya SAKAH nAma zaxAnanAH /
   viśākhāstāvadevoktā naigameyāśca śaṅkara // VamP_41.8 //	viSAKAH tAvat eva uktAH nEgameyAH ca SaFkara // VamP_41.8 //
   saptakoṭiśataṃ śaṃbho amī vai pramathottamāḥ /	sapta kowi Satam SaMBo amI vE pramaTa uttamAH /
   ekaikaṃ prati deveśa tāvatyo hyapi mātaraḥ // VamP_41.9 //	ekEkam prati deveSa tAvatyaH hi api mAtaraH // VamP_41.9 //
   bhasmāruṇitadehāśca trinetrāḥ śūlapāṇayaḥ /	Basma aruNita dehAH ca trinetrAH SUla pANayaH /
   ete śaivā iti proktāstava bhaktā gaṇeśvarāḥ // VamP_41.10 //	ete SEvAH iti proktAH tava BaktAH gaNeSvarAH // VamP_41.10 //
   tathā pāśupatāścānye bhasmaprahāraṇā vibho /	taTA pASupatAH ca anye Basma prahAraNAH viBo /
   ete gaṇāstvasaṃkhyātāḥ sahāyārthaṃ samāgatāḥ // VamP_41.11 //	ete gaNAH tu asaMKyAtAH sahAya arTam samAgatAH // VamP_41.11 //
   pinākadhāriṇo raudrā gaṇāḥ kālamukhāpare /	pinAka DAriNaH rOdrAH gaNAH kAla muKa apare /
   tava bhaktāḥ samāyātā jaṭāmaṇḍalinodbhutāḥ // VamP_41.12 //	tava BaktAH samAyAtAH jawA maNxalinA udButAH // VamP_41.12 //
   khaṭvāṅgayodhino vīrā raktacarmasamāvṛtāḥ /	KawvAFga yoDinaH vIrAH rakta carma samAvRtAH /
   ime prāptā gaṇā yoddhuṃ mahāvratina uttamāḥ // VamP_41.13 //	ime prAptAH gaNAH yodDum mahAvratinaH uttamAH // VamP_41.13 //
   digvāsaso mauninaśca ghaṇṭāpraharaṇāstathā /	digvAsasaH mOninaH ca GaNwA praharaNAH taTA /
   nirāśrayā nāma gaṇāḥ samāyātā jagadguro // VamP_41.14 //	nirASrayAH nAma gaNAH samAyAtAH jagadguro // VamP_41.14 //
   sārdhadvinetrāḥ padmākṣāḥ śrīvatsāṅkitavakṣasaḥ /	sArDa dvi netrAH padma akzAH SrIvatsa aFkita vakzasaH /
   samāyātāḥ khagārūḍhā vṛṣabhadhvajino 'vyayāḥ // VamP_41.15 //	samAyAtAH Kaga ArUXAH vRzaBaDvajinaH avyayAH // VamP_41.15 //
   mahāpāśupatā nāma cakraśūladharāstathā /	mahA pASupatAH nAma cakra SUla DarAH taTA /
   bhairavo viṣṇunā sārddhamabhedenārcito hi yai // VamP_41.16 //	BEravaH vizNunA sArdDama Bedena arcitaH hi yE // VamP_41.16 //
   ime mṛgondravadanāḥ śūlabāṇadhanurdharāḥ /	ime mRga undra vadanAH SUla bANa DanuH DarAH /
   gaṇāstvadromasaṃbhūtā vīrabhadrapurogamāḥ // VamP_41.17 //	gaNAH tvad roma saMBUtAH vIraBadra purogamAH // VamP_41.17 //
   ete cānye ca bahavaḥ śataśo 'tha sahasraśaḥ /	ete ca anye ca bahavaH SataSas aTa sahasraSas /
   sahāyārthaṃ tavāyātā yathāprītyādiśasva tān // VamP_41.18 //	sahAya arTam tava AyAtAH yaTAprIti AdiSasva tAn // VamP_41.18 //
   tato 'bhyetya gaṇāḥ sarve praṇemurvṛṣabhadhvajam /	tatas aByetya gaNAH sarve praNemuH vRzaBaDvajam /
   tān kareṇaiva bhagavān samāśvāsyopaveśayat // VamP_41.19 //	tAn kareNa eva BagavAn samASvAsya upaveSayat // VamP_41.19 //
   mahāpāśupatān dṛṣṭvā samutthāya maheśvaraḥ /	mahA pASupatAn dRzwvA samutTAya maheSvaraH /
   saṃpariṣvajatādhyakṣāṃste praṇemurmaheśvaram // VamP_41.20 //	saMparizvajata aDyakzAn= te praNemuH maheSvaram // VamP_41.20 //
   tatastadadbhutatamaṃ dṛṣṭvā sarve gaṇeśvarāḥ suciraṃ vismitākṣāśca	tatas tat adButatamam dRzwvA sarve gaNeSvarAH su ciram vismita akzAH ca
   vailakṣyamagamat param // VamP_41.21 //	vElakzyam agamat param // VamP_41.21 //
   vismitākṣān gaṇān dṛṣṭvā sailadiryogināṃ varaḥ /	vismita akzAn gaNAn dRzwvA sEladiH yoginAm varaH /
   prāha prahasya deveśaṃ śūlapāṇiṃ gaṇādhipam // VamP_41.22 //	prAha prahasya deveSam SUlapANim gaNADipam // VamP_41.22 //
   vismitāmī gaṇā deva sarva eva maheśvara /	vismitA amI gaNAH deva sarve eva maheSvaraH /
   mahāpāśupatānāṃ hi yat tvayāliṅganaṃ kṛtam // VamP_41.23 //	mahA pASupatAnAm hi yat tvayA AliFganam kRtam // VamP_41.23 //
   tadeteṣāṃ mahādeva sphuṭaṃ trailokyavindakam /	tat etezAm mahAdeva sPuwam trElokya vindakam /
   rūpaṃ jñānaṃ vivekaṃ ca vadasva svecchayā vibho // VamP_41.24 //	rUpam jQAnam vivekam ca vadasva sva icCayA viBo // VamP_41.24 //
   pramathādhipatervākyaṃ viditvā bhūtabhāvanaḥ /	pramaTa aDipateH vAkyam viditvA BUtaBAvanaH /
   babhāṣe tān gaṇān sarvān bhāvābhāvavicāriṇaḥ // VamP_41.25 //	baBAze tAn gaNAn sarvAn BAva aBAva vicAriNaH // VamP_41.25 //
   rudra uvāca/ /	rudraH uvAca/ /
   bhavdbhirbhaktisaṃyuktairharo bhāvena pūjitaḥ /	BavdBiH Bakti saMyuktEH haraH BAvena pUjitaH /
   ahaṅkāravimūḍhaiśca nindadbhirvaiṣṇavaṃ padam // VamP_41.26 //	ahaFkAra vimUXEH ca nindadBiH vEzNavam padam // VamP_41.26 //
   tenājñānena bhavatonādṛtyānuvirodhitāḥ /	tena ajQAnena BavatA UnAdRtya anuviroDitAH /
   yo 'haṃ sa bhagavān viṣṇurviṣṇuryaḥ so 'hamavyayaḥ // VamP_41.27 //	yaH aham sa BagavAn vizNuH vizNuH yaH saH aham avyayaH // VamP_41.27 //
   nāvayorvai viśeṣo 'sti ekā mūrtirdvidhā sthitā /	na AvayoH vE viSezaH asti ekA mUrtiH dviDA sTitA /
   tadamībhirnaravyāghrairbhaktibhāvayutairgaṇaiḥ // VamP_41.28 //	tad amIBiH nara vyAGrEH Bakti BAva yutEH gaNEH // VamP_41.28 //
   yathāhaṃ vai parijñāto na bhavadbhistathā dhruvam /	yaTA aham vE parijQAtaH na BavadBiH taTA Druvam /
   yenāhaṃ nindito nityaṃ bhavadbhirmūḍhabuddhibhiḥ // VamP_41.29 //	yena aham ninditaH nityam BavadBiH mUXa budDiBiH // VamP_41.29 //
   tena jñānaṃ hi vai naṣṭaṃ nātastvāliṅgitā mayā /	tena jQAnam hi vE nazwam na atas tu AliFgitAH mayA /
   ityevamukte vacane gaṇāḥ procurmaheśvaram // VamP_41.30 //	iti evam ukte vacane gaNAH procuH maheSvaram // VamP_41.30 //
   kathaṃ bhavān yathaikyena saṃsthito 'sti janārdanaḥ /	kaTam BavAn yaTA Ekyena saMsTitaH asti janArdanaH /
   bhavān hi nirmalaḥ suddhaḥ śāntaḥ suklo nirañjanaḥ // VamP_41.31 //	BavAn hi nirmalaH sudDaH SAntaH suklaH niraQjanaH // VamP_41.31 //
   sa cāpyañjanasaṃkāśaḥ kathaṃ teneha yujyate /	sa ca api aQjana saMkASaH kaTam tena iha yujyate /
   teṣāṃ vacanamarthāḍhyaṃ śrutvā jīmūtavāhanaḥ // VamP_41.32 //	tezAm vacanam arTa AXyam SrutvA jImUtavAhanaH // VamP_41.32 //
   vihasya meghagambhīraṃ gaṇānidamuvāca ha /	vihasya meGa gamBIram gaNAn idam uvAca ha /
   śrūyatāṃ sarvamākhyāsye svayaśovarddhanaṃ vacaḥ // VamP_41.33 //	SrUyatAm sarvam AKyAsye sva yaSaH vardDanam vacaH // VamP_41.33 //
   na tveva yogyā yūyaṃ hi mahājñānasya karhicit /	na tu eva yogyAH yUyam hi mahA jQAnasya karhicit /
   apavādabhayād guhyaṃ bhavatāṃ hi prakāśaye // VamP_41.34 //	apavAda BayAt guhyam BavatAm hi prakASaye // VamP_41.34 //
   priyadhvamapi caitena yanmaccittāstu nityaśaḥ /	priyaDvam api ca etena yat mad cittAH tu nityaSas /
   ekarūpātmakaṃ dehaṃ kurudhyaṃ yatnamāsthitāḥ // VamP_41.35 //	eka rUpa Atmakam deham kuruDyam yatnam AsTitAH // VamP_41.35 //
   payasā haviṣādyaiśca snāpanena prayatnataḥ /	payasA havizA AdyEH ca snApanena prayatnataH /
   candanādibhirekāgrairna me prītiḥ prajāyate // VamP_41.36 //	candana AdiBiH ekAgrEH na me prItiH prajAyate // VamP_41.36 //
   yatnāt krakacamādāya chindadhvaṃ mama vigraham /	yatnAt krakacam AdAya CindaDvam mama vigraham /
   narakārhā bhavadbhaktā rakṣāmi svayaśor'thataḥ // VamP_41.37 //	naraka arhAH Bavat BaktA rakzAmi sva yaSoH aTatas // VamP_41.37 //
   māyaṃ vadiṣyate loko mahāntamapavādinam /	mA ayam vadizyate lokaH mahAntam apavAdinam /
   yathā patanti narake harabhaktāstapasvinaḥ // VamP_41.38 //	yaTA patanti narake hara BaktAH tapasvinaH // VamP_41.38 //
   vrajanti narakaṃ ghoraṃ ityevaṃ parivādinaḥ /	vrajanti narakam Goram iti evam parivAdinaH /
   ator'thaṃ na kṣipāmyadya bhavato narake 'dbhute // VamP_41.39 //	ator aTam na kzipAmi adya BavataH narake adBute // VamP_41.39 //
   yannindadhvaṃ jagannāthaṃ puṣkarākṣaṃ ca manmayam /	yat nindaDvam jagannATam puzkarAkzam ca mad mayam /
   sa caiva sadṛśo loke vidyate sacarācare /	sa ca eva sadRSaH loke vidyate sacarAcare /
   śvetamūrtiḥ sa gavān pīto rakto 'ñjanaprabhaḥ // VamP_41.40 //	Sveta mUrtiH sa gavAn pItaH raktaH aQjana praBaH // VamP_41.40 //
   na tasya sadṛśo loke vidyate sacarācare /	na tasya sadRSaH loke vidyate sacarAcare /
   śvetamūrtiḥ sa bhagavān pīto rakto 'ñjanaprabhaḥ // VamP_41.41 //	Sveta mUrtiH sa BagavAn pItaH raktaH aQjana praBaH // VamP_41.41 //
   tasmāt parataraṃ loke nānyad dharma hi vidyate /	tasmAt parataram loke na anyat Darma hi vidyate /
   sāttvikaṃ rājasaṃ caiva tāmasaṃ miśrakaṃ tathā /	sAttvikam rAjasam ca eva tAmasam miSrakam taTA /
   sa eva dhatte bhagavān sarvapūjyaḥ sadāśivaḥ // VamP_41.42 //	saH eva Datte BagavAn sarva pUjyaH sadASivaH // VamP_41.42 //
   śaṅkarasya vacaḥ śrutvā śaivādyā pramathottamāḥ /	SaFkarasya vacaH SrutvA SEva AdyA pramaTa uttamAH /
   pratyūcurbhagavan brūhi sadāśivaviśeṇam // VamP_41.43 //	pratyUcuH Bagavan brUhi sadASiva viSeNam // VamP_41.43 //
   teṣāṃ tad bhāṣitaṃ śrutvā pramathānāmatheśvaraḥ /	tezAm tat BAzitam SrutvA pramaTAnAm aTa ISvaraH /
   darśayāmāsa tadrūpaṃ sadāśaivaṃ nirañjanam // VamP_41.44 //	darSayAmAsa tad rUpam sadA ASA evam niraQjanam // VamP_41.44 //
   tataḥ paśyanti hi gaṇāḥ tamīsaṃ vai śahasraśaḥ /	tatas paSyanti hi gaNAH tamIsam vE SahasraSas /
   sahasravaktracaraṇaṃ sahastrabhujamīśvaram // VamP_41.45 //	sahasra vaktra caraNam saha stra Bujam ISvaram // VamP_41.45 //
   daṇḍapāṇiṃ sudurdṛśyaṃ lokairvyāptaṃ samantataḥ /	daNxa pANim su durdRSyam lokEH vyAptam samantataH /
   daṇḍasaṃsthāsya dṛśyante devapraharaṇāstathā // VamP_41.46 //	daNxa saMsTA asya dRSyante deva praharaNAH taTA // VamP_41.46 //
   tata ekamukhaṃ bhūyo dadṛśuḥ śaṅkaraṃ gaṇāḥ /	tatas eka muKam BUyas dadRSuH SaFkaram gaNAH /
   raudraiśca vaiṣṇavaiścaiva vṛtaṃ cihnaiḥ sahasraśaḥ // VamP_41.47 //	rOdrEH ca vEzNavEH ca eva vRtam cihnEH sahasraSas // VamP_41.47 //
   arddhena vaiṣṇavavapurddhena haravigrahaḥ /	ardDena vEzNava vapurdDena hara vigrahaH /
   khagadhvajaṃ vṛṣārūḍhaṃ vṛṣadhvajam // VamP_41.48 //	Kaga Dvajam vRza ArUXam vRzaDvajam // VamP_41.48 //
   yathā yathā trinayano rūpaṃ dhatte guṇāgraṇīḥ /	yaTA yaTA trinayanaH rUpam Datte guNa agraNIH /
   tathā tathā tvajāyanta mahāpāśupatā gaṇāḥ // VamP_41.49 //	taTA taTA tu ajAyanta mahA pASupatAH gaNAH // VamP_41.49 //
   tato 'bhavaccaikarūpī śaṅkaro bahurūpavān /	tatas aBavat ca eka rUpI SaFkaraH bahu rUpavAn /
   dvirūpaścābhavad yogī ekarūpo 'pyarūpavān /	dvi rUpaH ca aBavat yogI eka rUpaH api arUpavAn /
   kṣaṇācchvetaḥ kṣaṇād raktaḥ pīto nīlaḥ kṣaṇādapi // VamP_41.50 //	kzaNAt SvetaH kzaNAt raktaH pItaH nIlaH kzaNAt api // VamP_41.50 //
   miśrako varṇahīnaśca mahāpāśupatastathā /	miSrakaH varNa hInaH ca mahA pASupataH taTA /
   kṣaṇād bhavati rudrendraḥ kṣaṇācchaṃbhuḥ prabhākaraḥ // VamP_41.51 //	kzaNAt Bavati rudra indraH kzaNAt SaMBuH praBAkaraH // VamP_41.51 //
   kṣaṇārddhācchaṅkaro viṣṇuḥ kṣaṇāccharvaḥ pitāmahaḥ /	kzaNa ardDAt SaFkaraH vizNuH kzaNAt SarvaH pitAmahaH /
   tatastadadbhutatamaṃ dṛṣṭvā śaivādayo gaṇāḥ // VamP_41.52 //	tatas tat adButatamam dRzwvA SEva AdayaH gaNAH // VamP_41.52 //
   ajānanta tadaikyena brahmaviṣṇvīśabhāskarān /	ajAnanta tad Ekyena brahma vizNu ISa BAskarAn /
   yadābhinnamamanyanta devedevaṃ sadāśivam // VamP_41.53 //	yadA aBinnam amanyanta devedevam sadASivam // VamP_41.53 //
   tadā nirdhūtapāpāste samajāyanta pārṣadāḥ /	tadA nirDUta pApAH te samajAyanta pArzadAH /
   teṣvevaṃ dhūtapāpeṣu abhinneṣu harīśvaraḥ // VamP_41.54 //	tezu evam DUta pApezu aBinnezu hari ISvaraH // VamP_41.54 //
   prītātmā vibabho śaṃśuḥ prītīyukto 'bravīd vacaḥ /	prIta AtmA vibaBaH SaMSuH prItI yuktaH abravIt vacaH /
   parituṣṭo 'smi vaḥ sarve jñānenānena suvratāḥ // VamP_41.55 //	parituzwaH asmi vaH sarve jQAnena anena suvratAH // VamP_41.55 //
   vṛṇudhvaṃ varamānantyaṃ dāsye vo manasepsitam /	vRNuDvam varam Anantyam dAsye vaH manasA Ipsitam /
   ūcuste dehi bhagavan varamasmākamīśvara /	UcuH te dehi Bagavan varam asmAkam ISvara /
   bhinnadṛṣṭyudbhavaṃ pāpaṃ yattad bhraṃśaṃ prayātu naḥ // VamP_41.56 //	Binna dRzwi udBavam pApam yat tat BraMSam prayAtu naH // VamP_41.56 //
   pulastya uvāca /	pulastyaH uvAca /
   bāḍhamityabravīccharvaścakre nirdhūtakalpaṣān /	bAXam iti abravIt SarvaH cakre nirDUta kalpazAn /
   saṃpariṣvajatāvyaktastān sarvān gaṇayūthapān // VamP_41.57 //	saMparizvajata avyaktaH tAn sarvAn gaNa yUTapAn // VamP_41.57 //
   iti vibhunā praṇatārtihareṇa gaṇapatayo vṛṣamegharathena /	iti viBunA praNata Arti hareNa gaNapatayaH vRza meGa raTena /
   śrutigaditānugameneva mandaraṃ girimavatatya samadhyavasantam //	Sruti gadita anugamena iva mandaram girim avatatya sa maDya vasantam //
   VamP_41.58 //	VamP_41.58 //
   ācchādito girivaraḥ pramathairghanābhai rābhāti śuklatanurīśvarapādajuṣṭaḥ	AcCAditaH giri varaH pramaTEH GanABEH rABAti Sukla tanuH ISvara pAda juzwaH
   nīlājinātatatanuḥ śaradabhravarṇo yadvad vibhāti balavān vṛṣabho harasya	nIla ajina Atata tanuH Sarad aBra varNaH yadvat viBAti balavAn vRzaBaH harasya
   // VamP_41.59 //	// VamP_41.59 //
   iti śrīvāmanapurāṇe ekacatvāriśo 'dhyāyaḥ	iti SrI vAmanapurANe ekacatvAriSaH aDyAyaH
   pulastya uvāca /	pulastyaH uvAca /
   etasminnantare prāptaḥ samaṃ daityaistathāndhakaḥ /	etasmin= antare prAptaH samam dEtyEH taTA anDakaH /
   mandaraṃ parvataśreṣṭhaṃ pramathāśritakandaram // VamP_42.1 //	mandaram parvata SrezWam pramaTa ASrita kandaram // VamP_42.1 //
   pramathā dānavātan dṛṣṭvā cakruḥ kilakilādhvanim /	pramaTAH dAnavAtan dRzwvA cakruH kilakilA Dvanim /
   pramathāścāpi saṃrabdhā jaghnustūryāṇyanekaśaḥ // VamP_42.2 //	pramaTAH ca api saMrabDAH jaGnuH tUryANi anekaSas // VamP_42.2 //
   sa cāvṛṇonmahānādo rodasī pralayopamaḥ /	sa ca AvRNot mahA nAdaH rodasI pralaya upamaH /
   śuśrāva vāyumārgastho vighnarājo vināyakaḥ // VamP_42.3 //	SuSrAva vAyu mArga sTaH viGnarAjaH vinAyakaH // VamP_42.3 //
   samabhyayāt susaṃkruddhaḥ pramathairabhisaṃvṛtaḥ /	samaByayAt su saMkrudDaH pramaTEH aBisaMvRtaH /
   mandaraṃ parvataśreṣṭhaṃ dadṛśe pitaraṃ tathā // VamP_42.4 //	mandaram parvata SrezWam dadRSe pitaram taTA // VamP_42.4 //
   praṇipatya tathā bhaktyā vākyamāha maheśvaram /	praNipatya taTA BaktyA vAkyam Aha maheSvaram /
   kiṃ tiṣṭhasi jagannātha samuttiṣṭha raṇotsukaḥ // VamP_42.5 //	kim tizWasi jagannATa samuttizWa raNa utsukaH // VamP_42.5 //
   tato vighneśavacanājjagannātho 'mbikāṃ vacaḥ /	tatas viGneSa vacanAt jagannATaH ambikAm vacaH /
   prāha yāsye 'ndhakaṃ hantuṃ stheyamevāpramattayā // VamP_42.6 //	prAha yAsye anDakam hantum sTeyam eva apramattayA // VamP_42.6 //
   tato girisutā devaṃ samāliṅgya punaḥ punaḥ /	tatas girisutAH devam samAliFgya punar punar /
   samīkṣya sasnehaharaṃ prāha gaccha jayāndhakam // VamP_42.7 //	samIkzya sa sneha haram prAha gacCa jaya anDakam // VamP_42.7 //
   tato 'maragurorgaurī candanaṃ rocanāñjanam /	tatas amara guroH gOrI candanam rocana aQjanam /
   prativandya susaṃprītā pādāvevābhyavandata // VamP_42.8 //	prativandya su saMprItA pAdO= eva aByavandata // VamP_42.8 //
   tato haraḥ prāha vaco yaśasyaṃ mālinīmapi /	tatas haraH prAha vacaH yaSasyam mAlinIm api /
   jayāṃ ca vijayāṃ caiva jayantīṃ cāparājitām // VamP_42.9 //	jayAm ca vijayAm ca eva jayantIm ca aparAjitAm // VamP_42.9 //
   yuṣmābhirapramattābhiḥ stheyaṃ gehe surakṣite /	yuzmABiH apramattABiH sTeyam gehe su rakzite /
   rakṣaṇīyā prayatnena giriputrī pramādataḥ // VamP_42.10 //	rakzaNIyA prayatnena giri putrI pramAdataH // VamP_42.10 //
   iti saṃdiśya tāḥ sarvāḥ samāruhya vṛṣaṃ vibhuḥ /	iti saMdiSya tAH sarvAH samAruhya vRzam viBuH /
   nirjagāma gṛhāt tuṣṭo jayepsuḥ śūladhṛg balī // VamP_42.11 //	nirjagAma gRhAt tuzwaH jaya IpsuH SUla DRk balI // VamP_42.11 //
   nirgacchatastu bhavanādīśvarasya gaṇādhipāḥ /	nirgacCataH tu BavanAt ISvarasya gaNADipAH /
   samantāt parivāryaiva jayaśabdāṃśca cakrire // VamP_42.12 //	samantAt parivArya eva jaya SabdAn= ca cakrire // VamP_42.12 //
   raṇāya nirgacchati lokapāle maheśvare śūladhare maharṣe /	raNAya nirgacCati lokapAle maheSvare SUlaDare mahA Rze /
   śubhāni saumyāni sumaṅgalāni jātānī cihnāni jayāya śaṃbhoḥ // VamP_42.13	SuBAni sOmyAni su maFgalAni jAtAnI cihnAni jayAya SaMBoH // VamP_42.13
   śivā sthitā vāmatare 'tha bhāge prayāti cāgre svanamunnadantī /	SivA sTitA vAmatare aTa BAge prayAti ca agre svanam unnadantI /
   kravyādasaṃghāś ca tathāmiṣaiṇaḥ prayānti hṛṣṭāstṛṣitāsṛgarthe //	kravyAda saMGAH ca taTA Amiza eNaH prayAnti hRzwAH tRzita asRj arTe //
   VamP_42.14 //	VamP_42.14 //
   dakṣiṇāṅgaṃ nakhāntaṃ vai samakampata śūlinaḥ /	dakziNa aFgam naKa antam vE samakampata SUlinaH /
   śakuniś cāpi hārīto maunī yāti parāṅgamukhaḥ // VamP_42.15 //	SakuniH ca api hArItaH mOnI yAti para aFga muKaH // VamP_42.15 //
   nimittānīdṛśān dṛṣṭvā bhūtabhavyabhavo vibhuḥ /	nimittAni IdRSAn dRzwvA BUta Bavya BavaH viBuH /
   śailādiṃ prāha vacanaṃ sasmitaṃ śaśiśekharaḥ // VamP_42.16 //	SElAdim prAha vacanam sa smitam SaSiSeKaraH // VamP_42.16 //
   hara uvāca /	haraH uvAca /
   nandin jajo 'dya me bhāvī na kathañcit parājayaḥ /	nandin jajaH adya me BAvI na kaTaQcid parAjayaH /
   nimittānīha dṛsyante saṃbhūtāni gaṇeśvara // VamP_42.17 //	nimittAni iha dRsyante saMBUtAni gaNeSvara // VamP_42.17 //
   tacchaṃbhuvacanaṃ śrutvā śailādiḥ prāha saṃkaram /	tat SaMBu vacanam SrutvA SElAdiH prAha saMkaram /
   kaḥ saṃdeho mahādeva yat tvaṃ jayasi śātravān // VamP_42.18 //	kaH saMdehaH mahAdeva yat tvam jayasi SAtravAn // VamP_42.18 //
   tacchaṃbhuvacanaṃ śrutvā śailādiḥ prāha śaṅkaram /	tat SaMBu vacanam SrutvA SElAdiH prAha SaFkaram /
   samādideśa yuddhāya mahāpaśupataiḥ saha // VamP_42.19 //	samAdideSa yudDAya mahA paSupatEH saha // VamP_42.19 //
   te 'bhyetya dānavabalaṃ mardayanti sma vegitāḥ /	te aByetya dAnava balam mardayanti sma vegitAH /
   nānāśastradharā vīrā vṛkṣānaśanayo yathā // VamP_42.20 //	nAnA Sastra DarAH vIrAH vRkzAn aSanayaH yaTA // VamP_42.20 //
   te vadhyamānā balibhiḥ pramathairdaityadānavāḥ /	te vaDyamAnAH baliBiH pramaTEH dEtya dAnavAH /
   pravṛttāḥ pramathān hantuṃ kūṭamudgarapāṇayaḥ // VamP_42.21 //	pravRttAH pramaTAn hantum kUwamudgara pANayaH // VamP_42.21 //
   tato 'mbaratale devāḥ sendraviṣṇupitāmahāḥ /	tatas ambara tale devAH sa indra vizNu pitAmahAH /
   sasūryāgnipurogāstu samāyātā didṛkṣavaḥ // VamP_42.22 //	sa sUrya agni purogAH tu samAyAtAH didRkzavaH // VamP_42.22 //
