   Nāṭakacandrikā	NAwaka-candrikA
   puṇḍarīka-nayanena sakhelaṃ	puNxarIka--nayanena sa-Kelam
   daṇḍitaḥ sakala-jīvita-vittam || (2.30)	daNxitaH sakala--jIvita--vittam || (2.30)
   atha gotra-skhalitam -	aTa gotra--sKalitam -
   tad-gotra-skhalitaṃ yat tu nāma-vyatyaya-bhāṣaṇam // RNc_135 //	tad--gotra--sKalitam yat tu nAma-vyatyaya-BAzaNam // RNt-_135 //
   yathā saptame -	yaTA saptame -
   candrāvalī - kaṇha (ity ardhokte salajjam) ajjautta!	candrAvalI  kaNhaH (iti arDa-ukte sa-lajjam) ajjOtta!
   kṛṣṇaḥ (sānanda-smitam) priye! diṣṭyā sudhādhārāṃ pāyito'smi | tad alam	kRzNaH (sA-Ananda--smitam) priye! dizwyA suDA-DArAm pAyitaH-asmi | tat alam
   āryaputreti kūpāmbunā |	Arya-putra-iti kUpa-ambunA |
   atra candrāvalyāḥ samayollaṅghanād gotra-skhalitam |	atra candrAvalyAH samaya-ullaFGanAt gotra--sKalitam |
   athaujaḥ -	aTa-ojaH -
   ojas tu vāg-upanyāso nija-śakti-prakāśakaḥ // RNc_136 //	ojaH tu vAc--upanyAsaH nija--Sakti-prakASakaH // RNt-_136 //
   yathā pañcame -	yaTA paQcame -
   suparṇaḥ - deva bāḍham ātapatra-phaṇāpaṭalīla-dhīyasaḥ kiṅkarasyāsya	suparNaH  deva bAXam Atapatra--PaNA-pawa-lIla-DIyasaH kiFkarasya-asya
   garutmataḥ sakṛt-pakṣa-vikṣepa-kelaye'pi na paryāptim eṣyati, dūre	garutmataH sa-kRt--pakza--vikzepa--kelaye-api na paryAptim ezyati, dUre
   viśrāmyatu	viSrAmyatu
   sakhā me sudarśanaḥ kalpānta-kuśalaḥ |	saKA me sudarSanaH kalpa-anta--kuSalaH |
   atra garuḍena sva-śakti-prakāśanād ojaḥ |	atra garuxena sva--Sakti-prakASanAt ojaH |
   atha dhīḥ -	aTa DIH -
   iṣṭārtha-siddhi-paryantā cintā dhīr iti kathyate // RNc_137 //	izwa-arTa--sidDi-paryantA cintA DIH iti kaTyate // RNt-_137 //
   yathā dvitīye --	yaTA dvitIye --
   rādhikā - kundalade! ppasīda anukampehi | ajja sā kkhu sāmalā komudī jeṇa	rADikA  kundala-de! ppasIda anukampehi | ajja sA kKu sA-amalA komudI jeNa
   pīdā | tā jebba puṇṇavantaṃ appaṇo vāmaloaṇaṃcalaṃ ettha khiṇṇe	pIdAH | tAH jebba puNNavantam appaNaH vAma-loaNaMcalam etTa KiNNe
   manda-bhāiṇi	manda-BAiNi
   jaṇe khaṇaṃ appehi | [kundalate! prasīda anukampaya | adya sā khalu	jaNe KaNam appehi | [kunda-late! prasIda anukampaya | adya sA Kalu
   śyāmalā	SyAmalA
   kaumudī yena pītā | tam eva puṇyavantam ātmano vāmalocanāñcalam etasmin	kOmudI yena pItAH | tam eva puNyavantam AtmanaH vAma-locana-aQcalam etasmin
   khinne manda-bhāgini jane kṣaṇam arpaya |] 38	Kinne manda-BAgini jane kzaNam arpaya |] 38
   kundalatā - (sāsūyam ivālokya) alaṃ para-purise giñcantīhiṃ tumhehiṃ	kunda-la-tA  (sA-asUyam iva-Alokya) alam para-purise giQcanti-ihim tum-hehim
   saṃbhāsaṇeṇa (iti dhāvantī jaṭilām upetya) ajje! kahaṃ paḍhamaṃ brahmaṇaṃ	saMBAsaNeNa (iti DAvantI jawilAm upetya) ajje! kaham paXamam brahmaNam
   ṇa	Na
   maggesi, jo kkhu suraṃ puābaissadi | [alaṃ para-puruṣe gṛdhyantībhir	maggesi, jaH kKu suram puAbEssadi | [alam para-puruze gRDyantIBiH-
   yuṣmābhiḥ	yuzmABiH
   sambhāṣaṇena | ārye kathaṃ prathamaṃ brāhmaṇaṃ na mṛgayase, yaḥ khalu	samBAzaNena | Arye kaTam praTamam brAhmaNam na mRgayase, yaH Kalu
   sūryaṃ	sUryam
   pūjāpayiṣyati |] 39	pUjApayizyati |] 39
   jaṭilā - bacche, saccaṃ kahesi | tā pasīda | āṇehi ekkaṃ biakkhaṇaṃ	jawilA  bacCe, sat-cam kahesi | tA pasIda | ANehi ekkam biakKaNam
   bamhaṇam |	bamhaNam |
   [vatse, satyaṃ kathayasi | tasmāt prasīda | ānayaikaṃ vicakṣaṇaṃ brāhmaṇam	[vatse, satyam kaTayasi | tasmAt prasIda | Anaya-ekam vicakzaNam brAhmaNam
   atra rādhikotkaṇṭhātiśaya-darśanena jaṭilā-samaksam eva vipraveśena	atra rADikA-utkaNWa-atiSaya--darSanena jawilA--samaksam eva vipra-veSena
   kṛṣṇa-praveśa-cintanaṃ kundalatāyāḥ dhīḥ |	kRzNa--praveSa--cintanam kunda-la-tAyAH DIH |
   atha krodhaḥ -	aTa kroDaH -
   krodhas tu manaso dīptir aparādhādi-darśanāt // RNc_138 //	kroDaH tu manasaH dIptiH aparADa-Adi-darSanAt // RNt-_138 //
   yathā dvitīye (nepathye) -	yaTA dvitIye (nepaTye) -
   phullaty ārān nava-vicakile keli-kuñjeṣu phullā	Pullati ArAt nava--vicakile keli-kuQjezu PullA
   śephālīnāṃ skhalati kusume hanta caskhāla bālā |	SePAlInAm sKalati kusume hanta casKAla bAlA |
   mīlaty uccaiḥ kuvalaya-vane mīlitākṣī kilāsīt	mIlati uccEs kuvalaya-vane mIlita-akzI kila-AsIt-
   vācyaṃ kiṃ vā param upahasīr mā praṇāma-cchalena || (2.7)	vAcyam kim vA param upahasIH mA praNAma--=-Calena || (2.7)
   atra padmā-sakhīnāṃ haraye roṣaḥ |	atra padmA--saKInAm haraye rozaH |
   atha sāhasam -	aTa sAhasam -
   svajīvita-nirākāṅkṣo vyāpāraḥ sāhasaṃ bhavet // RNc_139 //	sva-jIvita--nirAkAFkzaH vyApAraH sAhasam Bavet // RNt-_139 //
   yathā daśame -	yaTA daSame -
   rādhikā (sakhedam ātmagatam) sāhu re kīra sāhu | bāṭṭhaṃ aṇuggahidamhi, tā	rADikA (saKedam Atma-gatam) sA-Ahu re kIra sAhu | bAwWam aNuggahit-amhi, tA
   dāṇiṃ dullahā-hiṭṭhadāṇadacchiṇaṃ titthavaraṃ kāliadehaṃ ppavisiya appāṇaṃ	dANim dullahA--hiwWa-dANa-dacCiNam titTa-varam kAlia-deham ppavisiya appANam
   sappāṇaṃ turiaṃ ubahirassam | [sādhu re kīra sādhu | bāḍhaṃ anugṛhītāsmi,	sappANam turiam ubahirassam | [sADu re kIra sADu | bAXam anugRhItA-asmi,
   tad	tat-
   idānīṃ durlabhābhīṣṭha-dāna-dakṣiṇaṃ tīrtha-varaṃ kāliya-hradaṃ praviśya	idAnIm durlaBA-aBIzWa-dAna--dakziNam tIrTa-varam kAliya-hradam praviSya
   ātmānaṃ sarpebhyas tvaritam upahariṣyāmi |] 98	AtmAnam sarpeByaH tvaritam upaharizyAmi |] 98
   atra rādhāyāḥ kāliya-hrada-praveśaḥ sāhasam |	atra rADAyAH kAliya-hrada--praveSaH sAhasam |
   atha bhayam -	aTa Bayam -
   bhayaṃ tv ākasmika-trāsaḥ...	Bayam tu Akasmika-trAsaH...
   yathā navame citra-darśane -	yaTA navame citra--darSane -
   madhumaṅgalaḥ - eso saṃkhaūḍo | [eṣa śaṅkhacūḍaḥ |]	maDu-maFgalaH  esaH saMKaUxaH | [eza SaFKacUxaH |]
   rādhā (sabhayam) - parittāhi parittāhi (iti kṛṣṇam āliṅgati) |	rADA (sa-Bayam)  parittAhi parittAhi (iti kRzNam AliFgati) |
   atra śaṅkhacūḍa-prasaṅgena rādhā-trāso bhayam |	atra SaFKa-cUxa--prasaFgena rADA--trAsaH Bayam |
   atha māyā -	aTa mAyA -
   ... māyā kaitava-kalpanā // RNc_140 //	... mAyA kEtava--kalpanAH // RNt-_140 //
   yathā caturthe -	yaTA caturTe -
   vṛndā (sānandam) kiṃ nāma rādhā-sakhīnāṃ dhiyām akṣuṇṇaṃ paśya paśya |	vRndAH (sA-Anandam) kim nAma rADA--saKInAm DiyAm akzuNNam paSya paSya |
   mandā sāndhya-payoda-sodara-ruciḥ saivābhimanyos tanur	mandA sa-anDya-payoda--sodara-ruciH sA-eva-aBimanyoH tanuH-
   vaktraṃ hanta tad eva kharvaṭa-ghaṭī-ghoṇaṃ vigāḍhekṣaṇam |	vaktram hanta tat eva Karvawa-GawI--GoNam vigAXa-IkzaNam |
   vyastā saiva gatiḥ karīra-kusuma-cchāyaṃ tad evāmbaraṃ	vyastA sA-eva gatiH karIra-kusuma--=-CAyam tat eva-ambaram
   mudrā kāpi tathāpy asau piśunayaty asya svarūpa-cchaṭām || (4.33)	mudrA kA-api taTA-api asO piSunayati asya svarUpa--=-CawAm || (4.33)
   atra saṃvṛttiḥ -	atra saMvRttiH -
   saṃvṛttiḥ svayam uktasya svayam ācchādanā bhavet // RNc_141 //	saMvRttiH svayam uktasya svayam AcCAdanA Bavet // RNt-_141 //
   yathā navame -	yaTA navame -
   kṛṣṇaḥ (vṛndām avalokya) satyabhāmā, mayi katham (ity ardhokteḥ |	kRzNaH (vRndAm avalokya) satyaBAmA, mayi kaTam (iti arDa-ukteH |
   navavṛndā	nava-vRndA
   dṛśaṃ kūṇayati |)	dRSam kUNayati |)
   candrāvalī (sakhedaṃ nīcaiḥ) viṇṇādaṃ pemma-goravam | [vijñātaṃ	candrAvalI (saKA-idam nIcEH) viNNAdam pemma--goravam | [vijQAtam
   prema-gauravam |]	prema--gOravam |]
   kṛṣṇaḥ (vibhāvya, svagatam) hanta, katham asau devī | bhavatu saṃvarītuṃ	kRzNaH (viBAvya, sva-gatam) hanta, kaTam asO devI | Bavatu saMvarItum
   prayatiṣye | (prakāśam)	prayatizye | (prakASam)
   satī katham asau bhāmā devī nādya prasīdati |	satI kaTam asO BAmA devI na-adya prasIdati |
   nidānam avidaṃ sadyaḥ khidyate hṛdayaṃ mama || (9.59)	nidAnam avidam sadyas Kidyate hRdayam mama || (9.59)
   atra svayam uktasya satyabhāmety asya śabdasya satī katham abhāmā ity	atra svayam uktasya satyaBAmA-iti asya Sabdasya satI kaTam aBAmA iti-
   arthāntareṇa saṃvaraṇāt saṃvṛttiḥ |	arTa-antareNa saMvaraNAt saMvRttiH |
   atha bhrāntiḥ -	aTa BrAntiH -
   bhrāntir viparyaya-jñānaṃ prasaṅgasyāpi niścayāt // RNc_142 //	BrAntiH viparyaya--jQAnam prasaFgasya-api niScayAt // RNt-_142 //
   yathā navame kṛṣṇaḥ -	yaTA navame kRzNaH -
   atra bhāvi nirātaṅka-māro me ramaṇaṃ mama |	atra BAvi nirAtaFka--mAraH me ramaNam mama |
   duratyante kuśasthalyā yadi darbhāṅgabhūr iyam || (9.58)	duratyante kuSa-sTalyA yadi darBa-aFga-BUH iyam || (9.58)
   candrāvalī - māhavi, ṇūṇaṃ diṭṭhahmi jaṃ vidabbhaṃgabhutti bāharīadi |	candrAvalI  mA-Ahavi, NUNam diwWa-hmi jam vidabBaMga-Butti bAharIadi |
   [mādhavi nūnaṃ dṛṣṭāsmi, yad vidarbhaāṅga-bhūr iti vyāhriyate |]	[mADavi nUnam dRzwA-asmi, yat vidarBaa-aFga--BUH iti vyAhriyate |]
   atra vidarbhāṅgabhūr ity asya vigata-darbha-bhūmitvājñānaṃ devyāḥ bhrāntiḥ	atra vidarBa-aFga-BUH iti asya vigata-darBa--BUmi-tva-ajQAnam devyAH BrAntiH
   bhrāntis tu kecid icchanti bhṛṅga-bādhā-viceṣṭitam |	BrAntiH tu kecid icCanti BRFga-bADA--vicezwitam |
   atha dūtyam -	aTa dUtyam -
   dūtyaṃ tu sahakāritvaṃ durghaṭe kārya-vastuni // RNc_143 //	dUtyam tu sahakAri-tvam durGawe kArya-vastuni // RNt-_143 //
   yathā prathame, kundalatā -	yaTA praTame, kundala-tA -
   tihṇāulā caūrī pañjariā-sañjadā ciraṃ jalai |	tihNa-aulA caUrI paQjariA--saQjadA ciram jalE |
   pāaṃ baṃjula-kuñje tārāhī sappadhārehi || (1.58)	pAam baMjula--kuQje tArAhI sappaDArA-ihi || (1.58)
   [tṛṣṇākulā cakorī pañjarikā-saṃyatā ciraṃ jvalati |	[tRzNA-AkulA cakorI paQjarikA-saMyatA ciram jvalati |
   pādaṃ bañjula-kuñje tārādhīśa prasāraya ||]	pAdam baQjula-kuQje tArADISa prasAraya ||]
   atra jaṭilā-prātikūlyena kundalatāyā durghaṭe rādhā-saṅgama-kārye	atra jawilA--prAtikUlyena kunda-la-tAyAH durGawe rADA--saFgama--kArye
   sahakāritvaṃ	sahakAri-tvam
   dūtyam |	dUtyam |
   atha hetv-avadhāraṇam -	aTa hetu--avaDAraNam -
   niścayo hetunārthasya mataṃ hetv-avadhāraṇam // RNc_144 //	niScayaH hetunA-arTasya matam hetu--avaDAraNam // RNt-_144 //
   yathā dvitīye -	yaTA dvitIye -
   vṛndā - sthāne khalv iyaṃ tava cintā | tathyam eṣā duṣṭenākrāntā trilokīm	vRndAH  sTAne Kalu iyam tava cintA | taTyam ezA duzwena-AkrAntA trilokIm
   eva	eva
   santāpayet | yataḥ -	santApayet | yatas -
   vidyotante guṇa-parimalair yāḥ samastopariṣṭāt	vidyotante guNa--parimalEH yAH samasta-uparizwAt-
   tāḥ kasyārtaṃ dadhati na khal-sparśa-dagdhās taruṇyaḥ |	tAH kasya-Artam daDati na Kal--sparSa--dagDAH taruNyaH |
   bhūyo bhūyaḥ svayam anupamāṃ klāntim āsādayantī	BUyas BUyas svayam anupamAm klAntim AsAdayantI
   mandākrāntā bhavati jagataḥ kleśa-dātrī hi cintā || (2.9)	manda-AkrAntA Bavati jagataH kleSa--dAtrI hi cintA || (2.9)
   atra citra-nidarśanopabṛṃhitena sarva-guṇottama-strī-duḥkha-rūpeṇa hetunā	atra citra--nidarSana-upabRMhitena sarva--guNa-uttama-H-trI--duHKa--rUpeNa hetunA
   sarva-jana-duḥkhasya niścayād dhetv-avadhāraṇam |	sarva--jana--duHKasya niScayAt Detu--avaDAraNam |
   atha svapnaḥ -	aTa svapnaH -
   svapno nidrāntare kiñcij jalpitaṃ paricakṣate // RNc_145 //	svapnaH nidrA-antare kiQcid jalpitam paricakzate // RNt-_145 //
   yathā saptame -	yaTA saptame -
   nava-vṛndā -	nava--vRndA -
   śvāphalkeḥ saphalībabhūva lalite hṛl-lālasā-vallarī	SvAPalkeH saPalIbaBUva lalite hRl-lAlasA-vallarI
   hā dhik paśya murāntako'yam urarīcakre rathārohaṇam |	hA Dik paSya murA-antakaH-ayam urarI-cakre raTa-ArohaNam |
   itthaṃ te karuṇa-svara-stavakitaṃ svapnāyitaṃ śṛṇvatī	itTam te karuNa--svara--stavakitam svapnAyitam SRNvatI
   manye tanvi patat tuṣāra-kapaṭāc cakranda yāminy api || (7.10)	manye tanvi patat tuzAra-kapawAt cakranda yAminI api || (7.10)
   atra rādhāyāḥ svapnāyitam |	atra rADAyAH svapnAyitam |
   atha lekhaḥ -	aTa leKaH -
   vivakṣitārtha-kalitā patrikā lekha īritaḥ // RNc_146 //	vivakzita-arTa--kalitA patrikAH leKaH IritaH // RNt-_146 //
   yathā pañcame -	yaTA paQcame -
   paurṇamāsī -	pOrNamAsI -
   aciraṃ nirasya rasitaiḥ pratipakṣaṃ rājahaṃsa-nikurambam |	aciram nirasya rasitEH pratipakzam rAjahaMsa-nikurambam |
   kṛṣṇa-ghanas tvām amṛtais tṛṣitāṃ candrakavatīṃ siñca || (5.7)	kRzNa-GanaH tvAm amRtEH tRzitAm candrakavatIm siQcaH || (5.7)
   ity asau candrāvalī-patrikā-lekhaḥ |	iti asO candra-AvalI-patrikA--leKaH |
   atha madaḥ -	aTa madaH -
   madas tu madyajaḥ...	madaH tu madya-jaH...
   yathā pañcame -	yaTA paQcame -
   bhīṣmaḥ (punar avadhāya, sasmitam)	BIzmaH (punar avaDAya, sa-smitam)
   bile kva nu vililyire nṛpa-pipīlikāḥ pīḍitāḥ	bile kva nu vililyire nRpa--pipIlikAH pIxitAH
   pinasmi jagadaṇḍakaṃ nanu hariḥ krudhaṃ dhāsyati |	pinasmi jagat-aNxakam nanu hariH kruDam DAsyati |
   śacī-gṛha-kuraṅga re hasasi kiṃ tvam ity unnadann	SacI--gRha--kuraFga re hasasi kim tvam iti unnadan=-
   udeti mad-aḍambara-skhalita-cūḍam agre halī ||(5.41)||	udeti mad--axambara--sKalita--cUxam agre halI ||(5.41)||
   atra baladevasya madaḥ |	atra baladevasya madaH |
   atha citram -	aTa citram -
   citraṃ tv ākārāṇāṃ vilokanam // RNc_147 //	citram tu AkArANAm vilokanam // RNt-_147 //
   yathā navame -	yaTA navame -
   nava-vṛndā (praviśya) samīkṣyatāṃ vicitram idaṃ citram |	nava--vRndA (praviSya) samIkzyatAm vicitram idam citram |
   atra māthura-caritraṃ citra-likhitam |	atra mATura--caritram citra-liKitam |
   sandhyantarāṇāṃ vijñeyaḥ prayogas tv avibhāgataḥ |	sanDi-antarANAm vijQeyaH prayogaH tu aviBAgataH |
   tathaiva darśanād eṣām anaiyatyena sandhiṣu // RNc_148 //	taTA-eva darSanAt ezAm anEyatyena sanDizu // RNt-_148 //
   atha vibhūṣaṇāni -	aTa viBUzaNAni -
   evam aṅgair upāṅgaiś ca suśliṣṭaṃ rūpaka-śriyaḥ |	evam aFgEH upAFgEH ca su-Slizwam rUpaka-SriyaH |
   śarīraṃ vas tv alaṅkuryāt ṣaḍ-triṃśad bhūṣaṇaiḥ sphuṭam // RNc_149 //	SarIram vaH tu alaFkuryAt zaz--triMSat BUzaNEH sPuwam // RNt-_149 //
   bhūṣaṇākṣara-saṅghātau hetuḥ prāptir udāhṛtiḥ |	BUzaNa-akzara--saFGAtO hetuH prAptiH udAhRtiH |
   śobhā-saṃśaya-dṛṣṭāntāv abhiprāyo nidarśanam // RNc_150 //	SoBA--saMSaya--dRzwAntO aBiprAyaH nidarSanam // RNt-_150 //
   siddhi-prasiddhir dākṣiṇyam arthāpattir vibhūṣaṇam |	sidDi--prasidDiH dAkziNyam arTApattiH viBUzaNam |
   padoccayas tulyatarko vicāras tad-viparyayaḥ // RNc_151 //	pada-uccayaH tulya-tarkaH vicAraH tad--viparyayaH // RNt-_151 //
   guṇātipāto'tiśayo niruktaṃ guṇa-kīrtanam |	guNa-atipAtaH-atiSayaH niruktam guNa-kIrtanam |
   garhaṇānunayau bhraṃśo leśaḥ kṣobho manorathaḥ // RNc_152 //	garhaNa-anunayO BraMSaH leSaH kzoBaH manoraTaH // RNt-_152 //
   anukti-siddhiḥ sārūpyaṃ mālā madhura-bhāṣaṇam |	anukti--sidDiH sArUpyam mAlA maDura-BAzaNam |
   pṛcchopadiṣṭa-dṛṣṭāni ṣaḍ-triṃśad-bhūṣaṇāni hi // RNc_153 //	pRcCA-upadizwa--dRzwAni zaz--triMSat--BUzaNAni hi // RNt-_153 //
   tatra bhūṣaṇam -	tatra BUzaNam -
   guṇālaṅkāra-bahulaṃ bhāṣaṇaṃ bhūṣaṇaṃ smṛtam // RNc_154 //	guNa-alaFkAra--bahulam BAzaNam BUzaNam smRtam // RNt-_154 //
   yathā navame -	yaTA navame -
   kṛṣṇaḥ (samantād avalokya)	kRzNaH (samantAt avalokya)
   lakṣmīḥ kairava-kānaneṣu paritaḥ śuddheṣu vidyotate	lakzmIH kErava--kAnanezu paritas SudDezu vidyotate
   san-mārga-druhi sarva-śārvara-kule pronmīlati kṣīṇatā |	san--mArga-druhi sarva-SArvara--kule pronmIlati kzINa-tA |
   nakṣatreṣu kilodbhavaty apacitiḥ kṣudrātmasu prāyikī	nakzatrezu kila-udBavati apacitiH kzudra-Atmasu prAyikI
   śaṅke śaṅkara-maulir abhyudayate rājā purastād diśi ||9.10||	SaFke SaFkara--mOliH aByudayate rAjA purastAt diSi ||9.10||
   atra prasāda-mādhuryādi-guṇānām anuprāsa-śleṣānumānādy-alaṅkārāṇāṃ ca	atra prasAda--mADurya-Adi--guNAnAm anuprAsa--Sleza-anumAna-Adi--alaFkArANAm ca
   sattayā bhūṣaṇam |	sat-tayA BUzaNam |
   athākṣara-saṅghātaḥ -	aTa-akzara--saFGAtaH -
   vākyam akṣara-saṅghāto bhinnārthaṃ śliṣṭa-śabdakam // RNc_155 //	vAkyam akzara--saFGAtaH Binna-arTam Slizwa--Sabdakam // RNt-_155 //
   yathā pañcame -	yaTA paQcame -
   suparṇaḥ - deva! paśya paśya -	suparNaH  deva! paSya paSya -
   vaktrāṇi bhānti parito hariṇekṣaṇānām	vaktrANi BAnti paritas hariNa-IkzaNAnAm
   āruḍha-harmya-śirasāṃ bhavad-īkṣaṇāya |	AruXa--harmI-a-SirasAm Bavat--IkzaNAya |
   yair nirmitāni tarasā sarasīruhākṣa	yEH nirmitAni tarasA sarasIruha-akza
   candrāvalī-paricitāni nabhas-talāni || (5.32)	candra-AvalI--paricitAni naBas--talAni || (5.32)
   atra candrāṇām āvalyā paricitānīty atra candrāvalī nāma pratibhānād	atra candrANAm AvalyA paricitAni-iti atra candrAvalI nAma pratiBAnAt-
   akṣara-saṅghātaḥ |	akzara--saFGAtaH |
   atha hetuḥ -	aTa hetuH -
   sa hetur iti nirdiṣṭo yat sādhyārtha-prasādhakam // RNc_156 //	sa hetuH iti nirdizwaH yat sADya-arTa--prasADakam // RNt-_156 //
   yathā saptame -	yaTA saptame -
   madhumaṅgalaḥ (nirīkṣya) piabaassa! pekkha kāe bi aṇurāiṇīe sevā kidatthi	maDumaFgalaH (nirIkzya) piabaassa! pekKa kAe bi aNurAiNIe sevA kidatTi
   [priya-vayasya, paśya kayāpy anurāgiṇyā sevā kṛtāsti |]	[priya--vayasya, paSya kayA-api anurAgiNyA sevA kRtA-asti |]
   kṛṣṇaḥ - sakhe! sādhu lakṣitam |	kRzNaH  saKe! sADu lakzitam |
   asau vyastanyāsā viśadayati mālā vivaśatāṃ	asO vyasta-nyAsA viSadayati mAlA vivaSatAm
   vibhakteyaṃ carcā nayana-jala-vṛṣṭiṃ kathayati |	viBaktA-iyam carcA nayana--jala--vRzwim kaTayati |
   karotkampaṃ tasyā vadati tilakaṃ kuñcitam idaṃ	kara-utkampam tasyAH vadati tilakam kuQcitam idam
   kṛśāṅgyāḥ premāṇaṃ varivasitam eva prathayati || (7.32)	kRSa-aFgyAH premANam vari-vasitam eva praTayati || (7.32)
   atrānurāga-sādhanāya vivaśatvādi-hethetūnāṃ kathanād ayaṃ hetuḥ |	atra-anurAga--sADanAya vivaSa-tu-Adi--heTetUnAm kaTanAt ayam hetuH |
   atha prāptiḥ -	aTa prAptiH -
   eka-deśa-vilokena prāptiḥ śeṣābhiyojanam // RNc_157 //	eka-deSa--vilokena prAptiH Seza-aBiyojanam // RNt-_157 //
   yathā navame -	yaTA navame -
   kṛṣṇaḥ (parikramya)	kRzNaH (parikramya)
   labdhā kuraṅgi nava-jaṅgama-hema-vallī	labDA kuraFgi nava--jaFgama-hema-vallI
   ramyā sphuṭaṃ vipinasīmani rādhikātra |	ramyA sPuwam vipina-sImani rADikA-atra |
   asyās tvayā sakhi guror yad iyaṃ gṛhītā	asyAH tvayA saKi guroH yat iyam gRhItA
   mādhurya-vallita-vilocana-keli-dīkṣā || 9.17 ||	mADurya-vallita--vilocana--keli--dIkzA || 9.17 ||
   atra locanasaundarya-dīkṣā-lālasasya ekadeśasya tvayi vilokanena sālaṃ	atra locana-sOndarya--dIkzA--lAlasasya eka-deSasya tvayi vilokanena sAlam
   tvayā	tvayA
   labdheti viśeṣārthasya yojanāt prāptiḥ |	labDA-iti viSeza-arTasya yojanAt prAptiH |
   athodāharaṇam -	aTa-udAharaNam -
   vākyaṃ yad-gūḍha-tulyārthaṃ tad udāharaṇaṃ matam // RNc_158 //	vAkyam yat--gUXa--tulya-arTam tat udAharaNam matam // RNt-_158 //
   yathā dvitīye -	yaTA dvitIye -
   kundalatā (sasmitam) rāhi, dehi me pāritosiaṃ, yaṃ suṭṭhu dullahaṃ de	kunda-latA (sa-smitam) rAhi, dehi me pAritosiaM, yam suwWu dullaham de
   abbhatthidaṃ mae ṇibbāhidam | [rādhe, dehi me pāritoṣikam | yat suṣṭhu	abBatTi-dam mae NibbAhidam | [rADe, dehi me pAritozikam | yat suzWu
   durlabhaṃ	durlaBam
   te'bhyarthitaṃ mayā nirvāhitam |] 80	te-aByarTitam mayA nirvAhitam |] 80
   rādhikā (vakram avekṣya) kundaladie, kiṃ me abbhatthidaṃ? [kundalate, kiṃ	rADikA (vakram avekzya) kundala-die, kim me abBatTi-daM? [kunda-late, kim
   me'bhyarthitam?] 81	me-aByarTitam?] 81
   kundalatā - aī, kīsa bhuaṃ bhaṃguresi, jaa sūrārāhaṇaṃ bhaṇāmi | [ayi,	kundala-tA  aI, kIsa Buam BaMguresi, jaa sUrArAhaNam BaNAmi | [ayi,
   kasmād	kasmAt-
   bhruvaṃ bhaṅgurayasi, yat sūryārādhanaṃ bhaṇāmi |] 82	Bruvam BaFguH-ayasi, yat sUrya-ArADanam BaNAmi |] 82
   atra kundalatā bhaṇitasya sābhiprāya-gūḍhārthatayā udāharaṇam |	atra kundalatA BaNitasya sa-aBiprAya-gUXa-arTa-tayA udAharaNam |
   yatra tulyārtha-yuktena vākyenābhipradarśanāt |	yatra tulya-arTa-yuktena vAkyena-aBipradarSanAt |
   sādhyate'bhimataś cārthas tad-udāharaṇaṃ matam || iti (SāhD 6.117)	sADyate-aBimataH ca-arTaH tad--udAharaNam matam || iti (SAhD 6.117)
   tad yathā, ṣaṣṭhe -	tat yaTA, zazWe -
   nāradaḥ - tatas tenoktam -	nAradaH  tatas tena-uktam -
   jvalito janaḥ kṛśānau śāmyati taptaḥ kṛśānunaivāyam |	jvalitaH janaH kRSAnO SAmyati taptaH kRSAnunA-eva-ayam |
   bhagavati kṛtāgaso me bhagavān evādhunā śaraṇam || (6.17)	Bagavati kRta-AgasaH me BagavAn eva-aDunA SaraNam || (6.17)
   atha śobhā -	aTa SoBA -
   śobhā svabhāva-prākaṭyaṃ yūnor anyonyam ucyate |	SoBA svaBAva--prAkawyam yUnoH anyonyam ucyate |
   yathā caturthe -	yaTA caturTe -
   rādhikā (mādhavam avalokya, sānandam ātmagatam) bho bhaavaṃ,	rADikA (mADavam avalokya, sa-Anandam Atma-gatam) Bo BaavaM,
   āṇanda-pajjaṇṇa, ṇa kkhu rundhīai jalāsāreṇa ukkaṃṭhidā tavassiṇīhi me	ANanda-pajjaNNa, Na kKu runDIE jalAsAreNa ukkaMWidA tavassiNIhi me
   diṭṭhīcaurī | kkhaṇaṃ pibedu esā dullahaṃ imassa muhacandassa joṇham |	diwWI-cOrI | kKaNam pibet-u esA dullaham imassa muhacandassa joNham |
   [bho	[Bo
   bhagavan, ānanda-parjanya, na khalu rundhyatāṃ jalāsāreṇotkaṇṭhitā	Bagavan Ananda-parjanya, na Kalu runDyatAm jala-AsAreNa-utkaNWitA
   tapasvinī me	tapasvinI me
   dṛṣṭ-cakorī | kṣaṇaṃ pibatv eṣā durlabhām asya mukha-candrasya jyotsnam |]	dRzw-cakorI | kzaNam pibatu ezA durlaBAm asya muKa-candrasya jyotsnam |]
   kṛṣṇaḥ (rādhām avekṣya, saharṣam) -	kRzNaH (rADAm avekzya, saha-rzam) -
   dhāvaty ākramituṃ muhuḥ śravaṇayoḥ sīmānam akṣṇor dvayī	DAvati Akramitum muhur SravaNayoH sImAnam akzNoH dvayI
   pauṣkalyaṃ harataḥ kucau bali-guṇair ārabdhamānaṃ tataḥ |	pOzkalyam harataH kucO bali-guNEH ArabDa-mAnam tatas |
   muṣṇītaś calatāṃ bhruvau caraṇayor udyad-dhanur bibhrame	muzNItaH calatAm BruvO caraNayoH udyat--DanuH biBrame
