   keśavakṛtā kauśikapaddhatiḥ	keSava kRtA kOSika padDatiH
   mṛtyuḥ' iti sūktena payo juhoti | 'yamo mṛtyuḥ' iti sūktena udaudanaṃ	mRtyuH a iti sUktena payaH juhoti | ayamaH mRtyuH a iti sUktena uda odanam
   juhoti tantre | 'yamo mṛtyuḥ' iti sūktena pāyasaṃ juhoti tantre | 'yamo	juhoti tantre | ayamaH mRtyuH a iti sUktena pAyasam juhoti tantre | ayamaH 
   mṛtyuḥ' iti sūktena viśvebhyo devebhyaḥ paśuṃ yajet | paśutantre 'yamo	mRtyuH a iti sUktena viSveByaH deveByaH paSum yajet | paSutantre ayamaH 
   mṛtyuḥ' iti sūktena vrīhīnāvapati | 'yamo mṛtyuḥ' iti sūktena yavānāvapati	mRtyuH a iti sUktena vrIhIn a avapati | ayamaH mRtyuH a iti sUktena yavAna avapati
   | 'yamo mṛtyuḥ' iti sūktena tilānāvapati | 'yamo mṛtyuḥ' iti sūktena dhānā	| ayamaH mRtyuH a iti sUktena tilAn Avapati | ayamaH mRtyuH a iti sUktena DAnA
   juhoti | 'yamo mṛtyuḥ' iti sūktena dadhisaktūn juhoti | 'yamo mṛtyuḥ' iti	juhoti | ayamaH mRtyuH a iti sUktena daDi saktUn juhoti | ayamaH mRtyuH a iti
   sūktena śaṣkulīrjuhoti | svastyayanakāmaḥ.	sUktena SazkulIH juhoti | svastyayana kAmaH.
        abhyātānāntaṃ kṛtvā 'viśvajit' iti sūktenājyaṃ juhoti | uttaratantram	aByAtAna antam kRtvA aviSva jit a iti sUktena Ajyam juhoti | uttaratantram
   | svastyayanakāmaḥ | 'viśvajit' iti sūktena pālāśādīnāṃ samidha ādadhāti |	| svastyayana kAmaH | aviSva jit a iti sUktena pAlASa AdInAm samiDaH AdaDAti |
   tantravikalpaḥ | 'viśvajit' iti sūktena puroḍāśaṃ juhoti | ājyatantre |	tantra vikalpaH | aviSva jit a iti sUktena puroxASam juhoti | Ajya tantre |
   svastyayanakāmaḥ | 'viśvajit' iti sūktena payo juhoti | tantraṃ kṛtvā	svastyayana kAmaH | aviSva jit a iti sUktena payaH juhoti | tantram kRtvA
   'viśvajit' iti udaudanaṃ juhoti | uttaratantram | 'viśvajit' iti sūktena	aviSva jit a iti uda odanam juhoti | uttaratantram | aviSva jit a iti sUktena
   pāyasaṃ juhoti tantre | 'viśvajit' iti sūktena viśvajite devatāyai paśunā	pAyasam juhoti tantre | aviSva jit a iti sUktena viSvajite devatAyE paSunA
   yajet | paśutantreṇa | 'viśvajit' iti sūktena vrīhīnāvapati | 'viśvajit'	yajet | paSu tantreNa | aviSva jit a iti sUktena vrIhIna avapati | aviSva jit a
   iti yavānāvapati | 'viśvajit' iti tilānāvapati | 'viśvajit' iti dhānā	iti yavAna avapati | aviSva jit a iti tilAn Avapati | aviSva jit a iti DAnA
   āvapati | 'viśvajit' iti karambhaṃ juhoti | 'viśvajit' iti śaṣkulīrjuhoti	Avapati | aviSva jit a iti karamBam juhoti | aviSva jit a iti SazkulIH juhoti
   | svastyayanakāmaḥ.	| svastyayana kAmaH.
        abhyātānāntaṃ kṛtvā 'śakadhūmam' iti sūktenājyaṃ juhoti |	aByAtAna antam kRtvA aSaka DUmam a iti sUktena Ajyam juhoti |
   abhyātānādyuttaratantram | svastyayanakāmaḥ | 'śakadhūmam' iti	aByAtAna Adi uttaratantram | svastyayana kAmaH | aSaka DUmam a iti
   samidhapuroḍāśādi pūrvavat bhavati | śakadhamadevatāpaśum |	samiDa puroxASa Adi pUrvavat Bavati | SakaDama devatA paSum |
   svastyayanakāmaḥ | 'bhavāśarvau mṛḍatam'	svastyayana kAmaH | aBavA SarvO mRxatam a
   ityarthasūktenājyāditrayodaśadravyāṇi bhavanti | ājyatantre | anena	iti arTa sUktena Ajya Adi trayodaSa dravyANi Bavanti | Ajya tantre | anena
   pālāśādīnāṃ samidādhānam | svastyayanakāmaḥ | yatra śāntikahomastatra	pAlASa AdInAm samiD ADAnam | svastyayana kAmaH | yatra SAntika homaH tatra
   sarvatra svastyayanakāmaḥ | yathāsambhavaṃ tantravikalpaḥ | sarvatra	sarvatra svastyayana kAmaH | yaTAsamBavam tantra vikalpaH | sarvatra
   karmaṇāṃ vikalpaḥ | kramo'pi nāsti |	karmaNAm vikalpaH | kramaH api na asti |
   dvipade catuṣpade gṛhe bahirgrāme nagare vā maṇḍale vā yatra kvacid	dvipade catuzpade gRhe bahis grAme nagare vA maNxale vA yatra kvacid 
   homastatra sarvatra śāntiṃ karotītyarthaḥ | mahāśāntiṃ vā sarvatra kārayed	homaH tatra sarvatra SAntim karoti iti arTaH | mahA SAntim vA sarvatra kArayet 
   vikalpena | pākayajñavidhānena rudradevatāyai carumājyabhāgāntaṃ kṛtvā	vikalpena | pAkayajQa viDAnena rudra devatAyE carum Ajya BAga antam kRtvA
   'bhavāśarvau mṛḍatam' ityarthasūktena sarveṇa tisra āhutīrjuhoti |	aBavA SarvO mRxatam a iti arTa sUktena sarveNa tisraH AhutIH juhoti |
   pārvaṇādyuttaratantram | svastyayanakāmaḥ | samāptāni svastyayanāni |	pArvaNa Adi uttaratantram | svastyayana kAmaH | samAptAni svastyayanAni |
   yatra yatra kvaciddhomastatra tatra svastyayanakāmaḥ |	yatra yatra kvacid homaH tatra tatra svastyayana kAmaH |
   kuryācchāntikapauṣṭike sarvatra ||	kuryAt SAntika pOzwike sarvatra ||
        atha janavidhāte svastyayanam  	aTa jana viDAte svastyayanam  
             [uttamena sārūpavatsasya rudrāya trirjuhoti || KauśS_7,1{50}.14	[uttamena sArUpavatsasya rudrAya tris juhoti || KOSH _7,1{50}.14
   rudradevatākaṃ pākayajñamājyabhāgāntaṃ kṛtvā 'bhavāśarvau mṛḍatam'	rudra devatAkam pAkayajQam Ajya BAga antam kRtvA aBavA SarvO mRxatam a
   ityarthasūktena sārūpavatsasya caruṃ trirvibhajya tataḥ tisra āhutīrjuhoti	iti arTa sUktena sArUpavatsasya carum tris viBajya tatas tisraH AhutIH juhoti
   | pārvaṇādyuttaratantram |	| pArvaNa Adi uttaratantram |
   rudrabhūtapretarākṣasalokapāladevagrahamahādevagaṇādyupahatābhighāte	rudra BUta preta rAkzasa lokapAla deva graha mahAdeva gaNa Adi upahata aBiGAte
   svastyayanam | samāptaṃ mahādevābhighāte svastyayanam ||	svastyayanam | samAptam mahAdeva aBiGAte svastyayanam ||
        atha śīghreṇa puṇyamaṅgalakarmakaraṇe svastyayanamucyate  	aTa SIGreNa puNya maFgala karma karaNe svastyayanam ucyate  
             [upottamena suhṛdo brāhmaṇasya śakṛtpiṇḍān parvasvādhāya	[upottamena suhRdaH brAhmaNasya SakRt piNxAn parvasu ADAya
   śakadhūmaṃ kimadyāhaḥ iti pṛcchati || KauśS_7,1{50}.15 ||	Saka DUmam kim adya ahaH iti pRcCati || KOSH _7,1{50}.15 ||
             bhadraṃ sumaṅgalam iti pratipadyate || KauśS_7,1{50}.16 ||]	Badram su maFgalam iti pratipadyate || KOSH _7,1{50}.16 ||]
   'śakadhūmam' iti caturṛcena suhṛdo brāhmaṇasya śakṛtpiṇḍān	aSaka DUmam a iti catur Rcena suhRdaH brAhmaNasya SakRt piNxAn
   parvasvādhāyāgre bhūtvābhimantrya tataḥ śakadhūmaṃ 'kimadyāhaḥ' iti	parvasvADAya agre BUtvA aBimantrya tatas Saka DUmam akim adya ahaH a iti
   pṛcchati | sa ca 'śobhanamadyāhaḥ' 'maṅgalamadyāhaḥ' iti brāhmaṇo vadati |	pRcCati | sa ca aSoBanam adya ahaH a amaFgalam adya ahaH a iti brAhmaNaH vadati |
   yadā kartā karma kuryāccaturdaśyāṃ caturthyāṃ navamyāṃ vā śanidine	yadA kartA karma kuryAt caturdaSyAm caturTyAm navamyAm vA Sani dine
   vyatīpāte viṣṭāvanyatrāpi nindite'hani tataścandanam |	vyatIpAte vizwO= anyatra api nindite ahani tatas candanam |
   annaprāśanacūḍākarmanāmakaraṇagṛhapraveśavastrāyalaṅkāradhāraṇam |	annaprASana cUxA karma nAmakaraNa gRha praveSa vastrAyalaFkAra DAraNam |
   rājadarśanāśvahastyādiyānarathārohaṇaṃ puṇyakarme nityanaimittikakāmyādīni	rAja darSana aSva hasti Adi yAna raTa ArohaNam puNya karme nitya nEmittika kAmya AdIni
   karmāṇi | yadā śīghre prayojane kāryaṃ kartumicchatīdaṃ karma kṛtvā tataḥ	karmANi | yadA SIGre prayojane kAryam kartum icCati idam karma kRtvA tatas 
   śāntikapuṇyakarma karoti | samāptā śīghrakarmakaraṇe śāntiḥ ||	SAntika puNya karma karoti | samAptA SIGra karma karaNe SAntiH ||
        atha sarpādisvastyayanamucyate  	aTa sarpa Adi svastyayanam ucyate  
             [yuktayoḥ mā no devāḥ (6.56) yaste sarpaḥ (12.1.46) iti	[yuktayoH mA naH devAH (6.56) yaH te sarpaH (12.1.46) iti
   śayanaśālorvarāḥ parilikhati || KauśS_7,1{50}.17 ||]	Sayana SAloH varAH pariliKati || KOSH _7,1{50}.17 ||]
   sarpavṛścikadvidaṃśakamaśakabhramarabhūmikīṭakakṛmaya eteṣāṃ bhayaṃ na	sarpa vRScika dvi daMSaka maSaka Bramara BUmi kIwaka kRmayaH etezAm Bayam na
   bhavati | 'ye'syām' 'prācī dik' iti sūktābhyāṃ sikatāmabhimantrya śayanaṃ	Bavati | aye asyAm a aprAcI dik a iti sUktAByAm sikatAm aBimantrya Sayanam
   parikirati | 'ye'syāṃ stha' iti sūktena sikatāmabhimantrya śālāṃ paritaḥ	parikirati | aye asyAm sTa a iti sUktena sikatAm aBimantrya SAlAm paritas 
   kirati | 'ye'syāṃ stha' iti sūktena sikatāmabhimantrya kṣetre parikirati |	kirati | aye asyAm sTa a iti sUktena sikatAm aBimantrya kzetre parikirati |
   'prācī dik' iti sūktena śālāṃ parikirati | 'prācī dik' iti sūktena	aprAcI dik a iti sUktena SAlAm parikirati | aprAcI dik a iti sUktena
   sikatāmabhimantrya kṣetre parikirati | svastyayanakāmaḥ | 'mā no devāḥ'	sikatAm aBimantrya kzetre parikirati | svastyayana kAmaH | amA naH devAH a
   iti sūktena śarkarāmabhimantrya śayanaṃ śālāṃ vā kṣetre vā parikirati |	iti sUktena SarkarAm aBimantrya Sayanam SAlAm vA kzetre vA parikirati |
   svastyayanakāmaḥ | 'bhavāśarvo mṛḍatam' (11.2) iti sūktena	svastyayana kAmaH | aBavA SarvaH mRxatam a (11.2) iti sUktena
   śarkarāmabhimantrya gṛhe kṣetre vā prakirati svastyayanakāmaḥ | 'yaste	SarkarAm aBimantrya gRhe kzetre vA prakirati svastyayana kAmaH | ayaH te
   sarpo vṛścikaḥ' ityṛcā śarkarāmabhimantrya śayane vā śālāyāṃ vorvarāyāṃ vā	sarpaH vRScikaH a iti RcA SarkarAm aBimantrya Sayane vA SAlAyAm vA urvarAyAm vA
   gṛhe vā vane vā grāme vā pattane vā tatra parikirati | sarpādisvastyayanaṃ	gRhe vA vane vA grAme vA pattane vA tatra parikirati | sarpa Adi svastyayanam
   bhavati | śāntiḥ | nirbhayo bhavatītyarthaḥ ||	Bavati | SAntiH | nirBayaH Bavati iti arTaH ||
             [tṛṇāni yugatardmanā sampātavanti dvāre pracṛtati ||	[tRNAni yugatardmanA sampAtavanti dvAre pracRtati ||
   KauśS_7,1{50}.18 ||]	KOSH _7,1{50}.18 ||]
   abhyātānāntaṃ kṛtvā 'ye'syāṃ stha prācyām' iti sūktena tṛṇamālāṃ	aByAtAna antam kRtvA aye asyAm sTa prAcyAm a iti sUktena tRNamAlAm
   sampātyābhimantrya dvāre badhnāti | abhyātānādyuttaratantram |	sampAtyA aBimantrya dvAre baDnAti | aByAtAnAdi uttaratantram |
   svastyayanakāmaḥ | mahānavamyāṃ dīpotsave ca śiṣṭācāraḥ | abhyātānāntaṃ	svastyayana kAmaH | mahAnavamyAm dIpa utsave ca Sizwa AcAraH | aByAtAna antam
   kṛtvā 'prācī dik' iti sūktena tṛṇamālāṃ yugacchidreṇa sampātyābhimantrya	kRtvA aprAcI dik a iti sUktena tRNamAlAm yuga= CidreNa sampAtyA aBimantrya
   dvāre pracṛtati | tata abhyātānādyuttaratantram | mahānavamyāmidaṃ	dvAre pracRtati | tatas aByAtAnAdi uttaratantram | mahAn avamyAm idam
   jayakarma | abhyātānāntaṃ kṛtvā 'yaste sarpaḥ' ityṛcā tṛṇamālāṃ	jaya karma | aByAtAna antam kRtvA ayaH te sarpaHa iti RcA tRNamAlAm
   yugacchidreṇa sampātyābhimantrya abhyātānāntaṃ kṛtvā 'namo devavadhebhyaḥ'	yuga= CidreNa sampAtya aBimantrya aByAtAna antam kRtvA anamaH deva vaDeByaH a
   (6.13) iti tṛcena sūktena tṛṇāni yugachidreṇa sampātya dvāre badhnāti |	(6.13) iti tRcena sUktena tRNAni yuga CidreNa sampAtya dvAre baDnAti |
   tata uttaratantram | pathi vā gṛhadvāre vā pattanadvāre vā pracṛtati |	tatas uttaratantram | paTi vA gRha dvAre vA pattana dvAre vA pracRtati |
   abhyātānādyuttaratantram | ahibhaye vṛścikabhaye maśakabhaye	aByAtAna Adi uttaratantram | ahi Baye vRScika Baye maSaka Baye
   bhramarasaṅghe kṛmibhaye idaṃ karma ||	Bramara saFGe kRmi Baye idam karma ||
             [ūbadhyaṃ sambhinatti || KauśS_7,1{50}.19 ||]	[UbaDyam samBinatti || KOSH _7,1{50}.19 ||]
   'ye'syām' 'prācī dik' iti sūktābhyāṃ gomayamabhimantrya gṛhe visṛjati |	aye asyAm a aprAcI dik a iti sUktAByAm gomayam aBimantrya gRhe visRjati |
   'mā no devāḥ' iti sūktena gomayamabhimantrya dvāre visṛjati | 'yaste	amA naH devAHa iti sUktena gomayam aBimantrya dvAre visRjati | ayaH te
   sarpaḥ' ityṛcā gomayamabhimantrya dvāre sambhinatti ||	sarpaHa iti RcA gomayam aBimantrya dvAre samBinatti ||
             [nikhanati || KauśS_7,1{50}.20 ||]	[niKanati || KOSH _7,1{50}.20 ||]
   'ye'syām' 'prācī dik' iti sūktābhyāṃ gomayamabhimantrya dvāre nikhanati |	aye asyAm a aprAcI dik a iti sUktAByAm gomayam aBimantrya dvAre niKanati |
   'mā no devāḥ' iti sūktena śuṣkagomayamabhimantrya gṛhe nikhanati | 'yaste	amA naH devAHa iti sUktena Suzka gomayam aBimantrya gRhe niKanati | ayaH te
   sarpaḥ' ityṛcā gomayamabhimantrya gṛhe nikhanati ||	sarpaHa iti RcA gomayam aBimantrya gRhe niKanati ||
             [ādadhāti || KauśS_7,1{50}.21 ||]	[AdaDAti || KOSH _7,1{50}.21 ||]
   'ye'syām' 'prācī dik' iti sūktābhyāṃ śuṣkagomayamādadhātyagnau | 'mā no	aye asyAm a aprAcI dik a iti sUktAByAm Suzka gomayam AdaDA ati agnO | amA no
   devāḥ' iti sūktena gomayamagnau juhoti | 'yaste sarpaḥ' ityṛcā	devAHa iti sUktena gomayam agnO juhoti | ayaH te sarpaHa iti RcA
   gomayamagnau juhoti | gṛhe kṣetre grāme nagare vā svastyayanakāmaḥ ||	gomayam agnO juhoti | gRhe kzetre grAme nagare vA svastyayana kAmaH ||
             [apāmārgaprasūnān kudrīcīśaphān parācīnamūlān ||	[apA mArga prasUnAn kudrI cISaPAn parAcIna mUlAn ||
   KauśS_7,1{50}.22 ||]	KOSH _7,1{50}.22 ||]
   'ye'syām' iti sūktenāpāmārgamañjarīmabhimantrya dvāre sambhinatti |	aye asyAm a iti sUktena apAmArga maQjarIm aBimantrya dvAre samBinatti |
   'ye'syāṃ stha' iti sūktenāpāmārgamañjarīmabhimantrya dvāre nikhanati |	aye asyAm sTa a iti sUktena apAmArga maQjarIm aBimantrya dvAre niKanati |
   'ye'syāṃ stha' iti sūktenāpāmārgamañjarīmabhimantryāgnau juhoti | 'prācī	aye asyAm sTa a iti sUktena apAmArga maQjarIm aBimantrya agnO juhoti | aprAcI
   dik' iti sūktenāpāmārgamañjarīmabhimantrya gṛhe stṛṇāti | 'prācī dik' iti	dik a iti sUktena apAmArga maQjarIm aBimantrya gRhe stRNAti | aprAcI dik a iti
   sūktenāpāmārgaprasūnamabhimantrya dvāre nikhanati | 'prācī dik' iti	sUktena apAmArga prasUnam aBimantrya dvAre niKanati | aprAcI dik a iti
   sūktenāpāmārgamañjarīṃ juhoti | 'mā no devāḥ' iti	sUktena apAmArga maQjarIm juhoti | amA naH devAHa iti
   sūktenāpāmārgamabhimantrya gṛhe stṛṇāti | 'mā no devāḥ' iti	sUktena apAmArgam aBimantrya gRhe stRNAti | amA naH devAHa iti
   sūktenāpāmārgamabhimantrya bhūmau nikhanati svastyayanakāmaḥ | 'mā no	sUktena apAmArgam aBimantrya BUmO niKanati svastyayana kAmaH | amA no
   devāḥ' iti sūktenāpāmārgamañjarīmabhimantrya agnau juhoti | 'yaste sarpaḥ'	devAHa iti sUktena apAmArga maQjarIm aBimantrya agnO juhoti | ayaH te sarpaH a
   iti apāmārgamañjarīmabhimantrya sambhinatti | 'yaste sarpaḥ' iti	iti apAmArga maQjarIm aBimantrya samBinatti | ayaH te sarpaHa iti
   apāmārgamañjarīṃ nikhanati grāmamadhye svastyayanakāmaḥ | 'yaste sarpaḥ'	apAmArga maQjarIm niKanati grAma maDye svastyayana kAmaH | ayaH te sarpaH a
   ityṛcāpāmārgaṃ juhoti | 'ye'syāṃ stha' iti sūktena guḍūcīmabhimantrya nānā	iti RcA apAmArgam juhoti | aye asyAm sTa a iti sUktena guxUcIm aBimantrya nAnA
   karoti | 'ye'syām' iti sūktena guḍūcīmabhimantrya nikhanati | 'ye'syām'	karoti | aye asyAm a iti sUktena guxUcIm aBimantrya niKanati | aye asyAm a
   iti sūktena guḍūcīpādānabhimantryāgnau juhoti | 'prācī dik' iti	iti sUktena guxUcI pAda anaBimantrya agnO juhoti | aprAcI dik a iti
   guḍūcīpādānabhimantrya gṛhe stṛṇāti | 'prācī dik' iti guḍūcīpādā ye	guxUcI pAdAn aBimantrya gRhe stRNAti | aprAcI dik a iti guxUcI pAdAH ye
   adhomukhāstānabhimantrya nikhanati | 'prācī dik' iti guḍūcīmagnau juhoti |	aDomuKAH tAn aBimantrya niKanati | aprAcI dik a iti guxUcIm agnO juhoti |
   'mā no devāḥ' iti guḍūcīmabhimantrya grāme stṛṇāti | svastyayanakāmaḥ |	amA naH devAHa iti guxUcIm aBimantrya grAme stRNAti | svastyayana kAmaH |
   'mā no devāḥ' iti guḍūcīmabhimantrya nikhanati | 'mā no devāḥ' iti	amA naH devAHa iti guxUcIm aBimantrya niKanati | amA naH devAHa iti
   guḍūcīmagnau juhoti | 'yaste sarpaḥ' ityṛcā guḍūcīmabhimantrya stṛṇāti |	guxUcIm agnO juhoti | ayaH te sarpaHa iti RcA guxUcIm aBimantrya stRNAti |
   'yaste sarpaḥ' ityṛcā guḍūcīmabhimantrya nikhanati | 'yaste sarpaḥ' ityṛcā	ayaH te sarpaHa iti RcA guxUcIm aBimantrya niKanati | ayaH te sarpaHa iti RcA
   guḍūcīmagnau juhoti | maśakakīṭakasarpavṛścikādisvastyayanāni bhavanti |	guxUcIm agnO juhoti | maSaka kIwaka sarpa vRScika Adi svastyayanAni Bavanti |
   samāptāni maśakādīnāṃ svastyayanāni || saptame prathamā kaṇḍikā || KKp_50	samAptAni maSaka AdInAm svastyayanAni || saptame praTamA kaNxikA || KKB _50
        atha vyāghracauravṛkacarakasiṃhāraṇyakādīnāṃ bhaye	aTa vyAGra cOra vRka caraka siMha AraNyaka AdInAm Baye
   svastyayanānyucyante 	svastyayanAni ucyante 
             [uditaḥ (4.3) iti khādiraṃ śaṅkuṃ sampātavantamudgṛhṇan nikhanan	[uditaH (4.3) iti KAdiram SaFkum sampAtavantam udgRhNan niKanan
   gā anuvrajati || KauśS_7,2{51}.1 ||]	gAH anuvrajati || KOSH _7,2{51}.1 ||]
   abhyātānāntaṃ kṛtvā 'uditastrayo akraman' iti sūktena khadirakīlakaṃ	aByAtAna antam kRtvA auditaH trayaH akramana iti sUktena Kadira kIlakam
   sampātya tata uttaratantraṃ kṛtvā kīlakaṃ nikhanannutpāṭayan gṛhādaraṇyaṃ	sampAtya tatas uttaratantram kRtvA kIlakam niKanan= utpAwayan gRhAt araNyam
   gāṃ pṛṣṭhato gacchati | vyāghrādisvastyayanakāmaḥ ||	gAm pRzWatas gacCati | vyAGra Adi svastyayana kAmaH ||
             [ninayanaṃ samuhya cāre sārūpavatsasyendrāya trirjuhoti ||	[ninayanam samuhya cAre sArUpavatsasya indrAya tris juhoti ||
   KauśS_7,2{51}.2 ||]	KOSH _7,2{51}.2 ||]
   'uditaḥ' iti sūktenodakaghaṭamabhimantrya gopracāre ninayati | tataḥ	auditaH a iti sUktena udaka Gawam aBimantrya go pracAre ninayati | tatas 
   pāṃśukūṭaṃ tatra kṛtvārddhaṃ dakṣiṇena hastena vikṣipati | indrāya	pAMSukUwam tatra kRtvA ardDam dakziNena hastena vikzipati | indrAya
   pākayajñavidhānenājyabhāgāntaṃ kṛtvā 'uditaḥ' iti sūktena saptarcena	pAkayajQa viDAnena Ajya BAga antam kRtvA auditaH a iti sUktena sapta rcena
   dvābhyāṃ dve āhutī tisṛbhirṛgbhistṛtīyā | pārvaṇādyuttaratantram ||	dvAByAm dve AhutI tisRBiH RgBiH tRtIyA | pArvaNa Adi uttaratantram ||
             [diśyān balīn harati || KauśS_7,2{51}.3 ||]	[diSyAn balIn harati || KOSH _7,2{51}.3 ||]
   sārūpavatsena dugdhe caruśrapaṇaṃ havirucchiṣṭena baliharaṇaṃ kuryāt ||	sArUpavatsena dugDe caru SrapaNam haviH ucCizwena bali haraNam kuryAt ||
             [pratidiśamupatiṣṭhate || KauśS_7,2{51}.4 ||	[pratidiSam upatizWate || KOSH _7,2{51}.4 ||
             madhye pañcamamanirdiṣṭam || KauśS_7,2{51}.5 ||]	maDye paQcamam anirdizwam || KOSH _7,2{51}.5 ||]
   'ye'syāṃ stha' iti sūktena pratyṛcamupatiṣṭhate | madhye pañca baliharaṇam	aye asyAm sTa a iti sUktena pratyRcam upatizWate | maDye paQca bali haraNam
   | prācī | dakṣiṇā | pratīcī | udīcī | evaṃ madhyaṃ ca | prācī | dakṣiṇā |	| prAcI | dakziNA | pratIcI | udIcI | evam maDyam ca | prAcI | dakziNA |
   pratīcī | udīcī | evaṃ copasthānāni ||	pratIcI | udIcI | evam ca upasTAnAni ||
             [śeṣaṃ ninayati || KauśS_7,2{51}.6 ||]	[Sezam ninayati || KOSH _7,2{51}.6 ||]
   anirdiṣṭaṃ śeṣaṃ havirbhūmau ninayatīti pañcamam ||	anirdizwam Sezam haviH BUmO ninayati iti paQcamam ||
             [brahma jajñānam (5.6) bhavāśarvau (4.28) ityāsannamaraṇye	[brahma jajQAnam (5.6) BavASarvO (4.28) iti Asannam araNye
   parvataṃ yajate || KauśS_7,2{51}.7 ||]	parvatam yajate || KOSH _7,2{51}.7 ||]
   parvatadevatāyā araṇye pākayajñavidhānenājyabhāgāntaṃ kṛtvā 'brahma	parvata devatAyAH araNye pAkayajQa viDAnena Ajya BAga antam kRtvA abrahma
   jajñānam' 'anāptā ye' (5.6.1 2) iti sūktena juhoti | 'himavate juṣṭaṃ	jajQAnam a aanAptA ye a (5.6.1 2) iti sUktena juhoti | ahimavate juzwam
   nirvapāmi | himavate tvā juṣṭaṃ prokṣāmi | himavantaṃ gacchatu haviḥ	nirvapAmi | himavate tvA juzwam prokzAmi | himavantam gacCatu haviH
   svāhā' iti | nikaṭaparvataṃ yajate | pārvaṇādyuttaratantram ||	svAhA a iti | nikawa parvatam yajate | pArvaNa Adi uttaratantram ||
             [anyasmin bhavaśarvapaśupatyugrarudramahādeveśānānāṃ	[anyasmin Bava Sarva paSupati ugra rudra mahAdeva ISAnAnAm
   pṛthagāhutīḥ || KauśS_7,2{51}.8 ||]	pRTak AhutIH || KOSH _7,2{51}.8 ||]
   parvatadevatāyai pākayajñamājyabhāgāntaṃ kṛtvā 'bhavāśarvau mṛḍatam'	parvata devatAyE pAkayajQam Ajya BAga antam kRtvA aBavA SarvO mRxatam a
   ityarthasūktena caruṃ juhoti | pārvaṇādyuttaratantram | pākayajñatantraṃ	iti arTa sUktena carum juhoti | pArvaNa Adi uttaratantram | pAkayajQa tantram
   kṛtvā 'bhavāya juṣṭaṃ nirvapāmi' ityādi | bhava | śarva | paśupati | ugra	kRtvA aBavAya juzwam nirvapAmia ityAdi | Bava | Sarva | paSupati | ugra
   | rudra | mahādeva | īśāna | etāḥ sapta devatāḥ | devatānirvāpaṃ	| rudraH | mahAdeva | ISAnaH | etAH sapta devatAH | devatA nirvApam
   kṛtvaikasmin bhāṇḍake śrapaṇam | 'brahma jajñānam' iti sūktasya	kRtvA ekasmin BANxake SrapaNam | abrahma jajQAnam a iti su uktasya
   saptāvṛttiḥ | pārvaṇādyuttaratantram | bhavāśarvādibhyo devatābhyo	sapta AvRttiH | pArvaNa Adi uttaratantram | Bava ASarva AdiByaH devatA aByaH 
   nirvāpaṃ kṛtvā bṛhadbhāṇḍake śrapaṇam | ājyabhāgāntaṃ kṛtvā 'bharvāśarvau	nirvApam kRtvA bRhat BANxake SrapaNam | Ajya BAga antam kRtvA aBarva aSarvO
   mṛḍatam' iti sūktasya saptāvṛttiḥ | pārvaṇādyuttaratantram | bhavam |	mRxatam a iti sUktasya sapta AvRttiH | pArvaNa Adi uttaratantram | Bavam |
   śarvam | paśupatim | ugram | rudram | mahādevam | īśānaṃ yajate | ete	Sarvam | paSupatim | ugram | rudram | mahAdevam | ISAnam yajate | ete
   sapta parvatadevatāḥ |	sapta parvata devatAH |
   vyāghracauravṛścikahastyāraṇyakamahiṣāraṇyakago ityādibhaye svastyayanam	vyAGra cOra vRScika hasti A araNyaka mahiza AraNyaka go itya Adi Baye svastyayanam
        goṣṭhakarmocyate  	gozWa karma ucyate  
             [goṣṭhe ca dvitīyamaśnāti || KauśS_7,2{51}.9 ||]	[gozWe ca dvitIyam aSnAti || KOSH _7,2{51}.9 ||]
   gośāntiḥ | pākayajñatantraṃ kṛtvendradevatāyai 'brahma jajñānam' 'anāptā	go SAntiH | pAkayajQa tantram kRtvA indra devatAyE abrahma jajQAnam a aanAptA
   ye' (5.6.1 3) iti sūktena caruṃ juhoti | tata uttaratantram | tantraṃ	ye a (5.6.1 3) iti sUktena carum juhoti | tatas uttaratantram | tantram
   kṛtvā bhavāśarvādibhyo nirvāpaṃ kṛtvaikasmin bhāṇḍe śrapaṇaṃ kṛtvā tato	kRtvA Bava ASarva AdiByaH nirvApam kRtvA ekasmin BANxe SrapaNam kRtvA tatas 
   brahmajajñānena juhoti | sūktasya saptāvṛttiḥ | pārvaṇādyuttaratantram |	brahma ja jQAnena juhoti | sUktasya sapta AvRttiH | pArvaNa Adi uttaratantram |
   parvatadevatāyai pākayajñavidhānamājyabhāgāntaṃ kṛtvā 'bhavāśarvau	parvata devatAyE pAkayajQa viDAnam Ajya BAga antam kRtvA aBavA SarvO
   mṛḍatam' iti sūktena caruṃ juhoti | tata uttaratantram | tantraṃ kṛtvā	mRxatam a iti sUktena carum juhoti | tatas uttaratantram | tantram kRtvA
   bhava śarva paśupati ugra rudra mahādeva īśānāntaṃ nirvāpaṃ kṛtvaikasmin	Bava  Sarva  paSupati ugra  rudra  mahAdeva  ISAna antam nirvApam kRtvA ekasmin
   bhāṇḍake śrapaṇaṃ kṛtvā 'bhavāśarvau' iti sūktena juhoti | pratidevataṃ	BANxake SrapaNam kRtvA aBavA SarvO a iti sUktena juhoti | pratidevatam
   sūktāvṛttiḥ | tata uttaratantram | rudradevasya carorhavirucchiṣṭaṃ	sUkta AvRttiH | tatas uttaratantram | rudradevasya ca roH haviH ucCizwam
