   Dharmakīrti: Hetubindu	Dharma kIrti: Hetu bindu
   prāgevoktaṃ dūṣaṇam /	prAk eva uktam dUzaNam /
   yaśca parasmādanyathābhāvaḥ so 'paraḥ svabhāvaḥ yaścāparaḥ sa kathaṃ tasya	yaH ca parasmAt anyaTA BAvaH saH aparaH svaBAvaH yaH ca aparaH sa kaTam tasya
   syāt? svabhāvabhedo hi vastubhedalakṣaṇam / tathā ca yaḥ sthitidharmā	syAt? svaBAva BedaH hi vastu Beda lakzaNam / taTA ca yaH sTiti DarmA
   jātaḥ na tasyānyathābhāvaḥ syāt / etena kaṭhinādīnāṃ tāmrādīnām agnyādeḥ	jAtaH na tasya anyaTA BAvaH syAt / etena kaWina AdInAm tAmra AdInAm agni AdeH
   dravatvādisvabhāvāntarotpattiḥ pratyuktā / tatrāpi pūrvakasya	drava tva Adi svaBAva antara utpattiH pratyuktAH / tatra api pUrvakasya
   svarasanirodhitvādvināśe 'gnyāderupādānāccāpara eva dravādisvabhāvaḥ	svarasa niroDi tvAt vinASe agni AdeH upAdAnAt ca aparaH eva drava Adi svaBAvaH
   utpannaḥ /	utpannaH /
   (2.27) sa svayaṃ sthitidharmaiva svahetubhirjanitaḥ, vināśahetorasambhave	(2.27) sa svayam sTiti DarmA eva sva hetuBiH janitaH, vinASa hetoH asamBave
   'vasthānāt / tasya parasmādvināśo bhavati iti / na ca vināśo nāmāparaḥ	avasTAnAt / tasya parasmAt vinASaH Bavati iti / na ca vinASaH nAma aparaH
   svabhāvaḥ, bhāvacyutireva vināśaḥ iti cet / nedaṃ vikalpadvayamatikrāmati	svaBAvaH, BAva cyutiH eva vinASaH iti ced / na idam vikalpa dvayam atikrAmati
     kiṃ nityo bhāva utānityaḥ / prāṅnityo bhūtvā paścādanityo bhavatīti ca	 kim nityaH BAvaH uta anityaH / prAk nityaH BUtvA paScAt anityaH Bavati iti ca
   bruvāṇo bhāvadvayaṃ cāha nityānityasvabhāvabhedam / prāktanasya	bruvANaH BAva dvayam ca Aha nitya anitya svaBAva Bedam / prAktanasya
   nityābhimatasya svabhāvasya svayaṃ nāśaṃ bruvāṇaḥ sarvadaiva nāśamanāśaṃ	nitya aBimatasya svaBAvasya svayam nASam bruvANaH sarvadA eva nASam anASam
   ca prāheti pūrvasmin vināśaheturasamartha eva /	ca prAha iti pUrvasmin vinASa hetuH asam arTaH eva /
   na prāṅnityo bhūtvā paścādanityaḥ bhavati, kiṃ tarhi, paścādapi nitya eva,	na prAk nityaH BUtvA paScAt anityaH Bavati, kim tarhi, paScAt api nityaH eva,
   ekasvabhāvatvāt / sa tarhi bhāvaḥ svabhāvena nāśamanāviśan kathaṃ naṣṭo	eka svaBAva tvAt / sa tarhi BAvaH svaBAvena na aSam anAviSan kaTam nazwaH 
   nāma? tatsvabhāvavināśayoḥ aparaspararūpatvāt / tasmāt satyasya vināśe	nAma? tad svaBAva vinASayoH aparaspara rUpa tvAt / tasmAt satyasya vinASe
   vināśasvabhāvena tena bhavitavyaṃ, tathāpi vināśaheturvyartha ityuktam /	vinASa svaBAvena tena Bavitavyan, taTA api vinASa hetuH vyarTaH iti uktam /
   tena svabhāvato naścare 'naśvare vā bhāve na vināśahetorupayogaḥ /	tena svaBAvataH naH care anaSvare vA BAve na vinASa hetoH upayogaH /
   (2.28) tasmādvināśaṃ pratyanapekṣo bhāvastadbhāvaniyataḥ iti yaḥ san sa	(2.28) tasmAt vinASam pratyanapekzaH BAvaH tad BAva niyataH iti yaH san sa
   vināśī naśvaratāyā nivṛttau sattvanivṛtirityanvayavyatirekasiddhiḥ /	vinASI naSvara tAyAH nivRttO sattva nivRtiH iti anvaya vyatireka sidDiH /
   svabhāvato naśvaratve 'pi kaścidatatsvabhāvo 'pi syāt / na hi sarvaḥ	svaBAvataH naSvara tve api kaScid atad svaBAvaH api syAt / na hi sarvaH
   sarvasya svabhāva iti na tatribandhanānvayavyatirekāsiddhiriti cet / na,	sarvasya svaBAvaH iti na tatri banDana anvaya vyatireka asidDiH iti ced / na,
   akṣaṇikatve 'vastutvaprasaṅgāt / śaktirhi bhāvalakṣaṇam /	akzaNika tve avastu tva prasaFgAt / SaktiH hi BAva lakzaNam /
   sarvaśaktivirahaḥ punarabhāvalakṣaṇam / na caivākṣaṇikasya kvacit kācit	sarva Sakti virahaH punar aBAva lakzaNam / na ca eva akzaNikasya kvacid kAcid 
   śaktirasti, kramayaugapadyābhyāṃ kāryakriyāśakti virahāt / itthaṃ ca yat	SaktiH asti, krama yOgapadyAByAm kArya kriyA Sakti virahAt / itTam ca yat 
   sattat kṣaṇikameveti vyāptisiddhiḥ /	sat tat kzaNikam eva iti vyApti sidDiH /
   (3.1) arthāntare gamye kāryaṃ heturavyabhicārāt / kāryakāraṇabhāvena	(3.1) arTa antare gamye kAryam hetuH avyaBicArAt / kArya kAraNa BAvena
   gamakatve sarvathā gamyagamakabhāvaḥ syāt, sarvathā janyajanakabhāvād iti	gamaka tve sarvaTA gamya gamaka BAvaH syAt, sarvaTA janya janaka BAvAt iti
   cet / na / tadabhāve bhavatastadutpattiniyamābhāvāt / tasmāt kāryaṃ	ced / na / tad aBAve BavataH tad utpatti niyama aBAvAt / tasmAt kAryam
   svabhāvairyāvadbhiravinābhāvi kāraṇe teṣāṃ hetuḥ / tatkāryatvaniyamāt /	svaBAvEH yAvadBiH avinABa Avi kAraNe tezAm hetuH / tad kAryatva niyamAt /
   taireva ca dharmairye tairvinā na bhavanti / aṃśena	tEH eva ca DarmEH ye tEH vinA na Bavanti / aMSena
   janyajanakabhāvaprasaṅga iti cet / na, tajjanyaviśeṣagrahaṇe 'bhimatatvāt	janya janaka BAva prasaFgaH iti ced / na, tad janya viSeza grahaNe aBimata tvAt 
   liṅga viśeṣopādhīnāṃ ca sāmānyānām / aviśiṣṭasāmānyavivakṣāyāṃ vyabhicāra	liFga viSeza upADInAm ca sAmAnyAnAm / aviSizwa sAmAnya vivakzAyAm vyaBicAra
   iti gamakatvaṃ neṣyate /	iti gamaka tvam na izyate /
   (3.2) kasyacitkadācitkutaścidbhāve 'pi sarvastādṛśastathāvidhajanmeti kuto	(3.2) kasyacid kadAcid kutaScidBAve api sarvaH tAdRSaH taTAviDa janma iti kuto
   'vasitam, tathā ca nānvayavyatirekāviti cet / na, atadbhāvinastasya	avasitam, taTA ca na anvaya vyatirekO= iti ced / na, atad BAvinaH tasya
   sakṛdapi tato 'bhāvāt / parasparāpekṣayā janyajanakasvabhāvalakṣaṇe	sakRt api tatas aBAvAt / paraspara apekzayA janya janaka svaBAva lakzaNe
   kāryakāraṇe / tatra yadi dhūmo 'gnyādisāmagjyā anyato 'pi bhavettadā tasya	kArya kAraNe / tatra yadi DUmaH agni Adi sAmagjyAH anyatas api Bavet tadA tasya
   tajjanyaḥ svabhāvo na bhavatīti sakṛdapi tato na bhavet / arthāntaravat /	tat janyaH svaBAvaH na Bavati iti sakRt api tatas na Bavet / arTa antara vat /
   nāpi sāmagrī taṃ janayed atajjananasvabhāvatvāt / sāmagjyantaravat / na ca	na api sAmagrI tam janayet atajjanana svaBAva tvAt / sAmagjyantara vat / na ca
   dhūmasya tadatajjanyaḥ svabhāvo yuktaḥ / ekasvabhāvatvāt /	DUmasya tat atat janyaH svaBAvaH yuktaH / eka svaBAva tvAt /
   dhūmādhūmajananasvabhāvād bhavato dhūmādhūmasvabhāvaḥ syāt /	DUmADUma janana svaBAvAt BavataH DUmADUma svaBAvaH syAt /
   kāryasvabhāvānāṃ kāraṇasvabhāvakṛtatvāt / akāraṇāpekṣaṇe	kArya svaBAvAnAm kAraNa svaBAva kRta tvAt / akAraNa apekzaNe
   cāhetukatvaprasaṅgāt / tasmādyo dhūmajananaḥ so 'gnyādisāmagrīviśeṣo yaḥ	ca ahetuka tva prasaFgAt / tasmAt yaH DUma jananaH saH agni Adi sAmagrI viSezaH yaH
   agnyādisāmagrīviśeṣeṇa janitaḥ sa eva dhūmo bhavatīti kāryakāraṇayorevaṃ	agni Adi sAmagrI viSezeNa janitaH saH eva DUmaH Bavati iti kArya kAraNayoH evam
   svabhāvasya niyamāt tadvijātīyādutpattirna bhavati /	svaBAvasya niyamAt tat vijAtIyAt utpattiH na Bavati /
   tadyādṛśaṃ kāryaṃ yādṛśāt kāraṇād dṛṣṭamekadā tattanna vyabhicarati / tena	tat yAdRSam kAryam yAdRSAt kAraNAt dRzwam ekadA tat tat na vyaBicarati / tena
   siddhe kāryakāraṇabhāve kāryasya kāraṇena vyāptiḥ siddhā bhavati /	sidDe kArya kAraNa BAve kAryasya kAraNena vyAptiH sidDA Bavati /
   (3.3) nanu vijātīyādapi kiñcid bhavad dṛṣṭaṃ tadyathā go mayādeḥ śālūkādiḥ	(3.3) nanu vijAtIyAt api kiQcid Bavat dRzwam tat yaTA gaH mayA AdeH SAlUka AdiH
   / na vijātīyādutpattiḥ / tathāvidhameva hi tādṛśāmādinimittamiti na	/ na vijAtIyAt utpattiH / taTAviDam eva hi tAdRSa Am Adi nimittam iti na
   kāraṇabhedaḥ / prabandhena vṛttau tu śarād bhavati / asti ca	kAraNa BedaH / prabanDena vRttO tu SarAt Bavati / asti ca
   gomayetarajanmanoḥ svabhāvabhedaḥ rūpasyābhede 'pi / na hi ākāratulyataiva	gomaya itarajat manoH svaBAva BedaH rUpasya aBede api / na hi AkAra tulya tA eva
   bhāvānāṃ tattve nimittam, abhinnākārāṇāmapi keṣāñcidanyato	BAvAnAm tattve nimittam, aBinna AkArANAm api kezAQcid anyatas 
   viśeṣājjātibhedadarśanāt / anyathā hi vilakṣaṇāyā api sāmagrayā	viSezAt jAti Beda darSanAt / anyaTA hi vilakzaNAyAH api sAmagrayA
   avilakṣaṇakāryotpattau na kāraṇabhedābhedābhyāṃ	avilakzaNa kArya utpattO na kAraNa Beda aBedAByAm
   kāryabhedābhedāvityahetukau viśvasya bhedābhedau syātām / tathā hi na	kArya Beda aBedOviti ahetukO viSvasya Beda aBedO syAtAm / taTA hi na
   bhedādbheda iti abhedādapi nābhedaḥ / tadvyatiriktaśca na	BedAt BedaH iti aBedAt api na aBedaH / tad vyatiriktaH ca na
   kaścidbhāvasvabhāva ityahetukatvādbhāvānāṃ nityaṃ sattvamasattvaṃ vā syāt	kaScid BAva svaBAvaH iti ahetuka tvAt BAvAnAm nityam sattvam asat tvam vA syAt 
   / apekṣayā hi bhāvāḥ kādācitkā bhavanti / vyavasthāvāṃśca sādhyeṣu	/ apekzayA hi BAvAH kAdAcid kAH Bavanti / vyavasTAvAn= ca sADyezu
   sādhananiyogo na syāt / kāraṇaśaktipratiniyame hi kiñcideva kasyacit	sADana niyogaH na syAt / kAraNa Sakti pratiniyame hi kiQcid eva kasyacid 
   sādhanāyopādīyeta, nāparaṃ, tasyaiva tatra śakteḥ, anyasya cāśakteḥ	sADanAya upAdIyeta, na aparaM, tasya eva tatra SakteH, anyasya ca aSakteH
   tayostajjananetarasvabhāvatvena bhedāt / tajjananasvabhāvavilakṣaṇādapi	tayoH tad jana na itara svaBAva tvena BedAt / tad janana svaBAva vilakzaNAt api
   tasyotpattau na tajjananaśaktipratiniyama iti yat kiñcit yataḥ	tasya utpattO na tad janana Sakti pratiniyamaH iti yat kiQcid yatas 
   kutaścitsyāt / tajjananaśaktisāmye tu tadeveti na kāryaṃ duṣṭaṃ kāraṇaṃ	kutaScid syAt / tad janana Sakti sAmye tu tat eva iti na kAryam duzwam kAraNam
   vyabhicarati /	vyaBicarati /
   (4.1) upalabdhilakṣaṇaprāptasyānupalabdhirabhāvasyābhāvavyavahārasya vā	(4.1) upalabDi lakzaNa prAptasya anupalabDiH aBAvasya aBAva vyavahArasya vA
   hetuḥ / atropalabdherupalabhamānadharmatve tajjñānamupalabdhiḥ /	hetuH / atra upalabDeH upalaBamAna Darma tve tat jQAnam upalabDiH /
   tasmādanyopalabdhiranupalabdhirvivakṣitopalabdheranyatvāt,	tasmAt anya upalabDiH anupalabDiH vivakzita upalabDeH anyatvAt,
   abhakṣyāsparśanīyavatparyudāsavṛttyā / upalabhyamānadharmatve	aBakzya asparSanIya vat paryudAsa vRttyA / upalaByamAna Darma tve
   svaviṣayavijñānajananayogyatālakṣaṇo viṣayasvabhāvaḥ upalabdhiḥ /	sva vizaya vijQAna janana yogya tA lakzaNaH vizaya svaBAvaH upalabDiH /
   yogyatāyā bhāvasvarūpatvāt / tasmādanya upalambhajananayogya	yogyatAyAH BAva svarUpa tvAt / tasmAt anyaH upalamBa janana yogya
   evānupalabdhiḥ pūrvavat / yatra yasmitrupalabhyamāne niyamena	eva anupalabDiH pUrvavat / yatra yasmitrupalaByamAne niyamena
   yasyopalabdhiḥ bhavati yogyatāyā aviśeṣāt satatsaṃsṛṣṭaḥ ekajñānasaṃsargāt	yasya upalabDiH Bavati yogyatAyAH aviSezAt satad saMsRzwaH eka jQAna saMsargAt 
   / tayoḥ satornaikarūpaniyatā pratipattirasambhavāt /	/ tayoH satoH na eka rUpa niyatA pratipattiH asamBavAt /
   tasmādaviśiṣṭayogyatārūpayoḥ ekajñānasaṃsargiṇostayoḥ	tasmAt aviSizwa yogya tA rUpayoH eka jQAna saMsargiNoH tayoH
   parasparāpekṣamevānyatvamihābhipretaṃ, pratyāsatterāśrayaṇāt /	paraspara apekzam eva anya tvam iha aBipretan, pratyAsatteH ASrayaNAt /
   sa kevalastadapekṣayā tadanyaśceducyate tadā tajjñānaṃ tatsvabhāvo vā	sa kevalaH tad apekzayA tad anyaH ced ucyate tadA tat jQAnam tad svaBAvaH vA
   jñātṛjñeya dharmalakṣaṇānupalabdhiḥ / sābhāvaṃ pratiyogino	jQAtR jQeya Darma lakzaNa anupalabDiH / sABAvam pratiyoginaH 
   'bhāvavyavahāraṃ vā sādhayati /	aBAva vyavahAram vA sADayati /
   (4.2) kathamanyabhāvastadabhāvo yena	(4.2) kaTam anya BAvaH tad aBAvaH yena
   bhāvarūpānupalabdhirabhāvamabhāvavyavahāraṃ vā sādhayediti cet / uktamatra	BAva rUpa anupalabDiH aBAvam aBAva vyavahAram vA sADayet iti ced / uktam atra
   yathā paryudāsavṛttyāpekṣātaḥ tadvivikto 'rthastajjñānaṃ vābhāvo	yaTA paryudAsa vRttyA apekzAtaH tad viviktaH arTaH tat jQAnam vA aBAvaH 
   'nupalabdhiścocyata iti / na pratiṣedhamātraṃ, tasya	anupalabDiH ca ucyate iti / na pratizeDa mAtraM, tasya
   sādhanāsiddherabhāvavyavahārāsiddhiprasaṅgāt / tasyāsaṃsṛṣṭarūpasya	sADana asidDeH aBAva vyavahAra asidDi prasaFgAt / tasya asaMsRzwa rUpasya
   bhāvasiddhirevāparasyābhāvasiddhirityanyabhāvo 'pi tadabhāva iti	BAva sidDiH eva aparasya aBAva sidDiH iti anya BAvaH api tad aBAvaH iti
   vyapadiśyate / anyabhāvalakṣaṇo 'bhāvaḥ svayaṃ	vyapadiSyate / anya BAva lakzaNaH aBAvaH svayam
   pramāṇasiddhastadabhāvavyavahāraṃ sādhayet, tatsiddhisiddho veti na	pramANa sidDaH tad aBAva vyavahAram sADayet, tad sidDi sidDaH vA iti na
   kaścidviśeṣo yenānupalabdhyābhāvavyavahārasiddhervirodhaḥ syāt /	kaScid viSezaH yena anupalabDyA aBAva vyavahAra sidDeH viroDaH syAt /
   (4.3) sa evānyabhāvastadviṣayā copalabdhistadabhāvasya kiṃ na sādhanam?	(4.3) saH eva anya BAvaH tad vizayA ca upalabDiH tad aBAvasya kim na sADanam?
   kiṃ punarabhāvasya siddhireva tadabhāvasiddhiḥ? iti cet / apṛthaksiddheḥ	kim punar aBAvasya sidDiH eva tad aBAva sidDiH? iti ced / apRTak sidDeH
   sambandhābhāvācca /	sambanDa aBAvAt ca /
   anyabhāvastāvatra sādhanam / yatsiddhau yasya na siddhistattasya liṅgaṃ	anya BAvaH tO= atra sADanam / yad sidDO yasya na sidDiH tat tasya liFgam
   bhavati dhūmāgnivat / anyabhāvasiddhayaiva tadabhāvaḥ prasidhyati, tasya	Bavati DUma agni vat / anya BAva sidDayA eva tad aBAvaH prasiDyati, tasya
   tadanyāsaṃsṛṣṭarūpasya tattvavyavasthāpakena	tad anyA saMsRzwa rUpasya tattva vyavasTApakena
   pramāṇenaivānyavyavaccedasiddheḥ /	pramANena eva anya vyavat cedasidDeH /
   (4.4) sambandhābhāvācca tacca tasya liṅgaṃ yadi syāt, tasya tena	(4.4) sambanDa aBAvAt ca tat ca tasya liFgam yadi syAt, tasya tena
   kaścitsambandho bhavet / yathā kṛtakatvasyānityatvena ekārthasamavāyo	kaScid sambanDaH Bavet / yaTA kRtaka tvasya anitya tvena eka arTa samavAyaH 
   dhūmasya vā liṅginaikārthasamavāyaḥ / ādhārādheyabhāvo vā janyajanakabhāvo	DUmasya vA liFginA eka arTa samavAyaH / ADAra ADeya BAvaH vA janya janaka BAvaH 
   vā / naivaṃ kaścid bhāvābhāvayoḥ sambandhaḥ yenāsyānyabhāvaḥ sādhanaṃ syāt	vA / na evam kaScid BAva aBAvayoH sambanDaH yena asya anya BAvaH sADanam syAt 
   / asti viṣayaviṣayibhāvaḥ śabdārthasambandhavaditi cet / śabdārthayoḥ	/ asti vizaya vizayi BAvaH Sabda arTa sambanDa vat iti ced / Sabda arTayoH
   tatpratipādanābhiprāye sati tatprayogāt kāryakāraṇalakṣaṇo	tad pratipAdana aBiprAye sati tad prayogAt kArya kAraNa lakzaNaH 
   'vinābhāvalakṣaṇo vā sambandhaḥ syāt / ayaṃ cātra na sambhavati yataḥ	avinABAva lakzaNaH vA sambanDaH syAt / ayam ca atra na samBavati yatas 
   viṣayaviṣayibhāvaḥ syāt / siddhe hi tayoḥ sādhyasādhanabhāve tanmukhena	vizaya vizayi BAvaH syAt / sidDe hi tayoH sADya sADana BAve tad muKena
   viṣayaviṣabhibhāvaḥ syāt / sa eva cāsati sambandhe na sidhyati /	vizaya viza BiBAvaH syAt / saH eva ca asati sambanDe na siDyati /
   anyathetaretarāśrayamidaṃ syāt /	anyaTA itaretara ASrayam idam syAt /
   (4.5) anyabhāvāccābhāvasiddhāvasamudāyaśca sādhyaḥ syāt / tathā ca	(4.5) anya BAvAt ca aBAva sidDO= asamudAyaH ca sADyaH syAt / taTA ca
   ghaṭābhāvastadanyabhāvāt iti ghaṭasya sarvatra sarvadā cābhāvaḥ prasajyeta	Gawa aBAvaH tad anya BAvAt iti Gawasya sarvatra sarvadA ca aBAvaH prasajyeta
   / na, pradeśādirdharmī ghaṭābhāvena viśeṣyata iti tadviśeṣaṇabhūto 'bhāvaḥ	/ na, pradeSa AdiH DarmI Gawa aBAvena viSezyate iti tad viSezaNa BUtaH aBAvaH
   sādhyate na tu kevalaḥ / tato nāsamudāyasya sādhyatā / na ca	sADyate na tu kevalaH / tatas na asamudAyasya sADya tA / na ca
   liṅgaliṅganorasambandhaḥ, anyabhāvasya pradeśādinā sambandhād iti cet /	liFga liFganoH asambanDaH, anya BAvasya pradeSa AdinA sambanDAt iti ced /
   na, pradeśāderevānyabhāvatvāt / yatraiva hi pradeśādau yatrāstīti ucyate	na, pradeSa AdeH eva anya BAva tvAt / yatra eva hi pradeSa AdO yatra asti iti ucyate
   sa eva tenāsaṃsṛṣṭo 'nyabhāvaḥ / taddarśanādevāsya ghaṭo nāsti iti vikalpo	saH eva tena asaMsRzwaH anya BAvaH / tad darSanAt eva asya GawaH na asti iti vikalpaH 
   bhavati iti kathaṃ tasyaiva liṅgaliṅgibhāvaḥ?	Bavati iti kaTam tasya eva liFga liFgi BAvaH?
   (4.6) na cātra sāmānyaviśeṣabhāvakalpanā sambhavati yena sāmānyaṃ	(4.6) na ca atra sAmAnya viSeza BAva kalpanA samBavati yena sAmAnyam
   heturbhaved viśeṣo dharmāti, tadviśeṣapratipattereva tadabhāvasya	hetuH Bavet viSezaH Darma ati, tad viSeza pratipatteH eva tad aBAvasya
   pratīteḥ, tasyānyatrānvayasyābhāvāt pratijñārthaikadeśatvācca na hetutā /	pratIteH, tasya anyatra anvayasya aBAvAt pratijQA arTa eka deSa tvAt ca na hetu tA /
   na ca yatra pradeśamātraṃ tatra ghaṭābhāvaḥ / tādṛśe kevale pradeśe	na ca yatra pradeSa mAtram tatra Gawa aBAvaH / tAdRSe kevale pradeSe
   sarvatrābhāva iti cet / nanu tasyaiva kaivalyaṃ ghaṭavirahaḥ / sa ca	sarvatra aBAvaH iti ced / nanu tasya eva kEvalyam Gawa virahaH / sa ca
   tatpratipattāveva siddha iti kasya idānīṃ talliṅgam? anvayasyānugamanamapi	tad pratipattO= eva sidDaH iti kasya idAnIm tad liFgam? anvayasya anugamanam api
   nirarthakam / tasmādanyabhāvo na sādhanamabhāvasya /	nirarTakam / tasmAt anya BAvaH na sADanam aBAvasya /
   (4.7) asti virodhaḥ sambandhaḥ tato 'nyabhāvādabhāvasya siddhiḥ iti cet /	(4.7) asti viroDaH sambanDaH tatas anya BAvAt aBAvasya sidDiH iti ced /
   kena kasya virodho 'nyabhāvena pratiyoginaḥ kiṃ nu vai pratiyogī	kena kasya viroDaH anya BAvena pratiyoginaH kim nu vE pratiyogI
   pramātumiṣṭo yena liṅgaliṅganorvirodhaḥ sambandhaḥ syāt?	pramAtum izwaH yena liFga liFganoH viroDaH sambanDaH syAt ?
   abhāvastupratiyogino ghaṭasya anyabhāvena aviruddhaḥ sahāvasthānāt /	aBAvaH tu pratiyoginaH Gawasya anya BAvena avirudDaH saha avasTAnAt /
   tasmin prameye liṅgaliṅginoḥ kathaṃ virodhaḥ? tasmātsambandhābhāvaḥ /	tasmin prameye liFga liFginoH kaTam viroDaH? tasmAt sambanDa aBAvaH /
   atrāpi asamudāyasādhyatvaṃ tadavastham /	atra api asamudAya sADya tvam tad avasTam /
   (4.8) nanu anyabhāvatadabhāvayorasati sambandhe 'nyabhāvagatyāpi	(4.8) nanu anya BAva tad aBAvayoH asati sambanDe anya BAva gatyA api
   tadabhāvagatirna syāditi cet / na vai kutaścit	tad aBAva gatiH na syAt iti ced / na vE kutaScid 
   sambandhādanyabhāvastadabhāvagamaka iṣṭaḥ kintu anyabhāva eva tadabhāvo	sambanDAt anya BAvaH tad aBAva gamakaH izwaH kintu anya BAvaH eva tad aBAvaH 
   yathoktaṃ prāk / tasyānyāsaṃsṛṣṭarūpasya kevalasyaikātmavyasthitasya	yaTA uktam prAk / tasya anya asaMsRzwa rUpasya kevalasya eka AtmavyasTitasya
   tadātmanā pariccedasyaivānyavyavaccedatvāt tasya kaivalyamevāparasya	tad AtmanA pariccedasya eva anya vyavat ceda tvAt tasya kEvalyam eva aparasya
   vaikalyamiti tadanyabhāva eva tadabhāvaḥ / tataśca tatpratipattireva	vEkalyam iti tad anya BAvaH eva tad aBAvaH / tatas ca tad pratipattiH eva
   tadapratipattiḥ / anyathā tasya pariccedena tato 'nyasya avyavaccede	tad apratipattiH / anyaTA tasya pariccedena tatas anyasya avyavat cede
   tatparicceda eva na syāt / tadatadrūpayoravivekāt / ya eva vyavahāraḥ	tad pariccedaH eva na syAt / tad atad rUpayoH avivekAt / yaH eva vyavahAraH
   kasyacitkvaceddeśe darśanāt prāptiparihārārthaḥ sa na syāt / na	kasyacid kvaced deSe darSanAt prApti parihAra arTaH sa na syAt / na
   hyayamanalaṃ paśyatrapi kevalam analameva paśyatīti kathaṃ salilārthī	hi ayam analam paSyatR api kevalam analam eva paSyati iti kaTam salila arTI
   tatra na praverteta? anupalambhena salilābhāvaḥ pratīyata iti cet / ko	tatra na praverteta? anupalamBena salila aBAvaH pratIyate iti ced / kaH 
   'yamanupalambho nāma? yadi salilopalambhābhāvaḥ tadā kathamabhāvaḥ	ayam anupalamBaH nAma? yadi salila upalamBa aBAvaH tadA kaTam aBAvaH
   kasyacitpratipattiḥ pratipattiheturvā? tasyāpi kathaṃ pratipattiḥ? tasya	kasyacid pratipattiH pratipatti hetuH vA? tasya api kaTam pratipattiH? tasya
   tato vānyasya kasyacidapyapratipattāvapi yadyabhāvaḥ pratīyate tadā	tatas vA anyasya kasyacid api apratipattO= api yadi aBAvaH pratIyate tadA
   svāpamadamūrccāvyavadhānapṛṣṭhībhāvādyavasthāsvapi kiṃ na pratīyate?	svApa madam UrccA vyavaDAna pRzWIBAva Adi avasTAsu api kim na pratIyate?
   ityetacca vicāritaṃ pramāṇaviniścaye / tasmādayamanalaṃ paśyatrapi analo	iti etat ca vicAritam pramANa viniScaye / tasmAt ayam analam paSyatR api analaH 
   'yaṃ salilam iti nādhyavasyatīti na tiṣṭhetrāpi pratiṣṭheta / tataśca	ayam salilam iti na aDyavasyati iti na tizWetra api pratizWeta / tatas ca
   dustaraṃ vyasanaṃ pratipattuḥ syāt /	dustaram vyasanam pratipattuH syAt /
   (4.9) tata evaikasya darśanād anyābhāvagatiścet kathamekaṃ	(4.9) tatas eva ekasya darSanAt anya aBAva gatiH ced kaTam ekam
   dṛṣṭamanyatrāstīti pratyāyayati? tasyaiva kevalasya darśanād iti cet /	dRzwam anyatra asti iti pratyAyayati? tasya eva kevalasya darSanAt iti ced /
   idamevāsmābhiḥ prāgabhihitaṃ kasmāttavātra paruṣamivābhāti?	idam eva asmABiH prAk aBihitam kasmAt tava atra paruzam iva ABAti?
   tasmāttīrādarśineva śakuninā dūraparyaṭayāpi pratyāgantavyamityalam	tasmAt tIrA darSinA iva SakuninA dUra paryawayA api pratyAgantavyam iti alam
   avidyamānapratiṣṭhānayā diśaḥ pratipattyā /	avidyamAna pratizWA anayA diSaH pratipattyA /
   (4.10) yadyekapariccedādevānyavyavaccedaḥ sidhyati tadā sarvasyānyasya	(4.10) yadi eka pariccedAt evAni avyavat cedaH siDyati tadA sarvasya anyasya
   aviśeṣeṇa tatrābhāvasiddhirbhavet / na tu tulyayogyāvasthasyaiva /	aviSezeNa tatra aBAva sidDiH Bavet / na tu tulya yogya avasTasya eva /
   upalabdhilakṣaṇaprāptasyānupalabdhirabhāvasādhanīti ca viśeṣaṇaṃ na	upalabDi lakzaNa prAptasya anupalabDiH aBAva sADanI iti ca viSezaNam na
   vaktavyam, anupalabdhilakṣaṇaprāptānāmapi tatra vyavaccedāt /	vaktavyam, anupalabDi lakzaNa prAptAnAm api tatra vyavaccedAt /
   (4.11) ekātmapariccedāt tasya tadanyātmavyavaccedo bhavati	(4.11) eka Atma pariccedAt tasya tad anya Atma vyavat cedaH Bavati
   tadātmaniyatapratibhāsajñānāt na hi tadātmā tadanyasyātmā bhavati /	tad Atma niyata pratiBAsa jQAnAt na hi tad AtmA tad anyasya AtmA Bavati /
   anyātmāvyavaccede pravṛttinivṛttyoḥ abhāva iti pūrvaḥ prasaṅgaḥ / taṃ ca	anya Atma avyavat cede pravRtti nivRttyoH aBAvaH iti pUrvaH prasaFgaH / tam ca
   deśakālasvabhāvāvasthāniyataṃ tadātmanopalabhamānā buddhiḥ	deSa kAla svaBAva avasTA niyatam tad AtmanA upalaBa mAnA budDiH
   tathātvapracyutimasya vyavaccinati / evaṃ hi taddeśādiniyataḥ pariccitro	taTA tva pracyutim asya vyavaccinati / evam hi tad deSa Adi niyataH pariccitraH 
   bhavati, yadi anyathābhāvo vyavaccinno bhavatiḥ tathātvaṃ ca tasyaiva	Bavati, yadi anyaTA BAvaH vyavaccinnaH BavatiH taTA tvam ca tasya eva
   bhavati nānyasyeti anyathābhūtāttathābhūtaṃ vyavaccindatyeva tat	Bavati na anyasya iti anyaTA BUtAt taTABUtam vyavaccindati eva tat 
   pariccinati / evamekapramāṇavṛttiḥ sarvabhāvān dvairāśye vyavasthāpayati /	pariccinati / evam eka pramANa vRttiH sarva BAvAn dvErASye vyavasTApayati /
   tasyānvayavyatirekabuddhijanakatvenaiva sāphalyāt /	tasya anvaya vyatireka budDi janaka tvena eva sAPalyAt /
