   akāmataḥ kāmacāre Yj_2.162c	akAmatas kAmacAre Yt-_2.162c
   paṭhet svādhyāyam eva ca Yj_1.330d	paWet svADyAyam eva ca Yt-_1.330d
   paṇān ardhatrayodaśān Yj_2.204d	paNAn arDa-trayodaSAn Yd-_2.204d
   paṇān ekaśaphe dadyāc Yj_2.174a	paNAn ekaSaPe dadyAt Yt-_2.174a
   paṇān dāpyas tu ṣoḍaśa Yj_2.245d	paNAn dApyaH tu zoxaSa Yt-_2.245d
   paṇān dāpyaḥ pañca daśa Yj_2.223c	paNAn dApyaH paQca daSa Yt-_2.223c
   paṇe tu śatam ucyate Yj_2.248b	paNe tu Satam ucyate Yt-_2.248b
   paṇḍake trapu sīsakam Yj_3.273b	paNxake trapu sIsakam Yt-_3.273b
   paṇyasyopari saṃsthāpya Yj_2.253a	paNyasya-upari saMsTApya Yt-_2.253a
   paṇyānām avijānatā Yj_2.258b	paNyAnAm avijAnatA Yt-_2.258b
   paṇye doṣam upāgate Yj_2.256b	paNye dozam upAgate Yt-_2.256b
   paṇyeṣu prakṣipan hīnaṃ Yj_2.245c	paNyezu prakzipan hInam Yt-_2.245c
   patanīyakṛte kṣepe Yj_2.210a	patanIya-kRte kzepe Yt-_2.210a
   patanīyāni vikraye Yj_3.40b	patanIyAni vikraye Yt-_3.40b
   patitas tv anyathā bhavet Yj_1.69b	patitaH tu anyaTA Bavet Yt-_1.69b
   patitasya bahiḥ kuryuḥ Yj_3.294c	patitasya bahis kuryuH Yt-_3.294c
   patitānām eṣa eva Yj_3.296a	patitAnAm ezaH eva Yt-_3.296a
   patitāptārthasaṃbandhi- Yj_2.71a	patita-Apta-arTa-saMbanDi Yt-_2.71a
   patitebhyas tathā dviṣaḥ Yj_1.215d	patiteByaH taTA dvizaH Yt-_1.215d
   patipriyahite yuktā Yj_1.87a	pati-priya-hite yuktAH Yt-_1.87a
   patilokaṃ na sā yāti Yj_3.256a	pati-lokam na sA yAti Yt-_3.256a
   patiḥ putrās tu vārdhake Yj_1.85b	patiH putrAH tu vA-arDake Yt-_1.85b
   patnī duhitaraś caiva Yj_2.135a	patnI duhitaraH ca-eva Yt-_2.135a
   patnyaḥ kāryāḥ samāṃśikāḥ Yj_2.115b	patnyaH kAryAH sama-aMSikAH Yt-_2.115b
   patnyāṃ vaiśvānare 'pi vā Yj_1.49d	patnyAm vESvAnare api vE Yt-_1.49d
   patyā vā saha yat kṛtam Yj_2.49b	patyA vA saha yat kRtam Yt-_2.49b
   patraśākaṃ śikhī hatvā Yj_3.213c	patra-SAkam SiKI hatvA Yt-_3.213c
   pathi grāmavivītānte Yj_2.162a	paTi grAma-vivIta-ante Yt-_2.162a
   padaṃ vā yatra gacchati Yj_2.272b	padam vA yatra gacCati Yt-_2.272b
   padāni kratutulyāni Yj_1.325a	padAni kratu-tulyAni Yt-_1.325a
   padā spṛṣṭaṃ ca kāmataḥ Yj_1.168d	padA spRzwam ca kAmataH Yt-_1.168d
   paddhastahṛdayāni ca Yj_3.99b	pad-hasta-hRdayAni ca Yt-_3.99b
   panthā deyo nṛpas teṣāṃ Yj_1.117c	panTAH deyaH nRpaH tezAm Yt-_1.117c
   panthānaś ca viśudhyanti Yj_1.194c	panTAnaH ca viSuDyanti Yt-_1.194c
   payasām agnisaṃnibham Yj_3.253b	payasAm agni-saMniBam Yt-_3.253b
   payasā vāpi māsena Yj_3.265c	payasA vA-api mAsena Yt-_3.265c
   parakāyapraveśanam Yj_3.202d	para-kAya-praveSanam Yt-_3.202d
   paradāropasevakaḥ Yj_3.136b	para-dAra-upasevakaH Yt-_3.136b
   paradravyagṛhāṇāṃ ca Yj_2.268a	para-dravya-gRhANAm ca Yt-_2.268a
   paradravyāṇy abhidhyāyaṃs Yj_3.134a	para-dravyANi aBiDyAyan Yt-_3.134a
   parapākarucir na syād Yj_1.112a	para-pAka-ruciH na syAt Yt-_1.112a
   parapuṃsi ratāḥ pṛthak Yj_2.280d	parapuMsi ratAH pRTak Yt-_2.280d
   parapūrvāpatiḥ stenaḥ Yj_1.224c	parapUrvA-patiH stenaH Yt-_1.224c
   parabhūmiṃ haran kūpaḥ Yj_2.156c	para-BUmim haran kUpaH Yt-_2.156c
   pararatnāpahārakaḥ Yj_3.213b	para-ratna-apahArakaH Yt-_3.213b
   pararāṣṭraṃ tadā vrajet Yj_1.348b	para-rAzwram tadA vrajet Yt-_1.348b
   pararāṣṭraṃ vaśaṃ nayan Yj_1.342d	para-rAzwram vaSam nayan Yt-_1.342d
   paraśayyāsanodyāna- Yj_1.160a	para-SayyA-Asana-udyAna Yt-_1.160a
   paraś ca hīna ātmā ca Yj_1.348c	paraH ca hInaH AtmA ca Yt-_1.348c
   parastrīṣūttameṣu ca Yj_2.206b	para-strIzu-uttamezu ca Yt-_2.206b
   parasparaṃ tu sarveṣāṃ Yj_2.216c	parasparam tu sarvezAm Yt-_2.216c
   parasya yoṣitaṃ hṛtvā Yj_3.212a	parasya yozitam hRtvA Yt-_3.212a
   parahastād avāpnuyāt Yj_2.172b	para-hastAt avApnuyAt Yt-_2.172b
   paraṃ brahmādhigacchati Yj_3.112d	param brahma-aDigacCati Yt-_3.112d
   parākaḥ parikīrtitaḥ Yj_3.320d	parAkaH parikIrtitaH Yt-_3.320d
   parākeṇātha vā punaḥ Yj_3.265d	parAkeNa-aTa vA punar Yt-_3.265d
   parānnaparipuṣṭatā Yj_3.241d	para-anna-paripuzwa-tA Yt-_3.241d
   parāśaravyāsaśaṅkha- Yj_1.5a	parASara-vyAsa-SaFKa Yt-_1.5a
   parāṃ siddhim avāpnuyāt Yj_3.204d	parAm sidDim avApnuyAt Yt-_3.204d
   paricaryā surārcanam Yj_1.209b	paricaryA sura-arcanam Yt-_1.209b
   parijñānāya pārthivaḥ Yj_1.318d	parijQAnAya pArTivaH Yt-_1.318d
   paribhūtām adhaḥśayyāṃ Yj_1.70c	pariBUtAm aDas-SayyAm Yt-_1.70c
   parivādādi varjayet Yj_1.33d	parivAda-Adi varjayet Yt-_1.33d
   parivindakayājanam Yj_3.238b	parivindaka-yAjanam Yt-_3.238b
   pariśuṣyatskhaladvākyo Yj_2.14a	pariSuzyat-sKalat-vAkyaH Yj_2.14a
   pariśodhyobhayavyayam Yj_2.146d	pariSoDya-uBaya-vyayam Yt-_2.146d
   paristṛte śucau deśe Yj_1.227c	paristRte SucO deSe Yt-_1.227c
   pareṇa bhujyamānāyā Yj_2.24c	pareNa BujyamAnAyAH Yt-_2.24c
   pareṣāṃ na tad ācaret Yj_3.65d	parezAm na tat Acaret Yt-_3.65d
   pareṣāṃ snānasaṃyamān Yj_3.14d	parezAm snAna-saMyamAn Yt-_3.14d
   parṇakṛcchra udāhṛtaḥ Yj_3.316d	parNakRcCraH udAhRtaH Yt-_3.316d
   parṇodumbararājīva- Yj_3.316a	parNa-udumbara-rAjIva Yt-_3.316a
   paryāyānnaṃ ca varjayet Yj_1.168b	paryAya-annam ca varjayet Yt-_1.168b
   parṣat traividyam eva vā Yj_1.9b	parzad trEvidyam eva vA Yt-_1.9b
   parṣado 'numataṃ vratam Yj_3.300b	parzadaH anumatam vratam Yt-_3.300b
   palalaudanam eva ca Yj_1.287b	palala-odanam eva ca Yt-_1.287b
   palaṃ suvarṇāś catvāraḥ Yj_1.364a	palam suvarNAH catvAraH Yt-_1.364a
   palāṇḍuṃ viḍvarāhaṃ ca Yj_1.176a	palANxum vixvarAham ca Yt-_1.176a
   pavitrapāṇir ācāntān Yj_1.226c	pavitra-pANiH AcAntAn Yd-_1.226c
   pavitrāṇi japet piṇḍān Yj_3.325c	pavitrANi japet piNxAn Yt-_3.325c
   paśugandhāṃs tathaiva ca Yj_3.38d	paSu-ganDAn taTA-eva ca Yt-_3.38d
   paśumaṇḍūkanakula- Yj_1.147a	paSu-maNxUka-nakula Yt-_1.147a
   paśuḥ pratyayanaṃ tathā Yj_1.125b	paSuH pratyayanam taTA Yt-_1.125b
   paśūn gacchan śataṃ dāpyo Yj_2.289c	paSUn gacCan Satam dApyaH Yt-_2.289c
   paśūn vai satsutān api Yj_1.262b	paSUn vE sat-sutAn api Yt-_1.262b
   paścāc caivāpasaratā Yj_2.299c	paScAt ca-eva-apasaratA Yt-_2.299c
   paścāt tāpo nirāhāraḥ Yj_3.31c	paScAt tApaH nirAhAraH Yt-_3.31c
   paśyato 'bruvato bhūmer Yj_2.24a	paSyataH abruvataH BUmeH Yt-_2.24a
   paśyec cārāṃs tato dūtān Yj_1.328c	paSyet cArAn tatas dUtAn Yt-_1.328c
   paśyec cec chuddhim āpnuyāt Yj_2.109d	paSyet ced SudDim ApnuyAt Yt-_2.109d
   paśyed āyavyayau svayam Yj_1.327b	paSyet Aya-vyayO svayam Yt-_1.327b
   pākhaṇḍyanāśritāḥ stenā Yj_3.6a	pAKaNxi-anASritAH stenAH Yt-_3.6a
   pāṇinā yajñakarmaṇi Yj_1.185d	pANinA yajQa-karmaNi Yt-_1.185d
   pāṇipādaśalākāś ca Yj_3.85c	pANi-pAda-SalAkAH ca Yt-_3.85c
   pāṇipūrānnabhojanaḥ Yj_3.319d	pANi-pUra-anna-BojanaH Yj_3.319d
   pāṇiprakṣālanaṃ dattvā Yj_1.229a	pANi-prakzAlanam dattvA Yt-_1.229a
   pāṇir grāhyaḥ savarṇāsu Yj_1.62a	pANiH grAhyaH savarNAsu Yd-_1.62a
   pātanaṃ bhartṛhiṃsanam Yj_3.297b	pAtanam BartR-hiMsanam Yt-_3.297b
   pātane cottamo damaḥ Yj_2.277b	pAtane ca-uttamaH damaH Yt-_2.277b
   pātrāṇāṃ camasānāṃ ca Yj_1.183a	pAtrANAm camasAnAm ca Yt-_1.183a
   pātrāṇy uṣṇena vāriṇā Yj_1.183d	pAtrANi uzNena vAriNA Yt-_1.183d
   pātre kṛtvā vidhānataḥ Yj_1.235b	pAtre kRtvA viDAnataH Yt-_1.235b
   pātre dātavyam arcitam Yj_1.201b	pAtre dAtavyam arcitam Yt-_1.201b
   pātre dhanaṃ vā paryāptaṃ Yj_3.250a	pAtre Danam vA paryAptam Yt-_3.250a
   pātre pradīyate yat tat Yj_1.6c	pAtre pradIyate yat tat Yt-_1.6c
   pādakṛcchraḥ prakīrtitaḥ Yj_3.318d	pAdakRcCraH prakIrtitaH Yt-_3.318d
   pādakeśāṃśukakarol- Yj_2.217a	pAda-keSa-aMSuka-karol Yt-_2.217a
   pādaśaucaṃ dvijocchiṣṭa- Yj_1.209c	pAda-SOcam dvija-ucCizwa Yt-_1.209c
   pādaṃ pādam ajāvike Yj_2.174d	pAdam pAdam ajAvike Yt-_2.174d
   pādādhyāse śataṃ damaḥ Yj_2.217d	pAda-aDyAse Satam damaH Yt-_2.217d
   pādāmbhāṃsi samutsṛjet Yj_1.154b	pAda-amBAMsi samutsRjet Yt-_1.154b
   pādau pratāpayen nāgnau Yj_1.137c	pAdO pratApayet na-agnO Yj_1.137c
   pāpayoniṣu jāyate Yj_3.129b	pApa-yonizu jAyate Yt-_3.129b
   pāpaṃ cāvekṣya yatnataḥ Yj_3.293b	pApam ca-avekzya yatnatas Yt-_3.293b
   pāpeṣu niratā narāḥ Yj_3.221b	pApezu niratAH narAH Yt-_3.221b
   pāyasāpūpaśaṣkulīḥ Yj_1.173d	pAyasa-apUpa-SazkulIH Yt-_1.173d
   pāyasena tu vatsaram Yj_1.258b	pAyasena tu vatsaram Yt-_1.258b
   pāyo dadhi ca madyaṃ ca Yj_3.40c	pAyaH daDi ca madyam ca Yt-_3.40c
   pāradārikacauraṃ vā Yj_2.295c	pAradArika-cOram vA Yt-_2.295c
   pāradāryaṃ pārivittyaṃ Yj_3.235c	pAradAryam pArivittyam Yt-_3.235c
   pārśvakāḥ sthālakaiḥ sārdham Yj_3.89c	pArSvakAH sTAlakEH sArDam Yt-_3.89c
   pāladoṣavināśe tu pāle Yj_2.165a	pAla-doza-vinASe tu pAle Yt-_2.165a
   pālitaṃ vardhayen nītyā Yj_1.317c	pAlitam varDayet nItyA Yt-_1.317c
   pālo yeṣāṃ na te mocyā Yj_2.163c	pAlaH yezAm na te mocyAH Yt-_2.163c
   pāvakaḥ sarvamedhyatvaṃ Yj_1.71c	pAvakaH sarva-meDya-tvam Yt-_1.71c
   pāvamānyaḥ punantu te Yj_1.281d	pAvamAnyaH punantu te Yt-_1.281d
   pāvayitvā nyaset pathi Yj_3.35d	pAvayitvA nyaset paTi Yt-_3.35d
   pāśupālyaṃ viśaḥ smṛtam Yj_1.119d	pASupAlyam viSaH smRtam Yt-_1.119d
   pāṃsupravarṣe digdāhe Yj_1.150a	pAMsu-pravarze digdAhe Yt-_1.150a
   piṇḍadātā ca dharmataḥ Yj_2.127d	piNxa-dAtA ca DarmataH Yt-_2.127d
   piṇḍado 'ṃśaharaś caiṣāṃ Yj_2.132c	piNxa-daH aMSa-haraH ca-ezAm Yt-_2.132c
   piṇḍamātropajīvinām Yj_1.70b	piNxa-mAtra-upajIvinAm Yt-_1.70b
   piṇḍayajñāvṛtā deyaṃ Yj_3.16c	piNxa-yajQa-AvRtA deyam Yt-_3.16c
   piṇḍaṃ cāndrāyaṇaṃ caran Yj_3.323d	piNxam cAndrAyaNam caran Yt-_3.323d
   piṇḍāt taptāt sphuliṅgakāḥ Yj_3.67b	piNxAt taptAt sPuliFgakAH Yt-_3.67b
   piṇḍāṃs tu go'javiprebhyo Yj_1.257a	piNxAn tu go-aja-vipreByaH Yt-_1.257a
   piṇyākaṃ vā kaṇān vāpi Yj_3.254c	piNyAkam vA kaNAn vA-api Yt-_3.254c
   piṇyākācāmatakrāmbu- Yj_3.321a	piNyAka-AcAma-takra-ambu Yt-_3.321a
   pitaraḥ śrāddhadevatāḥ Yj_1.269b	pitaraH SrAdDa-devatAH Yt-_1.269b
   pitari proṣite prete Yj_2.50a	pitari prozite prete Yt-_2.50a
   pitarau bhrātaras tathā Yj_2.135b	pitarO BrAtaraH taTA Yt-_2.135b
   pitā pitāmaho bhrātā Yj_1.63a	pitA pitAmahaH BrAtA Yj_1.63a
   pitāputravirodhe tu Yj_2.239a	pitAputra-viroDe tu Yt-_2.239a
   pitur ūrdhvaṃ vibhajatāṃ Yj_2.123c	pituH UrDvam viBajatAm Yt-_2.123c
   pituḥ putrasya caiva hi Yj_2.52b	pituH putrasya ca-eva hi Yt-_2.52b
   pituḥ putrasya caiva hi Yj_2.121d	pituH putrasya ca-eva hi Yt-_2.121d
   pituḥ svasāraṃ mātuś ca Yj_3.232a	pituH svasAram mAtuH ca Yt-_3.232a
   pitṛto bhāgakalpanā Yj_2.120d	pitRtaH BAga-kalpanA Yt-_2.120d
   pitṛdravyāvirodhena Yj_2.118a	pitR-dravya-aviroDena Yt-_2.118a
   pitṛnāmakapūrvakam Yj_2.87b	pitR-nAmaka-pUrvakam Yt-_2.87b
   pitṛnāmādicihnitam Yj_2.85d	pitR-nAma-Adi-cihnitam Yt-_2.85d
   pitṛpātraṃ taduttānaṃ Yj_1.248c	pitRpAtram tat-uttAnam Yt-_1.248c
   pitṛputrasvasṛbhātṛ- Yj_2.237a	pitR-putra-svasR-BAtR Yt-_2.237a
   pitṛpūrvaṃ visarjanam Yj_1.247d	pitR-pUrvam visarjanam Yt-_1.247d
   pitṛbhyaḥ sthānam asīti Yj_1.235c	pitRByaH sTAnam asi-iti Yt-_1.235c
   pitṛbhyāṃ yasya tad dattaṃ Yj_2.123a	pitRByAm yasya tat dattam Yt-_2.123a
   pitṛmātṛpatibhrātṛ- Yj_2.143a	pitR-mAtR-pati-BrAtR Yt-_2.143a
   pitṛmātṛparāś caiva Yj_1.221c	pitR-mAtR-parAH ca-eva Yt-_1.221c
   pitṛmātṛsutatyāgas Yj_3.237c	pitR-mAtR-suta-tyAgaH Yt-_3.237c
   pitṛmātṛsutabhrātṛ- Yj_1.86a	pitR-mAtR-suta-BrAtR Yt-_1.86a
   pitṛyāno 'javīthyāś ca Yj_3.184a	pitR-yAnaH ajavITyAH ca Yt-_3.184a
   pitṛlokaṃ candramasaṃ Yj_3.196a	pitR-lokam candramasam Yt-_3.196a
   pitṝṇām apradakṣiṇam Yj_1.232d	pitLNAm apradakziNam Yt-_1.232d
   pitṝṇāṃ tasya tṛptiḥ syād Yj_3.331c	pitLNAm tasya tRptiH syAt Yt-_3.331c
   pitṝṇāṃ madhusarpiṣā Yj_1.43d	pitLNAm maDu-sarpizA Yt-_1.43d
   pitṝṇāṃ madhusarpiṣā Yj_1.46d	pitLNAm maDu-sarpizA Yt-_1.46d
   pitṝn devātithīn api Yj_3.46b	pitLn deva-atiTIn api Yt-_3.46b
   pitṝn madhughṛtābhyāṃ ca Yj_1.41c	pitLn maDu-GRtAByAm ca Yt-_1.41c
   pitṝn śrāddhena tarpitāḥ Yj_1.269d	pitLn SrAdDena tarpitAH Yt-_1.269d
   pitṝṃś ca madhusarpirbhyām Yj_1.44c	pitLn ca maDu-sarpirByAm Yt-_1.44c
   pittāt tu darśanaṃ paktim Yj_3.77a	pittAt tu darSanam paktim Yt-_3.77a
   pitros tu sūtakaṃ mātus Yj_3.19a	pitroH tu sUtakam mAtuH Yt-_3.19a
   pitrye 'yugmāṃs tathaiva ca Yj_1.227b	pitrye ayugmAn taTA-eva ca Yt-_1.227b
   piśunaḥ paruṣas tathā Yj_3.135b	piSunaH paruzaH taTA Yt-_3.135b
   piśunaḥ pūtināsikaḥ Yj_3.211b	piSunaH pUti-nAsikaH Yt-_3.211b
   piśunānṛtinoś caiva Yj_1.165a	piSuna-anRtinoH ca-eva Yt-_1.165a
   pīḍākarṣāṃśukāveṣṭa- Yj_2.217c	pIxA-karza-aMSuka-Avezwa Yt-_2.217c
   pīḍyamānāḥ prajā rakṣet Yj_1.336c	pIxyamAnAH prajAH rakzet Yt-_1.336c
   puṇyasthāne surālaye Yj_2.228b	puNya-sTAne surAlaye Yt-_2.228b
   puṇyāt ṣaḍbhāgam ādatte Yj_1.335a	puNyAt zaz-BAgam Adatte Yt-_1.335a
   puṇye 'hni vidhipūrvakam Yj_1.277b	puNye ahni viDi-pUrvakam Yt-_1.277b
   putrapautraprapautrakaiḥ Yj_1.78b	putra-pOtra-prapOtrakEH Yt-_1.78b
   putrapautrair ṛṇaṃ deyaṃ Yj_2.50c	putra-pOtrEH RNam deyam Yt-_2.50c
   putravanto dhanānvitāḥ Yj_2.68d	putravantaH Dana-anvitAH Yt-_2.68d
   putravān annado 'gnimān Yj_3.57b	putravAn anna-daH agnimAn Yt-_3.57b
   putrahīnasya rikthinaḥ Yj_2.51d	putra-hInasya rikTinaH Yt-_2.51d
   putraṃ śiṣyaṃ ca tāḍayet Yj_1.155d	putram Sizyam ca tAxayet Yt-_1.155d
   putraṃ śraiṣṭhyaṃ ca saubhāgyaṃ Yj_1.265c	putram SrEzWyam ca sOBAgyam Yt-_1.265c
   putrān dehi dhanaṃ dehi Yj_1.291c	putrAn dehi Danam dehi Yt-_1.291c
   putrāḥ saṃtānavardhanāḥ Yj_1.90d	putrAH saMtAna-varDanAH Yt-_1.90d
   putro dadyān na paitṛkam Yj_2.47d	putraH dadyAt na pEtRkam Yt-_2.47d
   putro 'nanyāśritadravyaḥ Yj_2.51c	putraH ananyASrita-dravyaH Yt-_2.51c
   punar annaṃ punaḥ kratuḥ Yj_3.124b	punar annam punar kratuH Yt-_3.124b
   punar ājāyate na tu Yj_3.109d	punar AjAyate na tu Yt-_3.109d
   punarāvartino bīja- Yj_3.186c	punarAvartinaH bIja Yt-_3.186c
   punar eva vrajanti ca Yj_3.196d	punar eva vrajanti ca Yt-_3.196d
   punar dhātrīṃ punar gharmam Yj_3.82a	punar DAtrIm punar Garmam Yt-_3.82a
   punarbhūḥ saṃskṛtā punaḥ Yj_1.67b	punarBUH saMskRtA punar Yt-_1.67b
   punaḥpākān mahīmayam Yj_1.187b	punaHpAkAt mahI-mayam Yt-_1.187b
   punaḥ saṃśrutya saṃśrutām Yj_3.150b	punar saMSrutya saMSrutAm Yt-_3.150b
   punaḥ saṃskāram arhanti Yj_3.255c	punar saMskAram arhanti Yt-_3.255c
   punāty uttarajaś ca ṣaṭ Yj_1.59d	punAti uttara-jaH ca zaw Yt-_1.59d
   pumān apy evam eva hi Yj_2.292d	pumAn api evam eva hi Yt-_2.292d
   pumān saṃgrahaṇe grāhyaḥ Yj_2.283a	pumAn saMgrahaNe grAhyaH Yt-_2.283a
   purāṇanyāyamīmāṃsā- Yj_1.3a	purANa-nyAya-mImAMsA Yt-_1.3a
   purā devair vinirmitā Yj_2.101b	purA devEH vinirmitA Yt-_2.101b
   purīṣādhānam eva ca Yj_3.94d	purIza-ADAnam eva ca Yt-_3.94d
   puruṣaghnīm agarbhiṇīm Yj_2.278b	puruza-GnIm agarBiNIm Yt-_2.278b
   puruṣadveṣiṇī tathā Yj_1.73d	puruza-dveziNI taTA Yt-_1.73d
   puruṣastrīpramāpaṇe Yj_2.277d	puruza-strI-pramApaNe Yt-_2.277d
   puruṣasyāsthisaṃgrahaḥ Yj_3.90d	puruzasya-asTi-saMgrahaH Yt-_3.90d
   puruṣaṃ vābhimehataḥ Yj_2.293b	puruzam vA-aBimehataH Yt-_2.293b
   puruṣān ekaviṃśatim Yj_1.58d	puruzAn ekaviMSatim Yt-_1.58d
   puruṣeṣūttamaṃ damam Yj_2.242d	puruzezu-uttamam damam Yt-_2.242d
   puruṣais tribhir eva tu Yj_2.90b	puruzEH triBiH eva tu Yt-_2.90b
   puruṣo dṛśyate hi yaḥ Yj_3.119b	puruzaH dRSyate hi yaH Yt-_3.119b
   puruṣo 'nṛtavādī ca Yj_3.135a	puruzaH anRta-vAdI ca Yt-_3.135a
   purohitaṃ prakurvīta Yj_1.313a	purohitam prakurvIta Yt-_1.313a
   puṣpaṃ citraṃ sugandhaṃ ca Yj_1.288a	puzpam citram suganDam ca Yt-_1.288a
   puṃścalīmattavidviṣām Yj_1.162b	puMScalI-matta-vidvizAm Yt-_1.162b
   puṃścalīvānarakharair Yj_3.277a	puMScalI-vAnara-KarEH Yt-_3.277a
   puṃstvasya pratighātakṛt Yj_2.236b	puMstvasya pratiGAta-kRt Yt-_2.236b
   pūjayitvā mahīpatiḥ Yj_2.189d	pUjayitvA mahIpatiH Yt-_2.189d
   pūjitāḥ pūjayiṣyatha Yj_1.307d	pUjitAH pUjayizyaTa Yt-_1.307d
   pūtivaktras tu sūcakaḥ Yj_3.211d	pUti-vaktraH tu sUcakaH Yt-_3.211d
   pūrṇe dattvodakaṃ śuciḥ Yj_3.21d	pUrNe dattvA-udakam SuciH Yt-_3.21d
   pūrvakarmāparādhī ca Yj_2.266c	pUrva-karma-aparADI ca Yt-_2.266c
   pūrvakretary agṛhṇati Yj_2.255b	pUrva-kretari agRhNati Yt-_2.255b
   pūrvapakṣe 'dharībhūte Yj_2.17c	pUrva-pakze aDarIBUte Yt-_2.17c
   pūrvavac cādharottaram Yj_1.96d	pUrvavat ca-aDara-uttaram Yt-_1.96d
   pūrvavṛttiṃ ca pālayet Yj_2.192d	pUrva-vRttim ca pAlayet Yt-_2.192d
   pūrvasmṛtād ardhadaṇḍaḥ Yj_2.229c	pUrva-smRtAt arDa-daNxaH Yt-_2.229c
   pūrvaṃ jñānaṃ kathaṃ ca na Yj_3.130b	pUrvam jQAnam kaTam ca na Yt-_3.130b
   pūrvaṃ pūrvaṃ guru jñeyaṃ Yj_2.30c	pUrvam pUrvam guru jQeyam Yt-_2.30c
   pūrvā tu balavattarā Yj_2.23d	pUrvA tu balavattarA Yt-_2.23d
   pūrvād ete yathākramam Yj_1.141d	pUrvAt ete yaTAkramam Yt-_1.141d
   pūrvābhāve paraḥ paraḥ Yj_2.132d	pUrva-aBAve paraH paraH Yt-_2.132d
   pūrvāvedakasaṃnidhau Yj_2.7b	pUrvAvedaka-saMniDO Yt-_2.7b
   pūrveṇa vidhinā dadat Yj_1.206d	pUrveNa viDinA dadat Yt-_1.206d
   pūrveṣāṃ janmakāraṇāt Yj_3.19d	pUrvezAm janma-kAraNAt Yt-_3.19d
   pūrvoktaṃ daṇḍam arhati Yj_2.161d	pUrva-uktam daNxam arhati Yt-_2.161d
   pṛcchakā gūḍhacāriṇaḥ Yj_2.268b	pRcCakAH gUXa-cAriNaH Yt-_2.268b
   pṛcchaty annaṃ ghṛtaplutam Yj_1.236b	pRcCati annam GRta-plutam Yt-_1.236b
   pṛcched vāpi janaṃ śanaiḥ Yj_2.281d	pRcCet vA-api janam SanEs Yt-_2.281d
   pṛthak pṛthag daṇḍanīyāḥ Yj_2.81a	pRTak pRTak daNxanIyAH Yt-_2.81a
   pṛthaksāntapanadravyaiḥ Yj_3.315a	pRTak-sAntapana-dravyEH Yj_3.315a
   pṛthag ebhiḥ payasvinī Yj_3.304d	pRTak eBiH payasvinI Yt-_3.304d
   pṛthivī pādatas tasya Yj_3.127a	pRTivI pAdataH tasya Yt-_3.127a
   pṛthivyādīni caiva hi Yj_3.177d	pRTivI-AdIni ca-eva hi Yt-_3.177d
   paiśācaḥ kanyakāchalāt Yj_1.61d	pESAcaH kanyakA-CalAt Yt-_1.61d
   pauruṣaṃ paurvadehikam Yj_1.349d	pOruzam pOrvadehikam Yt-_1.349d
   pauṣamāsasya rohiṇyām Yj_1.143a	pOza-mAsasya rohiNyAm Yd-_1.143a
   prakāśaṃ dhanino dhanam Yj_2.56b	prakASam DaninaH Danam Yt-_2.56b
   prakuryād āyakarmānta- Yj_1.322c	prakuryAt Aya-karmAnta Yt-_1.322c
   prakṛtisthaṃ mahīgatam Yj_1.192b	prakRti-sTam mahI-gatam Yt-_1.192b
   prakṛtisthaḥ paraḥ paraḥ Yj_1.63d	prakRti-sTaH paraH paraH Yt-_1.63d
   prakṛtebhyaḥ svadhocyatām Yj_1.244d	prakRteByaH svaDA-ucyatAm Yt-_1.244d
   prakrānte saptamaṃ bhāgaṃ Yj_2.198a	prakrAnte saptamam BAgam Yt-_2.198a
   prakṣipet satsu vipreṣu Yj_1.257c	prakzipet satsu viprezu Yt-_1.257c
   prakṣeptavyaṃ viśuddhaye Yj_1.189d	prakzeptavyam viSudDaye Yj_1.189d
   prajānāṃ paripālanam Yj_1.119b	prajAnAm paripAlanam Yt-_1.119b
   prajānāṃ paripālanam Yj_1.335d	prajAnAm paripAlanam Yt-_1.335d
   prajāpatipitṛbrahma- Yj_1.19c	prajApati-pitR-brahma Yt-_1.19c
   prajāpīḍanasaṃtāpāt Yj_1.341a	prajA-pIxana-saMtApAt Yt-_1.341a
   prajābhyaś cābhayaṃ sadā Yj_1.323d	prajAByaH ca-aBayam sadA Yt-_1.323d
   prajāsu ca yathā pitā Yj_1.334d	prajAsu ca yaTA pitA Yt-_1.334d
   praṇipatya visarjayet Yj_1.247b	praNipatya visarjayet Yt-_1.247b
   pratānauṣadhivīrudhām Yj_2.229b	pratAna-ozaDi-vIruDAm Yt-_2.229b
   pratikūlaṃ guroḥ kṛtvā Yj_3.283a	pratikUlam guroH kRtvA Yt-_3.283a
   pratikūlās tathaiva ca Yj_2.142d	pratikUlAH taTA-eva ca Yt-_2.142d
   pratigṛhya tad ākhyeyam Yj_3.43c	pratigRhya tat AKyeyam Yt-_3.43c
   pratigrahaparīmāṇaṃ Yj_1.320a	pratigraha-parImANam Yt-_1.320a
   pratigrahasamartho 'pi Yj_1.213a	pratigraha-samarTaH api Yt-_1.213a
   pratigrahaḥ prakāśaḥ syāt Yj_2.176a	pratigrahaH prakASaH syAt Yt-_2.176a
   pratigrahe sūnicakri- Yj_1.141a	pratigrahe sUni-cakri Yt-_1.141a
   pratigraho 'dhiko vipre Yj_1.118c	pratigrahaH aDikaH vipre Yt-_1.118c
   pratijñātārthasādhanam Yj_2.7d	pratijQAta-arTa-sADanam Yt-_2.7d
