   Bhss_1.1:	BhsH-_1.1:
   Bhss_2.160:	BhsH-_2.160:
   gandhānubandhi-vimalāmalakī-kaṣāyaiḥ	ganDa-anubanDi--vimalA-malakI--kazAyEH
   keśān vighṛṣya katamā vividhair upāyaiḥ	keSAn viGRzya katamA viviDEH upAyEH
   bhṛṅgāra-nāla-galitair lalitaiḥ kabandhair	BRFga-Ara--nAla--galitEH lalitEH kabanDEH-
   ukṣāṃ cakāra sahaja-praṇayānubandhaiḥ	ukzAm cakAra sahaja--praNaya-anubanDEH
   (Kṛṣṇāhnika-kaumudī 2.59)	(KRzNA-Ahnika-kOmudI 2.59)
   Bhss_2.161:	BhsH-_2.161:
   kālocitena ghanasāra-suvāsitena	kAla-ucitena GanasAra--su-vAsitena
   nānā-maṇīśvara-ghaṭī-ghaṭayā bhṛtena	nAnA-a-maNi-ISvara-GawI--GawayA BRtena
   dvābhyāṃ śanair ubhayataḥ pratipāditena	dvAByAm SanEs uBayatas pratipAditena
   dve pārśvayoḥ siṣicatuḥ sumukhīṃ jalena	dve pArSvayoH sizicatuH su-muKIm jalena
   (Kṛṣṇāhnika-kaumudī 2.60)	(KRzNA-Ahnika-kOmudI 2.60)
   Bhss_2.162:	BhsH-_2.162:
   saṃveṣṭya cāru-cikurān sicayena bāḍhaṃ	saMvezwya cAru-cikurAn sicayena bAXam
   niṣpīḍya bhūri galad-ambu nigālya gāḍham	nizpIxya BUri galat--ambu nigAlya gAXam
   bhūyaḥ prasārya calad-aṅgulibhir vikīrya	BUyas prasArya calat--aFguliBiH vikIrya
   bhūyo babandha katamā sicayaṃ vitīrya	BUyas babanDa katamA sicayam vitIrya
   (Kṛṣṇāhnika-kaumudī 2.61)	(KRzNA-Ahnika-kOmudI 2.61)
   Bhss_2.163:	BhsH-_2.163:
   kācin mukhendum aparā gala-mūlam anyā	kAcid muKa-indum aparA gala--mUlam anyA
   karṇau mamārja mṛdunā vasanena dhanyā	karNO mama-Arja mRdunA vasanena DanyA
   vakṣo visāri katamā katamā ca pṛṣṭhaṃ	vakzaH visAri katamA katamA ca pRzWam
   bāhu-dvayaṃ ca katamā suṣamā-variṣṭham	bAhu--dvayam ca katamA suzamA--varizWam
   (Kṛṣṇāhnika-kaumudī 2.62)	(KRzNA-Ahnika-kOmudI 2.62)
   Bhss_2.164:	BhsH-_2.164:
   saṃveṣṭya śuṣka-vasanena nirāsanīyaṃ	saMvezwya Suzka--vasanena nirAsanIyam
   śroṇyā jahāra vigalaj-jalam antarīyam	SroNyA jahAra vigala-j-jalam antarIyam
   āmṛjya pāṇi-yugalena śanair udāram	AmRjya pANi--yugalena SanEs udAram
   arddhorukaṃ kaṭi-taṭe ghaṭayāṃ cakāra	ardDa-urukam kawi-tawe GawayAm cakAra
   (Kṛṣṇāhnika-kaumudī 2.63)	(KRzNA-Ahnika-kOmudI 2.63)
   Bhss_2.165:	BhsH-_2.165:
   āmṛṣṭayor vara-payodharayor alolaṃ	AmRzwayoH vara-payoDarayoH alolam
   kācit kalāsu kuśalātha babandha colam	kAcid kalAsu kuSala-aTa babanDa colam
   pa āṃśukena racitaṃ sva-sakhī-janena	paH AMSukena racitam sva-saKI-janena
   nānā-vidhātiśaya-śilpa-viśāradena	nAnA-viDAti-Saya--Silpa--viSAradena
   (Kṛṣṇāhnika-kaumudī 2.64)	(KRzNA-Ahnika-kOmudI 2.64)
   Bhss_2.166:	BhsH-_2.166:
   tasyopari pratanu śoṇataraṃ suvīci-	tasya-upari pratanu SoNataram su-vIci-
   caṇḍātakād udayad uccala-sanmarīci	caNxAtakAt udayat uccala--sat-marIci
   śrī-pāda-padma-nakha-candra-cayāgra-cumbi	SrI--pAda--padma--naKa---candra--caya-agra--cumbi
   celaṃ babandha tapanīya-guṇānubandhi	celam babanDa tapanIya--guNa-anubanDi
   (Kṛṣṇāhnika-kaumudī 2.65)	(KRzNA-Ahnika-kOmudI 2.65)
   Bhss_2.167:	BhsH-_2.167:
   lamba-pralamba-yugalena supaṭṭa-dāmnā	lamba--pralamba--yugalena su-pawwa-dAmnA
   muktā-maṇīndra-mahasā vilasad-garimṇā	muktA-a-maNI-indra--mahasA vilasat--garimNA
   ākuñcana-krama-vaśāt kamalānukārāṃ	AkuQcana-krama--vaSAt kamala-anukArAm
   jagrantha nīvim abhinābhi suśilpa-sārām	jagranTa nIvim aBinABi su-Silpa--sArAm
   (Kṛṣṇāhnika-kaumudī 2.66)	(KRzNA-Ahnika-kOmudI 2.66)
   Bhss_2.168:	BhsH-_2.168:
   kanaka-bindumatī nava-śā ikā	kanaka-bindumatI nava-SA ikA
   ghana-rucis tad-upary atididyute	Gana-ruciH tad--upari ati-didyute
   yad-abhiveṣṭanam eva mukunda-dṛṅ	yat--aBivezwanam eva mukunda-dRS-
   niranurodhana-rodhanam ucyate	niranuroDana-roDanam ucyate
   (Kṛṣṇa-bhāvanāmṛtam 4.35)	(KRzNa--BAvanA-amRtam 4.35)
   Bhss_2.169:	BhsH-_2.169:
   ārohya tām atha mahāmaṇi-pīṭha-pṛṣṭhe	Arohya tAm aTa mahA-maNi--pIWa--pRzWe
   vistāritātimṛdu-cela-kṛta-pratiṣṭhe	vistArita-ati-mRdu--cela-kRta--pratizWe
   prakṣālya pāda-kamala-dvitayaṃ satoṣāḥ	prakzAlya pAda--kamala--dvitayam sa-tozAH
   sakhyo vyadhur vividha-maṅgala-veṣa-bhūṣāḥ	saKyaH vyaDuH viviDa--maFgala-veza--BUzAH
   (Kṛṣṇāhnika-kaumudī 2.67)	(KRzNA-Ahnika-kOmudI 2.67)
   Bhss_2.170:	BhsH-_2.170:
   bhūyaḥ prasārya bahuśo bahuśaḥ prasādhya	BUyas prasArya bahuSas bahuSas prasADya
   ratna-prasādha-nikayāṅgulibhir viśodhya	ratna--prasADa-nikaya-aFguliBiH viSoDya
   kālāguru-prabhava-dhūpa-dhurā-pracāram	kAlAguru--praBava--Du-upa-DurA--pracAram
   ālī-janaḥ kaca-bharaṃ surabhī-cakāra	AlI-janaH kaca-Baram suraBI-cakAra
   (Kṛṣṇāhnika-kaumudī 2.68)	(KRzNA-Ahnika-kOmudI 2.68)
   Bhss_2.171:	BhsH-_2.171:
   snānād ṛjuṃ sad-alakālim arālayitvā	snAnAt Rjum sat--ala-kAlim arAlayitvA
   kastūrikābhir alike tilakaṃ likhitvā	kastUrikABiH alike tilakam liKitvA
   sindūra-bindu-rucire'kṛta bālapāśyāṃ	sindUra-bindu-rucire-akRta bAla-pASyAm
   sīmanta-sīmani maṇīndra-mayūkha-rasyām	sImanta--sImani maNi-indra-mayUKa-rasyAm
   (Kṛṣṇāhnika-kaumudī 2.69)	(KRzNA-Ahnika-kOmudI 2.69)
   Bhss_2.172:	BhsH-_2.172:
   kastūrī-patravallī-samudaya-khacitaṃ pārśvayor ākapolaṃ	kastUrI--patra-vallI--samudaya--Kacitam pArSvayoH Akapolam
   bhāle śrīkhaṇḍa-bindūtkara-vṛtam abhitaḥ kāma-yantrābhidhānam	BAle SrIKaNxa--bindu-utkara-vRtam aBitas kAma-yantra-aBiDAnam
   antaḥ kastūrikodyan-malayaja-śaśabhṛl-lekhayādhaścitaṃ sā	antar kastUrikA-udyan--malaya-ja-SaSa-BRl--leKayA-aDas-citam sA
   cakre sīmanta-rekhānvitam atha tilakaṃ sāndra-sindūra-paṅkaiḥ	cakre sImanta--reKA-anvitam aTa tilakam sAndra-sindUra--paFkEH
   (Govinda-līlāmṛtam 2.77)	(Govinda--lIlA-amRtam 2.77)
   Bhss_2.173:	BhsH-_2.173:
   maulau babandha katamā sumaṇi-pravekaṃ	mOlO babanDa katamA su-maNi--pravekam
   sanmālatī-kusuma-garbhaka-kānti-sekam	sat-mAlatI--kusuma-garBaka-kAnti-sekam
   dhammillam ullasita-lohita-paṭṭa-dāmnā	Dammillam ullasita-lohita--pawwa-dAmnA
   lamba-pralamba-yugalena maṇīndra-dhāmnā	lamba--pralamba--yugalena maNi-indra--DAmnA
   (Kṛṣṇāhnika-kaumudī 2.70)	(KRzNA-Ahnika-kOmudI 2.70)
   Bhss_2.174:	BhsH-_2.174:
   sūkṣmordhva-randhra-gata-hema-śalākikāyā	sUkzma-UrDva-ranDra--gata-hema-SalAkikAyAH-
   mūlāgra-saṅga-lalite vidadhe sukāyā	mUla-agra--saFga-lalite vidaDe sukAyA
   śrī-cakrikā-bakulike śruti-madhya-deśe	SrI-cakrikA-a-bakulike Sruti-maDya-deSe
   ratna-prabhā-bhara-dhurā vihitopadeśe	ratna--praBA-Bara--DurAH vihita-upadeSe
   (Kṛṣṇāhnika-kaumudī 2.71)	(KRzNA-Ahnika-kOmudI 2.71)
   Bhss_2.175:	BhsH-_2.175:
   muktākalāpa-kalayā lalita-prakāśyāṃ	muktA-kalA-pa-kalayA lalita--prakASyAm
   kācid vyadhād alaka-sīmani patrapāśyām	kAcid vyaDAt alaka-sImani patra-pASyAm
   kācin maṇīndramaya-kuṇḍalam atyudāram	kAcid maNi-indra-maya--kuNxalam ati-udAram
   ekaikaśaḥ śruti-yuge ghaṭayāṃ cakāra	ekEkaSas Sruti-yuge GawayAm cakAra
   (Kṛṣṇāhnika-kaumudī 2.72)	(KRzNA-Ahnika-kOmudI 2.72)
   Bhss_2.176:	BhsH-_2.176:
   kācid vibhūṣya nayane dalitāñjanena	kAcid viBUzya nayane dalita-aQjanena
   smārau śarāv iva nighṛṣṭa-rasāñjanena	smArO SarO iva niGRzwa--rasAQjanena
   nāsāpasavya-pu ake vitatāra muktāṃ	nAsA-apasavya-pu ake vitatAra muktAm
   netrāñjanādhara-vibhā-bhara-nīla-raktām	netra-aQjana-aDara--viBA--Bara--nIla--raktAm
   (Kṛṣṇāhnika-kaumudī 2.73)	(KRzNA-Ahnika-kOmudI 2.73)
   Bhss_2.177:	BhsH-_2.177:
   makarike likhatī mṛdu-gaṇḍayor	makarike liKatI mRdu-gaNxayoH-
   makara-ketanam āhvayad eva sā	makara--ketanam Ahvayat eva sA
   yam adharāruṇa-pallavam arpayan	yam aDara-aruNa--pallavam arpayan
   rasamaye samaye harir arcayet	rasa-maye samaye hariH arcayet-
   (Kṛṣṇa-bhāvanāmṛtam 4.68)	(KRzNa--BAvanA-amRtam 4.68)
   rucira-cibuka-madhye ratna-rājac-chalākā-	rucira-cibuka--maDye ratna-rAjac--CalAkA-
   kalita-kara-viśākhā-nirmito 'syāś cakāsti	kalita-kara--viSAKA--nirmitaH asyAH cakAsti
   nava-mṛga-mada-binduḥ śobhayan śrī-mukhenduṃ	nava--mRga-mada--binduH SoBayan SrI-muKa-indum
   bhramara iva dalāgre sanniviṣṭaḥ sarojam	BramaraH iva dala-agre sannivizwaH sarojam
   (Govinda-līlāmṛtam 2.83)	(Govinda--lIlA-amRtam 2.83)
   Bhss_2.179:	BhsH-_2.179:
   karpūrāguru-kāśmīra-	karpUra-aguru--kASmIra-
   paṅka-miśrita-candanaiḥ	paFka-miSrita--candanEH
   samālipya viśākhā'syāḥ	samAlipya viSAKA-asyAH
   pṛṣṭhaṃ bāhu-kucāv uraḥ	pRzWam bAhu--kucO uraH
   (Govinda-līlāmṛtam 2.76)	(Govinda--lIlA-amRtam 2.76)
   Bhss_2.180:	BhsH-_2.180:
   puṣpa-gucchendulekhābja-	puzpa-gucCa-indu-leKA-abja-
   makarī-cūta-pallavam	makarI--cUta--pallavam
   lilekha citraṃ kastūryā	lileKa citram kastUryA
   citrā tat-kucayos taṭe	citrA tat-kucayoH tawe
   (Govinda-līlāmṛtam 2.78)	(Govinda--lIlA-amRtam 2.78)
   Bhss_2.181:	BhsH-_2.181:
   mīnī-prasūna-nava-pallava-candralekhā-	mInI--prasUna-nava--pallava--candra-leKA-
   vyājāt svacihna-śara-kunta-dhanūṃṣi kāmaḥ	vyAjAt sva-cihna--Sara--kunta-DanUMzi kAmaH
   tad-bhrū-dhanur-dhuvana-mātra-nirasta-karmā	tad--BrU--DanuH--Duvana--mAtra--nirasta--karmA
   manye nyadhatta nija-tat-kuca-koṣa-gehe	manye nyaDatta nija--tat-kuca-koza--gehe
   (Govinda-līlāmṛtam 2.79)	(Govinda--lIlA-amRtam 2.79)
   Bhss_2.182:	BhsH-_2.182:
   citrārpitāneka-vicitra-ratna-	citra-arpita-aneka-vicitra-ratna-
   muktācitā rakta-dukūla-colī	muktA-AcitA rakta-dukUla-colI
   kucau bha-jālendra-dhanur-vicitrā	kucO Ba-jAla-indra--DanuH--vicitrA
   tastāra śailāv iva sāndhya-kāntiḥ	tastAra SElO iva sAnDya--kAntiH
   (Govinda-līlāmṛtam 2.80)	(Govinda--lIlA-amRtam 2.80)
   Bhss_2.183-184:	BhsH-_2.183-184:
   upari khacita-nānā-ratna-jālaiḥ sphuranta	upari Kacita-nAnA--ratna--jAlEH sPuranta
   vimala-pura a-patryā kaṇṭham asyā viśākhā	vimala-pura a-patryA kaNWam asyAH viSAKA
   hari-kara-dara-cihna-śrī-haraṃ puṣkarākṣyāḥ	hari-kara--dara--cihna--SrI--haram puzkara-akzyAH
   sapadi hari-bhiyeva chādayāmāsa madhye	sapadi hari-BiyA-iva CAdayAmAsa maDye
   vajrācitākhaṇḍala-ratna-citra-	vajra-Acita-AKaNxala--ratna-citra-
   susthūla-madhyo guṇa-baddha-cañcuḥ	su-sTUla--maDyaH guNa--badDa--caQcuH
   lalāsa tasyā upakaṇṭha-kūpaṃ	lalAsa tasyAH upakaNWa--kUpam
   dattas tayā hā aka-citra-haṃsaḥ	dattaH tayA hA aka-citra--haMsaH
   (Govinda-līlāmṛtam 2.86-87)	(Govinda--lIlA-amRtam 2.86-87)
   Bhss_2.185:	BhsH-_2.185:
   suvarṇa-golī-yuga-madhyagollasan	suvarNa-golI--yuga--maDya-ga-ullasan
   masāra-golī-gilito 'ntarāntarā	masAra-golI-gilitaH antarA-antarA
   susūkṣma-muktāvali-gumphitas tayā	su-sUkzma--muktA-Avali-gumPitaH tayA
   nyayoji hāro hṛdi gostanābhidhaḥ	nyayoji hAraH hRdi gostana-aBiDaH
   (Govinda-līlāmṛtam 2.88)	(Govinda--lIlA-amRtam 2.88)
   Bhss_2.186:	BhsH-_2.186:
   masāra-candropala-padmarāga-	masAra--candra-upala--padmarAga-
   suvarṇa-golī-grathitāntarālaiḥ	suvarNa-golI-graTita-antarAlEH
   muktā-pravālaiḥ parigumphitāṃ sā	muktA--pravAlEH parigumPitAm sA
   ratna-srajaṃ tad-dhṛdaye yuyoja	ratna--srajam tad--hRdaye yuyoja
   (Govinda-līlāmṛtam 2.89)	(Govinda--lIlA-amRtam 2.89)
   Bhss_2.187:	BhsH-_2.187:
   vaidūrya-yugmācita-hema-dhātrikā-	vEdUrya--yugmAcita-hema-DAtrikA-
   bījā-bha-golī-gilito 'ntarāntarā	bIjA-Ba-golI-gilitaH antarA-antarA
   vicitra-muktāvali-citra-gucchako	vicitra--muktA-Avali-citra--gucCa-kaH-
   rarāja tasyā hṛdaye'rpitas tayā	rarAja tasyAH hRdaye-arpitaH tayA
   (Govinda-līlāmṛtam 2.90)	(Govinda--lIlA-amRtam 2.90)
   Bhss_2.188:	BhsH-_2.188:
   rāse niśīthe saha-nṛtya-gāna-	rAse niSITe saha--nRtya--gAna-
   tuṣṭena dattāṃ hariṇā svakaṇṭhāt	tuzwena dattAm hariNA sva-kaNWAt-
   tasyaiva sākṣād iva rāja-lakṣmīṃ	tasya-eva sAkzAt iva rAja--lakzmIm
   guñjāvalīṃ tad-dhṛdi sā yuyoja	guQjA-AvalIm tad--DRdi sA yuyoja
   (Govinda-līlāmṛtam 2.91)	(Govinda--lIlA-amRtam 2.91)
   Bhss_2.189:	BhsH-_2.189:
   sthūla-tārāvalī-ramyā	sTUla-tArA-AvalI--ramyA
   san-nāyaka-vibhūṣitā	san-nAyaka-viBUzitA
   tasyā ekāvalī-jyotsnī	tasyAH ekAvalI-jyotsnI
   hṛd-ambaram amaṇḍayat	hRd--ambaram amaNxayat-
   (Govinda-līlāmṛtam 2.92)	(Govinda--lIlA-amRtam 2.92)
   Bhss_2.190:	BhsH-_2.190:
   kanaka-khacita-vajrair veṣṭitaiḥ padmarāgaiś	kanaka-Ka-cita-vajrEH vezwitEH padmarAga-EH-
   cita-harimaṇi-pūrṇābhyantarā śātakaumbhī	cita--hari-maNi--pUrNa-aByantarA SAtakOmBI
   pratanu-pura a-rājac-chṛṅkhalālambamānā	pratanu-pura a-rAjac--SRFKala-AlambamAnA
   lasati hṛdi viśākhā-yojitāsyāś catuṣkī	lasati hRdi viSAKA--yojita-AsyAH catuzkI
   (Govinda-līlāmṛtam 2.93)	(Govinda--lIlA-amRtam 2.93)
   Bhss_2.191:	BhsH-_2.191:
   ālī-janair maṇḍana-keli-kāle	AlI-janEH maNxana-keli-kAle
   vibhūṣyamāṇā vṛṣabhānu-putrī	viBUzyamANA vRzaBa-anu-putrI
   urogate nīlamaṇīndra-hāre	uraH-gate nIla-maNi-indra-hAre
   svinnā sakampā pulakākulāsīt	svinnA sa-kampA pulaka-AkulAsIt-
   (Alaṅkāra-kaustubha 5.73)	(a-alaFkAra--kOstuBaH 5.73)
   Bhss_2.192:	BhsH-_2.192:
   pṛṣṭhāntaḥ krama-lambamānam amalaṃ grīvānta-hārāvalī-	pRzWa-antar krama-lambamAnam amalam grIvA-anta--hAra-AvalI-
   vī ī-bandhana-paṭṭa-sūtra-camarī-jālaṃ tadāsyā babhau	vI I-banDana--pawwa-sUtra-camarI--jAlam tadA-asyAH baBO
   manye cāru-nitamba-śailaka akān mūrdhnādhirohārthakaṃ	manye cAru--nitamba--SElaka akAt mUrDnA-aDiroha-arTakam
   sopānaṃ vidhinā kṛtaṃ karuṇayā veṇī-bhujaṅgyāḥ sphuṭam	sopAnam viDinA kRtam karuNayA veNI-BujaFgyAH sPuwam
   (Govinda-līlāmṛtam 2.94)	(Govinda--lIlA-amRtam 2.94)
   Bhss_2.193:	BhsH-_2.193:
   madhye-pragaṇḍam atulāṅgadam-unmaṇīni	maDye--pragaNxam atula-aFgadam-unmaNIni
   madhye-prakoṣṭham atulāni ca kaṅkaṇāni	maDye--prakozWam atulAni ca kaFkaNAni
   tat-sīmni kāpya-kṛta maṅgala-paṭṭa-sūtraṃ	tat-sImni kApya-kRta maFgala-pawwa--sUtram
   ratna-prakāśi maṇi-bandha-rucāticitram	ratna--prakASi maNi-banDa--rucA-ati-citram
   (Kṛṣṇāhnika-kaumudī 2.75)	(KRzNA-Ahnika-kOmudI 2.75)
   Bhss_2.194:	BhsH-_2.194:
   muktāvalī-khacita-hā aka-kaṅkaṇābhyāṃ	muktA-avalI--Kacita--hA aka--kaFkaNAByAm
   saṃveṣṭitaḥ sa valayāvali-sanniveśaḥ	saMvezwitaH sa valaya-avali--sanniveSaH
   bimbair-vidhor-milita-bhāskara-maṇḍalābhyāṃ	bimbEH--viDor--milita--BAskara--maNxalAByAm
   tasyāś cakāsti nitarām iva saiṃhikeyaḥ	tasyAH cakAsti nitarAm iva sEMhikeyaH
   (Govinda-līlāmṛtam 2.97)	(Govinda--lIlA-amRtam 2.97)
   Bhss_2.195:	BhsH-_2.195:
   nija-nāmāṅkitā nānā-	nija--nAma-aFkitAH nAnA-
   ratna-dyuti-karambitā	ratna--dyuti--karambitA
   babhāv aṅguli-mudrāsyā	baBO aFguli-mudrA-AsyA
   vipakṣa-mada-mardanī	vipakza-mada--mardanI
   (Govinda-līlāmṛtam 2.99)	(Govinda--lIlA-amRtam 2.99)
   Bhss_2.196:	BhsH-_2.196:
   tundāntike maṇi-vinirmita-tunda-bandhaṃ	tunda-antike maNi--vinirmita---tunda-banDam
   kāñcī-guṇaṃ ca tad adho maṇi-vṛnda-bandham	kAQcI--guNam ca tat aDas maNi--vRnda--banDam
   pādāṅgulīṣu vara-ratnamayormikālīm	pAda-aFgulIzu vara-ratnam-aya-Urmi-kAlIm
   ā-gulpham ādhṛta suhaṃsaka-yugmam ālī	A-gulPam ADRta su-haMsaka-yugmam AlI
   (Kṛṣṇāhnika-kaumudī 2.77)	(KRzNA-Ahnika-kOmudI 2.77)
   Bhss_2.197:	BhsH-_2.197:
   nakha-śikhāṅghritalādy uru-śoṇimāpy	naKa--SiKA-aFGri-tala-AdI uru--SoNi-mA-api-
   ahaha yāvaka-rañjitatām agāt	ahaha yAvaka-raQjita-tAm agAt-
   bhavati kiṃ dara-dīpaja-rociṣā	Bavati kim dara-dIpaja-rocizA
   dina-kṛto na kṛto manujair mahaḥ	dina-kRtaH na kRtaH manujEH mahaH
   (Kṛṣṇa-bhāvanāmṛtam 4.96)	(KRzNa--BAvanA-amRtam 4.96)
   Bhss_2.198:	BhsH-_2.198:
   anyā kācid āha-	anyA kAcid Aha-
   vṛthā'kṛthā yāvakam aṅghri-paṅkaje	vRTA-akRTAH yAvakam aFGri-paFkaje
   sva eva rāgo 'sya dṛśāṃ rasāyanaḥ |	sve eva rAgaH asya dRSAm rasAyanaH |
   kintv eka evāsti guṇo 'sya rādhike	kintu ekaH eva-asti guNaH asya rADike
   yaḥ keśavasyāpi ca keśa-rañjanaḥ ||	yaH keSavasya-api ca keSa-raQjanaH ||
   (Alaṅkāra-kaustubha 5.63)	(a-alaFkAra--kOstuBaH 5.63)
   Bhss_2.199:	BhsH-_2.199:
   mañjīra-yugmam atimañjula-ratna-siddhaṃ	maQjIra--yugmam ati-maQjula--ratna--sidDam
   pādāmbujopari cakāra ca kāpi baddham	pAda-ambuja-upari cakAra ca kA-api badDam
   tat-tat-svaśilpa-kuśalatva-nidarśanāya	tat-tat--sva-Silpa--kuSala-tva--nidarSanAya
   kācin maṇīndra-mukuraṃ purato nināya	kAcid maNi-indra-mukuram puratas ninAya
   (Kṛṣṇāhnika-kaumudī 2.78)	(KRzNA-Ahnika-kOmudI 2.78)
   Bhss_2.200:	BhsH-_2.200:
   asyā nyadhād uṣasi narmadayā svasakhyā	asyAH nyaDAt uzasi narmadayA sva-saKyA
   mālākṛtas tanujayopahṛtaṃ viśākhā	mAlA-kRtaH tanu-jayA-upahRtam viSAKA
   smerāravinda-vadanātha karāravinde	smera-aravinda--vadanATa kara-aravinde
   līlāravindam aravinda-vilocanāyāḥ	lIlA-aravindam aravinda--vilocanAyAH
   (Govinda-līlāmṛtam 2.103)	(Govinda--lIlA-amRtam 2.103)
   Bhss_2.201:	BhsH-_2.201:
   sā kṛṣṇa-netra-kutukocita-rūpa-veśaṃ	sA kRzNa--netra-kutuka-ucita--rUpa-veSam
   varṣmāvalokya mukure pratibimbitaṃ svam	varzma-avalokya mukure pratibimbitam svam
   kṛṣṇopasatti-taralāsa varāṅganānāṃ	kRzNa-upasatti--taralAsa vara-aFganAnAm
   kāntāvalokana-phalo hi viśeṣa-veṣaḥ	kAnta-avalokana-PalaH hi viSeza-vezaH
   (Govinda-līlāmṛtam 2.105)	(Govinda--lIlA-amRtam 2.105)
   Bhss_2.202:	BhsH-_2.202:
   malla-līlādikaṃ tasya	malla--lIlA-Adikam tasya
   tan-madhye sakhibhiḥ saha	tan--maDye saKiBiH saha
   vilokyaiva hiraṇyāṅgī	vilokya-eva hiraNya-aFgI
   tām āyātāvadad drutam	tAm AyAta-avadat drutam
   Bhss_2.203:	BhsH-_2.203:
   godohanād atha viramya sa ramya-līlaiḥ	go-dohanAt aTa viramya sa ramya--lIlEH
   sārdhaṃ nija-priya-sakhaiḥ svasamāna-śīlaiḥ	sArDam nija--priya--saKEH sva-samAna--SIlEH
   abhyāyayau kutuka-malla-vilāsa-nityā-	aByAyayO kutuka-malla--vilAsa-nityA-
   bhyāsālayaṃ maṇimayaṃ sakalaikamatyā	ByAsa-Alayam maNi-mayam sakala-ekamatyA
   (Kṛṣṇāhnika-kaumudī 2.20)	(KRzNA-Ahnika-kOmudI 2.20)
   Bhss_2.204:	BhsH-_2.204:
   pratyekam eva sakhibhiḥ savayobhir etair	pratyekam eva saKiBiH savayoBiH etEH-
   malla-kriyām atha bhujābhuji vīta-bhītaiḥ	malla--kriyAm aTa Buja-aBuji vIta--BItEH
   svasvaujasaḥ prakaṭanena saroṣa-darpaiś	svasva-ojasaH prakawanena sa-roza--darpa-EH-
   cakre'pasarpa-parisarpa-visarpa-sarpaiḥ	cakre-apasarpa--parisarpa--visarpa--sarpEH
   (Kṛṣṇāhnika-kaumudī 2.21)	(KRzNA-Ahnika-kOmudI 2.21)
   Bhss_2.205:	BhsH-_2.205:
   viśramya kiñcid atha sañcita-puṇya-vṛndais	viSramya kiQcid aTa saQcita--puNya--vRndEH-
   tair eva kaiścana mahāguṇa-vṛkṣa-kandaiḥ	tEH eva kEScana mahA-guNa--vRkza--kandEH
   abhyañjanārtham anurañjana-mañju-hāsair	aByaQjana-arTam anuraQjana--maQju-hAsEH-
   abhyaṅga-maṅgala-gṛhaṃ praviveśa dāsaiḥ	aByaFga-maFgala--gRham praviveSa dAsEH
   (Kṛṣṇāhnika-kaumudī 2.22)	(KRzNA-Ahnika-kOmudI 2.22)
   Bhss_2.206:	BhsH-_2.206:
   nānā-prabandha-bahubandha-vidhau vidagdhair	nAnA-prabanDa--bahu-banDa-viDO vidagDEH-
   abhyaṅga-maṅgala-viśeṣa-kalāsu mugdhaiḥ	aByaFga-maFgala--viSeza-kalAsu mugDEH
   tailena sādhu śubha-gandha-subāndhavena	tElena sADu SuBa-ganDa--subAnDavena
   prārambhi yat tad urarīkṛtam apy anena	prAramBi yat tat urarIkRtam api anena
   (Kṛṣṇāhnika-kaumudī 2.23)	(KRzNA-Ahnika-kOmudI 2.23)
   Bhss_2.207:	BhsH-_2.207:
   āpāda-mastakam anasta-samasta-bhāgyais	ApAda-mastakam anasta--samasta-BAgyEH-
   tailena taiḥ priya-samāja-sabhāja-yogyaiḥ	tElena tEH priya--samAja--saBAja--yogyEH
   nātiślathaṃ ca na dṛḍhaṃ ca sumaṅgalāni	na-ati-SlaTam ca na dRXam ca su-maFgalAni
   prītyā ciraṃ mamṛdire'tha tad aṅgakāni	prItyA ciram mamRdire-aTa tat aFgakAni
   (Kṛṣṇāhnika-kaumudī 2.24)	(KRzNA-Ahnika-kOmudI 2.24)
   Bhss_2.208:	BhsH-_2.208:
   te kauṅkumena rajasā ghanasāra-cūrṇaiḥ	te kOFkumena rajasA Gana-sAra--cUrNEH
   pūrṇena cāru-mṛdunā paripeṣa-śīrṇaiḥ	pUrNena cAru--mRdunA paripeza--SIrNEH
   vimlāna-bhāvam atha taila-kṛtaṃ harantaḥ	vimlAna-BAvam aTa tEla-kRtam harantaH
   kṛṣṇasya tān avayavān udavartayanta	kRzNasya tAn avayavAn udavartayanta
   (Kṛṣṇāhnika-kaumudī 2.25)	(KRzNA-Ahnika-kOmudI 2.25)
   Bhss_2.209:	BhsH-_2.209:
   kenocitena ghanasāra-suvāsitena	kena-ucitena GanasAra--su-vAsitena
   nānāvidha-sphaṭika-hema-ghaṭī-bhṛtena!	nAnAviDa--sPawika--hema--GawI-BRtena!
   keśān kaṣāya-kaṣitān kalayan kumāra-	keSAn kazAya--kazitAn kalayan kumAra-
   dāsī-gaṇo 'mbuja-dṛśaṃ snāpayāṃ cakāra	dAsI--gaNaH ambuja-dRSam snApayAm cakAra
   (Kṛṣṇāhnika-kaumudī 2.26)	(KRzNA-Ahnika-kOmudI 2.26)
   Bhss_2.210:	BhsH-_2.210:
   kācit kaṣāyita-kacān bahuśaḥ kaṣantī	kAcid kazAyita--kacAn bahuSas kazantI
   kācin mṛdūn avayavān mṛdu mārjayantī	kAcid mRdUn avayavAn mRdu mArjayantI
   bhṛṅgārakeṇa katamā salilaṃ kirantī	BRFgArakeNa katamA salilam kirantI
   lebhetarām atitarām anurāga-kāntī	leBetarAm atitarAm anurAga-kAntI
   (Kṛṣṇāhnika-kaumudī 2.27)	(KRzNA-Ahnika-kOmudI 2.27)
