   Tarkabhāṣā	Tarka BAzA
   nirviśeṣaṇasya svabhāvahetorayaṃ prayoga iti // tathāparo 'pi	nirviSezaNasya svaBAva hetoH ayam prayogaH iti // taTA aparaH api
   nirviśeṣaṇaprayogaḥ   yatsat tatsarvamanityaṃ, yathā ghaṭaḥ / santaścāmī	nirviSezaNa prayogaH  yat sat tat sarvam anityan, yaTA GawaH / santaH ca amI
   pramāṇapratītāḥ / tathāparo 'pi vedasya pauruṣayatvasādhanāya	pramANa pratItAH / taTA aparaH api vedasya pOruzaya tva sADanAya
   svabhāvahetuḥ / yadvākyaṃ tatpauruṣeyaṃ, yathā rathyāpuruṣa vākyam /	svaBAva hetuH / yat vAkyam tad pOruzeyan, yaTA raTyA puruza vAkyam /
   vākyaṃ cedam  	vAkyam ca idam  
   `agnihotraṃ juhuyātsvargakāma' iti /	`agnihotram juhuyAt svarga kAma a iti /
   saviśeṣaṇasvabhāvahetoḥ prayogaḥ	sa viSezaNa svaBAva hetoH prayogaH
   saviśeṣaṇaprayogo yathā   yadyadutpattimat tatsarvamanityaṃ, yathā ghaṭaḥ	sa viSezaNa prayogaH yaTA  yat yat utpattimat tat sarvam anityan, yaTA GawaH
   / utpattimāṃśca śabdaḥ / anutpannebhyo vyāvṛtto bhāva utpanna ucyate /	/ utpattimAn= ca SabdaH / anutpanneByaH vyAvRttaH BAvaH utpannaH ucyate /
   yadā saiva vyāvṛttirvyāvṛttyantaravyavacchedena vyatiriktocyate	yadA sA eva vyAvRttiH vyAvRtti antara vyavacCedena vyatiriktA ucyate
   bhāvasyotpattiriti tadā kalpitena bhedena svabhāvabhūtadharmeṇa viśiṣṭaḥ	BAvasya utpattiH iti tadA kalpitena Bedena svaBAva BUta DarmeNa viSizwaH
   svabhāvo hetuḥ /	svaBAvaH hetuH /
   bhinnaviśeṣaṇasvabhāvahetoḥ prayogaḥ	Binna viSezaNa svaBAva hetoH prayogaH
   tathā bhinnaviśeṣaṇasya prayogaḥ   yatkṛtakaṃ tadanityaṃ yathā ghaṭaḥ,	taTA Binna viSezaNasya prayogaH  yat kRtakam tat anityam yaTA GawaH,
   kṛtakaśca śabdaḥ / nanu citraguriti bhinnaviśeṣaṇasya prayogaḥ, yathā	kRtakaH ca SabdaH / nanu citraguH iti Binna viSezaNasya prayogaH, yaTA
   cātra citragośabde bhinnaviśeṣaṇavācako 'sti na tathā kṛtakaśabde	ca atra citra go Sabde Binna viSezaNa vAcakaH asti na taTA kRtaka Sabde
   bhinnaviśeṣaṇavācakaṃ kimapyasti / tatkathaṃ bhinnaviśeṣaṇasyodāharaṇamiti	Binna viSezaNa vAcakam kim api asti / tat kaTam Binna viSezaNasya udAharaNam iti
   ced? ucyate   apekṣitaparavyāpāro hi svabhāvaniṣpattau bhāvaḥ kṛtakaḥ	ced? ucyate  apekzita para vyApAraH hi svaBAva nizpattO BAvaH kRtakaH
   ityucyate / tatraḥ kṛtakaśabdaḥ paravyāpārasāpekṣaṃ svabhābaṃ prakṛtyaiva	iti ucyate / tatraH kRtaka SabdaH para vyApAra sa apekzam sva BAbam prakRtyA eva
   vadan bhinnaviśeṣaṇamevāha //	vadan Binna viSezaNam eva Aha //
   prayuktabhinnaviśeṣaṇasvabhāvahetoḥ prayogaḥ	prayukta Binna viSezaNa svaBAva hetoH prayogaH
   prayuktabhinnaviśeṣaṇasya svabhāvasya prayogaḥ   yaḥ pratyayabhedabhedī sa	prayukta Binna viSezaNasya svaBAvasya prayogaH  yaH pratyaya Beda BedI sa
   kṛtakaḥ, yathā dhūmaḥ, pratyayabhedabhedī ca śabdaḥ / pratyayaḥ kāraṇaṃ,	kRtakaH, yaTA DUmaH, pratyaya Beda BedI ca SabdaH / pratyayaH kAraNaM,
   tasya bhedastena bhettuṃ śīlaṃ yasya sa pratyayabhedabhedī /	tasya BedaH tena Bettum SIlam yasya sa pratyaya Beda BedI /
   kāraṇamahattvena mahattvaṃ kāraṇālpatvenālpatvaṃ yasyetyarthaḥ	kAraNa mahat tvena mahat tvam kAraNa alpa tvena alpa tvam yasya iti arTaH
   pratyayabhedabhediśabdasya bhinnaviśeṣaṇavācakasyātra prayuktatvāt	pratyaya Beda Bedi Sabdasya Binna viSezaNa vAcakasya atra prayukta tvAt 
   prayuktabhinnaviśeṣaṇo 'yam / svabhāvahetoḥ nānāprabhedadarśanaṃ ca	prayukta Binna viSezaNaH ayam / svaBAva hetoH nAnA praBeda darSanam ca
   vyāmohanivṛttaye dharmabhedakalpanayāpi svabhāvahetureva prayujyata iti	vyAmoha nivRttaye Darma Beda kalpanayA api svaBAva hetuH eva prayujyate iti
   pratipādayitum /	pratipAdayitum /
   svabhāvahetorvaidharmyavatprayoganirūpaṇam	svaBAva hetoH vEDarmya vat prayoga nirUpaNam
   svabhāvahetorvaidharmyavān prayogo yathā   yadyadānantarānavasthāyi na	svaBAva hetoH vEDarmyavAn prayogaH yaTA  yat yada anantara anavasTAyi na
   bhavati na tattadā vinaśvararūpaṃ, yathākāśam / vinaśvararūpaṃ ca	Bavati na tat tadA vinaSvara rUpan, yaTA AkASam / vinaSvara rUpam ca
   rūpādikamudayakāle / vyatirekaprayoge sādhanābhāvena sādhyābhāvasya	rUpa Adikam udaya kAle / vyatireka prayoge sADana aBAvena sADya aBAvasya
   vyāptatvāt sādhyābhāvaḥ sādhanābhāve niyato bhavatīti boddhavyam /	vyApta tvAt sADya aBAvaH sADana aBAve niyataH Bavati iti bodDavyam /
   tathāparo 'pi vaidharmyavān prayogaḥ   yatra kṣaṇikatvaṃ nāsti tatra	taTA aparaH api vEDarmyavAn prayogaH  yatra kzaNika tvam na asti tatra
   sattvamapi nāsti, yathā gaganāravinde / saṃśca śabdaḥ / tathā	sattvam api nAsti, yaTA gagana aravinde / san= ca SabdaH / taTA
   yatrānityatvaṃ nivṛttaṃ tatrotpattimattvamapi, yathā kūrmaromṇi /	yatra anitya tvam nivRttam tatra utpattimat tvam api, yaTA kUrma romNi /
   utpattimāṃśca śabdaḥ / yatrānityatvaṃ nivṛttaṃ tatra kṛtakamapi, yathā	utpattimAn= ca SabdaH / yatra anitya tvam nivRttam tatra kRtakam api, yaTA
   śaśaśriṅge / kṛtakaśca śabdaḥ / yatra kṛtakatvaṃ nāsti tatra	SaSa SriFge / kRtakaH ca SabdaH / yatra kRtaka tvam na asti tatra
   pratyayabhedabheditvamapi nāsti, yathā gagane / pratyayabhedabhedī ca	pratyaya Beda Bedi tvam api nAsti, yaTA gagane / pratyaya Beda BedI ca
   śabda iti //	SabdaH iti //
   kāryahetoḥ sādharmyavadvaidharmyavatprayoganirūpaṇam	kArya hetoH sADarmya vat vEDarmya vat prayoga nirUpaNam
   kāryahetoḥ sādharmyavān prayogo yathā   yatra yatra dhūmastatra tatrāgniḥ,	kArya hetoH sADarmyavAn prayogaH yaTA  yatra yatra DUmaH tatra tatra agniH,
   yathā mahānase, dhūmaścātra / kāryaheturapi pratyakṣānupalambhābhyāṃ	yaTA mahAnase, DUmaH ca atra / kArya hetuH api pratyakza anupalamBAByAm
   siddha eva kāryakāraṇabhāve sati kāraṇe sādhye prayoktavyaḥ /	sidDaH eva kArya kAraNa BAve sati kAraNe sADye prayoktavyaH /
   vaidharmyaprayogo yathā asatyagnau na bhavatyeva dhūmaḥ yathā   mahāhrade	vEDarmya prayogaH yaTA asati agnO na Bavati eva DUmaH yaTA  mahAhrade
   / asti ceha dhūma iti /	/ asti ca iha DUmaH iti /
   anupalabdhessādharmyavad prayogaḥ	anupalabDeH sADarmya vat prayogaH
   anupalabdheḥ sādharmyavan prayogo 'vayavinirākaraṇāya yathā  	anupalabDeH sADarmya van prayogaH avayavi nirAkaraNAya yaTA  
   yadyatropalabdhilakṣaṇaprāptaṃ sannopalabhyate tattatrāsadvyavahārayogyam,	yadyatra upalabDi lakzaNa prAptam sanna upalaByate tad tatra asat vyavahAra yogyam,
   yathā naraśirasi śṛṅgam / nopalabhyate cātropalabdhilakṣaṇaprāptaḥ	yaTA nara Sirasi SRFgam / na upalaByate ca atra upalabDi lakzaNa prAptaH
   parābhimato 'vayavī ghaṭaśabdavācyeṣu kapāleṣu /	para aBimataH avayavI Gawa Sabda vAcyezu kapAlezu /
   vaidharmyavatprayoganirūpaṇam	vEDarmya vat prayoga nirUpaNam
   anupalabdhervaidharmyavān prayogo yathā   yatsadupalabdhilakṣaṇaprāptaṃ	anupalabDeH vEDarmyavAn prayogaH yaTA  yat sat upalabDi lakzaNa prAptam
   tadupalabhyata eva, yathā nīlādiviśeṣaḥ / neha upalabdhilakṣaṇaprāptasya	tat upalaByate eva, yaTA nIla Adi viSezaH / na iha upalabDi lakzaNa prAptasya
   sata upalabdhirghaṭasyeti /	sataH upalabDiH Gawasya iti /
   sādhyasādhanayorvyāptiḥ	sADya sADanayoH vyAptiH
   sarvatra sādharmyavati sādhanavākye sādhyena sādhanaṃ vyāptam /	sarvatra sADarmyavati sADana vAkye sADyena sADanam vyAptam /
   baidharmyavati [punaḥ] sādhanavākye sādhanābhāvena sādhyābhāvo vyāpta iti	bEDarmyavati [punaH] sADana vAkye sADana aBAvena sADya aBAvaH vyAptaH iti
   pratipattavyam / sādhanasya ca sādhye	pratipattavyam / sADanasya ca sADye
   niyatatvakathanaṃ sādhyābhāvasya sādhanābhāve niyatatvakathanaṃ nāma	niyata tva kaTanam sADya aBAvasya sADana aBAve niyata tvakaTanam nAma
   vyāptirabhidhīyate / tataḥ pramāṇena vyāptisiddhau satyāṃ nedaṃ kvāpi	vyAptiH aBiDIyate / tatas pramANena vyApti sidDO satyAm na idam kvApi
   śaṅkanīyaṃ sādhanaṃ ca syāta, sādhyaṃ ca tatra dharmiṇi na syāditi /	SaFkanIyam sADanam ca syAta, sADyam ca tatra DarmiNi na syAt iti /
   parāṅgīkṛteśvarasādhakānumānasya nirasanam	para aFgIkRta ISvara sADaka anumAnasya nirasanam
   yatra pramāṇena sarvopasaṃhāravatī vyāptireva na siddhā, tatra	yatra pramANena sarva upasaMhAravatI vyAptiH eva na sidDA, tatra
   śaṅkāprasaro 'nivāryaḥ / yatheśvarasiddhau kāryatvānumāne / tathā hi teṣāṃ	SaFkA prasaraH anivAryaH / yaTA ISvara sidDO kAryatva anumAne / taTA hi tezAm
   sādhanopanyāsaḥ / ihānyaḥ sarvajño bhagavān bhavatu vā mā bhūt, īśvaraḥ	sADana upanyAsaH / iha anyaH sarvajQaH BagavAn Bavatu vA mA BUt, ISvaraH
   punassarvajñaḥ śakyate sādhayitum / tathā hi, loke trayaḥ khalu bhāvāḥ	punar sarva jQaH Sakyate sADayitum / taTA hi, loke trayaH Kalu BAvAH
   kecinniścitakartṛkāḥ, yathā ghaṭādayaḥ / kecinniścitakartṛnivṛttayaḥ,	kecid niScita kartRkAH, yaTA Gawa AdayaH / kecid niScita kartR nivRttayaH,
   yathā vyomādayaḥ / anye punaḥ sandigdhakartṛkāḥ, yathā kṣityādayaḥ / na	yaTA vyoma AdayaH / anye punar sandigDa kartRkAH, yaTA kziti AdayaH / na
   punaretebhyo 'nyaḥ prakāro 'sti / tatra ye dṛśyamānotpattayo	punar eteByaH anyaH prakAraH asti / tatra ye dRSyamAna utpattayaH 
   vanaspatyādayo ye ca cirotpannā viśvambharādayaḥ te sarve	vanaspati AdayaH ye ca cira utpannAH viSvamBara AdayaH te sarve
   sandigdhakartṛtvena vyavatiṣṭhamānā buddhimatkartṛkāḥ kāryatvāt,	sandigDa kartR tvena vyavatizWamAnAH budDimat kartRkAH kArya tvAt,
   ghaṭādivat / nāyamasiddho hetuḥ, kāryatvasya sarvoṣāṃ pramāṇasiddhatvāt /	Gawa Adi vat / na ayam asidDaH hetuH, kAryatvasya sarva UzAm pramANa sidDa tvAt /
   nāpi viruddhaḥ, sapakṣe bhāvāt / na cānaikāntaḥ, sādhyaviparyaye	na api virudDaH, sa pakze BAvAt / na ca anEkAntaH, sADya viparyaye
   bādhakapramāṇasadbhāvāt / tathāhi   kārya tāvat buddhimataḥ	bADaka pramANa sadBAvAt / taTA hi  kArya tAvat budDimataH
   kumbhakārādupajāyamānaṃ bhūyodarśanasahāyena mānasa pratyakṣeṇopalabdham /	kumBakArAt upajAyamAnam BUyas darSana sahAyena mAnasa pratyakzeNa upalabDam /
   tadyadi buddhimantareṇāpi syāt tadānīṃ buddhimataḥ sakāśātkadācidapi	tat yadi budDim antareNa api syAt tadAnIm budDimataH sakASAt kadAcid api
   nopajāyeta / kāraṇābhāve kāryasya sakṛdapyutpādāyogāt / tasmānnedaṃ kvāpi	na upajAyeta / kAraNa aBAve kAryasya sakRt api utpAda ayogAt / tasmAt na idam kvApi
   śaṅkanīyaṃ kāryaṃ ca syāt na buddhimaddhetukamiti / atredamabhidhīte  	SaFkanIyam kAryam ca syAt na budDimat hetukam iti / atra idam aBiDIte  
   sādhanaṃ khalu sarvatra sādhyasādhanayoḥ sarvopasaṃhareṇa pramāṇena	sADanam Kalu sarvatra sADya sADanayoH sarva upasaMhareNa pramANena
   vyāptau siddhāyāṃ sādhyaṃ gamayediti sarvavādisammatam / tatra yadi	vyAptO sidDAyAm sADyam gamayet iti sarva vAdi sammatam / tatra yadi
   dṛsyaśarīraviśiṣṭena buddhimatā vyāptirgṛhyate tadā	dRsya SarIra viSizwena budDimatA vyAptiH gRhyate tadA
   tathābhūtasādhyamantareṇāpi jāyamāne tṛṇādau kāryatvasya darśanāt	taTABUta sADyam antareNa api jAyamAne tRNa AdO kAryatvasya darSanAt 
   prameyatvādivat sādhāraṇānaikāntiko 'yaṃ hetuḥ / tṛṇādayaḥ pakṣīkṛtā	prameya tva Adi vat sADAraNa anEkAntikaH ayam hetuH / tRNa AdayaH pakzIkRtA
   ityapi na vaktavyam / na hi vyabhicāraviṣaya eva pakṣo bhavitumarhati 	iti api na vaktavyam / na hi vyaBicAra vizayaH eva pakzaH Bavitum arhati 
   `sandigdhe hetuvacanāt vyasto hetoranāśraya' iti nyāyāt /	`sandigDe hetu vacanAt vyastaH hetoH anASraya a iti nyAyAt /
   athāśakyārohaṇe 'pi parvate dahanamantareṇa ca dhūmadarśanāt, evaṃ dhūme	aTa aSakya ArohaNe api parvate dahanam antareNa ca DUma darSanAt, evam DUme
   'pi vyabhicāro vaktuṃ sulabha eva? tanna / aśakyārohaṇatvena parvate	api vyaBicAraH vaktum sulaBaH eva? tat naH / aSakya ArohaNa tvena parvate
   dahanasya draṣṭumaśakyatvāt yuktaṃ tatra sandigdhaviṣayatvam / prastute tu	dahanasya drazwum aSakyatvAt yuktam tatra sandigDa vizaya tvam / prastute tu
   dṛśyaśarīraviśiṣṭena buddhimatā vyāptau gṛhyamāṇāyāṃ dṛśyānupalambhena	dRSya SarIra viSizwena budDimatA vyAptO gRhyamANAyAm dRSya anupalamBena
   buddhimato bādho bhavatīti yuktam / atha dṛśyaśarīreṇa buddhimanmātreṇa vā	budDimataH bADaH Bavati iti yuktam / aTa dRSya SarIreNa budDimat mAtreNa vA
   vyāptiravagamyate tadā adṛśyasya buddhimanmātrasya vā sādhyasya	vyAptiH avagamyate tadA adRSyasya budDimat mAtrasya vA sADyasya
   dṛśyānupalambhena vyatirekāsiddheḥ sandigdhavipakṣavyāvṛttiko 'yaṃ hetuḥ /	dRSya anupalamBena vyatireka asidDeH sandigDa vipakza vyAvRttikaH ayam hetuH /
   sādhyābhāvaprayuktasya sādhānābhāvasya [kāśadāva] siddhatvena	sADya aBAva prayuktasya sADAna aBAvasya [kASa dAva] sidDa tvena
   vyāpterabhāvāt tathā coktam jñānaśrīmitrapādaiḥ / kāryatvasya	vyApteH aBAvAt taTA ca uktam jQAna SrI mitra pAdEH / kAryatvasya
   vipakṣavṛttihataye sambhāvyate 'tīndriyaḥ /	vipakza vRtti hataye samBAvyate atIndriyaH /
   kartā cedvayatirekasiddhividhurā vyāptiḥ kathaṃ sidhyati //	kartA cedvayatireka sidDi viDurA vyAptiH kaTam siDyati //
   dṛśyo 'tha vyatirekasiddhimanasā kartā samāśrīyate /	dRSyaH aTa vyatireka sidDi manasA kartA samASrIyate /
   tattyogo 'pi tadā tṛṇādikamiti vyaktaṃ vipakṣekṣaṇam //	tad tyogaH api tadA tRNa Adikam iti vyaktam vipakza IkzaNam //
   trilocanābhyupagatasya vahnidhūmayoḥ svābhāvavika sambandhavādasya	trilocana aByupagatasya vahni DUmayoH svABAvavika sambanDa vAdasya
   nirasanam	nirasanam
   yacca trilocanenoktam 	yat ca trilocanena uktam 
   `yathā svābhāvikaḥ sambandho dhūmādīnāṃ vahnayādibhissaha tathā	`yaTA svABAvikaH sambanDaH DUma AdInAm vahnaya AdiBiH saha taTA
   kāryatvasya buddhimatā sārdham, tadupādheranupalabhyamānatvāt,	kAryatvasya budDimatA sArDam, tad upADeH anupalaByamAna tvAt,
   kvacidvyabhicārasyādarśanāt' iti /	kvacid vyaBicArasya adarSanAt a iti /
   tanna yuktam / yato 'rthāntaraṃ kiñcidapekṣaṇīyamupādhiśabdenābhidhīyate /	tat na yuktam / yatas arTa antaram kiQcid apekzaNIyam upADi Sabdena aBiDIyate /
   na cārthāntaramavaśyaṃ dṛśyaṃ syāt / adṛśyamapi	na ca arTa antaram avaSyam dRSyam syAt / adRSyam api
   deśakālasvabhāvaviprakṛsṭam sambhāvyate / ato dhūmasya dahanena saha	deSa kAla svaBAva viprakRswam samBAvyate / atas DUmasya dahanena saha
   sambandhe bhaviṣyatyupādhiḥ / na copalabhyata iti kathamadarśanamātreṇa	sambanDe Bavizyati upADiH / na ca upalaByate iti kaTam adarSana mAtreNa
   nāstyevetyucyate / yadapyuktaṃ vyabhicārasyādarśanāditi sādhanaṃ, tadapi	na asti eva iti ucyate / yat api uktam vyaBicArasya adarSanAt iti sADanan, tat api
   sandigdhāsiddham / pratyayāntaravaikalyenāhatya vyabhicārasyādarśane 'pi	sandigDA sidDam / pratyaya antara vEkalyena Ahatya vyaBicArasya adarSane api
   sarvatra niṣeddhumaśakyatvāt / na caitāvatā prāmaṇikalokayātrātikramaḥ /	sarvatra nizedDum aSakyatvAt / na ca etAvatA prAmaNika lokayAtrA atikramaH /
   prāmāṇikaireva sādhakabādhakapramāṇābhāve saṃśayasya vihitatvāt / na ca	prAmANikEH eva sADaka bADaka pramANa aBAve saMSayasya vihita tvAt / na ca
   caivaṃ saṃśayena sarvatrapravṛttiprasaṅgaḥ, pramāṇādarthasandehācca	ca evam saMSayena sarvatra pravRtti prasaFgaH, pramANAt arTa sandehAt ca
   pravṛtterupapatteḥ / yadapyuktam  	pravRtteH upapatteH / yat api uktam  
   `yathānyatvāviśeṣe 'pi bauddhānāṃ kiñcideva vastu kāryaṃ syāt,	`yaTA anyatva aviSeze api bOdDAnAm kiQcid eva vastu kAryam syAt ,
   kiñcideva kāraṇaṃ, na sarva, tathā mamāpyanyatvāviśeṣe 'pi kiñcideva	kiQcid eva kAraNaM, na sarva, taTA mama api anyatva aviSeze api kiQcid eva
   dhūmādikaṃ vastu svābhāvika sambandhena sambaddhaṃ na sarvam' iti /	DUma Adikam vastu svABAvika sambanDena sambadDam na sarvam a iti /
   tanna yuktam / yathā dhūmākhyaṃ vastu dahanāyattamiti pramāṇasiddhiṃ tathā	tat na yuktam / yaTA DUma AKyam vastu dahana Ayattam iti pramANa sidDim taTA
   kiṃ svābhāvikasambandho 'pi pramāṇasiddhaḥ, yenaivamucyate? kiñca	kim svABAvika sambanDaH api pramANa sidDaH, yena evam ucyate? kiQca
   svābhāvikasambandha iti ko 'rthaḥ? kiṃ svato bhūtaḥ, svahetorvā bhūtaḥ	svABAvika sambanDaH iti kaH arTaH? kim svatas BUtaH, sva hetoH vA BUtaH
   ahetuko vā iti trayo vikalpāḥ / tatra na tāvadādyaḥ pakṣaḥ, svātmani	ahetukaH vA iti trayaH vikalpAH / tatra na tAvat AdyaH pakzaH, sva Atmani
   kriyāvirodhāt / nāpi dvitīyaḥ, tadutpattisambandhasvīkāraprasaṅgāt /	kriyA viroDAt / na api dvitIyaH, tad utpatti sambanDa svIkAra prasaFgAt /
   athāhetukaḥ, tadā deśakālasvabhāvaniyamābhāvādatīvāsaṅgataḥ	aTa ahetukaH, tadA deSa kAla svaBAva niyama aBAvAt atIvAsaFgataH
   svābhāvikasambandhavādaḥ /	svABAvika sambanDa vAdaH /
   kiñca sādharmyeṇa vaidharmyeṇa vā dṛṣṭāntamātramastīti na vyāptisiddhiḥ /	kiQca sADarmyeNa vEDarmyeNa vA dRzwAnta mAtram asti iti na vyApti sidDiH /
   yadṛcchayā militayorapi karabhagadarbhayostathābhāvaprasaṅgāt /	yadRcCayA militayoH api kara Baga darBayoH taTA BAva prasaFgAt /
   tasmānnidarśanaṃ nāma [dṛṣṭānta ucyate / sa ca]	tasmAt nidarSanam nAma [dRzwAntaH ucyate / sa ca]
   gṛhītavismṛtapratibandhasādhaka pramāṇasmaraṇadvāreṇaiva hetāvupayujyate,	gRhIta vismRta pratibanDa sADaka pramANa smaraNa dvAreNa eva hetO= upayujyate,
   na svasannidhimātreṇa / tathāhi   na tāvadākāśe sādhyābhāvena	na sva sanniDi mAtreNa / taTA hi  na tAvat AkASe sADya aBAvena
   sadhanābhāvaḥ pratīyate / ākāśe hi yathā buddhimatkāraṇanivṛttistathā	sa Dana aBAvaH pratIyate / AkASe hi yaTA budDimat kAraNa nivRttiH taTA
   acetanasyāpi kāraṇasya nivṛttirnāstyeva /	acetanasya api kAraNasya nivRttiH na asti eva /
   tatkasyābhāvaprayuktakāryatvābhāvaḥ pratīyatāṃ, yena	tat kasya aBAva prayukta kArya tva aBAvaH pratIyatAn, yena
   sādhyābhāvaprayuktasādhanābhāva vyatirekaḥ sidhyatīti / nāpi ghaṭe	sADya aBAva prayukta sADana aBAva vyatirekaH siDyati iti / na api Gawe
   kāryatvasya buddhimadanvayadarśanādākāśe 'pi buddhimadabhāvādeva	kAryatvasya budDimat anvaya darSanAt AkASe api budDi mat aBAvAt eva
   kāryatvābhāvo vaktuṃ yujyate, yasmādanayostādātmyaṃ tadutpattiranyo vā	kAryatva aBAvaH vaktum yujyate, yasmAt anayoH tAdAtmyam tad utpattiH anyaH vA
   svābhāvikādisambandhaḥ pūrvapramāṇena na prasādhitaḥ syādityuktam /	svABAvika Adi sambanDaH pUrva pramANena na prasADitaH syAt iti uktam /
   adarśanamātreṇa vyatireko 'siddhaḥ	adarSana mAtreNa vyatirekaH asidDaH
   kiñcādarśanamātrena vyatireko na sidhyati / tathā hi, vipakṣe	kiQca adarSana mAtrena vyatirekaH na siDyati / taTA hi, vipakze
   heturnopalabhyata ityanena tadupalambhakapramāṇa nivṛttirucyate / pramāṇaṃ	hetuH na upalaByate iti anena tad upalamBaka pramANa nivRttiH ucyate / pramANam
   ca prameyasya kāryam, 'nākāraṇaṃ viṣaya' iti nyāyāt / na ca kāryanivṛttau	ca prameyasya kAryam, anAkAraNam vizaya a iti nyAyAt / na ca kArya nivRttO
   kāraṇanivṛttiryujyate, nirdhūmasyāpi vahnerbhānāt / yadi punaḥ	kAraNa nivRttiH yujyate, nirDUmasya api vahneH BAnAt / yadi punar 
   pramāṇasattayā prameyasattā vyāptā syāt, tadā yuktamevaitat /	pramANa sattayA prameya sattAH vyAptA syAt, tadA yuktam eva etat /
   kevalamiyameva vyāptirasambhāvinī, sarvasya sarvadarśitvaprasaṅgāt /	kevalam iyam eva vyAptiH asamBAvinI, sarvasya sarva darSi tva prasaFgAt /
   tasmānnādarśanamātreṇa vyatirekaḥ sidhyati / yathoktam   'sarvādṛṣṭiśca	tasmAt na adarSana mAtreNa vyatirekaH siDyati / yaToktam  asarvAdRzwiH ca
   sandigdhā svādṛṣṭirvyabhicāriṇī /	sandigDA svAdRzwiH vyaBicAriNI /
   bhūjalāntargatasyāpi bījasyāsattvadarśanāt' // iti //	BU jala antargatasya api bIjasya asattva darSanAt a // iti //
   vācaspatimatanirasanam	vAcaspati mata nirasanam
   yadapi vācaspatirāha  	yat api vAcaspatiH Aha  
   `viśeṣasmṛtyapekṣa eva saṃśayo bhavati tato yathādarśanameva	`viSeza smRti apekzaH eva saMSayaH Bavati tatas yaTAdarSanam eva
   śaṅkitumucitam' iti /	SaFkitum ucitam a iti /
   atrocyate   nāyaṃ nyāyaḥ sārvatrikaḥ / tathā cābhyupagamyāpi brūmaḥ /	atra ucyate  na ayam nyAyaH sArvatrikaH / taTA ca aByupagamya api brUmaH /
   tathā hi   [kāryatvadhūmatvayoḥ] tādātmyatadutpattisambandha viyogitvena	taTA hi  [kAryatva DUma tvayoH] tAdAtmya tad utpatti sambanDa viyogi tvena
   sādhāraṇena dharmeṇa prameyatvadhūmatvakāryatvādīnāṃ tanmatenāpi	sADAraNena DarmeNa prameya tva DUma tva kArya tva AdInAm tad matena api
   sajātīyatvam / tatra prameyatvasyavyabhicāradarśanamevānyatrāpi	sajAtIya tvam / tatra prameya tvasya vyaBicAra darSanam eva anyatra api
   śaṅkāmupasthāpayatīti yathādarśanamevedamāśaṅkitam / ataḥ	SaFkAm upasTApayati iti yaTAdarSanam eva idam ASaFkitam / atas 
   sandigdhavipakṣavyāvṛttikatvaṃ nāma hetudūṣaṇaṃ durvārameva / etacca	sandigDa vipakza vyAvRttika tvam nAma hetu dUzaNam durvAram eva / etat ca
   saddūṣaṇameva /	sat dUzaNam eva /
   ato yadanenoktam   'nāyaṃ hetudoṣaḥ, ato na parihartavyaḥ, tasya copanyāso	atas yat anena uktam  anAyam hetu dozaH, atas na parihartavyaH, tasya ca upanyAsaH 
   'doṣodbhāvanaṃ nāma nigrahasthānam' iti / tadidānīṃ svamatenaivānena	adozodBAvanam nAma nigraha sTAnam a iti / tat idAnIm sva matena eva anena
   vādinā niranuyojyānuyogalakṣaṇena nigrahasthānenātmā bādhita ityupekṣaṇiyo	vAdinA niranuyojya anuyoga lakzaNena nigraha sTAnena AtmA bADitaH iti upekzaNiyaH 
   'yaṃ devānāṃ priyaḥ //	ayam devAnAm priyaH //
   īśvarasādhakānumāne anupapattiḥ	ISvara sADaka anumAne anupapattiH
   nanu yadi dṛśyāgnidhūmasāmānyayoriva dṛśyātmanoreva kāryakāraṇasāmānyayoḥ	nanu yadi dRSya agni DUma sAmAnyayoH iva dRSya AtmanoH eva kArya kAraNa sAmAnyayoH
   pratyakṣānulambhato vyāptistadā santānāntarānumānaṃ na syāt,	pratyakza anulamBataH vyAptiH tadA santAna antara anumAnam na syAt ,
   paracittasyādṛśyātmakatayā vyāptigrahaṇakāle 'nantarbhāvāditi cet? na /	para cittasya adRSya Atmaka tayA vyApti grahaNa kAle anantarBAvAt iti cet? na /
   svasaṃvedanaṃ hi tatra vyāptigrāhakam / svasaṃvedanamātrāpekṣayā	sva saMvedanam hi tatra vyApti grAhakam / sva saMvedana mAtra apekzayA
   paricittasyāpi dṛśyatvāt / na caivaṃ	paricittasya api dRSya tvAt / na ca evam
   vyāvahārikendriyapratyakṣamātrabuddhimanmātraṃ jaṭharacitrasādhāraṇaṃ	vyAvahArika indriya pratyakza mAtra budDimat mAtram jaWara citra sADAraNam
   vahnimātraṃ vā gocaro yujyate, yenāsyāpi dṛśyatā syāt / tasmāt dṛśyenaiva	vahni mAtram vA gocaraH yujyate, yena asya api dRSyatA syAt / tasmAt dRSyena eva
   vahninā dhūmasya pratyakṣānupalambhābhyāṃ vyāptiriti nyāyaḥ // kiñca yadi	vahninA DUmasya pratyakza anupalamBAByAm vyAptiH iti nyAyaH // kiQca yadi
   buddhimanmātrapūrvakatvamanena sādhyate, tadā siddhasādhanatādūṣaṇaṃ	budDimat mAtra pUrvaka tvam anena sADyate, tadA sidDa sADana tA dUzaNam
   sādhanasya / atha eko nityaḥ sarvajña	sADanasya / aTa ekaH nityaH sarvajQa
