   tṛtīyaḥ paricchedaḥ	tRtIyaH paricCedaH
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   āgacchati gṛhaṃ tasya kāryavyājena kenacit // VisSd_3.122 //	AgacCati gRham tasya kArya vyAjena kenacid // VisSd _3.122 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, na) āgacchati gṛhaṃ tasyeti bhinnagṛhasthitasya ityarthaḥ /	(vi, na) AgacCati gRham tasya iti Binna gRha sTitasya iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   dattaṃ kimapi kāntena dhṛtvāṅge muhurīkṣate /	dattam kim api kAntena DRtvA aFge muhur Ikzate /
   Locanā:	LocanA:
   (lo, ai) dattamiti /	(lo, E) dattam iti /
   kimapi tucchamapi vastu /	kim api tucCam api vastu /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nityaṃ haṣyati tadyoge viyoge malinā kṛśā // VisSd_3.123 //	nityam hazyati tad yoge viyoge malinA kRSAH // VisSd _3.123 //
   manyate bahu tacchīlaṃ tatpriyaṃ manyate priyam /	manyate bahu tat SIlam tat priyam manyate priyam /
   prārthayatyalpamūlyāni suptā na parivartate // VisSd_3.124 //	prArTayati alpa mUlyAni suptA na parivartate // VisSd _3.124 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pa) prārthayatyalpamūlānīti  bahumūlyaprārthane	(vi, pa) prArTayati alpa mUlAni iti   bahu mUlya prArTane
   tadaprītibhayamityarthaḥ /	tat aprIti Bayam iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   vikārān sāttvikānasya sammukhī nādhigacchati /	vikArAn sAttvikAnasya sammuKI na aDigacCati /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, pha) sammukhaṃ nādhigacchati kintu pārśvasthā eva ityarthaḥ /	(vi, Pa) sammuKam na aDigacCati kintu pArSva sTAH eva iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   bhāṣate sūnṛtaṃ snigdhāmanuraktā nitambinī // VisSd_3.125 //	BAzate sUnRtam snigDAm anuraktA nitambinI // VisSd _3.125 //
   eteṣvadhikalajjāni ceṣṭitāni navastriyāḥ /	etezu aDika lajjAni cezwitAni nava striyAH /
   Locanā:	LocanA:
   (lo, o) eteṣu anurāgeṅgiteṣu madhye /	(lo, o) etezu anurAga iFgitezu maDye /
   ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   madhyavrīḍāni madhyāyāḥ straṃsamānatrapāṇi tu // VisSd_3.126 //	maDya vrIxAni maDyAyAH straMsa mAna trapANi tu // VisSd _3.126 //
   ānyastriyāḥ pragalbhāyāstathā syurvārayoṣitaḥ /	Anya striyAH pragalBAyAH taTA syuH vAra yozitaH /
   diṅmātraṃ yathā  	diS mAtram yaTA  
   "antikagatamapi māmiyamavalokayatīva inta ! dṛṣṭvāpi /	"antika gatam api mAm iyam avalokayati iva intaH ! dRzwvA api /
   sarasanakhakṣatalakṣitamāviṣkurute bhujāmūlam" //	sarasa naKa kzata lakzitam Avizkurute BujA mUlam" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ba) antikagatamapīti /	(vi, ba) antika gatam api iti /
        sakhyau sakyuruktiriyam /	saKyO sakyuruktiH iyam /
        hanta harṣe dṛṣṭvāpi iyaṃ priyāntikagatamapi mām alokayantīva	hanta harze dRzwvA api iyam priya antika gatam api mAm alokayantI iva
   apaśyantīva sarasanakhakṣatena lakṣitaṃ cihnitaṃ bhujāmūlaṃ bāhumūlam	apaSyanti iva sarasa naKa kzatena lakzitam cihnitam BujA mUlam bAhu mUlam
   āviṣkuruta ityarthaḥ /	AvizkurutaH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tathā  	taTA  
   lekhyaprasthāpanaiḥ snigdhairvokṣitairmṛdubhāṣitaiḥ // VisSd_3.127 //	leKya prasTApanEH snigDEH vokzitEH mRdu BAzitEH // VisSd _3.127 //
   dūtīsampreṣaṇairnāryā bhāvābhivyaktiriṣyate /	dUtI samprezaNEH nAryAH BAva aBivyaktiH izyate /
   dūtyaśca  	dUtyaH ca  
   dūtyaḥ sakhī naṭī dāsī dhātreyī prativeśinī // VisSd_3.128 //	dUtyaH saKI nawI dAsI DAtreyI prativeSinI // VisSd _3.128 //
   bālā pravrajitā kārūḥ śilpinyādyaḥ svayaṃ tathā /	bAlA pravrajitA kArUH SilpinI AdyaH svayam taTA /
   kārū rajakīprabhṛtiḥ /	kAruH rajakI praBRtiH /
   śilpinī citrakārādistrī /	SilpinI citrakAra Adi strI /
   ādiśabdāttāmbūlikagāndhikastrīprabhṛtayaḥ /	Adi SabdAt tAmbUlika gAnDika strI praBRtayaH /
   tatra sakhī yathā  	tatra saKI yaTA  
   "śvāsānmuñcati  " ityādi /	"SvAsAt muQcati  " ityAdi /
   svayaṃdūtī yathā mama  	svayaMdUtI yaTA mama  
   "panthia piāsio via lacchīasi jāsi tā kimaṇṇatto /	"panTia piAsiaH via lacCIasi jAsi tA kimaNNattaH /
   ṇa maṇaṃ vi vārao idha atthi dhare ghaṇarasaṃ piantāṇaṃ" //	Na maNam vi vAraaH iDa atTi Dare GaNa rasam piantANaM" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, bha) svayaṃ tatheti svayamapi dūtī /	(vi, Ba) svayam taTA iti svayam api dUtI /
        panthia iti /	panTiaH iti /
        pathika ! pipāsuriva lakṣyase yāsi tat kimanyatra /	paTikaH ! pipAsuH iva lakzyase yAsi tat kim anyatra /
        na manāgapi vāraka ihāsti gṛhe ghanarasaṃ pibatām //	na manAk api vArakaH iha asti gRhe Gana rasam pibatAm //
        iti saṃskṛtam manāk alpaḥ /	iti saMskRtam manAk alpaH /
        ghanarasam jalam /	Gana rasam jalam /
        vyaṅgyārthastu tvaṃ pipāsū rasasvādecchuḥ /	vyaFgya arTaH tu tvam pipAsuH rasasvAda icCuH /
        ghanarasaṃ sukhena nihitaṃ śṛṅgārarasaṃ pibatām āsvādayatām /	Gana rasam suKena nihitam SRFgAra rasam pibatAm AsvAdayatAm /
        vārako 'lpo 'pi nāstītyarthaḥ /	vArakaH alpaH api na asti iti arTaH /
        Locanā:	LocanA:
        (lo, au) panthia iti /	(lo, O) panTiaH iti /
        pathika ! pipāsuriva lakṣyase yāsi tat kimanyatra /	paTikaH ! pipAsuH iva lakzyase yAsi tat kim anyatra /
        na manāgapi vāraka ihāsti gṛhe ghanarasaṃ pibatām //	na manAk api vArakaH iha asti gRhe Gana rasam pibatAm //
        ghanarasaṃ jalam /	Gana rasam jalam /
        vyaṅgyārthaśca ghanarasāṃ māmanibāritamupabhuṅkṣva /	vyaFgya arTaH ca Gana rasAm mAm anibAritam upaBuFkzva /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   etāśca nāyikāviṣaye nāyakānāmapi dūtyo bhavanti /	etAH ca nAyikA vizaye nAyakAnAm api dUtyaH Bavanti /
   dūtīguṇānāha  	dUtI guNAn Aha  
   kalākauślamutsāho bhaktiścittajñatā smṛtiḥ // VisSd_3.129 //	kalA kOSlam utsAhaH BaktiH citta jQa tA smRtiH // VisSd _3.129 //
   mādhuryaṃ narmavijñānaṃ vāgmitā ceta tadguṇāḥ /	mADuryam narma vijQAnam vA agmitA ceta tad guNAH /
   eta api yathaicityāduttamādhamamadhyamāḥ // VisSd_3.130 //	ete api yaTA EcityAt uttama aDama maDyamAH // VisSd _3.130 //
   etādūtyaḥ /	etAdUtyaH /
   atha pratināyakaḥ  	aTa pratinAyakaH  
   dhīroddhataḥ pāpakārī vyasanī pratināyakaḥ /	DIra udDataH pApa kArI vyasanI pratinAyakaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ma) pratināyaka iti vīraraudrarasayorityarthaḥ /	(vi, ma) pratinAyakaH iti vIra rOdra rasayoH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā rāmasya rāvaṇaḥ /	yaTA rAmasya rAvaNaH /
   atheddīpanavibhāvāḥ  	aTa it dIpana viBAvAH  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ya) itthamālambanavibhāvapradarśanaṃ samāpya	(vi, ya) itTam Alambana viBAva pradarSanam samApya
   uddīpanavibhāvamāha  atheti /	uddIpana viBAvam Aha  aTa iti /
        Locanā:	LocanA:
        (lo, a) evaṃ saparikaraṃ vibhāvasya ālambanākhyaṃ bhedaṃ nirūpya	(lo, a) evam sa parikaram viBAvasya Alambana AKyam Bedam nirUpya
   uddīpanākhyaṃ bhedaṃ nirūpayannāha  athorddāpanetyādi /	uddIpana AKyam Bedam nirUpayat = Aha  aTa uH ddApana ityAdi /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   uddīpanavibhāvāste rasamuddīpayanti ye // VisSd_3.131 //	uddIpana viBAvAH te rasam uddIpayanti ye // VisSd _3.131 //
   te ca  	te ca  
   ālambanasya ceṣṭādyā deśakālādayastathā /	Alambanasya cezwA AdyAH deSa kAla AdayaH taTA /
   ceṣṭādyā ityādyaśabdādrūpabhāṣaṇādayaḥ /	cezwA AdyAH iti Adya SabdAt rUpa BAzaNa AdayaH /
   kālādītyādiśabdāccandracandanakokilālāpabhramarajhaṃkārādayaḥ /	kAla Adi ityAdi SabdAt candra candana kokila AlApa Bramara JaMkAra AdayaH /
   tatra candrodayo yathā mama  	tatra candra udayaH yaTA mama  
   "karamudayamahīdharastanāgre galitatamaḥ paṭalaṃśuke niveśya /	"karam udaya mahIDara stana agre galitatamaH pawalaMSuke niveSya /
   vikasitakumudekṣaṇaṃ vicumbatyayamamareśadiśo mukhaṃ sudhāṃśuḥ" //	vikasita kumuda IkzaNam vicumbati ayam amara ISa diSaH muKam suDAMSuH" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ra) karamudayamahīdhareti   ayaṃ sudhāṃśuḥ amareśasya indrasya	(vi, ra) karam udaya mahIDara iti   ayam suDAMSuH amareSasya indrasya
   diśaḥ prācyāḥ mukhaṃ vicumbati /	diSaH prAcyAH muKam vicumbati /
        kiṃ kṛtvā galitaṃ tamaḥ paṭalarūpam aṃśukaṃ yasmāt tādṛśe	kim kRtvA galitam tamaH pawala rUpam aMSukam yasmAt tAdRSe
   udayamahīdhararūpasya stanasyāgre karaṃ raśmimeva karaṃ niveśya /	udaya mahIDara rUpasya stanasya agre karam raSmim eva karam niveSya /
        yadyapyatra candro nāyaka eva na uddīpanavibhāvaḥ /	yadi api atra candraH nAyakaH eva naH uddIpana viBAvaH /
        tathāpi candradiśornāyakanāyikayorvṛttāntadarśanāt uddīptasya	taTA api candra diSoH nAyaka nAyikayoH vRttAnta darSanAt uddIptasya
   vaktṛśṛṅgārasya candra uddṛpakaḥ /	vaktR SRFgArasya candraH uddRpakaH /
        sphuṭamudāharaṇantu    karpūradhūladhavaladyutipūradhauta  	sPuwam udAharaNantu   karpUra DUla Davala dyuti pUra DOta  
   diṅmaṇḍale śiśirarociṣi tasya yūnaḥ /	diS maNxale SiSira rocizi tasya yUnaH /
        līlāśiroṃ'śukaniveśaviśeṣakḷpti   vyaktastanonnatirabhūnnayanāvanau	lIlA SiroM aSuka niveSa viSeza k?pti  vyakta stana unnatiH aBUt naya nAvanO
   sā //	sA //
        iti	iti
        Locanā:	LocanA:
        (lo, ā) karamudayeti karaṃ kiraṇaṃ hastaśca kumudānām īkṣaṇaṃ	(lo, A) karam udayA iti karam kiraNam hastaH ca kumudAnAm IkzaNam
   darśanaṃ pakṣe kumudameva īkṣaṇaṃ cakṣuryatra /	darSanam pakze kumudam eva IkzaNam cakzuH yatra /
        evaṃvidhaḥ candraḥ prakaraṇasthaṃ śṛṅgārādirasamuddīpayati /	evaMviDaH candraH prakaraNa sTam SRFgArAdirasam uddIpayati /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yo yasya rasamyoddīpanavibhāvaḥ sa tatsvarūpavarṇane vakṣyate /	yaH yasya rasamya uddIpana viBAvaH sa tad svarUpa varNane vakzyate /
   athānubhāvāḥ  	aTa anuBAvAH  
   udbuddhaṃ kāraṇaiḥ svaibahirbhāvaṃ prakāśayan // VisSd_3.132 //	udbudDam kAraNEH svEba hirBAvam prakASayan // VisSd _3.132 //
   loke yaḥ kāryarūpaḥ so 'nubhāvaḥ kāvyanāṭyayoḥ /	loke yaH kArya rUpaH saH anuBAvaH kAvya nAwyayoH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, la) itthaṃ vibhāvān samāpya anubhāvānāha /	(vi, la) itTam viBAvAn samApya anuBAvAn Aha /
        atha anubhāvā iti /	aTa anuBAvAH iti /
        udbuddhamiti /	udbudDam iti /
        svaiḥ svaiḥ kāraṇaiḥ udbuddhaṃ bhāvaṃ ratyādikaṃ bahiḥ prakāśayan	svEH svEH kAraNEH udbudDam BAvam rati Adikam bahis prakASayan
   ityarthaḥ /	iti arTaH /
        bahirdṛṣṭaḥ san ratyādibhāvaṃ sāmājike prakāśayannityarthaḥ /	bahis dRzwaH san rati Adi BAvam sAmAjike prakASayan= iti arTaH /
        Locanā:	LocanA:
        (lo, i) uddeśakamaprāptamanubhāvaṃ nirūpayitumavatārayati /	(lo, i) uddeSa kama prAptam anuBAvam nirUpayitum avatArayati /
        atheti   udbuddhamiti rāmādervāsanāntarlonasya ratyādibhāvanasya	aTa iti   udbudDam iti rAma AdeH vAsana antar lonasya rati Adi BAvanasya
   udvodhaṃ bahiḥ prakaṭayannityarthaḥ /	udvoDam bahis prakawayan= iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yaḥ khalu loke sītādicandrādibhiḥ svaiḥ svairālambanoddīpanakāraṇe	yaH Kalu loke sItA Adi candra AdiBiH svEH svEH a Alambana uddIpana kAraNe
   rāmāderantarudbuddhaṃ ratyādikaṃ bahiḥ prakāśayan kāryamityucyate, sa	rAma AdeH antar udbudDam rati Adikam bahis prakASayan kAryam iti ucyate, sa
   kāvyanāṭyayoḥ punaranubhāvaḥ /	kAvya nAwyayoH punar anuBAvaH /
   kaḥ punarasāvityāha  	kaH punar asO= iti Aha  
   uktāḥ strīṇāmalaṅkārā aṅgajāśca svabhāvajāḥ // VisSd_3.133 //	uktAH strINAm alaFkArAH aFga jAH ca svaBAva jAH // VisSd _3.133 //
   tadrūpāḥ sāttvikā bhāvāstathā ceṣṭāḥ parā api /	tad rUpAH sAttvikAH BAvAH taTA cezwAH parAH api /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, va) uktāḥ strīṇamiti   aṅgajāḥ svābhāvikāśca ye	(vi, va) uktAH strINa m iti   aFga jAH svABAvikAH ca ye
   strīṇāmaṣṭāviṃśatiralaṅkārāḥ sāttvikā uktāḥ tathā aparā api tāsāṃ puṃsāṃ	strINAm azwAviMSatiH alaFkArAH sAttvikAH uktAH taTA aparAH api tAsAm puMsAm
   vā yāḥ ceṣṭāḥ vakṣyamāṇāstāḥ sarvāḥ sāttvikāstadrūpā anubhāvarūpā	vA yAH cezwAH vakzyamANAH tAH sarvAH sAttvikAH tad rUpA anuBAva rUpA
   ityarthaḥ /	iti arTaH /
        Locanā:	LocanA:
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tadrūpā anubhāvasvarūpāḥ /	tad rUpAH anuBAva svarUpAH /
   tatra yo yasya rasasyānubhāvaḥ sa tatsvarūpavarṇane vakṣyate /	tatra yaH yasya rasasya anuBAvaH sa tad svarUpa varNane vakzyate /
   tatra sāttvikāḥ  	tatra sAttvikAH  
   vikārāḥ sattvasaṃbhūtāḥ sāttvikāḥ parikīrtitāḥ // VisSd_3.134 //	vikArAH sattva saMBUtAH sAttvikAH parikIrtitAH // VisSd _3.134 //
   sattvaṃ nāma svātmaviśrāmaprakāśakārī kaścanāntaro dharmaḥ /	sattvam nAma sva Atma viSrAma prakASa kArI kaScana antaraH DarmaH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, śa) ātmaviśrameti   rajastamo 'dhīnavikārarāhityena ātmanaḥ	(vi, Sa) Atma viSrama iti   rajaH tamaH aDIna vikAra rAhityena AtmanaH
   sthitiḥ viśrāmaḥ /	sTitiH viSrAmaH /
        tat prakāśaḥ tadutpattistatkārītyarthaḥ /	tat prakASaH tad utpattiH tad kArI iti arTaH /
        Locanā:	LocanA:
        (lo, ī) kaścanāntaro dharmmaḥ saca paragataduḥ	(lo, I) kaScana antaraH DarmmaH sa ca para gata duH
   khaharṣādibhāvanāyāmatyantānukūlāntaḥ karaṇatvam /	Ka harza Adi BAvanAyAm atyanta anukUlA antar karaNa tvam /
        tasya ca samāhitamanastvena rāghavādi samānadāntaratvam /	tasya ca samAhita manaH tvena rAGava Adi samAna da antara tvam /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   sattvamātrodbhavatvātte bhinnā aṣyanubhāvataḥ /	sattva mAtra udBava tvAt te BinnAH azi anuBAvataH /
   "gobalīvarddanyayena" iti śeṣaḥ /	"go balI varddanyayena" iti SezaH /
   ke ta ityāha  	ke te iti Aha  
   stambhaḥ svedo 'tha lomāñcaḥ svarabhaṅgo 'tha vepathuḥ // VisSd_3.135 //	stamBaH svedaH aTa lomAQcaH svaraBaFgaH aTa vepaTuH // VisSd _3.135 //
   vaivarṇyamaśru pralaya ityaṣṭau sāttvikāḥ smṛtāḥ /	vEvarNyam aSru pralayaH iti azwO sAttvikAH smRtAH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ṣa) te bhinnā iti   loke yaḥ kāryarūpaḥ so 'nubhāva ityanena	(vi, za) te BinnAH iti   loke yaH kArya rUpaH saH anuBAvaH iti anena
   ratyādeḥ kāryamātrasyaivānubhāvatvabhuktam /	rati AdeH kArya mAtrasya eva anuBAva tva Buktam /
        uktasātvikabhāvānāmapi tatkāryakṛt anubhāvato bhinnā ityarthaḥ /	ukta sAtvika BAvAnAm api tad kArya kRt anuBAvataH BinnAH iti arTaH /
        nanu kiṃ tarhi sāttvikena pṛthagupādānamityata āha   gobalīvardeti /	nanu kim tarhi sAttvikena pRTak upAdAnam iti atas Aha    go balI vardA iti /
        gotvena prāptasyāpi balīvardasyaiva kāryatvena prāptanāmipi	go tvena prAptasya api balIvardasya eva kAryatvena prAptanAm ipi
   sāttvikānāṃ prāśastyārthaṃ pṛthagupādānamityarthaḥ /	sAttvikAnAm prASastya arTam pRTak upAdAnam iti arTaH /
        praśāstyañca anyakāryāpekṣayā ratyādiprakarṣabodhakatvarūpaṃ	praSAsti aQca anya kArya apekzayA rati Adi prakarza boDaka tva rUpam
   prādhānyam /	prADAnyam /
        tathā aparā api sāttvikā iti yaduktaṃ tān pṛcchati /	taTA aparAH api sAttvikAH iti yat uktam tAn pRcCati /
        ke te ityaṣṭāviti   ityaṣṭāvapītyarthaḥ /	ke te iti azwO= iti    iti azwO= api iti arTaH /
        Locanā:	LocanA:
        (lo, u) gobalīvarddanyāyena tu svarūpeṇa /	(lo, u) go balI varddanyAyena tu svarUpeNa /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   tatra  	tatra  
   stambhaśceṣṭāpratīghāto bhaharṣāmayādibhiḥ // VisSd_3.136 //	stamBaH cezwA pratIGAtaH Baharza Amaya AdiBiH // VisSd _3.136 //
   vapurjalodramaḥ svedo ratigharmaśramādibhiḥ /	vapuH jalodramaH svedaH rati Garma Srama AdiBiH /
   harṣādbhutabhayādibhyo romāñco romavikriyā // VisSd_3.137 //	harza adButa Baya AdiByaH romAQcaH roma vikriyAH // VisSd _3.137 //
   madasaṃmadapīḍādyairvaisvaryaṃ gadradaṃ viduḥ /	mada saMmada pIxA AdyEH vEsvaryam gadra dam viduH /
   rāgadveṣaśraṇādibhyaḥ kampo gātrasya vepathuḥ // VisSd_3.138 //	rAga dveza SraNa AdiByaH kampaH gAtrasya vepaTuH // VisSd _3.138 //
   viṣādamadaroṣādyairvarṇānyatvaṃ vivarṇatā /	vizAda madaroza AdyEH varNa anyatvam vivarNa tA /
   aśru netrodravaṃ vāri krodhaduḥkhapraharṣajam // VisSd_3.139 //	aSru netra udravam vAri kroDa duHKa praharza jam // VisSd _3.139 //
   pralayaḥ sukhaduḥkhābhyāṃ ceṣṭājñānanirākṛtiḥ /	pralayaH suKa duHKAByAm cezwA jQAna nirAkRtiH /
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, sa) āmayādibhirityatra āmayo rogaḥ ādipadāt śokaparigrahaḥ /	(vi, sa) Amaya AdiBiH iti atra AmayaH rogaH Adi padAt Soka parigrahaH /
        itidharmmetyatra gharmma ātapaḥ, ādipadāt jvaraparigrahaḥ bhayādibhya	itiDarmmA iti atra GarmmaH AtapaH, AdipadAt jvara parigrahaH Baya AdiBya
   ityatra ādipadāt śītaparigrahaḥ /	iti atra Adi padAt SIta parigrahaH /
        madasaṃmadetyatra mado mattatā sammado harṣaḥ /	mada saMmadA iti atra madaH matta tA sammadaH harzaH /
        pīḍādyairityādipadāt atyantaruditaparigrahaḥ /	pIxA AdyEH ityAdi padAt atyanta rudita parigrahaH /
        ceṣṭājñānayornirākṛtiranutpādaḥ /	cezwA jQAnayoH nirAkRtiH anutpAdaH /
        Locanā:	LocanA:
        (lo, ū) sammado harṣaḥ /	(lo, U) sammadaH harzaH /
        ceṣṭājñānayornirākṛtirabhāvaḥ /	cezwA jQAnayoH nirAkRtiH aBAvaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   yathā mama  tanusparśādasyā daramukulite hanta ! nayane udañcadromāñcaṃ	yaTA mama   tanu sparSAt asyAH dara mukulite hanta ! nayane udaQcat romAQcam
   vrajati jaḍatāmaṅgamakhilam /	vrajati jaxa tAm aFgam aKilam /
   kapolau gharmārdrai dhruvamuparatāśeṣaviṣayaṃ manaḥ sāndrānandaṃ spṛśati	kapolO Garma ArdrEH Druvam uparata aSeza vizayam manaH sAndra Anandam spRSati
   jhaṭiti brahma paramam" //	Jawiti brahma paramam" //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ha) tanusparśādasyā iti /	(vi, ha) tanu sparSAt asyAH iti /
        asyā nāyikāyāstanusparśānnayanamukulādikapolagharmmāntā jātā	asyAH nAyikAyAH tanu sparSAt nayana mukula Adi kapola GarmmA antA jAtA
   ityarthaḥ /	iti arTaH /
        ato dhruvaṃ niścitam uparatāśeṣaviṣayaṃ tyaktasamastaviṣayaṃ manaḥ	atas Druvam niScitam uparata aSeza vizayam tyakta samasta vizayam manaH
   paramaṃ brahma jhaṭiti spṛśatītyarthaḥ /	paramam brahma Jawiti spRSati iti arTaH /
        atra puso romāñcādayastrayaḥ sāttvikāḥ /	atra pusaH romAQca AdayaH trayaH sAttvikAH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   evamanyat /	evam anyat /
   atha vyabhicāriṇaḥ  	aTa vyaBicAriNaH  
   viśeṣādābhimukhyena caraṇādvyabhicāriṇaḥ /	viSezAt ABimuKyena caraNAt vyaBicAriNaH /
   sthāyinyunmagnanirmagnāstrayastriṃśacca tadbhidāḥ // VisSd_3.140 //	sTAyinI unmagna nirmagnAH trayastriMSat ca tad BidAH // VisSd _3.140 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, kṣa) sthāyinyunmagna iti   sthāyini ratyādau ābhimukhyena	(vi, kza) sTAyinI unmagnaH iti   sTAyini rati AdO ABimuKyena
   ityanvayaḥ ābhimukhyañca āsvādaviśeṣavyañjane sahāyatvam /	iti anvayaH ABimuKyaQca AsvAda viSeza vyaQjane sahAya tvam /
        kecittu cittaparaṃ sthāyipadam /	kecid tu citta param sTAyi padam /
        tatra unmagnetyādirartha ityāhuḥ /	tatra unmagnA iti AdiH arTaH iti AhuH /
        Locanā:	LocanA:
        (lo, ṛ) atha vyabhicāriṇaḥ uddeśakamapraptyā iti śeṣaḥ /	(lo, R) aTa vyaBicAriNaH uddeSa kama praptyE iti SezaH /
        ityādau tu lavaṇākaraprāye nirvedādayo budbudprāyāḥ /	ityAdO tu lavaNa Akara prAye nirveda AdayaH budbudprAyAH /
        te tryadhikatniṃśatprakārā vyabhicāriṇa ityarthaḥ /	te tri aDikatniMSat prakArAH vyaBicAriNaH iti arTaH /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   sthiratayā vartamāne hi ratyādau nirvedādayaḥ	sTira tayA vartamAne hi rati AdO nirveda AdayaH
   prādurbhāvatirobhāvābhyāmābhimukhyena caraṇād vyabhicāriṇaḥ kathyante /	prAdurBAva tiroBAvAByAm ABimuKyena caraNAt vyaBicAriNaH kaTyante /
   ke ta ityāha  	ke te iti Aha  
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, ka) unmagnetyādayo vyākhyāyante   sthiratayeti /	(vi, ka) unmagna ityAdayaH vyAKyAyante   sTiratayA iti /
        prādurbhāvetyunmagnatāyāstirobhāveti nirmagnatāyāḥ vyākhyā /	prAdurBAva iti unmagna tAyAH tiroBAva iti nirmagna tAyAH vyAKyA /
        prādurbhāvatirobhāvau cotpattivināśau eva; na tu prakāśāprakāśau /	prAdurBAva tiroBAvO ca utpatti vinASO eva; na tu prakASa aprakASO /
        maraṇādestathātvābhāvāt /	maraNa AdeH taTA tva aBAvAt /
        ********** END OF COMMENTARY **********	********** END OF SOMMENTa aRY **********
   nirvedāvegadainyaśramamadajaḍatā augryamohau vibodhaḥ svaṣnāpasmāragarvā	nirveda Avega dEnya Srama mada jaxa tA Ogrya mohO viboDaH svazna apasmAra garvA
   maraṇamalasatāmarṣanidrāvahitthāḥ /	maraNam alasatA marza nidrA avahitTAH /
   autsukyonmādaśaṅkāḥ smṛtimatisahitā vyādhisatrāsalajjā harṣāsūyāviṣādāḥ	Otsukya unmAda SaFkAH smRti mati sahitAH vyADi satrAsa lajjAH harza asUyA vizAdAH
   sadhūticapalatā glānicintāvitarkāḥ // VisSd_3.141 //	sa DUti capalatA glAni cintA vitarkAH // VisSd _3.141 //
        ************* COMMENTARY *************	************* SOMMENTa aRY *************
        Vijñapriyā:	VijQa priyA:
        (vi, kha) smṛtimatisahitā ityasya viṣādā ityasyānvayaḥ /	(vi, Ka) smRti mati sahitAH iti asya vizAdAH iti asya anvayaH /
        sāhityañca uktāveva natu eṣāṃ parasparasāhityam /	sAhityaQca uktO= eva na tu ezAm paraspara sAhityam /
        ekaikasya tathātvāt /	ekEkasya taTAtvAt /
        Locanā:	LocanA:
        (lo, ṝ) ke kimākhyāḥ ? ete ca nirvedādayo vitarkāntā bhāvā	(lo, L) ke kim AKyAH ? ete ca nirveda AdayaH vitarka antA BAvA
   uddeśatastrayatriṃśaduktāḥ /	uddeSataH trayatriMSat uktAH /
        anyāḥ cittasya vṛttaya eṣāmeva vakṣyamāṇavibhāvānubhāvarūpatayā	anyAH cittasya vRttayaH ezAm eva vakzyamANa viBAva anuBAva rUpa tayA
