   Bhaiṣajyavastu	BhEzajya vastu
   kumāra viṣamāḥ panthāno durgamāḥ / khedam āpatsyase nivartasveti / yadi ca	kumAra vizamAH panTAnaH durgamAH / Kedam Apatsyase nivartasva iti / yadi ca
   nivāryamāṇo no tiṣṭhet tasya mārgaṃ vyapadeṣṭum arhasi / kumāra manoharayā	nivAryamANaH no tizWet tasya mArgam vyapadezwum arhasi / kumAra manoharayA
   samākhyātam* / uttare digbhāge trayaḥ kālaparvatās tān atikramya apare	samAKyAtam* / uttare diS BAge trayaH kAla parvatAH tAn atikramya apare
   trayas tān atikramya apare trayas tān atikramya apare trayas tān atikramya	trayaH tAn atikramya apare trayaH tAn atikramya apare trayaH tAn atikramya
   himavān parvatarājaḥ / tasyottareṇotkīlakaparvataḥ / tataḥ kūjako	himavAn parvata rAjaH / tasya uttareNa utkIlakaparvataH / tatas kUjakaH 
   jalapathaḥ khadiraka (fol. 180r1 = GBM 6.1028) ekadhārako vajrakaḥ	jalapaTaH KadirakaH (fol. 180r1  GBm 6.1028) ekaDArakaH vajrakaH
   kāmarūpī utkīlakaḥ airāvatakaḥ adhunānaḥ pramokṣaṇaḥ / ete te parvatāḥ	kAmarUpI utkIlakaH ErAvatakaH aDunAnaH pramokzaNaH / ete te parvatAH
   samatikramaṇīyāḥ / tatra khadirake parvate guhāpraveśaḥ ekadhārake ca (MSV	samatikramaNIyAH / tatra Kadirake parvate guhA praveSaH eka DArake ca (MSV
   I 145) utkīlake / vajrake tu pakṣirājena praveśaḥ / ebhir upāyais te	I 145) utkIlake / vajrake tu pakzirAjena praveSaH / eBiH upAyEH te
   parvatā atikramaṇīyāḥ / yantrāṇi ca bhaṃktavyāni / ajavaktro meṇḍhakaḥ	parvatAH atikramaNIyAH / yantrANi ca BaMktavyAni / ajavaktraH meNXakaH
   puruṣo rākṣasarūpī piṅgalo hantavyaḥ / guhāyāṃ lālāsrotasā mahatā ajagaro	puruzaH rAkzasa rUpI piFgalaH hantavyaH / guhAyAm lAlA srotasA mahatA ajagaraH 
   vegena pradhāvati / sa te vikrameṇa hantavyaḥ /	vegena praDAvati / sa te vikrameNa hantavyaH /
   ardhāntaragataṃ nāgaṃ yatra paśyet kirīṭakam* /{MS: arāntaragatāṃ nābhī	arDa antara gatam nAgam yatra paSyet kirIwakam* /{MS: ara antara gatAm nABI
   yatra paśyeta tatra kirīṭaḥ}	yatra paSyeta tatra kirIwaH}
   cāpamuktena bāṇena hantavyo mama kāraṇāt* //	cApa muktena bANena hantavyaH mama kAraNAt* //
   yatra paśyeta dvau meṣau saṃghaṭṭantu parasparam* /	yatra paSyeta dvO mezO saMGawwantu parasparam* /
   tayoḥ śṛṅgam ekaṃ bhaṃktvā mārgaṃ pratilapsyase //	tayoH SRFgam ekam BaMktvA mArgam pratilapsyase //
   āyasau puruṣau dṛṣṭvā śastrapāṇī mahābhayau /	AyasO puruzO dRzwvA Sastra pANI mahA BayO /
   tayor ekaṃ tāḍayitvā mārgaṃ pratilapsyase //	tayoH ekam tAxayitvA mArgam pratilapsyase //
   saṃkocayantīṃ prasārayantīṃ rākṣasīm āyasaṃ mukham* /	saMkocayantIm prasArayantIm rAkzasIm Ayasam muKam* /
   yadā paśyet tadā kīlaṃ lalāṭe tasyā nikhānayet* //	yadA paSyet tadA kIlam lalAwe tasyAH niKAnayet* //
   śilāvartas tathā kūpo vilaṃghyas te ṣaṣṭihastakaḥ /	SilAvartaH taTA kUpaH vilaMGyaH te zazwi hastakaH /
   haripiṅgalakeśākṣo dāruṇo yakṣarākasaḥ //	hari piFgala keSa akzaH dAruNaH yakza rAkasaH //
   (MSV I 146)	(MSV I 146)
   kārmukaṃ maṇḍalaṃ kṛtvā hantavyaś ca durāsadaḥ /	kArmukam maNxalam kRtvA hantavyaH ca durAsadaH /
   nadyaś ca balatastāryā nakragrāhasamākulāḥ //	nadyaH ca balataH tAryAH nakra grAha samAkulAH //
   naṅgā pataṅgā tapanī citrā rudanī hasanī āśīviṣā vetravatī ca /	naFgA pataFgA tapanI citrA rudanI hasanI ASIvizA vetravatI ca /
   naṅgāyāṃ rākṣasīkopā pataṅgāyām amanuṣyakāḥ /	naFgAyAm rAkzasI kopAH pataFgAyAm amanuzyakAH /
   tapanyāṃ grāhabahulatvaṃ citrāyāṃ kāmarūpiṇaḥ //	tapanyAm grAha bahula tvam citrAyAm kAmarUpiNaH //
   rudanyāṃ kinnarīceṭyo hasanyāṃ kinnarīsnuṣā /	rudanyAm kinnarI cewyaH hasanyAm kinnarI snuzA /
   āśīviṣāyāṃ nānāvidhāḥ sarpā vetranadyāṃ tu śālmaliḥ //	ASIvizAyAm nAnAviDAH sarpAH vetra nadyAm tu SAlmaliH //
   naṅgāyāṃ dhairyakaraṇaṃ pataṅgāyāṃ parākramaḥ /	naFgAyAm DErya karaNam pataFgAyAm parAkramaH /
   tapanyāṃ grāhamukhabandhaś citrāyāṃ vividhaṃ gītam //	tapanyAm grAha muKa banDaH citrAyAm viviDam gItam //
   rudanyāṃ saumanasyena samuttāraḥ / hasanyāṃ tūṣṇīṃbhāvayogena / āśīviṣāyāṃ	rudanyAm sOmanasyena samuttAraH / hasanyAm tUzNIMBOvayogena / ASIvizAyAm
   sarpaviṣamaṃtraprayogena / vetravatyāṃ tīkṣṇaśastrasaṃpātayogena	sarpa viza maMtra prayogena / vetravatyAm tIkzNa Sastra saMpAta yogena
   samuttāraḥ / nadīḥ samatikramya paṃcayakṣaśatānāṃ gulmakasthānam* / tad	samuttAraH / nadIH samatikramya paMca yakza SatAnAm gulmaka sTAnam* / tat 
   dhairyam āsthāya vidrāvyam* / tataḥ kinnararājasya bhavanam iti / tato	DEryam AsTAya vidrAvyam* / tatas kinnara rAjasya Bavanam iti / tatas 
   manoharā tam ṛṣim evam uktvā pādābhivandanaṃ kṛtvā prakrāntā /	manoharA tam Rzim evam uktvA pAda aBivandanam kRtvA prakrAntAH /
   yāvat sudhanaḥ kumāras taṃ karvaṭakaṃ sannāmya gṛhītaprābhṛto hastināpuram	yAvat suDanaH kumAraH tam karvawakam sat nAmya gRhIta prABRtaH hastinApuram
   anuprāptaḥ / śrutvā rājā parāṃ prītim upagataḥ / tataḥ kumāro mārgaśramaṃ	anuprAptaH / SrutvA rAjA parAm prItim upagataH / tatas kumAraH mArga Sramam
   prativinodya pituḥ sakāśaṃ gataḥ / praṇāmaṃ kṛtvā purastān niṣaṇṇaḥ /	prativinodya pituH sakASam gataH / praNAmam kRtvA purastAt nizaNNaH /
   rājñā parayā saṃbhāṣaṇayā saṃbhāṣitaḥ / uktaś ca / kumāra śivena (MSV I	rAjQA parayA saMBAzaNayA saMBAzitaH / uktaH ca / kumAra Sivena (MSV I
   147) tvam āgataḥ / deva tava prasādāt karvaṭakaḥ saṃnāmitaḥ / nīpakā	147) tvam AgataH / deva tava prasAdAt karvawakaH saMnAmitaH / nIpakA
   gṛhītāḥ / citrakaḥ sthāpitaḥ / ime tu karapratyayāḥ / paṇyāgāraś ca	gRhItAH / citrakaH sTApitaH / ime tu kara pratyayAH / paNyAgAraH ca
   sthāpita iti / rājā kathayati / putra śobhanaṃ pratigṛhītam* / tataḥ pituḥ	sTApitaH iti / rAjA kaTayati / putra SoBanam pratigRhItam* / tatas pituH
   praṇāmaṃ kṛtvā saṃprasthitaḥ / rājā kathayati / kumāra tiṣṭha prābhṛtaṃ	praNAmam kRtvA saMprasTitaH / rAjA kaTayati / kumAra tizWa prABRtam
   sahitāv eva bhokṣyāmaḥ / deva gacchāmi ciradṛṣṭā me manoharā / alaṃ kumāra	sahitO eva BokzyAmaH / deva gacCAmi cira dRzwA me manoharAH / alam kumAra
   adya gamanena / tiṣṭha śvo gamiṣyasīti / so 'nurudhyamāna evam āha / tāta	adya gamanena / tizWa Svas gamizyasi iti / saH anuruDyamAnaH evam Aha / tAta
   adyaiva mayāvaśyaṃ gantavyam* / rājā tūṣṇīm avasthitaḥ / tataḥ (fol. 180v1	adya eva mayA avaSyam gantavyam* / rAjA tUzNIm avasTitaH / tatas (fol. 180v1
   = GBM 6.1029) kumāraḥ svagṛhaṃ gataḥ / paśyati śrīvivarjitam	 GBm 6.1029) kumAraH sva gRham gataH / paSyati SrI vivarjitam
   antaḥpuradvāram* / sa cintāparaḥ praviṣṭo manoharāṃ na paśyati / itaś	antaHpura dvAram* / sa cintA paraH pravizwaH manoharAm na paSyati / itas 
   cāmutaś ca saṃbhrāntaḥ śūnyahṛdayaḥ śabdaṃ kartum ārabdhaḥ manoharā	ca amutas ca saMBrAntaH SUnya hRdayaH Sabdam kartum ArabDaH manoharA
   manohareti / yāvad antaḥpuraṃ sannipatitam* / bhoḥ striyaḥ kṣepaṃ kartum	manoharA iti / yAvat antaHpuram sannipatitam* / BoH striyaH kzepam kartum
   ārabdhaḥ / viddho 'sau hṛdayaśalyena sutarāṃ praṣṭum ārabdhaḥ / tābhir	ArabDaH / vidDaH asO hRdaya Salyena sutarAm prazwum ArabDaH / tABiH 
   yathābhūtaṃ samākhyātam* / sa śokena saṃmuhyate / tā striyaḥ kathayanti /	yaTABUtam samAKyAtam* / sa Sokena saMmuhyate / tAH striyaH kaTayanti /
   deva antaḥpure tatprativiśiṣṭatarāḥ striyaḥ santi / kimarthaṃ śokaḥ	deva antaHpure tad prativiSizwatarAH striyaH santi / kimarTam SokaH
   kriyate / sa pitur nairguṇyam upaśrutya kṛtaghnatāṃ ca mātuḥ sakāśam	kriyate / sa pituH nErguNyam upaSrutya kRtaGna tAm ca mAtuH sakASam
   upasaṃkrāntaḥ / pādayor nipatya kathayati / amba	upasaMkrAntaH / pAdayoH nipatya kaTayati / amba
   manoharāṃ na paśyāmi manorathaguṇair yutām* /	manoharAm na paSyAmi manoraTa guNEH yutAm* /
   sādhurūpasamāyuktā kva gatā me manoharā //	sADu rUpa samAyuktA kva gatA me manoharAH //
   manasā saṃpradhāvāmi mano me saṃpramuhyati /	manasA saMpraDAvAmi manaH me saMpramuhyati /
   hṛdayaṃ dahyate caiva rahitasya tayā bhṛśam* //	hRdayam dahyate ca eva rahitasya tayA BRSam* //
   (MSV I 148)	(MSV I 148)
   mano 'bhirāmā ca manoharā ca sā mano 'nukūlā ca manoratiś ca me /	manaH aBirAmA ca manoharA ca sA manaH anukUlA ca manoratiH ca me /
   santaptadeho 'smi manoharāṃ vinā kuto mamedaṃ vyasanaṃ samāgatam // iti /	santapta dehaH asmi manoharAm vinA kutas mama idam vyasanam samAgatam // iti /
   sā kathayati / putra kṛcchrasaṃkaṭasaṃbādhaprāptā manoharā iti mayā	sA kaTayati / putra kRcCra saMkawa saMbADa prAptAH manoharAH iti mayA
   pramuktā / amba yathākatham* / tayā yathāvṛttaṃ sarvaṃ vistareṇa	pramuktAH / amba yaTAkaTam* / tayA yaTAvRttam sarvam vistareNa
   samākhyātam* / sa pitur nairguṇyam akṛtajñatāṃ coktā kathayati / amba	samAKyAtam* / sa pituH nErguNyam akRtajQa tAm ca uktA kaTayati / amba
   kutra gatā katareṇa patheneti / sā kathayati / putra	kutra gatA katareNa paTena iti / sA kaTayati / putra
   eṣaḥ asau pathā śaila ṛṣisaṃghaniṣevitaḥ /	ezaH asO paTA SElaH Rzi saMGa nizevitaH /
   uṣito dharmarājena yatra yātā manoharā // iti /	uzitaH DarmarAjena yatra yAtAH manoharAH // iti /
   sa manoharāviyogaduḥkhārtaḥ kṛcchraṃ vilalāpa karuṇaṃ paridevamānaḥ /	sa manohara aviyoga duHKa ArtaH kRcCram vilalApa karuNam paridevamAnaH /
   manoharāṃ na paśyāmi manorathaguṇair yutām* / pūrvavad yāvat* /	manoharAm na paSyAmi manoraTa guNEH yutAm* / pUrvavat yAvat* /
   kuto mamedaṃ vyasanaṃ samāgatam // iti /	kutas mama idam vyasanam samAgatam // iti /
   tato mātrābhihitaḥ / putra santy asminn antaḥpure tatprativiśiṣṭatarāḥ	tatas mAtrA aBihitaH / putra santi asmin antaHpure tad prativiSizwatarAH
   striyaḥ / kimarthaṃ śokaḥ kriyate iti / kumāraḥ kathayati / amba kuto me	striyaH / kim arTam SokaH kriyate iti / kumAraH kaTayati / amba kutas me
   ratiḥ prāpyatām iti / sa tayā samāśvāsyamāno 'pi śokasantaptas tasyāḥ	ratiH prApyatAm iti / sa tayA samASvAsyamAnaH api Soka santaptaH tasyAH
   pravṛttiṃ samanveṣamāṇa itaś cāmutaś ca paribhramitum ārabdhaḥ / tasya	pravRttim samanvezamANaH itas ca amutas ca pariBramitum ArabDaH / tasya
   buddhir utpannā / yata eva labdhā tam eva tāvat pṛcchāmīti / sa phalakasya	budDiH utpannA / yatas eva labDA tam eva tAvat pRcCAmi iti / sa Palakasya
   lubdhakasya sakāśaṃ gataḥ / pṛcchati / manoharā kutas tvayā labdhā iti /	lubDakasya sakASam gataH / pRcCati / manoharA kutas tvayA labDAH iti /
   amuṣmin parvatapārśve ṛṣiḥ prativasati / tasyāśramapade brahmasabhā nāma	amuzmin parvata pArSve RziH prativasati / tasya ASrama pade brahma saBA nAma
   puṣkariṇī / tasyāṃ snātum avatīrṇā / ṛṣivyapadeśena (MSV I 149) labdhā iti	puzkariNI / tasyAm snAtum avatIrNA / Rzi vyapadeSena (MSV I 149) labDA iti
   / sa saṃlakṣyati / ṛṣir idānīm abhigantavyaḥ / tasmāt pravṛttir	/ sa saMlakzyati / RziH idAnIm aBigantavyaH / tasmAt pravRttiH 
   bhaviṣyatīti / eṣa ca vṛttānto rājñā śrutaḥ / manoharāviyogāt kumāro 'tīva	Bavizyati iti / eza ca vRttAntaH rAjQA SrutaH / manohara aviyogAt kumAraH atIva
   viklava iti / tato rājñābhihitaḥ / kumāra kim asi viklavaḥ / idānīṃ	viklavaH iti / tatas rAjQA aBihitaH / kumAra kim asi viklavaH / idAnIm
   tatprativiśiṣṭam antaḥpuraṃ vyavasthāpayāmīti / sa kathayati / tāta na	tad prativiSizwam antaHpuram vyavasTApayAmi iti / sa kaTayati / tAta na
   śakyaṃ mayā tām anānīyāntaḥpurasthena bhavitum* / sa rājñā bahv apy	Sakyam mayA tAm anAnIya antaHpura sTena Bavitum* / sa rAjQA bahu api 
   ucyamāno	ucyamAnaH 
   [folios 181 198 are missing; the remaining portion has been taken from	[folioH 181 198 are missing; Te rema ening portion has beet taket from
   Divy 453 461]	DivI 453 461]
   na nivartate / tato rājñā nagaraprākāraśṛṅgāṭakeṣv ārakṣakāḥ puruṣāḥ	na nivartate / tatas rAjQA nagara prAkAra SRFgAwakezu ArakzakAH puruzAH
   sthāpitā yathā kumāro na niṣkāsatīti / kumāraḥ kṛtsnāṃ rātriṃ jāgartukāmaḥ	sTApitA yaTA kumAraH na nizkAsati iti / kumAraH kRtsnAm rAtrim jAgartu kAmaH
   / uktaṃ ca / paṃceme rātryām alpaṃ svapanti bahu jāgrati / katame paṃca /	/ uktam ca / paMca ime rAtryAm alpam svapanti bahu jAgrati / katame paMca /
   puruṣāḥ striyam apekṣamāṇāḥ / pratibaddhacittaḥ strīpuruṣaḥ / utkruśaprāṇī	puruzAH striyam apekzamANAH / pratibadDa cittaH strI puruzaH / utkruSaprANI
   / caurasenāpatiḥ / bhikṣuś cālabdhavīrya iti / atha kumārasyaitad abhavat*	/ cOra senApatiH / BikzuH ca alabDa vIryaH iti / aTa kumArasya etat aBavat *
   / yadi dvāreṇa yāsyāmi rājā dvārapālakān rakṣakāṃś ca daṇḍenotsādayiṣyati	/ yadi dvAreNa yAsyAmi rAjA dvArapAlakAn rakzakAn ca daNxena utsAdayizyati
   yanv aham arakṣitena pathā gaccheyam iti / sa rātryāṃ vyutthāya	yanu aham arakzitena paTA gacCeyam iti / sa rAtryAm vyutTAya
   nīlotpalamālābaddhaśirā yena rakṣiṇaḥ puruṣā na santi tena tāṃ mālāṃ	nIlotpala m AlA badDa SirAH yena rakziNaH puruzAH na santi tena tAm mAlAm
   dhvaje baddhvāvatīrṇaḥ / candraś ca coditaḥ /	Dvaje badDvA avatIrNaH / candraH ca coditaH /
   tato 'sau candram avekṣya manoharāvirahita evaṃ vilalāpa /	tatas asO candram avekzya manohara avirahitaH evam vilalApa /
   bhoḥ pūrṇacandra rajanīkara tārarāja tvaṃ rohiṇīnayanakānta susārthavāha /	BoH pUrNa candra rajanIkara tAra rAja tvam rohiNI nayana kAnta su sArTavAha /
   (Divy 454)	(Di vI 454)
   kaccit priyā mama manoharaṇaikadakṣā dṛṣṭā tvayā bhuvi manoharanāmadheyā	kaccit priyA mama manoharaNa eka dakzA dRzwA tvayA Buvi manohara nAmaDeyA
   // iti /	// iti /
   (MSV I 150)	(MSV I 150)
   anubhūtapūrvaratim anusmaran jagāma / dadarśa mṛgīm* / tām apy uvācā /	anuBUta pUrva ratim anusmaran jagAma / dadarSa mRgIm* / tAm api uvAcAH /
   he tvaṃ kuraṅgi tṛṇavāripalāśabhakṣe svasty astu te cara sukhaṃ na mṛgārir	he tvam kuraFgi tRNa vAri palASa Bakze svasti astu te cara suKam na mRgAriH 
   asmi /	asmi /
   dīrghekṣaṇā mṛgavadhūkamanīyarūpā dṛṣṭā tvayā mama manoharanāmadheyā //	dIrGa IkzaNA mRga vaDU kamanIya rUpA dRzwA tvayA mama manohara nAmaDeyAH //
   sa tām atikramyānyatamaṃ pradeśaṃ gato dadarśa vanaṃ	sa tAm atikramya anyatamam pradeSam gataH dadarSa vanam
   nānāpuṣpaphalopaśobhitaṃ bhramarair upabhujyamānasāram* / tato 'nyatamaṃ	nAnA puzpa Pala upaSoBitam BramarEH upaBujyamAna sAram* / tatas anyatamam
   bhramaram uvāca /	Bramaram uvAca /
   nīlāñjanācalasuvarṇa madhudvirepha vaṃśāntarāmburuhamadhyakṛtādhivāsa /	nIlAQjana acala suvarNa maDudvirePa vaMSa antara amburuha maDya kRta aDivAsa /
   varṇādhimātrasadṛśāyatakeśahastā dṛṣṭā tvayā mama manoharanāmadheyā //	varNa aDimAtra sadRSa Ayata keSa hastA dRzwA tvayA mama manohara nAmaDeyAH //
   tasmād api pradeśād atikrāntaḥ paśyaty āśīviṣam* / dṛṣṭvā cāha //	tasmAt api pradeSAt atikrAntaH paSyati ASIvizam* / dRzwvA ca Aha //
   bhoḥ kṛṣṇasarpa tanupallavalolajihvā vaktrāntarotpatitadhūmakalāpavaktra /	BoH kRzNasarpa tanu pallava lola jihvA vaktra antara utpatita DUma kalApa vaktra /
   rāgāgninā tava samo na viṣāgnir ugro drṣṭā tvayā mama manoharanāmadheyā //	rAga agninA tava samaH na viza agniH ugraH drzwA tvayA mama manohara nAmaDeyAH //
   tam api pradeśaṃ samatikrānto dadarśāparaṃ kokilābhināditam* / drṣṭvā ca	tam api pradeSam samatikrAntaH dadarSa aparam kokila aBinAditam* / drzwvA ca
   punas taṃ kokilam uvāca /	punar tam kokilam uvAca /
   bhoḥ kokilottama vanāntaravṛkṣavāsin nārīmanohara patat trigaṇasya rājan /	BoH kokilottama vana antara vRkza vAsin nArI manohara patat trigaNasya rAjan /
   (MSV I 151)	(MSV I 151)
   nīlotpalāmalasamāyatacārūnetrā dṛṣṭā tvayā mama manoharanāmadheyā //	nIlotpala amala samAyata cAru unetrA dRzwA tvayA mama manohara nAmaDeyAH //
   tam api pradeśaṃ samatikrānto dadarśāśokavṛkṣaṃ sarvapariphullam* /	tam api pradeSam samatikrAntaH dadarSa aSoka vRkzam sarva pariPullam* /
   maṅgalyanāmāntaranāmayuktaḥ sarvadrumāṇām adhirājatulyaḥ /	maFgalya nAma antara nAma yuktaH sarva drumANAm aDirAja tulyaH /
   manoharāśokavimūrcchitaṃ mām* eṣo 'ñjalis te kuru vītaśokam* //	manohara aSoka vimUrcCitam mAm* ezaH aQjaliH te kuru vIta Sokam* //
   (Divy 455)	(Di vI 455)
   sa evaṃ viklavo 'nupūrveṇa tasya ṛṣer āśramapadam anuprāptaḥ / sa tam ṛṣiṃ	saH evam viklavaH anupUrveNa tasya RzeH ASrama padam anuprAptaH / sa tam Rzim
   savinayaṃ praṇipatyovāca /	sa vinayam praNipatya uvAca /
   cīrājināmbaradhara kṣamayā viśiṣṭa mūlāṅkurāmalakavilvakapitthabhaktaḥ /	cIra ajina ambara Dara kzamayA viSizwa mUla aFkura Amalaka vilva kapitTa BaktaH /
   vande ṛṣe nataśirā vada me laghu tvaṃ dṛṣṭā tvayā mama manoharanāmadheyā	vande Rze nata SirAH vada me laGu tvam dRzwA tvayA mama manohara nAmaDeyA
   tataḥ sa ṛṣiḥ sudhanaṃ kumāraṃ svāgatavacanāsanadānakriyādipuraḥsaraḥ	tatas saH RziH su Danam kumAram svAgata vacana Asana dAna kriyA Adi puraHsaraH
   pratisaṃmodyovāca /	pratisaMmodya uvAca /
   dṛṣṭā sā paripūrṇacandravadanā nīlotpalābhāsvarā	dRzwA sA paripUrNa candra vadanA nIlotpala ABAsvarA
   rūpeṇa priyadarśanā suvadanā nīlāñcitabhrūlatā /	rUpeNa priya darSanA su vadanA nIla AQcita BrU latA /
   tvaṃ svastho bhuvi bhujyatāṃ hi vividhaṃ mūlaṃ phalaṃ ca prabho	tvam svasTaH Buvi BujyatAm hi viviDam mUlam Palam ca praBo
   paścāt svasti gamiṣyasīti manasā nātrāsti me saṃśayaḥ //	paScAt svasti gamizyasi iti manasA na atra asti me saMSayaH //
   idaṃ hy avocad vacanaṃ ca subhrūḥ kumāra tṛṣṇā tvayi bādhate me /	idam hi avocat vacanam ca suBrUH kumAra tRzNA tvayi bADate me /
   (MSV I 152)	(MSV I 152)
   mahac ca duḥkhaṃ vasatāṃ vaneṣu yātāṃ ca māṃ {Divy: ramāṃ} drakṣyasi	mahat ca duHKam vasatAm vanezu yAtAm ca mAm {Divy: ramAn} drakzyasi
   niścayena // iti /	niScayena // iti /
   iyaṃ ca tayāṃgulimudrikā dattā / kathayati ca / kumāra viṣamāḥ panthāno	iyam ca tayA aMguli mudrikA dattA / kaTayati ca / kumAra vizamAH panTAnaH 
   durgamāḥ khedam āpatsyase nivartasveti / yadi ca nivāryamāṇo na tiṣṭhet	durgamAH Kedam Apatsyase nivartasva iti / yadi ca nivAryamANaH na tizWet 
   tasya mārgam upadeṣṭum arhasi / kumāra idaṃ ca tayā samākhyātam* / uttare	tasya mArgam upadezwum arhasi / kumAraH idam ca tayA samAKyAtam* / uttare
   digbhāge trayaḥ kālaparvatās tān atikramyāpare trayas tān apy atikramya	diS BAge trayaH kAla parvatAH tAn atikramya apare trayaH tAn api atikramya
   himavān parvatarājaḥ / tatpraveśena tvayā imāni bhaiṣajyāni	himavAn parvata rAjaH / tad praveSena tvayA imAni BEzajyAni
   samudānetavyāni / tadyathā sudhā {Divy: sūdayā} nāmauṣadhis tayā ghṛtaṃ	samudAnetavyAni / tat yaTA suDA {Divy: sUdayA} nAma ozaDiH tayA GRtam
   paktvā pātavyaṃ tena ca te na tṛṣā na bubhukṣā smṛtibalaṃ ca vardhayati /	paktvA pAtavyam tena ca te na tRzA na buBukzA smRti balam ca varDayati /
   vānaraḥ samudānetavyo mantram adhyetavyaṃ saśaraṃ dhanur grahītavyaṃ	vAnaraH samudAnetavyaH mantram aDyetavyam sa Saram DanuH grahItavyam
   maṇayo 'vabhāsātmakāḥ agado viṣaghātako 'yaskīlās trayo vīṇā ca /	maNayaH avaBAsa AtmakAH agadaH viza GAtakaH ayaskIlAH trayaH vINA ca /
   himavataḥ parvatarājasyottareṇotkīlakaḥ parvataḥ / tataḥ kūjako {Divy:	himavataH parvata rAjasya uttareNa utkIlakaH parvataH / tatas kUjakaH {Di vy:
   kūlako} jalapathaḥ khadirakaḥ ekadhārako vajrakaḥ kāmarūpī utkīlaka	kUla ko} jalapaTaH KadirakaH eka DArakaH vajrakaH kAmarUpI utkIlaka
   airāvatako 'dhunānaḥ {Divy: 'dhovāṇaḥ} pramokṣaṇa {Divy:  ka} ete parvatāḥ	ErAvatakaH aDunAnaH {Divy: aDovANaH} pramokzaNaH {Divy:  ka} ete parvatAH
   / sarve te samatikramaṇīyāḥ / (Divy 456) tatra khadirake parvate	/ sarve te samatikramaNIyAH / (Di vI 456) tatra Kadirake parvate
   guhāpraveśa ekadhārake ca utkīlake / vajrake tu pakṣirājena praveśaḥ /	guhA praveSaH eka DArake ca utkIlake / vajrake tu pakzirAjena praveSaH /
   ebhir upāyais te sarve parvatāḥ samatikramaṇīyāḥ / yantrāṇi ca	eBiH upAyEH te sarve parvatAH samatikramaNIyAH / yantrANi ca
   bhaṃktavyāni / ajavaktro meṇḍhakaḥ puruṣo rākṣasarūpī piṅgalo hantavyaḥ /	BaMktavyAni / ajavaktraH meNXakaH puruzaH rAkzasa rUpI piFgalaH hantavyaH /
   guhāyāṃ lālāsrotasā mahatājagaro vegena pradhāvati / sa te vikrameṇa	guhAyAm lAlA srotasA mahatA ajagaraH vegena praDAvati / sa te vikrameNa
   hantavyaḥ /	hantavyaH /
   (MSV I 153)	(MSV I 153)
   ardhāntaragataṃ nāgaṃ yatra paśyet kirīṭakam* /{Divy: kiṭibhakaś ca}	arDa antara gatam nAgam yatra paSyet kirIwakam* /{Divy: kiwiBakaH ca}
   cāpamuktena bāṇena hantavyo mama kāraṇāt* //	cApa muktena bANena hantavyaH mama kAraNAt* //
   yatra paśyeta dvau meṣau saṃghaṭṭantau parasparam* /	yatra paSyeta dvO mezO saMGawwantO parasparam* /
   tayoḥ śṛṅgam ekaṃ bhaṃktvā mārgaṃ pratilapsyase //	tayoH SRFgam ekam BaMktvA mArgam pratilapsyase //
   āyasau puruṣau dṛṣṭvā śastrapāṇī mahābhayau /	AyasO puruzO dRzwvA Sastra pANI mahA BayO /
   tayor ekaṃ tāḍayitvā mārgaṃ pratilapsyase //	tayoH ekam tAxayitvA mArgam pratilapsyase //
   saṅkocayantīṃ prasārayantīṃ rākṣasīm āyasaṃ mukham* /	saFkocayantIm prasArayantIm rAkzasIm Ayasam muKam* /
   yadā paśyet tadā kīlaṃ lalāṭe tasyā nikhānayet* //	yadA paSyet tadA kIlam lalAwe tasyAH niKAnayet* //
   śilāvartas tathā kūpo vilaṃghyas te ṣaṣṭihastakaḥ /	SilAvartaH taTA kUpaH vilaMGyaH te zazwi hastakaH /
   haripiṅgalakeśākṣo dāruṇo yakṣarākṣasaḥ //	hari piFgala keSa akzaH dAruNaH yakza rAkzasaH //
   kārmukaṃ maṇḍalaṃ kṛtvā hantavyaś ca durāsadaḥ /	kArmukam maNxalam kRtvA hantavyaH ca durAsadaH /
   nadyaś ca balatas tāryā nakragrāhasamākulāḥ //	nadyaH ca balataH tAryAH nakra grAha samAkulAH //
   naṅgā pataṅgā tapanī citrā rudanī hasanī āśīviṣā vetravatī ca /	naFgA pataFgA tapanI citrA rudanI hasanI ASIvizA vetravatI ca /
   nāngāyāṃ rākṣasīkopaḥ pataṅgāyām amanuṣyakāḥ /	na angAyAm rAkzasI kopaH pataFgAyAm amanuzyakAH /
   tapanyāṃ grāhabahulatvaṃ citrāyāṃ kāmarūpiṇaḥ //	tapanyAm grAha bahula tvam citrAyAm kAmarUpiNaH //
   rudanyāṃ kinnarīceṭyo hasanyāṃ kinnarīsnuṣā /	rudanyAm kinnarI cewyaH hasanyAm kinnarI snuzA /
   āśīviṣāyāṃ nānāvidhāḥ sarpā vetranadyāṃ tu śālmaliḥ /	ASIvizAyAm nAnAviDAH sarpAH vetra nadyAm tu SAlmaliH /
   naṅgāyāṃ dhairyakaraṇaṃ pataṅgāyāṃ parākramaḥ /	naFgAyAm DErya karaNam pataFgAyAm parAkramaH /
   tapanyāṃ grāhamukhabandhaś citrāyāṃ vividhaṃ gītam* //	tapanyAm grAha muKa banDaH citrAyAm viviDam gItam* //
   (MSV I 154)	(MSV I 154)
