   acidaṃśavyapohena YSsi_64a	acit-aMSa-vyapohena YSsi_64a
   mṛttikālohabījādi- YSsi_30c	mRttikA-loha-bIja-Adi YSsi_30c
   mṛṣātve 'py aviruddhatā YSsi_35b	mRzA-tve api avirudDa-tA YSsi_35b
   meyamātṛvibhāgadhīḥ YSsi_152b	meya-mAtR-viBAga-DIH YSsi_152b
   meror ivāṇur yasyedaṃ YSsi_28a	meroH iva-aNuH yasya-idam YSsi_28a
   (maivaṃ smārthān paribhavaḥ) YSsi_201a	(mA-evam sma-arTAn pariBavaH) YSsi_201a
   mokṣasyāpuruṣārthatā YSsi_74d	mokzasya-apuruzArTa-tA YSsi_74d
   yataḥ padapadārthādi YSsi_96c	yatas pada-padArTa-Adi YSsi_96c
   yataḥ sā kāraṇābhāvād YSsi_145a	yatas sA kAraNa-aBAvAt YSsi_145a
   yato 'khilaṃ jagadvyāptaṃ YSsi_105c	yatas aKilam jagat-vyAptam YSsi_105c
   yato naḥ pratibhāsante YSsi_147c	yatas naH pratiBAsante YSsi_147c
   yato nānā prasajyate YSsi_97f	yatas nAnA prasajyate YSsi_97f
   yato 'sya vibhavavyūha- YSsi_18c	yatas asya viBava-vyUha YSsi_18c
   yat tvayā paricoditaḥ YSsi_66b	yat tvayA paricoditaH YSsi_66b
   yat punar brahmavidyātas YSsi_126a	yat punar brahma-vidyAtaH YSsi_126a
   yatrānyan na vijānāti YSsi_27c	yatra-anyat na vijAnAti YSsi_27c
   yathāgrataḥ sthite nīle YSsi_174a	yaTA-agratas sTite nIle YSsi_174a
   yathā ca svāpnamuktyukti- YSsi_130a	yaTA ca svApna-m-ukti-ukti YSsi_130a
   yathā colanṛpaḥ samrāḍ- YSsi_19c	yaTA cola-nRpaH samrAx YSsi_19c
   yathā tatra śiraḥpāṇi- YSsi_153a	yaTA tatra SiraH-pANi YSsi_153a
   yathā tad eva hastastham YSsi_136c	yaTA tat eva hasta-sTam YSsi_136c
   yathā tanmātradhīr nānā- YSsi_180a	yaTA tanmAtra-DIH nAnA YSsi_180a
   yathā teṣām abhūtaiva YSsi_131a	yaTA tezAm aBUta-eva YSsi_131a
   yathānumeyād vahnyāder YSsi_150a	yaTA-anumeyAt vahni-AdeH YSsi_150a
   yathā pradhānasaṅkhyeya- YSsi_25a	yaTA praDAna-saFKyeya YSsi_25a
   yathārthāḥ, tādṛśī na kim YSsi_111d	yaTArTAH, tAdRSI na kim YSsi_111d
   (yathāvasthāyibhir bāhyai)r YSsi_196c	(yaTA-avasTAyiBiH bAhyE)H YSsi_196c
   yathā viditasaṃyoga- YSsi_71a	yaTA vidita-saMyoga YSsi_71a
   yathā śabdāntarābhyāsa- YSsi_111a	yaTA Sabda-antara-aByAsa YSsi_111a
   yathaika eva savitā YSsi_24a	yaTA-ekaH eva savitA YSsi_24a
   yathaikatra ṣaḍaṅgule YSsi_180d	yaTA-ekatra zaz-aFgule YSsi_180d
   yadabhāvādirūpiṇī YSsi_103b	yad-aBAva-Adi-rUpiNI YSsi_103b
   yadā, tadā tadāyato YSsi_82a	yadA, tadA tadAyataH YSsi_82a
   yadi sarvagatā nityā YSsi_90a	yadi sarva-gatA nityAH YSsi_90a
   yadi svarūpasaṃvit sā, YSsi_139c	yadi svarUpa-saMvid sA, YSsi_139c
   yad etad aparādhīna- YSsi_198c	yat etat apara-aDIna YSsi_198c
   yady ajñānasya sambhavaḥ YSsi_112b	yadi ajQAnasya samBavaH YSsi_112b
   yad yathā kiñcid ucyeta YSsi_191c	yat yaTA kiQcid ucyeta YSsi_191c
   yady ayaṃ vividhākāra- YSsi_97c	yadi ayam viviDa-AkAra YSsi_97c
   yady avidyāprasādajaḥ YSsi_115d	yadi avidyA-prasAda-jaH YSsi_115d
   yady ekatraiva vartitā YSsi_167b	yadi ekatra-eva vartitA YSsi_167b
   yady evam asti brahmeti YSsi_189a	yadi evam asti brahma-iti YSsi_189a
   yadvidyayā nirastatvān YSsi_124c	yat-vidyayA nirasta-tvAn YSsi_124c
   yadvilakṣaṇādijalpitam YSsi_86b	yat-vilakzaNa-Adi-jalpitam YSsi_86b
   yan muktir na bhaviṣyati YSsi_133b	yat muktiH na Bavizyati YSsi_133b
   yasmād ṛte yad ābhāti YSsi_207a	yasmAt Rte yat ABAti YSsi_207a
   yasminn abhāsamāne 'pi YSsi_199a	yasmin aBAsamAne api YSsi_199a
   yā bhāvāntaramātradhīḥ YSsi_171b	yA BAva-antara-mAtra-DIH YSsi_171b
   yā vidyāphalam iṣyate YSsi_138b	yA vidyA-Palam izyate YSsi_138b
   yā svarūpapade sthitā YSsi_138d	yA sva-rUpa-pade sTitA YSsi_138d
   yuktyā pratyūhyatām iti YSsi_126d	yuktyA pratyUhyatAm iti YSsi_126d
   yugapajjāyamāneṣu YSsi_155a	yugapad-jAyamAnezu YSsi_155a
   yenādvaitāvirodhinaḥ YSsi_160b	yena-advEta-aviroDinaH YSsi_160b
   yenaivaṃ sati hīyate YSsi_206d	yena-evam sati hIyate YSsi_206d
   yenaivaṃ sutarāṃ vyartho YSsi_134c	yena-evam sutarAm vyarTaH YSsi_134c
   yeyaṃ dhīr upajāyate YSsi_187b	yA-iyam DIH upajAyate YSsi_187b
   ye yuktiṃ prārthayāmahe YSsi_87d	ye yuktim prArTayAmahe YSsi_87d
   yo dvitīyas tu guṇyate YSsi_18b	yaH dvitIyaH tu guNyate YSsi_18b
   yo nāmārtho na bhāsate YSsi_199b	yaH nAma-arTaH na BAsate YSsi_199b
   yo hetus te vivakṣitaḥ YSsi_128b	yaH hetuH te vivakzitaH YSsi_128b
   yaugapadyakramāyogādy- YSsi_177c	yOgapadya-krama-ayoga-Ady YSsi_177c
   rūpabhedaḥ kṛtasya 'yaṃ YSsi_115c	rUpa-BedaH kRtasya ayam YSsi_115c
   rūpādivat, ataḥ saṃvid- YSsi_85c	rUpa-Adi-vat, atas saMvid YSsi_85c
   rūpeṇa pratiyogi cet YSsi_115b	rUpeNa pratiyogi ced YSsi_115b
   lokayātropapadyate YSsi_156d	lokayAtrA-upapadyate YSsi_156d
   vayam aśraddadhānāḥ so YSsi_87c	vayam aSraddaDAnAH saH YSsi_87c
   vastutvaṃ sidhyati dhruvam) YSsi_119b	vastu-tvam siDyati Druvam) YSsi_119b
   vastuno dūṣaṇatvena YSsi_116c	vastunaH dUzaNa-tvena YSsi_116c
   vastusthityā na yujyate YSsi_146b	vastu-sTityA na yujyate YSsi_146b
   vākyajanyā bhavan mate YSsi_141b	vAkya-janyA Bavat mate YSsi_141b
   vākyasiddhā hi te guṇāḥ YSsi_160d	vAkya-sidDAH hi te guNAH YSsi_160d
   vākyaṃ tatsvāpnamuktyukti- YSsi_126c	vAkyam tad-svApna-m-ukti-ukti YSsi_126c
   vācārambhaṇamātraṃ tu YSsi_29a	vAcA-AramBaNa-mAtram tu YSsi_29a
   vācyaikadeśabhaṅgena YSsi_55a	vAcya-eka-deSa-BaFgena YSsi_55a
   vādasyeha na sambhavaḥ YSsi_46d	vAdasya-iha na samBavaH YSsi_46d
   vāmadevaśukādayaḥ YSsi_124b	vAmadeva-Suka-AdayaH YSsi_124b
   vikalpabhramavāraṇam YSsi_72d	vikalpa-Brama-vAraNam YSsi_72d
   vikalpādhānavibhramaḥ YSsi_71d	vikalpa-ADAna-viBramaH YSsi_71d
   vikalpo 'syā na yujyate YSsi_100d	vikalpaH asyAH na yujyate YSsi_100d
   vikārajātaṃ, kūṭasthaṃ YSsi_29c	vikAra-jAtaM, kUwasTam YSsi_29c
   vijñātam akhilaṃ bhavet YSsi_32b	vijQAtam aKilam Bavet YSsi_32b
   vidyayaivādvitīyayā YSsi_105d	vidyayA-eva-advitIyayA YSsi_105d
   vidyāto 'rthāntaraṃ cāsāv YSsi_100e	vidyAtaH arTa-antaram ca-asO YSsi_100e
   vidyāphalam upeyate YSsi_135d	vidyA-Palam upeyate YSsi_135d
   vidyābhāvātmikeṣyate YSsi_99b	vidyA-aBAva-AtmikA-izyate YSsi_99b
   vidyā syāt paramārthataḥ YSsi_101d	vidyA syAt paramArTataH YSsi_101d
   vināśe neti yan matam YSsi_60b	vinASe na-iti yat matam YSsi_60b
   vibhāgo 'sti nidarśanam YSsi_166d	viBAgaH asti nidarSanam YSsi_166d
   vibhinnam iva vibhrāntaṃ YSsi_62e	viBinnam iva viBrAntam YSsi_62e
   vibhutvaikatvanityatāḥ YSsi_158b	viBu-tva-eka-tva-nitya-tAH YSsi_158b
   vibhūtir na niṣidhyate YSsi_33d	viBUtiH na niziDyate YSsi_33d
   viruddhaguṇasaṅkrānter YSsi_54e	virudDa-guNa-saFkrAnteH YSsi_54e
   viruddhatvād asambhavi YSsi_38b	virudDa-tvAt asamBavi YSsi_38b
   viruddhatve dvitīyena YSsi_5a	virudDa-tve dvitIyena YSsi_5a
   viruddhadvandvasaṅkaṭe YSsi_41b	virudDa-dvandva-saFkawe YSsi_41b
   viruddhadvandvasaṅkrānteḥ YSsi_56c	virudDa-dvandva-saFkrAnteH YSsi_56c
   viruddhadvandvasaṅgatau YSsi_57b	virudDa-dvandva-saFgatO YSsi_57b
   viruddhadvandvasaṅgame YSsi_38d	virudDa-dvandva-saFgame YSsi_38d
   viruddhamitivṛttayaḥ YSsi_149d	virudDam-iti-vRttayaH YSsi_149d
   viruddhārthāsāmarpaṇe YSsi_170b	virudDa-arTa-AsAm-arpaNe YSsi_170b
   virodhaparihārārthaṃ YSsi_41c	viroDa-parihAra-arTam YSsi_41c
   virodhena nigṛhyase YSsi_68d	viroDena nigRhyase YSsi_68d
   (vivakṣīr mā) sma jātucit YSsi_121d	(vivakzIH mA) sma jAtucit YSsi_121d
   vivādadarśanāt teṣu; YSsi_159c	vivAda-darSanAt tezu; YSsi_159c
   vivādās teṣu vadinām YSsi_164b	vivAdAH tezu vadinAm YSsi_164b
   vivekāgrahaṇena saḥ YSsi_178d	viveka-agrahaNena saH YSsi_178d
   viśiṣṭam api cid yadi YSsi_62b	viSizwam api cit yadi YSsi_62b
   viśiṣṭaṃ ca ... (mataṃ tava) YSsi_62f	viSizwam ca ... (matam tava) YSsi_62f
   viśeṣaṇe vā ciddhātor YSsi_54c	viSezaNe vA cit-DAtoH YSsi_54c
   viśeṣaṇe vā tad brahama YSsi_11c	viSezaNe vA tat brahama YSsi_11c
   viṣṇor vibhūtimahima- YSsi_22c	vizNoH viBUti-mahima YSsi_22c
   vismṛtaṃ mṛgyate yathā YSsi_136b	vismRtam mRgyate yaTA YSsi_136b
   vṛttyarthasya nañarthasya YSsi_14a	vRtti-arTasya naQarTasya YSsi_14a
   vetālavāhanaṃ bhavet YSsi_134b	vetAla-vAhanam Bavet YSsi_134b
   vedyatve veditṛtve ca YSsi_104a	vedya-tve veditR-tve ca YSsi_104a
   vedyaṃ vā veditātha vā YSsi_103d	vedyam vA veditA-aTa vA YSsi_103d
   vaiyarthyaṃ vedalokayoḥ YSsi_163b	vEyarTyam veda-lokayoH YSsi_163b
   vyajyate brahmavidyayā YSsi_137d	vyajyate brahma-vidyayA YSsi_137d
   vyarthas te muktaye śramaḥ YSsi_123d	vyarTaH te muktaye SramaH YSsi_123d
   vyartho mokṣāya te śramaḥ YSsi_130d	vyarTaH mokzAya te SramaH YSsi_130d
   vyavacchindanti jāyanta YSsi_173c	vyavacCindanti jAyanta YSsi_173c
   vyavacchindanti bhānti naḥ YSsi_183d	vyavacCindanti BAnti naH YSsi_183d
   vyavacchedanibandhanaiḥ YSsi_193b	vyavacCeda-nibanDanEH YSsi_193b
   vyavasthā ghaṭate, vitter YSsi_91c	vyavasTA Gawate, vitteH YSsi_91c
   vyavasthām apare jaguḥ YSsi_42d	vyavasTAm apare jaguH YSsi_42d
   vyavasthitaṃ nirastatvād YSsi_46c	vyavasTitam nirasta-tvAt YSsi_46c
   vyavaharyaṃ kathaṃ bhavet) YSsi_118b	vyavaharyam kaTam Bavet) YSsi_118b
   vyavahāravad iṣyate YSsi_118d	vyavahAra-vat izyate YSsi_118d
   vyavahārāś ca tatkṛtāḥ YSsi_148b	vyavahArAH ca tad-kRtAH YSsi_148b
   vyavahārāś ca niyataḥ YSsi_175c	vyavahArAH ca niyataH YSsi_175c
   vyavahārās tu lupyeran YSsi_34c	vyavahArAH tu lupyeran YSsi_34c
   vyavahāro 'valupyeta YSsi_151c	vyavahAraH avalupyeta YSsi_151c
   vyāvahārikasatyatvān YSsi_35a	vyAvahArika-satya-tvAn YSsi_35a
   vyāhate bhavatāṃ mate YSsi_129b	vyAhate BavatAm mate YSsi_129b
   vyāhanyeta samīhitam YSsi_97b	vyAhanyeta samIhitam YSsi_97b
   vyomavad vaibhavāśrayāt YSsi_91d	vyoma-vat vEBava-ASrayAt YSsi_91d
   śabdādigrahaṇaṃ bhavet YSsi_93b	Sabda-Adi-grahaNam Bavet YSsi_93b
   śiraḥpāṇyādibhedataḥ YSsi_152d	SiraH-pANi-Adi-BedataH YSsi_152d
   śukasya brahmavidyayā YSsi_123b	Sukasya brahma-vidyayA YSsi_123b
   śokamohādayaḥ punaḥ YSsi_59d	Soka-moha-AdayaH punar YSsi_59d
   śraddadhāneṣu śobhate YSsi_87b	SraddaDAnezu SoBate YSsi_87b
   śrutidaṇḍena dustarka- YSsi_72c	Sruti-daNxena dustarka YSsi_72c
   śrutipratyakṣamūlake YSsi_72b	Sruti-pratyakza-mUlake YSsi_72b
   śrutir atyartham ādarāt YSsi_73b	SrutiH atyarTam AdarAt YSsi_73b
   śruter artho 'yam ucyate YSsi_17b	SruteH arTaH ayam ucyate YSsi_17b
   śrutyā cāpy anumoditaḥ YSsi_16d	SrutyA ca-api anumoditaH YSsi_16d
   śvetaketum upādāya YSsi_51a	Svetaketum upAdAya YSsi_51a
   ṣaṣṭhaprapāṭake tasya YSsi_51c	zazWa-prapAwake tasya YSsi_51c
   ṣaṣṭhī yasyeti yujyate YSsi_14d	zazWI yasya-iti yujyate YSsi_14d
   sa eva hetus tasyāpi YSsi_128c	saH eva hetuH tasya-api YSsi_128c
   saṅkhyā pṛthaksatī tatra YSsi_25c	saFKyA pRTak-satI tatra YSsi_25c
   saṅkhyāyāṃ naiva gaṇyate YSsi_25b	saFKyAyAm na-eva gaNyate YSsi_25b
   saṅkhyeyānyapadārthavat YSsi_25d	saFKyeya-anya-padArTa-vat YSsi_25d
   saṅgādyekanibandhanām YSsi_157d	saFga-Adi-eka-nibanDanAm YSsi_157d
   sajātīyavijātīya- YSsi_193a	sajAtIya-vijAtIya YSsi_193a
   sañkhyādyāḥ śāstrabhedakāḥ YSsi_111b	saQKI-a-AdyAH SAstra-BedakAH YSsi_111b
   sata evopapadyate YSsi_47b	sataH eva-upapadyate YSsi_47b
   sataḥ sattvaṃ sadā bhavet YSsi_48b	sataH sattvam sadA Bavet YSsi_48b
   sati puṣkalakāreṇa YSsi_142b	sati puzkala-kAreNa YSsi_142b
   satkakṣāntarniveśyate YSsi_49b	sat-kakza-antar-niveSyate YSsi_49b
   sattvaprāptiṃ puraskṛtya YSsi_40a	sattva-prAptim puraskRtya YSsi_40a
   sattvāsattvāṃśabhaṅgataḥ YSsi_41d	sattva-asattva-aMSa-BaFgataH YSsi_41d
   sattvāsattve vibhāgena YSsi_42a	sattva-asattve viBAgena YSsi_42a
   sattve sat sadvitīyaṃ syāj YSsi_168c	sattve sat sa-dvitIyam syAt YSsi_168c
   satyatvaṃ durapahnavam YSsi_185b	satya-tvam durapahnavam YSsi_185b
   saty arthāntarasambandhe YSsi_14c	sati arTa-antara-sambanDe YSsi_14c
   satyaṃ pratītir asaty asyā YSsi_176a	satyam pratItiH asati asyAH YSsi_176a
   satyādilakṣaṇoktīnām YSsi_9c	satya-Adi-lakzaNa-uktInAm YSsi_9c
   sadadvaitaṃ prasajyate YSsi_188d	sat-advEtam prasajyate YSsi_188d
   sadasattvavikalpanam YSsi_69b	sat-asattva-vikalpanam YSsi_69b
   sadasattvaṃ ghaṭādiṣu YSsi_46b	sat-asat-tvam Gawa-Adizu YSsi_46b
   sadasattvaṃ tathaikasya YSsi_38a	sat-asat-tvam taTA-ekasya YSsi_38a
   sadasattvaṃ prapañcasya YSsi_39c	sat-asat-tvam prapaQcasya YSsi_39c
   sadasatpratyayaprāpta- YSsi_38c	sat-asat-pratyaya-prApta YSsi_38c
   sadasatpratyayaprāpta- YSsi_41a	sat-asat-pratyaya-prApta YSsi_41a
   sadasadbhyām anirvācyaṃ YSsi_41e	sat-asadByAm anirvAcyam YSsi_41e
   sadasadbhyāṃ vilakṣaṇam YSsi_188f	sat-asadByAm vilakzaNam YSsi_188f
   sadasadvyatirekoktiḥ YSsi_169a	sat-asat-vyatireka-uktiH YSsi_169a
   sadasadvyatirekoktiḥ YSsi_191a	sat-asat-vyatireka-uktiH YSsi_191a
   sadasadvyatirrekitā YSsi_172b	sat-asat-vyatiH-rekitA YSsi_172b
   sadā sattvaṃ prapañcasya YSsi_40c	sadA sattvam prapaQcasya YSsi_40c
   sadā sann abhyupeyatām YSsi_49f	sadA san aByupeyatAm YSsi_49f
   sad iti pratipadyate YSsi_114d	sat iti pratipadyate YSsi_114d
   sadṛśaṃ vātra vakti saḥ YSsi_8d	sadRSam vA-atra vakti saH YSsi_8d
   sadṛśī tadvimuktibhīḥ YSsi_130b	sadRSI tad-vimukti-BIH YSsi_130b
   sadbhis te sadvitīyatā YSsi_171d	sadBiH te sa-dvitIya-tA YSsi_171d
   santi ca svapnadṛṣṭāni YSsi_132c	santi ca svapna-dRzwAni YSsi_132c
   santo vā, nobhaye 'pi vā YSsi_168b	santaH vA, na-uBaye api vA YSsi_168b
   sannnidhītarakāritā YSsi_91b	san=-niDItara-kAritA YSsi_91b
   sa bhūmod aram antaram YSsi_27d	sa BUma-ut aram antaram YSsi_27d
   samaye nāvabhāti cet YSsi_78b	samaye na-avaBAti ced YSsi_78b
   samastena nañā vastu YSsi_120a	samastena naQAH vastu YSsi_120a
   samāsaḥ ko vivakṣitaḥ YSsi_2b	samAsaH kaH vivakzitaH YSsi_2b
   samāse saṃśrite sati YSsi_13d	samAse saMSrite sati YSsi_13d
   samudradrapsavipraṣaḥ YSsi_22d	samudra-drapsa-viprazaH YSsi_22d
   samudrān saptasaṅkhyayā YSsi_23b	samudrAn sapta-saFKyayA YSsi_23b
   samo vābhyadhiko vāsya YSsi_18a	samaH vA-aByaDikaH vA-asya YSsi_18a
   sambandhivyaṅgyabhedasya YSsi_89a	sambanDi-vyaFgya-Bedasya YSsi_89a
   sambandhe 'py akṣagocare YSsi_71b	sambanDe api akza-gocare YSsi_71b
   sambandho dvyāśrayas tasmāt YSsi_48a	sambanDaH dvi-ASrayaH tasmAt YSsi_48a
   sarvajñatvādivacana- YSsi_113a	sarvajQa-tva-Adi-vacana YSsi_113a
   sarvajñas satyasaṅkalpo YSsi_52c	sarvajQaH satya-saFkalpaH YSsi_52c
   sarvajñe nityamukte 'pi YSsi_112a	sarvajQe nityam-ukte api YSsi_112a
   sarvasyaiva niṣedhakam YSsi_7b	sarvasya-eva nizeDakam YSsi_7b
   sarvasyaivopalakṣaṇam YSsi_7d	sarvasya-eva-upalakzaNam YSsi_7d
   sarvaṃ nāma na kiñcana YSsi_94b	sarvam nAma na kiQcana YSsi_94b
   sarvaṃ saṃvedanāspadam YSsi_197d	sarvam saMvedana-Aspadam YSsi_197d
   sarvāṇy eva pramāṇāni YSsi_183a	sarvANi eva pramANAni YSsi_183a
   sarve laukikavaidikāḥ YSsi_175d	sarve lOkika-vEdikAH YSsi_175d
   sarveṣām atmasākṣikam YSsi_202d	sarvezAm atma-sAkzikam YSsi_202d
   sarvo laukikavaidikaḥ YSsi_151d	sarvaH lOkika-vEdikaH YSsi_151d
   sahabhāvo dvayor yataḥ YSsi_204b	sahaBAvaH dvayoH yatas YSsi_204b
   sahopalambhaniyamān YSsi_198a	saha-upalamBa-niyamAn YSsi_198a
   sahopalambhaniyamo YSsi_197a	saha-upalamBa-niyamaH YSsi_197a
   saṃyogecchādikasya naḥ YSsi_89b	saMyoga-icCA-Adikasya naH YSsi_89b
   saṃrakṣyamāṇabhedās te YSsi_201c	saMrakzyamANa-BedAH te YSsi_201c
   saṃvit kiṃ saiva kiṃ vāhaṃ YSsi_139a	saMvid kim sA-eva kim vA-aham YSsi_139a
   saṃvittir vyaktir iṣyate YSsi_140b	saMvittiH vyaktiH izyate YSsi_140b
   saṃvitpuṣkalakāraṇam YSsi_144d	saMvid-puzkala-kAraNam YSsi_144d
   saṃvidas te 'dvitīyatām YSsi_158d	saMvidaH te advitIya-tAm YSsi_158d
   saṃvid eva na te dharmāḥ, YSsi_159a	saMvid eva na te DarmAH, YSsi_159a
   saṃvid evābhyupeyate YSsi_90b	saMvid eva-aByupeyate YSsi_90b
   saṃvid eveti cet tasyā YSsi_104e	saMvid eva-iti ced tasyAH YSsi_104e
   saṃvido 'pi yad īṣyate YSsi_106b	saMvidaH api yat Izyate YSsi_106b
   saṃvido vā na bhidyate YSsi_95d	saMvidaH vA na Bidyate YSsi_95d
   saṃvido 'sti na vā tvayā YSsi_195b	saMvidaH asti na vA tvayA YSsi_195b
   saṃśaye samupasthite YSsi_43b	saMSaye samupasTite YSsi_43b
   saṃsarantaḥ sahasraśaḥ YSsi_147d	saMsarantaH sahasraSas YSsi_147d
   saṃsāriṇas tathābhāvo YSsi_137c	saMsAriNaH taTA-aBAvaH YSsi_137c
   saṃsāriṇas tadāstīti YSsi_144e	saMsAriNaH tadA-asti-iti YSsi_144e
   sāṅkhyās tu pratipādire YSsi_40d	sAFKyAH tu pratipAdire YSsi_40d
   sā ced asti tasyā mūlaṃ YSsi_176c	sA ced asti tasyAH mUlam YSsi_176c
   sā ced ekā, tatas saikā YSsi_123a	sA ced ekA, tatas sA-ekA YSsi_123a
   sā tadā tasya nābhāvaṃ YSsi_187c	sA tadA tasya na-aBAvam YSsi_187c
   sādhvī bhedānirūpaṇā YSsi_100b	sADvI BedAnirUpaNA YSsi_100b
   sā na kiñcin niyacchati YSsi_99d	sA na kiQcid niyacCati YSsi_99d
   sāpi saṃvit tad ātmeti YSsi_97e	sA-api saMvid tat AtmA-iti YSsi_97e
   sā vidyā kiṃ nu saṃvittir YSsi_103c	sA vidyA kim nu saMvittiH YSsi_103c
   sā sattā na svatantrānyā YSsi_193e	sA sattA na svatantrA-anyA YSsi_193e
   sā sphuraty eva tu sphuṭam YSsi_78d	sA sPurati eva tu sPuwam YSsi_78d
   sā hi nyāyānalaspṛṣṭā YSsi_98c	sA hi nyAya-anala-spRzwAH YSsi_98c
   siddhāyām api saṃvidi YSsi_159b	sidDAyAm api saMvidi YSsi_159b
   sukhaduḥkhādivad dhiyaḥ YSsi_88d	suKa-duHKa-Adi-vat DiyaH YSsi_88d
   (sukhaduḥkhādiṣu sphuṭaḥ) YSsi_155b	(suKa-duHKa-Adizu sPuwaH) YSsi_155b
   saiva ced bhāsate 'nyac cen YSsi_79e	sA-eva ced BAsate anyat ced YSsi_79e
   saiva tasyāḥ phalaṃ katham YSsi_140d	sA-eva tasyAH Palam kaTam YSsi_140d
   saivābhāva itīhāpi YSsi_171c	sA-eva-aBAvaH iti-iha-api YSsi_171c
   so 'yaṃ gaur iti yujyate YSsi_56d	saH ayam gOH iti yujyate YSsi_56d
   so 'yaṃ gaur itivat tattvaṃ YSsi_55c	saH ayam gOH iti-vat tattvam YSsi_55c
   sphaṭike dhavale matiḥ YSsi_174d	sPawike Davale matiH YSsi_174d
   syād eva yugapatsattvam YSsi_44c	syAt eva yugapad-sattvam YSsi_44c
   syān mataṃ naiva te santi YSsi_124a	syAt matam na-eva te santi YSsi_124a
   svacchacinmātrasantatiḥ YSsi_205b	svacCa-cit-mAtra-santatiH YSsi_205b
   svatas tāvan na yujyate YSsi_83d	svatas tAvat na yujyate YSsi_83d
   svato vā parato 'pi vā YSsi_83b	svatas vA paratas api vA YSsi_83b
   svanimittaprakāśasya YSsi_84c	sva-nimitta-prakASasya YSsi_84c
   svaniṣṭhatvān nañarthasya YSsi_10c	sva-nizWa-tvAt naQarTasya YSsi_10c
   svapnavṛttivilakṣaṇāḥ YSsi_148d	svapna-vRtti-vilakzaNAH YSsi_148d
   svaprakāśasya cidchātor YSsi_138c	sva-prakASasya cit-CAtoH YSsi_138c
   svaprakāśasya ciddhātor YSsi_57a	sva-prakASasya cit-DAtoH YSsi_57a
   svaprakāśaṃ tad eva hi YSsi_198d	sva-prakASam tat eva hi YSsi_198d
   svaprakāśe cidātmani YSsi_58b	sva-prakASe cit-Atmani YSsi_58b
   svapramāṇabalāt siddhaḥ YSsi_16c	sva-pramANa-balAt sidDaH YSsi_16c
   svayamprakāśatāśabdam YSsi_198e	svayamprakASa-tA-Sabdam YSsi_198e
   svarūpam abhyupetyaiva YSsi_68a	sva-rUpam aByupetya-eva YSsi_68a
   svarūpam eva bhāvābāṃ YSsi_179a	svarUpam eva BAva-AbAm YSsi_179a
   svarūpaṃ na spṛśanti kim YSsi_63b	svarUpam na spRSanti kim YSsi_63b
   svarūpānavabodhataḥ YSsi_137b	sva-rUpa-anavaboDataH YSsi_137b
   svavāgbādhasya jalpitam YSsi_206b	sva-vAc-bADasya jalpitam YSsi_206b
   svaśarīre 'pi tatprāpteḥ YSsi_152c	sva-SarIre api tad-prApteH YSsi_152c
   (svasādhyasya puraskārād) YSsi_117a	(su-asADyasya puraskArAd) YSsi_117a
   svasthās tiṣṭhanty abādhitāḥ YSsi_13b	svasTAH tizWanti abADitAH YSsi_13b
   svasmin sati viruddhatvād YSsi_84a	svasmin sati virudDa-tvAt YSsi_84a
   svasyābhāve 'py asambhavāt YSsi_84d	svasya-aBAve api asamBavAt YSsi_84d
   svasvasvapnaikadarśinaḥ YSsi_157b	sva-sva-svapna-eka-darSinaH YSsi_157b
   svaṃ svam arthaṃ yathāyatham YSsi_173b	svam svam arTam yaTAyaTam YSsi_173b
   svaṃ svam arthaṃ yathoditam YSsi_183b	svam svam arTam yaTA-uditam YSsi_183b
   svātmanā saha bhāsate YSsi_204d	sva-AtmanA saha BAsate YSsi_204d
   svāpādau bhāsate, naivam YSsi_205c	svApa-AdO BAsate, na-evam YSsi_205c
   svārthās tiṣṭhanty abādhitāḥ YSsi_6d	sva-arTAH tizWanti abADitAH YSsi_6d
   svāvidyāparikalpitam YSsi_127b	sva-avidyA-parikalpitam YSsi_127b
   svāśrayībhūtavastunoḥ YSsi_67b	sva-ASrayIBUta-vastunoH YSsi_67b
   svaiḥ svair vyavasthitai rūpaiḥ YSsi_193c	svEH svEH vyavasTitEH rUpEH YSsi_193c
   hanta keyam abhivyaktir YSsi_138a	hanta kA-iyam aBivyaktiH YSsi_138a
   hanta brahmopadeśo 'yaṃ YSsi_87a	hanta brahma-upadeSaH ayam YSsi_87a
   hantaivaṃ saty avidyaiva YSsi_101c	hanta-evam sati avidyA-eva YSsi_101c
   hastastham eva hemādi YSsi_136a	hasta-sTam eva hema-Adi YSsi_136a
   hlasvadīrghatvabhedā vā YSsi_180c	hlasva-dIrGa-tva-BedAH vA YSsi_180c
